"fiscal_year","system_code","location_code","location_name","beds","managed_by_name","location_type_description","location_category_description","grades_text","grades_final_text","open_date","status_descriptions","primary_building_code","primary_address_line_1","state_code","x_coordinate","y_coordinate","longitude","latitude","community_district","council_district","census_tract","borough_block_lot","nta","nta_name","principal_name","principal_title","principal_phone_number","fax_number","geographical_district_code","administrative_district_code","administrative_district_name","community_school_sup_name","tier_3_support_location_name","tier_3_support_leader_name","tier_2_support_location_name","highschool_network_location","highschool_network_name","highschool_network","community_district_1","police_precinct"
"2020","20K220","K220","J.H.S. 220 John J. Pershing","332000010220","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1925-07-01T00:00:00.000","Open","K220","4812 9TH AVENUE","NY","983903","172809","-74.00125","40.640997","312","38","10800","3007780023","BK34","Sunset Park East","SHELDON DEMPSTER","Principal","718-633-8200","718-871-7466","20","20","COMMUNITY SCHOOL DISTRICT 20","COSTANTINO, KARINA","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 4- Brooklyn South","NULL","NULL","NULL","312","66"
"2020","17K221","K221","P.S. 221 Toussaint L'Ouverture","331700010221","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1940-07-01T00:00:00.000","Open","K221","791 EMPIRE BOULEVARD","NY","1002074","181183","-73.935753","40.663964","309","35","35500","3014230014","BK63","Crown Heights South","Florentine Ulysse","Principal","718-756-0122","718-953-2657","17","17","COMMUNITY SCHOOL DISTRICT 17","ELLIS, CLARENCE","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 2- Brooklyn South","NULL","NULL","NULL","309","71"
"2020","22K222","K222","P.S. 222 Katherine R. Snyder","332200010222","DOE","General Academic","Elementary","0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1929-07-01T00:00:00.000","Open","K222","3301 QUENTIN ROAD","NY","1001129","162981","-73.939205","40.614005","318","46","64600","3077060001","BK45","Georgetown-Marine Park-Bergen Beach-Mill Basin","Theresa Olivieri","Principal","718-998-4298","718-339-2107","22","22","COMMUNITY SCHOOL DISTRICT 22","BOVE, JULIA","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 6- Brooklyn South","NULL","NULL","NULL","318","63"
"2020","20K223","K223","J.H.S. 223 The Montauk","332000010223","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1930-07-01T00:00:00.000","Open","K223","4200 16 AVENUE","NY","989128","170661","-73.982424","40.6351","312","44","23000","3053620021","BK88","Borough Park","ANDREW FRANK","Principal","718-438-0155","718-871-7477","20","20","COMMUNITY SCHOOL DISTRICT 20","COSTANTINO, KARINA","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 4- Brooklyn South","NULL","NULL","NULL","312","66"
"2020","19K224","K224","P.S. 224 Hale A. Woodruff","331900010224","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1930-07-01T00:00:00.000","Open","K224","757 WORTMAN AVENUE","NY","1021275","181270","-73.866542","40.664143","305","42","122000","3045290133","BK82","East New York","Rochelle Hinds","Principal","718-235-3600","718-827-5840","19","19","COMMUNITY SCHOOL DISTRICT 19","THOMAS MCBRYDE JR","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 6- Brooklyn North","NULL","NULL","NULL","305","75"
"2020","21K225","K225","P.S. K225 - The Eileen E. Zaglin","332100010225","DOE","General Academic","K-8","PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08","1928-07-01T00:00:00.000","Open","K225","1075 OCEAN VIEW AVENUE","NY","996512","150684","-73.955856","40.58026","313","48","61004","3087120056","BK19","Brighton Beach","Michael Cosmai","Principal","718-743-9793","718-743-7096","21","21","COMMUNITY SCHOOL DISTRICT 21","DIMOLA, ISABEL","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 5- Brooklyn South","NULL","NULL","NULL","313","60"
"2020","21K226","K226","P.S. 226 Alfred De B. Mason","332100010226","DOE","General Academic","K-8","PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08","1930-07-01T00:00:00.000","Open","K226","6006 23 AVENUE","NY","990608","163486","-73.977099","40.615405","312","44","44600","3065490024","BK88","Borough Park","Evan Klein","Principal","718-234-4940","718-234-4945","21","21","COMMUNITY SCHOOL DISTRICT 21","DIMOLA, ISABEL","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 5- Brooklyn South","NULL","NULL","NULL","312","66"
"2020","20K227","K227","J.H.S. 227 Edward B. Shallow","332000010227","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1930-07-01T00:00:00.000","Open","K227","6500 16 AVENUE","NY","985371","165925","-73.995961","40.622102","311","38","25000","3055510018","BK28","Bensonhurst West","Dr. Edwin Hernandez","Principal","718-256-8218","718-234-6204","20","20","COMMUNITY SCHOOL DISTRICT 20","COSTANTINO, KARINA","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 4- Brooklyn South","NULL","NULL","NULL","311","62"
"2020","21K228","K228","I.S. 228 David A. Boody","332100010228","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1930-07-01T00:00:00.000","Open","K228","228 AVENUE S","NY","990692","158114","-73.976801","40.60066","311","47","41000","3070840001","BK29","Bensonhurst East","DOMINICK DANGELO","Principal","718-375-7635","718-376-1209","21","21","COMMUNITY SCHOOL DISTRICT 21","DIMOLA, ISABEL","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 5- Brooklyn South","NULL","NULL","NULL","311","62"
"2020","20K229","K229","P.S. 229 Dyker","332000010229","DOE","General Academic","K-8","PK,0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08","1932-07-01T00:00:00.000","Open","K229","1400 BENSON AVENUE","NY","980478","161637","-74.013585","40.610331","311","43","17000","3063910024","BK27","Bath Beach","William Kirk","I.A. Principal","718-236-5447","718-331-8173","20","20","COMMUNITY SCHOOL DISTRICT 20","COSTANTINO, KARINA","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 4- Brooklyn South","NULL","NULL","NULL","311","62"
"2020","15K230","K230","P.S. 230 Doris L. Cohen","331500010230","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1930-07-01T00:00:00.000","Open","K230","1 ALBEMARLE ROAD","NY","989657","174490","-73.980515","40.645609","312","39","49800","3053230032","BK41","Kensington-Ocean Parkway","Maria Della Ragione","Principal","718-437-6135","718-871-2624","15","15","COMMUNITY SCHOOL DISTRICT 15","SKOP, ANITA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 5- Brooklyn North","NULL","NULL","NULL","312","66"
"2020","75K231","K231","P.S. K231","307500013231","DOE","Special Education","K-8","0K,01,02,03,04,05,06,07,08,09,SE","01,02,03,04,05,06,07,08,09,SE","1995-09-21T00:00:00.000","Open","K180","5601 16 AVENUE","NY","987234","167511","-73.98925","40.626454","312","44","47000","3054920001","BK88","Borough Park","ELIZABETH RUEDA MATTOCK","Principal","718-853-1884","718-853-5388","20","75","CITYWIDE SPECIAL EDUCATION","LOUISSAINT, KETLER","D75 CITYWIDE BCO","Tillman Roberto","Children First Network 751","NULL","NULL","NULL","312","66"
"2020","18K232","K232","I.S. 232 The Winthrop","331800010232","DOE","General Academic","Junior High-Intermediate-Middle","08,SE","06,07,08","1930-07-01T00:00:00.000","Closed","K232","905 WINTHROP STREET","NY","1003928","179168","-73.929","40.6584","317","41","88000","3046060025","BK60","Prospect Lefferts Gardens-Wingate","Ingrid Thomas-Clark","Principal","718-773-2662","718-953-4592","18","18","COMMUNITY SCHOOL DISTRICT 18","Beverly Wilkins","NULL","NULL","NULL","NULL","NULL","NULL","317","67"
"2020","18K233","K233","P.S. 233 Langston Hughes","331800010233","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1930-07-01T00:00:00.000","Open","K233","9301 AVENUE B","NY","1008035","176699","-73.914282","40.651642","317","42","93000","3047530001","BK96","Rugby-Remsen Village","DENEAN STEPHENS","Principal","718-346-8103","718-345-3078","18","18","COMMUNITY SCHOOL DISTRICT 18","WILKINS, BEVERLY","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 3- Brooklyn South","NULL","NULL","NULL","317","67"
"2020","21K400","K400","Lafayette High School","332100011400","DOE","General Academic","High school","09,10,11,12","09,10,11,12","1939-07-01T00:00:00.000","Closed","K400","2630 BENSON AVENUE","NY","988051","155333","-73.986313","40.593028","313","47","30600","3068830001","BK26","Gravesend","NULL","NULL","718-372-3480","718-996-6684","21","21","COMMUNITY SCHOOL DISTRICT 21","NULL","NULL","NULL","NULL","HS10","HS Network 10","Contact Superintendent","313","60"
"2020","22K234","K234","J.H.S. 234 Arthur W. Cunningham","332200010234","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1937-07-01T00:00:00.000","Open","K234","1875 EAST  17 STREET","NY","996685","159496","-73.955217","40.604447","315","48","55800","3068210244","BK44","Madison","Tami Flynn","Principal","718-645-1334","718-645-7759","22","22","COMMUNITY SCHOOL DISTRICT 22","BOVE, JULIA","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 6- Brooklyn South","NULL","NULL","NULL","315","61"
"2020","18K235","K235","P.S. 235 Janice Marie Knight School","331800010235","DOE","General Academic","K-8","PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08","1930-07-01T00:00:00.000","Open","K235","525 LENOX ROAD","NY","1000642","178039","-73.940922","40.655337","317","41","81400","3048440001","BK91","East Flatbush-Farragut","Laurence Lord","Principal","718-773-4869","718-773-0048","18","18","COMMUNITY SCHOOL DISTRICT 18","WILKINS, BEVERLY","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 3- Brooklyn South","NULL","NULL","NULL","317","67"
"2020","22K236","K236","P.S. 236 Mill Basin","332200010236","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1933-07-01T00:00:00.000","Open","K236","6302 AVENUE U","NY","1008680","163530","-73.912005","40.615494","318","46","69800","3084640001","BK45","Georgetown-Marine Park-Bergen Beach-Mill Basin","Salil Paingankar","I.A. Principal","718-444-6969","718-241-6630","22","22","COMMUNITY SCHOOL DISTRICT 22","BOVE, JULIA","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 6- Brooklyn South","NULL","NULL","NULL","318","63"
"2020","21K238","K238","P.S. 238 Anne Sullivan","332100010238","DOE","General Academic","K-8","PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08","1931-07-01T00:00:00.000","Open","K238","1633 EAST  8 STREET","NY","994083","161081","-73.964586","40.608801","315","44","42000","3066400013","BK25","Homecrest","HARLA JOY MUSOFF WEISS","Principal","718-339-4355","718-998-4351","21","21","COMMUNITY SCHOOL DISTRICT 21","DIMOLA, ISABEL","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 5- Brooklyn South","NULL","NULL","NULL","315","61"
"2020","21K239","K239","Mark Twain I.S. 239 for the Gifted & Talented","332100010239","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1937-07-01T00:00:00.000","Open","K239","2401 NEPTUNE AVENUE","NY","986348","150091","-73.992447","40.57864","313","47","33000","3069650140","BK21","Seagate-Coney Island","Karen Ditolla","Principal","718-266-0814","718-266-1693","21","21","COMMUNITY SCHOOL DISTRICT 21","DIMOLA, ISABEL","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 5- Brooklyn South","NULL","NULL","NULL","313","60"
"2020","22K240","K240","Andries Hudde","332200010240","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1951-07-01T00:00:00.000","Open","K240","2500 NOSTRAND AVENUE","NY","999008","166544","-73.946836","40.623788","314","45","74800","3076290030","BK43","Midwood","Anya Munce","Principal","718-253-3700","718-253-0356","22","22","COMMUNITY SCHOOL DISTRICT 22","BOVE, JULIA","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 6- Brooklyn South","NULL","NULL","NULL","314","70"
"2020","17K241","K241","P.S. 241 Emma L. Johnston","331700010241","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1931-07-01T00:00:00.000","Open","K241","976 PRESIDENT STREET","NY","995090","182982","-73.960924","40.668913","309","35","21300","3011880001","BK63","Crown Heights South","Frantz Lucius","Principal","718-636-4725","718-230-5468","17","17","COMMUNITY SCHOOL DISTRICT 17","ELLIS, CLARENCE","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 2- Brooklyn South","NULL","NULL","NULL","309","71"
"2020","16K243","K243","P.S. 243K- The Weeksville School","331600010243","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1962-07-01T00:00:00.000","Open","K243","1580 DEAN STREET","NY","1002254","185450","-73.935093","40.675675","308","36","30900","3013470001","BK61","Crown Heights North","KAREN HAMBRIGHT-GLOVE","Principal","718-604-6909","718-604-6914","16","16","COMMUNITY SCHOOL DISTRICT 16","MARTIN, YOLANDA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 4- Brooklyn North","NULL","NULL","NULL","308","77"
"2020","18K244","K244","P.S. 244 Richard R. Green","331800010244","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1939-07-01T00:00:00.000","Open","K244","5404 TILDEN AVENUE","NY","1004898","175315","-73.925592","40.647851","317","45","94600","3047390001","BK96","Rugby-Remsen Village","Deon Edwards","Principal","718-346-6240","718-345-3083","18","18","COMMUNITY SCHOOL DISTRICT 18","WILKINS, BEVERLY","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 3- Brooklyn South","NULL","NULL","NULL","317","67"
"2020","22K245","K245","P.S. 245","332200010245","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1999-07-01T00:00:00.000","Open","K735","249 EAST 17TH STREET","NY","994589","174243","-73.962743","40.644927","314","40","51200","3051210032","BK42","Flatbush","Erica Williams","Principal","718-284-2330","718-284-2333","22","22","COMMUNITY SCHOOL DISTRICT 22","BOVE, JULIA","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 6- Brooklyn South","NULL","NULL","NULL","314","70"
"2020","17K246","K246","M.S. 246 Walt Whitman","331700010246","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1939-07-01T00:00:00.000","Open","K246","72 VERONICA PLACE","NY","997159","175492","-73.95348","40.648352","317","40","79400","3051100025","BK95","Erasmus","BENTLY WARRINGTON","Principal","718-282-5230","718-284-6429","17","17","COMMUNITY SCHOOL DISTRICT 17","ELLIS, CLARENCE","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 2- Brooklyn South","NULL","NULL","NULL","317","67"
"2020","20K247","K247","P.S. 247 Brooklyn","332000010247","DOE","General Academic","Elementary","0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1937-07-01T00:00:00.000","Open","K247","7000 21 AVENUE","NY","987805","162335","-73.987195","40.612247","311","47","25800","3061740036","BK28","Bensonhurst West","CHRISTOPHE OGNO","Principal","718-236-4205","718-331-8563","20","20","COMMUNITY SCHOOL DISTRICT 20","COSTANTINO, KARINA","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 4- Brooklyn South","NULL","NULL","NULL","311","62"
"2020","17K249","K249","P.S. 249 The Caton","331700010249","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1951-07-01T00:00:00.000","Open","K249","18 MARLBOROUGH ROAD","NY","993558","175912","-73.966456","40.649509","314","40","50600","3050750001","BK42","Flatbush","ELISA BROWN","Principal","718-282-8828","718-284-5146","17","17","COMMUNITY SCHOOL DISTRICT 17","ELLIS, CLARENCE","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 2- Brooklyn South","NULL","NULL","NULL","314","70"
"2020","14K250","K250","P.S. 250 George H. Lindsay","331400010250","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05","1964-07-01T00:00:00.000","Open","K250","108 MONTROSE AVENUE","NY","999316","196754","-73.945659","40.706708","301","34","50500","3030600001","BK90","East Williamsburg","Roseann Lacioppa","Principal","718-384-0889","718-302-2314","14","14","COMMUNITY SCHOOL DISTRICT 14","WINNICKI, ALICJA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 4- Brooklyn North","NULL","NULL","NULL","301","90"
"2020","79K565","K565","HS Of Redirection","307900013565","DOE","Alternative","High school","NULL","09,10,11,12","1996-06-05T00:00:00.000","Closed","K175","226 BRISTOL STREET","NY","1008745","181886","-73.9117","40.6659","316","41","92400","3035410001","BK81","Brownsville","NULL","NULL","718-498-2605","718-345-8069","23","79","ALTERNATIVE HIGH SCHOOL DISTRICT","NULL","NULL","NULL","NULL","NULL","NULL","NULL","316","73"
"2020","22K251","K251","P.S. 251 Paerdegat","332200010251","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1952-07-01T00:00:00.000","Open","K251","1037 EAST  54 STREET","NY","1005374","169522","-73.923894","40.63195","318","46","72200","3077580001","BK58","Flatlands","Sheldon Noel","Principal","718-251-4110","718-241-3200","22","22","COMMUNITY SCHOOL DISTRICT 22","BOVE, JULIA","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 6- Brooklyn South","NULL","NULL","NULL","318","63"
"2020","18K252","K252","I.S. 252 Arthur S. Somers","331800010252","DOE","General Academic","Junior High-Intermediate-Middle","07,08,SE","06,07,08","1939-07-01T00:00:00.000","Closed","K252","1084 LENOX ROAD","NY","1006416","179121","-73.9201","40.6583","317","41","88600","3046690037","BK96","Rugby-Remsen Village","Ms. Mendis Brown","PRINCIPAL","718-342-1144","718-485-8117","18","18","COMMUNITY SCHOOL DISTRICT 18","Beverly Wilkins","NULL","NULL","NULL","NULL","NULL","NULL","317","67"
"2020","21K253","K253","P.S. 253","332100010253","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1938-07-01T00:00:00.000","Open","K253","601 OCEANVIEW AVENUE","NY","994816","150675","-73.961962","40.580237","313","48","36400","3086660610","BK19","Brighton Beach","LISA DITILLO SPERONI","Principal","718-332-3331","718-743-7194","21","21","COMMUNITY SCHOOL DISTRICT 21","DIMOLA, ISABEL","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 5- Brooklyn South","NULL","NULL","NULL","313","60"
"2020","22K254","K254","P.S. 254 Dag Hammarskjold","332200010254","DOE","General Academic","Elementary","0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1938-07-01T00:00:00.000","Open","K254","1801 AVENUE Y","NY","997706","154635","-73.95155","40.591103","315","48","59200","3074200026","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","John Norton","Principal","718-743-0890","718-332-4477","22","22","COMMUNITY SCHOOL DISTRICT 22","BOVE, JULIA","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 6- Brooklyn South","NULL","NULL","NULL","315","61"
"2020","22K255","K255","P.S. 255 Barbara Reing School","332200010255","DOE","General Academic","Elementary","0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1953-07-01T00:00:00.000","Open","K255","1866 EAST  17 STREET","NY","996498","159501","-73.955891","40.604461","315","48","55800","3068210123","BK44","Madison","Kelly McCann","Principal","718-376-8494","718-627-0626","22","22","COMMUNITY SCHOOL DISTRICT 22","BOVE, JULIA","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 6- Brooklyn South","NULL","NULL","NULL","315","61"
"2020","13K256","K256","P.S. 256 Benjamin Banneker","331300010256","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1959-07-01T00:00:00.000","Open","K256","114 KOSCIUSZKO STREET","NY","998224","190883","-73.94961","40.690595","303","36","25300","3017840020","BK75","Bedford","SHARYN HEMPHILL","Principal","718-857-9820","718-783-7384","13","13","COMMUNITY SCHOOL DISTRICT 13","SAMUELS, KAMAR","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 3- Brooklyn North","NULL","NULL","NULL","303","79"
"2020","14K257","K257","P.S. 257 John F. Hylan","331400010257","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1962-07-01T00:00:00.000","Open","K257","60 COOK STREET","NY","1000513","195316","-73.941345","40.702759","301","34","49100","3031140011","BK90","East Williamsburg","BRIAN DE VALE","Principal","718-384-7128","718-387-8115","14","14","COMMUNITY SCHOOL DISTRICT 14","WINNICKI, ALICJA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 4- Brooklyn North","NULL","NULL","NULL","301","90"
"2020","13K258","K258","J.H.S. 258 David Ruggles","331300010258","DOE","General Academic","Junior High-Intermediate-Middle","08,SE","06,07,08,09","1955-07-01T00:00:00.000","Closed","K258","141 MACON STREET","NY","999381","187596","-73.9454","40.6816","303","36","26900","3018450001","BK75","Bedford","Stanley Walker","Principal","718-398-3764","718-857-3422","13","13","COMMUNITY SCHOOL DISTRICT 13","James Machen","NULL","NULL","NULL","NULL","NULL","NULL","303","79"
"2020","20K259","K259","J.H.S. 259 William McKinley","332000010259","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1939-07-01T00:00:00.000","Open","K259","7305 FT HAMILTON PARKWAY","NY","980188","167378","-74.014633","40.626089","310","43","20600","3059230001","BK30","Dyker Heights","JANICE GEARY","Principal","718-833-1000","718-833-3419","20","20","COMMUNITY SCHOOL DISTRICT 20","COSTANTINO, KARINA","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 4- Brooklyn South","NULL","NULL","NULL","310","68"
"2020","19K260","K260","P.S. 260 Breuckelen","331900010260","DOE","General Academic","Elementary","5","PK,0K,01,02,03,04,05,06,SE","1953-07-01T00:00:00.000","Closed","K260","875 WILLIAMS AVENUE","NY","1013858","177334","-73.893294","40.653368","318","42","98200","3081580040","BK50","Canarsie","Doreen Duff","I.A. PRINCIPAL","718-649-9216","718-927-2215","19","19","COMMUNITY SCHOOL DISTRICT 19","STALLINGS-HARTE, JOYCE","NULL","NULL","NULL","NULL","NULL","NULL","318","69"
"2020","15K261","K261","P.S. 261 Philip Livingston","331500010261","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1958-07-01T00:00:00.000","Open","K261","314 PACIFIC STREET","NY","987393","189649","-73.988667","40.687218","302","33","4300","3001880014","BK38","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Erica Davis","I.A. Principal","718-330-9275","718-875-9503","15","15","COMMUNITY SCHOOL DISTRICT 15","SKOP, ANITA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 5- Brooklyn North","NULL","NULL","NULL","302","84"
"2020","16K262","K262","P.S. 262 El Hajj Malik El Shabazz Elementary Schoo","331600010262","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05","1961-07-01T00:00:00.000","Open","K262","500 MACON STREET","NY","1003628","188101","-73.930132","40.682949","303","36","29700","3016710019","BK61","Crown Heights North","JOELETHA FERGUSON","Principal","718-453-0780","718-453-0679","16","16","COMMUNITY SCHOOL DISTRICT 16","MARTIN, YOLANDA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 7- Brooklyn North","NULL","NULL","NULL","303","81"
"2020","20K264","K264","P.S. 264 Bay Ridge Elementary School For The Arts","332000010264","DOE","General Academic","Elementary","0K,01,02,03,04,05,SE","0K,01,02,03,04,05","2010-07-01T00:00:00.000","Open","K264","371 89th Street","NY","976076","165534","-74.029444","40.621025","310","43","6000","3060620141","BK31","Bay Ridge","MARISA BOLOGNINO","Principal","718-630-1650","718-630-1655","20","20","COMMUNITY SCHOOL DISTRICT 20","COSTANTINO, KARINA","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 4- Brooklyn South","NULL","NULL","NULL","310","68"
"2020","13K265","K265","Dr. Susan S. McKinney Secondary School of the Arts","331300010265","DOE","General Academic","Secondary School","06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12","1958-07-01T00:00:00.000","Open","K265","101 PARK AVENUE","NY","990876","193278","-73.976104","40.697177","302","35","21100","3020280001","BK68","Fort Greene","Edgar Lin","Principal","718-834-6760","718-243-0815","13","13","COMMUNITY SCHOOL DISTRICT 13","SAMUELS, KAMAR","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 3- Brooklyn North","NULL","NULL","NULL","302","88"
"2020","13K266","K266","M.S. K266 - Park Place Community Middle School","331300010266","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","2000-06-21T00:00:00.000","Open","K902","62 PARK PLACE","NY","990727","186586","-73.976648","40.678809","306","39","12902","3009410050","BK37","Park Slope-Gowanus","Frederick Torres","Principal","718-245-8766","718-245-8769","13","13","COMMUNITY SCHOOL DISTRICT 13","SAMUELS, KAMAR","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 3- Brooklyn North","NULL","NULL","NULL","306","78"
"2020","16K267","K267","M.S. 267 Math, Science & Technology","331600010267","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1999-07-01T00:00:00.000","Open","K324","800 GATES AVENUE","NY","1003090","189930","-73.932066","40.68797","303","36","29300","3016360001","BK35","Stuyvesant Heights","PATRICIA KING","Principal","718-574-2318","718-574-2320","16","16","COMMUNITY SCHOOL DISTRICT 16","MARTIN, YOLANDA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 7- Brooklyn North","NULL","NULL","NULL","303","81"
"2020","18K268","K268","P.S. 268 Emma Lazarus","331800010268","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1953-07-01T00:00:00.000","Open","K268","133 EAST  53 STREET","NY","1004349","178801","-73.92756","40.657421","317","41","86600","3046230028","BK96","Rugby-Remsen Village","Sylvia Fairclough","Principal","718-773-5332","718-493-7448","18","18","COMMUNITY SCHOOL DISTRICT 18","WILKINS, BEVERLY","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 3- Brooklyn South","NULL","NULL","NULL","317","67"
"2020","22K269","K269","P.S. 269 Nostrand","332200010269","DOE","General Academic","Elementary","03,04,05,SE","03,04,05","1952-07-01T00:00:00.000","Closed","K269","1957 NOSTRAND AVENUE","NY","998773","171585","-73.947672","40.637625","317","45","78800","3049940023","BK42","Flatbush","Jazmine Santiago","PRINCIPAL","718-941-2800","718-940-3098","22","22","COMMUNITY SCHOOL DISTRICT 22","BOVE, JULIA","NULL","NULL","NULL","NULL","NULL","NULL","317","67"
