"objectid","boroughcode","buildingnumber","streetname","pssite","plantingspaceonstreet","width","length","parkname","parkzone","crossstreet1","crossstreet2","communityboard","sanitationzone","zipcode","citycouncil","statesenate","stateassembly","congressional","physicalid","psstatus","geometry","globalid","createddate","updateddate","jurisdiction","overheadutilities","treeguard","latitude","longitude","census_tract","bin","bbl","nta","location"
"138046","Staten Island","23","THERESA PLACE","Street",,,,,,"BERTHA PLACE","BEND","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0070010","Populated","POINT (-74.0931564967441716 40.6241391936446874)","7B5786D1-E7E4-473D-B6C6-47C19A9C9856","2015-03-16 04:00:00.0000000","2019-07-20 17:09:08.0000000",,,,,,,,,,"POINT (-74.09315649674417 40.62413919364469)"
"138047","Staten Island","23","THERESA PLACE","Street",,,,,,"BERTHA PLACE","BEND","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0070010","Populated","POINT (-74.0930455023261914 40.6241506012230147)","82844A35-F4F4-4326-B256-A1B6B974B9AE","2015-03-16 04:00:00.0000000","2016-10-17 15:15:02.0000000",,,,,,,,,,"POINT (-74.09304550232619 40.624150601223015)"
"138048","Staten Island","34","THERESA PLACE","Street",,,,,,"BERTHA PLACE","BEND","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0070010","Empty","POINT (-74.0927205929034898 40.6241007449626963)","CFA96998-26E4-4C55-ACE5-04512A03C48D","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.09272059290349 40.624100744962696)"
"138051","Staten Island","33","THERESA PLACE","Street",,,,,,"BERTHA PLACE","BEND","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0070010","Populated","POINT (-74.0925801319814781 40.6242463390066035)","F85106A4-F54F-4568-AD1A-86588D48826F","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.09258013198148 40.6242463390066)"
"138053","Staten Island","56","THERESA PLACE","Street",,,,,,"DUNCAN ROAD","BERTHA PLACE","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0070011","Populated","POINT (-74.0921038091488668 40.6242055966038791)","560FED46-BD30-4D1F-93EC-0432087DD409","2015-03-16 04:00:00.0000000","2016-10-17 16:19:28.0000000",,,,,,,,,,"POINT (-74.09210380914887 40.62420559660388)"
"138054","Staten Island","56","THERESA PLACE","Street",,,,,,"DUNCAN ROAD","BERTHA PLACE","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0070011","Populated","POINT (-74.0920280565568561 40.6243088351471116)","1BCDDE7F-08D2-4EC6-B92B-58D7CF57D892","2015-03-16 04:00:00.0000000","2016-10-17 14:26:07.0000000",,,,,,,,,,"POINT (-74.09202805655686 40.62430883514711)"
"138055","Queens","157-016","65 AVENUE","Street",,,,,,"PARSONS BOULEVARD","157 STREET","408.0","4084C","11367.0","24.0","16.0","27.0","6.0","0025617","Populated","POINT (-73.8107640656291437 40.7369450538897624)","EC0343E5-F42F-4FA0-B866-E81E0C3B4642","2015-03-16 04:00:00.0000000","2019-07-19 12:57:31.0000000",,,,"40.737014","-73.811198","1227.02","4146752","4067490002","Pomonok-Electchester-Hillcrest","POINT (-73.81076406562914 40.73694505388976)"
"138056","Staten Island","75","DUNCAN ROAD","Street",,,,,,"GRYMES HILL ROAD","BEND","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0053926","Populated","POINT (-74.0906766607679401 40.6239400556693013)","63EDAC88-B60A-4550-9B50-E9E6CE63DB94","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.09067666076794 40.6239400556693)"
"138057","Staten Island","88","DUNCAN ROAD","Street",,,,,,"GRYMES HILL ROAD","BEND","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0053926","Populated","POINT (-74.0912057059009754 40.6234586723764153)","4DE2EDB5-1E05-4703-974C-A5FE9A0F72C2","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.09120570590098 40.623458672376415)"
"138058","Queens","65-077","PARSONS BOULEVARD","Street",,,,,,,,"408.0",,,,,,,,"Empty","POINT (-73.8104856437200851 40.7347491429022526)","C78C9597-DCAF-4716-857A-3131603E48CF","2015-03-16 04:00:00.0000000","2020-03-11 14:54:43.0000000",,,,,,,,,,"POINT (-73.81048564372009 40.73474914290225)"
"138059","Staten Island","87","DUNCAN ROAD","Street",,,,,,"GRYMES HILL ROAD","BEND","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0053926","Populated","POINT (-74.0907441625353158 40.6237047874405519)","958480A5-76A7-4574-8BB4-0ED17AB5E22F","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.09074416253532 40.62370478744055)"
"138060","Staten Island","93","GRYMES HILL ROAD","Street",,,,,,"BERTHA PLACE","DUNCAN ROAD","501.0","5011E","10301.0","49.0","23.0","63.0","13.0",,"Populated","POINT (-74.0922215171132592 40.6238130015326888)","4DDF9526-C262-43BF-8262-31471F3E1817","2015-03-16 04:00:00.0000000","2019-09-10 14:31:10.0000000",,,,,,,,,,"POINT (-74.09222151711326 40.62381300153269)"
"138061","Staten Island","121","GRYMES HILL ROAD","Street",,,,,,"DEAD END","BERTHA PLACE","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0085840","Populated","POINT (-74.0927443106940871 40.6234364620811448)","D12FA245-4D3C-48E9-88D9-4D15BEC5D537","2015-03-16 04:00:00.0000000","2016-10-17 14:47:26.0000000",,,,,,,,,,"POINT (-74.09274431069409 40.623436462081145)"
"138062","Staten Island","122","GRYMES HILL ROAD","Street",,,,,,"DEAD END","BERTHA PLACE","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0085840","Populated","POINT (-74.0932068511466042 40.6232526249390915)","64B4E0D0-5C0A-46C3-B8C8-6B011BD1070A","2015-03-16 04:00:00.0000000","2016-10-17 14:43:11.0000000",,,,,,,,,,"POINT (-74.0932068511466 40.62325262493909)"
"138063","Staten Island","132","GRYMES HILL ROAD","Street",,,,,,"DEAD END","BERTHA PLACE","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0085840","Populated","POINT (-74.0934121471521365 40.6231607656605860)","A1E8F285-B8A4-482D-9121-B26A7FD4D325","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.09341214715214 40.623160765660586)"
"138422","Staten Island","34","TOMPKINS STREET","Street",,,,,,"QUINN STREET","BROWNELL STREET","501.0","5011D","10304.0","49.0","23.0","61.0","11.0","0057196","Populated","POINT (-74.0768681298965106 40.6245016011681770)","2E5E7B9F-131F-4F9B-B528-6D42112F9A4B","2015-03-16 04:00:00.0000000","2016-10-12 19:50:49.0000000",,,,,,,,,,"POINT (-74.07686812989651 40.62450160116818)"
"138423","Staten Island","48","TOMPKINS STREET","Street",,,,,,"QUINN STREET","BROWNELL STREET","501.0","5011D","10304.0","49.0","23.0","61.0","11.0","0057196","Populated","POINT (-74.0773761019017769 40.6243505587670768)","AF862ACF-05FF-4E0C-995A-DDE773ABF373","2015-03-16 04:00:00.0000000","2016-10-12 19:54:14.0000000",,,,,,,,,,"POINT (-74.07737610190178 40.62435055876708)"
"138424","Staten Island","51","TOMPKINS STREET","Street",,,,,,"QUINN STREET","BROWNELL STREET","501.0","5011D","10304.0","49.0","23.0","61.0","11.0","0057196","Populated","POINT (-74.0775326692461675 40.6244257372015483)","2985E708-DD94-4DF4-8E07-7CA1CC16D198","2015-03-16 04:00:00.0000000","2016-10-17 19:33:55.0000000",,,,,,,,,,"POINT (-74.07753266924617 40.62442573720155)"
"138425","Staten Island","63","TOMPKINS STREET","Street",,,,,,"QUINN STREET","BROWNELL STREET","501.0","5011D","10304.0","49.0","23.0","61.0","11.0","0057196","Populated","POINT (-74.0779663970892983 40.6242961859208549)","75EBE66E-CD5E-4D05-8682-642A703C2F23","2015-03-16 04:00:00.0000000","2016-10-17 19:32:43.0000000",,,,,,,,,,"POINT (-74.0779663970893 40.624296185920855)"
"138426","Staten Island","65","TOMPKINS STREET","Street",,,,,,"QUINN STREET","BROWNELL STREET","501.0","5011D","10304.0","49.0","23.0","61.0","11.0","0057196","Populated","POINT (-74.0780398572119196 40.6242740965452640)","5A0E8348-B117-493C-ABFB-C014C9CAD2EE","2015-03-16 04:00:00.0000000","2016-10-17 19:29:41.0000000",,,,,,,,,,"POINT (-74.07803985721192 40.624274096545264)"
"138427","Staten Island","85","TOMPKINS STREET","Street",,,,,,"TOMPKINS AVENUE","QUINN STREET","501.0","5011D","10304.0","49.0","23.0","61.0","11.0","0057197","Empty","POINT (-74.0783272592955200 40.6242028275724252)","0CB142C3-12BD-44C8-AA76-B272C97BB788","2015-03-16 04:00:00.0000000","2019-11-15 18:25:18.0000000",,,,,,,,,,"POINT (-74.07832725929552 40.624202827572425)"
"138428","Staten Island","91","TOMPKINS STREET","Street",,,,,,"TOMPKINS AVENUE","QUINN STREET","501.0","5011D","10304.0","49.0","23.0","61.0","11.0","0057197","Empty","POINT (-74.0786742207756390 40.6240834586927591)","4CC6367C-3F04-4DC9-971A-AF10F5BC6A39","2015-03-16 04:00:00.0000000","2016-10-17 19:05:37.0000000",,,,,,,,,,"POINT (-74.07867422077564 40.62408345869276)"
"138429","Staten Island","95","TOMPKINS STREET","Street",,,,,,"TOMPKINS AVENUE","QUINN STREET","501.0","5011D","10304.0","49.0","23.0","61.0","11.0","0057197","Populated","POINT (-74.0788352039141387 40.6240333131476845)","8807C991-C306-4113-B2E5-0897EB183DEF","2015-03-16 04:00:00.0000000","2016-10-17 19:00:17.0000000",,,,,,,,,,"POINT (-74.07883520391414 40.624033313147685)"
"138430","Manhattan","1804","3 AVENUE","Street","3 AV",,,,,"EAST 101 STREET","EAST 100 STREET","111.0","1111A","10029.0","8.0","30.0","68.0","13.0","0003696","Empty","POINT (-73.9472346207867020 40.7878645204157237)","CAE6C16D-4FA9-4177-975E-E113379BCE99","2015-03-16 04:00:00.0000000","2018-07-18 16:49:13.0000000",,,,"40.787852","-73.947403","166","1051804","1016280034","East Harlem (South)","POINT (-73.9472346207867 40.787864520415724)"
"138431","Staten Island","714","BAY STREET","Street",,,,,,"UNNAMED STREET","DOCK STREET","501.0","5011D","10304.0","49.0","23.0","61.0","11.0","0055644","Populated","POINT (-74.0746487680753063 40.6246471354659349)","62D1FC63-0FB2-4367-9777-4FE495EF3E8E","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.0746487680753 40.624647135465935)"
"138432","Staten Island","294","HOWARD AVENUE","Street",,,,,,"GRETA PLACE","GRYMES HILL ROAD","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0049964","Populated","POINT (-74.0885962309724420 40.6228220712643378)","554A8D7C-11A8-4F4C-8627-6A7D52A59FAB","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.08859623097244 40.62282207126434)"
"138433","Staten Island","215","HOWARD AVENUE","Street","4F",,,,,"ADA PLACE","EDDY STREET","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0049966","Empty","POINT (-74.0886026370404664 40.6253254139018409)","F0A73B6F-8E61-480D-85B4-010A84E4BED3","2015-03-16 04:00:00.0000000","2021-07-06 14:50:04.0000000",,,,,,,,,,"POINT (-74.08860263704047 40.62532541390184)"
"138434","Staten Island","232","HOWARD AVENUE","Street","2F",,,,,"ADA PLACE","EDDY STREET","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0049966","Populated","POINT (-74.0886313550422244 40.6244087021997231)","BE722A62-500E-410D-81B7-FF72E78B2D94","2015-03-16 04:00:00.0000000","2017-02-21 09:49:29.0000000",,,,,,,,,,"POINT (-74.08863135504222 40.62440870219972)"
"138435","Staten Island","17","EDDY STREET","Street",,,,,,"BERTHA PLACE","VICTORY BOULEVARD","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0053924","Empty","POINT (-74.0907978637935543 40.6261246170457966)","59783A9D-4919-4E8D-841E-C4FA06D90ECE","2015-03-16 04:00:00.0000000","2017-04-26 12:50:00.0000000",,,,,,,,,,"POINT (-74.09079786379355 40.6261246170458)"
"138436","Staten Island","11","BERTHA PLACE","Street",,,,,,"THERESA PLACE","EDDY STREET","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0098342","Populated","POINT (-74.0908919941638260 40.6259126544783484)","CDD7374E-948E-47D1-B140-6F330159FEA8","2015-03-16 04:00:00.0000000","2016-10-17 14:33:07.0000000",,,,,,,,,,"POINT (-74.09089199416383 40.62591265447835)"
"138437","Staten Island","20","BERTHA PLACE","Street",,,,,,"THERESA PLACE","EDDY STREET","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0098342","Populated","POINT (-74.0910909483547897 40.6258020151507964)","B51EB95F-DC94-4410-8B5E-89CA649EE742","2015-03-16 04:00:00.0000000","2016-10-17 15:27:38.0000000",,,,,,,,,,"POINT (-74.09109094835479 40.625802015150796)"
"138438","Staten Island","15","BERTHA PLACE","Street",,,,,,"THERESA PLACE","EDDY STREET","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0098342","Populated","POINT (-74.0911151715530139 40.6256110751090702)","1ED391F8-51EE-4DDC-BA59-BA6BD4BE825B","2015-03-16 04:00:00.0000000","2016-10-17 14:32:11.0000000",,,,,,,,,,"POINT (-74.09111517155301 40.62561107510907)"
"138439","Brooklyn","8678","15 AVENUE","Street",,,,,,"BENSON AVENUE","86 STREET","311.0","3114C","11228.0","43.0","22.0","47.0","11.0","0051241","Populated","POINT (-74.0111194645745627 40.6099532079523442)","D2782DF4-3D74-465C-A8A3-F7DC16F689D8","2015-03-16 04:00:00.0000000","2022-02-02 17:38:18.0000000",,,,"40.609868","-74.011125","170","3166132","3063590068","Bath Beach","POINT (-74.01111946457456 40.609953207952344)"
"138440","Staten Island","20","BERTHA PLACE","Street",,,,,,"THERESA PLACE","EDDY STREET","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0098342","Populated","POINT (-74.0912525624614915 40.6256440597514867)","B8487A88-9D98-46CA-9020-A69004A2EF53","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.09125256246149 40.62564405975149)"
"138441","Staten Island","30","BERTHA PLACE","Street",,,,,,"THERESA PLACE","EDDY STREET","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0098342","Populated","POINT (-74.0915061721074863 40.6253607923784230)","D39AE3FC-FFCC-4E0E-AB55-ADE7FBBB5DF4","2015-03-16 04:00:00.0000000","2016-10-14 13:10:09.0000000",,,,,,,,,,"POINT (-74.09150617210749 40.62536079237842)"
"138442","Staten Island","56","BERTHA PLACE","Street",,,,,,"THERESA PLACE","EDDY STREET","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0098342","Populated","POINT (-74.0920029054166207 40.6247782335865679)","F6649F43-627D-46E0-8DB8-3970F0F86265","2015-03-16 04:00:00.0000000","2016-10-17 14:28:09.0000000",,,,,,,,,,"POINT (-74.09200290541662 40.62477823358657)"
"138443","Staten Island","61","BERTHA PLACE","Street",,,,,,"THERESA PLACE","EDDY STREET","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0098342","Populated","POINT (-74.0920370285287504 40.6245786610393864)","33DE3A6B-8CDC-4059-93BC-A9E849875403","2015-03-16 04:00:00.0000000","2016-10-17 14:28:43.0000000",,,,,,,,,,"POINT (-74.09203702852875 40.624578661039386)"
"138444","Staten Island","73","EVERTON AVENUE","Street","1S",,,,,"EVERTON PLACE","SPERRY PLACE","503.0","5035D","10312.0","51.0","24.0","62.0","11.0","0085820","Populated","POINT (-74.1944206212554462 40.5480149239304097)","3E7026A3-B6C0-40E1-9BD3-7D89685526DA","2015-03-16 04:00:00.0000000","2018-08-17 13:47:39.0000000",,,,,,,,,,"POINT (-74.19442062125545 40.54801492393041)"
"138445","Staten Island","8","THERESA PLACE","Street",,,,,,"BEND","VICTORY BOULEVARD","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0070010","Populated","POINT (-74.0935874017005602 40.6242496360679795)","6F961745-6FDA-4BD7-B974-E145E5637E0B","2015-03-16 04:00:00.0000000","2016-10-17 15:16:27.0000000",,,,,,,,,,"POINT (-74.09358740170056 40.62424963606798)"
"138446","Staten Island","26","THERESA PLACE","Street",,,,,,"BERTHA PLACE","BEND","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0070010","Populated","POINT (-74.0930246068568579 40.6240572265779250)","933332AA-D4FD-4450-AD3A-B70913DAB891","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.09302460685686 40.624057226577925)"
"138448","Staten Island","50","THERESA PLACE","Street",,,,,,"DUNCAN ROAD","BERTHA PLACE","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0070011","Empty","POINT (-74.0921959188843005 40.6241798292321121)","3E89D68F-D846-4342-BF29-13C2B6DFFA10","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.0921959188843 40.62417982923211)"
"138449","Staten Island","56","THERESA PLACE","Street",,,,,,"DUNCAN ROAD","BERTHA PLACE","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0070011","Empty","POINT (-74.0919614107818774 40.6242169356532798)","6F76565D-66AB-4C7F-871E-FE1E4F37F165","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.09196141078188 40.62421693565328)"
"138450","Staten Island","64","THERESA PLACE","Street",,,,,,"DUNCAN ROAD","BERTHA PLACE","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0070011","Populated","POINT (-74.0918221143865594 40.6242360849851920)","218FF016-366A-4368-BA73-56F0AE0C30F0","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.09182211438656 40.62423608498519)"
"138451","Staten Island","64","THERESA PLACE","Street",,,,,,"DUNCAN ROAD","BERTHA PLACE","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0070011","Populated","POINT (-74.0918521961351360 40.6243351845475331)","22A20EF6-DA57-4D84-93DE-667A32B1F542","2015-03-16 04:00:00.0000000","2016-10-17 14:25:51.0000000",,,,,,,,,,"POINT (-74.09185219613514 40.62433518454753)"
"138452","Staten Island","78","THERESA PLACE","Street",,,,,,,,"501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0070011","Populated","POINT (-74.0912604684246929 40.6243367182503832)","64512DC4-2838-4274-8AFE-4242EDD160F4","2015-03-16 04:00:00.0000000","2023-03-22 14:20:32.0000000",,,"None",,,,,,,"POINT (-74.0912604684247 40.62433671825038)"
"138453","Staten Island","34","DUNCAN ROAD","Street",,,,,,"THERESA PLACE","EDDY STREET","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0053928","Empty","POINT (-74.0909093950254487 40.6250202403070659)","2BA218D8-DAAE-4307-8543-BED2DA448C3B","2015-03-16 04:00:00.0000000","2017-12-01 13:06:43.0000000",,,,,,,,,,"POINT (-74.09090939502545 40.625020240307066)"
"138454","Staten Island","74","DUNCAN ROAD","Street",,,,,,"GRYMES HILL ROAD","BEND","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0053926","Populated","POINT (-74.0908792741544602 40.6239286952154686)","F2050712-C976-4FD2-8DC5-35A0E778DDBD","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.09087927415446 40.62392869521547)"
"138455","Staten Island","88","DUNCAN ROAD","Street",,,,,,"GRYMES HILL ROAD","BEND","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0053926","Populated","POINT (-74.0909120002255435 40.6237586483343520)","5203F53E-DC22-4D53-BB0F-B04F6362D5E0","2015-03-16 04:00:00.0000000","2016-10-17 15:31:52.0000000",,,,,,,,,,"POINT (-74.09091200022554 40.62375864833435)"
"138456","Staten Island","75","DUNCAN ROAD","Street",,,,,,"GRYMES HILL ROAD","BEND","501.0","5011E","10301.0","49.0","23.0","61.0","11.0","0053926","Populated","POINT (-74.0907169154734788 40.6237893222403628)","DAC57B38-472F-426D-BC3F-4BD90FE2CD60","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.09071691547348 40.62378932224036)"
"138458","Queens","158-011","JEWEL AVENUE","Street","PARSONS BOULEVARD",,,,,"161 STREET","PARSONS BOULEVARD","408.0","4084C","11365.0","24.0","16.0","27.0","6.0",,"Populated","POINT (-73.8106246010044202 40.7324826008036567)","65D2A951-2294-4EFE-AC7A-291BF850579B","2015-03-16 04:00:00.0000000","2020-03-11 16:30:00.0000000",,,,,,,,,,"POINT (-73.81062460100442 40.73248260080366)"
"138459","Staten Island","93","GRYMES HILL ROAD","Street",,,,,,"BERTHA PLACE","DUNCAN ROAD","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0085841","Populated","POINT (-74.0921629480700830 40.6235948455190510)","9C469FD7-4763-489D-BFC8-5726F86949E1","2015-03-16 04:00:00.0000000","2016-05-20 13:09:48.0000000",,,,,,,,,,"POINT (-74.09216294807008 40.62359484551905)"
"138460","Staten Island","93","GRYMES HILL ROAD","Street",,,,,,"BERTHA PLACE","DUNCAN ROAD","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0085841","Populated","POINT (-74.0921798917748902 40.6236736509330285)","9368C89D-C636-4E5B-A99B-028C1E760553","2015-03-16 04:00:00.0000000","2016-10-17 15:33:01.0000000",,,,,,,,,,"POINT (-74.09217989177489 40.62367365093303)"
"138461","Staten Island","107","GRYMES HILL ROAD","Street",,,,,,"DEAD END","BERTHA PLACE","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0085840","Populated","POINT (-74.0923247397990963 40.6235720808869232)","894338B5-E8A4-40BB-9273-4D9B17B220D3","2015-03-16 04:00:00.0000000","2016-05-20 13:11:23.0000000",,,,,,,,,,"POINT (-74.0923247397991 40.62357208088692)"
"138462","Staten Island","121","GRYMES HILL ROAD","Street",,,,,,"DEAD END","BERTHA PLACE","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0085840","Populated","POINT (-74.0928474172038420 40.6234526045822761)","57A7CEA3-FF0F-4774-9CDD-7740F414FBF9","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.09284741720384 40.623452604582276)"
"138463","Staten Island","121","GRYMES HILL ROAD","Street",,,,,,"DEAD END","BERTHA PLACE","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0085840","Populated","POINT (-74.0929146967126542 40.6234107110127880)","3977212F-57DE-437A-90E3-8309555A01A5","2015-03-16 04:00:00.0000000","2016-10-17 14:46:36.0000000",,,,,,,,,,"POINT (-74.09291469671265 40.62341071101279)"
"138464","Staten Island","122","GRYMES HILL ROAD","Street",,,,,,"DEAD END","BERTHA PLACE","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0085840","Populated","POINT (-74.0930012378111797 40.6232760369888481)","78858A79-C7E6-4434-871C-398D6BEB9695","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.09300123781118 40.62327603698885)"
"138465","Staten Island","122","GRYMES HILL ROAD","Street",,,,,,"DEAD END","BERTHA PLACE","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0085840","Populated","POINT (-74.0930718098842931 40.6232646273012676)","0572D883-0E86-4CB3-BBB4-A156C8BD9CE8","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.0930718098843 40.62326462730127)"
"138466","Staten Island","132","GRYMES HILL ROAD","Street",,,,,,"DEAD END","BERTHA PLACE","501.0","5011E","10301.0","49.0","23.0","63.0","11.0","0085840","Populated","POINT (-74.0934633045800837 40.6231652203951512)","8E671AA3-B8E5-41CF-B249-C927C25CE691","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.09346330458008 40.62316522039515)"
"138467","Brooklyn","1559","49 STREET","Street",,,,,,"16 AVENUE","15 AVENUE","312.0","3122C","11219.0","44.0","17.0","48.0","10.0","0042833","Populated","POINT (-73.9861800770067646 40.6315053420318506)","7172C558-AAA5-4035-A19C-76C87328E0AD","2015-03-16 04:00:00.0000000","2016-06-30 17:56:32.0000000",,,,"40.631623","-73.986464","234","3327495","3054470051","Borough Park","POINT (-73.98618007700676 40.63150534203185)"
"138468","Bronx","761","TRINITY AVENUE","Street",,,,,,"EAST  158 STREET","EAST  156 STREET","201.0","2012B","10456.0","17.0","32.0","79.0","15.0","0035959","Empty","POINT (-73.9076120416543745 40.8191674580989599)","06041913-1AAA-4D9E-B497-61DE753B7E52","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-73.90761204165437 40.81916745809896)"
"138469","Queens","60-012","69 AVENUE","Street",,,,,,"60 LANE","60 STREET","405.0","4052D","11385.0","30.0","15.0","37.0","6.0","0101593","Populated","POINT (-73.8987114991367662 40.7022817454435781)","F47E38DA-DB57-4F47-9025-456F2336447F","2015-03-16 04:00:00.0000000","2016-10-24 17:36:45.0000000",,,,"40.702367","-73.898601","583","4084377","4035160006","Ridgewood","POINT (-73.89871149913677 40.70228174544358)"
"138470","Queens","84-27","DORAN AVENUE","Street",,,,,,"88 STREET","84 STREET","405.0","4054E","11385.0","30.0","15.0","28.0","6.0","0070065","Populated","POINT (-73.8642932234209155 40.7095698745106773)","DF0041AC-F606-46EB-8587-BFBC2630EDC0","2015-03-16 04:00:00.0000000","2017-10-10 13:05:55.0000000",,,,,,,,,,"POINT (-73.86429322342092 40.70956987451068)"
"138471","Queens","29-21","BELL BOULEVARD","Street",,,,,,"32 AVENUE","29 AVENUE","411.0","4112D","11360.0","19.0","11.0","26.0","6.0","0022265","Populated","POINT (-73.7749151882406125 40.7747087537595192)","EA812E96-76E2-46E4-96DC-5230A1DF2663","2015-03-16 04:00:00.0000000","2020-01-24 18:49:59.0000000",,,,,,,,,,"POINT (-73.77491518824061 40.77470875375952)"
"138472","Brooklyn","646","PARK PLACE","Street",,,,,,"BEDFORD AVENUE","FRANKLIN AVENUE","308.0","3081A","11216.0","35.0","20.0","57.0","9.0","0060183","Populated","POINT (-73.9563980770806779 40.6740432038008279)","4CFA723B-1334-4148-BC24-7516D137A3F5","2015-03-16 04:00:00.0000000","2019-06-10 14:03:18.0000000",,,,,,,,,,"POINT (-73.95639807708068 40.67404320380083)"
"138822","Staten Island","38","TOMPKINS STREET","Street",,,,,,"QUINN STREET","BROWNELL STREET","501.0","5011D","10304.0","49.0","23.0","61.0","11.0","0057196","Populated","POINT (-74.0769665985735344 40.6244723478606389)","972F18E4-F461-486D-94F9-E9C9AA04BA2C","2015-03-16 04:00:00.0000000","2016-10-12 19:51:13.0000000",,,,,,,,,,"POINT (-74.07696659857353 40.62447234786064)"
"138823","Staten Island","33","TOMPKINS STREET","Street",,,,,,"QUINN STREET","BROWNELL STREET","501.0","5011D","10304.0","49.0","23.0","61.0","11.0","0057196","Populated","POINT (-74.0769571091162078 40.6246322869285024)","123144C0-A3B3-4FCF-B52A-5BA902F05A08","2015-03-16 04:00:00.0000000",,,,,,,,,,,"POINT (-74.07695710911621 40.6246322869285)"
"138824","Staten Island","43","TOMPKINS STREET","Street",,,,,,"QUINN STREET","BROWNELL STREET","501.0","5011D","10304.0","49.0","23.0","61.0","11.0","0057196","Populated","POINT (-74.0772653943334660 40.6245021611611534)","47421A1F-203A-4D54-BD99-149C29CBD11B","2015-03-16 04:00:00.0000000","2016-10-17 19:36:09.0000000",,,,,,,,,,"POINT (-74.07726539433347 40.62450216116115)"
"138825","Staten Island","50","TOMPKINS STREET","Street",,,,,,"QUINN STREET","BROWNELL STREET","501.0","5011D","10304.0","49.0","23.0","61.0","11.0","0057196","Populated","POINT (-74.0774464384356008 40.6243314505439912)","3EDD9242-1615-4423-92DB-E91673BDB406","2015-03-16 04:00:00.0000000","2016-10-12 19:56:17.0000000",,,,,,,,,,"POINT (-74.0774464384356 40.62433145054399)"
