"school_year","opt_code","name","affiliation","site_type","street_address","city","state","zip","longitude","latitude","door_to_door_service","stop_to_school_service","common_carrier_svc_metrocards","site_reimbursement","mid_day_service","d2d_late_day_programs","s2s_late_day_programs"
"2016-2017","02765","OUR LADY OF POMPEI SCH","Parochial","School","240 BLEECKER STREET","Manhattan","NY","10014","-74.0027460000","40.7305840000","No","Yes","Yes","No","No","No","No"
"2016-2017","02770","CATHEDRAL ELEMENTARY SCH","Nonsectarian","School","319 EAST 74TH STREET","Manhattan","NY","10021","-73.9567110000","40.7699250000","No","No","Yes","No","No","No","No"
"2016-2017","02771","ST BERNARD'S SCH INC","Nonsectarian","School","4 EAST 98TH STREET","Manhattan","NY","10029","-73.9545830000","40.7890100000","No","No","Yes","No","No","No","No"
"2016-2017","02773","CORLEARS SCHOOL","Nonsectarian","School","324 WEST 15TH STREET","Manhattan","NY","10011","-74.0029820000","40.7407520000","No","No","Yes","No","No","No","No"
"2016-2017","02775","ST DAVID'S SCHOOL","Parochial","School","12 EAST 89TH STREET","Manhattan","NY","10128","-73.9584510000","40.7831360000","No","Yes","Yes","No","No","No","No"
"2016-2017","02776","ST IGNATIUS LOYOLA SCH","Parochial","School","48 EAST 84 STREET","Manhattan","NY","10028","-73.9593620000","40.7792710000","No","Yes","Yes","No","Yes","No","No"
"2016-2017","02777","THE BLUE SCHOOL","Nonsectarian","School","241 WATER STREET","Manhattan","NY","10038","-74.0023470000","40.7079490000","No","No","Yes","No","No","No","No"
"2016-2017","02778","ST JOSEPH OF YORKVILLE","Parochial","School","420 EAST 87TH STREET","Manhattan","NY","10128","-73.9482820000","40.7772040000","No","No","Yes","No","No","No","No"
"2016-2017","02779","ST JEAN BAPTISTE HS","Parochial","School","173 EAST 75TH STREET","Manhattan","NY","10021","-73.9598490000","40.7720750000","No","No","Yes","No","No","No","No"
"2016-2017","02780","ST LUKES SCHOOL","Christian","School","487 HUDSON STREET","Manhattan","NY","10014","-74.0065990000","40.7325290000","No","Yes","Yes","No","No","No","No"
"2016-2017","02783","ST VINCENT FERRER HS","Parochial","School","151 EAST 65TH STREET","Manhattan","NY","10021","-73.9649110000","40.7658560000","No","No","Yes","No","No","No","No"
"2016-2017","02785","EPIPHANY UPPER SCHOOL","Parochial","School","141 EAST 28 STREET","Manhattan","NY","10016","-73.9820020000","40.7425520000","No","Yes","Yes","No","Yes","No","No"
"2016-2017","02787","OFFICE OF ASSESSMENT","Public","Office","52 CHAMBERS STREET  ROOM 309","Manhattan","NY","10007","-74.0056230000","40.7137470000","No","No","Yes","No","No","No","No"
"2016-2017","02789","MANHATTAN COUNTRY SCHOOL","Nonsectarian","School","150 West 85th Street","Manhattan","NY","10025","-73.9741190000","40.7864070000","No","Yes","No","No","Yes","No","No"
"2016-2017","02793","DOMINICAN ACADEMY","Parochial","School","44 EAST 68TH STREET","Manhattan","NY","10021","-73.9669230000","40.7689640000","No","No","Yes","No","No","No","No"
"2016-2017","02795","ALC @ BOWLING GREEN","Public","School","50 BROADWAY 12TH FLOOR","Manhattan","NY","10004","-74.0126750000","40.7064070000","Yes","No","No","No","No","No","No"
"2016-2017","02798","Off. of Senior Dep Chancellor","Public","Office","52 CHAMBERS ST  ROOM 320","Manhattan","NY","10007","-74.0056230000","40.7137470000","No","No","No","No","No","No","No"
"2016-2017","02799","P094M @ PS 281","Public","School","425 EAST 35TH STREET","Manhattan","NY","10016","-73.9725410000","40.7443470000","Yes","No","Yes","No","Yes","Yes","No"
"2016-2017","02801","OFFICE OF POLICY RESEARCH","Public","Office","52 CHAMBERS STREET   ROOM 309","Manhattan","NY","10007","-74.0056230000","40.7137470000","No","No","No","No","No","No","No"
"2016-2017","02802","CFN # 106","Public","Office","333 7TH AVENUE   ROOM 707","Manhattan","NY","10001","-73.9929510000","40.7476210000","No","No","No","No","No","No","No"
"2017-2018","01063","PS 63","Public","School","121 EAST 3RD STREET","Manhattan","NY","10009","-73.9864670000","40.7242420000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","02806","P035M @RIVERVIEW SCH@BELLEVUE","Public","School","462 FIRST AV","Manhattan","NY","10016","-73.9765360000","40.7394610000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","02808","FRIENDS SEMINARY SCH","Christian","School","222 EAST 16TH STREET","Manhattan","NY","10003","-73.9858360000","40.7343620000","No","Yes","Yes","No","No","No","No"
"2016-2017","02809","HEWITT SCHOOL","Nonsectarian","School","45 EAST 75TH STREET","Manhattan","NY","10021","-73.9634770000","40.7736050000","No","Yes","Yes","No","Yes","No","No"
"2016-2017","02811","P094M @ PS 397","Public","School","12 SPRUCE STREET","Manhattan","NY","10038","-74.0055570000","40.7112700000","Yes","No","Yes","No","Yes","Yes","No"
"2016-2017","02814","P226M @ MANHATTAN SCHOOL","Public","School","12 WEST 12TH STREET","Manhattan","NY","10011","-73.9953470000","40.7348970000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","02816","HUNTER COLLEGE HS","Nonsectarian","School","71 EAST 94TH STREET","Manhattan","NY","10128","-73.9542800000","40.7856710000","No","No","Yes","No","Yes","No","No"
"2016-2017","02818","ISLAMIC CULTURAL CTR SCHOOL","Other Religion","School","222 EAST 97TH STREET","Manhattan","NY","10029","-73.9478030000","40.7853540000","No","Yes","Yes","No","Yes","No","No"
"2016-2017","02820","REGIS HS","Parochial","School","55 EAST 84TH STREET","Manhattan","NY","10028","-73.9590890000","40.7793500000","No","No","Yes","No","No","No","No"
"2016-2017","02821","P094M @ PS 340","Public","School","590 AVENUE OF THE AMERICAS","Manhattan","NY","10011","-73.9954430000","40.7391020000","Yes","No","Yes","No","No","No","No"
"2016-2017","02822","TRANSFIGURATION UPPER SCHOOL","Parochial","School","37 ST.JAMES PLACE","Manhattan","NY","10038","-73.9991410000","40.7122030000","No","No","Yes","No","No","No","No"
"2016-2017","02824","THE DALTON SCHOOL","Nonsectarian","School","108 EAST 89 STREET","Manhattan","NY","10128","-73.9552840000","40.7818000000","No","Yes","Yes","No","No","No","No"
"2016-2017","02825","ELISABETH IRWIN HS","Nonsectarian","School","40 CHARLTON STREET","Manhattan","NY","10014","-74.0048020000","40.7270000000","No","No","Yes","No","No","No","No"
"2016-2017","02826","THE DALTON SCHOOL-ANNEX","Nonsectarian","School","53-61 EAST 91 STREET","Manhattan","NY","10128","-73.9558940000","40.7838900000","No","Yes","Yes","No","No","No","No"
"2016-2017","02830","THE BEEKMAN SCHOOL","Nonsectarian","School","220 EAST 50TH STREET","Manhattan","NY","10022","-73.9701650000","40.7554770000","No","No","Yes","No","No","No","No"
"2016-2017","02833","Q345 @ DIV OF EQUITY & ACCESS","Public","Office","52 CHAMBERS STREET ROOM 319","Manhattan","NY","10007","-74.0056230000","40.7137470000","No","No","No","No","No","No","No"
"2016-2017","02840","RUDOLF STEINER SCHOOL","Nonsectarian","School","15 EAST 79TH STREET","Manhattan","NY","10021","-73.9629500000","40.7767730000","No","Yes","Yes","No","No","No","No"
"2016-2017","02841","THE SPENCE SCHOOL","Nonsectarian","School","22 EAST 91ST STREET","Manhattan","NY","10128","-73.9572500000","40.7842670000","No","Yes","Yes","No","Yes","No","No"
"2016-2017","02843","TOWN SCHOOL INC","Nonsectarian","School","540 EAST 76TH STREET","Manhattan","NY","10021","-73.9509080000","40.7689460000","No","Yes","Yes","No","Yes","No","No"
"2016-2017","02844","UN INTERNATIONAL SCH","Nonsectarian","School","24-50 FRANKLIN D. ROOSEVELT DRIVE","Manhattan","NY","10010","-73.9744370000","40.7365330000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","02846","VILLAGE COMMUNITY SCH","Nonsectarian","School","272 WEST 10TH STREET","Manhattan","NY","10014","-74.0078670000","40.7334220000","No","No","Yes","No","Yes","No","No"
"2016-2017","02850","LITTLE RED SCHOOLHOUSE","Nonsectarian","School","196 BLEECKER ST","Manhattan","NY","10012","-74.0016130000","40.7292700000","No","Yes","Yes","No","Yes","No","No"
"2016-2017","02855","LOYOLA HS","Parochial","School","980 PARK AVENUE N.Y.","Manhattan","NY","10028","-73.9586920000","40.7785030000","No","No","Yes","No","No","No","No"
"2016-2017","02862","HOSPITALS SCHOOLS @ ICD HOSP","Public","Office","50 BROADWAY","Manhattan","NY","10004","-74.0126750000","40.7064070000","No","No","Yes","No","No","No","No"
"2016-2017","02866","THE ARK NURSY AND KNDG SCH","Nonsectarian","School","12 EAST 79TH STREET","Manhattan","NY","10021","-73.9631400000","40.7766580000","No","No","No","No","No","No","No"
"2016-2017","02870","THE ALLEN STEVENSON SCHOOL","Nonsectarian","School","132 EAST 78TH STREET","Manhattan","NY","10021","-73.9599320000","40.7744060000","No","Yes","Yes","No","Yes","No","No"
"2016-2017","02872","Winston Preparatory School","Nonsectarian","School","126 WEST 17 STREET","Manhattan","NY","10011","-73.9964370000","40.7395920000","Yes","No","Yes","No","No","No","No"
"2016-2017","02875","BARUCH COLLEGE CAMPUS HS","Public","School","55 EAST 25TH STREET","Manhattan","NY","10010","-73.9864850000","40.7420030000","Yes","No","Yes","No","No","No","No"
"2016-2017","02876","BIRCH WATHEN LENOX LOWER SCH","Nonsectarian","School","210 EAST 77 STREET","Manhattan","NY","10075","-73.9578170000","40.7726830000","No","No","Yes","No","No","No","No"
"2016-2017","02877","NYC LAW DEPART GEN.LITIGATION","Nonsectarian","Office","100 CHURCH ST ROOM 2-195","Manhattan","NY","10007","-74.0095800000","40.7130060000","No","No","No","No","No","No","No"
"2016-2017","02878","BREARLEY SCHOOL","Nonsectarian","School","610 EAST 83RD STREET","Manhattan","NY","10028","-73.9460140000","40.7728110000","No","Yes","Yes","No","No","No","No"
"2016-2017","02880","THE BROWNING SCHOOL","Nonsectarian","School","52 EAST 62ND STREET","Manhattan","NY","10021","-73.9695400000","40.7651590000","No","Yes","Yes","No","No","No","No"
"2016-2017","02881","WINSTON PREP @ COOKE CTR","Nonsectarian","School","252 WEST 29TH STREET 4TH FLOOR","Manhattan","NY","10001","-73.9944390000","40.7484030000","Yes","No","No","No","No","No","No"
"2016-2017","02882","BUCKLEY SCHOOL","Nonsectarian","School","113 EAST 73RD STREET","Manhattan","NY","10021","-73.9626040000","40.7715800000","No","No","Yes","No","No","No","No"
"2016-2017","02884","THE CAEDMON SCHOOL","Nonsectarian","School","416 EAST 80TH STREET","Manhattan","NY","10021","-73.9513710000","40.7725800000","No","No","Yes","No","Yes","No","No"
"2016-2017","02885","HOME INSTR.SCHOOL- MANHATTAN","Public","School","250 WEST HOUSTON STREET","Manhattan","NY","10014","-74.0059750000","40.7287520000","No","Yes","No","No","No","No","No"
"2016-2017","02886","CHAPIN SCHOOL","Nonsectarian","School","100 EAST END AVENUE","Manhattan","NY","10028","-73.9457250000","40.7738010000","No","Yes","Yes","No","No","No","No"
"2016-2017","02888","MANHATTAN BOROUGH OFFICE STH","Public","Office","333 7TH AVENUE","Manhattan","NY","10001","-73.9929510000","40.7476210000","No","No","Yes","No","No","No","No"
"2016-2017","02908","CHILD SCHOOL ELEM-WESTVIEW","Nonsectarian","School","587 MAIN STREET","Manhattan","NY","10044","-73.9493940000","40.7628020000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","02909","CHURCHILL SCHOOL","Nonsectarian","School","301 EAST 29TH STREET","Manhattan","NY","10016","-73.9777400000","40.7415590000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","02911","LORGE SCHOOL","Nonsectarian","School","353 WEST 17TH STREET","Manhattan","NY","10011","-74.0025510000","40.7423630000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","02912","DIVISION FOR FAMILY","Public","Office","49 CHAMBERS STREET  ROOM 503","Manhattan","NY","10007","-74.0053710000","40.7138300000","No","No","No","No","No","No","No"
"2016-2017","02913","THE COLLEGE BRIDGE","Public","Office","269 WEST 35TH STREET","Manhattan","NY","10018","-73.9918710000","40.7524860000","No","No","No","No","No","No","No"
"2016-2017","02914","UNITED CEREBRAL PALSY","Nonsectarian","School","122 EAST 23RD STREET","Manhattan","NY","10010","-73.9853730000","40.7396770000","No","No","No","No","No","No","No"
"2016-2017","02915","UNITED CEREBRAL PALSY(ANNEX)","Nonsectarian","School","309 WEST 23RD STREET","Manhattan","NY","10025","-73.9989990000","40.7456070000","No","No","No","No","No","No","No"
"2016-2017","02916","ALL CITY MUSIC PROG DOE-PO'S","Public","Office","52 CHAMBERS STREET  ROOM 210","Manhattan","NY","10007","-74.0056230000","40.7137470000","No","No","No","No","No","No","No"
"2016-2017","02918","CHILDREN'S ACADEMY","Nonsectarian","School","350 EAST 82ND STREET 2ND FLOOR","Manhattan","NY","10028","-73.9524990000","40.7747170000","Yes","No","Yes","No","No","No","No"
"2016-2017","02921","AVENUES OF NEW YORK","Nonsectarian","School","259 10TH AVENUE","Manhattan","NY","10003","-74.0032350000","40.7491510000","No","Yes","Yes","No","Yes","No","No"
"2016-2017","02922","GRACE CHURCH HS","Nonsectarian","School","38 COOPER SQUARE","Manhattan","NY","10003","-73.9913100000","40.7283270000","No","No","Yes","No","No","No","No"
"2016-2017","02924","OFFICE OF CURRICULUM & P.D.","Public","Office","52 CHAMBERS STREET  ROOM 209","Manhattan","NY","10007","-74.0056230000","40.7137470000","No","No","Yes","No","No","No","No"
"2016-2017","02927","INTERNATIONAL HS AT UNION SQ","Public","School","40 IRVING PLACE","Manhattan","NY","10003","-73.9875440000","40.7354910000","Yes","No","Yes","No","No","No","No"
"2016-2017","02930","The Rebecca School","Nonsectarian","School","40 East 30 Street","Manhattan","NY","10016","-73.9844120000","40.7449860000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","02934","P2G @ ALT EDUC COMPLEX/HUB","Public","School","269 WEST 35TH STREET","Manhattan","NY","10018","-73.9918710000","40.7524860000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","02935","CFN # 411","Public","Office","333 7TH AVENUE 12TH FLOOR","Manhattan","NY","10002","-73.9929510000","40.7476210000","No","No","No","No","No","No","No"
"2016-2017","02940","CFN # 102","Public","Office","333 7TH AVNUE  7TH FLOOR","Manhattan","NY","10002","-73.9929510000","40.7476210000","No","No","No","No","No","No","No"
"2016-2017","02871","RAMAZ MIDDLE SCHOOL","Yeshiva","School","114 EAST 85TH STREET","Manhattan","NY","10028","-73.9570560000","40.7791270000","No","Yes","Yes","No","No","No","Yes"
"2015-2016","11002","PS 483","Public","School","4520 MATILDA AVENUE","Bronx","NY","10470","-73.8544000000","40.9014280000","No","Yes","Yes","No","No","No","No"
"2016-2017","02941","OFF.OF TRAVEL TRAINING DIST 75","Public","Office","400 FIRST AVENUE","Manhattan","NY","10010","-73.9782140000","40.7370700000","No","No","Yes","No","No","No","No"
"2016-2017","02942","SCHOOL WELLNESS PROGRAMS","Public","Office","52 CHAMBERS STREET   ROOM 209","Manhattan","NY","10007","-74.0056230000","40.7137470000","No","No","No","No","No","No","No"
"2016-2017","02945","O.F.E.A.","Public","Office","49 CHAMBERS STREET  ROOM 503","Manhattan","NY","10007","-74.0053710000","40.7138300000","No","No","No","No","No","No","No"
"2016-2017","02946","LYFE PROGRAM OFFICE","Public","Office","500 8TH AVENUE  ROOM 1004","Manhattan","NY","10018","-73.9928140000","40.7529050000","No","No","Yes","No","No","No","No"
"2016-2017","02947","DIVISION OF SCHOOL SUPPORT","Public","Office","52 CHAMBERS STREET  ROOM 319","Manhattan","NY",,"-74.0056230000","40.7137470000","No","No","Yes","No","No","No","No"
"2016-2017","02948","CHILD SCH HS -ISLAND HOUSE","Nonsectarian","School","585 MAIN STREET","Manhattan","NY","10044","-73.9494000000","40.7627920000","Yes","No","Yes","No","No","No","No"
"2016-2017","02950","P2G@THE HAMPHIRE SCHOOL","Public","School","157 WEST 47 STREET","Manhattan","NY","10036","-73.9833030000","40.7587470000","No","No","Yes","No","No","No","No"
"2016-2017","02954","P2G-ALT ED COMP","Public","School","500 EIGHTH AVENUE","Manhattan","NY","10018","-73.9928140000","40.7529050000","No","No","Yes","No","No","No","No"
"2016-2017","02955","CFN # 521","Public","Office","333 7TH AVENUE  8TH FLOOR","Manhattan","NY","10002","-73.9929510000","40.7476210000","No","No","No","No","No","No","No"
"2016-2017","02956","CFN # 532","Public","Office","333 7TH AVENUE   ROOM 834","Manhattan","NY","10002","-73.9929510000","40.7476210000","No","No","No","No","No","No","No"
"2016-2017","02957","P2G @ CO-OP TECH","Public","School","321 EAST 96TH STREET","Manhattan","NY","10128","-73.9463360000","40.7840240000","Yes","No","Yes","No","No","No","No"
"2016-2017","02959","CFN # 203","Public","Office","333 7TH AVENUE  12TH FLOOR","Manhattan","NY","10002","-73.9929510000","40.7476210000","No","No","No","No","No","No","No"
"2016-2017","02960","MARYMOUNT SCH OF NY 97TH ST","Other Religion","School","116 EAST 97TH STREET","Manhattan","NY","10029","-73.9513360000","40.7868220000","No","No","Yes","No","No","No","No"
"2016-2017","02961","CSE 9","Public","Office","333 7TH AVENUE 4TH FLOOR","Manhattan","NY","10001","-73.9929510000","40.7476210000","No","No","Yes","No","No","No","No"
"2016-2017","02964","LEMAN MANHATTAN PREP SCHOOL","Nonsectarian","School","41 BROAD STREET","Manhattan","NY","10004","-74.0113460000","40.7055750000","No","Yes","Yes","No","Yes","No","No"
"2016-2017","02965","MAN ACAD FOR ARTS & LANGUAGE","Public","School","111 EAST 33RD STREET","Manhattan","NY","10016","-73.9812430000","40.7462660000","No","No","Yes","No","No","No","No"
"2016-2017","02966","MURRAY HILL ACADEMY","Public","School","111 EAST 33RD STREET","Manhattan","NY","10016","-73.9812430000","40.7462660000","Yes","No","Yes","No","No","No","No"
"2016-2017","02968","COOKE CTR ACAD SKILLS PROGRAM","Nonsectarian","School","254 WEST 29TH STREET","Manhattan","NY","10001","-73.9944680000","40.7484150000","Yes","No","Yes","No","No","No","No"
"2016-2017","02969","ARIS PARENT LINK-(WTC)","Public","Office","52 CHAMBERS STREET ROOM 313","Manhattan","NY","10007","-74.0056230000","40.7137470000","No","No","No","No","No","No","No"
"2016-2017","02970","OFFICE OF ARTS & SPECIAL PROJ","Public","Office","333 7th AVENUE  ROOM 801","Manhattan","NY","10001","-73.9929510000","40.7476210000","No","No","Yes","No","No","No","No"
"2016-2017","02971","P2G @ MADISON AVENUE","Public","School","40 EAST 29TH STREET","Manhattan","NY","10016","-73.9848300000","40.7443560000","No","No","No","No","No","No","No"
"2016-2017","02972","MCCARTON CENTER","Nonsectarian","School","350 EAST 82ND STREET","Manhattan","NY","10028","-73.9524990000","40.7747170000","No","No","No","No","No","No","No"
"2016-2017","02973","DEPT. OF MATH -SCIENCE  TWEED","Public","Office","52 CHAMBERS STREET  ROOM 208","Manhattan","NY","10007","-74.0056230000","40.7137470000","No","No","No","No","No","No","No"
"2017-2018","01064","PS 64","Public","School","600 EAST 6TH STREET","Manhattan","NY","10009","-73.9813380000","40.7242720000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","02974","FIELD OPERATIONS","Public","Office","52 CHAMBERS STREET ROOM 413","Manhattan","NY","10007","-74.0056230000","40.7137470000","No","No","No","No","No","No","No"
"2016-2017","02976","SPECIALIZED HS INST-TWEED","Public","Office","52 CHAMBERS STREET  ROOM 415","Manhattan","NY","10007","-74.0056230000","40.7137470000","No","No","No","No","No","No","No"
"2016-2017","02977","CENTRAL OFFICE HOME SCHOOLING","Public","Office","333 7TH AVENUE  7th FLOOR","Manhattan","NY","10001","-73.9929510000","40.7476210000","No","No","Yes","No","No","No","No"
"2016-2017","02980","EBL COACHING (IMPARTIAL)","Nonsectarian","School","17 EAST 89TH STREET SUITE 1D","Manhattan","NY","10128","-73.9582150000","40.7832310000","No","No","Yes","No","No","No","No"
"2016-2017","02981","P226M @ PACE UNIVERSITY","Public","School","163 WILLIAM STREET 11TH FLOOR","Manhattan","NY","10038","-74.0059580000","40.7101820000","Yes","No","Yes","No","No","No","No"
"2016-2017","02982","P226M@ P841 THE LIGHTHOUSE","Public","School","111 EAST 59 STREET","Manhattan","NY","10022","-73.9691390000","40.7627300000","No","No","No","No","No","No","No"
"2016-2017","02983","QUEST TO LEARN","Public","School","351 WEST 18TH STREET","Manhattan","NY","10011","-74.0020690000","40.7429250000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","02984","HUDSON HS OF LEARNING TECH","Public","School","351 WEST 18TH STREET","Manhattan","NY","10011","-74.0020690000","40.7429250000","Yes","No","Yes","No","No","No","No"
"2016-2017","02986","AARON ELEMENTARY SCHOOL","Nonsectarian","School","309 EAST 45TH STREET","Manhattan","NY","10017","-73.9702860000","40.7516300000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","02990","AARON SCHOOL","Nonsectarian","School","42 EAST 30TH STREET","Manhattan","NY","10016","-73.9843800000","40.7449730000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","02991","P138M @ IS 114","Public","School","331 EAST 91 STREET","Manhattan","NY","10128","-73.9485130000","40.7807770000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","02993","URBAN ASSEMBLY NY HARBOR SCH","Public","School","10 SOUTH ST,BATTERY MARITIME SLIP 7","Manhattan","NY","10004","-74.0115700000","40.7017790000","Yes","No","Yes","No","No","No","No"
"2016-2017","02997","ALC-BATTERY PARK","Public","School","50 BROADWAY   12TH FLOOR","Manhattan","NY","10007","-74.0126750000","40.7064070000","No","No","No","No","No","No","No"
"2016-2017","02998","STEINHARDT SCH OF EDUC. NYU  S","Public","Office","82 WASHINGTON SQUARE EAST  3RD FL","Manhattan","NY","10003","-73.9961680000","40.7298730000","No","No","No","No","No","No","No"
"2016-2017","02999","LYCEE FRANCAIS DE NEW YORK","Nonsectarian","School","505 EAST 75TH STREET","Manhattan","NY","10021","-73.9518740000","40.7687160000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03001","THE SHEFA SCHOOL","Yeshiva","School","180 AMSTERDAM AVENUE","Manhattan","NY","10023","-73.9835280000","40.7761810000","Yes","No","No","No","No","No","No"
"2016-2017","03002","The Ideal Sch of Man MS&HS","Nonsectarian","School","270 West 89th Street","Manhattan","NY","10024","-73.9758800000","40.7904760000","Yes","No","Yes","No","No","No","No"
"2016-2017","03004","THE MANHATTAN CHILDREN'S CNTR","Nonsectarian","School","111 West 92 street","Manhattan","NY","10025","-73.9699620000","40.7906340000","Yes","No","Yes","No","No","No","No"
"2016-2017","03005","Manhattan Behavioral Center","Nonsectarian","School","124 West 95th Street","Manhattan","NY","10025","-73.9689790000","40.7924920000","Yes","No","Yes","No","No","No","No"
"2016-2017","03006","HUNTINGTON LRNG CTR-CORP","Other Religion","Office","237 WEST 72ND STREET","Manhattan","NY","10023","-73.9830330000","40.7792140000","No","No","Yes","No","No","No","No"
"2016-2017","03007","Mysak Clinic","Nonsectarian","School","525 W 120th Street","Manhattan","NY","10027","-73.9600900000","40.8097160000","No","No","No","No","No","No","No"
"2016-2017","03008","Academics West","Nonsectarian","School","124 West 79th Street, Suite B","Manhattan","NY","10024","-73.9764030000","40.7823290000","Yes","No","Yes","No","No","No","No"
"2016-2017","03010","P2G-LINCOLN SQ NEIGH CTR","Public","School","250 WEST 65TH STREET","Manhattan","NY","10023","-73.9851070000","40.7742630000","No","No","Yes","No","No","No","No"
"2016-2017","03011","MANHATTAN COUNTRY SCHOOL","Nonsectarian","School","150 West 85th Street","Manhattan","NY","10024","-73.9741190000","40.7864070000","No","No","Yes","No","No","No","No"
"2016-2017","03012","MID-MANHATTAN ADULT LRN CTR","Public","Office","212 WEST 120 STREET","Manhattan","NY","10027","-73.9513850000","40.8059940000","No","No","Yes","No","No","No","No"
"2016-2017","03054","I.S. 54","Public","School","103 WEST 107TH STREET","Manhattan","NY","10025","-73.9627770000","40.8001800000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03075","PS 75","Public","School","735 WEST END AVENUE","Manhattan","NY","10025","-73.9733820000","40.7951920000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03076","PS/MS 76","Public","School","220 WEST 121ST STREET","Manhattan","NY","10027","-73.9511030000","40.8066960000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","03084","PS 84","Public","School","32 WEST 92ND STREET","Manhattan","NY","10025","-73.9676270000","40.7894610000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03087","PS 87","Public","School","160 WEST 78TH STREET","Manhattan","NY","10024","-73.9776540000","40.7818760000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03145","PS 145","Public","School","150 WEST 105TH STREET","Manhattan","NY","10025","-73.9648380000","40.7990880000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03149","PS/MS 149 SOJOURNER TRUTH SCH","Public","School","41 WEST 117TH STREET","Manhattan","NY","10026","-73.9477730000","40.8022010000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03163","PS 163","Public","School","163 WEST 97TH STREET","Manhattan","NY","10025","-73.9686460000","40.7943280000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03165","PS 165","Public","School","234 WEST 109TH STREET","Manhattan","NY","10025","-73.9654240000","40.8027500000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03166","PS 166","Public","School","132 WEST 89TH STREET","Manhattan","NY","10024","-73.9718690000","40.7887880000","No","Yes","Yes","No","Yes","No","No"
"2016-2017","03180","PS 180","Public","School","370 WEST 120TH STREET","Manhattan","NY","10027","-73.9556150000","40.8077740000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03185","PS 185","Public","School","20 WEST 112TH STREET","Manhattan","NY","10026","-73.9487010000","40.7981920000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03191","PS 191/HUDSON HONORS M.S.","Public","School","210 WEST 61ST STREET","Manhattan","NY","10023","-73.9873750000","40.7718570000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03199","PS 199","Public","School","270 WEST 70TH STREET","Manhattan","NY","10023","-73.9844970000","40.7779900000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03208","PS 208","Public","School","21 WEST 111TH STREET","Manhattan","NY","10026","-73.9496460000","40.7979320000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03279","THE OPPORTUNITY CHARTER MS","Charter","School","240 WEST 113 STREET","Manhattan","NY","10026","-73.9552510000","40.8017460000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","03291","WESTEND SECONDARY","Public","School","227-243 WEST 61ST STREET","Manhattan","NY","10023","-73.9875790000","40.7721370000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","03299","HS ARTS,IMAGINATION & INQUIRY","Public","School","122 AMSTERDAM AVENUE","Manhattan","NY","10023","-73.9848420000","40.7743840000","Yes","No","Yes","No","No","No","No"
"2016-2017","03325","WADLEIGH SEC.SCH.PERF.& VISUAL","Public","School","215 WEST 114 STREET","Manhattan","NY","10026","-73.9541890000","40.8023130000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","03329","HARLEM LINK CHARTER SCHOOL","Charter","School","20 WEST 112 STREET","Manhattan","NY","10026","-73.9487010000","40.7981920000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03334","PS 334 THE ANDERSON SCHOOL","Public","School","100 WEST 77TH STREET","Manhattan","NY","10024","-73.9769090000","40.7807570000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03351","SUCCESS ACADEMY HARLEM 1","Charter","School","34 WEST 118 ST  2ND FLOOR","Manhattan","NY","10026","-73.9467520000","40.8023990000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03384","SUCCESS ACADEMY HARLEM 4","Charter","School","240 WEST 113TH STREET","Manhattan","NY","10026","-73.9552510000","40.8017460000","No","Yes","Yes","No","Yes","No","No"
"2016-2017","03406","PS 242","Public","School","134 WEST 122 STREET","Manhattan","NY","10027","-73.9480560000","40.8062300000","Yes","Yes","Yes","No","Yes","No","No"
