"eventid","eventtype","startdatetime","enddatetime","enteredon","eventagency","parkingheld","borough","communityboard_s","policeprecinct_s","category","subcategoryname","country","zipcode_s"
"714664","Theater Load in and Load Outs","2023-05-15T00:01:00.000","2023-05-16T06:00:00.000","2023-05-07T11:16:42.000","Mayor's Office of Film, Theatre & Broadcasting","EAST   11 STREET between 3 AVENUE and 4 AVENUE,  3 AVENUE between EAST   11 STREET and EAST   12 STREET","Manhattan","11, 3","23, 9","Theater","Theater","United States of America","10003, 10029"
"714661","Theater Load in and Load Outs","2023-05-11T00:01:00.000","2023-05-12T06:00:00.000","2023-05-07T11:01:44.000","Mayor's Office of Film, Theatre & Broadcasting","EAST   11 STREET between 3 AVENUE and 4 AVENUE,  3 AVENUE between EAST   11 STREET and EAST   12 STREET","Manhattan","11, 3","23, 9","Theater","Theater","United States of America","10003, 10029"
"714648","Theater Load in and Load Outs","2023-05-17T00:01:00.000","2023-05-18T06:00:00.000","2023-05-07T06:13:57.000","Mayor's Office of Film, Theatre & Broadcasting","FROST STREET between DEBEVOISE AVENUE and MORGAN AVENUE,  DEBEVOISE AVENUE between FROST STREET and RICHARDSON STREET","Brooklyn","1","94","Theater","Theater","United States of America","11222"
"714647","Theater Load in and Load Outs","2023-05-19T00:01:00.000","2023-05-19T23:59:00.000","2023-05-07T04:01:58.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   55 STREET between 11 AVENUE and 12 AVENUE,  WEST   56 STREET between 11 AVENUE and 12 AVENUE,  11 AVENUE between WEST   55 STREET and WEST   56 STREET","Manhattan","4","18","Theater","Theater","United States of America","10019"
"714646","Theater Load in and Load Outs","2023-05-17T00:01:00.000","2023-05-18T19:00:00.000","2023-05-07T03:47:08.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   55 STREET between 11 AVENUE and 12 AVENUE,  11 AVENUE between WEST   55 STREET and WEST   56 STREET","Manhattan","4, 5","18","Theater","Theater","United States of America","10019, 10020"
"714645","Theater Load in and Load Outs","2023-05-13T00:01:00.000","2023-05-14T01:00:00.000","2023-05-07T03:10:52.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   55 STREET between 11 AVENUE and 12 AVENUE,  WEST   56 STREET between 11 AVENUE and 12 AVENUE,  11 AVENUE between WEST   55 STREET and WEST   56 STREET","Manhattan","4","18","Theater","Theater","United States of America","10019"
"714644","Theater Load in and Load Outs","2023-05-10T00:00:00.000","2023-05-12T06:00:00.000","2023-05-07T02:54:01.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   55 STREET between 11 AVENUE and 12 AVENUE,  WEST   56 STREET between 11 AVENUE and 12 AVENUE,  11 AVENUE between WEST   55 STREET and WEST   56 STREET","Manhattan","4","18","Theater","Theater","United States of America","10019"
"714640","Shooting Permit","2023-05-10T22:00:00.000","2023-05-11T13:00:00.000","2023-05-06T22:08:22.000","Mayor's Office of Film, Theatre & Broadcasting","10 AVENUE between WEST   33 STREET and WEST   31 STREET","Manhattan","4","10","WEB","Not Applicable","United States of America","10001"
"714552","Shooting Permit","2023-05-22T06:00:00.000","2023-05-22T22:00:00.000","2023-05-05T19:53:13.000","Mayor's Office of Film, Theatre & Broadcasting","BROADWAY between WEST  116 STREET and WEST  120 STREET","Manhattan","9","26","Television","Episodic series","United States of America","10027"
"714539","Shooting Permit","2023-05-10T10:00:00.000","2023-05-10T22:00:00.000","2023-05-05T17:51:16.000","Mayor's Office of Film, Theatre & Broadcasting","VERNON BOULEVARD between QUEENS PLAZA SOUTH and 43 AVENUE,  9 STREET between QUEENS PLAZA SOUTH and 43 AVENUE,  CHRYSTIE STREET between CANAL STREET and HESTER STREET,  BOWERY between CANAL STREET and HESTER STREET,  BOWERY between HESTER STREET and GRAND STREET","Manhattan","2, 3, 8","108, 114, 19, 5","Film","Feature","United States of America","10002, 10013, 10022, 10044, 10065, 11101"
"714483","Shooting Permit","2023-05-10T06:00:00.000","2023-05-10T21:00:00.000","2023-05-05T14:51:41.000","Mayor's Office of Film, Theatre & Broadcasting","3 AVENUE between EAST   13 STREET and EAST   12 STREET,  EAST   13 STREET between 3 AVENUE and 4 AVENUE,  EAST   19 STREET between BROADWAY and 5 AVENUE","Manhattan","3, 5, 6","13, 9","Commercial","Promo","United States of America","10003, 10016"
"714435","Theater Load in and Load Outs","2023-05-13T00:01:00.000","2023-05-15T06:00:00.000","2023-05-05T13:47:57.000","Mayor's Office of Film, Theatre & Broadcasting","FROST STREET between DEBEVOISE AVENUE and MORGAN AVENUE,  DEBEVOISE AVENUE between FROST STREET and RICHARDSON STREET","Brooklyn","1","94","Theater","Theater","United States of America","11222"
"714431","Theater Load in and Load Outs","2023-05-11T00:01:00.000","2023-05-12T06:00:00.000","2023-05-05T13:39:15.000","Mayor's Office of Film, Theatre & Broadcasting","FROST STREET between DEBEVOISE AVENUE and MORGAN AVENUE,  DEBEVOISE AVENUE between FROST STREET and RICHARDSON STREET","Brooklyn","1","94","Theater","Theater","United States of America","11222"
"714404","Shooting Permit","2023-05-08T08:00:00.000","2023-05-08T23:00:00.000","2023-05-05T12:52:25.000","Mayor's Office of Film, Theatre & Broadcasting","NORTH HENRY STREET between GREENPOINT AVENUE and MESEROLE AVENUE,  RUSSELL STREET between GREENPOINT AVENUE and CALYER STREET,  MONITOR STREET between GREENPOINT AVENUE and NORMAN AVENUE","Brooklyn","1","94","Television","Episodic series","United States of America","11222"
"714325","Shooting Permit","2023-05-09T12:00:00.000","2023-05-10T02:00:00.000","2023-05-05T10:13:45.000","Mayor's Office of Film, Theatre & Broadcasting","164 STREET between 32 AVENUE and 33 AVENUE,  164 STREET between 33 AVENUE and 35 AVENUE,  157 STREET between 35 AVENUE and NORTHERN BOULEVARD,  33 AVENUE between 162 STREET and 165 STREET,  163 STREET between 32 AVENUE and 33 AVENUE,  29 AVENUE between 155 STREET and 159 STREET,  155 STREET between 32 AVENUE and 29 AVENUE","Queens","7","109","Television","Episodic series","United States of America","11354, 11358"
"714306","Shooting Permit","2023-05-09T06:00:00.000","2023-05-09T23:00:00.000","2023-05-05T09:29:12.000","Mayor's Office of Film, Theatre & Broadcasting","5 AVENUE between EAST   73 STREET and EAST   71 STREET","Manhattan","1, 64, 8","1, 19, 22, 5","WEB","Not Applicable","United States of America","10007, 10021, 10023, 10038"
"714305","DCAS Prep/Shoot/Wrap Permit","2023-05-09T10:00:00.000","2023-05-09T19:00:00.000","2023-05-05T09:29:10.000","Mayor's Office of Film, Theatre & Broadcasting","CHAMBERS STREET between ELK STREET and BROADWAY,  BROADWAY between READE STREET and CHAMBERS STREET,  READE STREET between BROADWAY and CHURCH STREET","Manhattan","1","1, 5","WEB","Not Applicable","United States of America","10007"
"714266","Shooting Permit","2023-05-10T07:00:00.000","2023-05-10T21:00:00.000","2023-05-04T21:47:23.000","Mayor's Office of Film, Theatre & Broadcasting","LEONARD STREET between MESEROLE AVENUE and CALYER STREET","Brooklyn","1","94","Commercial","Commercial","United States of America","11222"
"714265","Shooting Permit","2023-05-09T07:00:00.000","2023-05-09T21:00:00.000","2023-05-04T21:47:22.000","Mayor's Office of Film, Theatre & Broadcasting","STRATFORD ROAD between CHURCH AVENUE and ALBERMARLE ROAD","Brooklyn","14","70","Commercial","Commercial","United States of America","11218"
"714247","Shooting Permit","2023-05-06T06:00:00.000","2023-05-06T16:00:00.000","2023-05-04T19:27:50.000","Mayor's Office of Film, Theatre & Broadcasting","5 AVENUE between WEST   54 STREET and WEST   56 STREET","Manhattan","5","18","Still Photography","Not Applicable","United States of America","10019, 10022"
"714243","Theater Load in and Load Outs","2023-05-10T06:00:00.000","2023-05-10T23:59:00.000","2023-05-04T19:05:18.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   65 STREET between BROADWAY and AMSTERDAM AVENUE","Manhattan","7","20","Theater","Theater","United States of America","10023"
"714206","Shooting Permit","2023-05-09T07:00:00.000","2023-05-09T23:30:00.000","2023-05-04T16:44:27.000","Mayor's Office of Film, Theatre & Broadcasting","MARCUS GARVEY BOULEVARD between PARK AVENUE and ELLERY STREET,  MARCUS GARVEY BOULEVARD between ELLERY STREET and BROADWAY","Brooklyn","3","79, 81","Film","Feature","United States of America","11206"
"714164","Shooting Permit","2023-05-08T07:00:00.000","2023-05-08T22:00:00.000","2023-05-04T15:06:46.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   37 STREET between 7 AVENUE and 8 AVENUE,  WEST   32 STREET between BROADWAY and 5 AVENUE,  NARROWS ROAD SOUTH between FINGERBOARD ROAD and GRASMERE DRIVE","Manhattan","1, 2, 5","1, 122, 14","Commercial","Commercial","United States of America","10001, 10004, 10018, 10305"
"714157","Shooting Permit","2023-05-16T07:00:00.000","2023-05-16T23:00:00.000","2023-05-04T14:52:29.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   26 STREET between 12 AVENUE and 11 AVENUE,  12 AVENUE between WEST   27 STREET and WEST   26 STREET,  11 AVENUE between WEST   25 STREET and WEST   26 STREET,  11 AVENUE between WEST   26 STREET and WEST   27 STREET,  11 AVENUE between WEST   27 STREET and WEST   28 STREET,  WEST   27 STREET between 11 AVENUE and 10 AVENUE,  WEST   26 STREET between 11 AVENUE and 10 AVENUE,  WEST   25 STREET between 11 AVENUE and 10 AVENUE,  10 AVENUE between WEST   24 STREET and WEST   26 STREET,  KENT STREET between WEST STREET and DEAD END,  JAVA STREET between WEST STREET and DEAD END","Manhattan","1, 4","10, 94","Television","Episodic series","United States of America","10001, 11222"
"714156","Shooting Permit","2023-05-15T07:00:00.000","2023-05-15T23:00:00.000","2023-05-04T14:52:14.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   26 STREET between 12 AVENUE and 11 AVENUE,  12 AVENUE between WEST   27 STREET and WEST   26 STREET,  11 AVENUE between WEST   25 STREET and WEST   26 STREET,  11 AVENUE between WEST   26 STREET and WEST   27 STREET,  11 AVENUE between WEST   27 STREET and WEST   28 STREET,  WEST   27 STREET between 11 AVENUE and 10 AVENUE,  WEST   26 STREET between 11 AVENUE and 10 AVENUE,  WEST   25 STREET between 11 AVENUE and 10 AVENUE,  10 AVENUE between WEST   24 STREET and WEST   26 STREET,  KENT STREET between WEST STREET and DEAD END,  JAVA STREET between WEST STREET and DEAD END","Manhattan","1, 4","10, 94","Television","Episodic series","United States of America","10001, 11222"
"714153","Shooting Permit","2023-05-10T06:00:00.000","2023-05-10T23:00:00.000","2023-05-04T14:40:01.000","Mayor's Office of Film, Theatre & Broadcasting","PINE STREET between WILLIAM STREET and NASSAU STREET,  LIBERTY STREET between WILLIAM STREET and NASSAU STREET,  NASSAU STREET between PINE STREET and LIBERTY STREET,  CEDAR STREET between WILLIAM STREET and PEARL STREET,  PEARL STREET between PINE STREET and MAIDEN LANE,  MAIDEN LANE between PEARL STREET and SOUTH STREET,  JOHN STREET between WATER STREET and FRONT STREET,  JOHN STREET between FRONT STREET and SOUTH STREET,  SOUTH STREET between MAIDEN LANE and BEEKMAN STREET","Manhattan","1","1","Television","Episodic series","United States of America","10005, 10038, 10045"
"714152","Shooting Permit","2023-05-09T06:00:00.000","2023-05-09T23:00:00.000","2023-05-04T14:39:29.000","Mayor's Office of Film, Theatre & Broadcasting","PINE STREET between WILLIAM STREET and NASSAU STREET,  LIBERTY STREET between WILLIAM STREET and NASSAU STREET,  NASSAU STREET between PINE STREET and LIBERTY STREET,  CEDAR STREET between WILLIAM STREET and PEARL STREET,  PEARL STREET between PINE STREET and MAIDEN LANE,  MAIDEN LANE between PEARL STREET and SOUTH STREET,  JOHN STREET between WATER STREET and FRONT STREET,  JOHN STREET between FRONT STREET and SOUTH STREET,  SOUTH STREET between MAIDEN LANE and BEEKMAN STREET","Manhattan","1","1","Television","Episodic series","United States of America","10005, 10038, 10045"
"714140","Theater Load in and Load Outs","2023-05-10T01:00:00.000","2023-05-10T23:59:00.000","2023-05-04T14:29:03.000","Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST   62 STREET and WEST   66 STREET","Manhattan","7","20","Theater","Theater","United States of America","10023"
"714139","Shooting Permit","2023-05-12T13:00:00.000","2023-05-13T05:00:00.000","2023-05-04T14:27:51.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   26 STREET between 12 AVENUE and 11 AVENUE,  12 AVENUE between WEST   27 STREET and WEST   26 STREET,  11 AVENUE between WEST   25 STREET and WEST   26 STREET,  11 AVENUE between WEST   26 STREET and WEST   27 STREET,  11 AVENUE between WEST   27 STREET and WEST   28 STREET,  WEST   27 STREET between 12 AVENUE and 11 AVENUE,  WEST   27 STREET between 11 AVENUE and 10 AVENUE,  WEST   28 STREET between 10 AVENUE and 9 AVENUE,  10 AVENUE between WEST   26 STREET and WEST   27 STREET,  10 AVENUE between WEST   27 STREET and WEST   28 STREET","Manhattan","4","10","Television","Episodic series","United States of America","10001"
"714136","Shooting Permit","2023-05-11T12:00:00.000","2023-05-12T04:00:00.000","2023-05-04T14:27:25.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   26 STREET between 11 AVENUE and 12 AVENUE,  12 AVENUE between WEST   27 STREET and WEST   26 STREET,  11 AVENUE between WEST   25 STREET and WEST   26 STREET,  11 AVENUE between WEST   26 STREET and WEST   27 STREET,  11 AVENUE between WEST   27 STREET and WEST   28 STREET,  WEST   27 STREET between 12 AVENUE and 11 AVENUE,  WEST   27 STREET between 11 AVENUE and 10 AVENUE,  WEST   28 STREET between 10 AVENUE and 9 AVENUE,  10 AVENUE between WEST   26 STREET and WEST   27 STREET,  10 AVENUE between WEST   27 STREET and WEST   28 STREET","Manhattan","4","10","Television","Episodic series","United States of America","10001"
"714135","Shooting Permit","2023-05-10T07:00:00.000","2023-05-10T23:00:00.000","2023-05-04T14:26:38.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   26 STREET between 12 AVENUE and 11 AVENUE,  12 AVENUE between WEST   27 STREET and WEST   26 STREET,  11 AVENUE between WEST   25 STREET and WEST   26 STREET,  11 AVENUE between WEST   26 STREET and WEST   27 STREET,  11 AVENUE between WEST   27 STREET and WEST   28 STREET,  WEST   27 STREET between 12 AVENUE and 11 AVENUE,  WEST   27 STREET between 11 AVENUE and 10 AVENUE,  WEST   28 STREET between 10 AVENUE and 9 AVENUE,  10 AVENUE between WEST   26 STREET and WEST   27 STREET,  10 AVENUE between WEST   27 STREET and WEST   28 STREET","Manhattan","4","10","Television","Episodic series","United States of America","10001"
"714085","Shooting Permit","2023-05-11T06:00:00.000","2023-05-11T20:00:00.000","2023-05-04T13:16:04.000","Mayor's Office of Film, Theatre & Broadcasting","REMSEN STREET between CLINTON STREET and COURT STREET,  METROPOLITAN AVENUE between BEDFORD AVENUE and NORTH    3 STREET,  METROPOLITAN AVENUE between NORTH    3 STREET and DRIGGS AVENUE","Brooklyn","1, 2","84, 90, 94","Commercial","Commercial","United States of America","11201, 11211"
"714084","Shooting Permit","2023-05-10T08:00:00.000","2023-05-10T18:00:00.000","2023-05-04T13:15:59.000","Mayor's Office of Film, Theatre & Broadcasting","EAST   16 STREET between UNION SQUARE EAST and IRVING PLACE","Manhattan","2, 3, 4, 5, 6","13, 6, 9","Still Photography","Not Applicable","United States of America","10003, 10010, 10011"
"714081","Shooting Permit","2023-05-07T03:00:00.000","2023-05-07T13:00:00.000","2023-05-04T13:12:28.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   48 STREET between 6 AVENUE and 7 AVENUE","Manhattan","5","18","Television","News","United States of America","10036, 10105"
"714064","Shooting Permit","2023-05-10T06:00:00.000","2023-05-10T20:00:00.000","2023-05-04T12:51:47.000","Mayor's Office of Film, Theatre & Broadcasting","NORTH    3 STREET between BERRY STREET and BEDFORD AVENUE","Brooklyn","1","94","Commercial","Commercial","United States of America","11211, 11249"
"714047","Shooting Permit","2023-05-08T06:00:00.000","2023-05-08T23:00:00.000","2023-05-04T12:19:41.000","Mayor's Office of Film, Theatre & Broadcasting","STARR AVENUE between VAN DAM STREET and BORDEN AVENUE,  STARR AVENUE between VAN DAM STREET and 34 STREET,  REVIEW AVENUE between 35 STREET and 29 STREET","Queens","2","108","Television","Episodic series","United States of America","11101"
"714043","Shooting Permit","2023-05-09T08:00:00.000","2023-05-10T00:00:00.000","2023-05-04T12:13:58.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   26 STREET between 12 AVENUE and 11 AVENUE,  12 AVENUE between WEST   27 STREET and WEST   26 STREET,  11 AVENUE between WEST   25 STREET and WEST   26 STREET,  11 AVENUE between WEST   26 STREET and WEST   27 STREET,  11 AVENUE between WEST   27 STREET and WEST   28 STREET,  WEST   27 STREET between 12 AVENUE and 11 AVENUE,  WEST   27 STREET between 11 AVENUE and 10 AVENUE,  WEST   25 STREET between 11 AVENUE and 10 AVENUE,  10 AVENUE between WEST   24 STREET and WEST   26 STREET","Manhattan","4","10","Television","Episodic series","United States of America","10001"
"714030","Shooting Permit","2023-05-22T06:00:00.000","2023-05-22T16:00:00.000","2023-05-04T11:39:20.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   67 STREET between CENTRAL PARK WEST and COLUMBUS AVENUE","Manhattan","7","20","Television","Talk Show","United States of America","10023"
"714006","Shooting Permit","2023-05-08T11:00:00.000","2023-05-09T23:00:00.000","2023-05-04T11:05:43.000","Mayor's Office of Film, Theatre & Broadcasting","NORTH MOORE STREET between HUDSON STREET and VARICK STREET,  VARICK STREET between FRANKLIN STREET and NORTH MOORE STREET,  WEST BROADWAY between BEACH STREET and FRANKLIN STREET,  BEACH STREET between VARICK STREET and WEST BROADWAY,  WALKER STREET between 6 AVENUE and CHURCH STREET,  6 AVENUE between WHITE STREET and LISPENARD STREET,  CHURCH STREET between LEONARD STREET and WHITE STREET,  WHITE STREET between CHURCH STREET and BROADWAY","Manhattan","1","1","Television","Episodic series","United States of America","10013"
"714001","Shooting Permit","2023-05-05T12:00:00.000","2023-05-06T03:00:00.000","2023-05-04T11:00:22.000","Mayor's Office of Film, Theatre & Broadcasting","CADMAN PLAZA WEST between TILLARY STREET and MIDDAGH STREET,  TILLARY STREET between CADMAN PLAZA WEST and BROOKLYN BRIDGE BOULEVARD,  ATLANTIC AVENUE between HICKS STREET and BOERUM PLACE","Brooklyn","2, 6","76, 84","Television","Episodic series","United States of America","11201"
"713966","Shooting Permit","2023-05-11T11:00:00.000","2023-05-11T22:30:00.000","2023-05-04T09:59:13.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   45 STREET between 7 AVENUE and 8 AVENUE","Manhattan","5","14, 18","Theater","Theater","United States of America","10036"
"713935","Theater Load in and Load Outs","2023-05-12T08:00:00.000","2023-05-12T23:00:00.000","2023-05-04T08:49:33.000","Mayor's Office of Film, Theatre & Broadcasting","ASHLAND PLACE between LAFAYETTE AVENUE and HANSON PLACE","Brooklyn","2","88","Theater","Theater","United States of America","11217"
"713933","Theater Load in and Load Outs","2023-05-11T08:00:00.000","2023-05-11T23:00:00.000","2023-05-04T08:44:54.000","Mayor's Office of Film, Theatre & Broadcasting","ASHLAND PLACE between LAFAYETTE AVENUE and HANSON PLACE","Brooklyn","2","88","Theater","Theater","United States of America","11217"
"713931","Theater Load in and Load Outs","2023-05-10T08:00:00.000","2023-05-10T23:00:00.000","2023-05-04T08:41:54.000","Mayor's Office of Film, Theatre & Broadcasting","ASHLAND PLACE between LAFAYETTE AVENUE and HANSON PLACE","Brooklyn","2","88","Theater","Theater","United States of America","11217"
"713930","Theater Load in and Load Outs","2023-05-09T08:00:00.000","2023-05-09T23:00:00.000","2023-05-04T08:37:38.000","Mayor's Office of Film, Theatre & Broadcasting","ASHLAND PLACE between LAFAYETTE AVENUE and HANSON PLACE","Brooklyn","2","88","Theater","Theater","United States of America","11217"
"713923","Shooting Permit","2023-05-05T03:00:00.000","2023-05-05T10:00:00.000","2023-05-04T08:06:50.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   48 STREET between 6 AVENUE and 7 AVENUE","Manhattan","5","18","Television","News","United States of America","10036, 10105"
"713899","Theater Load in and Load Outs","2023-05-13T00:01:00.000","2023-05-13T23:59:00.000","2023-05-03T23:49:17.000","Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST   62 STREET and WEST   66 STREET","Manhattan","7","20","Theater","Theater","United States of America","10023"
"713818","Shooting Permit","2023-05-09T07:00:00.000","2023-05-09T21:00:00.000","2023-05-03T16:19:29.000","Mayor's Office of Film, Theatre & Broadcasting","10 STREET between 43 ROAD and 44 AVENUE,  43 ROAD between 9 STREET and 11 STREET,  44 AVENUE between VERNON BOULEVARD and 10 STREET,  22 STREET between QUEENS PLAZA SOUTH and 43 AVENUE,  43 AVENUE between 21 STREET and 22 STREET","Queens","2","108","Television","Episodic series","United States of America","11101"
"713811","Shooting Permit","2023-05-08T07:00:00.000","2023-05-08T21:00:00.000","2023-05-03T16:04:08.000","Mayor's Office of Film, Theatre & Broadcasting","22 STREET between QUEENS PLAZA SOUTH and 43 AVENUE,  43 AVENUE between 21 STREET and 22 STREET,  21 STREET between QUEENS PLAZA SOUTH and 43 AVENUE,  QUEENS PLAZA SOUTH between 21 STREET and 22 STREET","Queens","2","108","Television","Episodic series","United States of America","11101"
"713806","Shooting Permit","2023-05-05T09:00:00.000","2023-05-05T23:00:00.000","2023-05-03T15:57:20.000","Mayor's Office of Film, Theatre & Broadcasting","NORTH HENRY STREET between GREENPOINT AVENUE and MESEROLE AVENUE,  RUSSELL STREET between GREENPOINT AVENUE and CALYER STREET,  MONITOR STREET between GREENPOINT AVENUE and NORMAN AVENUE","Brooklyn","1","94","Television","Episodic series","United States of America","11222"
"713769","Shooting Permit","2023-05-11T12:00:00.000","2023-05-11T20:00:00.000","2023-05-03T14:20:07.000","Mayor's Office of Film, Theatre & Broadcasting","WEST  135 STREET between 12 AVENUE and RIVERSIDE DRIVE","Manhattan","9","30","Documentary","Not Applicable","United States of America","10027"
"713764","Shooting Permit","2023-05-05T15:00:00.000","2023-05-06T04:00:00.000","2023-05-03T14:09:23.000","Mayor's Office of Film, Theatre & Broadcasting","BEACH STREET between VARICK STREET and ST JOHNS LANE,  BEACH STREET between VARICK STREET and WEST BROADWAY,  BEACH STREET between ST JOHNS LANE and WEST BROADWAY,  ST JOHN'S LANE between BEACH STREET and YORK STREET,  WEST BROADWAY between NORTH MOORE STREET and BEACH STREET,  NORTH MOORE STREET between HUDSON STREET and VARICK STREET,  VARICK STREET between FRANKLIN STREET and NORTH MOORE STREET,  WEST BROADWAY between NORTH MOORE STREET and FRANKLIN STREET,  WALKER STREET between CHURCH STREET and 6 AVENUE,  6 AVENUE between WHITE STREET and LISPENARD STREET,  CHURCH STREET between LEONARD STREET and WHITE STREET,  WHITE STREET between CHURCH STREET and BROADWAY","Manhattan","1","1","Television","Episodic series","United States of America","10013"
"713758","Shooting Permit","2023-05-09T06:00:00.000","2023-05-09T22:00:00.000","2023-05-03T14:04:22.000","Mayor's Office of Film, Theatre & Broadcasting","MESEROLE AVENUE between MOULTRIE STREET and RUSSELL STREET,  MESEROLE AVENUE between RUSSELL STREET and NORTH HENRY STREET,  HUMBOLDT STREET between MESEROLE AVENUE and NORMAN AVENUE,  RUSSELL STREET between MESEROLE AVENUE and NORMAN AVENUE,  RUSSELL STREET between CALYER STREET and MESEROLE AVENUE,  NORTH HENRY STREET between MESEROLE AVENUE and NORMAN AVENUE,  MONITOR STREET between GREENPOINT AVENUE and NORMAN AVENUE,  KINGSLAND AVENUE between GREENPOINT AVENUE and NORMAN AVENUE","Brooklyn","1","94","Film","Feature","United States of America","11222"
"713728","Shooting Permit","2023-05-05T08:00:00.000","2023-05-05T22:00:00.000","2023-05-03T12:42:22.000","Mayor's Office of Film, Theatre & Broadcasting","WEST  129 STREET between ADAM CLAYTON POWELL JR BOULEVARD and FREDERICK DOUGLASS BOULEVARD,  WEST  129 STREET between ADAM CLAYTON POWELL JR BOULEVARD and MALCOLM X BOULEVARD,  WEST  125 STREET between ADAM CLAYTON POWELL JR BOULEVARD and FREDERICK DOUGLASS BOULEVARD","Manhattan","10","28, 32","Commercial","Commercial","United States of America","10027"
"713679","Shooting Permit","2023-05-06T06:00:00.000","2023-05-06T21:00:00.000","2023-05-03T11:12:47.000","Mayor's Office of Film, Theatre & Broadcasting","BEACH   59 STREET between LARKIN AVENUE and BOARDWALK,  BEACH   56 PLACE between ROCKAWAY BEACH BOULEVARD and DEAD END","Queens","14","100, 101","Commercial","Commercial","United States of America","11691, 11692"
"713664","Shooting Permit","2023-05-12T06:00:00.000","2023-05-12T23:59:00.000","2023-05-03T10:40:09.000","Mayor's Office of Film, Theatre & Broadcasting","ROSE FEISS BOULEVARD between EAST  139 STREET and EAST  140 STREET,  EAST  140 STREET between ROSE FEISS BOULEVARD and LOCUST AVENUE,  EAST  139 STREET between ROSE FEISS BOULEVARD and LOCUST AVENUE,  LOCUST AVENUE between EAST  139 STREET and EAST  140 STREET,  EAST  140 STREET between WALNUT AVENUE and BRUCKNER BOULEVARD","Bronx","1","40","Television","Episodic series","United States of America","10454"
"713656","Shooting Permit","2023-05-09T07:00:00.000","2023-05-09T21:00:00.000","2023-05-03T10:33:12.000","Mayor's Office of Film, Theatre & Broadcasting","COLGATE AVENUE between STORY AVENUE and LAFAYETTE AVENUE","Bronx","9","43","Television","Episodic series","United States of America","10473"
"713655","Shooting Permit","2023-05-08T07:00:00.000","2023-05-08T21:00:00.000","2023-05-03T10:33:03.000","Mayor's Office of Film, Theatre & Broadcasting","COLGATE AVENUE between STORY AVENUE and LAFAYETTE AVENUE","Bronx","9","43","Television","Episodic series","United States of America","10473"
"713651","Theater Load in and Load Outs","2023-05-20T00:01:00.000","2023-06-03T23:59:00.000","2023-05-03T10:27:53.000","Mayor's Office of Film, Theatre & Broadcasting","LEXINGTON AVENUE between EAST   66 STREET and EAST   67 STREET,  EAST   66 STREET between PARK AVENUE and LEXINGTON AVENUE","Manhattan","8","19","Theater","Theater","United States of America","10065"
"713646","Shooting Permit","2023-05-11T06:00:00.000","2023-05-11T23:59:00.000","2023-05-03T10:21:39.000","Mayor's Office of Film, Theatre & Broadcasting","ROSE FEISS BOULEVARD between EAST  139 STREET and EAST  140 STREET,  EAST  140 STREET between ROSE FEISS BOULEVARD and LOCUST AVENUE,  EAST  139 STREET between ROSE FEISS BOULEVARD and LOCUST AVENUE,  LOCUST AVENUE between EAST  139 STREET and EAST  140 STREET,  EAST  140 STREET between WALNUT AVENUE and BRUCKNER BOULEVARD","Bronx","1","40","Television","Episodic series","United States of America","10454"
"713639","Shooting Permit","2023-05-08T06:00:00.000","2023-05-08T22:00:00.000","2023-05-03T10:07:03.000","Mayor's Office of Film, Theatre & Broadcasting","MESEROLE AVENUE between MOULTRIE STREET and RUSSELL STREET,  MESEROLE AVENUE between RUSSELL STREET and NORTH HENRY STREET,  HUMBOLDT STREET between MESEROLE AVENUE and NORMAN AVENUE,  RUSSELL STREET between MESEROLE AVENUE and NORMAN AVENUE,  RUSSELL STREET between CALYER STREET and MESEROLE AVENUE,  NORTH HENRY STREET between MESEROLE AVENUE and NORMAN AVENUE,  MONITOR STREET between GREENPOINT AVENUE and NORMAN AVENUE,  KINGSLAND AVENUE between GREENPOINT AVENUE and NORMAN AVENUE","Brooklyn","1","94","Film","Feature","United States of America","11222"
