"sampling_location","duplicate_sample","sample_date","sample_time","weather_condition_dry_or_wet","top_sample_temperature_c","bottom_sample_temperature_c","site_actual_depth_ft","top_sample_depth_ft","bottom_sample_depth_ft","top_salinity_psu","bottom_salinity_psu","top_conductivity_s_m","bottom_conductivity_s_m","ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l","ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l","percentage_o2_saturation_top_sample","percentage_o2_saturation_bottom_sample","light_trans_transparency_top_sample","light_trans_transparency_bottom_sample","top_sigma_t_kg_m3","bottom_sigma_t_kg_m3","top_fluorometer_mg_m3","bottom_fluorometer_mg_m3","ctd_conductivity_temperature_depth_profiler_ph_top_sample","ctd_conductivity_temperature_depth_profiler_ph_bottom_sample","top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s","top_sample_par_ue_s_m2","bottom_sample_par_ue_s_ue_s_m2","oxidation_reduction_potential_mv_top_sample","oxidation_reduction_potential_mv_bottom_sample","current_speed_knot","current_direction_current_direction","wind_speed_mph","wind_direction_wind_direction","sea_state","winkler_method_top_dissolved_oxygen_mg_l","winkler_method_bottom_dissolved_oxygen_mg_l","secchi_depth_ft","top_ph","bottom_ph","top_total_coliform_cells_100_ml","top_bottom_coliform_cells_100_ml","fecal_coliform_top_sample_less_than_or_greater_than_result","fecal_coliform_bottom_sample_less_than_or_greater_than_result","top_fecal_coliform_bacteria_cells_100ml","bottom_fecal_coliform_bacteria_cells_100ml","enterococcus_top_sample_less_than_or_greater_than_result","enterococcus_bottom_sample_less_than_or_greater_than_result","top_enterococci_bacteria_cells_100ml","bottom_enterococci_bacteria_cells_100ml","top_nitrate_nitrite_mg_l","bottom_nitrate_nitrite_mg_l","top_ammonium_mg_l","bottom_ammonium_mg_l","top_ortho_phosphorus_mg_l","bottom_ortho_phosphorus_mg_l","top_total_kjeldhal_nitrogen_mg_l","bottom_total_kjeldhal_nitrogen_mg_l","top_silica_mg_l","bottom_silica_mg_l","total_phosphorus_mg_l","bottom_total_phosphorus_mg_l","top_total_suspended_solid_mg_l","bottom_total_suspended_solid_mg_l","top_active_chlorophyll_a_g_l","bottom_active_chlorophyll_a_g_l","chlorophyll_top_sample_field_u_l_ysi","chlorophyll_bottom_sample_field_u_l_ysi","top_total_organic_carbon_mg_l","top_dissolved_organic_carbon_mg_l","bottom_dissolved_organic_carbon_mg_l","top_dissolved_organic_carbon_ysi_mg_l","bottom_dissolved_organic_carbon_ysi_mg_l","top_sample_depth_ysi_ft","bottom_depth_ysi_ft","top_sample_salinity_ysi_psu","bottom_sample_salinity_ysi_psu","top_sample_temperature_ysi_c","bottom_sample_temperature_ysi_c","top_bacteria_per_c_c_1909","bottom_bacteria_per_c_c_1909","top_beam_attenuation_coefficient","bottom_beam_attenuation_coefficient","top_five_day_biochemical_oxygen_demand_mg_l","bottom_five_day_biochemical_oxygen_demand_mg_l","top_pcb_plate_count_thous_ml","bottom_pcb_plate_count_thous_ml","top_coliform_log_no_ml","bottom_coliform_log_no_ml","oakwood_bod_top_sample_mg_l","oakwood_bod_bottom_sample_mg_l","oakwood_total_suspended_solid_top_sample_mg_l","oakwood_total_suspended_solid_bottom_sample_mg_l","top_turbidity_nephelometric_turbidity_units","bottom_turbidity_ysi_nephelometric_turbidity_units","sampling_comment","long","lat","type"
"N3A",,"1980-08-25T00:00:00.000","11:02 AM",,"23.3","22.8",,,,"23.2","25.7",,,,,,,,,,,,,,,,,,,,,"S",,,,"4.1","3.6",,,,"49000","4500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.1","1.4",,,,,,"-73.992497","40.783330","Permanent"
"N1",,"1966-07-06T00:00:00.000","11:50 AM",,"25.6","24.4","46",,,"10.5","12.25",,,,,,,,,,,,,,,,,,,,,"N",,,,"5.8","4.3",,,,"13","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","0",,,,,,,,,,,,"-73.916167","40.914500","Permanent"
"H1",,"1960-08-17T00:00:00.000","1:25 PM",,"23.3","23.9","20",,,"10.5","15.4",,,,,,,,,,,,,,,,,,,,,"E",,,,"4.2","2.5",,,,"460","1100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","1",,,,,,,,,,,,"-73.923884","40.878055","Permanent"
"H1",,"1923-09-28T00:00:00.000","12:45 PM",,"21.7","21.1","20",,,"16.8","18.2",,,,,,,,,,,,,,,,,,,,,"E",,,,"1.68","2.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.923884","40.878055","Permanent"
"N3B",,"1986-07-09T00:00:00.000","10:24 AM",,"23","20","72",,,"12","20",,,,,,,,,,,,,,,,,,,,,"N",,,,"7.5","6","4.5","8","7.6","680","3300",,,"322","720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.9","4.4",,,,,,"-73.965333","40.820833","Permanent"
"H1",,"1955-06-15T00:00:00.000","1:05 PM",,"19.4","19.4","20",,,"13.3","13.3",,,,,,,,,,,,,,,,,,,,,"SE",,,,"4.9","4.2",,,,"43","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","1","0.068","0.069",,,,,,,,,,"-73.923884","40.878055","Permanent"
"N3A",,"1992-03-03T00:00:00.000","10:18 AM",,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,"S",,,,"10.92","9.81","3","8.07","8.06",,,,,,,,,,,"0.41",,"0.4",,"0.042",,,,,,"0.18",,"11","9","6.9",,,,,,,,,,,,,,,,,,,,,,,,,"1.6","1.9",,,,,,"-73.992497","40.783330","Permanent"
"N9",,"1927-07-29T00:00:00.000","12:30 PM",,"24.4","21.7","20",,,"31.85","32.2",,,,,,,,,,,,,,,,,,,,,"E",,,,"5.89","5.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.983333","40.568333","Permanent"
"x310_1909_DO",,"1909-07-10T00:00:00.000","1:05 PM",,"19",,,"1",,,,,,,,,,,,,,,,,,,,,,,,"Flood",,,,"1.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.993056","40.580556","Permanent"
"N2",,"1956-06-27T00:00:00.000","11:45 AM",,"23.3","21.1","44",,,"10.15","16.8",,,,,,,,,,,,,,,,,,,,,"SW",,,,"4.4","2.2",,,,"150","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","0.061","0.013",,,,,,,,,,"-73.930268","40.879447","Permanent"
"E2",,"1989-07-12T00:00:00.000","12:11 PM",,"22.6","22.1","46",,,"23","23.1",,,,,,,,,,,,,,,,,,,,,"E",,,,"3.1","2.8","6",,,"4500","2000",,,"180","320",,,,,"0.34",,"0.94",,".",,,,,,"0.16",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.970000","40.735333","Permanent"
"H4",,"1960-06-06T00:00:00.000","10:00 AM",,"19.4","18.9","20",,,"22.75","24.15",,,,,,,,,,,,,,,,,,,,,"N",,,,"2.8","2.9",,,,"240","460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","1",,,,,,,,,,,,"-73.929168","40.803613","Permanent"
"N9A",,"1954-07-01T00:00:00.000","10:15 AM",,"17.8","17.8","18",,,"30.1","34.3",,,,,,,,,,,,,,,,,,,,,"W",,,,"6.7","6.9",,,,"3","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","1","0","0",,,,,,,,,,"-73.935500","40.567833","Permanent"
"J2",,"1988-09-14T00:00:00.000","3:35 PM",,"20.4","20","38",,,"27.4","27.8",,,,,,,,,,,,,,,,,,,,,"W",,,,"10.9","7.9","5","8.25","8.16","24000","24000",,,"2580","1800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.7","5.4",,,,,,"-73.885835","40.608055","Permanent"
"H5",,"1984-07-30T00:00:00.000","9:45 AM",,"20.6","20.6",,,,"23","23",,,,,,,,,,,,,,,,,,,,,"S",,,,"3.1","3",,,,"33000","33000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.6","1.5",,,,,,"-73.935832","40.787777","Permanent"
"H5",,"1984-07-30T00:00:00.000","9:45 AM",,"20.6","20.6",,,,"23","23",,,,,,,,,,,,,,,,,,,,,"S",,,,"3.1","3",,,,"33000","33000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.6","1.5",,,,,,"-73.935832","40.787777","Permanent"
"E7",,"1998-07-21T00:00:00.000","11:49 AM",,"20.78","20.25","50","3.28","65.6","24.7","24.95","3.56","3.56","4.32","4.03","55.85","51.64","76.88","44.17","16.73","17.05",,,,,"2.63","8.21",,,,,"W","8","W","1","4.38","4.04","8","7.43","7.62",,,,,"15","11",,,,,"0.071",,"0.134",,,,"0.993",,"0.914",,"0.239",,"8","32","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.820500","40.805000","Permanent"
"J1",,"1993-11-30T00:00:00.000","11:11 AM",,"8.69","8.82","35","2","10","27.78","28.02","2.99","3.03",,,,,,,"21.51","21.68",,,,,,,,,,,"W",,,,"9.74","9.67","7","8.11","8.09",,,,,,,,,,,"0.42",,"0.51",,"0.084",,,,,,"0.11",,"14","14","5.9",,,,,,,,,,,,,,,,,,,,,,,,,"1.3","0.8",,,,,,"-73.884667","40.573333","Permanent"
"J10",,"1986-08-07T00:00:00.000","12:00 PM",,"25","25","32",,,"26","26",,,,,,,,,,,,,,,,,,,,,"N",,,,"4.9","4.5","4","7.8","7.8","80","330",,,"30","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.4","3.6",,,,,,"-73.894721","40.621667","Permanent"
"E4",,"1993-12-08T00:00:00.000","10:11 AM",,"9.12","9.19","68","2","19","23.9","24.63","2.64","2.72",,,,,,,"18.42","18.99",,,,,,,,,,,"W",,,,"9.18","9.18","4",,,,,,,,,,,,,"0.44",,"0.61",,"0.13",,,,,,"0.18",,"20","23","0.4",,,,,,,,,,,,,,,,,,,,,,,,,"1.7","1.1",,,,,,"-73.922000","40.782500","Permanent"
"N3B",,"1981-08-27T00:00:00.000","11:00 AM",,"22.2","22.2",,,,"22.2","24.2",,,,,,,,,,,,,,,,,,,,,"S",,,,"2.5","2",,,,"54000","7900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.1","0.5",,,,,,"-73.965333","40.820833","Permanent"
"N3B",,"1981-08-27T00:00:00.000","11:00 AM",,"22.2","22.2",,,,"22.2","24.2",,,,,,,,,,,,,,,,,,,,,"S",,,,"2.5","2",,,,"54000","7900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.1","0.5",,,,,,"-73.965333","40.820833","Permanent"
"E7",,"1934-07-02T00:00:00.000","1:20 PM",,"22.2",,"45",,,"24.85","0",,,,,,,,,,,,,,,,,,,,,"SL",,,,"2.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.820500","40.805000","Permanent"
"K5",,"1983-08-02T00:00:00.000","10:30 AM",,"25.6","24.4",,,,"26.1","27.6",,,,,,,,,,,,,,,,,,,,,"S",,,,"4.7","4.4",,,,"7000","2300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.4","2.6",,,,,,"-74.258833","40.508833","Permanent"
"K5",,"1983-08-02T00:00:00.000","10:30 AM",,"25.6","24.4",,,,"26.1","27.6",,,,,,,,,,,,,,,,,,,,,"S",,,,"4.7","4.4",,,,"7000","2300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.4","2.6",,,,,,"-74.258833","40.508833","Permanent"
"N8",,"1941-09-05T00:00:00.000",,,"21.1","23.3","90",,,"30.8","33.25",,,,,,,,,,,,,,,,,,,,,,,,,"4.64","5.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.045500","40.606167","Permanent"
"E5",,"1972-08-28T00:00:00.000","8:50 AM",,"22.2","21.7",,,,"23.5","23.3",,,,,,,,,,,,,,,,,,,,,"NE",,,,"4.1","3",,,,"21000","46000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","3.7",,,,,,"-73.886111","40.800833","Permanent"
"J2",,"1962-08-02T00:00:00.000","1:10 PM",,"23.9","23.3","42",,,"31.85","33.25",,,,,,,,,,,,,,,,,,,,,"S",,,,"7.2","5.8",,,,"43","75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","1",,,,,,,,,,,,"-73.885835","40.608055","Permanent"
"N8",,"1911-10-26T00:00:00.000","3:30 PM",,"16",,,"1",,,,,,,,,,,,,,,,,,,,,,,,"Ebb",,,,"5.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.045500","40.606167","Permanent"
"K2",,"1967-08-29T00:00:00.000","10:20 AM",,"22.8","22.2","21",,,"17.5","18.55",,,,,,,,,,,,,,,,,,,,,"S",,,,"5.9","4.5",,,,"330","700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","4",,,,,,,,,,,,"-74.153000","40.641167","Permanent"
"N8",,"1998-06-09T00:00:00.000","2:58 PM",,"15.57","10.22","80","3.28","82","22.57","30.2","2.93","3.35","7.81","7.88","90.09","85.02","66.76","80.69","16.3","23.17",,,,,"4.04","2.15",,,,,"S","15","N","2","8.26","8","5.5","7.67","7.72",,,,,"13","1",,,,,"0.235",,"0.214",,,,"0.863",,"1.08",,"0.114",,"12","8","11.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.045500","40.606167","Permanent"
"H3",,"1934-09-11T00:00:00.000","10:20 AM",,"23.9","23.3","15",,,"13.65","13.65",,,,,,,,,,,,,,,,,,,,,"S",,,,"3.36","3.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.933833","40.828000","Permanent"
"G2",,"1985-07-16T00:00:00.000","11:03 AM",,"23","21",,,,"19.5","22",,,,,,,,,,,,,,,,,,,,,"E",,,,"2.2","2",,,,"2400000","35000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.2","1.4",,,,,,"-74.003333","40.666667","Permanent"
"N2",,"1935-09-13T00:00:00.000","11:50 AM",,"21.1","21.1","44",,,"14","15.4",,,,,,,,,,,,,,,,,,,,,"N",,,,"2.3","1.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.930268","40.879447","Permanent"
"NM",,"1984-07-26T00:00:00.000","12:10 PM",,"21.7","21.1",,,,"22.7","25.1",,,,,,,,,,,,,,,,,,,,,"S",,,,"6.4","6.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.044920","40.608080","Permanent"
"NM",,"1984-07-26T00:00:00.000","12:10 PM",,"21.7","21.1",,,,"22.7","25.1",,,,,,,,,,,,,,,,,,,,,"S",,,,"6.4","6.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.044920","40.608080","Permanent"
"E10",,"1999-06-01T00:00:00.000","12:00 PM",,"16.21","12.65","83","3.28","85.28","24.83","25.61","32.4","30.67","9.4","6.33","111.4","69.99","54.63","55.72","17.9","19.19",,,,,,,,,,,"NE","4","W","1","9.5","6.73","4.5","7.78","7.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.765333","40.843667","Permanent"
"J11",,"1998-05-18T00:00:00.000","10:59 AM",,"15.51","14.59","21","3.28","16.4","24.46","25.45","3.14","3.19","10.32",,"120.24",,"59.88","56.15","17.76","18.7","-99","-99",,,"5.13","5.77",,,,,"S","8","W","1","12.01","9.52","5","8.06","7.91",,,,,,"157",,,,,"0.218",,"0.187",,,,"1.03",,"1.3",,"0.138",,"9","20","43.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.931333","40.581667","Permanent"
"K3",,"1945-08-03T00:00:00.000","10:40 AM",,"23.89","23.89","36",,,"11.55","11.55",,,,,,,,,,,,,,,,,,,,,"S",,,,"1.1","1.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","2",,,,,,,,,,,,"-74.195833","40.637500","Permanent"
"E8",,"1999-05-25T00:00:00.000","12:17 PM",,,,"86",,,,,,,,,,,,,,,,,,,,,,,,,"E","23","W","2","7.22","7.81","4.5","7.42","7.48",,,,,"560","26",,,,,"0.117",,"0.286",,,,"1.3",,"0.986",,"0.138",,"3.4","17","12.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.783667","40.800500","Permanent"
"F2",,"1991-07-16T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.18",,"0.21",,"0.16",,,,,,"0.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.783667","40.800500","Permanent"
"J2",,"1958-06-12T00:00:00.000","12:00 PM",,"20","18.3","42",,,"27.65","28.7",,,,,,,,,,,,,,,,,,,,,"SL",,,,"6.2","5.9",,,,"460","75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","1",,,,,,,,,,,,"-73.885835","40.608055","Permanent"
"H5",,"1950-08-23T00:00:00.000","12:55 PM",,"22.8","22.2","22",,,"27.3","27.3",,,,,,,,,,,,,,,,,,,,,"N",,,,"0.5","0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","3","1","0.9","2","1",,,,,,,,"-73.935832","40.787777","Permanent"
"N16",,"1964-07-23T00:00:00.000","11:18 AM",,"20","20","24",,,"32.9","33.25",,,,,,,,,,,,,,,,,,,,,"S",,,,"7.2","7.6",,,,"9","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","2",,,,,,,,,,,,"-73.943667","40.529667","Permanent"
"N9A",,"1985-07-18T00:00:00.000","11:05 AM",,"22","21.5",,,,"29","27",,,,,,,,,,,,,,,,,,,,,"S",,,,"6.3","6.5",,,,"700","460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.8","2.3",,,,,,"-73.935500","40.567833","Permanent"
"J5",,"1991-07-30T00:00:00.000","11:15 AM",,"23.6","23.3","20",,,"27.9","28.1",,,,,,,,,,,,,,,,,,,,,"E",,,,"4.5","4.4","7",,,,,,,"252","285",,,,,"0.13",,"0.53",,"0.18",,,,,,"0.25",,"40","33","9",,,,,,,,,,,,,,,,,,,,,,,,,"1.8","1.8",,,,,,"-73.809000","40.597667","Permanent"
"N4",,"1935-08-21T00:00:00.000","12:45 PM",,"26.7","25","52",,,"21.7","21",,,,,,,,,,,,,,,,,,,,,"N",,,,"1.5","0.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.005833","40.764500","Permanent"
"G2",,"1996-06-04T00:00:00.000","10:36 AM",,"16.1","16.2","32",,,"19.02","23.1","2.61","3.06",,,,,,,,,,,,,,,,,,,"E","4","N","1","6.87","6.54","2.8","7.5","7.6","16000","16000",,,,,,,,,"0.262",,"0.387",,"0.078",,"1.02",,,,"0.128",,"10","24","9.2",,,,,,,,,,,,,,,,,,,"2","1.6",,,,,,,,,,,,"-74.003333","40.666667","Permanent"
"H3",,"1941-07-29T00:00:00.000",,,"25","24.4","15",,,"22.4","25.2",,,,,,,,,,,,,,,,,,,,,,,,,"1.68","1.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","1","1.9","0.85","2","2",,,,,,,,"-73.933833","40.828000","Permanent"
"X14",,"1939-08-03T00:00:00.000","6:00 PM",,"25.6","25",,,,"12.95","14.7",,,,,,,,,,,,,,,,,,,,,"S",,,,"4.19","3.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.924444","40.917500","Permanent"
"N8",,"1909-04-19T00:00:00.000","4:05 PM",,,,,,"20",,,,,,,,,,,,,,,,,,,,,,,"Flood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1600",,,,,,,,,,,,,,,,"-74.045500","40.606167","Permanent"
"H3",,"1979-07-02T00:00:00.000","9:48 AM",,"19.4","20",,,,"21.3","20.8",,,,,,,,,,,,,,,,,,,,,"N",,,,"3.2","3",,,,"24000","54000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.1","1.7",,,,,,"-73.933833","40.828000","Permanent"
"H3",,"1979-07-02T00:00:00.000","9:48 AM",,"19.4","20",,,,"21.3","20.8",,,,,,,,,,,,,,,,,,,,,"N",,,,"3.2","3",,,,"24000","54000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.1","1.7",,,,,,"-73.933833","40.828000","Permanent"
"N7",,"1913-02-18T00:00:00.000","4:20 PM",,"6.2",,,"1","1.7",,,,,,,,,,,,,,,,,,,,,,,"Flood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.053833","40.643833","Permanent"
"E1",,"1935-09-04T00:00:00.000","10:45 AM",,"21.1","20.6","41",,,"23.1","24.5",,,,,,,,,,,,,,,,,,,,,"N",,,,"1.25","1.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.006548","40.700000","Permanent"
"x886_1909",,"1909-09-13T00:00:00.000","11:10 AM",,,"18.5",,,"35",,,,,,,,,,,,,,,,,,,,,,,"Ebb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1100",,,,,,,,,,,,,,,,"-74.023611","40.550278","Permanent"
"N6",,"1971-08-04T00:00:00.000","8:45 AM",,"23.9","23.3",,,,"24.1","26.5",,,,,,,,,,,,,,,,,,,,,"S",,,,"2.7","4.2",,,,"49000","540000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.9","5.2",,,,,,"-74.051333","40.664667","Permanent"
"N7",,"1964-08-27T00:00:00.000","8:30 AM",,"21.7","21.7","47",,,"25.55","26.25",,,,,,,,,,,,,,,,,,,,,"N",,,,"2.7","2.9",,,,"1100","1100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,"-74.053833","40.643833","Permanent"
"E9",,"1998-08-19T00:00:00.000","10:30 AM",,"22.8","22.2","71",,,"24.7","26.1","3.81","3.89",,,,,,,,,,,,,,,,,,,,,,,"5.06","2.94","6",,,,,,,"570","136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.777221","40.832226","Permanent"
"J7",,"1969-08-20T00:00:00.000","11:50 AM",,"23.9","23.9",,,,"23.4","23.4",,,,,,,,,,,,,,,,,,,,,"N",,,,"3.1","2.5",,,,"92000","35000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.9","4.3",,,,,,"-73.820833","40.645333","Permanent"
"H2",,"1951-08-22T00:00:00.000","12:50 PM",,"25.6","25","16",,,"10.5","10.15",,,,,,,,,,,,,,,,,,,,,"S",,,,"3.6","3.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1.1","0.67","2","1",,,,,,,,"-73.918610","40.858609","Permanent"
"N5",,"1949-09-07T00:00:00.000","1:50 PM",,"21.7","21.1","49",,,"26.25","27.3",,,,,,,,,,,,,,,,,,,,,"S",,,,"4.2","4.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","4","0.7","0.17","2","1",,,,,,,,"-74.030000","40.704500","Permanent"
"x191_1911_DO",,"1911-07-10T00:00:00.000","1:01 PM",,,"24",,,"15",,,,,,,,,,,,,,,,,,,,,,,"Ebb",,,,,"1.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.933611","40.813611","Permanent"
"J7",,"1982-09-16T00:00:00.000","10:44 AM",,"22.2","22.2",,,,"27.5","27.5",,,,,,,,,,,,,,,,,,,,,"W",,,,"10","8.2",,,,"200","450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.6","3.1",,,,,,"-73.820833","40.645333","Permanent"
"J7",,"1982-09-16T00:00:00.000","10:44 AM",,"22.2","22.2",,,,"27.5","27.5",,,,,,,,,,,,,,,,,,,,,"W",,,,"10","8.2",,,,"200","450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.6","3.1",,,,,,"-73.820833","40.645333","Permanent"
"x2113_1911_DO",,"1911-10-23T00:00:00.000","3:30 PM",,"16",,,"1",,,,,,,,,,,,,,,,,,,,,,,,"Ebb",,,,"4.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.052778","40.670000","Permanent"
"E10",,"1966-06-27T00:00:00.000","11:41 AM",,"21.1","20.6","88",,,"29.05","29.4",,,,,,,,,,,,,,,,,,,,,"E",,,,"8.3","7.9",,,,"8","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","3",,,,,,,,,,,,"-73.765333","40.843667","Permanent"
"N5",,"1992-09-22T00:00:00.000","2:09 PM",,"21.94","20.99","45","1","11","20.79","24.41","3.12","3.54",,,,,,,"13.48","16.45",,,,,,,,,,,"N",,,,"6.39","5.21","5.5","6.08","6.06",,,,,"250","55",,,,,"0.47",,"0.32",,"0.097",,,,,,"0.15",,"8","24","8.1",,,,,,,,,,,,,,,,,,,,,,,,,"1.1","1.2",,,,,,"-74.030000","40.704500","Permanent"
"N9",,"1988-03-07T00:00:00.000","11:22 AM",,"6.1","5.1",,,,"19","20",,,,,,,,,,,,,,,,,,,,,"E",,,,"8.8","9.7",,,,"20","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.983333","40.568333","Permanent"
"E8",,"1970-09-22T00:00:00.000","11:29 AM",,"21.7","21.7",,,,"29.3","29.3",,,,,,,,,,,,,,,,,,,,,"E",,,,"5.1","4.2",,,,"1700","3300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.8","2.6",,,,,,"-73.783667","40.800500","Permanent"
