"permit_number","expiration_date","address_no","address_st","bo","zip","bbl","bin","census_tract_2010","city_council_district","community_district","nta_code","latitude","longitude"
"40421095","1995-12-31T00:00:00.000","42-47","208TH ST","QUEENS","11361","4062720037","4138097","146700","19","411","QN46","40.760634204437","-73.776469304515"
"40421096","1991-12-31T00:00:00.000","520-536","WESTCHESTER AVENUE","BRONX","10455","2022760001","2000133","007100","17","201","BX34","40.816164389182","-73.913365561436"
"40421099","2013-12-31T00:00:00.000","59-30","56 ROAD","QUEENS","11378","4026900029","4059988","053100","30","405","QN30","40.724608602033","-73.907701741853"
"40421109","1993-12-31T00:00:00.000","134-35","NORTHERN BLVD","QUEENS","11354","4049460068","4111919","086900","20","407","QN22","40.762748589838","-73.833548804847"
"40421116","2011-12-31T00:00:00.000","63-35","FRESH POND ROAD","QUEENS","11385","4036080001","4087416","061301","30","405","QN20","40.711380508818","-73.899907195565"
"40421118","2008-12-31T00:00:00.000","71-41","COOPER AVE","QUEENS","11385","4036880038","4089852","062300","30","405","QN19","40.702744715874","-73.879193018575"
"40421119","2000-12-31T00:00:00.000","133-05","32ND AVE","QUEENS","11354","4044050001","4100764","086900","20","407","QN22","40.766784294162","-73.836083797231"
"40421123","1996-12-31T00:00:00.000","128","BEACH 115 STREET","QUEENS","11694","4161870030","4303922","093800","32","414","QN10","40.578820961512","-73.835535309531"
"40421126","2009-12-31T00:00:00.000","131-38","SANFORD AVE","QUEENS","11355","4050640022","4115007","084900","20","407","QN22","40.754405978685","-73.834565932260"
"40421130","1991-12-31T00:00:00.000","957","CONEY ISLAND AVE","BROOKLYN","11230","3051970058","3336238","052600","40","314","BK42","40.634079956383","-73.967285823643"
"40421135","1996-12-31T00:00:00.000","97-11","50TH AVE","QUEENS","11368","4018800007","4440227","041100","21","404","QN25","40.742125346865","-73.865660692475"
"40421137","1996-12-31T00:00:00.000","852","JAMAICA AVE","BROOKLYN","11208","3041060039","3090998","118201","37","305","BK83","40.689629248817","-73.873245503130"
"40421138","1998-12-31T00:00:00.000","15","PARKVILLE AVE","BROOKLYN","11230","3054410022","3128785","047600","44","312","BK88","40.628175564137","-73.977091302868"
"40421139","1995-12-31T00:00:00.000","218-04","MERRICK BLVD","QUEENS","11413",,,"035800","31","413","QN66","40.679666433677","-73.751338321336"
"40421140","2006-12-31T00:00:00.000","1326","E 51ST ST","BROOKLYN","11234","3077760078","3215611","072800","46","318","BK58","40.628785847883","-73.926932141953"
"40421141","1995-12-31T00:00:00.000","185","KINGS HWY","BROOKLYN","11223","3066200032","3175318","042800","44","311","BK29","40.605669577700","-73.984550235522"
"40421147","2002-12-31T00:00:00.000","7307","18TH AVE","BROOKLYN","11204","3062050001","3159086","026600","47","311","BK28","40.614440096597","-73.994899824757"
"40421149","2003-12-31T00:00:00.000","129-09","JAMAICA AVE","QUEENS","11418","4092810044","4525224","014201","29","409","QN54","40.701593329253","-73.823185378927"
"40421155","2008-12-31T00:00:00.000","512","JOHNSON AVE","BROOKLYN","11237","3029930018","3070620","045300","34","301","BK77","40.708429005473","-73.928005933041"
"40421158","1996-12-31T00:00:00.000","119-04","HILLSIDE AVE","QUEENS","11418","4092730048","4539223","014400","29","409","QN54","40.701416251878","-73.831358276733"
"40421159","2005-12-31T00:00:00.000","69-80","75TH ST","QUEENS","11379","4037930103","4092094","061900","30","405","QN21","40.707500443017","-73.875721771521"
"40421160","2010-12-31T00:00:00.000","835","MYRTLE AVE","BROOKLYN","11206","3017470057","3421430","025700","36","303","BK75","40.695432669707","-73.948726889468"
"40421163","1991-12-31T00:00:00.000","473","WORTMAN AVE","BROOKLYN","11208","3043830031","3097842","111600","42","305","BK82","40.660639579156","-73.876386104029"
"40421170","1994-12-31T00:00:00.000","814","JAMAICA AVE","BROOKLYN","11208","3041050036","3090932","117602","37","305","BK83","40.689002282051","-73.874689045818"
"40421171","1998-12-31T00:00:00.000","538","JOHNSON AVE","BROOKLYN","11237","3029940011","3070622","045300","34","301","BK77","40.708625863844","-73.926797398488"
"40421173","1999-12-31T00:00:00.000","1550","E 96TH ST","BROOKLYN","11236","3082790076","3233666","101000","46","318","BK50","40.635442643447","-73.892912896192"
"40421174","1990-12-31T00:00:00.000","9818","GLENWOOD RD","BROOKLYN","11236","3081860039","3229731","097400","42","318","BK50","40.645825389946","-73.901220303697"
"40421175","1998-12-31T00:00:00.000","10","THOMAS ST","STATEN ISLAND","10306","5043940074","5060052","013800","50","503","SI25","40.566385624812","-74.129208363341"
"40421178","2014-12-31T00:00:00.000","7111","AVENUE W","BROOKLYN","11234","3084400006","3237901","070600","46","318","BK45","40.616672364969","-73.903658902310"
"40421180","2014-12-31T00:00:00.000","108-21","69 ROAD","QUEENS","11375","4022190055","4052286","073900","29","406","QN17","40.724411732456","-73.844800217038"
"40421182","1990-12-31T00:00:00.000","44640","BEACH 98 STREET","QUEENS","11694","4161530025","4303687","094201","32","414","QN10","40.585800102620","-73.820350096972"
"40421183","2015-12-31T00:00:00.000","153-05","59 AVENUE","QUEENS","11355","4064390037","4141453","083700","20","407","QN62","40.741156956586","-73.816494095789"
"40421185","2002-12-31T00:00:00.000","158-38","86TH ST","QUEENS","11414","4139840023","4292897","089200","32","410","QN57","40.659198298945","-73.846639312347"
"40421189","1996-12-31T00:00:00.000","250","OLDFIELD ST","STATEN ISLAND","10306","5037430020","5169887","011202","50","502","SI45","40.573971571636","-74.099677321763"
"40421190","2007-12-31T00:00:00.000","285","POULTNEY ST","STATEN ISLAND","10306","5037440039","5054389","011202","50","502","SI45","40.573553021179","-74.101206528065"
"40421191","1993-12-31T00:00:00.000","101","DELAWARE AVE","STATEN ISLAND","10304","5032970052","5048561","009602","50","502","SI36","40.592424871363","-74.096385193564"
"40421195","1991-12-31T00:00:00.000","331","PETER AVE","STATEN ISLAND","10306","5040070168","5055461","012806","50","503","SI25","40.561078803571","-74.114831114782"
"40421196","1990-12-31T00:00:00.000","285","MALLORY AVE","STATEN ISLAND","10305","5032530051","5047845","007000","50","502","SI36","40.591616548784","-74.076353970000"
"40421201","1990-12-31T00:00:00.000","1917","BATCHELDER ST","BROOKLYN","11229","3073120072","3197827","056800","46","315","BK44","40.604749006662","-73.939786362323"
"40421202","2005-12-31T00:00:00.000","80-45","255TH ST","QUEENS","11004","4087110009","4177950","157902","23","413","QN44","40.743009026384","-73.715290745122"
"40421204","2000-12-31T00:00:00.000","184","W 237TH ST","BRONX","10463","2032700018","2127018","028300","11","208","BX29","40.884151908258","-73.900365756765"
"40421206","1984-12-31T00:00:00.000","2657","E 65TH ST","BROOKLYN","11234","3086490011","3244002","070201","46","318","BK45","40.607375772227","-73.910421464754"
"40421208","2002-12-31T00:00:00.000","254","MANOR RD","STATEN ISLAND","10314","5003630028","5010107","015100","50","501","SI07","40.621822326529","-74.124089267225"
"40421209","2007-12-31T00:00:00.000","308","CLAWSON ST","STATEN ISLAND","10306","5036490033","5052865","012200","50","502","SI45","40.571894078028","-74.111250260480"
"40421210","2005-12-31T00:00:00.000","456","BEACH 132 STREET","QUEENS","11694","4162540071","4305558","092800","32","414","QN10","40.578014691132","-73.852139822514"
"40421211","1994-12-31T00:00:00.000","194","FALMOUTH ST","BROOKLYN","11235","3087480205","3255037","062000","48","315","BK17","40.578075693340","-73.946391029196"
"40421214","2004-12-31T00:00:00.000","1408","E 38TH ST","BROOKLYN","11234","3076730004","3210637","074600","45","318","BK58","40.619962339949","-73.937885075277"
"40421216","1997-12-31T00:00:00.000","151-23","17TH RD","QUEENS","11357","4047030019","4106723","102900","19","407","QN49","40.783209164055","-73.811217645422"
"40421218","2006-12-31T00:00:00.000","81-35","261ST ST","QUEENS","11004","4087360017","4178583","157902","23","413","QN44","40.742461358373","-73.709237551728"
"40421220","2007-12-31T00:00:00.000","207","NAUGHTON AVE","STATEN ISLAND","10305","5035490128","5050894","011401","50","502","SI36","40.585386710164","-74.097001439658"
"40421223","1996-12-31T00:00:00.000","97","LACONIA AVE","STATEN ISLAND","10305","5033510049","5049573","007000","50","502","SI36","40.592894916804","-74.085133830864"
"40421224","1999-12-31T00:00:00.000","5402","AVENUE M","BROOKLYN","11234","3078790042","3254610","069000","46","318","BK58","40.621594752491","-73.923107295569"
"40421226","2001-12-31T00:00:00.000","141-01","SOUTH Rd","QUEENS","11433",,,,,,,"0","0"
"40421227","1996-12-31T00:00:00.000","2102","ROYCE ST","BROOKLYN","11234","3084340043","3321604","070000","46","318","BK45","40.621358168649","-73.904199646575"
"40421228","1996-12-31T00:00:00.000","600","E 82ND ST","BROOKLYN","11236","3079600001","3222584","095400","46","318","BK50","40.639820284785","-73.915548327990"
"40421229","1990-12-31T00:00:00.000","47-29","158TH ST","QUEENS","11358","4054880017","4124044","120700","20","407","QN52","40.751344245327","-73.808976715063"
"40421230","1990-12-31T00:00:00.000","14-49","140 STREET","QUEENS","11357","4041080042","4098697","094500","19","407","QN49","40.785553560408","-73.828970453964"
"40421231","1990-12-31T00:00:00.000","154-15","23RD AVE","QUEENS","11357","4048430072","4109528","103300","19","407","QN49","40.777443882414","-73.808782402759"
"40421236","1994-12-31T00:00:00.000","1865","E 8TH ST","BROOKLYN","11223","3066840058","3178802","041600","48","315","BK25","40.603636584122","-73.964066890142"
"40421237","2013-12-31T00:00:00.000","350","BUEL AVE","STATEN ISLAND","10305","5036510044","5052927","011201","50","502","SI36","40.583975354863","-74.090965494554"
"40421242","2000-12-31T00:00:00.000","97","GRAND AVE","STATEN ISLAND","10301","5006000028","5015311","004700","49","501","SI08","40.615901424400","-74.099153064699"
"40421243","2004-12-31T00:00:00.000","16","ZWICKY AVE","STATEN ISLAND","10306","5036920018","5053562","011202","50","502","SI45","40.576933529622","-74.102414000262"
"40421244","2009-12-31T00:00:00.000","217-14","24TH AVE","QUEENS","11360","4060080095","4133702","099703","19","411","QN47","40.781186860334","-73.772207804583"
"40421245","1991-12-31T00:00:00.000","5602","185TH ST","QUEENS","11365","4056700006","4128117","141700","20","411","QN48","40.743201832434","-73.790844197268"
"40421248","1990-12-31T00:00:00.000","601","ORIENTAL BLVD","BROOKLYN","11235","3087370010","3255030","062000","48","315","BK17","40.577412237820","-73.948090676369"
"40421250","1996-12-31T00:00:00.000","2446","W 3RD ST","BROOKLYN","11223","3071920028","3195015","037402","47","315","BK26","40.589176709976","-73.972809395054"
"40421252","1991-12-31T00:00:00.000","2974","AVENUE Z","BROOKLYN","11235","3074770001","3205548","059800","48","315","BK17","40.589772365979","-73.937769245727"
"40421254","1998-12-31T00:00:00.000","1320","SHORE BLVD","BROOKLYN","11235","3087540028","3246573","062000","48","315","BK17","40.580788092628","-73.941888846645"
"40421255","1996-12-31T00:00:00.000","1278","E 24TH ST","BROOKLYN","11210","3076410078","3209283","075400","48","314","BK43","40.619672421206","-73.951364414903"
"40421258","1996-12-31T00:00:00.000","1743","E 19TH ST","BROOKLYN","11229","3068020078","3183188","055000","48","315","BK44","40.607560838853","-73.954167994853"
"40421260","2016-12-31T00:00:00.000","22","ZWICKY AVE","STATEN ISLAND","10306","5036920021","5053563","011202","50","502","SI45","40.576834881428","-74.102230259362"
"40421261","1992-12-31T00:00:00.000","307","NAUGHTON AVE","STATEN ISLAND","10305","5036520060","5052978","011201","50","502","SI36","40.583778120177","-74.093881355006"
"40421263","1996-12-31T00:00:00.000","43-66","167 STREET","QUEENS","11358","4054240073","4122627","119300","19","407","QN52","40.757923949027","-73.799612476141"
"40421265","1990-12-31T00:00:00.000","9708","DITMAS AVE","BROOKLYN","11236","3081230040","3228507","109800","42","317","BK82","40.651626273848","-73.909259047875"
"40421267","2009-12-31T00:00:00.000","1766","E 48TH ST","BROOKLYN","11234","3078920068","3220890","067400","46","318","BK58","40.617555299142","-73.928695049215"
"40421270","1992-12-31T00:00:00.000","238","COLERIDGE ST","BROOKLYN","11235","3087400035","3246236","061600","48","315","BK17","40.576169652383","-73.949895119332"
"40421272","1990-12-31T00:00:00.000","56-19","194TH ST","QUEENS","11365","4056810054","4128295","140902","20","411","QN48","40.744865294713","-73.783516480969"
"40421273","1991-12-31T00:00:00.000","29-44","146 STREET","QUEENS","11354","4047870076","4108280","104700","20","407","QN51","40.771377141737","-73.821923502169"
"40421274","2009-12-31T00:00:00.000","18-40","211TH ST","QUEENS","11360","4058780003","4443729","099704","19","407","QN47","40.780721838272","-73.781496532734"
"40421280","1990-12-31T00:00:00.000","2740","CROPSEY AVE","BROOKLYN","11214","3069370048","3321111","031400","43","313","BK26","40.587439232936","-73.989184528228"
"40421281","2007-12-31T00:00:00.000","710","W 246TH ST","BRONX","10471","2059200270","2087607","030900","11","208","BX22","40.893599882918","-73.914826795563"
"40421282","1990-12-31T00:00:00.000","286","CONKLIN AVE","BROOKLYN","11236","3081870058","3229768","097400","46","318","BK50","40.645584975811","-73.899361250467"
"40421283","2007-12-31T00:00:00.000","187","ROSS AVE","STATEN ISLAND","10306",,,"013400","50","502","SI45","40.571402698011","-74.116821452779"
"40421284","2005-12-31T00:00:00.000","334","PETER AVE","STATEN ISLAND","10306","5040070159","5055457","012806","50","503","SI25","40.561021228020","-74.114766234685"
"40421285","2014-12-31T00:00:00.000","257-15","148 ROAD","QUEENS","11422","4136720056","4290583","066400","31","413","QN05","40.654347891022","-73.731603861584"
"40421286","2003-12-31T00:00:00.000","3350","AGAR PL","BRONX","10465","2054090148","2075325","027402","13","210","BX10","40.839164213571","-73.816641943616"
"40421287","2005-12-31T00:00:00.000","254-27","39TH AVE","QUEENS","11363","4081500025","4169736","148300","19","411","QN45","40.775477411310","-73.740981481491"
"40421290","1992-12-31T00:00:00.000","2104","FOREST AVE","STATEN ISLAND","10303","5016910042","5112045","030302","49","501","SI12","40.626425194017","-74.159654264069"
"40421291","2013-12-31T00:00:00.000","107-49","RUBY STREET","QUEENS","11417","4091270050","4189770","004401","32","410","QN56","40.675241093125","-73.861365245905"
"40421293","1994-12-31T00:00:00.000","136-33","62ND AVE","QUEENS","11367","4063860033","4139767","080302","24","407","QN62","40.741490155020","-73.829654179730"
"40421299","1992-12-31T00:00:00.000","72","EXETER ST","BROOKLYN","11235","3087300075","3245939","061200","48","315","BK17","40.580519678730","-73.948844248296"
"40421300","1998-12-31T00:00:00.000","5504","18TH AVE","BROOKLYN","11204","3054900037","3130738","047000","44","312","BK88","40.624789744765","-73.984509768734"
"40421307","1990-12-31T00:00:00.000","157-37","ROSE AVE","QUEENS","11355","4054960015","4124207","120300","20","407","QN52","40.749329373333","-73.808848976394"
"40421309","1996-12-31T00:00:00.000","95-26","156TH AVE","QUEENS","11414","4141500015","4294824","088400","32","410","QN57","40.664091814592","-73.838337631506"
"40421310","1991-12-31T00:00:00.000","92-73","QUEENS BLVD","QUEENS","11374","4020750039","4615631","071702","29","406","QN18","40.731982170905","-73.866933266026"
"40421313","2006-12-31T00:00:00.000","1779","E 16TH ST","BROOKLYN","11229","3067990059","3183066","055200","48","315","BK44","40.606617700948","-73.956920110970"
"40421314","1997-12-31T00:00:00.000","60-09","75TH AVE","QUEENS","11385","4035900169","4086778","055700","30","405","QN20","40.698402641729","-73.896165305992"
"40421316","2005-12-31T00:00:00.000","2379","84TH ST","BROOKLYN","11214","3068530044","3185154","029800","47","311","BK29","40.600800823683","-73.988825848554"
"40421318","1990-12-31T00:00:00.000","3961","BEDFORD AVE","BROOKLYN","11229","3068310061","3184403","056200","48","315","BK44","40.605496723135","-73.947679811833"
"40421320","1992-12-31T00:00:00.000","350","GRIMSBY ST","STATEN ISLAND","10306","5038860029","5055120","011202","50","502","SI45","40.571078234681","-74.096861798547"
"40421321","1992-12-31T00:00:00.000","0","BREEZY PT. RCKWY. PT.BVD","QUEENS","11697",,,,,,,"0","0"
"40421322","1996-12-31T00:00:00.000","71-52","172ND ST","QUEENS","11365","4069590001","4150478","124700","24","408","QN38","40.729314915128","-73.797876767435"
"40421324","1993-12-31T00:00:00.000","67-30","179 STREET","QUEENS","11365","4071070014","4153063","134100","24","408","QN41","40.734242709940","-73.792250809664"
"40421327","1996-12-31T00:00:00.000","50-30","208TH ST","QUEENS","11364","4073840019","4158714","143500","23","411","QN46","40.752042034363","-73.771755627794"
"40421329","2018-12-31T00:00:00.000","138-25","ELDER AVENUE","QUEENS","11355",,,"079701","20","407","QN22","40.752054281255","-73.823881063548"
"40421330","1992-12-31T00:00:00.000","31","KEIBER CT","STATEN ISLAND","10314","5003660079","5010259","015100","50","501","SI07","40.618569153996","-74.124641513311"
"40421331","2014-12-31T00:00:00.000","122","DONGAN HILLS AVE","STATEN ISLAND","10305","5035390078","5050835","011401","50","502","SI36","40.586719934706","-74.097874661113"
"40421333","2013-12-31T00:00:00.000","230-01","58 AVENUE","QUEENS","11364","4075670072","4161939","138501","23","411","QN42","40.753210143584","-73.748861020391"
"40421338","2009-12-31T00:00:00.000","915","JEWETT AVE","STATEN ISLAND","10314","5003770001","5000000","015100","50","501","SI07","40.614170555095","-74.130860794615"
"40421345","2012-12-31T00:00:00.000","47-18","163 PLACE","QUEENS","11358","4054930049","4124184","120700","20","407","QN52","40.750662411396","-73.803431304795"
"40421346","1990-12-31T00:00:00.000","151-15","84TH ST","QUEENS","11414","4114317502","4446930","006201","32","410","QN57","40.667610864306","-73.850649956909"
"40421348","1995-12-31T00:00:00.000","45-52","196 STREET","QUEENS","11358","4055370113","4125054","145101","19","411","QN48","40.754667539912","-73.785336145159"
"40421355","1991-12-31T00:00:00.000","176-01","GRAND CENTRAL PARKWAY","QUEENS","11432","4072360001","4155662","127700","24","408","QN06","40.719790632512","-73.790279415092"
"40421357","2011-12-31T00:00:00.000","70-25","YELLOWSTONE BOULEVARD","QUEENS","11375","4032360035","4433878","071100","29","406","QN17","40.722590391770","-73.849815558608"
"40421359","1996-12-31T00:00:00.000","0","OCEANSI DE&BCH. 193RD ST","QUEENS","11697",,,,,,,"0","0"
"40421362","1990-12-31T00:00:00.000","1852","NEW YORK AVE","BROOKLYN","11210","3075960080","3207230","074200","45","318","BK58","40.627653702735","-73.944139095828"
"40421365","2000-12-31T00:00:00.000","31","MARKWOOD RD","QUEENS","11375","4033050025","4079065","074900","29","406","QN17","40.712312929961","-73.836997409116"
"40421369","2004-12-31T00:00:00.000","74","PARK ST","STATEN ISLAND","10306","5043630058","5059746","013800","50","503","SI25","40.569515787226","-74.128231807586"
"40421371","2003-12-31T00:00:00.000","215-23","28TH AVE","QUEENS","11360","4060060011","4133670","099703","19","411","QN47","40.778000298267","-73.772262076000"
"40421372","2014-12-31T00:00:00.000","380","LIBERTY AVENUE","STATEN ISLAND","10305","5036500077","5052897","011201","50","502","SI36","40.584486789412","-74.089821330599"
"40421373","2006-12-31T00:00:00.000","173","KENSINGTON AVE","STATEN ISLAND","10305","5032510062","5047799","007000","50","502","SI36","40.594021386043","-74.075748209705"
"40421376","2006-12-31T00:00:00.000","29-05","214TH PL","QUEENS","11360","4060560028","4134762","109300","19","411","QN46","40.775518155526","-73.773205736911"
"40421379","2012-12-31T00:00:00.000","37","MANSION AVE","STATEN ISLAND","10308","5051900085","5065980","015603","51","503","SI54","40.546217366008","-74.138186132855"
"40421384","2012-12-31T00:00:00.000","995","UTICA AVENUE","BROOKLYN","11203","3047220047","3103791","086200","45","317","BK96","40.648791774931","-73.930056161875"
"40421385","1990-12-31T00:00:00.000","1149","BEDFORD AVE","BROOKLYN","11216","3018227501","3051546","024500","36","303","BK75","40.684140185144","-73.954057469111"
"40421391","1996-12-31T00:00:00.000","222","SHORE BLVD","BROOKLYN","11235","3087270089","3245857","061200","48","315","BK17","40.581838772933","-73.952547689877"
"40421394","2020-12-31T00:00:00.000","197-23","47 AVENUE","QUEENS","11358","4055550023","4523443","145101","19","411","QN48","40.752936610055","-73.782959575546"
"40421395","1990-12-31T00:00:00.000","165-20","27TH AVE","QUEENS","11358","4049070009","4111025","114100","19","407","QN51","40.772363498218","-73.799236702019"
"40421397","1991-12-31T00:00:00.000","1976","CONEY ISLAND AVE","BROOKLYN","11223",,,"042000","44","315","BK25","40.609034979495","-73.962205585715"
"40421398","1991-12-31T00:00:00.000","65-75","TRAFFIC AVE","QUEENS","11385","4036080253","4087479","061301","30","405","QN20","40.709421294454","-73.894402300788"
"40421399","1991-12-31T00:00:00.000","2196","3RD AVE","MANHATTAN","10035","1017680039","1054373","019600","8","111","MN34","40.800359748950","-73.938257881365"
"40421401","1996-12-31T00:00:00.000","131","PLATT ST","STATEN ISLAND","10306","5047050171","5063232","013204","50","503","SI25","40.562066446127","-74.125734152160"
"40421402","1994-12-31T00:00:00.000","902","ESSEX ST","BROOKLYN","11208","3043840017","3097855","111600","42","305","BK82","40.661967571472","-73.875940292607"
"40421403","1998-12-31T00:00:00.000","3682","NOSTRAND AVE","BROOKLYN","11229","3074050933","3202632","059402","48","315","BK17","40.594291852423","-73.940717614927"
"40421404","1996-12-31T00:00:00.000","171-06","68TH AVE","QUEENS","11365","4069250013","4149637","122300","24","408","QN38","40.733528956550","-73.798340229828"
"40421406","2006-12-31T00:00:00.000","2045","E 18TH ST","BROOKLYN","11229","3073230064","3198254","057800","48","315","BK44","40.600350123993","-73.953769645342"
"40421407","1995-12-31T00:00:00.000","14-19","209 STREET","QUEENS","11360","4058630380","4130898","099705","19","407","QN47","40.786396276536","-73.783482036821"
"40421410","2003-12-31T00:00:00.000","1881","MADISON ST","QUEENS","11385","4034700030","4449781","054900","34","405","QN20","40.703504278530","-73.904611320595"
"40421412","2001-12-31T00:00:00.000","1428","VICTORY BLVD","STATEN ISLAND","10301","5006810055","5016998","016901","49","501","SI07","40.614221886221","-74.110831228469"
"40421416","1993-12-31T00:00:00.000","443","LINCOLN AVE","STATEN ISLAND","10306","5037370009","5054282","011202","50","502","SI45","40.574342552679","-74.099177526102"
"40421417","2008-12-31T00:00:00.000","106","WEED AVE","STATEN ISLAND","10306","5040470035","5128554","012804","50","502","SI45","40.564927138555","-74.106163823817"
"40421418","2011-12-31T00:00:00.000","80-63","265 ST","QUEENS","11004","4087210006","4178218","157901","23","413","QN44","40.744717820877","-73.706105959281"
"40421422","1999-12-31T00:00:00.000","214-47","27TH AVE","QUEENS","11360","4060020024","4133604","099703","19","411","QN47","40.778114578464","-73.774536436079"
"40421425","1998-12-31T00:00:00.000","1930","AVENUE M","BROOKLYN","11230","3067480011","3181120","053800","48","314","BK43","40.618458279192","-73.955799410316"
"40421428","2010-12-31T00:00:00.000","30-17","40 AVENUE","QUEENS","11101","4004000005","4004855","003100","26","401","QN68","40.751866076816","-73.934498821132"
"40421429","2012-12-31T00:00:00.000","13","ZOE STREET","STATEN ISLAND","10305","5035360008","5050693","011401","50","502","SI36","40.587692382673","-74.096943595305"
"40421430","1992-12-31T00:00:00.000","67-46","179TH ST","QUEENS","11365","4071070021","4153065","134100","24","408","QN41","40.733921599540","-73.792266247930"
"40421434","1992-12-31T00:00:00.000","63-57","FRESH POND RD","QUEENS","11385","4036090001","4087482","061301","30","405","QN20","40.710740684679","-73.899572704879"
"40421437","1993-12-31T00:00:00.000","34","GALLOWAY AVE","STATEN ISLAND","10302","5003940120","5011481","025100","50","501","SI28","40.622712960437","-74.139627523998"
"40421440","1998-12-31T00:00:00.000","347","ROSE AVE","STATEN ISLAND","10306","5042220023","5057620","013400","50","502","SI45","40.570103393495","-74.112355888563"
"40421442","2012-12-31T00:00:00.000","75-44","196 PLACE","QUEENS","11366","4072120026","4155281","133300","23","408","QN41","40.732230316106","-73.774555174675"
"40421444","2019-12-31T00:00:00.000","88-25","ASTORIA BOULEVARD","QUEENS","11369","4011000037","4024132","032900","22","403","QN28","40.763971352660","-73.880973144074"
"40421445","2001-12-31T00:00:00.000","52-47","241ST ST","QUEENS","11362","4081740007","4170025","150701","19","411","QN45","40.758524018750","-73.741444724095"
"40421454","1998-12-31T00:00:00.000","1568","RALPH AVE","BROOKLYN","11236","3079550017","3222404","094401","45","318","BK58","40.638856846234","-73.919329249325"
"40421455","1995-12-31T00:00:00.000","1241","E 26TH ST","BROOKLYN","11210","3076440028","3209390","075400","48","314","BK43","40.620530749978","-73.949541099586"
"40421457","1996-12-31T00:00:00.000","47-10","163RD PL","QUEENS","11358","4054930045","4124183","120700","20","407","QN52","40.750731017874","-73.803423883123"
"40421458","2011-12-31T00:00:00.000","64-21","251 STREET","QUEENS","11362","4083730047","4173116","152902","23","411","QN45","40.754904918701","-73.726591460836"
"40421459","2016-12-31T00:00:00.000","381","FREEBORN ST","STATEN ISLAND","10306","5038860052","5055130","011202","50","502","SI45","40.570367690295","-74.096439630309"
"40421460","1991-12-31T00:00:00.000","6736","HYLAN BLVD","STATEN ISLAND","10309","5077340050","5107843","024402","51","503","SI11","40.508068517904","-74.228282145067"
"40421462","1996-12-31T00:00:00.000","429","ISABELLA AVE","STATEN ISLAND","10306","5040240004","5055602","012806","50","503","SI25","40.558408586075","-74.114365862566"
"40421463","1996-12-31T00:00:00.000","2160","FLATBUSH AVE","BROOKLYN","11234","3078890056","3220769","065200","46","318","BK45","40.617306968602","-73.931054609217"
"40421468","1999-12-31T00:00:00.000","9233","4TH AVE","BROOKLYN","11209","3061080014","3155316","005800","43","310","BK31","40.617433445414","-74.030530389997"
"40421470","1999-12-31T00:00:00.000","1778","E 8TH ST","BROOKLYN","11223","3066640069","3177530","041800","44","315","BK25","40.605659617305","-73.964469147570"
"40421474","2016-12-31T00:00:00.000","12","HALL STREET","BROOKLYN","11205","3018750014","3334438","054300","35","302","BK99","40.697193197882","-73.966663301303"
"40421475","2000-12-31T00:00:00.000","667","ATKINS AVE","BROOKLYN","11208","3045230022","3098931","111600","42","305","BK82","40.662768883886","-73.873282322797"
"40421481","2014-12-31T00:00:00.000","711","HAMPTON AVENUE","BROOKLYN","11235","3087440034","3246364","061200","48","315","BK17","40.579912472442","-73.947501933782"
"40421482","2013-12-31T00:00:00.000","427","BROADWAY","BROOKLYN","11211","3024640026","3340662","052700","34","301","BK73","40.706786944820","-73.953165341610"
"40421486","2002-12-31T00:00:00.000","1254","FLATBUSH AVE","BROOKLYN","11226","3052090019","3120303","051601","40","314","BK42","40.639776677594","-73.954938484539"
"40421488","2004-12-31T00:00:00.000","91-10","METROPOLITAN AVE","QUEENS","11374","4038860700","4095046","063700","29","406","QN19","40.711506033037","-73.857664405389"
"40421489","1995-12-31T00:00:00.000","2745","OCEAN AVE","BROOKLYN","11229","3074050065","3202175","059401","48","315","BK17","40.594258042658","-73.950428804569"
"40421497","1992-12-31T00:00:00.000","299","NAUGHTON AVE","STATEN ISLAND","10305","5036520064","5052980","011201","50","502","SI36","40.583865814438","-74.094050686533"
"40421499","1996-12-31T00:00:00.000","1014","STANLEY AVE","BROOKLYN","11208","3045250029","3098936","111600","42","305","BK82","40.664387072208","-73.872172646168"
"40421503","1990-12-31T00:00:00.000","921","E NEW YORK AVE","BROOKLYN","11203","3014300018","3331592","088000","41","309","BK60","40.662901327593","-73.932358969380"
"40421504","1996-12-31T00:00:00.000","3","ZOE ST","STATEN ISLAND","10305","5035360014","5050697","011401","50","502","SI36","40.587840768681","-74.096745790603"
"40421505","1995-12-31T00:00:00.000","0","LINDEND BLVD/BROOKDALE PL","BROOKLYN","11212",,,,,,,"0","0"
"40421507","2008-12-31T00:00:00.000","62-22","ALMEDA AVE","QUEENS","11692","4160060001","4430542","096400","31","414","QN12","40.597223479697","-73.792487924062"
"40421509","1994-12-31T00:00:00.000","1863","FLATBUSH AVE","BROOKLYN","11210","3078080011","3216956","073600","45","318","BK58","40.624475273872","-73.938828280658"
"40421515","1990-12-31T00:00:00.000","176","SLOCUM CRES","QUEENS","11375","4032490018","4077809","072300","29","406","QN17","40.716895605305","-73.846138088219"
"40421516","1995-12-31T00:00:00.000","800","E 136TH ST","BRONX","10454","2025870011","2093989","001900","17","201","BX39","40.802667214377","-73.911718043400"
