"the_geom","nodeid","oft","onstreetname","fromstreetname","borough_code","work_start_date","work_end_date","purpose"
"POINT (1011785.793669641 240229.70856656134)","47822","226640270420000000","EAST  166 STREET","UNION AVENUE","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1038293.4332395494 203994.3069561422)","55266","415740424240000000","75 ROAD","164 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1039807.7776518017 204782.5107603073)","55347","415390424590000000","73 AVENUE","170 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1003276.1292585582 211219.62026138604)","41510","408390409840000000","33 STREET","43 AVENUE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (996856.4081741422 222777.00495497882)","23587","110210118690000000","3 AVENUE","EAST   85 STREET","M","2023-07-20T00:00:00","2023-09-01T00:00:00","CONTRACT ROADWAY MILLING"
"POINT (1019770.3938421309 217876.19454663992)","46957","407240419090000000","25 AVENUE","98 STREET","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1032686.5553457141 206485.66975556314)","54832","414240454580000000","68 AVENUE","MAIN STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1010444.4876252264 208956.69171638787)","45169","410440412290000000","47 AVENUE","59 PLACE","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1011913.7563402206 195543.42490780354)","69542","414390441700000000","68 ROAD","DEAD END","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1012866.5395396352 209067.3050122261)","83637","414440459990000000","68 STREET","QUEENS BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (972962.9001869708 167598.82955040038)","11419","377130377136000000","SHORE ROAD","SHORE ROAD LANE","B","2023-08-16T00:00:00","2023-08-22T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1038234.9527134746 204742.97015698254)","55274","415140424240000000","72 AVENUE","164 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1008940.2583502233 216464.77020414174)","41856","407890410390000000","30 ROAD","46 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (995742.0403241366 196815.05622281134)","19592","373830393060000000","ROSS STREET","WILLIAMSBURG ST WEST","B","2023-08-15T00:00:00","2023-08-18T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1025447.4884590507 225196.68154606223)","51606","406040420940000000","14 ROAD","116 STREET","Q","2023-06-20T00:00:00","2023-09-18T00:00:00","D.D.C. CONTRACTOR MAJOR RECONSTRUCTION"
"POINT (990546.0799155533 164736.29590539634)","17216","309430389740000000","57 STREET","WASHINGTON CEMETERY BOUNDARY","B","2023-08-17T00:00:00","2023-08-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1046168.414536804 208726.51829223335)","58962","413590413990000000","65 CRESCENT","67 AVENUE","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1035962.9789109677 214106.98653389513)","55776","410290458590000000","46 AVENUE","PARSONS BOULEVARD","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1026357.7491057217 203715.95777530968)","50282","414390468690000000","68 ROAD","YELLOWSTONE BOULEVARD","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1026805.9732748866 148407.40205405653)","30715","434640457970000000","BEACH  129 STREET","OCEAN PROMENADE","Q","2023-07-17T00:00:00","2023-09-01T00:00:00","OCCUPANCY OF ROADWAY AS STIPULATED"
"POINT (1018728.4700729698 217731.02095247805)","46866","407240418740000000","25 AVENUE","94 STREET","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1037768.0376368016 204169.4247161448)","55199","415690424140000000","75 AVENUE","162 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1004062.9715168923 219474.21956580877)","41621","406740407890000000","21 STREET","30 ROAD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1009908.4913218915 208385.18367305398)","41260","410590412060000000","48 AVENUE","58 LANE","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1023531.4719498903 206106.3791755587)","50034","413140419070000000","63 ROAD","98 PLACE","Q","2023-07-24T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (994210.3901722282 199072.5976394713)","19530","319530378330000000","BERRY STREET","SOUTH    3 STREET","B","2023-08-16T00:00:00","2023-08-17T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1038274.8932503909 204240.65816947818)","55272","415690424240000000","75 AVENUE","164 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (974238.990154475 171466.18073956668)","11942","357930377130000000","MAC KAY PLACE","SHORE ROAD","B","2023-08-08T00:00:00","2023-08-16T00:00:00","DOT IN-HOUSE MILLING"
"POINT (997373.6938849688 234664.3069677204)","24163","131190136270000000","ST NICHOLAS AVENUE","WEST  125 STREET","M","2023-07-12T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (962491.8879925609 150425.3766926378)","9852","541311547150000000","OCEANSIDE AVENUE","SEAVIEW AVENUE","S","2023-06-15T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1011610.1299789697 246968.9801929742)","9046520","242350256820000000","ITTNER PLACE","PARK AVENUE","X","2023-08-07T00:00:00","2023-11-05T00:00:00","CONTRACT ROADWAY MILLING"
"POINT (1027411.211565718 204410.2247594744)","50396","414240420390000000","68 AVENUE","110 STREET","Q","2023-07-24T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (972962.3657392263 166951.6428526491)","11415","310930377130000000","87 STREET","SHORE ROAD","B","2023-08-16T00:00:00","2023-08-22T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1012252.2264638096 214832.7918408066)","46401","408190414440000000","32 AVENUE","68 STREET","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1032911.6533207148 211145.75229889154)","55562","422740436400000000","141 STREET","BOOTH MEMORIAL AVENUE","Q","2023-07-24T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1019338.1538929641 217329.37838305533)","46952","418890451010000000","96 STREET","JACKSON MILL ROAD","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1037803.5723426342 203921.58728531003)","55190","415740424140000000","75 ROAD","162 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (997287.6113799661 233492.60655522346)","24151","131190136190000000","ST NICHOLAS AVENUE","WEST  121 STREET","M","2023-07-12T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (997637.4860083014 224187.0349433124)","23656","110210118810000000","3 AVENUE","EAST   91 STREET","M","2023-07-22T00:00:00","2023-09-01T00:00:00","CONTRACT ROADWAY MILLING"
"POINT (1013165.2597427219 209874.20300473273)","45512","414690468290000000","69 STREET","WOODSIDE AVENUE","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1011100.8084910512 238050.09055048227)","47278","226460270420000000","EAST  160 STREET","UNION AVENUE","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1011048.0264443904 254105.8750398904)","48669","209020274750000000","AQUEDUCT AVENUE","WEST  188 STREET","X","2023-07-08T00:00:00","2023-09-01T00:00:00","DEP CONTRACTOR MAJOR INSTALLATION SEWER"
"POINT (1037419.7345276326 203096.3297494799)","55187","416040424040000000","77 AVENUE","160 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033182.1777140498 211054.92603698373)","55615","422810436400000000","142 STREET","BOOTH MEMORIAL AVENUE","Q","2023-07-24T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013776.6062890589 251765.98634697497)","9008780","227240256820000000","EAST  186 STREET","PARK AVENUE","X","2023-08-07T00:00:00","2023-11-05T00:00:00","CONTRACT ROADWAY MILLING"
"POINT (1004304.1521368921 211063.3705738932)","41577","408940409840000000","37 STREET","43 AVENUE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1010691.2292577177 208197.7562263906)","45172","412690453090000000","60 STREET","LAUREL HILL BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1044771.7769101411 208217.8086797297)","58812","413990425440000000","67 AVENUE","192 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1015493.9063321352 242837.12822048366)","48176","216120226820000000","BRYANT AVENUE","EAST  172 STREET","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033988.5209176391 205889.28676196933)","54916","414290414640000000","68 DRIVE","69 ROAD","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010073.7173693925 247034.1240915656)","47782","226880251620000000","EAST  174 STREET","MONROE AVENUE","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037953.9034067988 202912.422308892)","55183","416090424140000000","77 ROAD","162 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1012253.1880760491 207798.6428513974)","45365","410790413940000000","50 AVENUE","66 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (994944.036670804 200276.8471994698)","21985","319530365930000000","BERRY STREET","NORTH    3 STREET","B","2023-08-15T00:00:00","2023-08-17T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1011759.9899154752 214763.42550972104)","46303","408190412940000000","32 AVENUE","62 STREET","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1001135.1824249774 201250.83475281298)","40637","331930342430000000","DEBEVOISE AVENUE","FROST STREET","B","2023-08-11T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1032612.500047639 205081.283128649)","54827","422690451590000000","140 STREET","JEWEL AVENUE","Q","2023-06-13T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1013272.0735054761 220519.60133330524)","47074","406440448990000000","20 AVENUE","HAZEN STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1014036.7307687998 209364.8076980561)","45610","409940415340000000","44 AVENUE","72 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010093.1300602257 207696.4284888953)","45151","412060453090000000","58 LANE","LAUREL HILL BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1011824.7591428906 214772.62890338898)","46304","408190428020000000","32 AVENUE","AMTRAK RAILROAD","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1012838.3932704777 207782.4322538972)","45371","410790414440000000","50 AVENUE","68 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (998163.1050358117 156784.58969597518)","17066","335730345730000000","EAST   21 STREET","GRAVESEND NECK ROAD","B","2023-08-18T00:00:00","2023-08-22T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1011466.4504763037 202628.20404531062)","45209","413490447290000000","64 STREET","GRAND AVENUE","Q","2023-08-02T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1028454.8479298949 201750.1808669716)","50488","415290420390000000","72 ROAD","110 STREET","Q","2023-07-11T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1040668.7601817995 204091.4947538972)","58481","415840424790000000","76 AVENUE","173 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1012963.0094910562 209932.04409639537)","45407","414440468290000000","68 STREET","WOODSIDE AVENUE","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1014450.9789560586 220086.73474498093)","47104","406590416490000000","21 AVENUE","79 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033176.9907165617 205291.36472947896)","54908","451590454580000000","JEWEL AVENUE","MAIN STREET","Q","2023-06-13T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1045578.6811362207 208511.66964055598)","58904","413590413990000000","65 CRESCENT","67 AVENUE","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1024827.7721787989 205908.33495222032)","50116","413240419540000000","64 AVENUE","102 STREET","Q","2023-07-24T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1027038.9190032184 148526.94905905426)","30724","434590457970000000","BEACH  128 STREET","OCEAN PROMENADE","Q","2023-07-17T00:00:00","2023-09-01T00:00:00","OCCUPANCY OF ROADWAY AS STIPULATED"
"POINT (1009892.5956843942 207755.01761056483)","41256","412060453090000000","58 LANE","LAUREL HILL BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1036720.1099426448 204012.77804781497)","55128","415690458590000000","75 AVENUE","PARSONS BOULEVARD","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1013678.9788596332 219978.6476908028)","46527","406590415990000000","21 AVENUE","76 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1014715.9616938084 241733.03265964985)","48086","233720272320000000","FREEMAN STREET","VYSE AVENUE","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (949847.6127562225 161384.66251681745)","6736","529945540625000000","GOWER STREET","NORTH GANNON AVENUE","S","2023-08-11T00:00:00","2023-08-14T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1027275.2787667215 206592.0032043159)","50408","413440447390000000","64 ROAD","GRAND CENTRL PARKWAY","Q","2023-07-24T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1046312.7052587271 208033.51770973206)","58964","414490425790000000","69 AVENUE","197 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1044134.1075818092 206342.8321147263)","58790","415390425225000000","73 AVENUE","187 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1044128.4839053899 205600.3007913977)","58785","415690425200000000","75 AVENUE","186 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1009591.5103285611 208137.78259305656)","41257","412090412190000000","58 PLACE","58 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1002280.7247533053 199311.1470311433)","27532","332530362630000000","DEVOE STREET","MORGAN AVENUE","B","2023-08-17T00:00:00","2023-08-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1035169.8801034689 199542.5835761428)","67107","450190452790000000","HOOVER AVENUE","LANDER STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (996215.7565682977 221620.8852199763)","23576","110210118590000000","3 AVENUE","EAST   80 STREET","M","2023-07-20T00:00:00","2023-09-01T00:00:00","CONTRACT ROADWAY MILLING"
"POINT (1014230.0309071392 236561.40914463997)","47428","211020268720000000","BARRY STREET","TIFFANY STREET","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033834.2692576349 206601.00777947903)","54925","414240441700000000","68 AVENUE","DEAD END","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (997657.1841316372 232391.4473402202)","24147","110610136130000000","7 AVENUE","WEST  118 STREET","M","2023-07-07T00:00:00","2023-08-28T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1026575.3175682276 148295.39112322032)","30714","434690457970000000","BEACH  130 STREET","OCEAN PROMENADE","Q","2023-07-17T00:00:00","2023-09-01T00:00:00","OCCUPANCY OF ROADWAY AS STIPULATED"
"POINT (1036499.5920109749 202117.8277694732)","55113","416240423490000000","78 ROAD","153 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (988110.0152338892 168976.52036455274)","13716","306680309080000000","16 AVENUE","50 STREET","B","2023-08-09T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (997910.9467474669 232849.9733260572)","24149","110610136170000000","7 AVENUE","WEST  120 STREET","M","2023-07-07T00:00:00","2023-08-28T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1020304.1132471412 217950.7150668949)","50732","407240419290000000","25 AVENUE","100 STREET","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1036722.7706984729 203762.2240869701)","55119","415740458590000000","75 ROAD","PARSONS BOULEVARD","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1037148.9312634766 204939.04227139056)","55192","424040458428000000","160 STREET","PARK AVENUE","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1010693.0796477199 208365.09841139615)","45173","410590412690000000","48 AVENUE","60 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (995447.4411758035 200895.297406137)","22019","319530366230000000","BERRY STREET","NORTH    6 STREET","B","2023-08-09T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1004598.4691335559 245385.94530130923)","43792","250520274330000000","MERRIAM AVENUE","WEST  169 STREET","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033626.6646859646 205747.3871113956)","54912","414640423090000000","69 ROAD","147 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (972947.9169492275 167245.5494170636)","11418","310880377130000000","86 STREET","SHORE ROAD","B","2023-08-08T00:00:00","2023-08-16T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1013173.715106383 250618.8357541412)","9046555","227120256820000000","EAST  182 STREET","PARK AVENUE","X","2023-08-07T00:00:00","2023-11-05T00:00:00","CONTRACT ROADWAY MILLING"
"POINT (1026517.3386815488 203498.82894447446)","50283","414290468690000000","68 DRIVE","YELLOWSTONE BOULEVARD","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1015839.8895640522 233883.85249190032)","47470","221320229100000000","COSTER STREET","EAST BAY AVENUE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1034225.2363234758 210600.6254363954)","55663","423140436400000000","148 STREET","BOOTH MEMORIAL AVENUE","Q","2023-07-24T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033539.9420903921 216807.29379731417)","55643","458590461090000000","PARSONS BOULEVARD","ROOSEVELT AVENUE","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1005074.8723802269 210946.9308461398)","41627","409190409840000000","39 PLACE","43 AVENUE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (962327.1051856428 150184.8292734772)","9851","536300541311000000","LIBERTY AVENUE","OCEANSIDE AVENUE","S","2023-06-15T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1018930.3102204651 218435.33056747913)","46873","407090418840000000","24 AVENUE","95 STREET","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1009804.1509793848 209163.35468889773)","41265","410440412190000000","47 AVENUE","58 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1016743.4510771334 233351.95394939184)","47533","246620271750000000","LONGFELLOW AVENUE","VIELE AVENUE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1002571.015839383 197039.99671781063)","27517","320230353530000000","BOGART STREET","JOHNSON AVENUE","B","2023-08-18T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1018997.37603122 217955.97096189857)","46872","418840451010000000","95 STREET","JACKSON MILL ROAD","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033834.2692576349 206601.00777947903)","54925","414240441700000000","68 AVENUE","DEAD END","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (973175.7606536448 168341.96782788634)","11461","310680377130000000","82 STREET","SHORE ROAD","B","2023-08-16T00:00:00","2023-08-22T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1019270.9230563045 217806.6638458073)","46950","407240418890000000","25 AVENUE","96 STREET","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1024051.2543748915 207495.02469222248)","50128","419540450290000000","102 STREET","HORACE HARDING EXPRESSWAY","Q","2023-07-24T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (997763.8112149686 210210.2029888928)","23015","405690410590000000","11 STREET","48 AVENUE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1006657.529976055 224577.56533022225)","42282","406640462090000000","21 DRIVE","SHORE BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (995447.4411758035 200895.297406137)","22019","319530366230000000","BERRY STREET","NORTH    6 STREET","B","2023-08-15T00:00:00","2023-08-17T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010331.0823402256 213776.03247138858)","46191","411590457790000000","55 STREET","NORTHERN BOULEVARD","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013693.4440537989 235796.07274881005)","47360","211020278570000000","BARRY STREET","WORTHEN STREET","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037309.3541709781 203848.70029197633)","55186","415740424040000000","75 ROAD","160 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1037273.3437443078 204095.73687139153)","55193","415690424040000000","75 AVENUE","160 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1008789.4187568873 247067.0242882222)","44206","226880236420000000","EAST  174 STREET","GRAND CONCOURSE","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010750.3990868926 214624.89855581522)","46202","408190411990000000","32 AVENUE","57 STREET","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1025691.8318023831 225208.5027166456)","51608","406040421040000000","14 ROAD","117 STREET","Q","2023-06-20T00:00:00","2023-09-18T00:00:00","D.D.C. CONTRACTOR MAJOR RECONSTRUCTION"
"POINT (1038535.7788834721 204789.7643547207)","55275","415140424290000000","72 AVENUE","165 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1009260.831856057 217489.03652830422)","41932","407540410240000000","28 AVENUE","45 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1019338.1538929641 217329.37838305533)","46952","418890451010000000","96 STREET","JACKSON MILL ROAD","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (987443.0513447225 173158.34270955622)","14187","306280308530000000","12 AVENUE","39 STREET","B","2023-08-10T00:00:00","2023-08-15T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1015729.9032354653 242729.09365963936)","48179","226820246620000000","EAST  172 STREET","LONGFELLOW AVENUE","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (996343.7582807988 221852.10851080716)","23577","110210118610000000","3 AVENUE","EAST   81 STREET","M","2023-07-20T00:00:00","2023-09-01T00:00:00","CONTRACT ROADWAY MILLING"
"POINT (1012874.5349304676 209051.01567472517)","45403","414440459990000000","68 STREET","QUEENS BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1017199.8412404656 207288.4174938947)","45891","447290452400000000","GRAND AVENUE","KNEELAND AVENUE","Q","2023-08-02T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1018715.2679996341 219979.23824080825)","46882","418840442490000000","95 STREET","DITMARS BOULEVARD","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1006471.5559385568 224378.05490247905)","42281","442490462090000000","DITMARS BOULEVARD","SHORE BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1035114.7686651349 214808.06748081744)","55767","443790458590000000","ELM AVENUE","PARSONS BOULEVARD","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (995283.8325791359 200693.8670347333)","22017","319530366130000000","BERRY STREET","NORTH    5 STREET","B","2023-08-15T00:00:00","2023-08-17T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1046562.0157837272 207357.01971890032)","58958","415390425790000000","73 AVENUE","197 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1045551.8140639663 208144.7970147282)","58903","425490425635000000","193 LANE","195 LANE","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1040174.3451601416 204018.4174722284)","58476","415840424690000000","76 AVENUE","171 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1012832.5045027137 209127.42300222814)","45404","414440459990000000","68 STREET","QUEENS BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1039927.3344992995 203982.0792903155)","55339","415840424590000000","76 AVENUE","170 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1035695.4236717969 198574.3735703081)","34937","441475458890000000","DANIELS STREET","PERSHING CRESCENT","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
