"objectid","meter_number","status","pay_by_cell_number","meter_hours","parking_facility_name","facility","borough","on_street","side_of_street","from_street","to_street","lat","long","x","y","location"
"1165","4152024","Active","414115","12HR Pas Mon-Sat 0700-1900",,"On Street","Queens","Skillman Avenue","E","49 Avenue","Pearson Place","40.7426657362406","-73.9445987895079","999601.861344635","209854.634146228","POINT (-73.944598789508 40.742665736241)"
"75","4152013","Active","412854","12HR Pas Mon-Sat 0700-1900",,"On Street","Queens","Skillman Avenue","W","Thomson Avenue","49 Avenue","40.744360717969","-73.9406171818191","1000704.75940131","210472.89275223","POINT (-73.940617181819 40.744360717969)"
"11045","1433414","Active","105366","2HR Pas Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","Broadway","E","West 56 Street","West 55 Street","40.7650771155517","-73.9819861070929","989240.03134656","218015.484622389","POINT (-73.981986107093 40.765077115552)"
"10102","1443671","Active","104912","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","Broadway","W","West 28 Street","West 27 Street","40.7449253699611","-73.9888732102894","987333.166393891","210673.231918484","POINT (-73.988873210289 40.744925369961)"
"2539","4173046","Active","465682","2 HR Pas Mon-Sat 0830-1900",,"On Street","Queens","Queens Boulevard","S","67 Drive","68 Drive","40.7253594476829","-73.8511460925156","1025508.61464913","203579.610607058","POINT (-73.851146092516 40.725359447683)"
"9023","1243056","Active","106320","3HR Com Mon-Sat 0800-1900 /5HR Pas Mon-Sat 1900-2400",,"On Street","Manhattan","Canal Street","S","Church Street","Broadway","40.7196926635727","-74.0024911765341","983559.448547632","201479.980948061","POINT (-74.002491176534 40.719692663573)"
"8401","4153001","Active","412868","12HR Pas Mon-Sat 0700-1900",,"On Street","Queens","Skillman Avenue","N","39 Street","Honeywell Street","40.7474406970892","-73.9279733711427","1004207.38920705","211597.655266479","POINT (-73.927973371143 40.747440697089)"
"10958","1433290","Active","101513","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 43 Street","S","Madison Avenue","5 Avenue","40.7537125870925","-73.9794677963142","989938.599503219","213875.168756053","POINT (-73.979467796314 40.753712587093)"
"11500","1433280","Active","106079","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 56 Street","N","Lexington Avenue","3 Avenue","40.7598216448235","-73.9684770308409","992982.871629894","216101.802098066","POINT (-73.968477030841 40.759821644824)"
"10978","1433311","Active","103696","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 45 Street","N","Madison Avenue","5 Avenue","40.7549197253645","-73.9782029317955","990288.930167392","214315.053046897","POINT (-73.978202931795 40.754919725365)"
"10995","1433337","Active","105982","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 49 Street","S","Lexington Avenue","Park Avenue","40.7560799500826","-73.9734180841547","991614.455403477","214738.126675814","POINT (-73.973418084155 40.756079950083)"
"8269","1403027","Active","102977","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 50 Street","N","9 Avenue","8 Avenue","40.7631294787328","-73.9879713191395","987582.16425547","217305.612026393","POINT (-73.987971319139 40.763129478733)"
"11052","1433423","Active","105155","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","Broadway","E","West 50 Street","West 49 Street","40.7610282848336","-73.9841845280351","988631.312747717","216540.244790733","POINT (-73.984184528035 40.761028284834)"
"9022","1243055","Active","106320","3HR Com Mon-Sat 0800-1900 /5HR Pas Mon-Sat 1900-2400",,"On Street","Manhattan","Canal Street","S","Church Street","Broadway","40.7200952688829","-74.0030516763915","983404.08370088","201626.667334482","POINT (-74.003051676391 40.720095268883)"
"9238","1463028","Active","106184","3HR Com Mon-Fri 0700-1400 / 2HR Pas Sat 0700-1400",,"On Street","Manhattan","Little West 12 Street","N","Washington Street","9 Avenue","40.7398624087807","-74.0067915213445","982367.967334807","208828.511198476","POINT (-74.006791521344 40.739862408781)"
"9391","1443013","Active","102047","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 39 Street","N","7 Avenue","8 Avenue","40.7544084595161","-73.9888480894397","987339.687378228","214128.227633148","POINT (-73.98884808944 40.754408459516)"
"1202","4152160","Active","426804","12 HR Pas Mon-Sat 0600-2200",,"On Street","Queens","Borden Avenue","S","2 Street","Vernon Boulevard","40.7416362731492","-73.956499287146","996304.380078718","209477.706422389","POINT (-73.956499287146 40.741636273149)"
"9731","1403041","Active","105954","1HR Com Mon-Sat 0700-1900",,"On Street","Manhattan","West 45 Street","N","8 Avenue","9 Avenue","40.7601366343905","-73.9905972846326","986854.840906978","216215.131595805","POINT (-73.990597284633 40.760136634391)"
"13765","3713003","Active","342822","15HR Pas Mon-Sat 0800-2200","Bensonhurst #1","Off Street","Brooklyn","18 Avenue","W","85 Street","86 Street","40.6080905635215","-74.0028789530109","983450.621009395","160820.194157556","POINT (-74.002878953011 40.608090563522)"
"8260","1403069","Active","103124","3HR Com Mon-Sat 0700-1900 /5HR Pas Mon-Sat 1900-2400",,"On Street","Manhattan","8 Avenue","W","West 49 Street","West 50 Street","40.7619911876053","-73.9864650614837","987999.489208221","216890.956031561","POINT (-73.986465061484 40.761991187605)"
"9516","1443146","Active","106568","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 36 Street","S","Avenue of the Americas","5 Avenue","40.7504560900647","-73.9854953786305","988268.809535727","212688.387665063","POINT (-73.98549537863 40.750456090065)"
"15402","1403174","Active","103123","3HR Com Mon-Sat 0700-1800 /6 HR Pas Sat 1800-2400",,"On Street","Manhattan","West 50 Street","S","9 Avenue","8 Avenue","40.7625590910984","-73.9868732929518","987886.368699551","217097.8447254","POINT (-73.986873292952 40.762559091098)"
"10834","1433132","Active","104185","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 46 Street","S","7 Avenue","6 Avenue","40.7580849920659","-73.9840261053174","988675.395664811","215467.914914399","POINT (-73.984026105317 40.758084992066)"
"2971","4283137","Active","458656","2 HR Pas Mon-Sat 0900-1900",,"On Street","Queens","Utopia Parkway","E","21 Avenue","19 Avenue","40.7797961405235","-73.7937679258167","1041365.70202939","223444.838593066","POINT (-73.793767925817 40.779796140524)"
"8715","1023058","Active","103706","2HR Pas Mon-Sat 0900-2400",,"On Street","Manhattan","Ludlow Street","W","Stanton Street","Rivington Street","40.7203171433568","-73.9882815234898","987498.318622634","201707.705558226","POINT (-73.98828152349 40.720317143357)"
"9027","1243061","Active","101640","3HR Com Mon-Sat 0700-1300 /5HR Pas Mon-Sat 1900-2400",,"On Street","Manhattan","Canal Street","S","Mott Street","Elizabeth Street","40.7165682631078","-73.9973799234381","984976.316448808","200341.66727981","POINT (-73.997379923438 40.716568263108)"
"15384","1403177","Active","103666","3HR Com Mon-Sat 0700-1900 /5HR Pas Mon-Sat 1900-2400",,"On Street","Manhattan","8 AVENUE","W","West 52 street","West 53 street","40.7640720984155","-73.9849436815434","988420.816121474","217649.16908206","POINT (-73.984943681543 40.764072098416)"
"10347","1443986","Active","103672","3HR Com Mon-Fri 1000-1600 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 40 Street","S","Broadway","Avenue of the Americas","40.7537229427031","-73.9855656997976","988249.129456967","213878.604444727","POINT (-73.985565699798 40.753722942703)"
"11260","1433905","Active","106579","3HR Com Mon-Fri 1000-1600 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","East 59 Street","N","Park Avenue","Lexington Avenue","40.7624469299519","-73.9685793316076","992954.187960222","217058.269345224","POINT (-73.968579331608 40.762446929952)"
"12385","1433055","Active","103317","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 48 Street","S","6 Avenue","5 Avenue","40.7580208883083","-73.9799877017887","989794.197232977","215444.789632559","POINT (-73.979987701789 40.758020888308)"
"9749","1403078","Active","101454","2HR Com Mon-Sat 0700-1900 /2HR Pas Mon-Sat 1900-2400",,"On Street","Manhattan","9 Avenue","E","West 55 Street","West 54 Street","40.7663814899068","-73.9866877939129","987937.544122145","218490.478423059","POINT (-73.986687793913 40.766381489907)"
"9478","1443107","Active","103868","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 38 Street","S","Broadway","Avenue of the Americas","40.7526774151607","-73.986930458397","987871.069845632","213497.625547901","POINT (-73.986930458397 40.752677415161)"
"15414","4443180","Active","462167","2 HR Pas Mon-Sat 0900-1900",,,"Queens","100 Street","E","133 Avenue","Rockaway Boulevard","40.6794810819472","-73.839227682958","1028842.77661598","186870.618434563","POINT (-73.839227682958 40.679481081947)"
"1162","4152002","Active","424877","12HR Pas Mon-Sat 0700-1900",,"On Street","Queens","Skillman Avenue","E","47 Avenue","27 Street","40.7440281412071","-73.9411774683376","1000549.58746755","210351.619700804","POINT (-73.941177468338 40.744028141207)"
"9375","1442559","Active","106481","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 39 Street","N","5 Avenue","Avenue of the Americas","40.7528029403454","-73.9850367773795","988395.728573218","213543.44238539","POINT (-73.985036777379 40.752802940345)"
"15406","2033038","Active","220848","2 HR Pas Mon-Sat 0800-1900",,"Off Street","Bronx","Westchester Avenue","S","Longfellow Avenue","Whitlock Avenue","40.8268307168128","-73.8874825043838","1015389.58140956","240533.953692973","POINT (-73.887482504384 40.826830716813)"
"8707","1023050","Active","103739","2HR Pas Mon-Sat 0900-2400",,"On Street","Manhattan","Ludlow Street","W","East Houston Street","Stanton Street","40.7220220218915","-73.9874156359556","987738.250229388","202328.878528476","POINT (-73.987415635956 40.722022021892)"
"9220","1463010","Active","108250","3HR Com Mon-Fri 0700-1400 / 2HR Pas Sat 0700-1400",,"On Street","Manhattan","Gansevoort Street","N","Hudson Street","9 Avenue","40.7394549205825","-74.0056330260427","982688.994251803","208680.027571559","POINT (-74.005633026043 40.739454920583)"
"10140","1403100","Active","104218","2HR Com Mon-Sat 0700-1900 /2HR Pas Mon-Sat 1900-2400",,"On Street","Manhattan","9 Avenue","E","West 56 Street","West 55 Street","40.7668167273695","-73.9863767807664","988023.671574548","218649.06307964","POINT (-73.986376780766 40.76681672737)"
"10858","1433160","Active","101517","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","7 Avenue","E","West 51 Street","West 50 Street","40.7613134854914","-73.9829781759484","988965.484651551","216644.215383306","POINT (-73.982978175948 40.761313485491)"
"11047","1433416","Active","104181","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","Broadway","W","West 55 Street","West 54 Street","40.7642977033842","-73.9824779441695","989103.84428297","217731.491423979","POINT (-73.982477944169 40.764297703384)"
"10351","1443990","Active","103155","3HR Com Mon-Fri 0700-1600 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 40 Street","S","Avenue of the Americas","5 Avenue","40.7525786591021","-73.9828563302498","988999.861879393","213461.840186387","POINT (-73.98285633025 40.752578659102)"
"13667","4733002","Active","469234","15HR Pas Mon-Sat 0800-2200","Queens Village","Off Street","Queens","Jamaica Avenue","S","Amboy Lane","218 Street","40.717569742953","-73.7372252609963","1057093.08560081","200815.783785641","POINT (-73.737225260996 40.717569742953)"
"13641","3773001","Active","342828","15HR Pas Mon-Sat 0800-2200","Grant Avenue","Off Street","Brooklyn","Grant Avenue","W","Pitkin Avenue","Glenmore Avenue","40.6766739245015","-73.8658708603996","1021454.43706197","185835.452197805","POINT (-73.8658708604 40.676673924502)"
"10862","1433164","Active","105290","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 48 Street","S","7 Avenue","6 Avenue","40.7587819485189","-73.9817974266047","989292.774351299","215721.959353805","POINT (-73.981797426605 40.758781948519)"
"11007","1433359","Active","104330","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 56 Street","S","Madison Avenue","Park Avenue","40.7614047562417","-73.9724793742071","991873.913217887","216678.207769394","POINT (-73.972479374207 40.761404756242)"
"10808","1433100","Active","106203","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 52 Street","S","7 Avenue","6 Avenue","40.7619999958049","-73.9816689498808","989328.121721551","216894.406812057","POINT (-73.981668949881 40.761999995805)"
"9587","1443226","Active","106301","3HR Com Mon-Fri 1000-1600 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 33 Street","S","Avenue of the Americas","7 Avenue","40.7495046957738","-73.9892704497226","987222.889383465","212341.613424227","POINT (-73.989270449723 40.749504695774)"
"11014","1433371","Active","116344","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 51 Street","S","5 Avenue","Rockefeller Plaza","40.7594529504794","-73.977550102933","990469.374688387","215966.700334147","POINT (-73.977550102933 40.759452950479)"
"15399","1433934","Active","105647","3HR Com Mon-Fri 1000-1600 /5HR Pas Mon-Fri 1900-2400 /5HR Pas Sat 0800-2400",,"On Street","Manhattan","East 50 Street","S","5 Avenue","Madison Avenue","40.7580934335906","-73.9762546377005","990828.39628005","215471.47855556","POINT (-73.9762546377 40.758093433591)"
"7758","1409946","Active","105063","2HR Com Mon-Sat 0700-1900 /2HR Pas Mon-Sat 1900-2400",,"On Street","Manhattan","9 Avenue","E","West 57 Street","West 56 Street","40.7675833069611","-73.9858145681088","988179.360895723","218928.378137812","POINT (-73.985814568109 40.767583306961)"
"8353","1433006","Active","105184","3HR Com Mon-Fri 1000-1600 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 43 Street","S","5 Avenue","Avenue of the Americas","40.7550090115212","-73.9825488718251","989084.870567635","214347.313152984","POINT (-73.982548871825 40.755009011521)"
"10841","1433141","Active","106705","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 43 Street","S","6 Avenue","Broadway","40.7556589261216","-73.9840855385641","988659.090907395","214584.017075896","POINT (-73.984085538564 40.755658926122)"
"9017","1243050","Active","106504","3HR Com Mon-Sat 0700-1500 / 5 HR Pas Mon-Sat 1900-2400",,"On Street","Manhattan","Canal Street","N","Broadway","Mercer Street","40.7197072679061","-74.0021396151716","983656.901108637","201485.299178898","POINT (-74.002139615172 40.719707267906)"
"9397","1443019","Active","102478","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 39 Street","S","7 Avenue","8 Avenue","40.7551542769546","-73.9909079099101","986768.976577386","214399.887194812","POINT (-73.99090790991 40.755154276955)"
"10773","1433060","Active","105079","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 51 Street","N","5 Avenue","6 Avenue","40.7602971125056","-73.9793159458559","989980.104341477","216274.135742888","POINT (-73.979315945856 40.760297112506)"
"9502","1443131","Active","104876","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 36 Street","S","8 Avenue","7 Avenue","40.7528521393836","-73.9911874906382","986691.602716386","213561.135919556","POINT (-73.991187490638 40.752852139384)"
"10741","1433025","Active","105451","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 46 Street","S","6 Avenue","5 Avenue","40.7564770360976","-73.9802104318768","989732.619272143","214882.299943894","POINT (-73.980210431877 40.756477036098)"
"13522","4513034","Active","458321","12HR Pas Mon-Sat 0700-1900",,"On Street","Queens","56 Avenue","N","142 Street","Main Street","40.7478698619333","-73.8238966637909","1033044.98409081","211794.856971815","POINT (-73.823896663791 40.747869861933)"
"11350","3243001","Active","307425","2 HR Pas Mon-Sat 0830-1900",,"On Street","Brooklyn","Vanderbilt Avenue","E","St. Marks Place","Bergen Street","40.6790309931696","-73.9682611837104","993053.333103135","186667.311098397","POINT (-73.96826118371 40.67903099317)"
"9447","1443073","Active","104318","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 37 Street","S","5 Avenue","Avenue of the Americas","40.7507204403936","-73.984205282872","988626.240251303","212784.760831892","POINT (-73.984205282872 40.750720440394)"
"10314","1443953","Active","107018","3HR Com Mon-Fri 1000-1600 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 41 Street","S","Broadway","7 Avenue","40.7551735280361","-73.9870818513688","987828.990533471","214407.034162149","POINT (-73.987081851369 40.755173528036)"
"10892","1433205","Active","102213","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 51 Street","N","Park Avenue","Madison Avenue","40.7582091243487","-73.974368866466","991350.816495061","215513.775715053","POINT (-73.974368866466 40.758209124349)"
"9446","1443072","Active","104449","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 37 Street","N","5 Avenue","Avenue of the Americas","40.7506739307591","-73.9838266962144","988731.138335466","212767.835012734","POINT (-73.983826696214 40.750673930759)"
"11492","1433194","Active","104573","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 48 Street","N","Lexington Avenue","3 Avenue","40.7551193193195","-73.9728558240433","991770.336653382","214388.18544656","POINT (-73.972855824043 40.75511931932)"
"9585","1443224","Active","106301","3HR Com Mon-Fri 1000-1600 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 33 Street","S","Avenue of the Americas","7 Avenue","40.7492886584324","-73.9887550479854","987365.704386547","212262.92198056","POINT (-73.988755047985 40.749288658432)"
"9414","1443038","Active","103599","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 38 Street","S","8 Avenue","7 Avenue","40.7536430538343","-73.9892323444442","987233.262066141","213849.352206647","POINT (-73.989232344444 40.753643053834)"
"15227","3743015","Active","342848","15HR Pas Mon-Sat 0800-2200","Gowanus Parking Field","Off Street","Brooklyn","3 Avenue","C","37 Street","38 Street","40.6548466476242","-74.0070821277538","982284.931739718","177854.755232722","POINT (-74.007082127754 40.654846647624)"
"8705","1023048","Active","101077","2HR Pas Mon-Sat 0900-2400",,"On Street","Manhattan","Orchard Street","W","Stanton Street","East Houston Street","40.7219683731488","-73.9883127916584","987489.570936725","202309.298187062","POINT (-73.988312791658 40.721968373149)"
"9550","1443182","Active","105318","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 35 Street","S","5 Avenue","Avenue of the Americas","40.7497418019675","-73.9857005528292","988212.004203141","212428.140154064","POINT (-73.985700552829 40.749741801968)"
"15389","1433482","Active","102271","3HR Com Mon-Fri 1000-1600 /5HR Pas Mon-Fri 1900-2400 /5HR Pas Sat 0800-2400",,"On Street","Manhattan","West 49 Street","N","Broadway","8 Avenue","40.7610882402716","-73.9850951544043","988379.04094255","216562.044287816","POINT (-73.985095154404 40.761088240272)"
"5857","3249863","Active","302647","2 HR Pas Mon-Sat 0830-1900",,"On Street","Brooklyn","Vanderbilt Avenue","E","Park Place","Prospect Place","40.6772298591506","-73.9689063214359","992874.625455305","186011.042069733","POINT (-73.968906321436 40.677229859151)"
"10967","1433299","Active","102700","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 44 Street","N","Lexington Avenue","3 Avenue","40.7526192028602","-73.9746878334606","991263.038783476","213477.160037637","POINT (-73.974687833461 40.75261920286)"
"9647","1443290","Active","105070","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","Broadway","W","West 41 Street","West 40 Street","40.7545389287161","-73.9869090715023","987876.893980965","214175.836133733","POINT (-73.986909071502 40.754538928716)"
"9459","1443086","Active","103601","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 37 Street","N","7 Avenue","8 Avenue","40.7540435113508","-73.9918288809114","986513.857993141","213995.17409347","POINT (-73.991828880911 40.754043511351)"
"10842","1433142","Active","106705","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 43 Street","S","6 Avenue","Broadway","40.7559032415416","-73.9846649519543","988498.54923372","214673.00049372","POINT (-73.984664951954 40.755903241542)"
"12109","1433340","Active","104051","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 49 Street","S","Park Avenue","Madison Avenue","40.7569767174006","-73.9755618011992","991020.452654466","215064.675235316","POINT (-73.975561801199 40.756976717401)"
"15128","1023199","Active","103075","2HR Pas Mon-Sat 0900-2400",,"On Street","Manhattan","Ludlow Street","W","Rivington Street","Delancey Street","40.7198639680515","-73.9885129199855","987434.198015973","201542.591387138","POINT (-73.988512919985 40.719863968052)"
"9458","1443085","Active","102205","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 37 Street","S","7 Avenue","8 Avenue","40.7538529136364","-73.9916609091691","986560.402191386","213925.737552553","POINT (-73.991660909169 40.753852913636)"
"11017","1433374","Active","102199","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 51 Street","S","Rockefeller Plaza","6 Avenue","40.7602982953386","-73.9795607567619","989912.284267142","216274.550768316","POINT (-73.979560756762 40.760298295339)"
"9735","1403045","Active","101022","1HR Com Mon-Sat 0700-1900",,"On Street","Manhattan","West 46 Street","S","9 Avenue","8 Avenue","40.7603209231654","-73.9893121221885","987210.862176552","216282.314860389","POINT (-73.989312122188 40.760320923165)"
"8704","1023047","Active","106317","2HR Pas Mon-Sat 0900-2400",,"On Street","Manhattan","Orchard Street","W","Rivington Street","Stanton Street","40.7211536785104","-73.9887276759407","987374.60758397","202012.464791223","POINT (-73.988727675941 40.72115367851)"
"1150","4152034","Active","414359","12HR Pas Mon-Sat 0700-1900",,"On Street","Queens","Skillman Avenue","N","Honeywell Street","Queens Boulevard","40.7465217832327","-73.9325051789947","1002951.95831896","211261.865583733","POINT (-73.932505178995 40.746521783233)"
"9515","1443145","Active","104320","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 36 Street","N","Avenue of the Americas","5 Avenue","40.7506741582196","-73.9857466031168","988199.189596221","212767.825498313","POINT (-73.985746603117 40.75067415822)"
"9244","1463034","Active","102014","3HR Com Mon-Fri 0700-1400 / 2HR Pas Sat 0700-1400",,"On Street","Manhattan","West 13 Street","N","9 Avenue","Washington Street","40.7407734124274","-74.0069702697034","982318.459887892","209160.422608137","POINT (-74.006970269703 40.740773412427)"
"15398","1433473","Active","106772","3HR Com Mon-Fri 1000-1600 /5HR Pas Mon-Fri 1900-2400 /5HR Pas Sat 0800-2400",,"On Street","Manhattan","West 50 Street","S","7 Avenue","6 Avenue","40.7606568773091","-73.9823564530261","989137.766131133","216405.025572971","POINT (-73.982356453026 40.760656877309)"
"10878","1433185","Active","104811","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 48 Street","S","5 Avenue","Madison Avenue","40.7569048207126","-73.9773396647356","990527.913285226","215038.348516315","POINT (-73.977339664736 40.756904820713)"
"13712","1243124","Active","104575","3HR Com Mon-Sat 0700-1300 /5HR Pas Mon-Sat 1900-2400",,"On Street","Manhattan","Canal Street","S","Lafayette Street","Centre Street","40.7182372857429","-74.0004208244595","984133.345365718","200949.732664734","POINT (-74.000420824459 40.718237285743)"
"9422","1443047","Active","106845","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 38 Street","S","Avenue of the Americas","5 Avenue","40.7511715684367","-73.9833659860181","988858.752909631","212949.164374471","POINT (-73.983365986018 40.751171568437)"
"12100","1433323","Active","104855","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 46 Street","S","Madison Avenue","Vanderbilt Avenue","40.755146889015","-73.9770368219019","990611.982014716","214397.89868173","POINT (-73.977036821902 40.755146889015)"
"10881","1433192","Active","101214","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 48 Street","N","Park Avenue","Lexington Avenue","40.7557684514252","-73.9744105304968","991339.533709228","214624.555708721","POINT (-73.974410530497 40.755768451425)"
"9510","1443139","Active","101398","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 36 Street","N","7 Avenue","Broadway","40.7518093884542","-73.9884424555337","987452.195027217","213181.316469222","POINT (-73.988442455534 40.751809388454)"
"10098","1443667","Active","106638","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","Broadway","E","West 30 Street","West 29 Street","40.7465481411312","-73.9884242968801","987457.47946547","211264.475486636","POINT (-73.98842429688 40.746548141131)"
"11362","3883005","Active","342833","16HR Pas Mon-Sat 0000-2400","Sheepshead Bay #2","Off Street","Brooklyn","East 16 Street","E","Shore Pkwy.","Voorhies Avenue","40.5854139598975","-73.9525665227479","997424.998900473","152562.083049148","POINT (-73.952566522748 40.585413959898)"
"9768","1443309","Active","106226","3HR Com Mon-Sat 0900-1600 /5HR Pas Mon-Sat 1900-2400",,"On Street","Manhattan","7 Avenue","W","West 37 Street","West 36 Street","40.7524086236204","-73.9897146140546","987099.698356882","213399.593263641","POINT (-73.989714614055 40.75240862362)"
"9412","1443035","Active","102480","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 38 Street","N","8 Avenue","7 Avenue","40.7542213056931","-73.9903116558295","986934.207218051","214059.993189558","POINT (-73.990311655829 40.754221305693)"
"10817","1433113","Active","103578","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 54 Street","N","6 Avenue","7 Avenue","40.7626495843145","-73.9790725994167","990047.313852727","217131.234422401","POINT (-73.979072599417 40.762649584315)"
"10957","1433289","Active","104148","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 43 Street","N","Madison Avenue","5 Avenue","40.7538632595694","-73.9795735818328","989909.27803956","213930.056769639","POINT (-73.979573581833 40.753863259569)"
