"amenitytype","borough","communityboard","councildistrict","gispropnum","hours","languagecode","mountingsurface","nametext","omppropid","parkdistrict","precinct","propertylocation","propertyname","secondlanguage","signcode","signcodewithlanguage","signstatus","signtype","subpropertyname","system","thirdlanguage","zipcode","point"
"Playground - Adults Allowed (2600)","Q","410","32","Q386","6:00 a.m. to 9:00 p.m.","XX-002","Chain Link Fence - 2""",,,"Q-10","106","Albert Rd. bet. 96 St. and Centerville St.","Centreville Playground","Spanish","2600","2600-002","Installed","Consolidated Rules Sign",,"28394","Italian","11417","POINT (-73.83956652402235 40.67027561279264)"
"Athletic Field - Synthetic Turf - Hours (1502)","B","301","34","B055",,"XX-006","Chain Link Fence - 2""",,,"B-01","90","Lorimer St. bet. Montrose Ave. and Boerum St.","Sternberg Park","Spanish","1502","1502-006","Installed","Consolidated Rules Sign",,"29794","Yiddish","11206","POINT (-73.94796159161555 40.706497074349834)"
"Comfort Station  – M (1800)","B","307","38","B210A",,"XX-005","Wall",,,"B-07","72","3 Ave. bet. 64 St. and 65 St.","John Allen Payne Playground","Spanish","1800","1800-005","Installed","Consolidated Rules Sign",,,"Chinese","11220","POINT (-74.02362423360586 40.639709691888676)"
"Park without Dog Run; No Off-Leash (2401)","B","309","35","B044",,"XX-007","Wrought Iron / Steep Picket Fence",,,"B-09","71","Eastern Pkwy., Washington Ave., Classon Ave.","Dr. Ronald McNair Park","Spanish","2401","2401-007","Installed","Consolidated Rules Sign",,"31945","French Creole","11225","POINT (-73.96230396803773 40.67054130036038)"
"Park with Dog Run; No Off Leash (2403)","X","226","11","X092",,,"Wrought Iron / Steep Picket Fence",,"X092-ZN01","X-13","50","Broadway, Jerome Ave,City Line,Van Cortlandt Pk S","Van Cortlandt Park",,"2403","2403","Installed","Consolidated Rules Sign","SW Corner","33568",,"10471","POINT (-73.89828064531531 40.886363117180835)"
"Barbecue Area (1600)","X","228","13","X039",,,"None / Free Standing",,"X039-ZN02","X-15","45","Bruckner Blvd, Eastchester, Hutchinson","Pelham Bay Park",,"1600","1600","Installed","Consolidated Rules Sign","Pelham South Park Headquarters",,,"10465","POINT (-73.8217323421634 40.85110436008325)"
"Comfort Station – W + Accessible + Family (1811)","Q","401","26","Q218",,"XX-009","Wall",,,"Q-01","114","28 St., Crescent St. bet. 37 Ave. and 36 Ave.","Dutch Kills Playground","Spanish","1811","1811-009","Installed","Consolidated Rules Sign",,"26486","Greek","11106","POINT (-73.93348432820949 40.757710468539365)"
"Park without Dog Run; No Off-Leash (2401)","Q","406","29","QT18",,"XX-015","Wrought Iron / Steep Picket Fence",,,"Q-06","112","68 Ave., Selfidge St., Manse St.","Ian Maclennan Garden","Chinese","2401","2401-015","Surveyed","Consolidated Rules Sign",,,"Russian","11375","POINT (-73.85653076949606 40.71434049863394)"
"Running Track + Field plus hours (2902)","M","103","1","M105","6:00 a.m. to 1:00 a.m.","XX-005","Wrought Iron / Steep Picket Fence",,,"M-03","5","E. Houston St. To Canal St. bet. Chrystie St. and Forsyth St.","Sara D. Roosevelt Park","Spanish","2902","2902-005","Installed","Consolidated Rules Sign",,"47951","Chinese","10002","POINT (-73.99415049338909 40.71613748931947)"
"Playground - Adults Allowed (2600)","Q","412","27","Q121","6:00 a.m. to 9:00 p.m.","XX-004","Wrought Iron / Steep Picket Fence",,,"Q-12","103","Liberty Ave. bet. 172 St. and 173 St.","Detective Keith L Williams Park","Spanish","2600","2600-004","Installed","Consolidated Rules Sign",,"26391","Bengali","11433","POINT (-73.7835071401034 40.70159992136456)"
"Playground - Adults Allowed (2600)","M","110","9","M138","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-001",,,,"M-10","32","W. 150 St., W/s 7 Ave.","Bill Bojangles Robinson Playground","Spanish","2600","2600-001","Installed","Consolidated Rules Sign",,"48454","French","10039","POINT (-73.93740703264896 40.82515818081646)"
"Athletic Field / Court - Hours (1500)","B","315","48","B239",,"XX-015","Chain Link Fence - 2""",,,"B-15","61","Ave. Z between Nostrand Ave. and E. 29 St.","Sheepshead Playground","Chinese","1500","1500-015","Installed","Consolidated Rules Sign",,"30983","Russian","11235","POINT (-73.93973772021782 40.58814864575242)"
"Existing Routed Sign","Q","401","22","Q385",,"XX-009","Wrought Iron / Steep Picket Fence",,,"Q-01","114","Steinway St. bet. 23 Ave. and Ditmars Blvd.","Ditmars Playground","Spanish",,,"Installed","Routed Sign",,"26623","Greek","11105","POINT (-73.90778304989978 40.77130922258997)"
"Athletic Field / Court - Hours (1500)","B","303","41","B347",,"XX-006","Chain Link Fence - 2""",,,"B-03","81","Sumpter St. to Marion St. between Howard Ave. and Ralph Ave.","Carver Playground","Spanish","1500","1500-006","Installed","Consolidated Rules Sign",,"29098","Yiddish","11233","POINT (-73.92088024778032 40.680209131839185)"
"Comfort Station","M","164","6","M010",,,"Wall",,"M010-ZN08","M-13","22","5 Av To Central Park W, 59 St To 110 St","Central Park",,,,"Surveyed","Consolidated Rules Sign","Central Park West","48765",,"83","POINT (-73.98079808269453 40.76914691057825)"
"Dog Run Interior (1902)","M","107","6","M071",,"XX-005","Wrought Iron / Steep Picket Fence",,"M071-ZN14","M-14","24","Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.","Riverside Park","Spanish","1902","1902-005","Installed","Consolidated Rules Sign","Terrace Promenade South",,"Chinese","10024","POINT (-73.97144305478132 40.80243375474562)"
"Athletic Field / Court - Hours (1500)","Q","412","24","Q105",,"XX-004","Chain Link Fence - 1""",,,"Q-12","103","91 Ave., Archer Ave. bet. 138 Pl. and 138 St.","Howard Von Dohlen Playground","Spanish","1500","1500-004","Installed","Consolidated Rules Sign",,"26583","Bengali","11435","POINT (-73.81315331408574 40.69912417288138)"
"Combo: Playground / Court (2602)","Q","405","30","Q102",,"XX-005","Wrought Iron / Steep Picket Fence",,"Q102-03","Q-05","104","Juniper Blvd. bet. Lutheran Ave., 71 St. and Dry Harbor Rd.","Juniper Valley Park","Spanish","2602","2602-005","Installed","Consolidated Rules Sign","Juniper South Playground","27581","Chinese","11379","POINT (-73.88318416642947 40.71816393393959)"
"GT Garden (2000)","M","103","2","M326",,"XX-005","Wrought Iron / Steep Picket Fence",,,"M-03","9","E. Houston, bet. Bowery and 2 Ave.","Liz Christy Garden","Spanish","2000","2000-005","Installed","Consolidated Rules Sign",,,"Chinese","10003","POINT (-73.9923257017876 40.724278496382425)"
"Athletic Field / Court - Hours (1500)","B","303","36","B313",,"XX-006","Chain Link Fence - 2""",,,"B-03","81","Macdonough St. between Malcolm X Blvd. and Stuyvesant Ave.","El Shabazz Playground","Spanish","1500","1500-006","Installed","Consolidated Rules Sign",,"29074","Yiddish","11233","POINT (-73.93012697759085 40.68294016346618)"
"Athletic Field - Synthetic Turf - Hours (1502)","Q","402","26","Q205A",,"XX-005","Chain Link Fence - 2""",,,"Q-02","108","Laurel Hill Blvd. bet. 61 St. and 64 St.","Big Bush Playground","Spanish","1502","1502-005","Installed","Consolidated Rules Sign",,"26778","Chinese","11377","POINT (-73.90304143729061 40.73960015954883)"
"Athletic Field / Court - No Hours (1501)","X","207","11","X136",,"XX-004","Chain Link Fence - 2""","Harris Park Softball Fields",,"X-07","52","Paul Ave. - Goulden Ave. bet. Bedford Par","Harris Park","Spanish","1501","1501-004","Installed","Consolidated Rules Sign",,,"Bengali","10468","POINT (-73.89246602933314 40.87526037856561)"
"Beach","B","315","48","B251",,"XX-015","Chain Link Fence - 2""",,"B251-ZN03","B-15","61","Oriental Blvd. between Ocean Ave. and Mackenzie St.","Manhattan Beach Park","Chinese",,,"Installed","Consolidated Rules Sign","Manhattan Beach Zone 3","31892","Russian","11235","POINT (-73.94047426620867 40.57622299812202)"
"Park without Dog Run; No Off-Leash (2401)","R","501","49","R005",,"XX-005","None / Free Standing",,"R005-ZN02","R-01","120","Forest Ave., Victory Blvd., bet. Clove Rd. and Brookside Ave., Royal Oak Rd.","Clove Lakes Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign","Clove Lakes Park Zone 2","32328","Chinese","10301","POINT (-74.11423688043848 40.615306870274416)"
"Park without Dog Run; No Off-Leash (2401)","M","105","2","M101",,"XX-005","Wrought Iron / Steep Picket Fence",,,"M-05","13","Broadway, 5 Ave., W. 24 St. to W. 25 St.","Worth Square","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,,"Chinese","10010","POINT (-73.98886458405453 40.74259090276235)"
"Athletic Field / Court - Hours (1500)","B","316","41","B362",,"XX-007","Chain Link Fence - 2""",,,"B-16","73","Chester St. to Bristol St. between Sutter Ave. and Pitkin Ave.","Chester Playground","Spanish","1500","1500-007","Installed","Consolidated Rules Sign",,"48974","French Creole","11212","POINT (-73.91186842953323 40.66827005879349)"
"Park with Dog Run; No Off Leash (2403)","B","314","40","B068",,"XX-008","Wrought Iron / Steep Picket Fence",,"B073-ZN27","B-14","70","Parkside Ave., Caton Ave., bet. Parade Pl. and Coney Island Ave.","Parade Ground","Spanish","2403","2403-008","Surveyed","Consolidated Rules Sign","West Parade Grounds",,"Russian","11226","POINT (-73.97138224976622 40.648956271577696)"
"GT Garden (2000)","B","305","37","B450",,"XX-008","Chain Link Fence - 2""",,,"B-05","75","Glenmore Ave. between Schenck Ave. and Hendrix St.","Clara's Garden","Spanish","2000","2000-008","Installed","Consolidated Rules Sign",,,"Russian","11207","POINT (-73.88910675793808 40.674264840743255)"
"Playground - Children Only (2601)","M","112","10","M099",,"XX-005","Wrought Iron / Steep Picket Fence",,"M099-01","M-12","33","W. 173 St. bet. Haven Ave. and Ft. Washington Ave.","J. Hood Wright Park","Spanish","2601","2601-005","Installed","Consolidated Rules Sign","J Hood Wright Park Playground",,"Chinese","10033","POINT (-73.94068166721414 40.846081240375945)"
"Combo: Playground / Court (2602)","Q","407","20","Q300","6:00 a.m. to 9:00 p.m.","XX-005","Wrought Iron / Steep Picket Fence",,"Q300-ZN03","Q-07","109","Lawrence St,N Hempstead Tpk,Elder Ave,Kissena Blvd","Kissena Corridor Park","Spanish","2602","2602-005","Installed","Consolidated Rules Sign","Captain Mario Fajardo Park","27339","Chinese","11355","POINT (-73.81438911103591 40.74323927094049)"
"Dog Run (1900)","M","101","1","M291",,"XX-005","Wrought Iron / Steep Picket Fence",,,"M-01","1","Dover St. bet. Pearl St. and Water St.","Fishbridge Garden","Spanish","1900","1900-005","Surveyed","Consolidated Rules Sign",,,"Chinese","10038","POINT (-74.0016195779398 40.7093057619147)"
"Athletic Field - Synthetic Turf - Hours (1502)","B","307","38","B087",,"XX-005","Chain Link Fence - 2""",,,"B-07","72","41 St., 44 St., bet. 5 Ave. and 7 Ave.","Sunset Park","Spanish","1502","1502-005","Installed","Consolidated Rules Sign",,"31261","Chinese","11232","POINT (-74.003494586938 40.647204420153415)"
"Park without Dog Run; No Off-Leash (2401)","R","502","50","R030",,"XX-005","Other (Leave Comment)",,"R065-ZN08","R-02","121","Richmond Ave., Victory Blvd., Ashworth Ave., and Forest Hill Rd.","Willowbrook Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign","Willowbrook Park Recreational Area","32408","Chinese","10314","POINT (-74.15718742558612 40.6079288367449)"
"Park without Dog Run; No Off-Leash (2401)","B","313","47","B379",,"XX-015","None / Free Standing",,,"B-13","60","Bay View Ave. between Sea Gate Ave. and W. 33 St.","Coney Island Creek Park","Chinese","2401","2401-015","Installed","Consolidated Rules Sign",,,"Russian","11224","POINT (-74.00609525508271 40.580779988288896)"
"Playground - Children Only (2601)","B","305","37","B047",,"XX-008","Wrought Iron / Steep Picket Fence",,"Q020-ZN04","Q-05A","75","Jamaica Ave. and Highland Blvd. from Highland Pl. to Bulwer Pl.","Highland Park","Spanish","2601","2601-008","Surveyed","Consolidated Rules Sign","Highland Park Zone 4",,"Russian","11208","POINT (-73.88580127506413 40.68385487840548)"
"Athletic Field / Court - Hours (1500)","Q","401","22","Q298",,"XX-009","Chain Link Fence - 2""",,,"Q-01","114","20 Ave. bet. 47 St. and 48 St.","Paul Raimonda Playground","Spanish","1500","1500-009","Installed","Consolidated Rules Sign",,"26699","Greek","11105","POINT (-73.89738240083425 40.772811951328414)"
"Track + Athletic Field (2901)","X","209","18","X004",,"XX-004","Chain Link Fence - 2""",,"X004-03","X-09","43","Bronx River bet. Burke Ave. and the New York City-Westchester Line","Bronx River Parkway","Spanish","2901","2901-004","Installed","Consolidated Rules Sign","Parque De Los Ninos",,"Bengali","10472","POINT (-73.87400548675107 40.82880029960452)"
"Park with Dog Run; No Off Leash (2403)","B","301","33","B058",,"XX-006","Wrought Iron / Steep Picket Fence",,"B058-ZN03","B-01","94","Nassau Ave, Bayard, Leonard & N 12 Sts","McCarren Park","Spanish","2403","2403-006","Installed","Consolidated Rules Sign","McCarren Park Zone 3","29540","Yiddish","11222","POINT (-73.95345878394842 40.72003034575384)"
"Park without Dog Run; No Off-Leash (2401)","Q","413","31","Q008",,"XX-007","None / Free Standing",,"Q008-ZN02","Q-13","105","S. Conduit Ave., 149 Ave. bet. 232 St. and 235 St.","Brookville Park","Spanish","2401","2401-007","Installed","Consolidated Rules Sign","Brookville Park Zone 2",,"French Creole","11422","POINT (-73.74326492011924 40.660214633318205)"
"Comfort Station – M + Accessible + Family (1810)","X","210","13","X126",,"XX-002","Wall",,"X126-ZN02","X-10","45","Schley Ave., LI Sound bet. Westchester Creek and Balcom Ave.","Ferry Point Park","Spanish","1810","1810-002","Installed","Consolidated Rules Sign","Ferry Point Park Zone 2",,"Italian","10465","POINT (-73.83861078188002 40.812130824138684)"
"Playground - Adults Allowed (2600)","X","210","13","X170","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-002",,,,"X-10","45","St. Peter's Ave. at Tratman Ave.","The Pearly Gates","Spanish","2600","2600-002","Installed","Consolidated Rules Sign",,"33886","Italian","10461","POINT (-73.84589293572054 40.83874763898315)"
"Beach","Q","414","32","Q050",,"XX-008","Pipe Rail",,,"Q-14","100","Ocean Promenade, bet. Beach 126 St. and Beach 110 St.","Rockaway Beach","Spanish",,,"Surveyed","Consolidated Rules Sign",,"28908","Russian","11694","POINT (-73.83432099826595 40.578436800764244)"
"Comfort Station – W + Accessible + Family (1811)","Q","408","23","Q021",,"XX-005","Wall",,"Q021-ZN01","Q-08","107","Horace Harding Expwy, Grand Central Pkwy","Cunningham Park","Spanish","1811","1811-005","Installed","Consolidated Rules Sign","Cunningham Park Zone 1","28600","Chinese","11423","POINT (-73.7753754967079 40.726652175991134)"
"Athletic Field / Court - Hours (1500)","Q","411","23","Q349",,"XX-016","Chain Link Fence - 1""",,,"Q-11","111","75 Ave. bet. Bell Blvd. and 217 St.","Telephone Playground","Chinese","1500","1500-016","Surveyed","Consolidated Rules Sign",,,"Korean","11364","POINT (-73.75695984930137 40.73840376867806)"
"Athletic Field / Court - Hours (1500)","B","307","38","B210B",,"XX-005","Chain Link Fence - 2""",,,"B-07","72","3 Ave. bet. 35 St. and 34 St.","D'Emic Playground","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,"30193","Chinese","11232","POINT (-74.00487073528392 40.65609758468181)"
"Playground - Adults Allowed (2600)","X","201","17","X106","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-001","Wrought Iron / Steep Picket Fence",,,"X-01","40","E 146 St bet. Walton Av and Grand Concourse","Evelina Antonetty Playground","Spanish","2600","2600-001","Installed","Consolidated Rules Sign",,,"French","10451","POINT (-73.92802407631314 40.81748751357976)"
"Athletic Field / Court - Hours (1500)","Q","411","23","Q346",,"XX-016","Chain Link Fence - 2""",,,"Q-11","111","251 St. bet. 61 Ave. and 63 Ave.","Challenge Playground","Chinese","1500","1500-016","Installed","Consolidated Rules Sign",,"28181","Korean","11362","POINT (-73.72762425808305 40.756018815414805)"
"Trail With Hours / Exterior (3201)","X","226","11","X092",,,"None / Free Standing",,"X092-ZN11","X-13","47","Broadway, Jerome Ave,City Line,Van Cortlandt Pk S","Van Cortlandt Park",,"3201","3201","Installed","Consolidated Rules Sign","Indian Memorial To Indian Field",,,"10470","POINT (-73.87607320533054 40.897587820949546)"
"Park without Dog Run; Off-Leash OK (2402)","B","302","33","B113A",,"XX-005","Wrought Iron / Steep Picket Fence",,,"B-02","84","Cadman Plaza West, Cadman Plaza East bet. BQE and Tillary St.","Cadman Plaza Park","Spanish","2402","2402-005","Installed","Consolidated Rules Sign",,"29764","Chinese","11201","POINT (-73.99116025719727 40.6970589295034)"
"Athletic Field / Court - Hours (1500)","Q","402","26","Q340",,"XX-005","Chain Link Fence - 2""",,,"Q-02","108","Skillman Ave. bet. 41 St. and 43 St.","Torsney Playground","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,"27167","Chinese","11104","POINT (-73.9215520076723 40.74715213687532)"
"Existing Routed Sign","B","307","38","B265",,"XX-005","Wrought Iron / Steep Picket Fence",,,"B-07","72","6 Ave. bet. 55 St. and 56 St.","Rainbow Playground","Spanish",,,"Installed","Routed Sign",,"30507","Chinese","11220","POINT (-74.01141519983871 40.640411224456095)"
"Athletic Field / Court - Hours (1500)","Q","412","27","Q351",,"XX-004","Chain Link Fence - 2""",,,"Q-12","103","Liberty Ave. bet. 183 St. and 183 Pl.","Peters Field","Spanish","1500","1500-004","Installed","Consolidated Rules Sign",,"26731","Bengali","11423","POINT (-73.77466450932748 40.70620673682)"
"Playground - Adults Allowed (2600)","R","501","49","R069","6:00 a.m. to 9:00 p.m.","XX-005","Chain Link Fence - 2""",,,"R-01","120","Foote Ave., Howard Ave., Martha St., Clove Rd.","Terrace Playground","Spanish","2600","2600-005","Installed","Consolidated Rules Sign",,"32026","Chinese","10301","POINT (-74.09853780100993 40.61395264276245)"
"Playground - Adults Allowed (2600)","Q","401","26","Q429","6:00 a.m. to 9:00 p.m.","XX-009","Wrought Iron / Steep Picket Fence",,,"Q-01","114","36 Ave bet. 9 St. and 10 St.","Spirit Playground","Spanish","2600","2600-009","Installed","Consolidated Rules Sign",,"26483","Greek","11106","POINT (-73.94123193491315 40.76143657882495)"
"Athletic Field / Court - Hours (1500)","R","501","49","R069",,"XX-005","Chain Link Fence - 2""",,,"R-01","120","Foote Ave., Howard Ave., Martha St., Clove Rd.","Terrace Playground","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,"49027","Chinese","10301","POINT (-74.09912497242162 40.613228229031115)"
"Park without Dog Run; Off-Leash OK (2402)","B","302","35","B021",,"XX-005","Wrought Iron / Steep Picket Fence",,,"B-02","88","Nassau St., Park Ave., bet. Navy St. and N. Elliot Pl.","Commodore Barry Park","Spanish","2402","2402-005","Installed","Consolidated Rules Sign",,"29883","Chinese","11201","POINT (-73.97763274827057 40.69647906347459)"
"Comfort Station  – M (1800)","B","302","33","B222",,"XX-005","Wall",,,"B-02","84","bet. Pierrepont Pl., Pierrepont St. and the BQE","Pierrepont Playground","Spanish","1800","1800-005","Installed","Consolidated Rules Sign",,"29661","Chinese","11201","POINT (-73.99764507182856 40.696384179863024)"
"GT Garden (2000)","M","107","7","M373-GT001",,"XX-005","Wrought Iron / Steep Picket Fence",,,,"24",,,"Spanish","2000","2000-005","Installed","Consolidated Rules Sign",,,"Chinese","10025","POINT (-73.9630018933293 40.79833119626806)"
"Park without Dog Run; No Off-Leash (2401)","M","101","1","M005",,"XX-005","Wrought Iron / Steep Picket Fence",,,"M-01","1","Battery Pl, State St and Whitehall St","The Battery","Spanish","2401","2401-005","Surveyed","Consolidated Rules Sign",,"34412","Chinese","10004","POINT (-74.01446680109427 40.70132149696548)"
"Athletic Field / Court - Hours (1500)","X","211","13","X256",,"XX-003","Chain Link Fence - 2""",,,"X-11","49","Westchester Ave. bet. Tan Pl. and Waters Ave.","Pelham Bay Little League","Spanish","1500","1500-003","Installed","Consolidated Rules Sign",,,"Albanian","10461","POINT (-73.83916440515078 40.841989304086596)"
"Athletic Field / Court - Hours (1500)","B","301","34","B223R",,"XX-006","Chain Link Fence - 2""","Green Grass Courts",,"B-01","90","Hope St., Marcy Ave., Metropolitan Ave.","Jaime Campiz Playground","Spanish","1500","1500-006","Installed","Consolidated Rules Sign",,"30009","Yiddish","11211","POINT (-73.95488100206659 40.71286260674544)"
"Comfort Station  – M (1800)","Q","405","30","Q305",,"XX-005","Wall",,,"Q-05","104","65 Pl. bet. Shaler Ave. and the rail yards","Mafera Park","Spanish","1800","1800-005","Installed","Consolidated Rules Sign",,"27479","Chinese","11385","POINT (-73.89136535759239 40.70601538597174)"
"Athletic Field / Court - Hours (1500)","B","311","47","B349",,"XX-015","Chain Link Fence - 2""",,,"B-11","62","Bath Ave. between 24 Ave. and Bay 37 St.","Bath Playground","Chinese","1500","1500-015","Installed","Consolidated Rules Sign",,"48965","Russian","11214","POINT (-73.9934409636033 40.595190710215284)"
"Playground - Adults Allowed (2600)","Q","406","29","Q306","6:00 a.m. to 9:00 p.m.","XX-015","Wrought Iron / Steep Picket Fence",,,"Q-06","112","Alderton St. bet. Dieterle Cr. and Ellwell Cr.","The Painter's Playground","Chinese","2600","2600-015","Installed","Consolidated Rules Sign",,"27988","Russian","11374","POINT (-73.85991249873706 40.72026372936965)"
"Park without Dog Run; No Off-Leash (2401)","M","103","2","M144",,"XX-005","None / Free Standing",,"M144-ZN06","M-03","9","Montgomery St. To E. 12 St., FDR Drive","John V. Lindsay East River Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign","East River Park Zone 6","48171","Chinese","10002","POINT (-73.97204098322192 40.7257621084553)"
"Playground - Children Only (2601)","R","501","49","R123","6:00 a.m. to 9:00 p.m.","XX-005","Chain Link Fence - 2""",,,"R-01","120","Arnold St. to Prospect Ave. bet. Harvard Ave and Clyde Pl.","Skyline Playground","Spanish","2601","2601-005","Installed","Consolidated Rules Sign",,"32173","Chinese","10301","POINT (-74.08998388798456 40.63913311390283)"
"Athletic Field / Court - No Hours (1501)","M","109","7","M140",,"XX-005","Chain Link Fence - 2""",,"M072-ZN28","M-14","30","W. 145 St., W. 155 St., Hudson River","Recreational Area","Spanish","1501","1501-005","Installed","Consolidated Rules Sign","147 St Softball & N Waterfront Landscape","47646","Chinese","10032","POINT (-73.95221874088064 40.82935734093878)"
"Playground - Adults Allowed (2600)","B","307","38","B210B","6:00 a.m. to 9:00 p.m.","XX-005","Chain Link Fence - 2""",,,"B-07","72","3 Ave. bet. 35 St. and 34 St.","D'Emic Playground","Spanish","2600","2600-005","Installed","Consolidated Rules Sign",,"30196","Chinese","11232","POINT (-74.00545565509846 40.6560694147078)"
"Dog Run (1900)","B","302","33","B223G",,"XX-005","Chain Link Fence - 2""",,,"B-02","84","Columbia Hts., Hicks St., bet. Middagh St. and Vine St.","Hillside Dog Park","Spanish","1900","1900-005","Installed","Consolidated Rules Sign",,"29778","Chinese","11201","POINT (-73.99474091498243 40.7014219267439)"
"Athletic Field / Court - Hours (1500)","Q","405","30","Q015",,"XX-005","Chain Link Fence - 2""",,"Q015-08","Q-16","102","Myrtle Ave, Union Tpke, Park Lane S","Forest Park","Spanish","1500","1500-005","Installed","Consolidated Rules Sign","Dry Harbor Playground","28636","Chinese","11385","POINT (-73.86880937287476 40.70273651443721)"
"Playground - Adults Allowed (2600)","M","107","6","M071","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-005","Chain Link Fence - 2""",,"M071-16","M-14","24","Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.","Riverside Park","Spanish","2600","2600-005","Installed","Consolidated Rules Sign","Dinosaur Plgd","48355","Chinese","10024","POINT (-73.97465894727127 40.797422794490174)"
"Athletic Field / Court - Hours (1500)","R","595","50","R046",,,"Chain Link Fence - 2""",,"R046-ZN05","R-02B","122","Ft. Wadsworth To Miller Field, Fr Capodanno Blvd.","Franklin D. Roosevelt Boardwalk and Beach",,"1500","1500","Installed","Consolidated Rules Sign","Midland Beach Zone 5","32119",,"10305","POINT (-74.09227401835183 40.567825308570185)"
"Dog Run Interior (1902)","X","201","8","X045-ZN01",,"XX-001","Chain Link Fence - 2""",,"X045-ZN01","X-01","40","St Mary's St bet. St Ann's Av and Jackson Av","St. Mary's Park","Spanish","1902","1902-001","Installed","Consolidated Rules Sign","St Mary's Park Zone 1",,"French","10454","POINT (-73.91205053222556 40.809643272807214)"
,"Q","401","22","Q004",,"XX-009","Other (Leave Comment)",,"Q004-ZN01","Q-01","114","19 St. bet. Astoria Park S. and Ditmars Blvd.","Astoria Park","Spanish",,,"Installed","Wayfinding Sign","Astoria Park Zone 1",,"Greek","11105","POINT (-73.92528106007505 40.777194467681696)"
"Athletic Field / Court - Hours (1500)","Q","413","23","Q327",,"XX-007","Chain Link Fence - 1""",,,"Q-13","105","Little Neck Pkwy. bet. 72 Ave. and 73 Ave.","Castlewood Playground","Spanish","1500","1500-007","Installed","Consolidated Rules Sign",,"27304","French Creole","11426","POINT (-73.72252610677917 40.749462276526096)"
"Comfort Station – W (1801)","X","211","13","X172",,"XX-003","Wall",,,"X-11","49","Allerton Ave. bet. Throop Ave. and Bouck Ave.","Allerton Playground","Spanish","1801","1801-003","Installed","Consolidated Rules Sign",,,"Albanian","10469","POINT (-73.85062692534409 40.865673424913645)"
"Combo: Playground / Court (2602)","M","112","10","M029",,"XX-005","Wrought Iron / Steep Picket Fence",,"M029-01","M-12","34","Riverside Dr To Broadway, W 192 St To Dyckman St","Fort Tryon Park","Spanish","2602","2602-005","Installed","Consolidated Rules Sign","Jacob Javits Plgd",,"Chinese","10040","POINT (-73.93463428216326 40.858646295898026)"
"Athletic Field - Synthetic Turf","X","201","17","X354",,"XX-001","Chain Link Fence - 1""",,,"X-01","40","E 157 St bet. Melrose Ave and Cortlandt Ave","P.S. 29 Ballfield","Spanish",,,"Installed","Consolidated Rules Sign",,,"French","10451","POINT (-73.9161388605585 40.82122389825275)"
"Park without Dog Run; No Off-Leash (2401)","R","501","49","R005",,"XX-005","None / Free Standing",,"R005-ZN01","R-01","120","Forest Ave., Victory Blvd., bet. Clove Rd. and Brookside Ave., Royal Oak Rd.","Clove Lakes Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign","Clove Lakes Park Zone 1","32060","Chinese","10301","POINT (-74.10521417045733 40.618125526024656)"
"Playground - Adults Allowed (2600)","B","306","39","B223B","6:00 a.m. to 9:00 p.m.","XX-001","Wrought Iron / Steep Picket Fence",,,"B-06","76","Hicks St. bet. Woodhull St. and Rapelye St.","Dimattina Playground","Spanish","2600","2600-001","Installed","Consolidated Rules Sign",,"30523","French","11231","POINT (-74.00207627467836 40.68093114971515)"
"Athletic Field / Court - Hours (1500)","B","318","46","B248",,"XX-007","Chain Link Fence - 2""",,,"B-18","63","Ave. H between E. 54 St. to E. 55 St.","Fox Playground","Spanish","1500","1500-007","Installed","Consolidated Rules Sign",,"30866","French Creole","11234","POINT (-73.924112187977 40.63254049896975)"
"Park without Dog Run; No Off-Leash (2401)","M","112","10","M026",,"XX-005","Wrought Iron / Steep Picket Fence",,,"M-12","34","Broadway and W. 204 St.","Dyckman House Museum","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,,"Chinese","10034","POINT (-73.92315903143253 40.86736155183439)"
"Park with Dog Run; No Off Leash (2403)","R","503","51","R006",,"XX-017","Other (Leave Comment)",,"R006-ZN03","R-03","123","Pittsville St., Hylan Blvd. Richard Ave.","Conference House Park","Russian","2403","2403-017","Installed","Consolidated Rules Sign","Conference House Park Zone 3","32366","Italian","10307","POINT (-74.25329654402869 40.505562565983)"
