"recordid","address","house_number","street","zip_original","cb_original","site","species","diameter","condition","wires","sidewalk_condition","support_structure","borough","x","y","longitude","latitude","cb_new","zip_new","censustract_2010","censusblock_2010","nta_2010","segmentid","spc_common","spc_latin","location","council_district","bin","bbl"
"167","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"168","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"169","199 CHAMBERS ST","199","CHAMBERS ST","10013","101","Across","QURU","3","Excellent","None","Good","None","Manhattan","980845.5519","200470.0634","-74.012281","40.71692","101","10013","39","3000","MN24","31478","OAK, NORTHERN RED","QUERCUS RUBRA","(40.71692, -74.012281)","1","1066406","1001420050"
"170","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"171","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"172","199 CHAMBERS ST","199","CHAMBERS ST","10013","101","Across","GLTR","3","Excellent","None","Good","None","Manhattan","980845.5519","200470.0634","-74.012281","40.71692","101","10013","39","3000","MN24","31478","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.71692, -74.012281)","1","1066406","1001420050"
"173","199 CHAMBERS ST","199","CHAMBERS ST","10013","101","Across","GLTR","3","Excellent","None","Good","None","Manhattan","980845.5519","200470.0634","-74.012281","40.71692","101","10013","39","3000","MN24","31478","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.71692, -74.012281)","1","1066406","1001420050"
"174","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"175","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"176","199 CHAMBERS ST","199","CHAMBERS ST","10013","101","Across","GLTR","3","Dead","None","Good","None","Manhattan","980845.5519","200470.0634","-74.012281","40.71692","101","10013","39","3000","MN24","31478","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.71692, -74.012281)","1","1066406","1001420050"
"177","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"178","199 CHAMBERS ST","199","CHAMBERS ST","10013","101","Across","QUPA","5","Excellent","None","Good","Stakes / Wires","Manhattan","980845.5519","200470.0634","-74.012281","40.71692","101","10013","39","3000","MN24","31478","OAK, PIN","QUERCUS PALUSTRIS","(40.71692, -74.012281)","1","1066406","1001420050"
"179","199 CHAMBERS ST","199","CHAMBERS ST","10013","101","Across","QUPA","6","Excellent","None","Good","Stakes / Wires","Manhattan","980845.5519","200470.0634","-74.012281","40.71692","101","10013","39","3000","MN24","31478","OAK, PIN","QUERCUS PALUSTRIS","(40.71692, -74.012281)","1","1066406","1001420050"
"180","199 CHAMBERS ST","199","CHAMBERS ST","10013","101","Across","QUPA","5","Excellent","None","Good","Stakes / Wires","Manhattan","980845.5519","200470.0634","-74.012281","40.71692","101","10013","39","3000","MN24","31478","OAK, PIN","QUERCUS PALUSTRIS","(40.71692, -74.012281)","1","1066406","1001420050"
"181","199 CHAMBERS ST","199","CHAMBERS ST","10013","101","Across","QUPA","6","Excellent","None","Good","Stakes / Wires","Manhattan","980845.5519","200470.0634","-74.012281","40.71692","101","10013","39","3000","MN24","31478","OAK, PIN","QUERCUS PALUSTRIS","(40.71692, -74.012281)","1","1066406","1001420050"
"182","199 CHAMBERS ST","199","CHAMBERS ST","10013","101","Across","QUPA","5","Excellent","None","Good","Stakes / Wires","Manhattan","980845.5519","200470.0634","-74.012281","40.71692","101","10013","39","3000","MN24","31478","OAK, PIN","QUERCUS PALUSTRIS","(40.71692, -74.012281)","1","1066406","1001420050"
"183","295 GREENWICH ST","295","GREENWICH ST","10007","101","Across","QUPA","6","Excellent","None","Good","None","Manhattan","981195.2289","200146.9039","-74.01102","40.716033","101","10007","21","2001","MN24","23244","OAK, PIN","QUERCUS PALUSTRIS","(40.716033, -74.01102)","1","1066187","1001377502"
"184","295 GREENWICH ST","295","GREENWICH ST","10007","101","Across","QUPA","6","Excellent","None","Good","None","Manhattan","981195.2289","200146.9039","-74.01102","40.716033","101","10007","21","2001","MN24","23244","OAK, PIN","QUERCUS PALUSTRIS","(40.716033, -74.01102)","1","1066187","1001377502"
"185","295 GREENWICH ST","295","GREENWICH ST","10007","101","Across","QUPA","5","Poor","None","Good","None","Manhattan","981195.2289","200146.9039","-74.01102","40.716033","101","10007","21","2001","MN24","23244","OAK, PIN","QUERCUS PALUSTRIS","(40.716033, -74.01102)","1","1066187","1001377502"
"186","295 GREENWICH ST","295","GREENWICH ST","10007","101","Across","QUPA","4","Poor","None","Good","None","Manhattan","981195.2289","200146.9039","-74.01102","40.716033","101","10007","21","2001","MN24","23244","OAK, PIN","QUERCUS PALUSTRIS","(40.716033, -74.01102)","1","1066187","1001377502"
"187","295 GREENWICH ST","295","GREENWICH ST","10007","101","Front","GLTR","7","Excellent","None","Good","None","Manhattan","981195.2289","200146.9039","-74.01102","40.716033","101","10007","21","2001","MN24","23244","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.716033, -74.01102)","1","1066187","1001377502"
"188","295 GREENWICH ST","295","GREENWICH ST","10007","101","Front","GLTR","6","Excellent","None","Good","None","Manhattan","981195.2289","200146.9039","-74.01102","40.716033","101","10007","21","2001","MN24","23244","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.716033, -74.01102)","1","1066187","1001377502"
"189","295 GREENWICH ST","295","GREENWICH ST","10007","101","Front","GLTR","5","Excellent","None","Good","None","Manhattan","981195.2289","200146.9039","-74.01102","40.716033","101","10007","21","2001","MN24","23244","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.716033, -74.01102)","1","1066187","1001377502"
"190","295 GREENWICH ST","295","GREENWICH ST","10007","101","Front","GLTR","6","Excellent","None","Good","None","Manhattan","981195.2289","200146.9039","-74.01102","40.716033","101","10007","21","2001","MN24","23244","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.716033, -74.01102)","1","1066187","1001377502"
"191","295 GREENWICH ST","295","GREENWICH ST","10007","101","Front","GLTR","6","Excellent","None","Good","None","Manhattan","981195.2289","200146.9039","-74.01102","40.716033","101","10007","21","2001","MN24","23244","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.716033, -74.01102)","1","1066187","1001377502"
"192","295 GREENWICH ST","295","GREENWICH ST","10007","101","Front","GLTR","6","Excellent","None","Good","None","Manhattan","981195.2289","200146.9039","-74.01102","40.716033","101","10007","21","2001","MN24","23244","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.716033, -74.01102)","1","1066187","1001377502"
"193","295 GREENWICH ST","295","GREENWICH ST","10007","101","Front","GLTR","6","Excellent","None","Good","None","Manhattan","981195.2289","200146.9039","-74.01102","40.716033","101","10007","21","2001","MN24","23244","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.716033, -74.01102)","1","1066187","1001377502"
"194","275 GREENWICH ST","275","GREENWICH ST","10007","101","Front","GLTR","5","Excellent","None","Good","None","Manhattan","981132.8859","199844.3514","-74.011244","40.715203","101","10007","21","2004","MN24","23242","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.715203, -74.011244)","1","1081076","1001327501"
"195","275 GREENWICH ST","275","GREENWICH ST","10007","101","Front","GLTR","3","Good","None","Good","None","Manhattan","981132.8859","199844.3514","-74.011244","40.715203","101","10007","21","2004","MN24","23242","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.715203, -74.011244)","1","1081076","1001327501"
"196","275 GREENWICH ST","275","GREENWICH ST","10007","101","Front","GLTR","4","Good","None","Good","None","Manhattan","981132.8859","199844.3514","-74.011244","40.715203","101","10007","21","2004","MN24","23242","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.715203, -74.011244)","1","1081076","1001327501"
"197","275 GREENWICH ST","275","GREENWICH ST","10007","101","Front","GLTR","3","Good","None","Good","None","Manhattan","981132.8859","199844.3514","-74.011244","40.715203","101","10007","21","2004","MN24","23242","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.715203, -74.011244)","1","1081076","1001327501"
"198","275 GREENWICH ST","275","GREENWICH ST","10007","101","Front","GLTR","3","Good","None","Good","None","Manhattan","981132.8859","199844.3514","-74.011244","40.715203","101","10007","21","2004","MN24","23242","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.715203, -74.011244)","1","1081076","1001327501"
"199","275 GREENWICH ST","275","GREENWICH ST","10007","101","Front","GLTR","3","Good","None","Good","None","Manhattan","981132.8859","199844.3514","-74.011244","40.715203","101","10007","21","2004","MN24","23242","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.715203, -74.011244)","1","1081076","1001327501"
"200","75 PARK PL","75","PARK PL","10007","101","Front","GLTR","5","Good","None","Good","None","Manhattan","981058.0202","199510.5551","-74.011514","40.714287","101","10007","21","2005","MN24","23247","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714287, -74.011514)","1","1001415","1001270018"
"201","75 PARK PL","75","PARK PL","10007","101","Front","GLTR","5","Good","None","Good","None","Manhattan","981058.0202","199510.5551","-74.011514","40.714287","101","10007","21","2005","MN24","23247","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714287, -74.011514)","1","1001415","1001270018"
"202","75 PARK PL","75","PARK PL","10007","101","Front","GLTR","5","Good","None","Good","None","Manhattan","981058.0202","199510.5551","-74.011514","40.714287","101","10007","21","2005","MN24","23247","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714287, -74.011514)","1","1001415","1001270018"
"203","75 PARK PL","75","PARK PL","10007","101","Front","GLTR","5","Good","None","Good","None","Manhattan","981058.0202","199510.5551","-74.011514","40.714287","101","10007","21","2005","MN24","23247","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714287, -74.011514)","1","1001415","1001270018"
"40199","40-044 W 111 ST",,"W 111 ST","0","0","Front","GIBI","4","Poor","None","Good","None","Manhattan","1","1","1","1","110","10026","186","2001","MN11","166139","GINKGO","GINKGO BILOBA","(1.0, 1.0)",,,
"204","75 PARK PL","75","PARK PL","10007","101","Side","GLTR","5","Good","None","Good","None","Manhattan","981058.0202","199510.5551","-74.011514","40.714287","101","10007","21","2005","MN24","23247","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714287, -74.011514)","1","1001415","1001270018"
"205","75 PARK PL","75","PARK PL","10007","101","Side","GLTR","5","Good","None","Good","None","Manhattan","981058.0202","199510.5551","-74.011514","40.714287","101","10007","21","2005","MN24","23247","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714287, -74.011514)","1","1001415","1001270018"
"206","75 PARK PL","75","PARK PL","10007","101","Side","GLTR","4","Good","None","Good","None","Manhattan","981058.0202","199510.5551","-74.011514","40.714287","101","10007","21","2005","MN24","23247","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714287, -74.011514)","1","1001415","1001270018"
"207","49 W BROADWAY","49","W BROADWAY","10007","101","Across","GLTR","6","Good","None","Good","Stakes / Wires","Manhattan","981375.4819","199437.3534","-74.010369","40.714086","101","10007","21","1006","MN24","257494","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714086, -74.010369)","1","1001412","1001260013"
"208","49 W BROADWAY","49","W BROADWAY","10007","101","Across","GLTR","5","Good","None","Good","None","Manhattan","981375.4819","199437.3534","-74.010369","40.714086","101","10007","21","1006","MN24","257494","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714086, -74.010369)","1","1001412","1001260013"
"209","30 W BROADWAY","30","W BROADWAY","10007","101","Front","GIBI","7","Excellent","None","Good","None","Manhattan","981290.8427","199301.5901","-74.010674","40.713713","101","10007","21","2009","MN24","23246","GINKGO","GINKGO BILOBA","(40.713713, -74.010674)","1","1000000","1001270001"
"210","30 W BROADWAY","30","W BROADWAY","10007","101","Front","GIBI","8","Excellent","None","Good","None","Manhattan","981290.8427","199301.5901","-74.010674","40.713713","101","10007","21","2009","MN24","23246","GINKGO","GINKGO BILOBA","(40.713713, -74.010674)","1","1000000","1001270001"
"211","30 W BROADWAY","30","W BROADWAY","10007","101","Front","GIBI","6","Excellent","None","Good","None","Manhattan","981290.8427","199301.5901","-74.010674","40.713713","101","10007","21","2009","MN24","23246","GINKGO","GINKGO BILOBA","(40.713713, -74.010674)","1","1000000","1001270001"
"214","101 BARCLAY ST","101","BARCLAY ST","10007","101","Front","GIBI","5","Dead","None","Good","None","Manhattan","980953.9963","199311.4118","-74.011889","40.71374","101","10007","21","2006","MN24","23238","GINKGO","GINKGO BILOBA","(40.71374, -74.011889)","1","1001416","1001280002"
"215","101 BARCLAY ST","101","BARCLAY ST","10007","101","Front","GIBI","6","Dead","None","Good","None","Manhattan","980953.9963","199311.4118","-74.011889","40.71374","101","10007","21","2006","MN24","23238","GINKGO","GINKGO BILOBA","(40.71374, -74.011889)","1","1001416","1001280002"
"216","101 BARCLAY ST","101","BARCLAY ST","10007","101","Front","GIBI","6","Poor","None","Good","None","Manhattan","980953.9963","199311.4118","-74.011889","40.71374","101","10007","21","2006","MN24","23238","GINKGO","GINKGO BILOBA","(40.71374, -74.011889)","1","1001416","1001280002"
"217","101 BARCLAY ST","101","BARCLAY ST","10007","101","Front","GIBI","5","Dead","None","Good","None","Manhattan","980953.9963","199311.4118","-74.011889","40.71374","101","10007","21","2006","MN24","23238","GINKGO","GINKGO BILOBA","(40.71374, -74.011889)","1","1001416","1001280002"
"218","101 BARCLAY ST","101","BARCLAY ST","10007","101","Front","GIBI","5","Dead","None","Good","None","Manhattan","980953.9963","199311.4118","-74.011889","40.71374","101","10007","21","2006","MN24","23238","GINKGO","GINKGO BILOBA","(40.71374, -74.011889)","1","1001416","1001280002"
"219","101 BARCLAY ST","101","BARCLAY ST","10007","101","Front","GIBI","6","Good","None","Good","None","Manhattan","980953.9963","199311.4118","-74.011889","40.71374","101","10007","21","2006","MN24","23238","GINKGO","GINKGO BILOBA","(40.71374, -74.011889)","1","1001416","1001280002"
"220","101 BARCLAY ST","101","BARCLAY ST","10007","101","Front","GIBI","5","Good","None","Good","None","Manhattan","980953.9963","199311.4118","-74.011889","40.71374","101","10007","21","2006","MN24","23238","GINKGO","GINKGO BILOBA","(40.71374, -74.011889)","1","1001416","1001280002"
"221","140 PARK PL","140","PARK PL","10007","101","Front","QUPA","9","Good","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","OAK, PIN","QUERCUS PALUSTRIS","(40.714984, -74.013076)",,,
"222","140 PARK PL","140","PARK PL","10007","101","Front","QUPA","8","Good","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","OAK, PIN","QUERCUS PALUSTRIS","(40.714984, -74.013076)",,,
"223","140 PARK PL","140","PARK PL","10007","101","Front","QUPA","10","Good","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","OAK, PIN","QUERCUS PALUSTRIS","(40.714984, -74.013076)",,,
"224","140 PARK PL","140","PARK PL","10007","101","Front","QUPA","8","Good","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","OAK, PIN","QUERCUS PALUSTRIS","(40.714984, -74.013076)",,,
"225","140 PARK PL","140","PARK PL","10007","101","Front","QUPA","9","Good","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","OAK, PIN","QUERCUS PALUSTRIS","(40.714984, -74.013076)",,,
"226","140 PARK PL","140","PARK PL","10007","101","Front","QUPA","9","Good","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","OAK, PIN","QUERCUS PALUSTRIS","(40.714984, -74.013076)",,,
"227","140 PARK PL","140","PARK PL","10007","101","Front","QUPA","8","Good","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","OAK, PIN","QUERCUS PALUSTRIS","(40.714984, -74.013076)",,,
"228","140 PARK PL","140","PARK PL","10007","101","Front","QUPA","7","Good","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","OAK, PIN","QUERCUS PALUSTRIS","(40.714984, -74.013076)",,,
"229","140 PARK PL","140","PARK PL","10007","101","Front","GIBI","5","Dead","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","GINKGO","GINKGO BILOBA","(40.714984, -74.013076)",,,
"231","140 PARK PL","140","PARK PL","10007","101","Front","GIBI","6","Dead","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","GINKGO","GINKGO BILOBA","(40.714984, -74.013076)",,,
"232","140 PARK PL","140","PARK PL","10007","101","Front","GIBI","6","Dead","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","GINKGO","GINKGO BILOBA","(40.714984, -74.013076)",,,
"233","140 PARK PL","140","PARK PL","10007","101","Front","GIBI","7","Dead","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","GINKGO","GINKGO BILOBA","(40.714984, -74.013076)",,,
"234","140 PARK PL","140","PARK PL","10007","101","Front","GIBI","6","Excellent","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","GINKGO","GINKGO BILOBA","(40.714984, -74.013076)",,,
"235","140 PARK PL","140","PARK PL","10007","101","Front","GIBI","6","Excellent","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","GINKGO","GINKGO BILOBA","(40.714984, -74.013076)",,,
"236","140 PARK PL","140","PARK PL","10007","101","Front","GIBI","7","Poor","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","GINKGO","GINKGO BILOBA","(40.714984, -74.013076)",,,
"237","140 PARK PL","140","PARK PL","10007","101","Across","GIBI","4","Excellent","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","GINKGO","GINKGO BILOBA","(40.714984, -74.013076)",,,
"238","140 PARK PL","140","PARK PL","10007","101","Across","GIBI","7","Excellent","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","GINKGO","GINKGO BILOBA","(40.714984, -74.013076)",,,
"239","140 PARK PL","140","PARK PL","10007","101","Across","GIBI","5","Good","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","GINKGO","GINKGO BILOBA","(40.714984, -74.013076)",,,
"240","140 PARK PL","140","PARK PL","10007","101","Across","GIBI","5","Excellent","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","GINKGO","GINKGO BILOBA","(40.714984, -74.013076)",,,
"241","140 PARK PL","140","PARK PL","10007","101","Across","GIBI","4","Excellent","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","GINKGO","GINKGO BILOBA","(40.714984, -74.013076)",,,
"242","140 PARK PL","140","PARK PL","10007","101","Across","GIBI","5","Excellent","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","GINKGO","GINKGO BILOBA","(40.714984, -74.013076)",,,
"243","140 PARK PL","140","PARK PL","10007","101","Across","GIBI","4","Excellent","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","GINKGO","GINKGO BILOBA","(40.714984, -74.013076)",,,
"244","140 PARK PL","140","PARK PL","10007","101","Across","GIBI","5","Good","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","GINKGO","GINKGO BILOBA","(40.714984, -74.013076)",,,
"245","140 PARK PL","140","PARK PL","10007","101","Across","GIBI","5","Excellent","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","GINKGO","GINKGO BILOBA","(40.714984, -74.013076)",,,
"246","140 PARK PL","140","PARK PL","10007","101","Across","GIBI","4","Excellent","None","Good","None","Manhattan","980624.981","199764.7852","-74.013076","40.714984","101","10007","21","2006","MN24","162338","GINKGO","GINKGO BILOBA","(40.714984, -74.013076)",,,
"247","83 MURRAY ST","83","MURRAY ST","10007","101","Front","GLTR","7","Good","None","Good","None","Manhattan","981168.7407","199700.4159","-74.011115","40.714808","101","10007","21","2004","MN24","23249","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714808, -74.011115)","1","1077396","1001327504"
"248","83 MURRAY ST","83","MURRAY ST","10007","101","Front","GLTR","7","Excellent","None","Good","None","Manhattan","981168.7407","199700.4159","-74.011115","40.714808","101","10007","21","2004","MN24","23249","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714808, -74.011115)","1","1077396","1001327504"
"249","83 MURRAY ST","83","MURRAY ST","10007","101","Across","GLTR","6","Good","None","Good","Stakes / Wires","Manhattan","981168.7407","199700.4159","-74.011115","40.714808","101","10007","21","2004","MN24","23249","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714808, -74.011115)","1","1077396","1001327504"
"250","83 MURRAY ST","83","MURRAY ST","10007","101","Across","GLTR","6","Excellent","None","Good","Stakes / Wires","Manhattan","981168.7407","199700.4159","-74.011115","40.714808","101","10007","21","2004","MN24","23249","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714808, -74.011115)","1","1077396","1001327504"
"251","83 MURRAY ST","83","MURRAY ST","10007","101","Across","GLTR","6","Excellent","None","Good","Stakes / Wires","Manhattan","981168.7407","199700.4159","-74.011115","40.714808","101","10007","21","2004","MN24","23249","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714808, -74.011115)","1","1077396","1001327504"
"252","83 MURRAY ST","83","MURRAY ST","10007","101","Across","GLTR","6","Excellent","None","Good","Stakes / Wires","Manhattan","981168.7407","199700.4159","-74.011115","40.714808","101","10007","21","2004","MN24","23249","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714808, -74.011115)","1","1077396","1001327504"
"253","83 MURRAY ST","83","MURRAY ST","10007","101","Across","GLTR","6","Excellent","None","Good","Stakes / Wires","Manhattan","981168.7407","199700.4159","-74.011115","40.714808","101","10007","21","2004","MN24","23249","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714808, -74.011115)","1","1077396","1001327504"
"254","71 MURRAY ST","71","MURRAY ST","10007","101","Across","GLTR","6","Excellent","None","Good","Stakes / Wires","Manhattan","981347.4244","199599.4438","-74.01047","40.714531","101","10007","21","2004","MN24","23249","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714531, -74.01047)","1","1001421","1001327503"
"255","71 MURRAY ST","71","MURRAY ST","10007","101","Across","GLTR","5","Excellent","None","Good","None","Manhattan","981347.4244","199599.4438","-74.01047","40.714531","101","10007","21","2004","MN24","23249","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714531, -74.01047)","1","1001421","1001327503"
"256","69 MURRAY ST","69","MURRAY ST","10007","101","Across","GLTR","6","Excellent","None","Good","None","Manhattan","981377.2596","199582.5843","-74.010363","40.714484","101","10007","21","2004","MN24","23249","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714484, -74.010363)","1","1001420","1001320003"
"257","67 MURRAY ST","67","MURRAY ST","10007","101","Across","GLTR","6","Excellent","None","Good","None","Manhattan","981407.095","199565.7246","-74.010255","40.714438","101","10007","21","2004","MN24","23249","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.714438, -74.010255)","1","1001419","1001320002"
"258","83 WARREN ST","83","WARREN ST","10007","101","Front","GLTR","6","Excellent","None","Good","None","Manhattan","981330.1852","199891.295","-74.010533","40.715332","101","10007","21","2004","MN24","23251","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.715332, -74.010533)","1","1001427","1001320022"
"259","83 WARREN ST","83","WARREN ST","10007","101","Front","GLTR","6","Excellent","None","Good","None","Manhattan","981330.1852","199891.295","-74.010533","40.715332","101","10007","21","2004","MN24","23251","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.715332, -74.010533)","1","1001427","1001320022"
"260","92 WARREN ST","92","WARREN ST","10007","101","Across","GLTR","5","Excellent","None","Good","None","Manhattan","981227.8842","199952.1578","-74.010902","40.715499","101","10007","21","2001","MN24","23251","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.715499, -74.010902)","1","1079162","1001377503"
"261","92 WARREN ST","92","WARREN ST","10007","101","Across","GLTR","6","Excellent","None","Good","None","Manhattan","981227.8842","199952.1578","-74.010902","40.715499","101","10007","21","2001","MN24","23251","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.715499, -74.010902)","1","1079162","1001377503"
"262","94 WARREN ST","94","WARREN ST","10007","101","Front","GLTR","3","Good","None","Good","Stakes / Wires","Manhattan","981202.5962","199967.2024","-74.010993","40.71554","101","10007","21","2001","MN24","23251","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.71554, -74.010993)","1","1079162","1001377503"
"263","94 WARREN ST","94","WARREN ST","10007","101","Front","GLTR","7","Excellent","None","Good","None","Manhattan","981202.5962","199967.2024","-74.010993","40.71554","101","10007","21","2001","MN24","23251","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.71554, -74.010993)","1","1079162","1001377503"
"264","393 CANAL ST","393","CANAL ST","10013","102","Across","PLAC","24","Excellent","None","Good","None","Manhattan","982906.7423","202144.3302","-74.004846","40.721516","102","10013","47","2005","MN24","31875","LONDON PLANETREE","PLATANUS ACERIFOLIA","(40.721516, -74.004846)","1","1002940","1002270007"
"265","17 THOMPSON ST","17","THOMPSON ST","10013","102","Adjacent","PLAC","19","Excellent","None","Good","None","Manhattan","982990.626","202541.3963","-74.004543","40.722606","102","10013","47","2006","MN24","110917","LONDON PLANETREE","PLATANUS ACERIFOLIA","(40.722606, -74.004543)","1","1002947","1002270055"
