"the_geom","oftcode","boroughcod","onstreetna","fromstreet","tostreetna"
"POINT (-73.93260860702837 40.74478176300125)","408205457900000000","Q","32 PLACE","NYCTA SUBWAY",
"POINT (-73.85644834795289 40.71133790722389)","455690461790000000","Q","METROPOLITAN AVENUE","SELFRIDGE STREET",
"POINT (-73.97220372205464 40.74982300527619)","117830110110000000","M","EAST 42 STREET","2 AVENUE",
"POINT (-73.96229196645326 40.709920687863104)","334130323230000000","B","DRIGGS AVENUE","BROADWAY",
"POINT (-74.00805063982551 40.73937540083729)","133390121240000000","M","WASHINGTON STREET","GANSEVOORT STREET",
"POINT (-73.95762588083535 40.76022575911144)","118230120490000000","M","EAST   62 STREET","F D R DRIVE",
"POINT (-74.08890387680239 40.630291990252985)","529150553000000000","S","FOREST AVENUE","VICTORY BOULEVARD",
"POINT (-73.99014379017217 40.7755730547483)","129650135050000000","M","RIVERSIDE BOULEVARD","WEST   64 STREET",
"POINT (-74.11978567455878 40.57581555598825)","539800556719000000","S","NEW DORP LANE","1 STREET",
"POINT (-74.00098125781487 40.75205902867005)","111010134370000000","M","10 AVENUE","WEST   30 STREET",
"POINT (-74.09543804528444 40.58362355959022)","534100548150000000","S","HYLAN BOULEVARD","SLATER BOULEVARD",
"POINT (-73.97510266118589 40.752741379323666)","117870124890000000","M","EAST   44 STREET","LEXINGTON AVENUE",
"POINT (-73.98554853174056 40.6098872418014)","310180317330000000","B","72 STREET","BAY PARKWAY",
"POINT (-73.98174843279956 40.61355462416085)","317330390830000000","B","BAY PARKWAY","WEST    7 STREET",
"POINT (-73.99600204811865 40.763999680326016)","111110134710000000","M","11 AVENUE","WEST   47 STREET",
"POINT (-73.93060405601646 40.65380495575892)","356230386630000000","B","LINDEN BOULEVARD","UTICA AVENUE",
"POINT (-73.93263155510573 40.856716037169406)","113610120590000000","M","BROADWAY","FAIRVIEW AVENUE",
"POINT (-73.99827747049903 40.7326119106095)","125140125190000000","M","MAC DOUGAL ALLEY","MAC DOUGAL STREET",
"POINT (-73.99458520942503 40.73467267188402)","117230110410000000","M","EAST 12 STREET","5 AVENUE",
"POINT (-73.99310300153185 40.692845855123906)","353830327530000000","B","JORALEMON STREET","CLINTON STREET",
"POINT (-73.90964449102727 40.77209124106027)","406940408940000000","Q","23 AVENUE","37 STREET",
"POINT (-73.88639957384801 40.82750338005089)","240520276950000000","X","HOME STREET","WESTCHESTER AVENUE",
"POINT (-74.01049610952259 40.70380469967975)","115545128490000000","M","COENTIES ALLEY","PEARL STREET",
"POINT (-73.98687607973523 40.64006923691055)","306380308580000000","B","13 AVENUE","40 STREET",
"POINT (-74.00682351796897 40.64846488137815)","305580308780000000","B","5 AVENUE","44 STREET",
"POINT (-73.82282738072207 40.664292298136424)","412770453490000000","Q","S CONDUIT AVE EN LEFFERTS BLVD","LEFFERTS BOULEVARD",
"POINT (-73.97217742832986 40.604194711457666)","354050359430000000","B","KINGS HIGHWAY","MC DONALD AVENUE",
"POINT (-73.99807197158454 40.730288028573504)","132590133190000000","M","THOMPSON STREET","WASHINGTON SQUARE SOUTH",
"POINT (-74.0058305865501 40.711655084641365)","129295130800000000","M","PRINTING HOUSE SQUARE","SPRUCE STREET",
"POINT (-74.00898755324135 40.70408482704048)","122410133490000000","M","HANOVER SQUARE","WATER STREET",
"POINT (-73.96431353644002 40.760599230914224)","110110118170000000","M","2 AVENUE","EAST   59 STREET",
"POINT (-73.9867997720311 40.66857835526263)","305580306130000000","B","5 AVENUE","10 STREET",
"POINT (-74.01428922904756 40.704549076532416)","112670131590000000","M","BATTERY PLACE","STATE STREET",
"POINT (-73.97620585740901 40.68702540472497)","354130342730000000","B","LAFAYETTE AVENUE","FULTON STREET",
"POINT (-73.99086378735593 40.600134029026215)","316880310880000000","B","BAY 34 STREET","86 STREET",
"POINT (-73.88164813021777 40.75595159273663)","417540457790000000","Q","86 STREET","NORTHERN BOULEVARD",
"POINT (-74.15016020281715 40.55076844515028)","520730529687000000","S","BROWN AVENUE","GIFFORDS LANE",
"POINT (-73.8690144014131 40.73301915400671)","459990497506000000","Q","QUEENS BOULEVARD","HOR HARDING EXPRESSWAY EN EB",
"POINT (-74.19293917311978 40.59037956713589)","553000529730000000","S","VICTORY BOULEVARD","GLEN STREET",
"POINT (-73.99547450245583 40.75962685635896)","134610111010000000","M","WEST 42 STREET","10 AVENUE",
"POINT (-74.13510700899936 40.612293979075744)","553000534925000000","S","VICTORY BOULEVARD","KELL AVENUE",
"POINT (-73.76634917884822 40.732409334469274)","439075465590000000","Q","CLEARVIEW EXPRESSWAY EXIT SB","UNION TURNPIKE",
"POINT (-73.90801082422401 40.7130134693361)","455690411590000000","Q","METROPOLITAN AVENUE","55 STREET",
"POINT (-73.99800821988927 40.745951301518105)","134250110810000000","M","WEST 24 STREET","8 AVENUE","BEND"
"POINT (-74.00294971046333 40.59673458505679)","310495311245000000","B","BELT PARKWAY EASTBOUND EXIT    5","BELT PARKWAY WB BAY PARKWAY EN",
"POINT (-74.0030937409378 40.71395777828012)","116850120630000000","M","DUANE STREET","FOLEY SQUARE",
"POINT (-73.96994598087365 40.749747110979285)","117850132620000000","Q","EAST   43 STREET","TUDOR CITY PLACE",
"POINT (-74.00340211352726 40.708083674620866)","113015128490000000","M","BEEKMAN STREET","PEARL STREET",
"POINT (-74.0111655805861 40.7017814938141)","113590130640000000","M","BROAD STREET","SOUTH STREET",
"POINT (-74.1266568891645 40.57628493304219)","539223544900000000","S","MILBURN STREET","RICHMOND ROAD",
"POINT (-73.94536461935034 40.834271240115214)","120010136910000000","M","EDWARD M MORGAN PLACE","WEST  157 STREET",
"POINT (-73.91502472140206 40.818018136752734)","231120268020000000","X","ELTON AVENUE","3 AVENUE",
"POINT (-73.98957565815412 40.741548080269865)","110410117450000000","M","5 AVENUE","EAST   23 STREET",
"POINT (-74.00317136448281 40.727665119291444)","110510124290000000","M","6 AVENUE","KING STREET",
"POINT (-73.9840763605007 40.74910212512274)","134470110410000000","M","WEST 35 STREET","5 AVENUE","6 AVENUE"
"POINT (-73.99914908238776 40.62826312459191)","306380309630000000","B","13 AVENUE","61 STREET",
"POINT (-73.94705205280141 40.70366394782972)","323230389230000000","B","BROADWAY","WALTON STREET",
"POINT (-74.15031900771035 40.609592814428694)","510095510170000000","S","DR M L KING JR EP SB ET   10 E","STATEN ISLAND EXPWY ET    9 WB",
"POINT (-73.99478853653306 40.731595843168094)","132645117150000000","M","UNIVERSITY PLACE","EAST 8 STREET",
"POINT (-73.99760199889542 40.753928974362076)","116920134450000000","M","DYER AVENUE","WEST   34 STREET",
"POINT (-74.09722072937986 40.59536515474387)","520900544900000000","S","BURGHER AVENUE","RICHMOND ROAD",
"POINT (-73.97467949866818 40.7591134863435)","125390118030000000","M","MADISON AVENUE","EAST 52 STREET",
"POINT (-74.00731150514268 40.61007747749524)","310880306680000000","B","86 STREET","16 AVENUE",
"POINT (-73.85831040319403 40.67317699251585)","436160462890000000","Q","BLAKE AVENUE","SOUTH CONDUIT AVENUE",
"POINT (-73.94946507245754 40.649779975546636)","339630367030000000","B","ERASMUS STREET","NOSTRAND AVENUE",
"POINT (-74.14258064780485 40.61448197370656)","525320526320000000","S","CRYSTAL AVENUE","DORA STREET",
"POINT (-74.00593965598165 40.71969400604174)","127290144890000000","M","NORTH MOORE STREET","WEST BROADWAY",
"POINT (-73.98340277529172 40.69208693924632)","312230393250000000","B","ALBEE SQUARE","WILLOUGHBY STREET",
"POINT (-73.9615570368366 40.76270837024855)","118250197670000000","M","EAST   63 STREET","QUEENSBORO BRIDGE EXIT",
"POINT (-74.1508395770696 40.549963095446124)","515650539725000000","S","AMBOY ROAD","NELSON AVENUE",
"POINT (-73.97832693258722 40.64326844070084)","326230334880000000","B","CHURCH AVENUE","EAST    2 STREET",
"POINT (-73.99475093067953 40.72781877637895)","121705113610000000","M","GREAT JONES STREET","BROADWAY",
"POINT (-73.91103489540197 40.699532114310976)","468490363030000000","Q","WYCKOFF AVENUE","MYRTLE AVENUE",
"POINT (-74.07503045349044 40.62560289514287)","517450520300000000","S","BAY STREET","BROAD STREET",
"POINT (-73.94148000359178 40.598304390550275)","314680367030000000","B","AVENUE V","NOSTRAND AVENUE",
"POINT (-73.89710338670565 40.71255773629727)","413490455690000000","Q","64 STREET","METROPOLITAN AVENUE",
"POINT (-73.99776924474496 40.69119469744385)","313430349630000000","B","ATLANTIC AVENUE","HICKS STREET",
"POINT (-73.90023928322596 40.885878219490394)","214920252715000000","X","BROADWAY","NYCTA RAIL YARD",
"POINT (-73.94226311105817 40.80641573786755)","136270110410000000","M","WEST 125 STREET","5 AVENUE",
"POINT (-73.99062219865394 40.75099175348207)","134450110610000000","M","WEST 34 STREET","7 AVENUE",
"POINT (-73.75588010921783 40.76249844743571)","457790497053000000","Q","NORTHERN BOULEVARD","X ISLE PARKWAY ENTRANCE NB",
"POINT (-73.96367848676121 40.791105151091784)","113113197170000000","M","BEND","C P WEST   96 APPROACH",
"POINT (-73.92811370464833 40.63050675859902)","314030386630000000","B","AVENUE I","UTICA AVENUE",
"POINT (-73.94986111051827 40.68180401929476)","346730367030000000","B","HALSEY STREET","NOSTRAND AVENUE",
"POINT (-74.13350260961408 40.63779826575949)","510050531250000000","S","PORT RICHMOND AVENUE","GROVE AVENUE",
"POINT (-74.02867799736445 40.62929432926346)","305280310480000000","B","3 AVENUE","78 STREET",
"POINT (-73.7603054525582 40.76168406324667)","426890457790000000","Q","221 STREET","NORTHERN BOULEVARD",
"POINT (-73.99955680461186 40.71392522051885)","145490126990000000","M","WORTH STREET","MULBERRY STREET",
"POINT (-74.0088830546024 40.71826636437551)","123190145490000000","M","HUDSON STREET","WORTH STREET",
"POINT (-73.99136388013967 40.72755978304474)","116000131395000000","M","COOPER SQUARE","STABLE COURT",
"POINT (-73.96090977373903 40.60769310158166)","335330354050000000","B","EAST   12 STREET","KINGS HIGHWAY",
"POINT (-73.92128472236554 40.83572377417898)","226670261490000000","X","EAST  167 STREET","RIVER AVENUE",
"POINT (-73.95997658296547 40.650208861048675)","326230335730000000","B","CHURCH AVENUE","EAST   21 STREET",
"POINT (-73.82476723037874 40.70118920290105)","421690451090000000","Q","126 STREET","JAMAICA AVENUE",
"POINT (-73.85608605366926 40.841587731686346)","230915223800000000","X","ELM DRIVE","DEAD END",
"POINT (-73.79473052310117 40.71001246187795)","424490449690000000","Q","168 STREET","HILLSIDE AVENUE",
"POINT (-74.15803727104291 40.60791778970592)","553000555475000000","S","VICTORY BOULEVARD","WILLOWBROOK PARK BOUNDARY",
"POINT (-74.01307935595362 40.71646715027876)","132940145190000000","M","WARREN STREET","WEST STREET",
"POINT (-73.82737510303531 40.75330949769897)","454580436220000000","Q","MAIN STREET","BLOSSOM AVENUE",
"POINT (-73.98789162897867 40.75474939064039)","134570110610000000","M","WEST 40 STREET","7 AVENUE",
"POINT (-73.89001341102879 40.75507081490725)","416140457790000000","Q","77 STREET","NORTHERN BOULEVARD",
"POINT (-74.00344418682876 40.72695786712834)","110510129290000000","M","AVENUE OF THE AMERICAS","PRINCE STREET",
"POINT (-73.99768108372933 40.751487641318576)","134390110910000000","M","WEST 31 STREET","9 AVENUE","10 AVENUE"
"POINT (-73.86046162384156 40.75784373216244)","420340457790000000","Q","109 STREET","NORTHERN BOULEVARD",
"POINT (-74.00484486691093 40.718853017175064)","115350145290000000","M","CHURCH STREET","WHITE STREET",
"POINT (-73.9589139053289 40.71672791433653)","318630366130000000","B","BEDFORD AVENUE","NORTH    5 STREET",
"POINT (-73.90343569455082 40.64614316229312)","373480377740000000","B","ROCKAWAY PARKWAY","SMITHS LANE",
"POINT (-74.14219998139747 40.61110704540095)","516970525020000000","S","AUBURN AVENUE","CRAFTON AVENUE",
"POINT (-73.93609499091738 40.74973152945084)","409540457790000000","Q","41 AVENUE","NORTHERN BOULEVARD",
"POINT (-74.12044460682823 40.61324167997067)","553000518155000000","S","VICTORY BOULEVARD","BEECHWOOD PLACE",
"POINT (-73.98403532410134 40.60559627320827)","354050391030000000","B","KINGS HIGHWAY","WEST   11 STREET",
"POINT (-73.9502369375667 40.70547324601637)","323230349530000000","B","BROADWAY","HEYWARD STREET",
"POINT (-73.98724033649628 40.7760169355)","144990135090000000","M","WEST END AVENUE","WEST 66 STREET",
"POINT (-73.90005606840937 40.88659788191128)","252715275122000000","X","NYCTA RAIL YARD","WEST  240 STREET",
"POINT (-74.00934052454735 40.72457032638595)","121790197450000000","M","GREENWICH STREET","HOLLAND TUNNEL EXIT",
"POINT (-73.80551491733641 40.701881232825926)","423190451090000000","Q","149 STREET","JAMAICA AVENUE",
"POINT (-74.01189234890357 40.72163732124453)","123170145190000000","M","HUBERT STREET","WEST STREET",
"POINT (-73.99006749235761 40.74665928287029)","110510134350000000","M","6 AVENUE","WEST   29 STREET",
"POINT (-74.00478574911062 40.723624836976164)","133590131990000000","M","WATTS STREET","SULLIVAN STREET",
"POINT (-73.9771060533224 40.60477635637196)","354050390680000000","B","KINGS HIGHWAY","WEST    4 STREET",
"POINT (-74.00578122287206 40.725673504558635)","130790132685000000","M","SPRING STREET","VARICK STREET",
"POINT (-73.88567518154363 40.87887251042587)","242820276790000000","X","JEROME AVENUE","WEST MOSHOLU PARKWAY SOUTH",
"POINT (-73.83227820679298 40.84700720602066)","216420276950000000","X","BUHRE AVENUE","WESTCHESTER AVENUE",
"POINT (-74.13130985442609 40.62632834285646)","529150534850000000","S","FOREST AVENUE","JEWETT AVENUE",
"POINT (-74.00529178802803 40.740023223499016)","134030123190000000","M","WEST 13 STREET","HUDSON STREET",
"POINT (-74.00979985692992 40.618023813858215)","306380310530000000","B","13 AVENUE","79 STREET",
"POINT (-73.95816277699792 40.759639790671876)","118210197290000000","M","EAST   61 STREET","FDR DRIVE EXIT",
"POINT (-73.83257523399925 40.66656117661906)","410980457550000000","Q","BELT PARKWAY WB EXIT   17 N","NORTH CONDUIT AVENUE",
"POINT (-73.99888718732892 40.712598565871154)","130890123690000000","M","ST JAMES PLACE","JAMES STREET",
"POINT (-74.14167933304165 40.62162781920296)","525320537395000000","S","CRYSTAL AVENUE","MAINE AVENUE",
"POINT (-73.9106983452036 40.77613231451888)","408140442490000000","Q","31 STREET","DITMARS BOULEVARD",
"POINT (-73.92587292994703 40.86602535574146)","113610116210000000","M","BROADWAY","CUMMING STREET",
"POINT (-73.99526203650743 40.75705909416832)","116920134550000000","M","DYER AVENUE","WEST   39 STREET",
"POINT (-74.13818001030404 40.557593865922584)","534894541345000000","S","JUNCTION COURT","OCEANVIEW CEMETERY BOUNDARY",
"POINT (-73.93426812927711 40.65156235213831)","326230336880000000","B","CHURCH AVENUE","EAST   46 STREET",
"POINT (-73.99076073682461 40.76099375779157)","134690110910000000","M","WEST 46 STREET","9 AVENUE",
"POINT (-74.00764028920658 40.708345240921695)","129010145440000000","M","PLATT STREET","WILLIAM STREET",
"POINT (-73.92751430523211 40.65231809666112)","326230337130000000","B","CHURCH AVENUE","EAST   53 STREET",
"POINT (-73.91194232332482 40.81604742720049)","265620276950000000","X","ST ANNS AVENUE","WESTCHESTER AVENUE",
"POINT (-74.14288347258388 40.61225787592031)","525320531280000000","S","CRYSTAL AVENUE","GURDON STREET",
"POINT (-73.82806999191598 40.760784697349784)","409140458717 00000","Q","39 AVENUE","PEDESTRIAN WAY",
"POINT (-74.12928320230688 40.574682481832006)","538620544900000000","S","MC CULLY AVENUE","RICHMOND ROAD",
"POINT (-73.83498125451968 40.70709727373199)","421140455690000000","Q","118 STREET","METROPOLITAN AVENUE",
"POINT (-74.00053195572411 40.71843023844431)","124390114010000000","M","LAFAYETTE STREET","CANAL STREET",
"POINT (-73.99412963258047 40.72663963721392)","124390113430000000","M","LAFAYETTE STREET","BOND STREET",
"POINT (-73.95558440502512 40.779496799716924)","124890118710000000","M","LEXINGTON AVENUE","EAST 86 STREET",
"POINT (-73.98660321952264 40.72577807770773)","110010117090000000","M","1 AVENUE","EAST    5 STREET",
"POINT (-73.85027097191633 40.84159456651677)","216320263720000000","X","BUCK STREET","SEDDON STREET",
"POINT (-73.86207872795653 40.71220106033288)","455690439690000000","Q","METROPOLITAN AVENUE","COOPER AVENUE",
"POINT (-73.91892348133207 40.75363612417952)","408590410090000000","Q","35 AVENUE","44 STREET",
"POINT (-74.01442983223477 40.703150647244904)","131590128490000000","M","STATE STREET","PEARL STREET",
"POINT (-73.87420803077784 40.75673156212522)","457790418740000000","Q","NORTHERN BOULEVARD","94 STREET",
"POINT (-73.9069088982085 40.753284848907576)","437290457790000000","Q","BROADWAY","NORTHERN BOULEVARD",
"POINT (-73.99738722337298 40.762125248416424)","134650111110000000","M","WEST 44 STREET","11 AVENUE",
"POINT (-73.98957565815412 40.741548080269865)","117450134230000000","M","EAST   23 STREET","WEST   23 STREET",
"POINT (-73.86773075017702 40.853661094060335)","249170252710000000","X","MARAN PLACE","NYCTA SUBWAY",
"POINT (-73.98947341974383 40.717893126548276)","113810125090000000","M","BROOME STREET","LUDLOW STREET",
"POINT (-73.95033415052136 40.67163825833499)","367030380330000000","B","NOSTRAND AVENUE","ST JOHNS PLACE",
"POINT (-73.95926369617193 40.75928466502076)","118190132080000000","M","EAST   60 STREET","SUTTON PLACE",
"POINT (-73.98287713494143 40.76671559489331)","110810134910000000","M","8 AVENUE","WEST   57 STREET",
"POINT (-73.96206392645503 40.76373428473627)","110110118270000000","M","2 AVENUE","EAST   64 STREET",
"POINT (-73.9842886182317 40.671591092321165)","305580305630000000","B","5 AVENUE","5 STREET",
"POINT (-73.96376123872584 40.77695096959712)","110410132625000000","M","5 AVENUE","UNNAMED STREET",
"POINT (-73.99945464661108 40.60995044706642)","306880310630000000","B","18 AVENUE","81 STREET",
"POINT (-73.97491476261246 40.76166726993638)","110410118090000000","M","5 AVENUE","EAST   55 STREET",
"POINT (-73.99936623185388 40.73005847724539)","131990133890000000","M","SULLIVAN STREET","WEST    3 STREET",
"POINT (-73.91247980406226 40.74416659840191)","409840461090000000","Q","43 AVENUE","ROOSEVELT AVENUE",
"POINT (-73.79700599684314 40.70461025875147)","457190451090000000","Q","GUY R BREWER BOULEVARD","JAMAICA AVENUE",
"POINT (-73.99544725819699 40.73926838413704)","134110110510000000","M","WEST 17 STREET","AVENUE OF THE AMERICAS",
"POINT (-74.00507350656807 40.65014666148194)","305580308630000000","B","5 AVENUE","41 STREET",
"POINT (-74.0106862032414 40.70719460442219)","113113127100000000","M","BEND","NASSAU STREET",
"POINT (-73.97899402965479 40.686156132334936)","340930373490000000","B","FLATBUSH AVENUE","ROCKWELL PLACE",
"POINT (-73.97139209375966 40.747801728519576)","117790132620000000","M","EAST   40 STREET","TUDOR CITY PLACE",
"POINT (-73.98235068991556 40.76234309988424)","110610134810000000","M","7 AVENUE","WEST   52 STREET",
"POINT (-73.94476550760322 40.77493534498149)","118710119790000000","M","EAST   86 STREET","EAST END AVENUE",
"POINT (-73.99023340438795 40.7181240842832)","113810127590000000","M","BROOME STREET","ORCHARD STREET",
"POINT (-73.97595517399293 40.776219754447546)","114510127495000000","M","CENTRAL PARK WEST","72 ST TRANSVERSE",
"POINT (-74.0000139175223 40.70798248672983)","197060198090000000","M","BKLYN BRIDGE ENTRANCE RAMP","FDR DRIVE ENTRANCE SB",
"POINT (-73.98701514525702 40.76103736724371)","110810134730000000","M","8 AVENUE","WEST   48 STREET",
"POINT (-74.01355674499062 40.714479646361205)","112520145190000000","M","BARCLAY STREET","WEST STREET",
"POINT (-73.80363858410725 40.721750782310274)","424225424290000000","Q","164 PLACE","165 STREET",
"POINT (-74.00723319126378 40.743469427663484)","111010134090000000","M","10 AVENUE","WEST   16 STREET",
"POINT (-73.80943931495823 40.66704842914028)","421880457550000000","Q","130 PLACE","NORTH CONDUIT AVENUE",
"POINT (-73.99623278138104 40.69075777436564)","313430348830000000","B","ATLANTIC AVENUE","HENRY STREET",
"POINT (-73.89569195628832 40.703960036727935)","446190438490000000","Q","FRESH POND ROAD","CATALPA AVENUE",
"POINT (-73.85224152524026 40.8499109960586)","252220269120000000","X","MORRIS PARK AVENUE","TOMLINSON AVENUE",
"POINT (-74.15313385250278 40.62559769630881)","548050529150000000","S","SIMONSON AVENUE","FOREST AVENUE",
"POINT (-73.99991517387379 40.69176723011662)","310005313430000000","B","RAMP","ATLANTIC AVENUE",
"POINT (-73.91518090586223 40.8216700891366)","226370250320000000","X","EAST  157 STREET","MELROSE AVENUE",
"POINT (-73.986464362539 40.69110361149234)","342900354650000000","B","GALLATIN PLACE","LAWRENCE STREET",
"POINT (-73.83178442100504 40.69977859056979)","421140451090000000","Q","118 STREET","JAMAICA AVENUE",
"POINT (-73.97620067892205 40.685293482591966)","341630347130000000","B","FORT GREENE PLACE","HANSON PLACE",
"POINT (-74.00595100503949 40.70720573474399)","128490129010000000","M","PEARL STREET","PLATT STREET",
"POINT (-73.88937964022811 40.85346220961904)","221720227180000000","X","CRESCENT AVENUE","EAST  184 STREET",
"POINT (-73.98304666772233 40.77668267660219)","111710135150000000","M","AMSTERDAM AVENUE","WEST   69 STREET",
"POINT (-73.88991820888555 40.856797713361665)","211420227270000000","X","BATHGATE AVENUE","EAST  187 STREET",
"POINT (-73.93739653618168 40.74891643954173)","450990497340000000","Q","JACKSON AVENUE","QUEENSBORO BRIDGE",
"POINT (-73.84353837253992 40.841665696989345)","258960276960000000","X","PONTON AVENUE","WESTCHESTER SQUARE",
"POINT (-73.98622595657301 40.6930883129592)","300050354650000000","B","METROTECH ROADWAY","LAWRENCE STREET",
"POINT (-73.91422918038525 40.86248855653558)","264745276650000000","X","BODY OF WATER","WEST FORDHAM ROAD",
"POINT (-74.12345153015711 40.56992053306478)","529336553135000000","S","FRANCINE COURT","VINCENT AVENUE",
"POINT (-73.98797357693286 40.7494907782179)","110510113610000000","M","6 AVENUE","BROADWAY",
"POINT (-73.96520046593677 40.75279871415284)","113010126290000000","M","BEEKMAN PLACE","MITCHELL PLACE",
"POINT (-74.0097353711257 40.64566683581706)","309030305580000000","B","49 STREET","5 AVENUE",
"POINT (-73.79493246187276 40.75779802986658)","457790428940000000","Q","NORTHERN BOULEVARD","AUBURNDALE LANE",
"POINT (-74.0055338637016 40.73687749288377)","110810113310000000","M","8 AVENUE","BLEECKER STREET",
"POINT (-73.97628870143396 40.759786748996746)","110410134810000000","M","5 AVENUE","WEST   52 STREET",
"POINT (-73.8319103443857 40.7589490813919)","457900459590000000","Q","NYCTA SUBWAY","PRINCE STREET",
"POINT (-73.7967046787183 40.758417711468006)","457790424590000000","Q","NORTHERN BOULEVARD","170 STREET",
"POINT (-73.98975418256737 40.715552347856736)","120390122890000000","M","ESSEX STREET","HESTER STREET",
"POINT (-73.99635236104211 40.73225295016957)","110410117150000000","M","5 AVENUE","EAST    8 STREET",
"POINT (-73.98654378983058 40.7806579807012)","111130135210000000","M","MILLER HY ET NB","WEST   72 STREET",
"POINT (-74.12914464392391 40.57473005394321)","518895545098000000","S","BISHOP STREET","RIEDEL AVENUE",
"POINT (-73.9198756653354 40.8631658680559)","127090137650000000","M","NAGLE AVENUE","WEST  205 STREET",
"POINT (-74.00789378026933 40.72386509371171)","123190133590000000","M","HUDSON STREET","WATTS STREET",
"POINT (-74.01643981196817 40.71629980089019)","127050129610000000","M","MURRAY STREET","RIVER TERRACE",
"POINT (-73.97510266118589 40.752741379323666)","124890117870000000","M","LEXINGTON AVENUE","EAST 44 STREET",
"POINT (-73.96162229952479 40.756058903161026)","132090118090000000","M","SUTTON PLACE SOUTH","EAST 55 STREET",
"POINT (-73.9907253042374 40.72987868726052)","110350117150000000","M","4 AVENUE","EAST    8 STREET",
"POINT (-73.98521720296351 40.76859463067939)","110910115715000000","M","9 AVENUE","COLUMBUS CIRCLE",
"POINT (-74.01147309349875 40.72362958776602)","116350145190000000","M","DESBROSSES STREET","WEST STREET",
"POINT (-73.99335915494777 40.719070571814385)","113810115310000000","M","BROOME STREET","CHRYSTIE STREET",
"POINT (-73.83640072608588 40.697404843672125)","420590451090000000","Q","112 STREET","JAMAICA AVENUE",
"POINT (-74.01984163923903 40.617643974531084)","300019310880000000","B","DE RUSSY DRIVE","86 STREET",
"POINT (-73.97604542189197 40.757232056340015)","117970125390000000","M","EAST   49 STREET","MADISON AVENUE",
"POINT (-73.99776996837345 40.71197059656132)","125490127490000000","M","MADISON STREET","OLIVER STREET",
"POINT (-73.89502451898024 40.74647027459287)","461090497414000000","Q","ROOSEVELT AVENUE","BKLYN QNS EXPRESSWAY ENTRANCE SB",
"POINT (-74.00630969543191 40.71416582693898)","114710113610000000","M","CHAMBERS STREET","BROADWAY","GREENWICH STREET"
"POINT (-73.85111143845732 40.842249566363904)","212550263720000000","X","BEND","SEDDON STREET",
"POINT (-74.1661969975423 40.547110411019254)","543330544750000000","S","PETRUS AVENUE","RICHMOND AVENUE",
"POINT (-74.11618948706621 40.62894119688373)","520450529150000000","S","BROADWAY","FOREST AVENUE",
"POINT (-73.99960961432267 40.723422655272735)","125990130790000000","M","MERCER STREET","SPRING STREET",
"POINT (-73.98399733806528 40.72936968376525)","110010117210000000","M","1 AVENUE","EAST   11 STREET",
"POINT (-73.97632233442758 40.67319916540162)","305780324830000000","B","7 AVENUE","CARROLL STREET",
"POINT (-73.9167711775184 40.81569882862701)","212820226130000000","X","BERGEN AVENUE","EAST  149 STREET",
"POINT (-73.95100367303334 40.664683133641674)","367030383030000000","B","NOSTRAND AVENUE","SULLIVAN PLACE",
"POINT (-74.20080339832748 40.525164754977794)","547300549876000000","S","SEGUINE AVENUE","SI RAPID TRANSIT",
"POINT (-73.98272387439214 40.75095894463448)","117750110410000000","M","EAST 38 STREET","5 AVENUE",
"POINT (-73.8355792477123 40.84444063491554)","252710252820000000","X","NYCTA SUBWAY","MULFORD AVENUE",
"POINT (-73.98708862669898 40.75360671512378)","113610121370000000","M","BROADWAY","GOLDA MEIR SQUARE",
"POINT (-73.98003167802699 40.677048930819794)","319330374630000000","B","BERKELEY PLACE","SACKETT STREET",
"POINT (-73.99403557709265 40.73127614418582)","117150121730000000","M","EAST    8 STREET","GREENE STREET",
"POINT (-73.9281406614335 40.82406115624897)","226250261490000000","X","EAST  153 STREET","RIVER AVENUE",
"POINT (-73.99022012638989 40.7144049401089)","120390129990000000","M","ESSEX STREET","RUTGERS STREET",
"POINT (-74.00823205509717 40.7219664882961)","123190124400000000","M","HUDSON STREET","LAIGHT STREET",
"POINT (-73.89740323317434 40.86747418875492)","242820229020000000","X","JEROME AVENUE","EAST KINGSBRIDGE ROAD",
"POINT (-73.86457458392934 40.73093166245751)","412840412990000000","Q","62 DRIVE","63 AVENUE",
"POINT (-73.78760519825737 40.757897658073965)","425600457790000000","Q","194 STREET","NORTHERN BOULEVARD",
"POINT (-73.99361688562296 40.7360044913793)","117270110410000000","M","EAST 14 STREET","5 AVENUE",
"POINT (-73.99812939164889 40.758257541414025)","111720134550000000","M","AMTRAK RR","WEST   39 STREET",
"POINT (-73.87110977005618 40.732132706833276)","460012468090000000","Q","QN MIDTOWN EXPRESSWAY EXIT WB","WOODHAVEN BOULEVARD",
"POINT (-73.89996575680584 40.86801730239298)","209020260820000000","X","AQUEDUCT AVENUE","RESERVOIR AVENUE",
"POINT (-73.91768361962725 40.84022549488291)","226760274360000000","X","EAST  170 STREET","WEST  170 STREET",
"POINT (-74.16982582337228 40.56109042057011)","516860544750000000","S","ARTHUR KILL ROAD","RICHMOND AVENUE",
"POINT (-74.01006968297959 40.70454591375853)","131610126010000000","M","STONE STREET","MILL LANE","hanover sq"
"POINT (-74.01167912873701 40.71278054743132)","132700144890000000","M","VESEY STREET","WEST BROADWAY",
"POINT (-74.01282671107717 40.70240862624732)","131590133490000000","M","STATE STREET","WATER STREET",
