"projectcode","groupowner","locationdescription","borough","description","projectstatus","nextstep","dateadded","bctsnum","ccunum","requestorletterreplydate","cbletterrequestdate","cbletterrecieveddate","oldsign","newsign","markingsdate","installationdate","secondstudycode","closeddate","speedcushion","requestdate","requestortype","segmentid","onstreet","fromstreet","tostreet","geoboroughname","lionkey","fromlatitude","fromlongitude","tolatitude","tolongitude","oft","cb","segmentstatus","segmentstatusdescription","denialreason","numsrproposed","trafficdirection","trafficdirectiondesc","oldsign1","newsign1","oldsign2","newsign2"
"SR-20191101-17049","Queens BC","HOLLIS AVENUE from 104 AVENUE to 217 LANE","Queens","Speed Cushion Request on Bus Routes","Study request passed to planning","Awaiting  planning decision","2019-11-01T15:32:48.000","DOT-407858-Y3R5   ",,,,,,,,,,,"Yes","2019-03-12T00:00:00.000","DOT Internal","64799","HOLLIS AVENUE","208 STREET","209 STREET","Queens","4274207050","40.707901","-73.749473 ","40.708250","-73.748613 ","449990426190426240","413","No","Not Feasible",,,"T   ","Two-way",,,,
"SR-20191101-17049","Queens BC","HOLLIS AVENUE from 104 AVENUE to 217 LANE","Queens","Speed Cushion Request on Bus Routes","Study request passed to planning","Awaiting  planning decision","2019-11-01T15:32:48.000","DOT-407858-Y3R5   ",,,,,,,,,,,"Yes","2019-03-12T00:00:00.000","DOT Internal","64802","HOLLIS AVENUE","209 STREET","209 PLACE","Queens","4274207060","40.708250","-73.748613 ","40.708507","-73.748017 ","449990426240426235","413","No","Not Feasible",,,"T   ","Two-way",,,,
"SR-20191101-17049","Queens BC","HOLLIS AVENUE from 104 AVENUE to 217 LANE","Queens","Speed Cushion Request on Bus Routes","Study request passed to planning","Awaiting  planning decision","2019-11-01T15:32:48.000","DOT-407858-Y3R5   ",,,,,,,,,,,"Yes","2019-03-12T00:00:00.000","DOT Internal","64942","HOLLIS AVENUE","209 PLACE","210 STREET","Queens","4274207070","40.708507","-73.748017 ","40.708701","-73.747645 ","449990426235426340","413","No","Not Feasible",,,"T   ","Two-way",,,,
"SR-20191101-17049","Queens BC","HOLLIS AVENUE from 104 AVENUE to 217 LANE","Queens","Speed Cushion Request on Bus Routes","Study request passed to planning","Awaiting  planning decision","2019-11-01T15:32:48.000","DOT-407858-Y3R5   ",,,,,,,,,,,"Yes","2019-03-12T00:00:00.000","DOT Internal","64945","HOLLIS AVENUE","210 STREET","211 STREET","Queens","4274207075","40.708701","-73.747645 ","40.709133","-73.746817 ","449990426340426390","413","No","Not Feasible",,,"T   ","Two-way",,,,
"SR-20210827-26325","Queens BC","RIVERTON STREET from 118 ROAD to 119 ROAD","Queens","Citizen speed hump request due to speeding concerns.","Study request passed to planning","Awaiting  planning decision","2021-08-27T14:32:35.000","DOT-510835-N7P2",,,,,,,,,,,"No","2021-07-16T00:00:00.000","Citizen","61347","RIVERTON STREET","118 ROAD","119 ROAD","Queens","4399000020","40.688891","-73.762951","40.687540","-73.762657","460670421090421210","412","No","Not Feasible","Insufficient radar speed data recorded or provided.",,"T","Two-way",,,,
"SR-20210819-26250","Queens BC","105 AVENUE from FARMERS BOULEVARD to 193 STREET","Queens","Citizen speed hump request due to speeding concerns.","Study request passed to planning","Awaiting  planning decision","2021-08-19T14:34:45.000","DOT-508785-V9Y7",,,,,,,,,,,"No","2021-06-29T00:00:00.000","Citizen","61452","105 AVENUE","191 STREET","192 STREET","Queens","4616004020","40.705677","-73.766184","40.705886","-73.765322","419790425390425440","412","No","Not Feasible","Insufficient radar speed data recorded or provided.",,"T","Two-way",,,,
"SR-20211108-26697","Queens BC","85 DRIVE from PARSONS BOULEVARD to 150 STREET","Queens","Citizen speed hump request due to speeding concerns.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-11-08T15:41:43.000","DOT-522077-X4M0",,"2023-07-31T00:00:00.000",,,,,,,,"2023-07-31T13:50:00.000","No","2021-10-13T00:00:00.000","Citizen","57106","85 DRIVE","151 STREET","152 STREET","Queens","4597406040","40.709604","-73.807178","40.709847","-73.806326","417240423365423380","408","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"A","One-way",,,,
"SR-20180307-13698","Bronx BC","RANDALL AVENUE from SOUNDVIEW AVENUE to PUGSLEY AVENUE","Bronx","AS per Mathew Email 3-6-18. School -Holy Cross School. BOUNDARIES EXTENDED FOR DOT-423321-N2D0. Also, DOT-423321-N2D0, DOT-550683-S3R5","CB accepted proposal","Planning actions","2018-03-07T14:17:27.000","DOT-368725-C8H2",,,"2023-05-26T00:00:00.000","2023-05-26T00:00:00.000",,,,,,,"No","2018-03-07T00:00:00.000",,"85314","RANDALL AVENUE","UNDERHILL AVENUE","BOLTON AVENUE","Bronx","2592801090","40.817512","-73.859197","40.817629","-73.858272","260520270320213410","209","No","Not Feasible","stop controls at end of roadway",,"T","Two-way",,,,
"SR-20210427-25681","Queens BC","223 STREET from 118 AVENUE to 119 AVENUE","Queens","Anonymous speed hump request due to speeding concerns.","Study request passed to planning","Awaiting  planning decision","2021-04-27T11:47:32.000","DOT-485557-N7T1",,,,,,,,,,,"No","2020-12-21T00:00:00.000","Anonymous","65159","223 STREET","118 AVENUE","119 AVENUE","Queens","4698807240","40.692782","-73.738319","40.691047","-73.739223","426990421070421190","413","Yes","Feasible",,,"T","Two-way",,,,
"SR-20200902-18853","Queens BC","SUTTER AVENUE from 121 STREET to 123 STREET","Queens","Citizen speed hump request due to speeding concerns.","Study request passed to planning","Awaiting  planning decision","2020-09-02T15:09:09.000","DOT-460643-W4B0",,,,,,,,,,,"No","2020-06-17T00:00:00.000","Citizen","55006","SUTTER AVENUE","121 STREET","122 STREET","Queens","4459002100","40.673838","-73.817884","40.673677","-73.816973","464890421390421490","410","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20211104-26690","Brooklyn BC","70 STREET from 19 AVENUE to 20 AVENUE","Brooklyn","Citizen speed hump request due to speeding concerns.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-11-04T14:12:36.000","DOT-521854-W1T6",,"2023-07-31T00:00:00.000",,,,,,,,"2023-07-31T13:49:00.000","No","2021-10-12T00:00:00.000","Citizen","20145","70 STREET","19 AVENUE","20 AVENUE","Brooklyn","3934801140","40.615012","-73.991013","40.613684","-73.988813","310030306980307080","311","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"A","One-way",,,,
"SR-20210402-25594","Bronx BC","UNIVERSITY AVENUE from WEST KINGSBRIDGE ROAD to RESERVOIR AVENUE","Bronx","NYS State Senator speed hump request. Extended boundary for Senator's 2nd request DOT-543318-F8B2,pd-4/26/2022.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-04-02T11:53:19.000","DOT-481441-P3J7",,"2023-07-31T00:00:00.000",,,,,,,,"2023-07-31T13:04:00.000","No","2020-11-09T00:00:00.000","NYS State Senator","79939","UNIVERSITY AVENUE","STRONG STREET","WEST  197 STREET","Bronx","2729603280","40.871243","-73.899305","40.871970","-73.899084","270620267220274870","208","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20230526-29767","Brooklyn BC","GRAVESEND NECK ROAD from EAST    1 STREET to MCDONALD AVENUE","Brooklyn","NYPD received numerous complaints about vehicles speeding in area.","Study created",,"2023-05-26T11:55:55.000","DOT-597926-B8Z5",,,,,,,,,,,"No","2023-05-25T00:00:00.000",,"25288","GRAVESEND NECK ROAD","VILLAGE ROAD EAST","WEST STREET","Brooklyn","3400800030","40.595112","-73.971766","40.595049","-73.971082","345730388510392430","315",,"Not Feasible",,,"T","Two-way",,,,
"SR-20230526-29761","Queens BC","ALMEDA AVENUE from BEACH   63 STREET to DEAD END","Queens","On Almeda Ave & Beach 63rd st & Dead in Block - I have made Multiple Complaints over the years I live on a Residential Block with A B&M Towing Company- A UHaul - A Body Car Shop - and  A Call AHead Truck service It’s Commercial Vehicle Speeding threw the block and it’s not safe for kids to play that’s why I’m requesting for the block to be inspected for Speed Bumps. Please inquire Thanks","Study created",,"2023-05-26T09:34:27.000","DOT-597475-F3K0",,,,,,,,,,,"No","2023-05-23T00:00:00.000",,"309139","ALMEDA AVENUE","DEAD END","BEACH   63 STREET","Queens","4053401025","40.597284","-73.791270","40.597210","-73.792743","427820441700431690","414",,"Not Feasible",,,"T","Two-way",,,,
"SR-20180307-13698","Bronx BC","RANDALL AVENUE from SOUNDVIEW AVENUE to PUGSLEY AVENUE","Bronx","AS per Mathew Email 3-6-18. School -Holy Cross School. BOUNDARIES EXTENDED FOR DOT-423321-N2D0. Also, DOT-423321-N2D0, DOT-550683-S3R5","CB accepted proposal","Planning actions","2018-03-07T14:17:27.000","DOT-368725-C8H2",,,"2023-05-26T00:00:00.000","2023-05-26T00:00:00.000",,,,,,,"No","2018-03-07T00:00:00.000",,"85195","RANDALL AVENUE","SOUNDVIEW AVENUE","THIERIOT AVENUE","Bronx","2592801060","40.817175","-73.861716","40.817264","-73.861048","260520265120267920","209","No","Not Feasible","stop controls at end of roadway",,"T","Two-way",,,,
"SR-20230526-29767","Brooklyn BC","GRAVESEND NECK ROAD from EAST    1 STREET to MCDONALD AVENUE","Brooklyn","NYPD received numerous complaints about vehicles speeding in area.","Study created",,"2023-05-26T11:55:55.000","DOT-597926-B8Z5",,,,,,,,,,,"No","2023-05-25T00:00:00.000",,"25186","GRAVESEND NECK ROAD","MCDONALD AVENUE","VILLAGE ROAD EAST","Brooklyn","3400800020","40.595255","-73.973477","40.595112","-73.971766","345730359430388510","315",,"Not Feasible",,,"T","Two-way",,,,
"SR-20220804-27593","Brooklyn BC","DITMAS AVENUE from BRANTON STREET to EAST   87 STREET","Brooklyn","NO LONGER FEASIBLE DUE TO SPEED CAMERA WITHIN 1000FTDOT Internal Request, SafeTeam (22-032) speed hump recommendation.","CB accepted proposal","Planning actions","2022-08-04T11:15:06.000","N/A",,,"2022-10-07T00:00:00.000","2022-11-03T00:00:00.000",,,,,,,"No","2022-08-04T00:00:00.000",,"128346","DITMAS AVENUE","BRANTON STREET","DORSET STREET","Brooklyn","3251202065","40.645399","-73.918925","40.645813","-73.918301","332930320960333560","317","Yes","Feasible",,"0","T","Two-way",,,,
"SR-20171025-13357","Queens BC","WOODSIDE AVENUE from 65 PLACE to 80 STREET","Queens","NO LONGER FEASIBLE DUE TO SPEED CAMERA WITHIN 1000FT ; traffic calming measures on Woodside avenue between 65 Place and 80th Street","CB accepted proposal","Planning actions","2017-10-25T15:33:44.000","DOT-345802-B8S0","DOT-345802-B8S0",,"2019-09-03T00:00:00.000","2019-09-03T00:00:00.000",,,,,,,"No","2017-10-25T00:00:00.000","Council Member","74281","WOODSIDE AVENUE","69 STREET","70 STREET","Queens","4510000320","40.742685000000002","-73.895652999999996","40.742575000000002","-73.894693000000004","468290414690414840","402","No","Not Feasible","stop controls at end of roadway",,"T","Two-way",,,,
"SR-20211126-26756","Queens BC","91 STREET from 35 AVENUE to 37 AVENUE","Queens","Citizen speed hump request.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-11-26T12:51:30.000","DOT-523520-W7S5",,"2023-08-01T00:00:00.000",,,,,,,,"2023-08-01T10:22:00.000","No","2021-10-22T00:00:00.000","Citizen","76612","91 STREET","35 AVENUE","37 AVENUE","Queens","4605201080","40.752665","-73.876316","40.750628","-73.875945","418390408590408790","403","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"A","One-way",,,,
"SR-20171025-13357","Queens BC","WOODSIDE AVENUE from 65 PLACE to 80 STREET","Queens","NO LONGER FEASIBLE DUE TO SPEED CAMERA WITHIN 1000FT ; traffic calming measures on Woodside avenue between 65 Place and 80th Street","CB accepted proposal","Planning actions","2017-10-25T15:33:44.000","DOT-345802-B8S0","DOT-345802-B8S0",,"2019-09-03T00:00:00.000","2019-09-03T00:00:00.000",,,,,,,"No","2017-10-25T00:00:00.000","Council Member","192340","WOODSIDE AVENUE","75 STREET","76 STREET","Queens","4510000400","40.743262000000001","-73.889791000000002","40.743400999999999","-73.888870999999995","468290415790415990","404","No","Not Feasible","multiple impeding driveways / curb cuts",,"T","Two-way",,,,
"SR-20170526-12826","Queens BC","149 AVENUE from 79 STREET to SOUTH CONDUIT AVENUE","Queens","NO LONGER FEASIBLE DUE TO SPEED CAMERA WITHIN 1000FT  ;  Speed Hump Request. Also, DOT-543393-S3D9.SPEED CAMERA","CB accepted proposal","Planning actions","2017-05-26T11:22:00.000","DOT-334298-S3V0",,,"2019-09-03T00:00:00.000","2019-09-03T00:00:00.000",,,,,,,"No","2017-05-26T00:00:00.000",,"51408","149 AVENUE","83 STREET","84 STREET","Queens","4656800050","40.669272999999997","-73.852058999999997","40.669414000000003","-73.851100000000002","423170416990417140","410","No","Not Feasible","multiple impeding driveways / curb cuts",,"T","Two-way",,,,
"SR-20230516-29693","Brooklyn BC","EAST   18 STREET from FOSTER AVENUE to GLENWOOD ROAD","Brooklyn","Cars frequently speed down this block. Elderly and disabled people and small children live here. It is not safe","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2023-05-16T14:50:00.000","DOT-596094-W9P4",,"2023-05-26T00:00:00.000",,,,,,,,"2023-05-26T12:26:00.000","No","2023-05-15T00:00:00.000",,"163677","EAST   18 STREET","FOSTER AVENUE","GLENWOOD ROAD","Brooklyn","3286001085","40.635361","-73.960407","40.632660","-73.959893","335630341730344430","314","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"W","One-way",,,,
"SR-20200814-18803","Brooklyn BC","OCEAN PARKWAY from AVENUE T to AVENUE U","Brooklyn","HUMP INSTALLED 11/22/2019DOT Internal speed hump request","CB accepted proposal","Planning actions","2020-08-14T15:39:04.000","DOT-436079-C3L8",,,"2021-09-20T00:00:00.000","2021-09-20T00:00:00.000",,,,,,,"No","2019-10-16T00:00:00.000","DOT Internal","25478","OCEAN PARKWAY","AVENUE T","AVENUE U","Brooklyn","3598405030","40.600084","-73.965905","40.597833","-73.965485","367730314580314630","315","Yes","Feasible",,"0","T","Two-way",,,,
"SR-20230717-30193","SI BC","CASTLETON AVENUE from GLEN AVENUE to HAVEN ESPLANADE","Staten Island","Hello, I am writing to request a speed bump/reducer in this location. I live in this area and the road has been plagued by careless drivers speeding with zero regard. I have unfortunately recovered multiple dead cats that have been killed by drivers speeding. It is also a walk route for multiple children that go to school just a couple of blocks away. It scares me thinking that a child could be hurt. Please, if at all posssible, install a speed bump. Thank you for your time","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2023-07-17T15:13:59.000","DOT-605631-G2G1",,"2023-08-01T00:00:00.000",,,,,,,,"2023-08-01T10:57:00.000","Yes","2023-07-14T00:00:00.000",,"13344","CASTLETON AVENUE","GLEN AVENUE","HAVEN ESPLANADE","Staten Island","5126600110","40.632772","-74.090038","40.633292","-74.091963","521950529725532345","501","No","Not Feasible","Speed Cushion Denied Due To Failure By KSI.",,"T","Two-way",,,,
"SR-20200902-18853","Queens BC","SUTTER AVENUE from 121 STREET to 123 STREET","Queens","Citizen speed hump request due to speeding concerns.","Study request passed to planning","Awaiting  planning decision","2020-09-02T15:09:09.000","DOT-460643-W4B0",,,,,,,,,,,"No","2020-06-17T00:00:00.000","Citizen","55122","SUTTER AVENUE","122 PLACE","123 STREET","Queens","4459002120","40.673511","-73.816061","40.673347","-73.815153","464890421440421540","410","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20210630-25934","Queens BC","144 STREET from HILLSIDE AVENUE to 87 AVENUE","Queens","Citizen speed hump request due to speeding concerns.","Study request passed to planning","Awaiting  planning decision","2021-06-30T12:04:06.000","DOT-500500-H4R5",,,,,,,,,,,"No","2021-04-27T00:00:00.000","Citizen","56904","144 STREET","87 ROAD","HILLSIDE AVENUE","Queens","4652004060","40.705945","-73.812011","40.705124","-73.811905","422940417690449690","408","No","Not Feasible",,,"T","Two-way",,,,
"SR-20220401-27080","Brooklyn BC","VANDERBILT AVENUE from PARK AVENUE to MYRTLE AVENUE","Brooklyn","NO LONGER FEASIBLE DUE TO SPEED CAMERA WITHIN 1000 FTDC ERIC BEATON PRIORITY PT. 2 EMAIL AMD 7-26-21","CB accepted proposal","Planning actions","2022-04-01T14:34:50.000","N/A",,,"2022-04-18T00:00:00.000","2022-04-18T00:00:00.000",,,,,,,"Yes","2021-07-26T00:00:00.000","DOT Internal","30196","VANDERBILT AVENUE","PARK AVENUE","MYRTLE AVENUE","Brooklyn","3792400036","40.695813","-73.970364","40.693134","-73.969832","387330369230363030","302","Yes","Feasible",,"0","T","Two-way",,,,
"SR-20210630-25934","Queens BC","144 STREET from HILLSIDE AVENUE to 87 AVENUE","Queens","Citizen speed hump request due to speeding concerns.","Study request passed to planning","Awaiting  planning decision","2021-06-30T12:04:06.000","DOT-500500-H4R5",,,,,,,,,,,"No","2021-04-27T00:00:00.000","Citizen","56906","144 STREET","87 AVENUE","87 ROAD","Queens","4652004050","40.706700","-73.812110","40.705945","-73.812011","422940417590417690","408","No","Not Feasible",,,"T","Two-way",,,,
"SR-20161015-12367","Brooklyn BC","HICKS STREET from CONGRESS STREET to UNION STREET","Brooklyn",,"MOSAICS Entry - actual - closed",,"2016-10-15T08:26:43.000","DOT-310851-W9J7",,,"2019-08-19T00:00:00.000","2019-08-19T00:00:00.000",,,"2021-08-23T00:00:00.000","2021-08-19T00:00:00.000",,"2021-08-24T15:13:00.000","No","2016-09-15T00:00:00.000","Citizen","22227","HICKS STREET","KANE STREET","DE GRAW STREET","Brooklyn","3426403090","40.687197468731597","-73.999697116195094","40.685245935088801","-74.000641806421996","349630353950332130",,"Yes","Feasible",,"2","A","One-way","SIMS","B-01527356",,
"SR-20180307-13698","Bronx BC","RANDALL AVENUE from SOUNDVIEW AVENUE to PUGSLEY AVENUE","Bronx","AS per Mathew Email 3-6-18. School -Holy Cross School. BOUNDARIES EXTENDED FOR DOT-423321-N2D0. Also, DOT-423321-N2D0, DOT-550683-S3R5","CB accepted proposal","Planning actions","2018-03-07T14:17:27.000","DOT-368725-C8H2",,,"2023-05-26T00:00:00.000","2023-05-26T00:00:00.000",,,,,,,"No","2018-03-07T00:00:00.000",,"85447","RANDALL AVENUE","STICKBALL BOULEVARD","PUGSLEY AVENUE","Bronx","2592801120","40.817915","-73.856216","40.818239","-73.854142","260520254020259720","209","Yes","Feasible",,"1","T","Two-way",,,,
"SR-20161015-12367","Brooklyn BC","HICKS STREET from CONGRESS STREET to UNION STREET","Brooklyn",,"MOSAICS Entry - actual - closed",,"2016-10-15T08:26:43.000","DOT-310851-W9J7",,,"2019-08-19T00:00:00.000","2019-08-19T00:00:00.000",,,"2021-08-23T00:00:00.000","2021-08-19T00:00:00.000",,"2021-08-24T15:13:00.000","No","2016-09-15T00:00:00.000","Citizen","22229","HICKS STREET","BALTIC STREET","KANE STREET","Brooklyn","3426404030","40.687976983688998","-73.999736776473398","40.687318239030297","-74.000054086491701","349630315180353950","306","No","Not Feasible","multi-lane roadway",,"W","One-way",,,,
"SR-20161015-12367","Brooklyn BC","HICKS STREET from CONGRESS STREET to UNION STREET","Brooklyn",,"MOSAICS Entry - actual - closed",,"2016-10-15T08:26:43.000","DOT-310851-W9J7",,,"2019-08-19T00:00:00.000","2019-08-19T00:00:00.000",,,"2021-08-23T00:00:00.000","2021-08-19T00:00:00.000",,"2021-08-24T15:13:00.000","No","2016-09-15T00:00:00.000","Citizen","21994","HICKS STREET","UNION STREET","PRESIDENT STREET","Brooklyn","3426403120","40.683909225921902","-74.001283587113406","40.683234007932903","-74.001608073190894","349630386530372230",,"No","Not Feasible","Block is outside requested study parameter limits.",,"A","One-way",,,,
"SR-20161015-12367","Brooklyn BC","HICKS STREET from CONGRESS STREET to UNION STREET","Brooklyn",,"MOSAICS Entry - actual - closed",,"2016-10-15T08:26:43.000","DOT-310851-W9J7",,,"2019-08-19T00:00:00.000","2019-08-19T00:00:00.000",,,"2021-08-23T00:00:00.000","2021-08-19T00:00:00.000",,"2021-08-24T15:13:00.000","No","2016-09-15T00:00:00.000","Citizen","23602","HICKS STREET","WARREN STREET","BALTIC STREET","Brooklyn","3426403070","40.688498486607799","-73.9990696958764","40.687853467645297","-73.999379803250406","349630389530315180",,"Yes","Feasible",,"1","A","One-way","SIMS","B-01527356",,
"SR-20180702-13937","Bronx BC","RANDALL AVENUE from BEACH AVENUE to ST LAWRENCE AVENUE","Bronx","As per ARTS. Also, DOT-495705-Z9M6. 85% SPEEDS 31.2. BUS ROUTE","CB accepted proposal","Planning actions","2018-07-02T10:21:17.000","DOT-380369-S7X5",,,"2021-10-05T00:00:00.000","2021-10-05T00:00:00.000",,,,,,,"Yes","2018-07-02T00:00:00.000",,"85126","RANDALL AVENUE","COMMONWEALTH AVENUE","ST LAWRENCE AVENUE","Bronx","2592801020","40.816766999999999","-73.864748000000006","40.816892000000003","-73.863822999999996","260520220920265820","209","No","Not Feasible","Block is outside requested study parameter limits.",,"T","Two-way",,,,
"SR-20161015-12367","Brooklyn BC","HICKS STREET from CONGRESS STREET to UNION STREET","Brooklyn",,"MOSAICS Entry - actual - closed",,"2016-10-15T08:26:43.000","DOT-310851-W9J7",,,"2019-08-19T00:00:00.000","2019-08-19T00:00:00.000",,,"2021-08-23T00:00:00.000","2021-08-19T00:00:00.000",,"2021-08-24T15:13:00.000","No","2016-09-15T00:00:00.000","Citizen","21952","HICKS STREET","WOODHULL STREET","RAPELYE STREET","Brooklyn","3426403160","40.6812275619518","-74.002563465556804","40.680560574269002","-74.0028951367849","349630394230373130","306","No","Not Feasible","Block is outside requested study parameter limits.",,"A","One-way",,,,
"SR-20161015-12367","Brooklyn BC","HICKS STREET from CONGRESS STREET to UNION STREET","Brooklyn",,"MOSAICS Entry - actual - closed",,"2016-10-15T08:26:43.000","DOT-310851-W9J7",,,"2019-08-19T00:00:00.000","2019-08-19T00:00:00.000",,,"2021-08-23T00:00:00.000","2021-08-19T00:00:00.000",,"2021-08-24T15:13:00.000","No","2016-09-15T00:00:00.000","Citizen","224887","HICKS STREET","BEND","SACKETT STREET","Brooklyn","3426403105","40.685100461776898","-74.000713917945703","40.684578953396297","-74.000959094385806","349630318950374630",,"No","Not Feasible","stop controls at end of roadway",,"A","One-way",,,,
"SR-20161015-12367","Brooklyn BC","HICKS STREET from CONGRESS STREET to UNION STREET","Brooklyn",,"MOSAICS Entry - actual - closed",,"2016-10-15T08:26:43.000","DOT-310851-W9J7",,,"2019-08-19T00:00:00.000","2019-08-19T00:00:00.000",,,"2021-08-23T00:00:00.000","2021-08-19T00:00:00.000",,"2021-08-24T15:13:00.000","No","2016-09-15T00:00:00.000","Citizen","22004","HICKS STREET","DE GRAW STREET","SACKETT STREET","Brooklyn","3426404040","40.685350233826597","-74.001002373395494","40.6846832510656","-74.001326869496296","349630332130374630","306","No","Not Feasible","multi-lane roadway",,"W","One-way",,,,
"SR-20170526-12826","Queens BC","149 AVENUE from 79 STREET to SOUTH CONDUIT AVENUE","Queens","NO LONGER FEASIBLE DUE TO SPEED CAMERA WITHIN 1000FT  ;  Speed Hump Request. Also, DOT-543393-S3D9.SPEED CAMERA","CB accepted proposal","Planning actions","2017-05-26T11:22:00.000","DOT-334298-S3V0",,,"2019-09-03T00:00:00.000","2019-09-03T00:00:00.000",,,,,,,"No","2017-05-26T00:00:00.000",,"51280","149 AVENUE","80 STREET","81 STREET","Queens","4656800020","40.668864999999997","-73.854904000000005","40.668998000000002","-73.853973999999994","423170416590416740","410","No","Not Feasible","multiple impeding driveways / curb cuts",,"T","Two-way",,,,
"SR-20161015-12367","Brooklyn BC","HICKS STREET from CONGRESS STREET to UNION STREET","Brooklyn",,"MOSAICS Entry - actual - closed",,"2016-10-15T08:26:43.000","DOT-310851-W9J7",,,"2019-08-19T00:00:00.000","2019-08-19T00:00:00.000",,,"2021-08-23T00:00:00.000","2021-08-19T00:00:00.000",,"2021-08-24T15:13:00.000","No","2016-09-15T00:00:00.000","Citizen","108084","HICKS STREET","PRESIDENT STREET","CARROLL STREET","Brooklyn","3426403130","40.683234007932903","-74.001608073190894","40.682564278517397","-74.001932552856204","349630372230324830",,"No","Not Feasible","Block is outside requested study parameter limits.",,"W","One-way",,,,
"SR-20171027-13359","Brooklyn BC","EAST   49 STREET from AVENUE H to AVENUE I","Brooklyn",,"CB accepted proposal","Planning actions","2017-10-27T15:39:18.000","DOT-301302-N6Y3",,,"2019-07-25T00:00:00.000","2021-10-05T00:00:00.000",,,,,,,"No","2016-06-17T00:00:00.000","Citizen","128045","EAST 49 STREET","AVENUE H","BEND","Brooklyn","3303603022","40.632787960853697","-73.929359504667104","40.6323899423436","-73.929320295178997","336980313980318950",,"Yes","Feasible",,"1","W","One-way",,,,
"SR-20190116-14403","Brooklyn BC","EAST    5 STREET from FT HAMILTON PARKWAY to CATON AVENUE","Brooklyn","Speed Hump Approved","MOSAICS Entry - actual - closed",,"2019-01-16T10:24:27.000","DOT-242733-B6S8",,,"2019-03-19T00:00:00.000","2019-03-19T00:00:00.000",,,"2021-12-16T00:00:00.000","2021-12-13T00:00:00.000",,"2022-01-10T11:39:00.000","No","2019-01-16T00:00:00.000","Citizen","260422","EAST 5 STREET","FT HAMILTON PARKWAY","CATON AVENUE","Brooklyn","3280001010","40.649136009361499","-73.976597555133594","40.647727881708903","-73.9763349842938","335030342630325130","307","Yes","Feasible",,"1","W","One-way","SIMS","B-01557846",,
"SR-20191205-17138","Brooklyn BC","15 AVENUE from BATH AVENUE to CROPSEY AVENUE","Brooklyn","Special Request internal DOT BC Office. Also, DOT-433510-W6R2","MOSAICS Entry - actual - closed",,"2019-12-05T15:27:49.000","DOT-425619-J3Q6",,,"2019-12-05T00:00:00.000","2019-12-05T00:00:00.000",,,"2021-12-16T00:00:00.000","2021-12-07T00:00:00.000",,"2022-01-10T11:03:00.000","No","2019-08-26T00:00:00.000","DOT Internal","19383","15 AVENUE","BATH AVENUE","CROPSEY AVENUE","Brooklyn","3893600560","40.608032","-74.013023","40.606423","-74.014694","306580315780330630","311","Yes","Feasible",,"1","T","Two-way","SIMS","B-01526722","SIMS","B-01526726"
"SR-20170609-12885","Queens BC","VAN HORN STREET from 55 AVENUE to 56 AVENUE","Queens","NO LONGER FEASIBLE, DUE TO SPEED CAMERA WITHIN 1000FTCitizen Speed Hump Request due to speeding concern relating to school P.S. 102.  Boundary extended to include additional segment for the school. No new ARTS case created.","CB accepted proposal","Planning actions","2017-06-09T13:12:03.000","DOT-336185-R2W6",,,"2020-03-04T00:00:00.000","2020-03-04T00:00:00.000",,,,,,,"No","2017-06-09T00:00:00.000",,"74903","VAN HORN STREET","55 AVENUE","55 ROAD","Queens","4472800050","40.733907000000002","-73.878349999999998","40.733418","-73.877719999999997","465990411440411540","404","No","Not Feasible",,,"W","One-way",,,,
"SR-20170613-12901","SI BC","MASON AVENUE from CAMERON AVENUE to BENTON AVENUE","Staten Island","Citizen requests speed bumps; to RIS for study. 85% SPEEDS 30 - 30.6","CB accepted proposal","Planning actions","2017-06-13T08:33:32.000",,"DOT-339064-Q3L3",,"2021-10-05T00:00:00.000","2021-10-05T00:00:00.000",,,,,,,"No","2017-06-13T00:00:00.000","Citizen","14264","MASON AVENUE","CAMERON AVENUE","RUTH PLACE","Staten Island","5453400010","40.592157999999998","-74.081733999999997","40.591805999999998","-74.082132999999999","538470521155545965","502","No","Not Feasible","street too short",,"T","Two-way",,,,
