"system","fountainty","position","painted","gispropnum","propertyna","parentid","borough","fountainco","department","decription","featuresta","the_geom"
"M144-DF0363","E","Near Ballfield","Yes","M144","John V. Lindsay East River Park","M144-ZN03","M","1","M-03","E, Near Ballfield","Active","POINT (-73.97500984933613 40.715138391658094)"
"M104-DF1096","Bottle Filler Fountain","Indoor",,"M104","Randall's Island Park","M104","M","2","M-11R","Bottle Filler Fountain, Indoor","Active","POINT (-73.923252936181 40.799427936597155)"
"X251-DF0036","A","Under Tree, Near Ballfield","No","X251","Co-op City Field","X251","X","1","X-10","A, Under Tree, Near Ballfield","Active","POINT (-73.82391423651033 40.87600897867402)"
"B018-DF0814","A","Near Ballfield, Out in Open","Yes","B018","Canarsie Park","B018-ZN01","B","1","B-18","A, Near Ballfield, Out in Open","Active","POINT (-73.89291270064504 40.62981831933229)"
"B018-DF0813","A","In Playground, Out in Open","No","B018","Canarsie Park","B018-01","B","1","B-18","A, In Playground, Out in Open","Active","POINT (-73.89336967046003 40.630740836146344)"
"B055-DF0414","A","Near Ballfield, Under Tree","Yes","B055","Sternberg Park","B055","B","1","B-01","A, Near Ballfield, Under Tree","Active","POINT (-73.94659444606421 40.70659983666567)"
"M107-DF0156","E","Out in Open","No","M107","Wards Island Park","M107-ZN05","M","1","M-11R","E, Out in Open","Active","POINT (-73.93341229981776 40.788065176306056)"
"X111-DF0381","D","Under Tree, In Playground","No","X111","Cedar Playground","X111","X","1","X-05","D, Under Tree, In Playground","Active","POINT (-73.91742533804282 40.85528369581015)"
"X206-DF0291","C","In Shade, Under Tree","No","X206","Morgan Playground","X206","X","1","X-03","C, In Shade, Under Tree","Active","POINT (-73.90755652017631 40.83190697157354)"
"X010-DF0552","Indoor Drinking Fountain","Indoor",,"X010","Crotona Park","X010","X","1","X-03","Indoor Drinking Fountain, Indoor","Active","POINT (-73.89775674440803 40.84050370314434)"
"M010-DF0582","E and Dog","Under Tree, Near Ballfield, In Shade","Yes","M010","Central Park","M010-ZN06","M","2","M-13","E and Dog, Under Tree, Near Ballfield, In Shade","Active","POINT (-73.97693283286225 40.76934533443023)"
"Q102-DF0406","E","Near Ballfield","No","Q102","Juniper Valley Park","Q102-ZN01","Q","1","Q-05","E, Near Ballfield","Active","POINT (-73.88258463237801 40.71977930251913)"
"Q341F-DF0376","C","Under Tree, Out in Open","No","Q341F","Crosson Park","Q341F","Q","1","Q-02","C, Under Tree, Out in Open","Active","POINT (-73.89584690526658 40.74294640416842)"
"Q001A-DF0708","Bottle Filler High Low","Near Ballfield","No","Q001A","Alley Athletic Playground","Q001-ZN01","Q","3","Q-07A","Bottle Filler High Low, Near Ballfield","Active","POINT (-73.734487471583 40.73999689804582)"
"M010-DF0649","E","Under Tree, In Shade, Near Ballfield","Yes","M010","Central Park","M010-ZN37","M","1","M-13","E, Under Tree, In Shade, Near Ballfield","Active","POINT (-73.96136420109515 40.79212783620168)"
"B131-DF0035","C","In Playground, Out in Open","No","B131","Rudd Playground","B131","B","1","B-04","C, In Playground, Out in Open","Active","POINT (-73.90502104674889 40.68326961457131)"
"R046-DF0080","E","Out in Open","No","R046","Franklin D. Roosevelt Boardwalk and Beach","R046-ZN02","R","1","R-02B","E, Out in Open","Active","POINT (-74.06678899596318 40.58863687498751)"
"M208D-DF0906","B","S.W corner of prk behind backstop",,"M208D","Harlem River Park","M208D-02","M","1","M-11","B, S.W corner of prk behind backstop","Active","POINT (-73.93456818501653 40.805902639344716)"
"X147A-DF0503","Other",,,"X147A","Starlight Park","X147A-ZN01","X","1","X-14","Other,","Active","POINT (-73.8831638125079 40.83343848172364)"
"X104-DF0136","A","Just Outside Playground, Under Tree","Yes","X104","Williamsbridge Oval","X104","X","1","X-07","A, Just Outside Playground, Under Tree","Active","POINT (-73.87851014691479 40.87772860700301)"
"X136-DF0154","D","Near Ballfield, Out in Open","No","X136","Harris Park","X136","X","1","X-07","D, Near Ballfield, Out in Open","Active","POINT (-73.89177622778855 40.87497779918257)"
"B161-DF0456","C","Under Tree, In Playground","Yes","B161","Underhill Playground","B161","B","1","B-08","C, Under Tree, In Playground","Active","POINT (-73.96570801781375 40.67657431937621)"
"X092-DF0543","Indoor Drinking Fountain","Indoor",,"X092","Van Cortlandt Park","X092","X","1","X-13","Indoor Drinking Fountain, Indoor","Active","POINT (-73.8968212586797 40.89021802520583)"
"B125-DF0421","E","Under Tree, In Shade, In Playground","No","B125","Calvert Vaux Park","B125-01","B","1","B-13","E, Under Tree, In Shade, In Playground","Active","POINT (-73.99021625373688 40.587936639381326)"
"Q441-DF0960","Indoor Drinking Fountain","Indoor",,"Q441","Fisher Pool","Q441","Q","1","Q-03","Indoor Drinking Fountain, Indoor","Active","POINT (-73.86945877599172 40.758451972668354)"
"X010-DF0340","C","Out in Open, Near Ballfield, In Shade","Yes","X010","Crotona Park","X010-ZN09","X","1","X-03","C, Out in Open, Near Ballfield, In Shade","Active","POINT (-73.89870519234373 40.83810030670626)"
"X004-DF0080","D","In Playground","No","X004","Bronx River Parkway","X004-01","X","1","X-09","D, In Playground","Active","POINT (-73.86404138631929 40.89077734365451)"
"M270-DF0685","A",,,"M270","Dry Dock Playground","M270","M","1","M-03","A,","Active","POINT (-73.97581417340223 40.72537612799177)"
"M235-DF0296","Bottle Filler High Low","Under Tree, Near Ballfield, In Playground,In_Playground,Near_Ballfield","Yes","M235","Sol Lain Plgd","M235","M","3","M-03","Bottle Filler High Low, Under Tree, Near Ballfield, In Playground,In_Playground,Near_Ballfield","Active","POINT (-73.98397195351524 40.71426751706166)"
"B087-DF1071","Indoor Drinking Fountain","Indoor",,"B087","Sunset Park","B087","B","1","B-07","Indoor Drinking Fountain, Indoor","Active","POINT (-74.00212128606182 40.646921460639305)"
"Q099-DF0208","A","Out in Open, Under Tree","Yes","Q099","Flushing Meadows Corona Park","Q099-ZN20","Q","1","Q-15","A, Out in Open, Under Tree","Active","POINT (-73.84205658971098 40.74031574562551)"
"R045-DF0027","Trough","Near Ballfield","No","R045","Schmul Park","R045-01","R","1","R-02","Trough, Near Ballfield","Active","POINT (-74.1865306006873 40.58940672417727)"
"M010-DF0886","E and Dog",,,"M010","Central Park","M010-ZN12&13","M","2","M-13","E and Dog,","Active","POINT (-73.97118436411787 40.772038054224645)"
"Q089B-DF0654","A","Near Ballfield","No","Q089B","Harvey Park","Q089B","Q","1","Q-07","A, Near Ballfield","Active","POINT (-73.82278423594565 40.78375137343267)"
"B245-DF0471","A","Out in Open, Near Ballfield","Yes","B245","St. John's Park","B245","B","1","B-08","A, Out in Open, Near Ballfield","Active","POINT (-73.93591289665828 40.67469558883752)"
"Q220C-DF0791","C","In Playground","No","Q220C","Dr. Charles R. Drew Park","Q220C","Q","1","Q-12","C, In Playground","Active","POINT (-73.80244757782815 40.68028455778354)"
"X253-DF0019","C","Near Ballfield","Yes","X253","Ambrosini Field","X253","X","1","X-15","C, Near Ballfield","Active","POINT (-73.78352890506903 40.844379079820506)"
"B350-DF0956","Bottle Filler High Low",,,"B350","Stroud Playground","B350","B","3","B-08","Bottle Filler High Low,","Active","POINT (-73.961834954519 40.67509959004114)"
"Q162I-DF0358","A","Out in Open","No","Q162I","Rockaway Beach and Boardwalk","Q162-ZN02A","Q","1","Q-14","A, Out in Open","Active","POINT (-73.7535357376213 40.592597367146716)"
"X154-DF0299","D","Out in Open, In Playground","Yes","X154","Melrose Playground","X154","X","1","X-01","D, Out in Open, In Playground","Active","POINT (-73.91814163216318 40.82050430753831)"
"X034-DF0062","A","Out in Open","No","X034","Mullaly Park","X034-ZN02","X","1","X-04","A, Out in Open","Active","POINT (-73.92374240277063 40.83413692810766)"
"M098-DF0681","E","Under_Tree",,"M098","Washington Square Park","M098-ZN02","M","1","M-02","E, Under_Tree","Active","POINT (-73.9968101459791 40.73038751392079)"
"Q021-DF0754","D","Near Ballfield","No","Q021","Cunningham Park","Q021-ZN06","Q","1","Q-08","D, Near Ballfield","Active","POINT (-73.76495862685732 40.73868173023531)"
"Q121-DF0868","CS Metal",,,"Q121","Detective Keith L Williams Park","Q121","Q","1","Q-12","CS Metal,","Active","POINT (-73.78413522824307 40.7015954218827)"
"M255-DF0347","F","Out in Open","Yes","M255","James Madison Plaza","M255","M","1","M-03","F, Out in Open","Active","POINT (-74.00054476472198 40.71141879921402)"
"Q373-DF0153","D","Out in Open, Just Outside Playground","No","Q373","East Elmhurst Playground","Q373","Q","1","Q-03","D, Out in Open, Just Outside Playground","Active","POINT (-73.87153282799389 40.765460527816934)"
"B073-DF0910","E High Low","In Playground",,"B073","Prospect Park","B073-07","B","2","B-19","E High Low, In Playground","Active","POINT (-73.97273051906492 40.654882784818085)"
"R153-DF0274","Bottle Filler High Low","Near Soccer Field","No","R153","Fairview Park","R153","R","0","R-03","Bottle Filler High Low, Near Soccer Field","Active","POINT (-74.23471268592871 40.53080272105773)"
"M071-DF0023","B","Out in Open, Just Outside Playground","No","M071","Riverside Park","M071-ZN05","M","1","M-14","B, Out in Open, Just Outside Playground","Active","POINT (-73.98196589475974 40.787440827970066)"
"B251-DF0923","E","Out in Open","Yes","B251","Manhattan Beach Park","B251-ZN01","B","1","B-15","E, Out in Open","Active","POINT (-73.94636616795937 40.575938219238985)"
"M010-DF1038","Bottle Filler Fountain","Indoor",,"M010","Central Park","M010-031","M","2","M-13","Bottle Filler Fountain, Indoor","Active","POINT (-73.97709745035903 40.76836249469992)"
"Q300-DF0093","C","Near Ballfield","No","Q300","Kissena Corridor Park","Q300-05","Q","1","Q-07","C, Near Ballfield","Active","POINT (-73.82269157814639 40.74944259997487)"
"Q133-DF0715","D","In Playground","No","Q133","Pat Williams Playground","Q133","Q","1","Q-13","D, In Playground","Active","POINT (-73.72961025547131 40.713184905327886)"
"Q084A-DF0328","B","Under Tree","Yes","Q099","Flushing Meadows Corona Park","Q099","Q","1","Q-15","B, Under Tree","Active","POINT (-73.85626653989347 40.76074782903233)"
"M082-DF0212","E","Under Tree, In Playground","Yes","M082","Seward Park","M082","M","1","M-03","E, Under Tree, In Playground","Active","POINT (-73.9892096786165 40.714851613742894)"
"B317-DF0082","A","Under Tree, In Playground","Yes","B317","Lafayette Gardens Playground","B317","B","1","B-03","A, Under Tree, In Playground","Active","POINT (-73.95745006278568 40.69004193137495)"
"Q005-DF0450","A","Near Ballfield","Yes","Q005","Baisley Pond Park","Q005-05","Q","1","Q-12","A, Near Ballfield","Active","POINT (-73.78664900636191 40.68427886137335)"
"X033-DF0059","A","Near Ballfield","Yes","X033","Mosholu Parkway","X033-10","X","1","X-07","A, Near Ballfield","Active","POINT (-73.88042011248693 40.86855987871217)"
"Q066F-DF0069","C","In Playground, Near Ballfield","No","Q066F","Hoyt Playground","Q066F","Q","1","Q-01","C, In Playground, Near Ballfield","Active","POINT (-73.91744054653259 40.77134056883016)"
"Q163-DF0427","Trough","Out in Open","No","Q163","Rockaway Beach Boardwalk","Q163-ZN07B","Q","1","Q-14","Trough, Out in Open","Active","POINT (-73.82555497240985 40.5805276860014)"
"X179-DF0343","Bottle Filler","Just Outside Playground","No","X179","Playground 52 LII","X179","X","1","X-02","Bottle Filler, Just Outside Playground","Active","POINT (-73.90170892573168 40.81512977036293)"
"Q002-DF0513","C","In Playground","No","Q002","Grover Cleveland Playground","Q002","Q","1","Q-05","C, In Playground","Active","POINT (-73.9108824866958 40.71126796846011)"
"M022-DF0243","D","Under Tree, Near Ballfield","No","M022","De Witt Clinton Park","M022","M","1","M-04","D, Under Tree, Near Ballfield","Active","POINT (-73.99451219718185 40.76775407902612)"
"X111-DF0382","E High Low","Under Tree","No","X111","Cedar Playground","X111","X","2","X-05","E High Low, Under Tree","Active","POINT (-73.91793763277795 40.85482414443018)"
"B169-DF0578","E","Out in Open","No","B169","Coney Island Beach & Boardwalk","B169-ZN07A","B","1","B-13","E, Out in Open","Active","POINT (-73.99456136523115 40.5714360792264)"
"M009-DF0246","A","In Playground","Yes","M009","Bennett Park","M009","M","1","M-12","A, In Playground","Active","POINT (-73.937946101625 40.85315471840638)"
"M237-DF1115","CS Metal High Low","In Playground","Yes","M237","Corporal John A. Seravalli Playground","M237","M","2","M-02","CS Metal High Low, In Playground","Active","POINT (-74.00462682036044 40.73894127548822)"
"X257-DF0384","C","Under Tree","No","X257","Mount Hope Playground","X257","X","1","X-05","C, Under Tree","Active","POINT (-73.90925467453336 40.850340454019545)"
"M144-DF0373","E","Near Ballfield","Yes","M144","John V. Lindsay East River Park","M144-ZN04","M","1","M-03","E, Near Ballfield","Active","POINT (-73.9733788975093 40.71949966017641)"
"R005-DF0005","Bottle Filler High Low","Out in Open",,"R005","Clove Lakes Park","R005-ZN01","R","3","R-01","Bottle Filler High Low, Out in Open","Active","POINT (-74.1071003312797 40.6182521448234)"
"X004-DF0151","F High Low","In Playground, Near Ballfield","Yes","X004","Bronx River Parkway","X004-03","X","2","X-09","F High Low, In Playground, Near Ballfield","Active","POINT (-73.87364841752691 40.82705540677484)"
"B192A-DF0882","A","Near Ballfield","Yes","B192A","Fort Hamilton Athletic Field","B192A","B","1","B-10","A, Near Ballfield","Active","POINT (-74.03628525307178 40.62685990415474)"
"X114-DF0397","A","Out in Open, In Playground",,"X114","Goble Playground","X114","X","1","X-04","A, Out in Open, In Playground","Active","POINT (-73.91730246202641 40.84371468520476)"
"B357-DF0316","E","Under Tree, Out in Open, In Shade, In Playground","Yes","B357","Jackie Robinson Playground","B357","B","1","B-09","E, Under Tree, Out in Open, In Shade, In Playground","Active","POINT (-73.95929016830776 40.66562906890753)"
"Q020-DF0851","Bottle Filler High Low","Out_in_Open,Under_Tree",,"Q020","Highland Park","Q020-ZN04","Q","3","Q-05A","Bottle Filler High Low, Out_in_Open,Under_Tree","Active","POINT (-73.88683585239812 40.6840750823225)"
"R036-DF0116","A","Out in Open","Yes","R036","Mariners Harbor Playground","R036","R","1","R-01","A, Out in Open","Active","POINT (-74.1603329453334 40.63660365607735)"
"B141-DF0188","A","Out in Open, Near Ballfield","Yes","B141","City Line Park","B141","B","1","B-05","A, Out in Open, Near Ballfield","Active","POINT (-73.87585942542448 40.67914337590812)"
"X287-DF0393","Bottle Filler High Low","In Playground, In Shade","No","X287","Ogden Plimpton Playground","X287","X","3","X-04","Bottle Filler High Low, In Playground, In Shade","Active","POINT (-73.92377447038982 40.8417900153917)"
"M221-DF0137","C","In Playground, Under Tree, In Shade","No","M221","Gutenberg Playground","M221","M","1","M-04","C, In Playground, Under Tree, In Shade","Active","POINT (-73.99008787092941 40.76327604463504)"
"B146-DF0789","C","Near Ballfield",,"B146","Quaker Parrot Park at the Dust Bowl","B146","B","1","B-10","C, Near Ballfield","Active","POINT (-74.0134113863505 40.63230726293709)"
"M037-DF0473","D","Under Tree, In Playground","No","M037","Highbridge Park","M037-08","M","1","M-12A","D, Under Tree, In Playground","Active","POINT (-73.94016141572519 40.83162396759897)"
"B126-DF0066","A","Out in Open","No","B126","Red Hook Recreation Area","B126-ZN05","B","1","B-06","A, Out in Open","Active","POINT (-74.00466956815443 40.671156206555544)"
"Q022-DF0716","CS Concrete","Just Outside Playground","No","Q022","Margaret I. Carman Green - Weeping Beech","Q022","Q","1","Q-07","CS Concrete, Just Outside Playground","Active","POINT (-73.8248042753129 40.763459366703835)"
"M010-DF1106","Indoor Drinking Fountain","Indoor",,"M010","Central Park","M010-ZN34","M","1","M-13","Indoor Drinking Fountain, Indoor","Active","POINT (-73.96189148913962 40.78942754295394)"
"M054-DF0062","E","Out in Open,Under_Tree,In_Shade,Out_in_Open","No","M054","Mitchel Square","M054","M","1","M-12A","E, Out in Open,Under_Tree,In_Shade,Out_in_Open","Active","POINT (-73.94007639300138 40.840099162063936)"
"B169-DF0563","E","Out in Open","No","B169","Coney Island Beach & Boardwalk","B169-ZN01B","B","1","B-13","E, Out in Open","Active","POINT (-73.95933696297342 40.575054014408835)"
"Q345-DF0339","D","Near Ballfield","No","Q345","Redfern Playground","Q345","Q","1","Q-14","D, Near Ballfield","Active","POINT (-73.74975853084624 40.61110291135019)"
"M144-DF0369","C","Under Tree, Near Ballfield","No","M144","John V. Lindsay East River Park","M144-ZN04","M","1","M-03","C, Under Tree, Near Ballfield","Active","POINT (-73.97478960620937 40.71743507150354)"
"B270-DF0124","C","Under Tree, In Shade, Just Outside Playground","No","B270","Brownsville Playground","B270","B","1","B-16","C, Under Tree, In Shade, Just Outside Playground","Active","POINT (-73.90167507202321 40.65676092471326)"
"X041-DF0309","A","Out in Open","Yes","X041","Pulaski Park","X041","X","1","X-01","A, Out in Open","Active","POINT (-73.92408170217135 40.805164712872234)"
"Q492-DF0600","E","Out in Open",,"Q492","Elmhurst Park","Q492","Q","1","Q-04","E, Out in Open","Active","POINT (-73.88508802315293 40.729217888466295)"
"B264-DF0328","CS Concrete","Just Outside Playground, Out in Open","Yes","B264","Roebling Playground","B264","B","1","B-01","CS Concrete, Just Outside Playground, Out in Open","Active","POINT (-73.96238586012615 40.70608130968423)"
"X104-DF0561","Indoor Drinking Fountain","Indoor",,"X104","Williamsbridge Oval","X104","X","1","X-07","Indoor Drinking Fountain, Indoor","Active","POINT (-73.878571066549 40.8766566741529)"
"B163-DF0186","E","Near Ballfield, Out in Open","Yes","B163","Sperandeo Brothers Playground","B163","B","1","B-05","E, Near Ballfield, Out in Open","Active","POINT (-73.88447299600256 40.67687559274819)"
"BT15-DF0743","E","Near Ballfield","Yes","BT15","Bush Terminal Park","BT15","B","1","B-07","E, Near Ballfield","Active","POINT (-74.01976315903285 40.65241012969744)"
"B028-DF0726","A","Just Outside Playground","No","B028","Dyker Beach Park","B028-ZN01","B","1","B-10","A, Just Outside Playground","Active","POINT (-74.01730529051528 40.60600944478209)"
"X148D1-DF0370","C","Under Tree, In Playground","No","X148D1","Morris Mesa","X148D1","X","1","X-05","C, Under Tree, In Playground","Active","POINT (-73.90955937561566 40.845261423927745)"
"M033-DF1074","Indoor Drinking Fountain","Indoor",,"M033","Hamilton Fish Park","M033","M","1","M-03","Indoor Drinking Fountain, Indoor","Active","POINT (-73.98145718163548 40.71997965758501)"
"X030-DF0424","Trough","Out in Open","No","X030","Macombs Dam Park","X030-ZN01","X","1","X-04","Trough, Out in Open","Active","POINT (-73.9303285585562 40.827188668778454)"
"M391-DF0472","Other","Near Ballfield, In Shade","No","M391","East River Waterfront Esplanade","M391-ZN02","M","1","M-01","Other, Near Ballfield, In Shade","Active","POINT (-73.98939109825608 40.71006827391886)"
"X092-DF0238","C","Out in Open","No","X092","Van Cortlandt Park","X092-ZN06","X","1","X-13","C, Out in Open","Active","POINT (-73.89520446018103 40.89736447343672)"
"B529-DF0030","E High Low","Near Ballfield, Out in Open","Yes","B529","Bushwick Inlet Park","B529","B","2","B-01","E High Low, Near Ballfield, Out in Open","Active","POINT (-73.96090657381048 40.7218121243834)"
"B169B-DF0325","C","Out in Open, In Playground","No","B169B","Poseidon Playground","B169B","B","1","B-13","C, Out in Open, In Playground","Active","POINT (-73.99220001402612 40.5720543811708)"
"M165-DF0381","C","Under Tree, In Playground, Near Ballfield","No","M165","Baruch Playground","M165","M","1","M-03","C, Under Tree, In Playground, Near Ballfield","Active","POINT (-73.97705649093237 40.71724325246324)"
"Q089B-DF0657","D","In Playground","No","Q089B","Harvey Park","Q089B-01","Q","1","Q-07","D, In Playground","Active","POINT (-73.8237465260574 40.782792883803914)"
"X010-DF0330","A","Out in Open","Yes","X010","Crotona Park","X010-ZN05","X","1","X-03","A, Out in Open","Active","POINT (-73.89041139095859 40.83789680223602)"
"Q321-DF0043","F High Low","In Playground","No","Q321","Van Alst Playground","Q321","Q","2","Q-01","F High Low, In Playground","Active","POINT (-73.9283132880814 40.770481826819804)"
"X080-DF0449","B","Under Tree, In Shade","Yes","X080","Henry Hudson Park","X080","X","1","X-08","B, Under Tree, In Shade","Active","POINT (-73.91822189492366 40.88225720135598)"
"B252-DF0367","A","Under Tree, In Shade, In Playground","No","B252","West Playground","B252","B","1","B-13","A, Under Tree, In Shade, In Playground","Active","POINT (-73.9699265107075 40.5865678971149)"
"X201-DF0117","A","Out in Open","Yes","X201","Seton Park","X201","X","1","X-08","A, Out in Open","Active","POINT (-73.91610625888434 40.885438499762465)"
"Q401-DF0965","Indoor Drinking Fountain","Indoor",,"Q401","Lost Battalion Hall Recreation Center","Q401","Q","1","Q-06","Indoor Drinking Fountain, Indoor","Active","POINT (-73.86551322660404 40.73180427192256)"
"R015-DF0122","A","Just Outside Playground","Yes","R015","Walker Park","R015","R","1","R-01","A, Just Outside Playground","Active","POINT (-74.11028735825862 40.64348416192855)"
"M223-DF0493","A","Near Ballfield, Just Outside Playground","Yes","M223","Jacob H. Schiff Playground","M223","M","1","M-09","A, Near Ballfield, Just Outside Playground","Active","POINT (-73.95252343473513 40.82038582097826)"
"Q121-DF0484","A","Out in Open","Yes","Q121","Detective Keith L Williams Park","Q121-02","Q","1","Q-12","A, Out in Open","Active","POINT (-73.78515798383742 40.7040817405157)"
"Q004-DF0462","A","Out in Open","No","Q004","Astoria Park","Q004-ZN02","Q","1","Q-01","A, Out in Open","Active","POINT (-73.92091195466757 40.77955656790496)"
"Q329-DF0386","CS Concrete","In Playground","No","Q329","Pomonok Playground","Q329","Q","1","Q-08","CS Concrete, In Playground","Active","POINT (-73.81409670137131 40.736091762357105)"
"M071-DF0087","E","Near Ballfield","No","M071","Riverside Park","M071-ZN19","M","1","M-14","E, Near Ballfield","Active","POINT (-73.97374889687993 40.80113100530477)"
"M010-DF0275","E High Low","In Playground","Yes","M010","Central Park","M010-089","M","2","M-13","E High Low, In Playground","Active","POINT (-73.97749019868354 40.773337587772055)"
"Q477-DF0809","C","Out in Open","No","Q477","Two Coves Community Garden","Q477","Q","1","Q-01","C, Out in Open","Active","POINT (-73.93217781321815 40.772137433957944)"
"Q413-DF0902","E High Low","In Plyaground",,"Q413","Rochdale Park","Q413-02","Q","2","Q-12","E High Low, In Plyaground","Active","POINT (-73.77558324017909 40.6742202808147)"
"Q008-DF0763","D","Near Ballfield","No","Q008","Brookville Park","Q008-ZN02","Q","1","Q-13","D, Near Ballfield","Active","POINT (-73.74637863758849 40.66105174471965)"
"X182-DF0493","Bottle Filler",,,"X182","Millbrook Playground","X182","X","1","X-01","Bottle Filler,","Active","POINT (-73.91644935837661 40.8042972440595)"
"B051-DF0671","A","Out in Open","Yes","B051","Kelly Park Playground","B051","B","1","B-15","A, Out in Open","Active","POINT (-73.95789962433184 40.60446267705687)"
"R038A-DF0058","A","Near Ballfield","Yes","R038A","Midland Field","R038A","R","1","R-02B","A, Near Ballfield","Active","POINT (-74.09742148857369 40.57595761327872)"
"Q099-DF0131","A","Under Tree","Yes","Q099","Flushing Meadows Corona Park","Q099-ZN18","Q","1","Q-15","A, Under Tree","Active","POINT (-73.85043591195084 40.746282715825636)"
"M071-DF0016","E High Low","In Playground","Yes","M071","Riverside Park","M071-04","M","2","M-14","E High Low, In Playground","Active","POINT (-73.98482277641094 40.78347493602005)"
"M077-DF0483","D","In Playground, Near Ballfield, Under Tree","No","M077","St. Nicholas Park","M077-02","M","1","M-09","D, In Playground, Near Ballfield, Under Tree","Active","POINT (-73.94898926829978 40.81552640117626)"
"X030-DF0426","Trough","Out in Open","No","X030","Macombs Dam Park","X030-ZN01","X","1","X-04","Trough, Out in Open","Active","POINT (-73.92859660976694 40.82872178154591)"
"B223H-DF0203","E","Under Tree, In Playground, Out in Open","Yes","B223H","Harry Chapin Playground","B223H","B","1","B-02","E, Under Tree, In Playground, Out in Open","Active","POINT (-73.99514755516863 40.700561046011494)"
"M108T-DF0640","Bottle Filler High Low","In Shade","No","M108T","East River Walk","M108T-ZN05","M","3","M-15","Bottle Filler High Low, In Shade","Active","POINT (-73.95187193542988 40.76508086679054)"
"B334-DF0019","A","Near Ballfield","No","B334","Fermi Playground","B334","B","1","B-04","A, Near Ballfield","Active","POINT (-73.92802643540325 40.70077516990424)"
"M180-DF0133","C","Under Tree","No","M180","Lt. Wm. Tighe Triangle","M180","M","1","M-12","C, Under Tree","Active","POINT (-73.92812020963527 40.86584645003589)"
"B271-DF0643","A","Out in Open, Near Ballfield","Yes","B271","Railroad Playground","B271","B","1","B-17","A, Out in Open, Near Ballfield","Active","POINT (-73.91424739915728 40.64953723393359)"
"X196-DF0040","A","Under Tree, In Shade","Yes","X196","Haffen Park","X196","X","1","X-12","A, Under Tree, In Shade","Active","POINT (-73.83890083077944 40.873925222313154)"
"B050-DF0264","CS Concrete","In Playground","No","B050","Van Voorhees Playground","B050","B","1","B-06","CS Concrete, In Playground","Active","POINT (-73.99952437937891 40.68964125990427)"
"B025-DF0396","E","Near Ballfield","No","B025","Cooper Park","B025","B","1","B-01","E, Near Ballfield","Active","POINT (-73.93635489027649 40.7157954234803)"
"B234-DF0501","CS Concrete","Out in Open, In Playground","No","B234","Tilden Playground","B234","B","1","B-17","CS Concrete, Out in Open, In Playground","Active","POINT (-73.93140483920845 40.64793480360243)"
"B364-DF0484","C","Just Outside Playground, Under Tree","Yes","B364","Woods Playground","B364","B","1","B-08","C, Just Outside Playground, Under Tree","Active","POINT (-73.92917803789008 40.67471814872564)"
"X045-DF0536","Indoor Drinking Fountain","Indoor",,"X045","St. Mary's Park","X045-ZN02","X","1","X-01","Indoor Drinking Fountain, Indoor","Active","POINT (-73.9141034401238 40.81146817750372)"
"B324-DF0550","D","Out in Open, Just Outside Playground","No","B324","Jacob Joffe Fields","B324","B","1","B-18","D, Out in Open, Just Outside Playground","Active","POINT (-73.9194741670989 40.62473018427934)"
"B073-DF1041","Indoor Drinking Fountain","Indoor",,"B073","Prospect Park","B073","B","1","B-19","Indoor Drinking Fountain, Indoor","Active","POINT (-73.97511547966073 40.66521949374927)"
"M105-DF0993","Indoor Drinking Fountain","Indoor",,"M105","Sara D. Roosevelt Park","M105","M","1","M-03","Indoor Drinking Fountain, Indoor","Active","POINT (-73.99118593556064 40.72243472363793)"
"X104-DF0121","C","Out in Open","No","X104","Williamsbridge Oval","X104","X","1","X-07","C, Out in Open","Active","POINT (-73.87615093615828 40.878733053003124)"
"Q099-DF0195","D","In Playground","Yes","Q099","Flushing Meadows Corona Park","Q099-15","Q","1","Q-15","D, In Playground","Active","POINT (-73.83503701439177 40.72971163610799)"
"Q015-DF0007","C","Near Ballfield","Yes","Q015","Forest Park","Q015-ZN04","Q","1","Q-16","C, Near Ballfield","Active","POINT (-73.85462335405809 40.70237776321853)"
"M159-DF0528","A","Near Ballfield","Yes","M159","Frederick Johnson Playground","M159","M","1","M-10","A, Near Ballfield","Active","POINT (-73.93469297813947 40.824469949510444)"
"M144-DF0390","A","Near Ballfield","Yes","M144","John V. Lindsay East River Park","M144-ZN06","M","1","M-03","A, Near Ballfield","Active","POINT (-73.97347892924304 40.723138878496606)"
"Q005-DF0760","C","Out in Open","No","Q005","Baisley Pond Park","Q005-ZN04","Q","1","Q-12","C, Out in Open","Active","POINT (-73.78525862420153 40.67393174375408)"
"R125-DF0073","H","In Playground","Yes","R125","Lopez Playground","R125","R","1","R-01","H, In Playground","Active","POINT (-74.08487459580716 40.611665246853875)"
"M037-DF0920","A",,,"M037","Highbridge Park","M037-ZN04","M","1","M-12A","A,","Active","POINT (-73.92581040599674 40.858334743127934)"
"M104-DF0001","Pedestal","Out in Open, Near Ballfield",,"M104","Randall's Island Park","M104-ZN02","M","1","M-11R","Pedestal, Out in Open, Near Ballfield","Active","POINT (-73.91588264948325 40.79166437667555)"
"M066-DF0204","B","Under Tree, Near Ballfield, In Playground","No","M066","Dr. Gertrude B. Kelly Playground","M066","M","1","M-04","B, Under Tree, Near Ballfield, In Playground","Active","POINT (-74.00190826410278 40.741433937701174)"
