"project_id","description","client_agency","division","phase","projected_construction_completion","scope","dollar_amount","status"
"HL82BUSHX-1","BUSHWICK HEALTH CENTER - EXTERIOR RENOVATION","HEALTH","Public Buildings","Procurement","2022-03-01T00:00:00.000","The consultant shall prepare the Preliminary and Final Design documents and render the necessary Services during Construction required to provide for the complete restoration and rehabilitation of the facility. The building envelope and all of its components shall be restored to alleviate moisture penetration and to restore the interior spaces damaged by water infiltration.","$10M to 30M","Active"
"HL82CORHC","Corona Health Center-Exterior Facade, Basement and Lobby","HEALTH","Public Buildings","Design","2023-03-31T00:00:00.000","The project is an overall site and entire building envelope renovation/upgrade. The building envelope and all of its components shall be renovated and upgraded to correct façade deterioration and eliminate unsafe conditions. The Entrance, Lobby and Cellar level (gut renovations) shall be redesigned as well. See attachment “B”,( Outline Scope of Work)","$3M to 10M","Active"
"HL82MANAT","Manhattan Animal Care Center Upgrade","HEALTH","Public Buildings","Design","2022-08-30T00:00:00.000","Upgrade existing garage to an Animal Adoption Center.  The scope of work insists of interior and exterior renovation., including exterior metal cladding, masonry restoration, storefront system, HVAC, fire protection, BMS, electric/plumbing, skylights, roof, windows, doors, lighting, interior partitions, finishes, sidewalk replacement, and egress path at rear yard.","$3M to 10M","Active"
"HL82SIABEX","REHAB OF THE STATEN ISLAND ANIMAL SHELTER","HEALTH","Public Buildings","Construction","2020-10-15T00:00:00.000","This project has phased renovation and expansion of the existing building totaling 5,300 square foot animal care and control facility. The expansion and renovation involves new electrical, plumbing and mechanical ventilation system utilizing 100% fresh air. The renovation and  expansion is to achieve a LEED silver certification.

3139 Veterans Road West
Staten Island, New York 10309","$3M to 10M","Active"
"HWHARPER","Reconstruction of Harper Street Asphalt Plant - Construction","TRANSPORTATION","Public Buildings","Design","2024-02-12T00:00:00.000","Demolition and rebuild of the existing structures housing the equipment and related facilities necessary for the production, storage and distribution of asphalt at the NYC Harper Street Asphalt Plant facility. All of the existing equipment, storage facilities, and related buildings (lab, dispatch office, locker rooms, etc.) will be replaced with a new state of the art plant. In addition, the work will involve installing sanitary and storm drainage systems to comply with current government regulatory standard.","$10M to 30M","Active"
"HWKF488R","Hamilton Asphalt Plant Roof Replacement","TRANSPORTATION","Public Buildings","Design","2022-04-21T00:00:00.000","The scope of work includes replacement of roof and upgrades to the building façade. In addition, the consultant shall examine plumbing and electrical modifications that may be required to facilitate the building envelope rehabilitation.","$3M to 10M","Active"
"HWQF030","HARPER ST  WASTE WATER AND STORM WATER CONVEYANCES","TRANSPORTATION","Public Buildings","Initiation","2022-12-22T00:00:00.000","Design and install a new waste water and Strom water conveyance system .","$3M to 10M","Active"
"HWRF05R","Dubois Yard Roof","TRANSPORTATION","Public Buildings","Design","2023-01-13T00:00:00.000","Roof replacement and related repairs caused by water damage. Replace wet sprinkler system with dry system.","$3M to 10M","Active"
"HWXF2000B","1400 WILLIAMSBRIDGE RD - HVAC AND FIRE ALARM SYS","TRANSPORTATION","Public Buildings","Construction","2021-08-06T00:00:00.000","Replace existing mechanical systems with new systems and a BMS, replacement of the windows (1st & 2nd fl) and upgrade the existing fire alarm system.","$3M to 10M","Active"
"HWXF2144W","Replacement of HVAC Unit","TRANSPORTATION","Public Buildings","Construction","2020-03-23T00:00:00.000","To remove and replace the two RoofTop Units and re-connect to existing
ductwork and restore the system management capabilities. Also add the ability to
remotely access the system and program schedules.","$1M or less","Active"
"LBC10CDHC1","CLARENDON HVAC Replacement","LIBRARIES-BPL","Public Buildings","Procurement","2021-12-07T00:00:00.000","HVAC and BMS Installation.","$1M to 3M","Active"
"LBC12STHC","SARATOGA  BOILER AND HVAC REPLACEMENT","LIBRARIES-BPL","Public Buildings","Procurement","2021-10-26T00:00:00.000","Boiler, HVAC, BMS replacement at the Saratoga Branch Library","$3M to 10M","Active"
"LBC13BPRF","BOROUGH PARK INTERIOR AND EXTERIOR REHABILITATION","LIBRARIES-BPL","Public Buildings","Design","2023-10-07T00:00:00.000","Borough Park Library is a complete interior and exterior renovation including new interior layout program, new HVAC, security, IT/AV, BMS, roofing system and structural repairs.","$10M to 30M","Active"
"LBC14CYHC","CYPRESS HILLS HVAC REPLACEMENT","LIBRARIES-BPL","Public Buildings","Design","2021-04-23T00:00:00.000","Replacement of HVAC system equipment and installation of new BMS","$1M or less","Active"
"LBC14LDRF","LEONARD ROOF REPLACEMENT","LIBRARIES-BPL","Public Buildings","Design","2022-06-28T00:00:00.000","Roof Replacement","$1M or less","Active"
"LBC15BWHC","Bushwick Heating & Cooling","LIBRARIES-BPL","Public Buildings","Design","2023-03-21T00:00:00.000","HVAC Replacement and new BMS","$1M to 3M","Active"
"LBC15FLRF","Flatlands Envelope Rehabilitation","LIBRARIES-BPL","Public Buildings","Procurement","2021-10-29T00:00:00.000","Building Envelope Rehabilitation","$1M to 3M","Active"
"LBC15MPHC","Mapleton Boiler & BMS","LIBRARIES-BPL","Public Buildings","Design","2022-04-30T00:00:00.000","Replacement of boiler and new BMS system.","$1M or less","Active"
"LBC16MD2F","MIDWOOD 2ND FLOOR RENOVATIONS","LIBRARIES-BPL","Public Buildings","Design","2023-01-27T00:00:00.000","Midwood Library will undergo a 2nd Floor Interior Renovation.  The work scope will include the replacement of the HVAC System, Fire Alarm, 2nd Floor Security System and the installation of a new BMS.  The work scope will also include the replacement of the roofing system and bulkhead restoration.","$3M to 10M","Active"
"LBC16MPHC","MAPLETON HVAC REPLACEMENT","LIBRARIES-BPL","Public Buildings","Design","2022-04-30T00:00:00.000","Replacement of the existing cooling equipment","$1M to 3M","Active"
"LBC17CDOP","CLARENDON OUTDOOR PLAZA","LIBRARIES-BPL","Public Buildings","Design","2022-04-06T00:00:00.000","Replace building components which have exceeded their useful and and to maximize efficiency of public use area.","$1M or less","Active"
"LBC17MPGD","MAPLETON GARDEN RENOVATION","LIBRARIES-BPL","Public Buildings","Design","2023-07-15T00:00:00.000","MAPLETON GARDEN RENOVATION","$1M or less","Active"
"LBC17MRAD","MARCY AUDITORIUM REHABILITATION","LIBRARIES-BPL","Public Buildings","Procurement","2021-02-25T00:00:00.000","Renovation of meeting room, providing ADA accessibility to meeting room.","$1M or less","Active"
"LBC17PCFS","PACIFIC LIFE & FIRE SAFETY","LIBRARIES-BPL","Public Buildings","Construction","2020-02-25T00:00:00.000","Pacific Fire Safety","$1M or less","Active"
"LBCENPH1","CENTRAL LIBRARY RENOVATION - PHASE 1","LIBRARIES-BPL","Public Buildings","Procurement","2023-03-30T00:00:00.000","Exterior work will  include a new entrance along Flatbush Ave which will provide access to newly developed public area in the building.  This area will be known as the Civic Commons and will house uses which are currently located at the entry lobby to the Central Branch. Consolidation of Passport Service, IDNYC, Security and the Computer Center in this single location will better serve patrons, as well as return these areas within the entry area to library use.   Other exterior work will also include upgrades to the grand plaza and new plantings & irrigation system. Additional interior work will  include a new Fire Life Safety system for the entire building, upgrades to six Elevators, HVAC upgrades, creation of new collection areas, such as a new Business and Career Center and new Popular Library,  a new Welcome Center with new check-in and check-out stations, renovation of and creation of new public bathrooms and the refurbishment of the Main and Entrance Lobby spaces, including HVAC, Lighting and finishes.  

 

""","$30M to 100M","Active"
"LBK13EFBR","EAST FLATBUSH - BRANCH RENOVATION","LIBRARIES-BPL","Public Buildings","Construction","2020-11-16T00:00:00.000","East Flatbush Library is a full interior and exterior renovation of an existing structure. Scope of work includes an updated interior layout, new HVAC, IT/AV, security, BMS roofing system and skylights.","$10M to 30M","Active"
"LBK15BDHC","BEDFORD HEATING & COOLING REPLACEMENT","LIBRARIES-BPL","Public Buildings","Design","2021-04-21T00:00:00.000","HVAC Upgrade at Bedford Library","$1M to 3M","Active"
"LBK15WTHC","WINDSOR TERRACE HEATING & COOLING REPLACEMENT","LIBRARIES-BPL","Public Buildings","Construction","2020-03-02T00:00:00.000","HVAC Replacement and Installation of BMS (Building Management System)","$1M to 3M","Active"
"LBK16CIBR","Coney Island - 2nd Floor Renovation","LIBRARIES-BPL","Public Buildings","Construction","2019-12-12T00:00:00.000","Upgrade and Comprehensive  rehabilitation to accommodate  the current programming need for the Coney Island Branch Library. This project is intended to rehabilitate the current library space on  the second floor community room located on the north east end of the library.","$1M to 3M","Active"
"LBK16STRF","SARATOGA ENVELOPE REHABILITATION","LIBRARIES-BPL","Public Buildings","Design","2022-11-22T00:00:00.000","Saratoga Envelope Rehabilitation","$1M or less","Active"
"LBM13CGHC","CARROLL GARDENS HVAC REPLACEMENT","LIBRARIES-BPL","Public Buildings","Design","2022-12-20T00:00:00.000","HVAC Replacement at Carroll Gardens Library","$3M to 10M","Active"
"LBM13FLHC","FLATLANDS BOILER , HVAC, BMS, FIRE SAFETY REPLACEMENT","LIBRARIES-BPL","Public Buildings","Design","2023-05-19T00:00:00.000","Flatlands HVAC Boiler Replacement and BMS and Fire Alarm System","$1M to 3M","Active"
"LBM13LDHC","LEONARD HVAC REPLACEMENT","LIBRARIES-BPL","Public Buildings","Design","2022-06-28T00:00:00.000","HVAC replacement and new BMS","$1M to 3M","Active"
"LBM14BWRF","BUSHWICK ROOF REPLACEMENT","LIBRARIES-BPL","Public Buildings","Design","2023-03-21T00:00:00.000","Roof Replacement at Bushwick Branch Library","$1M to 3M","Active"
"LBM15GBRF","GERRITSEN BEACH ENVELOPE REHAB","LIBRARIES-BPL","Public Buildings","Design","2021-06-30T00:00:00.000","Design and construction of roof and necessary enclosure work.","$1M to 3M","Active"
"LBM15MPRF","Mapleton Envelope Rehabilitation","LIBRARIES-BPL","Public Buildings","Design","2022-10-30T00:00:00.000","Mapleton Library is a full exterior restoration including masonry repairs and repointing, parapet repairs, new roofing system and waterproofing to address water infiltration issues.","$1M to 3M","Active"
"LBM15RDHC","Ryder Heating & Cooling","LIBRARIES-BPL","Public Buildings","Design","2022-05-31T00:00:00.000","HVAC Upgrade and BMS Installation at Ryder Library","$1M to 3M","Active"
"LBM15RDRF","Ryder Envelope Rehabilitation","LIBRARIES-BPL","Public Buildings","Design","2022-05-31T00:00:00.000","BUILDING ENVELOPE REHABILITATION AT RYDER BRANCH LIBRARY, BROOKLYN PUBLIC LIBRARY
Block#;6548  Lot#;37
BIN# 3172049","$1M to 3M","Active"
"LBM16GEEC","GREENPOINT ENVIRONMENTAL EDUCATION CENTER","LIBRARIES-BPL","Public Buildings","Construction","2021-06-28T00:00:00.000","This project is an effort to provide Greenpoint with a library that is sized appropriately for the growing community, fosters environmental learning, and supports the ways in which patrons are increasingly looking to engage with their library and each other.","$10M to 30M","Active"
"LBM16GSFC","GRAVESEND FACADE REHAB","LIBRARIES-BPL","Public Buildings","Design","2023-02-28T00:00:00.000","Replace and Upgrade Building Envelope as well as building drainage","$1M to 3M","Active"
"LBM17ARBR","ARLINGTON BRANCH RENOVATION","LIBRARIES-BPL","Public Buildings","Design","2023-08-01T00:00:00.000","Branch renovation at the Arlington Library","$3M to 10M","Active"
"LBM17NUOH","NEW UTRECHT BRANCH OVERHAUL","LIBRARIES-BPL","Public Buildings","Design","2024-09-14T00:00:00.000","NEW UTRECH LIBRARY MAJOR RENOVATION","$10M to 30M","Active"
"LBM18BVOH","BROWNSVILLE BRANCH OVERHAUL","LIBRARIES-BPL","Public Buildings","Design","2024-12-30T00:00:00.000","BROWNSVILLE LIBRARY MAJOR RENOVATION","$10M to 30M","Active"
"LBM18EPOH","EASTERN PARKWAY BRANCH OVERHAUL","LIBRARIES-BPL","Public Buildings","Design","2023-10-30T00:00:00.000","EASTERN PARKWAY MAJOR RENOVATION","$10M to 30M","Active"
"LBP18WWBR","WALT WHITMAN BRANCH RENOVATION","LIBRARIES-BPL","Public Buildings","Initiation","2023-03-31T00:00:00.000","WALT WHITMAN BRANCH RENOVATION","$3M to 10M","Active"
"LNC4WLEX","WOODLAWN - Branch Expansion","LIBRARIES-NYPL","Public Buildings","Design","2023-06-05T00:00:00.000","Replacement (demolition) of existing library structure, and replacement with a new, expanded library structure.","$3M to 10M","Active"
"LNCA10115A","115TH STREET - Removal and Replacement of Floors","LIBRARIES-NYPL","Public Buildings","Construction","2020-06-30T00:00:00.000","RECONSTRUCTION OF BASEMENT SLAB","$1M to 3M","Active"
"LNCA10RIS","ROOSEVELT ISLAND - NEW BRANCH LIBRARY","LIBRARIES-NYPL","Public Buildings","Construction","2020-02-28T00:00:00.000","Interior build-out of ground floor of privately-owned commercial space, including complete new mechanical systems.","$3M to 10M","Active"
"LNCA1167S","67TH STREET - Partial Interior Renovation","LIBRARIES-NYPL","Public Buildings","Construction","2020-02-02T00:00:00.000","HVAC AND ROOF REPLACEMENT","$1M to 3M","Active"
"LNCA11BLD","BLOOMINGDALE - Interior Renovation","LIBRARIES-NYPL","Public Buildings","Construction","2020-05-28T00:00:00.000","To provide design and construction of a Teen Room on the first floor; renovate bathrooms on the 2nd floor (budget permitting); and to provide a drinking fountain within the public space of the branch.","$1M to 3M","Active"
"LNCA12EPH","EPIPHANY - FACADE RESTORATION","LIBRARIES-NYPL","Public Buildings","Design","2022-11-17T00:00:00.000","Entrance vestibule reconstruction and façade restoration","$1M to 3M","Active"
"LNCA13ECH","EASTCHESTER: HVAC Replacement","LIBRARIES-NYPL","Public Buildings","Construction","2020-07-15T00:00:00.000","HVAC EQUIPMENT REPLACEMENT","$1M to 3M","Active"
"LNCA13GBR","GEORGE BRUCE: Partial Interior/Exterior,/ Roof  / Boiler","LIBRARIES-NYPL","Public Buildings","Design","2023-02-17T00:00:00.000","Partial Interior/Exterior Rehabilitation, 
Façade - 18000 SF

Floor - 10000SF","$3M to 10M","Active"
"LNCA13HAM","HAMILTON FISH: REHABILITATION","LIBRARIES-NYPL","Public Buildings","Design","2022-07-21T00:00:00.000","Exterior and interior renovations, new HVAC, Fire Alarm.and new boiler","$3M to 10M","Active"
"LNCA13HUD","HUDSON PARK: Renovation","LIBRARIES-NYPL","Public Buildings","Design","2021-10-14T00:00:00.000","Partial Interior Rehabilitation of the Hudson Park Branch Library, including new lighting, finishes, circulation desk, in the mean reading room on the 2nd floor, and improvements in the lower level Community Room.   The design phase is to include a Pre-Preliminary report to determine an improve library layout in public areas, including better spatial layout for patron strollers.  The Consultant is to coordinate the scope of work and proposed design in connection with several other current design/construction exterior restoration (#LNCA12HUD), an ADA interior renovation project at this branch (#LNCEM09HP), a library HVAC & FAS upgrade (#LNEM08HUD).","$3M to 10M","Active"
"LNCA13MLB","MUHLENBERG: Elevator","LIBRARIES-NYPL","Public Buildings","Design","2022-01-24T00:00:00.000","Replace existing deteriorated elevator with higher capacity and improved ventilation, and clear existing multiple violations .","$1M or less","Active"
"LNCA13MOR","MORRISANIA: HVAC and Roof","LIBRARIES-NYPL","Public Buildings","Construction","2020-07-31T00:00:00.000","HVAC replacement","$1M to 3M","Active"
"LNCA13MOT","MOTT HAVEN: HVAC","LIBRARIES-NYPL","Public Buildings","Construction","2020-11-22T00:00:00.000","The replacement/rehabilitation of the existing HVAC system","$1M to 3M","Active"
"LNCA13NAM","NEW AMSTERDAM - HVAC and Cooling Tower","LIBRARIES-NYPL","Public Buildings","Construction","2020-01-24T00:00:00.000","HVAC, Cooling Tower, partial interior renovation","$3M to 10M","Active"
"LNCA14MBG","HVAC and Related Work","LIBRARIES-NYPL","Public Buildings","Design","2022-01-24T00:00:00.000","Replacement of current HVAC equipment.","$1M to 3M","Active"
"LNCA15EDW","HVAC Replacement @ Edenwald","LIBRARIES-NYPL","Public Buildings","Design","2021-09-30T00:00:00.000","HVAC Replacement at Edenwald Branch Library","$1M to 3M","Active"
"LNCA15MOT","Window Replacement","LIBRARIES-NYPL","Public Buildings","Procurement","2021-04-20T00:00:00.000","Window Replacement at Mott Haven Branch","$3M to 10M","Active"
"LNCA15RSD","RIVERDALE BRANCH   Exterior / Facades/ Retaining Wall / HVAC","LIBRARIES-NYPL","Public Buildings","Procurement","2021-03-26T00:00:00.000","Reconstruction, stabilization, and waterproofing of rear retaining wall, selective restoration of brick and concrete block facades, and gutter and leader replacement.","$1M to 3M","Active"
"LNCAL15CC","Countee Cullen:Exterior Renovation","LIBRARIES-NYPL","Public Buildings","Design","2022-03-09T00:00:00.000","Countee Cullen Branch Exterior Rehabilitation","$3M to 10M","Active"
"LNCAL15TV","Tottenville: New Roof","LIBRARIES-NYPL","Public Buildings","Construction","2019-12-30T00:00:00.000","Roof Replacement","$1M or less","Active"
"LNCL15CAS","CASTLE HILL: Partial Interior Renovation","LIBRARIES-NYPL","Public Buildings","Design","2022-10-19T00:00:00.000","INTERIOR & EXTERIOR RENOVATION  New Fire Alarm, EXTERIOR  BUILDING ENVLOPE AND HVAC","$3M to 10M","Active"
"LNCM10WCH","WESTCHESTER SQUARE - Replacement Branch Construction","LIBRARIES-NYPL","Public Buildings","Procurement","2025-09-30T00:00:00.000","New Branch Library building 12,000 sq,ft, and demolition of existing Storage building and bridge to Huntington Free Library","$10M to 30M","Active"
"LNEA13HGR","HAMILTON GRANGE:Exterior Rehabiliation/ Window","LIBRARIES-NYPL","Public Buildings","Design","2022-12-26T00:00:00.000","Exterior Rehabilitation / Window Replacement and water filtration remedation.","$1M to 3M","Active"
"LNEA13MHU","Mosholu: New Roof and Exterior Work","LIBRARIES-NYPL","Public Buildings","Procurement","2021-08-10T00:00:00.000","Mosholu Library roof replacement and perform exterior renovation work.","$1M to 3M","Active"
"LNEA13STG","ST GEORGE: Exterior and Interior renovation","LIBRARIES-NYPL","Public Buildings","Construction","2020-06-12T00:00:00.000","Partial exterior and interior renovation.  Work to include but not limited to façade rehabilitation, renovation of entry and circulation desk for ADA accessibility, electrical systems upgrade, and interior improvements ancilary to proposed work.
Design procurement may include (t.b.d) Pre-Preliminary Design services.","$3M to 10M","Active"
"LNEA13TNK","THROGS NECK: New Roof, HVAC","LIBRARIES-NYPL","Public Buildings","Construction","2020-06-01T00:00:00.000","ROOF REPLACEMENT and HVAC UPGRADE","$3M to 10M","Active"
"LNEA14VNT","HVAC Replacement","LIBRARIES-NYPL","Public Buildings","Design","2021-12-20T00:00:00.000","Replacement of HVAC system, including air condition, boiler, fans, pumps, piping, and automatic temperature controls.","$1M to 3M","Active"
"LNEM12MLB","MUHLENBERG - Sidewalk Vault","LIBRARIES-NYPL","Public Buildings","Procurement","2020-12-30T00:00:00.000","Existing vault and deteriorating  concrete sidewalk replacement","$1M or less","Active"
"LNXA11WFM","WEST FARMS - New Front Entry","LIBRARIES-NYPL","Public Buildings","Design","2021-09-23T00:00:00.000","REPLACE  ENTRANCE  AND  INTERIOR VESTIBLUE DOORS WITH POWER ASISTED ADA COMPLIANT HARDWARE

RENOVATION /ADA COMPLIANCE","$1M or less","Active"
"LNXA12GRC","GRAND CONCOURSE - ADA Compliance and Related  Work","LIBRARIES-NYPL","Public Buildings","Construction","2020-06-30T00:00:00.000","To provide ADA-compliant accessibility within the building, including ADA bathroom, elevator retrofit, and related changes to first floor staff areas.","$3M to 10M","Active"
"LNXEA08BA","BAYCHESTER: HVAC","LIBRARIES-NYPL","Public Buildings","Procurement","2021-06-30T00:00:00.000","Replacement of HVAC & BMS:Baychester Branch .","$1M or less","Active"
"LQARVEXPN","Arverne Library - Replacement facility","LIBRARIES-QBPL","Public Buildings","Design","2024-10-15T00:00:00.000","Addition to existing library building.","$3M to 10M","Active"
"LQASADA","ASTORIA - Brach renovation with ADA","LIBRARIES-QBPL","Public Buildings","Design","2022-09-12T00:00:00.000","Full upgrade to ADA accessibility, including bathrooms and new elevator.","$3M to 10M","Active"
"LQBPEXPN","BAISLEY PARK - Branch Renovation","LIBRARIES-QBPL","Public Buildings","NA","2023-10-20T00:00:00.000","The project consists of full interior renovation including all public programmatic spaces, restrooms, staff lounge, storage spaces, work area as well as universally accessible entrance, exterior book drop, storefront, skylight restoration, and entrance approach and interior courtyard exterior improvements.","$3M to 10M","Active"
"LQD122BCE","BROAD CHANNEL EXTERIOR RENOVATION","LIBRARIES-QBPL","Public Buildings","Design","2023-06-28T00:00:00.000","Replacement of gutters and leaders at the Broad Channel Library","$1M or less","Active"
"LQD122BR2","BROADWAY LIBRARY - RENOVATION (PHASE THREE AND FOUR)","LIBRARIES-QBPL","Public Buildings","Design","2022-05-20T00:00:00.000","Library interior renovation/upgrade and all related work.","$1M to 3M","Active"
"LQD122-CL","Queens Central Library Renovation - Pass-Through","LIBRARIES-QBPL","Public Buildings","Construction","2023-04-28T00:00:00.000","Renovation of Queens Central Library: Demolition, redesign and reconstruction of the Library's building.","$3M to 10M","Active"
"LQD122-F2","FLUSHING - HVAC & Controls","LIBRARIES-QBPL","Public Buildings","Procurement","2023-02-06T00:00:00.000","Upgrade of selected HVAC controls and related components/equipment, as required and upgrade of electrically operated window treatment for increased energy efficiency.","$1M to 3M","Active"
"LQD122GL2","GLENDALE LIBRARY RENOVATION","LIBRARIES-QBPL","Public Buildings","Construction","2020-02-15T00:00:00.000","ADA Street Access, New ADA Elevator, Selective Interior Renovation, Fire Alarm, Security.","$3M to 10M","Active"
"LQD122HO1","Hollis Library - Building Infrastructure","LIBRARIES-QBPL","Public Buildings","Design","2023-03-31T00:00:00.000","Interior alteration with ADA upgrades and new HVAC system.","$3M to 10M","Active"
"LQD122NF4","NORTH FOREST PARK - Renovation","LIBRARIES-QBPL","Public Buildings","Design","2023-01-13T00:00:00.000","Overall interior renovation of existing building and HVAC upgrade.","$1M to 3M","Active"
"LQD122RO2","ROCHDALE VILLAGE - HVAC & Controls","LIBRARIES-QBPL","Public Buildings","Design","2022-08-16T00:00:00.000","HVAC System Replacement/Controls at the Rochdale Village Community Library","$1M to 3M","Active"
"LQD122-S2","STEINWAY - Phase II Renovation","LIBRARIES-QBPL","Public Buildings","Construction","2020-03-20T00:00:00.000","Proposed Scope of work includes  upgrades/replacement to the exterior envelope. Scope also includes the installation of new ADA compliant elevator, new entrace and ramp and renovations to the children room.","$3M to 10M","Active"
"LQD122-WN","WOODHAVEN - Renovation","LIBRARIES-QBPL","Public Buildings","Design","2024-04-24T00:00:00.000","Exterior rehab including window replacement and roof replacement; interior alterations including new HVAC system; ADA upgrades with new elevator","$3M to 10M","Active"
"LQDL-NEW","DOUGLASTON: Replacement Facility","LIBRARIES-QBPL","Public Buildings","Initiation","2024-11-22T00:00:00.000","The existing Douglaston-Little Neck Community Library located at 249-01 Northern Boulevard, Little Neck, 11363 to be entirely demolished and superseded by a new +-11,400 square foot
replacement asset at the same location. The exact size and sophistication of the replacement asset shall be based on QBPL’s review of a this report.
Conduct and present to Queens Borough Public Library (QBPL) a comprehensive Due Diligence Report that will consist of (but not be limited to) Zoning Analysis – that through clear and concise
text and two-dimensional and three-dimensional diagrams illustrates the size, height, area, location, profile, and massing of a structure based on the parameters, limitations and rights of
construction according to local zoning regulations. The Zoning Analysis shall serve as QBPL’s point of reference for gauging the extent to which the site can be developed. Constraints on
developing the site shall be identified and request(s) to deviate from (variance) the zoning requirements shall be secured if required. The Zoning Analysis shall be supported by a Constructability
investigation, Complexity Factor Appraisal, and by a Probable Cost Forecast. The Probable Cost Forecast (in terms of 2018 dollars) shall be comprehensive and complete and shall include all
pertinent categories (as subtotals) such as construction hard costs, IFA costs, and design fee/soft costs. The Due Diligence Report shall serve as QBPL’s operational objectives, funding and
budgetary strategy, and mission.","$10M to 30M","Active"
"LQEM19BPK","BAISLEY PARK: New Boiler","LIBRARIES-QBPL","Public Buildings","Design","2020-11-27T00:00:00.000","Baisley Park Library Boiler Replacement","$1M or less","Active"
"LQFLELV","FLUSHING LIBRARY - CONSTRUCTION OF SECOND ELEVATOR","LIBRARIES-QBPL","Public Buildings","Procurement","2021-08-16T00:00:00.000","Additional elevator to the building and upgrades to existing elevator.","$3M to 10M","Active"
"LQHIHVAC","HILLCREST - HVAC","LIBRARIES-QBPL","Public Buildings","Design","2023-03-02T00:00:00.000","Replacement of existing HVAC system .","$1M or less","Active"
"LQHIROOF","HILLCREST ROOF","LIBRARIES-QBPL","Public Buildings","Design","2023-03-02T00:00:00.000","Roof Replacement","$1M to 3M","Active"
"LQLAROOF","LAURELTON ROOF","LIBRARIES-QBPL","Public Buildings","Design","2021-04-03T00:00:00.000","Exterior/Roof Restoration","$1M to 3M","Active"
"LQMVHVAC","MIDDLE VILLAGE - HVAC","LIBRARIES-QBPL","Public Buildings","Construction","2020-03-02T00:00:00.000","HVAC and boiler replacement","$1M or less","Active"
"LQOZROOF","OZONE PARK ROOF REPLACEMENT","LIBRARIES-QBPL","Public Buildings","Design","2021-02-17T00:00:00.000","LQOZROOF
Roof Replacement","$1M or less","Active"
"LQQ122-DL3","MULTIBRANCH (C, DL, NO, RO, S &SZ) - Roof Replacements","LIBRARIES-QBPL","Public Buildings","Construction","2020-06-30T00:00:00.000","Roof Replacement - Façade Restoration.","$1M to 3M","Active"
"LQQ122-FA1","FAR ROCKAWAY - Replacement Facility","LIBRARIES-QBPL","Public Buildings","Construction","2020-09-15T00:00:00.000","Construction of a new 18,000 sq.ft. Branch Library employing the latest technology and sustainable design.","$10M to 30M","Active"
"LQQ122-RG","REGO PARK LIBRARY - REPLACEMENT FACILITY","LIBRARIES-QBPL","Public Buildings","Design","2024-04-18T00:00:00.000","Entirely demolished and supplanted by a new facility","$30M to 100M","Active"
"LQQBHHVAC","QUEENSBORO HILL - HVAC","LIBRARIES-QBPL","Public Buildings","Design","2022-02-22T00:00:00.000","HVAC system upgrade and related work.","$1M to 3M","Active"
"LQQVHVAC","QUEENS VILLAGE - HVAC","LIBRARIES-QBPL","Public Buildings","Design","2022-07-09T00:00:00.000","HVAC replacement","$1M to 3M","Active"
"LQQVROOF","QUEENS VILLAGE - ROOF","LIBRARIES-QBPL","Public Buildings","Design","2022-07-09T00:00:00.000","Roof replacement","$1M or less","Active"
"LQRDMASON","RIDGEWOOD - MASONRY","LIBRARIES-QBPL","Public Buildings","Design","2021-11-30T00:00:00.000","Roof & Façade Restoration","$1M to 3M","Active"
"LQSEHVAC","SEASIDE -HVAC","LIBRARIES-QBPL","Public Buildings","Design","2022-09-30T00:00:00.000","HVAC Upgrade","$1M or less","Active"
"LQSUADA","SUNNYSIDE ADA","LIBRARIES-QBPL","Public Buildings","Procurement","2019-12-16T00:00:00.000","ADA upgrade of entrance and vestibule doors.","$1M or less","Active"
"LQWSADA","WOODSIDE ADA","LIBRARIES-QBPL","Public Buildings","Design","2020-07-23T00:00:00.000","ADA upgrade of entrance and vestibule doors.","$1M or less","Active"
"LRCA17SCH","SCHOMBURG - Renovation Phase II Passthrough","LIBRARIES-NYPL","Public Buildings","Construction","2022-12-31T00:00:00.000","The project is providing additional program space and overall upgrades to the facility including rehabilitation of major research support and building infrastructure.","$10M to 30M","Active"
"PW77DCALED","245 MESEROLE ST. - DCA TEST STATION REHABILITATION","DCAS","Public Buildings","Procurement","2020-05-29T00:00:00.000","245 MESEROLE ST. - DCA TEST STATION REHABILITATION","$3M to 10M","Active"
"PW77LYA","253 BROADWAY- LPC MOVE TO 2nd, 11th, 12th, 13th FLS","DCAS","Public Buildings","Construction","2021-05-14T00:00:00.000","Renovate 4 floors of the building including upgrading the existing utilities for Landmark Preservation Commission","$30M to 100M","Active"
"PW80DYCD-FA","2 LAFAYETTE STREET- DYCD RELOCATION","DCAS","Public Buildings","Construction","2019-12-31T00:00:00.000","Replacement of building wide fire alarm system","$30M to 100M","Active"
"NC-61","NEWTOWN CREEK NATURE WALK PHASES 2 & 3","ENVIRONMENTAL PROTECTION","Public Buildings","Construction","2020-08-15T00:00:00.000","The project consists of a new over-water pedestrian connector along the west side of the Whale Creek Canal which is perpendicular to the Newtown Creek. Phase II construction will provide access from the currently installed Phase I Nature Walk waterfront park project which was completed by DEP. Phase II construction includes pile supported metal decking structures leading to a future park which will be constructed by  DDC under Phase III.","$10M to 30M","Active"
