"sitename","gispropnum","initplntsn","acreage","dtacolmthd","shape"
"Motor Parkway","Q130","2009 Fall","0.076","GPS","0xD708000001040A000000409E9CEBBF0F304100040EE09962094180DA4659F10F3041003E6910C46209414076D1C013103041006C15C1146309410094962645103041006C57BA4163094100846B9E6E10304100AE5DC4AB63094140FCA4E56B103041006A2DB64464094100435D3332103041001A19A6E9630941409183E0D50F304100E0E6291663094100EA7EDCBB0F304100EAE6FCF1620941409E9CEBBF0F304100040EE09962094101000000020000000001000000FFFFFFFF0000000003"
"Motor Parkway","Q130","2009 Fall","0.055","GPS","0xD70800000104080000004088B6308F1030410042D1B3C461094100150F078610304100DE3B9C4662094100A6429468103041007CC286116209418038165145103041009E849102620941C017BBC129103041005E8D8B6361094100D1D24D2D10304100809E8DFF6009414015805D66103041007219CE2D6109414088B6308F1030410042D1B3C461094101000000020000000001000000FFFFFFFF0000000003"
"Inwood Hill Park","M042","2005 Spring","0.540","Drawing","0xD708000001040E000000801375C45AA62E4100DEA3434B870F41805A93502CA62E41008001E13E860F41806B45FE21A62E410020B37D32850F41004A0CA336A62E4100CC2DF480830F4180C8543789A62E4100C8EEC9DB820F4100584F79D1A62E4100C8EEC9DB820F4180B98BB338A72E410090FC684F840F41805DB97871A72E41008A1EBA99850F4180550BA276A72E4100969C62CF860F41808F798152A72E4100F43EC5DB870F4100F8D0680FA72E4100D8C59495880F418092E858ADA62E410096A9DEBE880F4180D906E57EA62E4100800E5D2E880F41801375C45AA62E4100DEA3434B870F4101000000020000000001000000FFFFFFFF0000000003"
"Inwood Hill Park","M042","2005 Spring","0.344","Drawing","0xD708000001040E00000080BC932C68AA2E41007EF159EC760F4100699AC89BAA2E4100BCCEE51D760F41800043E1DEAA2E4100BCCEE51D760F4180B924550DAB2E41005E39FF00770F41806E04C83BAB2E4100D276E39D780F41806E04C83BAB2E4100ACE0D9FC790F4100903D2327AB2E4100B2CB04A27A0F4100BEFB2A08AB2E4100EACAE11D7B0F41800043E1DEAA2E4100EACAE11D7B0F418047616DB0AA2E41009067A9B67A0F4100B4BA556DAA2E4100ACE0D9FC790F41000387B839AA2E41003CE21F05790F41000387B839AA2E41009A770622780F4180BC932C68AA2E41007EF159EC760F4101000000020000000001000000FFFFFFFF0000000003"
"Inwood Hill Park","M042","2005 Spring","0.292","Drawing","0xD708000001041000000080AE18B46DA92E41003E56224B3D0F41006932133EA92E4100F273A5963C0F4100EBA28A31A92E410064EC2BEC3B0F410038CA082FA92E4100849CA1233B0F410034141A48A92E4100CA8D0C513A0F418030D53D7AA92E4100424CB9D8390F41005D5C59A2A92E4100AA32ABC4390F41008E1076CAA92E4100D0A3E91E3A0F4180081510F0A92E4100EC524AAB3A0F41809E24301DAA2E41000CDEF49B3B0F41008365BC2EAA2E4100D0AE673C3C0F4180CF8C3A2CAA2E410018E5E3F03C0F4180D3422913AA2E4100083D72B93D0F4100F0E08AE8A92E4100FA64B71D3E0F41807590DEA9A92E41002EAEB0133E0F4180AE18B46DA92E41003E56224B3D0F4101000000020000000001000000FFFFFFFF0000000003"
"DEC - Healy Ave-Bayswater Park","QDEC1","2009 Fall","0.821","GPS","0xD708000001045A00000000C935835CFE2F41000E29285B69034180DF03944EFE2F4100F4A7EFD6690341000FDF7E24FE2F410022B1C48B690341003233FD13FE2F4100EC39800369034180A3CC9DFDFD2F41005492D70A69034100A0C65AFDFD2F4100DA17228269034180A86F2EF0FD2F410014EC095F690341805E8ACFD7FD2F410048D1A76869034100B1819EB8FD2F410026E9592369034100E05E0B9EFD2F41008013F14169034100091BFFA2FD2F41007098528F6803410056FFC26BFD2F4100DA4B4F19680341001B2E034FFD2F41008E92C931680341008470F72BFD2F4100101A8B0F6803410030979E14FD2F4100AE4B7C3E6803418069E1D702FD2F41005A557E1368034100DD32D606FD2F410048328D7567034100592CA914FD2F4100B407C93467034100EC0F9C25FD2F4100E81777EC660341003F20BB3DFD2F41007E4739E86603410006D9D742FD2F4100D219F29066034180FAF73B38FD2F410024F8AE1B660341005CD6AB42FD2F4100F461B2B2650341008C147759FD2F4100601EE4966503418041F0A787FD2F4100F4B205B565034180CADEA1B0FD2F4100C43A5F7164034180EF14E8B7FD2F4100FE51B3AB63034100CA40A692FD2F4100F8D71C6C63034180CBEB4E71FD2F41001A8C7BB3630341002941CE66FD2F4100A814688E6303410029EC6369FD2F41006E542E4C6303418051D0017BFD2F41009CF3A523630341002376808BFD2F41006E63882163034180B1DF609AFD2F41006AE5F53D63034180B65371ABFD2F410048F44F1463034100EF9B15AEFD2F41005E6D34EA62034180FD0861A7FD2F410056750BC7620341008857B29DFD2F4100F6365AB1610341801C5D9E87FD2F410098B892316103418067EF278EFD2F4100E23E79C16003418031D8B3AFFD2F4100B46DBAB3600341004C9F6DBDFD2F41003648D5E06003418074B40DC0FD2F41009C8F2A4B61034100C3E23E08FE2F4100CA4E3990610341806E030F05FE2F410074A640EF610341005EBF1B44FE2F41002021D729620341008C43C94FFE2F41004892B7FE6103410041233C7EFE2F410066C9D308620341803EE11C99FE2F4100D2AD699D61034180DE0A21E1FE2F4100D496078A61034180ECD29AE7FE2F410012007344620341805C72FFE0FE2F410034E4BC6A62034180135003DCFE2F410042336CE26203410006D059EEFE2F41002E0F669963034100647883F0FE2F4100F6046E62640341005098E8EDFE2F4100549091E564034100D73660CAFE2F4100CC371FD065034100A97E6DB6FE2F410082A8C54C67034180BF7E41A1FE2F4100449FF4D567034100FA62728EFE2F4100E6B945586903418005FABB70FE2F4100C046092C69034100C935835CFE2F41000E29285B690341801AB6F9C7FD2F4100E4259C2A66034180BFE713DDFD2F41002A63EB8566034100CAFF75E8FD2F4100C80D71DD660341005D11EAF1FD2F410042840738670341009176DF1CFE2F4100F0614B3367034180D117B23BFE2F4100406D1EB966034100F73F9D56FE2F4100E83C4AAE65034100CD37845CFE2F41001026340A650341009728A75AFE2F4100DE2E88B264034100BE9CB76AFE2F4100FEDCFF17640341806181ADA1FE2F41009CA64EC5620341809397E187FE2F4100CEC406AC62034100F20BC681FE2F4100F037BC6C620341803FC55E45FE2F4100342F0E7C62034100D26A9A29FE2F41000A62DAF86203410030ECDA26FE2F4100B81FC2816303418054A1B747FE2F410024CE47BC63034100F437D846FE2F410000C299E56303418095C0B035FE2F41003CA9662264034100884BE13BFE2F4100D8835868640341000B33A929FE2F41006AD4D89164034180BA53BA35FE2F410046C080026503418052C27028FE2F41009E7D64506503410072B22717FE2F4100F0AE7A2A65034100473F97FFFD2F4100028C6E7C65034180E2AE8DEAFD2F4100CE062840650341806F3363CAFD2F41002A9A4B86650341801AB6F9C7FD2F4100E4259C2A660341020000000200000000003E00000001000000FFFFFFFF0000000003"
"Inwood Hill Park","M042","2010 Spring","0.134","Drawing","0xD708000001041000000080AE354E20AA2E41007EC9F579580F418063C8ED2DAA2E410026EFE822590F4100F142AA21AA2E4100EC6D5A95590F41806B59F40FAA2E41008A22E6FC590F41000134B5F4A92E410002658D595A0F4100F10848D1A92E41006C8ACC745A0F4180CD4E68A8A92E41007A56D9385A0F418092A71289A92E410004C032DC590F4180204DCF7CA92E4100665FA674590F4180204DCF7CA92E4100E4E78E12590F41006329298DA92E41003CC29B69580F41806E2795B0A92E410018FF5BE1570F410063638BDDA92E410042B4DDAA570F41006F8CF700AA2E410086BB37BB570F4100B2685111AA2E410076432AF7570F4180AE354E20AA2E41007EC9F579580F4101000000020000000001000000FFFFFFFF0000000003"
"Alley Pond Park","Q001","2009 Fall","0.724","GPS","0xD708000001044A000000C0E5D3225413304100E0010AF0930A41803A1B5153133041007852B3FF930A41004CAECF4E13304100D209955C940A41C00A126147133041007202C2B8940A41C01351153E1330410016CE820F950A41C056789D3113304100143A3C44950A4100D0BD542513304100C6511B24950A41005A32CE1813304100202A071F950A41401324D10F133041001E300910950A41402747A2091330410058FAEADC940A41406412120213304100B2C57AD4940A41003DB477F812304100E63834D2940A4100BA2C93EC12304100AA18A3C2940A4140F58775E31230410058B8F1AF940A41806AB897D81230410014AE41AC940A41C00B4452CF1230410026F8E8CE940A41401A4AFFC41230410094F367E2940A41402C8531BB12304100BCAE4922950A4180128872B412304100FA8E6642950A41C0FC7A80A71230410078953F49950A41802A1EFC9D123041006823DE6B950A4140632D8395123041005C9B729C950A418062B6D18B12304100EC6AAC69950A41C07C47EF8612304100867F0833950A418098489A831230410042D1ABDD940A4140CEDC837B1230410072661DA5940A4100D4266870123041000AE32E84940A4180FC135E661230410062BAC25D940A41C0210EA55A123041006A8AAA5A940A4140E24BE35012304100BAF05D5E940A4180FBBB7A4712304100FC197038940A41406856FC38123041007CDFA733940A4140B824782E123041008C8BFAFF930A41002ECFCC251230410026F755B2930A41801921F51B12304100B2EC4B68930A41405015590F12304100C25B5752930A41C0CBD9EF0212304100FC6A883F930A4140BDF0EFF711304100281A0818930A4100A4590EED113041008C91C1F5920A4180D824BEE5113041005A9E19BD920A41C057A9E0E91130410024187B5F920A4100D20EBEE911304100704AB8F9910A4140DCBEC0E91130410084BB15A1910A418068ECF7EF11304100CC550851910A41C0AC1477F5113041001CA3D403910A4140DB40D8FB11304100D6B0D6B9900A41C099BBA00212304100ECFB7778900A41C07188920D12304100625F7F7D900A4180994BAA1A123041006015DC97900A41C00B913828123041009890C6B9900A4100D88F8336123041004A79E7D6900A4180034429451230410024F1A4EE900A41C00B57DE521230410022F5A80D910A41C09D4AAE5F1230410006AF322E910A4180B194C96D123041005460B852910A4100328E7C7B1230410060756E60910A41007BD761851230410000229C7F910A4180A9171892123041004AF68799910A4140CDD82E9F123041001083A5B5910A41C0B2081DAD1230410084ED5CD7910A4140427D0DBA12304100B4F964F5910A41C0256ED1C6123041007AA03A18920A4140CC52AFD412304100DCF59136920A4180F5C72AE2123041002E2C0451920A418062155DF01230410018961181920A4100A684B5FC123041002A85B59B920A4140B688D80B13304100845BA3C4920A41C0EDC40C1813304100BC5BD0E6920A414003924926133041002C00FA06930A41C054B5C6321330410090A3F829930A418015C1A23F133041006411874B930A41C0FC08D2491330410060CE9382930A41C09309B354133041008837CA9E930A41C0E5D3225413304100E0010AF0930A4101000000020000000001000000FFFFFFFF0000000003"
"Alley Pond Park","Q001","2009 Fall","0.627","GPS","0xD7080000010454000000006D94880923304100E06954DAB80941408000540A23304100144FF2E3B809410007BADB0E2330410048A2F1E9B8094180B3A3461A233041004857A0D8B80941C0ABB3992023304100885E50F3B8094100AA69952B2330410064725C14B9094100816C8C2F23304100C6770E5CB9094140A40B5C3023304100C82ABF78B90941C097B5902B233041008C60DDABB9094100DC74502D23304100F068E5E6B909410055CF1D2F23304100125B393CBA094180138BFB2C23304100F26D1E9DBA09418025D8612923304100365DC6F3BA0941C0C5BFAA2523304100C267FD60BB094180B3A407222330410022D8BAB1BB094180DCA1101E2330410096DF6E08BC09414017BEFE1D23304100F0EAF95ABC094100E4E9091D2330410068874C9EBC0941406F265D172330410072F76339BD094140E98D5B17233041004266F690BD094100FB1EB91223304100DE27DEFBBD0941408337FA0A233041001E853D59BE0941403FCB8306233041000803019FBE0941C010489702233041008031F2E5BE09410061E670FF223041003219C35CBF0941C028056B002330410014995B8EBF094140DD75C301233041004CFE91C8BF0941C088D869FD223041003846E72EC009410000F34BF622304100C6EFC298C00941C02EE5CEE922304100022E8FBEC00941407A73B5E0223041003E120608C109414044A92FD62230410030339B4FC1094180925D49CF22304100A0FF0596C1094140BC554FC3223041006A12BED3C109410008D0E0B3223041006EE6FFF9C1094100AE6ACDA822304100F24F0D2DC2094180EBEF24A222304100A2FBE667C20941C06823E99E2230410022E40BC4C2094100FBEF6E97223041007448C1F5C20941000722D28F22304100E68A37F1C2094180D901428F223041006EB94784C20941805982229322304100E6C6493CC2094140ACAFEE9522304100F8BE453BC209418092D918942230410036631515C20941C083046E8F22304100B2E955EBC1094140E2FFE08E22304100367DC5A0C109414009A1B18F223041001E744099C10941C0DA0C528D223041004A301C75C10941C0A12F8E8E22304100AE8D1D4CC1094100B946CF91223041006A5A7EF6C009418072D88D9722304100701D60FAC0094100882977A32230410056728AF8C0094100B483AFAC22304100928D69BDC00941C099491DAF22304100085A2074C00941800164B5B22230410022295607C0094180D45277B022304100A443879EBF0941C0FB7854A722304100D241FE21BF09414015E7CA9D22304100F6D9480BBF0941C01202AD92223041009EA3AD0ABF09414063237285223041007E4E56EABE0941C0AE489978223041006E9AFBDFBE0941C0FFE16F6D22304100CC4779A7BE0941404C3A516B22304100F2DA1146BE09414099E41B6E22304100F0C72CE6BD094100F34A8F71223041002EC54F85BD0941402112737422304100264D3827BD0941004EE29B7F223041008455B9F6BC0941C071E7A98B22304100DC3FABC4BC0941C0ACD2959A223041003A9D83B5BC0941C0998C53A62230410012E6A594BC094180A29BC6B322304100C0B68D8CBC09410057CB09BE22304100F6723C44BC0941C0D5FE03C52230410008768EF9BB0941804A6B25CD223041008276DEA3BB094140BEB9A2D822304100CCA07185BB0941805F7F3BE2223041001A079E1DBB094100BB6770ED223041001E413902BB094180ADC35EF322304100A0F05E90BA0941C0A1E444F822304100508BFB32BA094180A591DBFA2230410096F700D6B909414053302BFF2230410012D49269B9094140D3B00B0323304100061EDC07B909418003B5F806233041001411FDD5B80941006D94880923304100E06954DAB8094101000000020000000001000000FFFFFFFF0000000003"
"Alley Pond Park","Q001","2009 Fall","0.442","GPS","0xD708000001047B00000000506381CC22304100BAC809B7CD094100139971CC22304100025550BDCD094100AA85FDD022304100F4273E00CE0941405C220CD5223041004A053250CE0941C005C39CD9223041003287F9B4CE094180068FB8E0223041007AE3D3CCCE094100C8A7C5EB223041005C181BEDCE0941C08F961DF422304100F6136DDBCE094140F0BB05F622304100760E4200CF094140A87477F622304100FA80A717CF094180575FECEF22304100284D1260CF0941C07D232EEB2230410052E839A8CF094180D0E89AE2223041009CE26816D0094180BF9410DE22304100BC79B963D0094180FE2257D52230410056D7686CD00941004083C6C9223041009CD4BC6CD009418056668CBA22304100B0FAA578D00941C091C22FB9223041001E27E120D0094180C81F53B022304100804D9D06D009418075367EAC2230410044CDD7B3CF0941C00ED1CAA122304100E4DF5E91CF0941C0BADB2498223041006E0FA4BBCF0941C0244F138F2230410048820D0ED00941006993DF8622304100582A6436D0094140BA93547F22304100782F1680D0094100A5E9BE75223041009A140ED2D0094140C29F4E6B22304100E4139105D10941C0F55DCD6522304100AC8EFE58D1094100B1275C5A22304100AA885272D10941800E169E5B22304100DE6FF6C8D10941C05C625849223041009496B6E9D10941C06AD4A64A2230410072F2671ED209418023DC1F48223041000E019F6CD2094140F156324422304100A8E596C2D20941C07B447E41223041004EFFFE1DD30941C00B0BF7432230410090FB5882D309410091FF864922304100E85D39C8D309414012484154223041008EEDACD8D309410001C63557223041001C6193F7D3094140AA54925522304100C2224E3ED409418005F4964F22304100BA850599D4094180DAB8C34A2230410024AF48D3D4094140C6EBBC4622304100143A9102D50941006247BF3A22304100BE004A04D50941007093842F22304100DAD90C13D50941802541B027223041006AC4337ED50941802D7333202230410088E245ADD50941802508320D22304100A8E3F3D7D50941C098757D0322304100C4D26ACED50941803610AAF821304100AC7892C4D509410066E1DCF12130410038B081A7D5094100E2B586EB2130410070D5BC86D50941805A84EDE4213041001AE3C27AD5094140A517D7E321304100C8821168D5094140D49681E721304100BA69AD45D5094100812AC1ED213041001E9F6DF6D40941006E39E9F621304100DCDDB2ACD4094100264665FC2130410076111B42D4094100C242E4062230410004F0AEE4D3094140FECF2010223041007CAFB38DD3094180BD694E1B22304100BE422345D30941C0BE9AE72522304100D89A9FF7D20941C0A7653830223041008883E39ED20941C0D13E7039223041004A64794FD2094180D76DC84322304100CA714EE3D10941C0D5BC254B2230410056E20199D10941C0A5310B5122304100B6CCC642D10941C0A168275C22304100268EF6E1D00941C0A1D0866722304100EAA97F98D00941001C48986D223041008856264CD00941001697157522304100FCEAE9E5CF0941004D6ECC7D22304100566724ADCF0941C0F9AA8086223041009C2BD764CF0941C0D8497B8E22304100D8D1FA1ACF094100C3C8509922304100C884A7FACE0941400570CF9E22304100A0D21D9FCE0941C085552DA6223041000E035D66CE0941C03A94C2AE22304100C2138C29CE0941C0EEC6E7C02230410042BEB3FCCD094180C802A6C522304100AE93EFBBCD09414065F800C822304100EC3469A2CD0941C0073048D3223041007C82AEE7CC0941C08C68CFD722304100DAA6E58FCC094140CFB8C2DF22304100F6EE5941CC094180339F96EA22304100F4787116CC0941C0EC88A1F522304100085607E3CB0941C019441502233041003A236CC7CB0941806AF201052330410036AF816ECB09418013EA1D07233041005265571CCB0941009598B50D233041006A32E5E7CA0941809822A50B233041005ECAD58ACA0941400018750A23304100A4677438CA094140B76E4B0F233041001ED3CFEBC909418042D1271623304100A839D39BC90941C0978F071F2330410026681053C9094140EA7DDF2A2330410096BFE214C90941C00BD3AA3623304100CC4E7BD1C80941804F40E24223304100CABD8AF9C80941408D3E0C462330410010E7233FC90941805A7A2A4B23304100BAEFD56DC90941803D49A74B2330410084942CAFC909414016242A4D23304100344760FCC90941C08A17794B233041005AAB4253CA094140CB154D4423304100B0DF358CCA094140C1A65F3B233041009A5FF7A3CA09410080B58636233041009C278BF2CA094180EAA1473723304100620A5851CB0941C0C8859936233041006AF37CA9CB094140B15DE5342330410090B864F9CB094100DBE4333923304100EA103F2FCC0941C0897C5F3523304100FE8ED54FCC09410039A9AA2D233041001A405738CC094140B809652523304100F0811F05CC0941009A217B1D23304100761AEBFACB0941C0D33A510B23304100F07F2133CC094100E7E731032330410072D9F503CC0941C0F8665BF8223041008484A21FCC094100E302DEED2230410054E92E67CC0941807A1C2AE32230410026A264A4CC094140EFB94DDC223041001A5B44D6CC0941C028FBCDD62230410034F4690FCD0941C0ECC19BD22230410084C32A4ACD094100506381CC22304100BAC809B7CD094101000000020000000001000000FFFFFFFF0000000003"
"Conduit Boulevard","DOTQ","2008 Spring","0.004","Drawing","0xD708000001040800000000D15CDE9C352F4100B018670595064180B5F2D4AB352F41008041FC1095064180E323D8AA352F4100027AC64395064100134854A1352F4100787D2071950641808F4A7F93352F41006C4B5C6995064100C39F3E8A352F410052B9904295064180937BC293352F4100DCB5361595064100D15CDE9C352F4100B018670595064101000000020000000001000000FFFFFFFF0000000003"
"Conduit Boulevard","DOTQ","2008 Spring","0.005","Drawing","0xD70800000104090000008091B6D20F362F4100C04AB2789506418059B6FE25362F410084FD8B7D950641806284FB2C362F410026AAB99C950641003FE52B2C362F4100EC3ADBD7950641001C459B23362F4100D0D4AA0096064100BECAF219362F410022B971F795064100A426E010362F41005A2F00D9950641009A8FA90A362F4100D810EEAC9506418091B6D20F362F4100C04AB27895064101000000020000000001000000FFFFFFFF0000000003"
"Conduit Boulevard","DOTQ","2008 Spring","0.004","Drawing","0xD7080000010409000000007679918A362F41009E3C06D095064180C155AB9A362F4100225468DF9506410019E6B3A0362F410052BE1F0396064180326AA09D362F41009EBDA23696064180A68FB294362F41000C07C94E960641002E47B889362F4100549C67399606418072478D82362F41007043E3119606418067861784362F4100CCC321F8950641007679918A362F41009E3C06D095064101000000020000000001000000FFFFFFFF0000000003"
"Conduit Boulevard","DOTQ","2008 Spring","0.017","Drawing","0xD708000001040D00000080FD1CC3B2192F41006024C396D2064100532FD0EE192F4100E80CD6DDD10641808D90D7041A2F410076EC17ACD1064100A709EA0D1A2F41004AD28CCAD1064180048F6C0B1A2F410082BBD8E8D10641805F0150051A2F410024939D21D20641806CB03BF3192F410092E4CB77D20641008DF11ADF192F4100E6DD75A0D20641002C706ECD192F4100FAC015D9D206418047DB38C6192F41000637D1DFD2064100E74DF1B8192F4100C4B511F1D2064180CDD4DEAF192F4100FED7A0D2D2064180FD1CC3B2192F41006024C396D2064101000000020000000001000000FFFFFFFF0000000003"
"Alley Pond Park","Q001","2009 Fall","0.361","GPS","0xD7080000010477000000C0B3D1AA681F304100C287D4C9ED09410028C71A671F3041003E5166EEED09414022EEED611F3041003CB71D32EE09418016643E641F304100EA260031EE094100FBA3A85E1F3041002669D075EE094180A830C45C1F3041003C86619DEE094140D01089541F30410056B47BCDEE094100F57671541F30410062893EFBEE0941C02B7ECA551F3041006C0B065FEF0941C06298B7551F304100D2B4B068EF0941C0869AE3591F304100E0FF5BC1EF094140881F265A1F304100E2930012F00941808D1782591F304100A86F735EF009414009AB165C1F3041003A488C7BF00941C005BA885A1F3041006486B2E9F00941003C6FF8561F304100029F993DF1094140A5804B521F304100FA85667CF10941806ACC5B4E1F304100F0CD8EBEF10941C0B211C94D1F30410034B0DA11F20941C0BD8E474D1F3041007477974CF20941C042DA62501F30410076F78587F20941805576D0491F3041007E9503C4F2094180546AFF431F304100006A1C00F30941808D336E3C1F30410000111F45F3094100461840351F304100E26FA55DF3094100B501FF2D1F304100E0E3084BF30941C003B4F7261F304100A05E453DF30941C0AE48611B1F304100A6EDE138F3094100E879CE0F1F30410096B61F76F3094180CDC448081F304100DCAA1B92F309414069204BFC1E304100903B3990F30941405FD5C5FF1E304100C83A311BF30941C0F2D0C3021F3041003ACEA40EF3094140AE0091021F30410060579522F3094140F843130C1F304100182E52E7F2094180FE195E091F304100F86C9F17F3094100FDA8700F1F304100D852E711F3094100AD2F5F171F304100945B3FF8F20941007AAEB3131F304100CA2F7DDFF20941C0B50615121F304100002A21A5F20941C06F06A9FF1E3041001E2E9E57F20941C0A08208151F3041006E7ABCDEF1094140A580C7141F3041002A356DC0F10941C0DAE5CF1B1F304100A22363ACF1094180418C981D1F304100608C1260F10941C0207D1B1B1F304100C464D136F1094180C1B64D1C1F304100F60E2630F1094180E338D9181F304100C2D43005F1094100DE1C761C1F304100B42126A1F00941C0121F22201F304100462CA97EF00941405B8957241F304100E045590DF00941400ECB371B1F30410024F101EAEF094180C66EF41C1F304100EE3476BCEF0941C089A2C31C1F3041007E5BAF72EF0941400A32F61E1F304100ACFC241CEF0941001A013E231F304100F67DB7E6EE0941801B2FF5251F304100506E559BEE0941C0683F9D241F30410070E4B659EE09414046032A271F304100DA755124EE0941C0B3BFF2241F304100A0787AF5ED09418043888C271F304100CA425885ED094100E58DDA2F1F304100DAC0673AED0941C06CFF28351F304100C2CF94ECEC0941C04C5308361F304100A63AC9DCEC0941004E84A1401F30410036C2078CEC0941000A3EB4481F30410098F321A3EC09410014042D4F1F304100DA4BCFB5EC094100CF0579561F30410086487587EC0941C0FD73B05B1F304100DA122E6DEC0941C0493833651F30410098B67C3BEC094180C2A6556D1F30410056441722EC0941C0E783EF761F304100E4C9AD09EC0941806E3E38831F3041000E15D2F5EB094140166F3B861F3041004CB4A314EC09410060A14A911F3041002EDE8C03EC094180A083D1971F30410074B5241BEC094180A430689A1F304100129B6C17EC0941806765F8A11F30410052C6843EEC094140A05611A71F30410044E2BD45EC094100825C54A81F3041008EFAA05EEC0941C0D4474AAC1F304100D870DD72EC0941806F7ACEAF1F30410046C4099BEC094140FCF82DB31F304100920182DCEC094100BEA9DBB21F304100CA256D15ED094180DE0FE4B21F304100FC09BB78ED09414027CD62B41F30410038E82FD1ED09410055C609B01F3041000A406015EE094140665BA9AB1F304100FEFC4366EE09410098BDEFAA1F304100BC24858EEE094180FD33E0A91F30410010373992EE094100CF19B3A91F30410034348D93EE094180853BAEA31F304100D871AB8AEE094180246D519F1F3041008AD7316FEE09410079F8769D1F3041000CC6FA36EE0941809A27B99C1F304100B885031CEE094180398ABF981F304100F24C8FF5ED094180B909DF941F304100DE5A95E7ED094140943E79911F304100A8E556ACED0941802F061D911F3041001AE6D37AED09414021A9838E1F30410084B56353ED09414057B63F901F3041000CCCC12CED09410014F11C8E1F304100AAF2542AED094140B34628961F30410096D26D0FED094180C498919A1F3041000CA27AB9EC0941C0B2BCE28D1F304100409474C6EC0941C03F6802821F304100D005FF8DEC09410072DBBB7F1F304100442B1185EC0941C07EB4727A1F3041006E293C98EC0941C0A3C20E751F304100063746CAEC0941806C980E6F1F304100A0C83ADBEC0941C080FB94671F3041003A68E310ED094180CCF019621F30410064D9C3E5EC094180BCFFEB601F3041003CE72320ED0941809D1C05611F304100A86B6A62ED0941400EDEB0661F304100408ACC3BED094100785481651F3041000CBA1164ED0941809716186B1F3041002EB81391ED0941C0A90CF3691F304100B08BD4ABED0941C0B3D1AA681F304100C287D4C9ED094101000000020000000001000000FFFFFFFF0000000003"
"Sailors Snug Harbor","R116","2009 Fall","0.038","Drawing","0xD7080000010424000000804A447308252D4100A081F5B20F054180E5DD950F252D4100102B73980F054100F259EA20252D4100DAF72D8A0F0541801AC23430252D4100341411840F05410035348440252D4100C60F3A8C0F0541800B7D9343252D4100FC427F9A0F0541800B7D9343252D41008C9901B50F054100D0CDA647252D4100C2CC46C30F054180B40CB149252D410030D877CD0F0541008259424D252D4100B026F6E70F05418046AA5551252D4100646D7000100541001DF36454252D4100CE2E542F100541802ABE5F53252D41004E7DD2491005418033BADD52252D4100820B716A10054100666D4C4F252D41006E2AD77E10054180AB10334A252D4100EE78559910054180E6941F46252D4100489C92A510054100104C1043252D410046F7EBB710054100104C1043252D4100EA3562D01005418067E7F23C252D4100FC78AFE010054180B55B5737252D41008E74D8E81005418023BEB22F252D41008E74D8E810054180BFA67B24252D41008E74D8E810054100094C631F252D4100EA3CBCE2100541006EB24018252D4100584193DA10054100CA1CA011252D4100B4021DC210054100218D820B252D41005ADFDFB51005418077FD6405252D41005C8486A310054180CA6B46FF242D41005C7D2C911005410047C49CF6242D410038F79170100541006B8110F4242D410084B01758100541006B8110F4242D410074127135100541006B8110F4242D41003ED8D114100541003EC81EF7242D41002E33D1DF0F054180A6AED201252D41007AEC56C70F0541804A447308252D4100A081F5B20F054101000000020000000001000000FFFFFFFF0000000003"
