"dbn","location_name","location_category","administrative_district","_0k_removals","_0k_principal","_0k_superintendent","_0k_expulsions","_01_removals","_01_principal","_01_superintendent","_01_expulsions","_02_removals","_02_principal","_02_superintendent","_02_expulsions","_03_removals","_03_principal","_03_superintendent","_03_expulsions","_04_removals","_04_principal","_04_superintendent","_04_expulsions","_05_removals","_05_principal","_05_superintendent","_05_expulsions","_06_removals","_06_principal","_06_superintendent","_06_expulsions","_07_removals","_07_principal","_07_superintendent","_07_expulsions","_08_removals","_08_principal","_08_superintendent","_08_expulsions","_09_removals","_09_principal","_09_superintendent","_09_expulsions","_10_removals","_10_principal","_10_superintendent","_10_expulsions","_11_removals","_11_principal","_11_superintendent","_11_expulsions","_12_removals","_12_principal","_12_superintendent","_12_expulsions"
"03M258","Community Action School - MS 258","Junior High-Intermediate-Middle","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","13","10","*","*","*","15","7","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"03M291","West End Secondary School","Secondary School","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"03M299","High School for Arts, Imagination and Inquiry","High school","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","26","8","*","*","*","*","*","*","7","6","*","*","7","*","*"
"03M307","Urban Assembly School for Media Studies, The","High school","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","16","*","*","*","30","*","*","*","15","*","*","*","9","7","*"
"03M333","P.S. 333 Manhattan School for Children","K-8","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","9","*","*","*","10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"03M334","The Anderson School","K-8","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"03M402","The Urban Assembly School for Green Careers","High school","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","30","50","10","*","20","44","*","*","9","15","*","*","*","*","*","*"
"03M403","The Global Learning Collaborative","High school","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6","*","*"
"03M404","Innovation Diploma Plus","High school","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","10","*","*","*","*","*","*","*","7","*","*"
"03M415","Wadleigh Secondary School for the Performing & Vis","Secondary School","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6","*","*","*","*","*","*","*","6","*","*","*","10","*","*","*","*","*","*","*","*","*","*"
"03M417","Frank Mccourt High School","High school","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"03M421","West Prep Academy","Junior High-Intermediate-Middle","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","7","*","*","*","12","13","7","*","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"03M444","Home Schooling","Central-HQ-Citywide","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"03M452","P.S. 452","Elementary","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"03M479","Beacon High School","High school","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"03M485","Fiorello H. LaGuardia High School of Music & Art a","High school","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"03M492","High School for Law, Advocacy and Community Justic","High school","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","7","*","*","*","6","*","*","*","*","*","*","*","*","*","*"
"03M494","High School of Arts and Technology","High school","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","51","12","*","*","28","10","*","*","23","*","*","*","12","*","*"
"03M505","Edward A. Reynolds West Side High School","High school","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"03M541","Manhattan / Hunter Science High School","High school","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"03M859","Special Music School","K-12 all grades","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"03M860","Frederick Douglass Academy II Secondary School","Secondary School","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","11","*","*","*","*","*","*","*","10","*","*","*","33","13","*","*","30","12","*","*","25","*","*","*","10","*","*"
"03M862","Mott Hall II","Junior High-Intermediate-Middle","3","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M007","P.S. 007 Samuel Stern","K-8","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M012","Tag Young Scholars","K-8","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M037","River East Elementary","Elementary","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M038","P.S. 38 Roberto Clemente","Elementary","4","*","*","*","*","*","*","*","*","*","6","*","*","*","*","*","*","*","8","*","*","*","12","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M050","P.S. 050 Vito Marcantonio","K-8","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M057","James Weldon Johnson","K-8","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M072","The Lexington Academy","K-8","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M083","P.S. 083 Luis Munoz Rivera","Elementary","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M096","P.S. 096 Joseph Lanzetta","K-8","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6","*","*","*","7","*","*","*","*","6","*","*","12","12","7","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M102","P.S. 102 Jacques Cartier","Elementary","4","*","*","*","*","*","*","*","*","7","8","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M108","P.S. 108 Assemblyman Angelo Del Toro Educational C","K-8","4","*","*","*","*","*","*","*","*","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6","*","*","*","12","*","*","*","11","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M112","P.S. 112 Jose Celso Barbosa","Early Childhood","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M146","P.S. 146 Ann M. Short","Elementary","4","6","*","*","*","*","*","*","*","*","*","*","*","8","*","*","*","13","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M155","P.S. 155 William Paca","Elementary","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M171","P.S. 171 Patrick Henry","K-8","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","7","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M182","The Bilingual Bicultural School","Elementary","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","8","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M206","P.S. 206 Jose Celso Barbosa","K-8","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","11","*","*","*","*","*","*","*","*","11","*","*","6","13","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M224","M.S. 224 Manhattan East School for Arts & Academic","Junior High-Intermediate-Middle","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","7","*","*","*","*","*","*","*","12","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M372","Esperanza Preparatory Academy","Secondary School","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M375","Mosaic Preparatory Academy","Elementary","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M377","Renaissance School of the Arts","Junior High-Intermediate-Middle","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","7","*","*","9","22","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M381","Global Neighborhood Secondary School","Junior High-Intermediate-Middle","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M406","Global Technology Preparatory","Junior High-Intermediate-Middle","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M409","Coalition School for Social Change","High school","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","23","*","*","*","19","6","*","*","10","8","*","*","6","*","*"
"04M435","Manhattan Center for Science and Mathematics","High school","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","7","*","*","*","7","*","*","*","*","*","*","*","*","*","*"
"04M444","Home Schooling","Central-HQ-Citywide","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M495","Park East High School","High school","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M497","Central Park East I","Elementary","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M555","Central Park East High School","High school","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M610","Young Women's Leadership School","Secondary School","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M680","Heritage School, The","High school","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","35","*","*","*","43","*","*","*","12","*","*","*","*","*","*"
"04M825","Isaac Newton Middle School for Math & Science","Junior High-Intermediate-Middle","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","12","*","*","*","18","*","*","11","24","9","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"04M964","Central Park East II","K-8","4","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M030","P.S. 030 Hernandez/Hughes","Elementary","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M036","P.S. 036 Margaret Douglas","Elementary","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M046","P.S. 046 Arthur Tappan","K-8","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","7","*","*","*","*","*","*","*","*","*","*","*","*","*","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M092","P.S. 092 Mary McLeod Bethune","Elementary","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M123","P.S. 123 Mahalia Jackson","K-8","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M125","P.S. 125 Ralph Bunche","Elementary","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M129","P.S. 129 John H. Finley","K-8","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M133","P.S. 133 Fred R Moore","Elementary","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M148","Eagle Academy for Young Men of Harlem","Secondary School","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","7","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M154","P.S. 154 Harriet Tubman","Elementary","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M157","The Urban Assembly School for Global Commerce","High school","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","31","*","*","*","17","*","*","*","14","*","*","*","*","*","*"
"05M161","P.S. 161 Pedro Albizu Campos","K-8","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6","*","*","*","8","*","*","*","10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M175","P.S. 175 Henry H Garnet","Elementary","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M194","P.S. 194 Countee Cullen","Elementary","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","7","*","*","*","10","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M197","P.S. 197 John B. Russwurm","Elementary","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M200","P.S. 200- The James Mccune Smith School","Elementary","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M285","Harlem Renaissance High School","High school","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M286","I.S. M286 Renaissance Leadership Academy","Junior High-Intermediate-Middle","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M302","KAPPA IV","Junior High-Intermediate-Middle","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","9","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M304","Mott Hall High School","High school","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","13","*","*","*","6","*","*","*","*","*","*","*","*","*"
"05M318","Thurgood Marshall Academy Lower School","Elementary","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M362","Columbia Secondary School","Secondary School","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M367","Academy for Social Action","High school","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6","*","*","*","*","*","*","*","*","*","*"
"05M369","Urban Assembly School for the Performing Arts","High school","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","8","*","*","*","9","12","*","*","*","*","*","*","7","*","*"
"05M410","The Urban Assembly Institute for New Technologies","Junior High-Intermediate-Middle","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","7","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M444","Home Schooling","Central-HQ-Citywide","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M469","Choir Academy of Harlem","Secondary School","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M499","Frederick Douglass Academy","Secondary School","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","8","*","*","*","11","*","*","*","8","*","*","*","*","*"
"05M514","New Design Middle School","Junior High-Intermediate-Middle","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M517","Teachers College Community School","Elementary","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M670","Thurgood Marshall Academy for Learning and Social","Secondary School","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","8","*","*","*","*","*","*","*","8","*","*","*","7","*","*","*","7","*","*","*","18","*","*"
"05M685","Bread & Roses Integrated Arts High School","High school","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"05M692","High School for Mathematics, Science and Engineeri","High school","5","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","10","*","*","*","14","*","*","*","10","*","*","*","7","*","*"
"06M004","P.S. 004 Duke Ellington","Elementary","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","8","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"06M005","P.S. 005 Ellen Lurie","Elementary","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"06M008","P.S. 008 Luis Belliard","Elementary","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6","*","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"06M018","P.S. 018 Park Terrace","K-8","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"06M028","P.S. 028 Wright Brothers","Elementary","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"06M048","P.S. 048 P.O. Michael J. Buczek","Elementary","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","8","*","*","*","18","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"06M052","J.H.S. 052 Inwood","Junior High-Intermediate-Middle","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"06M098","P.S. 098 Shorac Kappock","Elementary","6","*","*","*","*","*","*","*","*","17","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"06M103","Dos Puentes Elementary School","Elementary","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"06M115","P.S. 115 Alexander Humboldt","Elementary","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"06M128","P.S. 128 Audubon","Elementary","6","*","*","*","*","9","*","*","*","*","*","*","*","9","*","*","*","14","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"06M132","P.S. 132 Juan Pablo Duarte","Elementary","6","*","*","*","*","*","*","*","*","*","*","*","*","8","*","*","*","8","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"06M143","J.H.S. 143 Eleanor Roosevelt","Junior High-Intermediate-Middle","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","21","*","*","*","15","*","*","*","19","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
