"status","date","start_time","end_time","type","event","borough","event_location","event_address","actual_participants","postcode","latitude","longitude","community_board","council_district","bin","bbl","census_tract","nta"
"Completed (59)","2016-05-13T00:00:00.000","08:00 AM","03:00 PM","RNY Fair (FAIR)","Concepts in Care Conference","Manhattan","NY Hilton Midtown","1335 Avenue of the Americas","150","10019","40.762218","-73.978742","105","4","1023163","1010067502","131","MN0502"
"Completed (59)","2016-05-13T00:00:00.000","09:00 AM","12:00 PM","RNY Fair (FAIR)","IS 73 Law Day","Queens","Is 73Q","70-02 54th Ave,","50","11378","40.729215","-73.893624","405","30","4058611","4025030031","49302","QN0501"
"Completed (59)","2016-05-14T00:00:00.000","11:00 AM","03:00 PM","RNY Fair (FAIR)","Joy (in) Wellness Extravaganza Too","Manhattan","Lower East Side Family Union","130 E 101 St","150","10029","40.789308","-73.949225","111","8","1051816","1016280060","166","MN1101"
"Completed (59)","2016-05-14T00:00:00.000","09:00 AM","01:00 PM","RNY Fair (FAIR)","Ready New York Fair","Bronx","Bronx Writing Academy","270 E 167th St","150","10456","40.833131","-73.914027","204","16","2002410","2024380050","175","BX0401"
"Completed (59)","2016-05-14T00:00:00.000","10:00 AM","02:00 PM","RNY Fair (FAIR)","Bronx Family Fun Day","Bronx","P188X@ The Mott Haven Campus","730 Concourse Village West","175","10451","40.82231","-73.923829","204","16","2103486","2024430078","61","BX0401"
"Completed (59)","2016-05-15T00:00:00.000","11:00 AM","04:00 PM","RNY Fair (FAIR)","Romania Day Festival","Manhattan","Financial District","Liberty Street to Battery Park / Bowling Green Plaza","200",,,,,,,,,
"Completed (59)","2016-05-16T00:00:00.000","01:00 PM","02:00 PM","RNY General Presentation (GEN)","RNY ESOL Presentation","Queens","YMCA Flushing","138-46 Northern Blvd","30","11354","40.764119","-73.827142","407","20","4113292","4050100038","865","QN0707"
"Completed (59)","2016-05-16T00:00:00.000","02:30 PM","04:30 PM","RNY Fair/Presentation (FP)","Citizen Preparedness Training","Brooklyn","PS 345","111 Berriman St","120","11208","40.676129","-73.880337","305","37","3088734","3039900001","1192","BK0502"
"Completed (59)","2016-05-17T00:00:00.000","11:00 AM","12:59 PM","RNY General Presentation (GEN)","BB Independence Tower Senior Center","Brooklyn","BB Independence Tower Senior Center","114 Taylor Street","6","11249","40.705508","-73.963702","301","34","3059905","3021760001","545","BK0103"
"Completed (59)","2016-05-17T00:00:00.000","01:00 PM","02:30 PM","RNY for Kids (KIDS)","Tween Preparedness","Bronx","Jonas Bronck Academy","400 E Fordham Road","90","10458","40.8609","-73.891931","206","15","2116415","2030337501","38304","BX0603"
"Completed (59)","2016-05-17T00:00:00.000","11:30 AM","02:30 PM","RNY Fair/Presentation (FP)","Brooklyn Adult Learning Center ESOL Information Session","Brooklyn","Brooklyn Adult Learning Center","475 Nostrand Ave,","85","11216","40.681233","-73.949737","303","36","3053020","3018440001","249","BK0301"
"Completed (59)","2016-05-18T00:00:00.000","09:30 AM","10:15 AM","RNY for Kids (KIDS)","Youth Preparedness","Brooklyn","PS 167","1025 Eastern Parkway","58","11213","40.669001","-73.934635","308","35","3037303","3013890035","35301","BK0802"
"Completed (59)","2016-05-18T00:00:00.000","09:00 AM","12:00 PM","RNY for Kids (KIDS)","Youth Preparedness","Manhattan","PS 4","500 W. 160th St.","685","10032","40.834899","-73.941085","112","10","1062792","1021180022","245","MN1201"
"Completed (59)","2016-05-18T00:00:00.000","06:00 PM","08:00 PM","RNY Fair (FAIR)","2nd Annual Multi-Agency Town Hall Meeting","Brooklyn","John Dewey High school","50 Avenue X","100","11223","40.589268","-73.981738","313","47","3194998","3071850020","308","BK1301"
"Completed (59)","2016-05-19T00:00:00.000","10:00 AM","01:00 PM","RNY General Presentation (GEN)","Ready Girl Comic Book Launch","Brooklyn","Camp Friendship","337 8th Avenue","60","11215","40.669124","-73.976396","306","39",,,"165","BK0602"
"Completed (59)","2016-05-19T00:00:00.000","09:15 AM","10:00 AM","RNY for Kids (KIDS)","Youth Preparedness","Brooklyn","PS 205","6701 20th Ave","150","11204","40.61527","-73.987149","311","43","3134749","3055710001","256","BK1101"
"Completed (59)","2016-05-19T00:00:00.000","10:00 AM","12:00 PM","RNY for Kids (KIDS)","Youth Preparedness","Manhattan","P.S. 140","123 Ridge St","100","10002","40.71925","-73.983056","103","1","1004091","1003440001","2201","MN0302"
"Completed (59)","2016-05-19T00:00:00.000","05:00 PM","07:00 PM","RNY Fair (FAIR)","Science Family Fun Night","Staten Island","I.S. 24","225 Cleveland Avenue","100","10308","40.545281","-74.14632","503","51","5065854","5051530108","13203","SI0302"
"Completed (59)","2016-05-19T00:00:00.000","03:00 PM","07:00 PM","RNY Fair (FAIR)","Central Queens Library ALC Partnership Fair","Queens","Central Queens Library","89-11 Merrick Rd","60",,,,,,,,,
"Completed (59)","2016-05-20T00:00:00.000","11:00 AM","12:59 PM","RNY General Presentation (GEN)","Summer Storms","Brooklyn","Homecrest Bensonhurst Senior Center","7907 New Utrecht Avenue","50","11214","40.612279","-74.000933","311","43","3162717","3062720007","276","BK1101"
"Completed (59)","2016-05-20T00:00:00.000","10:00 AM","11:00 AM","RNY General Presentation (GEN)","Americorps in Service Training 3: Diaster Preparedness","Queens","Parker Jewish Institute","271-11 76th Ave","20","11040","40.754094","-73.705976","413","23","4173982","4085200175","155104","QN1301"
"Completed (59)","2016-05-20T00:00:00.000","09:00 AM","12:30 PM","RNY for Kids (KIDS)","Ready Girl","Bronx","PS 23","2151 Washington Avenue","300","10457","40.85294","-73.894742","206","15","2090472","2030370079","395","BX0602"
"Completed (59)","2016-05-21T00:00:00.000","01:00 PM","02:00 PM","RNY General Presentation (GEN)","Americorps in Service Training 3: Diaster Preparedness","Queens","Parker Jewish Institute","271-11 76th Ave","20","11040","40.754094","-73.705976","413","23","4173982","4085200175","155104","QN1301"
"Completed (59)","2016-05-21T00:00:00.000","10:30 AM","11:30 AM","RNY General Presentation (GEN)","Discussion/Presentation on Diaster Preparedness","Brooklyn","Floyd Bennett American Legion Post","5601 Ave N (Ave N & E 56st)","5","11234","40.619325","-73.920959","318","46","3220323","3078810003","690","BK1801"
"Completed (59)","2016-05-21T00:00:00.000","10:00 AM","01:00 PM","RNY Fair/Presentation (FP)","Child's Month","Brooklyn","Good Hope Missionary Church","571 Liberty Avenue","50","11207","40.675572","-73.888674","305","37","3088302","3039640031","1198","BK0502"
"Completed (59)","2016-05-21T00:00:00.000","11:30 AM","04:30 PM","RNY Fair (FAIR)","Health and Education Resource Fair","Queens","IS 59","132-55 Ridgedale Street","65","11413","40.68173","-73.753429","412","27","4274083","4127230076","352","QN1205"
"Completed (59)","2016-05-21T00:00:00.000","09:00 AM","02:00 PM","RNY Fair (FAIR)","Family Resource Day","Staten Island","Port Richmond High School","85 St. Josephs Ave","100","10302","40.634573","-74.141818","501","49","5026076","5011210001","213","SI0106"
"Completed (59)","2016-05-22T00:00:00.000","11:00 AM","04:00 PM","RNY Fair (FAIR)","Ride Into Summer Street Fair","Brooklyn","JCC of Marine Park","3415 Quentin Rd","600","11234","40.613824","-73.938082","318","46","3212283","3077070001","646","BK1802"
"Completed (59)","2016-05-23T00:00:00.000","09:00 AM","10:45 AM","RNY for Kids (KIDS)","Youth Preparedness","Manhattan","PS 189","2580 Amsterdam Avenue","570","10040","40.852631","-73.927604","112","10","1076750","1021590051","277","MN1202"
"Completed (59)","2016-05-23T00:00:00.000","09:30 AM","02:00 PM","RNY Fair (FAIR)","Senior Fair","Manhattan","UJA Federation Fair","130 East 59 Street 7th Floor","250","10022","40.762367","-73.96854","105","4","1087267","1013137502","11203","MN0604"
"Completed (59)","2016-05-24T00:00:00.000","10:30 AM","11:59 PM","RNY General Presentation (GEN)","Summer Storm","Bronx","RAIN Boston Road Senior Center","2424 Boston Road","45","10467","40.861733","-73.866616","211","13","2093401","2044310001","330","BX1104"
"Completed (59)","2016-05-24T00:00:00.000","09:00 AM","10:00 AM","RNY General Presentation (GEN)","RNY ESOL Presentation","Manhattan","Northern Manhattan Head Start","531 W. 155th Street","6","10032","40.831997","-73.943975","112","10","1084190","1021140058","241","MN1201"
"Completed (59)","2016-05-24T00:00:00.000","06:30 PM","07:30 PM","RNY General Presentation (GEN)","RNY ESOL Presentation","Queens","Flushing YMCA","138-46 Northern Blvd","45","11354","40.764119","-73.827142","407","20","4113292","4050100038","865","QN0707"
"Completed (59)","2016-05-24T00:00:00.000","09:00 AM","09:45 AM","RNY for Kids (KIDS)","Pre-K Preparedness","Queens","Pre-K Center at St. Theresa's","50-15 44th Street","30","11377","40.737134","-73.92179","402","26","4437370","4022940026","187","QN0202"
"Completed (59)","2016-05-24T00:00:00.000","04:30 PM","06:00 PM","RNY for Kids (KIDS)","Ready Girl","Brooklyn","Tilden Cornerstone","630 Mother Gaston Blvd","25","11212","40.663471","-73.905278","316","41","3326549","3035760001","912","BK1602"
"Completed (59)","2016-05-24T00:00:00.000","06:00 PM","09:00 PM","RNY Fair (FAIR)","BINA Disability and Rehabilitation Expo","Brooklyn","BINA","780 McDonald Ave","100","11218","40.634842","-73.977914","312","39","3126941","3053940011","478","BK1202"
"Completed (59)","2016-05-24T00:00:00.000","08:00 AM","03:00 PM","RNY Fair (FAIR)","10th Annual Procurement Fair","Brooklyn","101 BNY Mellon","101 Barclay St","250",,,,,,,,,
"Completed (59)","2016-05-25T00:00:00.000","06:30 PM","07:30 PM","RNY General Presentation (GEN)","Monthly Meeting","Bronx","Melrose Houses","286 E 156","25",,,,,,,,,
"Completed (59)","2016-05-25T00:00:00.000","09:00 AM","10:00 AM","RNY for Kids (KIDS)","Ready Girl","Brooklyn","International School of Brooklyn","477 Court Street","22","11231","40.676658","-73.998634","306","39","3391215","3004720001","77","BK0601"
"Completed (59)","2016-05-25T00:00:00.000","10:00 AM","02:00 PM","RNY Fair (FAIR)","Pathways to Graduation Fair","Manhattan","Riverbank State Park","679 Riversid Drive","1200",,,,,,,,,
"Completed (59)","2016-05-25T00:00:00.000","05:30 PM","07:30 PM","NYCEM 101 (NYCEM)","EOC/IDHU Visit","Brooklyn","NYCEM Headquarters","165 Cadman Plaza East","24","11201","40.698761","-73.98987","302","33","3000172","3000850006","13","BK0202"
"Completed (59)","2016-05-26T00:00:00.000","12:30 PM","01:59 PM","RNY General Presentation (GEN)","Summer Storms","Brooklyn","Park Slope Center for Successfully Aging","463 7 Street","35","11215","40.668419","-73.981201","306","39","3021748","3009950051","153","BK0602"
"Completed (59)","2016-05-26T00:00:00.000","08:45 AM","09:45 AM","RNY General Presentation (GEN)","PTA Meeting","Queens","PS 148 Q","89-020 32nd Ave","75","11369","40.758388","-73.87897","403","25",,,"339","QN0301"
"Completed (59)","2016-05-26T00:00:00.000","08:00 AM","11:00 AM","RNY for Kids (KIDS)","Youth Preparedness","Brooklyn","PS 9","80 Underhill Ave","850","11238","40.678297","-73.965541","308","35","3028204","3011450026","205","BK0801"
"Completed (59)","2016-05-26T00:00:00.000","08:00 AM","11:00 AM","RNY for Kids (KIDS)","Pre-K Preparedness","Brooklyn","PS 9","80 Underhill Ave","26","11238","40.678297","-73.965541","308","35","3028204","3011450026","205","BK0801"
"Completed (59)","2016-05-27T00:00:00.000","10:00 AM","12:00 PM","RNY Fair/Presentation (FP)","Citizen Preparedness Training","Manhattan","Adam Clayton Powell Jr State Office Building","163 W 125 St","215","10027","40.808644","-73.947524","110","9","1081602","1019100001","222","MN1001"
"Completed (59)","2016-05-27T00:00:00.000","11:00 AM","02:00 PM","RNY Fair (FAIR)","Kid's Health Fair","Queens","MS 72","133-25 Guy R. Brewer Blvd","400","11434","40.673769","-73.775951","412","28","4270059","4124950270","33403","QN1204"
"Completed (59)","2016-06-01T00:00:00.000","08:45 AM","10:15 AM","RNY for Kids (KIDS)","Ready NY for Tweens","Queens","MS 294 Q","18-25 212 street","250","11360","40.782248","-73.779063","407","19","4131147","4058650050","99704","QN0703"
"Completed (59)","2016-06-02T00:00:00.000","11:00 AM","01:00 PM","RNY for Kids (KIDS)","Ready School of the Year","Queens","PS 90","86-50 109th St.","300","11418","40.697033","-73.839213","409","29","4192167","4092040028","128","QN0902"
"Completed (59)","2016-06-02T00:00:00.000","11:30 AM","03:00 PM","RNY Fair (FAIR)","Ready New York Fair","Queens","St. Johns Episcopal Hospital Parking Lot","327 Beach 19th Street Far Rockaway","150","11691","40.598561","-73.75276","414","31","4430537","4156360001","99801","QN1401"
"Completed (59)","2016-06-03T00:00:00.000","08:45 AM","09:30 AM","RNY for Kids (KIDS)","Pre-K Preparedness","Queens","PS 343","45-45 42nd Street","80","11104","40.742572","-73.922603","402","26","4540402","4001690006","18102","QN0202"
"Completed (59)","2016-06-04T00:00:00.000","10:00 AM","02:00 PM","RNY Fair (FAIR)","Resource Fair for District 75 Parents and Students","Bronx","P168X","339 Morris Ave","70","10451","40.813641","-73.925313","201","8","2000957","2023330070","51","BX0101"
"Completed (59)","2016-06-04T00:00:00.000","10:30 AM","01:30 PM","RNY Fair (FAIR)","Annual Health Fair","Bronx","PS 163","2075 Webster Avenue","115","10457","40.851741","-73.898493","205","15","2013297","2031420048","379","BX0502"
"Completed (59)","2016-06-04T00:00:00.000","10:00 AM","03:00 PM","RNY Fair (FAIR)","Abundant Life Fair","Queens","Bethen Gospel Tabernacle","110-18 Guy R Brewer Blvd","150","11433","40.692924","-73.788601","412","28","4263648","4121650041","262","QN1202"
"Completed (59)","2016-06-05T00:00:00.000","12:00 PM","01:00 PM","RNY General Presentation (GEN)","Church Prearedness","Brooklyn","All Saints Episcopal Church","286 7th Avenue","30","11215","40.668337","-73.980387","306","39","3021746","3009950047","153","BK0602"
"Completed (59)","2016-06-06T00:00:00.000","02:00 PM","05:00 PM","RNY General Presentation (GEN)","Emergency Readiness Prep","Staten Island","Mariners Residence","2099 Forest Ave","35","10303","40.626409","-74.159284","501","49","5027918","5012340052","231","SI0107"
"Completed (59)","2016-06-06T00:00:00.000","11:00 AM","01:00 PM","RNY General Presentation (GEN)","Emergency Preparedness","Bronx","Independent Care Systems (ICS)","400 East Fordham Road","10","10458","40.8609","-73.891931","206","15","2116415","2030337501","38304","BX0603"
"Completed (59)","2016-06-06T00:00:00.000","09:00 AM","10:00 AM","RNY for Kids (KIDS)","Pre-K Preparedness","Queens","PS 336","125-20 Sutphin Blvd","40","11434","40.674541","-73.789417","412","28","4261713","4120510001","18401","QN1203"
"Completed (59)","2016-06-07T00:00:00.000","10:00 AM","11:59 AM","RNY General Presentation (GEN)","Summer Storms","Bronx","N Shopp Leon Senior Center","735 East 152 Street","23","10455","40.815994","-73.907843","201","8","2091979","2026540002","79","BX0102"
"Completed (59)","2016-06-07T00:00:00.000","11:00 AM","01:00 PM","RNY General Presentation (GEN)","Presentation for the MS Society","Staten Island","Elizabeth Connelly Center","930 Willowbrook Rd, room behind building 16 C","15","10314","40.603318","-74.141798","502","50","5107306","5020400400","27301","SI0204"
"Completed (59)","2016-06-07T00:00:00.000","11:00 AM","12:00 PM","RNY General Presentation (GEN)","RNY ESOL Class","Manhattan","YMCA Harlem","180 W. 135th Street","25","10030","40.815114","-73.943263","110","9","1058250","1019190053","228","MN1002"
"Completed (59)","2016-06-07T00:00:00.000","07:00 PM","08:00 PM","RNY General Presentation (GEN)","ESOL Presentation","Manhattan","YMCA Harlem","180 W 135th St","25","10030","40.815114","-73.943263","110","9","1058250","1019190053","228","MN1002"
"Completed (59)","2016-06-07T00:00:00.000","01:15 PM","02:15 PM","RNY for Kids (KIDS)","Tween Preparedness","Brooklyn","East Flatbush Community Research School","905 Winthrop Street","135","11203","40.65843","-73.929076","317","41","3099733","3046060025","88002","BK1703"
"Completed (59)","2016-06-08T00:00:00.000","12:00 PM","12:59 PM","RNY General Presentation (GEN)","Summer Storms","Brooklyn","Sholom Senior Center","483 Albany Avenue","45","11203","40.663388","-73.939975","309","40","3038418","3014267501","331","BK0901"
"Completed (59)","2016-06-08T00:00:00.000","06:00 PM","08:00 PM","RNY General Presentation (GEN)","CB 2 General Meeting","Brooklyn","St Ann's Warehouse","45 Water St","60","11201","40.70332","-73.992624","302","33","3378511","3000260080","21","BK0202"
"Completed (59)","2016-06-08T00:00:00.000","09:30 AM","11:00 AM","RNY General Presentation (GEN)","Emergency Preparedness","Manhattan","Barrier Free Living","121 E 115 St","15","10029","40.798357","-73.943096","111","8","1087438","1016430010","182","MN1102"
"Completed (59)","2016-06-09T00:00:00.000","04:30 PM","06:00 PM","RNY General Presentation (GEN)","Disaster Preparedness Workshop","Queens","PS MS 42 Q","488 Beach 66 Street","20","11692","40.594538","-73.795304","414","31","4302817","4160390014","964","QN1402"
"Completed (59)","2016-06-09T00:00:00.000","06:30 PM","07:30 PM","RNY General Presentation (GEN)","ESOL Presentation","Manhattan","Chinatown YMCA","100 Hester Street","30","10002","40.716553","-73.993092","103","1","1082489","1003010003","16","MN0301"
"Completed (59)","2016-06-09T00:00:00.000","12:00 PM","01:00 PM","RNY for Kids (KIDS)","Bring Your Kids to Work Day","Manhattan","NYC Law Department","100 Church St, 20th Floor","100","10007","40.712968","-74.00949","101","1","1001409","1001250020","21","MN0102"
"Completed (59)","2016-06-09T00:00:00.000","12:00 PM","03:00 PM","RNY Fair (FAIR)","Family Fun Day Olympics Fair","Staten Island","Clove Lake Park","1150 Clove Road","200","10301","40.618239","-74.105161","501","49","5112426","5003190001","147","SI0105"
"Completed (59)","2016-06-10T00:00:00.000","03:30 PM","07:30 PM","RNY Fair (FAIR)","The Harlem Link Charter School Children�s Carnival with Ready Girl","Manhattan","Harlem Charter School Yard","111th St. between 5th and Lenox Ave","100",,,,,,,,,
"Completed (59)","2016-06-11T00:00:00.000","04:00 PM","05:00 PM","RNY Hurricane (H)","Emergency Preparedness","Brooklyn","Brooklyn Temple - Seventh-Day Adventist Church","3 Lewis Ave","75","11206","40.697952","-73.93805","303","36","3042858","3015820005","287","BK0302"
"Completed (59)","2016-06-11T00:00:00.000","12:00 PM","05:00 PM","RNY Fair (FAIR)","Spring Carnival Street Fair","Manhattan","PS 198 M","1700 Third Avenue NY NY 10128","150","10128","40.784826","-73.949611","108","5","1048492","1015240023","15801","MN0802"
"Completed (59)","2016-06-11T00:00:00.000","10:00 AM","03:00 PM","RNY Fair (FAIR)","Community Board 3 Queens","Queens","Corona Health Center","34-33 Junction Blvd","150","11372","40.754179","-73.872231","403","21","4042887","4017290027","37502","QN0303"
"Completed (59)","2016-06-11T00:00:00.000","10:00 AM","02:00 PM","RNY Fair (FAIR)","Thirteenth Annual Health, Community and Multicultural Fair","Bronx","MS 206 B","2280 Aqueduct Ave","75","10468","40.859686","-73.906495","207","14","2086823","2032090001","253","BX0701"
"Completed (59)","2016-06-11T00:00:00.000","10:00 AM","02:00 PM","RNY Fair (FAIR)","CUNY Citizenship Now!","Queens","LaGuardia Community College","31-10 Thomson Ave, E Building Atrium","100","11101","40.744902","-73.935022","402","26","4003534","4002780001","17902","QN0202"
"Completed (59)","2016-06-12T00:00:00.000","09:45 AM","01:15 PM","RNY General Presentation (GEN)","Church Prearedness","Brooklyn","God's Battalion Church of Prayer","661 Linden Blvd.","336","11203","40.653599","-73.93403","317","41","3108481","3048670025","870","BK1703"
"Completed (59)","2016-06-13T00:00:00.000","09:00 AM","01:00 PM","RNY General Presentation (GEN)","RNY Train the Trainer","Manhattan","LES Ready","137 E 2 St","30","10009","40.723247","-73.986359","103","2","1005745","1004290029","3002","MN0303"
"Completed (59)","2016-06-14T00:00:00.000","11:00 AM","12:59 PM","RNY General Presentation (GEN)","Summer Storms","Brooklyn","AMICO 59 Street Senior Center","5901 13 Avenue","35","11219","40.629332","-73.998022","312","44","3141065","3057120001","192","BK1202"
"Completed (59)","2016-06-14T00:00:00.000","10:00 AM","04:00 PM","RNY General Presentation (GEN)","Disaster Do Tank","Bronx","DaVita Williamsbridge Dialysis","3525 White Plains Rd","35","10467","40.878057","-73.866099","212","12","2124612","2046430009","378","BX1201"
"Completed (59)","2016-06-14T00:00:00.000","06:00 PM","07:30 PM","RNY Fair/Presentation (FP)","Citizen Preparedness Training","Brooklyn","Erasmus Hall Campus - Auditorium","911 Flatbush Avenue","100","11226","40.649787","-73.95855","314","40","3336215","3051030010","794","BK1701"
"Completed (59)","2016-06-15T00:00:00.000","10:30 AM","11:59 AM","RNY General Presentation (GEN)","Hurricanes","Manhattan","City Hall Senior Center","100 Gold Street","60","10038","40.710353","-74.004007","101","1","1001289","1000940025","1501","MN0101"
"Completed (59)","2016-06-15T00:00:00.000","09:00 AM","11:00 AM","RNY for Kids (KIDS)","Ready Girl","Brooklyn","Cultural Arts Academy","1400 Linden Blvd","135","11212","40.654512","-73.90834","316","42","3083069","3036420022","922","BK1602"
"Completed (59)","2016-06-15T00:00:00.000","12:30 PM","01:30 PM","RNY for Kids (KIDS)","Ready Girl Annual Career Day","Brooklyn","PS 196K","207 Bushwick Avenue","30","11206","40.708723","-73.940002","301","34","3071024","3030460001","485","BK0104"
"Completed (59)","2016-06-15T00:00:00.000","05:30 PM","09:30 PM","RNY Fair (FAIR)","RNY Fair","Manhattan","The New School","66 W 12 St","100","10011","40.735744","-73.997139","102","2","1083136","1005750017","63","MN0202"
"Completed (59)","2016-06-16T00:00:00.000","01:00 PM","02:59 PM","RNY General Presentation (GEN)","Hurricane Prep","Queens","Long Island Assisted Living Center","431 Beach 20 Street","50","11691","40.598978","-73.754221","414","31","4301056","4157670050","99801","QN1401"
"Completed (59)","2016-06-16T00:00:00.000","12:30 PM","01:30 PM","RNY General Presentation (GEN)","The Colonial Club Emergency Preparedness Event","Brooklyn","Gino's Italian Restaurant","7414 5th Ave","30","11209","40.630118","-74.022394","310","47","3148324","3059300043","134","BK1001"
"Completed (59)","2016-06-16T00:00:00.000","08:30 AM","03:00 PM","RNY Fair (FAIR)","Asian Women in Business Annual Procurement Opportunities Conference","Brooklyn","BNY Melon","101 Barclay St","40",,,,,,,,,
"Completed (59)","2016-06-17T00:00:00.000","12:30 PM","01:30 PM","RNY General Presentation (GEN)","Demystifying Housing Conference","Manhattan","Adam Clayton Powell Jr State Office Bldg","163 W 125 St, 8th Floor","150","10027","40.808644","-73.947524","110","9","1081602","1019100001","222","MN1001"
"Completed (59)","2016-06-18T00:00:00.000","11:00 AM","04:00 PM","RNY Fair (FAIR)","Health and Education Fair","Brooklyn","Von King Cultural Arts Center Park","Tompkins Avenue between Green and Lafayette Avenues","250",,,,,,,,,
"Completed (59)","2016-06-18T00:00:00.000","01:00 PM","04:00 PM","RNY Fair (FAIR)","Emergency Preparedness Fair","Manhattan","Church of Jesus Christ of Latter Day Saints","217 East. 87th Street","100","10128","40.779069","-73.952454","108","5","1048810","1015330008","14602","MN0803"
"Completed (59)","2016-06-18T00:00:00.000","12:00 PM","03:00 PM","RNY Fair (FAIR)","Red Hook Family Festival","Brooklyn","PS 15 Playground","71 Sullivan Street","100","11231","40.677343","-74.011558","306","38","3008585","3005660001","5301","BK0601"
"Completed (59)","2016-06-18T00:00:00.000","10:00 AM","03:00 PM","RNY Fair (FAIR)","ActionNYC Clinic","Manhattan","DREAM Charter School","1991 Second Ave","150","10029","40.788221","-73.944214","111","8","1000000","1016520001","164","MN1101"
"Completed (59)","2016-06-18T00:00:00.000","10:00 AM","03:00 PM","RNY Fair (FAIR)","Demistifying Housing Conference","Manhattan","Adam Clayton Powell Jr State Office Bldg","163 W 125 St, 8th Floor","25","10027","40.808644","-73.947524","110","9","1081602","1019100001","222","MN1001"
"Completed (59)","2016-06-18T00:00:00.000","10:00 AM","03:00 PM","RNY Fair (FAIR)","Fish Parade","Bronx","Barretto Point Park","Tiffany and Viele Ave","150",,,,,,,,,
"Completed (59)","2016-06-20T00:00:00.000","10:00 AM","12:00 PM","RNY General Presentation (GEN)","Emergency Preparedness","Manhattan","NY State Commission for the Blind Harlem Office","163 W 125 St","15","10027","40.808644","-73.947524","110","9","1081602","1019100001","222","MN1001"
"Completed (59)","2016-06-20T00:00:00.000","11:00 AM","12:30 PM","RNY Fair/Presentation (FP)","Citizen Preparedness Training","Brooklyn","Shorefront YMCA","3300 Coney Island Ave","150","11235","40.575566","-73.95946","313","48","3326880","3086930001","36002","BK1303"
"Completed (59)","2016-06-21T00:00:00.000","01:00 PM","02:59 PM","RNY General Presentation (GEN)","Summer Storms","Bronx","Marble Hill Senior Center","5365 Broadway","25","10463","40.876062","-73.907886","208","10","1082782","1022150623","309","BX0802"
"Completed (59)","2016-06-21T00:00:00.000","09:00 AM","11:00 PM","RNY General Presentation (GEN)","ESOL Presentation","Manhattan","Mid-Manhattan Adult Learning Center","212 W 120th St","25","10027","40.806013","-73.951217","110","9","1058447","1019250019","220","MN1001"
"Completed (59)","2016-06-22T00:00:00.000","06:00 PM","08:00 PM","RNY General Presentation (GEN)","Ready Girl","Manhattan","Covenant House New York","427 West 52nd Street","15","10019","40.765146","-73.988982","104","3","1080953","1010620017","133","MN0402"
"Completed (59)","2016-06-22T00:00:00.000","10:30 AM","12:00 PM","RNY General Presentation (GEN)","Emergency Preparedness in Spanish and Cantonese","Manhattan","Meltzer Senior Center","94 E 1st Street","30","10009","40.722827","-73.987402","103","2","1005743","1004290021","3002","MN0303"
"Completed (59)","2016-06-23T00:00:00.000","01:00 PM","02:59 PM","RNY General Presentation (GEN)","Summer Storm","Brooklyn","Blenman Senior Center","720 East New York Avenue","10","11203","40.662289","-73.938916","309","40","3106612","3047950016","87401","BK0902"
"Completed (59)","2016-06-23T00:00:00.000","11:00 AM","12:30 PM","RNY Fair/Presentation (FP)","Citizen Preparedness Training","Queens","Brooks Senior Center","143-22 109 Ave","120","11435","40.688564","-73.803554","412","28","4257866","4119330001","196","QN1202"
"Completed (59)","2016-06-23T00:00:00.000","06:00 PM","08:30 PM","RNY Fair/Presentation (FP)","Citizen Preparedness Training","Queens","Queens Spanish Seventh Day Adventist Church","40-34 102 St","100","11368","40.748883","-73.863756","404","21","4040329","4016100055","40701","QN0402"
"Completed (59)","2016-06-24T00:00:00.000","11:30 AM","12:59 PM","RNY General Presentation (GEN)","summer storm","Brooklyn","400 Hart Street","400 Hart Street","10","11206","40.694788","-73.934645","303","36","3341752","3015950024","287","BK0302"
"Completed (59)","2016-06-24T00:00:00.000","10:00 AM","12:00 PM","RNY General Presentation (GEN)","Presentation for Veterans with Vision Disabilities","Manhattan","Veteran's Administration Manhattan","423 E 23 St","7","10010","40.736492","-73.977787","106","4","1081691","1009550005","62","MN0603"
"Completed (59)","2016-06-24T00:00:00.000","11:00 AM","02:00 PM","RNY Fair (FAIR)","Annual Senior Fair for the 52nd Assembly District","Brooklyn","St. Francis College","180 Remsen St","150","11201","40.693277","-73.991587","302","33","3335934","3002550036","9","BK0201"
"Completed (59)","2016-06-24T00:00:00.000","02:00 PM","06:00 PM","RNY Fair (FAIR)","Community Fair","Staten Island","Markham Gardens","70 N Burgher Ave","120","10310","40.63965","-74.11545","501","49","5132994","5001690001","9701","SI0104"
"Completed (59)","2016-06-25T00:00:00.000","12:00 PM","05:00 PM","RNY Fair (FAIR)","Adoptapalooza, Celebrating ASPCA 150th Anniversary","Queens","Riis Park","Rockaway Beach Blvd","140",,,,,,,,,
"Completed (59)","2016-06-25T00:00:00.000","11:00 AM","03:00 PM","RNY Fair (FAIR)","Puppetry Arts Family Festival","Brooklyn","JJ Byrne Park","4th St. at 5th Ave","150",,,,,,,,,
"Completed (59)","2016-06-25T00:00:00.000","11:00 AM","03:00 PM","RNY Fair (FAIR)","Community Health Fair","Brooklyn","260 Jefferson Ave and Marcy Ave","260 Jefferson Ave and Marcy Ave","60","11216","40.683552","-73.94764","303","36","3052305","3018330038","249","BK0301"
