"workscheduleprojectlocationid","boroughname","day","date","onstreetname","fromstreetname","tostreetname","communityboard","area","worktype","crewtype","shifttype","oftcode"
"153601","MANHATTAN","Friday","2022-09-16T00:00:00.000","1 AVENUE","EAST 12 STREET","EAST 13 STREET","103","East Village","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117230117250"
"154945","MANHATTAN","Tuesday","2022-09-20T00:00:00.000","1 AVENUE","EAST 12 STREET","EAST 13 STREET","103","East Village","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117230117250"
"154951","MANHATTAN","Wednesday","2022-09-21T00:00:00.000","1 AVENUE","EAST 12 STREET","EAST 13 STREET","103","East Village","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117230117250"
"151605","MANHATTAN","Friday","2022-09-02T00:00:00.000","1 AVENUE","EAST 13 STREET","EAST 14 STREET","103","East Village","CONTRACT WORK","MILLING","NIGHT SHIFT","110010117250117270"
"152580","MANHATTAN","Tuesday","2022-09-06T00:00:00.000","1 AVENUE","EAST 13 STREET","EAST 14 STREET","103","East Village","CONTRACT WORK","MILLING","NIGHT SHIFT","110010117250117270"
"153603","MANHATTAN","Friday","2022-09-16T00:00:00.000","1 AVENUE","EAST 13 STREET","EAST 14 STREET","103","East Village","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117250117270"
"154947","MANHATTAN","Tuesday","2022-09-20T00:00:00.000","1 AVENUE","EAST 13 STREET","EAST 14 STREET","103","East Village","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117250117270"
"154953","MANHATTAN","Wednesday","2022-09-21T00:00:00.000","1 AVENUE","EAST 13 STREET","EAST 14 STREET","103","East Village","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117250117270"
"19387","MANHATTAN","Wednesday","2020-06-17T00:00:00.000","1 AVENUE","EAST 20 STREET","EAST 21 STREET","106","Gramercy","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117390117410"
"19330","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","1 AVENUE","EAST 20 STREET","EAST 21 STREET","106","Gramercy","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117390117410"
"19444","MANHATTAN","Thursday","2020-06-18T00:00:00.000","1 AVENUE","EAST 20 STREET","EAST 21 STREET","106","Gramercy","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117390117410"
"19501","MANHATTAN","Friday","2020-06-19T00:00:00.000","1 AVENUE","EAST 20 STREET","EAST 21 STREET","106","Gramercy","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117390117410"
"18929","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","1 AVENUE","EAST 20 STREET","EAST 21 STREET","106","Gramercy","CONTRACT WORK","MILLING","NIGHT SHIFT","110010117390117410"
"22622","MANHATTAN","Monday","2020-06-22T00:00:00.000","1 AVENUE","EAST 20 STREET","EAST 21 STREET","106","Gramercy","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117390117410"
"14478","MANHATTAN","Monday","2020-06-01T00:00:00.000","1 AVENUE","EAST 20 STREET","EAST 21 STREET","106","Gramercy","CONTRACT WORK","MILLING","NIGHT SHIFT","110010117390117410"
"14535","MANHATTAN","Tuesday","2020-06-02T00:00:00.000","1 AVENUE","EAST 20 STREET","EAST 21 STREET","106","Gramercy","CONTRACT WORK","MILLING","NIGHT SHIFT","110010117390117410"
"18872","MANHATTAN","Monday","2020-06-15T00:00:00.000","1 AVENUE","EAST 20 STREET","EAST 21 STREET","106","Gramercy","CONTRACT WORK","MILLING","NIGHT SHIFT","110010117390117410"
"134988","MANHATTAN","Friday","2022-06-03T00:00:00.000","1 AVENUE","EAST 29 STREET","EAST 30 STREET","106","Murray Hill-Kips Bay","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117570117590"
"134980","MANHATTAN","Thursday","2022-05-26T00:00:00.000","1 AVENUE","EAST 29 STREET","EAST 30 STREET","106","Murray Hill-Kips Bay","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117570117590"
"134996","MANHATTAN","Friday","2022-05-27T00:00:00.000","1 AVENUE","EAST 29 STREET","EAST 30 STREET","106","Murray Hill-Kips Bay","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117570117590"
"135216","MANHATTAN","Tuesday","2022-05-31T00:00:00.000","1 AVENUE","EAST 29 STREET","EAST 30 STREET","106","Murray Hill-Kips Bay","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117570117590"
"135224","MANHATTAN","Wednesday","2022-06-01T00:00:00.000","1 AVENUE","EAST 29 STREET","EAST 30 STREET","106","Murray Hill-Kips Bay","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117570117590"
"133156","MANHATTAN","Thursday","2022-05-19T00:00:00.000","1 AVENUE","EAST 29 STREET","EAST 30 STREET","106","Murray Hill-Kips Bay","CONTRACT WORK","MILLING","NIGHT SHIFT","110010117570117590"
"133164","MANHATTAN","Friday","2022-05-20T00:00:00.000","1 AVENUE","EAST 29 STREET","EAST 30 STREET","106","Murray Hill-Kips Bay","CONTRACT WORK","MILLING","NIGHT SHIFT","110010117570117590"
"134989","MANHATTAN","Friday","2022-06-03T00:00:00.000","1 AVENUE","EAST 30 STREET","EAST 33 STREET","106","Murray Hill-Kips Bay","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117590117650"
"134981","MANHATTAN","Thursday","2022-05-26T00:00:00.000","1 AVENUE","EAST 30 STREET","EAST 33 STREET","106","Murray Hill-Kips Bay","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117590117650"
"134997","MANHATTAN","Friday","2022-05-27T00:00:00.000","1 AVENUE","EAST 30 STREET","EAST 33 STREET","106","Murray Hill-Kips Bay","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117590117650"
"135217","MANHATTAN","Tuesday","2022-05-31T00:00:00.000","1 AVENUE","EAST 30 STREET","EAST 33 STREET","106","Murray Hill-Kips Bay","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117590117650"
"135225","MANHATTAN","Wednesday","2022-06-01T00:00:00.000","1 AVENUE","EAST 30 STREET","EAST 33 STREET","106","Murray Hill-Kips Bay","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117590117650"
"133157","MANHATTAN","Thursday","2022-05-19T00:00:00.000","1 AVENUE","EAST 30 STREET","EAST 33 STREET","106","Murray Hill-Kips Bay","CONTRACT WORK","MILLING","NIGHT SHIFT","110010117590117650"
"133165","MANHATTAN","Friday","2022-05-20T00:00:00.000","1 AVENUE","EAST 30 STREET","EAST 33 STREET","106","Murray Hill-Kips Bay","CONTRACT WORK","MILLING","NIGHT SHIFT","110010117590117650"
"135052","MANHATTAN","Thursday","2022-05-26T00:00:00.000","AVENUE OF THE AMERICAS","MILLIGAN PLACE","WEST 11 STREET","102","West Village","IN-HOUSE CREW","MILLING","NIGHT SHIFT","110510126040133990"
"135091","MANHATTAN","Friday","2022-05-27T00:00:00.000","AVENUE OF THE AMERICAS","MILLIGAN PLACE","WEST 11 STREET","102","West Village","IN-HOUSE CREW","MILLING","NIGHT SHIFT","110510126040133990"
"135668","QUEENS","Friday","2022-06-03T00:00:00.000","AVENUE OF THE AMERICAS","WEST 11 STREET","WEST 12 STREET","102","West Village","IN-HOUSE CREW","MILLING","NIGHT SHIFT","110510133990134010"
"135635","QUEENS","Tuesday","2022-05-31T00:00:00.000","AVENUE OF THE AMERICAS","WEST 11 STREET","WEST 12 STREET","102","West Village","IN-HOUSE CREW","MILLING","NIGHT SHIFT","110510133990134010"
"135657","QUEENS","Thursday","2022-06-02T00:00:00.000","AVENUE OF THE AMERICAS","WEST 11 STREET","WEST 12 STREET","102","West Village","IN-HOUSE CREW","MILLING","NIGHT SHIFT","110510133990134010"
"136363","MANHATTAN","Monday","2022-06-06T00:00:00.000","AVENUE OF THE AMERICAS","WEST 11 STREET","WEST 12 STREET","102","West Village","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510133990134010"
"151606","MANHATTAN","Friday","2022-09-02T00:00:00.000","1 AVENUE","EAST 15 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010117290000000"
"152581","MANHATTAN","Tuesday","2022-09-06T00:00:00.000","1 AVENUE","EAST 15 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010117290000000"
"153604","MANHATTAN","Friday","2022-09-16T00:00:00.000","1 AVENUE","EAST 15 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117290000000"
"154948","MANHATTAN","Tuesday","2022-09-20T00:00:00.000","1 AVENUE","EAST 15 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117290000000"
"154954","MANHATTAN","Wednesday","2022-09-21T00:00:00.000","1 AVENUE","EAST 15 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117290000000"
"18934","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","1 AVENUE","EAST 23 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010117450000000"
"19449","MANHATTAN","Thursday","2020-06-18T00:00:00.000","1 AVENUE","EAST 23 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117450000000"
"19506","MANHATTAN","Friday","2020-06-19T00:00:00.000","1 AVENUE","EAST 23 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117450000000"
"22627","MANHATTAN","Monday","2020-06-22T00:00:00.000","1 AVENUE","EAST 23 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117450000000"
"14483","MANHATTAN","Monday","2020-06-01T00:00:00.000","1 AVENUE","EAST 23 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010117450000000"
"14540","MANHATTAN","Tuesday","2020-06-02T00:00:00.000","1 AVENUE","EAST 23 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010117450000000"
"18877","MANHATTAN","Monday","2020-06-15T00:00:00.000","1 AVENUE","EAST 23 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010117450000000"
"19392","MANHATTAN","Wednesday","2020-06-17T00:00:00.000","1 AVENUE","EAST 23 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117450000000"
"19335","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","1 AVENUE","EAST 23 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117450000000"
"22727","MANHATTAN","Monday","2020-06-22T00:00:00.000","1 AVENUE","EAST 50 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117990000000"
"22771","MANHATTAN","Wednesday","2020-06-24T00:00:00.000","1 AVENUE","EAST 50 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117990000000"
"22749","MANHATTAN","Tuesday","2020-06-23T00:00:00.000","1 AVENUE","EAST 50 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117990000000"
"14585","MANHATTAN","Tuesday","2020-06-02T00:00:00.000","1 AVENUE","EAST 50 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010117990000000"
"14607","MANHATTAN","Wednesday","2020-06-03T00:00:00.000","1 AVENUE","EAST 50 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010117990000000"
"19000","MANHATTAN","Wednesday","2020-06-17T00:00:00.000","1 AVENUE","EAST 50 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010117990000000"
"22730","MANHATTAN","Monday","2020-06-22T00:00:00.000","1 AVENUE","EAST 51 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010118010000000"
"22774","MANHATTAN","Wednesday","2020-06-24T00:00:00.000","1 AVENUE","EAST 51 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010118010000000"
"22752","MANHATTAN","Tuesday","2020-06-23T00:00:00.000","1 AVENUE","EAST 51 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010118010000000"
"14588","MANHATTAN","Tuesday","2020-06-02T00:00:00.000","1 AVENUE","EAST 51 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010118010000000"
"14610","MANHATTAN","Wednesday","2020-06-03T00:00:00.000","1 AVENUE","EAST 51 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010118010000000"
"18981","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","1 AVENUE","EAST 51 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010118010000000"
"19003","MANHATTAN","Wednesday","2020-06-17T00:00:00.000","1 AVENUE","EAST 51 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010118010000000"
"22743","MANHATTAN","Monday","2020-06-22T00:00:00.000","1 AVENUE","MITCHELL PLACE",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010126290000000"
"22787","MANHATTAN","Wednesday","2020-06-24T00:00:00.000","1 AVENUE","MITCHELL PLACE",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010126290000000"
"22765","MANHATTAN","Tuesday","2020-06-23T00:00:00.000","1 AVENUE","MITCHELL PLACE",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010126290000000"
"14601","MANHATTAN","Tuesday","2020-06-02T00:00:00.000","1 AVENUE","MITCHELL PLACE",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010126290000000"
"14623","MANHATTAN","Wednesday","2020-06-03T00:00:00.000","1 AVENUE","MITCHELL PLACE",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010126290000000"
"18994","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","1 AVENUE","MITCHELL PLACE",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010126290000000"
"19016","MANHATTAN","Wednesday","2020-06-17T00:00:00.000","1 AVENUE","MITCHELL PLACE",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010126290000000"
"175334","MANHATTAN","Tuesday","2023-04-18T00:00:00.000","5 AVENUE","EAST 101 STREET",,"111",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410118990000000"
"175352","MANHATTAN","Wednesday","2023-04-19T00:00:00.000","5 AVENUE","EAST 101 STREET",,"111",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410118990000000"
"178397","MANHATTAN","Friday","2023-05-05T00:00:00.000","5 AVENUE","EAST 101 STREET",,"111",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410118990000000"
"178415","MANHATTAN","Friday","2023-05-05T00:00:00.000","5 AVENUE","EAST 101 STREET",,"111",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410118990000000"
"180453","MANHATTAN","Tuesday","2023-05-09T00:00:00.000","5 AVENUE","EAST 101 STREET",,"111",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410118990000000"
"180435","MANHATTAN","Monday","2023-05-08T00:00:00.000","5 AVENUE","EAST 101 STREET",,"111",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410118990000000"
"33760","MANHATTAN","Monday","2020-08-03T00:00:00.000","5 AVENUE","EAST 108 STREET","EAST 109 STREET","164","East Harlem South","CONTRACT WORK","MILLING","NIGHT SHIFT","110410119130119150"
"29906","MANHATTAN","Friday","2020-07-24T00:00:00.000","5 AVENUE","EAST 108 STREET","EAST 109 STREET","164","East Harlem South","CONTRACT WORK","MILLING","NIGHT SHIFT","110410119130119150"
"36106","MANHATTAN","Tuesday","2020-08-18T00:00:00.000","5 AVENUE","EAST 108 STREET","EAST 109 STREET","164","East Harlem South","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410119130119150"
"36179","MANHATTAN","Monday","2020-08-17T00:00:00.000","5 AVENUE","EAST 108 STREET","EAST 109 STREET","164","East Harlem South","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410119130119150"
"29873","MANHATTAN","Thursday","2020-07-23T00:00:00.000","5 AVENUE","EAST 108 STREET","EAST 109 STREET","164","East Harlem South","CONTRACT WORK","MILLING","NIGHT SHIFT","110410119130119150"
"33761","MANHATTAN","Monday","2020-08-03T00:00:00.000","5 AVENUE","EAST 109 STREET",,"164",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410119150000000"
"29907","MANHATTAN","Friday","2020-07-24T00:00:00.000","5 AVENUE","EAST 109 STREET",,"164",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410119150000000"
"36107","MANHATTAN","Tuesday","2020-08-18T00:00:00.000","5 AVENUE","EAST 109 STREET",,"164",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410119150000000"
"36180","MANHATTAN","Monday","2020-08-17T00:00:00.000","5 AVENUE","EAST 109 STREET",,"164",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410119150000000"
"29874","MANHATTAN","Thursday","2020-07-23T00:00:00.000","5 AVENUE","EAST 109 STREET",,"164",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410119150000000"
"141278","MANHATTAN","Friday","2022-07-15T00:00:00.000","AVENUE OF THE AMERICAS","WEST 22 STREET","WEST 23 STREET","104","Hudson Yards-Chelsea-Flatiron-Union Square","CONTRACT WORK","MILLING","NIGHT SHIFT","110510134210134230"
"142005","MANHATTAN","Thursday","2022-07-14T00:00:00.000","AVENUE OF THE AMERICAS","WEST 22 STREET","WEST 23 STREET","104","Hudson Yards-Chelsea-Flatiron-Union Square","CONTRACT WORK","MILLING","NIGHT SHIFT","110510134210134230"
"19380","MANHATTAN","Wednesday","2020-06-17T00:00:00.000","1 AVENUE","EAST 17 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117330000000"
"19323","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","1 AVENUE","EAST 17 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117330000000"
"19437","MANHATTAN","Thursday","2020-06-18T00:00:00.000","1 AVENUE","EAST 17 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117330000000"
"19494","MANHATTAN","Friday","2020-06-19T00:00:00.000","1 AVENUE","EAST 17 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117330000000"
"22615","MANHATTAN","Monday","2020-06-22T00:00:00.000","1 AVENUE","EAST 17 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117330000000"
"14471","MANHATTAN","Monday","2020-06-01T00:00:00.000","1 AVENUE","EAST 17 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010117330000000"
"14528","MANHATTAN","Tuesday","2020-06-02T00:00:00.000","1 AVENUE","EAST 17 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010117330000000"
"18865","MANHATTAN","Monday","2020-06-15T00:00:00.000","1 AVENUE","EAST 17 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010117330000000"
"18922","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","1 AVENUE","EAST 17 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010117330000000"
"22740","MANHATTAN","Monday","2020-06-22T00:00:00.000","1 AVENUE","EAST 56 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010118110000000"
"22784","MANHATTAN","Wednesday","2020-06-24T00:00:00.000","1 AVENUE","EAST 56 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010118110000000"
"22762","MANHATTAN","Tuesday","2020-06-23T00:00:00.000","1 AVENUE","EAST 56 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010118110000000"
"14598","MANHATTAN","Tuesday","2020-06-02T00:00:00.000","1 AVENUE","EAST 56 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010118110000000"
"14620","MANHATTAN","Wednesday","2020-06-03T00:00:00.000","1 AVENUE","EAST 56 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010118110000000"
"18991","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","1 AVENUE","EAST 56 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010118110000000"
"19013","MANHATTAN","Wednesday","2020-06-17T00:00:00.000","1 AVENUE","EAST 56 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010118110000000"
"22742","MANHATTAN","Monday","2020-06-22T00:00:00.000","1 AVENUE","EAST 57 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010118130000000"
"22786","MANHATTAN","Wednesday","2020-06-24T00:00:00.000","1 AVENUE","EAST 57 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010118130000000"
"14600","MANHATTAN","Tuesday","2020-06-02T00:00:00.000","1 AVENUE","EAST 57 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010118130000000"
"14622","MANHATTAN","Wednesday","2020-06-03T00:00:00.000","1 AVENUE","EAST 57 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010118130000000"
"18993","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","1 AVENUE","EAST 57 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010118130000000"
"19015","MANHATTAN","Wednesday","2020-06-17T00:00:00.000","1 AVENUE","EAST 57 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010118130000000"
"22764","MANHATTAN","Tuesday","2020-06-23T00:00:00.000","1 AVENUE","EAST 57 STREET",,"106",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010118130000000"
"22825","MANHATTAN","Thursday","2020-06-25T00:00:00.000","5 AVENUE","EAST 68 STREET",,"164",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410118350000000"
"22877","MANHATTAN","Friday","2020-06-26T00:00:00.000","5 AVENUE","EAST 68 STREET",,"164",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410118350000000"
"14697","MANHATTAN","Thursday","2020-06-04T00:00:00.000","5 AVENUE","EAST 68 STREET",,"164",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410118350000000"
"14749","MANHATTAN","Friday","2020-06-05T00:00:00.000","5 AVENUE","EAST 68 STREET",,"164",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410118350000000"
"19090","MANHATTAN","Thursday","2020-06-18T00:00:00.000","5 AVENUE","EAST 68 STREET",,"164",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410118350000000"
"19142","MANHATTAN","Friday","2020-06-19T00:00:00.000","5 AVENUE","EAST 68 STREET",,"164",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410118350000000"
"178398","MANHATTAN","Friday","2023-05-05T00:00:00.000","5 AVENUE","EAST 103 STREET",,"111",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410119030000000"
"178416","MANHATTAN","Friday","2023-05-05T00:00:00.000","5 AVENUE","EAST 103 STREET",,"111",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410119030000000"
"180454","MANHATTAN","Tuesday","2023-05-09T00:00:00.000","5 AVENUE","EAST 103 STREET",,"111",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410119030000000"
"180436","MANHATTAN","Monday","2023-05-08T00:00:00.000","5 AVENUE","EAST 103 STREET",,"111",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410119030000000"
"175335","MANHATTAN","Tuesday","2023-04-18T00:00:00.000","5 AVENUE","EAST 103 STREET",,"111",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410119030000000"
"175353","MANHATTAN","Wednesday","2023-04-19T00:00:00.000","5 AVENUE","EAST 103 STREET",,"111",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410119030000000"
"33756","MANHATTAN","Monday","2020-08-03T00:00:00.000","5 AVENUE","EAST 106 STREET","EAST 107 STREET","111","East Harlem South","CONTRACT WORK","MILLING","NIGHT SHIFT","110410119090119110"
"29902","MANHATTAN","Friday","2020-07-24T00:00:00.000","5 AVENUE","EAST 106 STREET","EAST 107 STREET","111","East Harlem South","CONTRACT WORK","MILLING","NIGHT SHIFT","110410119090119110"
"22820","MANHATTAN","Thursday","2020-06-25T00:00:00.000","5 AVENUE","EAST 63 STREET","EAST 64 STREET","164","Upper East Side-Carnegie Hill","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410118250118270"
"22872","MANHATTAN","Friday","2020-06-26T00:00:00.000","5 AVENUE","EAST 63 STREET","EAST 64 STREET","164","Upper East Side-Carnegie Hill","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410118250118270"
"14692","MANHATTAN","Thursday","2020-06-04T00:00:00.000","5 AVENUE","EAST 63 STREET","EAST 64 STREET","164","Upper East Side-Carnegie Hill","CONTRACT WORK","MILLING","NIGHT SHIFT","110410118250118270"
"14744","MANHATTAN","Friday","2020-06-05T00:00:00.000","5 AVENUE","EAST 63 STREET","EAST 64 STREET","164","Upper East Side-Carnegie Hill","CONTRACT WORK","MILLING","NIGHT SHIFT","110410118250118270"
"19085","MANHATTAN","Thursday","2020-06-18T00:00:00.000","5 AVENUE","EAST 63 STREET","EAST 64 STREET","164","Upper East Side-Carnegie Hill","CONTRACT WORK","MILLING","NIGHT SHIFT","110410118250118270"
"19137","MANHATTAN","Friday","2020-06-19T00:00:00.000","5 AVENUE","EAST 63 STREET","EAST 64 STREET","164","Upper East Side-Carnegie Hill","CONTRACT WORK","MILLING","NIGHT SHIFT","110410118250118270"
"8448","MANHATTAN","Friday","2020-05-15T00:00:00.000","AVENUE OF THE AMERICAS","WEST 28 STREET","WEST 29 STREET","105","Midtown-Midtown South","CONTRACT WORK","MILLING","NIGHT SHIFT","110510134330134350"
"14407","MANHATTAN","Wednesday","2020-06-03T00:00:00.000","AVENUE OF THE AMERICAS","WEST 28 STREET","WEST 29 STREET","105","Midtown-Midtown South","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134330134350"
"14420","MANHATTAN","Thursday","2020-06-04T00:00:00.000","AVENUE OF THE AMERICAS","WEST 28 STREET","WEST 29 STREET","105","Midtown-Midtown South","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134330134350"
"14460","MANHATTAN","Monday","2020-06-01T00:00:00.000","AVENUE OF THE AMERICAS","WEST 28 STREET","WEST 29 STREET","105","Midtown-Midtown South","CONTRACT WORK","MILLING","NIGHT SHIFT","110510134330134350"
"19312","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","AVENUE OF THE AMERICAS","WEST 28 STREET","WEST 29 STREET","105","Midtown-Midtown South","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134330134350"
"18859","MANHATTAN","Monday","2020-06-15T00:00:00.000","AVENUE OF THE AMERICAS","WEST 28 STREET","WEST 29 STREET","105","Midtown-Midtown South","CONTRACT WORK","MILLING","NIGHT SHIFT","110510134330134350"
"8450","MANHATTAN","Friday","2020-05-15T00:00:00.000","AVENUE OF THE AMERICAS","WEST 29 STREET","WEST 30 STREET","105","Midtown-Midtown South","CONTRACT WORK","MILLING","NIGHT SHIFT","110510134350134370"
"14409","MANHATTAN","Wednesday","2020-06-03T00:00:00.000","AVENUE OF THE AMERICAS","WEST 29 STREET","WEST 30 STREET","105","Midtown-Midtown South","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134350134370"
