"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","main_stree","cross_stre","barnes_dan","modified_b","mid_block_","t_oneway_a","t_oneway_1","installati","ntaname","femafldz","femafldt","hrcevac"
"POINT (-73.99697170157069 40.73140175637609)","1","Manhattan","102","1","66","27","10","5 Avenue","Washington Sq N",,"X",,,,,"Greenwich Village","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.89975673406099 40.700495758954595)","4","Queens","405","34","38","12","7","Myrtle Avenue","71 Avenue",,,,"X",,,"Ridgewood","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98808670321901 40.74090875413596)","1","Manhattan","105","2","74","28","12","East 23 Street","Madison Avenue","X",,,,,"1983-04-27T00:00:00.000","Midtown South-Flatiron-Union Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97836870551433 40.7524077514412)","1","Manhattan","105","4","73","28","12","W 42 Street","Vanderbilt Avenue",,,,,"X",,"Midtown-Times Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92455072857787 40.66384076713761)","3","Brooklyn","317","41","58","19","9","Rutland Road","East 96 Street",,,,"X",,,"East Flatbush-Remsen Village","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.97770270549564 40.76731874869272)","1","Manhattan","164","6","75","28","12","Central Park Drive","Post #38A",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9970017033166 40.6985117624409)","3","Brooklyn","302","33","52","26","10","Furman Street","Clark Street (TA Emergency Exit)",,,"X",,,,"Brooklyn Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96050870802496 40.80757174007545)","1","Manhattan","109","7","69","30","13","Amsterdam Avenue","West 117 Street",,,"X",,,,"Morningside Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96230570912347 40.78161374493806)","1","Manhattan","164","6","69","47","12","Central Park East Drive","Post #8 (85 Street)",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.80843676315637 40.70301775553828)","4","Queens","412","24","32","14","5","Sutphin Blvd","90 Avenue",,,,,"X",,"Jamaica","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98271270797949 40.688450764310566)","3","Brooklyn","302","33","52","26","10","Livingston Street","Hanover Place",,,,"X",,,"Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90904871997282 40.88948572262903)","2","Bronx","208","11","81","33","15","Henry Hudson Pkwy W S/R","West 239 Street",,"X",,,,"1962-10-09T00:00:00.000","Riverdale-Spuyten Duyvil","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94463871472519 40.79735674154373)","1","Manhattan","111","8","68","30","13","Park Ave & E Roadway","E 113 Street",,,"X",,,,"East Harlem (North)","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","5"
"POINT (-73.96230271687277 40.65733676981468)","3","Brooklyn","355","39","44","20","10","Ocean Avenue","Prospect Park S Entr.",,,"X",,,,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98202270568771 40.73200475554772)","1","Manhattan","106","2","74","59","12","1 Avenue","East 15 Street",,,,,"X",,"Stuyvesant Town-Peter Cooper Village","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.97939570368996 40.79123574372589)","1","Manhattan","107","6","67","47","12","Riverside Drive","west 88 Street",,,,,"X",,"Upper West Side (Central)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8867307290089 40.859247727112916)","2","Bronx","206","15","78","33","15","East Fordham Rd","Lorillard Place","X",,,,,,"Belmont","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92411271909477 40.83485273314153)","2","Bronx","204","16","84","29","15","Jerome Avenue","166 Street",,,"X",,,,"Yankee Stadium-Macombs Dam Park","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.9497407121026 40.798734741659906)","1","Manhattan","110","9","70","30","13","W 112 Street","betw Lenox Ave & 5 Ave",,,"X",,,,"Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.948829712129 40.813361738656056)","1","Manhattan","110","9","70","30","13","8 Avenue","W 130 Street",,,"X",,,,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.9540317107621 40.80884073918213)","1","Manhattan","110","9","70","30","13","Manhattan Avenue","W 122 Street","X",,,,,"1981-03-12T00:00:00.000","Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99203670148344 40.75156775233097)","1","Manhattan","105","3","75","28","12","W 34 Street","betw. 7 Ave and 8 Ave",,,"X",,,,"Midtown South-Flatiron-Union Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9776757064833 40.75211175176565)","1","Manhattan","105","4","73","28","12","E 42 Street","Park Avenue",,,"X",,,,"Murray Hill-Kips Bay","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9364977161808 40.81140873822709)","1","Manhattan","111","9","70","30","13","Madison Avenue","betw.E 134-135 Street",,,"X",,,,"East Harlem (North)","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2"
"POINT (-73.91291173243705 40.65464176881099)","3","Brooklyn","317","42","58","19","9","Rockaway Parkway","Avenue A (Brookdale Hospital)",,,"X",,,,"East Flatbush-Remsen Village","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.97468670801666 40.74219675306627)","1","Manhattan","106","2","74","59","12","1 Avenue","East 32 Street (bet.E 30 St & E 33)",,,"X",,,,"Murray Hill-Kips Bay","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.97145770546446 40.80032474189002)","1","Manhattan","107","6","69","47","12","Riverside Drive","West 103 Street",,,"X",,,,"Upper West Side-Manhattan Valley","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93837771494394 40.81170673894044)","1","Manhattan","111","9","70","30","13","5 Avenue","N of E 132 Street",,,"X",,,,"East Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.9043737336337 40.67509976425779)","3","Brooklyn","316","37","55","25","8","East NY Avenue","Pacific Street & Junius Avenue","X",,,,,"2002-10-01T00:00:00.000","Brownsville","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96355870712588 40.80856674041306)","1","Manhattan","109","7","69","30","13","Broadway","W 117 Street",,,"X",,,,"Morningside Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.89530972665315 40.846496730643786)","2","Bronx","206","15","86","32","15","East Tremont Avenue","Monterey Avenue",,,,"X",,,"Tremont","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97760271130117 40.66137176970546)","3","Brooklyn","355","39","44","20","10","Prospect Park","Post # 6",,,,,"X",,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95323574319912 40.76751701247203)","1","Manhattan","108","5","76","28","12","York Avenue","East 73 Street","X",,,,,,"Upper East Side-Lenox Hill-Roosevelt Island","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-74.00920469775042 40.71617875957755)","1","Manhattan","101","1","66","27","10","Reade Street","Hudson Street",,,,,"X",,"Tribeca-Civic Center","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.90841572262244 40.852635729392524)","2","Bronx","205","14","77","33","15","Jerome Avenue","East 179 Street",,,,"X",,,"Mount Hope","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.78788577158842 40.67331076108515)","4","Queens","412","28","32","10","5","Sutphin Blvd","150 Street (mechanical)",,,"X",,,,"Baisley Park","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.89837072413277 40.87365172503537)","2","Bronx","208","14","81","31","13","Reservoir Avenue","University Avenue","X",,,,,,"Kingsbridge Heights-Van Cortlandt Village","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96803870705726 40.7972407426918)","1","Manhattan","107","7","69","30","13","Amsterdam Avenue","West 101 Street",,,,"X",,,"Upper West Side-Manhattan Valley","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99309370274969 40.71791375847098)","1","Manhattan","103","1","65","27","10","Grand Street","Forsyth Street",,,,"X",,,"Chinatown-Two Bridges","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95945071736618 40.653566770257335)","3","Brooklyn","314","40","43","20","9","Flatbush Avenue","Lenox Road",,,,"X",,,"Flatbush","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94256071438973 40.79733274132274)","1","Manhattan","111","8","68","30","13","Lexington Avenue","East 114 Street",,,"X",,,,"East Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.97491271352126 40.64886877193102)","3","Brooklyn","307","39","44","20","10","Caton Avenue","Ocean Pkway WS/R",,,,"X",,,"Windsor Terrace-South Slope","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92038472092524 40.822049736029925)","2","Bronx","201","17","79","29","15","Morris Avenue & Park Avenue","Concourse Village & East 156 Street","X",,,,,,"Melrose","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97821570820227 40.72066775739423)","1","Manhattan","103","2","65","27","10","Avenue D","E 3 Street",,,,"X",,,"East Village","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.98616370779149 40.673420767499515)","3","Brooklyn","306","39","52","26","10","4 Avenue","4 Street (240' So of 3 Street)",,,"X",,,,"Carroll Gardens-Cobble Hill-Gowanus-Red Hook","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.94383971365224 40.80707273957811)","1","Manhattan","110","9","70","30","13","W 125 Street","West Of 5 Avenue",,,"X",,,,"Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.98567870185651 40.780303745956694)","1","Manhattan","107","6","67","47","12","Riverside Drive","West 72 Street",,"X",,,,,"Upper West Side-Lincoln Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91830972958547 40.67678776480391)","3","Brooklyn","303","41","55","25","8","Atlantic Avenue","Dewey Place",,,,,"X",,"Ocean Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94522871458571 40.786799743278245)","1","Manhattan","111","8","68","29","13","2 Avenue","E 100 Street",,,,,"X",,"East Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.94141071552653 40.796016742075395)","1","Manhattan","111","8","68","29","13","3 Avenue","East 113 Street",,,"X",,,,"East Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.95871371098116 40.77232374718056)","1","Manhattan","108","4","76","28","12","3 Avenue","East 76 Street","X",,,,,"2022-02-15T00:00:00.000","Upper East Side-Lenox Hill-Roosevelt Island","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00443269984757 40.71262476010661)","1","Manhattan","101","1","65","27","10","Centre Street","Brooklyn Bridge Entrance",,,"X",,,,"Tribeca-Civic Center","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.85294774622669 40.74615874895721)","4","Queens","404","21","39","13","14","111 Street","49 Avenue",,,,,"X","2019-02-15T00:00:00.000","Corona","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.97227471132393 40.68543476415501)","3","Brooklyn","302","35","57","25","7","Fulton Street","Cumberland Street",,,,"X",,,"Fort Greene","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94978371161241 40.80958073973097)","1","Manhattan","110","9","70","30","13","W 125 Street","400' E OF FREDERICK DOUGLASS BLVD",,,"X",,,,"Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.93721971556106 40.82417873579041)","1","Manhattan","110","9","71","30","13","7 Avenue","West 149 Street",,,,,"X",,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.96913970549183 40.80354774084272)","1","Manhattan","107","6","69","30","12","Riverside Drive","West 108 Street","X",,,,,"2007-03-27T00:00:00.000","Upper West Side-Manhattan Valley","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99091470312368 40.72217375833067)","1","Manhattan","103","1","65","27","10","Forsyth Street","Stanton St",,,,,"X",,"Lower East Side","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94607072248189 40.65438276995347)","3","Brooklyn","317","40","43","20","9","Lenox Road","East 34 Street",,,,"X",,,"East Flatbush-Erasmus","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90224173240574 40.71275075713911)","4","Queens","405","30","37","12","7","Metropolitan Avenue","61 Street",,,,"X",,,"Ridgewood","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.11162367341464 40.57148679201262)","5","Staten Island","502","50","64","24","11","New Dorp Lane","Clawson Street","X",,,,,"2009-01-16T00:00:00.000","New Dorp-Midland Beach","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.98981970434284 40.710073760712085)","1","Manhattan","103","1","65","27","10","South Street","Rutgers Slip",,,,,"X",,"Chinatown-Two Bridges","AE",,"1"
"POINT (-74.0010526978934 40.75705675182739)","1","Manhattan","104","3","75","47","12","11 Avenue","West 36 Street",,,,,"X",,"Chelsea-Hudson Yards","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.97111870644645 40.773662746896946)","1","Manhattan","164","6","75","28","12","Central Park Post #4B","BethedaTerrace",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99442570311972 40.7169587587349)","1","Manhattan","103","1","65","27","10","Chrystie Street","Hester Street",,,,,"X",,"Chinatown-Two Bridges","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95165971323269 40.781999744979196)","1","Manhattan","108","5","73","29","12","3 Avenue","East 91 Street",,,,"X",,,"Upper East Side-Yorkville","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95037771044102 40.82143773724275)","1","Manhattan","109","9","70","30","13","Amsterdam Avenue","West 139 Street",,,,,"X",,"Manhattanville-West Harlem","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.85164374026165 40.85738472634229)","2","Bronx","211","13","80","34","15","Pelham Parkway EB","Narragansett Ave",,,"X",,,"2015-09-30T00:00:00.000","Morris Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94630471368181 40.79797574159252)","1","Manhattan","111","8","68","30","13","Madison Avenue","E 113 Street",,,"X",,,,"East Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.90052472556417 40.84841473050182)","2","Bronx","206","15","86","32","15","Webster Avenue","Between Tremont Ave & E. 178 St",,,"X",,,,"Mount Hope","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.83390274526333 40.8751517225921)","2","Bronx","210","12","82","36","14","Baychester Avenue","200 South of Donizetti Place",,,"X",,,,"Co-op City","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.96737370694028 40.80611974023024)","1","Manhattan","109","7","69","30","12","Riverside Drive","West 112 Street",,,"X",,,,"Morningside Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9402387133689 40.84603973173811)","1","Manhattan","112","10","71","31","13","Ft. Washington Avenue","West 174 Street",,,,,"X",,"Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95256272165604 40.63121677431675)","3","Brooklyn","314","45","42","21","9","Bedford Avenue","Brooklyn College XWK",,,"X",,,,"Flatbush","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.9845937036872 40.754168751614614)","1","Manhattan","105","4","75","28","12","6 Avenue","West 41 Street",,,,,"X",,"Midtown-Times Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.83048275308164 40.76026174508366)","4","Queens","407","20","40","16","6","Main Street","39 Avenue",,,,,"X",,"Flushing-Willets Point","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97235571285245 40.668060768254676)","3","Brooklyn","355","39","44","20","10","Prospect Park","Post # 1",,,,,"X",,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93045471551866 40.848689730631186)","1","Manhattan","112","10","72","31","13","Amsterdam Avenue","West 182 Street",,,,"X",,,"Washington Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95515971298487 40.76490974857496)","1","Manhattan","108","5","76","28","12","York Avenue","East 69 Street",,,,,"X",,"Upper East Side-Lenox Hill-Roosevelt Island","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.82786375362564 40.765354743653056)","4","Queens","407","20","40","16","6","Union Street","35 Avenue","X",,,,,,"Flushing-Willets Point","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8174577569066 40.77377374170924)","4","Queens","407","19","40","16","3","149 Street","27 Avenue",,,,"X",,,"Murray Hill-Broadway Flushing","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.86133373872693 40.832636731790096)","2","Bronx","209","18","87","34","14","Hugh Grant Circle","Cross Bronx Exway S S/R",,,,,"X",,"Castle Hill-Unionport","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.96210871580338 40.669187767084566)","3","Brooklyn","355","35","44","20","10","Washington Avenue","Classon avenue & President Street",,,,,"X",,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91954272125773 40.81654573698546)","2","Bronx","201","17","84","29","15","East 149 Street","Courtland Avenue","X",,,,,,"Melrose","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88874978908223 40.75333341030723)","4","Queens","403","25","39","13","6","34 Avenue","78 Street",,,,"X",,,"Jackson Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88728673018203 40.83812773132282)","2","Bronx","203","17","79","32","15","Southern Boulevard","Crotona Park East",,,,"X",,,"Crotona Park East","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.87047474457624 40.677224762448766)","3","Brooklyn","305","37","54","19","7","S Conduit Blvd","Crescent Street",,,,"X",,,"East New York-City Line","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-74.01135469654135 40.72425375777208)","1","Manhattan","101","1","66","27","10","West St","Watts St",,,,"x",,,"Tribeca-Civic Center","AE",,"1"
"POINT (-73.94381271274462 40.82532373568697)","1","Manhattan","109","9","71","30","13","St Nicholas Avenue","West 147 Street",,,,,"X",,"Hamilton Heights-Sugar Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9518337119063 40.79040974304702)","1","Manhattan","111","8","68","29","13","Madison Avenue","E 101 Street",,,,,"X",,"East Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88708672855581 40.8733667246939)","2","Bronx","207","11","78","33","13","Grand Concourse","East 202 Street",,,,,"X",,"Bedford Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92103272051371 40.81164173834946)","2","Bronx","201","8","84","29","15","Willis Avenue","East 142 Street",,,,"X",,,"Mott Haven-Port Morris","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-74.00676469955664 40.70561476181617)","1","Manhattan","101","1","65","27","10","Water Street","Pine Street",,,,,"X",,"Financial District-Battery Park City","AE",,"1"
"POINT (-73.84677174860477 40.75422274677503)","4","Queens","481","21","27","16","6","Roosevelt Avenue","Shea Stadium Gate ""E""",,,"X",,,,"Flushing Meadows-Corona Park","AE",,"2"
"POINT (-73.9605227088434 40.79735974243087)","1","Manhattan","164","6","68","30","12","Central Park W","W 105 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94944972151087 40.634500773937035)","3","Brooklyn","314","45","42","21","9","Flatbush Avenue","Glenwood Rd W Leg","X",,,,,"2022-03-11T00:00:00.000","Flatbush","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.96713371143511 40.713918758535804)","3","Brooklyn","301","33","50","18","7","Kent Avenue","South 3 Street",,,,"X",,,"Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.94520971539433 40.7825617445711)","1","Manhattan","108","5","68","29","12","1 Avenue","East 95 Street",,,,"X",,,"Upper East Side-Yorkville","AE",,"2"
"POINT (-73.98711370538557 40.72248375803731)","1","Manhattan","103","2","65","27","10","East Houston St","Ludlow Street",,,,,"X",,"East Village","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95429171712706 40.699284760815644)","3","Brooklyn","303","33","57","25","8","Flushing Avenue","Warsoff Place",,,,"X",,,"Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.95671571051258 40.78659374427928)","1","Manhattan","108","4","68","28","12","5 Avenue","East 94 Street",,,,,"X",,"Upper East Side-Carnegie Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97962371033688 40.66078976979438)","3","Brooklyn","307","39","44","20","10","Bartel Pritchard Sq S","Prospect Park W","X",,,,,,"Windsor Terrace-South Slope","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98258970371417 40.77233574758394)","1","Manhattan","107","6","67","47","12","Columbus Ave","W 64 Street",,,"X",,,,"Upper West Side-Lincoln Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98371971363373 40.59581378307346)","3","Brooklyn","313","47","47","17","8","86 Street","Avenue U",,"X",,,,"2021-09-21T00:00:00.000","Gravesend (West)","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2"
"POINT (-73.9764577054668 40.775523747218166)","1","Manhattan","164","6","75","28","12","Central Park W","W 71 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.79854476681841 40.70398075543671)","4","Queens","412","27","32","14","5","Jamaica Ave","161 Street",,,,"X",,,"Jamaica","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98629571285315 40.57880778650462)","3","Brooklyn","313","47","46","23","8","Neptune Avenue","West 19 Street",,,,"X",,,"Coney Island-Sea Gate","AE",,"1"
"POINT (-73.90874772409813 40.83199873337216)","2","Bronx","203","16","79","32","15","East 168 Street","Brook Avenue",,,,"X",,,"Claremont Village-Claremont (East)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.94150071308052 40.82516373586088)","1","Manhattan","110","9","71","30","13","Bradhurst Avenue","West 148 Street",,,,"X",,,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.95608071242894 40.763657748735696)","1","Manhattan","108","5","76","28","12","York Avenue","East 67 Street",,,,,"X",,"Upper East Side-Lenox Hill-Roosevelt Island","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-74.01154769840254 40.704941762312586)","1","Manhattan","101","1","61","27","10","Broad Street","Beaver Street",,,,,"X","2017-04-22T00:00:00.000","Financial District-Battery Park City","AE",,"1"
"POINT (-73.94945971117316 40.830953735111486)","1","Manhattan","109","7","71","30","13","Riverside Drive","West 151 Street",,,"X",,,,"Hamilton Heights-Sugar Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.87031173404337 40.875333723329874)","2","Bronx","212","12","80","36","15","Bronx Boulevard","Magenta Street",,,,,"X",,"Williamsbridge-Olinville","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00497269927229 40.7157507600151)","1","Manhattan","101","1","66","27","10","Broadway","Thomas Street",,,,"X",,,"Tribeca-Civic Center","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.95091571217336 40.79166574315808)","1","Manhattan","111","8","68","29","13","Madison Avenue","E 103 Street",,,,,"X",,"East Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.97516770779045 40.74446675281266)","1","Manhattan","106","2","74","59","12","East 34 Street","Queens Midtown Tunnel Ent","X",,,,,"1986-12-02T00:00:00.000","Murray Hill-Kips Bay","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-74.00344469914265 40.73874675508747)","1","Manhattan","102","3","66","47","10","8 Avenue","Horatio Street",,,,"X",,,"West Village","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.88232073164022 40.851052729182115)","2","Bronx","206","15","78","33","15","Southern Boulevard","East 183 Street",,,,"X",,,"Bronx Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.0086126984612 40.71136176054642)","1","Manhattan","101","1","61","27","10","Broadway","Vesey Str / Ann Street","X",,,,,"1975-09-04T00:00:00.000","Financial District-Battery Park City","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.89848772566168 40.84869072997834)","2","Bronx","206","15","86","32","15","Park Avenue East S/R","East 178 Street",,,,,"X",,"Tremont","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90971472855638 40.74975675018113)","4","Queens","402","26","37","12","7","Woodside Avenue","Barnett Av (mechanical)",,,,"X",,,"Sunnyside Yards (South)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91351972310375 40.81953273592726)","2","Bronx","201","17","79","32","15","3 Avenue","East 155 Street",,,,"X",,,"Melrose","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.8463817498144 40.72187075296798)","4","Queens","406","29","28","14","6","Queens Boulevard","70 Avenue",,,,"X",,,"Forest Hills","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.89558573356041 40.72895875362434)","4","Queens","405","30","30","12","6","69 Street","54 Avenue",,,,,"X","2018-07-27T00:00:00.000","Maspeth","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.82782375369243 40.75424374662106)","4","Queens","407","20","25","16","6","Main Street","Franklin Avenue","X",,,,,"2022-03-13T00:00:00.000","Flushing-Willets Point","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91722672254132 40.81099473809571)","2","Bronx","201","8","84","29","15","Brook Avenue","East 143 Street",,,,"X",,,"Mott Haven-Port Morris","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.80189376601416 40.70196175600791)","4","Queens","412","27","32","14","5","Archer Avenue","153 Street",,,,,"X",,"Jamaica","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.792002438289 40.85576675693323)","2","Bronx","210","13","82","34","14","City Island Road","City Island Avenue",,,,,"X",,"Pelham Bay-Country Club-City Island","AE",,"1"
"POINT (-73.90174872389659 40.87366572467982)","2","Bronx","208","14","81","31","13","Sedgwick Avenue","300 West of 197 Street (W 229 St)",,,"X",,,,"Kingsbridge Heights-Van Cortlandt Village","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00316470063244 40.71471275976988)","1","Manhattan","101","1","65","27","10","Lafayette Street","Pearl Street",,,"X",,,,"Tribeca-Civic Center","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.93466871517221 40.84294873271269)","1","Manhattan","112","10","72","31","13","Amsterdam Avenue","West 173 Street",,,,,"X",,"Highbridge Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.82503275664216 40.73732174926674)","4","Queens","408","24","27","16","6","Main Street","Bet 63 Drive & Gravett Rd",,,"X",,,,"Kew Gardens Hills","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98029170907014 40.68852476386538)","3","Brooklyn","302","35","57","26","7","Fulton Street","Hudson Avenue",,,,"X",,,"Fort Greene","X","AREA OF MINIMAL FLOOD HAZARD",
