"dbn","location","location_type","total_gc_sw","total_gc","full_time","part_time","bilingual","serving_more_than_one_location","atr","_2014_enrollment_pk_12","ratio_gc_sw","ratio_gc_only"
"04M155","04M155 - P.S. 155 WILLIAM PACA","ELEMENTARY","1","1","1",,,,,"360","360","360"
"04M171","04M171 - P.S. 171 PATRICK HENRY","K-8","3","1","1",,,,,"728","243","728"
"04M182","04M182 - THE BILINGUAL BICULTURAL SCHOOL","ELEMENTARY","1","0",,,,,,"360","360",
"04M206","04M206 - P.S. 206 JOSE CELSO BARBOSA","ELEMENTARY","2","0",,,,,,"472","236",
"04M224","04M224 - M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMIC","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,"1",,,"166","166","166"
"04M372","04M372 - ESPERANZA PREPARATORY ACADEMY","SECONDARY SCHOOL","3","3","3",,"1",,,"507","169","169"
"04M375","04M375 - MOSAIC PREPARATORY ACADEMY","ELEMENTARY","1.4225","0",,,,,,"337","169",
"04M377","04M377 - RENAISSANCE SCHOOL OF THE ARTS","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"167","167","167"
"04M381","04M381 - GLOBAL NEIGHBORHOOD SECONDARY SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"142","142","142"
"04M406","04M406 - GLOBAL TECHNOLOGY PREPARATORY","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"177","177","177"
"04M409","04M409 - COALITION SCHOOL FOR SOCIAL CHANGE","HIGH SCHOOL","1","1","1",,,,"1","283","142","142"
"04M435","04M435 - MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS","HIGH SCHOOL","5","4","4",,"3",,,"1603","321","401"
"04M495","04M495 - PARK EAST HIGH SCHOOL","HIGH SCHOOL","3","3","3",,,,,"413","138","138"
"04M497","04M497 - CENTRAL PARK EAST I","ELEMENTARY","0.6","0",,,,,,"199","199",
"04M555","04M555 - CENTRAL PARK EAST HIGH SCHOOL","HIGH SCHOOL","4","2","2",,"1",,,"466","117","233"
"04M610","04M610 - YOUNG WOMEN'S LEADERSHIP SCHOOL","SECONDARY SCHOOL","1","1","1",,,,,"480","480","480"
"04M680","04M680 - HERITAGE SCHOOL, THE","HIGH SCHOOL","3","3","3",,"2",,,"322","108","108"
"04M825","04M825 - ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,,,,"277","139","277"
"04M964","04M964 - CENTRAL PARK EAST II","ELEMENTARY","1","1","1",,"1",,,"281","281","281"
"05M030","05M030 - P.S. 030 HERNANDEZ/HUGHES","ELEMENTARY","5","3","3",,"1",,,"287","58","96"
"05M036","05M036 - P.S. 036 MARGARET DOUGLAS","ELEMENTARY","1","1","1",,,,,"537","537","537"
"05M046","05M046 - P.S. 046 ARTHUR TAPPAN","ELEMENTARY","2","1","1",,,,,"859","430","859"
"05M092","05M092 - P.S. 092 MARY MCLEOD BETHUNE","ELEMENTARY","1","0",,,,,,"308","308",
"05M123","05M123 - P.S. 123 MAHALIA JACKSON","K-8","2","1","1",,,,"1","575","192","288"
"05M125","05M125 - P.S. 125 RALPH BUNCHE","ELEMENTARY","1","0",,,,,,"218","218",
"05M129","05M129 - P.S. 129 JOHN H. FINLEY","K-8","1","1","1",,"1",,,"491","491","491"
"05M133","05M133 - P.S. 133 FRED R MOORE","ELEMENTARY","2","1","1",,,,,"235","118","235"
"05M148","05M148 - EAGLE ACADEMY FOR YOUNG MEN OF HARLEM","SECONDARY SCHOOL","1","0",,,,,,"140","140",
"05M154","05M154 - P.S. 154 HARRIET TUBMAN","ELEMENTARY","3","1","1",,,,,"320","107","320"
"05M157","05M157 - THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE","HIGH SCHOOL","1","1","1",,,,,"164","164","164"
"05M161","05M161 - P.S. 161 PEDRO ALBIZU CAMPOS","K-8","3","2","2",,,,,"884","295","442"
"05M175","05M175 - P.S. 175 HENRY H GARNET","ELEMENTARY","2","1","1",,,,,"368","184","368"
"05M194","05M194 - P.S. 194 COUNTEE CULLEN","ELEMENTARY","1","1","1",,,,,"173","173","173"
"05M197","05M197 - P.S. 197 JOHN B. RUSSWURM","ELEMENTARY","2","1","1",,,,,"326","163","326"
"05M200","05M200 - P.S. 200- THE JAMES MCCUNE SMITH SCHOOL","ELEMENTARY","4","2","2",,,,,"504","126","252"
"05M285","05M285 - HARLEM RENAISSANCE HIGH SCHOOL","HIGH SCHOOL","2","1","1",,,,,"210","105","210"
"05M286","05M286 - I.S. M286 RENAISSANCE LEADERSHIP ACADEMY","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"177","177","177"
"05M302","05M302 - KAPPA IV","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"198","198","198"
"05M304","05M304 - MOTT HALL HIGH SCHOOL","HIGH SCHOOL","4","3","3",,,,,"428","107","143"
"05M318","05M318 - THURGOOD MARSHALL ACADEMY LOWER SCHOOL","ELEMENTARY","1","1","1",,,,,"221","221","221"
"05M362","05M362 - COLUMBIA SECONDARY SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,,,,"659","330","330"
"05M367","05M367 - ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL","SECONDARY SCHOOL","2","1","1",,"1",,,"234","117","234"
"05M369","05M369 - URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS","HIGH SCHOOL","1","1","1",,,,"1","358","179","179"
"05M410","05M410 - THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"93","93","93"
"05M469","05M469 - CHOIR ACADEMY OF HARLEM","SECONDARY SCHOOL","1","1","1",,,,,"77","77","77"
"05M499","05M499 - FREDERICK DOUGLASS ACADEMY","SECONDARY SCHOOL","5","4","4",,"1",,"1","1428","238","286"
"05M514","05M514 - NEW DESIGN MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2.2","1.2","1","0.2",,"0.2",,"276","92","138"
"05M517","05M517 - TEACHERS COLLEGE COMMUNITY SCHOOL","ELEMENTARY","0","0",,,,,,"218",,
"05M670","05M670 - THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL","SECONDARY SCHOOL","2","2","2",,,,,"561","281","281"
"05M685","05M685 - BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL","HIGH SCHOOL","1","0",,,,,,"100","100",
"05M692","05M692 - HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERI","HIGH SCHOOL","3","2","2",,,,,"470","157","235"
"06M004","06M004 - P.S. 004 DUKE ELLINGTON","ELEMENTARY","2","1","1",,,,,"684","342","684"
"06M005","06M005 - P.S. 005 ELLEN LURIE","ELEMENTARY","3","1","1",,,,,"696","232","696"
"06M008","06M008 - P.S. 008 LUIS BELLIARD","ELEMENTARY","2","1","1",,,,,"581","291","581"
"06M018","06M018 - P.S. 018 PARK TERRACE","K-8","1","0",,,,,,"396","396",
"06M028","06M028 - P.S. 028 WRIGHT BROTHERS","ELEMENTARY","3","2","2",,,,,"766","256","383"
"06M048","06M048 - P.S. 048 P.O. MICHAEL J. BUCZEK","ELEMENTARY","3","1","1",,"1",,,"618","206","618"
"06M052","06M052 - J.H.S. 052 INWOOD","JUNIOR HIGH-INTERMEDIATE-MIDDLE","3","0",,,,,,"481","161",
"06M098","06M098 - P.S. 098 SHORAC KAPPOCK","ELEMENTARY","2","1","1",,"1",,,"625","313","625"
"06M103","06M103 - DOS PUENTES ELEMENTARY SCHOOL","ELEMENTARY","0.4","0.4",,"0.4",,"0.4",,"135","135","135"
"06M115","06M115 - P.S. 115 ALEXANDER HUMBOLDT","ELEMENTARY","2","1","1",,,,,"550","275","550"
"06M128","06M128 - P.S. 128 AUDUBON","ELEMENTARY","3","2","2",,"1",,,"626","209","313"
"06M132","06M132 - P.S. 132 JUAN PABLO DUARTE","ELEMENTARY","2","1","1",,"1",,"1","535","179","268"
"06M143","06M143 - J.H.S. 143 ELEANOR ROOSEVELT","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,"2",,,"398","199","199"
"06M152","06M152 - P.S. 152 DYCKMAN VALLEY","ELEMENTARY","2","1","1",,"1",,,"664","332","664"
"06M153","06M153 - P.S. 153 ADAM CLAYTON POWELL","ELEMENTARY","5","2","2",,"2",,,"795","159","398"
"06M173","06M173 - P.S. 173","ELEMENTARY","2","1","1",,,,,"629","315","629"
"06M178","06M178 - PROFESSOR JUAN BOSCH PUBLIC SCHOOL","EARLY CHILDHOOD","2","0",,,,,,"271","136",
"06M187","06M187 - P.S./I.S. 187 HUDSON CLIFFS","K-8","1","1","1",,,,"1","792","396","396"
"06M189","06M189 - P.S. 189","ELEMENTARY","2","2","2",,"1",,,"1066","533","533"
"06M192","06M192 - P.S. 192 JACOB H. SCHIFF","ELEMENTARY","2.5","1","1",,,,,"314","105","314"
"06M209","06M209 - HAMILTON GRANGE MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","0","0",,,,,,"75",,
"06M210","06M210 - P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR C","K-8","1.4","1.4","1","0.4","1","0.4",,"438","219","219"
"06M211","06M211 - INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE","HIGH SCHOOL","1","0",,,,,,"87","87",
"06M218","06M218 - I.S. 218 SALOME URENA","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"241","241","241"
"06M223","06M223 - THE MOTT HALL SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"280","280","280"
"06M278","06M278 - PAULA HEDBAVNY SCHOOL","K-8","1","1","1",,,,,"538","538","538"
"06M293","06M293 - CITY COLLEGE ACADEMY OF THE ARTS","SECONDARY SCHOOL","3","3","3",,"2",,,"587","196","196"
"06M311","06M311 - AMISTAD DUAL LANGUAGE SCHOOL","K-8","1","1","1",,,,,"428","428","428"
"06M314","06M314 - MUSCOTA","ELEMENTARY","0","0",,,,,,"259",,
"06M319","06M319 - M.S. 319 - MARIA TERESA","JUNIOR HIGH-INTERMEDIATE-MIDDLE","3","2","2",,"1",,,"615","205","308"
"06M322","06M322 - MIDDLE SCHOOL 322","JUNIOR HIGH-INTERMEDIATE-MIDDLE","0.2","0.2",,"0.2",,,,"323","323","323"
"06M324","06M324 - M.S. 324 - PATRIA MIRABAL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,"1",,,"476","476","476"
"06M325","06M325 - P.S. 325","ELEMENTARY","0.5","0",,,,,,"280","280",
"06M326","06M326 - M.S. 326 - WRITERS TODAY & LEADERS TOMORROW","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","0",,,,,,"210","210",
"06M328","06M328 - M.S. 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"213","213","213"
"06M346","06M346 - COMMUNITY HEALTH ACADEMY OF THE HEIGHTS","SECONDARY SCHOOL","4","3","3",,,,,"629","158","210"
"06M348","06M348 - WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL","SECONDARY SCHOOL","4","1","1",,"1",,,"705","177","705"
"07X522","07X522 - BRONX DESIGN AND CONSTRUCTION ACADEMY","HIGH SCHOOL","2","1","1",,,,,"563","282","563"
"06M349","06M349 - HARBOR HEIGHTS","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,"1",,,"137","137","137"
"06M366","06M366 - WASHINGTON HEIGHTS ACADEMY","ELEMENTARY","1","1","1",,,,,"473","473","473"
"06M368","06M368 - HAMILTON HEIGHTS SCHOOL","ELEMENTARY","0","0",,,,,"1","227","227","227"
"06M423","06M423 - HIGH SCHOOL FOR EXCELLENCE AND INNOVATION","HIGH SCHOOL","1","1","1",,"1",,,"229","229","229"
"06M457","06M457 - GEORGE WASHINGTON YABC","HIGH SCHOOL","1","1","1",,,,,"249","249","249"
"06M462","06M462 - THE COLLEGE ACADEMY","HIGH SCHOOL","6","4","4",,"1",,,"491","82","123"
"06M463","06M463 - HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS","HIGH SCHOOL","3","3","3",,,,,"479","160","160"
"06M467","06M467 - HIGH SCHOOL FOR LAW AND PUBLIC SERVICE","HIGH SCHOOL","2","2","2",,,,,"671","336","336"
"06M468","06M468 - HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES","HIGH SCHOOL","2","2","2",,"2",,,"605","303","303"
"06M513","06M513 - CASTLE BRIDGE SCHOOL","ELEMENTARY","1","0",,,,,,"152","152",
"06M528","06M528 - I.S. 528 BEA FULLER RODGERS SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,"1",,,"197","197","197"
"06M540","06M540 - A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL","HIGH SCHOOL","5","5","5",,"1",,,"1354","271","271"
"06M552","06M552 - GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHE","HIGH SCHOOL","2","2","2",,,,,"504","252","252"
"07X001","07X001 - P.S. 001 COURTLANDT SCHOOL","ELEMENTARY","3","2","2",,,,,"707","236","354"
"07X005","07X005 - PS 5 PORT MORRIS","ELEMENTARY","3","0",,,,,,"799","267",
"07X018","07X018 - P.S. 018 JOHN PETER ZENGER","ELEMENTARY","2","1","1",,,,,"576","288","576"
"07X025","07X025 - P.S. 025 BILINGUAL SCHOOL","ELEMENTARY","3","2","2",,,,,"490","164","245"
"07X029","07X029 - P.S./M.S. 029 MELROSE SCHOOL","K-8","2","1","1",,,,,"750","375","750"
"07X030","07X030 - P.S. 030 WILTON","ELEMENTARY","3","2","2",,,,,"624","208","312"
"07X031","07X031 - P.S./M.S. 031 THE WILLIAM LLOYD GARRISON","K-8","2","1","1",,,,,"729","365","729"
"07X043","07X043 - P.S. 043 JONAS BRONCK","ELEMENTARY","2","0",,,,,,"525","263",
"07X049","07X049 - P.S. 049 WILLIS AVENUE","ELEMENTARY","3","2","2",,,,,"713","238","357"
"07X065","07X065 - P.S. 065 MOTHER HALE ACADEMY","ELEMENTARY","4","3","3",,,,,"423","106","141"
"07X151","07X151 - J.H.S. 151 LOU GEHRIG","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,,,,"253","127","127"
"07X154","07X154 - P.S. 154 JONATHAN D. HYATT","ELEMENTARY","2","2","2",,,,,"405","203","203"
"07X157","07X157 - P.S. 157 GROVE HILL","ELEMENTARY","2","0",,,,,,"655","328",
"07X161","07X161 - P.S. 161 PONCE DE LEON","ELEMENTARY","4","3","3",,"1",,,"529","133","177"
"07X162","07X162 - J.H.S. 162 LOLA RODRIGUEZ DE TIO","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"375","375","375"
"07X179","07X179 - P.S. 179","ELEMENTARY","1","0",,,,,,"397","397",
"07X203","07X203 - M.S. 203","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","0",,,,,,"73","73",
"07X221","07X221 - SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL","SECONDARY SCHOOL","3","3","3",,,,"1","654","164","164"
"07X223","07X223 - M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECH","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,"1",,,"502","251","251"
"07X224","07X224 - P.S. / I.S. 224","JUNIOR HIGH-INTERMEDIATE-MIDDLE","3","3","3",,"1",,,"362","121","121"
"07X259","07X259 - H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCC","HIGH SCHOOL","2","0",,,,,,"231","116",
"07X277","07X277 - P.S. 277","ELEMENTARY","1.4","0.4",,"0.4",,"0.4",,"468","234","468"
"07X296","07X296 - SOUTH BRONX ACADEMY FOR APPLIED MEDIA","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"349","349","349"
"07X298","07X298 - ACADEMY OF PUBLIC RELATIONS","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,"1",,,"352","352","352"
"07X321","07X321 - CROTONA ACADEMY HIGH SCHOOL","HIGH SCHOOL","1","1","1",,,,,"104","104","104"
"07X334","07X334 - INTERNATIONAL COMMUNITY HIGH SCHOOL","HIGH SCHOOL","2","2","2",,,,,"463","232","232"
"07X343","07X343 - ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"306","306","306"
"07X359","07X359 - CONCOURSE VILLAGE ELEMENTARY SCHOOL","ELEMENTARY","1","1","1",,,,,"275","275","275"
"07X369","07X369 - YOUNG LEADERS ELEMENTARY SCHOOL","ELEMENTARY","1","1","1",,,,,"270","270","270"
"07X379","07X379 - JILL CHAIFETZ TRANSFER HIGH SCHOOL","HIGH SCHOOL","1","0",,,,,,"190","190",
"07X381","07X381 - BRONX HAVEN HIGH SCHOOL","HIGH SCHOOL","1","1","1",,,,,"173","173","173"
"07X385","07X385 - PERFORMANCE SCHOOL","ELEMENTARY","2","0",,,,,,"143","72",
"07X427","07X427 - COMMUNITY SCHOOL FOR SOCIAL JUSTICE","HIGH SCHOOL","3","1","1",,,,,"324","108","324"
"07X473","07X473 - MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL","HIGH SCHOOL","2","1","1",,"1",,,"364","182","364"
"07X495","07X495 - UNIVERSITY HEIGHTS SECONDARY SCHOOL","HIGH SCHOOL","4.8","0.4",,"0.4",,,,"486","98","486"
"07X500","07X500 - HOSTOS-LINCOLN ACADEMY OF SCIENCE","SECONDARY SCHOOL","1","1","1",,,,,"544","544","544"
"07X520","07X520 - FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES","HIGH SCHOOL","2","2","2",,,,,"145","73","73"
"07X527","07X527 - BRONX LEADERSHIP ACADEMY II HIGH SCHOOL","HIGH SCHOOL","3","2","2",,,,,"495","165","248"
"07X547","07X547 - NEW EXPLORERS HIGH SCHOOL","HIGH SCHOOL","4","3","3",,"1",,"1","475","95","119"
"07X548","07X548 - URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS","HIGH SCHOOL","3","2","2",,,,,"587","196","294"
"07X551","07X551 - THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS","SECONDARY SCHOOL","2","1","1",,,,"1","591","197","296"
"07X557","07X557 - MOTT HAVEN COMMUNITY HIGH SCHOOL","HIGH SCHOOL","2","2","2",,"1",,,"249","125","125"
"07X600","07X600 - ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIG","HIGH SCHOOL","4","3","3",,"1",,,"375","94","125"
"07X655","07X655 - SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH","HIGH SCHOOL","1","1","1",,"1",,,"78","78","78"
"07X670","07X670 - HEALTH OPPORTUNITIES HIGH SCHOOL","HIGH SCHOOL","3","3","3",,,,,"554","185","185"
"08X014","08X014 - P.S. X014 SENATOR JOHN CALANDRA","ELEMENTARY","1","1","1",,,,,"612","612","612"
"08X036","08X036 - P.S. 036 UNIONPORT","ELEMENTARY","1.2","1","1",,"1",,,"789","395","789"
"08X048","08X048 - P.S. 048 JOSEPH R. DRAKE","ELEMENTARY","4","0",,,,,,"873","219",
"08X062","08X062 - P.S. 062 INOCENSIO CASANOVA","ELEMENTARY","1.8","0",,,,,,"798","399",
"08X069","08X069 - P.S. 069 JOURNEY PREP SCHOOL","ELEMENTARY","2.8","1.8","1","0.8","1",,,"604","202","302"
"08X071","08X071 - P.S. 071 ROSE E. SCALA","K-8","5","2","2",,,,,"1693","339","847"
"08X072","08X072 - P.S. 072 DR. WILLIAM DORNEY","ELEMENTARY","3","2","2",,,,,"877","293","439"
"08X075","08X075 - P.S. 75 SCHOOL OF RESEARCH AND DISCOVERY","ELEMENTARY","2","1","1",,,,,"611","306","611"
"08X093","08X093 - P.S. 093 ALBERT G. OLIVER","ELEMENTARY","3","1","1",,,,,"403","135","403"
"08X100","08X100 - P.S. 100 ISAAC CLASON","ELEMENTARY","2","1","1",,,,,"583","292","583"
"08X101","08X101 - M.S. X101 EDWARD R. BYRNE","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"496","496","496"
"08X107","08X107 - P.S. 107","ELEMENTARY","2","1","1",,,,,"474","237","474"
"08X119","08X119 - P.S. 119","ELEMENTARY","3","2","2",,,,,"1030","344","515"
"08X123","08X123 - J.H.S. 123 JAMES M. KIERAN","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,"1",,,"411","206","206"
"08X125","08X125 - J.H.S. 125 HENRY HUDSON","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"397","397","397"
"08X130","08X130 - P.S. 130 ABRAM STEVENS HEWITT","ELEMENTARY","3","1","1",,,,,"482","161","482"
"08X131","08X131 - J.H.S. 131 ALBERT EINSTEIN","JUNIOR HIGH-INTERMEDIATE-MIDDLE","4","3","3",,,,,"586","147","196"
"08X138","08X138 - P.S. 138 SAMUEL RANDALL","ELEMENTARY","1","1","1",,,,,"807","807","807"
"08X140","08X140 - P.S. X140 THE EAGLE SCHOOL","ELEMENTARY","2","1","1",,,,,"654","327","654"
"08X146","08X146 - P.S. 146 EDWARD COLLINS","ELEMENTARY","1","1","1",,"1",,,"456","456","456"
"08X152","08X152 - P.S. 152 EVERGREEN","ELEMENTARY","4","3","3",,"2",,,"979","245","327"
"08X182","08X182 - P.S. 182","ELEMENTARY","2","1","1",,,,,"1000","500","1000"
"08X269","08X269 - BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS","JUNIOR HIGH-INTERMEDIATE-MIDDLE","4","1","1",,,,,"565","142","565"
"08X282","08X282 - WOMEN'S ACADEMY OF EXCELLENCE","HIGH SCHOOL","2","2","2",,,,,"345","173","173"
"08X293","08X293 - RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECH","HIGH SCHOOL","3","2","2",,,,"1","444","111","148"
"08X295","08X295 - GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECH","HIGH SCHOOL","1","1","1",,,,,"70","70","70"
"08X301","08X301 - M.S. 301 PAUL L. DUNBAR","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,,,,"191","96","191"
"08X302","08X302 - M.S. 302 LUISA DESSUS CRUZ","JUNIOR HIGH-INTERMEDIATE-MIDDLE","4","2","2",,"2",,,"539","135","270"
"08X304","08X304 - P.S. 304 EARLY CHILDHOOD SCHOOL","ELEMENTARY","3","0",,,,,,"558","186",
"08X305","08X305 - PABLO NERUDA ACADEMY","HIGH SCHOOL","2","1","1",,,,,"315","158","315"
"08X312","08X312 - MILLENNIUM ART ACADEMY","HIGH SCHOOL","3","2","2",,,,,"487","163","244"
"08X320","08X320 - PELHAM LAB HIGH SCHOOL","HIGH SCHOOL","1","1","1",,,,,"211","211","211"
"08X332","08X332 - HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH","HIGH SCHOOL","1","1","1",,"1",,,"236","236","236"
"08X333","08X333 - P.S. 333 - THE MUSEUM SCHOOL","ELEMENTARY","2","0",,,,,,"432","216",
"08X335","08X335 - THE ACADEMY OF THE ARTS","ELEMENTARY","0","0",,,,,,"290",,
"08X337","08X337 - THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"398","398","398"
"08X348","08X348 - SCHUYLERVILLE PREPARATORY HIGH SCHOOL","HIGH SCHOOL","1","1","1",,"1",,,"177","177","177"
"08X349","08X349 - BRONX RIVER HIGH SCHOOL","HIGH SCHOOL","1","1","1",,,,,"204","204","204"
"08X366","08X366 - URBAN ASSEMBLY ACADEMY OF CIVIC ENGAGEMENT","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"166","166","166"
"08X367","08X367 - ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOG","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,"1",,,"637","319","637"
"08X371","08X371 - URBAN INSTITUTE OF MATHEMATICS","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,,,,"290","145","290"
"08X375","08X375 - THE BRONX MATHEMATICS PREPARATORY SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","0",,,,,"1","278","139",
"08X376","08X376 - ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOA","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,"1",,,"450","225","225"
"08X377","08X377 - BRONX COMMUNITY HIGH SCHOOL","HIGH SCHOOL","0","0",,,,,,"165",,
"08X392","08X392 - BRONX DELTA SCHOOL","ELEMENTARY","0","0",,,,,,"74",,
"08X405","08X405 - HERBERT H. LEHMAN HIGH SCHOOL","HIGH SCHOOL","6","5","5",,,,"1","1535","220","256"
"08X424","08X424 - THE HUNTS POINT SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,"1",,,"353","177","353"
"08X432","08X432 - BRONX BRIDGES HIGH SCHOOL","HIGH SCHOOL","3","2","2",,,,,"333","111","167"
"08X448","08X448 - SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,,,,"348","174","348"
"08X452","08X452 - BRONX GUILD","HIGH SCHOOL","3","1","1",,,,,"326","109","326"
"08X467","08X467 - MOTT HALL COMMUNITY SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"225","225","225"
"08X519","08X519 - FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB","HIGH SCHOOL","2","2","2",,,,,"307","154","154"
"08X530","08X530 - BANANA KELLY HIGH SCHOOL","HIGH SCHOOL","4","3","3",,,,,"325","82","109"
"08X537","08X537 - BRONX ARENA HIGH SCHOOL","HIGH SCHOOL","1","1","1",,,,,"207","207","207"
"08X558","08X558 - WESTCHESTER SQUARE ACADEMY","HIGH SCHOOL","3","1","1",,,,,"396","132","396"
"08X559","08X559 - SCHOOL FOR TOURISM AND HOSPITALITY","HIGH SCHOOL","2.2","1","1",,,,,"240","80","240"
"08X561","08X561 - BRONX COMPASS HIGH SCHOOL","HIGH SCHOOL","2","1","1",,,,,"332","166","332"
"08X562","08X562 - BLUEPRINT MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,,,,"306","153","153"
"08X650","08X650 - JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS","HIGH SCHOOL","2","2","2",,,,,"147","74","74"
"09X004","09X004 - P.S./M.S. 004 CROTONA PARK WEST","K-8","5","1","1",,,,,"548","110","548"
"09X011","09X011 - P.S. 011 HIGHBRIDGE","ELEMENTARY","2","1","1",,,,,"739","370","739"
"09X022","09X022 - J.H.S. 022 JORDAN L. MOTT","JUNIOR HIGH-INTERMEDIATE-MIDDLE","4","3","3",,,,,"487","122","163"
"09X028","09X028 - P.S. 028 MOUNT HOPE","ELEMENTARY","2","1","1",,,,,"740","370","740"
"09X035","09X035 - P.S. 035 FRANZ SIEGEL","ELEMENTARY","0.6","0.6",,"0.6",,"0.6",,"710","710","710"
"09X042","09X042 - P.S. 042 CLAREMONT","ELEMENTARY","2.6","1.6","1","0.6",,,,"453","151","227"
"09X053","09X053 - P.S. 053 BASHEER QUISIM","ELEMENTARY","3","2","2",,,,,"1321","441","661"
