"propnum","prop_id","boro","ampsdistrict","prop_name","site_name","prop_location","site_location","acres","category","sub_category","rated","reason_not_rated","council_district","zipcode","communityboard","jurisdiction","nysassembly","nyssenate","uscongress","precinct","comfortstation","sourcefc"
"QZ26","QZ26","Q","11","TRIANGLE","TRIANGLE","HAMPTON BLVD EAST, 53-56 AVES","HAMPTON BLVD EAST, 53-56 AVES","0.00000000","Greenstreet","Type 1","false","May never have been our responsibility, not even Greenstreet. Unratable as of 1/2018 AB.",,,,"DPR",,,,,"false","Unmapped"
"QZ270","QZ270","Q","03","GREENSTREET","GREENSTREET","34TH AVE MALLS (7)","34TH AVE MALLS (7)","0.00000000","Greenstreet","Type 2","false",,,,,"DPR",,,,,"false","Unmapped"
"QZ272","QZ272","Q","03","GREENSTREET","GREENSTREET","34TH AVE MALLS (9)","34TH AVE MALLS (9)","0.00000000","Greenstreet","Type 2","false",,,,,"DPR",,,,,"false","Unmapped"
"QZ310","QZ310","Q","05","GREENSTREET","GREENSTREET","WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (1)","WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (1)","0.00000000","Greenstreet","Type 2","false","Just trees (type 2).",,,,"DPR",,,,,"false","Unmapped"
"QZ311","QZ311","Q","05","GREENSTREET","GREENSTREET","WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (2)","WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (2)","0.00000000","Greenstreet","Type 2","false","Just trees (type 2).",,,,"DPR",,,,,"false","Unmapped"
"QZ312","QZ312","Q","05","GREENSTREET","GREENSTREET","WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (3)","WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (3)","0.00000000","Greenstreet","Type 2","false","Just trees (type 2).",,,,"DPR",,,,,"false","Unmapped"
"QZ313","QZ313","Q","05","GREENSTREET","GREENSTREET","WOODHAVEN BLVD BET. MYRTLE AVE & 83 AVE","WOODHAVEN BLVD BET. MYRTLE AVE & 83 AVE","0.00000000","Greenstreet","Type 1","false","No longer exists.",,,,"DPR",,,,,"false","Unmapped"
"QZ324","QZ324","Q","07","GREENSTREET","GREENSTREET",,,"0.00000000","Greenstreet","Type 1","false",,,,,"DPR",,,,,"false","Unmapped"
"QZ35","QZ35","Q","12","MALLS","MALLS","SPRING BLVD, BENNETT ST & SOUTHGATE PL","SPRING BLVD, BENNETT ST & SOUTHGATE PL","0.00000000","Small Park","Sitting Area/Triangle/Mall","false","Malls",,,,"DPR",,,,,"false","Unmapped"
"QZ40","QZ40","Q","13","HOLLIS COURT MALLS","HOLLIS COURT MALLS","HOLLIS COURT BLVD, JAMAICA TO HILLSIDE AVES","HOLLIS COURT BLVD, JAMAICA TO HILLSIDE AVES","0.00000000","Small Park","Sitting Area/Triangle/Mall","true",,,,,"DPR",,,,,"false","Unmapped"
"QZ42","QZ42","Q","13","211 MALLS","211 MALLS","211 ST, 99 TO HOLLIS AVES","211 ST, 99 TO HOLLIS AVES","0.00000000","Small Park","Sitting Area/Triangle/Mall","true",,,,,"DPR",,,,,"false","Unmapped"
"QZ43","QZ43","Q","02","SITTING AREA (STATUE)","SITTING AREA (STATUE)","65 PLACE, LAUREL HILL BLVD, BKLYN-QNS EXWY","65 PLACE, LAUREL HILL BLVD, BKLYN-QNS EXWY","0.00000000","Small Park","Sitting Area/Triangle/Mall","false","Now rated under tracking #QT21, AB 11/2017.",,,,"DPR",,,,,"false","Unmapped"
"QZ44","QZ44","Q","02","PEDESTRIAN ACCESS EASEMENT","PEDESTRIAN ACCESS EASEMENT","44 RD, VERNON BOULEVARD AND 43 AVE","44 RD, VERNON BOULEVARD AND 43 AVE","0.00000000","Other","Undeveloped","false","NOTHING GREEN PRESENT",,,,"DPR",,,,,"false","Unmapped"
"QZ490","QZ490","Q","11","GREENSTREET","GREENSTREET","UTOPIA PKWY BET. 50 AVE & 56 AVE","UTOPIA PKWY BET. 50 AVE & 56 AVE","0.00000000","Greenstreet","Type 2","false","Just trees (type 2).",,,,"DPR",,,,,"false","Unmapped"
"QZ633","QZ633","Q","13","GREENSTREET","GREENSTREET","SPRINGFIELD BLVD BET. 112 AVE & 113 ST (1)","SPRINGFIELD BLVD BET. 112 AVE & 113 ST (1)","0.00000000","Greenstreet","Type 2","false","Just trees (type 2).",,,,"DPR",,,,,"false","Unmapped"
"QZ634","QZ634","Q","13","GREENSTREET","GREENSTREET","SPRINGFIELD BLVD BET. 112 AVE & 113 ST (2)","SPRINGFIELD BLVD BET. 112 AVE & 113 ST (2)","0.00000000","Greenstreet","Type 2","false","Just trees (type 2).",,,,"DPR",,,,,"false","Unmapped"
"QZ649","QZ649","Q","14","GREENSTREET","GREENSTREET","BEACH 116 ST & OCEAN PROMENADE (CENTER)","BEACH 116 ST & OCEAN PROMENADE (CENTER)","0.00000000","Greenstreet","Type 1","false","SITE MAY HAVE BEEN REMOVED.",,,,"DPR",,,,,"false","Unmapped"
"QZ650","QZ650","Q","14","GREENSTREET","GREENSTREET","BEACH 116 ST & OCEAN PROMENADE (S)","BEACH 116 ST & OCEAN PROMENADE (S)","0.00000000","Greenstreet","Type 1","false","SITE HAS BEEN REMOVED 12/6/2007. EH",,,,"DPR",,,,,"false","Unmapped"
"QZ674","QZ674","Q","14","GREENSTREET","GREENSTREET","SHOREFRONT PKWY & BEACH 101 ST","SHOREFRONT PKWY & BEACH 101 ST","0.00000000","Greenstreet","Type 2","false","Just trees (type 2).",,,,"DPR",,,,,"false","Unmapped"
"QZ83","QZ83","Q","01","SEVEN OAKS","SEVEN OAKS","38 ST, 24 AVE, ASTORIA BLVD NORTH","38 ST, 24 AVE, ASTORIA BLVD NORTH","0.00000000","Small Park","Sitting Area/Triangle/Mall","false","Rated as QT20",,,,"DPR",,,,,"false","Unmapped"
"QZ94","QZ94","Q","09","SITTING AREA","SITTING AREA","LEFFERTS BLVD, AUSTIN ST","LEFFERTS BLVD, AUSTIN ST","0.00000000","Small Park","Sitting Area/Triangle/Mall","false","not parks property.  BD 2/13/03",,,,"DPR",,,,,"false","Unmapped"
"QZ95","QZ95","Q","09","SSG PATBOUVIER E ""BOBBY"" ORTIZ TRIANGLE","SSG PATBOUVIER E ""BOBBY"" ORTIZ TRIANGLE","HILLSIDE AV, METROPOLITAN AV, 129 ST","HILLSIDE AV, METROPOLITAN AV, 129 ST","0.00000000","Small Park","Sitting Area/Triangle/Mall","true",,,,,"DPR",,,,,"false","Unmapped"
"QZ97","QZ97","Q","10","ROGER RABBIT RUN","ROGER RABBIT RUN","79 ST, 157 AV (DOT FENCE)","79 ST, 157 AV (DOT FENCE)","0.00000000","Small Park","Sitting Area/Triangle/Mall","false","just grass strip along DOT fence, no other features AB 9/20/12",,,,"DPR",,,,,"false","Unmapped"
"R075","R075","R","99","STATEN ISLAND EXWY (6.8 MILES)","STATEN ISLAND EXWY (6.8 MILES)","GIL BLOOM CIRCLE TO FT WADSWORTH","GIL BLOOM CIRCLE TO FT WADSWORTH","0.00000000","Other","EXWY","false","HWY",,,,"DPR",,,,,"false","Unmapped"
"RZ07","RZ07","R","01","GREENSTREET","GREENSTREET","CLOVE ROAD, LITTLE CLOVE ROAD,NARROWS ROAD NORTH","CLOVE ROAD, LITTLE CLOVE ROAD,NARROWS ROAD NORTH","0.00000000","Other","DOT Adopt-A-Highway","false","DOT ""Adopt-A-Highway"" Site",,,,"DPR",,,,,"false","Unmapped"
"RZ08","RZ08","R","02","GREENSTREET","GREENSTREET","OLGA PLACE, STEUBEN ST (NORTH), STEUBEN ST (SOUTH)","OLGA PLACE, STEUBEN ST (NORTH), STEUBEN ST (SOUTH)","0.00000000","Other","DOT Adopt-A-Highway","false","DOT ""Adopt-A-Highway"" Site",,,,"DPR",,,,,"false","Unmapped"
"RZ09","RZ09","R","02","GREENSTREET","GREENSTREET","STEUBEN ST, OLGA PLACE","STEUBEN ST, OLGA PLACE","0.00000000","Other","DOT Adopt-A-Highway","false","DOT ""Adopt-A-Highway"" Site",,,,"DPR",,,,,"false","Unmapped"
"RZ11","RZ11","R","01","GREENSTREET SITE","GREENSTREET SITE","HARBOR AVE BET. SYLVAN & FOREST CT","HARBOR AVE BET. SYLVAN & FOREST CT","0.00000000","Greenstreet","Type 1","false","Private ownership",,,,"DPR",,,,,"false","Unmapped"
"RZ116","RZ116","R","03","GREENSTREET","GREENSTREET","ARTHUR KILL RD & RICHMOND AVE (BUS STOP)","ARTHUR KILL RD & RICHMOND AVE (BUS STOP)","0.00000000","Greenstreet","Type 2","false","Just trees (type 2).",,,,"DPR",,,,,"false","Unmapped"
"RZ16","RZ16","R","01","GREENSTREET","GREENSTREET","NORTH GANNON AVE, VICTORY BLVD, NEPTUNE AVE","NORTH GANNON AVE, VICTORY BLVD, NEPTUNE AVE","0.00000000","Other","DOT Adopt-A-Highway","false","DOT ""Adopt-A-Highway"" Site",,,,"DPR",,,,,"false","Unmapped"
"RZ17A","RZ17A","R","02","GREENSTREET","GREENSTREET",,,"0.00000000","Greenstreet","Type 1","false",,,,,"DPR",,,,,"false","Unmapped"
"RZ264","RZ264","R","03","GREENSTREET","GREENSTREET","MANHATTAN ST DEAD END, SOUTH OF BILLOP AVE","MANHATTAN ST DEAD END, SOUTH OF BILLOP AVE","0.00000000","Greenstreet","Type 1","false","May no longer exist after Sandy, not on GIS map.",,,,"DPR",,,,,"false","Unmapped"
"RZ265","RZ265","R","03","GREENSTREET","GREENSTREET","MANHATTAN ST DEAD END, SOUTH OF BILLOP AVE","MANHATTAN ST DEAD END, SOUTH OF BILLOP AVE","0.00000000","Greenstreet","Type 1","false","Rated under RZ264.",,,,"DPR",,,,,"false","Unmapped"
"RZ44","RZ44","R","02","KOREAN WAR VETERANS MEMORIAL PK","KOREAN WAR VETERANS MEMORIAL PK","OCEAN TERRACE, MILFORD DRIVE","OCEAN TERRACE, MILFORD DRIVE","0.00000000","Small Park","Sitting Area/Triangle/Mall","false","rated under RT04 11/2014 AB.",,,,"DPR",,,,,"false","Unmapped"
"RZ53","RZ53","R","01","GREENSTREET","GREENSTREET","HARBOR AVE BET FOREST CT & DEAD END","HARBOR AVE BET FOREST CT & DEAD END","0.00000000","Greenstreet","Type 1","false","Private ownership",,,,"DPR",,,,,"false","Unmapped"
"RZ60","RZ60","R","02","GREENSTREET","GREENSTREET","LILY POND & VERRAZANO-NARROWS BRIDGE","LILY POND & VERRAZANO-NARROWS BRIDGE","0.00000000","Greenstreet","Type 1","false","owned by DOT",,,,"DPR",,,,,"false","Unmapped"
"RZ65","RZ65","R","03","GREENSTREET","GREENSTREET","DEWEY PLACE & GREAVES AVENUE","DEWEY PLACE & GREAVES AVENUE","0.00000000","Greenstreet","Type 1","false","owned by DOT",,,,"DPR",,,,,"false","Unmapped"
"RZ66","RZ66","R","03","GREENSTREET","GREENSTREET","DRUMGOOLE ROAD EAST & EDGEGROVE AVE","DRUMGOOLE ROAD EAST & EDGEGROVE AVE","0.00000000","Greenstreet","Type 1","false","Adopt-a-Highway",,,,"DPR",,,,,"false","Unmapped"
"RZ91","RZ91","R","01","GREENSTREET","GREENSTREET","RICHMOND TERRACE B/W SI FERRY & SCHUYLER ST (PLANTERS)","RICHMOND TERRACE B/W SI FERRY & SCHUYLER ST (PLANTERS)","0.00000000","Greenstreet","Type 1","false","Just trees (type 2).",,,,"DPR",,,,,"false","Unmapped"
"X002","X002-05Ao","X","11","Bronx Park","WARING PLGD","Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","WARING AVE, BRONX PK E","0.00000000","Small Park","Plgd Within Park","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X002","X002-08o","X","11","Bronx Park","FRENCH CHARLEY PLGD","Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","E 204 ST, W/S BRONX PARK","0.00000000","Small Park","Plgd Within Park","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X002","X002-09o","X","12","Bronx Park","NILES TRIANGLE","Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","E. 226TH ST, BRONX BLVD","0.00000000","Small Park","Sitting Area/Triangle/Mall","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X002","X002-14o","X","11","Bronx Park","ROSEWOOD PLAYGROUND","Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","BRONX RIVER PKWY & ROSEWOOD ST","0.00000000","Small Park","Plgd Within Park","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X002","X002-ZN02o","X","11","Bronx Park","BRONX PARK ZONE 2","Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","PELHAM PKWY ON-RAMP TO BRONX RIVER PKWY/KAZIMIROFF/BRONX PARK E/BRONX RIVER PKWY","0.00000000","Large Park","Large Park Zone","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X002","X002-ZN03o","X","11","Bronx Park","BRONX PARK ZONE 3","Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","KAZIMIROFF/DUNCOMB/BRONX PARK EAST/BRONX RIVER PKWY","0.00000000","Large Park","Large Park Zone","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X002","X002-ZN04o","X","11","Bronx Park","ALLERTON FIELDS IN BRONX PARK","Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","KAZIMIROFF @ MOSHOLU/DUNCOMB/METRO N RR TRACKS/BRONX RIVER PKWY","0.00000000","Large Park","Large Park Zone","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X002","X002-ZN05","X","14","Bronx Park","BRONX RIVER PARKWAY EAST","Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","DUNCOMB/NEREID AVE BRIDGE/BRONX BLVD/BRONX RIVER","44.75899887","Large Park","Large Park Zone","false","Split into two zones. AB 3/27/13.",,,,"DPR",,,,,"false","Unmapped"
"X002","X002-ZN05o","X","12","Bronx Park","BRONX RIVER PARKWAY EAST","Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","DUNCOMB/NEREID AVE BRIDGE/BRONX BLVD/BRONX RIVER","0.00000000","Large Park","Large Park Zone","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X002","X002-ZN06o","X","12","Bronx Park","BRONX RIVER PARKWAY WEST","Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","S/O CONRAD TRESTLE-ADJ BF PATHS/N/O SOCCER FLDS FENCE/ODYS HSE LW PERIMETER","0.00000000","Large Park","Large Park Zone","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X004","X004-01o","X","12","Bronx River Parkway","227ST PLAYGROUND","Bronx River bet. Burke Ave. and the New York City-Westchester Line","E 227 ST/BRONX RIVER PARKWAY","0.00000000","Small Park","Plgd Within Park","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X004","X004-02o","X","12","Bronx River Parkway","OLINVILLE PLAYGROUND","Bronx River bet. Burke Ave. and the New York City-Westchester Line","E 219 ST, BX RIVER PKWY","0.00000000","Small Park","Plgd Within Park","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X010B","X010B","X","03","HYLAN PARK","HYLAN PARK","CROTONA PARK NORTH, E. 175 ST & SOUTHERN BLVD","CROTONA PARK NORTH, E. 175 ST & SOUTHERN BLVD","3.70000005","Small Park","Sitting Area/Triangle/Mall","false","Rated as X010-ZN06",,,,"DPR",,,,,"false","Unmapped"
"X013","X013-01o","X","07","Devoe Park","Devoe Park-Playground","W. Fordham Rd. bet. Sedgwick Ave. and Un","W 188 St & University Ave","0.82099998","Small Park","Plgd Within Park","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X013","X013-02o","X","07","Devoe Park","Devoe Park-Playground","W. Fordham Rd. bet. Sedgwick Ave. and Un","Sedgwick Ave & Fordham Ave","0.19100000","Small Park","Plgd Within Park","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X013","X013o","X","07","Devoe Park","Devoe Park","W. Fordham Rd. bet. Sedgwick Ave. and Un","W. Fordham Rd. bet. Sedgwick Ave. and Un","5.44000006","Small Park","Neighborhood Park","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X095","X095o","X","12","Williamsbridge Square","Williamsbridge Square","White Plains Rd. bet. E. 212 St. and Magenta St.","White Plains Rd. bet. E. 212 St. and Magenta St.","1.39499998","Small Park","Sitting Area/Triangle/Mall","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X107","X107o","X","10","Hawkins Park","Hawkins Park","City Island Ave. bet. Fordham St. and Hawkins St.","HAWKINS ST & CITY ISLAND AVE","0.13600001","Small Park","Sitting Area/Triangle/Mall","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X135","X135","X","08","PLAYGROUND","PLAYGROUND","BAILEY & 234 ST","BAILEY & 234 ST","2.50000000","Small Park","Neighborhood Plgd","false","Rated as X150J",,,,"DPR",,,,,"false","Unmapped"
"X147A","X147A-01o","X","09","Starlight Park","Starlight Park Playground","Sheridan Exwy. bet. E. 174 St., E. 172 St. and Jennings St.","Sheridan Exwy, Bronx River, S/o E 174 St Bridge",,"Small Park","Plgd Within Park","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X147A","X147Ao","X","09","Starlight Park","Starlight Park","Sheridan Exwy. bet. E. 174 St., E. 172 St. and Jennings St.","Sheridan Exwy. bet. E. 174 St., E. 172 St. and Jennings St.",,"Large Park","Large Park","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X147A","X147A-ZN01o","X","09","Starlight Park","Starlight Park Zone 1","Sheridan Exwy. bet. E. 174 St., E. 172 St. and Jennings St.","E 172 To Bridge N/o E 174 Sts, Sheridan Exwy, Bronx River",,"Large Park","Large Park Zone","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X147A","X147A-ZN02o","X","09","Starlight Park","Starlight Park Zone 2","Sheridan Exwy. bet. E. 174 St., E. 172 St. and Jennings St.","E 174 To E 177 Sts, Bronx River, Amtrak And Bus Depot",,"Large Park","Large Park Zone","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X148","X148","X","04","CROSS BRONX EXWY (6.2 MILES)","CROSS BRONX EXWY (6.2 MILES)","WASHINGTON BRIDGE TO THROGS NECK BRIDGE","WASHINGTON BRIDGE TO THROGS NECK BRIDGE","15.08500004","Other","EXWY","false","EXWY",,,,"DPR",,,,,"false","Unmapped"
"X150","X150","X","07","MAJOR DEEGAN EXWY (9.8 MILES)","MAJOR DEEGAN EXWY (9.8 MILES)","FROM HALL OF FAME TERR TO VAN CORTLAND PK SOUTH","FROM HALL OF FAME TERR TO VAN CORTLAND PK SOUTH","0.00000000","Other","EXWY","false","HWY",,,,"DPR",,,,,"false","Unmapped"
"X191","X191","X","10","THROGS NECK EXPRESSWAY","THROGS NECK EXPRESSWAY","BRUCKNER BLVD TO THROGS NECK BRIDGE","BRUCKNER BLVD TO THROGS NECK BRIDGE","0.00000000","Other","EXWY","false","HWY",,,,"DPR",,,,,"false","Unmapped"
"X231","X231","X","02","BRYANT PARK","BRYANT PARK","BRYANT AVE, SENECA ST, LAFAYETTE ST","BRYANT AVE, SENECA ST, LAFAYETTE ST","0.00000000","Small Park","Undeveloped","false","Not DPR - Department of Real Estate as per Parklands. LG",,,,"DPR",,,,,"false","Unmapped"
"X231","X231-01","X","02","BRYANT PLGD","BRYANT PLGD","BRYANT AVE,  SENECA STREET","BRYANT AVE,  SENECA STREET","0.00000000","Small Park","Undeveloped","false","EMPTY LOT USED AS COMMUNITY GARGEN. 4/02 -AT",,,,"DPR",,,,,"false","Unmapped"
"X249","X249","X","02","BANANA KELLY PARK","BANANA KELLY PARK","W/S BECK ST, N/S INTERVALE AVE","W/S BECK ST, N/S INTERVALE AVE","0.61000001","Small Park","Undeveloped","false","Not DPR - auctioned off",,,,"DPR",,,,,"false","Unmapped"
"X253","X253o","X","10","Ambrosini Field","Ambrosini Field","City Island Ave bet. Centre St. and Winter St.","/S CITY ISLAND AVENUE AT CENTRE ST","6.09999990","Small Park","Neighborhood Plgd","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X279","X279o","X","10","City Island Wetlands","City Island Wetlands","Bay St, Tier St, Echester Bay","BAY ST, TIER ST, EASTCHESTER BAY","8.00500011","Large Park","Large Park","false",,,,,"DPR",,,,,"false","Unmapped"
"XS09","XS09","X","06","P.S. 211 - BRONX","P.S. 211 - BRONX","1919 PROSPECT AVE","1919 PROSPECT AVE","0.00000000",,"DOE Plgd","false",,,,,,,,,,,"Unmapped"
"XZ120","XZ120o","X","07","GREENSTREET","GREENSTREET","MOSHOLU PKWY & KAZIMIROFF BLVD","MOSHOLU PKWY & KAZIMIROFF BLVD","0.00000000","Greenstreet","Type 1","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"XZ163","XZ163","X","08","GREENSTREET","GREENSTREET","HENRY HUDSON PKWY EAST (SERVICE ROAD) & 239 ST","HENRY HUDSON PKWY EAST (SERVICE ROAD) & 239 ST","0.00000000","Greenstreet","Type 1","false","May not exist as a GS anymore. XZ237 was often rated instead.",,,,"DPR",,,,,"false","Unmapped"
"X004","XZ203o","X","12","Bronx River Parkway","Bronx River Parkway-Greenstreet","Bronx River bet. Burke Ave. and the New York City-Westchester Line","Webster Av & Bx River Pkwy Rd","0.02800000","Greenstreet","Type 1","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"XZ293","XZ293o","X","12","GREENSTREET","GREENSTREET","BRONX BLVD & CARPENTER AVE & 219 ST (1)","BRONX BLVD & CARPENTER AVE & 219 ST (1)","0.00000000","Greenstreet","Type 1","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X004","XZ294o","X","09","Bronx River Parkway","Greenstreet","Bronx River bet. Burke Ave. and the New York City-Westchester Line","Bronx Blvd & Carpenter Av & 219 St","0.01600000","Greenstreet","Type 1","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"X004","XZ295o","X","09","Bronx River Parkway","Greenstreet","Bronx River bet. Burke Ave. and the New York City-Westchester Line","Bronx Blvd & Duncomb Ave","0.02800000","Greenstreet","Type 1","false","District switch",,,,"DPR",,,,,"false","Unmapped"
"XZ314","XZ314","X","06","GREENSTREET","GREENSTREET","BRONX PARK SOUTH & SOUTHERN BLVD (CROTONA MALLS 1)","BRONX PARK SOUTH & SOUTHERN BLVD (CROTONA MALLS 1)","0.00000000","Greenstreet","Type 1","false","will rate as part of zone",,,,"DPR",,,,,"false","Unmapped"
"XZ332","XZ332","X","08","GREENSTREET","GREENSTREET","BAILEY AVE & VAN CORTLANDT PARK SOUTH","BAILEY AVE & VAN CORTLANDT PARK SOUTH","0.00000000","Greenstreet","Type 1","false","Rated as XZ467",,,,"DPR",,,,,"false","Unmapped"
"XZ65","XZ65","X","11","GREENSTREET","GREENSTREET","ESPLANADE AVE & HAIGHT AVE & LURTING AVE","ESPLANADE AVE & HAIGHT AVE & LURTING AVE","0.00000000","Greenstreet","Type 2","false","Just trees (type 2).",,,,"DPR",,,,,"false","Unmapped"
"XZ69","XZ69o","X","12","GREENSTREET","GREENSTREET","BRONX BOULEVARD & EAST 219TH STREET & CARPENTER AVE (2)","BRONX BOULEVARD & EAST 219TH STREET & CARPENTER AVE (2)","0.00000000","Greenstreet","Type 1","false","District switch",,,,"DPR",,,,,"false","Unmapped"
