"order_number","record_type","order_type","borough","on_street","on_street_suffix","from_street","from_street_suffix","to_street","to_street_suffix","side_of_street","order_completed_on_date","sign_code","sign_description","sign_size","sign_design_voided_on_date","sign_location","distance_from_intersection","arrow_direction","facing_direction","sheeting_type","support","sign_notes","sign_x_coord","sign_y_coord"
"ST01529948","Current","ST","Queens","156 AVENUE",,"89 STREET",,,,"@","2021-06-09T00:00:00.000","SI-XXXXACG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) THAT IS ALL-CAPS","XXX X 009",,"*NOTE","0",,,"TIII","TIII","89 ST","1027288","181101"
"R-01526739","Historical","R-","Brooklyn","SHERIDAN AVENUE",,"STANLEY AVENUE",,"WORTMAN AVENUE",,"W","2021-06-07T00:00:00.000","CL","CURB LINE","N/A",,,"530",,,,,,,
"S-291564","Historical","S-","Queens","BOWNE STREET",,"41 AVENUE",,"ROOSEVELT AVENUE",,"E","2012-03-06T00:00:00.000","PL","PROPERTY LINE","N/A",,,"366",,,,,,,
"R-01533898","Historical","R-","Queens","70 ROAD",,"136 STREET",,"137 STREET",,"S","2021-06-21T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"ST01505672","Historical","ST","Queens","88 AVENUE",,"148 STREET",,,,"@","2021-02-16T00:00:00.000","SI-XXXXG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) (TO BE USED FOR STREET NAME SIGNS WHERE WIDTH IS GREATER THAN 36"" OR UNKNOWN OR FOR LOCAL LAW SNS)","XXX X 009",,"N/W C","0",,,"TIII","TIII","148 ST","1037466","196248"
"R-01535002","Historical","R-","Manhattan","RIVERSIDE DRIVE",,"WEST   95 STREET",,"WEST   79 STREET",,"W","2021-06-25T00:00:00.000","SI-1878G","LOCAL MTA BUS ROUTE PANEL (TEXT TO BE MODIFIED AS REQUESTED)","14.12 X 6",,,"3150",,,"PNTD","PNTD","M5","989536","226275"
"S-272062","Historical","S-","Bronx","EAST  237 STREET",,"KEPLER AVENUE",,"ONEIDA AVENUE",,"S","1973-06-12T00:00:00.000","BL","BUILDING LINE","N/A",,,"0",,,,,,,
"P-01345571","Historical","P-","Bronx","GRAND AVENUE",,"WEST  190 STREET",,"WEST FORDHAM ROAD",,"E","2019-01-07T00:00:00.000","PS-9A","PAY-BY-CELL LOCATOR NUMBER","018 X 006",,,"648",,,"PNTD","PNTD","210659","1011047","253680"
"S-045734","Historical","S-","Staten Island","ARKANSAS AVENUE",,"GIFFORDS LANE",,"ELVERTON AVENUE",,"N","2000-09-22T00:00:00.000","PL","PROPERTY LINE","N/A",,,"10",,,,,,,
"P-01458636","Historical","P-","Brooklyn","FULTON STREET",,"RALPH AVENUE",,"HOWARD AVENUE",,"S","2020-07-31T00:00:00.000","SI-584G","14 STREET & UNION SQ (BOTTOM LOCATION PANEL)(USE AS EXAMPLE FOR DIFFERENT LOCATION)","016 X 008",,,"98",,,"PNTD","PNTD","FULTON ST &amp; RALPH AV","1006080","186610"
"P-01273563","Historical","P-","Queens","NORTHERN BOULEVARD",,"80 STREET",,"79 STREET",,"N","2017-11-01T00:00:00.000","BL","BUILDING LINE","N/A",,,"216",,,,,,,
"S-743312","Historical","S-","Brooklyn","MARTENSE STREET",,"BEDFORD AVENUE",,"ROGERS AVENUE",,"S","1955-02-28T00:00:00.000","PL","PROPERTY LINE","N/A",,,"520",,,,,,,
"R-642590","Historical","R-","Staten Island","CASTLETON AVENUE",,"BARD AVENUE",,"DAVIS AVENUE",,"N","2002-05-01T00:00:00.000","CL","CURB LINE","N/A",,,"638",,,,,,,
"S-01392664","Current","S-","Brooklyn","WEST    5 STREET",,"AVENUE P",,"AVENUE O",,"E","2019-12-13T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"R-01521648","Historical","R-","Brooklyn","ROCKAWAY PARKWAY",,"AVENUE N",,,,"@","2021-06-22T00:00:00.000","SW-778","OBJECT MARKER (LEFT & RIGHT COMBO)","012 X 036",,"S CML","0",,"South","TIII","TIII","SOUTH APEX USE 6' RAIL","1014348","170815"
"S-057081","Historical","S-","Manhattan","WEST   42 STREET",,"9 AVENUE",,"8 AVENUE",,"S","2003-06-24T00:00:00.000","CL","CURB LINE","N/A",,,"835",,,,,,,
"ST01499348","Historical","ST","Queens","69 AVENUE",,"165 STREET",,,,"@","2021-01-25T00:00:00.000","SI-XXXXG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) (TO BE USED FOR STREET NAME SIGNS WHERE WIDTH IS GREATER THAN 36"" OR UNKNOWN OR FOR LOCAL LAW SNS)","XXX X 009",,"N/W C","0",,,"TIII","TIII","165 ST","1038579","206408"
"R-875904","Historical","R-","Queens","83 STREET",,"ASTORIA BOULEVARD",,"23 AVENUE",,"W","2013-01-16T00:00:00.000","CL","CURB LINE","N/A",,,"550",,,,,,,
"R-01533292","Historical","R-","Brooklyn","EAST NEW YORK AVENUE",,"SACKMAN STREET",,,,"@","2021-06-17T00:00:00.000","R6-1","ONE WAY ARROW","036 X 012",,"S/E C","0","East",,"TIII","TIII","ON S/E/C OF SACKMAN ST @ EAST NEW YORK AVE",,
"S-003809","Historical","S-","Brooklyn","CADMAN PLAZA EAST",,"FULTON STREET",,"BELT PARKWAY",,"E","1969-09-17T00:00:00.000","CL","CURB LINE","N/A",,,"71",,,,,,,
"R-01533885","Historical","R-","Manhattan","ADAM CLAYTON POWELL JR BOULEVARD",,"WEST  125 STREET",,,,"@","2021-06-22T00:00:00.000","SR-1961L","BUS (SYMBOLS) BUS LANE BUSES ONLY & RIGHT TURNS W/ 6 O'CLOCK ARROW (ON LEFT SIDE OF SIGN)","120 X 036",,"W SSD","637",,"West","TIII","TIII",,"998555","234011"
"P-01419138","Current","P-","Queens","ROOSEVELT AVENUE",,"63 STREET",,"62 STREET",,"N","2020-11-05T00:00:00.000","PS-9A","PAY-BY-CELL LOCATOR NUMBER","018 X 006",,,"208",,,"PNTD","PNTD","420329","1011433","211014"
"S-01515739","Current","S-","Queens","SENECA AVENUE",,"LINDEN STREET",,"GATES AVENUE",,"W","2021-06-04T00:00:00.000","PS-12B","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> (SUPERSEDES SP-846C)","018 X 012",,,"105",,,"PNTD","PNTD",,"1009515","195597"
"S-01532751","Current","S-","Manhattan","RIVERSIDE DRIVE",,"TIEMANN PLACE",,"WEST  110 STREET",,"W","2021-06-18T00:00:00.000","PS-18B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11AM-12:30PM <-> (SUPERSEDES SP-853C)","018 X 012",,,"2714",,,"PNTD","PNTD",,"993799","234183"
"P-327414","Historical","P-","Queens","87 AVENUE",,"QUEENS BOULEVARD",,"139 STREET",,"S","2012-11-29T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"P-01531027","Current","P-","Manhattan","WEST   14 STREET",,"8 AVENUE",,"9 AVENUE",,"N","2021-06-14T00:00:00.000","SI-584G","14 STREET & UNION SQ (BOTTOM LOCATION PANEL)(USE AS EXAMPLE FOR DIFFERENT LOCATION)","016 X 008",,,"122",,,"PNTD","PNTD","W 14 ST & 8 AV","983436","208883"
"S-01531105","Current","S-","Brooklyn","EASTERN PARKWAY","MN RDWY","FRANKLIN AVENUE",,"CLASSON AVENUE",,"N","2021-06-17T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,"PNTD","PNTD",,,
"P-01530943","Current","P-","Brooklyn","FLATBUSH AVENUE",,"BERGEN STREET",,"6 AVENUE",,"W","2021-06-17T00:00:00.000","SI-1878G","LOCAL MTA BUS ROUTE PANEL (TEXT TO BE MODIFIED AS REQUESTED)","14.12 X 6",,,"126",,,"PNTD","PNTD","B67","991206","187227"
"S-284363","Historical","S-","Brooklyn","PROSPECT PLACE",,"UTICA AVENUE",,"SCHENECTADY AVENUE",,"N","2011-08-01T00:00:00.000","SP-373C","NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM MON & THURS <----> (SUPERSEDED BY SP-850C)","018 X 012","2019-05-22T00:00:00.000",,"56",,,"PNTD","PNTD",,"1003404","184591"
"S-396668","Current","S-","Manhattan","HENRY STREET",,"JEFFERSON STREET",,"CLINTON STREET",,"N","2021-06-03T00:00:00.000","CL","CURB LINE","N/A",,,"393",,,,,,,
"R-01530356","Historical","R-","Queens","NORTHERN BOULEVARD",,"81 STREET",,,,"@","2021-06-02T00:00:00.000","W14-2C","DIAMOND DELINEATOR (BLANK) MAY BE USED AS SUBSTITUTE OR REPLACMENT FOR W14-2A & W14-2B (REVISED 4/24/2013)","009 X 009",,"E CML","0",,"East","TIII","TIII",,"1015751","214531"
"R-01530356","Historical","R-","Queens","NORTHERN BOULEVARD",,"81 STREET",,,,"@","2021-06-02T00:00:00.000","W14-2C","DIAMOND DELINEATOR (BLANK) MAY BE USED AS SUBSTITUTE OR REPLACMENT FOR W14-2A & W14-2B (REVISED 4/24/2013)","009 X 009",,"E CML","0",,"East","TIII","TIII",,"1015751","214531"
"R-647295","Historical","R-","Brooklyn","CORTELYOU ROAD",,"CONEY ISLAND AVENUE",,"STRATFORD ROAD",,"S","2002-07-30T00:00:00.000","BL","BUILDING LINE","N/A",,,"15",,,,,,,
"S-01526714","Current","S-","Brooklyn","EAST   91 STREET",,"RUTLAND ROAD",,"WINTHROP STREET",,"E","2021-06-11T00:00:00.000","PS-10B","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8AM-9:30AM <-> (SUPERSEDES SP-844C)","018 X 012",,,"40",,,"PNTD","PNTD",,"1004172","180237"
"R-544080","Historical","R-","Queens","150 STREET",,"25 AVENUE",,"25 DRIVE",,"W","1996-03-18T00:00:00.000","PL","PROPERTY LINE","N/A",,,"256",,,,,,,
"S-01527455","Current","S-","Brooklyn","HAWTHORNE STREET",,"NOSTRAND AVENUE",,"NEW YORK AVENUE",,"S","2021-06-23T00:00:00.000","BL","BUILDING LINE","N/A",,,"18",,,,,,,
"ST01541716","Current","ST","Queens","NEWPORT AVENUE",,"B  131 STREET",,,,"@","2021-08-06T00:00:00.000","SI-XXXG","36"" STREET NAME SIGN (PROPER NAME TO BE SPECIFIED)","036 X 009",,"N/W C","0",,,"TIII","TIII","NEWPORT AV","1025716","149622"
"P-01531347","Current","P-","Brooklyn","FULTON STREET",,"NOSTRAND AVENUE",,"NEW YORK AVENUE",,"S","2021-06-17T00:00:00.000","PS-425C","2 HMP MONDAY-FRIDAY 1PM-7PM SATURDAY 8AM-7PM <->","018 X 024",,,"305",,,"PNTD","PNTD",,"998567","187121"
"R-01531792","Historical","R-","Brooklyn","OCEAN AVENUE",,"AVENUE O",,"AVENUE P",,"W","2021-06-10T00:00:00.000","SI-584G","14 STREET & UNION SQ (BOTTOM LOCATION PANEL)(USE AS EXAMPLE FOR DIFFERENT LOCATION)","016 X 008",,,"878",,,"PNTD","PNTD","OCEAN AV & AV P","997093","161901"
"S-01481475","Historical","S-","Manhattan","RIVERSIDE DRIVE",,"TIEMANN PLACE",,"WEST  110 STREET",,"W","2020-12-08T00:00:00.000","PS-18B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11AM-12:30PM <-> (SUPERSEDES SP-853C)","018 X 012",,,"3813",,,"PNTD","PNTD",,"993276","233216"
"S-836984","Historical","S-","Queens","HENLEY ROAD",,"CHEVY CHASE STREET",,"BARRINGTON STREET",,"N","1988-12-27T00:00:00.000","PL","PROPERTY LINE","N/A",,,"603",,,,,,,
"S-01529663","Current","S-","Queens","BOWNE STREET",,"BARCLAY AVENUE",,"SANFORD AVENUE",,"W","2021-06-03T00:00:00.000","PL","PROPERTY LINE","N/A",,,"268",,,,,,,
"ST01531943","Current","ST","Queens","43 AVENUE",,"248 STREET",,,,"@","2021-06-09T00:00:00.000","SI-XXXXACG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) THAT IS ALL-CAPS","XXX X 009",,"N/E C","0",,,"TIII","TIII","248 ST","1056204","219533"
"ST01500833","Historical","ST","Queens","MAIN STREET",,"141 STREET",,,,"@","2021-01-19T00:00:00.000","SI-XXXXG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) (TO BE USED FOR STREET NAME SIGNS WHERE WIDTH IS GREATER THAN 36"" OR UNKNOWN OR FOR LOCAL LAW SNS)","XXX X 009",,"*NOTE","0",,,"TIII","TIII","MAIN ST SOUTH SIDE OF MAIN ST OPPOSITE N/W C",,
"S-920677","Historical","S-","Queens","HARMAN STREET",,"WOODWARD AVENUE",,"ONDERDONK AVENUE",,"N","1994-10-17T00:00:00.000","CL","CURB LINE","N/A",,,"490",,,,,,,
"S-852743","Historical","S-","Brooklyn","ETNA STREET",,"HALE AVENUE",,"FORCE TUBE AVENUE",,"N","1990-01-10T00:00:00.000","CL","CURB LINE","N/A",,,"135",,,,,,,
"R-01543885","Historical","R-","Brooklyn","HICKS STREET","W RDWY","KANE STREET",,,,"@","2021-08-16T00:00:00.000","R6-1","ONE WAY ARROW","036 X 012",,"S/E C","0","West",,"TIII","TIII",,,
"P-01533884","Current","P-","Bronx","WEST  242 STREET",,"MANH COLLEGE PARKWAY",,"BROADWAY",,"S","2021-06-30T00:00:00.000","CL","CURB LINE","N/A",,,"360",,,,,"FIREBOX",,
"R-01533895","Historical","R-","Queens","JAMAICA AVENUE",,"WOODHULL AVENUE",,"CARPENTER AVENUE",,"S","2021-06-21T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"R-01533465","Historical","R-","Bronx","BRUCKNER BOULEVARD",,"HUNTS POINT AVENUE",,,,"@","2021-06-18T00:00:00.000","SI-635B","HUNTS POINT MARKET AND INDUSTRIAL PARK KEEP RIGHT","042 X 042",,"W MED","185",,"East","TIII","TIII",,"1014509","238112"
"P-01420769","Historical","P-","Bronx","EAST  170 STREET",,"TOWNSEND AVENUE",,"JEROME AVENUE",,"N","2020-12-10T00:00:00.000","PL","PROPERTY LINE","N/A",,,"219",,,,,,,
"S-01378806","Historical","S-","Bronx","EAST  175 STREET",,"TOWNSEND AVENUE",,"JEROME AVENUE",,"N","2020-01-21T00:00:00.000","PL","PROPERTY LINE","N/A",,,"225",,,,,,,
"R-01530657","Historical","R-","Brooklyn","KINGSLAND AVENUE",,"NORMAN AVENUE",,"GREENPOINT AVENUE",,"E","2021-06-04T00:00:00.000","PL","PROPERTY LINE","N/A",,,"16",,,,,,,
"S-188415","Historical","S-","Brooklyn","WEST   28 STREET",,"NEPTUNE AVENUE",,"MERMAID AVENUE",,"E","2008-07-15T00:00:00.000","SP-10BA","NO STANDING ANYTIME (SINGLE ARROW) (SUPERSEDED BY PS-1GA)(REPLACES R7-20RA)","018 X 012","2017-06-02T00:00:00.000",,"485","South",,"PNTD","PNTD",,"985798","149293"
"S-490107","Historical","S-","Queens","ASTORIA BOULEVARD","N","48 STREET",,"47 STREET",,"N","2017-02-08T00:00:00.000","PS-40BA","NO PARKING (SANITATION BROOM SYMBOL) THURSDAY 11:30AM-1PM --> (SUPERSEDES SP-463CA)","018 X 012",,,"174","East",,"PNTD","PNTD",,"1011003","219127"
"R-01527967","Historical","R-","Brooklyn","HAMPTON AVENUE",,"OCEAN AVENUE",,"EXETER STREET",,"N","2021-06-21T00:00:00.000","PL","PROPERTY LINE","N/A",,,"229",,,,,,,
"C-01521737","Current","C-","Bronx","EDISON AVENUE",,"DEWEY AVENUE",,,,"@","2021-06-15T00:00:00.000","R5-1","DO NOT ENTER (SYMBOL)","030 X 030",,"S/E C","0",,"North","TIII","TIII",,"1034520","239005"
"S-01529427","Current","S-","Manhattan","WEST   22 STREET",,"10 AVENUE",,"11 AVENUE",,"N","2021-06-08T00:00:00.000","PS-191E","TRUCK (SYMBOL) TRUCK LOADING ONLY MONDAY-FRIDAY 8AM-6PM <-> (SUPERSEDES SP-449C & SP-70B)","018 X 018",,,"103",,,"PNTD","PNTD",,,
"C-01500591","Historical","C-","Bronx","PARK AVENUE",,"EAST  149 STREET",,,,"@","2021-05-11T00:00:00.000","R5-1","DO NOT ENTER (SYMBOL)","030 X 030",,"S WSD","223",,"North","TIII","TIII",,"1004958","237309"
"B-01509087","Current","B-","Brooklyn","BAY RIDGE PARKWAY",,"14 AVENUE",,"SHORE ROAD",,"N","2021-06-18T00:00:00.000","SR-1756","BIKE ROUTE CAR (SYMBOL) BIKE (SYMBOL) SHARED LANE","024 X 030",,,"0",,"East","TIII","TIII","N/W C OF 7 AV*NBUSE PIPE EXTENSION","974000","170129"
"P-01421801","Historical","P-","Bronx","EAST BURNSIDE AVENUE","N RDWY","GRAND CONCOURSE",,"CRESTON AVENUE",,"N","2020-08-03T00:00:00.000","SI-1878G","LOCAL MTA BUS ROUTE PANEL (TEXT TO BE MODIFIED AS REQUESTED)","14.12 X 6",,,"155",,,"PNTD","PNTD","BX40","1010670","249912"
"P-01417740","Historical","P-","Queens","JAMAICA AVENUE",,"114 STREET",,"115 STREET",,"S","2020-12-03T00:00:00.000","PS-2GA","NO PARKING ANYTIME --> (SUPERSEDES SP-854CA)","018 X 012",,,"70","East",,"PNTD","PNTD",,"1030127","193750"
"R-01534826","Historical","R-","Brooklyn","MEADOW STREET",,"GARDNER AVENUE",,"STEWART AVENUE",,"N","2021-06-24T00:00:00.000","PL","PROPERTY LINE","N/A",,,"411",,,,,,,
"ST01503111","Historical","ST","Queens","BARROWS COURT",,"DOUGLASTON PARKWAY",,,,"@","2021-01-25T00:00:00.000","SI-XXXXG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) (TO BE USED FOR STREET NAME SIGNS WHERE WIDTH IS GREATER THAN 36"" OR UNKNOWN OR FOR LOCAL LAW SNS)","XXX X 009",,"S/E C","0",,,"TIII","TIII","BARROWS CT","1055553","216736"
"R-01416896","Historical","R-","Brooklyn","PAERDEGAT    5 STREET",,"EAST   80 STREET",,"PAERDEGAT AVENUE",,"N","2020-03-04T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"S-089265","Historical","S-","Queens","20 AVENUE",,"119 STREET",,"120 STREET",,"S","2002-08-28T00:00:00.000","PL","PROPERTY LINE","N/A",,,"216",,,,,,,
"R-01526594","Historical","R-","Manhattan","WEST END AVENUE",,"WEST   59 STREET",,"WEST   60 STREET",,"E","2021-06-04T00:00:00.000","CL","CURB LINE","N/A",,,"229",,,,,,,
"R-759950","Historical","R-","Brooklyn","PROSPECT AVENUE",,"6 AVENUE",,"CALDER PLACE",,"S","2008-04-08T00:00:00.000","CL","CURB LINE","N/A",,,"351",,,,,,,
"R-01532652","Historical","R-","Bronx","ELM PLACE",,"EAST FORDHAM ROAD",,"EAST  188 STREET",,"E","2021-06-15T00:00:00.000","PS-76B","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-9AM <-> (SUPERSEDES SP-539C)","018 X 012",,,"213",,,"PNTD","PNTD",,"1013551","253133"
"R-01560153","Historical","R-","Bronx","ORLOFF AVENUE",,"VAN CORTLANDT AVENUE WEST",,,,"@","2021-12-08T00:00:00.000","SR-54","NO THRU TRAFFIC","030 X 030",,"N/W C","0",,"South","TIII","TIII","ON ORLOFF AVE, SIGN TO FACE SOUTH/EAST","1013757","261268"
"R-01531433","Historical","R-","Manhattan","WEST  125 STREET",,"MORNINGSIDE AVENUE",,"AMSTERDAM AVENUE",,"N","2021-06-08T00:00:00.000","PS-33GA","NO STANDING FIRE ZONE --> (SUPERSEDES SP-453BA)","018 X 012",,,"202","West",,"PNTD","PNTD",,"996798","235020"
"R-543036","Historical","R-","Manhattan","WEST BROADWAY",,"PARK PLACE",,"BARCLAY STREET",,"W","1996-07-10T00:00:00.000","PL","PROPERTY LINE","N/A",,,"17",,,,,,,
"R-01623864","Historical","R-","Brooklyn","51 STREET",,"20 AVENUE",,"19 AVENUE",,"N","2023-05-03T00:00:00.000","CL","CURB LINE","N/A",,,"742",,,,,,,
"ST01499683","Historical","ST","Queens","70 ROAD",,"153 STREET",,,,"@","2021-01-25T00:00:00.000","SI-XXXXG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) (TO BE USED FOR STREET NAME SIGNS WHERE WIDTH IS GREATER THAN 36"" OR UNKNOWN OR FOR LOCAL LAW SNS)","XXX X 009",,"S/E C","0",,,"TIII","TIII","70 RD","1035231","205394"
"S-01576055","Current","S-","Bronx","3 AVENUE",,"EAST FORDHAM ROAD",,"EAST  189 STREET",,"W","2022-03-31T00:00:00.000","PL","PROPERTY LINE","N/A",,,"403",,,,,,,
"S-01530971","Current","S-","Brooklyn","NOSTRAND AVENUE",,"AVENUE D",,"NEWKIRK AVENUE",,"W","2021-06-17T00:00:00.000","CL","CURB LINE","N/A",,,"311",,,,,,,
"S-01526338","Historical","S-","Brooklyn","61 STREET",,"17 AVENUE",,"16 AVENUE",,"S","2021-06-07T00:00:00.000","PS-38B","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY 11:30AM-1PM <-> (SUPERSEDES SP-385C)","018 X 012",,,"549",,,"PNTD","PNTD",,"986569","166516"
"R-01532855","Historical","R-","Queens","MURDOCK AVENUE",,"198 STREET",,"199 STREET",,"S","2021-06-24T00:00:00.000","SI-1882G","LIMITED MTA BUS ROUTE PANEL (TEXT TO BE MODIFIED AS REQUESTED)","14.12 X 6",,,"90",,,"PNTD","PNTD","Q83 LTD","1051862","194260"
"S-848816","Historical","S-","Manhattan","7 AVENUE",,"WEST   50 STREET",,"WEST   49 STREET",,"E","1990-02-24T00:00:00.000","BL","BUILDING LINE","N/A",,,"13",,,,,,,
"R-592984","Historical","R-","Queens","COLLEGE POINT BOULEVARD",,"22 AVENUE",,"21 AVENUE",,"E","1999-05-08T00:00:00.000","BL","BUILDING LINE","N/A",,,"220",,,,,,,
"S-01519316","Historical","S-","Brooklyn","LORIMER STREET",,"BAYARD STREET",,"DRIGGS AVENUE",,"E","2021-06-15T00:00:00.000","SP-477B","BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING <----->","20"" DIA.",,,"956",,,"PNTD","PNTD","303830","997934","202182"
"R-01531050","Historical","R-","Brooklyn","DREW STREET",,"PITKIN AVENUE",,"BELMONT AVENUE",,"W","2021-06-07T00:00:00.000","PS-113B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 9AM-10:30AM <-> (SUPERSEDES SP-413C)","018 X 012",,,"276",,,"PNTD","PNTD",,"1022387","185500"
"C-01530967","Current","C-","Manhattan","BOWERY",,"CANAL STREET",,,,"@","2021-06-08T00:00:00.000","W14-2C","DIAMOND DELINEATOR (BLANK) MAY BE USED AS SUBSTITUTE OR REPLACMENT FOR W14-2A & W14-2B (REVISED 4/24/2013)","009 X 009",,"E SSD","26",,"West","TIII","TIII",,"985343","200219"
"R-01529757","Historical","R-","Manhattan","ALLEN STREET",,"BROOME STREET",,,,"@","2021-06-01T00:00:00.000","R6-1","ONE WAY ARROW","036 X 012",,"S/W C","0","East",,"TIII","TIII",,"986788","200976"
"S-01531123","Current","S-","Brooklyn","FLATBUSH AVENUE EXTENSION",,"DEKALB AVENUE",,"FLEET STREET",,"E","2021-06-17T00:00:00.000","BL","BUILDING LINE","N/A",,,"12",,,,,,,
"S-936005","Historical","S-","Queens","BEACH    9 STREET",,"DORIAN COURT",,"CORNAGA AVENUE",,"E","1996-08-13T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"S-146641","Historical","S-","Brooklyn","48 STREET",,"9 AVENUE",,"10 AVENUE",,"S","2005-08-17T00:00:00.000","SP-10BA","NO STANDING ANYTIME (SINGLE ARROW) (SUPERSEDED BY PS-1GA)(REPLACES R7-20RA)","018 X 012","2017-06-02T00:00:00.000",,"292","West",,"PNTD","PNTD",,"984390","172571"
"S-01530037","Current","S-","Brooklyn","EAST   95 STREET",,"AVENUE B",,"AVENUE A",,"E","2021-06-01T00:00:00.000","CL","CURB LINE","N/A",,,"742",,,,,,,
"C-01561451","Historical","C-","Brooklyn","JAY STREET",,"TILLARY STREET",,,,"@","2021-12-21T00:00:00.000","SI-156G","LOCAL W/9,12 & 3 O'CLOCK ARROW (COMBO)","036 X 024",,"E CML","0",,"East","TIII","TIII",,"987826","192895"
"R-01532145","Historical","R-","Bronx","WILLIAMSBRIDGE ROAD",,"PELHAM PARKWAY",,,,"@","2021-06-11T00:00:00.000","R3-7R","RIGHT LANE MUST TURN RIGHT","030 X 030",,"E NSD","320",,"East","TIII","TIII",,"1024011","251652"
"ST01507943","Current","ST","Queens","HILLSIDE AVENUE",,"186 STREET",,,,"@","2021-02-10T00:00:00.000","SI-XXXXG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) (TO BE USED FOR STREET NAME SIGNS WHERE WIDTH IS GREATER THAN 36"" OR UNKNOWN OR FOR LOCAL LAW SNS)","XXX X 009",,"N   C","0",,,"TIII","TIII","HILLSIDE AVNORTH CURB OF HILLSIDE AV OPPOSITE N/W C","1046296","199661"
"S-263361","Historical","S-","Bronx","HOE AVENUE",,"BRUCKNER BOULEVARD",,"ALDUS STREET",,"E","2011-07-13T00:00:00.000","PL","PROPERTY LINE","N/A",,,"726",,,,,,,
"S-01457328","Historical","S-","Manhattan","6 AVENUE",,"WEST HOUSTON STREET",,"BLEECKER STREET",,"E","2020-07-25T00:00:00.000","PS-55BA","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11AM-12:30PM --> (SUPERSEDES SP-360CA)","018 X 012",,,"291","South",,"PNTD","PNTD",,,
"ST01529083","Current","ST","Queens","COLLEGE POINT BOULEVARD",,"WHITESTONE EXPRESSWAY E SVC RD",,,,"@","2021-06-11T00:00:00.000","SI-XXXXACG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) THAT IS ALL-CAPS","XXX X 009",,"W   C","0",,,"TIII","TIII","COLLEGE POINT BOULEVARDON WEST CURB, OPPOSITE NORTH APEX OF SOUTH TRIANGLE ISLAND.",,
"C-01489749","Historical","C-","Brooklyn","FOUNTAIN AVENUE",,"VANDALIA AVENUE",,,,"@","2021-04-07T00:00:00.000","W14-2C","DIAMOND DELINEATOR (BLANK) MAY BE USED AS SUBSTITUTE OR REPLACMENT FOR W14-2A & W14-2B (REVISED 4/24/2013)","009 X 009",,"S CML","0",,"North","TIII","TIII",,"1021431","179345"
"C-01489749","Historical","C-","Brooklyn","FOUNTAIN AVENUE",,"VANDALIA AVENUE",,,,"@","2021-04-07T00:00:00.000","W14-2C","DIAMOND DELINEATOR (BLANK) MAY BE USED AS SUBSTITUTE OR REPLACMENT FOR W14-2A & W14-2B (REVISED 4/24/2013)","009 X 009",,"S CML","0",,"North","TIII","TIII",,"1021431","179345"
"P-01534268","Current","P-","Bronx","OXFORD AVENUE",,"WEST  236 STREET",,"WEST  235 STREET",,"W","2021-06-30T00:00:00.000","PS-22B","NO PARKING (SANITATION BROOM SYMBOL) 8AM-8:30AM EXCEPT SUNDAY <-> (SUPERSEDES SP-858C)","018 X 012",,,"244",,,"PNTD","PNTD",,"1009416","262015"
"S-01372133","Current","S-","Brooklyn","STERLING PLACE",,"7 AVENUE",,"6 AVENUE",,"S","2021-06-02T00:00:00.000","PS-38B","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY 11:30AM-1PM <-> (SUPERSEDES SP-385C)","018 X 012",,,"369",,,"PNTD","PNTD",,"991198","186123"
"R-01534680","Historical","R-","Manhattan","WEST   17 STREET",,"5 AVENUE",,"6 AVENUE",,"S","2021-06-24T00:00:00.000","CL","CURB LINE","N/A",,,"964",,,,,,,
"C-01623231","Current","C-","Queens","WOODHAVEN BOULEVARD",,"83 AVENUE",,,,"@","2023-05-18T00:00:00.000","SW-834","END","030 X 030",,"*NOTE","0",,"West","TIII","TIII","CENTER LINE OF 83 AVE","1024373","195553"
