"date","borough","pool","attendance"
"2017-07-06T00:00:00.000","Queens","PS 186 Playground","32"
"2017-07-06T00:00:00.000","Queens","Windmuller","281"
"2017-07-06T00:00:00.000","Staten Island","Faber","133"
"2017-07-06T00:00:00.000","Staten Island","Lyons","250"
"2017-07-06T00:00:00.000","Staten Island","Tottenville","72"
"2017-07-06T00:00:00.000","Staten Island","West Brighton","135"
"2017-07-06T00:00:00.000","Staten Island","General Douglas","17"
"2017-07-06T00:00:00.000","Staten Island","Mariner's Harbor","0"
"2017-07-06T00:00:00.000","Staten Island","PS 14 Playground","72"
"2017-07-06T00:00:00.000","Staten Island","PS 46 Playground","45"
"2017-07-07T00:00:00.000","Brooklyn","Betsy Head","131"
"2017-07-07T00:00:00.000","Brooklyn","PS 20 Playground","0"
"2017-07-07T00:00:00.000","Brooklyn","Lindower Park","196"
"2017-07-07T00:00:00.000","Brooklyn","JHS 57/HS 26 Pool","0"
"2017-07-07T00:00:00.000","Brooklyn","Glenwood Houses","0"
"2017-07-07T00:00:00.000","Brooklyn","David Fox/PS 251 Pool","25"
"2017-07-07T00:00:00.000","Brooklyn","McCarren Park","330"
"2017-07-07T00:00:00.000","Brooklyn","Sunset Park","410"
"2017-07-07T00:00:00.000","Brooklyn","Red Hook","225"
"2017-07-07T00:00:00.000","Brooklyn","Kosciuszko","147"
"2017-07-07T00:00:00.000","Brooklyn","Howard","305"
"2017-07-07T00:00:00.000","Brooklyn","Douglas and DeGraw","117"
"2017-07-07T00:00:00.000","Brooklyn","Commodore Barry","349"
"2017-07-07T00:00:00.000","Brooklyn","Bushwick","85"
"2017-07-07T00:00:00.000","Bronx","Claremont","181"
"2017-07-07T00:00:00.000","Bronx","Edenwald Houses","21"
"2017-07-07T00:00:00.000","Bronx","Crotona","419"
"2017-07-07T00:00:00.000","Bronx","Floating Pool","59"
"2017-07-07T00:00:00.000","Bronx","Haffen","108"
"2017-07-07T00:00:00.000","Bronx","Mapes","205"
"2017-07-07T00:00:00.000","Bronx","Mullaly","186"
"2017-07-07T00:00:00.000","Bronx","Van Cortlandt","135"
"2017-07-07T00:00:00.000","Bronx","Bronx River Playground","68"
"2017-07-07T00:00:00.000","Manhattan","Asser Levy","92"
"2017-07-07T00:00:00.000","Manhattan","Tony Dapolito","70"
"2017-07-07T00:00:00.000","Manhattan","Dry Dock","81"
"2017-07-07T00:00:00.000","Manhattan","Hamilton Fish","180"
"2017-07-07T00:00:00.000","Manhattan","Highbridge","359"
"2017-07-07T00:00:00.000","Manhattan","Jackie Robinson","172"
"2017-07-07T00:00:00.000","Manhattan","John Jay","256"
"2017-07-07T00:00:00.000","Manhattan","Lasker","366"
"2017-07-07T00:00:00.000","Manhattan","Marcus Garvey","87"
"2017-07-07T00:00:00.000","Manhattan","Sheltering Arms","175"
"2017-07-07T00:00:00.000","Manhattan","Thomas Jefferson","100"
"2017-07-07T00:00:00.000","Manhattan","Wagner","93"
"2017-07-07T00:00:00.000","Manhattan","Abe Lincoln","32"
"2017-07-07T00:00:00.000","Manhattan","Frederick Douglass","18"
"2017-07-07T00:00:00.000","Manhattan","Vesuvio","71"
"2017-07-07T00:00:00.000","Manhattan","Tompkins Square","29"
"2017-07-07T00:00:00.000","Queens","Astoria","949"
"2017-07-07T00:00:00.000","Queens","Fisher","268"
"2017-07-07T00:00:00.000","Queens","Liberty","87"
"2017-07-07T00:00:00.000","Queens","Totten","149"
"2017-07-07T00:00:00.000","Queens","Marie Curie Park","63"
"2017-07-07T00:00:00.000","Queens","Astoria Hts PS 10","0"
"2017-07-07T00:00:00.000","Queens","PS 186 Playground","55"
"2017-07-07T00:00:00.000","Queens","Windmuller","95"
"2017-07-07T00:00:00.000","Staten Island","Faber","129"
"2017-07-07T00:00:00.000","Staten Island","Lyons","222"
"2017-07-07T00:00:00.000","Staten Island","Tottenville","60"
"2017-07-07T00:00:00.000","Staten Island","West Brighton","63"
"2017-07-07T00:00:00.000","Staten Island","General Douglas","40"
"2017-07-07T00:00:00.000","Staten Island","Mariner's Harbor","0"
"2017-07-07T00:00:00.000","Staten Island","PS 14 Playground","99"
"2017-07-07T00:00:00.000","Staten Island","PS 46 Playground","15"
"2017-07-08T00:00:00.000","Brooklyn","Betsy Head","828"
"2017-07-08T00:00:00.000","Brooklyn","PS 20 Playground","228"
"2017-07-08T00:00:00.000","Brooklyn","Lindower Park","144"
"2017-07-08T00:00:00.000","Brooklyn","JHS 57/HS 26 Pool","0"
"2017-07-08T00:00:00.000","Brooklyn","Glenwood Houses","13"
"2017-07-08T00:00:00.000","Brooklyn","David Fox/PS 251 Pool","77"
"2017-07-08T00:00:00.000","Brooklyn","McCarren Park","0"
"2017-07-08T00:00:00.000","Brooklyn","Sunset Park","2211"
"2017-07-08T00:00:00.000","Brooklyn","Red Hook","2248"
"2017-07-08T00:00:00.000","Brooklyn","Kosciuszko","1047"
"2017-07-08T00:00:00.000","Brooklyn","Howard","282"
"2017-07-08T00:00:00.000","Brooklyn","Douglas and DeGraw","768"
"2017-07-08T00:00:00.000","Brooklyn","Commodore Barry","367"
"2017-07-08T00:00:00.000","Brooklyn","Bushwick","293"
"2017-07-08T00:00:00.000","Bronx","Claremont","519"
"2017-07-08T00:00:00.000","Bronx","Edenwald Houses","86"
"2017-07-08T00:00:00.000","Bronx","Crotona","2425"
"2017-07-08T00:00:00.000","Bronx","Floating Pool","763"
"2017-07-08T00:00:00.000","Bronx","Haffen","739"
"2017-07-08T00:00:00.000","Bronx","Mapes","738"
"2017-07-08T00:00:00.000","Bronx","Mullaly","555"
"2017-07-08T00:00:00.000","Bronx","Van Cortlandt","1245"
"2017-07-08T00:00:00.000","Bronx","Bronx River Playground","81"
"2017-07-08T00:00:00.000","Manhattan","Asser Levy","376"
"2017-07-08T00:00:00.000","Manhattan","Tony Dapolito","340"
"2017-07-08T00:00:00.000","Manhattan","Dry Dock","347"
"2017-07-08T00:00:00.000","Manhattan","Hamilton Fish","1668"
"2017-07-08T00:00:00.000","Manhattan","Highbridge","2104"
"2017-07-08T00:00:00.000","Manhattan","Jackie Robinson","905"
"2017-07-08T00:00:00.000","Manhattan","John Jay","871"
"2017-07-08T00:00:00.000","Manhattan","Lasker","3005"
"2017-07-08T00:00:00.000","Manhattan","Marcus Garvey","350"
"2017-07-08T00:00:00.000","Manhattan","Sheltering Arms","350"
"2017-07-08T00:00:00.000","Manhattan","Thomas Jefferson","1125"
"2017-07-08T00:00:00.000","Manhattan","Wagner","272"
"2017-07-08T00:00:00.000","Manhattan","Abe Lincoln","62"
"2017-07-08T00:00:00.000","Manhattan","Frederick Douglass","85"
"2017-07-08T00:00:00.000","Manhattan","Vesuvio","129"
"2017-07-08T00:00:00.000","Manhattan","Tompkins Square","71"
"2017-07-08T00:00:00.000","Queens","Astoria","682"
"2017-07-08T00:00:00.000","Queens","Fisher","663"
"2017-07-08T00:00:00.000","Queens","Liberty","445"
"2017-07-08T00:00:00.000","Queens","Totten","575"
"2017-07-08T00:00:00.000","Queens","Marie Curie Park","212"
"2017-07-08T00:00:00.000","Queens","Astoria Hts PS 10","0"
"2017-07-09T00:00:00.000","Queens","Astoria","3248"
"2017-07-08T00:00:00.000","Queens","PS 186 Playground","58"
"2017-07-08T00:00:00.000","Queens","Windmuller","394"
"2017-07-08T00:00:00.000","Staten Island","Faber","311"
"2017-07-08T00:00:00.000","Staten Island","Lyons","537"
"2017-07-08T00:00:00.000","Staten Island","Tottenville","319"
"2017-07-08T00:00:00.000","Staten Island","West Brighton","203"
"2017-07-08T00:00:00.000","Staten Island","General Douglas","30"
"2017-07-08T00:00:00.000","Staten Island","Mariner's Harbor","0"
"2017-07-08T00:00:00.000","Staten Island","PS 14 Playground","82"
"2017-07-08T00:00:00.000","Staten Island","PS 46 Playground","49"
"2017-07-09T00:00:00.000","Brooklyn","Betsy Head","1013"
"2017-07-09T00:00:00.000","Brooklyn","PS 20 Playground","181"
"2017-07-09T00:00:00.000","Brooklyn","Lindower Park","255"
"2017-07-09T00:00:00.000","Brooklyn","JHS 57/HS 26 Pool","0"
"2017-07-09T00:00:00.000","Brooklyn","Glenwood Houses","37"
"2017-07-09T00:00:00.000","Brooklyn","David Fox/PS 251 Pool","101"
"2017-07-09T00:00:00.000","Brooklyn","McCarren Park","3330"
"2017-07-09T00:00:00.000","Brooklyn","Sunset Park","2232"
"2017-07-09T00:00:00.000","Brooklyn","Red Hook","967"
"2017-07-09T00:00:00.000","Brooklyn","Kosciuszko","1158"
"2017-07-09T00:00:00.000","Brooklyn","Howard","233"
"2017-07-09T00:00:00.000","Brooklyn","Douglas and DeGraw","768"
"2017-07-09T00:00:00.000","Brooklyn","Commodore Barry","189"
"2017-07-09T00:00:00.000","Brooklyn","Bushwick","50"
"2017-07-09T00:00:00.000","Bronx","Claremont","523"
"2017-07-09T00:00:00.000","Bronx","Edenwald Houses","100"
"2017-07-09T00:00:00.000","Bronx","Crotona","1866"
"2017-07-09T00:00:00.000","Bronx","Floating Pool","840"
"2017-07-09T00:00:00.000","Bronx","Haffen","598"
"2017-07-09T00:00:00.000","Bronx","Mapes","644"
"2017-07-09T00:00:00.000","Bronx","Mullaly","575"
"2017-07-09T00:00:00.000","Bronx","Van Cortlandt","1807"
"2017-07-09T00:00:00.000","Bronx","Bronx River Playground","100"
"2017-07-09T00:00:00.000","Manhattan","Asser Levy","574"
"2017-07-09T00:00:00.000","Manhattan","Tony Dapolito","391"
"2017-07-09T00:00:00.000","Manhattan","Dry Dock","391"
"2017-07-09T00:00:00.000","Manhattan","Hamilton Fish","2665"
"2017-07-09T00:00:00.000","Manhattan","Highbridge","2860"
"2017-07-09T00:00:00.000","Manhattan","Jackie Robinson","995"
"2017-07-09T00:00:00.000","Manhattan","John Jay","825"
"2017-07-09T00:00:00.000","Manhattan","Lasker","2299"
"2017-07-09T00:00:00.000","Manhattan","Marcus Garvey","498"
"2017-07-09T00:00:00.000","Manhattan","Sheltering Arms","356"
"2017-07-09T00:00:00.000","Manhattan","Thomas Jefferson","1398"
"2017-07-09T00:00:00.000","Manhattan","Wagner","303"
"2017-07-09T00:00:00.000","Manhattan","Abe Lincoln","31"
"2017-07-09T00:00:00.000","Manhattan","Frederick Douglass","99"
"2017-07-09T00:00:00.000","Manhattan","Vesuvio","143"
"2017-07-09T00:00:00.000","Manhattan","Tompkins Square","98"
"2017-07-09T00:00:00.000","Queens","Fisher","788"
"2017-07-09T00:00:00.000","Queens","Liberty","395"
"2017-07-09T00:00:00.000","Queens","Totten","657"
"2017-07-09T00:00:00.000","Queens","Marie Curie Park","110"
"2017-07-09T00:00:00.000","Queens","Astoria Hts PS 10","0"
"2017-07-09T00:00:00.000","Queens","PS 186 Playground","80"
"2017-07-09T00:00:00.000","Queens","Windmuller","376"
"2017-07-09T00:00:00.000","Staten Island","Faber","348"
"2017-07-09T00:00:00.000","Staten Island","Lyons","515"
"2017-07-09T00:00:00.000","Staten Island","Tottenville","371"
"2017-07-09T00:00:00.000","Staten Island","West Brighton","238"
"2017-07-09T00:00:00.000","Staten Island","General Douglas","33"
"2017-07-09T00:00:00.000","Staten Island","Mariner's Harbor","0"
"2017-07-09T00:00:00.000","Staten Island","PS 14 Playground","56"
"2017-07-09T00:00:00.000","Staten Island","PS 46 Playground","53"
"2017-07-10T00:00:00.000","Brooklyn","Betsy Head","937"
"2017-07-10T00:00:00.000","Brooklyn","PS 20 Playground","143"
"2017-07-10T00:00:00.000","Brooklyn","Lindower Park","202"
"2017-07-10T00:00:00.000","Brooklyn","JHS 57/HS 26 Pool","0"
"2017-07-10T00:00:00.000","Brooklyn","Glenwood Houses","32"
"2017-07-10T00:00:00.000","Brooklyn","David Fox/PS 251 Pool","60"
"2017-07-10T00:00:00.000","Brooklyn","McCarren Park","2000"
"2017-07-10T00:00:00.000","Brooklyn","Sunset Park","1466"
"2017-07-10T00:00:00.000","Brooklyn","Red Hook","1520"
"2017-07-10T00:00:00.000","Brooklyn","Kosciuszko","351"
"2017-07-10T00:00:00.000","Brooklyn","Howard","166"
"2017-07-10T00:00:00.000","Brooklyn","Douglas and DeGraw","451"
"2017-07-10T00:00:00.000","Brooklyn","Commodore Barry","154"
"2017-07-10T00:00:00.000","Brooklyn","Bushwick","224"
"2017-07-10T00:00:00.000","Bronx","Claremont","376"
"2017-07-10T00:00:00.000","Bronx","Edenwald Houses","91"
"2017-07-10T00:00:00.000","Bronx","Crotona","1054"
"2017-07-10T00:00:00.000","Bronx","Floating Pool","375"
"2017-07-10T00:00:00.000","Bronx","Haffen","422"
"2017-07-10T00:00:00.000","Bronx","Mapes","545"
"2017-07-10T00:00:00.000","Bronx","Mullaly","429"
"2017-07-10T00:00:00.000","Bronx","Van Cortlandt","921"
"2017-07-10T00:00:00.000","Bronx","Bronx River Playground","117"
"2017-07-10T00:00:00.000","Manhattan","Asser Levy","387"
"2017-07-10T00:00:00.000","Manhattan","Tony Dapolito","340"
"2017-07-10T00:00:00.000","Manhattan","Dry Dock","242"
"2017-07-10T00:00:00.000","Manhattan","Hamilton Fish","1324"
"2017-07-10T00:00:00.000","Manhattan","Highbridge","1828"
"2017-07-10T00:00:00.000","Manhattan","Jackie Robinson","563"
"2017-07-10T00:00:00.000","Manhattan","John Jay","666"
"2017-07-10T00:00:00.000","Manhattan","Lasker","2217"
"2017-07-10T00:00:00.000","Manhattan","Marcus Garvey","270"
"2017-07-10T00:00:00.000","Manhattan","Sheltering Arms","389"
"2017-07-10T00:00:00.000","Manhattan","Thomas Jefferson","887"
"2017-07-10T00:00:00.000","Manhattan","Wagner","156"
"2017-07-10T00:00:00.000","Manhattan","Abe Lincoln","24"
"2017-07-10T00:00:00.000","Manhattan","Frederick Douglass","89"
"2017-07-10T00:00:00.000","Manhattan","Vesuvio","99"
"2017-07-10T00:00:00.000","Manhattan","Tompkins Square","59"
"2017-07-10T00:00:00.000","Queens","Astoria","4091"
"2017-07-10T00:00:00.000","Queens","Fisher","599"
"2017-07-10T00:00:00.000","Queens","Liberty","420"
"2017-07-10T00:00:00.000","Queens","Totten","459"
"2017-07-10T00:00:00.000","Queens","Marie Curie Park","61"
"2017-07-10T00:00:00.000","Queens","Astoria Hts PS 10","0"
"2017-07-10T00:00:00.000","Queens","PS 186 Playground","70"
"2017-07-10T00:00:00.000","Queens","Windmuller","306"
"2017-07-10T00:00:00.000","Staten Island","Faber","454"
"2017-07-10T00:00:00.000","Staten Island","Lyons","544"
"2017-07-10T00:00:00.000","Staten Island","Tottenville","244"
"2017-07-10T00:00:00.000","Staten Island","West Brighton","159"
"2017-07-10T00:00:00.000","Staten Island","General Douglas","55"
"2017-07-10T00:00:00.000","Staten Island","Mariner's Harbor","0"
"2017-07-10T00:00:00.000","Staten Island","PS 14 Playground","119"
"2017-07-10T00:00:00.000","Staten Island","PS 46 Playground","54"
"2017-07-11T00:00:00.000","Brooklyn","Betsy Head","1031"
"2017-07-11T00:00:00.000","Brooklyn","PS 20 Playground","0"
"2017-07-11T00:00:00.000","Brooklyn","Lindower Park","144"
"2017-07-11T00:00:00.000","Brooklyn","JHS 57/HS 26 Pool","0"
"2017-07-11T00:00:00.000","Brooklyn","Glenwood Houses","19"
"2017-07-11T00:00:00.000","Brooklyn","David Fox/PS 251 Pool","0"
"2017-07-11T00:00:00.000","Brooklyn","McCarren Park","1494"
"2017-07-11T00:00:00.000","Brooklyn","Sunset Park","1266"
"2017-07-11T00:00:00.000","Brooklyn","Red Hook","957"
"2017-07-11T00:00:00.000","Brooklyn","Kosciuszko","624"
"2017-07-11T00:00:00.000","Brooklyn","Howard","352"
"2017-07-11T00:00:00.000","Brooklyn","Douglas and DeGraw","496"
"2017-07-11T00:00:00.000","Brooklyn","Commodore Barry","310"
"2017-07-11T00:00:00.000","Brooklyn","Bushwick","240"
"2017-07-11T00:00:00.000","Bronx","Claremont","313"
"2017-07-11T00:00:00.000","Bronx","Edenwald Houses","89"
"2017-07-11T00:00:00.000","Bronx","Crotona","601"
"2017-07-11T00:00:00.000","Bronx","Floating Pool","190"
"2017-07-11T00:00:00.000","Bronx","Haffen","280"
"2017-07-11T00:00:00.000","Bronx","Mapes","567"
"2017-07-11T00:00:00.000","Bronx","Mullaly","298"
"2017-07-11T00:00:00.000","Bronx","Van Cortlandt","748"
"2017-07-11T00:00:00.000","Bronx","Bronx River Playground","110"
"2017-07-11T00:00:00.000","Manhattan","Asser Levy","539"
"2017-07-11T00:00:00.000","Manhattan","Tony Dapolito","308"
"2017-07-11T00:00:00.000","Manhattan","Dry Dock","259"
"2017-07-11T00:00:00.000","Manhattan","Hamilton Fish","1007"
"2017-07-11T00:00:00.000","Manhattan","Highbridge","1159"
"2017-07-12T00:00:00.000","Bronx","Bronx River Playground","130"
"2017-07-11T00:00:00.000","Manhattan","Jackie Robinson","414"
"2017-07-11T00:00:00.000","Manhattan","John Jay","539"
"2017-07-11T00:00:00.000","Manhattan","Lasker","1673"
"2017-07-11T00:00:00.000","Manhattan","Marcus Garvey","169"
"2017-07-11T00:00:00.000","Manhattan","Sheltering Arms","315"
"2017-07-11T00:00:00.000","Manhattan","Thomas Jefferson","804"
"2017-07-11T00:00:00.000","Manhattan","Wagner","207"
"2017-07-11T00:00:00.000","Manhattan","Abe Lincoln","39"
"2017-07-11T00:00:00.000","Manhattan","Frederick Douglass","28"
"2017-07-11T00:00:00.000","Manhattan","Vesuvio","55"
"2017-07-11T00:00:00.000","Manhattan","Tompkins Square","51"
"2017-07-11T00:00:00.000","Queens","Astoria","2421"
"2017-07-11T00:00:00.000","Queens","Fisher","412"
"2017-07-11T00:00:00.000","Queens","Liberty","362"
"2017-07-11T00:00:00.000","Queens","Totten","225"
"2017-07-11T00:00:00.000","Queens","Marie Curie Park","36"
"2017-07-11T00:00:00.000","Queens","Astoria Hts PS 10","0"
"2017-07-11T00:00:00.000","Queens","PS 186 Playground","85"
"2017-07-11T00:00:00.000","Queens","Windmuller","180"
"2017-07-11T00:00:00.000","Staten Island","Faber","163"
"2017-07-11T00:00:00.000","Staten Island","Lyons","621"
"2017-07-11T00:00:00.000","Staten Island","Tottenville","213"
"2017-07-11T00:00:00.000","Staten Island","West Brighton","194"
"2017-07-11T00:00:00.000","Staten Island","General Douglas","23"
"2017-07-11T00:00:00.000","Staten Island","Mariner's Harbor","0"
"2017-07-11T00:00:00.000","Staten Island","PS 14 Playground","44"
"2017-07-11T00:00:00.000","Staten Island","PS 46 Playground","43"
"2017-07-12T00:00:00.000","Brooklyn","Betsy Head","1103"
"2017-07-12T00:00:00.000","Brooklyn","PS 20 Playground","119"
"2017-07-12T00:00:00.000","Brooklyn","Lindower Park","222"
"2017-07-12T00:00:00.000","Brooklyn","JHS 57/HS 26 Pool","0"
"2017-07-12T00:00:00.000","Brooklyn","Glenwood Houses","54"
"2017-07-12T00:00:00.000","Brooklyn","David Fox/PS 251 Pool","146"
"2017-07-12T00:00:00.000","Brooklyn","McCarren Park","2205"
"2017-07-12T00:00:00.000","Brooklyn","Sunset Park","1711"
"2017-07-12T00:00:00.000","Brooklyn","Red Hook","985"
"2017-07-12T00:00:00.000","Brooklyn","Kosciuszko","872"
"2017-07-12T00:00:00.000","Brooklyn","Howard","364"
"2017-07-12T00:00:00.000","Brooklyn","Douglas and DeGraw","436"
"2017-07-12T00:00:00.000","Brooklyn","Commodore Barry","387"
"2017-07-12T00:00:00.000","Brooklyn","Bushwick","283"
"2017-07-12T00:00:00.000","Bronx","Claremont","489"
"2017-07-12T00:00:00.000","Bronx","Edenwald Houses","125"
"2017-07-12T00:00:00.000","Bronx","Crotona","1268"
"2017-07-12T00:00:00.000","Bronx","Floating Pool","386"
"2017-07-12T00:00:00.000","Bronx","Haffen","308"
"2017-07-12T00:00:00.000","Bronx","Mapes","576"
"2017-07-12T00:00:00.000","Bronx","Mullaly","683"
"2017-07-12T00:00:00.000","Bronx","Van Cortlandt","1054"
"2017-07-12T00:00:00.000","Manhattan","Asser Levy","471"
"2017-07-12T00:00:00.000","Manhattan","Tony Dapolito","266"
"2017-07-12T00:00:00.000","Manhattan","Dry Dock","322"
"2017-07-12T00:00:00.000","Manhattan","Hamilton Fish","1533"
"2017-07-12T00:00:00.000","Manhattan","Highbridge","1830"
"2017-07-12T00:00:00.000","Manhattan","Jackie Robinson","899"
"2017-07-12T00:00:00.000","Manhattan","John Jay","610"
"2017-07-12T00:00:00.000","Manhattan","Lasker","1372"
"2017-07-12T00:00:00.000","Manhattan","Marcus Garvey","332"
"2017-07-12T00:00:00.000","Manhattan","Sheltering Arms","460"
"2017-07-12T00:00:00.000","Manhattan","Thomas Jefferson","886"
"2017-07-12T00:00:00.000","Manhattan","Wagner","236"
"2017-07-12T00:00:00.000","Manhattan","Abe Lincoln","74"
"2017-07-12T00:00:00.000","Manhattan","Frederick Douglass","79"
"2017-07-12T00:00:00.000","Manhattan","Vesuvio","68"
"2017-07-12T00:00:00.000","Manhattan","Tompkins Square","55"
"2017-07-12T00:00:00.000","Queens","Astoria","1506"
"2017-07-12T00:00:00.000","Queens","Fisher","780"
"2017-07-12T00:00:00.000","Queens","Liberty","477"
"2017-07-12T00:00:00.000","Queens","Totten","474"
"2017-07-12T00:00:00.000","Queens","Marie Curie Park","132"
"2017-07-12T00:00:00.000","Queens","Astoria Hts PS 10","0"
"2017-07-12T00:00:00.000","Queens","PS 186 Playground","85"
"2017-07-12T00:00:00.000","Queens","Windmuller","413"
"2017-07-12T00:00:00.000","Staten Island","Faber","386"
"2017-07-12T00:00:00.000","Staten Island","Lyons","540"
"2017-07-12T00:00:00.000","Staten Island","Tottenville","260"
"2017-07-12T00:00:00.000","Staten Island","West Brighton","197"
"2017-07-12T00:00:00.000","Staten Island","General Douglas","64"
"2017-07-12T00:00:00.000","Staten Island","Mariner's Harbor","0"
"2017-07-12T00:00:00.000","Staten Island","PS 14 Playground","130"
"2017-07-12T00:00:00.000","Staten Island","PS 46 Playground","65"
"2017-07-13T00:00:00.000","Brooklyn","Betsy Head","1202"
"2017-07-13T00:00:00.000","Brooklyn","PS 20 Playground","254"
"2017-07-13T00:00:00.000","Brooklyn","Lindower Park","450"
"2017-07-13T00:00:00.000","Brooklyn","JHS 57/HS 26 Pool","0"
"2017-07-13T00:00:00.000","Brooklyn","Glenwood Houses","40"
"2017-07-13T00:00:00.000","Brooklyn","David Fox/PS 251 Pool","115"
"2017-07-13T00:00:00.000","Brooklyn","McCarren Park","3974"
"2017-07-13T00:00:00.000","Brooklyn","Sunset Park","2228"
"2017-07-13T00:00:00.000","Brooklyn","Red Hook","0"
"2017-07-13T00:00:00.000","Brooklyn","Kosciuszko","1334"
"2017-07-13T00:00:00.000","Brooklyn","Howard","10"
"2017-07-13T00:00:00.000","Brooklyn","Douglas and DeGraw","471"
"2017-07-13T00:00:00.000","Brooklyn","Commodore Barry","10"
"2017-07-13T00:00:00.000","Brooklyn","Bushwick","249"
"2017-07-13T00:00:00.000","Bronx","Claremont","489"
"2017-07-13T00:00:00.000","Bronx","Edenwald Houses","78"
"2017-07-13T00:00:00.000","Bronx","Crotona","2033"
"2017-07-13T00:00:00.000","Bronx","Floating Pool","701"
"2017-07-13T00:00:00.000","Bronx","Haffen","540"
"2017-07-13T00:00:00.000","Bronx","Mapes","579"
"2017-07-13T00:00:00.000","Bronx","Mullaly","620"
"2017-07-13T00:00:00.000","Bronx","Van Cortlandt","1290"
"2017-07-13T00:00:00.000","Bronx","Bronx River Playground","130"
"2017-07-13T00:00:00.000","Manhattan","Asser Levy","752"
"2017-07-13T00:00:00.000","Manhattan","Tony Dapolito","377"
"2017-07-13T00:00:00.000","Manhattan","Dry Dock","422"
"2017-07-13T00:00:00.000","Manhattan","Hamilton Fish","1439"
"2017-07-13T00:00:00.000","Manhattan","Highbridge","2754"
"2017-07-13T00:00:00.000","Manhattan","Jackie Robinson","1029"
"2017-07-13T00:00:00.000","Manhattan","John Jay","1043"
"2017-07-13T00:00:00.000","Manhattan","Lasker","2102"
"2017-07-13T00:00:00.000","Manhattan","Marcus Garvey","476"
"2017-07-13T00:00:00.000","Manhattan","Sheltering Arms","545"
"2017-07-13T00:00:00.000","Manhattan","Thomas Jefferson","1465"
"2017-07-13T00:00:00.000","Manhattan","Wagner","364"
"2017-07-13T00:00:00.000","Manhattan","Abe Lincoln","43"
"2017-07-13T00:00:00.000","Manhattan","Frederick Douglass","85"
"2017-07-13T00:00:00.000","Manhattan","Vesuvio","151"
"2017-07-13T00:00:00.000","Manhattan","Tompkins Square","100"
"2017-07-13T00:00:00.000","Queens","Astoria","2648"
"2017-07-13T00:00:00.000","Queens","Fisher","846"
"2017-07-13T00:00:00.000","Queens","Liberty","647"
"2017-07-13T00:00:00.000","Queens","Totten","790"
"2017-07-13T00:00:00.000","Queens","Marie Curie Park","69"
"2017-07-13T00:00:00.000","Queens","Astoria Hts PS 10","0"
"2017-07-13T00:00:00.000","Queens","PS 186 Playground","3"
"2017-07-13T00:00:00.000","Queens","Windmuller","339"
"2017-07-13T00:00:00.000","Staten Island","Faber","264"
"2017-07-13T00:00:00.000","Staten Island","Lyons","602"
"2017-07-13T00:00:00.000","Staten Island","Tottenville","330"
"2017-07-13T00:00:00.000","Staten Island","West Brighton","195"
"2017-07-13T00:00:00.000","Staten Island","General Douglas","3"
"2017-07-13T00:00:00.000","Staten Island","Mariner's Harbor","0"
"2017-07-13T00:00:00.000","Staten Island","PS 14 Playground","96"
"2017-07-13T00:00:00.000","Staten Island","PS 46 Playground","45"
"2017-07-14T00:00:00.000","Brooklyn","Betsy Head","34"
"2017-07-14T00:00:00.000","Brooklyn","PS 20 Playground","0"
"2017-07-14T00:00:00.000","Brooklyn","Lindower Park","17"
"2017-07-14T00:00:00.000","Brooklyn","JHS 57/HS 26 Pool","0"
"2017-07-14T00:00:00.000","Brooklyn","Glenwood Houses","0"
"2017-07-14T00:00:00.000","Brooklyn","David Fox/PS 251 Pool","0"
"2017-07-14T00:00:00.000","Brooklyn","McCarren Park","197"
"2017-07-14T00:00:00.000","Brooklyn","Sunset Park","51"
"2017-07-14T00:00:00.000","Brooklyn","Red Hook","0"
"2017-07-14T00:00:00.000","Brooklyn","Kosciuszko","21"
"2017-07-14T00:00:00.000","Brooklyn","Howard","227"
"2017-07-14T00:00:00.000","Brooklyn","Douglas and DeGraw","22"
"2017-07-14T00:00:00.000","Brooklyn","Commodore Barry","326"
"2017-07-14T00:00:00.000","Brooklyn","Bushwick","3"
"2017-07-14T00:00:00.000","Bronx","Claremont","80"
"2017-07-14T00:00:00.000","Bronx","Edenwald Houses","0"
"2017-07-14T00:00:00.000","Bronx","Crotona","3"
"2017-07-14T00:00:00.000","Bronx","Floating Pool","0"
"2017-07-14T00:00:00.000","Bronx","Haffen","63"
"2017-07-14T00:00:00.000","Bronx","Mapes","64"
"2017-07-14T00:00:00.000","Bronx","Mullaly","60"
"2017-07-14T00:00:00.000","Bronx","Van Cortlandt","2"
"2017-07-14T00:00:00.000","Bronx","Bronx River Playground","1"
"2017-07-14T00:00:00.000","Manhattan","Asser Levy","85"
"2017-07-14T00:00:00.000","Manhattan","Tony Dapolito","47"
"2017-07-14T00:00:00.000","Manhattan","Dry Dock","5"
"2017-07-14T00:00:00.000","Manhattan","Hamilton Fish","87"
"2017-07-14T00:00:00.000","Manhattan","Highbridge","55"
"2017-07-14T00:00:00.000","Manhattan","Jackie Robinson","101"
"2017-07-14T00:00:00.000","Manhattan","John Jay","98"
"2017-07-14T00:00:00.000","Manhattan","Lasker","90"
"2017-07-14T00:00:00.000","Manhattan","Marcus Garvey","7"
"2017-07-14T00:00:00.000","Manhattan","Sheltering Arms","6"
"2017-07-14T00:00:00.000","Manhattan","Thomas Jefferson","0"
"2017-07-14T00:00:00.000","Manhattan","Wagner","11"
"2017-07-14T00:00:00.000","Manhattan","Abe Lincoln","6"
