"development_name","borough","account_name","location","meter_amr","meter_scope","tds","edp","rc_code","funding_source","amp","vendor_name","umis_bill_id","revenue_month","service_start_date","service_end_date","days","meter_number","estimated","current_charges","rate_class","bill_analyzed","consumption_therms","es_commodity","underlying_utility"
"CONEY ISLAND I (SITE 1B)","BROOKLYN","CONEY ISLAND I (SITE 1B)","BLD 01","AMR",,"239","335","K023900","FEDERAL","NY005011660P","National Grid NYC","12203459","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","6943981","N","369646.21","T3 TRAN MULT FAM","Yes","270626","UTILITY GAS","NatGrid NYC"
"SARATOGA VILLAGE","BROOKLYN","SARATOGA VILLAGE","BLD 01","AMR",,"158","274","K015800","FEDERAL","NY005011620P","National Grid NYC","12203266","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","9433620","N","13112.7","T3 TRAN MULT FAM","Yes","24523","UTILITY GAS","NatGrid NYC"
"SOUTH BRONX AREA (SITE 402)","BRONX","SOUTH BRONX AREA (SITE 402)","BLD 04","NONE",,"305","550","B030500","FEDERAL","NY005013420P","CONSOLIDATED EDISON COMPANY OF NY","12204374","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3691780","N","4194.89","TRMDH","Yes","3048","UTILITY GAS","ConEd"
"SOTOMAYOR HOUSES","BRONX","SOTOMAYOR HOUSES","BLD 14","NONE",,"67","222","B206700","FEDERAL","NY005010670P","CONSOLIDATED EDISON COMPANY OF NY","12234337","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","4212320","N","2583.46","GS2","Yes","1365","UTILITY GAS",
"SOTOMAYOR HOUSES","BRONX","SOTOMAYOR HOUSES",,,,"67","222","B206700","FEDERAL","NY005010670P","CONSOLIDATED EDISON COMPANY OF NY","12175364","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3876031","N","436314.72","GS2","Exception","206903","UTILITY GAS",
"CONEY ISLAND I (SITE 1B)","BROOKLYN","CONEY ISLAND I (SITE 1B)","BLD 01","AMR",,"239","335","K023900","FEDERAL","NY005011660P","National Grid NYC","12203460","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","6944214","N","43.24","T3 TRAN MULT FAM","Yes","1","UTILITY GAS","NatGrid NYC"
"BRACETTI PLAZA","MANHATTAN","BRACETTI PLAZA","BLD 01","NONE",,"264","379","M026400","FEDERAL","NY005012920P","CONSOLIDATED EDISON COMPANY OF NY","12142523","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2544022","N","19505.41","TRMDHDF","Yes","16581","UTILITY GAS","ConEd"
"EAST NEW YORK CITY LINE","BROOKLYN","EAST NEW YORK CITY LINE","BLD 24","AMR","BLD 24-27","263","378","K026300","FEDERAL","NY005010700P","National Grid NYC","12203369","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","5593731","N","492.23","T3 TRAN MULT FAM","Exception","712","UTILITY GAS","NatGrid NYC"
"TAPSCOTT STREET REHAB","BROOKLYN","TAPSCOTT STREET REHAB","BLD 06","AMR",,"354","775","K035400","FEDERAL","NY005011670P","National Grid NYC","12203220","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","5150390","N","609.28","T3 TRAN MULT FAM","Yes","1017.92","UTILITY GAS","NatGrid NYC"
"BOYNTON AVENUE REHAB","BRONX","BOYNTON AVENUE REHAB","BLD 01","NONE","BLD 01","346","767","B034600","FEDERAL","NY005010320P","CONSOLIDATED EDISON COMPANY OF NY","12142231","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3537905","N","2246.16","TRMDH","Yes","1613","UTILITY GAS","ConEd"
"SMITH","MANHATTAN","SMITH","BLD 05","NONE","BLD 1-12","27","531","M002700","FEDERAL","NY005000270P","CONSOLIDATED EDISON COMPANY OF NY","12146402","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2988774","N","366198.67","TRMDHDF","Yes","324193","UTILITY GAS","ConEd"
"DOUGLASS II","MANHATTAN","DOUGLASS I/DOUGLASS II","DOUGLASS I BLD 11","NONE",,"582","569","M058200","FEDERAL","NY005010820P","CONSOLIDATED EDISON COMPANY OF NY","12179279","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2545233-34.3%","N","133672.47","TRMDHDF","Yes","118355.24","UTILITY GAS","ConEd"
"BUSHWICK II (GROUPS B & D)","BROOKLYN","BUSHWICK II (GROUPS B & D)","BLD 51 - Community Center","AMR",,"303","566","K230300","FEDERAL","NY005012470P","National Grid NYC","12203041","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","6943159","N","470.74","T3 TRAN MULT FAM","Exception","678","UTILITY GAS","NatGrid NYC"
"BOYNTON AVENUE REHAB","BRONX","BOYNTON AVENUE REHAB","BLD 03","NONE","BLD 03","346","767","B034600","FEDERAL","NY005010320P","CONSOLIDATED EDISON COMPANY OF NY","12142228","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3388978","N","8651.94","TRMDH","Yes","6951","UTILITY GAS","ConEd"
"PALMETTO GARDENS","BROOKLYN","PALMETTO GARDENS","BLD 01","AMR",,"195","393","K019500","FEDERAL","NY005012470P","National Grid NYC","12202962","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","9444331","N","3294.86","T3 TRAN MULT FAM","Yes","5954","UTILITY GAS","NatGrid NYC"
"CONEY ISLAND I (SITES 4 & 5)","BROOKLYN","CONEY ISLAND I (SITE 4 & 5)","BLD 01","AMR",,"216","328","K021600","FEDERAL","NY005011700P","National Grid NYC","12203465","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","5334321","N","489.48","T2-2 TRAN GENERAL","Yes","541","UTILITY GAS","NatGrid NYC"
"BORINQUEN PLAZA II","BROOKLYN","BORINQUEN PLAZA II","BLD 13","AMR",,"271","390","K027100","FEDERAL","NY005012430P","National Grid NYC","12202933","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","9218428","N","4265.59","T3 TRAN MULT FAM","Yes","7791","UTILITY GAS","NatGrid NYC"
"EAST NEW YORK CITY LINE","BROOKLYN","EAST NEW YORK CITY LINE","BLD 17","AMR","BLD 11-17","263","378","K026300","FEDERAL","NY005010700P","National Grid NYC","12203363","2023-01","2022-12-23T00:00:00.000","2023-01-26T00:00:00.000","34","5152563","N","1360.38","T3 TRAN MULT FAM","Yes","2446","UTILITY GAS","NatGrid NYC"
"PARK ROCK REHAB","BROOKLYN","PARK ROCK REHAB","BLD 04","AMR","BLD 4-5","351","765","K035100","FEDERAL","NY005013510P","National Grid NYC","12203168","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","5152857","N","3584.03","T3 TRAN MULT FAM","Exception","6502","UTILITY GAS","NatGrid NYC"
"CLAREMONT REHAB (GROUP 3)","BRONX","CLAREMONT REHAB (GROUP 3)","BLD 05","NONE",,"308","750","B030800","FEDERAL","NY005013080P","CONSOLIDATED EDISON COMPANY OF NY","12204503","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3442479","Y","3022.93","TRMDH","Yes","2185","UTILITY GAS","ConEd"
"SAMUEL (CITY)","MANHATTAN","SAMUEL (CITY)","BLD 24","NONE",,"377","650","M037700","MIXED FINANCE/LLC1","NY005023770P","CONSOLIDATED EDISON COMPANY OF NY","12141354","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3267811","N","4590.07","TRMDH","Yes","3347","UTILITY GAS","ConEd"
"LENOX ROAD-ROCKAWAY PARKWAY","BROOKLYN","LENOX ROAD-ROCKAWAY PARKWAY","BLD 02","AMR",,"348","763","K034800","FEDERAL","NY005011670P","National Grid NYC","12203235","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","6130337","N","648.31","T3 TRAN MULT FAM","Yes","1143.13","UTILITY GAS","NatGrid NYC"
"TAPSCOTT STREET REHAB","BROOKLYN","TAPSCOTT STREET REHAB","BLD 05","AMR",,"354","775","K035400","FEDERAL","NY005011670P","National Grid NYC","12203229","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","498444","N","21.35","T3 TRAN MULT FAM","Yes","0","UTILITY GAS","NatGrid NYC"
"SAMUEL (CITY)","MANHATTAN","SAMUEL (CITY)","BLD 23","NONE",,"377","650","M037700","MIXED FINANCE/LLC1","NY005023770P","CONSOLIDATED EDISON COMPANY OF NY","12142369","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3267814","Y","4712.93","TRMDH","Yes","3456","UTILITY GAS","ConEd"
"SAMUEL (CITY)","MANHATTAN","SAMUEL (CITY)","BLD 09","NONE",,"377","650","M037700","MIXED FINANCE/LLC1","NY005023770P","CONSOLIDATED EDISON COMPANY OF NY","12142257","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3661323","N","3730.45","TRMDH","Yes","2706","UTILITY GAS","ConEd"
"BUSHWICK II (GROUPS B & D)","BROOKLYN","BUSHWICK II (GROUPS B & D)","BLD 39","AMR",,"303","566","K030300","FEDERAL","NY005012470P","National Grid NYC","12203039","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","6322024","N","662.14","T3 TRAN MULT FAM","Yes","980","UTILITY GAS","NatGrid NYC"
"INGERSOLL","BROOKLYN","INGERSOLL","BLD 22","AMR","BLD 16-23","14","510","K001400","FEDERAL","NY005000140P","National Grid NYC","12203054","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","4623275","N","50200.53","T3 TRAN MULT FAM","Yes","94665","UTILITY GAS","NatGrid NYC"
"EAST NEW YORK CITY LINE","BROOKLYN","EAST NEW YORK CITY LINE","BLD 10","AMR","BLD 9-10","263","378","K026300","FEDERAL","NY005010700P","National Grid NYC","12203372","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","5594418","N","541.06","T3 TRAN MULT FAM","Exception","789","UTILITY GAS","NatGrid NYC"
"GLEBE AVENUE-WESTCHESTER AVENUE","BRONX","GLEBE AVENUE-WESTCHESTER AVENUE","BLD 01","NONE",,"225","342","B022500","FEDERAL","NY005010670P","CONSOLIDATED EDISON COMPANY OF NY","12202658","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3434006","Y","2007.51","TR I NR","Yes","2810","UTILITY GAS","ConEd"
"ELLIOTT","MANHATTAN","ELLIOTT/CHELSEA ADDITION","ELLIOTT BLD 04","NONE",,"15","367","M001500","FEDERAL","NY005011340P","CONSOLIDATED EDISON COMPANY OF NY","12158020","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3333970-79.6%","N","78665.21","TRMDHDF","Yes","69220.02","UTILITY GAS","ConEd"
"CLAREMONT REHAB (GROUP 4)","BRONX","CLAREMONT REHAB (GROUP 4)","BLD 04","NONE",,"335","751","B033500","FEDERAL","NY005013080P","CONSOLIDATED EDISON COMPANY OF NY","12157908","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","6047924","N","1948.73","TRMDH","Yes","1394","UTILITY GAS","ConEd"
"TAPSCOTT STREET REHAB","BROOKLYN","TAPSCOTT STREET REHAB","BLD 06","AMR",,"354","775","K035400","FEDERAL","NY005011670P","National Grid NYC","12203220","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","5150392","N","647.08","T3 TRAN MULT FAM","Yes","1081.08","UTILITY GAS","NatGrid NYC"
"INGERSOLL","BROOKLYN","INGERSOLL","BLD 35","AMR","BLD 24-35","14","510","K001400","FEDERAL","NY005000140P","National Grid NYC","12202833","2023-01","2022-12-16T00:00:00.000","2023-01-18T00:00:00.000","33","13795873","N","56596.07","T3 TRAN MULT FAM","Yes","123405","UTILITY GAS","NatGrid NYC"
"BORINQUEN PLAZA II","BROOKLYN","BORINQUEN PLAZA II","BLD 09","AMR",,"271","390","K027100","FEDERAL","NY005012430P","National Grid NYC","12202930","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","5237234","N","3945.16","T3 TRAN MULT FAM","Yes","7185","UTILITY GAS","NatGrid NYC"
"UNITY PLAZA (SITES 4-27)","BROOKLYN","UNITY PLAZA (ALL)/LI BAPTIST HOUSES (BLD 2-4)","UNITY PLAZA BLD 03","AMR",,"261","318","K026100","FEDERAL","NY005012610P","National Grid NYC","12203312","2023-01","2022-12-23T00:00:00.000","2023-01-26T00:00:00.000","34","07214873-55.8%","N","31135.15","T3 TRAN MULT FAM","Yes","63542.81","UTILITY GAS","NatGrid NYC"
"CONEY ISLAND I (SITE 8)","BROOKLYN","CONEY ISLAND I (SITE 8)","BLD 01","AMR",,"238","334","K023800","FEDERAL","NY005011720P","National Grid NYC","12203476","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","5768931","N","12949.09","T3 TRAN MULT FAM","Yes","24209","UTILITY GAS","NatGrid NYC"
"FHA REPOSSESSED HOUSES (GROUP IX)","FHA","FHA REPOSSESSED HOUSES (GROUP IX)","341 BERRIMAN STREET","AMR",,"283","376","Q028300","FEDERAL","NY005012090P","National Grid NYC","12218362","2023-01","2023-01-13T00:00:00.000","2023-01-24T00:00:00.000","11","115063","N","503.59","T1B TRAN RES HEAT","Yes","587","UTILITY GAS","NatGrid NYC"
"STERLING PLACE REHABS (STERLING-BUFFALO)","BROOKLYN","STERLING PLACE REHABS (STERLING-BUFFALO)","BLD 07","AMR",,"368","837","K036800","FEDERAL","NY005013510P","National Grid NYC","12203127","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","5152666","N","1398.92","T3 TRAN MULT FAM","Exception","2369","UTILITY GAS","NatGrid NYC"
"LA GUARDIA","MANHATTAN","LA GUARDIA/LA GUARDIA ADDITION","LA GUARDIA BLD 04","NONE",,"76","221","M007600","FEDERAL","NY005010760P","CONSOLIDATED EDISON COMPANY OF NY","12167083","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3485958-90.7%","N","275464.56","TRMDHDF","Yes","243754.44","UTILITY GAS","ConEd"
"HARBORVIEW TERRACE","MANHATTAN","HARBORVIEW TERRACE","BLD 01","NONE","BLD 1-2","262","377","M026200","FEDERAL","NY005010220P","CONSOLIDATED EDISON COMPANY OF NY","12140379","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","6900682","N","53870.23","TRMDH","Yes","47072","UTILITY GAS","ConEd"
"SAMUEL (CITY)","MANHATTAN","SAMUEL (CITY)","BLD 48 - Community Center","NONE",,"377","650","M237700","MIXED FINANCE/LLC1","NY005023770P","CONSOLIDATED EDISON COMPANY OF NY","12141338","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2544572","N","2938.23","TR II NR","Yes","2661","UTILITY GAS","ConEd"
"BETHUNE GARDENS","MANHATTAN","BETHUNE GARDENS","BLD 01","NONE",,"160","271","M016000","FEDERAL","NY005010030P","CONSOLIDATED EDISON COMPANY OF NY","12184314","2023-01","2022-05-24T00:00:00.000","2022-06-23T00:00:00.000","30","3893285","Y","7540.82","TRMDHDF","Yes","7526","UTILITY GAS","ConEd"
"HARRISON AVENUE REHAB (GROUP A)","BRONX","HARRISON AVENUE REHAB (GROUP A)","BLD 01","NONE",,"347","772","B034700","FEDERAL","NY005013410P","CONSOLIDATED EDISON COMPANY OF NY","12142032","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3045191","N","6483.52","TRMDH","Yes","5027","UTILITY GAS","ConEd"
"FHA REPOSSESSED HOUSES (GROUP IX)","FHA","FHA REPOSSESSED HOUSES (GROUP IX)","143 GATES AVENUE","AMR",,"283","376","Q028300","FEDERAL","NY005012090P","National Grid NYC","12206527","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","831016","N","520.37","T1B TRAN RES HEAT","Yes","520","UTILITY GAS","NatGrid NYC"
"WEST BRIGHTON I","STATEN ISLAND","WEST BRIGHTON I/WEST BRIGHTON II","WEST BRIGHTON I BLD 06","AMR",,"116","242","S011600","FEDERAL","NY005010130P","National Grid NYC","12202906","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","17291557-87.8%","N","40294.56","T3 TRAN MULT FAM","Yes","82225.58","UTILITY GAS","NatGrid NYC"
"BORINQUEN PLAZA II","BROOKLYN","BORINQUEN PLAZA II","BLD 11","AMR",,"271","390","K027100","FEDERAL","NY005012430P","National Grid NYC","12202928","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","9644575","N","4304.72","T3 TRAN MULT FAM","Yes","7865","UTILITY GAS","NatGrid NYC"
"STERLING PLACE REHABS (STERLING-BUFFALO)","BROOKLYN","STERLING PLACE REHABS (STERLING-BUFFALO)","BLD 01","AMR",,"368","837","K036800","FEDERAL","NY005013510P","National Grid NYC","12203136","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","4829228","N","972.14","T3 TRAN MULT FAM","Yes","1562","UTILITY GAS","NatGrid NYC"
"BOSTON ROAD PLAZA","BRONX","BOSTON ROAD PLAZA","BLD 01","AMR","BLD 1-2","189","304","B018900","FEDERAL","NY005010390P","CONSOLIDATED EDISON COMPANY OF NY","12187742","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","6901513","N","19195.23","TRMDHDF","Yes","16675.42","UTILITY GAS","ConEd"
"HOWARD AVENUE-PARK PLACE","BROOKLYN","HOWARD AVENUE-PARK PLACE","BLD 05","AMR",,"365","551","K036500","FEDERAL","NY005013510P","National Grid NYC","12203128","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","5152881","N","1899.22","T3 TRAN MULT FAM","Yes","3315","UTILITY GAS","NatGrid NYC"
"#N/A","NON DEVELOPMENT FACILITY","NDF - PSA 4, 130 AVENUE C","BLD 04","NONE",,"#N/A","999","1011400","NON-DEVELOPMENT",,"CONSOLIDATED EDISON COMPANY OF NY","12141304","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3318947","N","294.8","TR I NR","Yes","294","UTILITY GAS","ConEd"
"BREUKELEN","BROOKLYN","BREUKELEN","BLD 32","AMR","BLD 1-31","56","212","K005600","FEDERAL","NY005000560P","National Grid NYC","12203382","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","8271907","N","184328.95","T3 TRAN MULT FAM","Yes","348334","UTILITY GAS","NatGrid NYC"
"LOWER EAST SIDE I INFILL","MANHATTAN","LOWER EAST SIDE I INFILL","BLD 02","NONE",,"326","784","M032600","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","12142227","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3124704","N","28.81","TRMDH","Yes","0","UTILITY GAS","ConEd"
"FENIMORE-LEFFERTS","BROOKLYN","FENIMORE-LEFFERTS","BLD 16","AMR",,"205","322","K020500","FEDERAL","NY005011670P","National Grid NYC","12203193","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","157368","N","638.27","T1B TRAN RES HEAT","Yes","711","UTILITY GAS","NatGrid NYC"
"INGERSOLL","BROOKLYN","INGERSOLL","BLD 36 - Community Center","AMR",,"14","510","K001400","FEDERAL","NY005000140P","National Grid NYC","12203059","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","4458466","N","1281.2","T2-2 TRAN GENERAL","Yes","1503","UTILITY GAS","NatGrid NYC"
"WHITMAN","BROOKLYN","WHITMAN/WHITMAN CHILD CENTER","BLD 07 - Community Center","AMR",,"514","509","K051400","FEDERAL","NY005005140P","National Grid NYC","12202858","2023-01","2022-12-15T00:00:00.000","2023-01-25T00:00:00.000","41","01239203-99.3%","Y","126613.3","T3 TRAN MULT FAM","Yes","269989.75","UTILITY GAS","NatGrid NYC"
"WHITMAN","BROOKLYN","WHITMAN/WHITMAN CHILD CENTER","BLD 07 - Community Center","AMR",,"514","509","K251400","FEDERAL","NY005005140P","National Grid NYC","12202858","2023-01","2022-12-15T00:00:00.000","2023-01-25T00:00:00.000","41","01239203-0.7%","Y","892.54","T3 TRAN MULT FAM","Yes","1903.25","UTILITY GAS","NatGrid NYC"
"BUSHWICK II (GROUPS B & D)","BROOKLYN","BUSHWICK II (GROUPS B & D)","BLD 28","AMR",,"303","566","K030300","FEDERAL","NY005012470P","National Grid NYC","12202838","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","6056148","Y","711.26","T3 TRAN MULT FAM","Yes","1127","UTILITY GAS","NatGrid NYC"
"FARRAGUT","BROOKLYN","FARRAGUT",,,,"29","532","K002900","FEDERAL","NY005000290P","National Grid NYC","12203053","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","6432373","N","268859.04","T3 TRAN MULT FAM","Yes","180836","UTILITY GAS","NatGrid NYC"
"RED HOOK EAST","BROOKLYN","RED HOOK EAST","BLD 13","AMR","BLD 11-14","4","202","K000400","FEDERAL","NY005000040P","National Grid NYC","12203105","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","4623253","N","30746.63","T3 TRAN MULT FAM","Exception","57873","UTILITY GAS","NatGrid NYC"
"BUSHWICK II CDA (GROUP E)","BROOKLYN","BUSHWICK II CDA (GROUP E)","BLD 01","AMR",,"324","758","K032400","FEDERAL","NY005012470P","National Grid NYC","12202855","2023-01","2022-12-27T00:00:00.000","2023-01-25T00:00:00.000","29","7399882","Y","2339.42","T3 TRAN MULT FAM","Yes","4144","UTILITY GAS","NatGrid NYC"
"HUNTS POINT AVENUE REHAB","BRONX","HUNTS POINT AVENUE REHAB","BLD 13","NONE",,"367","806","B036700","FEDERAL","NY005015300P","CONSOLIDATED EDISON COMPANY OF NY","12142030","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3231381","N","6038.35","TRMDH","Yes","4632","UTILITY GAS","ConEd"
"MARINER'S HARBOR","STATEN ISLAND","MARINER'S HARBOR","BLD 09","AMR","BLD 1-22","77","228","S007700","FEDERAL","NY005000770P","National Grid NYC","12203535","2023-01","2023-01-04T00:00:00.000","2023-02-02T00:00:00.000","29","1477519","N","64016.84","T3 TRAN MULT FAM","Yes","118693","UTILITY GAS","NatGrid NYC"
"UNION AVENUE-EAST 166TH STREET","BRONX","UNION AVENUE-EAST 166TH STREET","BLD 02","NONE",,"356","768","B035600","FEDERAL","NY005013420P","CONSOLIDATED EDISON COMPANY OF NY","12141749","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3956613","Y","4877.47","TRMDH","Yes","3602","UTILITY GAS","ConEd"
"#N/A","NON DEVELOPMENT FACILITY","NDF - PSA 2, 560 SUTTER AVE","BLD 05","AMR",,"#N/A","999","1011200","NON-DEVELOPMENT",,"National Grid NYC","12203328","2023-01","2022-12-23T00:00:00.000","2023-01-26T00:00:00.000","34","7350870","N","1020.7","T1B TRAN RES HEAT","Exception","1306","UTILITY GAS","NatGrid NYC"
"MORRIS II","BRONX","MORRIS I/MORRIS II/MORRISANIA","MORRIS I BLD 10","NONE","BLD 1-10","502","280","B050200","FEDERAL","NY005011020P","CONSOLIDATED EDISON COMPANY OF NY","12147635","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3926165-37.5%","N","187925.83","TRMDH","Yes","166469.63","UTILITY GAS","ConEd"
"FENIMORE-LEFFERTS","BROOKLYN","FENIMORE-LEFFERTS","BLD 03","AMR",,"205","322","K020500","FEDERAL","NY005011670P","National Grid NYC","12203209","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","4539103","N","430.59","T1B TRAN RES HEAT","Yes","456","UTILITY GAS","NatGrid NYC"
"KINGSBOROUGH","BROOKLYN","KINGSBOROUGH/KINGSBOROUGH EXTENSION","KINGSBOROUGH BLD 11","AMR",,"10","205","K001000","FEDERAL","NY005010100P","National Grid NYC","12202879","2023-01","2022-12-27T00:00:00.000","2023-01-25T00:00:00.000","29","00028150-85.9%","Y","86131.49","T3 TRAN MULT FAM","Yes","162174.91","UTILITY GAS","NatGrid NYC"
"MORRIS I","BRONX","MORRIS I/MORRIS II/MORRISANIA","MORRIS I BLD 10","NONE","BLD 1-10","102","239","B010200","FEDERAL","NY005011020P","CONSOLIDATED EDISON COMPANY OF NY","12147635","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3926165-53.3%","N","267105.24","TRMDH","Yes","236608.83","UTILITY GAS","ConEd"
"FHA REPOSSESSED HOUSES (GROUP IV)","FHA","FHA REPOSSESSED HOUSES (GROUP IV)","116-17 FARMERS BOULEVARD","AMR",,"226","345","Q022600","FEDERAL","NY005012090P","National Grid NYC","12205945","2023-01","2023-01-11T00:00:00.000","2023-02-10T00:00:00.000","30","4207969","N","380.28","T1B TRAN RES HEAT","Yes","447","UTILITY GAS","NatGrid NYC"
"HAMMEL","QUEENS","HAMMEL","BLD 05","NONE","BLD 1-14","75","226","Q007500","FEDERAL","NY005010750P","National Grid LI","12206068","2023-01","2023-01-09T00:00:00.000","2023-02-07T00:00:00.000","29","4774936","N","74.85","158 Del,Com,Multidwel,Heat","Yes","0","UTILITY GAS","NatGrid LI"
"TODT HILL","STATEN ISLAND","TODT HILL","BLD 05","AMR","BLD 1-7","42","583","S004200","FEDERAL","NY005000520P","National Grid NYC","12203526","2023-01","2022-12-30T00:00:00.000","2023-01-30T00:00:00.000","31","6011107","N","36098.1","T3 TRAN MULT FAM","Yes","64483","UTILITY GAS","NatGrid NYC"
"O'DWYER GARDENS","BROOKLYN","ODWYER GARDENS","BLD 06","AMR","BLD 1-6","172","582","K017200","FEDERAL","NY005011720P","National Grid NYC","12202898","2023-01","2022-12-27T00:00:00.000","2023-01-25T00:00:00.000","29","5874469","Y","58455.15","T3 TRAN MULT FAM","Yes","109932","UTILITY GAS","NatGrid NYC"
"HUNTS POINT AVENUE REHAB","BRONX","HUNTS POINT AVENUE REHAB","BLD 02","NONE","BLD 1-3","367","806","B036700","FEDERAL","NY005015300P","CONSOLIDATED EDISON COMPANY OF NY","12142621","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3792023","N","5241.5","TRMDH","Yes","3925","UTILITY GAS","ConEd"
"STUYVESANT GARDENS I","BROOKLYN","STUYVESANT GARDENS I","BLD 03","AMR","BLD 3-4","221","337","K022100","FEDERAL","NY005012210P","National Grid NYC","12203116","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","9840676","N","11052.67","T3 TRAN MULT FAM","Yes","20627","UTILITY GAS","NatGrid NYC"
"104-14 TAPSCOTT STREET","BROOKLYN","TAPSCOTT STREET","BLD 01","AMR",,"242","361","K024200","FEDERAL","NY005011670P","National Grid NYC","12202883","2023-01","2022-12-27T00:00:00.000","2023-01-25T00:00:00.000","29","5668970","Y","3052.34","T3 TRAN MULT FAM","Yes","5488","UTILITY GAS","NatGrid NYC"
"RAVENSWOOD","QUEENS","RAVENSWOOD","BLD 01","NONE","BLD 1-31","48","369","Q004800","FEDERAL","NY005000480P","CONSOLIDATED EDISON COMPANY OF NY","12179240","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2948444","N","441731.12","TRMDHDF","Yes","391211","UTILITY GAS","ConEd"
"TAPSCOTT STREET REHAB","BROOKLYN","TAPSCOTT STREET REHAB","BLD 08","AMR",,"354","775","K035400","FEDERAL","NY005011670P","National Grid NYC","12203223","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","5150391","N","730.27","T3 TRAN MULT FAM","Yes","1239.44","UTILITY GAS","NatGrid NYC"
