"court_index_number","docket_number","eviction_address","eviction_apt_num","executed_date","marshal_first_name","marshal_last_name","residential_commercial_ind","borough","eviction_zip","ejectment","eviction_possession","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"N057649/18","394229","3333 BROADWAY-BLDG D","D20H","2019-05-13T00:00:00.000","Richard","McCoy","Residential","MANHATTAN","10031","Not an Ejectment","Possession",,,,,,,,
"078940/18","092393","409 WEST 145TH ST","504","2019-05-21T00:00:00.000","Henry","Daley","Residential","MANHATTAN","10031","Not an Ejectment","Possession","40.824211","-73.945159","9","9","231","1061347","1020600025","Hamilton Heights"
"N62500/16","069833","301 EAST 47TH STREET","21C","2023-05-17T00:00:00.000","Ileana","Rivera","Residential","MANHATTAN","10017","Not an Ejectment","Possession","40.752950","-73.969750","6","4","90","1038905","1013400001","Turtle Bay-East Midtown"
"N314762/22","106059","110 WEST 40TH STREET","RM 1804 ON 18TH FL","2023-01-09T00:00:00.000","Ileana","Rivera","Commercial","MANHATTAN","10018","Not an Ejectment","Possession","40.753818","-73.985696","5","4","113","1080614","1008150039","Midtown-Midtown South"
"50169/17","338696","1726 COLDEN AVENUE","BASEMENT","2018-06-18T00:00:00.000","Thomas","Bia","Residential","BRONX","10462","Not an Ejectment","Possession","40.847227","-73.855592","11","13","252","2044802","2041020038","Van Nest-Morris Park-Westchester Square"
"63265/17","075077","131 THOMAS S. BOYLAND STREET","SECOND FLOOR APT.","2018-01-17T00:00:00.000","Henry","Daley","Residential","BROOKLYN","11233","Not an Ejectment","Possession","40.680372","-73.913957","16","41","371","3041522","3015270007","Ocean Hill"
"55306/19","491167","61 EAST 66TH STREET","5B","2019-06-03T00:00:00.000","Danny","Weinheim","Residential","MANHATTAN","10065","Not an Ejectment","Possession","40.767694","-73.967538","8","4","122","1041173","1013810031","Upper East Side-Carnegie Hill"
"79321/16","467472","220 E. 65TH STREET","10N","2017-05-22T00:00:00.000","Danny","Weinheim","Residential","MANHATTAN","10021","Not an Ejectment","Possession","40.765028","-73.963193","8","4","118","1043869","1014197503","Lenox Hill-Roosevelt Island"
"65378/16Q","069591","187-21 LINDEN BOULEV ARD","GROUND FLOOR","2018-02-02T00:00:00.000","Justin","Grossman","Commercial","QUEENS","11412","Not an Ejectment","Possession","40.692022","-73.765021","12","27","398","4221032","4103800024","St. Albans"
"70042/17","203823","350 EAST 79TH STREET","6-F","2018-01-09T00:00:00.000","Richard","Capuano","Residential","MANHATTAN","10075","Not an Ejectment","Possession","40.772825","-73.953859","8","5","134","1045256","1014530027","Lenox Hill-Roosevelt Island"
"64826/19","096143","783 LINCOLN PLACE","2","2019-09-04T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11216","Not an Ejectment","Possession","40.670782","-73.950880","8","35","31702","3032248","3012540043","Crown Heights North"
"K64886/15","081788","5416 4TH AVENUE","3C","2017-11-21T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11220","Not an Ejectment","Possession","40.644087","-74.015070","7","38","76","3014544","3008220039","Sunset Park West"
"Q76838/16","074864","123-33 83RD AVENUE","2304","2017-04-07T00:00:00.000","Ileana","Rivera","Residential","QUEENS","11415","Not an Ejectment","Possession","40.711332","-73.827153","9","29","216","4533202","4033609001","Kew Gardens"
"58332/19","24081","153-30 89TH AVE","1102","2019-08-12T00:00:00.000","Edward","Guida","Residential","QUEENS","11432","Not an Ejectment","Possession","40.705517","-73.802501","12","24","240","4208831","4097557501","Jamaica"
"302415/22","007996","410 EAST 105TH ST","8F","2023-07-13T00:00:00.000","David","Smith","Residential","MANHATTAN","10029","Not an Ejectment","Possession","40.788766","-73.940140","11","8","162","1083946","1016960001","East Harlem South"
"76096/17","168037","646 RUTLAND ROAD","4H","2017-11-17T00:00:00.000","Alfred","Locascio","Residential","BROOKLYN","11203","Not an Ejectment","Possession","40.660099","-73.939178","9","41","87401","3107233","3048130011","Prospect Lefferts Gardens-Wingate"
"300283/21","029963","4720 AVENUE D STOREFRONT",,"2021-11-08T00:00:00.000","Gary","Rose","Commercial","BROOKLYN","11203","Not an Ejectment","Possession",,,,,,,,
"301413/22","107648","83 BOWERY","3C","2022-10-03T00:00:00.000","Henry","Daley","Residential","MANHATTAN","10002","Not an Ejectment","Possession","40.716935","-73.995624","3","1","16","1003907","1003030010","Chinatown"
"075857/18","207093","20-12 CRESCENT ST","1A","2019-02-14T00:00:00.000","Richard","Capuano","Residential","QUEENS","11105","Not an Ejectment","Possession","40.781959","-73.910562","1","22","105","4019061","4008710030","Steinway"
"71213/18","24203","149-29 84TH STREET",,"2019-07-26T00:00:00.000","Edward","Guida","Residential","QUEENS","11414","Not an Ejectment","Possession","40.669156","-73.851025","10","32","6201","4246296","4114160044","Lindenwood-Howard Beach"
"61033/17","476035","202 6TH AVENUE","4-E","2018-03-13T00:00:00.000","Danny","Weinheim","Residential","MANHATTAN","10013","Not an Ejectment","Possession","40.726788","-74.003503","2","3","49","1077764","1005040019","SoHo-TriBeCa-Civic Center-Little Italy"
"65983/16-1","202477","702 ROCKAWAY AVENUE","2E","2017-08-10T00:00:00.000","Richard","Capuano","Residential","BROOKLYN","11212","Not an Ejectment","Possession","40.662769","-73.908984","16","41","924","3081941","3035750001","Brownsville"
"301388/22","079219","135 PORT RICHMOND AV","RIGHT FRONT ENTRANCE","2023-07-31T00:00:00.000","Kenneth","Giachetta","Residential","STATEN ISLAND","10302","Not an Ejectment","Possession","40.637854","-74.133448","1","49","207","5023969","5010220003","Port Richmond"
"K67378/19","101165","105 HULL STREET",,"2022-04-26T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11233","Not an Ejectment","Possession","40.679312","-73.912942","16","41","371","3041697","3015330069","Ocean Hill"
"78329/17","340286","407 WEST 49TH STREET","4E","2018-02-14T00:00:00.000","Thomas","Bia","Residential","MANHATTAN","10019","Not an Ejectment","Possession","40.763095","-73.989954","4","3","127","1082396","1010590028","Clinton"
"328782/22","15609","89 W TREMONT AVENUE","6-A","2023-06-01T00:00:00.000","Robert","Renzulli","Residential","BRONX","10453","Not an Ejectment","Possession","40.850501","-73.912382","5","14","243","2114451","2028690047","University Heights-Morris Heights"
"N59126/16","084250","117 EAST 115TH STREE T","1B","2018-01-16T00:00:00.000","Ileana","Rivera","Residential","MANHATTAN","10029","Not an Ejectment","Possession","40.798390","-73.943176","11","8","182","1052233","1016430008","East Harlem North"
"B015409/18","394948","1231 SHERIDAN AVENUE","5","2018-11-02T00:00:00.000","Richard","McCoy","Residential","BRONX","10456","Not an Ejectment","Possession","40.835040","-73.915770","4","16","17901","2002771","2024570023","East Concourse-Concourse Village"
"311198/22","003271","385 CHESTNUT ST","2F","2023-04-12T00:00:00.000","Salavatore","Giglio","Residential","BROOKLYN","11208","Not an Ejectment","Possession","40.677517","-73.873983","5","37","1196","3094276","3041930012","East New York"
"Q51448/18","087421","61-23 156TH STREET",,"2018-08-10T00:00:00.000","Ileana","Rivera","Residential","QUEENS","11367","Not an Ejectment","Possession","40.738193","-73.812303","8","24","122702","4146733","4067480103","Pomonok-Flushing Heights-Hillcrest"
"325657/22","112669","3056 ALBANY CRESCENT","42","2023-04-27T00:00:00.000","Justin","Grossman","Residential","BRONX","10463","Not an Ejectment","Possession","40.877447","-73.903744","8","14","277","2016128","2032660095","Van Cortlandt Village"
"56116/19","007528","184 LEWIS AVENUE","1F","2019-09-17T00:00:00.000","Frank","Siracusa","Residential","BROOKLYN","11221","Not an Ejectment","Possession","40.690485","-73.936557","3","36","279","3043728","3016140041","Stuyvesant Heights"
"R 50632\17","068910","139 BOYD STREET",,"2017-08-15T00:00:00.000","Steven","Powell","Residential","STATEN ISLAND","10304","Not an Ejectment","Possession","40.626230","-74.080313","1","49","21","5094763","5005270106","Stapleton-Rosebank"
"251577/17","013548","22 EAST 119TH STREET    UNIT 424",,"2019-02-05T00:00:00.000","George","Essock, Jr.","Residential","MANHATTAN","10035","Not an Ejectment","Possession","40.802263","-73.944274","11","9","184","1076434","1017450005","East Harlem North"
"65967/17","152333","204 MALTA STREET (1ST FLR.APT.)",,"2018-02-01T00:00:00.000","Ronald","Pazant","Residential","BROOKLYN","11207","Not an Ejectment","Possession",,,,,,,,
"Q74605/17","083666","23-85 27TH STREET",,"2018-02-23T00:00:00.000","Ileana","Rivera","Residential","QUEENS","11105","Not an Ejectment","Possession","40.774503","-73.917085","1","22","97","4018012","4008530007","Steinway"
"K50416/16","093058","455 HOWARD AVENUE","2-B","2019-01-16T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11233","Not an Ejectment","Possession","40.672202","-73.919656","16","41","363","3394974","3014637501","Ocean Hill"
"74645/19","13672","420 GEORGIA AVENUE APT. 1-A","1-A","2022-10-21T00:00:00.000","Robert","Renzulli","Residential","BROOKLYN","11207","Not an Ejectment","Possession","40.666277","-73.896392","5","42","1156","3084438","3037850075","East New York (Pennsylvania Ave)"
"89426/16","058575","1019 HANCOCK STREET","ENTIRE FIRST FLOOR","2017-01-13T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11221","Not an Ejectment","Possession","40.687505","-73.915827","4","37","397","3077817","3033870045","Bushwick South"
"69654/16","6551","93-23 218TH ST","A2","2017-08-14T00:00:00.000","Edward","Guida","Residential","QUEENS","11428","Not an Ejectment","Possession","40.720978","-73.739052","13","23","566","4229168","4106980006","Queens Village"
"B40655/16","098606","1933-35 DALY AVE","44","2018-05-18T00:00:00.000","Darlene","Barone","Residential","BRONX","10460","Not an Ejectment","Possession","40.841312","-73.884211","6","17","359","2092173","2029850057","East Tremont"
"50023/20*","078994","142 KISWICK STREET",,"2022-11-03T00:00:00.000","Kenneth","Giachetta","Residential","STATEN ISLAND","10306","Not an Ejectment","Possession","40.575693","-74.094749","2","50","11202","5114054","5037310009","New Dorp-Midland Beach"
"59136/18","084137","96-10 57TH AVENUE LOT C - SPACE #9 OF THE ROME BUILDING",,"2018-07-13T00:00:00.000","Henry","Daley","Commercial","QUEENS","11368","Not an Ejectment","Possession",,,,,,,,
"75984/18","9732","322 EAST 109TH STREET - APT 2C","2C","2019-03-20T00:00:00.000","Robert","Renzulli","Residential","MANHATTAN","10029","Not an Ejectment","Possession","40.792238","-73.940306","11","8","170","1052816","1016800042","East Harlem South"
"3453/18","010261","215 EAST 197TH STREE T","2B","2018-04-20T00:00:00.000","George","Essock, Jr.","Residential","BRONX","10458","Not an Ejectment","Possession","40.869122","-73.891061","7","15","40302","2017155","2033040141","Bedford Park-Fordham North"
"52233/18","7685","506 NINTH AVENUE - APT 4FN (4TH FL)","4FN","2018-04-06T00:00:00.000","Robert","Renzulli","Residential","MANHATTAN","10018","Not an Ejectment","Possession",,,,,,,,
"12801/17","14027","41-12 12TH STREET","6C","2018-03-28T00:00:00.000","Edward","Guida","Residential","QUEENS","11101","Not an Ejectment","Eviction","40.754659","-73.944152","1","26","25","4433420","4004650001","Queensbridge-Ravenswood-Long Island City"
"Q77698/16A","098475","189-28 QUENCER ROAD","FIRST FLOOR LEFT","2018-06-07T00:00:00.000","Darlene","Barone","Residential","QUEENS","11412","Not an Ejectment","Possession","40.695484","-73.764082","12","27","398","4458489","4103880018","St. Albans"
"B26076/19","098112","1633 MACOMBS ROAD","2-D","2019-09-10T00:00:00.000","Ileana","Rivera","Residential","BRONX","10453","Not an Ejectment","Possession","40.846999","-73.916510","5","14","21502","2008803","2028760027","University Heights-Morris Heights"
"N80935/17","087997","15 WEST 75TH STREET","4D","2018-07-31T00:00:00.000","Ileana","Rivera","Residential","MANHATTAN","10023","Not an Ejectment","Possession","40.778475","-73.975238","7","6","161","1028760","1011280021","Upper West Side"
"90875/18","23643","9815 AVENUE L",,"2019-06-27T00:00:00.000","Edward","Guida","Residential","BROOKLYN","11236","Not an Ejectment","Possession","40.639437","-73.894131","18","46","1012","3231884","3082440001","Canarsie"
"88707/16","150390","50 WESTMINSTER ROAD","3L","2017-06-08T00:00:00.000","Ronald","Pazant","Residential","BROOKLYN","11218","Not an Ejectment","Possession","40.648094","-73.968583","14","40","506","3116372","3050720025","Flatbush"
"251692/18","348910","107-129 EAST 126TH STREET","6P","2020-01-15T00:00:00.000","Thomas","Bia","Residential","MANHATTAN","10035","Not an Ejectment","Possession","40.805507","-73.937997","11","9","242","1054496","1017750006","East Harlem North"
"K306739/22","120913","260 HAWTHORNE ST","B5","2022-10-04T00:00:00.000","Darlene","Barone","Residential","BROOKLYN","11225","Not an Ejectment","Possession","40.657742","-73.951747","9","40","802","3115747","3050470025","Prospect Lefferts Gardens-Wingate"
"727/22","361339","785 ELTON AVENUE","2B","2022-10-17T00:00:00.000","Thomas","Bia","Residential","BRONX","10451","Not an Ejectment","Possession","40.821523","-73.913377","1","17","69","2102512","2023790025","Melrose South-Mott Haven North"
"6918/18","343286","1733 UNIVERSITY AVENUE","54","2018-10-02T00:00:00.000","Thomas","Bia","Residential","BRONX","10453","Not an Ejectment","Possession","40.849815","-73.916413","5","14","21501","2009020","2028780211","University Heights-Morris Heights"
"314130/22","112115","121 ST. MARKS PLACE","THE EAST STORE GROUN","2023-06-15T00:00:00.000","Justin","Grossman","Commercial","MANHATTAN","10009","Not an Ejectment","Possession","40.727257","-73.984471","3","2","32","1005882","1004360036","East Village"
"77095/17","8289","134-48 157TH STREET",,"2018-08-28T00:00:00.000","Bernard","Blake","Residential","QUEENS","11434","Not an Ejectment","Possession","40.671322","-73.779607","12","28","294","4266482","4122950029","Springfield Gardens North"
"67999/18","017653","1400 BENSON STREET APT  CO5 AKA 5C",,"2019-07-02T00:00:00.000","George","Essock, Jr.","Residential","BRONX","10461","Not an Ejectment","Possession","40.840650","-73.844060","10","13","200","2041865","2039840001","Van Nest-Morris Park-Westchester Square"
"B041978/18","401594","729 UNION AVENUE","N BASEMENT","2019-03-27T00:00:00.000","Richard","McCoy","Residential","BRONX","10455","Not an Ejectment","Possession","40.817256","-73.903715","1","17","79","2004775","2026650061","Melrose South-Mott Haven North"
"B060490/17","387594","675 EAST 233RD STREET","C6","2018-06-12T00:00:00.000","Richard","McCoy","Residential","BRONX","10466","Not an Ejectment","Possession","40.893773","-73.858530","12","11","420","2068041","2049940011","Williamsbridge-Olinville"
"308785/22","109080","282 MOFFAT STREET","A PORTION OF THE PAR","2022-08-31T00:00:00.000","Justin","Grossman","Commercial","BROOKLYN","11207","Not an Ejectment","Possession","40.690026","-73.903949","4","37","409","3000000","3034480030","Bushwick North"
"N300465/20","104145","439 WEST 125TH STREE T","GROUND FLOOR","2022-05-31T00:00:00.000","Ileana","Rivera","Commercial","MANHATTAN","10027","Not an Ejectment","Possession","40.812407","-73.955414","9","7","20901","1087339","1019660049","Morningside Heights"
"34674/18","346790","1721 GLEASON AVENUE","1C","2018-10-04T00:00:00.000","Thomas","Bia","Residential","BRONX","10472","Not an Ejectment","Possession","40.829455","-73.869539","9","18","68","2024569","2037600006","Soundview-Bruckner"
"86670/15","064853","454 EAST 22ND STREET","4B","2017-05-05T00:00:00.000","Henry","Daley","Residential","BROOKLYN","11226","Not an Ejectment","Possession","40.640869","-73.957269","14","40","51602","3119519","3051850033","Flatbush"
"28044/17","110775","1772 EAST 172ND ST","5F","2018-01-17T00:00:00.000","Maxine","Chevlowe","Residential","BRONX","10472","Not an Ejectment","Possession","40.832769","-73.867842","9","18","76","2098742","2037850025","West Farms-Bronx River"
"65607/17","112113","161-24 FOCH BLVD","1","2018-02-02T00:00:00.000","Maxine","Chevlowe","Residential","QUEENS","11434","Not an Ejectment","Possession","40.683856","-73.784246","12","28","288","4265599","4122400012","Baisley Park"
"R 51666/17","068966","2655 RICHMOND AVE. SPACE NO.1705,STATEN",,"2017-08-08T00:00:00.000","Steven","Powell","Commercial","STATEN ISLAND","10314","Not an Ejectment","Possession",,,,,,,,
"12787/18","480044","2765 KINGSBRIDGE TER R","UNIT B67","2018-06-18T00:00:00.000","Danny","Weinheim","Residential","BRONX","10463","Not an Ejectment","Possession",,,,,,,,
"320720/22","14807","506 EAST 35TH STREET #1","1","2022-11-07T00:00:00.000","Robert","Renzulli","Residential","BROOKLYN","11203","Not an Ejectment","Possession","40.642587","-73.943874","17","45","830","3111481","3049510020","East Flatbush-Farragut"
"305565/20","109843","446 E. 98TH STREET","5B","2023-01-20T00:00:00.000","Henry","Daley","Residential","BROOKLYN","11212","Not an Ejectment","Possession","40.657734","-73.914844","17","42","890","3102739","3046940061","Rugby-Remsen Village"
"70245/17","295290","30-40 82ND STREET","3B","2017-12-06T00:00:00.000","George","Essock","Residential","QUEENS","11370","Not an Ejectment","Possession","40.760092","-73.886204","3","22","327","4025134","4011300024","Jackson Heights"
"67711/18","084430","1 ADRIAN AVENUE","4F","2018-09-25T00:00:00.000","Justin","Grossman","Residential","MANHATTAN","10463","Not an Ejectment","Possession","40.875895","-73.912471","8","10","309","1064542","1022150225","Marble Hill-Inwood"
"69797/16","8813","90-15 QUEENS BOULEVARD",,"2017-04-18T00:00:00.000","Edward","Guida","Residential","QUEENS","11373","Not an Ejectment","Possession","40.733848","-73.871578","4","25","683","4045999","4018600100","Elmhurst"
"90742/18","095827","1973 70TH STREET","D10","2019-06-19T00:00:00.000","Henry","Daley","Residential","BROOKLYN","11204","Not an Ejectment","Possession","40.614137","-73.989544","11","47","258","3339715","3061620043","Bensonhurst West"
"317130/22","110418","61-10 WOODSIDE AVENUE NAIL SALON/ BEAUTY PARLOR",,"2023-05-01T00:00:00.000","Henry","Daley","Commercial","QUEENS","11377","Not an Ejectment","Possession",,,,,,,,
"077792/16","067314","520 WEST 168TH ST.","D4","2017-05-15T00:00:00.000","Henry","Daley","Residential","MANHATTAN","10032","Not an Ejectment","Possession","40.840195","-73.937701","12","10","251","1062975","1021230084","Washington Heights South"
"58090/17","202214","410 BEACH 54TH ST","4E","2017-06-30T00:00:00.000","Richard","Capuano","Residential","QUEENS","11692","Not an Ejectment","Possession","40.595509","-73.784574","14","31","97203","4436438","4160010002","Hammels-Arverne-Edgemere"
"900107/20","360585","597 EAST 187TH STREET","GROUND","2022-11-02T00:00:00.000","Thomas","Bia","Commercial","BRONX","10458","Not an Ejectment","Possession","40.855637","-73.887700","6","15","389","2011920","2030660029","Belmont"
"54175/18","350921","415 EAST 81ST STREET","1-D","2019-02-11T00:00:00.000","Thomas","Bia","Residential","MANHATTAN","10028","Not an Ejectment","Possession","40.773320","-73.950909","8","5","136","1050390","1015610011","Yorkville"
"81491/15","046257","30-50 WHITESTONE EXP RESSWAY","APPROXIMATELY EIGHTE","2017-02-08T00:00:00.000","Justin","Grossman","Commercial","QUEENS","11354","Not an Ejectment","Possession",,,,,,,,
"Q66327/17","084437","111-21 131ST STREET","BASEMENT","2018-03-02T00:00:00.000","Ileana","Rivera","Residential","QUEENS","11420","Not an Ejectment","Possession","40.683019","-73.811384","10","28","172","4250973","4116350058","South Ozone Park"
"307697/21","106280","81 MOTT STREET","4S","2023-01-23T00:00:00.000","Henry","Daley","Residential","MANHATTAN","10013","Not an Ejectment","Possession","40.716484","-73.997980","3","1","29","1002392","1002000019","Chinatown"
"61820/18","025877","168-07 NORTHERN BLVD",,"2018-09-28T00:00:00.000","Gary","Rose","Commercial","QUEENS","11358","Not an Ejectment","Possession","40.759016","-73.798325","7","19","1175","4120607","4053450001","Murray Hill"
"96257/17","079455","7402 BAY PARKWAY","A09","2018-02-20T00:00:00.000","Henry","Daley","Residential","BROOKLYN","11204","Not an Ejectment","Possession","40.608674","-73.986826","11","44","268","3159836","3062190029","Bensonhurst West"
"66576/17","7640","323 EAST 26TH STREET",,"2017-11-20T00:00:00.000","Bernard","Blake","Residential","BROOKLYN","11226","Not an Ejectment","Possession","40.642160","-73.952523","17","45","790","3119904","3051920079","Erasmus"
"87135/16","056827","150 MIDDLETON STREET","3-B","2017-02-08T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11206","Not an Ejectment","Possession","40.702899","-73.951224","1","33","509","3350159","3022417531","Williamsburg"
"50775/18","486081","4254 CARPENTER AVE","UNIT D8","2019-07-15T00:00:00.000","Danny","Weinheim","Residential","BRONX","10466","Not an Ejectment","Possession","40.895972","-73.859332","12","11","418","2068133","2049960041","Woodlawn-Wakefield"
"K58029/17","079318","49-57 CROWN STREET","5K","2017-07-07T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11225","Not an Ejectment","Possession","40.667286","-73.959905","9","35","213","3029715","3011890060","Crown Heights South"
"78691/18","351493","2100 SECOND AVENUE","EAST","2019-02-20T00:00:00.000","Thomas","Bia","Commercial","MANHATTAN","10029","Not an Ejectment","Possession","40.792074","-73.941372","11","8","170","1052801","1016800001","East Harlem South"
"K312046/22","122662","287 WEBSTER AVENUE","4C","2023-06-14T00:00:00.000","Darlene","Barone","Residential","BROOKLYN","11230","Not an Ejectment","Possession","40.633009","-73.970475","14","40","482","3127745","3054170053","Flatbush"
"N63085/18","089730","240 WEST 40TH STREET",,"2018-11-05T00:00:00.000","Ileana","Rivera","Commercial","MANHATTAN","10018","Not an Ejectment","Possession","40.755265","-73.989132","5","3","113","1014508","1007890062","Midtown-Midtown South"
"69661/18","349223","350 WEST 55TH STREET","6-B","2018-12-12T00:00:00.000","Thomas","Bia","Residential","MANHATTAN","10019","Not an Ejectment","Possession","40.766021","-73.985267","4","3","139","1025420","1010450054","Clinton"
"82003/17","070101","35 MEADOW STREET","215","2017-10-18T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11206","Not an Ejectment","Possession","40.710821","-73.935946","1","34","485","3070840","3030290105","Bushwick South"
"B018247/19","404351","2140 CRUGER AVENUE","J","2019-07-10T00:00:00.000","Richard","McCoy","Residential","BRONX","10462","Not an Ejectment","Possession","40.854802","-73.866670","11","13","22403","2049403","2043190001","Pelham Parkway"
"70900/19","099867","250 EAST 95TH STREET","B4","2020-01-06T00:00:00.000","Henry","Daley","Residential","BROOKLYN","11212","Not an Ejectment","Possession","40.660410","-73.922226","17","41","884","3100619","3046300040","Rugby-Remsen Village"
"44349/17","075874","3121 VILLA AVENUE","8E","2017-11-14T00:00:00.000","Henry","Daley","Residential","BRONX","10468","Not an Ejectment","Possession","40.875146","-73.887529","7","11","411","2116616","2033220057","Bedford Park-Fordham North"
"52226/18","006633","99 GROVE AVENUE","1","2018-11-01T00:00:00.000","Frank","Siracusa","Residential","STATEN ISLAND","10302","Not an Ejectment","Possession","40.638553","-74.136732","1","49","207","5025339","5010760014","Port Richmond"
"Q78306/17B","104664","82-15 35TH AVENUE","2C","2018-04-04T00:00:00.000","Darlene","Barone","Residential","QUEENS","11372","Not an Ejectment","Possession","40.751820","-73.884453","3","25","283","4035454","4014430033","Jackson Heights"
"8352/19","016707","2340 VALENTINE AVE","6A","2019-04-25T00:00:00.000","George","Essock, Jr.","Residential","BRONX","10458","Not an Ejectment","Possession","40.858012","-73.897662","5","15","38301","2013436","2031460023","Fordham South"
"7114/16","105638","3191 ROCHAMBEAU AVE","2H","2017-03-08T00:00:00.000","Maxine","Chevlowe","Residential","BRONX","10467","Not an Ejectment","Possession","40.876045","-73.880596","7","11","419","2018006","2033350118","Norwood"
"337098/22","004967","1290 GRAND CONCOURSE","1G","2023-08-22T00:00:00.000","David","Smith","Residential","BRONX","10456","Not an Ejectment","Possession","40.836550","-73.915700","4","16","17902","2007971","2028310001","East Concourse-Concourse Village"
"300969/22","110491","526 GLENMORE AVENUE","VACANT LOT","2023-01-25T00:00:00.000","Justin","Grossman","Commercial","BROOKLYN","11207","Not an Ejectment","Possession","40.673930","-73.890944","5","37","1152","3000000","3039930015","East New York"
"Q57159/17","078953","711C SEAGIRT AVENUE","3G","2017-09-07T00:00:00.000","Ileana","Rivera","Residential","QUEENS","11691","Not an Ejectment","Possession","40.595996","-73.742187","14","31","101002","4298968","4156100001","Far Rockaway-Bayswater"
"66906/16","068726","1310 INTERVALE AVE","2L","2017-03-02T00:00:00.000","Henry","Daley","Residential","BRONX","10459","Not an Ejectment","Possession","40.830539","-73.893231","3","17","123","2010481","2029760001","Crotona Park East"
"327752/22","031547","514 VERMONT STREET","BSMT","2023-08-14T00:00:00.000","Gary","Rose","Residential","BROOKLYN","11207","Not an Ejectment","Possession","40.666853","-73.892606","5","42","1158","3084513","3037900051","East New York (Pennsylvania Ave)"
"69791/19","357967","610 WEST 204TH STREET","D9","2020-01-07T00:00:00.000","Thomas","Bia","Residential","MANHATTAN","10034","Not an Ejectment","Possession","40.865503","-73.922149","12","10","291","1064824","1022250020","Marble Hill-Inwood"
"67597/17","6640","164-13 89TH AVENUE",,"2017-11-03T00:00:00.000","Robert","Renzulli","Residential","QUEENS","11432","Not an Ejectment","Possession","40.707500","-73.796955","12","24","44602","4210059","4098140081","Jamaica"
"54903/18-1","024581","15-21 QUINCY STREET","5B","2018-10-12T00:00:00.000","Gary","Rose","Residential","BROOKLYN","11238","Not an Ejectment","Possession","40.685821","-73.960626","2","35","231","3425217","3019690033","Clinton Hill"
"51810/17","070123","365 PULASKI STREET","3D","2017-10-11T00:00:00.000","Henry","Daley","Residential","BROOKLYN","11206","Not an Ejectment","Possession","40.693883","-73.936150","3","36","287","3043115","3015950066","Stuyvesant Heights"
"72762/18B","092849","180-02 146TH ROAD","BASEMENT","2019-04-29T00:00:00.000","Justin","Grossman","Residential","QUEENS","11434","Not an Ejectment","Possession","40.662427","-73.765921","13","31","320","4533896","4133510060","Springfield Gardens South-Brookville"
"21503/17B","469402","314 E. 201ST ST.","4A","2018-01-02T00:00:00.000","Danny","Weinheim","Residential","BRONX","10458","Not an Ejectment","Possession","40.870830","-73.883426","7","11","415","2016762","2032920097","Bedford Park-Fordham North"
"89282/16B","059211","28 HINSDALE STREET","1","2017-09-20T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11207","Not an Ejectment","Possession","40.674774","-73.901459","5","37","1144","3083439","3036810037","East New York (Pennsylvania Ave)"
"329385/22","023483","34 NORTH 7TH STREET UNIT #5S",,"2023-06-23T00:00:00.000","George","Essock, Jr.","Residential","BROOKLYN","11249","Not an Ejectment","Possession","40.720527","-73.962056","1","33","555","3397391","3023247502","North Side-South Side"
"304824/22","363878","4381 MATILDA AVENUE","ALL ROOMS","2023-05-18T00:00:00.000","Thomas","Bia","Residential","BRONX","10466","Not an Ejectment","Possession","40.898645","-73.856573","12","11","418","2069738","2050400039","Woodlawn-Wakefield"
"0066524/17","080128","2131 BRUCKNER BLVD.","2F","2018-05-29T00:00:00.000","Henry","Daley","Residential","BRONX","10472","Not an Ejectment","Possession","40.827343","-73.851979","9","18","78","2026327","2038060067","Westchester-Unionport"
"B38001/17","081080","1102 UNIVERSITY AVEN UE","1A","2017-11-27T00:00:00.000","Ileana","Rivera","Residential","BRONX","10452","Not an Ejectment","Possession","40.835936","-73.929397","4","16","193","2003487","2025260062","Highbridge"
"1873/22","173698","1470 VYSE AVE","2ND FL RM #1","2023-06-09T00:00:00.000","Alfred","Locascio","Residential","BRONX","10460","Not an Ejectment","Possession","40.832335","-73.888603","3","17","157","2099604","2029950107","Crotona Park East"
"57755/19","107165","347 WEST 55TH STREET","1K","2022-09-12T00:00:00.000","Justin","Grossman","Residential","MANHATTAN","10019","Not an Ejectment","Possession","40.765999","-73.985177","4","3","139","1025424","1010460009","Clinton"
"087390/17","003076","601 EAST 19TH STREET","1A","2018-02-23T00:00:00.000","Vadim","Barbarovich","Residential","BROOKLYN","11226","Not an Ejectment","Possession","40.636195","-73.959592","14","40","518","3120576","3052190040","Flatbush"
"N62788/15","085049","25 WEST 75TH STREET","2A","2017-05-22T00:00:00.000","Darlene","Barone","Residential","MANHATTAN","10023","Not an Ejectment","Possession","40.778560","-73.975440","7","6","161","1028757","1011280018","Upper West Side"
