"objectid","wotype","wostatus","wopriority","boroughcode","communityboard","buildingnumber","streetname","locationdetails","actualfinishdate","wocontract","parkname","parkzone","cancelreason","wocategory","sanitationassigneddate","sanitationremovaldate","sanitationupdateddate","wowoodremains","woequipment","zipcode","citycouncil","statesenate","stateassembly","congressional","sanitationzone","physicalid","crossstreet1","crossstreet2","plantingspaceglobalid","treepointglobalid","inspectionglobalid","globalid","sidewalkdamage","wowireconflict","crewglobalid","geometry","closeddate","canceldate","createddate","updateddate","woentity","projstartdate","woproject","recommendedspecies","latitude","longitude","census_tract","bin","bbl","nta","location"
"20515234","Pruning","Open","8","Bronx","203.0","1326","BOSTON ROAD",,,,,,,"Risk Mitigation",,,,"No Wood Debris",,"10456.0","17.0","32.0","79.0","15.0","2031A","41784","JENNINGS ST","UNION AV",,,"74576FB4-71DF-4F85-BADA-191FEA06BAFD","B05DBA01-5F03-4491-8326-576063AF306B",,"No Util Conflict Present",,"POINT (-73.8991954937837647 40.8317414415394495)",,,"2023-05-05 13:08:13.0000000",,"In-House",,,,,,,,,,"POINT (-73.89919549378376 40.83174144153945)"
"10419140","Block Pruning","Open",,"Bronx","206.0","/","Bathgate Playground",,,"BP-X23","Bathgate Playground",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"2061B",,,,,,"3583198E-E3B1-4D34-8471-C9FE36A3B366","C0852B2B-21BD-41A2-873D-589BB9D73C7E",,"No Util Conflict Present",,"POINT (-73.8943609685984484 40.8523277473155986)",,,"2019-10-28 14:54:00.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.89436096859845 40.8523277473156)"
"18076403","Pruning","Open","8","Manhattan","101.0",,,,,,"The Battery",,,"Risk Mitigation",,,,"All Wood Removed",,"10004.0","1.0","26.0","65.0","10.0","1011A",,"PETER MINUIT PL","STATE ST",,,"B9EAF99F-3F8E-41A6-8544-6B188C0A4E5E","20278694-99EE-49CE-9B1C-5890E54375EB",,"All Conflicts Resolved",,"POINT (-74.0146125440498963 40.7025154155269178)",,,"2022-06-17 15:05:18.0000000",,"In-House",,,,,,,,,,"POINT (-74.0146125440499 40.70251541552692)"
"16091944","Block Pruning","Open",,"Brooklyn","314.0","2602","AVE I","1S",,"BP-B22",,,,"Block Pruning",,,,"No Wood Debris",,"11210.0","45.0","17.0","42.0","9.0","3143D","45436","AV I","E 26 ST",,,"4C8E3EBA-4CF3-44F5-B462-FA6FDDF2065C","4EF19966-4F6E-44F1-BE13-5868189A6E15",,"No Util Conflict Present",,"POINT (-73.9510085408593767 40.6285898901018641)",,,"2021-12-29 17:46:01.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.95100854085938 40.628589890101864)"
"11024813","Block Pruning","Open",,"Queens","405.0","MAFERA","MAFERA PARK",,,"BP-Q20","Mafera Park",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"4052D",,,,,,"11C87956-0E28-4EAD-9408-217D9723374B","9D6134B3-7B7A-4E72-AC3D-5922125630B3",,"No Util Conflict Present",,"POINT (-73.8912294485309076 40.7053299382249207)",,,"2020-01-23 17:48:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.89122944853091 40.70532993822492)"
"11152513","Block Pruning","Open",,"Queens","412.0","*","*","SOUTH CENTRAL",,"BP-Q20","Hilton Holiday Gardens",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"4126C",,,,,,"265C9FF6-C7E9-4EBC-8612-5ACE971DD77C","72EA97DF-DDB1-4BFF-9358-58EBC44CEE3A",,"No Util Conflict Present",,"POINT (-73.7955710983762572 40.6684014552131927)",,,"2020-02-18 15:34:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.79557109837626 40.66840145521319)"
"20991785","Tree Removal","Open","6","Brooklyn","315.0","1714","AVENUE V","1f",,,,,,"Risk Mitigation",,,,"No Wood Debris",,"11229.0","48.0","19.0","45.0","11.0","3153E",,"AV V","E 18 ST",,,"150423B0-7EE0-47FE-979D-66F5FB3C2706","A24CB1DB-7DC8-4762-A784-59E803EBCC09",,"No Util Conflict Present",,"POINT (-73.9535675049807395 40.5969158499351437)",,,"2023-06-28 18:06:34.0000000",,"In-House",,,,,,,,,,"POINT (-73.95356750498074 40.596915849935144)"
"20790521","Pruning","Open","5","Queens","413.0",,,,,,"Brookville Park",,,"Risk Mitigation",,,,"Unprocessed Wood",,"11413.0","31.0","10.0","31.0","5.0","4138D",,"143 AV","233 ST",,,"781B476D-1C42-4283-979D-0A505B45A655","E726ECF5-5C3C-4F8E-994E-598E26402D49",,"No Util Conflict Present",,"POINT (-73.7427184227469610 40.6640088272728590)",,,"2023-06-13 10:23:30.0000000",,"In-House",,,,,,,,,,"POINT (-73.74271842274696 40.66400882727286)"
"6688110","Misc Wood","Closed",,"Brooklyn","355.0","0","PARK",,"2017-08-04 04:00:00.0000000",,"Prospect Park","B073-ZN12",,"Post-Failure Tree/Debris Removal",,,,"No Wood Debris",,,,,,,,,,,,,,"5636266D-27E7-4371-83F9-5A2CD51B6355",,"No Util Conflict Present",,"POINT (-73.9661022508925328 40.6664480115270948)","2017-08-08 18:57:00.0000000",,"2017-08-08 18:57:00.0000000","2017-08-08 18:57:00.0000000","In-House",,,,,,,,,,"POINT (-73.96610225089253 40.666448011527095)"
"15833972","Block Pruning","Open",,"Bronx","211.0","2302","MATTHEWS AVENUE","1F",,"BP-X22",,,,"Block Pruning",,,,"No Wood Debris",,"10467.0","13.0","34.0","80.0","14.0","2112C",,"ASTOR AV","MATTHEWS AV",,,"9F3050A6-CA2A-4D42-9E19-525F7781DB1B","E41D37E1-A4DA-4EDA-B340-5A22B2049079",,"No Util Conflict Present",,"POINT (-73.8626918167404796 40.8598042396637808)",,,"2021-11-16 14:38:57.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.86269181674048 40.85980423966378)"
"9557660","Block Pruning","Pending",,"Queens","401.0",,,"ACROSS FROM FERRY",,"BP-Q19","Hallets Cove Playground",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"4013C",,,,,,"E3926A51-5406-41BF-A3E9-A517FEA86A70","50B70557-0FC3-4B8D-B93B-5B07AAA8939D",,"No Util Conflict Present",,"POINT (-73.9354086878953183 40.7720202464587160)",,,"2019-02-06 08:49:22.0000000","2019-05-15 15:09:02.0000000","Expense",,,,,,,,,,"POINT (-73.93540868789532 40.772020246458716)"
"10819495","Block Pruning","Open",,"Brooklyn","305.0","*","*","SE SECTION",,"BP-B20","Green Gems",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"3052E",,,,,,"FD09B887-DAA7-410D-802B-77E20E72562F","A4AD3B62-04F2-4CD3-8B5C-5B7E30189DB0",,"No Util Conflict Present",,"POINT (-73.8751721957186902 40.6763856464279741)",,,"2019-12-16 19:12:00.0000000",,"Expense",,,"Pyrus calleryana - Callery pear",,,,,,,"POINT (-73.87517219571869 40.676385646427974)"
"10415590","Block Pruning","Open",,"Manhattan","112.0","*","*","NW CORNER",,"BP-M19","RING-RIVERSIDE INWOOD NEIGHBORHOOD GARDEN",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"1124B",,,,,,"B4095292-E2A2-4749-BB37-F77DE2A9F0D3","5CC2495E-2C5C-457C-B40C-5C70B9A9F108",,"No Util Conflict Present",,"POINT (-73.9280590148113959 40.8659344453528064)",,,"2019-10-28 12:26:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.9280590148114 40.865934445352806)"
"11082015","Block Pruning","Open",,"Bronx","205.0","*","*","NE SECTION",,"BP-X23","Leave it Better Kids' Garden",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"2051B",,,,,,"03F61729-C06F-4799-8B49-9BCD4CEAE9F0","4FF38D44-1F69-411B-8152-5C6B7D6F6C2C",,"No Util Conflict Present",,"POINT (-73.9103750979719933 40.8523688826125095)",,,"2020-02-04 18:44:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.910375097972 40.85236888261251)"
"10753102","Block Pruning","Open",,"Brooklyn","305.0","*","*","SOUTH CENTRAL",,"BP-B20","Herbal Garden",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"3051D",,,,,,"D14704D1-D366-4940-B749-8007F03B5AA1","86E2044D-F768-43D0-BC04-5CC41F0C6066",,"No Util Conflict Present",,"POINT (-73.8885158872769949 40.6740390369493099)",,,"2019-12-02 15:34:00.0000000",,"Expense",,,"Ginkgo biloba - maidenhair tree",,,,,,,"POINT (-73.888515887277 40.67403903694931)"
"6909628","Stump Removal","Open",,"Manhattan","107.0",,,,,"SR-M18","Riverside Park","M071-ZN23",,"Stump Removal",,,,"No Wood Debris",,,,,,,"1075B",,,,,,"28902417-6A33-4BC5-AECB-D398A35E5FF8","2CFB0EE2-AAB1-4119-A814-5CB221736ACC",,"No Util Conflict Present",,"POINT (-73.9747553296157037 40.8003806888850065)",,,"2017-10-04 08:47:49.0000000","2017-10-04 08:47:49.0000000","Expense",,,,,,,,,,"POINT (-73.9747553296157 40.80038068888501)"
"15631025","Tree Removal","Open","7","Brooklyn","315.0",,,"1X 2416 Kings Hwy",,"EAB-REM-B21",,,,"Risk Mitigation",,,,"No Wood Debris",,"11229.0","48.0","17.0","41.0","9.0","3152D",,"E 24 ST","KINGS HWY",,,"111BC495-2E1F-401C-BABB-7EABA72341E9","80BAD111-C201-4C8E-A780-5D8E4608D3F1",,"No Util Conflict Present",,"POINT (-73.9496336282662412 40.6124923642647460)",,,"2021-10-28 18:00:35.0000000",,"Capital",,"P&D - EAB",,,,,,,,"POINT (-73.94963362826624 40.612492364264746)"
"11064187","Block Pruning","Open",,"Bronx","201.0","*","*","NE SECTION",,"BP-X23","Padre Plaza",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"2012A",,,,,,"7BD8A073-98E5-42A5-94C6-3DA491384819","69E0C9DC-E95C-4B58-B652-5EF1D26C4968",,"No Util Conflict Present",,"POINT (-73.9173473491608064 40.8080157586824228)",,,"2020-01-30 15:12:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.9173473491608 40.80801575868242)"
"16280938","Block Pruning","Open",,"Brooklyn","315.0",,,,,"BP-B22","Kelly Park",,,"Block Pruning",,,,"No Wood Debris",,"11229.0","48.0","17.0","45.0","11.0","3151E",,"AV S","E 14 ST",,,"087B3E07-6A4E-4488-B75A-27BE381EF593","0D814181-C833-4CC4-9C13-5FA18F3CDEA2",,"No Util Conflict Present",,"POINT (-73.9582035833503824 40.6040920037529531)",,,"2022-01-19 16:32:41.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.95820358335038 40.60409200375295)"
"19996807","Pruning","Open","7","Staten Island","502.0","71","JACQUES AVENUE","1F",,,,,,"Risk Mitigation",,,,"No Wood Debris",,"10306.0","50.0","24.0","64.0","11.0","5022C","63127","EDISON ST","JACQUES AV",,,"214EF52A-765C-4127-8901-CCFF4E8BC9F5","1CDDBA2C-7DA9-40C6-9A1E-5F2D3D7F527E",,"No Util Conflict Present",,"POINT (-74.1135922293322977 40.5734376422939320)",,,"2023-03-03 19:18:02.0000000",,"In-House",,,,,,,,,,"POINT (-74.1135922293323 40.57343764229393)"
"20938987","Block Pruning","Open",,"Bronx","201.0","600","ST ANNS AVENUE","5F",,"BP-X23",,,,"Block Pruning",,,,"No Wood Debris",,"10455.0","17.0","32.0","84.0","15.0","2012B","59526","ST ANNS AV","WESTCHESTER AV",,,"DFC10D9E-2593-4847-A63C-8D3104E81453","0077D347-69CA-45C6-B746-60044DA25466",,"No Util Conflict Present",,"POINT (-73.9121354167906475 40.8154885392478306)",,,"2023-06-22 16:51:31.0000000",,"Expense",,,,,,,,,,"POINT (-73.91213541679065 40.81548853924783)"
"17431012","Block Pruning","Open",,"Manhattan","103.0",,,,,"BP-M23","Dry Dock Playground",,,"Block Pruning",,,,"No Wood Debris",,"10009.0","2.0","27.0","74.0","12.0","1034A",,"E 11 ST","PEDESTRIAN PATH",,,"9075CECF-AFD8-4FF7-AC89-BA673FF3DD8B","AE5FC879-51CF-4391-BD33-621D3BC83706",,"No Util Conflict Present",,"POINT (-73.9753289468795288 40.7256323295346192)",,,"2022-04-12 19:50:45.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.97532894687953 40.72563232953462)"
"9086247","Pruning","Open","9","Queens","412.0",,,"adj k swings",,,,,,"Risk Mitigation",,,,"No Wood Debris",,,,,,,,,,,,,"2925FE9C-6CCD-4955-93E0-1732AC2B64D8","3FF9CBDE-01DA-4317-91C2-61F449F4CD7A",,"No Util Conflict Present",,"POINT (-73.7755471824210503 40.6799758429151979)",,,"2018-10-30 12:18:45.0000000","2018-10-30 16:19:48.0000000","In-House",,,,,,,,,,"POINT (-73.77554718242105 40.6799758429152)"
"20688946","Pruning","Open","8","Bronx","204.0","/","/",,,,"Merriam Playground",,,"Risk Mitigation",,,,"No Wood Debris",,,,,,,"2042A",,,,,,"43A5BAFC-41C2-4BD9-BDEC-8FE09FA934CB","E789861D-1328-4F78-8C35-61B8C393D82A",,"No Util Conflict Present",,"POINT (-73.9265677866676327 40.8389617874438215)",,,"2023-05-29 18:49:00.0000000","2023-05-29 18:50:44.0000000","In-House",,,,,,,,,,"POINT (-73.92656778666763 40.83896178744382)"
"16179681","Stump Removal","Open",,"Bronx","204.0","1445","NELSON AVENUE",,,"TRS-X22",,,,"Stump Removal",,,,"No Wood Debris",,"10452.0","16.0","29.0","77.0","15.0","2043A","87801","NELSON AV","W 172 ST",,,"0BE9E25F-576F-43D4-984F-13A054DB1A87","CD8AEA90-6D10-476F-BA0E-62D816E497C4",,"No Util Conflict Present",,"POINT (-73.9211672982677612 40.8436599047181232)",,,"2022-01-11 14:29:12.0000000",,"Expense",,,,,,,,,,"POINT (-73.92116729826776 40.84365990471812)"
"17498590","Block Pruning","Open",,"Brooklyn","301.0",,,,,"BP-B22","McCarren Park",,,"Block Pruning",,,,"No Wood Debris",,"11222.0","33.0","26.0","50.0","12.0","3013B",,"ENGERT AV","LEONARD ST",,,"B16A28A0-002A-4967-9163-FB4C2B3B97D3","5EB5E322-9F83-4E86-85F5-62AB863F7269","0.0","No Util Conflict Present",,"POINT (-73.9493861445562146 40.7209724052010955)",,,"2022-04-19 14:17:22.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.94938614455621 40.720972405201096)"
"16336158","Block Pruning","Open",,"Bronx","209.0","1144","ST LAWRENCE AVENUE","1F",,"BP-X22",,,,"Block Pruning",,,,"No Wood Debris",,"10472.0","18.0","32.0","87.0","15.0","2094E","94015","ALLEY","COMMONWEALTH AV",,,"67CC957A-2A77-4DB0-B392-6E28B59DB8FB","4A0D2EB1-7D31-4235-8626-6298B4653638",,"No Util Conflict Present",,"POINT (-73.8665879954320701 40.8290130451933564)",,,"2022-01-24 18:58:13.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.86658799543207 40.829013045193356)"
"17461514","Block Pruning","Open",,"Brooklyn","301.0",,,,,"BP-B22","McCarren Park","B058-ZN03",,"Block Pruning",,,,"No Wood Debris",,"11211.0","33.0","26.0","50.0","12.0","3011A",,"DRIGGS AV","UNION AV",,,"E214D311-E6D3-4C7D-8048-3E26BE47EF89","9C5F3886-BFAE-448B-9B1A-628D76A4E844","1.0","No Util Conflict Present",,"POINT (-73.9529488609878882 40.7205137796950964)",,,"2022-04-14 18:33:31.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.95294886098789 40.720513779695096)"
"16022680","Block Pruning","Open",,"Bronx","211.0","2300","COLDEN AVENUE","2X",,"BP-X22",,,,"Block Pruning",,,,"No Wood Debris",,"10469.0","13.0","34.0","80.0","14.0","2112C",,"ASTOR AV","COLDEN AV",,,"6E83C9E2-61FF-4A77-9726-25B967A4FC7A","C84F54C0-4421-451B-AA98-6272657D29B3",,"Electric Utility Open",,"POINT (-73.8598620593629818 40.8599898198176916)",,,"2021-12-21 18:36:22.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.85986205936298 40.85998981981769)"
"10800431","Block Pruning","Open",,"Brooklyn","305.0","*","*","NORTHSIDE",,"BP-B20","Highland Park","Q020-ZN04",,"Block Pruning",,,,"No Wood Debris",,,,,,,,,,,,,"3FE26477-356A-44B7-AC8E-1474A81AFEE5","2E8763C4-3E8C-43FA-A899-625C4199341A",,"No Util Conflict Present",,"POINT (-73.8877734658788796 40.6831247214562595)",,,"2019-12-11 18:12:00.0000000",,"Expense",,,"Prunus - Cherry",,,,,,,"POINT (-73.88777346587888 40.68312472145626)"
"4714898","Misc Work","Cancel",,"Brooklyn","303.0",,,,,,"Marcy Playground",,"REMOVE TREE","Misc Work",,,,"No Wood Debris",,,,,,,"3031A",,,,,,"0EFE8EBC-A517-4235-8FAA-A4D678D5C28B","7E9B3D42-F08E-4475-A0A3-625ABD4874C6",,"No Util Conflict Present",,"POINT (-73.9496621531779113 40.6956211734712880)",,"2017-05-09 14:22:12.0000000","2016-09-07 12:46:43.0000000","2017-05-09 14:22:12.0000000","In-House",,,,,,,,,,"POINT (-73.94966215317791 40.69562117347129)"
"11138259","Stump Removal","Open",,"Bronx","201.0","*","*","SE CORNER",,"TRS-X20","El Flamboyan Garden",,,"Stump Removal",,,,"No Wood Debris",,,,,,,"2012B",,,,,,"6B94F7B7-74FA-45A7-BBCB-D063DEBEB1C7","F2EAEF1D-FEBD-4E05-B444-6257B1A39F89",,"No Util Conflict Present",,"POINT (-73.9053493746708483 40.8134109201022852)",,,"2020-02-14 13:58:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.90534937467085 40.813410920102285)"
"15440975","Block Pruning","Open",,"Queens","412.0",,,,,"BP-Q22","Latimer Playground","Q402",,"Block Pruning",,,,"No Wood Debris",,"11433.0","27.0","14.0","32.0","5.0","4123D",,"109 AV","167 ST",,,"CA37B2D4-D5C1-457A-8445-A90C066AA98A","E5FDEB6B-3962-4698-BD5F-624A0FB68DD5",,"No Util Conflict Present",,"POINT (-73.7861195015922959 40.6962844765660421)",,,"2021-10-08 17:23:07.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.7861195015923 40.69628447656604)"
"16025290","Block Pruning","Open",,"Manhattan","105.0","1806","BROADWAY","3F",,"BP-M22",,,,"Block Pruning",,,,"No Wood Debris",,"10019.0","4.0","28.0","75.0","12.0","1052A",,"BROADWAY","COLUMBUS CIR",,,"230A052D-C00E-4F8B-9D4D-64F02A693F14","1B0A8107-2855-4430-BA72-62446CF3F1D0",,"No Util Conflict Present",,"POINT (-73.9815375726651183 40.7674665252274906)",,,"2021-12-21 19:46:13.0000000",,"Expense",,"Block Pruning",,"40.767346","-73.981679","137","1024922","1010300058","Midtown-Times Square","POINT (-73.98153757266512 40.76746652522749)"
"15957905","Block Pruning","Open",,"Bronx","211.0","2446","YATES AVENUE","1F",,"BP-X22",,,,"Block Pruning",,,,"No Wood Debris",,"10469.0","13.0","34.0","80.0","14.0","2112D",,"MACE AV","YATES AV",,,"32C93B5C-1FE2-4A45-A568-030C2503CE64","2794BD2E-586A-42A6-956C-64CB83878B87",,"Electric Utility Open",,"POINT (-73.8547988955665318 40.8626379852722650)",,,"2021-12-08 15:59:42.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.85479889556653 40.862637985272265)"
"20722338","Pruning","Open","9","Bronx","203.0",,,,,,"Crotona Park","X010-ZN02",,"Risk Mitigation",,,,"No Wood Debris",,"10460.0","17.0","33.0","79.0","15.0","2031A",,"CLAREMONT PKWY","CROTONA PARK E",,,"2758F5FB-03BA-4622-836B-2FC9271CDD2A","D740A8F0-EFD0-43AC-B829-647126BEF410",,"No Util Conflict Present",,"POINT (-73.8952643711165820 40.8357887991116684)",,,"2023-06-02 17:18:14.0000000",,"In-House",,,,,,,,,,"POINT (-73.89526437111658 40.83578879911167)"
"11065465","Block Pruning","Open",,"Bronx","204.0","*","*","EAST CENTRAL",,"BP-X23","Dred Scott Bird Sanctuary",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"2043B",,,,,,"F34838CE-5EE2-43A2-909E-D36856FA491B","171202DC-2B42-43AC-BEC7-646B225F60D2",,"No Util Conflict Present",,"POINT (-73.9131240036807924 40.8361394336518160)",,,"2020-02-06 14:13:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.91312400368079 40.836139433651816)"
"11360232","Block Pruning","Open",,"Brooklyn","316.0","417","JUNIUS STREET","1P",,"BP-B21","Livonia Park",,,"Block Pruning","2020-03-19 16:31:08.0000000",,,"< 4 in diam, <4 ft length",,,,,,,"3162B",,,,,,"A1C682D4-43DC-4BF5-A1C7-CABC29268D05","6CC86E9B-1A58-4A1F-84A2-66119942D8CC",,"No Util Conflict Present",,"POINT (-73.9017427556439799 40.6641652862452645)",,,"2020-03-19 16:31:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.90174275564398 40.664165286245264)"
"18602086","Pruning","Open","7","Queens","481.0",,,,,,"Flushing Meadows Corona Park",,,"Risk Mitigation",,,,"No Wood Debris",,"11355.0","21.0","13.0","27.0","14.0",,,"FLUSHING MDW PARK PATH","UNNAMED ST",,,"D7FC73B3-6215-47BF-9749-B7AF78C90C3C","8145E27E-6AC2-4294-ABEC-65D3E13FF223",,"No Util Conflict Present",,"POINT (-73.8436811574920995 40.7492838632401302)",,,"2022-08-02 17:45:54.0000000",,"In-House",,,,,,,,,,"POINT (-73.8436811574921 40.74928386324013)"
"6884696","Stump Removal","Open",,"Manhattan","112.0",,,,,"SR-M18","Fort Washington Park","M028-ZN03",,"Stump Removal",,,,"No Wood Debris",,,,,,,"1121B",,,,,,"EEB1A279-8AF2-4339-BAD0-E2DE397D1D6C","00EDEF50-25EE-476B-BECB-65C6EF09A68F",,"No Util Conflict Present",,"POINT (-73.9451826210717940 40.8407780410534684)",,,"2017-09-26 14:00:49.0000000","2017-09-26 14:00:49.0000000","Expense",,,,,,,,,,"POINT (-73.9451826210718 40.84077804105347)"
"16022676","Block Pruning","Open",,"Bronx","211.0","925","astor AVENUE","6F",,"BP-X22",,,,"Block Pruning",,,,"No Wood Debris",,"10469.0","13.0","34.0","80.0","14.0","2112C",,"ASTOR AV","BRONXWOOD AV",,,"30165182-82A0-4A32-82EF-A143CBF7FE3A","1C0CC8D1-AAFA-4F5A-8481-6689388C82C3",,"Electric Utility Open",,"POINT (-73.8612622420899356 40.8597151650246744)",,,"2021-12-21 18:55:35.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.86126224208994 40.859715165024674)"
"16918876","Block Pruning","Open",,"Brooklyn","306.0","109","KANE STREET","1F",,"BP-B22",,,,"Block Pruning",,,,"No Wood Debris",,"11231.0","39.0","26.0","52.0","7.0","3062C",,"KANE ST","TIFFANY PL",,,"6CDC5F0C-C1AA-41FC-9BC2-F593AC4BA204","303D75C7-33BC-44C8-AE10-663D3BBCCE3E",,"No Util Conflict Present",,"POINT (-74.0004550210893370 40.6874942597168285)",,,"2022-03-03 16:23:40.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-74.00045502108934 40.68749425971683)"
"16366401","Block Pruning","Open",,"Brooklyn","315.0","2111","AVENUE U","1F",,"BP-B22",,,,"Block Pruning",,,,"No Wood Debris",,"11229.0","48.0","17.0","41.0","9.0","3152C",,"AV U","E 21 ST",,,"4F8C1F76-C9BD-451E-AA97-106755D32B48","730BA523-7D3B-496B-B135-6765BB6C5984",,"No Util Conflict Present",,"POINT (-73.9499857185565759 40.5995987539107475)",,,"2022-01-26 15:52:26.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.94998571855658 40.59959875391075)"
"11024795","Block Pruning","Open",,"Bronx","201.0","*","*","SOUTH SIDE",,"BP-X23","Grove Hill Community Garden",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"2012B",,,,,,"1AC92DD3-AF13-4F77-9075-8B2FD8E4433E","2CD57FF7-FBBF-497D-A654-675260EC6907",,"No Util Conflict Present",,"POINT (-73.9090511622313215 40.8199738555183913)",,,"2020-01-23 17:13:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.90905116223132 40.81997385551839)"
"10809491","Block Pruning","Open",,"Brooklyn","305.0","*","*","EASTSIDE",,"BP-B20","Artsy Bloom Community Garden",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"3054D",,,,,,"DA26D0DA-159E-4277-A107-5F765F277EEF","D258547C-E422-4F19-A9FA-6749A518B9C6",,"No Util Conflict Present",,"POINT (-73.8919327489269193 40.6697175128354758)",,,"2019-12-13 14:31:00.0000000",,"Expense",,,"Pinus nigra - Austrian pine",,,,,,,"POINT (-73.89193274892692 40.669717512835476)"
"1333092","Tree Plant-Park Tree","Closed",,"Bronx","208.0",,,"23Z",,"XG-214M","Ewen Park",,,"Tree Planting",,,,"No Wood Debris",,,,,,,"2082B",,,,,,"390D9141-D233-4FEA-A6FD-DE74CC870529","7B378909-3B21-4E63-A789-66F2D5747A01",,"No Util Conflict Present",,"POINT (-73.9093711480025206 40.8825833152273930)",,,"2015-09-15 12:03:58.0000000","2019-09-11 18:13:04.0000000","Capital","2015-10-15 00:00:00.0000000",,,,,,,,,"POINT (-73.90937114800252 40.88258331522739)"
"10650544","Pruning","Open","8","Queens","408.0",,,,,,"Farm Playground",,,"Risk Mitigation",,,,"No Wood Debris",,,,,,,"4081D",,,,,,"D038FCC9-CF66-4F95-A63E-9B0D29A6A4EE","5D6E0628-14E9-4090-B13D-68069F30F781",,"No Util Conflict Present",,"POINT (-73.7770685645514561 40.7362990280985784)",,,"2019-09-19 10:42:39.0000000","2019-09-19 14:42:40.0000000","In-House",,,,,,,,,,"POINT (-73.77706856455146 40.73629902809858)"
"10516484","Tree Plant-Street Tree","Open",,"Staten Island","503.0","11","Wiltshire Lane",,,,,,,"Tree Planting",,,,"No Wood Debris",,,,,,,"5036C",,,,,,"C312DF16-EC00-4BDF-A85D-67719E9FDA1E","71E459EF-2791-438E-B74F-67BFE790CF45",,"No Util Conflict Present",,"POINT (-74.2217760098177166 40.5446909463060052)",,,"2019-11-11 15:17:00.0000000",,"Permitted",,,,,,,,,,"POINT (-74.22177600981772 40.544690946306005)"
"10606553","Block Pruning","Open",,"Manhattan","103.0",,,"W/O SHED, SOUTHSIDE",,"BP-M20","Liz Christy Garden",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"1033B",,,,,,"F183B29D-7F62-444E-B951-D0A12764970D","D609CB58-BE09-4397-9D7F-68A906F8874D",,"No Util Conflict Present",,"POINT (-73.9918250723537767 40.7240887235868456)",,,"2019-09-12 11:04:00.0000000","2020-02-07 20:00:00.0000000","Expense",,,,,,,,,,"POINT (-73.99182507235378 40.724088723586846)"
"11050854","Tree Removal","Open","3","Bronx","202.0","/","/",,,,"Concrete Plant Park",,,"Risk Mitigation",,,,"No Wood Debris",,,,,,,"2021B",,,,,,"50BB6E63-B418-47F1-A7E2-E2FCB4CEA398","487F4238-FCE3-4C75-BC38-683D2131B45F",,"No Util Conflict Present",,"POINT (-73.8849548286980848 40.8232624973287557)",,,"2020-01-28 19:38:00.0000000","2020-01-28 19:39:46.0000000","Permitted",,,,,,,,,,"POINT (-73.88495482869808 40.823262497328756)"
"10128160","Pruning","Open","7","Queens","408.0",,,"prune clear flags",,,"Cunningham Park","Q021-ZN01",,"Risk Mitigation",,,,"No Wood Debris",,,,,,,"4081C",,,,,,"370C6A8F-A0F4-4167-A32E-22840F223131","804CD5D9-FD93-46E9-BEB1-691FF4E08297",,"No Util Conflict Present",,"POINT (-73.7742631689310002 40.7275481762241682)",,,"2019-06-12 12:58:53.0000000","2019-06-12 16:58:55.0000000","In-House",,,,,,,,,,"POINT (-73.774263168931 40.72754817622417)"
