"borough","program","grade_or_service_category_","core_course_high_schools_only_","average_class_size"
"
QUEENS, NY 
(40.749436300045, -73.797299799846)","GIFTED & TALENTED    ","7",,"30.7"
"
QUEENS, NY 
(40.749436300045, -73.797299799846)","COLLABORATIVE TEAM TEACHING    ","7",,"25.9"
"
MANHATTAN, NY 
(40.749883999647, -73.987976999939)","COLLABORATIVE TEAM TEACHING    ","7",,"26"
"
QUEENS, NY 
(40.749436300045, -73.797299799846)","SPECIAL CLASS - High School","Mainstream","SOCIAL STUDIES","29.4"
"
QUEENS, NY 
(40.749436300045, -73.797299799846)","GIFTED & TALENTED    ","5",,"27.3"
"
STATEN ISLAND, NY 
(40.606674000105, -74.162401000006)","GENERAL EDUCATION ","6",,"30.4"
"
BRONX, NY 
(40.825576999979, -73.918448999722)","GENERAL EDUCATION","9","SOCIAL STUDIES","27.9"
"
STATEN ISLAND, NY 
(40.606674000105, -74.162401000006)","GENERAL EDUCATION","11","ENGLISH","29.8"
"
MANHATTAN, NY 
(40.749883999647, -73.987976999939)","COLLABORATIVE TEAM TEACHING    ","8",,"26.3"
"
BROOKLYN, NY 
(42.433188999772, -78.748646000413)","GENERAL EDUCATION","12","MATH   ","27.3"
"
MANHATTAN, NY 
(40.749883999647, -73.987976999939)","COLLABORATIVE TEAM TEACHING    ","6",,"23.6"
