"school_year","busbreakdown_id","run_type","bus_no","route_number","reason","schools_serviced","occurred_on","created_on","boro","bus_company_name","how_long_delayed","number_of_students_on_the_bus","has_contractor_notified_schools","has_contractor_notified_parents","have_you_alerted_opt","informed_on","incident_number","last_updated_on","breakdown_or_running_late","school_age_or_prek"
"2017-2018","1423458","General Ed AM Run","027","R1039","Heavy Traffic","31051","2018-03-23T06:11:00.000","2018-03-23T06:12:00.000","Staten Island","PIONEER TRANSPORTATION CORP","16-30 Min","0","Yes","No","No","2018-03-23T06:12:00.000",,"1900-01-01T00:00:00.000","Running Late","School-Age"
"2017-2018","1423459","Special Ed AM Run","1406","M077","Heavy Traffic","01616","2018-03-23T06:10:00.000","2018-03-23T06:12:00.000","Manhattan","LEESEL TRANSPORTATION CORP (B2192)","16-30 Min","0","Yes","Yes","No","2018-03-23T06:12:00.000",,"1900-01-01T00:00:00.000","Running Late","School-Age"
"2015-2016","1225293","General Ed PM Run","2603","Q9493","Mechanical Problem","24005","2015-10-27T13:17:00.000","2015-10-27T13:33:00.000","Queens","BOBBY`S BUS CO. INC.",,"0","Yes","No","Yes","2015-10-27T13:33:00.000",,"2015-10-27T13:39:40.000","Breakdown","School-Age"
"2015-2016","1227848","Special Ed AM Run","424D","X797","Won`t Start","11458","2015-11-06T07:54:00.000","2015-11-06T07:59:00.000","Bronx","LITTLE RICHIE BUS SERVICE",,"8","Yes","Yes","No","2015-11-06T07:59:00.000",,"2015-11-06T07:59:15.000","Breakdown","School-Age"
"2015-2016","1227849","Special Ed AM Run","HA 588","L836","Heavy Traffic","22902","2015-11-06T07:58:00.000","2015-11-06T07:59:00.000","Brooklyn","HAPPY CHILD TRANS LLC (B2","45 Mins","2","Yes","Yes","No","2015-11-06T07:59:00.000",,"2015-11-06T07:59:30.000","Running Late","School-Age"
"2015-2016","1227851","Special Ed AM Run","HA 632","L848","Heavy Traffic","22902","2015-11-06T07:58:00.000","2015-11-06T07:59:00.000","Brooklyn","HAPPY CHILD TRANS LLC (B2","60 MINS","2","Yes","Yes","No","2015-11-06T07:59:00.000",,"2015-11-06T07:59:48.000","Running Late","School-Age"
"2015-2016","1227852","Special Ed AM Run","HA 9970","M083","Other","01134","2015-11-06T07:59:00.000","2015-11-06T08:00:00.000","Manhattan","HAPPY CHILD TRANS LLC (B2","60 Mins.","3","Yes","Yes","No","2015-11-06T08:00:00.000",,"2015-11-06T08:00:40.000","Running Late","School-Age"
"2015-2016","1227853","Special Ed AM Run","1819","L032","Heavy Traffic","20865,20915","2015-11-06T07:56:00.000","2015-11-06T08:01:00.000","Brooklyn","B & F SKILLED INC.(B2192)","20mins","2","Yes","Yes","No","2015-11-06T08:01:00.000",,"2015-11-06T08:01:04.000","Running Late","School-Age"
"2015-2016","1227857","General Ed AM Run","20440","M1339","Heavy Traffic","02183","2015-11-06T08:02:00.000","2015-11-06T08:04:00.000","Manhattan","SNT BUS INC","15/20 MINS","0","Yes","No","No","2015-11-06T08:04:00.000",,"2015-11-06T08:35:23.000","Running Late","School-Age"
"2015-2016","1227858","General Ed AM Run","23490","M1124","Heavy Traffic","02900","2015-11-06T08:04:00.000","2015-11-06T08:05:00.000","Manhattan","SNT BUS INC","10-15 MIN","11","Yes","No","Yes","2015-11-06T08:05:00.000",,"2015-11-06T08:09:49.000","Running Late","School-Age"
"2015-2016","1227862","Special Ed AM Run","1381","M921","Heavy Traffic","02930","2015-11-06T08:09:00.000","2015-11-06T08:10:00.000","Manhattan","LEESEL TRANSP CORP (B2192","20","5","Yes","Yes","No","2015-11-06T08:10:00.000",,"2015-11-06T08:10:35.000","Running Late","School-Age"
"2015-2016","1227863","Special Ed AM Run","3124","M373","Heavy Traffic","02116","2015-11-06T08:09:00.000","2015-11-06T08:10:00.000","Manhattan","RELIANT TRANS, INC. (B232",,"7","Yes","Yes","Yes","2015-11-06T08:10:00.000",,"2015-11-06T08:10:41.000","Running Late","School-Age"
"2015-2016","1227865","Special Ed AM Run","19317","M029","Mechanical Problem","02300","2015-11-06T08:03:00.000","2015-11-06T08:11:00.000","Manhattan","BORO TRANSIT, INC.","45 MIN","10","Yes","No","Yes","2015-11-06T08:11:00.000",,"2015-11-06T08:19:34.000","Running Late","School-Age"
"2015-2016","1227866","Special Ed AM Run","197","W706","Heavy Traffic","75442","2015-11-06T07:59:00.000","2015-11-06T08:12:00.000","Westchester","MAR-CAN TRANSPORT CO. INC","20 mins","3","No","Yes","No","2015-11-06T08:12:00.000",,"2015-11-06T08:12:15.000","Running Late","School-Age"
"2015-2016","1227867","Special Ed AM Run","1184","K746","Heavy Traffic","16406","2015-11-06T08:10:00.000","2015-11-06T08:12:00.000","Brooklyn","RELIANT TRANS, INC. (B232",,"0","No","No","No","2015-11-06T08:12:00.000",,"2015-11-06T08:12:09.000","Running Late","School-Age"
"2015-2016","1227868","Special Ed AM Run","1417","M678","Other","03417","2015-11-06T08:13:00.000","2015-11-06T08:14:00.000","Manhattan","LEESEL TRANSP CORP (B2192","20","3","Yes","Yes","No","2015-11-06T08:14:00.000",,"2015-11-06T08:14:06.000","Running Late","School-Age"
"2015-2016","1227871","Pre-K/EI","358","2","Heavy Traffic","C195","2015-11-06T08:17:00.000","2015-11-06T08:20:00.000","Bronx","G.V.C., LTD.","15MIN","12","Yes","Yes","Yes","2015-11-06T08:20:00.000",,"2015-11-06T08:20:25.000","Running Late","Pre-K"
"2015-2016","1227872","Pre-K/EI","GV0952","7","Heavy Traffic","C579","2015-11-06T08:19:00.000","2015-11-06T08:20:00.000","Bronx","G.V.C., LTD.","10MIN","0","Yes","Yes","No","2015-11-06T08:20:00.000",,"2015-11-06T08:20:33.000","Running Late","Pre-K"
"2015-2016","1227873","Special Ed AM Run","1358","M490","Heavy Traffic","03004","2015-11-06T08:20:00.000","2015-11-06T08:21:00.000","Manhattan","LEESEL TRANSP CORP (B2192","20","3","Yes","Yes","No","2015-11-06T08:21:00.000",,"2015-11-06T08:21:24.000","Running Late","School-Age"
"2015-2016","1227874","Pre-K/EI","358","2","Heavy Traffic","C353","2015-11-06T08:20:00.000","2015-11-06T08:22:00.000","Bronx","G.V.C., LTD.","20MIN","4","Yes","Yes","Yes","2015-11-06T08:22:00.000",,"2015-11-06T08:22:17.000","Running Late","Pre-K"
"2015-2016","1227875","Pre-K/EI","730","8","Other","S188","2015-11-06T08:13:00.000","2015-11-06T08:22:00.000","Bronx","G.V.C., LTD.","10MINUTES","7","Yes","Yes","No","2015-11-06T08:22:00.000",,"2015-11-06T08:22:26.000","Running Late","Pre-K"
"2017-2018","1423460","Special Ed AM Run","1421","M966","Heavy Traffic","02990","2018-03-23T06:12:00.000","2018-03-23T06:12:00.000","Manhattan","LEESEL TRANSPORTATION CORP (B2192)","31-45 Min","0","Yes","Yes","No","2018-03-23T06:12:00.000",,"1900-01-01T00:00:00.000","Running Late","School-Age"
"2015-2016","1227876","Special Ed AM Run","2213","L510","Heavy Traffic","22657","2015-11-06T08:21:00.000","2015-11-06T08:23:00.000","Bronx","RELIANT TRANS, INC. (B232","20 MIN","3","Yes","No","Yes","2015-11-06T08:23:00.000",,"2015-11-06T08:23:16.000","Running Late","School-Age"
"2015-2016","1227877","Special Ed AM Run","2028","L524","Heavy Traffic","17246","2015-11-06T08:20:00.000","2015-11-06T08:23:00.000","Bronx","RELIANT TRANS, INC. (B232",,"6","Yes","Yes","Yes","2015-11-06T08:23:00.000",,"2015-11-06T08:23:32.000","Running Late","School-Age"
"2015-2016","1227878","General Ed AM Run","27718","M1004","Heavy Traffic","03809","2015-11-06T08:23:00.000","2015-11-06T08:24:00.000","Manhattan","SNT BUS INC","10-15 MIN","0","Yes","No","Yes","2015-11-06T08:24:00.000",,"2015-11-06T08:26:27.000","Running Late","School-Age"
"2015-2016","1227879","Pre-K/EI","7003","B0561A","Heavy Traffic","C126","2015-11-06T08:15:00.000","2015-11-06T08:25:00.000","Brooklyn","L & M BUS CORP.","20 MINS","8","Yes","Yes","Yes","2015-11-06T08:25:00.000",,"2015-11-06T08:57:23.000","Running Late","Pre-K"
"2015-2016","1227880","Special Ed AM Run","5416","M057","Heavy Traffic","03710","2015-11-06T08:23:00.000","2015-11-06T08:25:00.000","Manhattan","RELIANT TRANS, INC. (B232",,"0","Yes","Yes","Yes","2015-11-06T08:25:00.000",,"2015-11-06T08:25:47.000","Running Late","School-Age"
"2015-2016","1227881","Special Ed AM Run","14101","M179","Heavy Traffic","06322","2015-11-06T08:25:00.000","2015-11-06T08:25:00.000","Manhattan","LEESEL TRANSP CORP (B2192","20","3","Yes","Yes","No","2015-11-06T08:25:00.000",,"2015-11-06T08:25:50.000","Running Late","School-Age"
"2015-2016","1227883","Pre-K/EI","1240","M35","Heavy Traffic","C495","2015-11-06T08:20:00.000","2015-11-06T08:35:00.000","Bronx","PHILLIPS BUS SERVICE","20-25 MINS","11","Yes","Yes","Yes","2015-11-06T08:35:00.000",,"2015-11-06T08:35:50.000","Running Late","Pre-K"
"2015-2016","1227886","Pre-K/EI","GV0954","5","Heavy Traffic","C579","2015-11-06T08:43:00.000","2015-11-06T08:46:00.000","Bronx","G.V.C., LTD.","10MIN","0","No","Yes","No","2015-11-06T08:46:00.000",,"2015-11-06T08:46:07.000","Running Late","Pre-K"
"2015-2016","1227887","Special Ed AM Run","31146","M440","Other","02138","2015-11-06T07:30:00.000","2015-11-06T09:23:00.000","Manhattan","CONSOLIDATED BUS TRANS. I",,"0","Yes","No","No","2015-11-06T09:23:00.000",,"2015-11-06T09:23:18.000","Breakdown","School-Age"
"2015-2016","1227890","Special Ed Field Trip","39308","M440","Other","02138","2015-11-06T09:30:00.000","2015-11-06T10:03:00.000","Manhattan","CONSOLIDATED BUS TRANS. I",,"0","Yes","No","Yes","2015-11-06T10:03:00.000",,"2015-11-06T10:03:51.000","Breakdown","School-Age"
"2015-2016","1227891","Special Ed Field Trip","5695D","P250","Heavy Traffic","30004","2015-11-06T10:00:00.000","2015-11-06T10:16:00.000",,"LOGAN BUS COMPANY INC.","30mins","0","Yes","Yes","No","2015-11-06T10:16:00.000",,"2015-11-06T10:16:09.000","Running Late","School-Age"
"2015-2016","1227892","General Ed PM Run","27723","M9020","Heavy Traffic","02886","2015-11-06T11:42:00.000","2015-11-06T12:15:00.000","Manhattan","SNT BUS INC",,"0","Yes","No","No","2015-11-06T12:15:00.000",,"2015-11-06T12:15:09.000","Running Late","School-Age"
"2015-2016","1227893","General Ed PM Run","25609","M9149","Heavy Traffic","02886","2015-11-06T12:00:00.000","2015-11-06T12:19:00.000","Manhattan","SNT BUS INC",,"0","Yes","No","No","2015-11-06T12:19:00.000",,"2015-11-06T12:19:44.000","Running Late","School-Age"
"2015-2016","1227894","Special Ed Field Trip","184","K987","Won`t Start","19466","2015-11-06T12:39:00.000","2015-11-06T12:41:00.000","Brooklyn","Y & M TRANSIT CORP (B2192",,"6","Yes","Yes","No","2015-11-06T12:41:00.000",,"2015-11-06T16:41:54.000","Breakdown","School-Age"
"2015-2016","1227896","Special Ed PM Run","54069","Q439","Other","24409","2015-11-06T12:58:00.000","2015-11-06T13:01:00.000","Queens","BORO TRANSIT, INC.",,"0","Yes","Yes","No","2015-11-06T13:01:00.000",,"2015-11-06T13:19:10.000","Breakdown","School-Age"
"2015-2016","1227897","Special Ed PM Run","9034","K112","Late return from Field Trip","22251","2015-11-06T13:14:00.000","2015-11-06T13:15:00.000","Brooklyn","L & M BUS CORP. (B2192)","15 mins","18","Yes","Yes","No","2015-11-06T13:15:00.000",,"2015-11-06T13:17:22.000","Running Late","School-Age"
"2015-2016","1227902","General Ed PM Run","3001","Q9972","Late return from Field Trip","29033","2015-11-06T13:30:00.000","2015-11-06T13:49:00.000","Queens","QUALITY TRANSPORTATION CO",,"0","Yes","No","No","2015-11-06T13:49:00.000",,"2015-11-06T13:49:39.000","Breakdown","School-Age"
"2015-2016","1227903","General Ed PM Run","316","X9317","Heavy Traffic","07364","2015-11-06T13:25:00.000","2015-11-06T13:50:00.000","Bronx","PIONEER TRANSPORTATION CO","16 minutes","0","Yes","No","No","2015-11-06T13:50:00.000",,"2015-11-06T13:50:05.000","Running Late","School-Age"
"2015-2016","1227904","General Ed PM Run","3001","Q9972","Late return from Field Trip","29033","2015-11-06T13:30:00.000","2015-11-06T13:52:00.000","Queens","QUALITY TRANSPORTATION CO",,"0","Yes","No","No","2015-11-06T13:52:00.000",,"2015-11-06T13:52:26.000","Running Late","School-Age"
"2015-2016","1227990","Special Ed AM Run","5822D","X644","Other","09415","2015-11-09T06:40:00.000","2015-11-09T06:47:00.000","Bronx","LITTLE RICHIE BUS SERVICE",,"0","Yes","Yes","No","2015-11-09T06:47:00.000",,"2015-11-09T06:47:17.000","Breakdown","School-Age"
"2015-2016","1227905","General Ed AM Run","2232","Q2910","Late return from Field Trip","29181","2015-11-06T13:50:00.000","2015-11-06T13:52:00.000","Queens","ALLIED TRANSIT CORP.","30-60 min","25","Yes","Yes","No","2015-11-06T13:52:00.000",,"2015-11-06T13:52:36.000","Running Late","School-Age"
"2015-2016","1227911","General Ed PM Run","468","X9138","Late return from Field Trip","08036","2015-11-06T14:12:00.000","2015-11-06T14:14:00.000","Bronx","PIONEER TRANSPORTATION CO","15 minutes","0","Yes","No","No","2015-11-06T14:14:00.000",,"2015-11-06T14:14:53.000","Running Late","School-Age"
"2015-2016","1227912","Special Ed PM Run","5724D","Q638","Won`t Start","25184","2015-11-06T14:16:00.000","2015-11-06T14:18:00.000","Queens","LITTLE RICHIE BUS SERVICE",,"0","Yes","Yes","No","2015-11-06T14:18:00.000",,"2015-11-06T14:18:00.000","Breakdown","School-Age"
"2015-2016","1227914","Special Ed PM Run","9401","R052","Late return from Field Trip","31059","2015-11-06T14:13:00.000","2015-11-06T14:23:00.000","Staten Island","PIONEER TRANSPORTATION CO","25MINS","0","Yes","No","No","2015-11-06T14:23:00.000",,"2015-11-06T14:23:01.000","Running Late","School-Age"
"2015-2016","1227915","Special Ed PM Run","5825D","X575","Late return from Field Trip","07221","2015-11-06T14:23:00.000","2015-11-06T14:27:00.000","Bronx","LITTLE RICHIE BUS SERVICE","25","0","Yes","No","No","2015-11-06T14:27:00.000",,"2015-11-06T14:27:10.000","Running Late","School-Age"
"2015-2016","1227916","Special Ed AM Run","EL 1014","W670","Heavy Traffic","75841","2015-11-06T14:23:00.000","2015-11-06T14:29:00.000","Westchester","ALL COUNTY BUS LLC (B2321","10 min","0","Yes","No","No","2015-11-06T14:29:00.000",,"2015-11-06T14:29:51.000","Running Late","School-Age"
"2015-2016","1227917","Special Ed PM Run","586D","X891","Mechanical Problem","11153","2015-11-06T14:20:00.000","2015-11-06T14:33:00.000","Bronx","LITTLE LISA BUS CO. INC.",,"0","Yes","Yes","No","2015-11-06T14:33:00.000",,"2015-11-06T14:34:18.000","Breakdown","School-Age"
"2015-2016","1227918","General Ed PM Run","2857","K9718","Other","18759,","2015-11-06T14:30:00.000","2015-11-06T14:34:00.000","Brooklyn","JOFAZ TRANSPORTATION INC.","45min","0","Yes","Yes","No","2015-11-06T14:34:00.000",,"2015-11-06T14:34:57.000","Running Late","School-Age"
"2015-2016","1227919","Special Ed PM Run","829D","Q650","Mechanical Problem","30460","2015-11-06T13:50:00.000","2015-11-06T14:36:00.000","Queens","LITTLE RICHIE BUS SERVICE",,"0","Yes","Yes","No","2015-11-06T14:36:00.000",,"2015-11-06T14:36:29.000","Breakdown","School-Age"
"2015-2016","1227920","Special Ed PM Run","56082","M927","Other","02398","2015-11-06T14:00:00.000","2015-11-06T14:37:00.000","Manhattan","CONSOLIDATED BUS TRANS. I","20 mins","0","Yes","Yes","Yes","2015-11-06T14:37:00.000",,"2015-11-06T14:37:15.000","Running Late","School-Age"
"2015-2016","1227921","Special Ed PM Run","540","P862","Other","26187","2015-11-06T14:33:00.000","2015-11-06T14:37:00.000","Queens","HAPPY CHILD TRANS LLC (B2","60 min","2","Yes","Yes","No","2015-11-06T14:37:00.000",,"2015-11-06T14:37:51.000","Running Late","School-Age"
"2015-2016","1227922","Special Ed AM Run","148","W676","Mechanical Problem","75955","2015-11-06T14:20:00.000","2015-11-06T14:37:00.000","Westchester","MAR-CAN TRANSPORT CO. INC","15/20mins","0","Yes","No","No","2015-11-06T14:37:00.000",,"2015-11-06T14:47:23.000","Running Late","School-Age"
"2015-2016","1227923","Special Ed PM Run","4528","M954","Won`t Start","02347","2015-11-06T14:33:00.000","2015-11-06T14:38:00.000","Manhattan","RELIANT TRANS, INC. (B232",,"0","Yes","Yes","Yes","2015-11-06T14:38:00.000",,"2015-11-06T14:38:05.000","Breakdown","School-Age"
"2015-2016","1227924","Special Ed PM Run","24646","X382","Mechanical Problem","09073","2015-11-06T14:30:00.000","2015-11-06T14:39:00.000","Bronx","VAN TRANS LLC (B2192)","30 min","15","No","No","Yes","2015-11-06T14:39:00.000",,"2015-11-06T14:39:22.000","Running Late","School-Age"
"2015-2016","1227925","Special Ed PM Run","610","P870","Other","30230","2015-11-06T14:33:00.000","2015-11-06T14:39:00.000",,"HAPPY CHILD TRANS LLC (B2","60 min","2","Yes","Yes","No","2015-11-06T14:39:00.000",,"2015-11-06T14:39:47.000","Running Late","School-Age"
"2015-2016","1227929","Special Ed PM Run","624","K024","Delayed by School","17460","2015-11-06T14:37:00.000","2015-11-06T14:44:00.000","Brooklyn","NEW DAWN TRANSIT, LLC (B2",,"0","Yes","Yes","No","2015-11-06T14:44:00.000",,"2015-11-06T14:44:18.000","Running Late","School-Age"
"2015-2016","1227930","Special Ed AM Run","8995D","P718","Flat Tire","28328","2015-11-06T14:35:00.000","2015-11-06T14:45:00.000","Queens","LOGAN BUS COMPANY INC.",,"0","Yes","Yes","No","2015-11-06T14:45:00.000",,"2015-11-06T14:45:48.000","Breakdown","School-Age"
"2015-2016","1227931","Special Ed AM Run","40259","K806","Mechanical Problem","21907","2015-11-06T14:40:00.000","2015-11-06T14:49:00.000","Brooklyn","BORO TRANSIT, INC.",,"0","Yes","Yes","No","2015-11-06T14:49:00.000",,"2015-11-06T14:49:46.000","Breakdown","School-Age"
"2015-2016","1227933","Special Ed PM Run","568","M689","Heavy Traffic","02611","2015-11-06T14:53:00.000","2015-11-06T14:54:00.000","Manhattan","HAPPY CHILD TRANS LLC (B2","60 min","2","Yes","Yes","No","2015-11-06T14:54:00.000",,"2015-11-06T14:54:16.000","Running Late","School-Age"
"2015-2016","1227934","General Ed PM Run","12540","K9917","Accident","23848","2015-11-06T14:40:00.000","2015-11-06T14:56:00.000","Brooklyn","BORO TRANSIT, INC.",,"0","Yes","No","Yes","2015-11-06T14:56:00.000","2784166","2015-11-06T14:56:02.000","Running Late","School-Age"
"2015-2016","1227935","Special Ed PM Run","588","L836","Other","22902","2015-11-06T14:55:00.000","2015-11-06T14:56:00.000","Brooklyn","HAPPY CHILD TRANS LLC (B2","60 min","2","Yes","Yes","No","2015-11-06T14:56:00.000",,"2015-11-06T14:56:26.000","Running Late","School-Age"
"2015-2016","1227936","Special Ed PM Run","474D","Q573","Mechanical Problem","27663","2015-11-06T14:55:00.000","2015-11-06T14:58:00.000","Queens","LITTLE RICHIE BUS SERVICE",,"10","Yes","Yes","No","2015-11-06T14:58:00.000",,"2015-11-06T14:58:15.000","Breakdown","School-Age"
"2015-2016","1227937","Special Ed PM Run","10294","K005","Other","13369","2015-11-06T14:50:00.000","2015-11-06T14:59:00.000","Brooklyn","BORO TRANSIT, INC.","30 min","0","Yes","Yes","No","2015-11-06T14:59:00.000",,"2015-11-06T14:59:53.000","Running Late","School-Age"
"2015-2016","1215067","Special Ed AM Run","1308","M772","Heavy Traffic","02158","2015-09-16T08:34:00.000","2015-09-16T08:35:00.000","Manhattan","LEESEL TRANSP CORP (B2192","20","4","Yes","Yes","No","2015-09-16T08:35:00.000",,"2015-09-16T08:35:04.000","Running Late","School-Age"
"2015-2016","1215734","General Ed AM Run","16374","M1079","Mechanical Problem","03895","2015-09-18T06:58:00.000","2015-09-18T07:05:00.000","Manhattan","SNT BUS INC",,"0","Yes","No","Yes","2015-09-18T07:05:00.000",,"2015-09-18T07:14:34.000","Breakdown","School-Age"
"2015-2016","1226016","Special Ed AM Run","20","W983","Heavy Traffic","75908","2015-10-29T07:47:00.000","2015-10-29T07:48:00.000","Westchester","MAR-CAN TRANSPORT CO. INC","10 mins","6","Yes","Yes","No","2015-10-29T07:48:00.000",,"2015-10-29T07:48:50.000","Running Late","School-Age"
"2015-2016","1227938","Special Ed PM Run","542","L899","Other","14257","2015-11-06T14:56:00.000","2015-11-06T15:01:00.000","Brooklyn","HAPPY CHILD TRANS LLC (B2","60 MIN","2","Yes","Yes","No","2015-11-06T15:01:00.000",,"2015-11-06T15:01:36.000","Running Late","School-Age"
"2015-2016","1227939","Special Ed PM Run","8919D","X706","Flat Tire","11515","2015-11-06T15:13:00.000","2015-11-06T15:18:00.000","Bronx","LITTLE LISA BUS CO. INC.",,"0","Yes","Yes","No","2015-11-06T15:18:00.000",,"2015-11-06T15:18:42.000","Breakdown","School-Age"
"2015-2016","1227948","Special Ed AM Run","GT1490","Y932","Other","11688","2015-11-09T05:42:00.000","2015-11-09T05:45:00.000","Bronx","DON THOMAS BUSES, INC. (B","45MIN","0","Yes","Yes","Yes","2015-11-09T05:45:00.000",,"2015-11-09T05:45:49.000","Running Late","School-Age"
"2015-2016","1227949","Special Ed AM Run","GT 1473","Y888","Other","07697","2015-11-09T05:40:00.000","2015-11-09T05:52:00.000","Bronx","DON THOMAS BUSES, INC. (B","105 MINS","0","Yes","Yes","Yes","2015-11-09T05:52:00.000",,"2015-11-09T06:41:49.000","Running Late","School-Age"
"2015-2016","1227950","Special Ed AM Run","37","W705","Other","75442","2015-11-09T06:02:00.000","2015-11-09T06:03:00.000","Westchester","MAR-CAN TRANSPORT CO. INC","30 mins","2","Yes","Yes","No","2015-11-09T06:03:00.000",,"2015-11-09T07:57:33.000","Running Late","School-Age"
"2015-2016","1227951","Special Ed AM Run","2425","K365","Heavy Traffic","17005","2015-11-09T05:56:00.000","2015-11-09T06:06:00.000","Brooklyn","RELIANT TRANS, INC. (B232","15mins","0","Yes","Yes","Yes","2015-11-09T06:06:00.000",,"2015-11-09T06:06:52.000","Running Late","School-Age"
"2015-2016","1227952","Special Ed AM Run","2646","M232","Won`t Start","01188","2015-11-09T06:06:00.000","2015-11-09T06:07:00.000","Manhattan","RELIANT TRANS, INC. (B232",,"0","Yes","Yes","Yes","2015-11-09T06:07:00.000",,"2015-11-09T06:07:48.000","Breakdown","School-Age"
"2015-2016","1227953","Special Ed AM Run","2418","M998","Heavy Traffic","03408","2015-11-09T06:07:00.000","2015-11-09T06:11:00.000","Manhattan","RELIANT TRANS, INC. (B232","25 MIN","0","No","No","Yes","2015-11-09T06:11:00.000",,"2015-11-09T06:11:21.000","Running Late","School-Age"
"2015-2016","1227954","Special Ed AM Run","1503","L028","Flat Tire","21423","2015-11-09T05:52:00.000","2015-11-09T06:13:00.000","All Boroughs","THOMAS BUSES, INC. (B2321","45 MINS","0","Yes","Yes","Yes","2015-11-09T06:13:00.000",,"2015-11-09T06:13:05.000","Running Late","School-Age"
"2015-2016","1227955","Special Ed AM Run","2528","K645","Other","20170","2015-11-09T06:11:00.000","2015-11-09T06:13:00.000","Brooklyn","RELIANT TRANS, INC. (B232","30 MIN","0","No","No","Yes","2015-11-09T06:13:00.000",,"2015-11-09T06:13:09.000","Running Late","School-Age"
"2015-2016","1227957","Special Ed AM Run","1170","L355","Heavy Traffic","13369","2015-11-09T06:13:00.000","2015-11-09T06:16:00.000",,"RELIANT TRANS, INC. (B232","10 MIN","0","No","No","Yes","2015-11-09T06:16:00.000",,"2015-11-09T06:16:12.000","Running Late","School-Age"
"2015-2016","1227967","General Ed AM Run","2436","K1562","Mechanical Problem","15058","2015-11-09T06:22:00.000","2015-11-09T06:28:00.000","Brooklyn","ALL AMERICAN SCHOOL BUS C","15 MINS","0","Yes","No","No","2015-11-09T06:28:00.000",,"2015-11-09T07:24:33.000","Running Late","School-Age"
"2015-2016","1227968","Pre-K/EI","19","08 AM","Mechanical Problem","C494","2015-11-09T06:20:00.000","2015-11-09T06:29:00.000","Brooklyn","L & M BUS CORP.","30 MINUTES","0","Yes","Yes","No","2015-11-09T06:29:00.000",,"2015-11-09T06:29:25.000","Running Late","Pre-K"
"2015-2016","1227969","Special Ed AM Run","42123","K828","Other","23156","2015-11-09T06:20:00.000","2015-11-09T06:29:00.000","Brooklyn","BORO TRANSIT, INC.","30 min","0","Yes","Yes","No","2015-11-09T06:29:00.000",,"2015-11-09T06:29:47.000","Running Late","School-Age"
"2015-2016","1227970","Pre-K/EI","19","08 AM","Mechanical Problem","C589","2015-11-09T06:20:00.000","2015-11-09T06:30:00.000","Brooklyn","L & M BUS CORP.","30 MINUTES","0","Yes","Yes","No","2015-11-09T06:30:00.000",,"2015-11-09T06:30:04.000","Running Late","Pre-K"
"2017-2018","1423515","Special Ed AM Run","1316","J728","Heavy Traffic","75565","2018-03-23T06:28:00.000","2018-03-23T06:29:00.000","New Jersey","RELIANT TRANSPORTATION, INC (B2321)","46-60 Min","0","Yes","Yes","Yes","2018-03-23T06:29:00.000",,"1900-01-01T00:00:00.000","Running Late","School-Age"
"2017-2018","1423516","General Ed AM Run","59S","X8606","Heavy Traffic","07157,07179,07359,07688","2018-03-23T06:22:00.000","2018-03-23T06:29:00.000","Bronx","PIONEER TRANSPORTATION CORP","31-45 Min","0","Yes","No","No","2018-03-23T06:29:00.000",,"1900-01-01T00:00:00.000","Running Late","School-Age"
"2017-2018","1423531","General Ed AM Run","2118","X2360","Mechanical Problem","08001,08009","2018-03-23T06:31:00.000","2018-03-23T06:37:00.000","Bronx","PIONEER TRANSPORTATION CORP","16-30 Min","0","Yes","No","No","2018-03-23T06:37:00.000",,"2018-03-23T07:16:23.000","Running Late","School-Age"
"2015-2016","1225541","Special Ed AM Run","490","L043","Other","14646","2015-10-28T07:41:00.000","2015-10-28T07:41:00.000","Brooklyn","HAPPY CHILD TRANS LLC (B2","60 min","2","Yes","Yes","No","2015-10-28T07:41:00.000",,"2015-10-28T07:41:50.000","Running Late","School-Age"
"2015-2016","1226218","Special Ed PM Run","1398","M585","Delayed by School","02419","2015-10-29T14:25:00.000","2015-10-29T14:40:00.000","Manhattan","LEESEL TRANSP CORP (B2192","20 min","0","Yes","No","No","2015-10-29T14:40:00.000",,"2015-10-29T14:40:33.000","Running Late","School-Age"
"2015-2016","1227971","Special Ed AM Run","6250","P423","Heavy Traffic","27042,27874","2015-11-09T06:27:00.000","2015-11-09T06:31:00.000","Queens","JOFAZ TRANSPORTATION INC.","1hr/30min","0","Yes","Yes","No","2015-11-09T06:31:00.000",,"2015-11-09T06:31:46.000","Running Late","School-Age"
"2015-2016","1227972","Special Ed AM Run","8979D","P506","Other","24293","2015-11-09T06:26:00.000","2015-11-09T06:32:00.000","Queens","LOGAN BUS COMPANY INC.","20","1","Yes","Yes","No","2015-11-09T06:32:00.000",,"2015-11-09T06:32:16.000","Running Late","School-Age"
"2015-2016","1227973","Special Ed AM Run","48175","Q854","Other","29443","2015-11-09T06:25:00.000","2015-11-09T06:32:00.000","Queens","BORO TRANSIT, INC.","25 min","0","Yes","Yes","No","2015-11-09T06:32:00.000",,"2015-11-09T06:32:51.000","Running Late","School-Age"
"2015-2016","1227974","General Ed AM Run","136","X2020","Heavy Traffic","07233","2015-11-09T06:27:00.000","2015-11-09T06:34:00.000","Bronx","PIONEER TRANSPORTATION CO","15 minutes","0","Yes","No","No","2015-11-09T06:34:00.000",,"2015-11-09T06:34:17.000","Running Late","School-Age"
