"bin","borough","zip","house_num","street_name","block","lot","confirmation_num","reporting_year","tank_num","inspection_by_firm","inspection_performed","inspection_date","gi_req_internal_structure","gi_result_internal_structure","gi_req_external_structure","gi_result_external_structure","gi_req_overflow_pipes","gi_result_overflow_pipes","gi_req_access_ladders","gi_result_access_ladders","gi_req_air_vents","gi_result_air_vents","gi_req_roof_access","gi_result_roof_access","si_req_sediment","si_result_sediment","si_req_biological_growth","si_result_biological_growth","si_req_debris_insects","si_result_debris_insects","si_req_rodent_bird","si_result_rodent_bird","sample_collected","lab_name","nys_certified","analytes","coliform","ecoli","meet_standards","deleted","latitude","longitude","community_board","council_district","census_tract","bbl","nta","batch_date"
"1059654","MANHATTAN","10027","517","West 121 Street","01976","0019","WTI4060100542","2020","1","American Pipe and Tank","Y","10/15/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EBS","Y","B","A","A",,"No","40.810479","-73.959819","9","7","203","1019760019","Morningside Heights","2023-08-25T12:15:38.000"
"1046956","MANHATTAN","10128","1088","PARK AVENUE","01500","0040","WTI4703500540","2022","1","ISSEKS BROS., INC.","Y","06/23/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS, LLC","Y","B","A","A",,"No","40.781872","-73.955976","8","4","15002","1015000040","Upper East Side-Carnegie Hill","2023-08-25T12:15:33.000"
"1035336","MANHATTAN","10017","50","East 42nd Street","01276","0051","WTI9158158631","2015","1","Rosenwach Tank Co. LLC","Y","12/30/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ESML","Y","B","A","A",,"No","40.752702","-73.97907","5","4","82","1012760051","Murray Hill-Kips Bay","2023-08-25T12:15:11.000"
"4047335","QUEENS","11368","97-05","HORACE HARDING EXPRESSWAY","1918","108","WTI8287740270","2018","1","Rosenwach Tank Co. LLC","Y","08/14/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.734899","-73.862526","4","21","455","4019180108","Corona","2023-08-25T12:15:27.000"
"2083686","BRONX","10463","3424","Kingsbridge Avenue","05760","0112","WTI9567801207","2022","1","Rosenwach Tank Co. LLC","Y","12/22/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.882723","-73.903711","8","11","287","2057600112","Spuyten Duyvil-Kingsbridge","2023-08-25T12:15:43.000"
"1036195","MANHATTAN","10017","730","third ave","01300","0033","WTI6294141209","2023","2","new york plubming","Y","04/12/2023","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","york analytical laboratories","Y","B","A","A",,"No","40.753104","-73.972757","6","4","92","1013000033","Turtle Bay-East Midtown","2023-08-25T12:15:31.000"
"1087239","MANHATTAN","10282","200","WEST STREET","16","260","WTI4684851541","2016","1","Rosenwach Tank Co. LLC","Y","08/13/2016","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.713846","-74.013812","1","1","31703","1000160260","Battery Park City-Lower Manhattan","2023-08-25T12:15:14.000"
"1001025","MANHATTAN","10005","14","Wall Street","00046","0009","WTI4840363644","2020","8","American Pipe and Tank","Y","04/25/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EBS","Y","B","A","A",,"No","40.707347","-74.010997","1","1","7","1000460009","Battery Park City-Lower Manhattan","2023-08-25T12:15:40.000"
"1018071","MANHATTAN","10010","50","LEXINGTON AVENUE","880","19","WTI0088524151","2020","1","Rosenwach Tank Co. LLC","Y","08/12/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL Analytical","Y","B","A","A","Y","No","40.74044","-73.984302","5","2","68","1008800019","Gramercy","2023-08-25T12:15:38.000"
"1000059","MANHATTAN","10281","200","Vesey Street","00016","0140","WTI5622382274","2015","1","American Pipe & Tank Lining Co.","Y","02/18/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Environmental Building Solutions LLC","Y","B","A","A",,"No","40.714447","-74.015493","1","1","31703","1000160140","Battery Park City-Lower Manhattan","2023-08-25T12:15:17.000"
"2096620","BRONX","10462","1420","Wood Road","03937","7501","WTI0508562894","2017","1","Isseks Bros Inc","Y","04/20/2017","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","enviromental solution","Y","B","A","A",,"No","40.835886","-73.862277","9","18","21602","2039377501","Parkchester","2023-08-25T12:15:20.000"
"4047333","QUEENS","11368","97-15","HORACE HARDING EXPRESSWAY","1918","105","WTI1608339976","2020","1","Rosenwach Tank Co. LLC","Y","07/17/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL Analytical","Y","B","A","A","Y","No","40.734938","-73.862399","4","21","455","4019180105","Corona","2023-08-25T12:15:38.000"
"1013646","MANHATTAN","10018","589","Eighth Avenue","00762","0042","WTI1623727699","2021","1","Rosenwach Tank Co. LLC","Y","09/18/2021","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.755155","-73.991319","4","3","115","1007620042","Clinton","2023-08-25T12:15:39.000"
"1009720","MANHATTAN","10011","72","5th Ave.","00577","7501","WTI4165375928","2018","1","Issecks Brothers","Y","05/31/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Environmental Building Solutions, LLC","Y","B","A","A",,"No","40.73542","-73.994053","2","3","63","1005777501","West Village","2023-08-25T12:15:22.000"
"1015961","MANHATTAN","10018","39","WEST 37TH STREET","00839","0016","WTI5616137205","2022","1","ISSEKS BROS., INC","Y","09/12/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Environmental Building Solutions LLC","Y","B","A","A",,"No","40.750922","-73.984527","5","4","84","1008390016","Midtown-Midtown South","2023-08-25T12:15:32.000"
"1024921","MANHATTAN","10019","230","CENTRAL PARK SOUTH","1030","48","WTI1481501651","2020","1","Rosenwach Tank Co. LLC","Y","02/01/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL Analytical","Y","B","A","A","Y","No","40.767236","-73.97996","5","4","137","1010300048","Midtown-Midtown South","2023-08-25T12:15:39.000"
"3000265","BROOKLYN","11201","333","Jay Street","00142","0001","WTI4525417153","2016","1","Rosenwach Tank Co. LLC","Y","12/29/2016","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.694372","-73.987184","2","33","11","3001427502","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","2023-08-25T12:15:20.000"
"1040079","MANHATTAN","10022","1","BEEKMAN PLACE","1361","21","WTI5556289569","2020","1","Rosenwach Tank Co. LLC","Y","12/01/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL Analytical","Y","B","A","A","Y","No","40.752872","-73.96513","6","4","8603","1013610021","Turtle Bay-East Midtown","2023-08-25T12:15:43.000"
"1056604","MANHATTAN","10025","910","West End Avenue","01876","0061","WTI6471839658","2017","1","Isseks Brothers, Inc.","Y","03/31/2017","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Environmental Building Solutions, LLC","Y","B","A","A",,"No","40.800664","-73.969255","7","6","191","1018760061","Upper West Side","2023-08-25T12:15:20.000"
"1086069","MANHATTAN","10036","1459","Broadway","00994","0001","WTI9742481338","2021","3","Atlantank, LLC","Y","10/16/2021","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Atlas Environmental","Y","B","A","A",,"No","40.755421","-73.98653","5","3","113","1009940001","Midtown-Midtown South","2023-08-25T12:15:33.000"
"1042771","MANHATTAN","10021","110","EAST 71 STREET","01405","7501","WTI0631138352","2016","1","ISSEKS BROS INC","Y","12/28/2016","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.770163","-73.963724","8","4","128","1014057501","Upper East Side-Carnegie Hill","2023-08-25T12:15:14.000"
"1015862","MANHATTAN","10118","350","5th Ave","00835","0041","WTI9467400353","2015","7","MJM Plumbing","Y","08/14/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Green Planet Labs","Y","B","A","A",,"No","40.748276","-73.98469","5","4","76","1008350041","Midtown-Midtown South","2023-08-25T12:15:19.000"
"1030378","MANHATTAN","10023","228","West 71st Street","01162","0046","WTI0506124193","2019","1","Isseks Bros., Inc.","Y","06/27/2019","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Environmental Building Solutions LLC","Y","B","A","A",,"No","40.778369","-73.983149","7","6","159","1011620046","Lincoln Square","2023-08-25T12:15:29.000"
"1090115","MANHATTAN","10038","19","Dutch Street","00078","0047","WTI1176662583","2021","1","Rosenwach Tank Co. LLC","Y","05/18/2021","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.70976","-74.007174","1","1","1502","1000780047","Battery Park City-Lower Manhattan","2023-08-25T12:15:27.000"
"1014775","MANHATTAN","10011","118","West 22nd Street","00797","0054","WTI0658910660","2015","1","Rosenwach Tank Co. LLC","Y","07/11/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ESML","Y","B","A","A",,"No","40.742562","-73.994089","4","3","87","1007970054","Hudson Yards-Chelsea-Flatiron-Union Square","2023-08-25T12:15:20.000"
"1018189","MANHATTAN","10016","140","EAST 28 STREET","00883","0058","WTI6071219638","2017","1","ISSEKS BROS INC","Y","06/20/2017","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.742481","-73.982086","6","2","68","1008830058","Gramercy","2023-08-25T12:15:21.000"
"1013558","MANHATTAN","10001","333","West 34th Street","00758","7501","WTI1956002484","2019","1","isseks bros., inc.","Y","12/21/2019","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","enviormental building solutions llc","Y","B","A","A",,"No","40.752652","-73.994536","4","3","111","1007587501","Hudson Yards-Chelsea-Flatiron-Union Square","2023-08-25T12:15:40.000"
"1043230","MANHATTAN","10075","885","Park Avenue","01413","0001","WTI5416733582","2015","1","Rosenwach Tank Co. LLC","Y","10/22/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ESML","Y","B","A","A",,"No","40.775114","-73.960884","8","4","140","1014130001","Upper East Side-Carnegie Hill","2023-08-25T12:15:12.000"
"1036469","MANHATTAN","10022","866","Third Avenue","01307","7501","WTI7095680285","2015","1","American Pipe and Tank","Y","08/13/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Environmental Bldg Solutions","Y","B","A","A",,"No","40.757435","-73.9696","6","4","100","1013077501","Turtle Bay-East Midtown","2023-08-25T12:15:20.000"
"1076175","MANHATTAN","10019","1325","6th ave","01006","0013","WTI3952585094","2018","1","Atlantank LLC","Y","11/30/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Atlas Environmental Lab","Y","B","A","A",,"No","40.761999","-73.978901","5","4","131","1010060013","Midtown-Midtown South","2023-08-25T12:15:28.000"
"1034198","MANHATTAN","10036","11","WEST 42 STREET","01258","0021","WTI9883919459","2022","1","ISSEKS BROS INC","Y","10/17/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.75379","-73.981599","5","4","96","1012580021","Midtown-Midtown South","2023-08-25T12:15:40.000"
"2017787","BRONX","10467","3424","Kossuth Avenue","03327","0200","WTI6263508632","2017","2","Nalco","Y","01/25/2017","Y","N","Y","N","Y","N","Y","N","Y","N","N",,"Y","N","Y","N","Y","N","Y","N","N",,,,,,,"No","40.880462","-73.88164","7","11","421","2033270200","Norwood","2023-08-25T12:15:21.000"
"1015919","MANHATTAN","10018","990","Sixth Avenue","00838","0001","WTI5881347937","2020","1","Rosenwach Tank Co. LLC","Y","02/05/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.751411","-73.986599","5","4","84","1008380001","Midtown-Midtown South","2023-08-25T12:15:27.000"
"1033616","MANHATTAN","10025","220","WEST   93 STREET","1240","7502","WTI0411958690","2018","1","Rosenwach Tank Co. LLC","Y","10/30/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.792475","-73.972622","7","6","179","1012407502","Upper West Side","2023-08-25T12:15:29.000"
"1013332","MANHATTAN","10011","360","West 22nd Street","00745","7502","WTI7188444165","2022","1","Rosenwach Tank Co. LLC","Y","10/20/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.745313","-74.000617","4","3","89","1007457502","Hudson Yards-Chelsea-Flatiron-Union Square","2023-08-25T12:15:37.000"
"1016286","MANHATTAN","10010","300","PARK AVENUE SOUTH","00851","0035","WTI3593549805","2017","2","ISSEKS BROS INC","Y","08/21/2017","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.739921","-73.986569","5","2","56","1008510035","Hudson Yards-Chelsea-Flatiron-Union Square","2023-08-25T12:15:18.000"
"1046862","MANHATTAN","10028","55","East 86th Street","01498","7501","WTI6914206570","2020","1","isseks bros., inc.","Y","07/15/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Environmental Building Solutions LLC","Y","B","A","A",,"No","40.780641","-73.958277","8","4","15002","1014987501","Upper East Side-Carnegie Hill","2023-08-25T12:15:35.000"
"1041702","MANHATTAN","10021","830","PARK AVE","01390","0037","WTI4119718713","2018","1","ISSEKS BROS INC","Y","08/10/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.773465","-73.962116","8","4","130","1013900037","Upper East Side-Carnegie Hill","2023-08-25T12:15:26.000"
"1078032","MANHATTAN","10002","70","BARUCH DRIVE","00323","0001","WTI5883421592","2017","2","AMERICAN PIPE & TANK","Y","03/29/2017","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ATLAS ENVIRONMENTAL","Y","B","A","A",,"No","40.716732","-73.978064","3","2","1002","1003230001","Lower East Side","2023-08-25T12:15:12.000"
"1079519","MANHATTAN","10025","70","West 95th Street","01208","0001","WTI3192351440","2015","1","Rosenwach Tank Co. LLC","Y","08/29/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ESML","Y","B","A","A",,"No","40.791952","-73.967483","7","6","181","1012080001","Upper West Side","2023-08-25T12:15:19.000"
"2091269","BRONX","10454","640","EAST 137TH STREET","02548","0001","WTI7836896861","2017","1","AMERICAN PIPE & TANK","Y","06/08/2017","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ATLAS ENVIRONMENTAL","Y","B","A","A",,"No","40.805087","-73.91553","1","8","2701","2025480001","Mott Haven-Port Morris","2023-08-25T12:15:21.000"
"1055893","MANHATTAN","10025","127","West 96th Street","01851","0012","WTI2792818957","2018","1","Rosenwach Tank Co. LLC","Y","10/29/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.793267","-73.968475","7","7","181","1018510012","Upper West Side","2023-08-25T12:15:35.000"
"4052574","QUEENS","11375","110-50","71st Road","02235","0025","WTI2205156640","2021","1","Rosenwach Tank Co. LLC","Y","09/30/2021","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.721762","-73.840792","6","29","75702","4022350025","Forest Hills","2023-08-25T12:15:25.000"
"1027074","MANHATTAN","10019","521-533","West 57 Street","01086","7501","WTI0548314694","2019","1","American Pipe and Tank","Y","09/14/2019","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EBS","Y","B","A","A",,"No","40.769502","-73.989451","4","6","135","1010867501","Clinton","2023-08-25T12:15:31.000"
"2085874","BRONX","10463","3671","HUDSON MANOR TERRACE","5920","653","WTI7747972380","2020","1","Rosenwach Tank Co. LLC","Y","10/19/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL Analytical","Y","B","A","A","Y","No","40.887821","-73.91575","8","11","309","2059200653","North Riverdale-Fieldston-Riverdale","2023-08-25T12:15:11.000"
"1036223","MANHATTAN","10171","299","Park Avenue","01303","0001","WTI7498835858","2023","2","isseks bros., inc.","Y","05/17/2023","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.756456","-73.974495","5","4","92","1013030001","Turtle Bay-East Midtown","2023-08-25T12:15:27.000"
"1079000","MANHATTAN","10013","100","Centre Street","167","1","WTI2710767475","2015","1","MMO Unit","Y","12/21/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","N",,,"B",,,,"No","40.716084","-74.001425","1","1","29","1001670001","Chinatown","2023-08-25T12:15:21.000"
"1016888","MANHATTAN","10016","66","MADISON AVENUE","00857","0018","WTI9707641112","2018","3","ISSEKS BROS INC","Y","12/19/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.743596","-73.986009","5","2","56","1008570018","Hudson Yards-Chelsea-Flatiron-Union Square","2023-08-25T12:15:22.000"
"3057474","BROOKLYN","11217","62","Hanson Place","02003","0019","WTI8050972497","2020","1","Isseks Bros., Inc.","Y","10/15/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Environmental Building Solutions, LLC","Y","B","A","A",,"No","40.685414","-73.975096","2","35","35","3020030019","Fort Greene","2023-08-25T12:15:11.000"
"1034227","MANHATTAN","10036","530","Fifth Avenue","01260","7503","WTI5028813481","2021","1","Rosenwach Tank Co. LLC","Y","04/19/2021","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.754879","-73.979877","5","4","96","1012607503","Midtown-Midtown South","2023-08-25T12:15:34.000"
"1037164","MANHATTAN","10022","499","Park Avenue","01313","0004","WTI0049092868","2021","1","Rosenwach Tank Co. LLC","Y","02/20/2021","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.762815","-73.969858","5","4","11203","1013130004","Turtle Bay-East Midtown","2023-08-25T12:15:25.000"
"1079453","MANHATTAN","10025","160","WEST 97 STREET","01851","0008","WTI5829274286","2015","1","ISSEKS BROS INC","Y","11/13/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.794233","-73.968673","7","7","181","1018510008","Upper West Side","2023-08-25T12:15:15.000"
"1057370","MANHATTAN","10025","610","WEST 115 STREET","01896","0032","WTI6482730694","2022","1","ISSEKS BROS INC","Y","10/27/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.807687","-73.96525","9","7","205","1018960032","Morningside Heights","2023-08-25T12:15:37.000"
"1028231","MANHATTAN","10023","2","W 67 ST","01119","0036","WTI8044811091","2018","1","ISSEKS BROS INC","Y","07/16/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.773205","-73.978713","7","6","153","1011190036","Lincoln Square","2023-08-25T12:15:23.000"
"1030011","MANHATTAN","10023","141","WEST   73 STREET","1145","12","WTI0997090518","2020","1","Rosenwach Tank Co. LLC","Y","02/25/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL Analytical","Y","B","A","A","Y","No","40.778624","-73.979527","7","6","157","1011450012","Lincoln Square","2023-08-25T12:15:24.000"
"1001410","MANHATTAN","10007","50","Murray Street","00126","0027","WTI3768638650","2018","2","Rosenwach Tank Co. LLC","Y","11/14/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.714113","-74.009548","1","1","21","1001260027","SoHo-TriBeCa-Civic Center-Little Italy","2023-08-25T12:15:11.000"
"1001068","MANHATTAN","10006","1","LIBERTY PLAZA","00062","7501","WTI5130140403","2018","1","ISSEKS BROS INC","Y","12/18/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.70943","-74.011102","1","1","13","1000627501","Battery Park City-Lower Manhattan","2023-08-25T12:15:22.000"
"1000025","MANHATTAN","10004","90","Broad Street","00010","0016","WTI9948762418","2022","1","Nalco Company","Y","11/05/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.703954","-74.011592","1","1","9","1000100016","Battery Park City-Lower Manhattan","2023-08-25T12:15:40.000"
"1020335","MANHATTAN","10016","207-215","East 37 Street","00918","0007","WTI5425952711","2021","2","American Pipe and Tank","Y","06/07/2021","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EBS","Y","B","A","A",,"No","40.747473","-73.97635","6","4","78","1009180007","Murray Hill-Kips Bay","2023-08-25T12:15:36.000"
"1085735","MANHATTAN","10017","200","PARK AVENUE","01280","9010","WTI7139092500","2018","4","ISSEKS BROS INC","Y","11/12/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVRIONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.754162","-73.976557","5","4","92","1012809010","Turtle Bay-East Midtown","2023-08-25T12:15:28.000"
"1087747","MANHATTAN","10022","250","East 53rd Street","01326","7501","WTI8251913346","2021","1","Rosenwach Tank Co. LLC","Y","12/02/2021","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.75722","-73.968265","6","4","98","1013267501","Turtle Bay-East Midtown","2023-08-25T12:15:40.000"
"1080707","MANHATTAN","10029","230","East 115th Street","01662","0001","WTI0077007027","2021","2","American Pipe and Tank","Y","10/28/2021","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EBS","Y","B","A","A",,"No","40.796689","-73.939208","11","8","180","1016620001","East Harlem North","2023-08-25T12:15:40.000"
"1015992","MANHATTAN","10018","49","West 38th street","00840","0013","WTI7115457362","2016","1","JMZ","Y","01/12/2016","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Ambient Group Inc","Y","B","A","A",,"No","40.751635","-73.984307","5","4","84","1008400013","Midtown-Midtown South","2023-08-25T12:15:20.000"
"1089803","MANHATTAN","10017","345","EAST 46 STREET","01339","7502","WTI0468932371","2021","1","ISSEKS BROS INC","Y","03/16/2021","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.751926","-73.96926","6","4","90","1013397502","Turtle Bay-East Midtown","2023-08-25T12:15:34.000"
"1077591","MANHATTAN","10002","40","MONROE STREET","253","1","WTI9349723712","2019","1","Rosenwach Tank Co. LLC","Y","05/16/2019","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.711555","-73.994579","3","1","8","1002530001","Chinatown","2023-08-25T12:15:38.000"
"3391008","BROOKLYN","11249","1","Northside Piers","2340","7501","WTI1341883185","2020","1","Rosenwach Tank Co. LLC","Y","11/18/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL Analytical","Y","B","A","A","Y","No","40.719221","-73.964188","1","33","555","3023407501","North Side-South Side","2023-08-25T12:15:43.000"
"1030185","MANHATTAN","10024","160","WEST   77 STREET","1148","56","WTI5013051776","2019","1","Rosenwach Tank Co. LLC","Y","05/10/2019","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.781333","-73.978082","7","6","161","1011480056","Upper West Side","2023-08-25T12:15:38.000"
"1001084","MANHATTAN","10005","55","Liberty Street","00064","0008","WTI4059766816","2022","1","American Pipe and Tank","Y","04/07/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ebs","Y","B","A","A",,"No","40.708692","-74.009508","1","1","1502","1000640008","Battery Park City-Lower Manhattan","2023-08-25T12:15:33.000"
"1041804","MANHATTAN","10075","52","east 77th street","01391","0054","WTI9396904006","2022","1","new york plumbing","Y","03/22/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ambient group inc","Y","B","A","A",,"No","40.774807","-73.962649","8","4","130","1013910054","Upper East Side-Carnegie Hill","2023-08-25T12:15:37.000"
