"permitno","expiration_date","companyname","city","state","zipcode","issuedate","permitprintdate","permittype","location","validdates","validtimes","platestate","reason","purpose","conditionrestrictions"
"172","2010-01-31T00:00:00.000","NYC DEPARTMENT OF HELATH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 26, 2009 - JANUARY 31, 2010","MONDAY - SUNDAY 7:00AM - 7:00PM","NY","SPECIAL REQUEST","OFFICAL CITY BUSINESS DELIVERY OF SUPPLIES","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR DELIVERY OF SUPPLIES FOR DOHMH ONLY.***"
"173","2010-01-31T00:00:00.000","NYC DEPARTMENT OF HELATH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 26, 2009 - JANUARY 31, 2010","MONDAY - SUNDAY 7:00AM - 7:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR DELIVERY OF SUPPLIES FOR DOHMH ONLY.***"
"174","2010-01-31T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 26, 2009 - JANUARY 31, 2010","MONDAY - SUNDAY 7:00AM - 7:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR DELIVERY OF SUPPLIES FOR DOHMH ONLY.***"
"175","2010-01-31T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 26, 2009 - JANUARY 31, 2010","MONDAY - SUNDAY 7:00AM - 7:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY  BUSINESS DELIVERY OF SUPPLIES","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR DELIVERY OF SUPPLIES FOR DOHMH ONLY.***"
"176","2010-01-31T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 26, 2009 - JANUARY 31, 2010","MONDAY  -  SUNDAY 7:00AM - 7:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR DELIVERY OF SUPPLIES FOR DOHMH ONLY.***"
"177","2010-01-31T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 26, 2009 - JANUARY 31, 2010","MONDAY - SUNDAY 7:00AM - 7:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR DELIVERY OF SUPPLIES FOR DOHMH ONLY.***"
"178","2010-01-31T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 26, 2009 - JANUARY 31, 2010","MONDAY  -  SUNDAY 7:00AM - 7:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR DELIVERY OF SUPPLIES FOR DOHMH ONLY.***"
"179","2010-01-31T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 26, 2009 - JANUARY 31, 2010","MONDAY - SUNDAY 7:00AM - 7:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR DELIVERY OF SUPPLIES FOR DOHMH ONLY.***"
"180","2010-01-31T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 26, 2009 - JANUARY 31, 2010","MONDAY - SUNDAY 7:00AM - 7:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR DELIVERY OF SUPPLIES FOR DOHMH ONLY.***"
"181","2010-01-31T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCOTBER 26, 2009 - JANUARY 31, 2010","MONDAY - SUNDAY 7:00AM - 7:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR DELIVERY OF SUPPLIES FOR DOHMH ONLY.***"
"182","2010-01-31T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 26, 2009 - JANUARY 31, 2010","MONDAY - SUNDAY 7:00AM - 7:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR DELIVERY OF SUPPLIES FOR DOHMH ONLY.***"
"183","2010-01-31T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 26, 2009 - JANUARY 31, 2010","MONDAY - SUNDAY 7:00AM - 7:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS"
"184","2010-01-31T00:00:00.000","NYC  DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 26, 2009 - JANUARY 31, 2010","MONDAY - SUNDAY 7:00AM - 7:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES","MAY PARK IN ALL NO PARKING ZONES  ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR DELIVERY OF SUPPLIES FOR DOHMH ONLY.***"
"185","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"186","2010-02-28T00:00:00.000","NYC DEPARTMENT OF MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/ SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"187","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009  - FEBRUARY  28, 2010","MONDAY -SUNDAY 7:00PM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"188","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY -SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS &TEAM SEPERVISORS FOR DOHMH ONLY.***"
"189","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-22T00:00:00.000","2009-10-22T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28,2010","MONDAY -  SUNDAY  7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS;  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"190","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"191","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM",,"SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS;  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"192","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"193","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"194","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOUR; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"195","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2,2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"196","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"197","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"198","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"199","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/ SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"200","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"201","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.**PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS  FOR DOHMH ONLY.***"
"202","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"203","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"204","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISIORS FOR DOHMH ONLY.***"
"205","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10016","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"206","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"207","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.**PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"208","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 1009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM",,"SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.**8PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
"209","2010-02-28T00:00:00.000","NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE","NEW YORK","NY","10013","2009-10-23T00:00:00.000","2009-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 2, 2009 - FEBRUARY 28, 2010","MONDAY - SUNDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***"
