"job_number","filing_type_name","filing_number","filing_status_name","permit_number","filing_date","permit_issued_date","permit_expiration_date","laasign_off_date","work_type_name","location_bin","location_house_no","location_street_name","location_borough_name","proposed_work_summary","building_type_name","inspection_type_name","inspection_date","latitude","longitude","zip_code","community_board","council_district","census_tract","nta"
"B08043154","New Job Filing","I1","Pre-Filing - Penalty Review",,,,"2022-12-31T00:00:00.000",,"Water Plumbing Work","3336668","40","VAN DYKE STREET","BROOKLYN","(SIX POINT BREWERY) ON THE 1ST FLOOR FRONT, INSTALL (1) 3/4 inches WATTS LF009M3QT LEAD-FREE RPZ DEVICE, DRAINING INTO EXISTING TROUGH DRAIN  TO EXISTING HOUSE TRAP AS PER DEP APPROVAL# 22092811 USING APPROX 25 FT OF 3/4 inches COPPER PIPE. INSTALLATION IN COMPLIANCE WITH NYC PC SECTION 608.1.  FIRESTOPS WILL NOT BE COMPROMISED.","Other",,,"40.673943","-74.01216","11231","6","38","53","Carroll Gardens-Columbia Street-Red Hook"
"X00637531","New Job Filing","I1","Permitted","X00637531-I1-LA","2021-11-24T00:00:00.000","2021-11-24T00:00:00.000","2023-02-28T00:00:00.000",,"Gas Plumbing Work","2002730","201","EAST  165 STREET","BRONX","EWN-M-00637230 Due to con ed shut down in basement will replace approximately 4ft of 4 inch gas piping for boiler Originally filed on 200426306 and HW Maker originally filed PRS-2211-80 . Con Edison witnessed gas rough, test and finish from meter in basement boiler and  hw maker and restored gas on 11/24/21 at 3:18PM. No further gas test required. No gas pipe in public hallway. Firestop was not compromised as per NYC code","Other",,,"40.830294","-73.918815","10456","4","16","18102","East Concourse-Concourse Village"
"X08043685","New Job Filing","I1","Pre-Filing",,,,"2023-01-30T00:00:00.000",,"Water Plumbing Work","2046404","1880","HUTCHINSON RIV PARKWAY","BRONX","ON BASEMENT, FIRST AND SECOND FLOOR, WE feetLL REPLACE THE EXISTING 40 feet OF 4 inches UNDERGROUND CAS IRON PIPE. ADDITTIONALLY WE WILL REPLACE 55 feet OF 4 inches CAST IRON PIPE FROM BASEMENT TO ATTIC, AND 120 feet OF 2 inches VENT. WE feetLL REPLACE BACK THE EXISTING PLUMBING FIXTURES. BASEMENT (1) ONE LAVATORY, (1) ONE WATER CLOSET, (1) STALL SHOWER. FOR 1ST & 2ND FLOOR(2) TWO SINKS, (2) TWO LAVATORIES, (2) TWO WATER CLOSETS, (2) TWO TUBS. NO CHANGE OF USE, EGRESS OR OCCUPANCY.","2 Family",,,"40.849188","-73.835842","10461","10","13","26601","Pelham Bay-Country Club-City Island"
"M08014912","New Job Filing","I1","Permitted","M08014912-I1-LA","2022-10-04T00:00:00.000","2022-10-04T00:00:00.000","2023-02-01T00:00:00.000",,"Oil Work","1036447","150","EAST   50 STREET","MANHATTAN","Installation of a temporary mobile steam trailer outside the building to provide temporary heat and hot water. Mobile boiler is a 100HP boiler registration #MD161161 07. In conjunction with electrical application #M08014872-EL.","Other",,,"40.75623","-73.971752","10022","6","4","100","Turtle Bay-East Midtown"
"Q08031550","PAA","P1","Corrections Under Review",,"2022-12-05T00:00:00.000",,,,"Gas Plumbing Work","4303044","69-21","BURCHELL AVENUE","QUEENS","REGISTER / REPLACE BOILER AND HWH IN BASEMENT , BOTH VENTED THROUGH EXISTING CHIMNEY. REPIPE EXISTING METER BANK FOR 2 EXISTING GAS  METERS IN BASEMENT. REPIPE GAS PIPE TO BOILER & HWH. REPIPE TO STOVE LOCATION OF APT # 1 ON 1ST FLOOR ,AND  TO APT # 2 STOVE IN 2ND FLOOR. APPROX 40 FT 0F 1-1/4 inches & 50 FT OF 3/4 inches PIPE TO BE INSTALLED. GAS TO BOILER AND HWH CONNECTED TO APT # 2  GAS SHUT OFF BY UTILITY CO FOR LEAKS IN GAS PIPE. NO FIRE STOPS TO BE DISTURBED . NO GAS PIPE IN PUBLIC HALLWAY","2 Family",,,"40.596134","-73.799253","11692","14","31","954","Hammels-Arverne-Edgemere"
"M00682819","New Job Filing","I1","Permitted","M00682819-I1-LA","2022-02-18T00:00:00.000","2022-02-18T00:00:00.000","2023-02-10T00:00:00.000",,"Water Plumbing Work","1056607","924","WEST END AVENUE","MANHATTAN","REPLACE ON EXISTING ROUGHING (2) LAVS, (2) TOILETS, (1) TUB, (1) SHOWER, (1) KITCHEN SINK & (1) DISHWASHER. REPLACE APPROX 45 feet OF 3/4 inches COPPER PIPE. RELOCATE (1) WASHER & RUN APPROX 10 feet OF 2 inches WASTE/VENT PIPE & APPROX 15 feet OF 1/2 inches COPPER PIPE. REMOVE & CAP GAS LINE & STOVE & REPLACE W/ ELECTRIC STOVE. ELECTRIC PERMT #M0067997-I1-EL. METER WILL BE REMOVED. FIRESTOPS NOT COMPROMISED. ALL WORK DONE IN APT #92 ON THE 9TH FL","Other",,,"40.800969","-73.968815","10025","7","6","191","Upper West Side"
"Q00743739","New Job Filing","I1","Permitted","Q00743739-I1-LA","2022-05-23T00:00:00.000","2022-05-23T00:00:00.000","2023-05-01T00:00:00.000",,"Gas Plumbing Work","4002499","43-08","40 STREET","QUEENS","DUE TO GAS SHUTDOWN BY UTILITY CO, WILL TEST EXISTING GAS LINES FEEDING 1-RES STOVE IN APT 6L ON 6TH FL & 1-RES STOVE IN APT 1D ON 1ST FL. WILL REPLACE APPROX 30 feet OF 3/4 inches GAS PIPE & FITTINGS IN CELLAR ONLY FOR EACH APT & INSTALL 1-NEW METER BAR ON EXIST METER FOR APT 6L. REPLACE 3/4 inches GAS VALVES IN APTS. NO GAS PIPE IN PUBLIC HALLWAYS. FIRESTOPS WILL NOT BE COMPROMISED.","Other",,,"40.745222","-73.923993","11104","2","26","18101","Hunters Point-Sunnyside-West Maspeth"
"Q00776583","New Job Filing","I1","Signed off","Q00776583-I1-LA","2022-07-18T00:00:00.000","2022-07-18T00:00:00.000","2023-07-18T00:00:00.000","2022-11-19T00:00:00.000","Oil Work","4206748","8900","SUTPHIN BOULEVARD","QUEENS","remove 2 - 275 temp oil tank above ground installed by others no other work or equipment to be done under this application","Other","Pass-Final","2022-11-18T00:00:00.000","40.703702","-73.808746","11435","12","24","240","Jamaica"
"Q00768199","New Job Filing","I1","Signed off","Q00768199-I1-LA","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","2023-05-01T00:00:00.000","2022-08-06T00:00:00.000","Gas Plumbing Work","4440145","144-18","78 AVENUE","QUEENS","DUE TO INACTIVITY, WE WILL TEST EXISTING GAS LINE FEEDING 1-RES STOVE IN APT 1P ON 1ST FLOOR. PAA TO FOLLOW IF ANY GAS REPAIRS ARE REQUIRED. METER LOCATED AT 144-22 78 AVE. NO GAS PIPE IN PUBLIC HALLWAYS. FIRESTOPS WILL NOT BE COMPROMISED.","Other","Pass-Final","2022-08-05T00:00:00.000","40.720188","-73.81774","11367","8","24","77904","Kew Gardens Hills"
"B08006576","New Job Filing","I1","Permitted","B08006576-I1-LA","2022-09-20T00:00:00.000","2022-09-20T00:00:00.000","2023-02-01T00:00:00.000",,"Oil Work","3326174","390","WILSON AVENUE","BROOKLYN","INSTALLATION OF A TEMPORARY MOBILE STEAM TRAILER OUTSIDE THE BUILDING TO PROVIDE TEMPORARY HEAT AND HOT WATER. MOBILE BOILER IS A 50HP BOILER REGISTRATION #MD161161 03. IN CONJUNCTION WTH ELECTRICAL APPLICATION # B08006505.","Other",,,"40.694624","-73.91505","11221","4","37","417","Bushwick South"
"B-08049629","New Job Filing","EWN","Pre-Filing",,,,,,,"3173354","1365","WEST    7 STREET","BROOKLYN","WORK PERFORMED FOR HPD. GAS SHUTED DOWN BY NATIONAL GRID. INTEGRITY TEST EXISTING GAS PIPEING FROM  EX METER IN CELLAR TO EXISTING STOVE ON APT 4D ON 4TH FLOOR. LAA FILING TO FOLLOW.",,,,"40.612415","-73.981523","11204","11","44","432","Bensonhurst East"
"M00760767","New Job Filing","I1","Permitted","M00760767-I1-LA","2022-06-20T00:00:00.000","2022-06-20T00:00:00.000","2023-04-01T00:00:00.000",,"Water Plumbing Work","1051339","1680","YORK AVENUE","MANHATTAN","To correct filing on old Job# 140699126 (filed by others).  DEP  inchesAs-Built inches plans re-filed for existing (1) 4 inches Wilkins 375A (RPZ) (UL# EX3958) on existing domestic water line and  (1) 6 inches Wilkins 350ADA (DCDA) (UL# EX3958) on existing fire sprinkler service, both devices located in Cellar.  RPZ is draining to existing 3 inches inch waste stack and DCDA is draining to existing 3 inches floor drain.  DEP Approval # 22090598.","Other",,,"40.777444","-73.946003","10128","8","5","14402","Yorkville"
"Q08049805","New Job Filing","I1","Pre-Filing",,,,"2023-04-01T00:00:00.000",,,"4431479","43-45","ELBERTSON STREET","QUEENS","IN THE CELLAR WE WILL REGISTER BOILER & HW HEATER","3 Family",,,"40.744751","-73.872401","11373","4","25","463","Elmhurst"
"B08045054","New Job Filing","I1","Permitted","B08045054-I1-LA","2022-11-23T00:00:00.000","2022-11-23T00:00:00.000","2023-10-01T00:00:00.000",,"Oil Work","3029220","389","STERLING PLACE","BROOKLYN","SUPERCED PERMIT #301314833 REPLACEMENT OF ONE OIL BOILER/OIL BURNER WITH A PEERLESS EC/ECT5(UL700-26) WITH A BTU INPUT OF 336000 WITH A CARLIN OIL BURNER (ULNH27640) CONNECTING TO EXISTING MAINS AND FEED LINES VENTING THRU EXISTING CHIMNEY NO OTHER WORK OR EQUIPMENT TO BE DONE UNDER THIS APPLICATION","2 Family",,,"40.675039","-73.965312","11238","8","35","207","Prospect Heights"
"B08004445","PAA","P2","Approved",,"2022-12-05T00:00:00.000",,,,"Gas Plumbing Work","3329097","2116","86 STREET","BROOKLYN","FILING TO REPLACE GAS BOILER (CROWN BOILER, MODEL # AWR070BNST3PSU 70,000 BTUS)  IN CEL AND TO REMOVE FUTURE TEE OFF BOILER GAS LINE. GAS END USES ARE FOR HEAT AND HOT WATER. EXISTING HOTWATER HEATER ON SAME GAS LINE. GAS RISER IS FROM CEL-CEL, 1 METER. GAS ROUGH,TEST AMD FINISH NEEDED.","Other",,,"40.603034","-73.995679","11214","11","47","290","Bensonhurst West"
"B07994192","New Job Filing","I1","Permitted","B07994192-I1-LA","2022-08-26T00:00:00.000","2022-08-26T00:00:00.000","2023-07-01T00:00:00.000",,"Oil Work","3125540","352","EAST    8 STREET","BROOKLYN","REPLACE BURNER (POWERFLAME, C2-GO-15, CSA 1521-02) ON EXISTING BOILER (FEDERAL, FST-40, 1,610,000 BTU INPUT, UL MH16064, CONNECTED TO THE EXISTING CHIMNEY-LINED & IN GOOD CONDITION- LOCATED IN THE CELLAR/BOILER ROOM.  EXISTING EQUIPMENT SIGNED OFF ON 340662615.","Other",,,"40.641628","-73.971289","11218","12","40","494","Kensington-Ocean Parkway"
"Q08049888","New Job Filing","I1","Permitted","Q08049888-I1-LA","2022-12-05T00:00:00.000","2022-12-05T00:00:00.000","2023-02-25T00:00:00.000",,"Gas Plumbing Work","4530266","212","BEACH   26 STREET","QUEENS","ON THE 1ST AND 2ND FL, REPLACE ON EXISTING ROUGHING (2) STOVE & FLEX (METER IS EXISTING) GAS VALVES NOT TO BE TOUCHED. FIRESTOPS WILL NOT BE COMPROMISED.","3 Family",,,"40.595449","-73.759635","11691","14","31","99802","Far Rockaway-Bayswater"
"M08018124","New Job Filing","I1","Permitted","M08018124-I1-LA","2022-10-10T00:00:00.000","2022-10-10T00:00:00.000","2023-02-28T00:00:00.000",,"Oil Work","1076070","135","EAST   12 STREET","MANHATTAN","INSTALLATION OF (1) TEMPORARY MOBILE BOILER- CLEAVERBROOKS MODEL CB 200-300 (12,530,000 BTU feets), Reg#20000000395N1111, TO PROVIDE HEAT&HOT WATER DURING REPAIRS OF THE EXISTING DEFECTIVE EQUIPMENT. ELECTRICAL APPLICATION FILED UNDER #M08017388-I1-EL.MOBILE BOILER WILL BE PARKED OUTSIDE OF BUILDING FOR APPROXIMATELY 3 MONTHS.","Other",,,"40.732453","-73.989291","10003","3","2","42","East Village"
"Q-00788867","New Job Filing","EWN","Pre-Filing",,,,,,,"4117155","42-60","BOWNE STREET","QUEENS","TO CONDUCT A REPAIRT  ON THE HEATER SERVICE DUE TO GAS LEAK . WILL NOT BE INVOLVED  NYC DEPARTMENT OF BUILDINGS DUE TO  THEY HAVE  NOT JURIDICTION ON THAT SIZE OF PIPING. AS PER DOT TASK 87/86. CODE.",,,,"40.755894","-73.820739","11355","7","20","859","Flushing"
"Q00516543","New Job Filing","I1","Signed off","Q00516543-I1-LA","2021-05-11T00:00:00.000","2021-05-11T00:00:00.000","2023-05-01T00:00:00.000","2022-07-27T00:00:00.000","Water Plumbing Work","4460344","75-40","255 STREET","QUEENS","ON THE 3RD FLOOR WE WILL REPLACE EXISTING WASHER/DRYER FILED UNDER ALT#420565212 WITH NEW. DRYER VENTED THRU THE WALL. THIS IS A DIRECT REPLACEMENT; GAS TO GAS REPLACEMENT (NO GAS TEST REQUIRED). FIRESTOPS WILL NOT BE COMPROMISED.","Other","Pass-Final","2022-07-26T00:00:00.000","40.746022","-73.716008","11004","13","23","155102","Glen Oaks-Floral Park-New Hyde Park"
"B08035869","New Job Filing","I1","Permitted","B08035869-I1-LA","2022-11-07T00:00:00.000","2022-11-07T00:00:00.000","2023-07-01T00:00:00.000",,"Oil Work","3025486","75","PROSPECT PARK WEST","BROOKLYN","EWN: B08035460; REPLACE BOILER (INDUSTRIAL STEAM BOILER, ISB-3-60, 2,380,000 BTU INPUT, UL MH62376) ON EXISTING BURNER (INDUSTRIAL COMBUSTION, VLG25, UL MP1473) TO REMAIN, CONNECTED TO EXISTING CHIMNEY LINED & IN GOOD CONDITION LOCATED IN THE CELLAR/BOILER ROOM. EXISTING EQUIPMENT SIGNED OFF ON 320542481. ADDITIONAL COST TO BE PICKED UP ON PW1 & ASSOCIATED PW2 TO BE FILED WITHIN 30 DAYS.","Other",,,"40.667998","-73.974028","11215","6","39","165","Park Slope-Gowanus"
"M00630147","New Job Filing","I1","Signed off","M00630147-I1-LA","2021-11-16T00:00:00.000","2021-11-16T00:00:00.000","2023-03-08T00:00:00.000","2022-03-15T00:00:00.000","Water Plumbing Work","1036498","150","EAST   55 STREET","MANHATTAN","REMOVE & CAP (3) TOILETS, (3) LAVS & (1) SHOWER STALL ON THE 6TH FL. PREVIOUSLY FILED UNDER #110133560-02-PL. EXISTING MAIN BATHROOM TO REMAIN.","Other","Pass-Final","2022-03-14T00:00:00.000","40.759378","-73.969516","10022","6","4","100","Turtle Bay-East Midtown"
"M00505458","New Job Filing","I1","Signed off","M00505458-I1-LA","2021-04-16T00:00:00.000","2021-04-16T00:00:00.000","2023-04-01T00:00:00.000","2022-11-26T00:00:00.000","Water Plumbing Work","1014573","151","WEST   16 STREET","MANHATTAN","Install (1)  new backflow prevention assemblies in cellar.  (1) 4 inches deringer 40 (UL# 26602) on existing domestic water service.  Install 2 inches gravity drain line connecting to existing 4 inches waste line.   DEP approval #20085827.","Other","Pass-Final","2022-11-25T00:00:00.000","40.739299","-73.997308","10011","4","3","81","Hudson Yards-Chelsea-Flatiron-Union Square"
"Q08010017","New Job Filing","I1","Permitted","Q08010017-I1-LA","2022-09-26T00:00:00.000","2022-09-26T00:00:00.000","2023-05-01T00:00:00.000",,"Gas Plumbing Work","4002430","41-12","39 PLACE","QUEENS","DUE TO LEAK & ILLEGAL FITTINGS FOUND ON GAS LINES. REPLACE APPROX 130 feet OF 3/4 inches GAS PIPE FROM THE EXISTING METERS IN CELLAR TO THE EXISTING STOVES IN APT A5 ON THE 1ST FLOOR, B5 ON THE SECOND FLOOR & APT C5 ON THE 3RD FL. FOR COOKING ONLY. FIRESTOPS WILL BE RESTORED. PIPE THRU APTS & NOT IN HALLWAYS.","Other",,,"40.747061","-73.924572","11104","2","26","179","Hunters Point-Sunnyside-West Maspeth"
"B00748875","New Job Filing","I1","Withdrawn","B00748875-I1-LA","2022-06-01T00:00:00.000","2022-06-01T00:00:00.000","2023-06-01T00:00:00.000",,"Oil Work","3136585","983","46 STREET","BROOKLYN","TO PLACE A TEMPORARY MOBILE BOILER UNIT AND TO REMOVE UPON COMPLETION OF OUR WORK.   (LOCATED GROUND FLOOR/OUTSIDE), TO PROVIDE HOT WATER TO A MULTI-RESIDENTIAL UNIT BUILDING. BOILER: FEDERAL FST-60 (BOILER REGISTRATION #102582-01) UL MH 16064; 2,520,000 BTU INPUT. BURNER: CARLIN 801-CRD; UL MP 1868. THERE IS A CURRENT PASSED BOILER INSPECTION ON FILE. AN ELECTRICAL PERMIT HAS BEEN FILED UNDER PERMIT # B00748221-I1-EL.","Other",,,"40.641055","-73.99755","11219","12","38","112","Sunset Park East"
"Q00366285","New Job Filing","I1","Permitted","Q00366285-I1-LA","2020-07-03T00:00:00.000","2020-07-03T00:00:00.000","2021-07-03T00:00:00.000",,"Gas Plumbing Work","4440258","20 50","SEAGIRT BOULEVARD","QUEENS","IN APT 3F/3RD FL, REPLACE 1-KITCHEN SINK & 1-DISHWASHER. IN APT 3F/3RD FL & 5E/5TH FL, REPLACE 2-WATER CLOSET & 2-LEADBEND. REPLACE 2-LAV, 2-TRIP LEVER & 2-SHOWER BODY. RUN APPROX feet 30 feetX3/4 inches & 60 feetX1/2 inches COPPER PIPE FOR H/C WATER BRANCHES.","Other",,,"40.595247","-73.756424","11691","14","31","99801","Far Rockaway-Bayswater"
"Q08022345","PAA","P1","Approved",,"2022-12-05T00:00:00.000",,,,"Gas Plumbing Work","4139679","138-25","60 AVENUE","QUEENS","FILING LAA BY THE REQUEST OF UTILITY COMPANY TO PERFORM REPAIR WORK ON UTILITY COMPANY EXTENSION SERVICE PRIOR TO METER. ConEd RED TAG # QL22009867.  AND PERFORM GAS INTEGRITY TEST ON EXISTING 1 METER @ CEL. REPLACING 40 FEET OF BLACK PIPE ON RISER FROM CEL TO 001. GAS END USE 1-BOILER (WILLIAMSON GSA-125-N-SP), 1-HWH (AO SMITH XCR-40-400) , AND 1-STOVE.","1 Family",,,"40.743344","-73.827315","11355","7","20","80301","Queensboro Hill"
"B08007777","New Job Filing","I1","Signed off","B08007777-I1-LA","2022-09-21T00:00:00.000","2022-09-21T00:00:00.000","2023-08-27T00:00:00.000","2022-12-06T00:00:00.000","Fire Suppression Work","3002248","32","COURT STREET","BROOKLYN","Location 1st fl.: rearrange 5 sprinkler heads light hazard. Use approx. 50 feet of 1 inches pipe for all sprinkler heads. Connect to wet type fire system. Associated GC job #B00772720. No fire stopping to be compromised. No change in use, egress or occupancy. The system will be offline 6 hours. No Fire Department notice is required.","Other","Pass-Final","2022-12-05T00:00:00.000","40.693014","-73.990758","11201","2","33","9","Brooklyn Heights-Cobble Hill"
"X00754803","New Job Filing","I1","Permitted","X00754803-I1-LA","2022-06-09T00:00:00.000","2022-06-09T00:00:00.000","2023-06-09T00:00:00.000",,"Oil Work","2056265","3230","CRUGER AVENUE","BRONX","AT OSP WE WILL INSTALL TEMP MOBILE BOILER IN ORDER TO PROVIDE TENANTS WITH HOT WATER. BOILER: BEST; MDL#5B-125 - BURNER: ICI; MDL#MMG-54P BURNER. BOILER/BURNER BTU feetS 5,040,000. ELECTRICAL PERMIT #X00754488-EL (SEE ATTACHED).  NYC DOB BL #20000201641N0006. FIRESTOPS WILL NOT BE COMPROMISED.","Other",,,"40.872255","-73.866129","10467","12","15","374","Williamsbridge-Olinville"
"M00794792","New Job Filing","I1","Permitted","M00794792-I1-LA","2022-08-17T00:00:00.000","2022-08-17T00:00:00.000","2023-04-30T00:00:00.000",,"Water Plumbing Work","1000804","45","BROADWAY","MANHATTAN","Location: 26th fl. (marked as 27th): Install (1) new lavatory sink and (1) new water closet. No firestopping to be compromised.","Other",,,"40.706397","-74.012829","10006","1","1","13","Battery Park City-Lower Manhattan"
"Q00735701","New Job Filing","I1","Signed off","Q00735701-I1-LA","2022-05-11T00:00:00.000","2022-05-11T00:00:00.000","2023-05-01T00:00:00.000","2022-08-16T00:00:00.000","Water Plumbing Work","4037494","83-40","BRITTON AVENUE","QUEENS","IN THE CELLAR, INSTALL (1) 4 inches WILKINS 375 RPZ DEVICE, DRAINING INTO EXISTING GRAVITY WASTE STACK, USING APPROX 70 FT OF 4 inches COPPER WATER PIPE & 10 FT OF 4 inches DRAIN PIPE. ALSO IN THE PARKING GARAGE CELLAR, INSTALL (1) WILKINS 350DA OS&Y DCDA USING APPROX 6 FT OF 4 inches STEEL PIPE (NO DRAINAGE NECESSARY FOR DCDA) AS PER DEP APPROVAL# 21088491. INSTALLATION IN COMPLIANCE WITH NYC PC SECTION 608.1.  FIRESTOPS WILL NOT BE COMPROMISED.","Other","Pass-Final","2022-08-15T00:00:00.000","40.744209","-73.881522","11373","4","25","271","Elmhurst"
"B00726380","PAA","P1","Objections",,"2022-11-21T00:00:00.000",,,,"Gas Plumbing Work","3036480","1328","PARK PLACE","BROOKLYN","IN CELLAR, REGISTER REPLACEMENT BOILER AND HOT WATER HEATER. BOTH VENTS THRU EXISTING LINED CHIMNEY. FROM METER BAR, REPLACE APROX. 60 feet OF 1-1/4 inches GAS PIPE AND APROX 20 feet OF 3/4 inches GAS PIPE TO BLR & HW HTR. NO GAS PIPE WILL BE INSTALLED IN ANY PUBLIC SPACE AND FIRESTOPS WILL BE RESTORED.","Other",,,"40.67248","-73.933045","11213","8","36","345","Crown Heights North"
"Q-08042661","New Job Filing","EWN","Expired",,"2022-11-18T00:00:00.000",,"2022-11-22T00:00:00.000",,,"4035581","85-10","34 AVENUE","QUEENS","Repair leak at service piping due to utility shut down for heat and hot water only.",,,,"40.754038","-73.882038","11372","3","25","281","Jackson Heights"
"M00295869","PAA","P1","Approved",,"2021-03-12T00:00:00.000",,,,"Gas Plumbing Work","1041210","801","MADISON AVENUE","MANHATTAN","SUPERSEDE PERMIT# 140333422 TO REGISTER EXISTING WEIL MCLAIN BOILER MODEL# ULTRA 299  BTU INPUT 299,000 CSA# 1502-81 AND A.O. SMITH HWH MODEL# GCV-40, 40 GAL BTU INPUT 40,000 CSA#2901-85 BOILER AND HWH IS LOCATED ON THE ROOF FILED UNDER PERMIT#123341847.GAS LINES FOR BOILER AND HWH  WILL BE TESTED.NO FIRESTOPPING WILL BE COMPROMISED.WE ARE NOT WORKING ON GAS PIPING FOR COOKING.","Other",,,"40.768883","-73.967541","10065","8","4","122","Upper East Side-Carnegie Hill"
"M08023606","New Job Filing","I1","Signed off","M08023606-I1-LA","2022-10-19T00:00:00.000","2022-10-19T00:00:00.000","2022-12-26T00:00:00.000","2022-11-23T00:00:00.000","Water Plumbing Work","1030007","175","WEST   73 STREET","MANHATTAN","FILLING LAA TO REPLACE ONE 3 PCS BATHROOM (1 LAVATORY, 1 TOILET & 1 SHOWER) ON EXISTING ROUGHING. ALL WORK TO BE DONE ON THE 9TH FLOOR ON APARTMENT 9J. NO FIRE STOPS COMPROMISED.","Other","Pass-Final","2022-11-22T00:00:00.000","40.778915","-73.980217","10023","7","6","157","Lincoln Square"
"M08043857","New Job Filing","I1","Permitted","M08043857-I1-LA","2022-11-22T00:00:00.000","2022-11-22T00:00:00.000","2023-03-29T00:00:00.000",,"Water Plumbing Work","1041128","27","EAST   65 STREET","MANHATTAN","TO REPLACE ON EXISTING ROUGHING A KITCHEN SINK, DISHWASHER, WATER CLOSET, AND A LAVATORY IN APT 8B ON THE 8TH FLOOR. FIRE STOPPING WILL NOT BE COMPROMISED. ALL WORK DONE IN APT 8B.","Other",,,"40.767255","-73.968441","10065","8","4","122","Upper East Side-Carnegie Hill"
"X08042504","New Job Filing","I1","Permitted","X08042504-I1-LA","2022-11-22T00:00:00.000","2022-11-22T00:00:00.000","2023-11-16T00:00:00.000",,"Gas Plumbing Work","2090354","545","EAST  142 STREET","BRONX","repair gas leak on 1/2 inch union after the unit shut off valve","Other",,,"40.809973","-73.916434","10454","1","8","41","Mott Haven-Port Morris"
"X00648722","New Job Filing","I1","Permitted","X00648722-I1-LA","2021-12-15T00:00:00.000","2021-12-15T00:00:00.000","2022-12-31T00:00:00.000",,"Water Plumbing Work","2007550","1854","MONROE AVENUE","BRONX","Filing to replace (26) existing kitchen sinks and bathrooms on existing lines. Work on all (26) apts floors cell thru 05. There are (5) apts each on floors 01 thru 05, and (1) cellar apt. Cellar apt and fixtures existing as per application 200218415.(uploaded sched B with DPL1).","Other",,,"40.848062","-73.906146","10457","5","15","23302","Mount Hope"
"Q00779033","New Job Filing","I1","Signed off","Q00779033-I1-LA","2022-07-21T00:00:00.000","2022-07-21T00:00:00.000","2023-05-31T00:00:00.000","2022-11-23T00:00:00.000","Water Plumbing Work","4052425","109-05","72 AVENUE","QUEENS","INSTALL (1) NEW 4 inches WATTS LF957 RPZ IN THE BASEMENT AS REQUESTED BY DEP. CONNECT TO EXISTING SERVICE. DEP APPROVAL #22091417. INSTALL (1) NEW 2 inches INDIRECT DRAIN & CONNECT TO EXISTING SANITARY WASTE. RUN APPROXIMATELY 15 FEET OF 2 inches NO HUB PIPING. MEA # NOT REQUIRED.","Other","Pass-Final","2022-11-22T00:00:00.000","40.720767","-73.84162","11375","6","29","739","Forest Hills"
"X08036641","PAA","P1","Objections",,"2022-11-10T00:00:00.000",,,,"Gas Plumbing Work","2024856","1206","LELAND AVENUE","BRONX","FILE TO  REPLACE (1) BOILER & (1) HOT WATER HEATER IN BASEMENT VENTED TO EXISTING GOOD CONDITION CHIMNEY.  INSTALL APPROX (30) FT OF 3/4 inches  & 10 FT OF 1 inchesBLK PIPE ROUTE IN BASEMENT TO 1ST FL AND REPLACE (2) METER BARS (1) FOR 1ST FL APT HEAT,COOK  & HWH AND  (1) FOR 2ND FL APT  COOK, THERE IS NO GAS PIPING IN HALLWAY FIRE STOPS WILL RESTORE TO NYC CODE  INTEGRITY TEST GAS LINE AMEND TO CORRECT AUDIT COMMENTS","3 Family",,,"40.830766","-73.863227","10472","9","18","72","Soundview-Bruckner"
"X00781901","New Job Filing","I1","Revoked","X00781901-I1-LA","2022-07-26T00:00:00.000","2022-07-26T00:00:00.000","2022-09-08T00:00:00.000",,"Gas Plumbing Work","2056112","3021","YOUNG AVENUE","BRONX","REM.V.#35484303Z, CAP & REM.ILLEGAL:W/W LINE FOR 3-PC B:(1-TOILET, 1-LAV, 1-SHOWER),1-RES.SINK & GAS LINE TO ILLEGAL 1-GAS STOVE@CEL, RESTORE TO PRIOR LEGAL CONDITION. REG/REPL OF 1-GAS HWH@CEL, RUN APPROX 50 feetx1 inches GAS PIPE FROM M.BAR TO BL ROOM, RUN 1-SEC.OF APPROX 10 feetx3/4 inches GAS PIPE FOR HWH@CEL, VENTED THRU EXG.CHIMNEY, FIRESTOPS WILL BE COMPROMISED & RESTORED. UPG.1-M.BAR TO 1 inches@CEL FEEDING 1-HWH@CEL & 1-EXG.GAS STOVE@1FL ONLY. HEAT IS OIL.","2 Family",,,"40.869935","-73.847986","10469","11","12","350","Allerton-Pelham Gardens"
"M08038720","PAA","P1","Corrections Under Review",,"2022-11-22T00:00:00.000",,,,"Gas Plumbing Work","1008792","716","BROADWAY","MANHATTAN","Test, Repair replace piping as need to restore cooking gas to 5 apartments. Replace appliance shut off valves on appliances. Replace approximately 70 feet of 2 inches schedule 40 black pipe and fitting. Replace approximately 20 feet of 3/4 inches schedule 40 black pipe and fittings. All firestops will be restored.","Other",,,"40.729091","-73.993664","10003","2","2","57","West Village"
"Q08040832","New Job Filing","I1","Permitted","Q08040832-I1-LA","2022-11-22T00:00:00.000","2022-11-22T00:00:00.000","2023-03-31T00:00:00.000",,"Gas Plumbing Work","4009115","30-80","35 STREET","QUEENS","IN THE CELLAR WE WILL REPLACE THE  BOILER. GAS TO GAS NOT TOUCHING THE GAS VALVE. CONNECTED TO EXISTING CHIMNEY IN GOOD WORKING CONDITION. FIRESTOPS WILL NOT BE COMPROMISED.","Other",,,"40.763705","-73.919579","11103","1","22","63","Astoria"
