"agency","beginning_of_reporting_period","end_of_reporting_period","people_served","applications_distributed","applications_sent_to_boe","staff_trained","agency_weblink_to_nyc_votes","web_clicks"
"Health and Mental Hygiene","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","0","226","0","0","Y","103"
"Homeless Services","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","N/A","N/A","0","N/A","Y","N/A"
"Housing Preservation and Development","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","N/A","N/A","N/A","1","Y","N/A"
"Human Resources Administration","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","1902670","343,126","3,132","217","Y","N/A"
"Human Rights Commission","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","2403","2","0","29","Y","48"
"Parks and Recreation","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","0","0","0","0","Y","140"
"Probation","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","1022","0","0","15","Y","60"
"Records and Information Services","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","8","0","0","3","Y","8"
"Small Business Services","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","41632","5","0","50","Y","N/A"
"Taxi and Limousine","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","22784","200","0","605","Y","115"
"Transportation","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","13534","13,534","N/A","N/A","Y","271"
"Youth and Community Development","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","23270","4,082","448","55","Y","0"
"Aging","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","161373","10","2","500","Y","28"
"Business Integrity Commission","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","0","0","0","5","Y","1"
"Children's Services","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","23136","500","N/A","181","Y","39"
"City Planning","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","3864","3,864","0","5","Y","5"
"Citywide Administrative Services","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","N/A","N/A","0","0","Y","2"
"Civilian Complaint Review Board","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","1313","1,313","0","1","Y","N/A"
"Consumer and Worker Protection","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","8315","6,365","11","6","Y","70"
"Correction","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","7900","7,900","348","20","Y","22"
"Cultural Affairs","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","3900","3,900","0","6","Y","9"
"Environmental Protection","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","6820","6,728","92","2","Y","N/A"
"Finance","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","N/A","19,576","N/A","5","Y","2,308"
"Fire","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","62566","12","2","17","Y","26"
"Health and Mental Hygiene","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","443","443","0","0","Y","98"
"Homeless Services","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","N/A","3,490","113","40","Y","45"
"Housing Preservation and Development","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","N/A","N/A","N/A","1","Y","N/A"
"Human Resources Administration","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","2114906","303,023","3,091","339","Y","13"
"Human Rights Commission","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","4721","366","0","37","Y","22"
"Parks and Recreation","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","1650","1,650","0","0","Y","264"
"Probation","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","1347","0","0","15","Y","79"
"Records and Information Services","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","0","0","0","0","Y","2"
"Small Business Services","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","43447","159","0","50","Y","0"
"Taxi and Limousine","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","55184","125","0","605","Y","68"
"Transportation","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","9818","9,818","N/A","N/A","Y","194"
"Youth and Community Development","2021-07-01T00:00:00.000","2021-12-31T00:00:00.000","14461","4,011","533","51","Y","0"
"Aging","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","30000","26","12","500","Y","NA"
"Business Integrity Commission","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","592","0","0","7","Y","12"
"Children's Services","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","30036","420","NA","10","Y","330"
"City Planning","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","1820","1820","0","5","Y","17"
"Citywide Administrative Services","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","NA","0","0","0","Y","144"
"Civilian Complaint Review Board","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","2480","2480","2480","5","Y","NA"
"Consumer Affairs","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","15166","13","13","4","Y","232"
"Correction","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","4015","4015","NA","0","Y","34"
"Cultural Affairs","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","2000","0","0","8","Y","18"
"Environmental Protection","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","7134","7073","61","2","Y","NA"
"Finance","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","NA","21232","0","7","Y","4282"
"Fire","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","78044","19","9","11","Y","28"
"Health and Mental Hygiene","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","5","721","6","26","Y","325"
"Homeless Services","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","NA","3063","0","80","Y","57"
"Housing Preservation and Development","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","2300","NA","NA","1","Y","NA"
"Human Resources Administration","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","NA","111957","1972","156","Y","68"
"Human Rights Commission","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","6554","768","8","36","Y","36"
"Parks and Recreation","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","575756","28874","0","0","Y","108"
"Probation","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","NA","1093","0","10","Y","708"
"DORIS","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","2","0","0","2","Y","9"
"Small Business Services","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","93819","124","49","50","Y","NA"
"Taxi and Limousine","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","30000","300","0","605","Y","84"
"Transportation","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","2695","1683","NA","14","Y","1012"
"Youth and Community Development","2020-01-01T00:00:00.000","2020-06-30T00:00:00.000","12844","3136","59","74","Y","NA"
"Aging","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","24,000","13","12","500","Y","32"
"Business Integrity Commission","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","0","0","0","7","Y","5"
"Children's Services","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","20,151","400","75","97","Y","6908"
"City Planning","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","1,888","1,878","0","5","Y","10"
"Citywide Administrative Services","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","N/A","0","0","0","Y","36"
"Civilian Complaint Review Board","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","32","32","2","2","Y","N/A"
"Consumer Affairs","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","2,888","28,081","23","0","Y","103"
"Correction","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","5,120","5,120","664","0","Y","29"
"Cultural Affairs","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","500","0","0","8","Y","12"
"Environmental Protection","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","6,620","6,516","104","2","Y","N/A"
"Finance","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","N/A","16,145","0","6","Y","4,216"
"Fire","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","40,975","0","0","14","Y","0"
"Health and Mental Hygiene","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","N/A","505","1","26","Y","N/A"
"Homeless Services","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","N/A","3,612","141","37","Y","54"
"Housing Preservation and Development","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","N/A","N/A","N/A","1","Y","N/A"
"Human Resources Administration","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","N/A","320,589","2,418","588","Y","34"
"Human Rights Commission","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","583","0","0","29","Y","23"
"Parks and Recreation","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","0","0","0","0","N","61"
"Probation","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","905","0","0","15","Y","83"
"Records and Information Services","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","8","0","0","3","Y","8"
"Small Business Services","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","48,450","17","0","50","Y","N/A"
"Taxi and Limousine","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","14,000","200","0","605","Y","78"
"Transportation","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","9,274","8,725","N/A","0","Y","509"
"Youth and Community Development","2020-07-01T00:00:00.000","2020-12-31T00:00:00.000","12,185","1,968","270","157","N","0"
"Aging","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","162460","15","6","202","Y","8"
"Business Integrity Commission","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","0","0","0","6","Y","3"
"Children's Services","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","18354","400","N/A","163","Y","30"
"City Planning","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","0","0","0","5","Y","8"
"Citywide Administrative Services","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","N/A","0","0","0","Y","8"
"Civilian Complaint Review Board","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","69","69","0","0","Y","0"
"Commission on Human Rights","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","9227","1784","0","33","Y","4"
"Consumer Affairs/ Consumer and Worker Protection","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","6495","9390","17","7","Y","81"
"Correction","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","3500","3500","157","0","Y","21"
"Cultural Affairs","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","3600","0","0","5","Y","0"
"Environmental Protection","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","8316","8229","87","1","Y","0"
"Finance","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","N/A","15432","0","6","Y","2655"
"Fire","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","63577","5","2","13","Y","4"
"Health and Mental Hygiene","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","454","454","0","0","Y","0"
"Homeless Services","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","55139","1990","110","66","Y","20"
"Housing Preservation and Development","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","N/A","N/A","0","1","Y","0"
"Human Resources Administration","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","2254699","383483","18842","342","Y","0"
"Parks and Recreation","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","5200","5200","0","0","Y","223"
"Probation","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","1730","0","0","15","Y","3"
"Records and Information Services","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","3139","0","0","0","Y","3"
"Small Business Services","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","83200","178","1","50","Y","0"
"Taxi and Limousine","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","74262","100","0","605","Y","68"
"Transportation","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","2960","2960","0","0","Y","60"
"Youth and Community Development","2022-01-01T00:00:00.000","2022-06-30T00:00:00.000","9981","5112","296","46","Y","0"
"Aging","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","164,945","23","13","52","Y","16"
"Business Integrity Commission","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","143","0","0","7","Y","0"
"Children's Services","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","6,000","500","25","N/A","Y","141"
"City Planning","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","0","0","0","5","Y","9"
"Citywide Administrative Services","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","N/A","0","0","0","Y","N/A"
"Civilian Complaint Review Board","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","35","35","0","0","Y","N/A"
"Commission on Human Rights","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","15,243","1,579","23","32","Y","0"
"Consumer Affairs/ Consumer and Worker Protection","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","7,151","36,479","47","7","Y","98"
"Correction","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","4,000","4,000","262","0","Y","27"
"Cultural Affairs","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","6,300","0","0","4","Y","0"
"Environmental Protection","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","5,500","5,428","72","1","Y","N/A"
"Finance","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","N/A","13,916","N/A","5","Y","0"
"Fire","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","28,458","10","3","8","Y","22"
"Health and Mental Hygiene","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","623","623","0","0","Y","103"
"Homeless Services","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","N/A","1,200","186","N/A","Y","24"
"Housing Preservation and Development","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","N/A","N/A","N/A","1","Y","N/A"
"Human Resources Administration","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","N/A","377,597","1,707","37","Y","36"
"Parks and Recreation","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","46,157","26,457","0","0","Y","26"
"Probation","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","1,647","1,647","0","15","Y","6"
"Records and Information Services","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","3,279","0","0","0","Y","3"
"Small Business Services","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","53,454","107","2","50","Y","N/A"
"Taxi and Limousine","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","94,715","200","0","600","Y","78"
"Transportation","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","3,244","3,244","N/A","N/A","Y","252"
"Youth and Community Development","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","86,120","7,652","40","246","Y","0"
