"name","boro","geo_dist","projdesc","award","consttype","buildingid","building_address","city","zip_code","borough","latitude","longitude","community_board","community_council","bin","bbl","census_tract","nta","location_1","data_as_of"
"J.H.S. 25 - QUEENS","Q","25","PA SYSTEM REPLACEMENT","920000","CIP","Q025","34-65 192 STREET","Queens","11225","QUEENS","40.765133","-73.790083","411","19","4119139","4052610001","1139","QN1101","(40.765133, -73.790083)","23-May"
"FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL","X","9","FLOOD ELIMINATION","791275","CIP","X148","3630 THIRD AVENUE","Bronx","11225","BRONX","40.833511","-73.90449","203","16","2009611","2029250001","14701","BX0302","(40.833511, -73.90449)","23-May"
"P.S. 206 - QUEENS","Q","28","Addition","39411000","CAP","Q206","61-01 97TH PLACE","Queens","11374","QUEENS","40.734272","-73.861556","406","24","4000000","4020830123","71702","QN0601","(40.734272, -73.861556)","23-May"
"P.S. /I.S 295 - QUEENS","Q","29","EXTERIOR MASONRY / PARAPETS / ROOFS / RTU REPLACEMENT","10796000","CIP","Q263","222-14 JAMAICA AVENUE","Queens","11225","QUEENS","40.720619","-73.731997","413","23","4231378","4108130005","568","QN1303","(40.720619, -73.731997)","23-May"
"P.S. 33 - MANHATTAN","M","2","EXTERIOR MASONRY / ROOFS PLAYGROUND SAFETY SURFACE","3690000","CIP","M033","281 9TH AVENUE","Manhattan","11225","MANHATTAN","40.748977","-73.999531","104","3","1012829","1007240023","97","MN0401","(40.748977, -73.999531)","23-May"
"BRONX HAVEN HIGH SCHOOL - BRONX","X","7","CRACKED PARAPET / EXTERIOR MASONRY / ROOFS / WINDOWS","16391426","CIP","X600","333 EAST 151 STREET","Bronx","11225","BRONX","40.818232","-73.919867","201","17","2001874","2024110022","67","BX0102","(40.818232, -73.919867)","23-May"
"P.S. 161 - BRONX","X","7","FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEM","17966600","CIP","X161","628 TINTON AVENUE","Bronx","11225","BRONX","40.814916","-73.905518","201","8","2004773","2026640029","79","BX0102","(40.814916, -73.905518)","23-May"
"I.S. 492- BROOKLYN","K","13","FY21 RESO A PLAYGROUND UPGRADE","617508","CIP","K305","344 MONROE STREET","Brooklyn","11225","BROOKLYN","40.686076","-73.945229","303","36","3051458","3018190014","265","BK0301","(40.686076, -73.945229)","23-May"
"J.H.S. 50 - BROOKLYN","K","14","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","7940000","CIP","K050","183 SOUTH 3 STREET","Brooklyn","11225","BROOKLYN","40.711704","-73.960275","301","34","3063128","3024190001","523","BK0102","(40.711704, -73.960275)","23-May"
"I.S. 653 - BROOKLYN","K","13","New","41830000","CAP","K653","491 DEAN STREET","Brooklyn","11217","BROOKLYN","40.681392","-73.973655","308","35",,,"161","BK0801","(40.681392, -73.973655)","23-May"
"BRONX HS FOR THE VISUAL ARTS - BRONX","X","11","STANDALONE GYM ANNEX","21866000","CIP","X482","2040 ANTIN PLACE","Bronx","11225","BRONX","40.851646","-73.864742","211","13","2048811","2042900048","228","BX1101","(40.851646, -73.864742)","23-May"
"PERFORMING ARTS AND TECH. HS - K","K","19","FY14 RESO A GYMNASIUM UPGRADE","1032000","CIP","K435","400 PENNSYLVANIA AVENUE","Brooklyn","11225","BROOKLYN","40.667456","-73.894747","305","42","3084440","3037880001","1156","BK0502","(40.667456, -73.894747)","23-May"
"FORT HAMILTON HS - K","K","20","WASTE SYSTEM","3708000","CIP","K490","8301 SHORE ROAD","Brooklyn","11225","BROOKLYN","40.627898","-74.039985","310","47","3152318","3060130001","46","BK1001","(40.627898, -74.039985)","23-May"
"P.S. 207 - BRONX","X","10","ELECTRICAL WORK FOR A/C INITIATIVE","449000","CIP","X819","3030 GODWIN TERRACE","Bronx","11225","BRONX","40.878322","-73.906556","208","11","2083138","2057010105","289","BX0802","(40.878322, -73.906556)","23-May"
"WILLIAM MAXWELL VOC HS - K","K","19","EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS","11700000","CIP","K660","145 PENNSYLVANIA AVENUE","Brooklyn","11225","BROOKLYN","40.674135","-73.89643","305","37","3083660","3037040001","1144","BK0502","(40.674135, -73.89643)","23-May"
"P.S. 307 - BROOKLYN","K","13","NYS AUDITORIUM UPGRADE / PATH OF TRAVEL NYS AUDITORIUM UPGRADE","889000","CIP","K307","209 YORK STREET","Brooklyn","11225","BROOKLYN","40.701343","-73.982314","302","33","3000158","3000560007","21","BK0202","(40.701343, -73.982314)","23-May"
"P.S. 251 - BROOKLYN","K","22","ELECTRICAL WORK FOR A/C INITIATIVE","7216","CIP","K251","1037 EAST 54 STREET","Brooklyn","11225","BROOKLYN","40.632524","-73.924417","318","45","3214729","3077580001","722","BK1801","(40.632524, -73.924417)","23-May"
"I.S./H.S. @ 715L OCEAN TERRACE - STATEN ISLAND","R","75","New","78118615","CAP","R086","715L OCEAN TERRACE","Staten Is","10301","STATEN IS","40.608512","-74.102067","502","50","5171567","5006830320","17701","SI0203","(40.608512, -74.102067)","23-May"
"P.S. 107 - QUEENS","Q","25","LSP DOMESTIC WATER HEATER REPLACEMENT","19718.72","CIP","Q107","167-02 45 AVENUE","Queens","11225","QUEENS","40.756013","-73.799706","407","19","4123454","4054460018","1195","QN0705","(40.756013, -73.799706)","23-May"
"P.S. 47 - QUEENS","Q","27","FIRE ALARM REPLACEMENT","157766.4","CIP","Q047","9 POWER ROAD","Queens","11225","QUEENS","40.606353","-73.820445","414","32","4448968","4153130485","107201","QN1403","(40.606353, -73.820445)","23-May"
"P.S. @ 424 ALBEE SQUARE WEST - BROOKLYN","K","13","Lease","22364000","CAP","K748","424 ALBEE SQUARE WEST","Brooklyn","11201","BROOKLYN","40.691069","-73.983463","302","33","3426190","3001460043","1502","BK0202","(40.691069, -73.983463)","23-May"
"P.S. 169 - BROOKLYN","K","15","FY19 RESO A AUDITORIUM UPGRADE","396000","CIP","K169","4305 7 AVENUE","Brooklyn","11225","BROOKLYN","40.64629","-74.001903","307","38","3011002","3007320001","9201","BK0703","(40.64629, -74.001903)","23-May"
"I.S. 839 - MANHATTAN","M","1","EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS","10550000","CIP","M064","600 EAST 6 STREET","Manhattan","11225","MANHATTAN","40.724435","-73.981521","103","2","1004627","1003870001","2601","MN0303","(40.724435, -73.981521)","23-May"
"I.S. 340 - BROOKLYN","K","13","LEAD SERVICE LINE","101344","CIP","K874","227 STERLING PLACE","Brooklyn","11225","BROOKLYN","40.676094","-73.97038","308","35","3029060","3011640057","163","BK0801","(40.676094, -73.97038)","23-May"
"P.S. 58 - BROOKLYN","K","15","FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE / FY20 RESO A PLAYGROUND UPGRADE","842111","CIP","K058","330 SMITH STREET","Brooklyn","11225","BROOKLYN","40.680415","-73.994754","306","39","3000000","3004490015","77","BK0601","(40.680415, -73.994754)","23-May"
"P.S./I.S. 208 - QUEENS","Q","26","COVID VENTILATION","772721","CIP","Q208","74-30 COMMONWEALTH BOULEVARD","Queens","11225","QUEENS","40.745948","-73.727456","413","23","4529898","4078700070","1567","QN1302","(40.745948, -73.727456)","23-May"
"NYC SCHOOL CONSTRUCTION AUTHORITY - QUEENS","Q","24","3RD FLOOR PANTRY AND OFFICE BUILD OUT","261158","CIP","Q998","30-30 THOMSON AVENUE","Queens","11225","QUEENS","40.745042","-73.936191","402","26","4003533","4002770001","17902","QN0202","(40.745042, -73.936191)","23-May"
"P.S. 166 - QUEENS","Q","30","LSP- DOMESTIC WATER HEATER","148607.82","CIP","Q166","33-09 35 AVENUE","Queens","11225","QUEENS","40.757309","-73.926733","401","26","4008220","4006100001","57","QN0103","(40.757309, -73.926733)","23-May"
"P.S. 173 - MANHATTAN","M","6","EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / PAVED AREAS- CONCRETE / ROOFS","9926550","CIP","M173","306 FORT WASHINGTON AVENUE","Manhattan","11225","MANHATTAN","40.845469","-73.940468","112","10","1063503","1021420154","263","MN1201","(40.845469, -73.940468)","23-May"
"I.S. 2 - BROOKLYN","K","17","CLIMATE CONTROL / CONDENSING UNITS DX COILS REPLACEMENT / EXTERIOR MASONRY / LOW-VOLTAGE ELECTRICAL SYSTEM / PARAPETS / ROOFS / VENTILATION","12555000","CIP","K002","655 PARKSIDE AVENUE","Brooklyn","11225","BROOKLYN","40.656183","-73.951583","309","40","3378201","3050500051","802","BK0902","(40.656183, -73.951583)","23-May"
"SCHOOL FOR TOURISM AND HOSPITALITY - BRONX","X","8","TCU REMOVAL/PLAYGROUND REDEVELOPMENT","3934000","CIP","X650","900 TINTON AVENUE","Bronx","11225","BRONX","40.821675","-73.903546","203","17","2004807","2026680001","133","BX0301","(40.821675, -73.903546)","23-May"
"P.S. 98 - MANHATTAN","M","6","EXTERIOR MASONRY / FLOOD ELIMINATION / FY18 RESO A PLAYGROUNDS / PARAPETS / ROOFS","11639500","CIP","M098","512 WEST 212 STREET","Manhattan","11225","MANHATTAN","40.867826","-73.917059","112","10","1064871","1022290012","303","MN1203","(40.867826, -73.917059)","23-May"
"P.S. 321 - BROOKLYN","K","15","EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS","12282700","CIP","K321","180 7TH AVENUE","Brooklyn","11225","BROOKLYN","40.67146","-73.977783","306","39","3337516","3009710028","155","BK0602","(40.67146, -73.977783)","23-May"
"Q075 SPED - QUEENS","Q","24","EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS","8727500","CIP","Q075","16-66 HANCOCK STREET","Queens","11225","QUEENS","40.698476","-73.905556","405","34","4085584","4035490044","553","QN0502","(40.698476, -73.905556)","23-May"
"P.S. 186 - BROOKLYN","K","20","COVID VENTILATION","701441","CIP","K186","7601 19 AVENUE","Brooklyn","11225","BROOKLYN","40.611483","-73.994677","311","43","3160923","3062390001","274","BK1101","(40.611483, -73.994677)","23-May"
"PORT RICHMOND HS - R","R","31","LSP REPLACE BOILER","61800","CIP","R446","39 INNIS STREET","Staten Island","11225","STATEN IS","40.633704","-74.142364","501","49","5026076","5011210001","213","SI0106","(40.633704, -74.142364)","23-May"
"P.S. 195/196 - BRONX","X","12","Addition","61823735","CAP","X077","1250 WARD AVENUE","Bronx","10472","BRONX","40.830499","-73.877704","209","17","2000000","2037750025","54","BX0901","(40.830499, -73.877704)","23-May"
"I.S. 96 - BROOKLYN","K","21","EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS","19120000","CIP","K096","99 AVENUE P","Brooklyn","11225","BROOKLYN","40.60754","-73.984661","311","43","3174076","3065950033","430","BK1101","(40.60754, -73.984661)","23-May"
"P.S. 91 - BRONX","X","10","FY18 RESO A GYMNASIUM UPGRADE","67490","CIP","X091","2170 AQUEDUCT AVENUE","Bronx","11225","BRONX","40.857689","-73.908349","205","14","2094683","2032070040","251","BX0501","(40.857689, -73.908349)","23-May"
"J.H.S. 216 - QUEENS","Q","26","EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS","17200000","CIP","Q216","64-20 175 STREET","Queens","11225","QUEENS","40.737517","-73.794031","408","24","4149078","4069030001","1341","QN0803","(40.737517, -73.794031)","23-May"
"I.S. 192 - QUEENS","Q","29","IPDVS CAMERA INSTALLATION","319000","CIP","Q192","109-89 204 STREET","Queens","11225","QUEENS","40.70646","-73.753579","412","27","4234318","4109440301","508","QN1206","(40.70646, -73.753579)","23-May"
"HS FOR HEALTH CAREER & SCIENCE - M","M","6","EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS","37627000","CIP","M465","549 AUDUBON AVENUE","Manhattan","11225","MANHATTAN","40.855855","-73.92712","112","10","1076751","1021600018","277","MN1202","(40.855855, -73.92712)","23-May"
"P.S. 37 - QUEENS","Q","29","ELEVATOR / EXTERIOR MASONRY / FIRE ALARM / FLOOD ELIMINATION / PARAPETS","14990000","CIP","Q037","179-37 137 AVENUE","Queens","11225","QUEENS","40.67588","-73.758505","412","27","4279864","4129930118","352","QN1205","(40.67588, -73.758505)","23-May"
"I.S. 45 - BRONX","X","10","FY20 RESO A AUDITORIUM UPGRADE","294500","CIP","X045","2502 LORILLARD PLACE","Bronx","11225","BRONX","40.858692","-73.887214","206","15","2011937","2030670001","387","BX0603","(40.858692, -73.887214)","23-May"
"COY L. COX SCHOOL","K","15","WINDOWS","3778000","CIP","K369","383 STATE STREET","Brooklyn","11225","BROOKLYN","40.687257","-73.983579","302","33","3000567","3001720055","41","BK0202","(40.687257, -73.983579)","23-May"
"ALFRED E. SMITH HS - X","X","7","IPDVS CAMERA INSTALLATION","568596","CIP","X600","333 EAST 151 STREET","Bronx","11225","BRONX","40.818232","-73.919867","201","17","2001874","2024110022","67","BX0102","(40.818232, -73.919867)","23-May"
"I.S. 71 - BROOKLYN","K","14","WATER INFILTRATION","1499000","CIP","K071","215 HEYWARD STREET","Brooklyn","11225","BROOKLYN","40.703624","-73.953146","301","33","3061064","3022270001","529","BK0103","(40.703624, -73.953146)","23-May"
"P.S. 39 - STATEN ISLAND","R","31","EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS","3347318","CIP","R039","99 MACFARLAND AVENUE","Staten Island","11225","STATEN IS","40.597653","-74.070052","502","50","5045488","5030970014","2002","SI0201","(40.597653, -74.070052)","23-May"
"P.S. 241 - BROOKLYN","K","17","BACKFLOW PREVENTION DEVICES / RPZ BACKFLOW PREVENTION / RPZ BACKFLOW PREVENTION DEVICES","1195000","CIP","K840","976 PRESIDENT STREET","Brooklyn","11225","BROOKLYN","40.669361","-73.960769","309","35","3378160","3011880001","213","BK0901","(40.669361, -73.960769)","23-May"
"P.S. 20 - QUEENS","Q","25","LSP DOMESTIC WATER HEATER REPLACEMENT","164772.82","CIP","Q020","142-30 BARCLAY AVENUE","Queens","11225","QUEENS","40.758689","-73.824832","407","20","4114657","4050470001","855","QN0707","(40.758689, -73.824832)","23-May"
"P.S. 150 - BRONX","X","12","EXTERIOR MASONRY / PARAPETS / ROOFS","5649000","CIP","X150","920 EAST 167 STREET","Bronx","11225","BRONX","40.82636","-73.894398","202","17","2005681","2027170005","12701","BX0202","(40.82636, -73.894398)","23-May"
"P.S. 16 - BRONX","X","11","EXTERIOR MASONRY / FLOOD ELIMINATION / PAVED AREA- CONCRETE / ROOFS / RPZ BACKFLOW PREVENTION DEVICES","4852803","CIP","X016","4550 CARPENTER AVENUE","Bronx","11225","BRONX","40.902205","-73.854829","212","11","2070894","2050760031","414","BX1203","(40.902205, -73.854829)","23-May"
"GREGORIO LUPERON PREP. SCHOOL - M","M","6","FY20 RESO A GYMNASIUM UPGRADE","116000","CIP","M876","501 WEST 165 STREET","Manhattan","11225","MANHATTAN","40.838167","-73.938642","112","10","1085733","1021230045","251","MN1201","(40.838167, -73.938642)","23-May"
"I.S. 238 - QUEENS","Q","29","EXTERIOR MASONRY / PARAPETS / PLAYGROUND REDEVELOPMENT / WINDOWS","20840013","CIP","Q238","88-15 182 STREET","Queens","11225","QUEENS","40.713094","-73.780468","412","23","4212425","4099190006","470","QN1201","(40.713094, -73.780468)","23-May"
"P.S. 165 - MANHATTAN","M","3","ROOFS","13460000","CIP","M165","234 WEST 109 STREET","Manhattan","11225","MANHATTAN","40.802917","-73.965613","107","7","1056676","1018800013","195","MN0703","(40.802917, -73.965613)","23-May"
"P.S. @ 4513 8TH AVENUE - BROOKLYN","K","15","New","47833546","CAP","K730","4513 8TH AVENUE","Brooklyn","11220","BROOKLYN","40.643781","-74.000926","312","38","3011760","3007510001","9402","BK1201","(40.643781, -74.000926)","23-May"
"BOYS & GIRLS HS - BROOKLYN","K","16","EXTERIOR MASONRY","2873000","CIP","K455","1700 FULTON STREET","Brooklyn","11225","BROOKLYN","40.67944","-73.932407","303","36","3047996","3017010001","271","BK0302","(40.67944, -73.932407)","23-May"
"I.S. 302 - BRONX","X","8","REPLACE PUBLIC ADDRESS & SYNCHRONIZED CLOCK SYSTEM","990000","CIP","X052","681 KELLY STREET","Bronx","11225","BRONX","40.815429","-73.902139","202","17","2005133","2026860020","83","BX0202","(40.815429, -73.902139)","23-May"
"P.S. 452 - MANHATTAN","M","3","FY19 RESO A PLAYGROUND","1120000","CIP","M191","210 WEST 61 STREET","Manhattan","11225","MANHATTAN","40.771966","-73.987429","107","6","1030320","1011520029","147","MN0701","(40.771966, -73.987429)","23-May"
"P.S. 98 - QUEENS","Q","26","FLOOD ELIMINATION","547000","CIP","Q098","40-20 235 STREET","Queens","11225","QUEENS","40.769271","-73.749369","411","19","4168629","4080820285","1483","QN1103","(40.769271, -73.749369)","23-May"
"I.S. 241 - BRONX","X","9","ROOF REPLACEMENT","9079000","CIP","X970","1595 BATHGATE AVENUE","Bronx","11225","BRONX","40.839244","-73.901316","203","15","2009555","2029130001","167","BX0302","(40.839244, -73.901316)","23-May"
"P.S. 310 - BRONX","X","10","ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT","24407.53","CIP","X122","260 WEST KINGSBRIDGE ROAD","Bronx","11225","BRONX","40.872895","-73.905244","207","14","2096486","2032390041","269","BX0701","(40.872895, -73.905244)","23-May"
"I.S. 49 - STATEN ISLAND","R","31","COVID VENTILATION","364531","CIP","R049","101 WARREN STREET","Staten Island","11225","STATEN IS","40.620347","-74.081643","501","49","5014184","5005560080","29","SI0102","(40.620347, -74.081643)","23-May"
"I.S. 162 - BROOKLYN","K","32","LL 26-EXIT SIGNS","55103","CIP","K162","1390 WILLOUGHBY AVENUE","Brooklyn","11225","BROOKLYN","40.707229","-73.919805","304","34","3073018","3032120001","445","BK0401","(40.707229, -73.919805)","23-May"
"P.S. 43 - QUEENS","Q","27","AIR CONDITIONING SPLIT SYSTEM / CLIMATE CONTROL / EXTERIOR MASONRY / WINDOWS","14084000","CIP","Q043","160 BEACH 29TH STREET","Queens","11225","QUEENS","40.593834","-73.76174","414","31","4467711","4158200001","99802","QN1401","(40.593834, -73.76174)","23-May"
"P.S. 165 - MANHATTAN","M","3","LSP GYMNASIUM FLOOR","104377","CIP","M165","234 WEST 109 STREET","Manhattan","11225","MANHATTAN","40.802917","-73.965613","107","7","1056676","1018800013","195","MN0703","(40.802917, -73.965613)","23-May"
"EDWARD R. MURROW HS - K","K","21","FY11 RESO A- TV STUDIO UPGRADE / PATH OF TRAVEL RESO A TV STUDIO UPGRADE","1679000","CIP","K525","1600 AVENUE L","Brooklyn","11225","BROOKLYN","40.620525","-73.959285","314","44","3180673","3067340109","768","BK1403","(40.620525, -73.959285)","23-May"
"MATH, SCI., RESEARCH & TECH. HS-Q","Q","29","SCIENCE LAB UPGRADES","2226000","CIP","Q490","207-01 116 AVENUE","Queens","11225","QUEENS","40.697819","-73.745728","413","27","4238003","4110490001","53401","QN1304","(40.697819, -73.745728)","23-May"
"P.S. 162 - QUEENS","Q","26","FY21 RESO A GYMNASIUM UPGRADE","121300","CIP","Q162","201-02 53 AVENUE","Queens","11225","QUEENS","40.749036","-73.777213","411","20","4159363","4074100001","140901","QN1101","(40.749036, -73.777213)","23-May"
"I.S. 302 - BRONX","X","8","FY19 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM","745000","CIP","X052","681 KELLY STREET","Bronx","11225","BRONX","40.815429","-73.902139","202","17","2005133","2026860020","83","BX0202","(40.815429, -73.902139)","23-May"
"I.S. 419 - QUEENS","Q","24","New","67589000","CAP","Q419","111-12 ASTORIA BOULEVARD","Queens","11369","QUEENS","40.7599","-73.859211","403","21","4617857","4017050001","373","QN0302","(40.7599, -73.859211)","23-May"
"P.S. 48 - BRONX","X","8","COVID VENTILATION","708860","CIP","X048","1290 SPOFFORD AVENUE","Bronx","11225","BRONX","40.814425","-73.886953","202","17","2006680","2027660001","9301","BX0201","(40.814425, -73.886953)","23-May"
"P.S. 175 - QUEENS","Q","28","FY17 RESO A AUDITORIUM  UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRDE","591000","CIP","Q175","64-35 102 STREET","Queens","11225","QUEENS","40.730941","-73.853164","406","29","4051200","4021280014","721","QN0602","(40.730941, -73.853164)","23-May"
"P.S. 375 - BROOKLYN","K","17","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","6238000","CIP","K320","46 MCKEEVER PLACE","Brooklyn","11225","BROOKLYN","40.665021","-73.959034","309","35","3034356","3013010001","325","BK0901","(40.665021, -73.959034)","23-May"
"P.S. 166 - MANHATTAN","M","3","MASONRY / PARAPETS / ROOFS / WINDOWS","19337000","CIP","M166","132 WEST 89 STREET","Manhattan","11225","MANHATTAN","40.788865","-73.971847","107","6","1032308","1012190047","173","MN0702","(40.788865, -73.971847)","23-May"
"P.S. 91 - QUEENS","Q","24","FY20 RESO A SUPPLEMENTAL COOLING","870968","CIP","Q091","68-10 CENTRAL AVENUE","Queens","11225","QUEENS","40.703885","-73.884161","405","32","4089566","4036830001","625","QN0503","(40.703885, -73.884161)","23-May"
"I.S. 171 - BROOKLYN","K","19","LL 26-EXIT SIGNS","31870","CIP","K171","528 RIDGEWOOD AVENUE","Brooklyn","11225","BROOKLYN","40.68618","-73.869625","305","37","3092456","3041340020","1184","BK0501","(40.68618, -73.869625)","23-May"
"P.S. 138 - BRONX","X","8","FY20 RESO A LIBRARY UPGRADE / FY20 RESO A PATH OF TRAVEL LIBRARY UPGRADE","443900","CIP","X138","2060 LAFAYETTE AVENUE","Bronx","11225","BRONX","40.822665","-73.853366","209","18","2022289","2036090016","74","BX0903","(40.822665, -73.853366)","23-May"
"K721 SPED - BROOKLYN","K","21","LSP- INTERIOR SPACES","165000","CIP","K722","64 AVENUE X","Brooklyn","11225","BROOKLYN","40.589317","-73.98131","313","47","3385667","3071850020","308","BK1301","(40.589317, -73.98131)","23-May"
"WHITELAW REID ACADEMY OF ARTS AND BUSINESS - BROOK","K","16","FY21 RESO A AUDITORIUM UPGRADE","335000","CIP","K057","125 STUYVESANT AVENUE","Brooklyn","11225","BROOKLYN","40.691274","-73.933697","303","36","3043822","3016160001","291","BK0302","(40.691274, -73.933697)","23-May"
"MNHT COMPR. NIGHT & DAY HS - M","M","2","FACADE REMEDIATION / FLOOD ELIMINATION / PARAPETS / PATH OF TRAVEL FLOOD ELIMINATION / WINDOWS","4222000","CIP","M661","240 2ND AVENUE","Manhattan","11225","MANHATTAN","40.732716","-73.984665","106","2","1020416","1009210064","48","MN0602","(40.732716, -73.984665)","23-May"
"LOWER EAST SIDE PREP HS - M","M","1","IPDVS CAMERA INSTALLATION","449000","CIP","M025","145 STANTON STREET","Manhattan","11225","MANHATTAN","40.720581","-73.985645","103","1","1004323","1003540080","3001","MN0302","(40.720581, -73.985645)","23-May"
"P.S. 213 - QUEENS","Q","26","CLIMATE CONTROL / ELECTRICAL UPGRADE / ELECTRIFICATION/HEAT PUMP SYSTEMS / HEATING PLANT UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEM / WATER PENETRATION IN BOILER ROOM","20212000","CIP","Q213","231-02 67 AVENUE","Queens","11225","QUEENS","40.747747","-73.745747","411","23","4163698","4076770001","1377","QN1104","(40.747747, -73.745747)","23-May"
"STUYVESANT HS - MANHATTAN","M","2","BMS UPGRADE / COOLING TOWER REPLACEMENT / LOW VOLTAGE ELECTRICAL SYSTEM / VENTILATION","11156000","CIP","M477","345 CHAMBERS STREET","Manhattan","11225","MANHATTAN","40.7177","-74.01399","101","1","1084587","1000160215","31703","MN0101","(40.7177, -74.01399)","23-May"
"P.S. 188 - MANHATTAN","M","1","LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT","67450","CIP","M188","442 EAST HOUSTON STREET","Manhattan","11225","MANHATTAN","40.719598","-73.977904","103","2","1004349","1003560100","20","MN0303","(40.719598, -73.977904)","23-May"
"P.S. 41 - QUEENS","Q","26","Demo","1007272","CAP","Q041","214-43 35 AVENUE","Queens","11361","QUEENS","40.769601","-73.770863","411","19","4135975","4061210001","1097","QN1102","(40.769601, -73.770863)","23-May"
"P.S. 9 - BRONX","X","10","ELECTRICAL WORK FOR A/C INITIATIVE","4510","CIP","X009","230 EAST 183 STREET","Bronx","11225","BRONX","40.857067","-73.898936","205","15","2013561","2031500010","38301","BX0503","(40.857067, -73.898936)","23-May"
"BROOKLYN TECH HS - K","K","13","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","24193000","CIP","K430","29 FT GREENE PLACE","Brooklyn","11225","BROOKLYN","40.688834","-73.976905","302","35","3058752","3020980013","33","BK0203","(40.688834, -73.976905)","23-May"
"P.S./I.S. @ 3761 10TH AVENUE - MANHATTAN","M","6","Demo","1730400","CAP","M502","3761 10TH AVENUE","Manhattan","10034","MANHATTAN","40.860962","-73.921475","112","10","1000000","1021980001","299","MN1203","(40.860962, -73.921475)","23-May"
"SUSAN E. WAGNER HS - STATEN ISLAND","R","31","FY21 RESO A SCIENCE LAB UPGRADE","60000","CIP","R460","1200 MANOR ROAD","Staten Island","11225","STATEN IS","40.596896","-74.124169","502","50","5146639","5009550100","181","SI0203","(40.596896, -74.124169)","23-May"
"P.S. 183 - MANHATTAN","M","2","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / VENTILATION","4888000","CIP","M183","419 EAST 66 STREET","Manhattan","11225","MANHATTAN","40.763736","-73.95815","108","5","1045569","1014610007","116","MN0801","(40.763736, -73.95815)","23-May"
"P.S. 158 - BROOKLYN","K","19","STRUCTURAL DEFECTS","497001","CIP","K158","400 ASHFORD STREET","Brooklyn","11225","BROOKLYN","40.672579","-73.884803","305","42","3089176","3040150001","1150","BK0502","(40.672579, -73.884803)","23-May"
"I.S. 145 - QUEENS","Q","30","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","8497000","CIP","Q145","33-34 80 STREET","Queens","11225","QUEENS","40.754661","-73.887112","403","25","4442764","4012520001","285","QN0301","(40.754661, -73.887112)","23-May"
"YOUNG W. LEADERSHIP SCL ASTORIA- Q","Q","30","CHAPEL ROOM CONVERSION","2850000","CIP","Q739","23-15 NEWTOWN AVENUE","Queens","11225","QUEENS","40.771215","-73.924591","401","22","4440035","4005420008","69","QN0103","(40.771215, -73.924591)","23-May"
"BROOKLYN HS OF THE ARTS - BROOKLYN","K","15","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","6277000","CIP","K656","500 PACIFIC STREET","Brooklyn","11225","BROOKLYN","40.684504","-73.980678","302","33","3001189","3001920001","39","BK0202","(40.684504, -73.980678)","23-May"
"P.S. 52 - BROOKLYN","K","22","EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS","10443000","CIP","K052","2675 EAST 29 STREET","Brooklyn","11225","BROOKLYN","40.58792","-73.940532","315","48","3205435","3074740001","600","BK1503","(40.58792, -73.940532)","23-May"
"P.S. 13 - QUEENS","Q","24","EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS","13719026","CIP","Q013","55-01 94TH STREET","Queens","11225","QUEENS","40.737613","-73.86851","404","25","4437297","4019010040","457","QN0401","(40.737613, -73.86851)","23-May"
"P.S. 20 - MANHATTAN","M","1","EXTERIOR MASONRY / PARAPETS / ROOFS / SECURITY LIGHTING / WINDOWS","11515000","CIP","M020","166 ESSEX STREET","Manhattan","11225","MANHATTAN","40.72154","-73.986648","103","1","1004325","1003550001","3001","MN0302","(40.72154, -73.986648)","23-May"
"P.S. 307 - BROOKLYN","K","13","RENOVATION OF CLASSROOM 332","255965","CIP","K307","209 YORK STREET","Brooklyn","11225","BROOKLYN","40.701343","-73.982314","302","33","3000158","3000560007","21","BK0202","(40.701343, -73.982314)","23-May"
