"applicant_name","applicant_house_number","applicant_street_name","applicant_address_2","applicant_city","applicant_state","applicant_postcode","applicant_phone","project_name","project_borough","new_construction","cra_amount","credit_year","cra_date","total_units","total_tax_credit_units","application_year","applicant_borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Lemle & Wolff Development Co, Alembic Development Company, LLC, & The Bridge, Inc","5925","Broadway",,"Bronx","NY","10463","718-865-1847","Betances VI","Bronx","New Construction","$2,323,000","2021","2020-12-10T00:00:00.000","101","100","2020","Bronx","40.888213","-73.8989","208","11","285","2084013","2057760539","Spuyten Duyvil-Kingsbridge"
"Gotham Real Estate Developers II, LLC","432","Park Avenue South","2nd Floor","New York","NY","10016","212-716-2585","Norfolk Street Senior","Manhattan","New Construction","$3,147,604","2021","2020-12-16T00:00:00.000","115","114","2020","New York","40.744257","-73.98341","105","2","74","1016934","1008590039","Midtown-Midtown South"
"H.E.L.P. Development Corp.","115","East 13th Street",,"New York","NY","10003","212-400-8204","HELP ONE Building B","Brooklyn","New Construction","$1,588,100","2021","2020-12-10T00:00:00.000","71","70","2020","New York","40.733304","-73.989316","103","2","42","1084305","1005590055","East Village"
"Federation of Organizations for the New York State Mentally Disabled, Inc.","1","Farmingdale Road",,"West Babylon","NY","11704","631-669-5355","Federation Nameoke Apartments","Queens","New Construction","$2,668,000","2021","2020-12-14T00:00:00.000","117","116","2020","West Babylon",,,,,,,,
"Southside United HDFC / Los Sures","434","South 5th Street",,"Brooklyn","NY","11211","718-963-1391","Rheingold Senior Residences","Brooklyn","New Construction","$1,625,000","2021","2021-07-16T00:00:00.000","93","94","2020","Brooklyn","40.707016","-73.951506","301","34","527","3321351","3024650006","North Side-South Side"
"Aquinas Housing Corporation","1945","Vyse Aveue",,"Bronx","NY","10460","718-842-6440","Criscuolo Homes","Bronx","Rehabilitation","$675,000","2021","2021-07-16T00:00:00.000","106","89","2020","Bronx",,,,,,,,
"Metropolitan Real Estate Development LLC","170","Froehlich Farm Blvd",,"Woodbury","NY","11797","631-400-8175","TQN1003 1415 Mott Avenue","Queens","Rehabilitation","$900,000","2021","2020-12-14T00:00:00.000","42","40","2020","Woodbury",,,,,,,,
"NFW Marion LLC","420","Westbury Avenue",,"Carle Place","NY","11514","917-763-4247","Marion Creston Apartments","Bronx","New Construction","$694,546","2021","2020-12-10T00:00:00.000","43","43","2020","Carle Place",,,,,,,,
"JGV Management","1325","Southern Boulevard",,"Bronx","NY","10459","347-55-5481","1319-25 Southern Blvd","Bronx","New Construction","$891,857","2021","2021-12-17T00:00:00.000","31","27","2020","Bronx","40.831084","-73.891496","203","17","123","2010494","2029760098","Crotona Park East"
"The Finch Group","6111","Broken Sound Pkwy NW","Suite 340","Boca Raton","FL","33487","561-998-0700","Wakefield Grace UMC Complex","Bronx","New Construction","$1,315,026","2022","2021-12-27T00:00:00.000","73","72","2021","Boca Raton",,,,,,,,
"Comunilife Inc.","462","Seventh Avenue",,"New York","NY","10018","212-219-1618","Comunlife Throop","Brooklyn","New Construction","$1,568,494","2022","2021-12-30T00:00:00.000","93","92","2021","New York","40.751754","-73.990075","105","3","109","1014429","1007850037","Midtown-Midtown South"
"Rockabill / Goddard Riverside Comm Center","80","River Street","5E","Hoboken","NJ","7030","212-682-0497","Stephan Russo Residence","Manhattan","Rehabilitation","$1,373,580","2022","2021-12-30T00:00:00.000","69","68","2021","Hoboken",,,,,,,,
"Lantern Organization","42","West 39th Street","14th Fl","New York","NY","10018","917-449-5912","Euclid Glenmore","Brooklyn","New Construction","$2,507,544","2022","2021-12-29T00:00:00.000","135","134","2021","New York","40.752171","-73.983701","105","4","84","1016014","1008400071","Midtown-Midtown South"
"Infinite Horizons","784","Courtlandt Avenue",,"Bronx","NY","10451","646-739-0030","784 Courtlandt Manor","Bronx","New Construction","$702,000","2022","2021-12-30T00:00:00.000","20","20","2021","Bronx","40.822396","-73.916801","201","17","69","2000000","2024040001","Melrose South-Mott Haven North"
"RiseBoro and St. Nicks Alliance","217","Wyckoff Avenue",,"Brooklyn","NY","11237","718-366-3800","Bushwick Alliance","Brooklyn","New Construction","$1,192,440","2022","2021-12-28T00:00:00.000","28","27","2021","Brooklyn","40.702153","-73.915751","304","37","443","3326375","3032910001","Bushwick North"
"RiseBoro Community Partnership","217","Wyckoff Avenue",,"Brooklyn","NY","11237","718-366-3800","RiseBoro TPT Ten","Brooklyn","Rehabilitation","$1,859,685","2022","2021-12-28T00:00:00.000","62","61","2021","Brooklyn","40.702153","-73.915751","304","37","443","3326375","3032910001","Bushwick North"
"Settlement Housing Fund Inc","247","West 37th Street","4th Floor","New York","NY","10018","415-948-1678","Weeksville Place","Brooklyn","New Construction","$1,157,317","2022","2021-12-30T00:00:00.000","45","39","2021","New York","40.753475","-73.990594","105","3","109","1014454","1007870011","Midtown-Midtown South"
"CB Emmanuel Realty","221-10","Jamaica Avenue",,"Queens Village","NY","11428","646-813-1313","WHCO Portfolio","Manhattan","Rehabilitation","$2,346,000","2022","2021-12-29T00:00:00.000","102","93","2021","Queens Village","40.71974","-73.73296","413","27","568","4231223","4107890276","Queens Village"
"MBD Community Housing Corp","1789","Southern Boulevard",,"Bronx","NY","10460","347-226-2481","MBD New Heights Apts","Bronx","Rehabilitation","$1,563,354","2022","2021-12-27T00:00:00.000","70","68","2021","Bronx","40.837892","-73.887462","203","17","155","2009877","2029400038","Crotona Park East"
