"entity_name","entity_role","street_address","suite_apartment_number","city","state","postcode","country","owner_officer_1_first_name","owner_officer_1_last_name","individual_role_1","individual_title_1","officer_equivalent_1","owner_officer_2_first_name","owner_officer_2_last_name","individual_role_2","individual_title_2","officer_equivalent_2","owner_officer_3_first_name","owner_officer_3_last_name","individual_role_3","individual_title_3","officer_equivalent_3","owner_officer_4_first_name","owner_officer_4_last_name","individual_role_4","individual_title_4","officer_equivalent_4","owner_officer_5_first_name","owner_officer_5_last_name","individual_role_5","individual_title_5","officer_equivalent_5","borough","zipcode","assembly_district","election_district_","bin","bbl","community_board","council_district","census_tract","nta","latitude","longitude"
"DEMAND ELECTRIC","Contractor","3133 31st Street","2nd Floor","Astoria","NEW YORK","11106","USA","Andrew","Kourkoumelis","Owner","PRESIDENT",,"Andreas","Kourkoumelis","Both","owner","Chief Executive Officer","Andrew","Kourkoumelis","Owner","President, CEO",,"Andreas","Kourkoumelis","Both","President","Chief Executive Officer","Lawrence","Montheard","Officer","Principal",,"Queens","11106","36","007","4008368","4006137501","01","22","61","QN70","40.763444","-73.924178"
"REPUBLIC SCAFFOLDING & HOIST CORP.","Sub-Contractor","420 Manida Street",,"Bronx","NEW YORK","10474","USA","Fari","Hama","Owner","President",,"Lakshmi","Persuad","Officer",,,"Lakshmi","Persaud","Officer","President",,"Fari","Hama","Officer","President",,"Lakshmi","Persaud","Officer",,,"Bronx","10474","84","077","2006892","2027720035","02","17","93","BX27","40.808913","-73.886922"
"TRANSCITY W&S LLC","Sub-Contractor","2515-A Newbold Avenue",,"Bronx","NEW YORK","10462","USA","Bajram","Muriqi","Officer","COO","Chief Operating Officer","Bajram","Muriqi","Owner","President",,"BBajram","Muriqi","Owner","President",,"BBajram","Muriqi","Both","President","Chief Executive Officer","Bajram","Muriqi","Officer","President",,"Bronx","10462","82","031",,,"09","13","96","BX59","40.834704","-73.841497"
"DOUBLE A CONCRETE","Sub-Contractor","2350 RUGDY STREET",,"EAST MEADOW","NEW YORK","11554","USA","Alexander","Vigario","Owner","President",,"Alexander","Vigario","Both","President","Chief Executive Officer","Alexander","Vigario","Officer","President",,"ALEX","VIGARIO","Officer","President",,"ALEX","VIGARIO","Owner","PRESIDENT",,"Out of NYC",,,,,,,,,,,
"NORTH SOUTH MASONRY","Sub-Contractor","69-08 Woodside Avenue",,"Woodside","NEW YORK","11377","USA","CHRIS","DOWLING","Both","PRESIDENT",,"CHRIS","DOWLING","Owner","president",,"Chris","Dowling","Officer","Associate",,"Chris","Dowling","Owner","Owner",,"Chris","Dowling","Officer",,,"Queens","11377","34","060","4031844","4013490004","02","26","483","QN50","40.742655","-73.895454"
"SSC CONNECTIONS INC","Sub-Contractor","22 HORTON AVENUE",,"DIX HILLS","NEW YORK","11746","USA","FRANK","MARINO","Owner","PRESIDENT",,,,,,,,,,,,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"SILVERCUP SCAFFOLDING","Sub-Contractor","146 Spencer Street","4002","Brooklyn","NEW YORK","11205","USA","Isaac","Adler","Owner","Owner",,"ISAAC","ADLER","Owner","Owner",,"ISAAC","ADLER","Owner","OWNER",,,,,,,,,,,,"Brooklyn","11205","50","085","3048556","3017500024","03","33","241","BK75","40.694095","-73.955089"
"NAPOLI PAINTING SERVICES INC.","Sub-Contractor","301 Desoto Place",,"Fairview","NEW YORK","7022","USA","Nick","Marchese","Both","pres",,"Nick","Marchese","Owner","President",,"Nicola","Marchese","Owner","President",,"Nicola","Marchese","Both","pres",,"Nick","Marchese","Officer","CEO","Chief Executive Officer","Out of NYC",,,,,,,,,,,
"NATIONS ROOF EAST, LLC","Sub-Contractor","255 Lake Ave",,"Yonkers","NEW YORK","10701","USA","Richard","Nugent","Both","CEO","Chief Executive Officer","Michael","Johannes","Both",,,"Ann","Bremen","Officer","President",,"Michael","Johannes","Both","President",,"Michael","Johannes","Owner","President",,"Out of NYC",,,,,,,,,,,
"VBC WINDOW REPLACEMENT INC","Sub-Contractor","64 Barrister Road",,"Levittown","NEW YORK","11756","USA","Laura","Kostaras","Owner","President",,"Laura","Kostaras","Both","President","Chief Executive Officer",,,,,,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"B&V CONTRACTING ENTERPRISES, INC","Sub-Contractor","1025 Saw Mill River Road","2nd Floor","Yonkers","NEW YORK","10710","USA","Vincent","Poggioreale","Both","President",,"Robert","Ballesteros","Both","President",,"Vincent","Poggioreale","Officer","CEO","Chief Executive Officer","Vincent","Poggioreale","Officer","Officer",,"Irena","De la Pena","Officer","Office Manager",,"Out of NYC",,,,,,,,,,,
"SUPER STRUCTURE SAFETY NETTING","Sub-Contractor","9 Shirley Street",,"Bohemia","NEW YORK","11716","USA","Dennis","Hanley","Owner","President",,"Dennis","Hanley","Both","pres",,"Samantha","Lee","Officer","Officer",,"Dennis","Hanley","Owner","president",,"Denis","Hanley","Officer","Officer",,"Out of NYC",,,,,,,,,,,
"SAFWAY ATLANTIC COMPANIES","Sub-Contractor","700 Commercial Avenue",,"Carlstdat","NEW YORK","7072","USA","Crystal","Ayasco","Officer","Manager",,"Ayasco","Crystal","Officer","Manager",,"Molly","Kose","Both","Pres",,"Ayasco","Crystal","Both","Manager",,"William","Hayes","Both","Unknown",,"Out of NYC",,,,,,,,,,,
"TEMPO CARPENTRY, LLC","Sub-Contractor","275 7th Avenue","7th Floor","New York","NEW YORK","10001","USA","Jason","Karbel","Both",,,"Jason","Karbel","Both","pres",,"Jason","Karbel","Owner","Owner",,"Jason","Karbel","Owner","President",,"Jason","Karbel","Both","President",,"Manhattan","10001","75","036","1015000","1008010001","04","03","91","MN13","40.745743","-73.994435"
"VIEWPOINT CRM, INC","Sub-Contractor","220 Howard St",,"Lowell","NEW YORK","1851","USA","Bill","Reilly","Officer","Managing Officer","Chief Executive Officer","Bradley","Gordon","Officer","CEO","Chief Executive Officer",,,,,,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"SPRAY ON TECHNOLOGIES INC","Sub-Contractor","565 Oak Street.",,"Copiague","NEW YORK","11726","USA","Manuel","Mena","Owner","President",,,,,,,,,,,,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"786 STEEL CORP.","Sub-Contractor","50 Morgan Avenue",,"Brooklyn","NEW YORK","11237","USA","Leonard","Canka","Owner","President",,"Albert","Canka","Officer","Corp Secretary",,,,,,,,,,,,,,,,,"Brooklyn","11237","53","048","3400392","3030030001","01","34","453","BK77","40.705765","-73.931717"
"EUROSTYLE WALL SYSTEMS INC.","Sub-Contractor","235 Seidman Place",,"Franklin Square","NEW YORK","11010","USA","Anthony","Armenia","Owner","owner",,"Anthony","Armenia","Both","President",,"Anthony","Armenia","Both","Owner","Chief Executive Officer",,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"VISTA SKYWALL SYSTEMS, LTD","Sub-Contractor","31-20 Whitestone Expressway",,"Flushing","NEW YORK","11354","USA","LJ","Kim","Both","President",,"Steven","Powell","Officer","President",,"Steven","Powell","Officer","COO","Chief Operating Officer",,,,,,,,,,,"Queens","11357","27","060",,,"07","19","907","QN23","40.768362","-73.837969"
"CHUTES & COMPACTOS OF NY INC.","Sub-Contractor","774 Manor Road",,"Staten Island","NEW YORK","10314","USA","Alfred","Yarkony","Both","President",,"Connie","Como","Officer","Controller",,"Gilda","Beck","Both","Pres",,"Joel","Yarkony","Both","owner","Chief Executive Officer","Joel","Yarkony","Officer","Vice President",,"Staten Island","10314","63","069","5018078","5007140015","02","49","18702","SI05","40.607788","-74.121074"
"NOBLE ELEVATOR COMPANY, INC","Contractor","1655 Sycamore Avenue",,"Bohemia","NEW YORK","11716","USA","stephen","dutton","Owner","President",,"Stephen","Hromada","Both","President",,"Stephen","Hromada","Officer","Director of Construction",,"stephen","dutton","Owner","owner",,"stephen","dutton","Both","president",,"Out of NYC",,,,,,,,,,,
"MARVEL CONTRACTING SERVICES","Sub-Contractor","58-19 230th St",,"Oakland Gardens","NEW YORK","11364","USA","Matthew","Li","Both","President","Chief Operating Officer","Matthew","Li","Both","Owner",,"Matthew","Li","Owner","President",,"Matthew","Li","Officer","COO",,"Matthew","Li","Officer","Manager","Chief Executive Officer","Queens","11364","26","043","4161908","4075660001","11","23","138501","QN42","40.752735","-73.748893"
"MAC CONSTRUCTION","Sub-Contractor","32-22 85th Street",,"East Elmhurst","NEW YORK","11370","USA","Luis","Acosta","Owner","OWNER",,"Luis","Acosta","Owner","Owner",,"Luis","Acosta","Both","President","Chief Executive Officer","Luis","Acosta","Owner","PRESIDENT",,"Luis","Acosta","Both","president",,"Queens","11370","34","067","4034600","4014140016","03","25","337","QN28","40.757324","-73.882855"
"NIETO CONTRACTORS, INC.","Sub-Contractor","140 Highland Street",,"Port Chester","NEW YORK","10573","USA","Mike","Nieto","Officer","President","Chief Executive Officer","Mike","Nieto","Both","President","Chief Executive Officer","Christine","Price","Officer","Officer",,"Mike","Nieto","Officer","President",,"Christine","Price","Officer","Unknown",,"Out of NYC",,,,,,,,,,,
"W-GS CONTRACTING CORP.","Sub-Contractor","1325 THIERIOT AVENUE","Suite 2","BRONX","NEW YORK","10472","USA","Wuilson","Suin","Both","President",,"Wilson","Suin","Both","President","Chief Executive Officer","WILSON","SUIN","Both","PRESIDENT",,"Wuilson","Suin","Owner","President",,"WILSON","SUIN","Owner","PRESIDENT",,"Bronx","10472","87","024","2114063","2038780150","09","18","76","BX08","40.833128","-73.864701"
"JIND","Sub-Contractor","87-62 118 Street",,"Richmond Hill","NEW YORK","11418","USA","Sarabjit","Kaur","Both","President",,"Sarabjit","Kaur","Owner","PRESIDENT",,"Sarabjit","Kaur","Both","Owner",,"Sarabjit","Kaur","Owner","Owner",,"Sarabjit","Kaur","Owner","OWNER",,"Queens","11418","24","068","4195882","4093270036","09","29","122","QN54","40.699264","-73.831544"
"MEMCO","Sub-Contractor","Cedar Run Chruch Rd,",,"Culpeper","VIRGINIA","22701","USA","Mark","Henderson","Owner","Vice President",,"Matthew","Henderson","Owner","President",,,,,,,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"FREDDY FLOORS","Sub-Contractor","183 North Cottage Street",,"Valley Stream","NEW YORK","11580","USA","Federico","Najera","Owner","PRESIDENT",,"Federico","Najera","Owner","Owner",,"Federico","Najera","Owner","OWNER",,"Federico","Najera","Both","Owner",,"Federico","Najera","Owner","President",,"Out of NYC",,,,,,,,,,,
"INTERIOR ROCK","Sub-Contractor","838 McLean Ave",,"Yonkers","NEW YORK","10704","USA","John","Slattery","Owner","Owner",,,,,,,,,,,,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"MLJ PAINTING CORP","Contractor","68 Imperial Drive",,"Miller Place","NEW YORK","11764","USA","Joe","Picataggi","Owner","uknown",,"Lori","Picataggi","Officer","Unknown",,"Lori","Picataggi,","Owner","Presidetn",,"Joseph","Picataggi","Both","owner","Chief Executive Officer","Lori","Picataggi","Owner","President",,"Out of NYC",,,,,,,,,,,
"RSC GROUP LLC","Sub-Contractor","980B DeHart Place",,"Elizabeth","NEW YORK","7202","USA","Mark","Di Medici","Both","Prresident",,"Mark","Di Medici","Officer","President",,"Frank","Tavares","Officer","Principal",,"Frank","Tavares","Both","owner","Chief Executive Officer","Brett","Steinberg","Officer","Vice President",,"Out of NYC",,,,,,,,,,,
"ART ROOFING INC","Sub-Contractor","23 Mendelsohn Street",,"Staten Island","NEW YORK","10305","USA","Arjan","Coku","Owner","Owner",,,,,,,,,,,,,,,,,,,,,,"Staten Island","10305","64","052","5044496","5030120028","01","49","2001","SI37","40.606716","-74.074326"
"JD PLUMBING AND HEATING MAINTENANCE LLC","Sub-Contractor","354 Brook Ave",,"Bronx","NEW YORK","10454","USA","William","Christy","Officer","Owner",,"William","Christy","Owner","President",,"William","Christy","Both",,,"William","Christy","Officer","Manager","Chief Executive Officer","William","Christy","Owner","Chief Operating Officer",,"Bronx","10454","84","057","2000093","2022680011","01","08","41","BX39","40.810130","-73.917716"
"ALL PURPOSE ELECTRIC CORP.","Sub-Contractor","13507 Crossbay Blvd",,"Ozone Park","NEW YORK","11417","USA","Naneen","Latchana","Owner","President",,"Nazneen","Latchana","Owner","Owner",,"Nazneen","Latchana","Owner","President",,"NANZEEN","LATCHANA","Owner","OWNER",,"Christine","Latchana","Owner","President",,"Queens","11417","23","054","4248383","4115120002","10","32","88","QN56","40.673471","-73.843265"
"VAYA RESTORATION","Sub-Contractor","1225 Franklin Avenue","Suite 325","Garden City","NEW YORK","11530","USA","Balvir","Singh","Officer","President",,"Chirag","Patel","Officer","Vice President","Chief Operating Officer","Chirag","Patel","Officer","Owner",,"Chirag","Patel","Both","Vice President",,"Chirag","Patel","Owner","PRESIDENT",,"Out of NYC",,,,,,,,,,,
"EVEREST SCAFFOLDING, INC.","Sub-Contractor","1150 Longwood Ave",,"Bronx","NEW YORK","10474","USA","Christopher","Downes","Owner","owner",,"Christopher","Downes","Officer","Officer",,"Christopher","Downes","Officer","Office",,"Christopher","Downes","Owner","President",,"JIMMY","DOWNES","Officer","PRESIDENT",,"Bronx","10474","84","073","2005917","2027360270","02","17","93","BX27","40.814032","-73.892405"
"VALENTIS ELECTRIC INC","Sub-Contractor","32-21 58TH STREET",,"Woodside","NEW YORK","11377","USA","Spiro","Valentis","Both","President","Chief Executive Officer","Spiro","Valentis","Both","President",,"Spiro","Valentis","Owner","President",,,,,,,,,,,,"Queens","11377","34","044","4026128","4011600083","01","26","297","QN63","40.755208","-73.903267"
"FOUR SUNS FUEL OIL CO","Sub-Contractor","2460 Rowe Street",,"Bronx","NEW YORK","10461","USA","Angelo","Bacarella","Both","Officer",,"Angelo","Bacarella","Both","OWNER",,"Angelo","Barcarella","Both","President",,"Angelo","Bacarella","Both","President","Chief Executive Officer","Angelo","Barcarella","Both","OWNER",,"Bronx","10461","82","031","2027260","2038480055","10","13","96","BX59","40.837171","-73.843295"
"MX MECHANICAL","Sub-Contractor","1056 Washington Avenue",,"Bronx","NEW YORK","10456","USA","Martin","Saljanin","Owner","President",,"MARTIN","SALJANIN","Both","OWNER",,"MARTIN","SALJANIN","Both",,,"Xaviar","Gonzalez","Officer","Unknown",,"Martin","Saljanin","Both",,,"Bronx","10456","79","044","2116457","2023700008","03","16","185","BX35","40.827517","-73.908983"
"KONE INC.","Sub-Contractor","47-36 36th Street",,"Long Island City","NEW YORK","11101","USA","Larry","Walsh","Both","ceo","Chief Executive Officer","Larry","Wash","Officer","Executive Vice President","Chief Operating Officer","JOHN","FALLON","Both","president","Chief Executive Officer","Anti","Herlin","Owner","Chairman of the Board",,"Jay","Dietz","Officer","SVP",,"Queens","11101","37","039","4003273","4002300001","02","26","189","QN31","40.741588","-73.929461"
"MARAGOS PAINTING LLC","Sub-Contractor","39 Meade St",,"West Orange","NEW YORK","7052","USA","Spiros","Maragos","Owner","Owner/Member",,"Spiros","Maragos","Owner","president",,"Spiros","Maragos","Both","PRESIDENT","Chief Executive Officer","Spiros","Maragos","Officer","COO","Chief Operating Officer","Nikoletta","Maragos","Both","owner","Chief Executive Officer","Out of NYC",,,,,,,,,,,
"ALLSTATE SPRINKLER","Contractor","1369 White Plains Rd",,"Bronx","NEW YORK","10462","USA","Adam","Goodrich","Officer","CEO","Chief Executive Officer",,,,,,,,,,,,,,,,,,,,,"Bronx","10462","87","025",,,"09","18","21601","BX08","40.834877","-73.863053"
"PREET AND B","Sub-Contractor","21436 Hillside Avenue",,"Queens Village","NEW YORK","11427","USA","Tony","Singh","Owner","Owner",,"Malkiat","Singh","Owner","OWNER",,"Malkiat","Singh","Owner","President",,"Malkiat","Singh","Both","President",,"Tony","Singh","Owner","President",,"Queens","11427","33","025","4228716","4106730008","13","23","552","QN34","40.726510","-73.750644"
"SUPREME FLOORING","Sub-Contractor","1072 Madison Avenue",,"Lakewood","NEW YORK","8701","USA","Malka","Feldman","Officer","Office Manager",,"Aaron","Weber","Both","Pres",,"Aaron","Weber","Both","owner","Chief Executive Officer","Joshua","Herz","Officer","Unknown",,"Aron","Weberausman","Officer","Vice President","Chief Operating Officer","Out of NYC",,,,,,,,,,,
"TRIBUTE RESTORATION INC.","Sub-Contractor","231 Norman Avenue","206","Brooklyn","NEW YORK","11222","USA","Izabela","Burzynska","Both",,,"Izabela","Burzynska","Both","President",,"Artur","Slabuszewski","Both","President",,"Artur","Slabuszewski","Both",,,"Izabela","Burzynska","Both","Unknown",,"Brooklyn","11222","50","004","3391865","3026297501","01","33","589","BK76","40.727541","-73.944293"
"ARCTIC AIR CONDITIONING","Sub-Contractor","3816 Rombouts Avenue",,"Bronx","NEW YORK","10466","USA","Zach","Granelli","Both","pres",,"Joseph","Granelli","Both","President","Chief Executive Officer","Zachary","Granelli","Officer","Associate",,"Zachary","Granello","Both",,,"Zach","Granelli","Both","President",,"Bronx","10466","83","070","2066505","2049510024","12","12","484","BX03","40.888018","-73.830274"
"NJ PAZ PAINTING SERVICES, INC","Sub-Contractor","217 Woodward Road",,"Manalapan","NEW YORK","7726","USA","craig","bialous","Both",,,"Ana","DePaz","Both","Owner","Chief Executive Officer","Craig","Bialous","Both","President",,"Craig","Bialous","Both","Pres",,"-","-","Officer","-","Chief Executive Officer","Out of NYC",,,,,,,,,,,
"RGF ELECTRIC CORP","Sub-Contractor","2362 Westchester Avenue",,"Bronx","NEW YORK","10462","USA","Richard","Feil","Both",,,"Gregory","Feil","Officer","Associates",,"Richard","Feil","Owner","Principal",,"Richard","Feil","Both","President",,"Richard","Feil","Owner","President",,"Bronx","10462","82","027","2027181","2038340041","10","18","96","BX59","40.836432","-73.847098"
"R&S CONSTRUCTION CONTRACTING, INC.","Sub-Contractor","128 North Route 9W",,"Congers","NEW YORK","10920","USA","Dennis","O'keeffe","Both",,,"Kieth","Douglas","Both",,,"Paul","Weldon","Both","Pres",,"Paul","Weldon","Both","President",,,,,,,"Out of NYC",,,,,,,,,,,
"ALL-SAFE LLC","Sub-Contractor","2 Nobel Street",,"Brooklyn","NEW YORK","11222","USA","Jerry","McCarthy","Both","President",,,,,,,,,,,,,,,,,,,,,,"Brooklyn",,,,,,,,,,,
"DONNREILL INC","Sub-Contractor","PO Box 780509",,"Maspeth","NEW YORK","11378","USA","Owen","O'Reilly","Owner","pres",,"OWEN","O'REILLY","Owner","PRESIDENT",,"Owen","O'Reilly","Owner","President",,"Owen","O'Reilly","Owner","president",,"Owen","G'Oreilly","Officer","President",,"Queens",,,,,,,,,,,
"GOTHAM FLOOR COVERING, INC.","Sub-Contractor","111 Thayer Road",,"Manhasset","NEW YORK","11030","USA","Daniela","Calosso","Both","owner","Chief Executive Officer","Daniela","Calosso","Owner","Owner",,,,,,,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"SPEIDEL & SONS CONTRACTING, INC.","Sub-Contractor","8 Lounsberry Hollow Road",,"Sussex","NEW JERSEY","7641","USA","Steve","Speidel","Owner","President",,,,,,,,,,,,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"CAG GROUP LLC","Sub-Contractor","1510 Surprise Street",,"Elmont","NEW YORK","11003","USA","Gassi","Goulden","Owner","Member",,"GASSI","GOULDEN","Owner","PRESIDENT",,"Gassi","Goulden","Owner","Unknown",,"Gassi","Goulden","Both","Managing Member","Chief Executive Officer","Gassi","Goulden","Officer","President",,"Out of NYC",,,,,,,,,,,
"G.N.T. MECHANICAL LLC","Sub-Contractor","460 Wild Avenue",,"Staten Island","NEW YORK","10314","USA","Nicholas","Tsamasiros","Owner","Member",,"Chris","Tsamasiros","Owner","Member",,"Chris","Tsamasiros","Both","president","Chief Executive Officer","Chris","Tsamasiros","Officer","Principal",,"Nicholas","Tsamasiros","Both",,,"Staten Island","10314","63","018","5156947","5027050099","02","50","29102","SI05","40.585844","-74.196327"
"ADLER WINDOWS, INC.","Sub-Contractor","175-16 Liberty Avenue",,"Jamaica","NEW YORK","11433","USA","Cathy","Kudlek","Both","President",,"ross","Adler","Officer","president",,"Ross","Adler","Owner","President",,"Eric","Weinstein","Officer","Manager","Chief Operating Officer","Cathy","Kudlek","Both","Pres",,"Queens","11433","29","074","4217961","4102320014","12","27","440","QN01","40.704861","-73.784116"
"DUNLOP ACCESS SYSTEM LLC","Sub-Contractor","807 Elton Ave","Apt C","Bronx","NEW YORK","10451","USA","Danilo","Belen","Officer","Officer",,"Danilo","Belen","Officer","PM",,"Auilda","Acosta","Both","pres",,,,,,,,,,,,"Bronx","10451","79","084","2102753","2023800122","01","17","69","BX34","40.822069","-73.913088"
"CNC COATINGS","Sub-Contractor","1961 Utica Avenue",,"Brooklum","NEW YORK","11234","USA","Jacob","Kloc","Both","owner","Chief Executive Officer","Jacob","Kloc","Officer","CEO","Chief Executive Officer","Abba","Kloc","Both","owner","Chief Executive Officer","Jacob","Kloc","Both","CEO","Chief Executive Officer","Abba","Kloc","Officer","Officer",,"Brooklyn","11234","59","022","3217724","3078300011","18","46","676","BK58","40.624226","-73.927430"
"HIGH RISE FIRE PROTECTION CORP.","Sub-Contractor","144 21st Street",,"Brooklyn","NEW YORK","11232","USA","Joseph","Lewis Vi","Both","Senior Account Executive",,"Michael","Vitarelli","Owner","president",,"Joseph","Lewis","Officer","unknown",,"Aoife","Kenny","Officer","Associate",,"Kerri-Ann","Kerr","Both","Pres",,"Brooklyn","11232","51","055","3009291","3006420019","07","38","145","BK32","40.663321","-73.996724"
"NORDEST SERVICES LLC","Sub-Contractor","610-310 60th Place",,"Maspeth","NEW YORK","11378","USA","Jack","Caliendo","Owner","President",,,,,,,,,,,,,,,,,,,,,,"Queens",,,,,,,,,,,
"JM3 CONSTRUCTION, LLC","Contractor","117 Highway 35","Suite 1","Keyport","NEW YORK","7735","USA","Jeanette","Liotti","Officer","Unknown",,"Joseph","Revello","Owner","Manager",,"Joseph","Revello","Owner","President",,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"ABRACADABRA PAINTING CO., INC.","Sub-Contractor","180 East Prospect Avenue",,"Mamaroneck","NEW YORK","10543","USA","Niss","Lovera","Officer","Accountant",,,,,,,,,,,,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"GIANT SECURITY","Sub-Contractor","400 2nd Avenue",,"New York","NEW YORK","10010","USA","Yaron","Erez","Owner","president",,"Barak","Ron","Owner","CEO",,"Ron","Barak","Officer","CEO","Chief Executive Officer","Barak","Ron","Owner","pres",,"Yaron","Erez","Owner","pres",,"Manhattan","10010","74","074","1084709","1009290001","06","02","64","MN21","40.737983","-73.980821"
"US SPRAY NYC","Sub-Contractor","108-06 Shorefront Parkway","1 Fl","Rockaway Park","NEW YORK","11694","USA","Robert","Marino","Owner","President",,"Robert","marino","Both","pres",,"Robert","Marino","Both","pres",,"Robert","Marino","Both","President",,"Robert","Marino","Owner","Owner",,"Queens","11694","23","012","4467824","4161797501","14","32","938","QN10","40.580093","-73.829156"
"GALAXY GENERAL CONTRACTING","Contractor","3152 Albany Crescent",,"Bronx","NEW YORK","10463","USA","Jimmy","Zervoudis","Owner","executive",,"Steve","Zervoudis","Officer","Managing Member",,"JIMMY","ZERVOUDIS","Both","Partner",,"JIMMY","ZERVOUDIS","Owner","partner",,,,,,,"Bronx","10463","81","042","2086838","2032670028","08","14","277","BX28","40.879387","-73.902515"
"NY UPSCALE CONSTRUCTION INC.","Sub-Contractor","202 Elm St.",,"Yonkers","NEW YORK","10701","USA","Irfan","Mohammed","Both","Manager","Chief Executive Officer","Irfan","Mohammed","Owner","President",,"Irfan","Mohammed","Both","Manager",,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"LIVE BUILDING SYSTEMS LLC","Sub-Contractor","338 E 22nd Street",,"New York","NEW YORK","10001","USA","Teghpal","Sandhu","Officer","Managing Member","Chief Executive Officer","Christopher","Trieber","Officer","COO","Chief Operating Officer","Teghpal","Sandhu","Both","Officer","Chief Executive Officer",,,,,,,,,,,"Manhattan","10010","74","072","1020560","1009270034","06","02","64","MN21","40.736791","-73.980388"
"APPLE SECURITY SOLUTIONS","Sub-Contractor","271 North Avenue","Suite 311","New Rochelle","NEW YORK","10801","USA","Skita","modeste","Both","Unknown",,"Robert","Moriarty","Owner","President",,"Robert","Moriarity","Officer","President",,"Robert","Moriarty","Officer","President",,"Robert","Moriarity","Owner","Unknown",,"Out of NYC",,,,,,,,,,,
"GOLD GROUP","Sub-Contractor","1019 38th Street",,"Brooklyn","NEW YORK","11219","USA","ABE","GOLDBERG","Owner","OWNER",,,,,,,,,,,,,,,,,,,,,,"Brooklyn","11219","51","009","3122950","3052890084","12","39","110","BK34","40.644758","-73.991597"
"SPRING  SCAFFOLDING INC.","Sub-Contractor","49-30 31st Place",,"Long Island City","NEW YORK","11101","USA","William","Laffey","Owner","Owner",,"Chaz","King","Officer","Project Manager",,"Spring Venture","Holding LLC","Owner","Owner",,"William","Laffey","Officer","President","Chief Executive Officer","William","Laffey","Officer","President","Chief Financial Officer","Queens","11101","37","025","4000000","4002890021","02","26","199","QN31","40.739303","-73.935616"
"NAUTICA PLUMBING & HEATING CORPORATION","Sub-Contractor","13-26 143rd Place",,"Whitestone","NEW YORK","11357","USA","Chris","Pourtoulidis","Owner","Owner",,,,,,,,,,,,,,,,,,,,,,"Queens","11357","27","057","4101192","4044350135","07","19","945","QN49","40.787249","-73.825526"
"RGB GROUP","Sub-Contractor","425 Northern Blvd, Ste 27",,"Great Neck","NEW YORK","11021","USA","Renzo","Barsallo","Owner","president",,"Renzo","Barsallo","Owner","President",,,,,,,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"BLANCO DRILLING INC.","Sub-Contractor","103-22 101st Street",,"Ozone Park","NEW YORK","11417","USA","Gabriel","Blanco","Owner","President",,,,,,,,,,,,,,,,,,,,,,"Queens","11417","38","037","4201289","4095040012","10","32","112","QN54","40.682819","-73.840300"
"NEW VISION ELECTRIC CORP","Sub-Contractor","147-38 97 Avenue",,"Jamaica","NEW YORK","11435","USA","Luis","Lopez","Owner","Principal",,"Luis","Lopez","Owner","Owner",,"Luis O","Lopez","Owner","president",,,,,,,,,,,,"Queens","11435","32","017","4214610","4100320006","12","28","208","QN61","40.697632","-73.804753"
"S&E BRIDGE & SCAFFOLD LLC","Contractor","700 Commerical Avenue",,"Carlsdtat","NEW YORK","7403","USA","Colm","Coen","Officer","Vice President/GM",,"Colm","Coen","Officer","President","Chief Executive Officer","Edson","Ariza","Officer","Controller",,"Tania","Santos","Officer","Controller",,"Colm","Coen","Officer","President",,"Out of NYC",,,,,,,,,,,
"S&E BRIDGE & SCAFFOLD LLC","Sub-Contractor","700 Commerical Avenue",,"Carlsdtat","NEW YORK","7403","USA","Colm","Coen","Officer","Vice President/GM",,"Colm","Coen","Officer","President","Chief Executive Officer","Edson","Ariza","Officer","Controller",,"Tania","Santos","Officer","Controller",,"Colm","Coen","Officer","President",,"Out of NYC",,,,,,,,,,,
"HARVEST POWER","Sub-Contractor","2941 Sunrise Highway",,"Islip Terrace","NEW YORK","11752","USA","TOM","CASEY","Both","OWNER",,"TOM","CASEY","Owner","Owner",,"TOM","CASEY","Owner","OWNER",,"Carlo","Lanza","Both","Managing Member",,,,,,,"Out of NYC",,,,,,,,,,,
"A&E SURFACES CO INC","Sub-Contractor","33 Powerhouse Road",,"Roslyn Heights","NEW YORK","11577","USA","Jacob","Aminian","Both","Member",,"Jacon","Amian","Officer","Member",,"Jacob","Aminian","Owner","President",,"Kenny","Ngai","Officer","Account Payable",,"Jacob","Aminian","Officer","COO","Chief Operating Officer","Out of NYC",,,,,,,,,,,
"A&E SURFACES CO INC","Contractor","33 Powerhouse Road",,"Roslyn Heights","NEW YORK","11577","USA","Jacob","Aminian","Both","Member",,"Jacon","Amian","Officer","Member",,"Jacob","Aminian","Owner","President",,"Kenny","Ngai","Officer","Account Payable",,"Jacob","Aminian","Officer","COO","Chief Operating Officer","Out of NYC",,,,,,,,,,,
