"siteid","inspectionid","inpectiondate","location","question1","question2","_2_option1","_2_option2","_2_option3","_2_option4","_2_option5","_2_option6","_2_ticketnumber","_2_bikeidnumber","_2_multipleinstances","_2_ticketcomments","question3","_3_option1","_3_option2","_3_option3","_3_option4","_3_ticketnumber","_3_ticketcomments","question4","_4_option1","_4_option2","_4_option3","_4_option4","_4_ticketnumber","_4_ticketcomments","question5","question6","question7","question8","_8_option1","_8_option2","_8_option3","_8_ticketnumber","_8_bikeidnumber","_8_ticketcomments","question9","question10"
"6441.02","113498","2020-02-27T14:47:57.000Z","Broadway and West 37th Street","No","No",,,,"Yes",,,,,"No","Last plate misaligned","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6498.09","113246","2020-02-24T10:51:20.000Z","East 47th Street and First Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4330.09","76499","2018-10-29T12:39:53.000Z","Hoyt Street and Warren Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5108.01","82596","2019-04-03T15:15:07.000Z","Scholes Street and Manhattan Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7692.11","81899","2019-03-19T13:33:51.000Z","West 116th Street and Amsterdam Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4683.02","84107","2019-05-15T14:41:46.000Z","Emerson Place and Myrtle Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6306.06","81729","2019-03-14T13:06:34.000Z","West 22nd Street and Tenth Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7741.04","87464","2019-08-26T10:39:25.000Z","Morningside Drive and Amsterdam Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4993.02","76272","2018-10-23T15:19:50.000Z","Pearl Street and Hanover Square","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6925.09","80635","2019-02-15T12:31:52.000Z","2nd Avenue and East 72nd Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6352.01","86508","2019-07-23T14:12:33.000Z","44th Drive and Jackson Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4386.05","75677","2018-10-10T15:23:06.000Z","Fulton Street and Clermont Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5414.06","99308","2019-10-24T09:22:51.000Z","Allen Street and Rivington Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4217.02","77679","2018-11-27T13:45:31.000Z","Douglass Street and Third Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5291.05","77721","2018-11-27T16:49:55.000Z","Graham Avenue and Conselyea Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6759.15","99012","2019-10-16T12:55:28.000Z","Crescent Street and 34th Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4843.01","80285","2019-02-06T15:00:59.000Z","5th Street and Market Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5156.05","72680","2018-07-26T12:48:17.000Z","South 4th Street and Rodney Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4060.09","77081","2018-11-14T13:28:18.000Z","Carroll Street and Fifth Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4553.04","76910","2018-11-09T13:56:57.000Z","Kosciuszko Street and Tompkins Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6004.06","79317","2019-01-14T11:46:31.000Z","East 27th Street and First Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5036.06","72689","2018-07-26T13:15:45.000Z","Leonard Street and Boerum Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6224.03","77919","2018-12-04T11:56:22.000Z","West 22nd Street and Eighth Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5250.05","84654","2019-05-29T13:20:11.000Z","Bushwick Avenue and Powers Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4395.04","82359","2019-04-01T10:40:46.000Z","Lafayette Avenue and Fort Greene Place","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7499.05","86673","2019-07-29T11:29:17.000Z","Central Park West and West 96th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6969.08","85844","2019-07-02T10:45:57.000Z","East 66th Street and Madison Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5105.01","123922","2020-03-11T13:21:20.000Z","Liberty Street and Broadway","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4377.04","74388","2018-09-07T10:40:52.000Z","Cambridge Place and Gates Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7627.10","78634","2018-12-26T12:15:34.000Z","Lenox Avenue and West 115th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5989.02","112603","2020-02-07T09:54:45.000Z","West 15th Street and 6th Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6389.03","72490","2018-07-24T09:52:24.000Z","East 39th Street and Third Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6432.09","101134","2019-12-19T13:53:36.000Z","Park Avenue and East 42nd Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7463.09","86646","2019-07-29T10:12:07.000Z","East 103rd Street and Lexington Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7154.07","81661","2019-03-12T14:51:00.000Z","East 81st Street and Third Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6659.03","75985","2018-10-16T13:06:30.000Z","East 53rd Street and Madison Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5922.08","77833","2018-12-03T11:11:05.000Z","Bank Street and Hudson Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6679.11","101599","2020-01-10T13:36:09.000Z","35th Street and 34th Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4199.12","77444","2018-11-21T13:12:54.000Z","Carlton Avenue and Dean Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7520.07","85959","2019-07-08T12:19:05.000Z","Columbus Avenue and West 95th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6382.08","99552","2019-10-31T13:27:49.000Z","West 27th Drive and Tenth Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6266.06","81709","2019-03-13T15:04:01.000Z","Ninth Avenue and West 21st Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6659.03","84417","2019-05-22T13:47:24.000Z","East 53rd Street and Madison Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4095.03","112865","2020-02-12T14:29:02.000Z","Van Brunt Street and Wolcott Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5721.01","101022","2019-12-18T09:43:16.000Z","Sullivan Street and Washington Square South","No","No",,,,,,"Yes",,,"No","Remove graffiti on kiosk (map)","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5489.03","81181","2019-02-28T12:23:21.000Z","Kent Avenue and North 9th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6969.08","111933","2020-01-21T14:39:09.000Z","East 66th Street and Madison Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4107.05","78999","2019-01-07T10:24:56.000Z","Franklin Avenue and St. Marks Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5616.01","99499","2019-10-30T12:46:05.000Z","East 9th Street and Avenue C","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4128.08","84936","2019-06-04T14:19:57.000Z","Pioneer Street and Richards Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5481.04","85215","2019-06-12T12:21:53.000Z","Driggs Avenue and Lorimer Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6836.07","88301","2019-09-20T12:21:24.000Z","34th Avenue and 13th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6656.05","85268","2019-06-13T12:32:35.000Z","21st Street and 38th Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6173.08","81601","2019-03-11T13:02:32.000Z","Broadway and West 25th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6925.09","80939","2019-02-22T13:18:55.000Z","2nd Avenue and East 72nd Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4278.03","85984","2019-07-08T13:12:18.000Z","Marcus Garvey Boulevard and Macon Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5938.11","83292","2019-04-25T12:36:42.000Z","East 16th Street and Irving Place","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5788.13","101762","2020-01-14T14:00:02.000Z","Lafayette Street and East 9th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6441.01","75101","2018-09-25T13:27:11.000Z","Broadway and West 36th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4143.03","82028","2019-03-20T14:26:19.000Z","Union Street and Nevins Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"3722.04","73162","2018-08-08T12:15:04.000Z","Prospect Park West and 8th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5084.03","101619","2020-01-13T10:18:24.000Z","Division Avenue and Marcy Avenue","No","No",,,,,,"Yes",,,"No","Remove graffiti on kiosk (ad side)","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4990.01","77752","2018-11-28T13:21:20.000Z","Railroad Avenue and Kay Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7596.10","100586","2019-12-05T09:19:55.000Z","East 118th Street and First Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7720.03","86952","2019-08-07T12:04:45.000Z","Lenox Avenue and West 126th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5270.05","84671","2019-05-29T14:09:28.000Z","Pike Street and Division Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6839.04","80882","2019-02-21T13:03:40.000Z","East 58th Street and Madison Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6726.01","100989","2019-12-17T14:12:21.000Z","Eleventh Avenue and West 41st Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6830.08","73473","2018-08-15T14:39:21.000Z","Lexington Avenue and East 63rd Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7113.08","72326","2018-07-18T11:49:23.000Z","East End Avenue and East 86th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4157.10","84973","2019-06-05T12:44:01.000Z","Bergen Street and Vanderbilt Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7152.10","80931","2019-02-22T10:50:25.000Z","24th Avenue and 26th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4993.02","73317","2018-08-13T11:08:09.000Z","Pearl Street and Hanover Square","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6563.12","82902","2019-04-16T11:44:01.000Z","35th Avenue and 37th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7735.23","75359","2018-10-02T13:00:21.000Z","East 128th Street and Madison Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6190.06","88932","2019-10-09T15:39:28.000Z","West 17th Street and Ninth Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6462.05","98942","2019-10-15T12:40:40.000Z","40th Avenue and Crescent Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7116.04","82635","2019-04-04T14:44:35.000Z","West 67th Street and Broadway","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5584.04","100707","2019-12-09T11:46:55.000Z","East 6th Street and Avenue B","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6765.01","73820","2018-08-23T12:35:04.000Z","Hudson River Greenway and West 40th Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5659.11","100090","2019-11-18T14:03:00.000Z","East 11th Street and Avenue B","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5433.03","112529","2020-02-06T12:32:04.000Z","Richardson Street and North Henry Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7577.24","76073","2018-10-17T14:31:09.000Z","Central Park West and West 102nd Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6128.04","82181","2019-03-26T13:34:45.000Z","49th Avenue and 21st Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7596.10","82228","2019-03-27T12:33:58.000Z","East 118th Street and First Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4611.03","111950","2020-01-22T08:51:35.000Z","Willoughby Avenue and Hall Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5414.06","113109","2020-02-20T08:51:28.000Z","Allen Street and Rivington Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"3996.01","86930","2019-08-06T13:12:03.000Z","7th Street and Third Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6498.09","73944","2018-08-28T12:00:56.000Z","East 47th Street and First Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"3905.15","76669","2018-10-31T14:28:12.000Z","3rd Street and 7th Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6889.12","112821","2020-02-11T14:01:56.000Z","East 72nd Street and York Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5938.11","78310","2018-12-14T08:32:54.000Z","East 16th Street and Irving Place","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5379.09","81188","2019-02-28T12:36:04.000Z","Berry Street and North 8th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5207.01","83446","2019-04-30T13:42:19.000Z","Centre Street and Chambers Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4452.03","81551","2019-03-11T11:23:22.000Z","Lexington Avenue and Classon Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6740.01","77599","2018-11-26T13:03:07.000Z","West 52nd Street and Sixth Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6989.07","87808","2019-09-05T12:54:33.000Z","31st Street and Astoria Boulevard","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7049.04","88853","2019-10-08T12:42:56.000Z","East 82nd Street and East End Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4965.01","78217","2018-12-12T13:50:39.000Z","Lorimer Street and Broadway","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5329.06","87147","2019-08-14T15:39:43.000Z","Murray Street and West Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5520.09","100028","2019-11-15T14:34:22.000Z","North 15th Street and Wythe Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6809.08","75828","2018-10-15T10:30:59.000Z","West 55th Street and Avenue of the Americas","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6676.02","80002","2019-01-31T12:26:29.000Z","West 45th Street and Eighth Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6795.01","78162","2018-12-11T14:50:58.000Z","West 46th Street and Eleventh Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5117.05","78232","2018-12-12T14:16:36.000Z","Stagg Street and Union Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7511.19","83700","2019-05-07T12:01:53.000Z","Fifth Avenue and East 103rd Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5065.11","88082","2019-09-13T13:02:52.000Z","Cliff Street and Fulton Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"3905.15","72349","2018-07-18T12:41:04.000Z","3rd Street and 7th Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7132.01","75543","2018-10-09T11:17:15.000Z","27th Avenue and 4th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5746.04","113814","2020-03-09T10:51:42.000Z","East 11th Street and Second Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4266.03","79628","2019-01-23T12:46:47.000Z","Clinton Street and Union Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7243.04","100397","2019-11-27T13:33:26.000Z","East 84th Street and Park Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5216.04","86318","2019-07-17T12:21:59.000Z","Barclay Street and Church Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6659.01","86629","2019-07-26T12:36:06.000Z","East 51st Street and Lexington Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4762.04","76361","2018-10-25T14:17:48.000Z","Clinton Avenue and Flushing Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4993.12","77110","2018-11-15T11:24:32.000Z","Old Slip and Water Street","No","No","Yes",,,,,,,,"No","Test",,,,,,,,,,,,,,,,,,,,,,,,,,
"5335.03","101728","2020-01-14T12:21:53.000Z","Bialystoker Place and Delancey Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4724.03","75245","2018-10-01T10:49:06.000Z","Washington Avenue and Park Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5453.01","75538","2018-10-09T11:06:43.000Z","Rivington Street and Chrystie Street","No","No",,,,,,"Yes",,,"No","Remove graffiti on kiosk","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7524.16","112257","2020-01-28T10:00:28.000Z","Riverside Drive and West 91st Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6022.04","75686","2018-10-11T11:29:17.000Z","East 16th Street and Fifth Avenue","No","No",,,,,"Yes",,,,"No","last plate misaligned","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5523.02","82700","2019-04-09T11:19:40.000Z","Stanton Street and Chrystie Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6407.07","100995","2019-12-17T14:38:50.000Z","West 33rd Street and Seventh Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4596.05","88367","2019-09-23T12:44:45.000Z","Duffield Street and Willoughby Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5763.03","112174","2020-01-27T11:23:40.000Z","Carmine Street and Bleecker Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"3978.13","85710","2019-06-27T12:49:00.000Z","Garfield Place and 8th Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5788.13","74145","2018-09-04T10:10:45.000Z","Lafayette Street and East 9th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4199.12","76647","2018-10-31T13:18:59.000Z","Carlton Avenue and Dean Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"3940.04","81007","2019-02-25T12:23:08.000Z","Sigourney Street and Columbia Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4962.01","76701","2018-11-05T10:47:23.000Z","Broadway and Battery Place","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6064.08","85549","2019-06-24T10:37:33.000Z","West 18th Street and Sixth Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5250.05","75393","2018-10-02T14:35:13.000Z","Bushwick Avenue and Powers Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6076.01","76387","2018-10-25T15:45:11.000Z","48 Avenue and 30 Place","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5259.06","76879","2018-11-08T15:19:06.000Z","Devoe Street and Lorimer Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4479.08","84183","2019-05-17T10:22:30.000Z","Schermerhorn Street and Bond Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6920.03","112142","2020-01-24T12:50:27.000Z","West 54th Street and Ninth Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7291.06","101104","2019-12-19T12:02:01.000Z","Ditmars Boulevard and 19th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5187.03","80358","2019-02-08T14:08:58.000Z","Hope Street and Union Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7003.06","73678","2018-08-21T12:05:41.000Z","Vernon Boulevard and 31st Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4060.09","112802","2020-02-11T13:26:09.000Z","Carroll Street and Fifth Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7682.01","80505","2019-02-13T12:13:00.000Z","Park Avenue and East 124th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7152.10","78974","2019-01-04T13:07:12.000Z","24th Avenue and 26th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
