"the_geom","job_number","job_type","residflag","nonresflag","job_status","compltyear","permityear","classainit","classaprop","classanet","hotelinit","hotelprop","otherbinit","otherbprop","unitsco","boro","bin","bbl","addressnum","addressst","occ_init","occ_prop","job_desc","datefiled","datepermit","datelstupd","datecomplt","zoningdst1","zoningdst2","zoningdst3","specldst1","specldst2","landmark","floorsinit","floorsprop","enlargemnt","ownership","cenblock10","bctcb2010","bct2010","nta2010","ntaname10","commntydst","councildst","schsubdist","schcommnty","schelmntry","schmiddle","firecmpany","firebattln","firedivsn","policepcnt","pl_firm07","pl_pfirm15","latitude","longitude","geomsource","dcpedited","version","location","bldg_class","centract10","cenblock20","centract20","bctcb2020","bct2020","nta2020","ntaname20","cdta2020","cdtaname20"
"POINT (996231.030159846 194304.99857892096)","301564938","New Building","Residential",,"5. Completed Construction","2010","2004","0.0","14.0","14.0","0","0","0","0","14.0","3","3399869","3022357509","8","LYNCH STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2003-07-10T00:00:00.000","2004-11-04T00:00:00.000","2010-04-08T00:00:00.000","2010-04-08T00:00:00.000","R7-1",,,,,,"0.0","7.0",,"Private For-Profit: Corporation","360470531002001","30531002001","3053100","BK75","Bedford","301","33","14_1","14","33","305","E230","57","11","090",,,"40.6999992107","-73.9567924257","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9567924257 40.6999992107)","R0","36047053100","360470531011000","36047053100","30531011000","3053101","BK0103","South Williamsburg","BK01","BK01 Williamsburg-Greenpoint (CD 1 Equivalent)"
"POINT (1000450.2930467576 166148.77897283435)","301647984","Alteration","Residential",,"5. Completed Construction","2012","2004","1.0","1.0","0.0","0","0","0","0","1.0","3","3208894","3076340003","3411","AVENUE L","Residential: Not Specified (RES)","Residential: Not Specified (RES)","EXTEND BUILDING AT REAR.  INTERIOR RENOVATION.  NEW PLUMBING AS PER PLAN.","2003-10-02T00:00:00.000","2004-02-02T00:00:00.000","2012-12-24T00:00:00.000","2012-12-24T00:00:00.000","R4",,,,,,"0.0","3.0",,"Private For-Profit: Partnership","360470744001000","30744001000","3074400","BK58","Flatlands","318","45","22_1","22","11","234","L159","33","15","063",,,"40.622709892","-73.9416435021","BIN DOB buildingfootprints","classa_init","22Q4","POINT (-73.9416435021 40.622709892)","A1","36047074400","360470744001000","36047074400","30744001000","3074400","BK1801","Flatlands","BK18","BK18 Canarsie-Flatlands (CD 18 Approximation)"
"POINT (996386.5396913439 194297.30305625498)","301659444","New Building","Residential",,"5. Completed Construction","2011","2004","0.0","14.0","14.0","0","0","0","0","14.0","3","3397054","3022357512","115","WALLABOUT STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2003-10-28T00:00:00.000","2004-11-04T00:00:00.000","2011-05-06T00:00:00.000","2011-05-06T00:00:00.000","R7-1",,,,,,"0.0","7.0",,"Private For-Profit: Individual","360470531002001","30531002001","3053100","BK75","Bedford","301","33","14_1","14","33","305","E230","57","11","090",,,"40.6999778768","-73.9562316017","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9562316017 40.6999778768)","R0","36047053100","360470531011000","36047053100","30531011000","3053101","BK0103","South Williamsburg","BK01","BK01 Williamsburg-Greenpoint (CD 1 Equivalent)"
"POINT (996217.5547930896 162737.47017867863)","301690454","New Building","Residential",,"5. Completed Construction","2016","2005","0.0","4.0","4.0","0","0","0","0","4.0","3","3424185","3067550053","1509","EAST 17 STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2004-01-02T00:00:00.000","2005-08-01T00:00:00.000","2016-04-29T00:00:00.000","2016-04-29T00:00:00.000","R5",,,,,,"0.0","4.0",,"Private For-Profit: Partnership","360470544003000","30544003000","3054400","BK43","Midwood","314","48","21_3","21","145","188","E276","33","15","070",,,"40.6133532846","-73.9568970397","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9568970397 40.6133532846)","C3","36047054400","360470544003000","36047054400","30544003000","3054400","BK1403","Midwood","BK14","BK14 Flatbush-Midwood (CD 14 Approximation)"
"POINT (997696.8267689198 157270.44141459465)","301773784","New Building","Residential",,"5. Completed Construction","2017","2005","0.0","12.0","12.0","0","0","0","0","12.0","3","3396921","3073527501","2590","OCEAN AVENUE","Empty Site","Residential: 3 or More Units (J-2)",,"2004-03-22T00:00:00.000","2005-04-26T00:00:00.000","2017-11-21T00:00:00.000","2017-05-23T00:00:00.000","R6",,,,,,"0.0","8.0",,"Private For-Profit: Individual","360470578002003","30578002003","3057800","BK44","Madison","315","48","22_3","22","4","187","E246","43","08","061",,,"40.5983452858","-73.9515799246","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9515799246 40.5983452858)","R0","36047057800","360470578002003","36047057800","30578002003","3057800","BK1502","Madison","BK15","BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation)"
"POINT (995895.6728909165 201105.805515334)","301784399","New Building","Residential",,"5. Completed Construction","2012","2004","0.0","41.0","41.0","0","0","0","0","41.0","3","3061917","3023197501","144","NORTH 8 STREET","Empty Site","Residential: 3 or More Units (R-2)",,"2004-07-06T00:00:00.000","2004-11-30T00:00:00.000","2013-05-09T00:00:00.000","2012-04-19T00:00:00.000","R6","M1-2",,,,,"0.0","14.0",,"Private For-Profit: Partnership","360470553003000","30553003000","3055300","BK73","North Side-South Side","301","33","14_3","14","42","309","L104","35","11","094",,,"40.7186662631","-73.9579901137","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9579901137 40.7186662631)","R0","36047055300","360470553003000","36047055300","30553003000","3055300","BK0102","Williamsburg","BK01","BK01 Williamsburg-Greenpoint (CD 1 Equivalent)"
"POINT (995357.6454236805 193637.39328683913)","301862456","New Building","Residential",,"5. Completed Construction","2011","2008","0.0","12.0","12.0","0","0","0","0","12.0","3","3397043","3018847501","773","KENT AVENUE","Empty Site","Residential: 3 or More Units (R-2)",,"2004-11-08T00:00:00.000","2008-06-13T00:00:00.000","2011-06-21T00:00:00.000","2011-06-21T00:00:00.000","M1-2",,,,,,"0.0","4.0",,"Private For-Profit: Corporation","360471237001000","31237001000","3123700","BK75","Bedford","303","33","14_1","14","28","289","L119","31","11","079",,,"40.6981679293","-73.9599433471","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9599433471 40.6981679293)","R0","36047123700","360471237001000","36047123700","31237001000","3123700","BK0301","Bedford-Stuyvesant (West)","BK03","BK03 Bedford-Stuyvesant (CD 3 Approximation)"
"POINT (992571.2271120101 167892.90999901295)","301876904","New Building","Residential",,"5. Completed Construction","2010","2005","0.0","1.0","1.0","0","0","0","0","1.0","3","3170472","3065090034","968","EAST 7 STREET","Empty Site","Residential: 1-2 Family Houses (J-3)",,"2004-12-15T00:00:00.000","2005-03-22T00:00:00.000","2010-06-24T00:00:00.000","2010-06-24T00:00:00.000","R2X",,,"OP",,,"0.0","1.0",,"Private For-Profit: Individual","360470458001002","30458001002","3045800","BK43","Midwood","312","45","21_3","21","143","198","E250","41","15","066",,,"40.6275080694","-73.9700239248","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9700239248 40.6275080694)","A3","36047045800","360470458001005","36047045800","30458001005","3045800","BK1204","Mapleton-Midwood (West)","BK12","BK12 Borough Park-Kensington (CD 12 Approximation)"
"POINT (998544.5225800872 160121.95014725626)","301923621","Alteration","Residential",,"5. Completed Construction","2021","2005","1.0","1.0","0.0","0","0","0","0","1.0","3","3184363","3068300077","1823","EAST 24 STREET","Residential: Not Specified (RES)","Residential: Not Specified (RES)",,"2005-04-08T00:00:00.000","2005-10-19T00:00:00.000","2021-09-07T00:00:00.000","2021-09-07T00:00:00.000","R3-2",,,,,,"2.0","2.0",,"Private For-Profit: Individual","360470562002000","30562002000","3056200","BK44","Madison","315","48","22_3","22","8","187","E276","33","15","061",,,"40.6061707711","-73.9485213707","BIN DOB buildingfootprints","otherb_prop/hotel_init/otherb_init/hotel_prop","22Q4","POINT (-73.9485213707 40.6061707711)","A1","36047056200","360470562002000","36047056200","30562002000","3056200","BK1502","Madison","BK15","BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation)"
"POINT (992423.0663190931 186901.66430425644)","301996874","Alteration","Residential",,"5. Completed Construction","2011","2005","2.0","1.0","-1.0","0","0","0","0","1.0","3","3028116","3011440019","582","BERGEN STREET","Residential: Not Specified (RES)","Residential: Not Specified (RES)","CHANGE USE FROM TWO FAMILY DWELLING TO ONE FAMILY DWELLING. OBTAIN NEW CERTIFICATE OF OCCUPANCY.","2005-08-22T00:00:00.000","2005-11-04T00:00:00.000","2011-04-29T00:00:00.000","2011-04-29T00:00:00.000","R6B",,,,,,"0.0","3.0",,"Private For-Profit: Individual","360470163002000","30163002000","3016300","BK64","Prospect Heights","308","35","13_1","13","769","284","L105","57","11","078",,,"40.6796830947","-73.9705346471","BIN DOB buildingfootprints","classa_init","22Q4","POINT (-73.9705346471 40.6796830947)","A4","36047016300","360470163002002","36047016300","30163002002","3016300","BK0801","Prospect Heights","BK08","BK08 Crown Heights (North) (CD 8 Approximation)"
"POINT (1004616.8253960907 168942.85540567338)","302029212","Alteration","Residential",,"5. Completed Construction","2018","2005","2.0","2.0","0.0","0","0","0","0","2.0","3","3215632","3077770044","5112","AVENUE I","Residential: Not Specified (RES)","Residential: Not Specified (RES)","APPLICATION  FILE FOR NEW CERTIFICATE OF OCCUPANCY  FOR EXISTING TWO FAMILY DWELLING.","2005-10-24T00:00:00.000","2005-12-29T00:00:00.000","2018-05-23T00:00:00.000","2018-05-23T00:00:00.000","R5",,,,,,"0.0","2.0",,"Private For-Profit: Individual","360470728001006","30728001006","3072800","BK58","Flatlands","318","46","22_1","22","23","205","L159","33","15","063",,,"40.6303704449","-73.9266260747","BIN DOB buildingfootprints","classa_init","22Q4","POINT (-73.9266260747 40.6303704449)","B9","36047072800","360470728001006","36047072800","30728001006","3072800","BK1801","Flatlands","BK18","BK18 Canarsie-Flatlands (CD 18 Approximation)"
"POINT (997462.5339304209 162180.22752675414)","302056254","New Building","Residential",,"5. Completed Construction","2010","2006","0.0","18.0","18.0","0","0","0","0","18.0","3","3425669","3067687501","1689","EAST 21 STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2005-12-20T00:00:00.000","2006-03-01T00:00:00.000","2010-05-18T00:00:00.000","2010-05-18T00:00:00.000","R6",,,,,,"0.0","6.0",,"Private For-Profit: Partnership","360470546001002","30546001002","3054600","BK43","Midwood","314","48","22_1","22","8","234","E276","33","15","070",,,"40.611822","-73.952414","Lat/Lon geosupport",,"22Q4","POINT (-73.952414 40.611822)","R0","36047054600","360470546001002","36047054600","30546001002","3054600","BK1403","Midwood","BK14","BK14 Flatbush-Midwood (CD 14 Approximation)"
"POINT (995196.428882584 164098.00912424922)","302058742","New Building","Residential",,"5. Completed Construction","2020","2006","0.0","4.0","4.0","0","0","0","0","4.0","3","3180920","3067430076","1333","EAST 14 STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2006-01-04T00:00:00.000","2006-02-14T00:00:00.000","2021-01-07T00:00:00.000","2020-06-08T00:00:00.000","C2-3","R6",,,,,"0.0","4.0",,"Private For-Profit: Partnership","360470768003005","30768003005","3076800","BK43","Midwood","314","48","21_3","21","145","197","L156","33","15","070",,,"40.617089003","-73.9605726968","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9605726968 40.617089003)","C3","36047076800","360470768003004","36047076800","30768003004","3076800","BK1403","Midwood","BK14","BK14 Flatbush-Midwood (CD 14 Approximation)"
"POINT (1004532.6592258364 187479.24188925326)","302074029","New Building","Residential",,"5. Completed Construction","2011","2006","0.0","2.0","2.0","0","0","0","0","2.0","3","3047867","3016870031","252","BAINBRIDGE STREET","Empty Site","Residential: 1-2 Family Houses (J-3)",,"2006-02-06T00:00:00.000","2006-04-06T00:00:00.000","2011-05-02T00:00:00.000","2011-05-02T00:00:00.000","R5",,,,,,"0.0","4.0",,"Government, City: Corporation","360470381003000","30381003000","3038100","BK61","Crown Heights North","303","36","16_1","16","67","293","L111","37","15","081",,,"40.6812489515","-73.9268735524","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9268735524 40.6812489515)","B1","36047038100","360470381003000","36047038100","30381003000","3038100","BK0302","Bedford-Stuyvesant (East)","BK03","BK03 Bedford-Stuyvesant (CD 3 Approximation)"
"POINT (993906.7693884224 149828.92512966692)","302155316","New Building","Residential",,"5. Completed Construction","2012","2008","0.0","13.0","13.0","0","0","0","0","13.0","3","3244714","3086727501","3041","BRIGHTON 2 STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2006-05-01T00:00:00.000","2008-04-03T00:00:00.000","2012-07-03T00:00:00.000","2012-07-03T00:00:00.000","R6",,,"OP",,,"0.0","6.0",,"Private For-Profit: Corporation","360470362002002","30362002002","3036200","BK19","Brighton Beach","313","48","21_1","21","125","184","E245","43","08","060","1","1","40.5779247454","-73.9652384095","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9652384095 40.5779247454)","R0","36047036200","360470362002002","36047036200","30362002002","3036200","BK1303","Brighton Beach","BK13","BK13 Coney Island-Brighton Beach (CD 13 Approximation)"
"POINT (997709.9724119306 170611.2441292554)","302158732","New Building","Residential",,"5. Completed Construction","2011","2007","0.0","3.0","3.0","0","0","0","0","3.0","3","3413685","3052480026","34","KENILWORTH PLACE","Empty Site","Residential: 3 or More Units (J-0)",,"2006-05-10T00:00:00.000","2007-07-31T00:00:00.000","2019-09-19T00:00:00.000","2011-09-14T00:00:00.000","R6",,,,,,"0.0","3.0",,"Private For-Profit: Individual","360470770001001","30770001001","3077000","BK42","Flatbush","314","45","22_1","22","15","210","E281","41","15","070",,,"40.634963005","-73.9515059948","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9515059948 40.634963005)","C0","36047077000","360470770001001","36047077000","30770001001","3077000","BK1401","Flatbush","BK14","BK14 Flatbush-Midwood (CD 14 Approximation)"
"POINT (1013220.0831239223 187173.13324950635)","302177766","New Building","Residential",,"5. Completed Construction","2012","2006","0.0","2.0","2.0","0","0","0","0","2.0","3","3400044","3034880019","11","SUNNYSIDE AVENUE","Empty Site","Residential: 1-2 Family Houses (J-3)",,"2006-08-21T00:00:00.000","2006-08-22T00:00:00.000","2013-06-14T00:00:00.000","2012-12-31T00:00:00.000","R3-1",,,,,,"0.0","2.0",,"Private Non-Profit: Corporation","360471142012000","31142012000","3114201","BK83","Cypress Hills-City Line","305","37","19_1","19","204","410","L175","44","15","075",,,"40.6803845855","-73.8955529159","BIN DOB buildingfootprints",,"22Q4","POINT (-73.8955529159 40.6803845855)","B1","36047114201","360471142012000","36047114201","31142012000","3114201","BK0501","Cypress Hills","BK05","BK05 East New York-Cypress Hills (CD 5 Approximation)"
"POINT (995582.36315009 205481.17537350953)","302219891","New Building","Residential",,"5. Completed Construction","2010","2007","0.0","28.0","28.0","0","0","0","0","28.0","3","3064526","3025497501","114","WEST STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2006-08-29T00:00:00.000","2007-04-02T00:00:00.000","2010-12-03T00:00:00.000","2010-12-03T00:00:00.000","R6A","M1-2",,,,,"0.0","6.0",,"Private For-Profit: Partnership","360470565001003","30565001003","3056500","BK76","Greenpoint","301","33","14_3","14","44","403","L106","28","11","094",,,"40.730676","-73.959113","Lat/Lon geosupport",,"22Q4","POINT (-73.959113 40.730676)","R0","36047056500","360470565001001","36047056500","30565001001","3056500","BK0101","Greenpoint","BK01","BK01 Williamsburg-Greenpoint (CD 1 Equivalent)"
"POINT (980861.5966599286 185676.88328926265)","302222208","New Building","Residential",,"5. Completed Construction","2010","2008","0.0","1.0","1.0","0","0","0","0","1.0","3","3323706","3005760045","76 REAR","DIKEMAN STREET","Empty Site","Residential: 1-2 Family Houses (J-3)",,"2006-09-14T00:00:00.000","2008-04-02T00:00:00.000","2010-03-18T00:00:00.000","2010-03-18T00:00:00.000","R5",,,,,,"0.0","2.0",,"Private For-Profit: Individual","360470053002004","30053002004","3005300","BK33","Carroll Gardens-Columbia Street-Red Hook","306","38","15_3","15","100","280","L101","32","11","076","1","1","40.6763244707","-74.0122172225","BIN DOB buildingfootprints",,"22Q4","POINT (-74.0122172225 40.6763244707)","B9","36047005300","360470053011013","36047005300","30053011013","3005301","BK0601","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","BK06","BK06 Park Slope-Carroll Gardens (CD 6 Approximation)"
"POINT (1004497.27642259 194175.2389959246)","302233134","New Building","Residential",,"9. Withdrawn",,,"0.0","6.0","6.0","0","0","0","0","0.0","3","3831124","3032080010","1052","WILLOUGHBY AVENUE","Empty Site","Residential: 3 or More Units (J-2)",,"2006-09-21T00:00:00.000",,"2011-12-19T00:00:00.000",,"R6",,,,,,"0.0","4.0",,"Private For-Profit: Individual","360470423002002","30423002002","3042300","BK78","Bushwick South","304","34","32_2","32","78","302","E218","28","11","083",,,"40.699628","-73.926981","Lat/Lon geosupport",,"22Q4","POINT (-73.926981 40.699628)","G7","36047042300","360470423002003","36047042300","30423002003","3042300","BK0401","Bushwick (West)","BK04","BK04 Bushwick (CD 4 Equivalent)"
"POINT (994454.5392902642 197051.45076316595)","302234268","New Building","Residential",,"5. Completed Construction","2012","2008","0.0","4.0","4.0","0","0","0","0","4.0","3","3059840","3021697507","120","DIVISION AVENUE","Empty Site","Residential: 3 or More Units (J-2)",,"2006-09-27T00:00:00.000","2008-07-31T00:00:00.000","2012-04-23T00:00:00.000","2012-04-23T00:00:00.000","R6",,,,,,"0.0","4.0",,"Private For-Profit: Individual","360470535004003","30535004003","3053500","BK72","Williamsburg","301","33","14_1","14","34","305","E211","31","11","090",,,"40.7075398043","-73.9631950935","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9631950935 40.7075398043)","R0","36047053500","360470535004003","36047053500","30535004003","3053500","BK0103","South Williamsburg","BK01","BK01 Williamsburg-Greenpoint (CD 1 Equivalent)"
"POINT (989835.8536457568 170349.4605320841)","302253665","New Building","Residential",,"5. Completed Construction","2018","2007","0.0","3.0","3.0","0","0","0","0","3.0","3","3397199","3053810065","1655","42 STREET","Empty Site","Residential: 3 or More Units (J-0)","NEW 3 STORY AND CELLAR 3-FAMILY BUILDING.","2006-11-08T00:00:00.000","2007-12-31T00:00:00.000","2018-05-18T00:00:00.000","2018-05-18T00:00:00.000","R5",,,,,,"0.0","3.0",,"Private For-Profit: Partnership","360470478003003","30478003003","3047800","BK88","Borough Park","312","39","20_3","20","230","219","L148","48","11","066",,,"40.6342529296","-73.9798761713","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9798761713 40.6342529296)","C0","36047047800","360470478003002","36047047800","30478003002","3047800","BK1202","Borough Park","BK12","BK12 Borough Park-Kensington (CD 12 Approximation)"
"POINT (994557.4331133366 149898.86101342738)","302300212","New Building","Residential",,"3. Permitted for Construction",,"2008","0.0","15.0","15.0","0","0","0","0","0.0","3","3395546","3086740023","3052","BRIGHTON 5 STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2007-02-07T00:00:00.000","2008-05-21T00:00:00.000","2016-07-01T00:00:00.000",,"R6",,,,,,"0.0","7.0",,"Private For-Profit: Partnership","360470362002000","30362002000","3036200","BK19","Brighton Beach","313","48","21_1","21","125","184","E245","43","08","060",,"1","40.5781159729","-73.962896004","BIN DOB buildingfootprints",,"22Q4","POINT (-73.962896004 40.5781159729)","D3","36047036200","360470362002000","36047036200","30362002000","3036200","BK1303","Brighton Beach","BK13","BK13 Coney Island-Brighton Beach (CD 13 Approximation)"
"POINT (1005525.7320428342 194492.80168101192)","302331803","New Building","Residential",,"5. Completed Construction","2014","2008","0.0","28.0","28.0","0","0","0","0","28.0","3","3423703","3032350042","1433","DEKALB AVENUE","Empty Site","Residential: 3 or More Units (J-2)",,"2007-05-02T00:00:00.000","2008-05-16T00:00:00.000","2014-06-27T00:00:00.000","2014-06-27T00:00:00.000","R6",,,,,,"0.0","9.0",,"Private For-Profit: Partnership","360470429003001","30429003001","3042900","BK77","Bushwick North","304","37","32_2","32","79","302","E218","28","11","083",,,"40.7004972221","-73.9232709415","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9232709415 40.7004972221)","D7","36047042900","360470429003001","36047042900","30429003001","3042900","BK0401","Bushwick (West)","BK04","BK04 Bushwick (CD 4 Equivalent)"
"POINT (998346.7342617512 170022.10915267467)","302335060","New Building","Residential",,"5. Completed Construction","2011","2007","0.0","16.0","16.0","0","0","0","0","16.0","3","3205845","3075570019","113","KENILWORTH PLACE","Empty Site","Residential: 3 or More Units (R-2)",,"2007-04-27T00:00:00.000","2007-06-25T00:00:00.000","2011-08-11T00:00:00.000","2011-08-11T00:00:00.000","R6",,,,,,"0.0","5.0",,"Private For-Profit: Individual","360470774001000","30774001000","3077400","BK42","Flatbush","314","45","22_1","22","15","210","E281","41","15","070",,,"40.6333449641","-73.9492130115","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9492130115 40.6333449641)","D7","36047077400","360470774001000","36047077400","30774001000","3077400","BK1401","Flatbush","BK14","BK14 Flatbush-Midwood (CD 14 Approximation)"
"POINT (994669.2206194252 198451.0906804204)","302351773","New Building","Residential",,"5. Completed Construction","2013",,"0.0","113.0","113.0","0","0","0","0","113.0","3","3414037","3024447501","146","SOUTH 4 STREET","Empty Site","Residential: 3 or More Units (R-2)",,"2007-05-30T00:00:00.000","2008-06-25T00:00:00.000","2014-07-03T00:00:00.000","2013-12-16T00:00:00.000","R6",,,,,,"0.0","11.0",,"Private For-Profit: Partnership","360470549002000","30549002000","3054900","BK73","North Side-South Side","301","34","14_3","14","37","309","E221","35","11","090",,,"40.711381234","-73.9624186026","BIN DOB buildingfootprints","date_permittd","22Q4","POINT (-73.9624186026 40.711381234)","R0","36047054900","360470549002000","36047054900","30549002000","3054900","BK0102","Williamsburg","BK01","BK01 Williamsburg-Greenpoint (CD 1 Equivalent)"
"POINT (1010648.2690418363 178058.1354034245)","302372046","New Building","Residential",,"5. Completed Construction","2013","2009","0.0","1.0","1.0","0","0","0","0","1.0","3","3082956","3036380012","671","OSBORNE STREET","Empty Site","Residential: 1-2 Family Houses (J-3)",,"2007-06-15T00:00:00.000","2009-03-17T00:00:00.000","2013-03-19T00:00:00.000","2013-03-19T00:00:00.000","R6",,,,,,"0.0","2.0",,"Private For-Profit: Corporation","360470922001003","30922001003","3092200","BK81","Brownsville","316","42","23_1","23","47","241","E257","58","15","073",,,"40.655374","-73.904861","Lat/Lon geosupport",,"22Q4","POINT (-73.904861 40.655374)","N2","36047092200","360470922001003","36047092200","30922001003","3092200","BK1602","Brownsville","BK16","BK16 Ocean Hill-Brownsville (CD 16 Approximation)"
"POINT (942423.044272095 136924.42698858678)","520127728","Demolition","Residential",,"5. Completed Construction","2013","2013","1.0","0.0","-1.0","0","0","0","0","0.0","5","5067470","5052730016","100","HILLCREST STREET","Residential: Not Specified (RES)","Empty Site",,"2013-06-19T00:00:00.000","2013-07-24T00:00:00.000","2013-08-29T00:00:00.000","2013-07-24T00:00:00.000","R3A",,,"SRD",,,"1.0","0.0",,"Private For-Profit: Partnership","360850156013005","50156013005","5015601","SI54","Great Kills","503","51","31_1","31","260","6","E162","23","08","122",,,"40.5424110104","-74.1504927211","BIN DOB buildingfootprints",,"22Q4","POINT (-74.1504927211 40.5424110104)","B2","36085015601","360850156013005","36085015601","50156013005","5015601","SI0302","Great Kills-Eltingville","SI03","SI03 South Shore (CD 3 Approximation)"
"POINT (998611.9299255908 164180.7786437571)","310023818","New Building","Residential",,"3. Permitted for Construction",,"2008","0.0","1.0","1.0","0","0","0","0","0.0","3","3210211","3076620086","1382","EAST 27 STREET","Empty Site","Residential: 1-2 Family Houses (J-3)",,"2007-09-11T00:00:00.000","2008-01-29T00:00:00.000","2012-08-02T00:00:00.000",,"R2",,,,,,"0.0","1.0",,"Private For-Profit: Individual","360470756002000","30756002000","3075600","BK43","Midwood","314","48","22_1","22","11","234","L159","33","15","070",,,"40.6173113111","-73.9482699796","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9482699796 40.6173113111)","A1","36047075600","360470756002000","36047075600","30756002000","3075600","BK1403","Midwood","BK14","BK14 Flatbush-Midwood (CD 14 Approximation)"
"POINT (1013352.5218354166 178666.95111492276)","310026995","Alteration","Residential",,"3. Permitted for Construction",,"2010","1.0","2.0","1.0","0","0","0","0","0.0","3","3097171","3043170022","96","LOUISIANA AVENUE","Residential: Not Specified (RES)","Residential: 1-2 Family Houses (J-3)",,"2007-09-27T00:00:00.000","2010-01-27T00:00:00.000","2010-01-27T00:00:00.000",,"R6",,,,,,"0.0","3.0",,"Private For-Profit: Individual","360471098001000","31098001000","3109800","BK82","East New York","305","42","19_3","19","184","69","E290","39","15","075",,,"40.6570365907","-73.8951121437","BIN DOB buildingfootprints","classa_init","22Q4","POINT (-73.8951121437 40.6570365907)","B1","36047109800","360471098005007","36047109800","31098005007","3109800","BK0503","East New York-New Lots","BK05","BK05 East New York-Cypress Hills (CD 5 Approximation)"
"POINT (998108.3705652505 199595.26424509287)","310034575","New Building","Residential",,"5. Completed Construction","2012","2008","0.0","9.0","9.0","0","0","0","0","9.0","3","3413834","3027560019","36","CONSELYEA STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2007-10-04T00:00:00.000","2008-04-25T00:00:00.000","2013-04-05T00:00:00.000","2012-10-11T00:00:00.000","R6",,,,,,"0.0","4.0",,"Private For-Profit: Partnership","360470501003018","30501003018","3050100","BK90","East Williamsburg","301","34","14_2","14","42","309","E216","35","11","094",,,"40.714517","-73.950011","Lat/Lon geosupport",,"22Q4","POINT (-73.950011 40.714517)","C1","36047050100","360470501003018","36047050100","30501003018","3050100","BK0104","East Williamsburg","BK01","BK01 Williamsburg-Greenpoint (CD 1 Equivalent)"
"POINT (999036.4828822613 191979.13446424901)","310084752","New Building","Residential",,"5. Completed Construction","2012","2008","0.0","8.0","8.0","0","0","0","0","8.0","3","3391827","3017670051","119","HART STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2008-01-30T00:00:00.000","2008-10-28T00:00:00.000","2012-09-07T00:00:00.000","2012-09-07T00:00:00.000","R6",,,,,,"0.0","4.0",,"Private For-Profit: Individual","360470261005000","30261005000","3026100","BK75","Bedford","303","36","14_1","14","30","304","L102","57","11","079",,,"40.6936110116","-73.946679801","BIN DOB buildingfootprints",,"22Q4","POINT (-73.946679801 40.6936110116)","C1","36047026100","360470261005000","36047026100","30261005000","3026100","BK0301","Bedford-Stuyvesant (West)","BK03","BK03 Bedford-Stuyvesant (CD 3 Approximation)"
"POINT (1008257.5339939296 192103.99871583283)","310115782","New Building","Residential",,"5. Completed Construction","2010","2008","0.0","3.0","3.0","0","0","0","0","3.0","3","3077061","3033700004","439","WILSON AVENUE","Empty Site","Residential: 3 or More Units (J-2)",,"2008-04-01T00:00:00.000","2008-08-04T00:00:00.000","2010-06-21T00:00:00.000","2010-06-21T00:00:00.000","R6",,,,,,"0.0","3.0",,"Government, City: City Agency","360470435002000","30435002000","3043500","BK77","Bushwick North","304","37","32_1","32","88","406","L112","37","15","083",,,"40.6939335267","-73.9134272726","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9134272726 40.6939335267)","C0","36047043500","360470435002000","36047043500","30435002000","3043500","BK0402","Bushwick (East)","BK04","BK04 Bushwick (CD 4 Equivalent)"
