"centername","legalname","building","street","borough","zipcode","phone","permitnumber","permitexp","status","agerange","maximumcapacity","dc_id","programtype","facilitytype","childcaretype","bin","url","datepermitted","actual","violationratepercent","violationavgratepercent","totaleducationalworkers","averagetotaleducationalworkers","publichealthhazardviolationrate","averagepublichealthhazardiolationrate","criticalviolationrate","avgcriticalviolationrate","inspectiondate","regulationsummary","violationcategory","healthcodesubsection","violationstatus","inspectionsummaryresult"
"ALL MY CHILDREN DAY CARE AND NURSERY 11","ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL","317","ROGERS AVENUE","BROOKLYN","11225","929-234-2320","24878","2024-10-12T00:00:00.000","Permitted","2 YEARS - 5 YEARS","90","DC24552","PRESCHOOL","GDC","Child Care - Pre School","3034153","www.allmychildrendaycare.com","2012-10-12T00:00:00.000","Y","0","21.905","11","11.9769","0","6.1285","0","18.9541","2022-09-30T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Initial Annual Inspection - Passed inspection with no violations"
"POLICE ATHLETIC LEAGUE, INC.","POLICE ATHLETIC LEAGUE, INC.","454","PENNSYLVANIA AVE","BROOKLYN","11207","718-342-4724","8068","2023-09-14T00:00:00.000","Permitted","2 YEARS - 5 YEARS","114","DC18839","PRESCHOOL","GDC","Child Care - Pre School","3084629","palnyc.org","2009-09-14T00:00:00.000","Y","20","21.905","13","11.9769","0","6.1285","20","18.9541","2021-09-08T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Initial Annual Inspection - Passed inspection with no violations"
"JACKSON CHILD DEVELOPMENT CENTER, INC.","JACKSON CHILD DEVELOPMENT CENTER","31-36","88 STREET","QUEENS","11369","718-205-1919","6093","2024-02-05T00:00:00.000","Permitted","2 YEARS - 5 YEARS","131","DC2128","PRESCHOOL","GDC","Child Care - Pre School","4595432",,"2004-02-02T00:00:00.000","N","20","21.905","23","11.9769","0","6.1285","20","18.9541","2022-04-26T00:00:00.000","At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.","GENERAL","47.41(j)","CORRECTED","Initial Annual Inspection - Reinspection Required"
"JACKSON CHILD DEVELOPMENT CENTER, INC.","JACKSON CHILD DEVELOPMENT CENTER","31-36","88 STREET","QUEENS","11369","718-205-1919","6093","2024-02-05T00:00:00.000","Permitted","2 YEARS - 5 YEARS","131","DC2128","PRESCHOOL","GDC","Child Care - Pre School","4595432",,"2004-02-02T00:00:00.000","N","20","21.905","23","11.9769","0","6.1285","20","18.9541","2022-04-26T00:00:00.000","At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.","GENERAL","47.41(j)","CORRECTED","Initial Annual Inspection - Reinspection Required"
"JACKSON CHILD DEVELOPMENT CENTER, INC.","JACKSON CHILD DEVELOPMENT CENTER","31-36","88 STREET","QUEENS","11369","718-205-1919","6093","2024-02-05T00:00:00.000","Permitted","2 YEARS - 5 YEARS","131","DC2128","PRESCHOOL","GDC","Child Care - Pre School","4595432",,"2004-02-02T00:00:00.000","N","20","21.905","23","11.9769","0","6.1285","20","18.9541","2022-04-26T00:00:00.000","At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.","GENERAL","47.41(j)","CORRECTED","Initial Annual Inspection - Reinspection Required"
"JACKSON CHILD DEVELOPMENT CENTER, INC.","JACKSON CHILD DEVELOPMENT CENTER","31-36","88 STREET","QUEENS","11369","718-205-1919","6093","2024-02-05T00:00:00.000","Permitted","2 YEARS - 5 YEARS","131","DC2128","PRESCHOOL","GDC","Child Care - Pre School","4595432",,"2004-02-02T00:00:00.000","N","20","21.905","23","11.9769","0","6.1285","20","18.9541","2022-04-26T00:00:00.000","At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.","GENERAL","47.41(j)","CORRECTED","Initial Annual Inspection - Reinspection Required"
"JACKSON CHILD DEVELOPMENT CENTER, INC.","JACKSON CHILD DEVELOPMENT CENTER","31-36","88 STREET","QUEENS","11369","718-205-1919","6093","2024-02-05T00:00:00.000","Permitted","2 YEARS - 5 YEARS","131","DC2128","PRESCHOOL","GDC","Child Care - Pre School","4595432",,"2004-02-02T00:00:00.000","N","20","21.905","23","11.9769","0","6.1285","20","18.9541","2022-04-26T00:00:00.000","At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.","GENERAL","47.41(j)","CORRECTED","Initial Annual Inspection - Reinspection Required"
"JACKSON CHILD DEVELOPMENT CENTER, INC.","JACKSON CHILD DEVELOPMENT CENTER","31-36","88 STREET","QUEENS","11369","718-205-1919","6093","2024-02-05T00:00:00.000","Permitted","2 YEARS - 5 YEARS","131","DC2128","PRESCHOOL","GDC","Child Care - Pre School","4595432",,"2004-02-02T00:00:00.000","N","20","21.905","23","11.9769","0","6.1285","20","18.9541","2022-04-26T00:00:00.000","At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.","GENERAL","47.41(j)","CORRECTED","Initial Annual Inspection - Reinspection Required"
"JACKSON CHILD DEVELOPMENT CENTER, INC.","JACKSON CHILD DEVELOPMENT CENTER","31-36","88 STREET","QUEENS","11369","718-205-1919","6093","2024-02-05T00:00:00.000","Permitted","2 YEARS - 5 YEARS","131","DC2128","PRESCHOOL","GDC","Child Care - Pre School","4595432",,"2004-02-02T00:00:00.000","N","20","21.905","23","11.9769","0","6.1285","20","18.9541","2022-04-26T00:00:00.000","At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.","GENERAL","47.41(j)","CORRECTED","Initial Annual Inspection - Reinspection Required"
"JACKSON CHILD DEVELOPMENT CENTER, INC.","JACKSON CHILD DEVELOPMENT CENTER","31-36","88 STREET","QUEENS","11369","718-205-1919","6093","2024-02-05T00:00:00.000","Permitted","2 YEARS - 5 YEARS","131","DC2128","PRESCHOOL","GDC","Child Care - Pre School","4595432",,"2004-02-02T00:00:00.000","N","20","21.905","23","11.9769","0","6.1285","20","18.9541","2022-04-26T00:00:00.000","At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.","GENERAL","47.41(j)","CORRECTED","Initial Annual Inspection - Reinspection Required"
"JACKSON CHILD DEVELOPMENT CENTER, INC.","JACKSON CHILD DEVELOPMENT CENTER","31-36","88 STREET","QUEENS","11369","718-205-1919","6093","2024-02-05T00:00:00.000","Permitted","2 YEARS - 5 YEARS","131","DC2128","PRESCHOOL","GDC","Child Care - Pre School","4595432",,"2004-02-02T00:00:00.000","N","20","21.905","23","11.9769","0","6.1285","20","18.9541","2022-04-26T00:00:00.000","At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.","GENERAL","47.41(j)","CORRECTED","Initial Annual Inspection - Reinspection Required"
"JACKSON CHILD DEVELOPMENT CENTER, INC.","JACKSON CHILD DEVELOPMENT CENTER","31-36","88 STREET","QUEENS","11369","718-205-1919","6093","2024-02-05T00:00:00.000","Permitted","2 YEARS - 5 YEARS","131","DC2128","PRESCHOOL","GDC","Child Care - Pre School","4595432",,"2004-02-02T00:00:00.000","N","20","21.905","23","11.9769","0","6.1285","20","18.9541","2022-04-26T00:00:00.000","At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.","GENERAL","47.41(j)","CORRECTED","Initial Annual Inspection - Reinspection Required"
"BOOKS & RATTLES, INC.","BOOKS AND RATTLES, INC.","63-08","69 PLACE","QUEENS","11379","718-381-7777","7117","2023-04-18T00:00:00.000","Expired-In Renewal","2 YEARS - 5 YEARS","109","DC3129","PRESCHOOL","GDC","Child Care - Pre School","4070409",,"2005-04-18T00:00:00.000","N",,,"42","11.9769",,,,,"2020-10-15T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Monitoring Inspection Non-Routine - Passed inspection with no violations"
"KREATIVE KARE TOO NURSERY SCHOOL","KREATIVE KARE DAY CARE CENTER,INC.","541","KNICKERBOCKER AVENUE","BROOKLYN","11221","718-386-3242","7987","2025-01-15T00:00:00.000","Permitted","0 YEARS - 2 YEARS","18","DC18357","INFANT TODDLER","GDC","Child Care - Infants/Toddlers","3076117",,"2009-01-15T00:00:00.000","Y","14.2857","17.4391","6","8.4034","0","4.9984","14.2857","15.3835","2023-01-19T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Initial Annual Inspection - Passed inspection with no violations"
"HIGHBRIDGE ADVISORY COUNCIL MARSHALL ENGLAND EARLY LEARNING CENTER","HIGHBRIDGE ADVISORY COUNCIL FAMILY SERVICES INC.","800","CONCOURSE VILLAGE EAST","BRONX","10451","718-742-2370","7381","2023-06-29T00:00:00.000","Permitted","2 YEARS - 5 YEARS","185","DC2034","PRESCHOOL","GDC","Child Care - Pre School","2001910","HACFS.org","2004-10-26T00:00:00.000","N",,,"25","11.9769",,,,,"2021-05-19T00:00:00.000","Except in night care a group teacher shall be in charge of each group of children 2-6 years of age","GENERAL","47.23(b)","CORRECTED",
"JOY DAYCARE INC.","JOY DAYCARE INC.","145-38","34  Avenue","QUEENS","11354","917-563-1338","104623","2024-10-17T00:00:00.000","Permitted","2 YEARS - 5 YEARS","89","DC36203","PRESCHOOL","GDC","Child Care - Pre School","4113039",,"2018-10-17T14:44:02.000","Y","50","21.905","12","11.9769","25","6.1285","50","18.9541","2023-03-24T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"THE CHILDREN'S AID SOCIETY","THE CHILDREN'S AID SOCIETY","1724-26","MADISON AVENUE","MANHATTAN","10029","212-831-0556","6226","2023-10-10T00:00:00.000","Permitted","2 YEARS - 5 YEARS","60","DC1268","PRESCHOOL","GDC","Child Care - Pre School","1080504","www.childrensaidsociety.org","2002-12-05T00:00:00.000","N","0","21.905","9","11.9769","0","6.1285","0","18.9541","2023-03-08T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Compliance Inspection of Open Violations - Previously cited violations corrected"
"LIFE SKILLS HOME TRAINING TUTORIAL PROGRAM FOR PRESCHOOLERS, INC","LIFE SKILLS HOME TRAINING TUTORIAL PROGRAM FOR PRESCHOOLERS, INC","816","CLARENCE AVE","BRONX","10465","718-459-1252","99718","2023-11-10T00:00:00.000","Permitted","2 YEARS - 5 YEARS","39","DC33401","PRESCHOOL","GDC","Child Care - Pre School","2000000",,"2015-11-10T00:00:00.000","Y","25","21.905","16","11.9769","0","6.1285","25","18.9541","2022-05-12T00:00:00.000","At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.","GENERAL","47.45(b)","CORRECTED","Initial Annual Inspection - Reinspection Required; Fines pending"
"MARC  ACADEMY AND FAMILY CENTER","MARC ACADEMY AND FAMILY CENTER, INC.","2863","WEBSTER AVENUE","BRONX","10458","718-562-6080","103836","2022-10-18T00:00:00.000","Expired-In Renewal","2 YEARS - 5 YEARS","187","DC33590","PRESCHOOL","GDC","Child Care - Pre School","2016419","marcafc.org","2016-10-18T12:00:17.000","Y","50","21.905","21","11.9769","16.6667","6.1285","33.3333","18.9541","2023-03-15T00:00:00.000","Training in SIDS, Shaken Baby Syndrome and Safe Sleep practices Not provided to staff","CRITICAL","47.37(b)(4)","CORRECTED","Initial Annual Inspection - Reinspection Required; Fines pending"
"Babove Worldwide Institute","Babove Worldwide Institute","83-38","CORNISH AVENUE","QUEENS","11373","718-859-3311","105773","2024-08-11T00:00:00.000","Permitted","2 YEARS - 5 YEARS","93","DC41328","PRESCHOOL","GDC","Child Care - Pre School","4038665",,"2022-08-11T11:39:07.000","Y","50","21.905","2","11.9769","25","6.1285","50","18.9541","2022-05-26T00:00:00.000","At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.","GENERAL","47.41(j)","CORRECTED","Initial Annual Inspection - Reinspection Required"
"Babove Worldwide Institute","Babove Worldwide Institute","83-38","CORNISH AVENUE","QUEENS","11373","718-859-3311","105773","2024-08-11T00:00:00.000","Permitted","2 YEARS - 5 YEARS","93","DC41328","PRESCHOOL","GDC","Child Care - Pre School","4038665",,"2022-08-11T11:39:07.000","Y","50","21.905","2","11.9769","25","6.1285","50","18.9541","2022-05-26T00:00:00.000","At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.","GENERAL","47.41(j)","CORRECTED","Initial Annual Inspection - Reinspection Required"
"CHILDREN OF AMERICA, QUEENS LLC","Children of America, Queens LLC","3306","88TH ST","QUEENS","11372","347-730-5438","105165","2022-09-15T00:00:00.000","Expired-In Renewal","0 YEARS - 16 YEARS","0","DC39421","ALL AGE CAMP","Camp","Camp","4035342","www.childrenofamerica.com","2020-07-09T12:53:38.000","Y","100","26.8868","0","1","0","14.2558","100","21.8553","2022-08-03T00:00:00.000","Camp assigns Trip Leader for all off site trips. Trip Leader at least 18 years old and has experience of three camp trips as a staff member. CPR First Aid certified staff on trip","CRITICAL","48.09(g)","CORRECTED","Initial Annual Inspection - Reinspection Required; Fines pending"
"THE WONDER YEARS PRESCHOOL, INC.","THE WONDER YEARS PRESCHOOL INC.","389","SEAVER AVENUE","STATEN ISLAND","10305","718-987-7596","6501","2024-01-25T00:00:00.000","Permitted","2 YEARS - 5 YEARS","50","DC2754","PRESCHOOL","GDC","Child Care - Pre School","5126957",,"2004-01-08T00:00:00.000","N","0","21.905","8","11.9769","0","6.1285","0","18.9541","2021-03-17T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Initial Annual Inspection - Passed inspection with no violations"
"BEANSPROUTS DAY CAMP","BEANSPROUTS","339","8TH STREET","BROOKLYN","11215","718-965-8573","89718","2023-09-15T00:00:00.000","Permitted","0 YEARS - 16 YEARS","72","DC32887","ALL AGE CAMP","Camp","Camp","3021911","www.beansproutsdaycamp.com","2015-06-08T00:00:00.000","N","0","26.8868","0","1","0","14.2558","0","21.8553","2022-06-22T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Initial Annual Inspection - Passed inspection with no violations"
"KINDERCARE EDUCATION AT WORK LLC","KINDERCARE EDUCATION AT WORK LLC","311","Greenwich  Street","MANHATTAN","10013","212-962-1316","104382","2024-04-17T00:00:00.000","Permitted","0 YEARS - 2 YEARS","72","DC36350","INFANT TODDLER","GDC","Child Care - Infants/Toddlers","1075706",,"2018-04-17T15:31:26.000","Y","14.2857","17.4391","11","8.4034","0","4.9984","14.2857","15.3835","2021-08-19T00:00:00.000","Child care service teaching staff acting as assistant teachers do Not meet age and educational requirements.","GENERAL","47.13(f)","CORRECTED","Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection"
"IMAGINE EARLY LEARNING CENTERS, LLC.","IMAGINE EARLY LEARNING CENTERS,LLC.","85","Adams Street","BROOKLYN","11201","718-522-2263","8065","2023-08-26T00:00:00.000","Permitted","0 YEARS - 2 YEARS","19","DC19944","INFANT TODDLER","GDC","Child Care - Infants/Toddlers","3391222","www.imagineelc.com","2009-08-26T00:00:00.000","Y","0","17.4391","7","8.4034","0","4.9984","0","15.3835","2022-12-08T00:00:00.000","Fire extinguishers observed Not to be inspected or maintained at time of inspection.","CRITICAL","47.59(b)","CORRECTED","Compliance Inspection of Open Violations - Reinspection Required; Fines pending"
"PRECIOUS MOMENTS DAYCARE CENTER, INC.","PRECIOUS MOMENTS DAYCARE CENTER, INC.","61-30","GRAND AVENUE","QUEENS","11378","718-416-1624","7132","2023-10-14T00:00:00.000","Permitted","0 YEARS - 2 YEARS","9","DC11205","INFANT TODDLER","GDC","Child Care - Infants/Toddlers","4060644","www.preciousmomentsnurseryschool.com","2002-02-05T00:00:00.000","Y","0","17.4391","5","8.4034","0","4.9984","0","15.3835","2022-09-12T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Initial Annual Inspection - Passed inspection with no violations"
"MARY BOBB LEARNING ACADEMY","MARY BOBB DAY CARE,INC.","1187","NOSTRAND AVENUE","BROOKLYN","11225","718-604-4400","7594","2024-11-19T00:00:00.000","Permitted","2 YEARS - 5 YEARS","177","DC11744","PRESCHOOL","GDC","Child Care - Pre School","3107261",,"2006-05-19T00:00:00.000","Y","16.6667","21.905","24","11.9769","16.6667","6.1285","0","18.9541","2021-09-21T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Initial Annual Inspection - Passed inspection with no violations"
"ST.FRANCIS DE SALES SCHOOL FOR THE DEAF.","ST. FRANCIS DE SALES SCHOOL FOR THE DEAF","260","EASTERN PARKWAY","BROOKLYN","11225","718-636-4573",,"2115-01-23T00:00:00.000","Active","2 YEARS - 5 YEARS","35","DC1691","PRESCHOOL","SBCC","School Based Child Care","3029670","www.sfdesales.org",,,"100","45.1817","10","8.0094","100","23.3017","100","35.2291","2023-01-06T00:00:00.000","Each staff member has documentation showing they received 2 doses measles/mumps vaccine, 1 dose rubella vaccine, 2 doses varicella vaccine and 1 dose Tdap","GENERAL","43.11(c)(1)","OPEN","Initial Annual Inspection - Reinspection Required"
"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC","BRIGHT HORIZONS CHILDREN'S CENTERS, LLC","258","WEST 26TH STREET","MANHATTAN","10001","212-366-4365","102097","2022-01-11T00:00:00.000","Expired-In Renewal","2 YEARS - 5 YEARS","37","DC33082","PRESCHOOL","GDC","Child Care - Pre School","1088709","www.brighthorizons.com/chelsea","2016-01-11T00:00:00.000","Y","16.6667","21.905","12","11.9769","16.6667","6.1285","0","18.9541","2021-12-06T00:00:00.000","At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.","GENERAL","47.33(b)","CORRECTED","Initial Annual Inspection - Reinspection Not Required"
"BRIGHT START PT & PTA, PLLC","BRIGHT START PT & PTA, PLLC","2571","E 17TH ST","BROOKLYN","11235","929-371-2131","104544","2022-07-31T00:00:00.000","Expired-In Renewal","2 YEARS - 5 YEARS","22","DC36844","PRESCHOOL","GDC","Child Care - Pre School","3204046","www.brightstartkid.com","2018-07-31T16:45:47.000","Y","50","21.905","5","11.9769","25","6.1285","25","18.9541","2022-08-25T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"BRIGHT HORIZONS AT WEST 53RD","Bright Horizons Children's Centers LLC","540","West 53 Street","MANHATTAN","10019","332-232-8005","105479","2023-08-24T00:00:00.000","Permitted","2 YEARS - 5 YEARS","51","DC38593","PRESCHOOL","GDC","Child Care - Pre School","1000000",,"2021-08-24T14:37:31.000","Y","33.3333","21.905","6","11.9769","0","6.1285","33.3333","18.9541","2022-12-13T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Monitoring Inspection Non-Routine - Passed inspection with no violations"
"BEANSTALK CHILDCARE ACADEMY","NYC EARLY LEARNING COMPANY, INC","2901","White Plains Road","BRONX","10467","718-653-3714","105042","2023-09-13T00:00:00.000","Permitted","2 YEARS - 5 YEARS","136","DC36648","PRESCHOOL","GDC","Child Care - Pre School","2054713",,"2019-09-13T15:27:45.000","Y","25","21.905","38","11.9769","0","6.1285","25","18.9541","2023-04-11T00:00:00.000","Refrigeration units provided with thermometers; thermometers calibrated to (+)(-) 2 degree F accuracy; properly placed in warmest spot of unit","GENERAL","81.18(a)(3)","CORRECTED","Initial Annual Inspection - Reinspection Required"
"YESHIVA TIFERES  YISROEL","YESHIVA TIFERES YISROEL","1271","EAST   35 STREET","BROOKLYN","11210","718-258-9006",,"1900-01-01T00:00:00.000","Active","3 YEARS - 5 YEARS","0","DC39958","PRESCHOOL","SBCC","School Based Child Care","3208963",,,,"100","45.1817","0","8.0094","100","23.3017","100","35.2291","2021-11-18T00:00:00.000","Adequately stocked first aid kit Not provided or maintained at the time of inspection.","CRITICAL","43.21(c)","OPEN","Initial Annual Inspection - Reinspection Required"
"KIDS IN THE GAME LLC","Kids in the Game LLC","532","WEST  215 STREET","MANHATTAN","10034","212-634-7262","105666","2022-09-15T00:00:00.000","Expired-In Renewal","0 YEARS - 16 YEARS","0","DC41069","ALL AGE CAMP","Camp","Camp","1082063","www.kidsinthegame.com","2022-06-08T09:47:39.000","Y","100","26.8868","0","1","100","14.2558","0","21.8553","2022-07-12T00:00:00.000","Facility egress observed obstructed; Not protected from hazardous areas","PUBLIC HEALTH HAZARD","48.15(b)(6)","CORRECTED","Initial Annual Inspection - Reinspection Not Required"
"OUR CHILDREN FIRST, INC","OUR CHILDREN FIRST, INC","1180","East 214 Street","BRONX","10469","347-913-4367","104771","2023-03-29T00:00:00.000","Expired-In Renewal","2 YEARS - 5 YEARS","30","DC37765","PRESCHOOL","GDC","Child Care - Pre School","2059823","www.ocfnyc.com","2019-03-29T09:16:32.000","Y","80","21.905","14","11.9769","20","6.1285","60","18.9541","2021-05-06T00:00:00.000","Epi auto injector Not provided, Not maintained or expired.","CRITICAL","47.29(c)(1)","CORRECTED",
"IMAGINE EARLY LEARNING CENTERS, LLC.","IMAGINE EARLY LEARNING CENTERS,LLC.","85","Adams Street","BROOKLYN","11201","718-522-2263","8065","2023-08-26T00:00:00.000","Permitted","0 YEARS - 2 YEARS","19","DC19944","INFANT TODDLER","GDC","Child Care - Infants/Toddlers","3391222","www.imagineelc.com","2009-08-26T00:00:00.000","Y","0","17.4391","7","8.4034","0","4.9984","0","15.3835","2023-01-20T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Compliance Inspection of Open Violations - Reinspection Required"
"SUNSHINE LEARNING CENTER","SUNSHINE LC OF JACKSON AVE LLC","609","JACKSON AVE","BRONX","10455","718-215-1193","104642","2024-10-30T00:00:00.000","Permitted","0 YEARS - 2 YEARS","48","DC36814","INFANT TODDLER","GDC","Child Care - Infants/Toddlers","2004435","www.sunshinenewyork.com","2018-10-30T14:16:20.000","Y","66.6667","17.4391","15","8.4034","33.3333","4.9984","33.3333","15.3835","2023-02-24T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"NYC EARLY LEARNING COMPANY, INC.","NYC EARLY LEARNING COMPANY, INC.","331","EAST  150 STREET","BRONX","10451","718-292-0812","104778","2025-04-04T00:00:00.000","Permitted","0 YEARS - 2 YEARS","67","DC36655","INFANT TODDLER","GDC","Child Care - Infants/Toddlers","2001854",,"2019-04-04T11:21:37.000","Y","50","17.4391","11","8.4034","0","4.9984","50","15.3835","2022-12-28T00:00:00.000","At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.","CRITICAL","47.49(c)","CORRECTED","Initial Annual Inspection - Reinspection Required; Fines pending"
"THE CHILDREN'S LEARNING CENTER AT HUNTER COLLEGE","THE CHILDREN'S LEARNING CENTER AT HUNTER COLLEGE","695","PARK AVENUE","MANHATTAN","10065","212-772-4066","5145","2023-11-03T00:00:00.000","Permitted","2 YEARS - 5 YEARS","40","DC2611","PRESCHOOL","GDC","Child Care - Pre School","1081419","www.hunter.cuny.edu/studentservices/clc","2003-10-24T00:00:00.000","N","0","21.905","8","11.9769","0","6.1285","0","18.9541","2021-09-27T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Initial Annual Inspection - Passed inspection with no violations"
"BUBBLE BEES DAYCARE, LLC.","BUBBLE BEES DAYCARE, LLC.","76","LORRAINE STREET","BROOKLYN","11231","718-858-8111","13297","2024-03-08T00:00:00.000","Permitted","0 YEARS - 2 YEARS","45","DC21878","INFANT TODDLER","GDC","Child Care - Infants/Toddlers","3338801","BUMBLEBEESRUS.COM","2012-03-08T00:00:00.000","Y","20","17.4391","17","8.4034","20","4.9984","0","15.3835","2022-03-17T00:00:00.000","Child care service/camp fails to comply with an Order of the Board or Commissioner of Health and Mental Hygiene.","PUBLIC HEALTH HAZARD","3.05","CORRECTED","Initial Annual Inspection - Reinspection Required; Fines pending"
"OUR LITTLE ANGELS CORP","OUR LITTLE ANGELS CORP","86-29","COMMONWEALTH BLVD","QUEENS","11426","718-347-7377","7358","2025-03-17T00:00:00.000","Permitted","2 YEARS - 5 YEARS","37","DC10483","PRESCHOOL","GDC","Child Care - Pre School","4175963",,"2005-03-16T00:00:00.000","N","33.3333","21.905","7","11.9769","16.6667","6.1285","33.3333","18.9541","2022-05-18T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Compliance Inspection of Open Violations - Reinspection Required"
"ROUND THE CLOCK NURSERY","URBAN CONCEPTS OF NEW YORK, ROUND THE CLOCK NURSERY INC.","2380","MARION AVENUE","BRONX","10458","718-329-6023","104211","2023-08-16T00:00:00.000","Permitted","0 YEARS - 2 YEARS","10","DC35311","INFANT TODDLER","GDC","Child Care - Infants/Toddlers","2011053","roundtheclocknursery.org","2017-08-16T12:15:48.000","Y","33.3333","17.4391","4","8.4034","33.3333","4.9984","0","15.3835","2022-08-31T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A",
"ASPIRING MINDS DC LLC","ASPIRING MINDS DC LLC","116","Dooley Street","BROOKLYN","11235","917-574-3238","104805","2023-05-02T00:00:00.000","Permitted","0 YEARS - 2 YEARS","10","DC37809","INFANT TODDLER","GDC","Child Care - Infants/Toddlers","3414597","www.aspiringmindscenter.com","2019-05-02T13:42:10.000","Y","40","17.4391","3","8.4034","0","4.9984","40","15.3835","2020-11-12T00:00:00.000","Fire extinguishers observed Not to be inspected or maintained at time of inspection.","CRITICAL","47.59(b)","CORRECTED","Initial Annual Inspection - Reinspection Required"
"CLAIRE HEUREUSE COMMUNITY CENTER, INC.","CLAIRE HEUREUSE COMMUNITY CENTER, INC.","575","Soundview Avenue","BRONX","10473","917-416-4307","105556","2023-12-03T00:00:00.000","Permitted","2 YEARS - 5 YEARS","99","DC40526","PRESCHOOL","GDC","Child Care - Pre School","2021465",,"2021-12-03T16:50:59.000","Y","100","21.905","9","11.9769","0","6.1285","100","18.9541","2022-12-21T00:00:00.000","At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.","CRITICAL","47.57(b)","CORRECTED",
"CLAIRE HEUREUSE COMMUNITY CENTER, INC.","CLAIRE HEUREUSE COMMUNITY CENTER, INC.","575","Soundview Avenue","BRONX","10473","917-416-4307","105556","2023-12-03T00:00:00.000","Permitted","2 YEARS - 5 YEARS","99","DC40526","PRESCHOOL","GDC","Child Care - Pre School","2021465",,"2021-12-03T16:50:59.000","Y","100","21.905","9","11.9769","0","6.1285","100","18.9541","2022-12-21T00:00:00.000","At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.","CRITICAL","47.57(b)","CORRECTED",
"NYSARC, INC., NYC CHAPTER","NYSARC, INC., NYC CHAPTER","2300","WESTCHESTER AVENUE","BRONX","10462","718-409-1450","6030","2025-03-17T00:00:00.000","Permitted","2 YEARS - 5 YEARS","150","DC1980","PRESCHOOL","GDC","Child Care - Pre School","2087040","AHRC","1994-06-30T00:00:00.000","Y","66.6667","21.905","55","11.9769","0","6.1285","66.6667","18.9541","2022-03-22T00:00:00.000","Child foods Not maintained at required temperatures at time of inspection. Child care service failed to provide parents with nutritional guidelines.","GENERAL","47.61(c)","CORRECTED","Initial Annual Inspection - Reinspection Required"
"YEARLING NURSERY SCHOOL, INC.","YEARLING NURSERY SCHOOL, INC.","604","WEST 227TH STREET","BRONX","10463","718-549-1606","7507","2025-01-29T00:00:00.000","Permitted","2 YEARS - 5 YEARS","35","DC218","PRESCHOOL","GDC","Child Care - Pre School","2083272","yearlingnurseryschool.com","2004-12-14T00:00:00.000","Y","75","21.905","9","11.9769","0","6.1285","75","18.9541","2022-02-03T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
