"project_name","project_address_es","application_year"
"Randolph Houses - Phase 2","275 West 114th Street","2016"
"Randolph Houses - Phase 2","277 West 114th Street","2016"
"Randolph Houses - Phase 2","279 West 114th Street","2016"
"Williamsburg Apartments","356 Bedford Avenue","2016"
"Williamsburg Apartments","37 Maujer Street","2016"
"Williamsburg Apartments","37 Ten Eyck Street","2016"
"Williamsburg Apartments","33 Ten Eyck Street","2016"
"Story Avenue West","1520 Story Avenue","2016"
"1880 Boston Road","1880 Boston Road","2016"
"One Flushing","133-51 41st Avenue","2016"
"One Flushing","133-45 41st Avenue","2016"
"PRC Fox Street","1000 Fox Street","2016"
"Hope East of Fifth","2349 2nd Avenue","2016"
"Hope East of Fifth","415 East 115th Street","2016"
"Hope East of Fifth","210 East 119th Street","2016"
"Hope East of Fifth","212 East 117th Street","2016"
"Hope East of Fifth","161 East 116th Street","2016"
"Hope East of Fifth","26 East 109th Street","2016"
"Hope East of Fifth","15 East 109th Street","2016"
"Hope East of Fifth","16 East 109th Street","2016"
"Hope East of Fifth","151 East 106th Street","2016"
"Hope East of Fifth","2026 Lexington Avenue","2016"
"Hope East of Fifth","155 East 117th Street","2016"
"Hope East of Fifth","140 East 117th Street","2016"
"Hope East of Fifth","11 East 109th Street","2016"
"Hope East of Fifth","2284 2nd Avenue","2016"
"Hope East of Fifth","154 East 124th Street","2016"
"Hope East of Fifth","2330 2nd Avenue","2016"
"Hope East of Fifth","157 East 117th Street","2016"
"Hope East of Fifth","316 East 116th Street","2016"
"Hope East of Fifth","23 East 108th Street","2016"
"Hope East of Fifth","112 East 117th Street","2016"
"Hope East of Fifth","129 East 123rd Street","2016"
"Hope East of Fifth","425 East 115th Street","2016"
"Hope East of Fifth","423 East 115th Street","2016"
"Hope East of Fifth","2158 2nd Avenue","2016"
"Hope East of Fifth","344 East 112th Street","2016"
"Hope East of Fifth","162 East 105th Street","2016"
"Hope East of Fifth","426 East 115th Street","2016"
"Hope East of Fifth","247 East 111th Street","2016"
"Hope East of Fifth","120 East 117th Street","2016"
"Hope East of Fifth","8 East 110th Street","2016"
"Hope East of Fifth","2164 2nd Avenue","2016"
"Hope East of Fifth","429 East 115th Street","2016"
"Hope East of Fifth","24 East 109th Street","2016"
"Hope East of Fifth","307 East 111th Street","2016"
"Hope East of Fifth","212 East 111th Street","2016"
"Hope East of Fifth","422 East 115th Street","2016"
"Hope East of Fifth","18 East 109th Street","2016"
"Hope East of Fifth","22 East 109th Street","2016"
"Hope East of Fifth","334 East 112th Street","2016"
"Hope East of Fifth","224 East 122nd Street","2016"
"The Crossing at Jamaica Station - High Rise","147-40 Archer Avenue","2016"
"The Crossing at Jamaica Station - Mid Rise","148-10 Archer Avenue","2016"
"Thessalonia Manor","960 Prospect Avenue","2016"
"Fulton House","425 West 18th Street","2016"
"Bronx Commons","443 East 162nd Street","2016"
"Morris II Apartments","2980 Park Avenue","2017"
"Compass Residences 5","1903 West Farms Road","2017"
"MLK Plaza","869 East 147th Street","2017"
"Tree of Life","89-50 164th Street","2017"
"Gilbert on First/ Draper Hall Phase II","1918 First Avenue","2017"
"Concourse Village West Apts","180 East 156th Street","2017"
"Concourse Village West Apts","741 Concourse Village West","2017"
"Concourse Village West Apts","702 Grand Concourse","2017"
"Lexington Gardens II","1461 Park Avenue","2017"
"BEC Phase II Resyndication","351 41st Street","2017"
"BEC Phase II Resyndication","354 41st Street","2017"
"BEC Phase II Resyndication","358 41st Street","2017"
"BEC Phase II Resyndication","555 49th Street","2017"
"BEC Phase II Resyndication","152 Albany Avenue","2017"
"BEC Phase II Resyndication","164 Albany Avenue","2017"
"BEC Phase II Resyndication","1439 Bedford Avenue","2017"
"BEC Phase II Resyndication","1453 Bedford Avenue","2017"
"BEC Phase II Resyndication","1455 Bedford Avenue","2017"
"BEC Phase II Resyndication","1458 Bedford Avenue","2017"
"BEC Phase II Resyndication","1057 Bergen Street","2017"
"BEC Phase II Resyndication","261 Buffalo Avenue","2017"
"BEC Phase II Resyndication","1347 Eastern Parkway","2017"
"BEC Phase II Resyndication","118 Fenimore Street","2017"
"BEC Phase II Resyndication","634 Franklin Avenue","2017"
"BEC Phase II Resyndication","645 Franklin Avenue","2017"
"BEC Phase II Resyndication","782 Franklin Avenue","2017"
"BEC Phase II Resyndication","683 Franklin Avenue","2017"
"BEC Phase II Resyndication","75 Hanson Place","2017"
"BEC Phase II Resyndication","67 Hanson Place","2017"
"BEC Phase II Resyndication","145 Hart Street","2017"
"BEC Phase II Resyndication","155 Hart Street","2017"
"BEC Phase II Resyndication","122 Kingston Avenue","2017"
"BEC Phase II Resyndication","285 Lincoln Place","2017"
"BEC Phase II Resyndication","1234 Lincoln Place","2017"
"BEC Phase II Resyndication","974 Myrtle Avenue","2017"
"BEC Phase II Resyndication","637 Park Place","2017"
"BEC Phase II Resyndication","723 Park Place","2017"
"BEC Phase II Resyndication","981 Park Place","2017"
"BEC Phase II Resyndication","19 Patchen Avenue","2017"
"BEC Phase II Resyndication","22a Patchen Avenue","2017"
"BEC Phase II Resyndication","581 Prospect Place","2017"
"BEC Phase II Resyndication","340 St. Johns Place","2017"
"BEC Phase II Resyndication","738 St. Johns Place","2017"
"BEC Phase II Resyndication","264 St. Marks Avenue","2017"
"BEC Phase II Resyndication","718 St. Marks Avenue","2017"
"BEC Phase II Resyndication","171 Tompkins Avenue","2017"
"BEC Phase II Resyndication","165 Van Buren Street","2017"
"BEC Phase II Resyndication","171 Van Buren Street","2017"
"BEC Phase II Resyndication","258A Vernon Avenue","2017"
"BEC Phase II Resyndication","264 Vernon Avenue","2017"
"BEC Phase II Resyndication","643 Willoughby Avenue","2017"
"BEC Phase II Resyndication","685 Willoughby Avenue","2017"
"BEC Phase II Resyndication","736 Willoughby Avenue","2017"
"The Frederick","2395 Fredrick Douglas Boulevard","2017"
"Bedford Green","2865 Creston Avenue","2017"
"Westchester Mews","2035 Newbold Avenue","2017"
"Westchester Mews","2044 Westchester Avenue","2017"
"Wilfrid East & West","1888 Bathgate Avenue","2017"
"Wilfrid East & West","4181 Third Avenue","2017"
"Mill Brook Terrace","570 East 137th Street","2017"
"Beach Green Dunes Phase II","4519 Rockaway Beach Boulevard","2017"
"Nehemiah Spring Creek 4B-1","475 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","479 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","481 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","483 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","485 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","487 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","489 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","491 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","493 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","494 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","495 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","496 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","497 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","498 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","500 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","502 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","504 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","506 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","508 Vandalia Avenue","2017"
"Nehemiah Spring Creek 4B-1","510 Vandalia Avenue","2017"
"La Central - Bronxchester","556 Bergen Avenue","2017"
"La Central - Bronxchester","600 Bergen Avenue","2017"
"985 Bruckner Boulevard","985 Bruckner Boulevard","2017"
"600 East 156th Street","735 Cauldwell Avenue","2017"
"Compass Residences Three","1560 Boone Avenue","2017"
"Creston Parkview","2519 Creston Avenue","2017"
"West 127th Street Residence","302 West 127th Street","2018"
"West 127th Street Residence","304 West 127th Street","2018"
"West 127th Street Residence","306 West 127th Street","2018"
"West 127th Street Residence","308 West 127th Street","2018"
"West 127th Street Residence","310 West 127th Street","2018"
"West 127th Street Residence","312 West 127th Street","2018"
"PRC Tiffany Street","975 Tiffany Street","2018"
"Mosholu Grand","150 Van Cortlandt Avenue","2018"
"Northeastern Towers Annex","131-10 Guy R Brewer Boulevard","2018"
"Clarke Place Senior Residence","112 Clarke Place East","2018"
"Augustina Apartments","14-14 Central Avenue","2018"
"Archer Green Apartments","92-29 168th Street","2018"
"Ebenezer Plaza (Phase 1A)","94 New Lots Avenue","2018"
"Second Farms","1932 Bryant Avenue","2018"
"Rockaway Village Phase 1","1720 Mott Avenue","2018"
"Rockaway Village Phase 1","1725 Mott Avenue","2018"
"Coney Island Phase 1","2926 West 19th Street","2018"
"WSFSSH at West 108th Street","143 West 108th Street","2018"
"WSFSSH at West 108th Street","149 West 108th Street","2018"
"WSFSSH at West 108th Street","151 West 108th Street","2018"
"Linden Terrace","2858 Linden Boulevard","2018"
"Randy Watson Apartments","1755 Watson Avenue","2018"
"Victory Plaza","11 West 118th Street","2018"
"Hunters Point South Parcel C - North Tower","52-03 2nd Street","2018"
"Hunters Point South - South Tower","52-41 50th  Avenue","2018"
"Del Sur","1490 Southern Boulevard","2018"
"125 MEC Center Parcel B West","2319 Third Avenue","2018"
"Van Dyke III","405 Dumont Avenue","2018"
"Riverwalk 8","1460 Main Street","2018"
"Bedford Courts - Buildings 2 & 3","1089 President Street","2019"
"Bedford Courts - Buildings 2 & 3","1101 President Street","2019"
"Nehemiah Spring Creek 4B-2","402 SCHROEDERS AVENUE","2019"
"Nehemiah Spring Creek 4B-2","398 SCHROEDERS AVENUE","2019"
"Nehemiah Spring Creek 4B-2","396 SCHROEDERS AVENUE","2019"
"Nehemiah Spring Creek 4B-2","1115 ASHFORD STREET","2019"
"Nehemiah Spring Creek 4B-2","516 SCHROEDERS AVENUE","2019"
"Nehemiah Spring Creek 4B-2","129 GATEWAY DRIVE","2019"
"Nehemiah Spring Creek 4B-2","1121 ASHFORD STREET","2019"
"Nehemiah Spring Creek 4B-2","1111 ASHFORD STREET","2019"
"Nehemiah Spring Creek 4B-2","502 SCHROEDERS AVENUE","2019"
"Nehemiah Spring Creek 4B-2","401 SCHROEDERS AVENUE","2019"
"Nehemiah Spring Creek 4B-2","1123 ASHFORD STREET","2019"
"Nehemiah Spring Creek 4B-2","500 SCHROEDERS AVENUE","2019"
"Nehemiah Spring Creek 4B-2","392 SCHROEDERS AVENUE","2019"
"1675 Westchester Avenue","1675 WESTCHESTER AVENUE","2019"
"The Peninsula Building 1B","720 TIFFANY STREET","2019"
"50 Penn","50 PENNSYLVANIA AVENUE","2019"
"Halletts Point Building 7","3-24 27 th AVENUE","2019"
"Park Haven","345 ST ANNS AVENUE","2019"
"Sendero Verde B","60 EAST 112th STREET","2019"
"Sendero Verde B","75 EAST 111th STREET","2019"
"1769 Jerome Avenue","1769 JEROME AVENUE","2019"
"River Crest Phase A","1164 RIVER AVENUE","2019"
"Betances Senior Residence","445 EAST 142ND STREET","2019"
"Ebenezer Plaza (Phase 1B)","96 NEW LOTS AVENUE","2019"
"Apex Place","11041 COLONIAL AVENUE","2019"
"Apex Place","10875 62nd DRIVE","2019"
"Apex Place","62-11 108th STREET","2019"
"RadRoc","19-38 CORNAGA AVENUE","2019"
"RadRoc","10-18 BEACH 20th STREET","2019"
"J2 147-07 94th Avenue LI LLC","147-25 94 th AVENUE","2019"
"Hunters Point South F & G","1-15 57th AVENUE","2019"
"Hunters Point South F & G","57-28 2nd STREET","2019"
"Chestnut Commons Apartments","3269 ATLANTIC AVENUE","2019"
"Beach 21st","1047 BEACH 21st STREET","2019"
"Westchester Avenue","980 WESTCHESTER AVENUE","2019"
"425 Grand Concourse","425 GRAND CONCOURSE","2019"
"Rockaway Village Phase 2","20-02 MOTT AVENUE","2019"
"Rockaway Village Phase 2","20-10 MOTT AVENUE","2019"
"Parkchester Gardens","1611 PURDY STREET","2020"
"Parkchester Gardens","1701 PURDY STREET","2020"
"37 Hillside","37 HILLSIDE AVENUE","2020"
"1911 Atlantic Avenue","1911 ATLANTIC AVENUE","2020"
"Melrose North","341 EAST 162ND STREET","2020"
"Linden Terrace II","573 AMBER STREET","2020"
"Compass Six Residences","1923 WEST FARMS ROAD","2020"
"Twin Parks Terrace","2291 WEBSTER AVENUE","2020"
"Bronx Point","575 EXTERIOR STREET","2020"
"Rockaway Village Phase 3","17-21 REDFERN AVENUE","2020"
"The Eliza Apartments/Inwood Library","4790 BROADWAY","2021"
"Simba Simbi: Serving Our Seniors","381 CHESTER STREET","2021"
"Greenpoint Landing H1H2","45 COMMERCIAL STREET","2021"
"St. Francis Commons","1544 SHAKESPEARE AVENUE","2021"
"Sendero Verde A","50 EAST 112 STREET","2021"
"Atrium at Sumner","57 MARCUS GARVEY BOULEVARD","2021"
"The Willow","750 EAST 134 STREET","2021"
"150 S. Portland/Hanson Place","142-150 SOUTH PORTLAND AVENUE","2021"
"Atlantic Chestnut I","250 EUCLID AVENUE","2021"
"Casa Celina","1810 WATSON AVENUE","2021"
"River Crest Phase B","1164 RIVER AVENUE","2021"
"HELP One Building A","273 SUTTER AVENUE","2021"
"2080 Boston Road","2080 BOSTON ROAD","2021"
"Rockaway Village - Phase 4","1607 VILLAGE LANE","2021"
"Rockaway Village - Phase 4","1605 VILLAGE LANE","2021"
"Linden Terrace III","583 EMERALD STREET","2021"
"Coney Island Phase 2","1607 SURF AVENUE","2021"
