"school_year","dbn","location","location_type","total_gc_sw","total_gc","full_time","part_time","bilingual","serving_more_than_one_location","atr","_2014_enrollment_pk_12","ratio_gc_sw","ratio_gc_only","unnamed_column","unnamed_column_1","unnamed_column_2","unnamed_column_3"
"2014-15","03M417","03M417 - FRANK MCCOURT HIGH SCHOOL","HIGH SCHOOL","2","2","2",,,,,"387","194","194",,,,
"2014-15","03M421","03M421 - WEST PREP ACADEMY","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1.4","1.4","1","0.4","0.4","0.4",,"195","98","98",,,,
"2014-15","03M452","03M452 - P.S. 452","ELEMENTARY","1","0",,,,,,"286","286",,,,,
"2014-15","03M479","03M479 - BEACON HIGH SCHOOL","HIGH SCHOOL","3.8","3.8","3","0.8",,,,"1285","322","322",,,,
"2014-15","03M485","03M485 - FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART A","HIGH SCHOOL","8.2","7.2","7","0.2",,,,"2635","293","330",,,,
"2014-15","03M492","03M492 - HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC","HIGH SCHOOL","2","2","2",,"1",,,"510","255","255",,,,
"2014-15","03M494","03M494 - HIGH SCHOOL OF ARTS AND TECHNOLOGY","HIGH SCHOOL","4","3","3",,"1",,,"594","149","198",,,,
"2014-15","03M505","03M505 - EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL","HIGH SCHOOL","5","2","2",,,,,"526","106","263",,,,
"2014-15","03M541","03M541 - MANHATTAN / HUNTER SCIENCE HIGH SCHOOL","HIGH SCHOOL","2.4","1.4","1","0.4",,,,"451","151","226",,,,
"2014-15","03M859","03M859 - SPECIAL MUSIC SCHOOL","K-8","0.6","0.6",,"0.6",,,,"231","231","231",,,,
"2014-15","03M860","03M860 - FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL","SECONDARY SCHOOL","4","4","4",,,,,"411","103","103",,,,
"2014-15","03M862","03M862 - MOTT HALL II","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1.6","1.6","1","0.6",,,,"338","169","169",,,,
"2014-15","04M007","04M007 - P.S. 007 SAMUEL STERN","K-8","1","0",,,,,,"385","385",,,,,
"2014-15","04M012","04M012 - TAG YOUNG SCHOLARS","K-8","1","1","1",,,,,"538","538","538",,,,
"2014-15","04M013","04M013 - J.H.S. 013 JACKIE ROBINSON","JUNIOR HIGH-INTERMEDIATE-MIDDLE","0.4","0",,,,,,"37","37",,,,,
"2014-15","04M037","04M037 - RIVER EAST ELEMENTARY","ELEMENTARY","1","1","1",,,,,"221","221","221",,,,
"2014-15","04M038","04M038 - P.S. 38 ROBERTO CLEMENTE","ELEMENTARY","1","0",,,,,,"265","265",,,,,
"2014-15","04M050","04M050 - P.S. 050 VITO MARCANTONIO","K-8","3","2","2",,,,,"338","113","169",,,,
"2014-15","04M057","04M057 - JAMES WELDON JOHNSON","K-8","3","1","1",,,,,"856","286","856",,,,
"2014-15","04M072","04M072 - THE LEXINGTON ACADEMY","ELEMENTARY","1.8","0.8",,"0.8",,"0.8",,"563","282","563",,,,
"2014-15","04M083","04M083 - P.S. 083 LUIS MUNOZ RIVERA","ELEMENTARY","1","1","1",,,,,"445","445","445",,,,
"2014-15","04M096","04M096 - P.S. 096 JOSEPH LANZETTA","K-8","3","1","1",,"1",,,"455","152","455",,,,
"2014-15","04M102","04M102 - P.S. 102 JACQUES CARTIER","ELEMENTARY","2","0",,,,,,"316","158",,,,,
"2014-15","04M108","04M108 - P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL C","K-8","3","2","2",,,,,"626","209","313",,,,
"2014-15","04M112","04M112 - P.S. 112 JOSE CELSO BARBOSA","EARLY CHILDHOOD","2.6","0.2",,"0.2",,"0.2",,"364","122","364",,,,
"2014-15","04M146","04M146 - P.S. 146 ANN M. SHORT","ELEMENTARY","3","0",,,,,,"416","139",,,,,
"2014-15","04M155","04M155 - P.S. 155 WILLIAM PACA","ELEMENTARY","1","1","1",,,,,"360","360","360",,,,
"2014-15","04M171","04M171 - P.S. 171 PATRICK HENRY","K-8","3","1","1",,,,,"728","243","728",,,,
"2014-15","04M182","04M182 - THE BILINGUAL BICULTURAL SCHOOL","ELEMENTARY","1","0",,,,,,"360","360",,,,,
"2014-15","04M206","04M206 - P.S. 206 JOSE CELSO BARBOSA","ELEMENTARY","2","0",,,,,,"472","236",,,,,
"2014-15","04M224","04M224 - M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMIC","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,"1",,,"166","166","166",,,,
"2014-15","04M372","04M372 - ESPERANZA PREPARATORY ACADEMY","SECONDARY SCHOOL","3","3","3",,"1",,,"507","169","169",,,,
"2014-15","04M375","04M375 - MOSAIC PREPARATORY ACADEMY","ELEMENTARY","1.4225","0",,,,,,"337","169",,,,,
"2014-15","04M377","04M377 - RENAISSANCE SCHOOL OF THE ARTS","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"167","167","167",,,,
"2014-15","04M381","04M381 - GLOBAL NEIGHBORHOOD SECONDARY SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"142","142","142",,,,
"2014-15","04M406","04M406 - GLOBAL TECHNOLOGY PREPARATORY","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"177","177","177",,,,
"2014-15","04M409","04M409 - COALITION SCHOOL FOR SOCIAL CHANGE","HIGH SCHOOL","1","1","1",,,,"1","283","142","142",,,,
"2014-15","04M435","04M435 - MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS","HIGH SCHOOL","5","4","4",,"3",,,"1603","321","401",,,,
"2014-15","04M495","04M495 - PARK EAST HIGH SCHOOL","HIGH SCHOOL","3","3","3",,,,,"413","138","138",,,,
"2014-15","04M497","04M497 - CENTRAL PARK EAST I","ELEMENTARY","0.6","0",,,,,,"199","199",,,,,
"2014-15","04M555","04M555 - CENTRAL PARK EAST HIGH SCHOOL","HIGH SCHOOL","4","2","2",,"1",,,"466","117","233",,,,
"2014-15","04M610","04M610 - YOUNG WOMEN'S LEADERSHIP SCHOOL","SECONDARY SCHOOL","1","1","1",,,,,"480","480","480",,,,
"2014-15","04M680","04M680 - HERITAGE SCHOOL, THE","HIGH SCHOOL","3","3","3",,"2",,,"322","108","108",,,,
"2014-15","04M825","04M825 - ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,,,,"277","139","277",,,,
"2014-15","04M964","04M964 - CENTRAL PARK EAST II","ELEMENTARY","1","1","1",,"1",,,"281","281","281",,,,
"2014-15","05M030","05M030 - P.S. 030 HERNANDEZ/HUGHES","ELEMENTARY","5","3","3",,"1",,,"287","58","96",,,,
"2014-15","05M036","05M036 - P.S. 036 MARGARET DOUGLAS","ELEMENTARY","1","1","1",,,,,"537","537","537",,,,
"2014-15","05M046","05M046 - P.S. 046 ARTHUR TAPPAN","ELEMENTARY","2","1","1",,,,,"859","430","859",,,,
"2014-15","05M092","05M092 - P.S. 092 MARY MCLEOD BETHUNE","ELEMENTARY","1","0",,,,,,"308","308",,,,,
"2014-15","05M123","05M123 - P.S. 123 MAHALIA JACKSON","K-8","2","1","1",,,,"1","575","192","288",,,,
"2014-15","05M125","05M125 - P.S. 125 RALPH BUNCHE","ELEMENTARY","1","0",,,,,,"218","218",,,,,
"2014-15","05M129","05M129 - P.S. 129 JOHN H. FINLEY","K-8","1","1","1",,"1",,,"491","491","491",,,,
"2014-15","05M133","05M133 - P.S. 133 FRED R MOORE","ELEMENTARY","2","1","1",,,,,"235","118","235",,,,
"2014-15","05M148","05M148 - EAGLE ACADEMY FOR YOUNG MEN OF HARLEM","SECONDARY SCHOOL","1","0",,,,,,"140","140",,,,,
"2014-15","05M154","05M154 - P.S. 154 HARRIET TUBMAN","ELEMENTARY","3","1","1",,,,,"320","107","320",,,,
"2014-15","05M157","05M157 - THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE","HIGH SCHOOL","1","1","1",,,,,"164","164","164",,,,
"2014-15","05M161","05M161 - P.S. 161 PEDRO ALBIZU CAMPOS","K-8","3","2","2",,,,,"884","295","442",,,,
"2014-15","05M175","05M175 - P.S. 175 HENRY H GARNET","ELEMENTARY","2","1","1",,,,,"368","184","368",,,,
"2014-15","05M194","05M194 - P.S. 194 COUNTEE CULLEN","ELEMENTARY","1","1","1",,,,,"173","173","173",,,,
"2014-15","05M197","05M197 - P.S. 197 JOHN B. RUSSWURM","ELEMENTARY","2","1","1",,,,,"326","163","326",,,,
"2014-15","05M200","05M200 - P.S. 200- THE JAMES MCCUNE SMITH SCHOOL","ELEMENTARY","4","2","2",,,,,"504","126","252",,,,
"2014-15","05M285","05M285 - HARLEM RENAISSANCE HIGH SCHOOL","HIGH SCHOOL","2","1","1",,,,,"210","105","210",,,,
"2014-15","05M286","05M286 - I.S. M286 RENAISSANCE LEADERSHIP ACADEMY","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"177","177","177",,,,
"2014-15","05M302","05M302 - KAPPA IV","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"198","198","198",,,,
"2014-15","05M304","05M304 - MOTT HALL HIGH SCHOOL","HIGH SCHOOL","4","3","3",,,,,"428","107","143",,,,
"2014-15","05M318","05M318 - THURGOOD MARSHALL ACADEMY LOWER SCHOOL","ELEMENTARY","1","1","1",,,,,"221","221","221",,,,
"2014-15","05M362","05M362 - COLUMBIA SECONDARY SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,,,,"659","330","330",,,,
"2014-15","05M367","05M367 - ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL","SECONDARY SCHOOL","2","1","1",,"1",,,"234","117","234",,,,
"2014-15","05M369","05M369 - URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS","HIGH SCHOOL","1","1","1",,,,"1","358","179","179",,,,
"2014-15","05M410","05M410 - THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"93","93","93",,,,
"2014-15","05M469","05M469 - CHOIR ACADEMY OF HARLEM","SECONDARY SCHOOL","1","1","1",,,,,"77","77","77",,,,
"2014-15","05M499","05M499 - FREDERICK DOUGLASS ACADEMY","SECONDARY SCHOOL","5","4","4",,"1",,"1","1428","238","286",,,,
"2014-15","05M514","05M514 - NEW DESIGN MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2.2","1.2","1","0.2",,"0.2",,"276","92","138",,,,
"2014-15","05M517","05M517 - TEACHERS COLLEGE COMMUNITY SCHOOL","ELEMENTARY","0","0",,,,,,"218",,,,,,
"2014-15","05M670","05M670 - THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL","SECONDARY SCHOOL","2","2","2",,,,,"561","281","281",,,,
"2014-15","05M685","05M685 - BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL","HIGH SCHOOL","1","0",,,,,,"100","100",,,,,
"2014-15","05M692","05M692 - HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERI","HIGH SCHOOL","3","2","2",,,,,"470","157","235",,,,
"2014-15","06M004","06M004 - P.S. 004 DUKE ELLINGTON","ELEMENTARY","2","1","1",,,,,"684","342","684",,,,
"2014-15","06M005","06M005 - P.S. 005 ELLEN LURIE","ELEMENTARY","3","1","1",,,,,"696","232","696",,,,
"2014-15","06M008","06M008 - P.S. 008 LUIS BELLIARD","ELEMENTARY","2","1","1",,,,,"581","291","581",,,,
"2014-15","06M018","06M018 - P.S. 018 PARK TERRACE","K-8","1","0",,,,,,"396","396",,,,,
"2014-15","06M028","06M028 - P.S. 028 WRIGHT BROTHERS","ELEMENTARY","3","2","2",,,,,"766","256","383",,,,
"2014-15","06M048","06M048 - P.S. 048 P.O. MICHAEL J. BUCZEK","ELEMENTARY","3","1","1",,"1",,,"618","206","618",,,,
"2014-15","06M052","06M052 - J.H.S. 052 INWOOD","JUNIOR HIGH-INTERMEDIATE-MIDDLE","3","0",,,,,,"481","161",,,,,
"2014-15","06M098","06M098 - P.S. 098 SHORAC KAPPOCK","ELEMENTARY","2","1","1",,"1",,,"625","313","625",,,,
"2014-15","06M103","06M103 - DOS PUENTES ELEMENTARY SCHOOL","ELEMENTARY","0.4","0.4",,"0.4",,"0.4",,"135","135","135",,,,
"2014-15","06M115","06M115 - P.S. 115 ALEXANDER HUMBOLDT","ELEMENTARY","2","1","1",,,,,"550","275","550",,,,
"2014-15","06M128","06M128 - P.S. 128 AUDUBON","ELEMENTARY","3","2","2",,"1",,,"626","209","313",,,,
"2014-15","06M132","06M132 - P.S. 132 JUAN PABLO DUARTE","ELEMENTARY","2","1","1",,"1",,"1","535","179","268",,,,
"2014-15","06M143","06M143 - J.H.S. 143 ELEANOR ROOSEVELT","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,"2",,,"398","199","199",,,,
"2014-15","06M152","06M152 - P.S. 152 DYCKMAN VALLEY","ELEMENTARY","2","1","1",,"1",,,"664","332","664",,,,
"2014-15","06M153","06M153 - P.S. 153 ADAM CLAYTON POWELL","ELEMENTARY","5","2","2",,"2",,,"795","159","398",,,,
"2014-15","06M173","06M173 - P.S. 173","ELEMENTARY","2","1","1",,,,,"629","315","629",,,,
"2014-15","06M178","06M178 - PROFESSOR JUAN BOSCH PUBLIC SCHOOL","EARLY CHILDHOOD","2","0",,,,,,"271","136",,,,,
"2014-15","06M187","06M187 - P.S./I.S. 187 HUDSON CLIFFS","K-8","1","1","1",,,,"1","792","396","396",,,,
"2014-15","06M189","06M189 - P.S. 189","ELEMENTARY","2","2","2",,"1",,,"1066","533","533",,,,
"2014-15","06M192","06M192 - P.S. 192 JACOB H. SCHIFF","ELEMENTARY","2.5","1","1",,,,,"314","105","314",,,,
"2014-15","06M209","06M209 - HAMILTON GRANGE MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","0","0",,,,,,"75",,,,,,
"2014-15","06M210","06M210 - P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR C","K-8","1.4","1.4","1","0.4","1","0.4",,"438","219","219",,,,
"2014-15","06M211","06M211 - INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE","HIGH SCHOOL","1","0",,,,,,"87","87",,,,,
"2014-15","06M218","06M218 - I.S. 218 SALOME URENA","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"241","241","241",,,,
"2014-15","06M223","06M223 - THE MOTT HALL SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"280","280","280",,,,
"2014-15","06M278","06M278 - PAULA HEDBAVNY SCHOOL","K-8","1","1","1",,,,,"538","538","538",,,,
"2014-15","06M293","06M293 - CITY COLLEGE ACADEMY OF THE ARTS","SECONDARY SCHOOL","3","3","3",,"2",,,"587","196","196",,,,
"2014-15","06M311","06M311 - AMISTAD DUAL LANGUAGE SCHOOL","K-8","1","1","1",,,,,"428","428","428",,,,
"2014-15","06M314","06M314 - MUSCOTA","ELEMENTARY","0","0",,,,,,"259",,,,,,
"2014-15","06M319","06M319 - M.S. 319 - MARIA TERESA","JUNIOR HIGH-INTERMEDIATE-MIDDLE","3","2","2",,"1",,,"615","205","308",,,,
"2014-15","06M322","06M322 - MIDDLE SCHOOL 322","JUNIOR HIGH-INTERMEDIATE-MIDDLE","0.2","0.2",,"0.2",,,,"323","323","323",,,,
"2014-15","06M324","06M324 - M.S. 324 - PATRIA MIRABAL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,"1",,,"476","476","476",,,,
"2014-15","06M325","06M325 - P.S. 325","ELEMENTARY","0.5","0",,,,,,"280","280",,,,,
"2014-15","06M326","06M326 - M.S. 326 - WRITERS TODAY & LEADERS TOMORROW","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","0",,,,,,"210","210",,,,,
"2014-15","06M328","06M328 - M.S. 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"213","213","213",,,,
"2014-15","06M346","06M346 - COMMUNITY HEALTH ACADEMY OF THE HEIGHTS","SECONDARY SCHOOL","4","3","3",,,,,"629","158","210",,,,
"2014-15","06M348","06M348 - WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL","SECONDARY SCHOOL","4","1","1",,"1",,,"705","177","705",,,,
"2014-15","06M349","06M349 - HARBOR HEIGHTS","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,"1",,,"137","137","137",,,,
"2014-15","06M366","06M366 - WASHINGTON HEIGHTS ACADEMY","ELEMENTARY","1","1","1",,,,,"473","473","473",,,,
"2014-15","06M368","06M368 - HAMILTON HEIGHTS SCHOOL","ELEMENTARY","0","0",,,,,"1","227","227","227",,,,
"2014-15","06M423","06M423 - HIGH SCHOOL FOR EXCELLENCE AND INNOVATION","HIGH SCHOOL","1","1","1",,"1",,,"229","229","229",,,,
"2014-15","06M457","06M457 - GEORGE WASHINGTON YABC","HIGH SCHOOL","1","1","1",,,,,"249","249","249",,,,
"2014-15","06M462","06M462 - THE COLLEGE ACADEMY","HIGH SCHOOL","6","4","4",,"1",,,"491","82","123",,,,
"2014-15","06M463","06M463 - HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS","HIGH SCHOOL","3","3","3",,,,,"479","160","160",,,,
"2014-15","06M467","06M467 - HIGH SCHOOL FOR LAW AND PUBLIC SERVICE","HIGH SCHOOL","2","2","2",,,,,"671","336","336",,,,
"2014-15","06M468","06M468 - HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES","HIGH SCHOOL","2","2","2",,"2",,,"605","303","303",,,,
"2014-15","06M513","06M513 - CASTLE BRIDGE SCHOOL","ELEMENTARY","1","0",,,,,,"152","152",,,,,
"2014-15","06M528","06M528 - I.S. 528 BEA FULLER RODGERS SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,"1",,,"197","197","197",,,,
"2014-15","06M540","06M540 - A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL","HIGH SCHOOL","5","5","5",,"1",,,"1354","271","271",,,,
"2014-15","06M552","06M552 - GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHE","HIGH SCHOOL","2","2","2",,,,,"504","252","252",,,,
"2014-15","07X001","07X001 - P.S. 001 COURTLANDT SCHOOL","ELEMENTARY","3","2","2",,,,,"707","236","354",,,,
"2014-15","07X005","07X005 - PS 5 PORT MORRIS","ELEMENTARY","3","0",,,,,,"799","267",,,,,
"2014-15","07X018","07X018 - P.S. 018 JOHN PETER ZENGER","ELEMENTARY","2","1","1",,,,,"576","288","576",,,,
"2014-15","07X025","07X025 - P.S. 025 BILINGUAL SCHOOL","ELEMENTARY","3","2","2",,,,,"490","164","245",,,,
"2014-15","07X029","07X029 - P.S./M.S. 029 MELROSE SCHOOL","K-8","2","1","1",,,,,"750","375","750",,,,
"2014-15","07X030","07X030 - P.S. 030 WILTON","ELEMENTARY","3","2","2",,,,,"624","208","312",,,,
"2014-15","07X031","07X031 - P.S./M.S. 031 THE WILLIAM LLOYD GARRISON","K-8","2","1","1",,,,,"729","365","729",,,,
"2014-15","07X043","07X043 - P.S. 043 JONAS BRONCK","ELEMENTARY","2","0",,,,,,"525","263",,,,,
"2014-15","07X049","07X049 - P.S. 049 WILLIS AVENUE","ELEMENTARY","3","2","2",,,,,"713","238","357",,,,
"2014-15","07X065","07X065 - P.S. 065 MOTHER HALE ACADEMY","ELEMENTARY","4","3","3",,,,,"423","106","141",,,,
"2014-15","07X151","07X151 - J.H.S. 151 LOU GEHRIG","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,,,,"253","127","127",,,,
"2014-15","07X154","07X154 - P.S. 154 JONATHAN D. HYATT","ELEMENTARY","2","2","2",,,,,"405","203","203",,,,
"2014-15","07X157","07X157 - P.S. 157 GROVE HILL","ELEMENTARY","2","0",,,,,,"655","328",,,,,
"2014-15","07X161","07X161 - P.S. 161 PONCE DE LEON","ELEMENTARY","4","3","3",,"1",,,"529","133","177",,,,
"2014-15","07X162","07X162 - J.H.S. 162 LOLA RODRIGUEZ DE TIO","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"375","375","375",,,,
"2014-15","07X179","07X179 - P.S. 179","ELEMENTARY","1","0",,,,,,"397","397",,,,,
"2014-15","07X203","07X203 - M.S. 203","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","0",,,,,,"73","73",,,,,
"2014-15","07X221","07X221 - SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL","SECONDARY SCHOOL","3","3","3",,,,"1","654","164","164",,,,
"2014-15","07X223","07X223 - M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECH","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,"1",,,"502","251","251",,,,
"2014-15","07X224","07X224 - P.S. / I.S. 224","JUNIOR HIGH-INTERMEDIATE-MIDDLE","3","3","3",,"1",,,"362","121","121",,,,
"2014-15","08X182","08X182 - P.S. 182","ELEMENTARY","2","1","1",,,,,"1000","500","1000",,,,
"2014-15","07X259","07X259 - H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCC","HIGH SCHOOL","2","0",,,,,,"231","116",,,,,
"2014-15","07X277","07X277 - P.S. 277","ELEMENTARY","1.4","0.4",,"0.4",,"0.4",,"468","234","468",,,,
"2014-15","07X296","07X296 - SOUTH BRONX ACADEMY FOR APPLIED MEDIA","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"349","349","349",,,,
"2014-15","07X298","07X298 - ACADEMY OF PUBLIC RELATIONS","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,"1",,,"352","352","352",,,,
"2014-15","07X321","07X321 - CROTONA ACADEMY HIGH SCHOOL","HIGH SCHOOL","1","1","1",,,,,"104","104","104",,,,
"2014-15","07X334","07X334 - INTERNATIONAL COMMUNITY HIGH SCHOOL","HIGH SCHOOL","2","2","2",,,,,"463","232","232",,,,
"2014-15","07X343","07X343 - ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"306","306","306",,,,
"2014-15","07X359","07X359 - CONCOURSE VILLAGE ELEMENTARY SCHOOL","ELEMENTARY","1","1","1",,,,,"275","275","275",,,,
"2014-15","07X369","07X369 - YOUNG LEADERS ELEMENTARY SCHOOL","ELEMENTARY","1","1","1",,,,,"270","270","270",,,,
"2014-15","07X379","07X379 - JILL CHAIFETZ TRANSFER HIGH SCHOOL","HIGH SCHOOL","1","0",,,,,,"190","190",,,,,
"2014-15","07X381","07X381 - BRONX HAVEN HIGH SCHOOL","HIGH SCHOOL","1","1","1",,,,,"173","173","173",,,,
"2014-15","07X385","07X385 - PERFORMANCE SCHOOL","ELEMENTARY","2","0",,,,,,"143","72",,,,,
"2014-15","07X427","07X427 - COMMUNITY SCHOOL FOR SOCIAL JUSTICE","HIGH SCHOOL","3","1","1",,,,,"324","108","324",,,,
"2014-15","07X473","07X473 - MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL","HIGH SCHOOL","2","1","1",,"1",,,"364","182","364",,,,
"2014-15","07X495","07X495 - UNIVERSITY HEIGHTS SECONDARY SCHOOL","HIGH SCHOOL","4.8","0.4",,"0.4",,,,"486","98","486",,,,
"2014-15","07X500","07X500 - HOSTOS-LINCOLN ACADEMY OF SCIENCE","SECONDARY SCHOOL","1","1","1",,,,,"544","544","544",,,,
"2014-15","07X520","07X520 - FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES","HIGH SCHOOL","2","2","2",,,,,"145","73","73",,,,
"2014-15","07X522","07X522 - BRONX DESIGN AND CONSTRUCTION ACADEMY","HIGH SCHOOL","2","1","1",,,,,"563","282","563",,,,
"2014-15","07X527","07X527 - BRONX LEADERSHIP ACADEMY II HIGH SCHOOL","HIGH SCHOOL","3","2","2",,,,,"495","165","248",,,,
"2014-15","07X547","07X547 - NEW EXPLORERS HIGH SCHOOL","HIGH SCHOOL","4","3","3",,"1",,"1","475","95","119",,,,
"2014-15","07X548","07X548 - URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS","HIGH SCHOOL","3","2","2",,,,,"587","196","294",,,,
"2014-15","07X551","07X551 - THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS","SECONDARY SCHOOL","2","1","1",,,,"1","591","197","296",,,,
"2014-15","07X557","07X557 - MOTT HAVEN COMMUNITY HIGH SCHOOL","HIGH SCHOOL","2","2","2",,"1",,,"249","125","125",,,,
"2014-15","07X600","07X600 - ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIG","HIGH SCHOOL","4","3","3",,"1",,,"375","94","125",,,,
"2014-15","07X655","07X655 - SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH","HIGH SCHOOL","1","1","1",,"1",,,"78","78","78",,,,
"2014-15","07X670","07X670 - HEALTH OPPORTUNITIES HIGH SCHOOL","HIGH SCHOOL","3","3","3",,,,,"554","185","185",,,,
"2014-15","08X014","08X014 - P.S. X014 SENATOR JOHN CALANDRA","ELEMENTARY","1","1","1",,,,,"612","612","612",,,,
"2014-15","08X036","08X036 - P.S. 036 UNIONPORT","ELEMENTARY","1.2","1","1",,"1",,,"789","395","789",,,,
"2014-15","08X048","08X048 - P.S. 048 JOSEPH R. DRAKE","ELEMENTARY","4","0",,,,,,"873","219",,,,,
"2014-15","08X062","08X062 - P.S. 062 INOCENSIO CASANOVA","ELEMENTARY","1.8","0",,,,,,"798","399",,,,,
"2014-15","08X069","08X069 - P.S. 069 JOURNEY PREP SCHOOL","ELEMENTARY","2.8","1.8","1","0.8","1",,,"604","202","302",,,,
"2014-15","08X071","08X071 - P.S. 071 ROSE E. SCALA","K-8","5","2","2",,,,,"1693","339","847",,,,
"2014-15","08X072","08X072 - P.S. 072 DR. WILLIAM DORNEY","ELEMENTARY","3","2","2",,,,,"877","293","439",,,,
"2014-15","08X075","08X075 - P.S. 75 SCHOOL OF RESEARCH AND DISCOVERY","ELEMENTARY","2","1","1",,,,,"611","306","611",,,,
"2014-15","08X093","08X093 - P.S. 093 ALBERT G. OLIVER","ELEMENTARY","3","1","1",,,,,"403","135","403",,,,
"2014-15","08X100","08X100 - P.S. 100 ISAAC CLASON","ELEMENTARY","2","1","1",,,,,"583","292","583",,,,
"2014-15","08X101","08X101 - M.S. X101 EDWARD R. BYRNE","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"496","496","496",,,,
"2014-15","08X107","08X107 - P.S. 107","ELEMENTARY","2","1","1",,,,,"474","237","474",,,,
"2014-15","08X119","08X119 - P.S. 119","ELEMENTARY","3","2","2",,,,,"1030","344","515",,,,
"2014-15","08X123","08X123 - J.H.S. 123 JAMES M. KIERAN","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,"1",,,"411","206","206",,,,
"2014-15","08X125","08X125 - J.H.S. 125 HENRY HUDSON","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"397","397","397",,,,
"2014-15","08X130","08X130 - P.S. 130 ABRAM STEVENS HEWITT","ELEMENTARY","3","1","1",,,,,"482","161","482",,,,
"2014-15","08X131","08X131 - J.H.S. 131 ALBERT EINSTEIN","JUNIOR HIGH-INTERMEDIATE-MIDDLE","4","3","3",,,,,"586","147","196",,,,
