"clientid","resp","qrep","qkey","qcell","sc1","sc2","sc3","sc4","sc4a_1","sc4a_2","sc4c","sc4b","sc4b1","sc4b2","selchild","sc4d","sc4d1","sc5","sc6","sc6a","sc7","mp1","ph1","bc1a","bc1","bc2","bc3","pph1","pph2a","pph2b","pph2c","el1","el3","el4","el7","el8","el9","el10","el11","el12_1","el12_2","el12_3","el12wks","el12mns","el13a","el13b","el13c","el13d","el13e","el14","el15","el16","el17a","el17b","el17c","el17d","el17e","el17f","cp1","cp2","cp3","cp4","cp5","cp6a","cp6b","cp6c","cp7","cp8","cp9","cp10_1","cp10_2","cp10_3","cp10wks","cp10mns","ih1","ih2","ih3","ih4_1","ih4_2","ih4_3","ih4_4","ih4_5","ih5","ih5a_1","ih5a_2","ih5a_3","ih5a_4","bf1_1","bf1_2","bf1_3","bf1_4","bf1_5","bf1wks","bf1mns","bf1a_1","bf1a_2","bf1a_3","bf1a_4","bf1awks","bf1amns","bf2","mh1","mh2","mh3","mh3a","mh4","cc1","sd1_1","sd1_2","sd1wks","sd1mns","sd2","d1","d1yob","d2","fixd2","d3","d4_1","d4_2","d4_3","d4_4","d4_5","d4_6","d5","d6","d7","de1","de2_1","de2_2","de2_3","de2_4","de2_5","de2_6","de3","st1","st2","st3","st4","st5","es1a","es1b","es2","es3","es4","fulladra","qc1","lang","samp_weight","pop_weight","stratum","odate","fdate"
"575","840","14","200575","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","1","10","1","1","1","77","2","2","2","1","2","1","1","9","1","50","1","2",,,"12",,"2","2","8","0","0","1","1",,"1","2","2","1","2","1","2",,,,,,,,,,,,,,,,"5","1","1",,,,,,"2",,,,,"3",,,,,"10",,"2",,,,"10",,"1","5","2",,,"3","5",,,,,"1","1","1976","1","10019","2","1",,,,,,"1",,"6",,,,,,,,,"4","4","4","4","4","4","4","2","12","4","1","2","1","0.79341389495755221","80.875969898420067","1","16-Mar-16","16-Mar-16"
"577","655","13","200577","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","3","3","10","1","1","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","3","2","3","1","777",,,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"2","1",,,,,,"1","5","2",,,"2",,,,,,,"1","1979","1","11215","1","1",,,,,,"56","3","4","1","1",,,,,,"56","4","4","4","4","4","2","4","1","77","4","1","2","2","2.0451031059586007","208.46584397859843","2","9-Mar-16","9-Mar-16"
"580","883","17","200580","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","2","9","1","1","2","1",,,,"1","2","1","2","77","1","12","4",,,,,,,,,,,,"2","3",,,,,,,"1","1","1","1","2","6","2","2","1","40","4",,,,,,"1","2","2","5",,,,,"2",,,,,"5",,,,,,,"3",,,,,"9",,"5","2",,,"1",,,,,,,"1","1992","1","11249","2","1",,,,,,"1",,"4","2","1",,,,,,"1","4","4","4","4","4","4","4","2","10","4","1","1","1","1.7399200491708704","177.35726890682861","2","16-Mar-16","16-Mar-16"
"587","1194","21","200587","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","1","10","1","1","2","1",,,,"1","1","1","1","9","1","19","1","2",,,"2",,"2","0","0","0","0","1","1",,"1","2","2","2","2","2","1","1","1","1","1","3","2","3","1","25","4",,,,,,"1","1","2","5",,,,,"2",,,,,"4",,,,,,"15","3",,,,,"6","4","5","2",,,"1","6","1",,"6",,"1","1","1992","1","12428","2","1",,,,,,"1",,"4","2","1",,,,,,"1","4","4","4","4","4","3","4","2","1","4","1","2","1","0.53133222941839331","54.160898448597763","1","22-Mar-16","22-Mar-16"
"604","694","15","200604","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","3","11","1","1","2","2","1","2","2","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","1","2","1","1","30","1","1",,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"9","3",,,,,"6","7","5","2",,,"1",,,,,,,"1","1989","1","10467","2","3",,,,,,"11","1","6","2","3",,,,,,"11","4","4","4","4","4","4","4","2","2","3","1","1","1","1.820857432010772","185.60755211943484","2","10-Mar-16","10-Mar-16"
"605","115","7","200605","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","1","9","1","1","2","1",,,,"1","2","1","1","9","1","65","1","2",,,"8",,"8","0","6","0","0","1","1",,"1","77","1","2","2","1","1","1","1","1","3","2","2","2","1","80","2","2",,,"2",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"12","3",,,,,"1","3","5","2",,,"3","5",,,,,"1","1","1980","1","11109","2","1",,,,,,"2","3","6","1","77",,,,,,"82","4","4","4","4","4","4","4","2","99","4",,"2","1","0.55166281703499265","56.233279588564123","1","25-Feb-16","25-Feb-16"
"611","134","8","200611","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","1","5","1","1","3","1",,,,"1","2","1","2","77","1","40","4",,,,,,,,,,,,"2","9",,,,,,,"1","1","1","1","1","1","3","5","1","40","1","2",,,"3",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"7","3",,,,,"6","1","5","2",,,"1",,,,,,,"1","1968","1","11233","1","1",,,,,,"26","2","6","1","77",,,,,,"26","4","4","4","4","4","4","4","2","77","4","1","2","2","0.41687400637225663","42.493696928007751","1","25-Feb-16","25-Feb-16"
"614","449","2","200614","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","2","6","1","1","3","2","1","2","1","1","2","1","1","77","1","25","3","2",,,"1",,"1","0","0","0","0","2","1",,"2","2","2","2","1","2","2",,,,,,,,,,,,,,,,"2","1","1",,,,,,"2",,,,,"4",,,,,,"3","3",,,,,"12","1","3","2",,,"2","6","2",,,"4","1","1","1991","1","11219","1","8",,,,,,"1",,"5",,,,,,,,,"4","4","4","4","4","1","4","2","2","2","1","2","1","0.47338028869745141","48.253616709408327","1","3-Mar-16","3-Mar-16"
"627","1295","24","200627","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","3","1","7","1","1","3","1",,,,"1","2","1","1","7","1","35","2","2",,,"4",,,,,,,"1","1",,"1","1","1","1","2","1","2",,,,,,,,,,,,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"2","3",,,,,"3","4","3","2",,,"3","6","2",,,"12","1","1","1983","1","10459","1","1",,,,,,"1",,"3",,,,,,,,,"2","99","2","2","2","3","3","1","1","6","1","2","1","2.5239632132832868","257.27804133445323","2","23-Mar-16","25-Mar-16"
"630","454","10","200630","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","2","5","1","1","3","1",,,,"1","1","1","1","9","1","35","3","3",,,,"12","2","6","0","10","0","1","1",,"1","2","1","2","2","2","1","1","1","1","1","2","6","2","1","40","1","2",,,"2",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"12","3",,,,,"5","1","5","2",,,"2","6","2",,,"17","1","1","1977","1","10305","2","1",,,,,,"64","3","6","2","1",,,,,,"64","4","4","4","4","4","4","4","2","12","3","1","2","1","0.39906000831428728","40.677842202166424","1","3-Mar-16","3-Mar-16"
"658","1379","22","200658","1","1","1","2","1",,,,"1",,,,"2","2",,"1","2","1","0","1","6","1","2","3","1",,,,"1","2","1","1","9","1","40","3","3",,,,"3","1","8","0","3","0","1","1",,"1","1","1","1","2","2","1","1","1","2","3","4","4","4","1","40","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"9","3",,,,,"4","3","5","2",,,"2","6","2",,,"16","1","1","1983","1","07036","2","2",,,,,,"50","3","5","2","2",,,,,,"50","4","4","4","4","3","4","4","2","10","2",,"2","1","0.32575157122426857","33.205209079564291","1","25-Mar-16","25-Mar-16"
"667","1027","20","200667","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","1","7","1","1","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"4","3",,,,,"4","1","3","1","1","3","3",,,,,,,"1","1991","1","11214","2","3",,,,,,"21","3","5",,,,,,,,,"4","1","4","4","2","2","4","2","1","2","1","1","1","1.0598919874253978","108.03918738425814","1","19-Mar-16","19-Mar-16"
"668","527","5","200668","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","2","4","5","1","1","2","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","1","1","1","1","777",,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"6","2",,,,"2",,"1","5","2",,,"2",,,,,,,"1","1979","1","11369","1","8",,,,,,"22","1","3","1","8",,,,,,"82","4","4","4","4","4","4","4","2","77","5",,"2","2","1.5790848025649489","160.96266497340315","2","7-Mar-16","7-Mar-16"
"673","410","5","200673","0","1",,,"1",,,,"1",,,,"1","2",,"1","2","1","6","1","5","1","1","2","1",,,,"1","2","1","2","2","1","20","3","2",,,"6",,"0","4","0","2","0","1","1",,"1","1","77","77","2","2","1","1","1","1","3","5","5","5","1","20","4",,,,,,"1","2","3","5",,,,,"2",,,,,"5",,,,,,,"2",,,,"2",,,"5","2",,,"1","5",,,,,"1","1","1979","1","11219","2","1",,,,,,"1",,"4","2","1",,,,,,"1","4","4","4","4","4","3","4","1","2","9","1","1","1","0.57179558555281196","58.285496207112409","1","1-Mar-16","13-Mar-16"
"676","1171","12","200676","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","2","10","1","1","3","1",,,,"1","1","1","1","9","1","35","2","3",,,,"12",,,,,,"1","4",,"1","1","1","1","2","1","2",,,,,,,,,,,,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"3","3",,,,,"4","1","3","2",,,"4","3",,,,,"2","1","1981","1","10039","2","2",,,,,,"1",,"6",,,,,,,,,"4","4","4","4","3","4","4","1","1","3","1","2","1","0.27560724777380735","28.093790159716526","1","22-Mar-16","22-Mar-16"
"677","1234","24","200677","0","1",,,"1",,,,"1",,,,"1","2",,"1","2","1","4","1","5","1","1","2","1",,,,"1","77","1","1","77","1","777","99",,,,,,,,,,,,"1",,"1","2","2","2","1","2","99",,,,,,,,,,,,,,,,"1","1","1",,,,,,"2",,,,,"77",,,,,,,,,,,,,,"5","2",,,"1","5",,,,,"1","1","1986","1","11204","2","1",,,,,,"1",,"4",,,,,,,,,"4","4","4","4","4","2","4","2","1","8","1","2","1","0.61177711981794392","62.360979863587133","1","23-Mar-16","23-Mar-16"
"681","516","2","200681","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","2","10","1","1","2","1",,,,"1","2","1","1","9","1","50","3","3",,,,"4","2","6","4","8","0","2","1",,"2","1","2","2","2","2","1","1","1","1","2","3","3","5","1","50","1","1",,,,,"2","1","1",,,,,,"2",,,,,"4",,,,,,"11","3",,,,,"5","3","5","2",,,"3","5",,,,,"2","1","1984","1","10282","2","1",,,,,,"67","3","6","2","1",,,,,,"67","4","4","4","4","4","4","4","2","12","4","1","1","1","0.85375464276932767","87.02675265466911","1","6-Mar-16","6-Mar-16"
"686","1251","25","200686","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","1","10","1","2","77","1",,,,"1","77","1","77","77","1","36","1","2",,,"6",,"0","6","6","0","0","1","2","10",,,,,,,"1","1","1","1","4","5","5","5","1","24","1","77",,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"13","3",,,,,"6","5","4","2",,,"1",,,,,,,"1","1978","1","11210","2","2",,,,,,"41","3","5","2","2",,,,,,"41","4","4","4","4","2","4","4","1","5","4","1","2","1","0.54573047346668457","55.62857119751277","1","23-Mar-16","23-Mar-16"
"690","639","15","200690","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","3","10","1","2","3","1",,,,"1","2","1","1","6","1","60","1","2",,,"8",,"0","8","0","0","0","1","1",,"1","2","1","2","2","2","1","1","1","1","2","3","3","3","1","70","2","2",,,"1",,"1","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"1","1","2",,"5","6","1",,"9",,"1","1","1985","1","11226","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","12","3","1","2","1","0.58144382895642066","59.268981684291539","1","9-Mar-16","9-Mar-16"
"693","512","2","200693","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","2","6","1","1","5","2","2","2","1","1","1","1","2","1","1","40","1","2",,,"6",,"0","6","0","0","0","1","1",,"2","2","1","2","1","2","1","1","1","1","1","2","1","1","1","40","2","2",,,"5",,"5","99","3","6",,,,,"2",,,,,"1",,,,,,,,,,,,,,"5","2",,,"2","1",,,,,"1","1","1979","1","11385","2","1",,,,,,"64","2","6","2","1",,,,,,"64","4","4","4","4","4","4","4","2","9","3",,"2","1","0.55166281703499265","56.233279588564123","1","6-Mar-16","6-Mar-16"
"696","1235","24","200696","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","1","8","1","1","2","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","99","1","1","3","2","6","3","1","60","1","2",,,"1",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"9","3",,,,,"6","1","5","2",,,"1",,,,,,,"1","1983","1","10466","2","2",,,,,,"50","3","5","2","2",,,,,,"50","4","4","4","4","4","4","4","2","77","5","1","2","1","0.42490223119377091","43.312047190246695","1","23-Mar-16","23-Mar-16"
"698","1035","18","200698","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","2","4","1","2","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","6","3","3","1","20","2","2",,,"1",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"12","3",,,,,"6","7","77","2",,,"2",,,,,,,"1","1982","1","11218","2","1",,,,,,"29","2","77","2","1",,,,,,"2","4","2","4","3","77","3","4","2","77","1","1","2","1","1.9354614123190601","197.28961128244973","2","19-Mar-16","19-Mar-16"
"699","753","14","200699","1","1","1","2","1",,,,"1",,,,"2","1",,"1","2","1","0","4","6","1","2","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","2","1","1","2","1","60","4",,,,,,"3","1","3","6",,,,,"2",,,,,"4",,,,,,"12","3",,,,,"6","3","4","2",,,"3",,,,,,,"1","1985","1","11220","1","8",,,,,,"56","2","5","1","8",,,,,,"56","4","4","4","2","4","4","3","2","1","3",,"1","2","1.7227847984590801","175.61060171385893","2","12-Mar-16","12-Mar-16"
"702","1106","18","200702","1","1","1","2","1",,,,"1",,,,"2","2",,"1","2","1","0","1","6","1","1","2","1",,,,"1","3","1","1","9","1","45","3","3",,,,"4","6","2","0","0","0","1","4",,"1","2","2","2","2","1","1","1","1","1","2","1","2","3","1","40","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"6","1",,,,,,"1","5","2",,,"3","1",,,,,"1","99",,"1","10031","2","1",,,,,,"36","3","6","2","1",,,,,,"36","4","4","4","4","4","4","4","2","12","2",,"2","1","0.93965752534475233","95.783189855367809","1","21-Mar-16","21-Mar-16"
"703","979","18","200703","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","2","10","1","1","2","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","2","2","4","4","6","1","40","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"3","3",,,,,"3","6","5","2",,,"2",,,,,,,"1","1992","1","10032","1","2",,,,,,"1",,"5","1","2",,,,,,"1","4","4","4","4","4","4","4","2","3","2","1","2","1","1.4016285950078742","142.87381753591083","2","18-Mar-16","18-Mar-16"
"707","1394","25","200707","1","1","1","2","1",,,,"1",,,,"1","1",,"1","1","1","0","2","7","1","1","2","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","2","1","1","1","1","50","2","1",,,,,"3","1","1",,,,,,"2",,,,,"3",,,,,"3",,"1",,,,,,"1","3","2",,,"2",,,,,,,"1","1984","1","11385","2","1",,,,,,"64","3","6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","77","3","1","2","1","1.9765979082417739","201.48282497219725","2","25-Mar-16","25-Mar-16"
"708","493","4","200708","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","1","7","1","1","3","1",,,,"1","2","1","2","3","1","40","1","2",,,"12",,"6","0","6","0","1","1","1",,"1","2","2","2","1","1","1","1","1","1","2","3","1","3","1","40","1","2",,,"2",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"11","1",,,,,,"1","5","2",,,"1","5",,,,,"1","1","1978","1","10027","1","77",,,,,,"1",,"6","2","2",,,,,,"1","4","4","4","4","2","4","4","2","12","3","1","2","1","0.29473435909820894","30.043495968434176","1","5-Mar-16","5-Mar-16"
"717","1351","24","200717","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","2","1","7","1","1","2","1",,,,"1","1","1","2","77","1","30","1","3",,,,"3","0","77","0","77","0","2","2","2",,,,,,,"1","1","1","2","3","6","6","6","77","777",,,,,,,"2","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"5","2",,,"2",,,,,,,"99",,"1","10453","1","1",,,,,,"26","3","3","1","8",,,,,,"26","4","77","4","4","4","1","4","1","1","4","1","1","2","1.0360945453957904","105.61341539125706","1","24-Mar-16","24-Mar-16"
"719","574","12","200719","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","1","10","1","1","2","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","2","4","3","1","40","2","1",,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"3","3",,,,,"6","7","5","2",,,"1",,,,,,,"1","1989","1","11419","2","77",,,,,,"40","77","2","2","77",,,,,,"40","4","4","4","2","4","4","4","2","77","4","1","1","1","2.2628349783603703","230.66015702278108","2","8-Mar-16","10-Mar-16"
"736","499","6","200736","1","1","1","2","1",,,,"1",,,,"1","1",,"1","1","1","1","1","8","1","1","2","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","2","1","3","1","45","3","1",,,,,"1","1","1",,,,,,"2",,,,,"5",,,,,,,"3",,,,,"9",,"5","2",,,"1",,,,,,,"1","1983","1","10007","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","99","4","1","2","1","3.5894109306554216","365.88354732088311","2","5-Mar-16","5-Mar-16"
"738","1141","19","200738","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","1","12","1","2","3","1",,,,"1","3","1","1","6","1","40","2","3",,,,"9",,,,,,"2","4",,"1","2","2","1","2","2","1","1","1","1","1","1","1","1","2","40","4",,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"3","3",,,,,"5","1","5","2",,,"3","1",,,,,"1","1","1987","1","11206","2","2",,,,,,"1",,"6","1","2","4",,,,,"26","4","4","2","4","2","4","4","2","8","3","1","1","1","0.80256536019350555","81.808816716018342","1","22-Mar-16","22-Mar-16"
"767","347","6","200767","1","1","1","2","1",,,,"1",,,,"1","1",,"1","1","1","0","2","6","1","1","2","1",,,,"1","2","1","2","2","2","40","2","3",,,,"10",,,,,,"1","1",,"2","1","1","2","2","2","1","1","1","1","1","1","3","1","1","55","3","2",,,"4",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"15","3",,,,,"5","3","5","2",,,"2","7",,,,,"1","1","1978","1","22306","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","11","3",,"2","1","0.65532934698577328","66.800439061138704","1","29-Feb-16","29-Feb-16"
"771","1163","22","200771","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","2","8","1","1","2","1",,,,"1","2","1","2","5","1","40","3","3",,,,"5","2","0","6","10","0","2","1",,"1","2","2","2","1","2","1","1","1","1","2","2","2","2","1","60","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"6","3",,,,,"5","2","5","2",,,"3","5",,,,,"1","1","1979","1","11217","2","1",,,,,,"1",,"6","2","3",,,,,,"1","4","4","4","4","4","4","4","2","12","4","1","2","1","0.65532934698577328","66.800439061138704","1","22-Mar-16","22-Mar-16"
"774","654","13","200774","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","4","3","1","1","2","3","1",,,,"1","4","1","2","1","2","20","4",,,,,,,,,,,,"2","2",,,,,,,"1","1","1","2","2","3","3","3","1","35","4",,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"7","3",,,,,"4","7","4","2",,,"4",,,,,,,"1","1968","1","11373","1","8",,,,,,"28","3","3","1","8",,,,,,"28","4","4","2","2","4","2","4","1","77","5","1","1","2","1.5237940394704428","155.32664810993347","2","9-Mar-16","9-Mar-16"
"777","1436","25","200777","0","1",,,"1",,,,"1",,,,"2","2",,"1","2","1","0","1","10","1","1","2","2","2","2","2","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","3","6","2","6","1","30","3","2",,,"1",,"1","2","1","5",,,,,"2",,,,,"4",,,,,,"2","1",,,,,,"4","3","2",,,"3",,,,,,,"1","1990","1","11365","2","3",,,,,,"60","3","6","2","3",,,,,,"60","4","4","4","4","4","4","4","2","77","4",,"2","1","2.2114538586764185","225.42266633183627","2","28-Mar-16","28-Mar-16"
"779","940","5","200779","0","1",,,"1",,,,"1",,,,"1","2",,"1","2","1","7","1","12","1","1","2","1",,,,"1","2","1","1","7","1","20","1","2",,,"5",,"0","0","0","0","0","77","1",,"1","2","2","2","1","1","1","1","1","1","4","4","6","4","1","40","4",,,,,,"1","2","2","6",,,,,"2",,,,,"4",,,,,,"14","1",,,,,,"3","5","2",,,"1","6","1",,"6",,"1","1","1981","1","11211","2","1",,,,,,"1",,"4","2","1",,,,,,"48","4","4","4","4","4","4","4","2","10","10","1","2","1","0.61177711981794392","62.360979863587133","1","17-Mar-16","17-Mar-16"
"781","560","12","200781","1","1","1","2","1",,,,"1",,,,"2","2",,"1","2","1","0","3","2","1","1","4","1",,,,"1","4","1","2","4","1","8","2","77",,,,,,,,,,,"2","2",,,,,,,"1","1","1","1","1","6","3","6","1","12","1","2",,,"1",,"2","1","1",,,,,,"2",,,,,"2",,,,,,,"3",,,,,"6","1","5","2",,,"2",,,,,,,"1","1991","1","10456","1","77",,,,,,"56","2","3","1","77",,,,,,"56","4","4","4","4","4","2","2","2","1","3","1","2","2","1.5089281313459755","153.81130442156586","2","8-Mar-16","15-Mar-16"
"788","1059","18","200788","0","1",,,"1",,,,"1",,,,"2","2",,"1","2","1","3","1","12","1","1","2","1",,,,"1","3","1","1","9","2","8","2","2",,,"6",,,,,,,"2","1",,"2","2","2","2","1","2","1","1","1","1","2","4","5","6","1","777",,,,,,,"1","1","2","6",,,,,"2",,,,,"4",,,,,,"15","3",,,,,"8","7","5","2",,,"1","6","2",,,"8","1","1","1989","1","11211","2","1",,,,,,"1",,"4","2","1",,,,,,"1","4","4","4","4","4","3","4","2","77","6","1","2","1","1.8733709195739701","190.96046976609321","2","20-Mar-16","20-Mar-16"
"790","8","1","200790","0","1",,,"1",,,,"1",,,,"2","1",,"1","2","1","0","1","12","1","1","2","1",,,,"1","2","1","1","7","1","25","2","2",,,"6",,,,,,,"1","1",,"1","2","2","2","1","2","1","1","1","1","1","1","1","2","2","0",,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"5","3",,,,,"5","7","5","2",,,"4","5",,,,,"1","1","1990","1","11218","2","1",,,,,,"48","3","4","2","1",,,,,,"48","4","4","4","4","4","3","4","2","6","3","1","2","1","0.53971186282976291","55.015069246266968","1","24-Feb-16","24-Feb-16"
"797","1249","25","200797","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","3","10","1","1","2","1",,,,"1","2","1","1","9","1","40","3","2",,,"15",,"4","4","2","4","0","1","1",,"1","1","1","1","2","1","1","1","1","2","1","77","2","3","1","40","1","2",,,"2",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"6","3",,,,,"3","5","1","1","1","1","3","6","2",,,"3","1","1","1987","1","11203","2","2",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","2","4","4","2","3","3","1","2","1","0.80256536019350555","81.808816716018342","1","23-Mar-16","23-Mar-16"
"803","222","10","200803","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","2","10","1","1","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","1","1","1","1","40","2","1",,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"4","1",,,,,,"1","5","2",,,"2",,,,,,,"1","1994","1","10453","1","8",,,,,,"1",,"5","1","8",,,,,,"26","4","4","4","4","4","3","4","2","2","5","1","2","1","1.6883577839512571","172.101313299927","2","26-Feb-16","28-Feb-16"
"805","1169","21","200805","1","1","1","2","1",,,,"1",,,,"2","1",,"1","2","1","0","1","5","1","1","3","1",,,,"1","2","1","2","8","1","63","1","3",,,,"3","6","77","6","6","0","2","1",,"2","2","2","2","1","2","1","1","2","1","2","1","1","1","2","777",,,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"3","1",,,,,,"1","5","2",,,"3","2",,,,,"1","1","1993","1","11208","1","8",,,,,,"26","1","4","1","8",,,,,,"26","4","4","4","2","4","3","4","2","1","2","1","2","2","0.33837193129562232","34.491654738916694","1","22-Mar-16","22-Mar-16"
"806","447","6","200806","0","1",,,"1",,,,"1",,,,"2","1",,"1","2","1","3","1","8","1","1","2","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","4","6","6","1","30","4",,,,,,"1","2","2","5",,,,,"2",,,,,"4",,,,,,"18","3",,,,,"8","3","4","2",,,"4",,,,,,,"1","1988","1","10977","2","99",,,,,,"1",,"4","2","99",,,,,,"1","4","4","4","2","2","2","4","1","3","6","1","2","1","1.8733709195739701","190.96046976609321","2","3-Mar-16","3-Mar-16"
"809","643","15","200809","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","3","9","1","1","2","1",,,,"1","3","1","1","9","1","50","1","2",,,"6",,"6","0","0","0","0","1","1",,"1","2","1","1","2","2","1","1","2","1","1","1","1","1","1","0",,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"5","1",,,,,,"1","3","2",,,"3","6","2",,,"12","1","1","1979","1","48906","2","1",,,,,,"2","3","6","2","1",,,,,,"2","4","4","4","4","4","4","4","2","12","4",,"2","1","0.93965752534475233","95.783189855367809","1","9-Mar-16","9-Mar-16"
"810","1177","21","200810","0","1",,,"1",,,,"1",,,,"1","2",,"1","2","1","5","1","9","1","1","2","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","2","4","6","3","1","40","4",,,,,,"1","1","1",,,,,,"2",,,,,"5",,,,,,,"3",,,,,"6",,"5","2",,,"1",,,,,,,"1","1979","1","11219","2","1",,,,,,"1",,"4","2","1",,,,,,"1","4","4","4","4","4","3","3","2","6","8","1","2","1","1.8733709195739701","190.96046976609321","2","22-Mar-16","22-Mar-16"
"814","745","10","200814","0","1",,,"1",,,,"1",,,,"1","2",,"1","2","1","1","1","10","1","1","2","1",,,,"1","2","1","1","9","1","35","1","2",,,"12",,"2","77","12","0","0","1","1",,"2","2","2","2","2","2","1","1","1","1","2","3","2","3","1","40","1","2",,,"1",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"4","2",,,,"1",,"5","3","1","1","2","1","5",,,,,"1","1","1976","1","10021","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","12","4",,"2","1","0.79341389495755221","80.875969898420067","1","12-Mar-16","12-Mar-16"
