"developmentteamdwid","projectid","type","entityname","firstname","lastname","entityindividualindicator","parententityname","individualrole","individualtitle","individualofficerequivalence","careof","housenumber","streetname","apartmentsuitefloor","city","state","zip","tradetype","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"82525","59495","SUB CONTRACTOR","Bright Power Inc.","Steven","Arponte","Individual","Bright Power Inc.","Officer","Vice President","CFO",,"11","Hanover Square 21st Floor",,"New York","NEW YORK","10005",,"Manhattan","40.705371","-74.008516","1","1","7","1000833","1000280012","MN25"
"5974","63172","SUB CONTRACTOR","BUILDER SERVICES GROUP DBA TRUTEAM COMMERCIAL SERVICES",,,"Entity","BUILDER SERVICES GROUP DBA TRUTEAM COMMERCIAL SERVICES",,,,,"120","Wall Street",,"New York","NEW YORK","10005","Fire Suppression","Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"6296","64829","SUB CONTRACTOR","BUILDER SERVICES GROUP DBA TRUTEAM COMMERCIAL SERVICES",,,"Entity","BUILDER SERVICES GROUP DBA TRUTEAM COMMERCIAL SERVICES",,,,,"120","Wall Street",,"New York","NEW YORK","10005","Fire Suppression","Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"6604","68781","SUB CONTRACTOR","BUILDER SERVICES GROUP DBA TRUTEAM COMMERCIAL SERVICES",,,"Entity","BUILDER SERVICES GROUP DBA TRUTEAM COMMERCIAL SERVICES",,,"Chief Executive Officer",,"120","Wall Street",,"New York","NEW YORK","10005","Fire Suppression","Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"18739","51031","BORROWER LEGAL ENTITY","UHAB HDFC",,,"Entity","UHAB HDFC",,,,,"120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"22148","47850","BORROWER LEGAL ENTITY","East 147th Street Housing Development Fund Corporation",,,"Entity","WFHA East 147 Street, L.P.",,,,"UHAB","120","Wall Street",,"New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"22149","47850","BORROWER LEGAL ENTITY","UHAB",,,"Entity","WFHA East 147 Street, L.P.",,,,"UHAB","120","Wall Street",,"New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"22150","47850","BORROWER LEGAL ENTITY","UHAB","Andy","Reicher","Individual","UHAB","Officer","Director",,"UHAB","120","Wall Street",,"New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"22151","47850","BORROWER LEGAL ENTITY","UHAB","Fernando","Alarcon","Individual","UHAB","Officer","Director",,"UHAB","120","Wall Street",,"New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"25148","48870","BORROWER LEGAL ENTITY","Habitare Urbana Fund, LLC",,,"Entity","1380 Housing Development Fund Corporation",,,,"UHAB","120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"25149","48870","BORROWER LEGAL ENTITY","Urban Homesteading Assistance (U-HAB), Inc.",,,"Entity","Urban Homesteading Assistance (U-HAB), Inc.",,,,"UHAB","120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"25150","48870","BORROWER LEGAL ENTITY","Urban Homesteading Assistance (U-HAB), Inc.","Andy","Reicher","Individual","Urban Homesteading Assistance (U-HAB), Inc.","Officer","Executive Director",,"UHAB","120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"25364","53551","BORROWER LEGAL ENTITY","UHAB HDFC",,,"Entity","UHAB Inc.",,,,"Anya Irons","120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"25366","53551","BORROWER LEGAL ENTITY","UHAB Inc.","Andrew","Reicher","Individual","UHAB Inc.","Both","Executive Director","CEO","Andrew Reicher","120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"44486","48870","BORROWER LEGAL ENTITY","Habitare Urbana Fund, LLC",,,"Entity","1380 Housing Development Fund Corporation",,,,"UHAB","120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"44487","48870","BORROWER LEGAL ENTITY","Urban Homesteading Assistance (U-HAB), Inc.",,,"Entity","Urban Homesteading Assistance (U-HAB), Inc.",,,,"UHAB","120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"44488","48870","BORROWER LEGAL ENTITY","Urban Homesteading Assistance (U-HAB), Inc.","Andy","Reicher","Individual","Urban Homesteading Assistance (U-HAB), Inc.","Officer","Executive Director",,"UHAB","120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"47356","54407","BORROWER LEGAL ENTITY","UHAB Housing Development Fund Corporation",,,"Entity","UHAB Housing Development Fund Corporation",,,,"UHAB","120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"47357","54407","BORROWER LEGAL ENTITY","Urban Homesteading Assistance (U-HAB), Inc.",,,"Entity","UHAB Housing Development Fund Corporation",,,,"UHAB","120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"47358","54407","BORROWER LEGAL ENTITY","Urban Homesteading Assistance (U-HAB), Inc.","Andy","Reicher","Individual","Urban Homesteading Assistance (U-HAB), Inc.","Officer","Executive Director",,"UHAB","120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"47359","54407","BORROWER LEGAL ENTITY","Urban Homesteading Assistance (U-HAB), Inc.","Fernando","Alarcon","Individual","Urban Homesteading Assistance (U-HAB), Inc.","Officer","Director",,"UHAB","120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"79692","53551","BORROWER LEGAL ENTITY","UHAB HDFC",,,"Entity","UHAB Inc.",,,,"Anya Irons","120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"80219","53551","BORROWER LEGAL ENTITY","UHAB Inc.","Andrew","Reicher","Individual","UHAB Inc.","Both","Executive Director","CEO","Andrew Reicher","120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"80984","51031","BORROWER LEGAL ENTITY","UHAB HDFC",,,"Entity","UHAB HDFC",,,,,"120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"84026","65374","BORROWER LEGAL ENTITY","GP-UHAB Housing Development Fund Corporation",,,"Entity","GP-UHAB Housing Development Fund Corporation",,,,,"120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"84027","65374","BORROWER LEGAL ENTITY","GP-UHAB Housing Development Fund Corporation","Andrew","Reicher","Individual","GP-UHAB Housing Development Fund Corporation","Officer","President","CEO",,"120","Wall Street","20th Floor","New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"85797","65563","BORROWER LEGAL ENTITY","UHAB HOUSING DEVELOPMENT FUND",,,"Entity","UHAB HOUSING DEVELOPMENT FUND",,,,,"120","Wall Street",,"New York City","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"86099","68944","BORROWER LEGAL ENTITY","UHAB HOUSING DEVELOPMENT FUND",,,"Entity","UHAB HOUSING DEVELOPMENT FUND",,,,,"120","Wall Street",,"New York City","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"86100","68944","BORROWER LEGAL ENTITY","UHAB SPE1 HDFC","Anya","Irons","Individual","UHAB SPE1 HDFC",,,,,"120","Wall Street",,"New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"86101","68944","BORROWER LEGAL ENTITY","UHAB SPE1 HDFC",,,"Entity","UHAB SPE1 HDFC",,,,,"120","Wall Street",,"New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"86135","70834","BORROWER LEGAL ENTITY","GP UHAB HOUSING DEVELOPMENT FUND CORPORATION","Andrew","Reicher","Individual","GP UHAB HOUSING DEVELOPMENT FUND CORPORATION",,,,,"120","Wall Street",,"New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"86136","70834","BORROWER LEGAL ENTITY","GP UHAB HOUSING DEVELOPMENT FUND CORPORATION",,,"Entity","GP UHAB HOUSING DEVELOPMENT FUND CORPORATION",,,,,"120","Wall Street",,"New York","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"86139","70834","BORROWER LEGAL ENTITY","UHAB HOUSING DEVELOPMENT FUND",,,"Entity","UHAB HOUSING DEVELOPMENT FUND",,,,,"120","Wall Street",,"New York City","NEW YORK","10005",,"Manhattan","40.704380","-74.006427","1","1","7","1000871","1000370001","MN25"
"2346","63151","BORROWER LEGAL ENTITY","Peninsula Building 1B MM LLC",,,"Entity","MARINE BULKHEADING INC",,,,,"88","Pine Street",,"New York","NEW YORK","10005",,"Manhattan","40.705360","-74.006290","1","1","7","1000876","1000380017","MN25"
"2349","63151","BORROWER LEGAL ENTITY","NICKABELLA'S TRUCKING CORP","Aaron","Koffman","Individual","NICKABELLA'S TRUCKING CORP","Officer","Principal",,,"88","Pine Street",,"New York","NEW YORK","10005",,"Manhattan","40.705360","-74.006290","1","1","7","1000876","1000380017","MN25"
"2350","63151","BORROWER LEGAL ENTITY","NICKABELLA'S TRUCKING CORP","Blaise","Rastello","Individual","NICKABELLA'S TRUCKING CORP","Officer","Principal",,,"88","Pine Street",,"New York","NEW YORK","10005",,"Manhattan","40.705360","-74.006290","1","1","7","1000876","1000380017","MN25"
"2351","63151","BORROWER LEGAL ENTITY","Gilbane Development Company",,,"Entity","GD Spofford LLC",,,,,"88","Pine Street",,"New York","NEW YORK","10005",,"Manhattan","40.705360","-74.006290","1","1","7","1000876","1000380017","MN25"
"2352","63151","BORROWER LEGAL ENTITY","GD Spofford LLC",,,"Entity","CUENCA CORONEL TRUCKING",,,,,"88","Pine Street",,"New York","NEW YORK","10005",,"Manhattan","40.705360","-74.006290","1","1","7","1000876","1000380017","MN25"
"2353","63151","BORROWER LEGAL ENTITY","The Peninsula JV LLC",,,"Entity","Peninsula Building 1B MM LLC",,,,,"88","Pine Street",,"New York","NEW YORK","10005",,"Manhattan","40.705360","-74.006290","1","1","7","1000876","1000380017","MN25"
"2354","63151","BORROWER LEGAL ENTITY","PENINSULA BUILDING 1B LLC",,,"Entity","PENINSULA BUILDING 1B LLC",,,,,"88","Pine Street","27th Floor","New York","NEW YORK","10005",,"Manhattan","40.705360","-74.006290","1","1","7","1000876","1000380017","MN25"
"2355","63151","GENERAL CONTRACTOR","Gilbane Development Company","Blaise","Rastello","Individual","Gilbane Development Company","Officer","Principal",,,"88","Pine Street",,"New York","NEW YORK","10005",,"Manhattan","40.705360","-74.006290","1","1","7","1000876","1000380017","MN25"
"2356","63151","GENERAL CONTRACTOR","Gilbane Development Company",,,"Entity","Bayshore Builders LLC",,,,,"88","Pine Street",,"New York","NEW YORK","10005",,"Manhattan","40.705360","-74.006290","1","1","7","1000876","1000380017","MN25"
"85333","66982","BORROWER LEGAL ENTITY","Highbridge Owner LLC",,,"Entity","Highbridge Owner LLC",,,,,"88","Pine Street",,"New York","NEW YORK","10005",,"Manhattan","40.705360","-74.006290","1","1","7","1000876","1000380017","MN25"
"85334","66982","BORROWER LEGAL ENTITY","Highbridge Owner LLC","Katherine","Gray","Individual","Highbridge Owner LLC","Officer","Principal",,,"88","Pine Street",,"New York","NEW YORK","10005",,"Manhattan","40.705360","-74.006290","1","1","7","1000876","1000380017","MN25"
"85926","71002","BORROWER LEGAL ENTITY","GILBANE DEVELOPMENT COMPANY",,,"Entity","GILBANE DEVELOPMENT COMPANY",,,,,"88","Pine Street",,"New York","NEW YORK","10005",,"Manhattan","40.705360","-74.006290","1","1","7","1000876","1000380017","MN25"
"85927","71002","BORROWER LEGAL ENTITY","HIGHBRIDGE OWNER LLC",,,"Entity","HIGHBRIDGE OWNER LLC",,,,,"88","Pine Street",,"New York","NEW YORK","10005",,"Manhattan","40.705360","-74.006290","1","1","7","1000876","1000380017","MN25"
"76825","55249","SUB CONTRACTOR","Starr Whitehouse Landscape",,,"Entity","Starr Whitehouse Landscape",,,,,"80","Maiden Lane","#1901","NY","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"77103","52783","BORROWER LEGAL ENTITY","St. Augustine Apartments LLC",,,"Entity","New York Institute for Human Development",,,,,"80","Maiden Lane","13th Floor","New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"77105","52783","BORROWER LEGAL ENTITY","ANYCH.STA Corp.",,,"Entity","St. Augustine Apartments LLC",,,,"c/o Association of New York Catholic Homes","80","Maiden Lane","13th Floor","New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"77106","52783","BORROWER LEGAL ENTITY","Housing Initiative Housing Development Fund Corporation",,,"Entity","ANYCH.STA Corp.",,,,"c/o Association of New York Catholic Homes","80","Maiden Lane","13th Floor","New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"77107","52783","BORROWER LEGAL ENTITY","Association of New York Catholic Homes",,,"Entity","Association of New York Catholic Homes",,,,,"80","Maiden Lane","13th Floor","New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"79618","51274","BORROWER LEGAL ENTITY","Haven Plaza HDFC, Inc.",,,"Entity","Haven Plaza HDFC, Inc.",,,,"c/o Institute for Human Development","80","Maiden Lane",,"New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"79619","51274","BORROWER LEGAL ENTITY","Haven Plaza HDFC, Inc.","Kevin","Nelan","Individual","Haven Plaza HDFC, Inc.","Officer",,,"c/o Institute for Human Development","80","Maiden Lane",,"New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"79620","51274","BORROWER LEGAL ENTITY","Haven Plaza HDFC, Inc.","George","Horton","Individual","Haven Plaza HDFC, Inc.","Officer",,,"c/o Institute for Human Development","80","Maiden Lane",,"New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"79621","51274","BORROWER LEGAL ENTITY","Haven Plaza HDFC, Inc.","John","Matcovich","Individual","Haven Plaza HDFC, Inc.","Officer",,,"c/o Institute for Human Development","80","Maiden Lane",,"New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"79622","51274","BORROWER LEGAL ENTITY","Haven Plaza HDFC, Inc.","Harold","Blake","Individual","Haven Plaza HDFC, Inc.","Officer",,,"c/o Institute for Human Development","80","Maiden Lane",,"New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"79623","51274","BORROWER LEGAL ENTITY","ANYCH.HP Corp",,,"Entity","Haven Plaza HDFC, Inc.",,,,"c/o Institute for Human Development","80","Maiden Lane",,"New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"79624","51274","BORROWER LEGAL ENTITY","Haven Plaza Square LLC",,,"Entity","Haven Plaza HDFC, Inc.",,,,"c/o Institute for Human Development","80","Maiden Lane",,"New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"83521","61799","BORROWER LEGAL ENTITY","Second Farms Apartments LLC",,,"Entity","Second Farms Apartments LLC",,,,"Catholic Homes","80","Maiden Lane","13th Floor","New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"84148","61186","BORROWER LEGAL ENTITY","Association of New York Catholic Homes",,,"Entity","Association of New York Catholic Homes",,,,"Susan Albrecht","80","Maiden Lane","13th Floor","New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"84152","61186","BORROWER LEGAL ENTITY","ANYCH.SVDP.CORP",,,"Entity","ANYCH.SVDP.CORP",,,,"Susan Albrecht","80","Maiden Lane","13th Floor","New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"84159","61186","BORROWER LEGAL ENTITY","St. Vincent de Paul Apartments LLC",,,"Entity","St. Vincent de Paul Apartments LLC",,,,"Susan Albrecht","80","Maiden Lane","13th Floor","New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"84254","61186","BORROWER LEGAL ENTITY","Tiffany Beck HDFC",,,"Entity","Tiffany Beck HDFC",,,,"Susan Albrecht","80","Maiden Lane","13th Floor","New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"84261","61186","BORROWER LEGAL ENTITY","Housing Initiatve HDFC",,,"Entity","Housing Initiatve HDFC",,,,"Susan Albrecht","80","Maiden Lane","13th Floor","New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"84698","61799","BORROWER LEGAL ENTITY","Association of New York Catholic Homes",,,"Entity","Association of New York Catholic Homes",,,,,"80","Maiden Lane","13th Floor","New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"84699","61799","BORROWER LEGAL ENTITY","Association of New York Catholic Homes","Susan","Albrecht","Individual","Association of New York Catholic Homes","Officer","Executive Director",,"Catholic Homes","80","Maiden Lane","13th Floor","New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"84700","61799","BORROWER LEGAL ENTITY","Association of New York Catholic Homes","Msgr. Kevin","Sullivan","Individual","Association of New York Catholic Homes","Officer","President",,"Catholic Homes","80","Maiden Lane","13th Floor","New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"84701","61799","BORROWER LEGAL ENTITY","Association of New York Catholic Homes","George","Horton","Individual","Association of New York Catholic Homes","Officer","Secretary",,"Catholic Homes","80","Maiden Lane","13th Floor","New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"84702","61799","BORROWER LEGAL ENTITY","ANYCH.SFARMS",,,"Entity","ANYCH.SFARMS",,,,"Catholic Homes","80","Maiden Lane","13th Floor","New York","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"85772","48909","BORROWER LEGAL ENTITY","Metropolitan Council on Jewish Poverty",,,"Entity","Metropolitan Council on Jewish Poverty",,,,,"80","Maiden",,"New York City","NEW YORK","10038",,"Manhattan","40.707116","-74.007329","1","1","7","1001015","1000420031","MN25"
"76849","55249","SUB CONTRACTOR","Weinstein & Holtzman of NY","Ina","Hymowitz","Individual","Weinstein & Holtzman of NY","Officer","President",,,"44","Wall Street","Suite #401","NY","NEW YORK","10005",,"Manhattan","40.706540","-74.009738","1","1","7","1001017","1000430001","MN25"
"77295","52122","SUB CONTRACTOR","Weinstein & Holtzman","Ira","Hymowitz","Individual","Weinstein & Holtzman","Both","President",,,"44","Wall St",,"New York","NEW YORK","10005",,"Manhattan","40.706540","-74.009738","1","1","7","1001017","1000430001","MN25"
"77296","52122","SUB CONTRACTOR","Weinstein & Holtzman","Phil","Hymowitz","Individual","Weinstein & Holtzman","Both","Treasur",,,"44","Wall St",,"New York","NEW YORK","10005",,"Manhattan","40.706540","-74.009738","1","1","7","1001017","1000430001","MN25"
"77297","52122","SUB CONTRACTOR","Weinstein & Holtzman","Dorm","Tuch","Individual","Weinstein & Holtzman","Officer","CFO","CFO",,"44","Wall St",,"New York","NEW YORK","10005",,"Manhattan","40.706540","-74.009738","1","1","7","1001017","1000430001","MN25"
"78892","55249","SUB CONTRACTOR","Weinstein & Holtzman of NY","Phil","Hymowitz","Individual","Weinstein & Holtzman of NY","Both","Treasurer",,,"44","Wall Street","Suite #401","NY","NEW YORK","10005",,"Manhattan","40.706540","-74.009738","1","1","7","1001017","1000430001","MN25"
"78893","55249","SUB CONTRACTOR","Weinstein & Holtzman of NY","Darin","Yuch","Individual","Weinstein & Holtzman of NY","Officer",,"CFO",,"44","Wall Street","Suite #401","NY","NEW YORK","10005",,"Manhattan","40.706540","-74.009738","1","1","7","1001017","1000430001","MN25"
"24926","50282","BORROWER LEGAL ENTITY","Broadway Mosholu, LLC",,,"Entity","6469 Broadway Managers, LLC",,,,"Engel & Partners Inc.","40","Wall Street","38th Floor","New York","NEW YORK","10005",,"Manhattan","40.706625","-74.009875","1","1","7","1001018","1000430002","MN25"
"24973","50282","BORROWER LEGAL ENTITY","E&P Development, LLC",,,"Entity","Broadway Mosholu, LLC",,,,"Judith Engel","40","Wall Street","28th Floor","New York","NEW YORK","10005",,"Manhattan","40.706625","-74.009875","1","1","7","1001018","1000430002","MN25"
"24974","50282","BORROWER LEGAL ENTITY","E&P Development, LLC","Judith","Engel","Individual","E&P Development, LLC","Owner","Sole Member",,,"40","Wall Street","28th Floor","New York","NEW YORK","10005",,"Manhattan","40.706625","-74.009875","1","1","7","1001018","1000430002","MN25"
"24975","50282","BORROWER LEGAL ENTITY","Broadway Mosholu, LLC","John","Heaney","Individual","Broadway Mosholu, LLC","Owner",,,,"40","Wall Street","38th Floor","New York","NEW YORK","10005",,"Manhattan","40.706625","-74.009875","1","1","7","1001018","1000430002","MN25"
"24976","50282","BORROWER LEGAL ENTITY","Broadway Mosholu, LLC","John","Waters","Individual","Broadway Mosholu, LLC","Owner",,,,"40","Wall Street","38th Floor","New York","NEW YORK","10005",,"Manhattan","40.706625","-74.009875","1","1","7","1001018","1000430002","MN25"
"80230","50282","BORROWER LEGAL ENTITY","Broadway Mosholu, LLC",,,"Entity","6469 Broadway Managers, LLC",,,,"Engel & Partners Inc.","40","Wall Street","38th Floor","New York","NEW YORK","10005",,"Manhattan","40.706625","-74.009875","1","1","7","1001018","1000430002","MN25"
"80385","50282","BORROWER LEGAL ENTITY","E&P Development, LLC",,,"Entity","Broadway Mosholu, LLC",,,,"Judith Engel","40","Wall Street","28th Floor","New York","NEW YORK","10005",,"Manhattan","40.706625","-74.009875","1","1","7","1001018","1000430002","MN25"
"80386","50282","BORROWER LEGAL ENTITY","E&P Development, LLC","Judith","Engel","Individual","E&P Development, LLC","Owner","Sole Member",,,"40","Wall Street","28th Floor","New York","NEW YORK","10005",,"Manhattan","40.706625","-74.009875","1","1","7","1001018","1000430002","MN25"
"82230","50282","BORROWER LEGAL ENTITY","Broadway Mosholu, LLC","John","Heaney","Individual","Broadway Mosholu, LLC","Owner",,,,"40","Wall Street","38th Floor","New York","NEW YORK","10005",,"Manhattan","40.706625","-74.009875","1","1","7","1001018","1000430002","MN25"
"82231","50282","BORROWER LEGAL ENTITY","Broadway Mosholu, LLC","John","Waters","Individual","Broadway Mosholu, LLC","Owner",,,,"40","Wall Street","38th Floor","New York","NEW YORK","10005",,"Manhattan","40.706625","-74.009875","1","1","7","1001018","1000430002","MN25"
"6079","50414","BORROWER LEGAL ENTITY","Daly IV Associates, L.P.",,,"Entity","Daly IV Associates, L.P.",,,,,"28","Liberty Street",,"New York","New York","10005",,"Manhattan","40.708115","-74.008768","1","1","7","1001021","1000440001","MN25"
"373","58966","SUB CONTRACTOR","PLATINUM INC. TERRAZO",,,"Entity","PLATINUM INC. TERRAZO",,,,,"120","Broadway",,"New York","NEW YORK","10271",,"Manhattan","40.708546","-74.011041","1","1","7","1001026","1000477501","MN25"
"74222","48910","BORROWER LEGAL ENTITY","Council Towers VII Limited Partnership",,,"Entity","Council Towers VII Limited Partnership",,,,,"120","Broadway","7th Floor","New York","NEW YORK","10271",,"Manhattan","40.708546","-74.011041","1","1","7","1001026","1000477501","MN25"
"74223","48910","BORROWER LEGAL ENTITY","Council Towers VII GP LLC",,,"Entity","Council Towers VII Limited Partnership",,,,,"120","Broadway","7th Floor","New York","NEW YORK","10271",,"Manhattan","40.708546","-74.011041","1","1","7","1001026","1000477501","MN25"
"74224","48910","BORROWER LEGAL ENTITY","Council Towers VII HDFC",,,"Entity","Council Towers VII GP LLC",,,,,"120","Broadway","7th Floor","New York","NEW YORK","10271",,"Manhattan","40.708546","-74.011041","1","1","7","1001026","1000477501","MN25"
"74225","48910","BORROWER LEGAL ENTITY","Met Council on Jewish Poverty",,,"Entity","Council Towers VII HDFC",,,,,"120","Broadway","7th Floor","New York","NEW YORK","10271",,"Manhattan","40.708546","-74.011041","1","1","7","1001026","1000477501","MN25"
"74226","48910","BORROWER LEGAL ENTITY","Met Council on Jewish Poverty","William","Rapfogel","Individual","Met Council on Jewish Poverty","Officer","CEO","CEO",,"120","Broadway","7th Floor","New York","NEW YORK","10271",,"Manhattan","40.708546","-74.011041","1","1","7","1001026","1000477501","MN25"
"3601","67367","SUB CONTRACTOR","UNITED INDUSTRIES & CONSTRUCTION CORP.",,,"Entity","UNITED INDUSTRIES & CONSTRUCTION CORP.",,,,,"2","Rector Street",,"New York","NEW YORK","10006","Demolition,Plumbing","Manhattan","40.707808","-74.013053","1","1","13","1001031","1000510001","MN25"
"4731","61612","SUB CONTRACTOR","UNITED INDUSTRIES & CONSTRUCTION CORP.",,,"Entity","UNITED INDUSTRIES & CONSTRUCTION CORP.",,,,,"2","Rector Street",,"New York","NEW YORK","10006","Demolition,Plumbing","Manhattan","40.707808","-74.013053","1","1","13","1001031","1000510001","MN25"
"5407","67367","SUB CONTRACTOR","UNITED INDUSTRIES & CONSTRUCTION CORP.",,,"Entity","UNITED INDUSTRIES & CONSTRUCTION CORP.",,,,,"2","Rector Street",,"New York","NEW YORK","10006","Demolition,Plumbing","Manhattan","40.707808","-74.013053","1","1","13","1001031","1000510001","MN25"
"5408","66644","SUB CONTRACTOR","UNITED INDUSTRIES & CONSTRUCTION CORP.",,,"Entity","UNITED INDUSTRIES & CONSTRUCTION CORP.",,,,,"2","Rector Street",,"New York","NEW YORK","10006","Demolition,Plumbing","Manhattan","40.707808","-74.013053","1","1","13","1001031","1000510001","MN25"
"5409","44218","SUB CONTRACTOR","UNITED INDUSTRIES & CONSTRUCTION CORP.",,,"Entity","UNITED INDUSTRIES & CONSTRUCTION CORP.",,,,,"2","Rector Street",,"New York","NEW YORK","10006","Demolition,Plumbing","Manhattan","40.707808","-74.013053","1","1","13","1001031","1000510001","MN25"
"5410","67522","SUB CONTRACTOR","UNITED INDUSTRIES & CONSTRUCTION CORP.",,,"Entity","UNITED INDUSTRIES & CONSTRUCTION CORP.",,,,,"2","Rector Street",,"New York","NEW YORK","10006","Demolition,Plumbing","Manhattan","40.707808","-74.013053","1","1","13","1001031","1000510001","MN25"
