"the_geom","objectid","borough","school_nam","on_street","from_stree","to_street","open_date","nhoodname","segmentid","shape_leng","shape_stle"
"MULTILINESTRING ((-73.92815101165807 40.85186330748769, -73.92960272213213 40.85247604152934))","110","Manhattan","Yeshiva University High School for Boys - Marsha Stern Talmudical Academy","WEST 187 STREET","Amsterdam Ave","Audubon Ave","2020-09-28T00:00:00.000","Washington Heights","0071566","0.08702437","459.488750627"
"MULTILINESTRING ((-73.91475973338099 40.82755621459682, -73.91388631874362 40.828460184553336))","111","Bronx","Success Academy Bronx 3","TELLER AVENUE","E 164 St","E 165 St",,"Concourse","0071941","0.07737337","408.531134621"
"MULTILINESTRING ((-73.92551462105712 40.86713287280489, -73.92362907591564 40.86781529078833))","112","Manhattan","Muscota New School","COOPER STREET","Academy","W 204 St","2020-09-19T00:00:00.000","Inwood","0072621","0.10942197","577.747829675"
"MULTILINESTRING ((-73.92172598347351 40.868496723189445, -73.92031943511567 40.86900012263542))","113","Manhattan","School in the Square","COOPER STREET","W 207 St","Isham St","2020-09-19T00:00:00.000","Inwood","0072666","0.08145622","430.088863386"
"MULTILINESTRING ((-73.87391417481072 40.741489477096046, -73.87348037013692 40.740356656585575))","114","Queens","24Q236","91 STREET","48 Ave","50 Ave","2020-09-19T00:00:00.000","Elmhurst","0075322","0.08141527","429.872930668"
"MULTILINESTRING ((-73.87207617010857 40.76072345830559, -73.87189716653454 40.759955943095484))","115","Queens","East Elmhurst Community School","97 STREET","Astoria Blvd","30th Ave",,"East Elmhurst","0076808","0.05378674","283.993947818"
"MULTILINESTRING ((-73.8992851499966 40.81814673285715, -73.89889473884146 40.81853405608284))","116","Bronx","Success Academy Bronx Middle School","DAWSON STREET","Intervale Ave","Longwood Ave",,"Longwood","0077407","0.03366255","177.738380327"
"MULTILINESTRING ((-73.89889473884146 40.81853405608284, -73.89788718449338 40.81950324661394))","117","Bronx","Success Academy Bronx Middle School","DAWSON STREET","Intervale Ave","Longwood Ave",,"Longwood","0077409","0.08521881","449.955194134"
"MULTILINESTRING ((-73.89788718449338 40.81950324661394, -73.89721569241887 40.82014352643641))","118","Bronx","Success Academy Bronx Middle School","DAWSON STREET","Intervale Ave","Longwood Ave",,"Longwood","0077416","0.05648929","298.263479916"
"MULTILINESTRING ((-73.90185590980971 40.83462210769939, -73.9012015981686 40.8344519318756))","119","Bronx","The Theodore Schoenfeld School","EAST 170 STREET","Fulton Ave","Franklin Ave","2020-09-19T00:00:00.000","Claremont","0078311","0.03624687","191.383372985"
"MULTILINESTRING ((-73.9012015981686 40.8344519318756, -73.90018318345587 40.834191541399115))","120","Bronx","The Theodore Schoenfeld School","EAST 170 STREET","Fulton Ave","Franklin Ave","2020-09-19T00:00:00.000","Claremont","0078314","0.05631774","297.357755368"
"MULTILINESTRING ((-73.89150154531565 40.84169805514626, -73.89050992254253 40.84265672011728))","121","Bronx","12X044","PROSPECT AVENUE","E 176 St","E 175 St","2020-09-19T00:00:00.000","Tremont","0078786","0.08412046","444.156071184"
"MULTILINESTRING ((-73.88595043499802 40.851184318458834, -73.88554315770709 40.85199823919299))","122","Bronx","10X032","BEAUMONT AVENUE","Grote St","E 183 St","2020-09-19T00:00:00.000","Belmont","0079052","0.06008078","317.226494363"
"MULTILINESTRING ((-73.90068061038924 40.87567657598014, -73.90132913531089 40.87605348319125))","123","Bronx","The Marie Curie High School For Medicine, Nursing and Health Professions","WEST 231 STREET","Sedgwick Ave","Berkwit Terrace","2020-09-19T00:00:00.000","Kingsbridge","0079838","0.04278102","225.883865943"
"MULTILINESTRING ((-73.86641357531163 40.746099481837796, -73.86608835818684 40.745473936712976))","124","Queens","PS 110 The Tiffany School","97 PLACE","43 Ave","44th Ave","2020-09-19T00:00:00.000","Corona","0083223","0.04641577","245.075136492"
"MULTILINESTRING ((-73.86210472045646 40.750654032324874, -73.85917827003155 40.75152727035651))","125","Queens","My little footprints","39 AVENUE","104 St","108 ST","2020-09-28T00:00:00.000","Corona","0083405","0.16496408","871.010139314"
"MULTILINESTRING ((-73.86019839393593 40.82175577345484, -73.8607006435271 40.823951027469526))","126","Bronx","Success Academy Bronx 4","UNDERHILL AVENUE","Story Ave","Lafayette Ave",,"Soundview","0085210","0.15375012","811.800686318"
"MULTILINESTRING ((-73.86110103680032 40.880545422167785, -73.86070096995772 40.88124920253653))","127","Bronx","North Bronx School of Empowerment","BARNES AVENUE","E 216 St","E 217 St","2020-09-19T00:00:00.000","Williamsbridge","0088958","0.05289071","279.262948754"
"MULTILINESTRING ((-73.86070096995772 40.88124920253653, -73.85783403081811 40.88033507927456))","128","Bronx","North Bronx School of Empowerment","EAST 217 STREET","Barnes Ave","Bronxwood Ave","2020-09-19T00:00:00.000","Williamsbridge","0088960","0.16286132","859.907968037"
"MULTILINESTRING ((-73.81332938777113 40.73710228341537, -73.81338645695523 40.73619969596748))","129","Queens","PS 201","155 STREET","65 Ave","Dead End","2020-09-19T00:00:00.000","Pomonok","0090449","0.06235249","329.221163277"
"MULTILINESTRING ((-73.80985429939692 40.72234285759641, -73.80791107382267 40.722556349104636))","130","Queens","Yeshiva Ketana of Queens","78 AVENUE","Parsons Blvd","160 St","2020-09-28T00:00:00.000","Hillcrest","0090520","0.10307287","544.224767647"
"MULTILINESTRING ((-73.8083058450237 40.72467613558775, -73.80817663539496 40.72396937018362))","131","Queens","Queens School of Inquiry","160 STREET","76 Rd","77 Ave","2020-09-19T00:00:00.000","Hillcrest","0090633","0.04923772","259.97519307"
"MULTILINESTRING ((-73.84568685333736 40.69271628494409, -73.84438556283115 40.69308575174616))","132","Queens","27q273","89 AVENUE","102nd St","Dead End","2020-09-19T00:00:00.000","Richmond Hill","0115724","0.07294497","385.149466667"
"MULTILINESTRING ((-73.78419087146496 40.759516937429964, -73.78323321061775 40.75977368413388))","133","Queens","PS 130","42 AVENUE","201 St","Francis Lewis Blvd","2020-09-19T00:00:00.000","Auburndale","0152963","0.05327859","281.310977858"
"MULTILINESTRING ((-73.88502872005053 40.75368578778307, -73.88409721103173 40.75378283837054))","134","Queens","P.S. 212","34 AVENUE","82 St","83 St","2020-09-19T00:00:00.000","Jackson Heights","0153655","0.04933564","260.492321674"
"MULTILINESTRING ((-74.01035387864111 40.65150199311547, -74.00855888977821 40.65043317248412))","135","Brooklyn","Sunset Park Avenues Elementary School","43 STREET","3rd Ave","4th Ave","2020-09-28T00:00:00.000","Sunset Park","0161717","0.11974116","632.233139525"
"MULTILINESTRING ((-74.00917890114191 40.652619968068386, -74.00739539201183 40.651548012706506))","136","Brooklyn","Charles O. Dewey IS 136","41 STREET","3rd Ave","4th Ave","2020-09-19T00:00:00.000","Sunset Park","0161731","0.11939907","630.427037247"
"MULTILINESTRING ((-74.00494085209404 40.6537189258287, -74.00275044047127 40.65238481618344))","137","Brooklyn","15K024","37 STREET","4th Ave","5th Ave","2020-09-19T00:00:00.000","Sunset Park","0161777","0.14739335","778.236746475"
"MULTILINESTRING ((-74.0002810803261 40.65819244390684, -73.99809085486453 40.65686467049568))","138","Brooklyn","PS 172","29 STREET","4th Ave","5th Ave","2020-09-19T00:00:00.000","Sunset Park","0161843","0.14710698","776.724903844"
"MULTILINESTRING ((-73.98760330520643 40.66040121164392, -73.98744967727694 40.6601895556048))","139","Brooklyn","New Voices School of Academic & Creative Arts; K088","18 STREET","6th Ave","7th Ave","2020-09-19T00:00:00.000","Park Slope","0162199","0.01668716","88.1081843344"
"MULTILINESTRING ((-73.9876487950534 40.67152197514691, -73.98529406584478 40.67038518485865))","140","Brooklyn","P.S. 118 The Maurice Sendak Community School","7 STREET","4 AVENUE","5 AVENUE","2020-11-25T00:00:00.000","Park Slope","0162211","0.14648495","773.440621375"
"MULTILINESTRING ((-73.98124985608717 40.67992214724428, -73.9795604183185 40.67928720489687))","141","Brooklyn","William A. Butler","BUTLER STREET","Gregory Pl","4th Ave","2020-09-19T00:00:00.000","Park Slope","0162265","0.09897375","522.581114092"
"MULTILINESTRING ((-73.9760270977668 40.71786957348245, -73.97549294573788 40.71886905318036))","142","Manhattan","Bard High School Early College","MANGIN STREET","Stanton St","E Houston St","2020-09-19T00:00:00.000","Lower East Side","0164934","0.07444974","393.094425407"
"MULTILINESTRING ((-73.96321382454117 40.7717403526524, -73.96170817962702 40.771105566559996))","143","Manhattan","The Buckley School","EAST 73 STREET","Lexington Ave","Park Ave","2020-09-19T00:00:00.000","Upper East Side","0165998","0.09031717","476.874451875"
"MULTILINESTRING ((-73.96262258930368 40.77563799823438, -73.96112079501957 40.77500249381761))","144","Manhattan","Ramaz School - Upper School","EAST 78 STREET","Madison Ave","Park Ave","2020-09-19T00:00:00.000","Upper East Side","0166009","0.09016061","476.048019388"
"MULTILINESTRING ((-73.96090423132384 40.77490901139321, -73.9593938081941 40.77427794885368))","145","Manhattan","The Allen-Stevenson School","EAST 78 STREET","PARK AVENUE","LEXINGTON AVENUE","2020-11-25T00:00:00.000","Upper East Side","0166020","0.09040911","477.360046861"
"MULTILINESTRING ((-73.96116599000774 40.777635533519515, -73.95965866596828 40.777003529350644))","146","Manhattan","002M006","EAST 81 STREET","Park Ave","Madison Ave","2020-09-19T00:00:00.000","Upper East Side","0166023","0.0902952","476.758662585"
"MULTILINESTRING ((-73.95648686333206 40.784044535106666, -73.95498690538071 40.78340605269054))","147","Manhattan","The Dalton School","EAST 91 STREET","PARK AVENUE","MADISON AVENUE","2020-12-18T00:00:00.000","Upper East Side","0166061","0.09016802","476.087224283"
"MULTILINESTRING ((-73.95603038421679 40.78466990420605, -73.95452653918696 40.78403807809141))","148","Manhattan","The Brick Church School; Nightingale Bamford School","EAST 92 STREET","Park Ave","Madison Ave","2020-09-19T00:00:00.000","Upper East Side","0166071","0.09012222","475.845404172"
"MULTILINESTRING ((-73.95556973668563 40.785297413026676, -73.95406894067106 40.78466234037592))","149","Manhattan","The Spence School","EAST 93 STREET","Madison Ave","Park Ave","2020-09-19T00:00:00.000","Upper East Side","0166073","0.09009042","475.677410152"
"MULTILINESTRING ((-73.95465595066365 40.7865523558866, -73.95314658152141 40.78591685375113))","150","Manhattan","Hunter College Campus Schools","EAST 95 STREET","Madison Ave","Park Ave","2020-09-19T00:00:00.000","Upper East Side","0166077","0.09049659","477.822080422"
"MULTILINESTRING ((-73.94572815018196 40.773621054628066, -73.94457303774065 40.77311189704805))","151","Manhattan","Chapin School","GRACIE SQUARE","East End Ave","Dead End","2020-09-28T00:00:00.000","Upper East Side","0166160","0.07004295","369.826687485"
"MULTILINESTRING ((-73.94544586552695 40.79606679930595, -73.94394756236564 40.79543552334829))","152","Manhattan","Success Academy Harlem East","EAST 111 STREET","Park Ave","Lexington Ave",,"East Harlem","0166200","0.08983779","474.343679739"
"MULTILINESTRING ((-73.96585301255078 40.805490332311436, -73.96737311560065 40.80612693864654))","153","Manhattan","Bank Street School for Children","WEST 112 STREET","Riverside Drive","Broadway","2020-09-19T00:00:00.000","Morningside Heights","0166275","0.09100572","480.510384059"
"MULTILINESTRING ((-73.95025354433292 40.80136050671599, -73.95258834904564 40.80236161279171))","154","Manhattan","Sisulu-Walker Charter School of Harlem","WEST 115 STREET","Lenox Ave","St Nicholas Ave","2020-09-19T00:00:00.000","Harlem","0166477","0.1405701","742.210488178"
"MULTILINESTRING ((-73.94550849103204 40.80197021445228, -73.94864092480482 40.80329401730505))","155","Manhattan","Success Academy Harlem 1","WEST 118 STREET","5th Ave","Lenox Ave",,"Harlem","0166528","0.1879398","992.32204267"
"MULTILINESTRING ((-73.94478193307104 40.805761238765534, -73.94635555538405 40.806433897692415))","156","Manhattan","Great Tomorrows USA","WEST 123 STREET","Malcolm X Blvd","Mount Morris Park West","2020-09-19T00:00:00.000","Harlem","0166542","0.0946674","499.843936736"
"MULTILINESTRING ((-73.88643775758653 40.679373459301154, -73.88598471310388 40.67765096402536))","157","Brooklyn","PS 89 Cypress Hills","ASHFORD STREET","Atlantic Ave","Fulton St","2020-09-19T00:00:00.000","Cypress Hills","0168476","0.12121437","640.01205702"
"MULTILINESTRING ((-73.88908801523789 40.755170352954096, -73.88876172700789 40.7533729072345))","158","Queens","Garden School","78 STREET","34 Ave","Northern Blvd","2020-09-19T00:00:00.000","Jackson Heights","0175298","0.12520412","661.077862512"
"MULTILINESTRING ((-73.87278050978628 40.762486603874244, -73.87245291529281 40.762058564664045))","159","Queens","East Elmhurst Community School","97 STREET","Astoria Blvd","30th Ave","2020-09-19T00:00:00.000","East Elmhurst","0175514","0.03417273","180.43205177"
"MULTILINESTRING ((-73.87204884463667 40.76236282869087, -73.87245291529281 40.762058564664045))","160","Queens","East Elmhurst Community School","97 STREET","Astoria Blvd","30th Ave","2020-09-19T00:00:00.000","East Elmhurst","0175516","0.02983681","157.538095487"
"MULTILINESTRING ((-74.0031082351771 40.70767139469925, -74.00205096217081 40.708197435777784))","161","Manhattan","Blue School","WATER STREET","Peck Slip","Beekman St","2020-09-19T00:00:00.000","South Street Seaport","0215625","0.06632955","350.219860619"
"MULTILINESTRING ((-73.97226600535771 40.632143202032715, -73.97214882970896 40.63219763891991))","162","Brooklyn","P.S. 134","WEBSTER AVENUE","Ocean Pkwy","Seton Pl","2020-09-19T00:00:00.000","Kensington","0230612","0.00721467","38.0936526955"
"MULTILINESTRING ((-73.97214882970896 40.63219763891991, -73.97200446582141 40.632273002543066))","163","Brooklyn","P.S. 134","WEBSTER AVENUE","Ocean Pkwy","Seton Pl","2020-09-19T00:00:00.000","Kensington","0230613","0.00919977","48.5746154674"
"MULTILINESTRING ((-74.00205096217081 40.708197435777784, -74.00189933537573 40.70827290661482))","164","Manhattan","Blue School","WATER STREET","Peck Slip","Beekman St","2020-09-19T00:00:00.000","South Street Seaport","0243992","0.00951359","50.2318700602"
"MULTILINESTRING ((-73.90535092595117 40.83650463092065, -73.90462265004993 40.83630812302819))","165","Bronx","Success Academy Bronx 2","ST PAULS PLACE","Washington Ave","Park Ave",,"Claremont","0266018","0.04050447","213.863717642"
"MULTILINESTRING ((-73.90462265004993 40.83630812302819, -73.90415854127883 40.83618055787842))","166","Bronx","Success Academy Bronx 2","ST PAULS PLACE","Washington Ave","Park Ave",,"Claremont","0266019","0.0258668","136.576670384"
"MULTILINESTRING ((-74.0106649301977 40.65169870972649, -74.01059115448273 40.65165410491409, -74.01050976611987 40.65160491711665, -74.01043181768041 40.651557808243986, -74.01035387864111 40.65150199311547))","167","Brooklyn","Sunset Park Avenues Elementary School","43 STREET","3rd Ave","4th Ave",,"Sunset Park","0161696","0.02126218","112.26450795"
"MULTILINESTRING ((-74.0094956273081 40.65281530056732, -74.00941427388905 40.65276668832927, -74.00934506333734 40.65272454886592, -74.00926240698361 40.65267467590165, -74.00917890114191 40.652619968068386))","168","Brooklyn","Charles O. Dewey IS 136","41 STREET","3rd Ave","4th Ave",,"Sunset Park","0161727","0.02142118","113.10364256"
"MULTILINESTRING ((-73.93657597665724 40.85735049138377, -73.93560547645549 40.85886288072134, -73.9355156529883 40.85896650402597, -73.93551556393808 40.85896660393067, -73.93551546422128 40.858966695724945, -73.93541178128739 40.85906444540489, -73.9352952567493 40.85915482898084, -73.93529519147283 40.85915487396874, -73.93516741134134 40.859236392076205, -73.9351673460647 40.85923643706405, -73.93516727130671 40.85923647484265, -73.93503005965954 40.859307993853726, -73.93502997184783 40.859308038828814, -73.93502989946262 40.859308075708185, -73.93488523666457 40.859368766454985, -73.93488515123272 40.85936880332691, -73.93488505632038 40.859368832089025, -73.93473508968334 40.85941817977753, -73.93416883468814 40.85925875851901))","169","Manhattan","Success Academy Washington Heights","CABRINI BOULEVARD","190 St","Margaret Corbin Plaza",,"Washington Heights","0072414","0.2084112","1100.41129012"
"MULTILINESTRING ((-73.97498498891231 40.78263052031384, -73.97674920352286 40.783375833299694, -73.97681602845665 40.783404063077604, -73.97688009231746 40.783431127013735, -73.97711600398996 40.78353078667812, -73.97740981042942 40.78365490223472, -73.97782610403303 40.783830759173455))","170","Manhattan","The Brownstone School","WEST 80 STREET","Amsterdam Av","Columbus Ave","2020-09-19T00:00:00.000","Upper West Side","0302002","0.17048401","900.155540891"
"MULTILINESTRING ((-73.95901161881376 40.783461267557215, -73.95785448173811 40.782976894499924, -73.957645206223 40.78289086308985, -73.95740384515491 40.782790006190496))","171","Manhattan","Saint David's School","EAST 89 STREET","MADISON AVENUE","5 AVENUE","2020-12-18T00:00:00.000","Upper East Side","0301958","0.09621129","507.995577886"
"MULTILINESTRING ((-73.98306191713306 40.78175759976103, -73.98346351123787 40.781931784505545, -73.98365400478836 40.78201160874182, -73.98477874279325 40.782482908865724))","172","Manhattan","Manhattan Day School 03785","WEST 75 STREET","West End Ave","Riverside Drive","2020-09-19T00:00:00.000","Upper West Side","0301984","0.10302425","543.967748082"
"MULTILINESTRING ((-73.97553909178941 40.792070725254945, -73.97668684756566 40.79255357905041, -73.97678342572125 40.792594142667845, -73.97709386601177 40.79272730411974))","173","Manhattan","The IDEAL School of Manhattan","WEST 91 STREET","West End Ave","Riverside Drive","2020-09-19T00:00:00.000","Upper West Side","0302047","0.09327849","492.510337688"
"MULTILINESTRING ((-73.96792681481959 40.78722155407878, -73.96883931471221 40.78760735661319, -73.96891521292602 40.78763944484911, -73.96947766083875 40.78787724007945, -73.96968589061227 40.78796527577907, -73.97076320075782 40.788420731187884))","174","Manhattan","Dwight School","WEST 89 STREET","Central Park West","Columbus Ave","2020-09-19T00:00:00.000","Upper West Side","0310021","0.17022267","898.775741671"
"MULTILINESTRING ((-73.98270090971268 40.73543182927075, -73.98208861971757 40.73517679828945, -73.98202455772595 40.73514896441539, -73.9803144944626 40.734428476562265))","175","Manhattan","PS 40","EAST 19 STREET","1st Ave","2nd Ave","2020-09-19T00:00:00.000","Gramercy","0310115","0.14311869","755.666788602"
"MULTILINESTRING ((-73.99458506144725 40.73467265566786, -73.99669886488584 40.7355669435701, -73.99701127299325 40.735699107924376, -73.99780736245724 40.73603588962348))","176","Manhattan","Harvest Collegiate High School","WEST 12 STREET","6th Ave","5th Ave","2020-09-19T00:00:00.000","Greenwich Village","0313044","0.19352913","1021.83376561"
"MULTILINESTRING ((-73.96335353243755 40.79856139425868, -73.96457092684317 40.79907318738837, -73.96472139615231 40.79913648461337, -73.96495816414463 40.7992360845243, -73.9650988401045 40.799295262094695, -73.96572806189835 40.79955994554949, -73.96620558296325 40.799760814128106))","177","Manhattan","PS 145 The Bloomingdale School","WEST 105 STREET","Amsterdam Av","Columbus Ave","2020-09-19T00:00:00.000","Upper West Side","0313911","0.17092701","902.494478936"
"MULTILINESTRING ((-73.9731337572063 40.78517013009808, -73.97507218771328 40.785987817380295, -73.97536189674557 40.78611002095656, -73.97597578902207 40.78636896449488))","178","Manhattan","Success Academy Upper West","WEST 84 STREET","Amsterdam Ave","Columbus Ave",,"Upper West Side","9001869","0.17047403","900.102883646"
"MULTILINESTRING ((-73.9148510877458 40.83026060468161, -73.91418685129806 40.83139741058444, -73.91414196193179 40.83147423441984, -73.91404334872993 40.831643001965205, -73.91399586046307 40.8317242740497, -73.91368073847372 40.832263569233355))","179","Bronx","Success Academy Bronx 2 Middle School","COLLEGE AVENUE","E 167 St","E 166 St",,"Concourse","9003464","0.15121144","798.396209176"
"MULTILINESTRING ((-73.95355038977107 40.801947728995714, -73.95371670608723 40.80201782139633, -73.95498212138 40.80255110632737, -73.95506633361066 40.80258659542758, -73.9558293325258 40.80290813428492, -73.9563210025874 40.803115327403674))","180","Manhattan","Success Academy Harlem West","WEST 114 STREET","Frederick Douglass Blvd","Adam Clayton Powell Blvd",,"Harlem","9003922","0.16612107","877.119178686"
"MULTILINESTRING ((-73.95400490370687 40.801318942370244, -73.95542487788 40.801916493251994, -73.95553229177001 40.801961817230094, -73.95677796262034 40.80248742869276))","181","Manhattan","Success Academy Harlem 4","WEST 113 STREET","Adam Clayton Powell Blvd","Frederick Douglass Blvd",,"Harlem","9003931","0.16626422","877.87477383"
"MULTILINESTRING ((-73.92001073242238 40.69515733937539, -73.91973907904526 40.695433931026216, -73.91967119970072 40.695503044866825, -73.919192467579 40.6959904716743, -73.91912390832047 40.696060275404044, -73.91865053692668 40.69654223578113, -73.91856425920163 40.69663007742855))","182","Brooklyn","Success Academy Bushwick","MENAHAN STREET","Wilson Ave","Central Ave",,"Bushwick","9004463","0.12687744","669.912818356"
"MULTILINESTRING ((-73.9451243013195 40.70862518142194, -73.94440029633418 40.708692107595375, -73.94425794706079 40.70870526636197, -73.94343994950087 40.708780874100256))","183","Brooklyn","14K586","SCHOLES STREET","Graham Ave","Manhattan Ave","2020-09-19T00:00:00.000","Williamsburg","9005087","0.0890928","470.409973495"
"MULTILINESTRING ((-74.00289348797735 40.68055939359249, -74.00213814648642 40.68034634752575, -74.00133965868747 40.68012114096258))","184","Brooklyn","The Brooklyn New School and PS 146","RAPELYE STREET","Hicks St","Henry St","2020-09-19T00:00:00.000","Carroll Gardens","0021949","0.08704552","459.600467569"
"MULTILINESTRING ((-73.95314658152141 40.78591685375113, -73.9530445579876 40.78587389433748, -73.9529389709436 40.78582749346317))","185","Manhattan","Hunter College Campus Schools","EAST 95 STREET","Madison Ave","Park Ave",,"Upper East Side","0166078","0.01251391","66.073346627"
"MULTILINESTRING ((-73.87245291529281 40.762058564664045, -73.8722822276711 40.76170208971443, -73.87207617010857 40.76072345830559))","186","Queens","East Elmhurst Community School","97 STREET","Astoria Blvd","30th Ave","2020-09-19T00:00:00.000","East Elmhurst","0113441","0.09456504","499.303468699"
"MULTILINESTRING ((-74.00040805499626 40.65827028418769, -74.00034375171094 40.658230436535156, -74.0002810803261 40.65819244390684))","187","Brooklyn","PS 172","29 STREET","4th Ave","5th Ave",,"Sunset Park","0161837","0.00856563","45.2265995991"
"MULTILINESTRING ((-73.96343388733266 40.77183372473351, -73.96332652728402 40.77178632324571, -73.96321382454117 40.7717403526524))","188","Manhattan","The Buckley School","EAST 73 STREET","Lexington Ave","Park Ave",,"Upper East Side","0165988","0.01322228","69.8138588843"
"MULTILINESTRING ((-73.97549294573788 40.71886905318036, -73.97545152720568 40.71894654223737, -73.97542164009992 40.719020413691275))","189","Manhattan","Bard High School Early College","MANGIN STREET","Stanton St","Houston St",,"Lower East Side","0164935","0.01110548","58.6368901195"
"MULTILINESTRING ((-73.95406894067106 40.78466234037592, -73.9539602860228 40.784616497516375, -73.95385403500698 40.78457281672002))","190","Manhattan","The Spence School","EAST 93 STREET","Madison Ave","Park Ave",,"Upper East Side","0166074","0.01285349","67.8663538031"
"MULTILINESTRING ((-73.96565142590481 40.805405571539765, -73.9657638417263 40.805452989208376, -73.96585301255078 40.805490332311436))","191","Manhattan","Bank Street School for Children","WEST 112 STREET","Riverside Drive","Broadway",,"Morningside Heights","0166299","0.01208","63.7821756698"
"MULTILINESTRING ((-73.96112079501957 40.77500249381761, -73.96100833782329 40.77495530549478, -73.96090423132384 40.77490901139321))","192","Manhattan","Ramaz School - Upper School","EAST 78 STREET","Madison Ave","Park Ave",,"Upper East Side","0166010","0.01306476","68.9819739123"
"MULTILINESTRING ((-73.90294792776395 40.701457891084615, -73.90178506242434 40.702105068326944, -73.90136816965757 40.70233707825831))","193","Queens","St. Matthias Catholic Academy","CATALPA AVENUE","Woodward Ave","Onderdonk Ave","2020-09-19T00:00:00.000","Ridgewood","0287265","0.10277422","542.64749351"
"MULTILINESTRING ((-74.00505733524194 40.65378910797212, -74.00500304541579 40.653756803393684, -74.00494085209404 40.6537189258287))","194","Brooklyn","15K024","37 STREET","4th Ave","5th Ave",,"Sunset Park","0161769","0.00780539","41.2127009144"
"MULTILINESTRING ((-73.89469190331695 40.83061907684406, -73.89489517902761 40.83186603933186, -73.89494022915657 40.83214238289313))","195","Bronx","PS 134","BRISTOW STREET","Jennings St","Freeman St","2020-09-19T00:00:00.000","Claremont","0314615","0.10591569","559.234835123"
"MULTILINESTRING ((-73.95384314687199 40.80124988957775, -73.9539336767082 40.80128857071046, -73.95400490370687 40.801318942370244))","196","Manhattan","Success Academy Harlem 4","WEST 113 STREET","Adam Clayton Powell Blvd","Frederick Douglass Blvd",,"Harlem","0166399","0.00972853","51.3667530839"
"MULTILINESTRING ((-73.93885494676366 40.844679038462445, -73.93897957217004 40.8447307297046, -73.94051785056836 40.845368739813125))","197","Manhattan","Harbor Heights","WEST 173 STREET","Broadway","Ft Washington Ave","2020-09-28T00:00:00.000","Washington Heights","0257972","0.09928744","524.237539686"
"MULTILINESTRING ((-73.94569521705066 40.79617336514467, -73.94555799273772 40.796112948910135, -73.94544586552695 40.79606679930595))","198","Manhattan","Success Academy Harlem East","EAST 111 STREET","Park Ave","Lexington Ave",,"Harlem","0166146","0.01500322","79.2169776273"
"MULTILINESTRING ((-73.94635555538405 40.806433897692415, -73.94643786844644 40.80646908241835, -73.94650282073536 40.806503016342525))","199","Manhattan","Great Tomorrows USA","WEST 123 STREET","Malcolm X Blvd","Mount Morris Park West",,"Harlem","0166543","0.00908467","47.9671012921"
"MULTILINESTRING ((-73.95965866596828 40.777003529350644, -73.95954758005941 40.77695714154458, -73.95944217887896 40.776913096938536))","200","Manhattan","002M006","EAST 81 STREET","Park Ave","Madison Ave",,"Upper East Side","0166024","0.0129573","68.4145847353"
"MULTILINESTRING ((-73.9872280518222 40.73887096094662, -73.98685330501738 40.73871473477212, -73.98642492223765 40.738534718663196))","201","Manhattan","The Ecole","EAST 21 STREET","Gramercy Park West","Park Ave South","2020-09-19T00:00:00.000","Gramercy","0164398","0.04811564","254.050577947"
"MULTILINESTRING ((-73.99688629641486 40.68031543852179, -73.99537713464304 40.67989200286803, -73.99513844428532 40.67982502898182))","202","Brooklyn","Hannah Senesh Community Day School","1 PLACE","Smith St","Court St","2020-09-19T00:00:00.000","Carroll Gardens","0257428","0.09785367","516.66737379"
"MULTILINESTRING ((-74.00855888977821 40.65043317248412, -74.00849640980199 40.65039195052592, -74.00842975592148 40.650348082218684))","203","Brooklyn","Sunset Park Avenues Elementary School","43 STREET","3rd Ave","4th Ave",,"Sunset Park","0161718","0.00897383","47.3819475977"
"MULTILINESTRING ((-74.01067613938059 40.70711635272862, -74.01068605532063 40.707194587326164, -74.01019965354293 40.70769826306669))","204","Manhattan","Pine Street School","NASSAU STREET","Wall St","Pine St","2020-09-19T00:00:00.000","Financial District","0111153","0.04855355","256.362578403"
"MULTILINESTRING ((-74.00739539201183 40.651548012706506, -74.00733460297955 40.65151132862115, -74.00726845758855 40.65147141378579))","205","Brooklyn","Charles O. Dewey IS 136","41 STREET","3rd Ave","4th Ave",,"Sunset Park","0161732","0.00851094","44.9377496351"
"MULTILINESTRING ((-73.88876172700789 40.7533729072345, -73.88875581198631 40.75334035722605, -73.8887486786679 40.75330130438533))","206","Queens","Garden School","78 STREET","34 Ave","Northern Blvd",,"Jackson Heights","0175299","0.00498799","26.3365412823"
"MULTILINESTRING ((-73.9945257845964 40.760927028600115, -73.99520224650988 40.76121031245534, -73.99738707533353 40.76212523220392))","207","Manhattan","Elias Howe","WEST 44 STREET","10 Ave","11th Ave","2020-09-19T00:00:00.000","Hell's Kitchen","0106085","0.17138465","904.910868666"
"MULTILINESTRING ((-73.98946985309311 40.66169902375887, -73.98787847489189 40.66073442304665, -73.98760330520643 40.66040121164392))","208","Brooklyn","New Voices School of Academic & Creative Arts; K088","18 STREET","6th Ave","7th Ave","2020-09-19T00:00:00.000","Park Slope","0022566","0.13403654","707.713040466"
"MULTILINESTRING ((-73.96981370022594 40.79717603222782, -73.96991493425232 40.79721643619702, -73.97001365856917 40.7972571014696))","209","Manhattan","Yaldaynu Center and Inc.","WEST 100 STREET","Broadway","West End Ave",,"Upper West Side","0165982","0.0118847","62.7511842436"
