"complaint_inquiry_number","license_type","account_name","bic_number","date_complaint_inquiry","industry_type","account_status","source_of_complaint_inquiry","complaint_inquiry_disposition","complaint_inquiry_status","total_response_time","complaint_or_inquiry","nature_of_complaint_inquiry","complaint_inquiry_street","complaint_inquiry_city","complaint_inquiry_state","complaint_inquiry_zip","complaint_inquiry_borough","account_focus_of_complaint","account_address","account_city","account_state","account_zip","account_phone","vehicle_make","vehicle_model","vehicle_type","vehicle_year","vehicle_color","contacted_complainant","unable_to_contact_complainant","method_used_to_contact","export_date","borough","latitude","longitide","community_board","council_district","census_tract","bin","bbl","nta"
"2009-01800",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed",,"Inquiry","Quality of Life-Noise - Trade Waste","Greenwich & Rector","nyc","NY",,"NYC","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00268",,"ACTION CARTING ENVIRONMENTAL SERVICES INC.","TWC-1181",,"Trade Waste",,"PHONE - 6300",,"Closed",,"Inquiry","Contracts - Trade Waste",,,"NY",,,"ACTION CARTING ENVIRONMENTAL SERVICES INC.","429 FRELINGHUYSEN AVENUE","NEWARK","RENEWAL PENDING",,"(866) 270-9900",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-01219",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed",,"Inquiry",,,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00886",,,"TWC-605",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Complaint","Containers-Unremoved - Trade Waste","340 Suydam street","Brooklyn","NY","11237-","Brooklyn","SAL DONA INC.","786 EAST 94 STREET","BROOKLYN","RENEWAL APPROVED","11237-","(718) 251-0657",,,,,,"False","False",,"2023-08-25","BROOKLYN","40.704063","-73.921807","4","34","445","3251879","3032210011","Bushwick North"
"2010-01166",,,"TWC-0",,"Trade Waste",,"MAIL","Resolved","Closed",,"Complaint","Unlicensed Carter - Trade Waste","219-42 91 Rd.","nyc","NY",,"Queens","Home Gardening Landscaping","754 Grand St.","nyc","UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00259",,,"TWC-1719",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Complaint","Other - All","47 St. (off Grand Ave.)","nyc","NY",,"Queens","FIVE STAR CARTING INC.","5835 47TH STREET","MASPETH","RENEWAL APPROVED",,"(718) 386-7643",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-192621",,,,"2015-12-01T00:00:00.000","Trade Waste",,"PHONE - 6300","Referred To Licensing","Closed","0.0","Inquiry","Information - All;Licensing - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2013-00763",,,"TWC-NaN",,"Trade Waste",,"EMAIL","Resolved","Closed",,"Complaint","Soliciting - Trade Waste;Criminal - All",,,,,,"N/A",,,,"11368-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-195343",,"KWN CARTING LLC","BIC-495410","2020-02-28T00:00:00.000","Trade Waste","Active","WEB-MAIL","Resolved","Closed","3.0","Complaint","Quality of Life-Noise - Trade Waste",,,,,,"KWN CARTING LLC","61-43 186TH STREET, SUITE 585","FRESH MEADOWS","NY","11365",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"INQ-193672",,,,"2017-10-04T00:00:00.000","Trade Waste",,"PHONE - 6300","Referred To BIC Legal","Closed","0.0","Inquiry","Other - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2008-01687",,,"TWC-NaN",,"Trade Waste",,"MAIL","Referred To BIC Intel","Closed",,"Inquiry","Illegal Dumping - Trade Waste",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00708",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Containers-Abandoned - Trade Waste",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-189857",,,,"2013-12-08T00:00:00.000","Trade Waste",,"PHONE - 6300","Resolved","Closed","1.0","Inquiry","Service - All","90 University Pl","NY","NY","10003",,,,,,,,,,,,,"False","False",,"2023-08-25","MANHATTAN","40.733661","-73.993029","2","2","61","1009282","1005690022","West Village"
"2010-00667",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-01855",,"WASTE MANAGEMENT OF NEW YORK, L.L.C.","TWC-1146",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,"NY",,,"WASTE MANAGEMENT OF NEW YORK, LLC.","123 VARICK AVENUE","BROOKLYN","RENEWAL PENDING",,"(718) 533-5506",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00498",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-01714",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed",,"Inquiry",,,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-00280",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00216",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed",,"Complaint","Disposal - All","1303 3rd Ave.","nyc","NY",,"NYC","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00230",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Unable to Contact Complainant","Closed",,"Inquiry","Other - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-191944","Trade Waste","SANITATION SALVAGE CORP.","BIC-172","2015-05-21T00:00:00.000","Trade Waste","Active","311/PHONE - 9278","Resolved","Closed","7.0","Complaint","Service - All","228 Jerome avenue","Bronx","NY",,"Bronx","SANITATION SALVAGE CORP.","421 MANIDA STREET","BRONX","NY","10474",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2012-00943",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-01263",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00771",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-192030",,,,"2015-06-11T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Resolved","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2011-01218",,"GALAXY RECYCLING INC","TWC-972",,"Trade Waste",,"EMAIL","Referred To BIC Intel","Closed",,"Complaint","Cardboard-Theft - Trade Waste","UNKNOWN","Ozone Park","NY",,"Queens","GALAXY RECYCLING INC","3 NEW YORK AVENUE","JERSEY CITY","RENEWAL PENDING",,"(201) 420-4321",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-01113",,"ELITE WASTE SERVICES LLC","TWC-3361",,"Trade Waste",,"EMAIL","Referred To BIC Intel","Closed",,"Complaint","Cardboard-Theft - Trade Waste","Mott Street, China town","UNKNOWN","NY",,"NYC","ELITE WASTE SERVICES LLC","43 WEST 39TH STREET","BAYONNE","APPROVED",,"(646) 706-8823",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-192669","Trade Waste","CLASSIC RECYCLING NEW YORK CORP.","BIC-249","2016-01-04T00:00:00.000","Trade Waste","Active","PHONE - 6300","Resolved","Closed","2.0","Complaint","Quality of Life-Spillage - Trade Waste","237 West 35th St","New York","NY","10001","Manhattan","CLASSIC RECYCLING NEW YORK CORP.","409 RIVER ROAD SUITE #1","CLIFTON","NJ","07014-",,,,,,,"True","False","Phone Call","2023-08-25","MANHATTAN","40.752152","-73.991287","5","3","109","1014425","1007850018","Midtown-Midtown South"
"2007-00842",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry",,,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196006","Trade Waste","FILCO CARTING CORP.","BIC-390","2021-06-09T00:00:00.000","Trade Waste","Active","WEB-MAIL","Resolved","Closed","0.0","Complaint","Service - All","2-21 Beach 80th Street","Queens","NY",,"Queens","FILCO CARTING CORP.","197 SNEDICKER AVENUE","BROOKLYN","NY","11207",,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"2009-00523",,,"TWC-0",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","39-18 216 St","NYC",,,,,"835 2 Ave.","Franklin Square","UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2006-01269",,"MR. T CARTING CORP.","TWC-173",,"Trade Waste",,"PHONE - 6300",,"Closed",,"Complaint","Waste Stream Survey - Trade Waste",,,"NY",,,"MR. T CARTING CORP.","73-04 EDSALL AVENUE","GLENDALE","RENEWAL PENDING",,"(718) 366-0834",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-193333","Trade Waste;Transfer Station","WASTE CONNECTIONS OF NEW YORK, INC.","TS-94 / TS-95 / TS-123 / TS-124 / BIC-1059","2017-02-01T00:00:00.000","Trade Waste","Active","PHONE - 6300","Unsubstantiated","Closed","7.0","Complaint","Quality of Life-Noise - Trade Waste","19 West 19th Street",,,,,"IESI NY CORPORATION","99 WOOD AVENUE SOUTH, SUITE 1001","ISELIN","NJ","08830",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2009-01416",,,,,"Trade Waste",,"WEB-MAIL","Resolved","Closed",,"Complaint","Unlicensed Carter - Trade Waste;Illegal Dumping - Trade Waste","UNKNOWN","nyc","NY",,"Staten Island","N/A",,,,"10312-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-192595",,"HAMILTON PET MEADOW, INC.","BIC-501191","2015-11-16T00:00:00.000","Trade Waste","Active","WEB-MAIL","Referred To Licensing","Closed","0.0","Inquiry","Information - All;Licensing - All",,,,,,"HAMILTON PET MEADOW, INC.","1500 KLOCKNER ROAD","HAMILTON","NJ","08619",,,,,,,"True","False","E-Mail","2023-08-25",,,,,,,,,
"2011-00661",,"VIKING SANITATION, INC.","TWC-1055",,"Trade Waste",,"PHONE - 6275","Resolved","Closed",,"Complaint","Quality of Life-Noise - Trade Waste","across the street from 2025 Bath Ave.","nyc","NY",,"Brooklyn","VIKING SANITATION INC.","225 BAY 37TH STREET","BROOKLYN","RENEWAL APPROVED",,"(800) 889-1254",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-00007",,"THE JUNK PROS CORPORATION","TWC-2379",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Complaint","Other - All","40-22 79th street","Elmhurst","NY","11373-","Queens","THE JUNK PROS CORPORATION","114-39 212TH STREET","CAMBRIA HEIGHTS","RENEWAL APPROVED","11373-","(718) 827-2581",,,,,,"False","False",,"2023-08-25","QUEENS","40.746838","-73.886634","4","25","267","4036812","4014890017","Elmhurst"
"2011-00552",,,"TWC-NaN",,"Trade Waste",,"WEB-MAIL","Referred back to 311","Closed",,"Complaint","Misinformation - All",,,,,,"N/A",,,,"07306-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00058",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed",,"Complaint","Illegal Dumping - Trade Waste","51-15 Beach Channel Drive","Far Rockaway","NY","11691-","Queens","N/A",,,,,,,,,,,"False","False",,"2023-08-25","QUEENS","40.595241","-73.782116","14","31","97204","4529232","4158430001","Hammels-Arverne-Edgemere"
"COMP-193038",,,,"2016-07-22T00:00:00.000","Trade Waste",,"PHONE - 6300","Unsubstantiated","Closed","3.0","Complaint","Quality of Life-Noise - Trade Waste","322 West 125th St","NY","NY","10027","Manhattan",,,,,,,,,,,,"True","False","Phone Call","2023-08-25","MANHATTAN","40.810446","-73.951843","10","9","257","1059298","1019510022","Central Harlem South"
"INQ-191425",,,,"2014-12-03T00:00:00.000","Trade Waste",,"WEB-MAIL","Referred To Licensing","Closed","7.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2010-00443",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed",,"Inquiry","Misinformation - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00554",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-192509","Trade Waste","METROPOLITAN PAPER RECYCLING, INC.","BIC-1431","2015-10-13T00:00:00.000","Trade Waste","Active","PHONE - 6300","Resolved","Closed","1.0","Complaint","Service - All","1096 Flatbush Avenue","Brooklyn","NY","11226","Brooklyn","METROPOLITAN PAPER RECYCLING INC.","847 SHEPHERD AVENUE","BROOKLYN","NY","11208-",,,,,,,"True","False","Phone Call","2023-08-25","BROOKLYN","40.64363","-73.957829","14","40","51602","3336228","3051640014","Flatbush"
"2009-00499",,,"TWC-NaN",,"Trade Waste",,"WEB-MAIL","Referred to Another Agency","Closed",,"Complaint","Quality of Life-Spillage - Trade Waste","Hillside Ave and 260 St","NYC","NY",,"Queens","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00799",,,,,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-191932",,,,"2015-05-13T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Resolved","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"COMP-189918",,,,"2013-12-19T00:00:00.000","Trade Waste",,"E-Mail","Arrest","Closed","8.0","Complaint","Cardboard-Theft - Trade Waste","144-02 158th St.","Jamaica","NY","11434","Queens",,,,,,,,,,,,"True","False","Phone Call","2023-08-25","QUEENS","40.665363","-73.779302","13","31","306","4296646","4150120006","Springfield Gardens South-Brookville"
"COMP-194432","Trade Waste","ACTION CARTING ENVIRONMENTAL SERVICES INC.","BIC-1181","2018-10-30T00:00:00.000","Trade Waste","Active","WEB-MAIL","Resolved","Closed","1.0","Complaint","Quality of Life-Noise - Trade Waste","309 E 87th Street","New York","NY","10128","Manhattan","ACTION CARTING ENVIRONMENTAL SERVICES INC.","300 FRANK W. BURR BLVD, STE. 39","TEANECK","NJ","07666",,,,,,,"True","False","Phone Call","2023-08-25","MANHATTAN","40.778352","-73.950754","8","5","14602","1050047","1015500007","Yorkville"
"2009-02403",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-195393","Trade Waste","MILLENNIUM LANDSCAPING INC.","BIC-1406 / BIC-767","2020-03-25T00:00:00.000","Trade Waste","Active","WEB-MAIL","Referred To Licensing","Closed","0.0","Inquiry","Licensing - All",,,,,,"MILLENNIUM LANDSCAPING, INC.","787 CORNELL ROAD","FRANKLIN SQUARE","NY","11010-",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2008-00241",,,"TWC-NaN",,"Trade Waste",,"FAX","Referred To BIC Intel","Closed",,"Complaint","Other - All","2929 Westchester Ave.",,"NY",,"Bronx","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-00016",,"CITY WASTE SERVICES OF NEW YORK, INC.","TWC-1153",,"Trade Waste",,"311/PHONE - 9278","Unsubstantiated","Closed",,"Inquiry","Service - All",,,,,,"CITY WASTE SERVICES INC.","167 33 PORTER ROAD","JAMAICA","RENEWAL PENDING",,"(718) 328-8582",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-191443",,,,"2014-12-18T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Resolved","Closed","0.0","Inquiry","Information - All","14588 Guy R Brewer Blvd","Jamaica","NY","11434-5284","Queens",,,,,,,,,,,,"True","False","Phone Call","2023-08-25","QUEENS","40.663843","-73.768566","13","31","320","4448951","4133100051","Springfield Gardens South-Brookville"
"2008-01286",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-194329","Trade Waste;Transfer Station","WASTE CONNECTIONS OF NEW YORK, INC.","BIC-1059 / TS-94 / TS-95 / TS-123 / TS-124","2018-09-10T00:00:00.000","Trade Waste","Active","WEB-MAIL","Resolved","Closed","1.0","Inquiry","Information - All",,,,,,"WASTE CONNECTIONS OF NEW YORK, INC.","99 WOOD AVENUE SOUTH, SUITE 1001","ISELIN","NJ","08830",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2011-00662",,,,,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00089",,"CITY WASTE SERVICES OF NEW YORK, INC.","TWC-1153",,"Trade Waste",,"PHONE - OTHER","Resolved","Closed",,"Complaint","Other - All",,,,,,"CITY WASTE SERVICES INC.","167 33 PORTER ROAD","JAMAICA","RENEWAL PENDING",,"(718) 328-8582",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-01304",,"GLOBAL EQUIPMENT LEASING, LTD.","TWC-3945",,"Trade Waste",,"PHONE","Resolved","Closed",,"Inquiry","Information - All",,,,,,"GLOBAL EQUIPMENT LEASING LTD.","659 GRAND BLVD","DEER PARK","APPROVED",,"(631) 392-0675",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-00629",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-189839","Trade Waste","CITY WASTE SERVICES OF NEW YORK, INC.","BIC-1153","2013-11-29T00:00:00.000","Trade Waste","Active","WEB-MAIL","Resolved","Closed","6.0","Complaint","Contracts - Trade Waste;Rates-Overcharge - Trade Waste;Service - All",,,,,,"CITY WASTE SERVICES INC.","167 33 PORTER ROAD","JAMAICA","NY","11434-",,,,,,,"True","False","E-Mail","2023-08-25",,,,,,,,,
"COMP-194083","Trade Waste","ACTION CARTING ENVIRONMENTAL SERVICES INC.","BIC-1181","2018-05-21T00:00:00.000","Trade Waste","Active","E-Mail","Violation Written","Closed","4.0","Complaint","Other - All","51-01 Grand Avenue","Queens","NY","11378","Queens","ACTION CARTING ENVIRONMENTAL SERVICES INC.","300 FRANK W. BURR BLVD, STE. 39","TEANECK","NJ","07666",,,,,,,"True","False","Phone Call","2023-08-25","QUEENS","40.7178","-73.917949","5","30","219","4058991","4026100118","Hunters Point-Sunnyside-West Maspeth"
"INQ-190634",,,,"2014-06-03T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-01424",,"FERRARA EQUIPMENT INC.","TWC-1198",,"Trade Waste",,"FAX","Violation Written","Closed",,"Inquiry","Illegal Dumping - Trade Waste","Lot adjacent to 2417 Linden Blvd.",,"NY",,"Brooklyn","FERRARA EQUIPMENT INC.","160 08 CRYDERS LANE","WHITESTONE","RENEWAL APPROVED",,"(718) 746-3599",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-01430",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00365",,,,,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00760",,"WASTE MANAGEMENT OF NEW YORK, L.L.C.","TWC-1146",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Quality of Life-Noise - Trade Waste",,,"NY",,,"WASTE MANAGEMENT OF NEW YORK, LLC.","123 VARICK AVENUE","BROOKLYN","RENEWAL PENDING",,"(718) 533-5506",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-193823",,"MAYA SHENKMAN","BIC-494581","2018-01-12T00:00:00.000","Trade Waste","Active","PHONE - 6300","Resolved","Closed","0.0","Complaint","Unlicensed Broker - Trade Waste",,,,,,"MAYA SHENKMAN","90-01 63RD AVENUE","REGO PARK","NY","11374",,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"COMP-191542",,,,"2015-01-14T00:00:00.000","Trade Waste",,"PHONE - 6300","Resolved","Closed","27.0","Complaint","Other - All","555 Maspeth Ave","Brooklyn","NY","11211-2508","Brooklyn",,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2011-01254",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Information - All;Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-00385",,,"TWC-NaN",,"Trade Waste",,"WEB-MAIL","Resolved","Closed",,"Complaint","Information - All;Licensing - All",,,,,,"N/A",,,,"10010-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-196287","Trade Waste","WAYNE'S LAWN & GARDEN SERVICE, INC.","BIC-3195","2021-12-16T00:00:00.000","Trade Waste","Active","WEB-MAIL","Resolved","Closed","0.0","Inquiry","Licensing - All",,,,,,"WAYNE'S LAWN & GARDEN SERVICE, INC.","1517 JARVIS AVENUE","BRONX","NY","10461-",,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"2010-00497",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-190733","Transfer Station","JD RECYCLING INC","TS-176","2014-06-26T00:00:00.000","Trade Waste","Active","E-Mail","Unsubstantiated","Closed","2.0","Complaint","Illegal Dumping - Trade Waste","801 East 141 Street","Bronx","NY",,"Bronx","JD RECYCLING INC","3839 BELL BLVD, SUITE 203 FLUSHING, NY 11361-","FLUSHING","NY","11361-",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"INQ-190673",,,,"2014-06-10T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Insufficient Information","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00107",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Licensing - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00726",,,,,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Quality of Life-Spillage - Trade Waste","7420 Amboy Road",,"NY",,"Staten Island","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00111",,"MENDEZ TRUCKING INC","TWC-2248",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","FOIL - All","E. 90 St & 1st Ave.","nyc","NY",,"NYC","MENDEZ TRUCKING, INC.","490 UNION AVENUE","BELLEVILLE","RENEWAL APPROVED",,"(973) 979-0100",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-195222",,,,"2019-11-27T00:00:00.000","Trade Waste",,"WEB-MAIL","Unsubstantiated","Closed","13.0","Complaint","Quality of Life-Noise - Trade Waste",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"INQ-193282",,,,"2016-12-19T00:00:00.000","Trade Waste",,"WEB-MAIL","Resolved","Closed","1.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","E-Mail","2023-08-25",,,,,,,,,
"2011-00011",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-01001",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Referred To Licensing","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-00920",,"ACTION CARTING ENVIRONMENTAL SERVICES INC.","TWC-1181",,"Trade Waste",,"PHONE - OTHER","Resolved","Closed",,"Complaint","Quality of Life-Spillage - Trade Waste","1-43rd St.","Brooklyn","NY","11232-","Brooklyn","ACTION CARTING ENVIRONMENTAL SERVICES INC.","451 FRELINGHUYSEN AVENUE","NEWARK","RENEWAL PENDING",,"(973) 623-7600",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-192134",,,,"2015-07-07T00:00:00.000","Trade Waste",,"SELF-INITIATED","Referred To BIC Legal","Closed","16.0","Complaint","Unlicensed Carter - Trade Waste","118-60 Metropolitan Ave","Kew Gardens","NY","11415","Brooklyn",,,,,,,,,,,,"True","False","In Person","2023-08-25","QUEENS","40.706576","-73.833257","9","29","134","4433887","4033220024","Kew Gardens"
"2007-00288",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","FOIL - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00173",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Licensing - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-191716",,,,"2015-03-05T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed","4.0","Inquiry","Other - All",,,,,,,,,,,,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"2010-01185",,,,,"Trade Waste",,"FAX","Resolved","Closed",,"Complaint","FOIL - All",,,,,,"N/A",,,,"10474-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00649",,,"TWC-NaN",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","124-17 Newport Ave.","nyc","NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00012",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred To BIC Legal","Closed",,"Inquiry","Other - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
