"the_geom","cornerid","rampid","ramp_onstr","geocyclora","borough","stname1","stname2","curb_reveal","ramp_running_slope_total","dws_conditions","gutter_slope","lnd_width","lnd_length","lnd_cross_slope","counter_slope","ramp_width","ramp_right_flare","ramp_left_flare","ramp_length","ramp_cross_slope","ponding","obstacles_ramp","obstacles_landing"
"POINT (-73.9235463255485 40.81198621248676)","1004768","1292","EAST 141 STREET","2018-03-25T00:00:00.000","2","ALEXANDER AVENUE","EAST 141 STREET","0.4","5.7","Missing","-1.1","54.1","60.0","0.6","-7.9","53.9","11.4","90.2","-15.2","-1.0","Yes","None","None"
"POINT (-73.86601372040695 40.8299682799363)","1016068","4661","GLEASON AVENUE","2018-05-23T00:00:00.000","2","GLEASON AVENUE","BEACH AVENUE","0.4","10.2","Missing","0.4","48.1","60.0","0.9","-2.6","47.0","18.4","60.2","-18.4","-1.5","No","None","None"
"POINT (-73.94268915487784 40.605172349732875)","1131262","7642","NOSTRAND AVENUE","2018-05-10T00:00:00.000","3","AVENUE S","NOSTRAND AVENUE","0.7","7.6","Good Condition","2.7","46.8","60.0","-3.2","-0.6","49.6","19.6","63.5","-12.0","0.8","No","None","None"
"POINT (-73.97545946141344 40.63065808356612)","1127215","3168","WEBSTER AVENUE","2018-04-24T00:00:00.000","3","SETON PLACE","WEBSTER AVENUE","0.8","14.6","Missing","0.6","55.5","60.0","0.4","-5.4","51.9","14.1","43.7","-17.9","1.1","No","None","None"
"POINT (-73.89792491683204 40.70847902285579)","1030373","22993","PALMETTO STREET","2018-05-09T00:00:00.000","4","FRESH POND ROAD","PALMETTO STREET","0.7","5.8","Missing","-1.9","47.3","60.0","-1.5","-8.3","48.9","9.9","55.3","-9.1","-0.4","Yes","None","Utility Vault"
"POINT (-73.81355383210855 40.71996576602326)","1068328","26781","79 AVENUE","2018-04-18T00:00:00.000","4","150 STREET","79 AVENUE","1.8","1.1","Missing","-0.6","52.9","59.8","-1.3","-2.3","52.1","5.5","63.4","-6.8","-2.0","No","None","None"
"POINT (-73.9410658169225 40.82422538694546)","1093505","13916","WEST 147 STREET","2018-03-29T00:00:00.000","1","FREDERICK DOUGLASS BOULEVARD","WEST 147 STREET","0.6","5.9","Missing","2.7","43.4","60.0","3.2","-5.1","41.6","12.2","44.6","-2.4","4.0","No","None","None"
"POINT (-73.81813169638023 40.714235951663156)","1041562","25605","141 STREET","2018-04-15T00:00:00.000","4","HOOVER AVENUE","141 STREET","0.8","4.7","Missing","0.6","55.2","60.0","1.0","-1.4","56.4","7.2","49.4","-7.0","-0.1","No","None","None"
"POINT (-73.79556708785347 40.77428489432369)","1057976","17054","25 AVENUE","2018-04-26T00:00:00.000","4","25 AVENUE","169 STREET","0.9","4.6","Missing","0.9","48.0","20.2","2.2","-2.6","43.5","10.4","38.2","0.1","2.4","No","None","None"
"POINT (-73.86284314584147 40.88946615440635)","1012740","2941","CARPENTER AVENUE","2018-04-09T00:00:00.000","2","CARPENTER AVENUE","EAST 226 STREET","0.3","11.4","Missing","-0.7","52.1","60.0","-2.9","-5.8","53.8","8.4","53.3","-6.2","1.2","No","None","None"
"POINT (-74.14952140927511 40.537947656387246)","1149597","15195","WALNUT AVENUE","2018-04-30T00:00:00.000","5","HYLAN BOULEVARD","WALNUT AVENUE","1.0","4.8","Missing","0.2","49.4","60.0","0.9","7.1","53.9","2.2","56.7","-7.7","1.5","Yes","None","None"
"POINT (-74.03134884516608 40.637441168971534)","1139434","26865","BAY RIDGE AVENUE","2018-05-23T00:00:00.000","3","COLONIAL ROAD","BAY RIDGE AVENUE","0.8","5.8","Missing","2.4","39.8","60.0","2.6","-9.2","47.3","15.7","54.8","-2.4","1.1","No","None","None"
"POINT (-73.88438392420804 40.80694812785004)","1005233","516","VIELE AVENUE","2018-03-26T00:00:00.000","2","FAILE STREET","VIELE AVENUE","0.5","8.8","Good Condition","-2.0","46.7","60.0","-0.3","-2.5","48.4","7.9","65.5","-15.2","-1.6","No","None","None"
"POINT (-73.86627504661841 40.81863975356443)","1015355","4139","ROSEDALE AVENUE","2018-05-21T00:00:00.000","2","SEWARD AVENUE","ROSEDALE AVENUE","1.1","8.5","Missing","1.5","49.7","60.0","1.0","2.2","50.3","9.4","56.4","-11.5","-0.3","No","None","Utility access"
"POINT (-73.97603250578854 40.7763463821117)","1091798","10880","WEST 72 STREET","2018-04-08T00:00:00.000","1","CENTRAL PARK WEST","WEST 72 STREET","0.9","8.3","Good Condition","2.4","61.0","60.0","0.4","1.9","60.9","15.8","34.4","-11.8","1.2","No","None","None"
"POINT (-73.86077799962194 40.823861988815494)","1015414","3680","STORY AVENUE","2018-05-23T00:00:00.000","2","STORY AVENUE","UNDERHILL AVENUE","0.8","6.2","Good Condition","5.0","47.1","60.0","2.5","-2.8","47.2","15.7","58.3","-7.4","0.0","Yes","None","None"
"POINT (-73.88268330423828 40.814956284438225)","1005295","1503","DRAKE STREET","2018-03-27T00:00:00.000","2","DRAKE STREET","SPOFFORD AVENUE","0.7","9.3","Missing","-2.0","53.9","60.0","4.4","4.8","53.4","8.3","59.5","-14.5","-1.1","No","None","None"
"POINT (-73.92089676136892 40.652436129554715)","1119563","6268","RALPH AVENUE","2018-05-06T00:00:00.000","3","RALPH AVENUE","CHURCH AVENUE","1.7","6.6","Missing","2.9","82.9","60.0","0.8","-4.1","68.4","16.8","72.8","-10.6","1.9","No","None","None"
"POINT (-73.88249221841117 40.75573956103398)","1027996","34855","85 STREET","2018-04-07T00:00:00.000","4","85 STREET","NORTHERN BOULEVARD","0.5","8.6","Good Condition","-1.2","48.6","60.0","-2.4","-1.6","40.5","15.2","57.2","-12.7","-0.9","No","None","Utility access"
"POINT (-74.00865279480122 40.71151484977008)","1087130","13182","BROADWAY","2018-05-26T00:00:00.000","1","VESEY STREET","BROADWAY","1.0","10.2","Missing","1.6","60.2","60.0","0.7","0.6","60.3","22.3","70.5","-19.6","2.3","No","None","Utility access"
"POINT (-73.94562846038127 40.6402273675712)","1121202","5988","NEWKIRK AVENUE, NEW YORK AVENUE","2018-04-14T00:00:00.000","3","NEWKIRK AVENUE","NEW YORK AVENUE","0.5","5.4","Good Condition","1.4","49.0","35.7","0.9","2.1","48.4","1.5","59.6","2.8","1.7","No","None","None"
"POINT (-73.92198689810859 40.74140356645581)","1036678","29462","43 STREET","2018-03-27T00:00:00.000","4","43 STREET","47 AVENUE","1.0","8.0","Missing","2.3","55.0","60.0","2.7","-5.5","50.9","21.4","60.6","-8.3","4.6","No","None","None"
"POINT (-73.80627927212534 40.69485202880711)","1053015","36065","LIBERTY AVENUE","2018-04-26T00:00:00.000","4","LIBERTY AVENUE","LIVERPOOL STREET","0.7","14.3","Good Condition","-1.7","49.1","60.0","0.6","-1.6","48.1","35.9","40.0","-26.6","-1.0","No","None","None"
"POINT (-74.00504350461497 40.622490787820226)","1137699","27856","13 AVENUE","2018-04-21T00:00:00.000","3","13 AVENUE","71 STREET","0.5","4.4","Missing","-1.4","44.3","60.0","0.2","-3.9","52.9","1.8","54.3","-4.4","0.5","No","None","None"
"POINT (-73.99437990204488 40.64285113822167)","1128520","26004","42 STREET","2018-04-20T00:00:00.000","3","NEW UTRECHT AVENUE","42 STREET","0.6","4.0","Good Condition","-3.0","48.4","60.0","-1.6","-4.1","51.1","4.0","55.1","-8.7","-1.6","No","None","None"
"POINT (-73.83709080454751 40.85908199724089)","1020430","2250","ASTOR AVENUE","2018-05-18T00:00:00.000","2","ASTOR AVENUE","LODOVICK AVENUE","0.5","11.4","Missing","1.7","42.0","57.3","2.6","-3.9","37.3","33.0","59.6","-20.2","5.5","Yes","None","None"
"POINT (-73.9055234747194 40.81238482837516)","1022703","693","UNION AVENUE","2018-03-25T00:00:00.000","2","EAST 149 STREET","UNION AVENUE","0.6","7.6","Missing","2.5","50.6","60.0","-0.1","-5.9","49.8","15.2","54.7","-13.5","-0.6","Yes","None","None"
"POINT (-73.8468043244995 40.84488511410595)","1016999","27090","WILLIAMSBRIDGE ROAD","2018-04-11T00:00:00.000","2","WILLIAMSBRIDGE ROAD","POPLAR STREET","0.6","6.8","Missing","0.7","54.1","60.0","4.9","0.8","43.4","35.0","48.2","-10.4","9.7","No","None","None"
"POINT (-73.8415799385843 40.58025737665495)","1061708","11000","NEWPORT AVENUE","2018-05-22T00:00:00.000","4","BEACH 120 STREET","NEWPORT AVENUE","0.5","7.6","Missing","-1.5","48.1","60.0","-0.3","-2.6","47.0","7.7","62.7","-10.6","-0.3","No","None","None"
"POINT (-73.98654426364998 40.684310730586596)","1108454","16198","BOND STREET","2018-04-15T00:00:00.000","3","BOND STREET","WYCKOFF STREET","0.7","4.8","Good Condition","-0.2","49.0","60.0","-0.6","-4.1","49.8","7.9","53.5","-6.2","-0.6","No","None","None"
"POINT (-73.92577735983785 40.64456204301931)","1120367","5833","EAST 54 STREET","2018-04-12T00:00:00.000","3","CLARENDON ROAD","EAST 54 STREET","0.8","6.8","Missing","0.7","37.2","60.0","0.1","-3.0","41.0","30.0","44.0","-10.2","-0.1","No","None","None"
"POINT (-73.90335738949277 40.810596240492295)","1005048","981","AUSTIN PLACE","2018-03-25T00:00:00.000","2","EAST 149 STREET","AUSTIN PLACE","1.0","8.4","Missing","0.4","44.7","60.0","-0.6","-3.5","46.5","12.8","55.2","-18.6","0.5","Yes","None","None"
"POINT (-73.87049988291876 40.829263047792686)","1016186","5468","GLEASON AVENUE","2018-05-23T00:00:00.000","2","CROES AVENUE","GLEASON AVENUE","0.4","10.5","Missing","0.6","46.3","49.3","-0.3","4.8","45.8","13.2","64.3","-13.3","-0.1","No","None","None"
"POINT (-73.82470308389809 40.75536752754763)","1058973","12781","KISSENA BOULEVARD","2018-04-23T00:00:00.000","4","KISSENA BOULEVARD","FRANKLIN AVENUE","0.5","1.6","Good Condition","-3.7","53.3","60.0","-9.8","-7.9","56.3","-1.9","54.5","-19.7","-7.6","No","None","None"
"POINT (-73.99172965975328 40.71850654990111)","1086301","26872","ELDRIDGE STREET","2018-10-09T00:00:00.000","1","BROOME STREET","ELDRIDGE STREET","0.6","2.0","Good Condition","-0.6","49.3","60.0","-0.3","2.0","49.3","7.6","61.2","-11.7","0.0","No","None","None"
"POINT (-73.97534494370782 40.67941051565289)","1108643","18336","6 AVENUE","2018-04-15T00:00:00.000","3","PROSPECT PLACE","6 AVENUE","0.4","5.3","Missing","2.1","39.9","60.0","4.8","-9.2","44.5","12.0","39.9","-6.9","2.5","No","None","None"
"POINT (-74.03225746733973 40.634706930358035)","1139282","24670","COLONIAL ROAD","2018-05-23T00:00:00.000","3","72 STREET","COLONIAL ROAD","0.6","8.2","Missing","-3.2","45.9","57.3","-5.0","-2.5","39.4","5.1","59.5","-13.4","-4.1","No","None","None"
"POINT (-73.93991038833018 40.82536990336468)","1093478","13951","WEST 149 STREET","2018-03-29T00:00:00.000","1","FREDERICK DOUGLASS BOULEVARD","WEST 149 STREET","0.6","5.9","Missing","-1.1","43.1","60.0","0.7","-0.9","37.8","6.3","54.1","-18.6","-1.3","Yes","None","None"
"POINT (-74.20034089546314 40.540752033159286)","1157768","31683","SINCLAIR AVENUE","2018-05-03T00:00:00.000","5","DESERRE AVENUE","SINCLAIR AVENUE","0.5","8.4","Good Condition","1.6","48.4","51.9","4.0","-2.8","53.8","16.3","46.4","-13.7","1.6","No","None","None"
"POINT (-74.07952155785121 40.60671426605778)","1172583","10767","KANSAS AVENUE","2018-04-09T00:00:00.000","5","KANSAS AVENUE","NARROWS ROAD NORTH","0.9","8.7","Missing","-0.1","33.8","24.4","-2.1","10.9","37.2","17.7","33.4","-29.4","-1.7","No","None","None"
"POINT (-73.88895928874159 40.743452202585885)","1025527","28604","WOODSIDE AVENUE","2018-04-07T00:00:00.000","4","76 STREET","WOODSIDE AVENUE","0.5","5.6","Missing","-1.1","44.0","60.0","-4.0","-5.5","46.6","9.4","29.2","-21.2","-1.3","Yes","None","None"
"POINT (-73.96293770557322 40.60294065501989)","1130843","5204","EAST 9 STREET","2018-05-12T00:00:00.000","3","EAST 9 STREET","AVENUE S","1.0","6.4","Missing","-0.1","57.3","44.4","-3.0","-3.3","58.3","8.9","48.5","-16.8","-2.9","No","None","None"
"POINT (-73.91100899246628 40.76891816243952)","1039885","13711","ASTORIA BOULEVARD SOUTH","2018-04-01T00:00:00.000","4","STEINWAY STREET","ASTORIA BOULEVARD SOUTH","0.4","8.5","Defective","-0.7","59.8","60.0","-1.0","-3.2","60.3","28.8","36.2","-31.5","-1.7","Yes","None","None"
"POINT (-73.99304067011519 40.644619392664936)","1128504","26086","39 STREET","2018-04-20T00:00:00.000","3","10 AVENUE","39 STREET","0.5","5.2","Missing","2.0","50.2","60.0","1.0","-2.9","61.0","16.5","49.9","-9.6","0.6","No","None","None"
"POINT (-73.80666696225524 40.775771576789374)","1058599","10551","157 STREET","2018-04-20T00:00:00.000","4","157 STREET","24 ROAD","0.9","3.3","Missing","1.4","51.3","60.0","0.8","-2.0","51.0","7.0","47.1","-10.0","2.1","Yes","None","None"
"POINT (-73.97820481759328 40.7882184539963)","1091144","8073","WEST END AVENUE","2018-04-08T00:00:00.000","1","WEST END AVENUE","WEST 85 STREET","0.9","6.6","Missing","1.4","65.3","60.0","-1.5","-4.5","56.1","12.1","60.3","-10.8","0.3","No","None","None"
"POINT (-73.91755636734628 40.810258447949415)","1004825","1596","BROOK AVENUE","2018-03-25T00:00:00.000","2","EAST 142 STREET","BROOK AVENUE","0.7","6.2","Missing","0.3","51.5","60.0","-2.5","-5.0","49.2","8.6","64.6","-9.2","0.4","No","None","None"
"POINT (-73.96101326739584 40.59825598304699)","1132913","6961","AVENUE U","2018-05-14T00:00:00.000","3","CONEY ISLAND AVENUE","AVENUE U","0.4","3.1","Missing","-2.0","48.0","60.0","-0.6","0.6","48.4","15.3","47.3","-19.8","-0.5","Yes","None","None"
"POINT (-73.95474909416036 40.61620418965243)","1130751","2609","AVENUE N","2018-04-22T00:00:00.000","3","OCEAN AVENUE","AVENUE N","0.8","7.5","Missing","3.5","46.7","60.0","-1.5","-2.5","45.6","23.5","52.4","-18.8","-1.2","No","None","None"
"POINT (-73.85051477215941 40.73497186172061)","1024972","21248","63 AVENUE","2018-05-06T00:00:00.000","4","108 STREET","63 AVENUE","1.1","5.1","Defective","1.8","47.7","60.0","1.7","2.0","45.0","10.6","72.4","-8.2","1.0","No","None","None"
"POINT (-73.89707385670101 40.702128352658534)","1030552","23432","60 LANE","2018-05-09T00:00:00.000","4","60 LANE","70 AVENUE","0.3","7.2","Missing","0.8","47.8","60.0","3.7","-4.2","48.1","18.4","50.7","-6.2","0.5","Yes","None","None"
"POINT (-73.88991963192778 40.671393586309954)","1117379","12358","VAN SICLEN AVENUE","2018-05-08T00:00:00.000","3","VAN SICLEN AVENUE","BELMONT AVENUE","0.4","11.4","Missing","0.7","54.8","60.0","-0.4","-1.3","39.4","9.0","29.8","-24.4","-1.8","No","None","None"
"POINT (-73.99725510613034 40.64718306588298)","1128476","24099","39 STREET","2018-04-18T00:00:00.000","3","8 AVENUE","39 STREET","0.6","6.6","Missing","4.7","55.0","60.0","3.6","-8.8","53.3","14.4","42.3","1.4","4.0","No","None","None"
"POINT (-73.98692940968071 40.604899263870465)","1139691","19313","STILLWELL AVENUE","2018-05-26T00:00:00.000","3","23 AVENUE","STILLWELL AVENUE","0.8","6.3","Missing","-3.5","47.4","60.0","-1.2","-6.2","45.7","8.0","52.9","-16.4","-1.7","No","None","None"
"POINT (-73.862901603876 40.67415092789358)","1115313","11842","SUTTER AVENUE","2018-05-10T00:00:00.000","3","FORBELL STREET","SUTTER AVENUE","0.6","4.9","Missing","0.1","47.6","60.0","-1.8","-8.6","51.1","17.6","67.5","-17.3","-1.7","Yes","None","None"
"POINT (-73.94127967135447 40.82349860496279)","1093517","13904","WEST 146 STREET","2018-03-29T00:00:00.000","1","WEST 146 STREET","FREDERICK DOUGLASS BOULEVARD","1.1","3.3","Missing","-1.4","40.7","60.0","-1.5","-4.6","37.4","3.1","52.3","-13.6","-2.9","No","None","None"
"POINT (-73.93696346941812 40.658009451071585)","1118788","23557","TROY AVENUE","2018-04-13T00:00:00.000","3","WINTHROP STREET","TROY AVENUE","0.7","9.2","Missing","0.6","41.8","44.8","2.0","-6.7","44.4","9.7","51.1","-11.1","1.1","Yes","None","None"
"POINT (-73.96149196066752 40.620376044461445)","1130288","2414","EAST 14 STREET","2018-04-22T00:00:00.000","3","AVENUE L","EAST 14 STREET","0.7","8.6","Good Condition","1.5","48.0","27.7","1.2","-6.2","47.7","23.7","62.5","-20.3","1.0","No","None","None"
"POINT (-73.93709102306627 40.65150875161065)","1120161","5475","EAST 43 STREET","2018-04-15T00:00:00.000","3","CHURCH AVENUE","EAST 43 STREET","0.4","9.9","Missing","-1.4","51.5","60.0","-1.7","-6.2","49.7","16.1","56.1","-13.4","-0.5","No","None","None"
"POINT (-73.93159975091203 40.77158928454464)","1039605","21583","30 AVENUE","2018-03-16T00:00:00.000","4","30 AVENUE","WELLING COURT","0.3","8.8","Missing","-2.6","42.1","60.0","-3.4","5.5","46.5","4.6","59.5","-16.3","-5.6","No","None","None"
"POINT (-73.96139508289384 40.603092174241006)","1131464","5256","AVENUE S","2018-05-14T00:00:00.000","3","CONEY ISLAND AVENUE","AVENUE S","0.6","5.1","Missing","-1.5","55.0","60.0","-2.4","-5.2","58.4","10.4","57.3","-9.1","0.2","No","None","None"
"POINT (-73.80212820839958 40.69584221224694)","1052930","35961","148 STREET","2018-04-26T00:00:00.000","4","106 AVENUE","148 STREET","0.6","4.5","Missing","0.0","51.8","60.0","2.9","-1.0","49.0","10.3","53.5","-6.2","0.9","No","None","None"
"POINT (-73.99437609532492 40.618782172062886)","1137079","32429","17 AVENUE","2018-05-21T00:00:00.000","3","17 AVENUE","68 STREET","0.2","7.2","Missing","0.0","43.2","60.0","0.0","-4.7","44.5","13.2","52.7","-8.3","-1.2","No","None","None"
"POINT (-73.8221124824014 40.69953445076303)","1042318","35844","129 STREET","2018-04-24T00:00:00.000","4","89 AVENUE","129 STREET","0.4","8.5","Missing","2.0","45.9","60.0","3.8","-5.4","45.5","15.1","58.6","-2.9","2.6","No","None","None"
"POINT (-73.96364074026795 40.676513457333144)","1112913","14605","PROSPECT PLACE","2018-04-17T00:00:00.000","3","PROSPECT PLACE","WASHINGTON AVENUE","0.9","7.3","Missing","3.7","66.1","60.0","0.9","-5.7","53.9","10.8","55.0","-12.5","2.0","No","None","None"
"POINT (-73.82344890529123 40.71307046966826)","1041481","26626","134 STREET","2018-04-15T00:00:00.000","4","HOOVER AVENUE","134 STREET","0.6","1.2","Good Condition","-5.1","61.4","60.0","-6.8","-8.4","60.5","-0.7","60.1","-14.0","-5.2","No","None","None"
"POINT (-73.84997684494641 40.712095885690765)","1034587","22773","71 AVENUE","2018-05-10T00:00:00.000","4","71 AVENUE","MANSE STREET","0.6","4.4","Missing","-1.1","46.8","60.0","2.3","-5.8","33.5","7.4","52.0","-4.5","-1.1","Yes","None","None"
"POINT (-73.94391327739216 40.600272334238696)","1131316","5410","AVENUE U","2018-05-10T00:00:00.000","3","EAST 28 STREET","AVENUE U","0.8","6.8","Missing","0.6","49.6","60.0","-0.9","-4.8","53.9","9.4","59.3","-8.7","1.2","No","None","None"
"POINT (-73.97729596240785 40.74954146983842)","1090487","9834","EAST 39 STREET, LEXINGTON AVENUE","2018-08-25T00:00:00.000","1","EAST 39 STREET","LEXINGTON AVENUE","0.5","4.7","Missing","-0.3","41.4","60.0","-4.2","-13.9","43.9","4.0","57.1","-7.9","-2.0","No","None","None"
"POINT (-73.88542893621543 40.672075411264125)","1116148","12379","BELMONT AVENUE","2018-05-07T00:00:00.000","3","BELMONT AVENUE","WARWICK STREET","1.0","1.0","Good Condition","0.2","48.2","49.5","-1.9","2.9","59.5","16.0","59.9","-13.9","-2.0","No","None","None"
"POINT (-73.83183250367775 40.83857363633192)","1018963","12626","LA SALLE AVENUE","2018-05-26T00:00:00.000","2","BRADFORD AVENUE","LA SALLE AVENUE","0.5","5.4","Missing","2.6","45.0","60.0","1.2","-6.8","46.2","13.9","54.9","-7.0","3.3","No","None","None"
"POINT (-73.99411826233354 40.751514521561084)","1088155","9436","8 AVENUE","2018-05-09T00:00:00.000","1","WEST 33 STREET","8 AVENUE","1.9","1.9","Good Condition","1.8","57.1","60.0","0.3","10.4","50.7","11.5","82.4","-12.5","0.2","No","None","None"
"POINT (-73.94459749968725 40.60480167426812)","1139933","6099","AVENUE S","2018-05-10T00:00:00.000","3","EAST 28 STREET","AVENUE S","0.5","7.0","Missing","0.0","50.8","49.3","0.2","-5.3","57.0","8.4","51.7","-11.6","-0.4","No","None","None"
"POINT (-74.0183482368734 40.63300682399012)","1138237","26161","6 AVENUE","2018-05-23T00:00:00.000","3","6 AVENUE","68 STREET","0.8","13.0","Missing","-1.1","49.6","50.7","-4.8","-8.5","39.2","14.3","53.8","-15.2","-2.2","No","None","None"
"POINT (-73.98983975516683 40.772250268442164)","1091654","16972","WEST END AVENUE","2018-04-10T00:00:00.000","1","WEST 60 STREET","WEST END AVENUE","0.9","7.8","Good Condition","2.5","47.1","60.0","0.8","-2.2","48.2","12.2","56.0","-7.8","1.7","Yes","None","None"
"POINT (-73.81391334588226 40.749933051540985)","1056369","10298","NEGUNDO AVENUE","2018-04-18T00:00:00.000","4","BOWNE STREET","NEGUNDO AVENUE","0.8","3.4","Missing","3.0","46.9","60.0","-0.7","-6.9","43.6","16.9","57.7","-10.9","1.1","No","None","None"
"POINT (-73.81194472864337 40.75013821385381)","1056377","36334","OAK AVENUE","2017-06-04T00:00:00.000","4","OAK AVENUE","BURLING STREET","0.6","5.9","Missing","-2.6","60.6","60.0","-1.9","-6.5","69.2","4.9","58.7","-7.1","-2.0","No","None","None"
"POINT (-74.11809786860566 40.60520588397363)","1156496","30616","LA GUARDIA AVENUE","2018-05-03T00:00:00.000","5","NORWALK AVENUE","LA GUARDIA AVENUE","0.8","3.3","Good Condition","-3.2","50.8","27.7","-9.4","-6.1","47.4","8.8","59.4","-22.5","-5.6","No","None","None"
"POINT (-74.19366350610343 40.53591916846531)","1155950","33976","DRUMGOOLE ROAD WEST","2018-04-30T00:00:00.000","5","DRUMGOOLE ROAD WEST","HUGUENOT AVENUE","0.8","6.2","Good Condition","-2.1","52.0","54.2","-3.1","0.6","52.8","5.7","55.9","-11.7","-0.9","No","None","Utility access"
"POINT (-74.0074687697635 40.61003567868948)","1137247","27805","16 AVENUE","2018-04-22T00:00:00.000","3","86 STREET","16 AVENUE","0.7","2.5","Missing","0.6","57.3","60.0","-2.0","-2.6","46.8","9.9","46.8","-11.6","-0.9","No","None","None"
"POINT (-74.17102971843308 40.54200453357312)","1146748","15532","WHALLEY AVENUE, ARDEN AVENUE","2018-05-02T00:00:00.000","5","WHALLEY AVENUE","ARDEN AVENUE","0.3","6.5","Good Condition","-3.8","47.2","60.0","-3.3","-1.0","51.5","5.7","46.9","-11.7","-3.1","No","None","None"
"POINT (-74.0099074449127 40.61436275077706)","1137437","26260","14 AVENUE","2018-04-21T00:00:00.000","3","14 AVENUE","83 STREET","0.5","4.9","Missing","0.1","56.0","60.0","2.0","-4.9","48.7","11.8","56.3","-10.5","0.8","No","None","None"
"POINT (-74.17104759881487 40.555923605565816)","1156866","33543","PERKIOMEN AVENUE","2018-05-02T00:00:00.000","5","WAINWRIGHT AVENUE","PERKIOMEN AVENUE","1.0","8.0","Good Condition","-0.1","52.2","27.6","1.0","-2.6","49.9","10.4","48.8","-13.7","-1.1","No","None","None"
"POINT (-73.81974548212389 40.819818447956045)","1017858","4253","SAMPSON AVENUE","2018-05-28T00:00:00.000","2","SAMPSON AVENUE","CALHOUN AVENUE","0.8","6.7","Missing","-9.9","42.9","56.3","-8.6","-3.9","39.0","4.1","63.7","-22.1","-11.2","No","None","None"
"POINT (-73.90738546146177 40.80908172535651)","1022650","803","EAST 144 STREET","2018-03-26T00:00:00.000","2","SOUTHERN BOULEVARD","EAST 144 STREET","1.0","9.8","Missing","-3.8","38.0","60.0","1.8","-5.6","53.0","6.8","56.9","-12.4","-1.7","No","None","Utility access"
"POINT (-73.94981340860771 40.59698133351168)","1131777","4722","GRAVESEND NECK ROAD","2018-05-10T00:00:00.000","3","EAST 21 STREET","GRAVESEND NECK ROAD","0.4","7.4","Missing","-0.5","63.0","47.4","0.2","-5.1","62.3","12.6","63.7","-13.3","-0.4","No","None","None"
"POINT (-73.85134799847357 40.89929273393724)","1012445","3254","EAST 239 STREET","2018-04-14T00:00:00.000","2","EAST 239 STREET","BYRON AVENUE","0.6","10.5","Missing","-1.3","49.2","60.0","1.6","-5.1","47.2","20.3","49.7","-20.6","-0.9","No","None","None"
"POINT (-74.12083717895092 40.604451789923026)","1156519","30368","MANOR ROAD","2018-05-03T00:00:00.000","5","HOLDEN BOULEVARD","MANOR ROAD","0.4","19.4","Missing","2.4","61.3","38.8","-2.7","-3.0","44.0","34.7","35.7","-31.4","6.4","Yes","None","Wooden Utility pole,Wooden Traffic pole,Wooden Light pole"
"POINT (-73.8150456985902 40.71102599632555)","1041639","30044","BURDEN CRESCENT","2018-04-15T00:00:00.000","4","BURDEN CRESCENT","84 DRIVE","0.7","7.1","Missing","3.2","52.3","59.9","1.8","1.3","54.1","13.8","52.9","-5.3","2.2","No","None","None"
"POINT (-74.19847768301344 40.53977346865753)","1157697","33332","RENSSELAER AVENUE","2018-05-03T00:00:00.000","5","RENSSELAER AVENUE","ELLSWORTH AVENUE","0.5","8.4","Good Condition","-3.5","49.4","27.2","-1.5","-2.5","59.4","7.7","53.9","-18.2","-3.3","No","None","None"
"POINT (-73.84180551953673 40.8642409936851)","1014800","13467","HAWTHORNE STREET","2018-05-18T00:00:00.000","2","WOODHULL AVENUE","HAWTHORNE STREET","1.1","2.2","Good Condition","-0.9","47.2","60.0","-0.1","2.0","46.8","7.5","58.3","-12.1","0.3","No","None","None"
"POINT (-73.92695867611953 40.807417923397885)","1022600","1194","ALEXANDER AVENUE","2018-08-07T00:00:00.000","2","EAST 134 STREET","ALEXANDER AVENUE","0.4","8.2","Good Condition","-1.1","48.2","60.0","-2.3","-3.3","49.2","8.0","52.8","-12.5","-0.6","No","None","None"
"POINT (-73.8750000983158 40.673570420283355)","1115908","18487","FOUNTAIN AVENUE","2018-05-08T00:00:00.000","3","BELMONT AVENUE","FOUNTAIN AVENUE","0.3","18.9","Missing","1.9","58.1","60.0","-1.9","-6.9","53.0","39.4","59.8","-31.9","1.4","Yes","None","None"
"POINT (-73.82063724108772 40.81764449754919)","1017810","4324","SWINTON AVENUE","2018-05-29T00:00:00.000","2","SWINTON AVENUE","MILES AVENUE","0.4","5.3","Good Condition","-1.7","50.3","60.0","0.6","-1.3","49.6","4.7","58.1","-10.4","-1.1","No","None","None"
"POINT (-73.79774228181489 40.7862920801456)","1058310","22979","165 STREET","2018-04-26T00:00:00.000","4","CROSS ISLAND PARKWAY","165 STREET","1.5","6.2","Missing","-3.4","52.4","60.0","-0.1","0.7","57.0","8.5","49.4","-8.9","1.7","Yes","None","None"
"POINT (-73.80958877336637 40.76122082976944)","1059309","16010","156 STREET","2018-04-21T00:00:00.000","4","SANFORD AVENUE","156 STREET","0.8","7.0","Missing","3.8","44.7","60.0","2.9","-6.7","50.4","14.4","60.0","-3.0","3.4","No","None","None"
"POINT (-74.17072202620285 40.55459795766216)","1156872","34439","LEVERETT AVENUE","2018-05-02T00:00:00.000","5","LEVERETT AVENUE","WAINWRIGHT AVENUE","1.1","8.5","Good Condition","-0.8","53.8","29.6","-0.3","-2.7","49.6","11.5","52.9","-14.3","-0.5","No","None","None"
