"dbn","location_name","location_category","administrative_district","ell_removals","ell_principal","ell_superintendent","ell_expulsions","non_ell_removals","non_ell_principal","non_ell_superintendent","non_ell_expulsions","sy1617_total_removals_suspensions"
"06M540","A. Philip Randolph Campus High School","High school","6","R","R","9","R","R","R","16","R","51"
"06M552","Gregorio Luperon High School for Science and Mathe","High school","6","R","R","R","R","R","R","R","R","7"
"07X001","P.S. 001 Courtlandt School","Elementary","7","R","R","R","R","R","R","R","R","R"
"07X005","P.S. 5 Port Morris","K-8","7","R","R","R","R","R","R","R","R","19"
"07X018","P.S. 018 John Peter Zenger","Elementary","7","R","R","R","R","R","R","R","R","R"
"07X025","P.S. 025 Bilingual School","Elementary","7","R","R","R","R","R","R","R","R","0"
"07X029","P.S./M.S. 029 Melrose School","K-8","7","R","R","R","R","R","R","R","R","80"
"07X030","P.S. 030 Wilton","Elementary","7","R","R","R","R","R","R","R","R","16"
"07X031","P.S./M.S. 031 The William Lloyd Garrison","K-8","7","R","R","R","R","R","R","R","R","29"
"07X043","P.S. 043 Jonas Bronck","Elementary","7","R","R","R","R","R","R","R","R","9"
"07X049","P.S. 049 Willis Avenue","Elementary","7","R","R","R","R","R","R","R","R","27"
"07X065","P.S. 065 Mother Hale Academy","Elementary","7","R","R","R","R","R","R","R","R","R"
"07X151","J.H.S. 151 Lou Gehrig","Junior High-Intermediate-Middle","7","R","R","R","R","R","R","R","R","9"
"07X154","P.S. 154 Jonathan D. Hyatt","Elementary","7","R","R","R","R","R","R","R","R","0"
"07X157","P.S. 157 Grove Hill","Elementary","7","R","R","R","R","R","R","R","R","R"
"07X161","P.S. 161 Juan Ponce De Leon School","Elementary","7","R","R","R","R","R","R","R","R","34"
"07X162","J.H.S. 162 Lola Rodriguez De Tio","Junior High-Intermediate-Middle","7","R","R","R","R","R","R","R","R","18"
"07X179","P.S. 179","Elementary","7","R","R","R","R","R","R","R","R","R"
"07X221","South Bronx Preparatory: A College Board School","Secondary School","7","R","R","R","R","R","R","R","R","28"
"07X223","M.S. 223 The Laboratory School of Finance and Tech","Secondary School","7","R","R","R","R","R","R","R","R","7"
"07X224","P.S./I.S. 224","Junior High-Intermediate-Middle","7","R","R","R","R","R","R","R","R","12"
"07X259","H.E.R.O. High (Health, Education, and Research Occ","High school","7","R","10","R","R","R","52","R","R","87"
"07X277","P.S. 277","Elementary","7","R","R","R","R","R","R","R","R","14"
"07X296","South Bronx Academy for Applied Media","Junior High-Intermediate-Middle","7","R","R","R","R","R","R","R","R","36"
"07X298","Academy of Public Relations","Junior High-Intermediate-Middle","7","7","13","R","R","35","38","R","R","102"
"07X334","International Community High School","High school","7","R","R","R","R","R","R","R","R","27"
"07X343","Academy of Applied Mathematics and Technology","Junior High-Intermediate-Middle","7","R","R","R","R","R","R","R","R","52"
"07X359","Concourse Village Elementary School","Elementary","7","R","R","R","R","R","R","R","R","0"
"07X369","Young Leaders Elementary School","Elementary","7","R","R","R","R","R","R","R","R","25"
"07X379","Jill Chaifetz Transfer High School","High school","7","R","R","R","R","R","R","R","R","6"
"07X381","Bronx Haven High School","High school","7","R","R","R","R","R","R","R","R","11"
"07X427","Community School for Social Justice","High school","7","R","R","R","R","R","R","R","R","58"
"07X456","Alfred E. Smith Campus YABC","High school","7","R","R","R","R","R","R","R","R","0"
"07X473","Mott Haven Village Preparatory High School","High school","7","R","14","R","R","R","97","R","R","139"
"07X495","University Heights Secondary School","High school","7","R","R","R","R","R","R","R","R","20"
"07X500","Hostos-Lincoln Academy of Science","Secondary School","7","R","R","R","R","R","R","R","R","12"
"07X522","Bronx Design and Construction Academy","High school","7","R","15","R","R","R","95","R","R","136"
"07X527","Bronx Leadership Academy II High School","High school","7","R","R","R","R","R","R","R","R","55"
"07X533","Learning through Play Pre-K Center","District Pre-K Center","7","R","R","R","R","R","R","R","R","0"
"07X547","New Explorers High School","High school","7","R","R","R","R","R","R","R","R","78"
"07X548","Careers in Sports High School","High school","7","R","R","R","R","R","R","R","R","35"
"07X551","The Urban Assembly Bronx Academy of Letters","Secondary School","7","R","21","8","R","R","116","28","R","237"
"07X557","Mott Haven Community High School","High school","7","R","R","R","R","R","R","R","R","R"
"07X600","Alfred E. Smith Career and Technical Education Hig","High school","7","R","8","R","R","R","44","R","R","78"
"07X670","Health Opportunities High School","High school","7","R","R","R","R","R","R","R","R","37"
"08X014","P.S. X014 Senator John Calandra","Elementary","8","R","R","R","R","R","R","R","R","R"
"08X036","P.S. 036 Unionport","Elementary","8","R","R","R","R","R","R","R","R","R"
"08X048","P.S. 048 Joseph R. Drake","Elementary","8","R","R","R","R","R","R","R","R","16"
"08X062","P.S. 062 Inocensio Casanova","Elementary","8","R","R","R","R","R","R","R","R","R"
"08X069","P.S. 069 Journey Prep School","Elementary","8","R","R","R","R","R","R","R","R","0"
"08X071","P.S. 071 Rose E. Scala","K-8","8","R","R","R","R","R","R","R","R","39"
"08X072","P.S. 072 Dr. William Dorney","Elementary","8","R","R","R","R","R","R","R","R","14"
"08X075","P.S. 75 School of Research and Discovery","Elementary","8","R","R","R","R","R","R","R","R","17"
"08X093","P.S. 093 Albert G. Oliver","Elementary","8","R","R","R","R","R","R","R","R","0"
"08X100","P.S. 100 Isaac Clason","Elementary","8","R","R","R","R","R","R","R","R","R"
"08X101","M.S. X101 Edward R. Byrne","Junior High-Intermediate-Middle","8","R","R","R","R","R","R","R","R","R"
"08X107","P.S. 107","Elementary","8","R","R","R","R","R","R","R","R","0"
"08X119","The Dr. Emmett W. Bassett School","Elementary","8","R","R","R","R","R","R","R","R","R"
"08X123","J.H.S. 123 James M. Kieran","Junior High-Intermediate-Middle","8","R","R","R","R","R","R","R","R","18"
"08X125","J.H.S. 125 Henry Hudson","Junior High-Intermediate-Middle","8","R","R","6","R","R","R","21","R","48"
"08X130","P.S. 130 Abram Stevens Hewitt","Elementary","8","R","R","R","R","R","R","R","R","12"
"08X131","J.H.S. 131 Albert Einstein","Junior High-Intermediate-Middle","8","R","R","R","R","R","R","R","R","35"
"08X138","P.S. 138 Samuel Randall","Elementary","8","R","R","R","R","R","R","R","R","0"
"08X140","P.S. X140 The Eagle School","Elementary","8","R","R","R","R","R","R","R","R","R"
"08X146","P.S. 146 Edward Collins","Elementary","8","R","R","R","R","R","R","R","R","R"
"08X152","P.S. 152 Evergreen","Elementary","8","R","R","R","R","R","R","R","R","0"
"08X182","P.S. 182","Elementary","8","R","R","R","R","R","R","R","R","8"
"08X269","Bronx Studio School for Writers and Artists","Secondary School","8","R","16","R","R","R","37","R","R","78"
"08X282","Women's Academy of Excellence","High school","8","R","R","R","R","R","R","R","R","79"
"08X293","Renaissance High School for Musical Theater & Tech","High school","8","R","6","R","R","R","43","R","R","65"
"08X301","M.S. 301 Paul L. Dunbar","Junior High-Intermediate-Middle","8","R","R","R","R","R","R","R","R","12"
"08X302","M.S. 302 Luisa Dessus Cruz","Junior High-Intermediate-Middle","8","R","R","R","R","R","R","R","R","36"
"08X304","P.S. 304 Early Childhood School","Elementary","8","R","R","R","R","R","R","R","R","0"
"08X305","Pablo Neruda Academy","High school","8","R","20","R","R","R","125","R","R","154"
"08X312","Millennium Art Academy","High school","8","R","19","R","R","R","89","R","R","117"
"08X320","Pelham Lab High School","High school","8","R","R","R","R","R","R","R","R","39"
"08X332","Holcombe L. Rucker School of Community Research","High school","8","R","R","R","R","R","R","R","R","18"
"08X333","P.S. 333 - The Museum School","Elementary","8","R","R","R","R","R","R","R","R","R"
"08X335","The Academy of the Arts","Elementary","8","R","R","R","R","R","R","R","R","R"
"08X337","The School for Inquiry and Social Justice","Junior High-Intermediate-Middle","8","R","R","R","R","R","R","R","R","64"
"08X348","Schuylerville Preparatory High School","High school","8","R","R","R","R","R","R","R","R","38"
"08X349","Bronx River High School","High school","8","R","13","R","R","R","52","R","R","74"
"08X367","Archimedes Academy for Math, Science and Technolog","Secondary School","8","R","R","R","R","R","R","R","R","104"
"08X371","Urban Institute of Mathematics","Junior High-Intermediate-Middle","8","R","R","R","R","R","R","R","R","21"
"08X375","The Bronx Mathematics Preparatory School","Junior High-Intermediate-Middle","8","R","R","R","R","R","R","R","R","51"
"08X376","Antonia Pantoja Preparatory Academy: A College Boa","Secondary School","8","R","15","R","R","R","53","R","R","72"
"08X377","Bronx Community High School","High school","8","R","R","R","R","R","R","R","R","37"
"08X392","Bronx Delta School","Elementary","8","R","R","R","R","R","R","R","R","0"
"08X405","Herbert H. Lehman High School","High school","8","R","9","R","R","R","48","R","R","69"
"08X408","Herbert H. Lehman Yabc","High school","8","R","R","R","R","R","R","R","R","0"
"08X424","The Hunts Point School","Junior High-Intermediate-Middle","8","14","R","R","R","38","R","R","R","87"
"08X432","Bronx Bridges High School","High school","8","R","R","R","R","R","R","R","R","29"
"08X448","Soundview Academy for Culture and Scholarship","Junior High-Intermediate-Middle","8","R","R","R","R","R","R","R","R","79"
"08X452","Bronx Guild","High school","8","R","R","R","R","R","R","R","R","22"
"08X467","Mott Hall Community School","Junior High-Intermediate-Middle","8","R","R","R","R","R","R","R","R","71"
"08X507","Stevenson Yabc","High school","8","R","R","R","R","R","R","R","R","0"
"08X519","Felisa Rincon de Gautier Institute for Law and Pub","High school","8","R","R","R","R","R","R","R","R","24"
"08X530","Banana Kelly High School","High school","8","R","R","R","R","R","R","R","R","13"
"08X537","Bronx Arena High School","High school","8","R","R","R","R","R","R","R","R","23"
"08X558","Westchester Square Academy","High school","8","R","14","R","R","R","54","R","R","76"
"08X559","School for Tourism and Hospitality","High school","8","R","R","R","R","R","R","R","R","87"
"08X561","Bronx Compass High School","High school","8","R","R","R","R","R","R","R","R","73"
"08X562","Blueprint Middle School","Junior High-Intermediate-Middle","8","R","R","R","R","R","R","R","R","7"
"09X004","P.S./M.S. 004 Crotona Park West","K-8","9","R","R","R","R","R","R","R","R","10"
"09X011","P.S. 011 Highbridge","Elementary","9","R","R","R","R","R","R","R","R","0"
"09X022","J.H.S. 022 Jordan L. Mott","Junior High-Intermediate-Middle","9","R","R","R","R","R","R","R","R","9"
"09X028","P.S. 028 Mount Hope","Elementary","9","R","R","R","R","R","R","R","R","19"
"09X035","P.S. 035 Franz Siegel","Elementary","9","R","R","R","R","R","R","R","R","R"
"09X042","P.S. 042 Claremont","Elementary","9","R","R","R","R","R","R","R","R","R"
"09X053","P.S. 053 Basheer Quisim","Elementary","9","R","R","R","R","R","R","R","R","R"
"09X055","P.S. 055 Benjamin Franklin","Elementary","9","R","R","R","R","R","R","R","R","0"
"09X058","P.S. 058","Elementary","9","R","R","R","R","R","R","R","R","R"
"09X063","P.S. 063 Author's Academy","Elementary","9","R","R","R","R","R","R","R","R","R"
"09X070","P.S. 070 Max Schoenfeld","Elementary","9","18","R","R","R","54","R","R","R","86"
"09X073","P.S. 073 Bronx","Elementary","9","R","R","R","R","R","R","R","R","7"
"09X088","P.S. X088 - S. Silverstein Little Sparrow School","Early Childhood","9","R","R","R","R","R","R","R","R","0"
"09X109","P.S. 109 Sedgwick","Elementary","9","R","R","R","R","R","R","R","R","11"
"09X110","P.S. 110 Theodore Schoenfeld","Elementary","9","R","R","R","R","R","R","R","R","0"
"09X114","P.S. X114 - Luis Llorens Torres Schools","Elementary","9","R","R","R","R","R","R","R","R","R"
"09X117","I.S. 117 Joseph H. Wade","Junior High-Intermediate-Middle","9","R","R","R","R","R","R","R","R","55"
"09X126","P.S. 126 Dr Marjorie H Dunbar","Elementary","9","R","R","R","R","R","R","R","R","21"
"09X128","Mott Hall III","Junior High-Intermediate-Middle","9","R","R","R","R","R","R","R","R","R"
"09X132","P.S. 132 Garret A. Morgan","Elementary","9","R","R","R","R","R","R","R","R","18"
"09X145","J.H.S. 145 Arturo Toscanini","Junior High-Intermediate-Middle","9","R","R","R","R","R","R","R","R","R"
"09X163","P.S. 163 Arthur A. Schomburg","Elementary","9","R","R","R","R","R","R","R","R","36"
"09X170","P.S. 170","Early Childhood","9","R","R","R","R","R","R","R","R","0"
"09X199","P.S. 199X - The Shakespeare School","Elementary","9","R","R","R","R","R","R","R","R","25"
"09X204","P.S. 204 Morris Heights","Elementary","9","R","R","R","R","R","R","R","R","R"
"09X215","Kappa","Junior High-Intermediate-Middle","9","R","R","R","R","R","R","R","R","34"
"09X218","P.S./I.S. 218 Rafael Hernandez Dual Language Magne","K-8","9","R","R","R","R","R","R","R","R","17"
"09X219","I.S. 219 New Venture School","Junior High-Intermediate-Middle","9","R","R","R","R","R","R","R","R","19"
"09X227","Bronx Collegiate Academy","High school","9","R","R","R","R","R","R","R","R","R"
"09X229","I.S. 229 Roland Patterson","Junior High-Intermediate-Middle","9","R","R","R","R","R","R","R","R","20"
"09X231","Eagle Academy for Young Men","Secondary School","9","R","R","R","R","R","R","R","R","22"
"09X232","I.S. 232","Junior High-Intermediate-Middle","9","R","R","R","R","R","R","R","R","51"
"09X236","P.S. 236 Langston Hughes","Elementary","9","R","R","R","R","R","R","R","R","0"
"09X241","Urban Assembly School for Applied Math and Science","Secondary School","9","R","R","R","R","R","R","R","R","37"
"09X250","Eximius College Preparatory Academy: A College Boa","High school","9","R","R","R","R","R","R","R","R","23"
"09X252","Mott Hall Bronx High School","High school","9","6","11","R","R","20","66","R","R","117"
"09X260","Bronx Center for Science and Mathematics","High school","9","R","R","R","R","R","R","R","R","6"
"09X263","Validus Preparatory Academy","High school","9","R","R","R","R","R","R","R","R","75"
"09X274","The New American Academy at Roberto Clemente State","Elementary","9","R","R","R","R","R","R","R","R","16"
"09X276","Leadership Institute","High school","9","R","R","R","R","R","R","R","R","23"
"09X294","The Walton Avenue School","Elementary","9","R","R","R","R","R","R","R","R","R"
"09X297","Morris Academy for Collaborative Studies","High school","9","R","R","R","R","R","R","R","R","38"
"09X303","I.S. X303 Leadership & Community Service","Junior High-Intermediate-Middle","9","R","R","R","R","R","R","R","R","R"
"09X311","Lucero Elementary School","Elementary","9","R","R","R","R","R","R","R","R","0"
"09X313","I.S. 313 School of Leadership Development","Junior High-Intermediate-Middle","9","R","R","R","R","R","R","R","R","8"
"09X323","Bronx Writing Academy","Junior High-Intermediate-Middle","9","R","6","R","R","R","10","R","R","39"
"09X324","Bronx Early College Academy for Teaching & Learnin","Secondary School","9","12","R","R","R","46","R","R","R","112"
"09X325","Urban Science Academy","Junior High-Intermediate-Middle","9","R","R","R","R","R","R","R","R","6"
"09X327","Comprehensive Model School Project M.S. 327","Secondary School","9","R","12","R","R","R","77","R","R","109"
"09X328","New Millennium Business Academy Middle School","Junior High-Intermediate-Middle","9","R","R","R","R","R","R","R","R","12"
"09X329","DreamYard Preparatory School","High school","9","R","R","R","R","R","R","R","R","10"
"09X339","I.S. 339","Junior High-Intermediate-Middle","9","R","R","R","R","R","R","R","R","22"
"09X350","New Directions Secondary School","Secondary School","9","R","15","R","R","R","24","R","R","60"
"09X361","The Highbridge Green School","Junior High-Intermediate-Middle","9","R","R","R","R","R","R","R","R","10"
"09X365","Academy for Language and Technology","High school","9","R","R","R","R","R","R","R","R","32"
"09X403","Bronx International High School","High school","9","R","R","R","R","R","R","R","R","40"
"09X404","School for Excellence","High school","9","R","R","R","R","R","R","R","R","56"
"09X412","Bronx High School of Business","High school","9","R","7","R","R","R","31","R","R","49"
"09X413","Bronx High School for Medical Science","Secondary School","9","R","R","R","R","R","R","R","R","28"
"09X443","The Family School","Elementary","9","R","R","R","R","R","R","R","R","12"
"09X449","Grant Avenue Elementary School","Elementary","9","R","R","R","R","R","R","R","R","R"
"09X454","Science and Technology Academy: A Mott Hall School","Junior High-Intermediate-Middle","9","R","R","R","R","R","R","R","R","0"
"09X457","Sheridan Academy for Young Leaders","Elementary","9","R","R","R","R","R","R","R","R","9"
"09X505","Bronx School for Law, Government and Justice","Secondary School","9","R","11","R","R","R","51","R","R","75"
"09X517","Frederick Douglass Academy III Secondary School","High school","9","R","R","R","R","R","R","R","R","23"
"09X525","Bronx Leadership Academy High School","High school","9","R","R","R","R","R","R","R","R","6"
"09X543","High School for Violin and Dance","High school","9","R","R","R","R","R","R","R","R","R"
"09X555","Mount Eden Children's Academy","Elementary","9","R","R","R","R","R","R","R","R","14"
"09X564","Claremont International HS","High school","9","R","10","R","R","R","6","R","R","20"
"09X568","Young Women's Leadership School of the Bronx","Secondary School","9","R","R","R","R","R","R","R","R","32"
"09X582","Garden of Learning and Discovery Pre-K Center","District Pre-K Center","9","R","R","R","R","R","R","R","R","0"
"10X003","P.S. 3 Raul Julia Micro Society","K-8","10","R","R","R","R","R","R","R","R","6"
"10X007","Milton Fein School","Elementary","10","R","R","R","R","R","R","R","R","0"
"10X008","P.S. 008 Isaac Varian","Elementary","10","R","R","R","R","R","R","R","R","21"
"10X009","P.S. 9 Ryer Avenue Elementary School","Elementary","10","R","6","R","R","R","6","R","R","20"
"10X015","P.S. X015 Institute for Environmental Learning","K-8","10","R","R","R","R","R","R","R","R","0"
"10X020","P.S./M.S. 20 P.O.George J. Werdann, III","K-8","10","R","R","R","R","R","R","R","R","20"
"10X023","P.S. 023 The New Children's School","Elementary","10","R","R","R","R","R","R","R","R","0"
"10X024","P.S. 024 Spuyten Duyvil","Elementary","10","R","R","R","R","R","R","R","R","R"
"10X032","P.S. 032 Belmont","Elementary","10","R","R","R","R","R","R","R","R","R"
"10X033","P.S. 033 Timothy Dwight","Elementary","10","R","R","R","R","R","R","R","R","R"
"10X037","P.S. X037 - Multiple Intelligence School","K-8","10","R","R","R","R","R","R","R","R","23"
"10X045","Thomas C. Giordano Middle School 45","Junior High-Intermediate-Middle","10","R","6","R","R","R","42","R","R","133"
"10X046","P.S. 046 Edgar Allan Poe","Elementary","10","7","R","R","R","31","R","R","R","48"
"10X051","P.S. 051 Bronx New School","Elementary","10","R","R","R","R","R","R","R","R","R"
"10X054","P.S./I.S. 54","Elementary","10","R","R","R","R","R","R","R","R","R"
"10X056","P.S. 056 Norwood Heights","Elementary","10","R","R","R","R","R","R","R","R","R"
"10X059","P.S. 059 The Community School of Technology","Elementary","10","R","R","R","R","R","R","R","R","R"
"10X077","Bedford Park Elementary School","Elementary","10","R","R","R","R","R","R","R","R","R"
"10X080","J.H.S. 080 The Mosholu Parkway","Junior High-Intermediate-Middle","10","R","R","R","R","R","R","R","R","15"
"10X081","P.S. 081 Robert J. Christen","Elementary","10","R","R","R","R","R","R","R","R","0"
"10X085","P.S. 085 Great Expectations","Elementary","10","R","R","R","R","R","R","R","R","32"
"10X086","P.S. 086 Kingsbridge Heights","Elementary","10","R","R","R","R","R","R","R","R","R"
"10X091","P.S. 091 Bronx","Elementary","10","R","R","R","R","R","R","R","R","48"
"10X094","P.S. 094 Kings College School","Elementary","10","11","R","R","R","79","R","R","R","94"
"10X095","P.S. 095 Sheila Mencher","K-8","10","R","R","R","R","R","R","R","R","131"
"10X118","J.H.S. 118 William W. Niles","Junior High-Intermediate-Middle","10","R","12","7","R","R","116","41","R","306"
"10X141","Riverdale / Kingsbridge Academy (Middle School / H","Secondary School","10","R","6","R","R","R","64","R","R","83"
"10X159","P.S. 159 Luis Munoz Marin Biling","Elementary","10","R","R","R","R","R","R","R","R","0"
"10X205","P.S. 205 Fiorello Laguardia","Elementary","10","R","R","R","R","R","R","R","R","8"
"10X206","I.S. 206 Ann Mersereau","Junior High-Intermediate-Middle","10","R","R","R","R","R","R","R","R","11"
"10X207","P.S. 207","Early Childhood","10","R","R","R","R","R","R","R","R","0"
"10X209","P.S. 209","Early Childhood","10","R","R","R","R","R","R","R","R","0"
"10X213","Bronx Engineering and Technology Academy","High school","10","R","R","R","R","R","R","R","R","11"
"10X225","Theatre Arts Production Company School","Secondary School","10","R","R","R","R","R","R","R","R","126"
"10X226","P.S. 226","Elementary","10","R","R","R","R","R","R","R","R","0"
"10X228","Jonas Bronck Academy","Junior High-Intermediate-Middle","10","R","R","R","R","R","R","R","R","12"
"10X237","The Marie Curie School for Medicine, Nursing, and","High school","10","R","R","R","R","R","R","R","R","51"
"10X243","West Bronx Academy for the Future","Secondary School","10","R","R","R","R","R","R","R","R","39"
"10X244","The New School for Leadership and Journalism","Junior High-Intermediate-Middle","10","R","R","R","R","R","R","R","R","54"
"10X246","P.S. 246 Poe Center","Elementary","10","R","R","R","R","R","R","R","R","0"
"10X254","I.S. 254","Junior High-Intermediate-Middle","10","R","R","6","R","R","R","19","R","55"
"10X264","Bronx Academy for Software Engineering (BASE)","High school","10","R","R","R","R","R","R","R","R","75"
"10X268","Kingsbridge International High School","High school","10","R","R","R","R","R","R","R","R","22"
"10X279","P.S. 279 Captain Manuel Rivera, Jr.","K-8","10","13","R","R","R","55","R","R","R","77"
"10X280","P.S./M.S. 280 Mosholu Parkway","K-8","10","R","R","R","R","R","R","R","R","19"
"10X284","Bronx School of Law and Finance","High school","10","R","R","R","R","R","R","R","R","18"
"10X291","P.S. 291","Elementary","10","R","R","R","R","R","R","R","R","R"
"10X306","P.S. 306","Elementary","10","R","R","R","R","R","R","R","R","R"
"10X307","Luisa Pineiro Fuentes School of Science and Discov","Elementary","10","R","R","R","R","R","R","R","R","14"
"10X308","Bronx Dance Academy School","Junior High-Intermediate-Middle","10","R","R","R","R","R","R","R","R","45"
"10X310","P.S. 310 Marble Hill","Elementary","10","R","R","R","R","R","R","R","R","12"
"10X315","P.S. 315 Lab School","K-8","10","R","R","R","R","R","R","R","R","12"
"10X319","Providing Urban Learners Success In Education High","High school","10","R","R","R","R","R","R","R","R","R"
"10X331","The Bronx School of Young Leaders","Junior High-Intermediate-Middle","10","R","6","R","R","R","22","R","R","39"
"10X340","P.S. 340","Elementary","10","12","R","R","R","34","R","R","R","72"
"10X342","International School for Liberal Arts","Secondary School","10","R","27","R","R","R","7","R","R","40"
"10X344","Ampark Neighborhood","Elementary","10","R","R","R","R","R","R","R","R","R"
"10X351","Bronx Collaborative High School","High school","10","R","R","R","R","R","R","R","R","28"
"10X353","World View High School","High school","10","R","R","R","R","R","R","R","R","30"
"10X360","P.S. 360","Elementary","10","R","R","R","R","R","R","R","R","12"
"10X363","Academy For Personal Leadership And Excellence","Junior High-Intermediate-Middle","10","R","R","6","R","R","R","15","R","32"
"22K109","P.S. 109","K-8","22","R","R","R","R","R","R","R","R","131"
"10X368","In-Tech Academy (M.S. / High School 368)","Secondary School","10","R","8","R","R","R","28","R","R","63"
"10X374","Knowledge and Power Preparatory Academy Internatio","High school","10","R","R","R","R","R","R","R","R","19"
"10X382","Elementary School for Math, Science, and Technolog","Elementary","10","R","R","R","R","R","R","R","R","10"
"10X386","School for Environmental Citizenship","Elementary","10","R","R","R","R","R","R","R","R","12"
"10X390","M.S. 390","Junior High-Intermediate-Middle","10","R","10","R","R","R","15","R","R","55"
"10X391","The Angelo Patri Middle School","Junior High-Intermediate-Middle","10","R","R","R","R","R","R","R","R","35"
"10X396","P.S. 396","Elementary","10","R","R","R","R","R","R","R","R","0"
"10X397","English Language Learners and International Suppor","High school","10","R","R","R","R","R","R","R","R","26"
"10X433","High School for Teaching and the Professions","High school","10","R","7","R","R","R","9","R","R","31"
"10X434","Belmont Preparatory High School","High school","10","R","R","R","R","R","R","R","R","14"
"10X437","Fordham High School for the Arts","High school","10","R","R","R","R","R","R","R","R","R"
"10X438","Fordham Leadership Academy for Business and Techno","High school","10","R","11","R","R","R","38","R","R","77"
"10X439","Bronx High School for Law and Community Service","High school","10","R","R","R","R","R","R","R","R","15"
"10X440","DeWitt Clinton High School","High school","10","R","11","R","R","R","98","R","R","137"
"10X442","Celia Cruz Bronx High School of Music, The","High school","10","R","R","R","R","R","R","R","R","11"
"10X445","Bronx High School of Science","High school","10","R","R","R","R","R","R","R","R","20"
"10X447","Creston Academy","Junior High-Intermediate-Middle","10","R","R","R","R","R","R","R","R","8"
"10X459","East Fordham Academy for the Arts","Junior High-Intermediate-Middle","10","R","R","R","R","R","R","R","R","50"
"10X477","Marble Hill High School for International Studies","High school","10","R","R","R","R","R","R","R","R","25"
"10X503","Walton Yabc","High school","10","R","R","R","R","R","R","R","R","R"
"10X504","Kennedy Yabc","High school","10","R","R","R","R","R","R","R","R","0"
"10X524","Crotona International High School","High school","10","R","R","R","R","R","R","R","R","34"
"10X535","Rose Hill Pre-K Center","District Pre-K Center","10","R","R","R","R","R","R","R","R","0"
"10X546","Bronx Theatre High School","High school","10","R","R","R","R","R","R","R","R","54"
"10X549","Discovery High School","High school","10","R","R","R","R","R","R","R","R","9"
"10X565","High School for Energy and Technology","High school","10","R","R","R","R","R","R","R","R","34"
"10X668","Dewitt Clinton Campus YABC","High school","10","R","R","R","R","R","R","R","R","R"
"10X696","High School of American Studies at Lehman College","High school","10","R","R","R","R","R","R","R","R","R"
"10X903","T. Roosevelt Evening Hs M/W","Ungraded","10","R","R","R","R","R","R","R","R","0"
"10X904","T. Roosevelt Evening Hs T/R","Ungraded","10","R","R","R","R","R","R","R","R","0"
"11X016","P.S. 016 Wakefield","Elementary","11","R","R","R","R","R","R","R","R","35"
"11X019","P.S. 019 Judith K. Weiss","K-8","11","R","R","R","R","R","R","R","R","11"
"11X021","P.S. 021 Philip H. Sheridan","Elementary","11","R","R","R","R","R","R","R","R","18"
"11X041","P.S. 041 Gun Hill Road","Elementary","11","R","R","R","R","R","R","R","R","10"
"11X068","P.S. 068 Bronx","Elementary","11","R","R","R","R","R","R","R","R","23"
"11X076","P.S. 076 The Bennington School","Elementary","11","R","R","R","R","R","R","R","R","81"
"11X078","P.S. 078 Anne Hutchinson","Elementary","11","R","R","R","R","R","R","R","R","18"
"11X083","P.S. 083 Donald Hertz","K-8","11","R","R","R","R","R","R","R","R","45"
"11X087","P.S. 087 Bronx","Elementary","11","R","R","R","R","R","R","R","R","8"
"11X089","P.S. 089 Bronx","K-8","11","R","R","R","R","R","R","R","R","28"
"11X096","P.S. 096 Richard Rodgers","Elementary","11","R","R","R","R","R","R","R","R","0"
"11X097","P.S. 097 Bronx","Elementary","11","R","R","R","R","R","R","R","R","R"
"11X103","P.S. 103 Hector Fontanez","Elementary","11","R","R","R","R","R","R","R","R","69"
"11X105","P.S. 105 Sen Abraham Bernstein","Elementary","11","R","R","R","R","R","R","R","R","R"
"11X106","P.S. 106 Parkchester","Elementary","11","R","R","R","R","R","R","R","R","8"
"11X108","P.S. 108 Philip J. Abinanti","Elementary","11","R","R","R","R","R","R","R","R","16"
"11X111","P.S. 111 Seton Falls","Elementary","11","R","R","R","R","R","R","R","R","38"
"11X112","P.S. 112 Bronxwood","Elementary","11","R","R","R","R","R","R","R","R","R"
"11X121","P.S. 121 Throop","Elementary","11","R","R","R","R","R","R","R","R","0"
"11X127","J.H.S. 127 The Castle Hill","Junior High-Intermediate-Middle","11","9","7","R","R","77","25","R","R","138"
"11X144","J.H.S. 144 Michelangelo","Junior High-Intermediate-Middle","11","R","R","R","R","R","R","R","R","23"
"11X153","P.S. 153 Helen Keller","Elementary","11","R","R","R","R","R","R","R","R","20"
"11X160","P.S. 160 Walt Disney","Elementary","11","R","R","R","R","R","R","R","R","R"
"11X169","Baychester Academy","Elementary","11","R","R","R","R","R","R","R","R","33"
"11X175","P.S. 175 City Island","K-8","11","R","R","R","R","R","R","R","R","R"
"11X178","P.S. 178 - Dr. Selman Waksman","Elementary","11","R","R","R","R","R","R","R","R","0"
"11X180","M.S. 180 Dr. Daniel Hale Williams","Junior High-Intermediate-Middle","11","R","R","R","R","R","R","R","R","82"
"11X181","I.S. 181 Pablo Casals","Junior High-Intermediate-Middle","11","R","R","R","R","R","R","R","R","50"
"11X189","Cornerstone Academy for Social Action","Elementary","11","R","R","R","R","R","R","R","R","8"
"11X194","P.S./M.S. 194","K-8","11","R","R","R","R","R","R","R","R","89"
"11X249","Bronx Health Sciences High School","High school","11","R","R","R","R","R","R","R","R","R"
"11X253","Bronx High School for Writing and Communication Ar","High school","11","R","R","R","R","R","R","R","R","62"
