"name","fileorder","number","parkprop","borough","parkname","parknumber","commboard","council","location","extant","dedicated","cast","descrip","dimen","sponsor","materials","foundry","fabricator","sculptor","architect","donor","maintain","contractor","name2","name3","maintainedbyparks","installation","rededication","cost","categories","inscribed","x","y"
"John J. Carty Plaque","carty, john j. plaque","219","Y","Brooklyn","Gowanus Parkway","B210","6","38","Ft. Hamilton and Gowanus Parkways","M","June 5, 1971",,"Tablet","H: 18"" W: 24""",,"Bronze",,,,,"Gift",,,,,,,,,"Public Servant",,,
"John Cashmore Marker","Cashmore, John","220","Y","Brooklyn","Columbus Park","B113C","2","33","To the right of entrance to New York State Supreme Court Bldg., at Montague and Court Sts.","Y","1965","ca. 1965","Ornamented stele with affixed ornaments on base","H: 10' W: 6' D: 2'",,"Stele--black granite (polished); Base--limestone; Ornaments--bronze; Lettering--gilded",,,,,"Citizens of Brooklyn",,,,,"Y",,,,"Public Servant, Politcal Figure",,"987108.6074597985","191944.67849639058"
"Catholic War Veterans Square","catholic war veterans square","221","Y","Queens","Catholic War Veterans Square","Q148","10","28","Rockaway Blvd., 122nd St., 112 Avenue","Y",,,"Carved cross on base",,,"Granite, concrete",,,,,,,,,,"Y",,,,"War Memorial",,"1035223.4931852221","185583.0199598968"
"Clairmonte A. Cave, Sr. Memorial Pool","cave sr. clairmonte a. memorial pool","222","Y","Brooklyn","Kosciusko Pool","B351","3","36","Marcy and Dekalb Avenues","N",,,"Plaque on exterior wall","L: 32"" H: 12"" D: ¼""",,"Stainless steel",,,,,"Tompkins Park Committee",,,,,,,,,"Public Servant",,,
"Central Hollis Square","central hollis square","223","Y","Queens","Liberty Triangle","QZ039","12","27","Liberty Blvd., Hillburn Avenue, Farmers Blvd.","M",,,"Tablet on boulder","H: 16"" W: 26""",,"Bronze","General Bronze Company",,,,,,,,,,,,,"War Memorial",,,
"Central Park Fountain","central park fountain","224","Y","Manhattan","Central Park","M010","7","6","East Drive and 78th Street","N","1890",,"fountain",,,"granite",,,"Olin Levi Warner",,"purchase/demolished 1952",,,,,,,,,"Sculpture",,,
"Central Park Gates List","central park gates list","225","Y","Manhattan","Central Park","M010","7","6",,"N",,,,,,,,,,,,,,,,,,,,,,,
"Central Park Tablet","central park tablet","226","Y","Manhattan","Central Park","M010","7","6","Exterior of Arsenal Building, ground floor","Y","1965; Installed June 1967",,"Tablet","H: 16 ½"" W: 18""",,"Bronze",,,,,"National Park Service",,,,,"Y",,,,,,"992222.3068780601","218943.1048143953"
"Cespino-Russo Post Plaque","cespino-russo post plaque","227","Y","Staten Island","Franklin D. Roosevelt Boardwalk and Beach","R046","2","50","Sand Lane and Seaside Blvd., South Beach","Y",,,"Tablet on plinth and flagstaff","Tablet H: 17¾"" W: 12""; Plinth H: 11"" W: 22"" D: 20""",,"Bronze, granite",,,,,"Cespino-Russo Post No. 1544, American Legion",,,,,"Y",,,,"World War II, War Memorial",,"965849.0823936313","154247.63971740007"
"Peter Chappetto Flagstaff","chapetto, peter flagstaff","228","Y","Queens","Peter Chappetto Memorial Square","Q066H","1","22","Hoyt Ave, 21st and 23rd Streets, Astoria","Y","1949",,"Tablet attached to base of flagstaff","Tablet H: 8"" W: 10""; Base H: 48"" W: 27"" D: 27""",,"Bronze,  cast stone",,,,,"Friends",,,,,"Y",,,,"World War II",,"1005788.9382093102","221531.07339172065"
"Chaplains Memorial","chaplains memorial","229","Y","Manhattan","Riverside Park","M071","9","9","121st Street and Riverside Drive; in grassy triangle south of Grant's Tomb","Y","1950",,"Tablet on plinth","H: 24"" W: 18""",,"Bronze, granite",,,,,"Daughters of the Defenders of the Republic",,,,,"Y",,,,"World War II",,"994355.2881763875","235148.31354564428"
"Chateau Thierry Keystone","chateau thierry keystone","230","N","the Bronx",,,"4","17","BRONX COUNTY BUILDING; East 161st Street and Grand Concourse","Y","November 11, 1940",,"Keystone on pedestal with plaque","H: 14""  W: 18""",,"Granite, bronze",,,,,"American Legion",,,,,,,,,"World War I, War Memorial",,,
"Cheetah, Leopard and Puma","Cheetah, Leopard and Puma","231","O","Manhattan","Central Park","M010","7","6","Central Park Zoo; Central Park Wildlife Center; west façade","Y","1935","1935","Bas-relief in four continuous sections",,,"Indiana limestone",,,"Frederick George Richard Roth","Aymar Embury II",,,,,,,,,,"Animal: other, Sculpture",,"991951.7401619703","218884.3818347305"
"Chelsea Park Memorial (Doughboy)","Chelsea Park Memorial","232","Y","Manhattan","Chelsea Park","M011","4","3","9th Avenue between 27th and 28th Streets","Y","April 7, 1921","1921","Standing figure with integral plinth, on pedestal against integral backing wall","H: 14'3"" W: 8' D: 5'6""",,"Figure--bronze; Pedestal and wall--Deer Isle granite","Roman Bronze Works, New York",,"Philip Martiny","Charles R. Lamb","Chelsea Memorial Committee",,,,,"Y",,,,"Sculpture, World War I, War Memorial, World War I",,"984369.4193686396","212345.49005688727"
"Chemical Bank Plaque",,"234","N","Manhattan",,,"8","4","154 East 61st Street","Y","1977",,"plaque mounted on fence,front of tree","3 ½""h x 9 ½""w x ¼""d",,"bronze",,,,,"lex/third ave 61st st. block assoc.",,,,,,,,,,,,
"Chemistry","Chemistry","235","N","Manhattan",,,"1","1","Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, chief cornice, first from left","Y","1905","ca. 1905","standing female figure (heroic scale)",,,"Westerly granite",,,"Philip Martiny","Horgan and Slattery","$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,"Sculpture",,,
"Childhood","Childhood","237","N","Manhattan",,,"1","1","Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, beside center window in attic","Y","1902","ca. 1902","two seated infant figures (heroic scale)",,,"Westerly granite",,,"Henry Kirke Bush-Brown","Horgan and Slattery","$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,"Sculpture",,,
"Childrens Farm Plaque","childrens farm plaque","238","Y","Queens","Flushing Meadows / Corona Park","Q099","15","21","Southwest of Zoo","S",,,"Plaque on boulder","H: 21 ½"" W: 12""",,"Bronze",,,,,,,,,,,,,,,,,
"Chimpanzee","Chimpanzee","239","O","Manhattan","Central Park","M010","7","6","Central Park Zoo; Zoo School, north end of east façade","Y","1935","1935","Bas-relief",,,"Indiana limestone",,,"Frederick George Richard Roth","Aymar Embury II",,,,,,,,,,"Sculpture, Animal: other",,"992346.7876002192","219070.91623856127"
"Chinese Art","chinese art","240","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","BROOKLYN INSTITUTE MUSEUM; Eastern Parkway near Washington Avenue","Y","1909",,"Statue",,,"Indiana limestone",,,"Karl Bitter",,"Purchase",,,,,,,,,"Sculpture",,,
"Chinese Law","chinese law","241","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","BROOKLYN INSTITUTE MUSEUM; Eastern Parkway near Washington Avenue","Y","1909",,"Statue",,,"Indiana limestone",,,"Karl Bitter",,"Purchase",,,,,,,,,,,,
"Chinese Philosophy","chinese philosophy","242","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","BROOKLYN INSTITUTE MUSEUM; Eastern Parkway near Washington Avenue","Y","1909",,"Statue",,,"Indiana limestone",,,"Karl Bitter",,"Purchase",,,,,,,,,"Sculpture",,,
"Chinese Religion","chinese religion","243","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","BROOKLYN INSTITUTE MUSEUM; Eastern Parkway near Washington Avenue","Y","1909",,"Statue",,,"Indiana limestone",,,"Karl Bitter",,"Purchase",,,,,,,,,"Sculpture",,,
"Chinese Tablet","chinese tablet (grant's tomb)","244","Y","Manhattan","Riverside Park","M071","9","9","Riverside Drive, north of Grant's Tomb","Y","May 1897",,"Tablet on plinth","H: 2'2"" W: 2'5""",,"Bronze, Westerly granite (polished)",,,,,"Gift of Li Hung-Chang",,,,,"Y",,,,,,"994553.5384360552","235834.16322380304"
"Unionport Memorial","church square monument","246","Y","the Bronx","Church Square","X012","9","11","Castle Hill Avenue, Watson Avenue, Cross Bronx Expressway","Y",,,"Eternal light on round stele","Stele H: 8' D: 5'; Light H: 2'",,"Granite and bronze",,"Lavery Granite Co.",,,"Public subscription, People of Unionport",,,"Church Square Monument",,"Y",,,"$3300","World War I, War Memorial",,"1025672.4994919747","241663.15845556557"
"Ciccarone, Pvt. V.","ciccarone, pvt. v.","247","Y","the Bronx",,,"0","0","Stolen prior to 1971","M",,,,,,,,,,,,,,,,,,,,,,,
"Citibank Fountain","citibank fountain","248","Y","Manhattan","Central Park","M010","7","6","90th Street and 5th Avenue","M","1980",,"Drinking fountain","H: 3' W: 4'",,"Concrete, aluminum",,,,,"Citibank",,,,,,,,,,,,
"City College",,"249","N","Manhattan",,,"0","0",,"Y",,,,,,,,,,,,,,,,,,,,,,,
"City Employees War Memorial","City Employees War Memorial","250","Y","Manhattan","Central Park","M010","7","6","West of north end of Mall, opposite Naumberg Bandshell","Y","1926","ca 1926","Flagstaff supported by sleeve ornamented with leaves and ending in four medallions in relief and four standing eagles with outspread wings, on pedestal","Sleeve H: 4'11"" W: 3'2"" D: 3'2""; Pedestal H: 6'1"" W: 7'6"" D: 7'6""","CPC","Flagstaff--iron; Sleeve--bronze; Pedestal--Deer Isle granite",,,"Georg John Lober","Otto Langman","Mrs. Charles Augustine Robinson",,,,,"Y",,,"$14,000","Sculpture, War Memorial, Public Servant",,"992012.7098563015","221021.7991478145"
"City Hall Monument List","City Hall monument list","251","Y","Manhattan","City Hall Park","M013","1","1",,"N",,,,,"CPF",,,,,,,,,,,,,,,,,,
"City Hall (Interior)","city hall (interior)","252","O","Manhattan",,"M013","1","1","Interior of City Hall","Y",,,,,,,,,,,,,,,,,,,,,,,
"City Island World War Memorial","city island world war memorial","253","Y","the Bronx","City Island Park","X107","10","13","City Island Avenue and Hawkins Street","Y",,,"Plaque on stele","H: 51"" W: 25 ½"" D: 1""d",,"Bronze, granite",,,,,"Women's Auxiliary of Leonard H. Hawkins Post No. 156, American Legion",,,"Leonard H. Hawkins Memorial",,"Y",,,,"World War I, War Memorial",,"1043296.899938643","247781.56583814323"
"City Island WW II Memorial",,"254","N","the Bronx",,,"10","13","CITY ISLAND; City Island Avenue and Sutherland Street","Y",,,"One vertical stele w. plaque;  two horiz. steles with plaques; flagstaff w. sign","18""h x 24""w",,"Bronze, granite, wood","International Bronze Tablet Company, Inc., New York, NY",,,,"Leonard H. Hawkins Post No. 156, American Legion",,,,,"Y",,,,"War Memorial, World War II",,"1041900.9926254749","251120.308832556"
"Civic Duty",,"255","N","Manhattan",,,"1","1","MUNICIPAL BUILDING; Chambers and Center Streets","Y","1912",,"panel relief",,,"Maine granite",,,"Adolph A. Weiman",,"puchase",,,,,,,,,"Sculpture",,,
"Civic Fame",,"256","N","Manhattan",,,"1","1","MUNICIPAL BUILDING/TOWER; Chambers and Center Streets","Y","1913",,"statue",,,"bronze",,,"Adolph Alexander Weinman",,"purchase",,,,,,,,,"Sculpture",,,
"Civic Pride",,"257","N","Manhattan",,,"1","1","MUNICIPAL BUILDING; Chambers and Center Streets, arch south side","Y","1912",,"panel relief",,,"Maine granite",,,"Adolph Alexander Weinman",,"purchase",,,,,,,,,"Sculpture",,,
"Civil Engineers Plaque","civil engineers plaque","259","Y","Manhattan","City Hall Park","M013","1","1","South of Chambers Street","Y","May 1981",,"Plaque on plinth","H: 15 ¼"" W: 24 ¼""",,"Bronze, granite,","J.J. Kassmer and Company",,,"American Society of Civil Engineers and D. Levine of J.J. Kassmer Co.","American Society of Civil Engineers",,,,,"Y",,,,,,"982968.7974979728","199055.66033738852"
"Civil Service",,"260","N","Manhattan",,,"1","1","MUNICIPAL BUILDING; Chambers and Center streets","Y","1912",,"relief",,,"Maine granite",,,"Adolph Alexander Weinman",,"purchase",,,,,,,,,"Sculpture",,,
"Claremont Inn Tablet","claremont inn tablet","262","Y","Manhattan","Riverside Park","M071","9","6","CLAREMONT PLAYGROUND; Riverside Drive at 123rd St.","Y","1952",,"Incised plaque set in pavement","H: 2' W: 4'",,"Deer Isle granite",,,,,"DPR",,,,,"Y",,,,,,"994767.566223219","236363.5542254001"
"Claremont Park Tablet","claremont park tablet","263","Y","the Bronx","Claremont Park","X008","4","14","ZABROWSKI MANSION-CLAREMONT PK; Clay, Mt. Eden and Teller Streets","N","1913",,"Tablet on exterior wall","H: 36"" W: 24¾"" D: 1""",,"Bronze","Tiffany Studios",,,"Tiffany Studios","Gift",,,,,,,,,,,,
"Fort Stirling Marker","clark street park (fort stirling)","265","Y","Brooklyn","Fort Stirling Sitting Area","B036","2","33","Clark Street and Columbia Heights","Y","1925",,"Tablet on plinth","H: 17 ½"" W: 26¾""",,"Bronze, granite",,,"Albert Winert",,"Gift of Fort Greene Chapter, Daughters of the American Revolution",,,,,"Y",,,"500.00","Revolutionary War, War Memorial",,"985230.9986822158","193750.13715581596"
"Cyrus Clark","clark, cyrus","266","Y","Manhattan","Riverside Park","M071","7","6","Riverside Park at 83rd Street","Y","1911",,"Plaque on boulder","H: 4' W: 2'5""",,"Bronze",,,"Henry Kirk Bush-Brown",,"Gift of the West End Association",,,,,"Y",,,,"Sculpture, Business Leader, Civic Leader",,"989340.85758847","226048.13981689513"
"Clason Point World War I Memorial","Clason Point World War I Memorial","267","Y","the Bronx","Woodrow Wilson Square","X065","9","18","Soundview, Underhill and Patterson Avenues","Y","1928",,"Bas-relief plaque with female figure (life size) surrounded by quotations; plaque is surmounted by an eagle with spread wings, on stele","Plaque H: 6'10""; Stele H: 11'2"" W: 4' D:1'8""",,"Plaque and eagle---bronze; Stele--Deer Isle granite",,,"James S. J. Novelli",,"Public subscription, Clason Point residents",,,,,"Y",,,"$3,500","World War I, War Memorial",,"1023533.3282453865","235679.08282530308"
"Henry Clay",,"268","N","Manhattan",,,"1","1","CITY HALL; Governor's Room","Y","1849",,"bust",,,,,,"M. Pruden",,"purchase (1852)",,,,,,,,,"Sculpture, Politcal Figure",,,
"Clinton High School World War Memorial",,"269","N","the Bronx",,,"8","11","DE WITT CLINTON HIGH SCHOOL; Mosholu Parkway and Sedgwick Avenue","Y","1920",,"tablet",,,"bronze",,,"Charles Eugene Tefft",,"gift",,,,,,,,,,,,
"Clinton Park - Stewart Plaque","clinton park-stewart plaque","270","Y","Manhattan","De Witt Clinton Park","M022","4","3","11th Avenue and 53rd Street; on stadium wall","S",,,"Plaque on brick wall",,,"Bronze",,,,,,,,,,,,,,"World War I, War Memorial",,,
"Clinton War Memorial (Doughboy)","Clinton War Memorial","271","Y","Manhattan","De Witt Clinton Park","M022","4","3","11th Avenue and 53rd Street","Y","November 11, 1929","ca. 1927","Standing figure (over life size) with integral plinth, on pedestal","H: 12' W: 4'8"" D: 4'8""",,"Bronze, North Jay granite","Gorham",,"Burt W. Johnson","Harvey W. Corbett","Clinton District Memorial Association.",,,"Flanders Field Memorial; De Witt Clinton Park World War Memorial",,"Y",,,,"Sculpture, World War I, War Memorial, Soldier",,"985931.3168353885","218903.96053572"
"Castle Clinton Plaque","Castle Clinton Plaque","272","Y","Manhattan","Battery Park","M005","1","1","On exterior wall facing New York Harbor","M","1909","ca. 1909","Plaque",,,"Bronze",,,,,"New York Zoological Society",,,,,,,,,"Revolutionary War",,,
"Castle Clinton National Monument Plaques","Castle Clinton National Monument Plaques","273","N","Manhattan","Battery Park","M005","1","1",,"Y","1954","ca. 1954","Two plaques affixed to wall","h 4'7"" x w 2'10""",,"Bronze",,,,,"National Park Service",,,,,,,,,"Revolutionary War",,"979669.8346077204","195560.52297072113"
"De Witt Clinton","Clinton, De Witt","274","N","Manhattan",,,"1","1","Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, third from left","Y","1905","ca. 1905","standing figure (heroic scale)",,,"Westerly granite",,,"Philip Martiny","Horgan and Slattery","$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,"Sculpture",,,
"Dewitt Clinton","clinton, dewitt","275","N","Manhattan",,,"11","8","Museum of the City of New York; Fifth Avenue at 103rd & 104th Streets","Y","1941",,"Portrait statue","H: 6'6""",,"Nickel bronze",,,"Adolph Alexander Weinman",,"Gift of a museum patron",,,,,,,,,"Sculpture, Politcal Figure",,,
"Dewitt Clinton","clinton, dewitt","276","O","Manhattan",,"M013","1","1","City Hall; Governor's Room","Y",,,"Bust",,,"White marble",,,,,,,,,,,,,,,,,
"Coast Guard Memorial","Coast Guard Memorial","277","Y","Manhattan","Battery Park","M005","1","1","Not presently accessible; under construction.","Y","May 30, 1955","1947","Group of three figures (heroic scale), integral plinth, on pedestal","Group H: 8'10""; Pedestal H: 5'8"" W: 5'3"" D: 3'4""","CMCP","Bronze, Deer Isle granite","Capital Products Inc., Long Island City",,"Norman M. Thomas",,"United States Coast Guard",,,,,"Y",,"2021-10-04T00:00:00.000",,"Sculpture, Soldier, War Memorial, World War II",,"980384.2235988826","194763.9733827263"
"Cobble Hill Historic District Plaque","cobble hill historic district plaque","278","Y","Brooklyn","Cobble Hill Park","B326","6","39","Clinton and Congress Streets, and Verandah Place","Y","1971",,"Plaque with medallion at top, on plinth","H: 5"" W: 12""",,"Bronze, granite",,,,"Richard Sosis","Cobble Hill Association; New York Community Trust",,,,,"Y",,,,,,"985466.3712429702","189967.377332896"
"Cockatoos and Ara","Cockatoos and Ara","279","O","Manhattan","Central Park","M010","7","6","Central Park Zoo; Gallery, west end of south façade","Y","1935","1935","Bas-relief",,,"Indiana limestone",,,"Frederick George Richard Roth","Aymar Embury II",,,,"Cockatoos and Macaw",,,,,,"Sculpture, Animal: other",,"992099.4823205471","218790.09068472683"
"Coffey Square",,"280","Y","Brooklyn",,"BZ10Q","10","43","7th Ave and 81st St., Ft. Hamilton Pkwy","Y",,,"Two upright stones on elongated slab; one has bronze plaque and other has incised scene of Iwo Jima",,,"Granite and bronze",,,,,,,,,,"Y",,,,,,"978770.4456584752","166038.9478276372"
"George M. Cohan","Cohan, George M.","282","Y","Manhattan","Father Duffy Square","M093","5","3",,"Y","September 11, 1959","1959","Standing figure (over life size), integral plinth, on pedestal","Figure H: 8'7""; Pedestal (upper part) H: 6' 11 1/2"" W: 3' 6 3/4"" D: 6' 3/4""; Pedestal base H:5 1/2"" W: 7'3"" D: 7'3""","TSBID","Figure--bronze; Pedestal--light Barre granite on dark Barre granite base",,,"Georg John Lober","Otto Langman","George M. Cohan Memorial Fund",,,,,"Y",,,,"Sculpture, Composer/Musician",,"988378.7036728859","215740.61876530945"
"Irene Cohen","cohen, irene","283","Y","Manhattan","Washington Square Park","M098","2","1",,"M","1949",,"Tablet on plinth","Tablet H: 9"" W: 12""; Plinth H: 13 ¼"" W:16 ¼""",,"Bronze, granite",,,,,"Gift of Jack B. Cohen",,,,,,,,,"Women",,,
"Cadwallader David Colden","Colden, Cadwallader David","284","N","Manhattan",,,"1","1","Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, seventh from lef","Y","1905","ca. 1905","standing figure (heroic scale)",,,"Westerly granite",,,"Philip Martiny","Horgan and Slattery","$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,"Sculpture",,,
"Coleman Square",,"285","N","Queens",,,"10","32","COLEMAN SQUARE; 159th Rd. and Coleman Square","Y",,,"monument next to flagstaff with base",,,"granite, incised letters",,,,,,,,,,,,,,"World War II, War Memorial",,"1031324.1781492233","179742.66418656707"
"College of the City of New York","college of the city of new york","286","O","Manhattan",,,"9","7","MAIN BUILDING; Convent Avenue and W. 137th Street","Y",,,"Tablet",,,"Bronze",,,,"George B. Post and Sons","Purchase",,,,,,,,,,,,
"College Point War Memorial","college point war memorial","287","Y","Queens","Mall on 18th Avenue between 126th and 127th Streets","Q033","7","19","Between 127th and 128th Streets and 18th Avenue","Y","1930",,"Stele with plaque","Stele H: 76"" W: 31"" D: 20""; Plaque H: 22.5"" W: 30""",,"Concrete, bronze",,,,,"American Legion",,,,,"Y",,,,"World War I, War Memorial",,"1028102.2301968038","224667.92636997998"
"Michael Colombo","colombo, michael","288","Y","the Bronx","Pelham Bay Park","X039","10","13","Split Rock Golf Course; located inside the pro shop.","Y","1957",,"Tablet on wall","H: 23 7/8"" W:17 13/16"" D: 1""",,"Bronze",,,"S.W.",,,,,,,"Y",,,,"Athlete",,"1037171.5969005525","257660.74325822294"
"Four Eagles","Four Eagles","289","Y","Brooklyn","Prospect Park","B040","0","39","Grand Army Plaza entrance between Prospect Park West and Flatbush Avenue","Y","1901","ca. 1901","Four columns, each with four small eagles surmounting globes at middle sections and one large eagle surmounting globe at top","Small eagle (each) H: 6'7""  W: 5'7""; Small eagle and globe (each) H: 9';  Large eagle (each) H: 6'8""  W: 5'6""; Large eagle and globe (each) H: 9'11""; Column (each) H: 50'",,"Granite, bronze",,,"Frederick William MacMonnies","Stanford White","Purchase",,,,,"Y",,,,"Allegorical, Animal: other, Sculpture",,"992599.750020802","184201.15067639947"
"Colonial Rose Garden Tablet","colonial rose garden tablet","291","Y","Staten Island","Conference House Park","R006","3","51","Biddle house, Pittsville Ave. and Satterlee St.","Y","1932",,"Tablet on boulder","H: 10"" W: 1'4""",,"Bronze, natural boulder",,,,,,,,,,"Y",,,,"Colonial",,"914246.9264118075","122398.67716872692"
"Columbia University entrance pylons",,"292","N","Manhattan",,,"9","9","Broadway at 116th St., Amsterdam and 116th","Y","1915",,"four pylons",,,"Milford pink granite",,,"Charles Keck","McKim, Mead, and White",,,,,,,,,,"Sculpture",,,
"Christopher Columbus Monument Fountain","Columbus, Christopher","293","Y","Manhattan","Central Park","M010","7","6","59th Street and Central Park West (Columbus Circle)","N","October 11, 1965","ca. 1965","Ornamental fountain with small descriptive plaque, recessed plinth",,,"Plaque--bronze; Plinth--granite",,,,,"George T. Delacorte, Dell Publishing Company Foundation",,,,,,,,,"Explorer",,"989263.3869428933","219099.07661530375"
"Columbus Park Tablet","columbus park tablet","294","Y","Manhattan","Columbus Park","M015","3","1","Bayard, Baxter and Mulberry Streets","M","1897",,"Tablet on wall","H: 2'1"" W: 2'9 ½""",,"Bronze",,,,,"Purchase",,,,,,,,,,,,
"Columbus Square Tablet","columbus square tablet","295","Y","Queens","Columbus Square","Q137","1","22","Astoria Boulevard, Hoyt Avenue and 31st Street","Y","October 12, 1937",,"Circular tablet set in pavement","Diameter: 24""",,"Bronze",,,,,"Italian Chamber of Commerce of Queens",,,,,"Y",,,,"Explorer",,"1007056.7125766426","219863.11806622148"
"Christopher Columbus","Columbus, Christopher","296","Y","Queens","Columbus Square","Q137","1","22","Astoria Boulevard, Hoyt Avenue and 31st Street","Y","October 12, 1941","1941","Standing figure (over life size) on pedestal, on plinth","Figure H: 7'6"" W: 4' D: 4'",,"Figure--bronze; Pedestal and plinth--cast stone",,,"Angelo  Racioppi",,"New York City Works Progress Administration art project",,,,,"Y",,,,"Explorer",,"1007114.1809656322","219831.1148493886"
"Christopher Columbus","Columbus, Christopher","297","Y","Manhattan","Central Park","M010","7","6","South end of Mall","Y","May 12, 1892","1892","Standing figure (over life size) on pedestal","Figure H: 7""; Pedestal H: 8' W: 8' D: 8'","CPC","Bronze, Rockport granite (polished)","Federicao Masriera, Fundador, Barcelona",,"Jeronimo Sunol","Napoleon Le Brun","New Yorkers of the New York Genealogical Society",,,,,"Y",,,,"Sculpture, Explorer",,"991780.5853205472","219788.09295381606"
"Christopher Columbus","Columbus, Christopher","297","Y","Manhattan","Central Park","M010","7","6","South end of Mall","Y","May 12, 1892","1892","Standing figure (over life size) on pedestal","Figure H: 7""; Pedestal H: 8' W: 8' D: 8'","CPC","Bronze, Rockport granite (polished)","Federicao Masriera, Fundador, Barcelona",,"Jeronimo Sunol","Napoleon Le Brun","New Yorkers of the New York Genealogical Society",,,,,"Y",,,,"Sculpture, Explorer",,"991796.8493956327","219761.22096030414"
"Christopher Columbus","Columbus, Christopher","297","Y","Manhattan","Central Park","M010","7","6","South end of Mall","Y","May 12, 1892","1892","Standing figure (over life size) on pedestal","Figure H: 7""; Pedestal H: 8' W: 8' D: 8'","CPC","Bronze, Rockport granite (polished)","Federicao Masriera, Fundador, Barcelona",,"Jeronimo Sunol","Napoleon Le Brun","New Yorkers of the New York Genealogical Society",,,,,"Y",,,,"Sculpture, Explorer",,"991796.8493956327","219761.22096030414"
"Christopher Columbus","Columbus, Christopher","297","Y","Manhattan","Central Park","M010","7","6","South end of Mall","Y","May 12, 1892","1892","Standing figure (over life size) on pedestal","Figure H: 7""; Pedestal H: 8' W: 8' D: 8'","CPC","Bronze, Rockport granite (polished)","Federicao Masriera, Fundador, Barcelona",,"Jeronimo Sunol","Napoleon Le Brun","New Yorkers of the New York Genealogical Society",,,,,"Y",,,,"Sculpture, Explorer",,"991779.7172120512","219788.09295381606"
"Christopher Columbus","Columbus, Christopher","298","Y","Brooklyn","Columbus Park","B113C","2","33","In front of New York State Supreme Court Building, at Montague and Court Streets","Y","1867 (?)","ca 1867","Standing figure on base, on plinth","Figure H: 7'; Pedestal H: 11' Diameter: 3'6""; Base H: 2'6"" Diameter: 8'9""; Plinth H: 1' Diameter: 17'3""",,"Italian marble, limestone",,,"Emma Stebbins","Aymar Embury II","Marshal O. Roberts",,,,,"Y",,,,"Sculpture, Explorer",,"987045.7214307189","192088.40393072367"
"Columbus Monument","Columbus, Christopher","299","Y","Manhattan","Central Park","M010","7","6","Columbus Circle","Y","October 12, 1892","1892","Standing figue (colossal scale) on rostral column on pedestal, base, and plinth; pedestal figure of a winged youth examining a globe; two bas-reliefs on base","Total: 76'; Figure H: 13'; Column H: 35'; Pedestal H: 28'","CPC","Figures--Carrara marble; Column--granite; Rostra and bas-reliefs--bronze","Nelli, Rome",,"Gaetano Russo",,"Italian Americans led by Carlo Barsotti, publisher, Il Progresso  Italo Americano",,,,,"Y",,,,"Sculpture, Explorer",,"989263.6917323023","219104.90567189455"
"Columbus Monument","Columbus, Christopher","299","Y","Manhattan","Central Park","M010","7","6","Columbus Circle","Y","October 12, 1892","1892","Standing figue (colossal scale) on rostral column on pedestal, base, and plinth; pedestal figure of a winged youth examining a globe; two bas-reliefs on base","Total: 76'; Figure H: 13'; Column H: 35'; Pedestal H: 28'","CPC","Figures--Carrara marble; Column--granite; Rostra and bas-reliefs--bronze","Nelli, Rome",,"Gaetano Russo",,"Italian Americans led by Carlo Barsotti, publisher, Il Progresso  Italo Americano",,,,,"Y",,,,"Sculpture, Explorer",,"989263.6917323023","219104.90567189455"
"Christopher Columbus","Columbus, Christopher","300","Y","the Bronx","D'Auria Murphy Triangle","X068","6","15","East 183rd St, Crescent Ave,  Adams Place","Y","c. 1926; 1992 (rededication)",,"Bust on plinth on pedestal supported by two-part base","Bust and plinth H: 4'3""  W: 4'4"" D: 2'3""; Pedestal H: 5'7"" W: 2'7"" D: 2'3""",,"Bust and plinth--Carrara marble; Pedestal and base--granite",,,"Attilio Piccirilli",,,,,,,"Y",,,,"Explorer",,"1014870.0496402234","250158.17328964174"
"Christopher Columbus Tablet","columbus, christopher","301","Y","Brooklyn","Columbus Park","B113C","2","33","In front of New York State Supreme Court Building, at Montague and Court Streets","Y","October 8, 1971",,"Plaque on pedestal","H: 12"" W: 36"" D: ¼""d",,"Bronze","U.S. Bronze Sign Company, NY",,,,"P.R.C.A.",,,,,"Y",,,,"Explorer",,"987030.5597156435","192087.43181981146"
