"borough_code","tax_block","tax_lot","bbl","zoning_district_1","zoning_district_2","zoning_district_3","zoning_district_4","commercial_overlay_1","commercial_overlay_2","special_district_1","special_district_2","special_district_3","limited_height_district","zoning_map_number","zoning_map_code","notes"
"5","7054","379","5070540379","R3-1",,,,,,"SRD",,,,"33A",,
"1","1704","2","1017040002","R7-2",,,,,,,,,,"6B",,
"4","1144","2","4011440002","R4",,,,,,,,,,"9D",,
"4","2400","27","4024000027","R4-1",,,,,,,,,,"13C",,
"3","1639","37","3016390037","R6B",,,,,,,,,,"17A",,
"3","4063","8","3040630008","R5",,,,,,,,,,"17D",,
"3","7863","60","3078630060","R3-2",,,,,,,,,,"23B",,
"3","8679","1","3086790001","R7-1",,,,,,,,,,"28D",,
"3","5901","128","3059010128","R4-1",,,,,,,,,,"22A",,
"3","7378","21","3073780021","C8-1","R4",,,,,,,,,"29A",,
"3","8235","12","3082350012",,,,,,,,,,,"23C",,
"3","8688","56","3086880056","R7-1",,,,,,,,,,"28D",,
"4","4859","175","4048590175","R3-1",,,,,,,,,,"10C",,
"2","4051","49","2040510049","R5",,,,,,,,,,"4B",,
"2","5890","1637","2058901637",,,,,,,,,,,"1C",,
"3","7222","69","3072220069","R4",,,,,,"OP",,,,"28C",,
"4","760","55","4007600055","R4",,,,,,,,,,"9C",,
"4","3033","40","4030330040","R4B",,,,,,,,,,"13C",,
"5","1116","114","5011160114","R3A",,,,,,,,,,"20C",,
"5","7741","2","5077410002","R3X",,,,,,"SRD",,,,"35A",,
"1","2080","15","1020800015","R6A",,,,,,,,,,"3B",,
"3","7689","44","3076890044","R3-2",,,,,,,,,,"23B",,
"4","1771","34","4017710034","R5",,,,,,,,,,"10B",,
"5","321","112","5003210112","R2",,,,,,,,,,"21B",,
"5","2897","8","5028970008","R3-2",,,,,,,,,,"21D",,
"5","5472","29","5054720029","R3A",,,,,,"SRD",,,,"33C",,
"3","5901","44","3059010044","R6B",,,,"C1-3",,,,,,"22A",,
"4","8094","12","4080940012","R1-2",,,,,,,,,,"11A",,
"2","4825","5","2048250005","R6",,,,"C2-4",,,,,,"2B",,
"3","1144","89","3011440089","R6B",,,,,,,,,,"16C",,
"3","1487","32","3014870032","R6B",,,,,,,,,,"17A",,
"3","5900","10","3059000010","R5B",,,,,,,,,,"22A",,
"3","8300","62","3083000062","R4-1",,,,,,,,,,"23C",,
"4","4262","64","4042620064","R4A",,,,,,,,,,"10A",,
"4","5027","9","4050270009","R5",,,,,,,,,,"10C",,
"3","2620","51","3026200051","C4-3A",,,,,,,,,,"13A",,
"4","1382","23","4013820023","R4",,,,,,,,,,"9C",,
"4","8602","55","4086020055","R2A",,,,,,,,,,"15C",,
"4","9084","27","4090840027","R6B",,,,"C2-3",,,,,,"18A",,
"5","2840","295","5028400295","R3-2",,,,,,,,,,"21D",,
"5","6401","14","5064010014","R3X",,,,,,"SRD",,,,"33D",,
"2","4730","16","2047300016","R5",,,,,,,,,,"2B",,
"3","3851","23","3038510023","R6",,,,,,,,,,"17D",,
"3","4333","10","3043330010","R5",,,,,,,,,,"17D",,
"3","5462","71","3054620071","R5",,,,,,,,,,"22D",,
"3","7195","32","3071950032","R4",,,,,,"OP",,,,"28C",,
"4","1104","30","4011040030","R3X",,,,,,,,,,"9C",,
"2","4631","31","2046310031","R4",,,,,,,,,,"2B",,
"3","6012","61","3060120061","R3X",,,,,,,,,,"22B",,
"3","7463","23","3074630023","R4",,,,,,,,,,"29A",,
"3","8675","39","3086750039","R6",,,,"C1-2",,"OP",,,,"28D",,
"4","1540","36","4015400036","R5",,,,,,,,,,"9D",,
"4","2330","20","4023300020","R5",,,,,,,,,,"9D",,
"4","3398","16","4033980016","R5B",,,,,,,,,,"13B",,
"4","5429","8","4054290008","R2A",,,,,,,,,,"10D",,
"5","3263","19","5032630019","R3-1",,,,,,,,,,"27C",,
"3","1678","82","3016780082","R6B",,,,,,,,,,"17A",,
"3","6866","52","3068660052","R5",,,,,,,,,,"28C",,
"4","1200","38","4012000038","R5",,,,,,,,,,"9D",,
"4","3202","51","4032020051","R4B",,,,,,,,,,"14A",,
"4","5237","36","4052370036","R3-2",,,,,,,,,,"10C",,
"4","9503","64","4095030064","R5",,,,,,,,,,"18C",,
"5","1485","154","5014850154","R3X",,,,,,,,,,"20D",,
"5","6085","20","5060850020","R3X",,,,,,"SRD",,,,"33A",,
"2","2562","17","2025620017","M1-2/R6A",,,,,,"MX-1",,,,"6B",,
"3","5252","51","3052520051","R7A",,,,"C2-4",,,,,,"23A",,
"3","6570","63","3065700063","R5",,,,,,"OP",,,,"22D",,
"4","3292","15","4032920015","R6",,,,"C1-2",,,,,,"14A",,
"4","15315","600","4153150600","R3A",,,,,,"CR-1",,,,"24D",,
"1","254","20","1002540020","R7-2",,,,,,,,,,"12D",,
"3","1659","17","3016590017","R6B",,,,,,,,,,"17A",,
"3","2702","29","3027020029","R6B",,,,,,,,,,"13A",,
"3","5606","41","3056060041","R6",,,,"C1-3",,,,,,"22C",,
"3","7381","62","3073810062","R4",,,,,,,,,,"29A",,
"4","1887","58","4018870058","R5",,,,,,,,,,"10B",,
"4","8535","57","4085350057","R3-2",,,,,,,,,,"11D",,
"5","2925","388","5029250388","R3-2",,,,,,,,,,"21D",,
"3","5948","21","3059480021","R2",,,,,,"BR",,,,"22A",,
"4","845","62","4008450062","R5D",,,,"C1-3",,,,,,"9A",,
"4","2418","24","4024180024","R4",,,,,,,,,,"9D",,
"4","3479","58","4034790058","R5B",,,,,,,,,,"13D",,
"4","3886","15","4038860015","R4A",,,,,,,,,,"14B",,
"1","1988","85","1019880085","R7A",,,,,,,,,,"6A",,
"3","1769","164","3017690164","R6B",,,,,,,,,,"13B",,
"3","3569","36","3035690036","R6",,,,"C1-3",,,,,,"17B",,
"3","6719","30","3067190030","R2",,,,,,,,,,"22D",,
"4","6605","12","4066050012","R2X",,,,,,,,,,"14A",,
"2","2449","5","2024490005","R7-1",,,,,,,,,,"3B",,
"3","5076","48","3050760048","R3X",,,,,,,,,,"16D",,
"4","2386","134","4023860134","R4B",,,,,,,,,,"13C",,
"4","2934","32","4029340032","R4B",,,,,,,,,,"13C",,
"5","4591","17","5045910017","R2",,,,,,"SRD",,,,"26D",,
"3","7464","76","3074640076","R4","R7A",,,,,,,,,"29A",,
"4","3266","55","4032660055","R2",,,,,,,,,,"14B",,
"3","1287","33","3012870033","R6",,,,"C1-3",,,,,,"16D",,
"3","6651","60","3066510060","R4-1",,,,,,,,,,"28C",,
"4","15698","80","4156980080","R2",,,,,,,,,,"25B",,
"3","1256","58","3012560058","R6",,,,,,,,,,"17B",,
"3","3373","47","3033730047","R6",,,,,,,,,,"17A",,
"3","4320","20","3043200020","R6",,,,,,,,,,"17D",,
"3","7774","4","3077740004","R4",,,,,,,,,,"23A",,
"4","1126","51","4011260051","R4",,,,,,,,,,"9D",,
"4","4955","39","4049550039","R6",,,,,,,,,,"10A",,
"4","6657","45","4066570045","R4",,,,,,,,,,"14C",,
"5","888","123","5008880123","R1-1",,,,,,"NA-1",,,,"27A",,
"2","5632","68","2056320068","R3A",,,,,,,,,,"4D",,
"4","2781","11","4027810011","R4-1",,,,,,,,,,"13C",,
"4","14243","1120","4142431120","R3A",,,,,,"CR-2",,,,"18B",,
"5","1670","257","5016700257","R3-2",,,,,,,,,,"20D",,
"1","660","501","1006600501",,,,,,,,,,,"12A",,
"2","2694","99","2026940099","R7-1",,,,"C2-4",,,,,,"3D",,
"2","3878","45","2038780045","R5",,,,,,,,,,"4B",,
"3","1382","68","3013820068","R6",,,,,,,,,,"17B",,
"3","1736","29","3017360029","M1-1",,,,,,,,,,"13B",,
"3","4004","103","3040040103","R5B",,,,,,,,,,"17C",,
"3","7895","64","3078950064","R3-2",,,,,,,,,,"23B",,
"3","8255","71","3082550071","R4",,,,,,,,,,"23C",,
"4","976","45","4009760045","R4",,,,,,,,,,"9C",,
"4","2015","63","4020150063","R4",,,,,,,,,,"10B",,
"4","3169","53","4031690053","R4B",,,,,,,,,,"14A",,
"5","3353","10","5033530010","R3-1",,,,,,,,,,"27C",,
"2","5725","759","2057250759","R2",,,,,,,,,,"1B",,
"3","1055","30","3010550030","R5B",,,,,,,,,,"16D",,
"3","6293","21","3062930021","R4",,,,,,,,,,"22B",,
"4","3849","20","4038490020","R4-1",,,,,,,,,,"14B",,
"3","733","51","3007330051","R6",,,,,,,,,,"22C",,
"5","1073","31","5010730031","C4-2",,,,,,,,,,"21A",,
"1","1994","93","1019940093","R8",,,,,,,,,,"5C",,
"3","6663","10","3066630010","R5",,,,,,"OP",,,,"22D",,
"3","7856","61","3078560061","R3-2",,,,,,,,,,"23B",,
"4","3142","13","4031420013","R4",,,,,,,,,,"14A",,
"4","5007","22","4050070022","R3-2",,,,,,,,,,"10C",,
"3","5893","35","3058930035","R5B",,,,,,"BR",,,,"22A",,
"4","4196","28","4041960028","R4A",,,,,,,,,,"10A",,
"2","3823","53","2038230053","R5",,,,,,,,,,"4B",,
"4","899","162","4008990162","R5",,,,,,,,,,"9A",,
"4","2001","13","4020010013","R5",,,,,,,,,,"10B",,
"2","3228","103","2032280103","R5",,,,,,,,,,"3A",,
"2","5646","115","2056460115","R3A",,,,,,"CD",,,,"4C",,
"3","1673","72","3016730072","R6B",,,,,,,,,,"17A",,
"3","6118","67","3061180067","R5B",,,,,,"BR",,,,"22B",,
"3","7145","77","3071450077","R5",,,,,,,,,,"28C",,
"4","4170","20","4041700020","R4A",,,,,,,,,,"10A",,
"4","13553","39","4135530039","R3A",,,,,,,,,,"19B",,
"2","3678","48","2036780048","R4",,,,,,,,,,"7A",,
"3","2465","14","3024650014","C8-2",,,,,,,,,,"13B",,
"3","5457","41","3054570041","R5",,,,,,,,,,"22D",,
"5","2233","58","5022330058","R3X",,,,,,,,,,"20D",,
"3","823","3","3008230003","R7A",,,,"C2-4",,,,,,"22A",,
"3","5698","14","3056980014","R5",,,,"C2-3",,,,,,"22C",,
"3","6321","29","3063210029","R3X",,,,,,,,,,"22B",,
"3","8541","45","3085410045","R4",,,,,,,,,,"23B",,
"4","9118","95","4091180095","R4-1",,,,,,,,,,"18A",,
"2","3937","106","2039370106","R6",,,,,,,,,,"4B",,
"3","1805","50","3018050050","R6B",,,,,,,,,,"17A",,
"4","2931","10","4029310010","R4",,,,,,,,,,"13C",,
"4","8673","30","4086730030","R2A",,,,,,,,,,"11D",,
"1","1216","9","1012160009","R8B",,,,,,,,,,"5D",,
"1","1794","80","1017940080","M1-3/R8",,,,,,,,,,"6A",,
"2","2627","3","2026270003","R6",,,,,,,,,,"6C",,
"2","4784","41","2047840041","R4-1",,,,,,,,,,"4A",,
"3","7376","30","3073760030","R4",,,,,,,,,,"29A",,
"4","3152","6","4031520006","R3-1",,,,,,,,,,"14A",,
"4","3618","26","4036180026","R5B",,,,,,,,,,"13D",,
"4","6027","40","4060270040","R4-1",,,,,,,,,,"10C",,
"5","2705","119","5027050119",,,,,,,,,,,"26A",,
"5","3616","47","5036160047","R3X",,,,,,,,,,"27B",,
"5","7562","30","5075620030","R3X","M1-1",,,,,"SRD",,,,"32D",,
"2","5626","228","2056260228","R3A",,,,,,"CD",,,,"4D",,
"2","5647","150","2056470150","R3A",,,,,,,,,,"4C",,
"4","1122","59","4011220059","R4",,,,,,,,,,"9D",,
"4","1588","79","4015880079","R5",,,,,,,,,,"9D",,
"4","7134","68","4071340068","R2A",,,,,,,,,,"14C",,
"4","9689","40","4096890040","R5",,,,,,,,,,"14D",,
"3","1407","52","3014070052","R4",,,,,,,,,,"17B",,
"3","2262","22","3022620022","R7-1",,,,,,,,,,"12D",,
"3","6542","66","3065420066","R5",,,,,,"OP",,,,"22D",,
"4","2877","49","4028770049","R5",,,,,,,,,,"13C",,
"4","3632","23","4036320023","R5B",,,,,,,,,,"13D",,
"1","572","72","1005720072","C4-5",,,,,,"LC",,,,"12C",,
"3","2230","48","3022300048","R6",,,,,,,,,,"12D",,
"4","7452","8","4074520008","R2A",,,,,,,,,,"11B",,
"1","2138","171","1021380171","R8",,,,,,,,,,"3B",,
"3","7628","11","3076280011","R2",,,,,,,,,,"23B",,
"3","8757","28","3087570028","R3-1",,,,,,,,,,"29B",,
"2","4664","10","2046640010","R5",,,,,,,,,,"2B",,
"3","3610","53","3036100053","R6",,,,,,,,,,"17D",,
"3","6550","64","3065500064","R4-1",,,,,,,,,,"22D",,
"3","7297","12","3072970012","R5",,,,,,,,,,"29A",,
"3","7653","18","3076530018","R5",,,,,,,,,,"23B",,
"4","1718","68","4017180068","R5",,,,,,,,,,"10B",,
"5","275","103","5002750103","R3X",,,,,,,,,,"21A",,
"5","1263","24","5012630024","R3X",,,,,,,,,,"20C",,
"3","4780","66","3047800066","R4",,,,,,,,,,"23A",,
"3","5490","18","3054900018","R5",,,,,,,,,,"22D",,
"4","3834","91","4038340091","R4-1",,,,,,,,,,"14B",,
"4","9990","37","4099900037","M1-1",,,,,,,,,,"14D",,
"4","15965","110","4159650110","R4-1",,,,,,"CR-5",,,,"31A",,
"5","751","193","5007510193","R3-1",,,,,,,,,,"20D",,
"5","3374","48","5033740048","R3-1",,,,,,,,,,"27C",,
"2","3712","20","2037120020","R6",,,,,,,,,,"6C",,
"3","794","51","3007940051","R6B",,,,,,,,,,"22A",,
"3","5741","64","3057410064","M1-1",,,,,,,,,,"22D",,
"4","3196","15","4031960015","R3A",,,,,,,,,,"14B",,
"4","8931","1","4089310001","R6A",,,,"C1-4",,,,,,"18A",,
"4","16026","1","4160260001","R4-1",,,,,,,,,,"30C",,
"3","5193","37","3051930037","R6",,,,,,,,,,"23A",,
"4","4819","12","4048190012","R4A",,,,,,,,,,"10C",,
"4","9311","9","4093110009","R3-1",,,,,,,,,,"18A",,
"4","13308","36","4133080036","R3-2",,,,,,,,,,"19B",,
"2","2889","44","2028890044","M1-1",,,,,,,,,,"3D",,
"3","2550","75","3025500075","R6B",,,,,,,,,,"12C",,
"3","4452","620","3044520620","R6",,,,,,,,,,"17D",,
"3","6235","36","3062350036","R4","R5",,,,,,,,,"22B",,
"3","6869","59","3068690059","R5",,,,,,,,,,"28C",,
"3","7320","20","3073200020","R5",,,,,,,,,,"29A",,
"3","7677","87","3076770087","R3-2",,,,,,,,,,"23B",,
"4","616","78","4006160078","R6A",,,,"C1-3",,,,,,"9A",,
"4","2150","1","4021500001","R7-1",,,,,,,,,,"14A",,
"4","2794","33","4027940033","R4-1",,,,,,,,,,"13C",,
"4","7954","5","4079540005","R2A",,,,,,,,,,"15A",,
"2","5054","21","2050540021","R4A",,,,,,,,,,"2A",,
"2","5622","200","2056220200","PARK",,,,,,,,,,"7A",,
"3","3688","7","3036880007","R6B",,,,,,,,,,"17C",,
"4","8905","40","4089050040","R3-1",,,,,,,,,,"18A",,
"5","317","75","5003170075","R2",,,,,,,,,,"21B",,
"2","2643","42","2026430042","R7-1",,,,"C1-4",,,,,,"6C",,
"2","4454","43","2044540043","R4A",,,,,,,,,,"4A",,
"3","6903","1","3069030001","R5",,,,,,,,,,"28C",,
"3","5437","71","3054370071","R5",,,,,,,,,,"22C",,
"3","7790","25","3077900025","R4",,,,,,,,,,"23A",,
"4","13554","59","4135540059","R3A",,,,,,,,,,"19B",,
"5","1227","105","5012270105","R3A",,,,,,,,,,"20C",,
"5","2368","54","5023680054","R3-1",,,,,,,,,,"26C",,
"3","834","55","3008340055","R6B",,,,,,,,,,"22A",,
"3","3312","23","3033120023","R6",,,,,,,,,,"13B",,
"3","7443","71","3074430071","R4",,,,,,,,,,"29A",,
"4","532","40","4005320040","R5B","R7X",,,"C2-3",,,,,,"9A",,
"4","2241","25","4022410025","R1-2A",,,,,,,,,,"14A",,
"4","2874","34","4028740034","R6",,,,,,,,,,"13C",,
"2","4962","33","2049620033","R4A",,,,,,,,,,"2B",,
"3","5554","5","3055540005","C4-2",,,,,,,,,,"22D",,
"3","5449","24","3054490024","R5",,,,,,,,,,"22C",,
"4","4004","53","4040040053","R4A",,,,,,,,,,"7B",,
"4","9187","29","4091870029","R6A","R3X",,,"C2-4",,,,,,"14B",,
"2","2869","28","2028690028","R7-1",,,,,,,,,,"3A",,
"3","1216","46","3012160046","R6",,,,,,,,,,"17A",,
"3","1952","65","3019520065","R6B",,,,,,,,,,"16C",,
"3","5288","83","3052880083","M1-2",,,,,,,,,,"22C",,
"3","6643","23","3066430023","R5B",,,,,,,,,,"28C",,
"3","8183","54","3081830054","R4-1",,,,,,,,,,"23C",,
"4","865","61","4008650061","R5B",,,,,,,,,,"9A",,
"5","1521","39","5015210039","R3X",,,,,,,,,,"20D",,
"2","3097","74","2030970074","R7-1",,,,,,,,,,"3C",,
"3","1498","52","3014980052","R6",,,,,,,,,,"17A",,
"3","6532","48","3065320048","R5",,,,,,"OP",,,,"22D",,
"4","4267","3","4042670003","R4A",,,,,,,,,,"10A",,
"4","7341","2","4073410002","R4B",,,,,,,,,,"11B",,
"3","7037","45","3070370045","R3-1",,,,,,,,,,"28B",,
"5","5095","26","5050950026","R3-1",,,,,,"SRD",,,,"33C",,
"3","1468","80","3014680080","R6",,,,,,,,,,"17B",,
"3","8273","220","3082730220","R5",,,,,,,,,,"23C",,
"4","3202","57","4032020057","R4B",,,,,,,,,,"14A",,
"5","1082","48","5010820048","R3A",,,,,,,,,,"20C",,
"1","1137","1","1011370001","C4-7",,,,,,"L",,,,"8C",,
"3","6131","9","3061310009","R4B",,,,,,"BR",,,,"22B",,
"3","8377","41","3083770041","R5",,,,,,,,,,"23B",,
"4","1206","35","4012060035","R4",,,,,,,,,,"9D",,
"4","3523","116","4035230116","R5B",,,,,,,,,,"13D",,
"4","8978","50","4089780050","R3-1",,,,,,,,,,"18A",,
"4","9386","19","4093860019","R4-1",,,,,,,,,,"18A",,
"5","622","104","5006220104","R3A","R3-1",,,"C1-2",,"HS",,,,"21D",,
"3","5863","55","3058630055","R5B",,,,,,"BR",,,,"22A",,
"4","9721","229","4097210229","R1-2",,,,,,,,,,"14D",,
"5","3227","52","5032270052","R2",,,,,,,,,,"27C",,
"3","3349","29","3033490029","R6",,,,,,,,,,"17A",,
"4","6982","16","4069820016","R4",,,,,,,,,,"14C",,
"3","1282","56","3012820056","R6",,,,,,,,,,"17B",,
"3","2654","18","3026540018","R6B",,,,,,,,,,"13A",,
"3","5664","49","3056640049","R6",,,,,,,,,,"22C",,
"3","7083","1","3070830001","R5B",,,,,,,,,,"28C",,
"3","7841","45","3078410045","R3-2",,,,,,,,,,"23B",,
"4","14179","45","4141790045","R3X",,,,,,,,,,"18B",,
"4","7446","15","4074460015","R2A",,,,,,,,,,"11B",,
"4","15932","66","4159320066","R6",,,,,,,,,,"30C",,
"2","5453","155","2054530155","R4",,,,,,,,,,"7C",,
"2","5625","364","2056250364","R3A",,,,,,,,,,"4D",,
"4","605","6","4006050006","R5",,,,"C1-2",,,,,,"9B",,
"4","1106","38","4011060038","R3X",,,,,,,,,,"9C",,
"4","2334","13","4023340013","R4B",,,,"C1-2",,,,,,"13C",,
"4","4477","10","4044770010","R2A",,,,,,,,,,"7D",,
"2","5599","32","2055990032","R3-2",,,,,,,,,,"7A",,
"2","5648","251","2056480251","R2",,,,,,,,,,"4C",,
"4","1089","58","4010890058","R3X",,,,,,,,,,"9C",,
"4","5237","8","4052370008","R3-2",,,,,,,,,,"10C",,
"5","132","23","5001320023","R2",,,,,,,,,,"21A",,
"3","1052","53","3010520053","C4-3A",,,,,,,,,,"16D",,
"3","1378","71","3013780071","R6",,,,,,,,,,"17B",,
"3","4174","5","3041740005","R5",,,,,,,,,,"18A",,
"3","5751","53","3057510053","R5B",,,,,,,,,,"22A",,
"3","8055","70","3080550070","R4A",,,,,,,,,,"23C",,
"4","48","31","4000480031","M1-4",,,,,,,,,,"9B",,
"4","803","73","4008030073","R5D",,,,"C2-3",,,,,,"9C",,
"4","3362","14","4033620014","R5B",,,,"C2-4",,,,,,"13D",,
"4","5337","8","4053370008","R5B",,,,,,,,,,"10C",,
"3","3764","2","3037640002","M1-1",,,,,,,,,,"17D",,
"3","5198","12","3051980012","R3X",,,,,,,,,,"22C",,
"3","6900","59","3069000059","R5",,,,,,,,,,"28C",,
"3","8416","33","3084160033","R5",,,,,,,,,,"23D",,
"4","3908","1","4039080001","M2-1",,,,,,,,,,"7B",,
"4","6299","4","4062990004","R4",,,,,,,,,,"11A",,
"4","7045","42","4070450042","R4B",,,,,,,,,,"14C",,
"5","710","23","5007100023","R3-1",,,,,,,,,,"21B",,
"5","5282","21","5052820021","R3A",,,,,,"SRD",,,,"33C",,
"3","4722","36","3047220036","R5",,,,,,,,,,"23A",,
"4","3038","37","4030380037","R4B",,,,,,,,,,"13C",,
"4","6288","17","4062880017","R4",,,,,,,,,,"11A",,
"5","1222","56","5012220056","R3-2",,,,,,,,,,"20C",,
"2","4220","29","2042200029","M1-1",,,,,,,,,,"4A",,
"2","4743","63","2047430063","R5",,,,"C2-2",,,,,,"2B",,
"3","5851","22","3058510022","R4A",,,,,,"BR",,,,"22A",,
"4","3151","78","4031510078","R3-1",,,,,,,,,,"14A",,
"4","3612","52","4036120052","R5B",,,,,,,,,,"13D",,
"4","6664","14","4066640014","R4",,,,,,,,,,"14C",,
"4","8147","48","4081470048","R2A",,,,,,,,,,"11A",,
"5","2371","132","5023710132","R3-1",,,,,,,,,,"26C",,
"2","3046","2","2030460002","R5",,,,,,,,,,"3C",,
"4","8448","108","4084480108","R1-2A",,,,,,,,,,"11D",,
"2","5652","89","2056520089","R2",,,,,,,,,,"2D",,
"3","8182","64","3081820064","R4-1",,,,,,,,,,"23C",,
"5","4046","10","5040460010","R3-1",,,,,,,,,,"27B",,
"3","1164","38","3011640038","R6B",,,,,,,,,,"16C",,
"3","5305","20","3053050020","R5",,,,,,,,,,"22C",,
"4","1169","3","4011690003","R4",,,,,,,,,,"9D",,
"4","2490","60","4024900060","R4-1",,,,,,,,,,"13C",,
"5","3375","56","5033750056","R3-1",,,,,,,,,,"27C",,
"3","6621","28","3066210028","R5B",,,,,,,,,,"22D",,
"4","3117","40","4031170040","R3-1",,,,,,,,,,"14A",,
"4","6362","33","4063620033","R4",,,,,,,,,,"10B",,
"4","7991","27","4079910027","R2A",,,,,,,,,,"15C",,
"3","1640","59","3016400059","R6B",,,,,,,,,,"17A",,
"4","3601","34","4036010034","R4B",,,,,,,,,,"13D",,
"4","5907","1","4059070001","C3",,,,,,,,,,"11C","Y",
"4","4415","1","4044150001","R2",,,,,,,,,,"7D","Y",
"2","5606","200","2056060200",,,,,,,,,,,"7C","Y",
"5","4","150","5000040150","M3-1",,,,,,,,,,"21A","Y",
"4","1833","240","4018330240",,,,,,,,,,,"10A","Y",
"2","5607","200","2056070200","PARK",,,,,,,,,,"7A","Y",
"4","16189","1","4161890001","PARK",,,,,,,,,,"30D","Y",
"4","4158","1","4041580001","M1-1",,,,,,,,,,"10A","Y",
"4","8069","1","4080690001","R1-1",,,,,,,,,,"11A","Y",
"1","2016","67","1020160067","R7-2",,,,,,,,,,"6A","Y",
"4","11739","11","4117390011","R3A",,,,,,,,,,"18C","Y",
"3","8813","70","3088130070","R6",,,,,,,,,,"29A","Y",
"1","1900","1","1019000001","PARK",,,,,,,,,,"5C","Y",
"1","1110","1","1011100001","M2-3",,,,,,,,,,"5D","Y",
"1","992","50","1009920050","PARK",,,,,,,,,,"12C","Y",
"1","1803","60","1018030060","M2-2",,,,,,,,,,"6A","Y",
"3","8591","110","3085910110",,,,,,,,,,,"29C","Y",
"1","1819","100","1018190100","M3-1",,,,,,,,,,"6B","Y",
"3","8813","72","3088130072","R5",,,,,,,,,,"29B","Y",
"5","2","830","5000020830","M1-1",,,,,,,,,,"21C","Y",
"3","982","3","3009820003","R6A",,,,"C1-4",,,,,,"16C",,
"1","1785","43","1017850043","C4-6","R7A",,,"C1-5",,"EHC",,,,"6B",,
"1","1874","43","1018740043","R9A","R8B",,,"C1-5",,"EC-3",,,,"5D",,
"2","2846","37","2028460037","R8A","R8",,,"C1-4",,"J",,,,"3B",,
"4","4086","5","4040860005","R4A",,,,"C2-3",,,,,,"7B",,
"1","386","33","1003860033","R8B","R7A",,,"C2-5",,,,,,"12C",,
"1","429","21","1004290021","R8A","R8B",,,"C2-5",,,,,,"12C",,
"1","457","1","1004570001","C6-1","R8B",,,"C2-5",,,,,,"12C",,
"1","527","1","1005270001","R7-2","R6",,,"C1-5",,,,,,"12A",,
"1","1945","25","1019450025","R7A","R8A",,,"C1-4",,,,,,"6A",,
"1","2079","1","1020790001","R8","R6A",,,"C1-4",,,,,,"3B",,
"2","3349","46","2033490046","R5D","R5A",,,"C1-4",,,,,,"1D",,
"2","3353","7","2033530007","R5D","R5B",,,"C1-4",,,,,,"1D",,
"2","3861","120","2038610120","R6","C8-1",,,"C2-2",,,,,,"3D",,
"2","3988","14","2039880014","R5A","R6",,,"C1-4",,,,,,"4B",,
"2","4167","21","2041670021","R5A","R7-1",,,"C1-4",,,,,,"4B",,
"2","4168","44","2041680044","R7-1","R5",,,"C1-4",,,,,,"4B",,
"2","4639","17","2046390017","R6A","R5",,,"C1-4",,,,,,"2B",,
"2","4665","61","2046650061","R7A","R5",,,"C2-4",,,,,,"2B",,
"2","4845","31","2048450031","R5","R6",,,"C1-4",,,,,,"2B",,
"2","4877","1","2048770001","R5D","R4",,,"C1-4",,,,,,"2B",,
"2","4903","42","2049030042","R5D","R5",,,"C1-4",,,,,,"2B",,
"3","2379","13","3023790013","M1-2/R6A","R6A",,,"C2-4",,"MX-8",,,,"12C",,
"3","3939","1","3039390001","R4","R6B",,,"C2-4",,"EC-6",,,,"17C",,
"3","3941","18","3039410018","R6A","R4",,,"C2-4",,"EC-6",,,,"17C",,
"3","5919","48","3059190048","R6B","R5B",,,"C1-3",,"BR",,,,"22A",,
"3","8796","148","3087960148","R4-1","R5",,,"C2-2",,"SB",,,,"29A",,
"2","5070","25","2050700025","R6","R5",,,"C2-2",,,,,,"2A",,
"2","5543","44","2055430044","R4-1","R3A",,,"C2-2",,,,,,"4B",,
"2","5814","1401","2058141401","R4","R6",,,"C2-2",,,,,,"1C","Y",
"3","737","35","3007370035","R6B","R7A",,,"C2-4",,,,,,"16B",,
"3","930","32","3009300032","R6B","R6A",,,"C1-4",,,,,,"16C",,
"3","933","31","3009330031","R7A","R6B",,,"C2-4",,,,,,"16C",,
"3","934","47","3009340047","R6B","R6A",,,"C1-4",,,,,,"16C",,
"3","975","11","3009750011","R6B","R6A",,,"C1-4",,,,,,"16C",,
"3","1061","12","3010610012","R7B","R6A",,,"C1-3",,,,,,"16C",,
"3","1247","54","3012470054","R6B","R6A",,,"C2-4",,,,,,"17A",,
"3","1776","74","3017760074","R6A","R6B",,,"C2-4",,,,,,"17A",,
"3","1822","102","3018220102","R6B","R6A",,,"C2-4",,,,,,"17A",,
"3","1888","93","3018880093","R7A","R6B",,,"C2-4",,,,,,"12D","Y",
"3","1889","94","3018890094","R7A","R6B",,,"C2-4",,,,,,"12D","Y",
"3","2014","19","3020140019","R7A","R6B",,,"C2-4",,,,,,"16C",,
"3","2114","23","3021140023","R7A","R6B",,,"C2-4",,,,,,"16C",,
"3","2744","30","3027440030","R6A","R6B",,,"C2-4",,,,,,"13A",,
"3","2755","12","3027550012","R6A","R6B",,,"C2-4",,,,,,"13A",,
"3","3812","131","3038120131","R6","R7-2",,,"C2-4",,,,,,"17D",,
"3","3973","5","3039730005","R6B","R6A",,,"C2-4",,,,,,"17C",,
"3","5153","29","3051530029","R4A","R6A",,,"C2-4",,,,,,"22C",,
"3","7343","5","3073430005","R5","R6A",,,"C1-3",,,,,,"28C",,
"3","7404","46","3074040046","R7A","R4",,,"C1-2",,,,,,"29A",,
"3","7683","34","3076830034","R2","R4",,,"C2-2",,,,,,"23B",,
