"system","df_activated","fountaintype","fountaincount","painted","filter_installed","position","outdoor","gispropnum","propertyname","omppropid","subpropertyname","parkdistrict","borough","ampsid","ampsclass","ampsstatus","ampsparentid","ampsname","communityboard","councildistrict","precinct","zipcode","x","y"
"B058-DF0219","Activated","Bottle Filler High Low","3","false","false","Under Tree, Near Ballfield","true","B058","McCarren Park","B058-ZN02","McCarren Park Zone 2","B-01","B","100037656","DRINKFTN","I","B058-ZN02","Bottle Filler High Low-McCarren Park-McCarren Park Zone 2","301","33","94","11211","997555.283416807","201374.966722399"
"B058-DF0221","Activated","C","1","true","false","Out in Open, In Playground","true","B058","McCarren Park","B058-ZN01","McCarren Park Zone 1","B-01","B","100037602","DRINKFTN","I","B058-ZN01","C-McCarren Park-McCarren Park Zone 1","301","33","94","11222","998277.370227217","201319.643670305"
"B058-DF0404","Activated","A","1","false","false","Under Tree, In Shade, In Playground","true","B058","McCarren Park","B058-01","Vincent V Abate Plgd","B-01","B","100037940","DRINKFTN","I","B058-01","A-McCarren Park-Vincent V Abate Plgd","301","33","94","11222","998118.628746807","202173.314207062"
"B058-DF0405","Activated","A","1","false","false","Under Tree, In Playground","true","B058","McCarren Park","B058-01","Vincent V Abate Plgd","B-01","B","100037967","DRINKFTN","I","B058-01","A-McCarren Park-Vincent V Abate Plgd","301","33","94","11222","998079.125544965","201935.839288309"
"B058-DF0406","Activated","A","1","false","false","Just Outside Playground","true","B058","McCarren Park","B058-01","Vincent V Abate Plgd","B-01","B","100037910","DRINKFTN","I","B058-01","A-McCarren Park-Vincent V Abate Plgd","301","33","94","11222","998232.441511303","202012.465119317"
"B058-DF0407","Activated","C","1","false","false","Under Tree, Just Outside Playground","true","B058","McCarren Park","B058-01","Vincent V Abate Plgd","B-01","B","100037934","DRINKFTN","I","B058-01","C-McCarren Park-Vincent V Abate Plgd","301","33","94","11222","998174.309409722","201878.701935395"
"B058-DF0798","Broken","A","1","true","false","Near Ballfield","true","B058","McCarren Park","B058-ZN04","McCarren Park Zone 4","B-01","B","100039549","DRINKFTN","I","B058-ZN04","A-McCarren Park-McCarren Park Zone 4","301","33","94","11249","996730.892677143","202240.516172394"
"B058-DF0877","Activated","Bottle Filler","1","false","false","Out in Open","true","B058","McCarren Park","B058-ZN04","McCarren Park Zone 4","B-01","B","100040270","DRINKFTN","I","B058-ZN04","Bottle Filler-McCarren Park-McCarren Park Zone 4","301","33","94","11249","996963.19109705","202132.331677481"
"B058-DF1008","Activated","Bottle Filler High Low","3",,"false",,"true","B058","McCarren Park","B058-ZN02","McCarren Park Zone 2","B-01","B","100042970","DRINKFTN","I","B058-ZN02","Bottle Filler High Low-McCarren Park-McCarren Park Zone 2","301","33","94","11211","997916.393915057","201616.874703139"
"B058-DF1028","Activated","Food Prep Sink","1",,"false","Indoor","false","B058","McCarren Park","B058",,"B-01","B","100042949","DRINKFTN","I","B058-ZN01-BLG0984","Food Prep Sink-McCarren Park-McCarren Play Center","301","33","94","11222","998129.275050968","201625.673241972"
"B058-DF1029","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B058","McCarren Park","B058",,"B-01","B","100042981","DRINKFTN","I","B058-ZN01-BLG0984","Indoor Drinking Fountain-McCarren Park-McCarren Play Center","301","33","94","11222","998129.275050968","201625.673241972"
"B058-DF1030","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B058","McCarren Park","B058",,"B-01","B","100042948","DRINKFTN","I","B058-ZN01-BLG0984","Indoor Drinking Fountain-McCarren Park-McCarren Play Center","301","33","94","11222","998129.275050968","201625.673241972"
"B058-DF1031","Activated","Food Prep Sink","1",,"false","Indoor","false","B058","McCarren Park","B058",,"B-01","B","100042961","DRINKFTN","I","B058-ZN01-BLG0984","Food Prep Sink-McCarren Park-McCarren Play Center","301","33","94","11222","998129.275050968","201625.673241972"
"B058-DF1032","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B058","McCarren Park","B058",,"B-01","B","100042940","DRINKFTN","I","B058-ZN01-BLG0984","Indoor Drinking Fountain-McCarren Park-McCarren Play Center","301","33","94","11222","998129.275050968","201625.673241972"
"B058-DF1033","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B058","McCarren Park","B058",,"B-01","B","100042982","DRINKFTN","I","B058-ZN01-BLG0984","Indoor Drinking Fountain-McCarren Park-McCarren Play Center","301","33","94","11222","998129.275050968","201625.673241972"
"B058-DF1034","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B058","McCarren Park","B058",,"B-01","B","100042944","DRINKFTN","I","B058-ZN01-BLG0984","Indoor Drinking Fountain-McCarren Park-McCarren Play Center","301","33","94","11222","998129.275050968","201625.673241972"
"B058-DF1035","NotYetActivated","Indoor Drinking Fountain","1",,"true","Indoor","false","B058","McCarren Park","B058",,"B-01","B","100042331","DRINKFTN","I","B058-ZN01-BLG0984","Indoor Drinking Fountain-McCarren Park-McCarren Play Center","301","33","94","11222","998129.275050968","201625.673241972"
"B058-DF1036","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B058","McCarren Park","B058",,"B-01","B","100042959","DRINKFTN","I","B058-ZN01-BLG0984","Indoor Drinking Fountain-McCarren Park-McCarren Play Center","301","33","94","11222","998129.275050968","201625.673241972"
"B058-DF1039","Activated","Food Prep Sink","1",,"false","Indoor","false","B058","McCarren Park","B058",,"B-01","B","100042966","DRINKFTN","I","B058-ZN01-BLG0984","Food Prep Sink-McCarren Park-McCarren Play Center","301","33","94","11222","998129.275050968","201625.673241972"
"B060-DF0748","Activated","A","1","false","false","Near Ballfield","true","B060","McKinley Park","B060",,"B-10","B","100039274","DRINKFTN","I","B060","A-McKinley Park","310","43","68","11228","979274.308823972","167306.068652972"
"B060-DF0749","Broken","F High Low","2","false","false","Near Ballfield","true","B060","McKinley Park","B060",,"B-10","B","100039240","DRINKFTN","I","B060","F High Low-McKinley Park","310","43","68","11228","979359.403141975","167140.369837388"
"B060-DF0750","Broken","F High Low","2","false","false","Near Ballfield","true","B060","McKinley Park","B060",,"B-10","B","100039276","DRINKFTN","I","B060","F High Low-McKinley Park","310","43","68","11228","979356.18333213","167056.065872147"
"B060-DF0751","Activated","A","1","false","false","Near Ballfield","true","B060","McKinley Park","B060",,"B-10","B","100039227","DRINKFTN","I","B060","A-McKinley Park","310","43","68","11228","979472.989857047","167184.100721061"
"B113A-DF1017","Broken","A","1",,"false",,"true","B113A","Cadman Plaza Park","B113A",,"B-02","B","100043005","DRINKFTN","I","B113A","A-Cadman Plaza Park","302","33","84","11201","986918.368995145","193852.273762553"
"B060-DF0752","Activated","A","1","false","false","In Playground","true","B060","McKinley Park","B060-01","McKinley Park Playground","B-10","B","100039264","DRINKFTN","I","B060-01","A-McKinley Park-McKinley Park Playground","310","43","68","11228","979690.505170047","167454.270784392"
"B060-DF0753","Activated","C","1","false","false","In Playground","true","B060","McKinley Park","B060-01","McKinley Park Playground","B-10","B","100039248","DRINKFTN","I","B060-01","C-McKinley Park-McKinley Park Playground","310","43","68","11228","979553.979196384","167536.626590803"
"B060-DF0755","Activated","A","1","false","false","Out in Open","true","B060","McKinley Park","B060",,"B-10","B","100039226","DRINKFTN","I","B060","A-McKinley Park","310","43","68","11228","979487.48982805","167910.910619139"
"B061-DF0968","Activated","A","1",,"false",,"true","B061","McLaughlin Park","B061",,"B-02","B","100042953","DRINKFTN","I","B061","A-McLaughlin Park","302","33","84","11201","988257.533639639","193109.265406057"
"B061-DF0969","Activated","A","1",,"false",,"true","B061","McLaughlin Park","B061",,"B-02","B","100042984","DRINKFTN","I","B061","A-McLaughlin Park","302","33","84","11201","988185.398285224","193049.982388138"
"B061-DF0970","Activated","C","1",,"false",,"true","B061","McLaughlin Park","B061",,"B-02","B","100042960","DRINKFTN","I","B061","C-McLaughlin Park","302","33","84","11201","988045.7532233","193072.372107148"
"B061-DF0971","Activated","C","1",,"false",,"true","B061","McLaughlin Park","B061",,"B-02","B","100042939","DRINKFTN","I","B061","C-McLaughlin Park","302","33","84","11201","988150.257607474","193036.084778144"
"B061-DF0972","Activated","C","1",,"false",,"true","B061","McLaughlin Park","B061",,"B-02","B","100042956","DRINKFTN","I","B061","C-McLaughlin Park","302","33","84","11201","988068.267942056","192970.502560228"
"B061-DF0973","Activated","C","1",,"false",,"true","B061","McLaughlin Park","B061",,"B-02","B","100042947","DRINKFTN","I","B061","C-McLaughlin Park","302","33","84","11201","987951.664500728","193090.879944145"
"B061-DF0974","Activated","C","1",,"false",,"true","B061","McLaughlin Park","B061",,"B-02","B","100042979","DRINKFTN","I","B061","C-McLaughlin Park","302","33","84","11201","987958.561796635","192976.227614387"
"B063-DF0768","Activated","A","1","true","true","Out in Open","true","B063","Milestone Park","B063",,"B-11","B","100039328","DRINKFTN","I","B063","A-Milestone Park","311","47","62","11214","984382.35635063","161345.696059316"
"B066-DF0712","Activated","C","1","false","true","Under Tree","true","B066","Owl's Head Park","B066",,"B-10","B","100039141","DRINKFTN","I","B066","C-Owl's Head Park","310","43","68","11220","974943.769584804","172625.613788142"
"B066-DF0715","Activated","A","1","false","false","Just Outside Playground","true","B066","Owl's Head Park","B066",,"B-10","B","100039112","DRINKFTN","I","B066","A-Owl's Head Park","310","43","68","11220","975651.281293138","172381.386258229"
"B066-DF0716","Activated","E High Low","2","false","false","In Playground","true","B066","Owl's Head Park","B066-01","Owls Head Park","B-10","B","100039147","DRINKFTN","I","B066-01","E High Low-Owl's Head Park-Owls Head Park","310","43","68","11220","975757.822418644","172412.791707232"
"B066-DF0718","Activated","C","1","false","false","Just Outside Playground","true","B066","Owl's Head Park","B066-01","Owls Head Park","B-10","B","100039143","DRINKFTN","I","B066-01","C-Owl's Head Park-Owls Head Park","310","43","68","11220","975880.560034051","172637.995653137"
"B066-DF0720","Activated","E","1","false","false","Out in Open","true","B066","Owl's Head Park","B066",,"B-10","B","100039192","DRINKFTN","I","B066","E-Owl's Head Park","310","43","68","11220","974578.421890303","172565.491204977"
"B066-DF0721","Activated","E and Dog","2","false","false","Out in Open","true","B066","Owl's Head Park","B066",,"B-10","B","100039116","DRINKFTN","I","B066","E and Dog-Owl's Head Park","310","43","68","11220","974546.145708143","172520.415507733"
"B066-DF0878","Activated","A","1","false","false","In Playground","true","B066","Owl's Head Park","B066-02","Owls Head Park","B-10","B","100040203","DRINKFTN","I","B066-02","A-Owl's Head Park-Owls Head Park","310","43","68","11220","975695.365522548","172223.074566975"
"B068-DF0331","Activated","A","1","false","false","Under Tree, Near Ballfield, In Shade","true","B068","Parade Ground","B073-ZN27","West Parade Grounds","B-14","B","100037840","DRINKFTN","I","B073-ZN27","A-Parade Ground-West Parade Grounds","314","40","70","11226","992556.823597475","175800.209801137"
"B068-DF0332","Activated","A","1",,"false","Under Tree, Near Ballfield, In Shade","true","B068","Parade Ground","B073-ZN27","West Parade Grounds","B-14","B","100037867","DRINKFTN","I","B073-ZN27","A-Parade Ground-West Parade Grounds","314","40","70","11226","992681.032994717","175760.044199064"
"B068-DF0333","Activated","A","1","false","false","Under Tree, Near Ballfield","true","B068","Parade Ground","B073-ZN27","West Parade Grounds","B-14","B","100037810","DRINKFTN","I","B073-ZN27","A-Parade Ground-West Parade Grounds","314","40","70","11226","993026.78459981","176212.645656064"
"B068-DF0334","Activated","A","1","false","false","Out in Open, Near Ballfield","true","B068","Parade Ground","B073-ZN27","West Parade Grounds","B-14","B","100037834","DRINKFTN","I","B073-ZN27","A-Parade Ground-West Parade Grounds","314","40","70","11226","993090.357635393","176089.280089139"
"B068-DF0335","Activated","A","1","false","false","Out in Open, Near Ballfield","true","B068","Parade Ground","B073-ZN28","East Parade Grounds","B-14","B","100037863","DRINKFTN","I","B073-ZN28","A-Parade Ground-East Parade Grounds","314","40","70","11226","993150.223001226","176179.240539148"
"B068-DF0336","Activated","A","1","false","false","Out in Open, Near Ballfield","true","B068","Parade Ground","B073-ZN28","East Parade Grounds","B-14","B","100037807","DRINKFTN","I","B073-ZN28","A-Parade Ground-East Parade Grounds","314","40","70","11226","993319.909341633","176267.723629891"
"B068-DF0337","Activated","E","1","true","false","Out in Open, Near Ballfield","true","B068","Parade Ground","B073-ZN28","East Parade Grounds","B-14","B","100037830","DRINKFTN","I","B073-ZN28","E-Parade Ground-East Parade Grounds","314","40","70","11226","993615.446480214","176656.451526969"
"B068-DF0338","Activated","E","1","true","false","In Playground, Out in Open","true","B068","Parade Ground","B068-01","Detective Dillon Stewart Plgd","B-14","B","100037877","DRINKFTN","I","B068-01","E-Parade Ground-Detective Dillon Stewart Plgd","314","40","70","11226","993846.237685307","176671.55254665"
"B068-DF0339","Activated","E","1","true","false","Under Tree, In Shade, In Playground","true","B068","Parade Ground","B068-01","Detective Dillon Stewart Plgd","B-14","B","100037800","DRINKFTN","I","B068-01","E-Parade Ground-Detective Dillon Stewart Plgd","314","40","70","11226","993912.487224727","176478.457132309"
"B068-DF0340","Activated","A","1","false","false","Out in Open, Near Ballfield","true","B068","Parade Ground","B073-ZN28","East Parade Grounds","B-14","B","100037836","DRINKFTN","I","B073-ZN28","A-Parade Ground-East Parade Grounds","314","40","70","11226","993658.324347227","177111.07857047"
"B068-DF0342","Activated","A","1","false","false","Under Tree, Near Ballfield, In Shade","true","B068","Parade Ground","B073-ZN28","East Parade Grounds","B-14","B","100037886","DRINKFTN","I","B073-ZN28","A-Parade Ground-East Parade Grounds","314","40","70","11226","993552.404283464","177148.340306982"
"B068-DF0343","Activated","Bottle Filler Fountain","2","false","false","Under Tree, Near Ballfield","true","B068","Parade Ground","B073-ZN28","East Parade Grounds","B-14","B","100037832","DRINKFTN","I","B073-ZN28","Bottle Filler Fountain-Parade Ground-East Parade Grounds","314","40","70","11226","993210.017501056","176451.113683059"
"B068-DF0344","Activated","A","1","false","false","Out in Open, Near Ballfield","true","B068","Parade Ground","B073-ZN28","East Parade Grounds","B-14","B","100037859","DRINKFTN","I","B073-ZN28","A-Parade Ground-East Parade Grounds","314","40","70","11226","993565.95707789","176781.080542802"
"B068-DF0345","Activated","A","1","false","false","Out in Open, Near Ballfield","true","B068","Parade Ground","B073-ZN28","East Parade Grounds","B-14","B","100037883","DRINKFTN","I","B073-ZN28","A-Parade Ground-East Parade Grounds","314","40","70","11226","993667.49690105","176743.590460315"
"B068-DF0346","Activated","E","1","false","false","Out in Open, Near Ballfield","true","B068","Parade Ground","B073-ZN28","East Parade Grounds","B-14","B","100037829","DRINKFTN","I","B073-ZN28","E-Parade Ground-East Parade Grounds","314","40","70","11226","993100.98228605","176449.331206306"
"B068-DF0347","Activated","E","1","false","false","Out in Open, Near Ballfield","true","B068","Parade Ground","B073-ZN28","East Parade Grounds","B-14","B","100037856","DRINKFTN","I","B073-ZN28","E-Parade Ground-East Parade Grounds","314","40","70","11226","993006.246911227","176487.471221894"
"B068-DF0349","Activated","A","1","false","false","Out in Open, Near Ballfield","true","B068","Parade Ground","B073-ZN27","West Parade Grounds","B-14","B","100037861","DRINKFTN","I","B073-ZN27","A-Parade Ground-West Parade Grounds","314","40","70","11226","992484.244346305","176114.247230812"
"B068-DF0350","Activated","A","1","false","false","Under Tree, Near Ballfield","true","B068","Parade Ground","B073-ZN27","West Parade Grounds","B-14","B","100037884","DRINKFTN","I","B073-ZN27","A-Parade Ground-West Parade Grounds","314","40","70","11226","992379.057220727","176145.397430971"
"B068-DF0351","Activated","A","1","false","true","Out in Open, Near Ballfield","true","B068","Parade Ground","B073-ZN27","West Parade Grounds","B-14","B","100037853","DRINKFTN","I","B073-ZN27","A-Parade Ground-West Parade Grounds","314","40","70","11226","992745.836014717","176576.65969181"
"B068-DF0352","Activated","A","1","false","true","Out in Open, Near Ballfield","true","B068","Parade Ground","B073-ZN27","West Parade Grounds","B-14","B","100037875","DRINKFTN","I","B073-ZN27","A-Parade Ground-West Parade Grounds","314","40","70","11226","992853.703909218","176548.478973895"
"B068-DF0513","Activated","E","1","false","false","Out in Open","true","B068","Parade Ground","B073-ZN27","West Parade Grounds","B-14","B","100038196","DRINKFTN","I","B073-ZN27","E-Parade Ground-West Parade Grounds","314","40","70","11226","992600.539717391","175712.686354145"
"B068-DF1059","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B068","Parade Ground","B068",,"B-14","B","100042943","DRINKFTN","I","B073-ZN27-BLG1163","Indoor Drinking Fountain-Parade Ground-TENNIS CENTER","314","40","70","11226","992500.63407731","176549.87464039"
"B068-DF1064","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B068","Parade Ground","B073-ZN27","West Parade Grounds","B-14","B","100042973","DRINKFTN","I","B073-ZN27-BLG1164","Indoor Drinking Fountain-Parade Ground-PARADE GROUND","314","40","70","11226","992290.250639811","176005.84980981"
"B068-DF1065","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B068","Parade Ground","B073-ZN27","West Parade Grounds","B-14","B","100042955","DRINKFTN","I","B073-ZN27-BLG1165","Indoor Drinking Fountain-Parade Ground-BOWLING GREEN","314","40","70","11226","992246.516803383","175614.206236138"
"B068-DF1126","Activated","Food Prep Sink","1",,"false","Indoor","false","B068","Parade Ground","B068",,"B-14","B","100042482","DRINKFTN","I","B073-ZN27-BLG1163","Food Prep Sink-Parade Ground-TENNIS CENTER","314","40","70","11226","992500.07600756","176550.24537456"
"B073-DF0287","Activated","D","1",,"false","In Playground","true","B073","Prospect Park","B073-10","Lincoln Rd Plgd","B-19","B","100037748","DRINKFTN","I","B073-10","D-Prospect Park-Lincoln Rd Plgd","355","39","78","11215","994396.397346138","179975.743116721"
"B073-DF0288","Activated","CS Concrete","1","false","true","Just Outside Playground","true","B073","Prospect Park","B073-ZN10","Willink Hill","B-19","B","100037770","DRINKFTN","I","B073-ZN10","CS Concrete-Prospect Park-Willink Hill","355","39","78","11215","994361.606077134","179915.707475647"
"B073-DF0289","Broken","B","1","false","false","Out in Open","true","B073","Prospect Park","B073-ZN11","The Zoo, Lefferts Homestead, Carousel","B-19","B","100037715","DRINKFTN","I","B073-ZN11","B-Prospect Park-The Zoo, Lefferts Homestead, Carousel","355","39","78","11215","994252.946517556","181034.126498639"
"B073-DF0290","Activated","Bottle Filler Fountain","2","false","false","Out in Open","true","B073","Prospect Park","B073-ZN23","Lullwater & Boathouse","B-19","B","100037741","DRINKFTN","I","B073-ZN23","Bottle Filler Fountain-Prospect Park-Lullwater & Boathouse","355","39","78","11215","993842.199635639","180630.278553053"
"B073-DF0297","Activated","E","1","false","false","Out in Open","true","B073","Prospect Park","B073-ZN01","Main Entrance","B-19","B","100037768","DRINKFTN","I","B073-ZN01","E-Prospect Park-Main Entrance","355","39","78","11215","992450.853008881","184148.417514145"
"B073-DF0302","Activated","C","1","false","false","Out in Open","true","B073","Prospect Park","B073-ZN13","Upper Long Meadow","B-19","B","100037733","DRINKFTN","I","B073-ZN13","C-Prospect Park-Upper Long Meadow","355","39","78","11215","992115.003943055","182939.50785847"
"B073-DF0304","Activated","A","1","false","false","Out in Open","true","B073","Prospect Park","B073-ZN13","Upper Long Meadow","B-19","B","100037701","DRINKFTN","I","B073-ZN13","A-Prospect Park-Upper Long Meadow","355","39","78","11215","992149.204005882","181941.083346143"
"B073-DF0305","Activated","Indoor Drinking Fountain","1","false","false","Out in Open","false","B073","Prospect Park","B073-ZN14","Middle Long Meadow","B-19","B","100037726","DRINKFTN","I","B073-ZN14-BLG1239","Indoor Drinking Fountain-Prospect Park-PICNIC HOUSE","355","39","78","11215","992132.624970808","181762.607981309"
"B073-DF0307","Activated","B","1",,"false","Out in Open","true","B073","Prospect Park","B073-ZN13","Upper Long Meadow","B-19","B","100037754","DRINKFTN","I","B073-ZN13","B-Prospect Park-Upper Long Meadow","355","39","78","11215","992807.883462801","183522.760628983"
"B073-DF0308","Activated","B","1","false","false","Out in Open","true","B073","Prospect Park","B073-ZN13","Upper Long Meadow","B-19","B","100037777","DRINKFTN","I","B073-ZN13","B-Prospect Park-Upper Long Meadow","355","39","78","11215","992749.371440723","182689.235065057"
"B073-DF0341","Activated","Bottle Filler High Low","3","false","false","Under Tree, Near Ballfield","true","B073","Prospect Park","B073-ZN28","East Parade Grounds","B-14","B","100037864","DRINKFTN","I","B073-ZN28","Bottle Filler High Low-Prospect Park-East Parade Grounds","314","40","70","11226","993617.336896389","177183.217533811"
"B073-DF0376","Activated","Bottle Filler Fountain","2","false","false","Out in Open","true","B073","Prospect Park","B073-ZN04","The Bandshell","B-19","B","100037878","DRINKFTN","I","B073-ZN04","Bottle Filler Fountain-Prospect Park-The Bandshell","355","39","78","11215","991537.748535886","181375.485395982"
"B073-DF0377","Activated","Bottle Filler High Low","3","false","false","Out in Open","true","B073","Prospect Park","B073-ZN04","The Bandshell","B-19","B","100037822","DRINKFTN","I","B073-ZN04","Bottle Filler High Low-Prospect Park-The Bandshell","355","39","78","11215","990131.854366049","180306.937008142"
"B073-DF0378","Activated","E High Low","2","false","false","Out in Open","true","B073","Prospect Park","B073-07","Vanderbilt Playground","B-19","B","100037849","DRINKFTN","I","B073-07","E High Low-Prospect Park-Vanderbilt Playground","355","39","78","11215","991773.330085724","177967.52108331"
,"Activated","Bottle Filler High Low",,,"false",,"true",,,,,"Q-01","Q",,"DRINKFTN",,,,,,,,"1002759.28810064","215389.760871231"
"B073-DF0379","Activated","E and Dog","2","false","false","In Shade","true","B073","Prospect Park","B073-ZN21","Peninsula","B-19","B","100037873","DRINKFTN","I","B073-ZN21","E and Dog-Prospect Park-Peninsula","355","39","78","11215","992780.54591906","178865.720402389"
"B073-DF0380","Activated","B","1","false","false","Out in Open","true","B073","Prospect Park","B073-ZN24","Lakeside Center & Concert Grove","B-19","B","100037870","DRINKFTN","I","B073-ZN24","B-Prospect Park-Lakeside Center & Concert Grove","355","39","78","11215","994114.696465969","179695.855881229"
"B073-DF0381","Activated","E","1","false","false","In Shade","true","B073","Prospect Park","B073-ZN23","Lullwater & Boathouse","B-19","B","100037844","DRINKFTN","I","B073-ZN23","E-Prospect Park-Lullwater & Boathouse","355","39","78","11215","993722.358011797","180335.547843307"
"B073-DF0382","Activated","Bottle Filler High Low","3","false","false","Out in Open","true","B073","Prospect Park","B073-ZN19","The Nethermead","B-19","B","100037889","DRINKFTN","I","B073-ZN19","Bottle Filler High Low-Prospect Park-The Nethermead","355","39","78","11215","992613.082671299","180026.122609138"
"B073-DF0383","Activated","E","1","false","false","Out in Open","true","B073","Prospect Park","B073-ZN07","South West Entrance","B-19","B","100037854","DRINKFTN","I","B073-ZN07","E-Prospect Park-South West Entrance","355","39","78","11215","992056.158260226","176903.504182472"
"B073-DF0845","Activated","E High Low","2","true","false","Near Ballfield, Out in Open","true","B073","Prospect Park","B073-ZN15","Lower Long Meadow","B-19","B","100039839","DRINKFTN","I","B073-ZN15","E High Low-Prospect Park-Lower Long Meadow","355","39","78","11215","990783.020058468","180229.932897061"
"B073-DF0846","Activated","E High Low","2","true","false","Out in Open, Near Ballfield","true","B073","Prospect Park","B073-ZN15","Lower Long Meadow","B-19","B","100039865","DRINKFTN","I","B073-ZN15","E High Low-Prospect Park-Lower Long Meadow","355","39","78","11215","990780.451494053","180119.322225898"
"B073-DF0847","Activated","E High Low","2","true","false","Out in Open, Near Ballfield","true","B073","Prospect Park","B073-ZN15","Lower Long Meadow","B-19","B","100039879","DRINKFTN","I","B073-ZN15","E High Low-Prospect Park-Lower Long Meadow","355","39","78","11215","991244.614607721","179989.23193489"
"B073-DF0848","Activated","E High Low","2","false","false","Out in Open, Near Ballfield","true","B073","Prospect Park","B073-ZN15","Lower Long Meadow","B-19","B","100039979","DRINKFTN","I","B073-ZN15","E High Low-Prospect Park-Lower Long Meadow","355","39","78","11215","991282.237235888","180065.582832053"
"B073-DF0850","Activated","E High Low","2","true","false","Out in Open, Near Ballfield","true","B073","Prospect Park","B073-ZN15","Lower Long Meadow","B-19","B","100039929","DRINKFTN","I","B073-ZN15","E High Low-Prospect Park-Lower Long Meadow","355","39","78","11215","991500.456287637","180053.756740227"
"B073-DF0851","Activated","E High Low","2","true","false","Out in Open, Near Ballfield","true","B073","Prospect Park","B073-ZN15","Lower Long Meadow","B-19","B","100039952","DRINKFTN","I","B073-ZN15","E High Low-Prospect Park-Lower Long Meadow","355","39","78","11215","991553.407625302","180139.229338303"
"B073-DF0852","Activated","B","1","false","false","Near Ballfield, Out in Open","true","B073","Prospect Park","B073-ZN15","Lower Long Meadow","B-19","B","100039980","DRINKFTN","I","B073-ZN15","B-Prospect Park-Lower Long Meadow","355","39","78","11215","991583.219901636","180185.214810639"
"B073-DF0853","Broken","B","1","false","false","Out in Open, Near Ballfield","true","B073","Prospect Park","B073-ZN15","Lower Long Meadow","B-19","B","100039907","DRINKFTN","I","B073-ZN15","B-Prospect Park-Lower Long Meadow","355","39","78","11215","991782.788072049","180336.786685973"
"B073-DF0854","Broken","B","1","false","false","Out in Open, Near Ballfield","true","B073","Prospect Park","B073-ZN15","Lower Long Meadow","B-19","B","100039930","DRINKFTN","I","B073-ZN15","B-Prospect Park-Lower Long Meadow","355","39","78","11215","991297.533793225","180540.439821973"
"B073-DF0855","Activated","B","1","false","false","Out in Open, Near Ballfield","true","B073","Prospect Park","B073-ZN15","Lower Long Meadow","B-19","B","100039974","DRINKFTN","I","B073-ZN15","B-Prospect Park-Lower Long Meadow","355","39","78","11215","991365.377489552","180644.408117979"
"B073-DF0856","Activated","E","1","true","false","In Playground, Under Tree, In Shade","true","B073","Prospect Park","B073-20","Harmony Playground","B-19","B","100039967","DRINKFTN","I","B073-20","E-Prospect Park-Harmony Playground","355","39","78","11215","990726.167153805","181069.060483887"
"B073-DF0857","Activated","E","1","true","true","Out in Open, In Playground","true","B073","Prospect Park","B073-20","Harmony Playground","B-19","B","100039904","DRINKFTN","I","B073-20","E-Prospect Park-Harmony Playground","355","39","78","11215","990605.647709801","180970.465536728"
"B073-DF0909","Activated","B","1",,"false","In Playground","true","B073","Prospect Park","B073-02","Third St Plgd","B-19","B","100040324","DRINKFTN","I","B073-02","B-Prospect Park-Third St Plgd","355","39","78","11215","991751.77763538","182300.83000198"
"B073-DF0910","Activated","E High Low","2",,"false","In Playground","true","B073","Prospect Park","B073-07","Vanderbilt Playground","B-19","B","100040355","DRINKFTN","I","B073-07","E High Low-Prospect Park-Vanderbilt Playground","355","39","78","11215","991816.421206891","177869.019311815"
"B073-DF0911","Activated","E","1",,"false","In Playground","true","B073","Prospect Park","B073-09","Imagination Plgd","B-19","B","100040376","DRINKFTN","I","B073-09","E-Prospect Park-Imagination Plgd","355","39","78","11215","994475.471334964","179183.976655647"
"B073-DF0912","Activated","E","1",,"true","Under Tree, In Shade, Out in Open","true","B073","Prospect Park","B073-ZN03","Litchfield Villa","B-19","B","100040298","DRINKFTN","I","B073-ZN03","E-Prospect Park-Litchfield Villa","355","39","78","11215","991525.402103886","182655.145894393"
"B073-DF0913","Activated","B","1",,"false","Under Tree, In Shade","true","B073","Prospect Park","B073-ZN01","Main Entrance","B-19","B","100040325","DRINKFTN","I","B073-ZN01","B-Prospect Park-Main Entrance","355","39","78","11215","992552.908250972","184077.034126728"
"B073-DF0914","Activated","Bottle Filler","1",,"false","Under Tree, In Shade, Out in Open","true","B073","Prospect Park","B073-ZN26","Prospect Lake Near West Island","B-19","B","100040301","DRINKFTN","I","B073-ZN26","Bottle Filler-Prospect Park-Prospect Lake Near West Island","355","39","78","11215","993150.326675549","177331.812709063"
"B073-DF0915","Activated","E and Dog","2",,"false","Out in Open, Just Outside Playground","true","B073","Prospect Park","B073-ZN06","Prospect Park Southwest Lower","B-19","B","100040377","DRINKFTN","I","B073-ZN06","E and Dog-Prospect Park-Prospect Park Southwest Lower","355","39","78","11215","991841.488742053","177796.750427469"
