"complaint_number","incident_address","incident_address_1","incident_address_2","incident_address_3","incident_address_4","complaint_type_311","descriptor_1_311","complaint_status","date_received","deleted","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"T-11-06-17-0219","59-39","QUEENS BOULEVARD","59-39 QUEENS BOULEVARD","11377","Queens","Indoor Air Quality","Dry Cleaning Vapors (PERC)","05-Close","2011-06-17T22:55:16.000","No","40.741587","-73.905116","2","26","249","4031401","4013340071","Woodside"
"T-11-06-18-0220","325","WEST 45 STREET","325 WEST 45 STREET","10036","Manhattan","Indoor Air Quality","Dust from Construction","05-Close","2011-06-18T00:57:09.000","No","40.759555","-73.989297","4","3","121","1025009","1010360014","Clinton"
"T-11-06-18-0221","129","AVENUE S","129 AVENUE S","11223","Brooklyn","Indoor Air Quality","Ventilation","05-Close","2011-06-18T07:59:06.000","No","40.60087","-73.98086","11","47","408","3177968","3066720047","Bensonhurst East"
"T-11-06-18-0222","111-22","169 STREET","111-22 169 STREET","11433","Queens","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-18T08:30:30.000","No","40.693407","-73.782491","12","27","266","4217313","4102060041","South Jamaica"
"T-11-06-18-0223","424","EAST 77 STREET","424 EAST 77 STREET","10075","Manhattan","Asbestos","N/A","05-Close","2011-06-18T11:16:07.000","No","40.770711","-73.952929","8","5","132","1045970","1014710036","Lenox Hill-Roosevelt Island"
"T-11-06-18-0224","821","EAST 232 STREET","821 EAST 232 STREET","10466","Bronx","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-18T12:31:31.000","No","40.89156","-73.853952","12","12","422","2064236","2048570037","Williamsbridge-Olinville"
"T-11-06-19-0225","1439","OCEAN AVENUE","1439 OCEAN AVENUE","11230","Brooklyn","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-19T07:06:09.000","No","40.627013","-73.956626","14","45","762","3206619","3075840019","Midwood"
"T-11-06-19-0226","622","WEST 141 STREET","622 WEST 141 STREET","10031","Manhattan","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-19T08:57:37.000","No","40.824173","-73.953007","9","7","225","1062324","1020880047","Hamilton Heights"
"T-11-06-19-0227","701","WINTHROP STREET","701 WINTHROP STREET","11203","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-19T13:26:19.000","No","40.657911","-73.937518","9","41","87401","3107494","3048230044","Prospect Lefferts Gardens-Wingate"
"T-11-06-19-0228","1245","BROADWAY","1245 BROADWAY","11221","Brooklyn","Asbestos","N/A","05-Close","2011-06-19T15:52:25.000","No","40.69148","-73.925522","4","34","395","3326376","3032930001","Bushwick South"
"T-11-06-19-0229","19","STANTON STREET","19 STANTON STREET","10002","Manhattan","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-19T17:34:55.000","No","40.722481","-73.991955","3","1","3601","1005715","1004260025","Chinatown"
"T-11-06-19-0230","164-03","119 AVENUE","164-03 119 AVENUE","11434","Queens","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-19T20:50:19.000","No","40.682919","-73.781014","12","27","284","4267684","4123550062","Baisley Park"
"T-11-06-20-0231","2804","FARRAGUT ROAD","2804 FARRAGUT ROAD","11210","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-20T06:36:05.000","No","40.636156","-73.949753","14","45","786","3121684","3052510029","Flatbush"
"T-11-06-20-0232","2804","FARRAGUT ROAD","2804 FARRAGUT ROAD","11210","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-20T06:42:23.000","No","40.636156","-73.949753","14","45","786","3121684","3052510029","Flatbush"
"T-11-06-20-0233","143-53","BARCLAY AVENUE","143-53 BARCLAY AVENUE","11355","Queens","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-20T11:38:29.000","No","40.759385","-73.822314","7","20","855","4449231","4050487501","Flushing"
"T-10-11-26-0402","1327","SOUTHERN BOULEVARD","1327 SOUTHERN BOULEVARD","10459","Bronx","Indoor Air Quality","Ventilation","05-Close","2010-11-26T13:25:57.000","No","40.8311","-73.891485","3","17","123","2010493","2029760092","Crotona Park East"
"T-11-05-26-0396","1579","METROPOLITAN AVE","1579 METROPOLITAN AVE","10462","Manhattan",,,"05-Close","2011-05-26T00:00:00.000","No","40.839989","-73.857404","9","18","21001","2096773","2039447501","Parkchester"
"T-11-06-20-0234","30-40","32 STREET","30-40 32 STREET","11102","Queens","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-20T11:33:06.000","No","40.765413","-73.921501","1","22","63","4008498","4006150052","Astoria"
"T-11-06-20-0235","264","WEST 22 STREET","264 WEST 22 STREET","10011","Manhattan","Indoor Air Quality","Dust from Construction","05-Close","2011-06-20T11:29:24.000","No","40.74433","-73.998282","4","3","87","1014097","1007710073","Hudson Yards-Chelsea-Flatiron-Union Square"
"T-11-06-20-0236","445","EAST 78 STREET","445 EAST 78 STREET","10075","Manhattan","Indoor Air Quality","Dry Cleaning Vapors (PERC)","05-Close","2011-06-20T11:43:46.000","No","40.771219","-73.95212","8","5","132","1046028","1014730020","Lenox Hill-Roosevelt Island"
"T-11-06-20-0237","597","PROSPECT PLACE","597 PROSPECT PLACE","11238","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-20T12:57:18.000","No","40.675154","-73.956847","8","35","305","3028680","3011560062","Crown Heights North"
"T-11-06-20-0238","4619","PARK AVENUE","4619 PARK AVENUE","10458","Bronx","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-20T13:03:05.000","No","40.857833","-73.893147","6","15","38302","2011207","2030310051","Fordham South"
"T-11-06-20-0239","1720","SHEEPSHEAD BAY ROAD","1720 SHEEPSHEAD BAY ROAD","11235","Brooklyn","Indoor Air Quality","Ventilation","05-Close","2011-06-20T13:29:40.000","No","40.585595","-73.951681","15","48","606","3247005","3087700013","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"T-11-06-20-0241","230","WATCHOGUE ROAD","230 WATCHOGUE ROAD","10314","Staten Island","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-20T14:45:08.000","No","40.615919","-74.137082","1","50","18901","5012571","5004660038","Westerleigh"
"T-11-06-20-0243","110","BENNETT AVENUE","110 BENNETT AVENUE","10033","Manhattan","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-20T16:40:14.000","No","40.853733","-73.935021","12","10","271","1064442","1021800199","Washington Heights North"
"T-11-06-20-0244","1600","SEDGWICK AVENUE","1600 SEDGWICK AVENUE","10453","Bronx","Indoor Air Quality","Dust from Construction","05-Close","2011-06-20T17:34:25.000","No","40.847902","-73.924288","5","16","20501","2092067","2028800029","University Heights-Morris Heights"
"T-11-06-20-0246","59-44","SUMMERFIELD STREET","59-44 SUMMERFIELD STREET","11385","Queens","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-20T18:53:35.000","No","40.699869","-73.897436","5","34","557","4086735","4035890024","Ridgewood"
"T-11-06-20-0247","109","CHRISTOPHER AVENUE","109 CHRISTOPHER AVENUE","11212","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-20T20:36:43.000","No","40.671015","-73.906179","16","37","908","3326947","3037090001","Brownsville"
"T-11-06-21-0248","4011","KINGSHIGWY","4011 KINGSHIGWY","11234","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-21T07:41:10.000","No","40.624126","-73.935204","18","45","736","3217054","3078130003","Flatlands"
"T-11-06-21-0249","875","IRVINE STREET","875 IRVINE STREET","10474","Bronx","Indoor Air Quality","Ventilation","05-Close","2011-06-21T07:54:51.000","No","40.818859","-73.888578","2","17","11502","2006319","2027610003","Hunts Point"
"T-11-06-21-0250","233","NORWOOD AVENUE","233 NORWOOD AVENUE","11208","Brooklyn","Indoor Air Quality","Ventilation","05-Close","2011-06-21T08:34:51.000","No","40.680456","-73.878815","5","37","1174","3092570","3041370001","Cypress Hills-City Line"
"T-11-06-21-0251","356","EAST 31 STREET","356 EAST 31 STREET","11226","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-21T10:19:49.000","No","40.64204","-73.947665","17","45","828","3111273","3049470030","Erasmus"
"T-11-06-21-0252","321","BEACH 57 STREET","321 BEACH 57 STREET","11692","Queens","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-21T10:26:00.000","No","40.593219","-73.787088","14","31","97204","4436428","4158950050","Hammels-Arverne-Edgemere"
"T-11-06-21-0253","675","AVENUE OF THE AMERICAS","675 AVENUE OF THE AMERICAS","10010","Manhattan","Mold","Public Complaint - Comm Location","05-Close","2011-06-21T10:39:47.000","No","40.74172","-73.993678","4","3","87","1014774","1007970037","Hudson Yards-Chelsea-Flatiron-Union Square"
"T-11-06-21-0254","221","WEST 14 STREET","221 WEST 14 STREET","10011","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-21T10:38:22.000","No","40.738912","-74.000509","4","3","81","1013723","1007647502","Hudson Yards-Chelsea-Flatiron-Union Square"
"T-11-06-21-0255","480","ST NICHOLAS AVENUE","480 ST NICHOLAS AVENUE","10030","Manhattan","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-21T10:45:13.000","No","40.816151","-73.94845","10","9","215","1059446","1019590001","Central Harlem North-Polo Grounds"
"T-11-06-21-0256","1611","AVENUE Y","1611 AVENUE Y","11235","Brooklyn","Asbestos","N/A","05-Close","2011-06-21T13:26:05.000","No","40.590221","-73.953611","15","48","590","3332524","3074180036","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"T-11-06-21-0257","4807","SURF AVENUE","4807 SURF AVENUE","11224","Brooklyn","Indoor Air Quality","Dust from Construction","05-Close","2011-06-21T13:48:57.000","No","40.57771","-74.010861","13","47","336","3189192","3070240161","Seagate-Coney Island"
"T-11-06-21-0258","806","EAST 175 STREET","806 EAST 175 STREET","10460","Bronx","Indoor Air Quality","Dust from Construction","05-Close","2011-06-21T13:52:13.000","No","40.84103","-73.890388","6","17","367","2010010","2029520046","East Tremont"
"T-11-06-21-0259","277","GATES AVENUE","277 GATES AVENUE","11216","Brooklyn","Indoor Air Quality","Ventilation","05-Close","2011-06-21T13:50:11.000","No","40.685592","-73.956105","3","36","229","3056589","3019740051","Clinton Hill"
"T-11-06-21-0260","30-47","HOBART STREET","30-47 HOBART STREET","11377","Queens","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-21T14:05:20.000","No","40.758357","-73.907287","1","22","295","4431256","4011110001","Woodside"
"T-11-06-21-0261","2163","TILDEN AVENUE","2163 TILDEN AVENUE","11226","Brooklyn","Indoor Air Quality","Ventilation","05-Close","2011-06-21T13:42:05.000","No","40.646575","-73.957031","14","40","794","3000000","3051260001","Erasmus"
"T-11-06-21-0262","403","HERKIMER STREET","403 HERKIMER STREET","11213","Brooklyn","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-21T15:18:35.000","No","40.679121","-73.939961","3","36","271","3390192","3018640056","Crown Heights North"
"T-11-06-21-0264","566A","BRISTOL STREET","566A BRISTOL STREET","11212","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-21T16:10:39.000","No","40.657014","-73.909443","16","42","916","3082760","3036230043","Brownsville"
"T-11-06-21-0265","253","BROADWAY","253 BROADWAY","10007","Manhattan","Indoor Air Quality","Dust from Construction","05-Close","2011-06-21T17:25:44.000","No","40.713265","-74.007063","1","1","21","1082757","1001347501","SoHo-TriBeCa-Civic Center-Little Italy"
"T-11-06-21-0266","141-10","28 AVENUE","141-10 28 AVENUE","11354","Queens","Indoor Air Quality","Ventilation","05-Close","2011-06-21T18:16:38.000","No","40.773106","-73.827545","7","20","88901","4443317","4043430010","Flushing"
"T-11-06-21-0267","595","EAST 167 STREET","595 EAST 167 STREET","10456","Bronx","Asbestos","N/A","05-Close","2011-06-21T18:32:58.000","No","40.828534","-73.90436","3","16","185","2004293","2026140061","Morrisania-Melrose"
"T-11-06-21-0268","105-02","MERRICK BOULEVARD","105-02 MERRICK BOULEVARD","11433","Queens","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-21T19:36:34.000","No","40.700737","-73.789464","12","27","254","4442245","4101640079","South Jamaica"
"T-11-06-22-0269","564","EVERGREEN AVENUE","564 EVERGREEN AVENUE","11221","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-22T00:57:44.000","No","40.690587","-73.916032","4","34","399","3077180","3033740031","Bushwick South"
"T-11-06-22-0270","617A","VANDERBILT AVENUE","617A VANDERBILT AVENUE","11238","Brooklyn","Mold","Public Complaint - Comm Location","05-Close","2011-06-22T08:14:06.000","No","40.678858","-73.968417","8","35","205","3028191","3011450004","Prospect Heights"
"T-11-06-22-0271","6512","20 AVENUE","6512 20 AVENUE","11204","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-22T08:38:02.000","No","40.616384","-73.986014","11","47","256","3133959","3055550035","Bensonhurst West"
"T-11-06-22-0272","382","CENTRAL PARK WEST","382 CENTRAL PARK WEST","10025","Manhattan","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-22T11:20:06.000","No","40.79348","-73.965673","7","7","185","1074358","1018337501","Upper West Side"
"T-11-06-22-0273","21","GRAMERCY PARK SOUTH","21 GRAMERCY PARK SOUTH","10003","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-22T13:45:54.000","No","40.737517","-73.985844","6","2","50","1017935","1008750060","Gramercy"
"T-11-06-22-0274","728","EAST 136 STREET","728 EAST 136 STREET","10454","Bronx","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-22T14:09:41.000","No","40.803276","-73.913123","1","17","19","2003768","2025640047","Mott Haven-Port Morris"
"T-11-06-22-0275","295","LAFAYETTE STREET","295 LAFAYETTE STREET","10012","Manhattan","Indoor Air Quality","Dust from Construction","05-Close","2011-06-22T14:26:41.000","No","40.724537","-73.995761","2","1","43","1007941","1005107502","SoHo-TriBeCa-Civic Center-Little Italy"
"T-11-06-22-0276","1081","MACE AVENUE","1081 MACE AVENUE","10469","Bronx","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-22T14:48:43.000","No","40.863022","-73.856542","11","13","326","2051854","2044520005","Allerton-Pelham Gardens"
"T-11-06-22-0277","42-09","28 STREET","42-09 28 STREET","11101","Queens","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-22T14:56:21.000","No","40.749641","-73.939135","2","26","19","4538327","4004207501","Hunters Point-Sunnyside-West Maspeth"
"T-11-06-22-0278","330","WEST 30 STREET","330 WEST 30 STREET","10001","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-22T15:55:29.000","No","40.750113","-73.996329","4","3","97","1013499","1007530056","Hudson Yards-Chelsea-Flatiron-Union Square"
"T-11-06-22-0279","329","WEST 29 STREET","329 WEST 29 STREET","10001","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-22T15:58:54.000","No","40.749476","-73.996741","4","3","97","1013499","1007530056","Hudson Yards-Chelsea-Flatiron-Union Square"
"T-11-06-22-0280","111","BEDFORD AVENUE","111 BEDFORD AVENUE","11211","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-22T16:47:04.000","No","40.719962","-73.955429","1","33","517","3061621","3022980008","North Side-South Side"
"T-11-06-22-0281","3020","AVENUE Y","3020 AVENUE Y","11235","Brooklyn","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-22T17:58:39.000","No","40.59209","-73.936463","15","48","626","3320934","3074490001","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"T-11-06-22-0282","1695","MADISON AVENUE","1695 MADISON AVENUE","10029","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-22T18:26:39.000","No","40.797494","-73.946655","11","8","184","1080640","1016200023","East Harlem North"
"T-11-06-22-0283","23-60","29 STREET","23-60 29 STREET","11105","Queens","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-22T20:44:09.000","No","40.77372","-73.915508","1","22","115","4017566","4008430061","Steinway"
"T-11-06-22-0284","2118","HOMER AVENUE","2118 HOMER AVENUE","10473","Bronx","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-22T21:15:50.000","No","40.821547","-73.850897","9","18","86","2022306","2036100043","Soundview-Castle Hill-Clason Point-Harding Park"
"T-11-06-22-0285","231","DUBOIS AVENUE","231 DUBOIS AVENUE","10310","Staten Island","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-22T21:22:04.000","No","40.626022","-74.128111","1","49","151","5150618","5003520023","Westerleigh"
"T-11-06-23-0286","75","WALL STREET","75 WALL STREET","10005","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-23T08:06:01.000","No","40.705486","-74.007874","1","1","7","1085950","1000317501","Battery Park City-Lower Manhattan"
"T-11-06-23-0287","487","CARLTON AVENUE","487 CARLTON AVENUE","11238","Brooklyn","Asbestos","N/A","05-Close","2011-06-23T10:42:32.000","No","40.683044","-73.970828","2","35","179","3057520","3020070001","Fort Greene"
"T-11-06-23-0288","1004","HEGEMAN AVENUE","1004 HEGEMAN AVENUE","11208","Brooklyn","Asbestos","N/A","05-Close","2011-06-23T11:14:11.000","No","40.666745","-73.875802","5","42","1116","3098666","3044780004","East New York"
"T-11-06-23-0289","1305","AMSTERDAM AVENUE","1305 AMSTERDAM AVENUE","10027","Manhattan","Asbestos","N/A","05-Close","2011-06-23T11:38:19.000","No","40.812161","-73.957145","9","7","20901","1084095","1019640001","Morningside Heights"
"T-11-06-23-0291","728","FRANKLIN AVENUE","728 FRANKLIN AVENUE","11238","Brooklyn","Indoor Air Quality","Dust from Construction","05-Close","2011-06-23T13:55:18.000","No","40.673653","-73.956902","8","35","217","3029282","3011680055","Crown Heights North"
"T-11-06-23-0293","211","WEST 102 STREET","211 WEST 102 STREET","10025","Manhattan","Asbestos","N/A","05-Close","2011-06-23T16:04:01.000","No","40.798153","-73.968234","7","7","191","1056539","1018740022","Upper West Side"
"T-11-06-23-0294","401","EAST 34 STREET","401 EAST 34 STREET","10016","Manhattan","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-23T17:05:44.000","No","40.743712","-73.973309","6","4","8601","1022057","1009660001","Turtle Bay-East Midtown"
"T-11-06-23-0295","100","EAST MOSHOLU PARKWAY SOUTH","100 EAST MOSHOLU PARKWAY SOUTH","10458","Bronx","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-23T17:39:04.000","No","40.876713","-73.883806","7","11","413","2017398","2033130029","Bedford Park-Fordham North"
"T-10-07-15-0246","574","MAPLE STREET","574 MAPLE STREET","11203","Brooklyn","Indoor Air Quality","Other (Explain Below)","05-Close","2010-07-15T10:47:00.000","No","40.661379","-73.941595","9","41","806","3106811","3047990018","Prospect Lefferts Gardens-Wingate"
"T-10-08-26-0361","30","EAST 30 STREET","30 EAST 30 STREET","10016","Manhattan","Asbestos","N/A","05-Close","2010-08-26T11:47:19.000","No","40.745111","-73.984503","5","2","74","1080777","1008590026","Midtown-Midtown South"
"T-10-09-20-0231","32-24","78 STREET","32-24 78 STREET","11370","Queens","Indoor Air Quality","Dust from Construction","05-Close","2010-09-20T11:29:27.000","No","40.756535","-73.889343","3","25","30903","4026703","4011730013","Jackson Heights"
"T-10-10-07-0081","27","OCCIDENT AVENUE","27 OCCIDENT AVENUE","10304","Staten Island","Asbestos","N/A","05-Close","2010-10-07T15:06:02.000","No","40.629625","-74.084381","1","49","33","5015054","5005830016","Grymes Hill-Clifton-Fox Hills"
"T-11-06-23-0296","133-38","SANFORD AVENUE","133-38 SANFORD AVENUE","11355","Queens","Indoor Air Quality","Dust from Construction","05-Close","2011-06-23T17:52:05.000","No","40.75589","-73.830423","7","20","849","4115369","4051217501","Flushing"
"T-11-06-23-0297","548","DRIGGS AVENUE","548 DRIGGS AVENUE","11211","Brooklyn","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-23T20:57:55.000","No","40.71719","-73.956282","1","33","553","3061956","3023200025","North Side-South Side"
"T-11-06-23-0383","3560","BROADWAY","3560 BROADWAY","10031","Manhattan",,,"05-Close","2011-06-23T00:00:00.000","No","40.827194","-73.949879","9","7","233","1081831","1020780001","Hamilton Heights"
"T-11-06-24-0298","2060","2 AVENUE","2060 2 AVENUE","10029","Manhattan","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-24T09:40:29.000","No","40.790479","-73.942529","11","8","170","1052777","1016770050","East Harlem South"
"T-11-06-24-0299","37-65","61 STREET","37-65 61 STREET","11377","Queens","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-24T10:54:12.000","No","40.747602","-73.902484","2","26","261","4027812","4012160008","Woodside"
"T-11-06-24-0300","32-69","31 STREET","32-69 31 STREET","11106","Queens","Indoor Air Quality","Ventilation","05-Close","2011-06-24T10:53:59.000","No","40.761521","-73.925732","1","22","59","4314395","4006110008","Astoria"
"T-11-06-24-0301","333","EAST 89 STREET","333 EAST 89 STREET","10128","Manhattan","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-24T12:47:36.000","No","40.779438","-73.949435","8","5","154","1050117","1015520021","Yorkville"
"T-11-06-24-0302","220","BUSHWICK AVENUE","220 BUSHWICK AVENUE","11206","Brooklyn","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-24T13:56:15.000","No","40.708215","-73.939942","1","34","493","3071160","3030540019","Bushwick South"
"T-11-06-24-0303","2328","BROADWAY","2328 BROADWAY","10024","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-24T15:24:10.000","No","40.787324","-73.977333","7","6","171","1033106","1012320045","Upper West Side"
"T-11-06-24-0304","82-15","60th Ave","82-15 60th Ave","11385","Queens",,,"05-Close","2011-06-24T00:00:00.000","No","40.727127","-73.878355","5","30","507","4066383","4029120027","Middle Village"
"T-11-06-24-0370","89","2 AVENUE","89 2 AVENUE","10003","Manhattan",,,"05-Close","2011-06-24T00:00:00.000","No","40.726939","-73.988884","3","2","38","1006629","1004610035","East Village"
"T-11-06-25-0305","2178","68 STREET","2178 68 STREET","11204","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-25T10:27:55.000","No","40.612508","-73.983879","11","47","258","3135132","3055800038","Bensonhurst West"
"T-11-06-25-0306","753","LINDEN BOULEVARD","753 LINDEN BOULEVARD","11203","Brooklyn","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-25T13:06:18.000","No","40.653833","-73.930263","17","41","868","3101413","3046560033","Rugby-Remsen Village"
"T-11-06-26-0307","2060","SECOND AVENUE","2060 SECOND AVENUE","10029","Manhattan","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-26T05:58:01.000","No","40.790479","-73.942529","11","8","170","1052777","1016770050","East Harlem South"
"T-11-06-26-0308","67-09","FRESH POND ROAD","67-09 FRESH POND ROAD","11385","Queens","Indoor Air Quality","Dust from Construction","05-Close","2011-06-26T10:11:40.000","No","40.705695","-73.896526","5","30","61301","4087917","4036200007","Ridgewood"
"T-11-06-26-0310","79","ST NICHOLAS PLACE","79 ST NICHOLAS PLACE","10032","Manhattan","Asbestos","N/A","05-Close","2011-06-26T14:04:21.000","No","40.829616","-73.94071","9","9","23501","1061701","1020690008","Hamilton Heights"
"T-11-06-26-0311","39-50","60 STREET","39-50 60 STREET","11377","Queens","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-26T15:10:04.000","No","40.746093","-73.90419","2","26","259","4028364","4012300045","Woodside"
"T-11-06-26-0312","311","WEST 111 STREET","311 WEST 111 STREET","10026","Manhattan","Indoor Air Quality","Ventilation","05-Close","2011-06-26T19:03:16.000","No","40.801374","-73.958015","10","9","19702","1055758","1018460036","Central Harlem South"
"T-11-06-27-0313","35-28","153 STREET","35-28 153 STREET","11354","Queens","Asbestos","N/A","05-Close","2011-06-27T07:29:50.000","No","40.765673","-73.811857","7","20","1155","4119147","4052630021","Murray Hill"
"T-11-06-27-0314","495","WEST 186 STREET","495 WEST 186 STREET","10033","Manhattan","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-27T07:30:56.000","No","40.851105","-73.928444","12","10","267","1063584","1021490093","Washington Heights North"
"T-11-06-27-0315","788","ARNOW AVENUE","788 ARNOW AVENUE","10467","Bronx","Asbestos","N/A","05-Close","2011-06-27T08:23:54.000","No","40.867823","-73.86386","11","13","340","2053720","2045120031","Bronxdale"
"T-11-06-27-0316","129","WEST 147 STREET","129 WEST 147 STREET","10039","Manhattan","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-27T09:26:52.000","No","40.822211","-73.936399","10","9","236","1079772","1020160050","Central Harlem North-Polo Grounds"
"T-11-06-27-0317","25","SUTTON PLACE SOUTH","25 SUTTON PLACE SOUTH","10022","Manhattan","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-27T11:26:15.000","No","40.75648","-73.961299","6","5","10601","1040722","1013710038","Turtle Bay-East Midtown"
"T-11-06-27-0322","275","PARK AVENUE","275 PARK AVENUE","11205","Brooklyn","Indoor Air Quality","Ventilation","05-Close","2011-06-27T12:45:12.000","No","40.696012","-73.967562","2","35","543","3054140","3018740001","park-cemetery-etc-Brooklyn"
"T-10-09-16-0179","839","HART STREET","839 HART STREET","11237","Brooklyn","Indoor Air Quality","Other (Explain Below)","05-Close","2010-09-16T13:02:23.000","No","40.70218","-73.922509","4","34","429","3073244","3032200050","Bushwick North"
"T-10-12-21-0337","25-35","33 STREET","25-35 33 STREET","11102","Queens","Indoor Air Quality","Other (Explain Below)","05-Close","2010-12-21T23:56:04.000","No","40.769456","-73.917088","1","22","6501","4009289","4006310015","Astoria"
"T-11-06-27-0325","144-41","SANFORD AVENUE","144-41 SANFORD AVENUE","11355","Queens","Indoor Air Quality","Ventilation","05-Close","2011-06-27T15:19:49.000","No","40.759028","-73.820095","7","20","863","4449973","4050510020","Murray Hill"
"T-11-06-27-0326","70","NEW LANE","70 NEW LANE","10305","Staten Island","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-27T16:00:04.000","No","40.612811","-74.062256","1","49","6","5042254","5028320068","Stapleton-Rosebank"
"T-11-06-27-0327","2295","RICHMOND AVENUE","2295 RICHMOND AVENUE","10314","Staten Island","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-27T16:04:58.000","No","40.591707","-74.164422","2","51","27706","5107370","5023800040","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"T-11-06-27-0328","61","JERSEY STREET","61 JERSEY STREET","10301","Staten Island","Asbestos","N/A","05-Close","2011-06-27T16:15:53.000","No","40.646316","-74.088575","1","49","7","5108498","5000510030","West New Brighton-New Brighton-St. George"
"T-11-06-27-0329","2295","RICHMOND AVENUE","2295 RICHMOND AVENUE","10314","Staten Island","Indoor Air Quality","Chemical Vapors/Gases/Odors","05-Close","2011-06-27T16:37:50.000","No","40.591707","-74.164422","2","51","27706","5107370","5023800040","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"T-11-06-27-0330","29","EAST MOSHOLU PARKWAY NORTH","29 EAST MOSHOLU PARKWAY NORTH","10467","Bronx","Indoor Air Quality","Other (Explain Below)","05-Close","2011-06-27T18:04:14.000","No","40.879723","-73.883392","7","11","419","2017752","2033260111","Norwood"
