"boro_block_lot","condo_section","address","neighborhood","building_classification","total_units","year_built","gross_sqft","estimated_gross_income","gross_income_per_sqft","estimated_expense","expense_per_sqft","net_operating_income","full_market_value","market_value_per_sqft","boro_block_lot_1","address_1","neighborhood_1","building_classification_1","total_units_1","year_built_1","gross_sqft_1","estimated_gross_income_1","gross_income_per_sqft_1","estimated_expense_1","expense_per_sqft_1","net_operating_income_1","full_market_value_1","market_value_per_sqft_1","distance_from_condo_in_miles","boro_block_lot_2","address_2","neighborhood_2","building_classification_2","total_units_2","year_built_2","gross_sqft_2","estimated_gross_income_2","gross_income_per_sqft_2","estimated_expense_2","expense_per_sqft_2","net_operating_income_2","full_market_value_2","market_value_per_sqft_2","distance_from_condo_in_miles_1","boro_block_lot_3","address_3","neighborhood_3","building_classification_3","total_units_3","year_built_3","gross_sqft_3","estimated_gross_income_3","gross_income_per_sqft_3","estimated_expense_3","expense_per_sqft_3","net_operating_income_3","full_market_value_3","market_value_per_sqft_3","distance_from_condo_in_miles_2","report_year"
"1-01228-7502","0490-R1","219 WEST 80 STREET","UPPER WEST SIDE (79-96)","R4  -ELEVATOR","28","1910","27772","1071999","38.6","144414","5.2","927585","7533003","271.24","1-01228-0001","420 WEST END AVENUE","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","38","1916","85942","3302751","38.43","426272","4.96","2876479","11172000","129.99","0.09","1-01227-0061","412 WEST END AVENUE","UPPER WEST SIDE (79-96)","D1  -ELEVATOR","40","1900","49840","1972169","39.57","198862","3.99","1773307","6433000","129.07","0.1","1-01229-0006","265 WEST 81 STREET","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","36","1900","41137","1587888","38.6","213912","5.2","1373976","8783000","213.51","0.1","2019"
"1-00188-7501","0491-R1","65 NORTH MOORE STREET","TRIBECA","R4  -ELEVATOR","8","1915","15005","580543","38.69","208870","13.92","371673","3018999","201.2","1-00506-0016","30 CHARLTON STREET","SOHO","D1  -ELEVATOR","86","1920","44256","1691464","38.22","612503","13.84","1078961","13720000","310.01","0.5","1-00504-0036","100 SULLIVAN STREET","SOHO","D1  -ELEVATOR","70","1920","33750","1305788","38.69","469800","13.92","835988","11997000","355.47","0.51","1-00470-0005","160 MOTT STREET","LITTLE ITALY","D1  -ELEVATOR","35","1910","11967","472816","39.51","171367","14.32","301449","2663000","222.53","0.7","2019"
"1-01132-7501","0492-R1","161 WEST 61 STREET","UPPER WEST SIDE (59-79)","R4  -ELEVATOR","219","1988","246663","14535851","58.93","4361002","17.68","10174849","82635014","335.01","1-01152-0056","242 WEST 61 STREET","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","27","1900","23182","1010967","43.61","239006","10.31","771961","6269000","270.43","0.17","1-01154-0202","236-240 WEST 64 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","96","1911","42102","2576642","61.2","1087074","25.82","1489568","12097000","287.33","0.19","1-01062-0019","410 WEST 53 STREET","CLINTON","D1  -ELEVATOR","220","1987","166518","9812906","58.93","2944038","17.68","6868868","55785000","335.01","0.42","2019"
"1-00528-7502","0495-R1","3 BEDFORD STREET","GREENWICH VILLAGE-WEST","R4  -ELEVATOR","12","1986","15990","740017","46.28","201634","12.61","538383","4371998","273.42","1-00592-0042","84 GROVE STREET","GREENWICH VILLAGE-WEST","D1  -ELEVATOR","20","1885","16400","716024","43.66","194832","11.88","521192","3960000","241.46","0.32","1-00588-0071","33 GROVE STREET","GREENWICH VILLAGE-WEST","D1  -ELEVATOR","65","1920","31460","1463519","46.52","411811","13.09","1051708","17791000","565.51","0.29","1-00582-0020","60 LEROY STREET","GREENWICH VILLAGE-WEST","D1  -ELEVATOR","37","1941","22242","1029360","46.28","280472","12.61","748888","6307000","283.56","0.11","2019"
"1-01011-7502","0496-R1","106 CENTRAL PARK SOUTH","MIDTOWN WEST","R4  -ELEVATOR","418","1930","340000","19927400","58.61","6813600","20.04","13113800","106504004","313.25","1-01043-0005","369 WEST 52 STREET","MIDTOWN WEST","D5  -ELEVATOR","48","1940","37030","2125892","57.41","803181","21.69","1322711","11335000","306.1","0.45","1-01042-0007","355 WEST 51 STREET","MIDTOWN WEST","D3  -ELEVATOR","40","1920","24848","1460068","58.76","504166","20.29","955902","6822000","274.55","0.49","1-01041-0038","306 WEST 51 STREET","MIDTOWN WEST","D3  -ELEVATOR","38","1945","25482","1493500","58.61","510659","20.04","982841","7295000","286.28","0.52","2019"
"1-01894-7501","0497-R1","600 WEST 111 STREET","UPPER WEST SIDE (96-116)","R9  -CONDOPS","151","1926","192853","5492453","28.48","2213952","11.48","3278501","26519000","137.51","1-01895-0028","610 WEST 113 STREET","UPPER WEST SIDE (96-116)","D1  -ELEVATOR","18","1905","18120","519319","28.66","211279","11.66","308040","1989000","109.77","0.1","1-01883-0014","529 WEST 111 STREET","UPPER WEST SIDE (96-116)","D1  -ELEVATOR","37","1920","43540","1225651","28.15","434529","9.98","791122","5195000","119.32","0.14","1-01884-0015","523 WEST 112 STREET","UPPER WEST SIDE (96-116)","D3  -ELEVATOR","49","1925","54567","1554068","28.48","626429","11.48","927639","5452000","99.91","0.16","2019"
"1-01551-7501","0500-R1","348 EAST 89 STREET","UPPER EAST SIDE (79-96)","R2  -WALK-UP","14","1915","8345","373606","44.77","78360","9.39","295246","2398001","287.36","1-01551-0018","331 EAST 88 STREET","UPPER EAST SIDE (79-96)","C1  -WALK-UP","20","1920","8740","393562","45.03","100510","11.5","293052","2576000","294.74","0","1-01551-0046","308 EAST 89 STREET","UPPER EAST SIDE (79-96)","C1  -WALK-UP","16","1910","8340","368795","44.22","90489","10.85","278306","1537000","184.29","0","1-01553-0012","319 EAST 90 STREET","UPPER EAST SIDE (79-96)","C1  -WALK-UP","20","1915","8950","400692","44.77","84041","9.39","316651","2893000","323.24","0.1","2019"
"1-00769-7503","0502-R1","160 7 AVENUE","CHELSEA","R9  -CONDOPS","197","1939","117094","6670845","56.97","1599504","13.66","5071341","41187000","351.74","1-00738-0019","329 WEST 14 STREET","CHELSEA","D1  -ELEVATOR","19","1900","7812","445050","56.97","106712","13.66","338338","3283000","420.25","0.28","1-00768-0027","213 WEST 18 STREET","CHELSEA","D9  -ELEVATOR","40","1920","17500","1020950","58.34","256900","14.68","764050","3659000","209.09","0.04","1-00765-0047","208 WEST 16 STREET","CHELSEA","D3  -ELEVATOR","52","1925","33547","1883329","56.14","433763","12.93","1449566","12167000","362.69","0.18","2019"
"1-01552-7502","0507-R1","1730 2 AVENUE","UPPER EAST SIDE (79-96)","R4  -ELEVATOR","31","1987","25593","1303451","50.93","275637","10.77","1027814","8346999","326.14","1-01535-0031","240 EAST 90 STREET","UPPER EAST SIDE (79-96)","D9  -ELEVATOR","25","1960","21000","1060080","50.48","285180","13.58","774900","6713000","319.67","0.14","1-01567-0031","440 EAST 88 STREET","UPPER EAST SIDE (79-96)","D3  -ELEVATOR","35","1929","27847","1423539","51.12","356442","12.8","1067097","6279000","225.48","0.17","1-01564-0012","425 EAST 84 STREET","UPPER EAST SIDE (79-96)","D1  -ELEVATOR","11","1976","8470","431377","50.93","91222","10.77","340155","2800000","330.58","0.29","2019"
"1-01228-7501","0508-R1","2250 BROADWAY","UPPER WEST SIDE (79-96)","R4  -ELEVATOR","123","1987","132774","5626962","42.38","1700835","12.81","3926127","31886003","240.15","1-01229-0006","265 WEST 81 STREET","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","36","1900","41137","1743386","42.38","526965","12.81","1216421","8783000","213.51","0.1","1-01211-0052","158 WEST 81 STREET","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","37","1930","37251","1585775","42.57","467500","12.55","1118275","6351000","170.49","0.13","1-01228-0001","420 WEST END AVENUE","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","38","1916","85942","3627612","42.21","1080291","12.57","2547321","11172000","129.99","0.09","2019"
"1-01349-7501","0510-R1","345 EAST 56 STREET","MIDTOWN EAST","R9  -CONDOPS","174","1960","198115","9945373","50.2","3310502","16.71","6634871","53885000","271.99","1-01369-0037","422 EAST 58 STREET","MIDTOWN EAST","D3  -ELEVATOR","24","1939","18654","936431","50.2","311708","16.71","624723","4043000","216.74","0.15","1-01362-0012","20 BEEKMAN PLACE","MIDTOWN EAST","D3  -ELEVATOR","79","1957","98808","4882103","49.41","1673808","16.94","3208295","19584000","198.2","0.32","1-01347-0034","342 EAST 55 STREET","MIDTOWN EAST","D5  -ELEVATOR","26","1930","13000","654810","50.37","190060","14.62","464750","3957000","304.38","0.1","2019"
"1-01213-7503","0512-R1","125 WEST 82 STREET","UPPER WEST SIDE (79-96)","R4  -ELEVATOR","36","1912","35516","1425967","40.15","369366","10.4","1056601","8581002","241.61","1-01211-0052","158 WEST 81 STREET","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","37","1930","37251","1495628","40.15","387410","10.4","1108218","6351000","170.49","0.1","1-01216-0051","144 WEST 86 STREET","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","67","1929","96546","3919768","40.6","1099659","11.39","2820109","15905000","164.74","0.15","1-01228-0001","420 WEST END AVENUE","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","38","1916","85942","3419632","39.79","894656","10.41","2524976","11172000","129.99","0.24","2019"
"1-01010-7502","0513-R1","120 WEST 58 STREET","MIDTOWN WEST","R4  -ELEVATOR","33","1923","32796","1404981","42.84","308938","9.42","1096043","8899996","271.37","1-01379-0066","4 EAST 65 STREET","UPPER EAST SIDE (59-79)","D3  -ELEVATOR","20","1915","22344","877896","39.29","219418","9.82","658478","5348000","239.35","0.48","1-01041-0038","306 WEST 51 STREET","MIDTOWN WEST","D3  -ELEVATOR","38","1945","25482","1181855","46.38","283615","11.13","898240","7295000","286.28","0.49",,,,,,,,,,,,,,,,"2019"
"1-00575-7501","0515-R1","53 WEST 11 STREET","GREENWICH VILLAGE-CENTRAL","R9  -CONDOPS","15","1900","9380","388520","41.42","112748","12.02","275772","2240000","238.81","1-00573-0066","43 WEST 9 STREET","GREENWICH VILLAGE-CENTRAL","C5  -WALK-UP","11","1900","5326","220603","41.42","64019","12.02","156584","2152000","404.06","0.09","1-00573-0009","66 WEST 10 STREET","GREENWICH VILLAGE-CENTRAL","C4  -WALK-UP","20","1910","9135","404132","44.24","122044","13.36","282088","2485000","272.03","0.09","1-00573-0031","20 WEST 10 STREET","GREENWICH VILLAGE-CENTRAL","C5  -WALK-UP","20","1860","11492","464507","40.42","159394","13.87","305113","4663000","405.76","0.09","2019"
"1-01869-7501","0516-R1","229 WEST 97 STREET","UPPER WEST SIDE (96-116)","R9  -CONDOPS","55","1901","78776","2519256","31.98","605787","7.69","1913469","15540000","197.27","1-01868-0001","740 WEST END AVENUE","UPPER WEST SIDE (96-116)","D3  -ELEVATOR","107","1915","135463","4271148","31.53","1020036","7.53","3251112","17832000","131.64","0.1","1-01851-0005","143 WEST 96 STREET","UPPER WEST SIDE (96-116)","D3  -ELEVATOR","92","1927","96000","3070080","31.98","738240","7.69","2331840","14568000","151.75","0.13","1-01869-0059","254 WEST 98 STREET","UPPER WEST SIDE (96-116)","D1  -ELEVATOR","35","1920","23968","773447","32.27","180239","7.52","593208","6066000","253.09","0.09","2019"
"1-01324-7501","0518-R1","245 EAST 50 STREET","MIDTOWN EAST","R4  -ELEVATOR","16","1980","19082","901052","47.22","197117","10.33","703935","5717000","299.6","1-01320-0018","235 EAST 46 STREET","MIDTOWN EAST","D1  -ELEVATOR","63","1938","49914","2356939","47.22","515612","10.33","1841327","12227000","244.96","0.2","1-01362-0012","20 BEEKMAN PLACE","MIDTOWN EAST","D3  -ELEVATOR","79","1957","98808","4769462","48.27","1232136","12.47","3537326","19584000","198.2","0.25","1-01321-0038","224 EAST 48 STREET","MIDTOWN EAST","D1  -ELEVATOR","25","1928","15402","727128","47.21","219016","14.22","508112","4183000","271.59","0.15","2019"
"1-01220-7502","0521-R1","103 WEST 89 STREET","UPPER WEST SIDE (79-96)","R4  -ELEVATOR","13","1989","27389","1132535","41.35","360713","13.17","771822","6268000","228.85","1-01203-0038","4 WEST 90 STREET","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","11","1930","7754","326754","42.14","99096","12.78","227658","2031000","261.93","0.17","1-01205-0022","5 WEST 91 STREET","UPPER WEST SIDE (79-96)","D1  -ELEVATOR","48","1972","48972","1999037","40.82","596479","12.18","1402558","10470000","213.8","0.19","1-01200-0043","20 WEST 87 STREET","UPPER WEST SIDE (79-96)","D1  -ELEVATOR","24","1910","17046","704852","41.35","224496","13.17","480356","4210000","246.98","0.23","2019"
"1-01143-7503","0523-R1","100 WEST 72 STREET","UPPER WEST SIDE (59-79)","R9  -CONDOPS","35","1900","36236","1521912","42","340256","9.39","1181656","9597000","264.85","1-01143-0027","115 WEST 71 STREET","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","38","1913","36364","1593470","43.82","412004","11.33","1181466","8121000","223.33","0","1-01143-0020","133 WEST 71 STREET","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","36","1928","30712","1286833","41.9","277329","9.03","1009504","7607000","247.69","0","1-01184-0025","312 WEST 73 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","16","1920","14025","589050","42","131695","9.39","457355","3433000","244.78","0.3","2019"
"1-01555-7501","0524-R1","1776 2 AVENUE","UPPER EAST SIDE (79-96)","R4  -ELEVATOR","221","1987","220209","11307732","51.35","3703915","16.82","7603817","61754002","280.43","1-01535-0031","240 EAST 90 STREET","UPPER EAST SIDE (79-96)","D9  -ELEVATOR","25","1960","21000","1078350","51.35","353220","16.82","725130","6713000","319.67","0.21","1-01518-0031","165 EAST 89 STREET","UPPER EAST SIDE (79-96)","D9  -ELEVATOR","56","1975","49680","2585844","52.05","811274","16.33","1774570","8214000","165.34","0.3","1-01570-0015","423 EAST 90 STREET","UPPER EAST SIDE (79-96)","D1  -ELEVATOR","49","1987","30866","1576635","51.08","478114","15.49","1098521","7909000","256.24","0.17","2019"
"1-00508-7501","0527-R1","259 ELIZABETH STREET","LITTLE ITALY","R4  -ELEVATOR","26","1987","17117","830517","48.52","277467","16.21","553050","4491999","262.43","1-00470-0005","160 MOTT STREET","LITTLE ITALY","D1  -ELEVATOR","35","1910","11967","583032","48.72","175077","14.63","407955","2663000","222.53","0.3","1-00447-0051","313 EAST 5 STREET","EAST VILLAGE","D1  -ELEVATOR","47","1940","20600","999512","48.52","333926","16.21","665586","6122000","297.18","0.4","1-00437-0009","254 EAST 10 STREET","EAST VILLAGE","D3  -ELEVATOR","25","1990","12264","587323","47.89","178932","14.59","408391","3349000","273.08","0.63","2019"
"1-00612-7501","0530-R1","22 PERRY STREET","GREENWICH VILLAGE-WEST","R4  -ELEVATOR","21","1987","18780","998345","53.16","151367","8.06","846978","6879001","366.29","1-00634-0047","337 WEST 11 STREET","GREENWICH VILLAGE-WEST","D5  -ELEVATOR","62","1965","53500","2844060","53.16","431210","8.06","2412850","16016000","299.36","0.26","1-00626-0036","30 HORATIO STREET","GREENWICH VILLAGE-WEST","D3  -ELEVATOR","47","1910","41970","2191673","52.22","341636","8.14","1850037","6576000","156.68","0.24","1-00612-0033","29 CHARLES STREET","GREENWICH VILLAGE-WEST","D3  -ELEVATOR","37","1914","27108","1465730","54.07","245327","9.05","1220403","6718000","247.82","0","2019"
"1-01883-7501","0532-R1","545 WEST 111 STREET","UPPER WEST SIDE (96-116)","R9  -CONDOPS","122","1930","150343","4592979","30.55","1837191","12.22","2755788","22381000","148.87","1-01890-0015","865 WEST END AVENUE","UPPER WEST SIDE (96-116)","D3  -ELEVATOR","77","1925","143604","3521170","24.52","1602621","11.16","1918549","15222000","106","0.48","1-01832-0016","27 WEST 96 STREET","MANHATTAN VALLEY","D3  -ELEVATOR","92","1927","133915","4571858","34.14","1831957","13.68","2739901","22252000","166.17","0.83","1-01824-0016","89 LENOX AVENUE","HARLEM-CENTRAL","D1  -ELEVATOR","161","1981","154962","4734089","30.55","2270193","14.65","2463896","20011000","129.13","0.72","2019"
"1-01253-7501","0533-R1","317 WEST 95 STREET","UPPER WEST SIDE (79-96)","R4  -ELEVATOR","30","1902","32905","1196097","36.35","347806","10.57","848291","6889000","209.36","1-01253-0016","311 WEST 94 STREET","UPPER WEST SIDE (79-96)","D1  -ELEVATOR","24","1930","22290","820272","36.8","267480","12","552792","5337000","239.43","0.05","1-01252-0038","325 WEST 93 STREET","UPPER WEST SIDE (79-96)","D1  -ELEVATOR","28","1910","32928","1174542","35.67","331914","10.08","842628","5398000","163.93","0.09","1-01253-0035","310 WEST 95 STREET","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","45","1925","37674","1369450","36.35","398214","10.57","971236","11771000","312.44","0.05","2019"
"1-01008-7502","0534-R1","162 WEST 56 STREET","MIDTOWN WEST","R4  -ELEVATOR","65","1926","74422","3776917","50.75","1175868","15.8","2601049","21125002","283.85","1-01043-0005","369 WEST 52 STREET","MIDTOWN WEST","D5  -ELEVATOR","48","1940","37030","1830393","49.43","434732","11.74","1395661","11335000","306.1","0.37","1-01042-0007","355 WEST 51 STREET","MIDTOWN WEST","D3  -ELEVATOR","40","1920","24848","1293587","52.06","453724","18.26","839863","6822000","274.55","0.39",,,,,,,,,,,,,,,,"2019"
"1-00507-7501","0535-R1","11 PRINCE STREET","LITTLE ITALY","R4  -ELEVATOR","22","1900","22511","808595","35.92","310427","13.79","498168","4046001","179.73","1-00468-0013","208 EAST 13 STREET","EAST VILLAGE","D5  -ELEVATOR","13","1930","14022","542932","38.72","199673","14.24","343259","4496000","320.64","0.67","1-00470-0005","160 MOTT STREET","LITTLE ITALY","D1  -ELEVATOR","35","1910","11967","429855","35.92","167299","13.98","262556","2663000","222.53","0.3","1-00453-0011","304 EAST 12 STREET","EAST VILLAGE","D1  -ELEVATOR","89","1940","101800","3656656","35.92","1403822","13.79","2252834","17905000","175.88","0.64","2019"
"1-01048-7503","0538-R1","301 WEST 57 STREET","MIDTOWN WEST","R4  -ELEVATOR","297","1987","320000","16697600","52.18","4438400","13.87","12259200","99563010","311.13","1-01043-0005","369 WEST 52 STREET","MIDTOWN WEST","D5  -ELEVATOR","48","1940","37030","1887789","50.98","574706","15.52","1313083","11335000","306.1","0.25","1-01042-0007","355 WEST 51 STREET","MIDTOWN WEST","D3  -ELEVATOR","40","1920","24848","1300296","52.33","350854","14.12","949442","6822000","274.55","0.3","1-01041-0038","306 WEST 51 STREET","MIDTOWN WEST","D3  -ELEVATOR","38","1945","25482","1329651","52.18","353435","13.87","976216","7295000","286.28","0.35","2019"
"1-01048-7503","0538-R2","301 WEST 57 STREET","MIDTOWN WEST","R4  -ELEVATOR","20","1987","15764","793402","50.33","206351","13.09","587051","4767999","302.46","1-01043-0005","369 WEST 52 STREET","MIDTOWN WEST","D5  -ELEVATOR","48","1940","37030","1819284","49.13","546193","14.75","1273091","11335000","306.1","0.25","1-01042-0007","355 WEST 51 STREET","MIDTOWN WEST","D3  -ELEVATOR","40","1920","24848","1254327","50.48","331721","13.35","922606","6822000","274.55","0.3","1-01041-0038","306 WEST 51 STREET","MIDTOWN WEST","D3  -ELEVATOR","38","1945","25482","1282509","50.33","333559","13.09","948950","7295000","286.28","0.35","2019"
"1-01331-7501","0541-R1","200 EAST 58 STREET","MIDTOWN EAST","R4  -ELEVATOR","115","1963","128436","5742374","44.71","1894431","14.75","3847943","31247000","243.29","1-01362-0012","20 BEEKMAN PLACE","MIDTOWN EAST","D3  -ELEVATOR","79","1957","98808","3607480","36.51","1196565","12.11","2410915","19584000","198.2","0.43","1-01343-0049","956 2 AVENUE","MIDTOWN EAST","D6  -ELEVATOR","121","1959","115860","6290039","54.29","2464342","21.27","3825697","31070000","268.17","0.38","1-01338-0035","330 EAST 46 STREET","MIDTOWN EAST","D6  -ELEVATOR","206","1961","152676","6826144","44.71","2192427","14.36","4633717","37629000","246.46","0.61","2019"
"1-00629-7502","0544-R1","350 WEST 14 STREET","GREENWICH VILLAGE-WEST","R4  -ELEVATOR","49","1962","32863","1274099","38.77","327644","9.97","946455","7687007","233.91","1-00624-0044","290 WEST 12 STREET","GREENWICH VILLAGE-WEST","D1  -ELEVATOR","44","1965","26694","1034926","38.77","266139","9.97","768787","8212000","307.63","0.19","1-00624-0041","300 WEST 12 STREET","GREENWICH VILLAGE-WEST","D9  -ELEVATOR","54","1920","34872","1350244","38.72","386033","11.07","964211","9716000","278.62","0.19","1-00633-0013","326 WEST 11 STREET","GREENWICH VILLAGE-WEST","D1  -ELEVATOR","31","1920","19260","765585","39.75","227846","11.83","537739","5967000","309.81","0.36","2019"
"1-00389-7501","0545-R1","97 AVENUE B","ALPHABET CITY","R9  -CONDOPS","30","1900","24451","1008115","41.23","254046","10.39","754069","6124000","250.46","1-00387-0153","629 EAST 5 STREET","ALPHABET CITY","D9  -ELEVATOR","24","1920","18523","898921","48.53","277660","14.99","621261","4809000","259.62","0.1","1-00391-0050","319 EAST 8 STREET","ALPHABET CITY","D1  -ELEVATOR","15","2000","18260","752860","41.23","189721","10.39","563139","3764000","206.13","0.09","1-00399-0044","185 EAST 3 STREET","ALPHABET CITY","D1  -ELEVATOR","43","1950","35550","1401737","39.43","367232","10.33","1034505","7245000","203.8","0.2","2019"
"1-01436-7502","0546-R1","350 EAST 62 STREET","UPPER EAST SIDE (59-79)","R4  -ELEVATOR","93","1916","66688","3246372","48.68","910958","13.66","2335414","18967010","284.41","1-01439-0042","320 EAST 65 STREET","UPPER EAST SIDE (59-79)","D3  -ELEVATOR","71","1930","58325","2839261","48.68","796720","13.66","2042541","19379000","332.26","0.14","1-01437-0041","330 EAST 63 STREET","UPPER EAST SIDE (59-79)","D1  -ELEVATOR","90","1949","70992","3514814","49.51","1172788","16.52","2342026","17593000","247.82","0.05","1-01369-0037","422 EAST 58 STREET","MIDTOWN EAST","D3  -ELEVATOR","24","1939","18654","903040","48.41","302568","16.22","600472","4043000","216.74","0.24","2019"
"1-01223-7502","0550-R1","124 WEST 93 STREET","UPPER WEST SIDE (79-96)","R4  -ELEVATOR","53","1925","62389","2985314","47.85","1099918","17.63","1885396","15312002","245.43","1-01241-0061","698 WEST END AVENUE","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","90","1925","91494","4377988","47.85","1613039","17.63","2764949","15112000","165.17","0.22","1-01205-0022","5 WEST 91 STREET","UPPER WEST SIDE (79-96)","D1  -ELEVATOR","48","1972","48972","2323721","47.45","857500","17.51","1466221","10470000","213.8","0.18","1-01241-0001","680 WEST END AVENUE","UPPER WEST SIDE (79-96)","D3  -ELEVATOR","63","1917","154800","7501608","48.46","2936556","18.97","4565052","23314000","150.61","0.22","2019"
"1-02221-7501","0557-R1","571 ACADEMY STREET","INWOOD","R4  -ELEVATOR","89","1925","76970","1830347","23.78","875919","11.38","954428","7536990","97.92","1-02220-0043","10 POST AVENUE","INWOOD","D3  -ELEVATOR","95","1922","87600","2083128","23.78","996888","11.38","1086240","8620000","98.4","0.12","1-02241-0002","55 COOPER STREET","INWOOD","D1  -ELEVATOR","49","1936","42874","1035836","24.16","472900","11.03","562936","4939000","115.2","0.25","1-02174-0236","9 THAYER STREET","WASHINGTON HEIGHTS UPPER","D1  -ELEVATOR","88","1920","85704","2015758","23.52","878466","10.25","1137292","5604000","65.39","0.21","2019"
"1-00413-7501","0558-R1","75 ALLEN STREET","LOWER EAST SIDE","R2  -WALK-UP","18","1900","7994","458216","57.32","99046","12.39","359170","2916988","364.9","1-00420-0043","146 FORSYTH STREET","LOWER EAST SIDE","C4  -WALK-UP","24","1910","10675","624061","58.46","164929","15.45","459132","3585000","335.83","0.16","1-00425-0033","163 CHRYSTIE STREET","LOWER EAST SIDE","C1  -WALK-UP","21","1900","9935","569474","57.32","123095","12.39","446379","4003000","402.92","0.21","1-00350-0066","163 ATTORNEY STREET","LOWER EAST SIDE","C1  -WALK-UP","18","1910","6750","375300","55.6","88088","13.05","287212","2183000","323.41","0.45","2019"
"1-02066-7501","0561-R1","443 WEST 151 STREET","HARLEM-UPPER","R2  -WALK-UP","38","1926","25050","808113","32.26","346191","13.82","461922","3751000","149.74","1-02060-0047","369 CONVENT AVENUE","HARLEM-UPPER","C4  -WALK-UP","21","1920","11165","360183","32.26","154300","13.82","205883","2250000","201.52","0.31","1-02068-0003","1885 AMSTERDAM AVENUE","HARLEM-UPPER","C4  -WALK-UP","20","1940","9615","322583","33.55","138648","14.42","183935","1481000","154.03","0.09","1-02064-0054","464 WEST 150 STREET","HARLEM-UPPER","C1  -WALK-UP","30","1926","19982","621640","31.11","246778","12.35","374862","2063000","103.24","0.1","2019"
"1-00592-7501","0562-R1","1 SHERIDAN SQUARE","GREENWICH VILLAGE-WEST","R4  -ELEVATOR","45","1900","21494","955838","44.47","233640","10.87","722198","5864996","272.87","1-00588-0071","33 GROVE STREET","GREENWICH VILLAGE-WEST","D1  -ELEVATOR","65","1920","31460","1435834","45.64","377205","11.99","1058629","17791000","565.51","0.19","1-00592-0080","125 WEST WASHINGTON PLACE","GREENWICH VILLAGE-WEST","D1  -ELEVATOR","30","1926","17688","781456","44.18","229236","12.96","552220","4689000","265.09","0.05","1-00592-0062","140 WAVERLY PLACE","GREENWICH VILLAGE-WEST","D1  -ELEVATOR","23","1930","12144","540044","44.47","132005","10.87","408039","3585000","295.21","0.05","2019"
"1-01331-7502","0563-R1","225 EAST 57 STREET","MIDTOWN EAST","R9  -CONDOPS","260","1964","305093","15474317","50.72","5879142","19.27","9595175","77918000","255.39","1-01340-0001","884 2 AVENUE","MIDTOWN EAST","D6  -ELEVATOR","262","1961","290001","14633450","50.46","5269318","18.17","9364132","76067000","262.3","0.52","1-01272-0001","60 WEST 57 STREET","MIDTOWN WEST","D6  -ELEVATOR","250","1963","303642","15400722","50.72","5334990","17.57","10065732","81742000","269.21","0.55","1-01274-0006","41 WEST 58 STREET","MIDTOWN WEST","D6  -ELEVATOR","325","1948","269346","16882607","62.68","6184184","22.96","10698423","86876000","322.54","0.57","2019"
"1-00470-7501","0564-R1","122 ELIZABETH STREET","LITTLE ITALY","R4  -ELEVATOR","28","1988","21442","1214689","56.65","378666","17.66","836023","6790006","316.67","1-00470-0005","160 MOTT STREET","LITTLE ITALY","D1  -ELEVATOR","35","1910","11967","680324","56.85","192429","16.08","487895","2663000","222.53","0.05","1-00462-0035","223 EAST 6 STREET","EAST VILLAGE","D1  -ELEVATOR","86","1996","91680","5178086","56.48","1459546","15.92","3718540","21862000","238.46","0.68","1-00447-0051","313 EAST 5 STREET","EAST VILLAGE","D1  -ELEVATOR","47","1940","20600","1166990","56.65","363796","17.66","803194","6122000","297.18","0.64","2019"
"1-00540-7501","0567-R1","173 BLEECKER STREET","GREENWICH VILLAGE-CENTRAL","R9  -CONDOPS","18","1900","15744","557338","35.4","193179","12.27","364159","2958000","187.88","1-00540-0025","224 SULLIVAN STREET","GREENWICH VILLAGE-CENTRAL","C5  -WALK-UP","88","1900","26625","1035446","38.89","378341","14.21","657105","12872000","483.46","0","1-00525-0039","178 THOMPSON STREET","GREENWICH VILLAGE-CENTRAL","C1  -WALK-UP","26","1900","10524","365393","34.72","147967","14.06","217426","5585000","530.69","0.13","1-00552-0014","78 WEST WASHINGTON PLACE","GREENWICH VILLAGE-CENTRAL","C4  -WALK-UP","20","1900","4460","157884","35.4","54724","12.27","103160","1961000","439.69","0.14","2019"
