"latitude","applicant_house_number","applicant_street_name","applicant_address_2","applicant_city","applicant_state","applicant_postcode","applicant_phone","project_name","project_borough","new_construction","doce_amount","credit_year","doce_date","total_units","total_tax_credit_units","application_year","applicant_borough","latitude_1","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Blue Sea Dev Corp / PPD Partners III LLC","2095","Broadway",,"New York","NY","10023","646-745-8019","Prospect Plaza - Site 3","Brooklyn","New Construction","$   2,349,343","2016","2016-03-22T00:00:00.000","134","134","2016","MANHATTAN","40.779346","-73.981921","7","6","159","1030519","1011640037","Lincoln Square"
"L&M Development Partners, Inc","1865","Palmer Avenue","Suite 203","Larchmont","NY","10538","914-833-3000","Story Avenue East","Bronx","New Construction","$   1,646,582","2016","2016-06-14T00:00:00.000","127","105","2016",,,,,,,,,
"BRP Development Corporation","767","Third Ave","33rd Floor","New York","NY","10017","212-488-1739","L2 Sites 6, 7 & 8","Brooklyn","New Construction","$   3,726,494","2016","2016-06-27T00:00:00.000","242","240","2016","MANHATTAN","40.754276","-73.971879","6","4","90","1037996","1013210047","Turtle Bay-East Midtown"
"MacQuesten Development & Best Development Group","438","Fifth Avenue","Suite 100","Pelham","NY","10803","914-667-7227","Van Sinderen Plaza","Brooklyn","New Construction","$   1,969,469","2016","2016-06-27T00:00:00.000","130","129","2016",,,,,,,,,
"Stagg Group","1763","Pitman Avenue",,"Bronx","NY","10466","646-302-7933","Norwood Gardens","Bronx","New Construction","$   888,417","2016","2016-06-29T00:00:00.000","118","59","2016","BRONX","40.895454","-73.85076","12","12","436","2070015","2050500082","Woodlawn-Wakefield"
"MBD Community Housing Corporation","1789","Southern Blvd",,"Bronx","NY","10460","347-226-2481","Don L.W. LLC","Bronx","Rehabilitation","$   1,356,803","2016","2016-06-22T00:00:00.000","270","209","2016","BRONX","40.837887","-73.887466","3","17","155","2009877","2029400038","Crotona Park East"
"The Bridge, Inc","248","West 108th Street",,"New York","NY","10025","212-663-3000","Melrose Commons Supportive Housing","Bronx","New Construction","$   945,401","2016","2016-06-15T00:00:00.000","59","58","2016","MANHATTAN","40.802417","-73.966383","7","7","195","1056670","1018790057","Morningside Heights"
"Tahl Propp Equities LLC","405","Park Avenue",,"New York","NY","10022","212-421-1117","Tahl Propp AIMCO Cluster","Manhattan","Rehabilitation","$   3,425,597","2016","2016-06-29T00:00:00.000","549","545","2016","MANHATTAN","40.759826","-73.972036","5","4","100","1036476","1013090001","Turtle Bay-East Midtown"
"Monadnock Development","155","3rd Street",,"Brooklyn","NY","11231","718-875-8160","491 Gerard Avenue","Bronx","New Construction","$   1,113,599","2016","2016-06-22T00:00:00.000","77","77","2016","BROOKLYN","40.676465","-73.990861","6","39","77","3255167","3004620014","Carroll Gardens-Columbia Street-Red Hook"
"Artimus Construction","316","W 118th St",,"New York","NY","10026","212-669-5100","148 Jamaica","Queens","New Construction","$   1,317,228","2016","2016-06-20T00:00:00.000","380","95","2016","MANHATTAN","40.80599","-73.955068","10","9","20102","1059072","1019440043","Central Harlem South"
"Brisa Builders Corp, EvergreenCity LLC, Procida Companies LLC","2009","Flatbush Ave",,"Brooklyn","NY","11234","718-774-6103","TLK Manor","Bronx","New Construction","$   1,233,230","2016","2016-06-27T00:00:00.000","83","82","2016","BROOKLYN","40.62067","-73.934765","18","45","650","3219619","3078670108","Flatlands"
"Douglaston Development","42-09","235th Street",,"Douglaston","NY","11363","212-991-4548","Seaview C","Staten Island","New Construction","$   2,861,712","2016","2016-06-10T00:00:00.000","161","160","2016","QUEENS","40.768182","-73.74851","11","19","1479","4440077","4081000033","Douglas Manor-Douglaston-Little Neck"
"Trinity Financial, Inc","1350","Broadway",,"New York","NY","10018","212-267-8400","Randolph Houses - Phase 2","Manhattan","Rehabilitation","$   1,976,158","2016","2016-06-20T00:00:00.000","115","114","2016","MANHATTAN","40.751306","-73.987656","5","4","109","1080606","1008110031","Midtown-Midtown South"
"Yuco Real Estate Company, Inc","200","Park Avenue","11th Floor","New York","NY","10166","212-994-2200","Williamsburg Apartments","Brooklyn","New Construction","$   156,667","2016","2016-12-01T00:00:00.000","53","52","2016","MANHATTAN","40.754162","-73.976557","5","4","92","1085735","1012809010","Turtle Bay-East Midtown"
"L&M Development Partners, Inc.","1865","Palmer Avenue","Suite 203","Larchmont","NY","10538","914-833-3000","Story Avenue West","Bronx","New Construction","$   1,679,784","2016","2016-12-13T00:00:00.000","112","112","2016",,,,,,,,,
"Foxy MGMT LDT & Alembic Deevelopment","500","Trinity Avenue",,"Bronx","NY","10455","718-993-6737","1880 Boston Road","Bronx","New Construction","$   2,778,048","2016","2016-12-14T00:00:00.000","168","167","2016","BRONX","40.812049","-73.91025","1","8","35","2003696","2025570078","Mott Haven-Port Morris"
"Monadnock Development","155","3rd Street",,"Brooklyn","NY","11231","718-875-8160","One Flushing","Queens","New Construction","$   1,880,942","2016","2016-12-22T00:00:00.000","118","117","2016","BROOKLYN","40.676465","-73.990861","6","39","77","3255167","3004620014","Carroll Gardens-Columbia Street-Red Hook"
"PRC & Camber Group","10","Bank Street","Suite 550","White Plains","NY","10606","212-734-9191","PRC Fox Street","Bronx","New Construction","$   1,315,845","2016","2016-12-21T00:00:00.000","200","100","2016",,,,,,,,,
"Hope Community Inc.","29-10","120th Street",,"Flushing","NY","11354","718-888-7679","Hope East of Fifth","Manhattan","New Construction","$   3,420,569","2016","2016-12-27T00:00:00.000","506","404","2016","QUEENS","40.771853","-73.847965","7","19","907","4539993","4043460041","College Point"
"BRP Development Corporation","767","Third Avenue","33rd Floor","New York","NY","10017","212-488-1739","The Crossing at Jamaica Station - High Rise","Queens","New Construction","$   2,203,494","2016","2016-12-21T00:00:00.000","90","90","2016","MANHATTAN","40.754276","-73.971879","6","4","90","1037996","1013210047","Turtle Bay-East Midtown"
"BRP Development Corporation","767","Third Avenue","33rd Floor","New York","NY","10017","212-488-1739","The Crossing at Jamaica Station - Mid Rise","Queens","New Construction","$   2,001,131","2016","2016-12-21T00:00:00.000","130","104","2016","MANHATTAN","40.754276","-73.971879","6","4","90","1037996","1013210047","Turtle Bay-East Midtown"
"Urban Builders Collaborative, LLC","334-336","East 110th Street",,"Bronx","NY","10029","212-996-6640","Thessalonia Manor","Bronx","New Construction","$   2,044,795","2016","2016-12-22T00:00:00.000","120","119","2016","MANHATTAN","40.792786","-73.939638","11","8","180","1052844","1016810036","East Harlem North"
"Artimus Construction","316","West 118th Street",,"New York","NY","10026","212-996-5100","Fulton House","Manhattan","New Construction","$   332,087","2016","2016-12-20T00:00:00.000","160","32","2016","MANHATTAN","40.80599","-73.955068","10","9","20102","1059072","1019440043","Central Harlem South"
"WHEDco","50","East 168th Street",,"Bronx","NY","10452","718-839-1188","Bronx Commons","Bronx","New Construction","$   3,757,092","2016","2016-12-27T00:00:00.000","305","182","2016","BRONX","40.836725","-73.919292","4","16","197","2101464","2024800001","West Concourse"
"Omni New York LLC","885","Second Avenue","31st Floor","New York","NY","10017","(646)502-7197","Morris II Apartments","Bronx","New Construction","$   2,399,455","2017","2017-03-29T00:00:00.000","313","130","2017","MANHATTAN","40.753194","-73.969757","6","4","90","1037988","1013210022","Turtle Bay-East Midtown"
"Monadnock Development LLC","155","3rd Street",,"Brooklyn","NY","11231","(718)875-8160","Compass Residences 5","Bronx","New Construction","$   3,672,864","2017","2017-03-29T00:00:00.000","218","217","2017","BROOKLYN","40.676465","-73.990861","6","39","77","3255167","3004620014","Carroll Gardens-Columbia Street-Red Hook"
"Radson Development","77","Cuttermill Road",,"Great Neck","NY","11021","(516)730-9302","MLK Plaza","Bronx","New Construction","$   2,154,308","2017","2017-03-29T00:00:00.000","150","149","2017",,,,,,,,,
"Urban Development Corporation","89-60","164th Street",,"Jamaica","NY","11432","(718)526-4775","Tree of Life","Queens","New Construction","$   1,181,906","2017","2017-04-10T00:00:00.000","87","87","2017","QUEENS","40.707053","-73.796924","12","24","44601","4209585","4097930086","Jamaica"
"SKA Marin","98","Cuttermill Road",,"Great Neck","NY","11021","(516)466-9581","Gilbert on First/ Draper Hall Phase II","Manhattan","New Construction","$   1,423,751","2017","2014-04-04T00:00:00.000","92","92","2017",,,,,,,,,
"Azimuth Development Group LLC","40","Fulton Street","12th Floor","New York","NY","10038","(212)766-9651","Concourse Village West Apts","Bronx","New Construction","$   1,851,676","2017","2017-06-26T00:00:00.000","265","132","2017","MANHATTAN","40.707904","-74.004411","1","1","1502","1075618","1000750021","Battery Park City-Lower Manhattan"
"L&M Development Partners, Inc.","1865","Palmer Avenue","Suite 203","Larchmont","NY","10538","(212)233-0495","Lexington Gardens II","Manhattan","New Construction","$   4,709,806","2017","2017-06-22T00:00:00.000","400","199","2017",,,,,,,,,
"Hudson Companies","826","Broadway","11th Floor","New York","NY","10003","(212)710-6023","BEC Phase II Resyndication","Brooklyn","Rehabilitation","$   2,995,438","2017","2017-06-22T00:00:00.000","550","484","2017","MANHATTAN","40.733326","-73.991077","2","2","61","1009208","1005640034","West Village"
"Spectrum Development LLC","55","Bruckner Boulevard",,"Bronx","NY","10455","(917)674-8327","The Frederick","Manhattan","New Construction","$   1,199,910","2017","2017-06-22T00:00:00.000","75","68","2017","BRONX","40.806519","-73.926697","1","8","19","2127461","2022967501","Mott Haven-Port Morris"
"Project Renewal, Inc.","200","Varick Street",,"New York","NY","10014","(512)971-7806","Bedford Green","Bronx","New Construction","$   2,211,190","2017","2017-06-26T00:00:00.000","58","57","2017","MANHATTAN","40.728347","-74.005343","2","3","37","1008118","1005200001","SoHo-TriBeCa-Civic Center-Little Italy"
"Procida Development Group LLC","456","East 173rd Street",,"Bronx","NY","10457","(718)299-7000","Westchester Mews","Bronx","New Construction","$   1,949,269","2017","2017-06-26T00:00:00.000","206","124","2017","BRONX","40.841806","-73.901775","3","16","167","2009492","2029050024","Claremont-Bathgate"
"ACMH , Inc.","254","West 31st Street","9th Floor","New York","NY","10001","(212)274-8558","Wilfrid East & West","Bronx","New Construction","$   1,928,879","2017","2017-06-27T00:00:00.000","190","137","2017","MANHATTAN","40.749734","-73.993532","5","3","101","1014347","1007800071","Midtown-Midtown South"
"West Side Federation for Senior and Supportive Housing, Inc.","2345","Broadway",,"New York","NY","10024","(212) 721-6032","Mill Brook Terrace","Bronx","New Construction","$   3,190,711","2017","2017-06-20T00:00:00.000","159","158","2017","MANHATTAN","40.787931","-73.976838","7","6","171","1081052","1012330011","Upper West Side"
"L&M Development Partners, Inc.","1865","Palmer Avenue","Suite 203","Larchmont","NY","10538","(212)233-0495","Beach Green Dunes Phase II","Queens","New Construction","$   1,494,844","2017","2017-12-13T00:00:00.000","126","89","2017",,,,,,,,,
"Monadnock Development LLC","155","3rd Street",,"Brooklyn","NY","11231","(718)875-8160","Nehemiah Spring Creek 4B-1","Brooklyn","New Construction","$   1,219,491","2017","2017-12-14T00:00:00.000","112","112","2017","BROOKLYN","40.676465","-73.990861","6","39","77","3255167","3004620014","Carroll Gardens-Columbia Street-Red Hook"
"BRP Companies","767","Third Avenue","33rd Floor","New York","NY","10017","(212)488-1739","La Central - Bronxchester","Bronx","New Construction","$   9,423,028","2017","2017-12-21T00:00:00.000","496","373","2017","MANHATTAN","40.754276","-73.971879","6","4","90","1037996","1013210047","Turtle Bay-East Midtown"
"Community Access, Inc.","2","Washington Street","9th Floor","New York","NY","10004","(212)780-1400","985 Bruckner Boulevard","Bronx","New Construction","$   3,026,297","2017","2017-12-15T00:00:00.000","215","214","2017","MANHATTAN","40.705137","-74.015585","1","1","13","1087080","1000157501","Battery Park City-Lower Manhattan"
"Phipps Houses","902","Broadway","13th Floor","New York","NY","10010","(212)243-9090","600 East 156th Street","Bronx","New Construction","$   1,637,599","2017","2017-12-20T00:00:00.000","273","273","2017","MANHATTAN","40.739279","-73.989726","5","2","52","1016201","1008490016","Hudson Yards-Chelsea-Flatiron-Union Square"
"Monadnock Development LLC","155","3rd Street",,"Brooklyn","NY","11231","(718)875-8160","Compass Residences Three","Bronx","New Construction","$   3,874,553","2017","2017-12-14T00:00:00.000","95","94","2017","BROOKLYN","40.676465","-73.990861","6","39","77","3255167","3004620014","Carroll Gardens-Columbia Street-Red Hook"
"Radiant  Development","77","Cuttermill Road",,"Great Neck","NY","11021","(516)730-9302","Creston Parkview","Bronx","New Construction","$   1,431,380","2017","2017-12-20T00:00:00.000","95","94","2017",,,,,,,,,
"Center for Urban Community Services, Inc.","198","East 121st Street","6th Floor","New York","NY","10035","(212)801-3368","West 127th Street Residence","Manhattan","New Construction","$   2,687,112","2018","2018-06-13T00:00:00.000","117","116","2018","MANHATTAN","40.801192","-73.937831","11","8","196","1087272","1017697501","East Harlem North"
"Property Resources Corporation","10","Bank Street",,"White Plains","NY","10606","(212)734-9191","PRC Tiffany Street","Bronx","New Construction","$   1,479,174","2018","2018-06-19T00:00:00.000","97","96","2018",,,,,,,,,
"Stagg Group LLC","1763","Pitman Avenue",,"Bronx","NY","10466","(914)688-7600","Mosholu Grand","Bronx","New Construction","$   1,254,387","2018","2018-06-13T00:00:00.000","77","76","2018","BRONX","40.895454","-73.85076","12","12","436","2070015","2050500082","Woodlawn-Wakefield"
"Fifth Avenue Committee, Inc.","161-11","132nd Avenue",,"Queens","NY","11434","(718)237-2017","Northeastern Towers Annex","Queens","New Construction","$   3,556,178","2018","2018-06-19T00:00:00.000","159","158","2018","QUEENS","40.674824","-73.777771","12","28","294","4000000","4122770001","Springfield Gardens North"
"Volunteers of America","135","West 50th Street","9th Floor","New York","NY","10020","(212)496-4304","Clarke Place Senior Residence","Bronx","New Construction","$   2,543,400","2018","2018-06-14T00:00:00.000","122","121","2018","MANHATTAN","40.760374","-73.981533","5","4","131","1022708","1010030005","Midtown-Midtown South"
"Kiumarz Geula","3251","Third Avenue","2nd Floor","Bronx","NY","10456","(718)993-2280","Augustina Apartments","Queens","New Construction","$   2,421,946","2018","2018-06-28T00:00:00.000","142","141","2018","BRONX","40.824152","-73.908684","3","17","185","2001229","2023680043","Morrisania-Melrose"
"Omni New York LLC","885","Second Avenue","31st Floor","New York","NY","10017","(646)502-7197","Archer Green Apartments","Queens","New Construction","$   4,404,854","2018","2018-06-15T00:00:00.000","214","213","2018","MANHATTAN","40.753194","-73.969757","6","4","90","1037988","1013210022","Turtle Bay-East Midtown"
"Procida Development Group LLC","456","East 173rd Street",,"Bronx","NY","10457","(718)299-7000","Ebenezer Plaza (Phase 1A)","Brooklyn","New Construction","$   3,351,128","2018","2018-06-20T00:00:00.000","197","196","2018","BRONX","40.841806","-73.901775","3","16","167","2009492","2029050024","Claremont-Bathgate"
"Association of New York Catholic Homes","80","Maiden Lane","13th Floor","New York","NY","10038","(646)794-3167","Second Farms","Bronx","New Construction","$   3,665,867","2018","2018-06-25T00:00:00.000","224","223","2018","MANHATTAN","40.707116","-74.007329","1","1","7","1001015","1000420031","Battery Park City-Lower Manhattan"
"Phipps Houses","902","Broadway","13th Floor","New York","NY","10010","(212)243-9090","Rockaway Village Phase 1","Queens","New Construction","$   4,745,046","2018","2018-06-25T00:00:00.000","455","227","2018","MANHATTAN","40.739279","-73.989726","5","2","52","1016201","1008490016","Hudson Yards-Chelsea-Flatiron-Union Square"
"L&M Development Partners, Inc.","1865","Palmer Avenue","Suite 203","Larchmont","NY","10538","(212)233-0495","Coney Island Phase 1","Brooklyn","New Construction","$   6,107,556","2018","2018-06-28T00:00:00.000","357","356","2018",,,,,,,,,
"West Side Federation for Senior and Supportive Housing, Inc.","2345","Broadway",,"New York","NY","10024","(212) 721-6032","WSFSSH at West 108th Street","Manhattan","New Construction","$   3,257,389","2018","2018-12-26T00:00:00.000","199","198","2018","MANHATTAN","40.787931","-73.976838","7","6","171","1081052","1012330011","Upper West Side"
"Radson Development","77","Cuttermill Road",,"Great Neck","NY","11021","(516)730-9302","Linden Terrace","Brooklyn","New Construction","$   2,194,030","2018","2018-06-21T00:00:00.000","141","140","2018",,,,,,,,,
"Azimuth Development Group LLC","40","Fulton Street","12th Floor","New York","NY","10038","(212)766-9651","Randy Watson Apartments","Bronx","New Construction","$   3,301,851","2018","2018-06-19T00:00:00.000","326","230","2018","MANHATTAN","40.707904","-74.004411","1","1","1502","1075618","1000750021","Battery Park City-Lower Manhattan"
"Camber Properties Group","32","East 31st Street",,"New York","NY","10016","(646) 849-4290","Victory Plaza","Manhattan","New Construction","$   2,450,607","2018","2018-12-04T00:00:00.000","136","135","2018","MANHATTAN","40.745718","-73.984023","5","2","74","1016970","1008600055","Midtown-Midtown South"
"TF Cornerstone","387","Park Avenue South","7th Floor","New York","NY","10016","(212) 901-8121","Hunters Point South Parcel C - North Tower","Queens","New Construction","$   2,644,850","2018","2018-12-10T00:00:00.000","160","161","2018","MANHATTAN","40.742795","-73.98445","5","2","68","1018162","1008830001","Gramercy"
"TF Cornerstone","387","Park Avenue South","7th Floor","New York","NY","10016","(212) 901-8121","Hunters Point South - South Tower","Queens","New Construction","$   1,706,596","2018","2018-12-14T00:00:00.000","81","80","2018","MANHATTAN","40.742795","-73.98445","5","2","68","1018162","1008830001","Gramercy"
"Type A Real Estate Advisers LLC","58","Reade Street","4th Floor","New York","NY","10007","(917) 747-8396","Del Sur","Bronx","Rehabilitation","$   2,500,920","2018","2018-12-10T00:00:00.000","115","114","2018","MANHATTAN","40.714898","-74.006349","1","1","33","1001636","1001507502","SoHo-TriBeCa-Civic Center-Little Italy"
"Richman Capital","777","West Putnam Avenue",,"Greenwich","CT","o6830","(203) 869-0900","125 MEC Center Parcel B West","Manhattan","New Construction","$   1,846,407","2018","2018-12-28T00:00:00.000","102","101","2018",,,,,,,,,
"Trinity Financial Inc.","1350","Broadway","Suite 2203","New York","NY","10018","(212)267-8400","Van Dyke III","Brooklyn","New Construction","$   3,905,206","2018","2018-12-07T00:00:00.000","180","179","2018","MANHATTAN","40.751306","-73.987656","5","4","109","1080606","1008110031","Midtown-Midtown South"
"Related Companies","60","Columbus Circle","19th Floor","New York","NY","10023","(212) 801 -3511","Riverwalk 8","Manhattan","New Construction","$   949,330","2018","2018-12-19T00:00:00.000","70","69","2018","MANHATTAN","40.768378","-73.982148","4","3","145","1026318","1010497501","Lincoln Square"
"BFC Partners","150","Myrtle Avenue","2nd Floor","Brooklyn","NY","11201","718-442-9999","Bedford Courts - Buildings 2 & 3","Brooklyn","New Construction","$3,358,229","2019",,"251","250","2019","Brooklyn","40.693606","-73.983080","302","35","15","3394020","3020607501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Monadnock Development LLC","155","3rd Street",,"Brooklyn","NY","11231","718-875-8160","Nehemiah Spring Creek 4B-2","Brooklyn","New Construction","$2,113,526","2019",,"175","174","2019","Brooklyn","40.676465","-73.990861","306","39","77","3255167","3004620014","Carroll Gardens-Columbia Street-Red Hook"
"Phipps Houses & Acacia Network","902","Broadway","13th Floor","New York","NY","10010","646-338-8216","1675 Westchester Avenue","Bronx","New Construction","$2,585,621","2019",,"150","149","2019","New York","40.739279","-73.989726","105","2","52","1016201","1008490016","Hudson Yards-Chelsea-Flatiron-Union Square"
"Hudson/Spofford","88","Pine Street","27th Floor","New York","NY","10005","212-710-6023","The Peninsula Building 1B","Bronx","New Construction","$3,942,908","2019",,"183","182","2019","New York","40.705360","-74.006290","101","1","7","1000876","1000380017","Battery Park City-Lower Manhattan"
"Pennrose, LLC","230","Wyoming Avenue",,"Kingston","PA","18704","267-386-8643","50 Penn","Brooklyn","New Construction","$3,551,290","2019",,"218","217","2019","Kingston",,,,,,,,
"The Durst Organization Inc.","247","West 37th Street","4th Floor","New York","NY","10036","212-265-6530","Halletts Point Building 7","Queens","New Construction","$3,394,651","2019",,"162","162","2019","New York","40.753475","-73.990594","105","3","109","1014454","1007870011","Midtown-Midtown South"
"The Community Builders, Inc.","8","West 38th Street","Suite 1102","New York","NY","10018","917-749-5730","Park Haven","Bronx","New Construction","$3,229,699","2019",,"178","177","2019","New York","40.751215","-73.983354","105","4","84","1075696","1008390055","Midtown-Midtown South"
"L+M Development Partners Inc.","1865","Palmer Avenue","Suite 203","Larchmont","NY","10538","212-233-0495","Sendero Verde B","Manhattan","New Construction","$6,619,340","2019",,"289","288","2019","Larchmont",,,,,,,,
"Services for the UnderServed/  Bronx Pro Group LLC","463","7th Avenue","17th Floor","New York","NY","10018","917-408-1688","1769 Jerome Avenue","Bronx","New Construction","$3,366,136","2019",,"175","174","2019","New York","40.751749","-73.990057","105","3","109","1015222","1008110001","Midtown-Midtown South"
"Maddd Equities and Joy Construction","15","Verbena Avenue","Suite 200","Floral Park","NY","11001","516-821-2065","River Crest Phase A","Bronx","New Construction","$4,728,000","2019",,"250","249","2019","Floral Park",,,,,,,,
"Breaking Ground","505","Eighth Avenue","5th Floor","New York","NY","10018","212-389-9340","Betances Senior Residence","Bronx","New Construction","$3,742,742","2019",,"152","151","2019","New York","40.753047","-73.992850","104","3","111","1013575","1007590037","Hudson Yards-Chelsea-Flatiron-Union Square"
"Procida Companies","456","East 173rd Street",,"Bronx","NY","10457","718-299-7000","Ebenezer Plaza (Phase 1B)","Brooklyn","New Construction","$2,106,441","2019",,"118","118","2019","Bronx","40.841806","-73.901775","203","16","167","2009492","2029050024","Claremont-Bathgate"
"Phipps Houses","902","Broadway","13th Floor","New York","NY","10010","646-338-8216","Apex Place","Queens","New Construction","$4,575,080","2019",,"222","221","2019","New York","40.739279","-73.989726","105","2","52","1016201","1008490016","Hudson Yards-Chelsea-Flatiron-Union Square"
"Radson Development","77","Cuttermill Road",,"Great Neck","NY","10024","516-675-6877","RadRoc","Queens","New Construction","$4,307,351","2019",,"253","252","2019","Great Neck",,,,,,,,
"Artimus/Phoenix Realty Group","316","West 118th Street",,"New York","NY","10026","212-966-5100","J2 147-07 94th Avenue LI LLC","Queens","New Construction","$3,524,942","2019",,"218","216","2019","New York","40.805990","-73.955068","110","9","20102","1059072","1019440043","Central Harlem South"
"Gotham/Riseboro","432","Park Avenue South","2nd Floor","New York","NY","10016","212-599-0520","Hunters Point South F & G","Queens","New Construction","$6,585,601","2019",,"340","338","2019","New York","40.744257","-73.983410","105","2","74","1016934","1008590039","Midtown-Midtown South"
"MHANY Management Inc.","470","Vanderbilt Avenue","9th Floor","Brooklyn","NY","11203","718-246-7939","Chestnut Commons Apartments","Brooklyn","New Construction","$5,674,699","2019",,"275","274","2019","Brooklyn","40.683049","-73.967824","302","35","199","3335094","3020090001","Clinton Hill"
"The Community Builders, Inc.","8","West 38th Street","Suite 1102","New York","NY","10018","917-749-5730","Beach 21st","Queens","New Construction","$2,384,863","2019",,"134","133","2019","New York","40.751215","-73.983354","105","4","84","1075696","1008390055","Midtown-Midtown South"
"The Doe Fund, Inc","232","East 84th Street",,"New York","NY","10028","646-672-4467","Westchester Avenue","Bronx","New Construction","$2,543,906","2019",,"151","150","2019","New York","40.777142","-73.954102","108","5","138","1048714","1015290033","Yorkville"
"Trinity Mid Bronx Development LLC","1350","Broadway","Suite 1700","New York","NY","10018","212-267-8400","425 Grand Concourse","Bronx","New Construction","$4,539,501","2019",,"167","166","2019","New York","40.751306","-73.987656","105","4","109","1080606","1008110031","Midtown-Midtown South"
"Phipps Houses","902","Broadway","13th Floor","New York","NY","10010","646-338-8216","Rockaway Village Phase 2","Queens","New Construction","$5,981,798","2019",,"316","315","2019","New York","40.739279","-73.989726","105","2","52","1016201","1008490016","Hudson Yards-Chelsea-Flatiron-Union Square"
"Parkchester Preservation Co., L.P. c/o Olshan Properties","600","Madsion Avenue",,"New York","NY","10022","212-935-1330","Parkchester Gardens","Bronx","New Construction","$3,864,942","2020",,"221","220","2020","New York",,,,,,,,
"RiseBoro Community Partnership Inc.","217","Wyckoff Avenue",,"Brooklyn","NY","11237","718-366-3800","37 Hillside","Manhattan","New Construction","$3,431,930","2020",,"164","163","2020","Brooklyn","40.702153","-73.915751","304","37","443","3326375","3032910001","Bushwick North"
"ThorBird/Dabar Development","315","Madsion Avenue","Suite 350","New York","NY","10022","347-821-4762","1911 Atlantic Avenue","Brooklyn","New Construction","$3,967,336","2020",,"236","235","2020","New York",,,,,,,,
"Bronx Pro Group LLC and Services for the UnderServed Inc","1605","Dr. Martin Luther King Boulevard",,"Bronx","NY","14053","646-927-9408","Melrose North","Bronx","New Construction","$3,367,680","2020",,"171","170","2020","Bronx",,,,,,,,
"Radson Development","111","Great Neck Road","Suite 308","Great Neck","NY","11201","516-216-5450","Linden Terrace II","Brooklyn","New Construction","$2,762,633","2020",,"160","159","2020","Great Neck",,,,,,,,
"Monadnock Development LLC","155","3rd Street",,"Brooklyn","NY","11231","917-328-8638","Compass Six Residences","Bronx","New Construction","$3,916,014","2020",,"261","260","2020","Brooklyn","40.676465","-73.990861","306","39","77","3255167","3004620014","Carroll Gardens-Columbia Street-Red Hook"
"Settlement Housing Fund","247","West 37th Street","4th Floor","New York","NY","10018","347-963-8802","Twin Parks Terrace","Bronx","New Construction","$3,032,976","2020",,"182","181","2020","New York","40.753475","-73.990594","105","3","109","1014454","1007870011","Midtown-Midtown South"
"L+M Development Partners","1865","Palmer Avenue","2nd Floor","Larchmont","NY","10538","646-527-7205","Bronx Point","Bronx","New Construction","$9,405,262","2020",,"433","432","2020","Larchmont",,,,,,,,
"Phipps Houses","902","Broadway","13th Floor","New York","NY","10010","212-243-9090","Rockaway Village Phase 3","Queens","New Construction","$7,262,889","2020",,"354","353","2020","New York","40.739279","-73.989726","105","2","52","1016201","1008490016","Hudson Yards-Chelsea-Flatiron-Union Square"
"Ranger Properties, Housing Workshop, Alembic Devel., CLOTH, Children's Village","80","Eighth Avenue","Suite 708","New York","NY","10011","212-566-8805","The Eliza Apartments/Inwood Library","Manhattan","New Construction","$4,298,762","2021",,"174","173","2021","New York","40.739851","-74.002439","104","3","81","1013711","1007640001","Hudson Yards-Chelsea-Flatiron-Union Square"
"Dunn Development Corp. + Fish Plate Development LLC","589","Sackett Street","2nd Floor","New York","NY","11217","718-388-9407","Simba Simbi: Serving Our Seniors","Brooklyn","New Construction","$4,064,705","2021",,"157","156","2021","New York","40.678853","-73.984652","306","33","119","3394318","3004270001","Park Slope-Gowanus"
"Parktower Group c/o H1H2 Owner LLC","535","Madsion Avenue","35th Floor","New York","NY","10022","212-310-9768","Greenpoint Landing H1H2","Brooklyn","New Construction","$5,641,331","2021",,"263","262","2021","New York",,,,,,,,
"Highbridge Community Development Corp.","1465","Nelson Avenue","Suite A","Bronx","NY","10452","718-293-3100","St. Francis Commons","Bronx","New Construction","$2,452,335","2021",,"116","115","2021","Bronx","40.843495","-73.921369","204","16","21302","2008749","2028740033","Highbridge"
"L+M Development Partners Inc./Jonathan Rose Companies/Acacia","551","5th Avenue","23rd Floor","New York","NY","10176","917-542-3600","Sendero Verde A","Manhattan","New Construction","$6,491,030","2021",,"209","208","2021","New York","40.755617","-73.979318","105","4","94","1035389","1012810001","Midtown-Midtown South"
"UBC/Lettire/SelfHelp/Riseboro","334-336","E 110th Street",,"New York","NY","10029","917-566-2736","Atrium at Sumner","Brooklyn","New Construction","$6,211,173","2021",,"190","189","2021","New York","40.792786","-73.939638","111","8","180","1052844","1016810036","East Harlem North"
"JCAL Development Group","55","Bruckner Boulevard",,"Bronx","NY","10454","917-674-8327","The Willow","Bronx","New Construction","$3,081,921","2021",,"133","132","2021","Bronx","40.806519","-73.926697","201","8","19","2127461","2022967501","Mott Haven-Port Morris"
"Metropolitan Real Estate Development (MDG)","170","Froehlich Farm Blvd",,"Woodbury","NY","11797","631-400-8175","150 S. Portland/Hanson Place","Brooklyn","New Construction","$1,416,619","2021",,"62","61","2021","Woodbury",,,,,,,,
