"project_id","bbl","validated_borough","validated_block","validated_lot","validated","validated_date","unverified_borough","unverified_block","unverified_lot"
"2018M0375 - 1 - 00497 - 0006","1004970006","Manhattan","497","6","true","2021-04-01T00:00:00.000","Manhattan","497","6"
"2018M0375 - 1 - 00497 - 0009","1004970009","Manhattan","497","9","true","2021-04-01T00:00:00.000","Manhattan","497","9"
"2018M0375 - 1 - 00497 - 0011","1004970011","Manhattan","497","11","true","2021-04-01T00:00:00.000","Manhattan","497","11"
"2018M0375 - 1 - 00497 - 0012","1004970012","Manhattan","497","12","true","2021-04-01T00:00:00.000","Manhattan","497","12"
"2018M0375 - 1 - 00497 - 0015","1004970015","Manhattan","497","15","true","2021-04-01T00:00:00.000","Manhattan","497","15"
"2018M0375 - 1 - 00497 - 0018","1004970018","Manhattan","497","18","true","2021-04-01T00:00:00.000","Manhattan","497","18"
"2018M0375 - 1 - 00497 - 7501","1004977501","Manhattan","497","7501","true","2021-04-01T00:00:00.000","Manhattan","497","7501"
"2018M0375 - 1 - 00497 - 7502","1004977502","Manhattan","497","7502","true","2021-04-01T00:00:00.000","Manhattan","497","7502"
"2018M0375 - 1 - 00497 - 7503","1004977503","Manhattan","497","7503","true","2021-04-01T00:00:00.000","Manhattan","497","7503"
"2018M0375 - 1 - 00510 - 0001","1005100001","Manhattan","510","1","true","2021-04-01T00:00:00.000","Manhattan","510","1"
"2018M0375 - 1 - 00510 - 0006","1005100006","Manhattan","510","6","true","2021-04-01T00:00:00.000","Manhattan","510","6"
"2018M0375 - 1 - 00510 - 0021","1005100021","Manhattan","510","21","true","2021-04-01T00:00:00.000","Manhattan","510","21"
"2018M0375 - 1 - 00510 - 0023","1005100023","Manhattan","510","23","true","2021-04-01T00:00:00.000","Manhattan","510","23"
"2018M0375 - 1 - 00510 - 0025","1005100025","Manhattan","510","25","true","2021-04-01T00:00:00.000","Manhattan","510","25"
"2018M0375 - 1 - 00510 - 0026","1005100026","Manhattan","510","26","true","2021-04-01T00:00:00.000","Manhattan","510","26"
"2018M0375 - 1 - 00510 - 0028","1005100028","Manhattan","510","28","true","2021-04-01T00:00:00.000","Manhattan","510","28"
"2018M0375 - 1 - 00510 - 0030","1005100030","Manhattan","510","30","true","2021-04-01T00:00:00.000","Manhattan","510","30"
"2018M0375 - 1 - 00510 - 0033","1005100033","Manhattan","510","33","true","2021-04-01T00:00:00.000","Manhattan","510","33"
"2018M0375 - 1 - 00510 - 0037","1005100037","Manhattan","510","37","true","2021-04-01T00:00:00.000","Manhattan","510","37"
"2018M0375 - 1 - 00510 - 0038","1005100038","Manhattan","510","38","true","2021-04-01T00:00:00.000","Manhattan","510","38"
"2018M0375 - 1 - 00511 - 0001","1005110001","Manhattan","511","1","true","2021-04-01T00:00:00.000","Manhattan","511","1"
"2018M0375 - 1 - 00511 - 0006","1005110006","Manhattan","511","6","true","2021-04-01T00:00:00.000","Manhattan","511","6"
"2018M0375 - 1 - 00511 - 0008","1005110008","Manhattan","511","8","true","2021-04-01T00:00:00.000","Manhattan","511","8"
"2018M0375 - 1 - 00511 - 0012","1005110012","Manhattan","511","12","true","2021-04-01T00:00:00.000","Manhattan","511","12"
"2018M0375 - 1 - 00511 - 0015","1005110015","Manhattan","511","15","true","2021-04-01T00:00:00.000","Manhattan","511","15"
"2018M0375 - 1 - 00511 - 0016","1005110016","Manhattan","511","16","true","2021-04-01T00:00:00.000","Manhattan","511","16"
"2018M0375 - 1 - 00511 - 0019","1005110019","Manhattan","511","19","true","2021-04-01T00:00:00.000","Manhattan","511","19"
"2018M0375 - 1 - 00227 - 0001","1002270001","Manhattan","227","1","true","2021-04-01T00:00:00.000","Manhattan","227","1"
"2018M0375 - 1 - 00227 - 0002","1002270002","Manhattan","227","2","true","2021-04-01T00:00:00.000","Manhattan","227","2"
"2018M0375 - 1 - 00227 - 0003","1002270003","Manhattan","227","3","true","2021-04-01T00:00:00.000","Manhattan","227","3"
"2018M0375 - 1 - 00227 - 0004","1002270004","Manhattan","227","4","true","2021-04-01T00:00:00.000","Manhattan","227","4"
"2018M0375 - 1 - 00227 - 0006","1002270006","Manhattan","227","6","true","2021-04-01T00:00:00.000","Manhattan","227","6"
"2018M0375 - 1 - 00227 - 0007","1002270007","Manhattan","227","7","true","2021-04-01T00:00:00.000","Manhattan","227","7"
"2018M0375 - 1 - 00227 - 0016","1002270016","Manhattan","227","16","true","2021-04-01T00:00:00.000","Manhattan","227","16"
"2018M0375 - 1 - 00227 - 0019","1002270019","Manhattan","227","19","true","2021-04-01T00:00:00.000","Manhattan","227","19"
"2018M0375 - 1 - 00227 - 0020","1002270020","Manhattan","227","20","true","2021-04-01T00:00:00.000","Manhattan","227","20"
"2018M0375 - 1 - 00227 - 0022","1002270022","Manhattan","227","22","true","2021-04-01T00:00:00.000","Manhattan","227","22"
"2018M0375 - 1 - 00227 - 0028","1002270028","Manhattan","227","28","true","2021-04-01T00:00:00.000","Manhattan","227","28"
"2018M0375 - 1 - 00227 - 0033","1002270033","Manhattan","227","33","true","2021-04-01T00:00:00.000","Manhattan","227","33"
"2018M0375 - 1 - 00227 - 0050","1002270050","Manhattan","227","50","true","2021-04-01T00:00:00.000","Manhattan","227","50"
"2018M0375 - 1 - 00227 - 0052","1002270052","Manhattan","227","52","true","2021-04-01T00:00:00.000","Manhattan","227","52"
"2018M0375 - 1 - 00227 - 0055","1002270055","Manhattan","227","55","true","2021-04-01T00:00:00.000","Manhattan","227","55"
"2018M0375 - 1 - 00228 - 0001","1002280001","Manhattan","228","1","true","2021-04-01T00:00:00.000","Manhattan","228","1"
"2018M0375 - 1 - 00228 - 0002","1002280002","Manhattan","228","2","true","2021-04-01T00:00:00.000","Manhattan","228","2"
"2018M0375 - 1 - 00228 - 0003","1002280003","Manhattan","228","3","true","2021-04-01T00:00:00.000","Manhattan","228","3"
"2018M0375 - 1 - 00228 - 0004","1002280004","Manhattan","228","4","true","2021-04-01T00:00:00.000","Manhattan","228","4"
"2018M0375 - 1 - 00228 - 0005","1002280005","Manhattan","228","5","true","2021-04-01T00:00:00.000","Manhattan","228","5"
"2018M0375 - 1 - 00228 - 0007","1002280007","Manhattan","228","7","true","2021-04-01T00:00:00.000","Manhattan","228","7"
"2018M0375 - 1 - 00228 - 0009","1002280009","Manhattan","228","9","true","2021-04-01T00:00:00.000","Manhattan","228","9"
"2018M0375 - 1 - 00228 - 0010","1002280010","Manhattan","228","10","true","2021-04-01T00:00:00.000","Manhattan","228","10"
"2018M0375 - 1 - 00228 - 0011","1002280011","Manhattan","228","11","true","2021-04-01T00:00:00.000","Manhattan","228","11"
"2018M0375 - 1 - 00228 - 0022","1002280022","Manhattan","228","22","true","2021-04-01T00:00:00.000","Manhattan","228","22"
"2018M0375 - 1 - 00228 - 0023","1002280023","Manhattan","228","23","true","2021-04-01T00:00:00.000","Manhattan","228","23"
"2018M0375 - 1 - 00228 - 0024","1002280024","Manhattan","228","24","true","2021-04-01T00:00:00.000","Manhattan","228","24"
"2018M0375 - 1 - 00228 - 0025","1002280025","Manhattan","228","25","true","2021-04-01T00:00:00.000","Manhattan","228","25"
"2018M0375 - 1 - 00228 - 0111","1002280111","Manhattan","228","111","true","2021-04-01T00:00:00.000","Manhattan","228","111"
"2018M0375 - 1 - 00228 - 7501","1002287501","Manhattan","228","7501","true","2021-04-01T00:00:00.000","Manhattan","228","7501"
"2018M0375 - 1 - 00228 - 7502","1002287502","Manhattan","228","7502","true","2021-04-01T00:00:00.000","Manhattan","228","7502"
"2018M0375 - 1 - 00228 - 7503","1002287503","Manhattan","228","7503","true","2021-04-01T00:00:00.000","Manhattan","228","7503"
"2018M0375 - 1 - 00228 - 7504","1002287504","Manhattan","228","7504","true","2021-04-01T00:00:00.000","Manhattan","228","7504"
"2018M0375 - 1 - 00229 - 0001","1002290001","Manhattan","229","1","true","2021-04-01T00:00:00.000","Manhattan","229","1"
"2018M0375 - 1 - 00229 - 0003","1002290003","Manhattan","229","3","true","2021-04-01T00:00:00.000","Manhattan","229","3"
"2018M0375 - 1 - 00229 - 0004","1002290004","Manhattan","229","4","true","2021-04-01T00:00:00.000","Manhattan","229","4"
"2018M0375 - 1 - 00229 - 0005","1002290005","Manhattan","229","5","true","2021-04-01T00:00:00.000","Manhattan","229","5"
"2018M0375 - 1 - 00229 - 0006","1002290006","Manhattan","229","6","true","2021-04-01T00:00:00.000","Manhattan","229","6"
"2018M0375 - 1 - 00229 - 0012","1002290012","Manhattan","229","12","true","2021-04-01T00:00:00.000","Manhattan","229","12"
"2018M0375 - 1 - 00229 - 0013","1002290013","Manhattan","229","13","true","2021-04-01T00:00:00.000","Manhattan","229","13"
"2018M0375 - 1 - 00229 - 0015","1002290015","Manhattan","229","15","true","2021-04-01T00:00:00.000","Manhattan","229","15"
"2018M0375 - 1 - 00229 - 0020","1002290020","Manhattan","229","20","true","2021-04-01T00:00:00.000","Manhattan","229","20"
"2018M0375 - 1 - 00229 - 0022","1002290022","Manhattan","229","22","true","2021-04-01T00:00:00.000","Manhattan","229","22"
"2018M0375 - 1 - 00229 - 0029","1002290029","Manhattan","229","29","true","2021-04-01T00:00:00.000","Manhattan","229","29"
"2018M0375 - 1 - 00229 - 0030","1002290030","Manhattan","229","30","true","2021-04-01T00:00:00.000","Manhattan","229","30"
"2018M0375 - 1 - 00229 - 0031","1002290031","Manhattan","229","31","true","2021-04-01T00:00:00.000","Manhattan","229","31"
"2018M0375 - 1 - 00229 - 0032","1002290032","Manhattan","229","32","true","2021-04-01T00:00:00.000","Manhattan","229","32"
"2018M0375 - 1 - 00229 - 0036","1002290036","Manhattan","229","36","true","2021-04-01T00:00:00.000","Manhattan","229","36"
"2018M0375 - 1 - 00229 - 7501","1002297501","Manhattan","229","7501","true","2021-04-01T00:00:00.000","Manhattan","229","7501"
"2018M0375 - 1 - 00230 - 0001","1002300001","Manhattan","230","1","true","2021-04-01T00:00:00.000","Manhattan","230","1"
"2018M0375 - 1 - 00230 - 0002","1002300002","Manhattan","230","2","true","2021-04-01T00:00:00.000","Manhattan","230","2"
"2018M0375 - 1 - 00230 - 0003","1002300003","Manhattan","230","3","true","2021-04-01T00:00:00.000","Manhattan","230","3"
"2018M0375 - 1 - 00230 - 0004","1002300004","Manhattan","230","4","true","2021-04-01T00:00:00.000","Manhattan","230","4"
"2018M0375 - 1 - 00230 - 0005","1002300005","Manhattan","230","5","true","2021-04-01T00:00:00.000","Manhattan","230","5"
"2018M0375 - 1 - 00230 - 0006","1002300006","Manhattan","230","6","true","2021-04-01T00:00:00.000","Manhattan","230","6"
"2018M0375 - 1 - 00230 - 0007","1002300007","Manhattan","230","7","true","2021-04-01T00:00:00.000","Manhattan","230","7"
"2018M0375 - 1 - 00230 - 0008","1002300008","Manhattan","230","8","true","2021-04-01T00:00:00.000","Manhattan","230","8"
"2018M0375 - 1 - 00230 - 0009","1002300009","Manhattan","230","9","true","2021-04-01T00:00:00.000","Manhattan","230","9"
"2018M0375 - 1 - 230 - 13",,,,,"true","2021-04-01T00:00:00.000","Manhattan","230","13"
"2018M0375 - 1 - 00230 - 0014","1002300014","Manhattan","230","14","true","2021-04-01T00:00:00.000","Manhattan","230","14"
"2018M0375 - 1 - 00230 - 0015","1002300015","Manhattan","230","15","true","2021-04-01T00:00:00.000","Manhattan","230","15"
"2018M0375 - 1 - 00230 - 0020","1002300020","Manhattan","230","20","true","2021-04-01T00:00:00.000","Manhattan","230","20"
"2018M0375 - 1 - 00230 - 0025","1002300025","Manhattan","230","25","true","2021-04-01T00:00:00.000","Manhattan","230","25"
"2018M0375 - 1 - 00230 - 0026","1002300026","Manhattan","230","26","true","2021-04-01T00:00:00.000","Manhattan","230","26"
"2018M0375 - 1 - 00230 - 0027","1002300027","Manhattan","230","27","true","2021-04-01T00:00:00.000","Manhattan","230","27"
"2018M0375 - 1 - 00230 - 0028","1002300028","Manhattan","230","28","true","2021-04-01T00:00:00.000","Manhattan","230","28"
"2018M0375 - 1 - 00230 - 0030","1002300030","Manhattan","230","30","true","2021-04-01T00:00:00.000","Manhattan","230","30"
"2018M0375 - 1 - 00230 - 0031","1002300031","Manhattan","230","31","true","2021-04-01T00:00:00.000","Manhattan","230","31"
"2018M0375 - 1 - 00230 - 0032","1002300032","Manhattan","230","32","true","2021-04-01T00:00:00.000","Manhattan","230","32"
"2018M0375 - 1 - 00230 - 0037","1002300037","Manhattan","230","37","true","2021-04-01T00:00:00.000","Manhattan","230","37"
"2018M0375 - 1 - 00230 - 0042","1002300042","Manhattan","230","42","true","2021-04-01T00:00:00.000","Manhattan","230","42"
"2018M0375 - 1 - 00230 - 0044","1002300044","Manhattan","230","44","true","2021-04-01T00:00:00.000","Manhattan","230","44"
"2018M0375 - 1 - 00230 - 0045","1002300045","Manhattan","230","45","true","2021-04-01T00:00:00.000","Manhattan","230","45"
"2018M0375 - 1 - 00230 - 7501","1002307501","Manhattan","230","7501","true","2021-04-01T00:00:00.000","Manhattan","230","7501"
"2018M0375 - 1 - 00230 - 7502","1002307502","Manhattan","230","7502","true","2021-04-01T00:00:00.000","Manhattan","230","7502"
"2018M0375 - 1 - 00230 - 7503","1002307503","Manhattan","230","7503","true","2021-04-01T00:00:00.000","Manhattan","230","7503"
"2018M0375 - 1 - 00230 - 7504","1002307504","Manhattan","230","7504","true","2021-04-01T00:00:00.000","Manhattan","230","7504"
"2018M0375 - 1 - 00230 - 7505","1002307505","Manhattan","230","7505","true","2021-04-01T00:00:00.000","Manhattan","230","7505"
"2018M0375 - 1 - 00230 - 7506","1002307506","Manhattan","230","7506","true","2021-04-01T00:00:00.000","Manhattan","230","7506"
"2018M0375 - 1 - 00230 - 7507","1002307507","Manhattan","230","7507","true","2021-04-01T00:00:00.000","Manhattan","230","7507"
"2018M0375 - 1 - 00231 - 0001","1002310001","Manhattan","231","1","true","2021-04-01T00:00:00.000","Manhattan","231","1"
"2018M0375 - 1 - 00231 - 0002","1002310002","Manhattan","231","2","true","2021-04-01T00:00:00.000","Manhattan","231","2"
"2018M0375 - 1 - 00231 - 0003","1002310003","Manhattan","231","3","true","2021-04-01T00:00:00.000","Manhattan","231","3"
"2018M0375 - 1 - 00231 - 0005","1002310005","Manhattan","231","5","true","2021-04-01T00:00:00.000","Manhattan","231","5"
"2018M0375 - 1 - 00231 - 0008","1002310008","Manhattan","231","8","true","2021-04-01T00:00:00.000","Manhattan","231","8"
"2018M0375 - 1 - 00231 - 0010","1002310010","Manhattan","231","10","true","2021-04-01T00:00:00.000","Manhattan","231","10"
"2018M0375 - 1 - 00231 - 0014","1002310014","Manhattan","231","14","true","2021-04-01T00:00:00.000","Manhattan","231","14"
"2018M0375 - 1 - 00231 - 0015","1002310015","Manhattan","231","15","true","2021-04-01T00:00:00.000","Manhattan","231","15"
"2018M0375 - 1 - 00231 - 0016","1002310016","Manhattan","231","16","true","2021-04-01T00:00:00.000","Manhattan","231","16"
"2018M0375 - 1 - 00231 - 0019","1002310019","Manhattan","231","19","true","2021-04-01T00:00:00.000","Manhattan","231","19"
"2018M0375 - 1 - 00231 - 0026","1002310026","Manhattan","231","26","true","2021-04-01T00:00:00.000","Manhattan","231","26"
"2018M0375 - 1 - 00231 - 0030","1002310030","Manhattan","231","30","true","2021-04-01T00:00:00.000","Manhattan","231","30"
"2018M0375 - 1 - 00231 - 0032","1002310032","Manhattan","231","32","true","2021-04-01T00:00:00.000","Manhattan","231","32"
"2018M0375 - 1 - 00231 - 0035","1002310035","Manhattan","231","35","true","2021-04-01T00:00:00.000","Manhattan","231","35"
"2018M0375 - 1 - 00231 - 0036","1002310036","Manhattan","231","36","true","2021-04-01T00:00:00.000","Manhattan","231","36"
"2018M0375 - 1 - 00231 - 0037","1002310037","Manhattan","231","37","true","2021-04-01T00:00:00.000","Manhattan","231","37"
"2018M0375 - 1 - 00231 - 0040","1002310040","Manhattan","231","40","true","2021-04-01T00:00:00.000","Manhattan","231","40"
"2018M0375 - 1 - 00231 - 7501","1002317501","Manhattan","231","7501","true","2021-04-01T00:00:00.000","Manhattan","231","7501"
"2018M0375 - 1 - 00231 - 7502","1002317502","Manhattan","231","7502","true","2021-04-01T00:00:00.000","Manhattan","231","7502"
"2018M0375 - 1 - 00231 - 7503","1002317503","Manhattan","231","7503","true","2021-04-01T00:00:00.000","Manhattan","231","7503"
"2018M0375 - 1 - 00474 - 0001","1004740001","Manhattan","474","1","true","2021-04-01T00:00:00.000","Manhattan","474","1"
"2018M0375 - 1 - 00474 - 0006","1004740006","Manhattan","474","6","true","2021-04-01T00:00:00.000","Manhattan","474","6"
"2018M0375 - 1 - 00474 - 0009","1004740009","Manhattan","474","9","true","2021-04-01T00:00:00.000","Manhattan","474","9"
"2018M0375 - 1 - 00474 - 0010","1004740010","Manhattan","474","10","true","2021-04-01T00:00:00.000","Manhattan","474","10"
"2018M0375 - 1 - 00474 - 0011","1004740011","Manhattan","474","11","true","2021-04-01T00:00:00.000","Manhattan","474","11"
"2018M0375 - 1 - 00474 - 0012","1004740012","Manhattan","474","12","true","2021-04-01T00:00:00.000","Manhattan","474","12"
"2018M0375 - 1 - 00474 - 0013","1004740013","Manhattan","474","13","true","2021-04-01T00:00:00.000","Manhattan","474","13"
"2018M0375 - 1 - 00474 - 0014","1004740014","Manhattan","474","14","true","2021-04-01T00:00:00.000","Manhattan","474","14"
"2018M0375 - 1 - 00474 - 0018","1004740018","Manhattan","474","18","true","2021-04-01T00:00:00.000","Manhattan","474","18"
"2018M0375 - 1 - 00474 - 0019","1004740019","Manhattan","474","19","true","2021-04-01T00:00:00.000","Manhattan","474","19"
"2018M0375 - 1 - 00474 - 0020","1004740020","Manhattan","474","20","true","2021-04-01T00:00:00.000","Manhattan","474","20"
"2018M0375 - 1 - 00474 - 0021","1004740021","Manhattan","474","21","true","2021-04-01T00:00:00.000","Manhattan","474","21"
"2018M0375 - 1 - 00474 - 0022","1004740022","Manhattan","474","22","true","2021-04-01T00:00:00.000","Manhattan","474","22"
"2018M0375 - 1 - 00474 - 0024","1004740024","Manhattan","474","24","true","2021-04-01T00:00:00.000","Manhattan","474","24"
"2018M0375 - 1 - 00474 - 0026","1004740026","Manhattan","474","26","true","2021-04-01T00:00:00.000","Manhattan","474","26"
"2018M0375 - 1 - 00474 - 0029","1004740029","Manhattan","474","29","true","2021-04-01T00:00:00.000","Manhattan","474","29"
"2018M0375 - 1 - 00474 - 0030","1004740030","Manhattan","474","30","true","2021-04-01T00:00:00.000","Manhattan","474","30"
"2018M0375 - 1 - 00474 - 0032","1004740032","Manhattan","474","32","true","2021-04-01T00:00:00.000","Manhattan","474","32"
"2018M0375 - 1 - 00474 - 0033","1004740033","Manhattan","474","33","true","2021-04-01T00:00:00.000","Manhattan","474","33"
"2018M0375 - 1 - 00474 - 7501","1004747501","Manhattan","474","7501","true","2021-04-01T00:00:00.000","Manhattan","474","7501"
"2018M0375 - 1 - 00474 - 7502","1004747502","Manhattan","474","7502","true","2021-04-01T00:00:00.000","Manhattan","474","7502"
"2018M0375 - 1 - 00474 - 7503","1004747503","Manhattan","474","7503","true","2021-04-01T00:00:00.000","Manhattan","474","7503"
"2018M0375 - 1 - 00474 - 7504","1004747504","Manhattan","474","7504","true","2021-04-01T00:00:00.000","Manhattan","474","7504"
"2018M0375 - 1 - 00474 - 7505","1004747505","Manhattan","474","7505","true","2021-04-01T00:00:00.000","Manhattan","474","7505"
"2018M0375 - 1 - 00474 - 7506","1004747506","Manhattan","474","7506","true","2021-04-01T00:00:00.000","Manhattan","474","7506"
"2018M0375 - 1 - 00474 - 7507","1004747507","Manhattan","474","7507","true","2021-04-01T00:00:00.000","Manhattan","474","7507"
"2018M0375 - 1 - 00474 - 7508","1004747508","Manhattan","474","7508","true","2021-04-01T00:00:00.000","Manhattan","474","7508"
"2018M0375 - 1 - 00475 - 0001","1004750001","Manhattan","475","1","true","2021-04-01T00:00:00.000","Manhattan","475","1"
"2018M0375 - 1 - 00475 - 0003","1004750003","Manhattan","475","3","true","2021-04-01T00:00:00.000","Manhattan","475","3"
"2018M0375 - 1 - 00475 - 0004","1004750004","Manhattan","475","4","true","2021-04-01T00:00:00.000","Manhattan","475","4"
"2018M0375 - 1 - 00475 - 0005","1004750005","Manhattan","475","5","true","2021-04-01T00:00:00.000","Manhattan","475","5"
"2018M0375 - 1 - 00475 - 0007","1004750007","Manhattan","475","7","true","2021-04-01T00:00:00.000","Manhattan","475","7"
"2018M0375 - 1 - 00475 - 0009","1004750009","Manhattan","475","9","true","2021-04-01T00:00:00.000","Manhattan","475","9"
"2018M0375 - 1 - 00475 - 0010","1004750010","Manhattan","475","10","true","2021-04-01T00:00:00.000","Manhattan","475","10"
"2018M0375 - 1 - 00475 - 0012","1004750012","Manhattan","475","12","true","2021-04-01T00:00:00.000","Manhattan","475","12"
"2018M0375 - 1 - 00475 - 0013","1004750013","Manhattan","475","13","true","2021-04-01T00:00:00.000","Manhattan","475","13"
"2018M0375 - 1 - 00475 - 0014","1004750014","Manhattan","475","14","true","2021-04-01T00:00:00.000","Manhattan","475","14"
"2018M0375 - 1 - 00475 - 0015","1004750015","Manhattan","475","15","true","2021-04-01T00:00:00.000","Manhattan","475","15"
"2018M0375 - 1 - 00475 - 0016","1004750016","Manhattan","475","16","true","2021-04-01T00:00:00.000","Manhattan","475","16"
"2018M0375 - 1 - 00475 - 0017","1004750017","Manhattan","475","17","true","2021-04-01T00:00:00.000","Manhattan","475","17"
"2018M0375 - 1 - 00475 - 0018","1004750018","Manhattan","475","18","true","2021-04-01T00:00:00.000","Manhattan","475","18"
"2018M0375 - 1 - 00475 - 0019","1004750019","Manhattan","475","19","true","2021-04-01T00:00:00.000","Manhattan","475","19"
"2018M0375 - 1 - 00475 - 0022","1004750022","Manhattan","475","22","true","2021-04-01T00:00:00.000","Manhattan","475","22"
"2018M0375 - 1 - 00475 - 0028","1004750028","Manhattan","475","28","true","2021-04-01T00:00:00.000","Manhattan","475","28"
"2018M0375 - 1 - 00475 - 0032","1004750032","Manhattan","475","32","true","2021-04-01T00:00:00.000","Manhattan","475","32"
"2018M0375 - 1 - 00475 - 0034","1004750034","Manhattan","475","34","true","2021-04-01T00:00:00.000","Manhattan","475","34"
"2018M0375 - 1 - 00475 - 0046","1004750046","Manhattan","475","46","true","2021-04-01T00:00:00.000","Manhattan","475","46"
"2018M0375 - 1 - 00475 - 0053","1004750053","Manhattan","475","53","true","2021-04-01T00:00:00.000","Manhattan","475","53"
"2018M0375 - 1 - 00475 - 0056","1004750056","Manhattan","475","56","true","2021-04-01T00:00:00.000","Manhattan","475","56"
"2018M0375 - 1 - 00475 - 0058","1004750058","Manhattan","475","58","true","2021-04-01T00:00:00.000","Manhattan","475","58"
"2018M0375 - 1 - 00475 - 0059","1004750059","Manhattan","475","59","true","2021-04-01T00:00:00.000","Manhattan","475","59"
"2018M0375 - 1 - 00475 - 0060","1004750060","Manhattan","475","60","true","2021-04-01T00:00:00.000","Manhattan","475","60"
"2018M0375 - 1 - 00475 - 0061","1004750061","Manhattan","475","61","true","2021-04-01T00:00:00.000","Manhattan","475","61"
"2018M0375 - 1 - 00475 - 7501","1004757501","Manhattan","475","7501","true","2021-04-01T00:00:00.000","Manhattan","475","7501"
"2018M0375 - 1 - 00475 - 7502","1004757502","Manhattan","475","7502","true","2021-04-01T00:00:00.000","Manhattan","475","7502"
"2018M0375 - 1 - 00475 - 7503","1004757503","Manhattan","475","7503","true","2021-04-01T00:00:00.000","Manhattan","475","7503"
"2018M0375 - 1 - 00475 - 7504","1004757504","Manhattan","475","7504","true","2021-04-01T00:00:00.000","Manhattan","475","7504"
"2018M0375 - 1 - 00475 - 7505","1004757505","Manhattan","475","7505","true","2021-04-01T00:00:00.000","Manhattan","475","7505"
"2018M0375 - 1 - 00475 - 7506","1004757506","Manhattan","475","7506","true","2021-04-01T00:00:00.000","Manhattan","475","7506"
"2018M0375 - 1 - 00475 - 7507","1004757507","Manhattan","475","7507","true","2021-04-01T00:00:00.000","Manhattan","475","7507"
"2018M0375 - 1 - 00475 - 7508","1004757508","Manhattan","475","7508","true","2021-04-01T00:00:00.000","Manhattan","475","7508"
"2018M0375 - 1 - 00475 - 7509","1004757509","Manhattan","475","7509","true","2021-04-01T00:00:00.000","Manhattan","475","7509"
"2018M0375 - 1 - 00475 - 7510","1004757510","Manhattan","475","7510","true","2021-04-01T00:00:00.000","Manhattan","475","7510"
"2018M0375 - 1 - 00475 - 7511","1004757511","Manhattan","475","7511","true","2021-04-01T00:00:00.000","Manhattan","475","7511"
"2018M0375 - 1 - 00475 - 7512","1004757512","Manhattan","475","7512","true","2021-04-01T00:00:00.000","Manhattan","475","7512"
"2018M0375 - 1 - 00475 - 7513","1004757513","Manhattan","475","7513","true","2021-04-01T00:00:00.000","Manhattan","475","7513"
"2018M0375 - 1 - 00476 - 0001","1004760001","Manhattan","476","1","true","2021-04-01T00:00:00.000","Manhattan","476","1"
"2018M0375 - 1 - 00476 - 0007","1004760007","Manhattan","476","7","true","2021-04-01T00:00:00.000","Manhattan","476","7"
"2018M0375 - 1 - 00476 - 0042","1004760042","Manhattan","476","42","true","2021-04-01T00:00:00.000","Manhattan","476","42"
"2018M0375 - 1 - 00476 - 0045","1004760045","Manhattan","476","45","true","2021-04-01T00:00:00.000","Manhattan","476","45"
"2018M0375 - 1 - 00476 - 0053","1004760053","Manhattan","476","53","true","2021-04-01T00:00:00.000","Manhattan","476","53"
"2018M0375 - 1 - 00476 - 0054","1004760054","Manhattan","476","54","true","2021-04-01T00:00:00.000","Manhattan","476","54"
"2018M0375 - 1 - 00476 - 0056","1004760056","Manhattan","476","56","true","2021-04-01T00:00:00.000","Manhattan","476","56"
"2018M0375 - 1 - 00476 - 0057","1004760057","Manhattan","476","57","true","2021-04-01T00:00:00.000","Manhattan","476","57"
"2018M0375 - 1 - 00476 - 0062","1004760062","Manhattan","476","62","true","2021-04-01T00:00:00.000","Manhattan","476","62"
"2018M0375 - 1 - 00476 - 0070","1004760070","Manhattan","476","70","true","2021-04-01T00:00:00.000","Manhattan","476","70"
"2018M0375 - 1 - 00476 - 0071","1004760071","Manhattan","476","71","true","2021-04-01T00:00:00.000","Manhattan","476","71"
"2018M0375 - 1 - 00476 - 0073","1004760073","Manhattan","476","73","true","2021-04-01T00:00:00.000","Manhattan","476","73"
"2018M0375 - 1 - 00476 - 0081","1004760081","Manhattan","476","81","true","2021-04-01T00:00:00.000","Manhattan","476","81"
"2018M0375 - 1 - 00476 - 0083","1004760083","Manhattan","476","83","true","2021-04-01T00:00:00.000","Manhattan","476","83"
"2018M0375 - 1 - 00476 - 0084","1004760084","Manhattan","476","84","true","2021-04-01T00:00:00.000","Manhattan","476","84"
"2018M0375 - 1 - 00476 - 0085","1004760085","Manhattan","476","85","true","2021-04-01T00:00:00.000","Manhattan","476","85"
"2018M0375 - 1 - 00476 - 0088","1004760088","Manhattan","476","88","true","2021-04-01T00:00:00.000","Manhattan","476","88"
"2018M0375 - 1 - 00476 - 0089","1004760089","Manhattan","476","89","true","2021-04-01T00:00:00.000","Manhattan","476","89"
"2018M0375 - 1 - 00476 - 7502","1004767502","Manhattan","476","7502","true","2021-04-01T00:00:00.000","Manhattan","476","7502"
"2018M0375 - 1 - 00484 - 0001","1004840001","Manhattan","484","1","true","2021-04-01T00:00:00.000","Manhattan","484","1"
"2018M0375 - 1 - 00484 - 0003","1004840003","Manhattan","484","3","true","2021-04-01T00:00:00.000","Manhattan","484","3"
"2018M0375 - 1 - 00484 - 0009","1004840009","Manhattan","484","9","true","2021-04-01T00:00:00.000","Manhattan","484","9"
"2018M0375 - 1 - 00484 - 0011","1004840011","Manhattan","484","11","true","2021-04-01T00:00:00.000","Manhattan","484","11"
