"dbn","district","school_name","is_org_split_sited","building_id_s","transfer_school","total_enrollment","grades_3k_5_enrollment","grades_6_8_enrollment","grades_9_12_enrollment","asian","black","hispanic","multiracial","native_american","white","missing_race_ethnicity_data","swd","ell","poverty","_2018_19_ela_tested","_2018_19_ela_proficient_l3","_2018_19_ela_proficient_l3_1","_2018_19_math_tested","_2018_19_math_proficient","_2018_19_math_proficient_1","_2019_20_total_4_year_august","_2019_20_4_year_august","_2019_20_total_6_year_grad","_2019_20_6_year_graduates"
"08X302","8","M.S. 302 Luisa Dessus Cruz",,"X052","false","452","0","452","0","0.002","0.199","0.783","0.002","0.004","0.009","0.0","0.338","0.208","0.973","451","121","26.8%","469","130","27.7%",,,,
"08X304","8","P.S. 304 Early Childhood School",,"X101","false","528","528","0","0","0.049","0.093","0.718","0.013","0.006","0.121","0.0","0.188","0.04","0.652","225","162","72.0%","224","142","63.4%",,,,
"08X312","8","Millennium Art Academy",,"X450","false","391","0","0","391","0.013","0.302","0.647","0.003","0.015","0.018","0.003","0.238","0.049","0.859",,,,,,,"104","84.6%","107","83.2%"
"08X320","8","Pelham Lab High School",,"X405","false","419","0","0","419","0.069","0.21","0.656","0.002","0.017","0.045","0.0","0.236","0.131","0.761",,,,,,,"106","75.5%","115","73.9%"
"08X333","8","The Longwood Academy of Discovery",,"X060","false","518","518","0","0","0.004","0.23","0.73","0.002","0.002","0.033","0.0","0.288","0.21","0.961","265","41","15.5%","268","61","22.8%",,,,
"08X337","8","The School for Inquiry and Social Justice",,"X123","false","462","0","462","0","0.035","0.184","0.751","0.004","0.011","0.015","0.0","0.203","0.136","0.829","482","255","52.9%","480","269","56.0%",,,,
"08X348","8","Schuylerville Preparatory High School",,"X405","false","373","0","0","373","0.072","0.244","0.606","0.0","0.013","0.062","0.003","0.244","0.15","0.794",,,,,,,"113","73.5%","100","88.0%"
"08X349","8","Bronx River High School",,"X405","false","464","0","0","464","0.063","0.265","0.595","0.002","0.015","0.058","0.002","0.254","0.144","0.787",,,,,,,"116","79.3%","105","86.7%"
"08X367","8","Archimedes Academy for Math, Science and Technology Applications",,"X174","false","583","0","258","325","0.084","0.276","0.605","0.0","0.012","0.022","0.0","0.278","0.099","0.837","280","99","35.4%","273","62","22.7%","84","77.4%","75","77.3%"
"08X371","8","Urban Institute of Mathematics",,"X192","false","373","0","373","0","0.056","0.102","0.681","0.003","0.011","0.145","0.003","0.247","0.059","0.684","360","184","51.1%","357","157","44.0%",,,,
"08X375","8","The Bronx Mathematics Preparatory School",,"X174","false","188","0","188","0","0.048","0.41","0.5","0.0","0.027","0.016","0.0","0.234","0.165","0.979","204","49","24.0%","214","46","21.5%",,,,
"08X376","8","Antonia Pantoja Preparatory Academy: A College Board School",,"X450","false","405","0","177","228","0.037","0.205","0.701","0.01","0.025","0.022","0.0","0.272","0.153","0.869","191","58","30.4%","200","45","22.5%","60","76.7%","56","66.1%"
"08X377","8","Bronx Community High School",,"X450","true","111","0","0","111","0.027","0.351","0.604","0.0","0.009","0.009","0.0","0.234","0.072","0.892",,,,,,,"83","22.9%","84","48.8%"
"08X392","8","Bronx Delta School",,"X192","false","450","450","0","0","0.06","0.149","0.647","0.004","0.009","0.127","0.004","0.218","0.042","0.736","77","34","44.2%","79","48","60.8%",,,,
"08X405","8","Herbert H. Lehman High School",,"X405","false","1004","6","1","997","0.088","0.307","0.503","0.001","0.026","0.073","0.003","0.244","0.117","0.785",,,,,,,"157","79.0%","191","70.7%"
"08X424","8","Bronx Academy for Multi-Media",,"X074","false","274","0","274","0","0.004","0.259","0.726","0.0","0.0","0.011","0.0","0.328","0.255","1.0","260","38","14.6%","279","31","11.1%",,,,
"08X432","8","Bronx Bridges High School",,"X450","false","344","0","0","344","0.131","0.078","0.741","0.0","0.009","0.041","0.0","0.119","0.823","0.887",,,,,,,"90","85.6%","83","77.1%"
"08X448","8","Soundview Academy for Culture and Scholarship",,"X131","false","361","0","361","0","0.019","0.274","0.684","0.003","0.003","0.017","0.0","0.263","0.108","0.803","359","104","29.0%","355","97","27.3%",,,,
"08X452","8","Gotham Collaborative High School",,"X450","false","391","0","0","391","0.077","0.299","0.591","0.0","0.003","0.031","0.0","0.256","0.159","0.89",,,,,,,"158","70.3%","139","76.3%"
"08X467","8","Mott Hall Community School",,"X192","false","342","0","342","0","0.035","0.152","0.719","0.0","0.015","0.079","0.0","0.213","0.102","0.836","314","79","25.2%","326","68","20.9%",,,,
"08X530","8","Longwood Preparatory Academy",,"X039","false","352","0","0","352","0.0","0.321","0.665","0.0","0.006","0.006","0.003","0.307","0.165","0.92",,,,,,,"60","66.7%","52","67.3%"
"08X537","8","Bronx Arena High School",,"X972","true","136","0","0","136","0.015","0.353","0.588","0.007","0.0","0.037","0.0","0.191","0.044","0.904",,,,,,,"55","21.8%","76","43.4%"
"08X558","8","Westchester Square Academy",,"X405","false","456","0","0","456","0.072","0.228","0.59","0.0","0.007","0.096","0.007","0.224","0.116","0.814",,,,,,,"131","80.2%","167","81.4%"
"08X559","8","School for Tourism and Hospitality",,"X650","false","173","0","0","173","0.0","0.329","0.642","0.012","0.012","0.006","0.0","0.283","0.231","0.925",,,,,,,"81","35.8%","94","58.5%"
"08X561","8","Bronx Compass High School",,"X450","false","370","0","0","370","0.068","0.259","0.611","0.005","0.014","0.041","0.003","0.27","0.122","0.919",,,,,,,"95","82.1%","112","74.1%"
"08X562","8","Blueprint Middle School",,"X125","false","558","0","558","0","0.271","0.093","0.538","0.005","0.023","0.07","0.0","0.199","0.203","0.934","629","206","32.8%","646","220","34.1%",,,,
"09X004","9","P.S./M.S. 004 Crotona Park West",,"X004","false","413","271","142","0","0.005","0.448","0.533","0.002","0.005","0.007","0.0","0.223","0.153","0.981","292","79","27.1%","301","93","30.9%",,,,
"09X022","9","J.H.S. 022 Jordan L. Mott",,"X022","false","354","0","354","0","0.011","0.246","0.72","0.006","0.0","0.017","0.0","0.254","0.291","0.977","385","77","20.0%","397","47","11.8%",,,,
"09X042","9","P.S. 042 Claremont",,"X042","false","341","341","0","0","0.0","0.387","0.589","0.006","0.0","0.018","0.0","0.305","0.12","1.0","148","47","31.8%","151","39","25.8%",,,,
"09X055","9","P.S. 055 Benjamin Franklin",,"X055","false","543","543","0","0","0.0","0.483","0.505","0.0","0.004","0.009","0.0","0.184","0.055","0.971","229","84","36.7%","235","73","31.1%",,,,
"09X063","9","P.S. 063 Author's Academy",,"X063","false","501","501","0","0","0.008","0.341","0.609","0.0","0.008","0.032","0.002","0.224","0.216","0.958","231","81","35.1%","236","82","34.7%",,,,
"09X073","9","P.S. 073 Bronx",,"X073","false","405","405","0","0","0.0","0.281","0.699","0.002","0.002","0.015","0.0","0.244","0.21","0.983","275","55","20.0%","289","64","22.1%",,,,
"09X110","9","P.S. 110 Theodore Schoenfeld",,"X110","false","354","354","0","0","0.0","0.342","0.556","0.003","0.006","0.093","0.0","0.223","0.133","0.989","193","62","32.1%","191","57","29.8%",,,,
"09X117","9","I.S. 117 Joseph H. Wade",,"X117","false","405","0","405","0","0.0","0.21","0.773","0.002","0.005","0.01","0.0","0.279","0.323","0.948","447","75","16.8%","471","70","14.9%",,,,
"09X128","9","Mott Hall III",,"X110","false","354","0","354","0","0.006","0.328","0.638","0.0","0.003","0.025","0.0","0.215","0.096","0.918","342","220","64.3%","341","179","52.5%",,,,
"09X204","9","P.S. 204 Morris Heights",,"X338","false","619","619","0","0","0.01","0.254","0.716","0.008","0.002","0.01","0.002","0.226","0.134","0.882","334","194","58.1%","337","193","57.3%",,,,
"09X215","9","Kappa",,"X148","false","317","0","317","0","0.022","0.502","0.445","0.003","0.003","0.025","0.0","0.249","0.158","0.934","301","120","39.9%","298","109","36.6%",,,,
"09X218","9","P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School",,"X235","false","1000","662","338","0","0.023","0.038","0.907","0.002","0.009","0.009","0.012","0.171","0.231","0.895","653","228","34.9%","655","235","35.9%",,,,
"09X219","9","I.S. 219 New Venture School",,"X148","false","285","0","285","0","0.004","0.404","0.565","0.004","0.004","0.021","0.0","0.4","0.218","0.982","314","39","12.4%","327","22","6.7%",,,,
"09X227","9","Bronx Collegiate Academy",,"X410","false","387","0","1","386","0.028","0.279","0.664","0.0","0.008","0.013","0.008","0.227","0.147","0.853",,,,,,,"87","82.8%","89","88.8%"
"09X229","9","I.S. 229 Roland Patterson",,"X229","false","201","0","201","0","0.01","0.303","0.662","0.005","0.0","0.02","0.0","0.388","0.194","0.935","219","32","14.6%","228","10","4.4%",,,,
"09X232","9","I.S. 232",,"X082","false","376","0","376","0","0.0","0.223","0.771","0.0","0.0","0.005","0.0","0.229","0.295","0.987","451","112","24.8%","477","85","17.8%",,,,
"09X241","9","Urban Assembly School for Applied Math and Science, The",,"X970","false","613","0","254","359","0.003","0.266","0.715","0.002","0.011","0.003","0.0","0.289","0.14","0.935","242","62","25.6%","194","45","23.2%","79","84.8%","93","92.5%"
"09X250","9","Eximius College Preparatory Academy: A College Board School",,"X002","false","397","0","0","397","0.02","0.35","0.599","0.0","0.02","0.003","0.008","0.257","0.081","0.811",,,,,,,"97","87.6%","102","84.3%"
"09X252","9","Mott Hall Bronx High School",,"X970","false","347","0","0","347","0.006","0.277","0.689","0.003","0.009","0.012","0.006","0.233","0.112","0.908",,,,,,,"96","87.5%","98","86.7%"
"09X260","9","Bronx Center for Science and Mathematics",,"X002","false","436","0","0","436","0.073","0.245","0.626","0.007","0.009","0.032","0.007","0.227","0.073","0.867",,,,,,,"112","94.6%","111","93.7%"
"09X263","9","Validus Preparatory Academy",,"X970","false","339","0","0","339","0.003","0.336","0.652","0.003","0.003","0.0","0.003","0.265","0.165","0.956",,,,,,,"86","66.3%","90","75.6%"
"09X274","9","The New American Academy at Roberto Clemente State Park",,"X229","false","509","509","0","0","0.008","0.356","0.617","0.002","0.01","0.008","0.0","0.25","0.112","0.98","290","75","25.9%","301","48","15.9%",,,,
"09X294","9","The Walton Avenue School",,"X064","false","443","443","0","0","0.005","0.16","0.801","0.005","0.009","0.02","0.0","0.271","0.194","0.921","140","104","74.3%","161","145","90.1%",,,,
"09X297","9","Morris Academy for Collaborative Studies",,"X400","false","472","0","0","472","0.006","0.239","0.737","0.0","0.004","0.011","0.002","0.261","0.125","0.947",,,,,,,"70","81.4%","91","76.9%"
"09X303","9","I.S. X303 Leadership & Community Service",,"X082","false","328","0","328","0","0.009","0.302","0.68","0.0","0.003","0.006","0.0","0.305","0.159","0.945","291","102","35.1%","245","64","26.1%",,,,
"09X311","9","Lucero Elementary School",,"X064","false","323","323","0","0","0.0","0.071","0.92","0.003","0.0","0.006","0.0","0.26","0.449","0.978","157","60","38.2%","170","77","45.3%",,,,
"09X313","9","I.S. 313 School of Leadership Development",,"X147","false","239","0","239","0","0.004","0.243","0.728","0.0","0.008","0.017","0.0","0.255","0.351","0.925","241","43","17.8%","270","57","21.1%",,,,
"09X323","9","Bronx Writing Academy",,"X022","false","330","0","330","0","0.012","0.27","0.676","0.0","0.006","0.036","0.0","0.252","0.282","0.958","355","95","26.8%","372","68","18.3%",,,,
"09X324","9","Bronx Early College Academy for Teaching & Learning",,"X166","false","503","0","178","325","0.024","0.231","0.734","0.0","0.004","0.006","0.002","0.239","0.095","0.881","200","49","24.5%","117","25","21.4%","51","94.1%","59","94.9%"
"09X327","9","Comprehensive Model School Project M.S. 327",,"X240","false","701","0","281","420","0.004","0.19","0.795","0.003","0.0","0.009","0.0","0.274","0.133","0.917","289","118","40.8%","288","166","57.6%","98","85.7%","105","91.4%"
"09X328","9","New Millennium Bronx Academy of the Arts",,"X145","false","315","0","315","0","0.016","0.34","0.629","0.0","0.0","0.016","0.0","0.286","0.168","0.937","271","48","17.7%","287","42","14.6%",,,,
"09X329","9","DreamYard Preparatory School",,"X410","false","331","0","0","331","0.009","0.284","0.692","0.0","0.003","0.012","0.0","0.266","0.218","0.906",,,,,,,"43","79.1%","74","64.9%"
"09X339","9","I.S. 339",,"X147","false","315","0","315","0","0.0","0.302","0.689","0.0","0.003","0.006","0.0","0.295","0.346","0.975","396","84","21.2%","435","89","20.5%",,,,
"09X350","9","New Directions Secondary School",,"X410","true","142","0","0","142","0.007","0.331","0.613","0.0","0.028","0.021","0.0","0.218","0.486","0.923","39","2","5.1%","38","1","2.6%","55","29.1%","20","30.0%"
"09X365","9","Academy for Language and Technology",,"X082","false","370","0","0","370","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.038","0.835","0.997",,,,,,,"65","96.9%","76","94.7%"
"09X403","9","Bronx International High School",,"X400","false","339","0","0","339","0.029","0.109","0.835","0.0","0.003","0.024","0.0","0.027","0.87","0.962",,,,,,,"100","85.0%","95","89.5%"
"09X404","9","School for Excellence",,"X400","false","195","0","1","194","0.01","0.349","0.605","0.0","0.01","0.026","0.0","0.262","0.282","0.928",,,,,,,"63","49.2%","81","71.6%"
"09X412","9","Bronx High School of Business",,"X410","false","333","0","0","333","0.021","0.225","0.739","0.0","0.0","0.006","0.009","0.213","0.357","0.922",,,,,,,"53","67.9%","65","66.2%"
"09X413","9","Bronx High School for Medical Science",,"X410","false","493","0","173","320","0.065","0.247","0.653","0.002","0.014","0.016","0.002","0.256","0.144","0.87","143","62","43.4%","139","51","36.7%","77","89.6%","64","92.2%"
"09X443","9","The Family School",,"X090","false","497","497","0","0","0.036","0.245","0.698","0.0","0.004","0.016","0.0","0.272","0.29","0.952","207","70","33.8%","218","85","39.0%",,,,
"09X449","9","Grant Avenue Elementary School",,"X166","false","415","415","0","0","0.046","0.272","0.634","0.0","0.024","0.024","0.0","0.299","0.227","0.904","198","73","36.9%","200","70","35.0%",,,,
"09X454","9","Science and Technology Academy: A Mott Hall School",,"X166","false","404","0","404","0","0.03","0.262","0.673","0.002","0.01","0.022","0.0","0.215","0.176","0.96","406","208","51.2%","422","218","51.7%",,,,
"09X457","9","Sheridan Academy for Young Leaders",,"X090","false","509","509","0","0","0.031","0.251","0.694","0.0","0.014","0.01","0.0","0.214","0.226","0.961","221","68","30.8%","239","88","36.8%",,,,
"09X517","9","Frederick Douglass Academy III Secondary School",,"X148","false","302","0","0","302","0.02","0.404","0.546","0.0","0.013","0.013","0.003","0.311","0.185","0.921",,,,,,,"108","75.0%","104","68.3%"
"09X543","9","High School for Violin and Dance",,"X400","false","219","0","0","219","0.009","0.283","0.68","0.0","0.009","0.018","0.0","0.297","0.187","0.881",,,,,,,"61","68.9%","94","77.7%"
"09X555","9","Mount Eden Children's Academy",,"X240","false","421","421","0","0","0.002","0.185","0.796","0.01","0.002","0.005","0.0","0.164","0.183","0.914","188","74","39.4%","189","98","51.9%",,,,
"09X564","9","Claremont International HS",,"X410","false","332","0","0","332","0.039","0.163","0.756","0.0","0.012","0.03","0.0","0.072","0.834","0.994",,,,,,,"75","82.7%","86","70.9%"
"09X568","9","Young Women's Leadership School of the Bronx",,"X117","false","554","0","257","297","0.036","0.291","0.637","0.004","0.011","0.018","0.004","0.181","0.07","0.868","222","123","55.4%","222","90","40.5%","67","95.5%",,
"09X582","9","Garden of Learning and Discovery Pre-K Center","true","X073, X582","false","73","73","0","0","0.082","0.247","0.644","0.014","0.0","0.014","0.0","0.288","0.0","0.685",,,,,,,,,,
"09X593","9","South Bronx International Middle School",,"X145","false","138","0","138","0","0.007","0.145","0.833","0.0","0.0","0.014","0.0","0.152","0.877","0.993","30","0","0.0%","50","2","4.0%",,,,
"09X594","9","M.S. 594",,"X145","false","241","0","241","0","0.012","0.303","0.664","0.0","0.012","0.008","0.0","0.328","0.257","0.934","185","20","10.8%","200","10","5.0%",,,,
"10X015","10","P.S. X015 Institute for Environmental Learning",,"X015","false","463","272","191","0","0.017","0.106","0.86","0.006","0.011","0.0","0.0","0.268","0.201","0.788","309","160","51.8%","307","171","55.7%",,,,
"10X020","10","PS/MS 20 P.O.George J. Werdann, III",,"X020","false","857","493","364","0","0.075","0.107","0.744","0.002","0.02","0.048","0.004","0.258","0.265","0.95","629","189","30.0%","641","172","26.8%",,,,
"10X045","10","Thomas C. Giordano Middle School 45",,"X045","false","693","0","693","0","0.013","0.177","0.771","0.004","0.004","0.03","0.0","0.228","0.183","0.916","672","211","31.4%","628","74","11.8%",,,,
"10X046","10","P.S. 046 Edgar Allan Poe",,"X046","false","735","735","0","0","0.014","0.112","0.839","0.005","0.008","0.022","0.0","0.22","0.37","0.89","399","118","29.6%","415","112","27.0%",,,,
"10X077","10","Bedford Park Elementary School",,"X177","false","504","504","0","0","0.155","0.067","0.683","0.006","0.006","0.083","0.0","0.187","0.226","0.865","130","54","41.5%","132","38","28.8%",,,,
"10X080","10","J.H.S. 080 The Mosholu Parkway",,"X080","false","596","0","596","0","0.072","0.151","0.728","0.0","0.01","0.039","0.0","0.272","0.327","0.872","603","180","29.9%","485","115","23.7%",,,,
"10X095","10","P.S. 095 Sheila Mencher",,"X095","false","1038","630","408","0","0.056","0.164","0.709","0.01","0.007","0.053","0.002","0.2","0.148","0.837","831","303","36.5%","788","238","30.2%",,,"1","0.0%"
"10X213","10","Bronx Engineering and Technology Academy",,"X475","false","371","0","0","371","0.049","0.294","0.615","0.0","0.005","0.038","0.0","0.264","0.148","0.914",,,,,,,"106","65.1%","94","76.6%"
"10X225","10","Theatre Arts Production Company School",,"X137","false","548","0","193","355","0.018","0.237","0.723","0.0","0.002","0.016","0.004","0.266","0.104","0.841","170","52","30.6%","112","28","25.0%","87","77.0%","84","86.9%"
"10X237","10","The Marie Curie School for Medicine, Nursing, and Health Professions",,"X143","false","385","0","0","385","0.029","0.296","0.631","0.008","0.005","0.031","0.0","0.218","0.125","0.834",,,,,,,"107","59.8%","120","75.8%"
"10X243","10","West Bronx Academy for the Future",,"X435","false","647","0","293","354","0.025","0.167","0.791","0.002","0.002","0.014","0.0","0.263","0.176","0.921","265","86","32.5%","246","21","8.5%","64","92.2%","77","84.4%"
"10X244","10","The New School for Leadership and Journalism",,"X143","false","679","0","679","0","0.019","0.081","0.875","0.004","0.0","0.021","0.0","0.211","0.219","0.993","680","285","41.9%","639","159","24.9%",,,,
"10X264","10","Bronx Academy for Software Engineering (BASE)",,"X660","false","431","0","1","430","0.042","0.283","0.633","0.0","0.014","0.016","0.012","0.295","0.111","0.819",,,,,,,"94","77.7%","103","78.6%"
"10X268","10","Kingsbridge International High School",,"X430","false","363","0","0","363","0.022","0.028","0.923","0.0","0.008","0.019","0.0","0.047","0.931","0.959",,,,,,,"166","59.6%","117","63.2%"
"10X280","10","P.S./M.S. 280 Mosholu Parkway",,"X080","false","737","447","290","0","0.096","0.09","0.758","0.004","0.003","0.049","0.0","0.289","0.191","0.919","548","202","36.9%","559","245","43.8%",,,,
"10X284","10","Bronx School of Law and Finance",,"X475","false","354","0","0","354","0.006","0.203","0.751","0.003","0.006","0.023","0.008","0.206","0.201","0.873",,,,,,,"100","82.0%","98","83.7%"
"10X291","10","P.S. 291",,"X015","false","534","534","0","0","0.006","0.067","0.914","0.0","0.0","0.013","0.0","0.204","0.287","0.978","288","109","37.8%","300","100","33.3%",,,,
"10X306","10","P.S. 306",,"X306","false","548","548","0","0","0.011","0.255","0.723","0.005","0.002","0.004","0.0","0.197","0.164","0.914","313","103","32.9%","324","90","27.8%",,,,
"10X331","10","The Bronx School of Young Leaders",,"X306","false","450","0","450","0","0.016","0.229","0.733","0.002","0.004","0.016","0.0","0.262","0.218","0.882","384","121","31.5%","393","104","26.5%",,,,
"10X342","10","International School for Liberal Arts",,"X430","false","532","0","143","389","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.118","0.771","0.977","134","21","15.7%","150","22","14.7%","95","70.5%","115","85.2%"
"10X344","10","Ampark Neighborhood",,"X095","false","368","368","0","0","0.049","0.155","0.587","0.038","0.008","0.163","0.0","0.234","0.022","0.465","171","91","53.2%","170","90","52.9%",,,,
"10X351","10","Bronx Collaborative High School",,"X440","false","554","0","0","554","0.034","0.26","0.648","0.007","0.013","0.034","0.004","0.247","0.182","0.816",,,,,,,"119","79.8%","123","71.5%"
"10X353","10","World View High School",,"X440","false","603","0","1","602","0.035","0.221","0.715","0.003","0.005","0.012","0.01","0.204","0.265","0.798",,,,,,,"142","94.4%","90","83.3%"
"10X368","10","In-Tech Academy (M.S. / High School 368)",,"X368","false","997","0","401","596","0.03","0.073","0.856","0.003","0.009","0.029","0.0","0.209","0.177","0.857","455","168","36.9%","313","95","30.4%","118","88.1%","101","93.1%"
"10X374","10","Knowledge and Power Preparatory Academy International High School (Kappa)",,"X435","false","401","0","0","401","0.027","0.267","0.671","0.002","0.005","0.022","0.005","0.244","0.142","0.903",,,,,,,"105","87.6%","115","93.0%"
"10X382","10","Elementary School for Math, Science, and Technology",,"X079","false","273","273","0","0","0.007","0.205","0.78","0.0","0.007","0.0","0.0","0.198","0.308","0.952","146","33","22.6%","154","35","22.7%",,,,
"10X386","10","School for Environmental Citizenship",,"X079","false","514","514","0","0","0.01","0.107","0.87","0.0","0.0","0.014","0.0","0.146","0.268","0.992","261","61","23.4%","270","49","18.1%",,,,
"10X390","10","M.S. 390",,"X026","false","547","0","547","0","0.009","0.166","0.808","0.0","0.005","0.011","0.0","0.201","0.289","0.925","473","123","26.0%","501","134","26.7%","s","s",,
"10X391","10","The Angelo Patri Middle School",,"X137","false","407","0","407","0","0.01","0.229","0.752","0.0","0.005","0.005","0.0","0.273","0.307","0.926","422","58","13.7%","458","59","12.9%",,,,
"10X396","10","P.S. 396",,"X026","false","271","271","0","0","0.026","0.151","0.815","0.0","0.004","0.004","0.0","0.325","0.225","0.871","119","30","25.2%","122","30","24.6%",,,,
"10X397","10","English Language Learners and International Support Preparatory Academy (ELLIS)",,"X475","true","270","0","0","270","0.059","0.207","0.652","0.0","0.044","0.037","0.0","0.015","0.844","0.97",,,,,,,"133","40.6%","116","33.6%"
"10X433","10","High School for Teaching and the Professions",,"X430","false","408","0","0","408","0.017","0.127","0.824","0.0","0.007","0.022","0.002","0.223","0.279","0.892",,,,,,,"119","75.6%","113","79.6%"
"10X434","10","Belmont Preparatory High School",,"X435","false","399","1","0","398","0.05","0.233","0.669","0.005","0.008","0.028","0.008","0.226","0.09","0.847",,,,,,,"92","87.0%","106","93.4%"
"10X437","10","Fordham High School for the Arts",,"X435","false","399","0","0","399","0.02","0.318","0.614","0.005","0.01","0.028","0.005","0.228","0.033","0.837",,,,,,,"67","95.5%","88","96.6%"
"10X438","10","Fordham Leadership Academy",,"X435","false","413","0","0","413","0.015","0.235","0.724","0.002","0.002","0.017","0.005","0.264","0.174","0.862",,,,,,,"69","95.7%","61","86.9%"
"10X439","10","Bronx High School for Law and Community Service",,"X435","false","408","0","0","408","0.015","0.255","0.703","0.0","0.012","0.015","0.0","0.25","0.157","0.841",,,,,,,"91","96.7%","84","91.7%"
"10X440","10","DeWitt Clinton High School",,"X440","false","964","0","0","964","0.11","0.301","0.532","0.002","0.018","0.027","0.01","0.216","0.117","0.856",,,,,,,"302","85.4%","258","73.3%"
"10X442","10","Celia Cruz Bronx High School of Music, The",,"X430","false","456","0","0","456","0.011","0.311","0.623","0.0","0.015","0.02","0.02","0.208","0.048","0.851",,,,,,,"95","98.9%","95","95.8%"
"10X447","10","Creston Academy",,"X079","false","453","0","453","0","0.004","0.146","0.832","0.004","0.007","0.007","0.0","0.232","0.276","0.954","432","148","34.3%","447","167","37.4%",,,,
"10X477","10","Marble Hill High School for International Studies",,"X475","false","444","0","0","444","0.14","0.126","0.669","0.0","0.023","0.034","0.009","0.171","0.313","0.883",,,,,,,"113","96.5%","97","95.9%"
"10X524","10","Crotona International High School",,"X660","false","304","0","0","304","0.033","0.033","0.934","0.0","0.0","0.0","0.0","0.049","0.928","0.813",,,,,,,"81","84.0%","89","67.4%"
"10X546","10","Bronx Theatre High School",,"X475","false","314","0","0","314","0.01","0.347","0.596","0.01","0.016","0.019","0.003","0.242","0.057","0.873",,,,,,,"97","85.6%","66","81.8%"
"10X549","10","Discovery High School",,"X430","false","466","0","0","466","0.036","0.172","0.768","0.0","0.004","0.017","0.002","0.266","0.204","0.916",,,,,,,"111","91.0%","106","84.0%"
"10X565","10","High School for Energy and Technology",,"X660","false","417","0","0","417","0.05","0.206","0.712","0.007","0.005","0.019","0.0","0.293","0.153","0.854",,,,,,,"80","82.5%","97","85.6%"
"11X111","11","P.S. 111 Seton Falls",,"X111","false","500","500","0","0","0.008","0.588","0.374","0.008","0.004","0.018","0.0","0.244","0.048","0.926","284","69","24.3%","285","61","21.4%",,,,
"11X127","11","J.H.S. 127 The Castle Hill",,"X127","false","873","0","873","0","0.328","0.215","0.4","0.003","0.017","0.037","0.0","0.194","0.173","0.779","792","329","41.5%","697","200","28.7%",,,,
"11X144","11","J.H.S. 144 Michelangelo",,"X144","false","432","0","432","0","0.069","0.549","0.352","0.0","0.009","0.021","0.0","0.269","0.088","0.789","440","148","33.6%","442","121","27.4%",,,,
"11X153","11","P.S. 153 Helen Keller",,"X153","false","540","540","0","0","0.161","0.574","0.222","0.011","0.011","0.019","0.002","0.133","0.024","0.704","326","204","62.6%","332","175","52.7%",,,,
"11X160","11","P.S. 160 Walt Disney",,"X160","false","350","350","0","0","0.023","0.623","0.309","0.026","0.003","0.017","0.0","0.254","0.02","0.689","163","81","49.7%","164","63","38.4%",,,,
"11X178","11","P.S. 178 - Dr. Selman Waksman",,"X178","false","349","349","0","0","0.017","0.633","0.318","0.011","0.006","0.014","0.0","0.201","0.017","0.877","215","72","33.5%","217","47","21.7%",,,,
"11X181","11","I.S. 181 Pablo Casals",,"X181","false","852","0","852","0","0.068","0.589","0.271","0.006","0.022","0.032","0.012","0.239","0.039","0.809","837","395","47.2%","700","241","34.4%",,,,
"11X189","11","Cornerstone Academy for Social Action",,"X189","false","315","315","0","0","0.01","0.492","0.454","0.01","0.003","0.029","0.003","0.184","0.029","0.873","172","44","25.6%","172","51","29.7%",,,,
"11X194","11","P.S./M.S. 194",,"X194","false","1182","713","469","0","0.373","0.065","0.497","0.008","0.019","0.036","0.003","0.173","0.183","0.827","894","391","43.7%","879","382","43.5%",,,,
"11X249","11","Bronx Health Sciences High School",,"X455","false","334","0","0","334","0.078","0.506","0.341","0.0","0.039","0.027","0.009","0.174","0.06","0.781",,,,,,,"54","100.0%","71","93.0%"
"11X253","11","Bronx High School for Writing and Communication Arts",,"X425","false","271","0","0","271","0.026","0.428","0.494","0.0","0.004","0.041","0.007","0.244","0.137","0.782",,,,,,,"81","67.9%","84","72.6%"
"11X265","11","Bronx Lab School",,"X425","false","302","0","1","301","0.02","0.387","0.54","0.0","0.01","0.043","0.0","0.285","0.156","0.848",,,,,,,"82","74.4%","94","71.3%"
"11X270","11","Academy for Scholarship and Entrepreneurship: A College Board School",,"X362","false","359","0","0","359","0.011","0.635","0.304","0.008","0.017","0.025","0.0","0.209","0.05","0.838",,,,,,,"85","82.4%","95","81.1%"
"11X275","11","High School of Computers and Technology",,"X425","false","498","0","0","498","0.086","0.361","0.502","0.002","0.012","0.028","0.008","0.267","0.108","0.753",,,,,,,"121","81.0%","135","85.2%"
"11X287","11","North Bronx School of Empowerment",,"X113","false","423","0","423","0","0.017","0.518","0.416","0.009","0.021","0.019","0.0","0.286","0.161","0.913","512","99","19.3%","551","54","9.8%",,,,
"11X288","11","Collegiate Institute for Math and Science",,"X415","false","587","0","0","587","0.133","0.308","0.392","0.0","0.012","0.152","0.003","0.196","0.058","0.809",,,,,,,"151","90.1%","172","89.5%"
"11X290","11","Bronx Academy of Health Careers",,"X425","false","383","0","0","383","0.029","0.407","0.514","0.008","0.008","0.031","0.003","0.198","0.167","0.856",,,,,,,"77","87.0%","91","78.0%"
