"accession","artwork_title","artist_lastname","artist_firstname","medium","artwork_year","dimension","bldgid","school_name","borough"
"11643","""CUBIST MUSICIANS""","ANONYMOUS",,"METAL PAINTED","1961-01-01T00:00:00.000",,"Q455","NEWTOWN HS - QUEENS","QUEENS"
"11646","CONSERTE","POWELL","FRED","ALUMINUM, CAST","1962-01-01T00:00:00.000",,"R049","I.S. 49 - STATEN ISLAND","STATEN ISLAND"
"11647","ASTRONAUT","SHIFRIN","ROY","BRONZE, CAST","1976-01-01T00:00:00.000",,"R057","P.S. 57 - STATEN ISLAND","STATEN ISLAND"
"11648","SCHOOL","KING","WILLIAM","ALUMINUM, SHEET","1983-01-01T00:00:00.000",,"R013","P.S. 13 - STATEN ISLAND","STATEN ISLAND"
"11650","""ABSTRACT""","BONET","JORDI","CERAMIC","1971-01-01T00:00:00.000",,"R061","I.S. 61 - STATEN ISLAND","STATEN ISLAND"
"11651","""ABSTRACT""","BONET","JORDI","BRONZE","1971-01-01T00:00:00.000",,"R061","I.S. 61 - STATEN ISLAND","STATEN ISLAND"
"11652","""UNTITLED""","LADDA","JUSTEN","MOSAIC, GLASS",,,"X007","P.S. 7 - BRONX","BRONX"
"11652","""UNTITLED""","LADDA","JUSTEN","MOSAIC, STONE",,,"X007","P.S. 7 - BRONX","BRONX"
"11653","YOUTH AIMING HIGH","JENNEWEIN","CARL","BRONZE","1959-01-01T00:00:00.000",,"R051","I.S. 51 - STATEN ISLAND","STATEN ISLAND"
"11654","""SPORT""","SPAMPINATO","CLEMENTE","TERRA COTTA","1958-01-01T00:00:00.000",,"K142","J.H.S. 142 - BROOKLYN","BROOKLYN"
"11655","""ATHLETICS""","SPAMPINATO","CLEMENTE","BRONZE","1976-01-01T00:00:00.000",,"R069","P.S. 69 - STATEN ISLAND","STATEN ISLAND"
"11656","""ABSTRACT""","REINA","CHARLES","BRONZE, SHEET","1977-01-01T00:00:00.000",,"R072","I.S. 72 - STATEN ISLAND","STATEN ISLAND"
"11657","""MOVEMENT THROUGH SPACE""","LEFKOW","JOHN","COPPER, SHEET","1966-01-01T00:00:00.000",,"R460","SUSAN E. WAGNER HS - S. I.","STATEN ISLAND"
"11659","""PORTRAIT OF DANTE""","TRIEBEL","FREDERIC","BRONZE","1921-01-01T00:00:00.000",,"VVAR",,
"11660","""STUDENTS""","LO MEDICO","THOMAS","ALUMINUM","1965-01-01T00:00:00.000",,"R007","I.S. 7 - STATEN ISLAND","STATEN ISLAND"
"11661","""ANIMAL LIFE""","MONROE","KEITH","STEEL, WEATHERING","1967-01-01T00:00:00.000",,"R032","P.S. 32 - STATEN ISLAND","STATEN ISLAND"
"11662","""ABSTRACT""","NIVOLA","COSTANTINO","CONCRETE, PRECAST","1965-01-01T00:00:00.000",,"R055","P.S. 55 - STATEN ISLAND","STATEN ISLAND"
"11663","LIFE'S JOURNEY","REINA","CHARLES","BRONZE","1974-01-01T00:00:00.000",,"R036","P.S. 36 - STATEN ISLAND","STATEN ISLAND"
"11665","""FOOTBALL, BASKETBALL, AND POLE VAULTING""","SPAMPINATO","CLEMENTE","ALUMINUM, CAST","1962-01-01T00:00:00.000",,"R440","STATEN ISLAND TECHNICAL HS - S.I.","STATEN ISLAND"
"11666","""UNTITLED""","NIVOLA","COSTANTINO","CONCRETE","1955-01-01T00:00:00.000",,"K033","I.S. 33 - BROOKLYN","BROOKLYN"
"11667","""BUST OF LINCOLN, WASHINGTON AND FRANKLIN""","ANONYMOUS",,"PLASTER CAST",,,"R008","P.S. 8 - STATEN ISLAND","STATEN ISLAND"
"11670","""ORNAMENTAL WORLD MAP""","MILNES AND MELNIKER","ARCHITECTS","TERRA COTTA","1957-01-01T00:00:00.000",,"R050","P.S. 50 - STATEN ISLAND","STATEN ISLAND"
"11672","""BULL""","ANONYMOUS",,"PLASTER, PAINTED",,,"K705","MIDWOOD HS ADDITION - BROOKLYN","BROOKLYN"
"11673","""BUFFALO""","ANONYMOUS",,"PLASTER, PAINTED",,,"K705","MIDWOOD HS ADDITION - BROOKLYN","BROOKLYN"
"11674","""DANTE""","ANONYMOUS",,"BRONZE",,,"X415","CHRISTOPHER COLUMBUS HS - X","BRONX"
"11675","""DR. MARTIN LUTHER KING JR.""","JOME",,"BRONZE",,,"X150","P.S. 150 - BRONX","BRONX"
"11676","""CLOAKED WOMAN""","ANONYMOUS",,"CONCRETE",,,"Q801","OSSS / DSF - QUEENS","QUEENS"
"11678","DESTITUTE (MOTHER AND CHILD)","GLICKMAN","MAURICE","MARBLE","1937-01-01T00:00:00.000",,"X094","P.S. 94 - BRONX","BRONX"
"11680","BUST OF PABLO CASSALS","FACCI","DOMENICO","CERAMIC","1976-01-01T00:00:00.000",,"X181","I.S. 181 - BRONX","BRONX"
"11681","THE CHALLENGE","KORAS","GEORGE","BRONZE, CAST","1972-01-01T00:00:00.000",,"X192","I.S. 192 - BRONX","BRONX"
"11682","BUST OF ALBERT EINSTEIN","CRIMI","ALFRED","PLASTER CAST","1967-01-01T00:00:00.000",,"X131","I.S. 131 - BRONX","BRONX"
"11683","""EXPLORATION""","CHAYAT","MAXWELL","STEEL, STAINLESS","1974-01-01T00:00:00.000",,"X174","I.S. 174 - BRONX","BRONX"
"11684","CITYSCAPE","ROSZAK","THEODORE","ALUMINUM","1975-01-01T00:00:00.000",,"X182","P.S. 182 - BRONX","BRONX"
"11685","""WW 1 MEMORIAL PLAQUE""","GORHAM COMPANY",,"BRONZE","1921-01-01T00:00:00.000",,"M477","STUYVESANT HS (NEW) - MANHATTAN","MANHATTAN"
"11686","""UNTITLED, ABSTRACT""","WHITE","JACK","METAL","1980-01-01T00:00:00.000",,"X206","I.S. 206B - BRONX","BRONX"
"11687","""WW II MEMORIAL PLAQUE""","ANONYMOUS",,"BRONZE","1948-01-01T00:00:00.000",,"M477","STUYVESANT HS (NEW) - MANHATTAN","MANHATTAN"
"11688","ELEMENTS OF EDUCATION","SPAMPINATO","CLEMENTE","BRONZE, CAST","1971-01-01T00:00:00.000",,"X160","P.S. 160 - BRONX","BRONX"
"11690","""BOARD OF EDUCATION PLAQUE""","GORHAM COMPANY",,"BRONZE","1906-01-01T00:00:00.000",,"M477","STUYVESANT HS (NEW) - MANHATTAN","MANHATTAN"
"11692","""ABSTRACT""","WOODHAM","JEAN","BRONZE","1975-01-01T00:00:00.000",,"X455","HARRY S. TRUMAN HS - X","BRONX"
"11693","""ABSTRACT""","HUNT","RICHARD","STEEL, PAINTED","1982-01-01T00:00:00.000",,"X193","P.S. 211 - BRONX","BRONX"
"11694","""PLAY AND STUDY""","FACCI","DOMENICO","BRONZE, CAST","1974-01-01T00:00:00.000",,"X147","I.S. 339 (OLD 147) - BRONX","BRONX"
"11695","""TABLET OF JAMES D. DILLINGHAM""","JORKMAN","O.B.","BRONZE","1923-01-01T00:00:00.000",,"Q455","NEWTOWN HS - QUEENS","QUEENS"
"11696",""" REV. BISHOP MOORE & CLEMENT C. MOORE""","FLERI","JOSEPH","BRONZE",,,"Q455","NEWTOWN HS - QUEENS","QUEENS"
"11699","WEATHER PAVILION","HOLLIS","DOUGLAS","PLEXIGLASS","1993-01-01T00:00:00.000",,"M217","P.S. 217-BLACKWL-RSV ISL (UDC)-M","MANHATTAN"
"11699","WEATHER PAVILION","HOLLIS","DOUGLAS","STONE","1993-01-01T00:00:00.000",,"M217","P.S. 217-BLACKWL-RSV ISL (UDC)-M","MANHATTAN"
"11699","WEATHER PAVILION","HOLLIS","DOUGLAS","STEEL, STAINLESS","1993-01-01T00:00:00.000",,"M217","P.S. 217-BLACKWL-RSV ISL (UDC)-M","MANHATTAN"
"11699","WEATHER PAVILION","HOLLIS","DOUGLAS","GRANITE","1993-01-01T00:00:00.000",,"M217","P.S. 217-BLACKWL-RSV ISL (UDC)-M","MANHATTAN"
"11699","WEATHER PAVILION","HOLLIS","DOUGLAS","CONCRETE","1993-01-01T00:00:00.000",,"M217","P.S. 217-BLACKWL-RSV ISL (UDC)-M","MANHATTAN"
"11699","WEATHER PAVILION","HOLLIS","DOUGLAS","MARBLE","1993-01-01T00:00:00.000",,"M217","P.S. 217-BLACKWL-RSV ISL (UDC)-M","MANHATTAN"
"11703","KNOWLEDGE AND ADVANCEMENT","ALSTON","CHARLES","BRONZE","1975-01-01T00:00:00.000",,"X158","I.S. 158 - BRONX","BRONX"
"11705","FREEDOM","VEGA","MANUEL","CONCRETE","1991-03-01T00:00:00.000",,"M088","I.S. 88 - MANHATTAN","MANHATTAN"
"11705","FREEDOM","VEGA","MANUEL","CONCRETE PAVERS","1991-03-01T00:00:00.000",,"M088","I.S. 88 - MANHATTAN","MANHATTAN"
"11706","""BASKETBALL""","SPAMPINATO","CLEMENTE","BRONZE, CAST","1957-01-01T00:00:00.000",,"X140","P.S. 140 - BRONX","BRONX"
"11708","MUSIC AND INSPIRATION","GUARDUCCI","OTELLO","BRONZE, SHEET","1965-01-01T00:00:00.000",,"X145","I.S. 145 - BRONX","BRONX"
"11709","UNTITLED","HARDISON","INGE","BRONZE, CAST","1972-01-01T00:00:00.000",,"X074","I.S. 201 - BRONX","BRONX"
"11711","UNTITLED","DIGIUSTO","GERALD","BRONZE, SHEET","1973-01-01T00:00:00.000",,"X116","I.S. 216 - BRONX","BRONX"
"11712","EDUCATION AND FAMILY","NIVOLA","COSTANTINO","CONCRETE","1972-01-01T00:00:00.000",,"X183","J.H.S. 203 - BRONX","BRONX"
"11713","UNTITLED","RUBIO","MARTIN","STEEL, STAINLESS","1976-01-01T00:00:00.000",,"X116","I.S. 216 - BRONX","BRONX"
"11714","ROCK","WINTER","LUMEN","CONCRETE","1970-01-01T00:00:00.000",,"K515","SOUTH SHORE HS - K","BROOKLYN"
"11714","ROCK","WINTER","LUMEN","STONE","1970-01-01T00:00:00.000",,"K515","SOUTH SHORE HS - K","BROOKLYN"
"11715","AD ASTRA PER LIBROS","SPAMPINATO","CLEMENTE","BRASS","1963-01-01T00:00:00.000",,"X029","P.S. 29 - BRONX","BRONX"
"11715","AD ASTRA PER LIBROS","SPAMPINATO","CLEMENTE","BRONZE","1963-01-01T00:00:00.000",,"X029","P.S. 29 - BRONX","BRONX"
"11717","ABSTRACT","NIVOLA","COSTANTINO","CONCRETE","1958-01-01T00:00:00.000",,"K620","WILLIAM E. GRADY VOC HS - K","BROOKLYN"
"11718","RADIO, WIRELESS, LIGHT, TELEPHONE.","ANONYMOUS",,"BRASS","1931-01-01T00:00:00.000",,"X655","SAMUEL GOMPERS VOC HS - X","BRONX"
"11719","""STUDENT  WORK""","ANONYMOUS",,"BRASS","1931-01-01T00:00:00.000",,"X655","SAMUEL GOMPERS VOC HS - X","BRONX"
"11720","ANIMALS WE LOVE","HAMMOND","VALERIE","STEEL, PAINTED","1991-01-01T00:00:00.000",,"K016","P.S. 16 - BROOKLYN","BROOKLYN"
"11721","SOUND PLAYGROUND","BUCHEN","BILL & MARY","STEEL","1992-01-01T00:00:00.000",,"X023","P.S. 23 - BRONX","BRONX"
"11721","SOUND PLAYGROUND","BUCHEN","BILL & MARY","CONCRETE","1992-01-01T00:00:00.000",,"X023","P.S. 23 - BRONX","BRONX"
"11721","SOUND PLAYGROUND","BUCHEN","BILL & MARY","BRONZE","1992-01-01T00:00:00.000",,"X023","P.S. 23 - BRONX","BRONX"
"11722","UNTITLED","BOLOMEY","ROGER","STEEL, WEATHERING","1971-01-01T00:00:00.000",,"X405","HERBERT H. LEHMAN HS - X","BRONX"
"11724","THREE BACCAHANTES DANCING","CAPRONI BROTHERS",,"PLASTER","1924-01-01T00:00:00.000",,"K440","PROSPECT HEIGHTS HS - K","BROOKLYN"
"11726","""MEMORIAL PLAQUE-IN MEMORY OF CORINNE M...","HENN","RUDOLF","PLASTER, PAINTED","1940-01-01T00:00:00.000",,"K425","JAMES MADISON HS - K","BROOKLYN"
"11726","""MEMORIAL PLAQUE-IN MEMORY OF CORINNE M...","HENN","RUDOLF","PLASTER CAST","1940-01-01T00:00:00.000",,"K425","JAMES MADISON HS - K","BROOKLYN"
"11727","WORKERS IN FOUNDRY","HENN","RUDOLF","PLASTER","1937-01-01T00:00:00.000",,"K580","GEORGE WESTINGHOUSE VOC HS - K","BROOKLYN"
"11728","UNTITLED","ANONYMOUS",,"STONE","1987-01-01T00:00:00.000",,"Q455","NEWTOWN HS - QUEENS","QUEENS"
"11729","OPEN VOYAGE","RIVERA","ROBERT","ALUMINUM","1992-01-01T00:00:00.000",,"X279","P.S. 279 - BRONX","BRONX"
"11730","HIGH ART","PFAFFMAN","SCOTT","WOOD","1987-01-01T00:00:00.000",,"X475","JOHN F. KENNEDY HS - X","BRONX"
"11730","HIGH ART","PFAFFMAN","SCOTT","STEEL, WEATHERING","1987-01-01T00:00:00.000",,"X475","JOHN F. KENNEDY HS - X","BRONX"
"11731","""BUST OF COLUMBUS""","PICCIRILLI","ATTILIO","MARBLE","1925-01-01T00:00:00.000",,"X045","I.S. 45 - BRONX","BRONX"
"11732","TABULA","STUART","MICHELLE","STONE","1990-01-01T00:00:00.000",,"M477","STUYVESANT HS (NEW) - MANHATTAN","MANHATTAN"
"11732","TABULA","STUART","MICHELLE","MARBLE","1990-01-01T00:00:00.000",,"M477","STUYVESANT HS (NEW) - MANHATTAN","MANHATTAN"
"11732","TABULA","STUART","MICHELLE","GRANITE","1990-01-01T00:00:00.000",,"M477","STUYVESANT HS (NEW) - MANHATTAN","MANHATTAN"
"11734","WE SHALL OVERCOME","GOURFAIN","PETER","BRONZE","1994-01-01T00:00:00.000",,"K006","P.S. 6 - BROOKLYN","BROOKLYN"
"11735","FREEDOM MARCH, 1965","GOURFAIN","PETER","BRONZE","1993-01-01T00:00:00.000",,"K006","P.S. 6 - BROOKLYN","BROOKLYN"
"11736","THE BRONX","LEFEVRE","GREGG","BRONZE","1993-01-01T00:00:00.000",,"X209","P.S. 209 - BRONX","BRONX"
"11738","HARMONY II","ARROYO","ANDREA","FIBERGLASS",,,"X306","P.S. 306 - BRONX","BRONX"
"11738","HARMONY II","ARROYO","ANDREA","ACRYLIC ON PANEL",,,"X306","P.S. 306 - BRONX","BRONX"
"11740","AD ASTRA PER ASPERA","LYNDS","CLYDE","CONCRETE","1994-01-01T00:00:00.000",,"Q515","TOWNSEND HARRIS HS - Q","QUEENS"
"11740","AD ASTRA PER ASPERA","LYNDS","CLYDE","FIBER OPTICS","1994-01-01T00:00:00.000",,"Q515","TOWNSEND HARRIS HS - Q","QUEENS"
"11741","PANGAEA","WILSON","FRED","STEEL, PAINTED","1995-01-01T00:00:00.000",,"Q515","TOWNSEND HARRIS HS - Q","QUEENS"
"11744","EAST OF THE SUN, WEST OF THE MOON","WOOD","STEVE","TERRA COTTA","1993-01-01T00:00:00.000",,"Q069","P.S. 69 - QUEENS","QUEENS"
"11746","TRIBUTARIES","ADAMS","DENNIS","PHOTOGRAPH","1995-01-01T00:00:00.000",,"Q452","LONG ISLAND CITY HS (NEW) - Q","QUEENS"
"11746","TRIBUTARIES","ADAMS","DENNIS","PLEXIGLASS","1995-01-01T00:00:00.000",,"Q452","LONG ISLAND CITY HS (NEW) - Q","QUEENS"
"11746","TRIBUTARIES","ADAMS","DENNIS","STEEL, STAINLESS","1995-01-01T00:00:00.000",,"Q452","LONG ISLAND CITY HS (NEW) - Q","QUEENS"
"11748","PROJECT FOR P.S. 3","ACCONCI","VITO","STEEL","1995-01-01T00:00:00.000",,"X003","P.S. 3 - BRONX","BRONX"
"11748","PROJECT FOR P.S. 3","ACCONCI","VITO","CONCRETE","1995-01-01T00:00:00.000",,"X003","P.S. 3 - BRONX","BRONX"
"14056","COLLEGE GIRL","GROSS","CHAIM","EBONY","1935-01-01T00:00:00.000",,"K410","ABRAHAM LINCOLN HS - K","BROOKLYN"
"14057","FENCING BOY","GROSS","CHAIM","EBONY",,,"K410","ABRAHAM LINCOLN HS - K","BROOKLYN"
"17001","RIVERS","RESSLER","ROBERT","WOOD, PAINTED","1997-01-01T00:00:00.000",,"K233","P.S. 233 - BROOKLYN","BROOKLYN"
"20041","UNTITLED","BERNEKER","LOUIS","TO BE DETERMINED","1928-01-01T00:00:00.000",,"X060","P.S. 333 - BRONX","BRONX"
"20042","UNTITLED","NIVOLA","COSTANTINO","GRAFFITO",,,"K046","P.S. 46 - BROOKLYN","BROOKLYN"
"20042","UNTITLED","NIVOLA","COSTANTINO","CONCRETE",,,"K046","P.S. 46 - BROOKLYN","BROOKLYN"
"20043","ABSTRACTION","BOLOTOWSKY","ILYA","MOSAIC, CERAMIC","1974-01-01T00:00:00.000",,"K072","P.S. 72 - BROOKLYN","BROOKLYN"
"20045","GAMES AND RHYTHM","LUBIN","JACK","MOSAIC, GLASS","1962-01-01T00:00:00.000",,"K314","P.S. 314 - BROOKLYN","BROOKLYN"
"20046","POINT OF YOUTH","KAPROV","SUSAN","XEROX","1985-01-01T00:00:00.000",,"Q029","P.S. 29  - QUEENS","QUEENS"
"20046","POINT OF YOUTH","KAPROV","SUSAN","PLEXIGLASS","1985-01-01T00:00:00.000",,"Q029","P.S. 29  - QUEENS","QUEENS"
"20048","ABRAHAM LINCOLN, FRANKLIN ROOSEVELT","ALSTON","CHARLES","OIL ON CANVAS","1955-01-01T00:00:00.000",,"K410","ABRAHAM LINCOLN HS - K","BROOKLYN"
"20049","THOMAS JEFFERSON - GEORGE WASHINGTON","FIENE","ERNEST","OIL ON CANVAS","1955-01-01T00:00:00.000",,"K410","ABRAHAM LINCOLN HS - K","BROOKLYN"
"20050","""MARY WALSEMANN MEMORIAL WINDOW""","ANONYMOUS",,"STAINED GLASS","1923-01-01T00:00:00.000",,"K008","P.S. 8 - BROOKLYN","BROOKLYN"
"20051","ABSTRACTION","FOGEL","SEYMOUR","MOSAIC, GLASS","1976-01-01T00:00:00.000",,"K383","I.S. 383 - BROOKLYN","BROOKLYN"
"20052","UNTITLED","WILSON","DAVID","CERAMIC","1973-01-01T00:00:00.000",,"K291","I.S. 291 - BROOKLYN","BROOKLYN"
"20053","""ARTS, LETTERS, SCIENCES""","BRADFORD","FRANCIS","MARBLE","1957-01-01T00:00:00.000",,"K261","P.S. 261 - BROOKLYN","BROOKLYN"
"20055","""UNTITLED""","STANFORD","FERN","ACRYLIC ON PANEL","1976-01-01T00:00:00.000","6' 7 1/4"" X 5' 1""","K455","BOYS & GIRLS HS - K","BROOKLYN"
"20056","JOHN WAYNE","MARTIN","KNOX","MOSAIC, GLASS","1982-01-01T00:00:00.000",,"K380","P.S. 380 - BROOKLYN","BROOKLYN"
"20059","""CANARSIE INDIANS""","TREADWELL","HELEN","MOSAIC, MARBLE","1962-01-01T00:00:00.000",,"K282","P.S. 282 - BROOKLYN","BROOKLYN"
"20059","""CANARSIE INDIANS""","TREADWELL","HELEN","MOSAIC, GLASS","1962-01-01T00:00:00.000",,"K282","P.S. 282 - BROOKLYN","BROOKLYN"
"20060","""YOUNG PEOPLE""","MENSHEKOFF","EDWARD","CERAMIC TILE","1965-01-01T00:00:00.000",,"K041","P.S. 41 - BROOKLYN","BROOKLYN"
"20061","""TOOLS OF EDUCATION""","SPIVAK","MAX","MOSAIC, MARBLE","1955-01-01T00:00:00.000",,"K470","GEORGE W. WINGATE HS - K","BROOKLYN"
"20061","""TOOLS OF EDUCATION""","SPIVAK","MAX","MOSAIC, GLASS","1955-01-01T00:00:00.000",,"K470","GEORGE W. WINGATE HS - K","BROOKLYN"
"20062","""EUROPEAN MUSIC""","FOGEL","SEYMOUR","OIL ON CANVAS","1937-01-01T00:00:00.000",,"K410","ABRAHAM LINCOLN HS - K","BROOKLYN"
"20065","A CHILD'S PATH FROM HOME TO SCHOOL","KATZ","JOSEPH","MOSAIC, CERAMIC",,"4'-11"" X 8'-10""","K049","I.S. 49 - BROOKLYN","BROOKLYN"
"20066","""WORK TOOLS""","HYAMS","HARRIET","STAINED GLASS","1978-01-01T00:00:00.000",,"X722","P.S. 721 (OTC) - BRONX","BRONX"
"20067","LIGHT OF KNOWLEDGE","CAVALLARO","VINCENT","MOSAIC, GLASS","1973-01-01T00:00:00.000",,"Q075","P.S. 75 (R PEARY SCHOOL)-QUEENS","QUEENS"
"21203","""THE MUSES AS DRAMA, MUSIC, AND SCIENCE""","POLONY","ELEMER","MOSAIC, GLASS","1960-01-01T00:00:00.000",,"M180","P.S. 180 - MANHATTAN","MANHATTAN"
"21204","EDUCATION","POLONY","ELEMER","MOSAIC, GLASS","1964-01-01T00:00:00.000",,"M083","P.S. 83 - MANHATTAN","MANHATTAN"
"21205","""FASHION TRADE""","FIENE","ERNEST","MOSAIC, GLASS","1937-01-01T00:00:00.000",,"M600","FASHION INDUSTRIES VOC HS - M","MANHATTAN"
"21209","EDUCATIONAL MOTIVE: SPORTS & SCIENCE","RECKE","GERARD","STAINED GLASS","1936-01-01T00:00:00.000",,"M440","BAYARD RUSTIN EDUCATIONAL COMP-M","MANHATTAN"
"21210","MAN ON THE THRESHOLD OF THE SPACE AGE","ALSTON","CHARLES","MOSAIC, GLASS","1964-01-01T00:00:00.000",,"M154","P.S. 154 - MANHATTAN","MANHATTAN"
"21210","MAN ON THE THRESHOLD OF THE SPACE AGE","ALSTON","CHARLES","MOSAIC, STONE","1964-01-01T00:00:00.000",,"M154","P.S. 154 - MANHATTAN","MANHATTAN"
"21211","THE SEASONS","HYAMS","HARRIET","STAINED GLASS","1962-01-01T00:00:00.000",,"R435","NEW DORP HS (NEW) - S. I.","STATEN ISLAND"
"21213","""UNTITLED""","KASUBA","ALEXSANDRA","MOSAIC, MARBLE","1982-01-01T00:00:00.000",,"R435","NEW DORP HS (NEW) - S. I.","STATEN ISLAND"
"11028","LANDMIND","CHIN","MEL","GLASS","1995-01-01T00:00:00.000",,"Q452","LONG ISLAND CITY HS (NEW) - Q","QUEENS"
"11028","LANDMIND","CHIN","MEL","CONCRETE","1995-01-01T00:00:00.000",,"Q452","LONG ISLAND CITY HS (NEW) - Q","QUEENS"
"11028","LANDMIND","CHIN","MEL","GRANITE","1995-01-01T00:00:00.000",,"Q452","LONG ISLAND CITY HS (NEW) - Q","QUEENS"
"11028","LANDMIND","CHIN","MEL","STEEL, STAINLESS","1995-01-01T00:00:00.000",,"Q452","LONG ISLAND CITY HS (NEW) - Q","QUEENS"
"21605","RITES OF PASSAGE","HOLDER","ROBIN","WOOD",,,"K175","TEACHERS PREP HS(OL REDIRECTION)-K","BROOKLYN"
"21605","RITES OF PASSAGE","HOLDER","ROBIN","STAINED GLASS",,,"K175","TEACHERS PREP HS(OL REDIRECTION)-K","BROOKLYN"
"21605","RITES OF PASSAGE","HOLDER","ROBIN","STEEL",,,"K175","TEACHERS PREP HS(OL REDIRECTION)-K","BROOKLYN"
"21614","RITES OF PASSAGE","HOLDER","ROBIN","PLEXIGLASS",,,"K175","TEACHERS PREP HS(OL REDIRECTION)-K","BROOKLYN"
"21614","RITES OF PASSAGE","HOLDER","ROBIN","CERAMIC",,,"K175","TEACHERS PREP HS(OL REDIRECTION)-K","BROOKLYN"
"21614","RITES OF PASSAGE","HOLDER","ROBIN","WOOD, CARVED",,,"K175","TEACHERS PREP HS(OL REDIRECTION)-K","BROOKLYN"
"21614","RITES OF PASSAGE","HOLDER","ROBIN","WOOD, PAINTED",,,"K175","TEACHERS PREP HS(OL REDIRECTION)-K","BROOKLYN"
"71166","LUCY ON PFEIFFERS BEACH","JONES","AMY","WATERCOLOR","1967-01-01T00:00:00.000","25"" X 30 1/2""","K126","J.H.S. 126 - BROOKLYN","BROOKLYN"
"21032","UNTITLED","NIVOLA","COSTANTINO","CONCRETE","1960-01-01T00:00:00.000",,"K046","P.S. 46 - BROOKLYN","BROOKLYN"
"20039","IMPORTANT WOMEN IN WOOL INDUSTRY","MACCOY","GUY","OIL ON CANVAS",,,"K655","BKLYN HS OF THE ARTS (OL S J HL)-K","BROOKLYN"
"21368","AMERIKA-- FOR THE PEOPLE OF BATHGATE, 1988","ROLLINS","TIM","ENAMEL PAINT","1988-01-01T00:00:00.000",,"X004","P.S. 4 - BRONX","BRONX"
"21627","A STORY IS TOLD...A VIEW OF FOUR CULTURES: NATIVE AMERICAN, MAYAN, AFRICAN, ...","HIIVA","OLGA","CERAMIC","1996-01-01T00:00:00.000",,"X102","P.S. 102 - BRONX","BRONX"
"71275","BAND CONCERT","SHERMAN","EFFIM","ETCHING","1940-01-01T00:00:00.000","15' X 18""","K490","FORT HAMILTON HS - K","BROOKLYN"
"71276","THREE DEER","SHERMAN","JAMES","LITHOGRAPH","1940-01-01T00:00:00.000","15"" X 18""","K490","FORT HAMILTON HS - K","BROOKLYN"
"71277","MONTAUK FISHING VILLAGE","SHOKLER","HARRY","WOODCUT",,"12"" X 14""","K490","FORT HAMILTON HS - K","BROOKLYN"
"71279","MAN'S DREAM","STERNBERG","HARRY","ETCHING","1940-01-01T00:00:00.000","18"" X 21""","K490","FORT HAMILTON HS - K","BROOKLYN"
"71280","HUDSON RIVER FERRY","TANZER","JULIUS","LITHOGRAPH","1940-01-01T00:00:00.000","20"" X 25""","K490","FORT HAMILTON HS - K","BROOKLYN"
"35095","LARGE SQUARE SPECTRUM SERIES #1","ROTH","RICHARD","ENAMEL PAINT","1971-01-01T00:00:00.000","48"" X 48""","X083","P.S. 83 - BRONX","BRONX"
"35095","LARGE SQUARE SPECTRUM SERIES #1","ROTH","RICHARD","GLASS","1971-01-01T00:00:00.000","48"" X 48""","X083","P.S. 83 - BRONX","BRONX"
"35094","3 PEOPLE 3","GILES","WILLIAM","ACRYLIC ON CANVAS","1966-01-01T00:00:00.000",,"X360","P.S. 360 - BRONX","BRONX"
"11040","SHEAVES","UNGER","MARY ANN","FABRIC","1990-01-01T00:00:00.000",,"Q801","OSSS / DSF - QUEENS","QUEENS"
"11040","SHEAVES","UNGER","MARY ANN","HYDROCAL","1990-01-01T00:00:00.000",,"Q801","OSSS / DSF - QUEENS","QUEENS"
"31144","PORTRAIT OF DR. HYMAN ALPERN","HERMES","ALLAN","OIL ON CANVAS","1937-01-01T00:00:00.000","48"" X 38 3/4""","X425","EVANDER CHILDS HS - X","BRONX"
"71264","WOMAN WITH RED HAIR","PECK","AUGUSTUS","MONO TYPE","1937-01-01T00:00:00.000","21"" X 18""","K490","FORT HAMILTON HS - K","BROOKLYN"
"71273","SAWMILL, NOVA SCOTIA","SANGER","I.J.","LINOLEUM CUT","1940-01-01T00:00:00.000","15"" X 18""","K490","FORT HAMILTON HS - K","BROOKLYN"
"71273","SAWMILL, NOVA SCOTIA","SANGER","I.J.","WOODCUT","1940-01-01T00:00:00.000","15"" X 18""","K490","FORT HAMILTON HS - K","BROOKLYN"
"71257","BACKSTAGE ""PORGY AND BESS""","MARKHAM","KYRA","LITHOGRAPH","1936-01-01T00:00:00.000","18"" X 15""","K490","FORT HAMILTON HS - K","BROOKLYN"
"21637","THE LIVELY NARROWS","LORCH-SEIDMAN","CRYSTAL","MOSAIC, CERAMIC","1991-01-01T00:00:00.000",,"K490","FORT HAMILTON HS - K","BROOKLYN"
"11763",,"ANONYMOUS",,"WOOD, CARVED","1937-01-01T00:00:00.000",,"Q152","P.S. 152 - QUEENS","QUEENS"
"11024","DAEDALUS BEDAZZLED","DENNIS","DONNA","STEEL, PAINTED","1996-01-01T00:00:00.000",,"Q005","I.S. 5 - QUEENS","QUEENS"
"11024","DAEDALUS BEDAZZLED","DENNIS","DONNA","STEEL, STAINLESS","1996-01-01T00:00:00.000",,"Q005","I.S. 5 - QUEENS","QUEENS"
"35202","RUSSIA'S CONTRIBUTIONS TO AMERICA","KUDROVA","NATASHA","PRINT",,,"Q801","OSSS / DSF - QUEENS","QUEENS"
"35203","THE BUILDING OF THE INTERSTATE HIGHWAY SYSTEM","HOOD","WALTER","PRINT",,,"Q801","OSSS / DSF - QUEENS","QUEENS"
