"the_geom","objectid_1","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","siteid","category","installati","address","geocodeadd","street","crossstree","borough","comdist","busroute","bid","latitude","longitude","ntaname","femafldz","femafldt","hrcevac","seatingtyp"
"POINT (-74.01392065737299 40.70736287673985)","840.0","1","Manhattan","101","1","65","26","10","1018.0","BID","2012-07-10T00:00:00.000","80 Greenwich Street","80 Greenwich Street","Greenwich Street","Rector and Edgar Streets","Manhattan","101.0","Not Applicable","Alliance for Downtown New York","40.7073628767","-74.0139206574","Financial District-Battery Park City","X","AREA OF MINIMAL FLOOD HAZARD","1","BACKED 1.0"
"POINT (-73.89516935324639 40.661122566471434)","416.0","3","Brooklyn","305","42","60","19","8","2379.0","General","2014-03-25T00:00:00.000","620-624 Georgia Avenue","620 Georgia Avenue","Georgia Avenue","New Lots Avenue & Newport Street","Brooklyn","305.0","Not Applicable","Not Applicable","40.6611225665","-73.8951693532","East New York-New Lots","X","AREA OF MINIMAL FLOOD HAZARD","5","BACKED 1.0"
"POINT (-73.95533052695205 40.57763510793503)","23.0","3","Brooklyn","313","48","45","23","8","3239.0","Senior Center","2016-04-13T00:00:00.000","1151 Brighton Beach Avenue","1151 Brighton Beach Avenue","Brighton Beach Avenue","Brighton 15th Street & Brighton 14th Street","Brooklyn","313.0","Not Applicable","Not Applicable","40.5776351079","-73.955330527","Brighton Beach","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1","BACKED 1.0"
"POINT (-74.00729355027501 40.72753174041605)","972.0","1","Manhattan","102","3","66","27","10","984.0","BID","2012-07-03T00:00:00.000","345 Hudson Street","345 Hudson Street","Hudson Street","Charlton and King Streets","Manhattan","102.0","Not Applicable","Hudson Square Connection","40.7275317404","-74.0072935503","SoHo-Little Italy-Hudson Square","X","AREA OF MINIMAL FLOOD HAZARD","2","BACKED 1.0"
"POINT (-73.78044854877517 40.71360121210175)","884.0","4","Queens","408","24","29","14","5","3679.0","Senior Safety","2017-05-13T00:00:00.000","182-15 Hillside Avenue","182-15 Hillside Avenue","Hillside Avenue","Avon Street & Dalny Road","Queens","408.0","Q01","Not Applicable","40.7136012121","-73.7804485488","Jamaica Estates-Holliswood","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.98953355518024 40.7400807378733)","1045.0","1","Manhattan","105","2","75","28","12","2175.0","BID","2013-07-24T00:00:00.000","925 Broadway","925 Broadway","Broadway","E21st & E22nd Street","Manhattan","105.0","Not Applicable","Flatiron/23rd Street Partnership","40.7400807379","-73.9895335552","Midtown South-Flatiron-Union Square","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.98659126039047 40.64045455393285)","287.0","3","Brooklyn","312","39","44","17","10","4060.0","General","2018-05-11T00:00:00.000","3914 13th Avenue","3914 13th Avenue","13th Avenue","39th Street & 40th Street","Brooklyn","312.0","B16","Not Applicable","40.6404545539","-73.9865912604","Borough Park","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.82028249047902 40.82476946220927)","1612.0","2","Bronx","210","13","82","34","14","1397.0","General","2013-03-26T00:00:00.000","3811 East Tremont Avenue","3811 East Tremont Avenue","East Tremont Avenue","Schley Avenue & Lamport Place","Bronx","210.0","BX40","Not Applicable","40.8247694622","-73.8202824905","Throgs Neck-Schuylerville","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-74.00575584218623 40.726601057089376)","2009.0","1","Manhattan","102","3","66","27","10","2014.0","BID","2013-07-08T00:00:00.000","157 Varick Street","157 Varick Street","Varick Street","Charlton Street & Vandam Street","Manhattan","102.0","Not Applicable","Hudson Square Connection","40.7266010571","-74.0057558422","SoHo-Little Italy-Hudson Square","X","AREA OF MINIMAL FLOOD HAZARD","4","BACKED 1.0"
"POINT (-73.86192431450041 40.74979978522221)","1934.0","4","Queens","404","21","39","13","14","1342.0","Plaza","2018-06-01T00:00:00.000","103-12 Roosevelt Avenue","103-12 Roosevelt Avenue","Roosevelt Avenue","104th and National Streets","Queens","404.0","Q20A","Not Applicable","40.7497997852","-73.8619243145","Corona","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.91795857305425 40.831983717510006)","1649.0","2","Bronx","204","16","77","29","15","2136.0","Community Health Centers","2013-09-11T00:00:00.000","1116 Sheridan Avenue","1116 Sheridan Avenue","Sheridan Avenue","East 166th and McClellan Streets","Bronx","204.0","Not Applicable","Not Applicable","40.8319837175","-73.9179585731","Concourse-Concourse Village","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.94229440557939 40.831385296974986)","1644.0","1","Manhattan","112","7","71","30","13","4121.0","Bus Route","2018-08-01T00:00:00.000","458 West 155th Street","458 West 155th Street","West 155th Street","Amsterdam Avenue & Saint Nicholas Avenue","Manhattan","109.0","BX6","Not Applicable","40.831385297","-73.9422944056","Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.95565394208872 40.68040713435775)","1920.0","3","Brooklyn","303","36","57","25","8","1106.0","General","2012-09-27T00:00:00.000","537 Franklin Avenue","537 Franklin Avenue","Franklin Avenue","Fulton Street and Lefferts Place","Brooklyn","303.0","Not Applicable","Not Applicable","40.6804071344","-73.9556539421","Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.97750755680282 40.77914472924814)","1358.0","1","Manhattan","107","6","67","29","10","1819.0","BID","2013-03-18T00:00:00.000","313 Columbus Avenue","313 Columbus Avenue","Columbus Avenue","W74 & W75th Street","Manhattan","107.0","Not Applicable","Columbus Avenue","40.7791447292","-73.9775075568","Upper West Side (Central)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.90160713020657 40.8231797696288)","1600","2","Bronx","203","17","79","32","15","2431.0","Senior Center","2014-04-23T00:00:00.000","950 Union Avenue","950 Union Avenue","Union Avenue","E. 163rd Street and E. 165th Street","Bronx","203.0","Not Applicable","Not Applicable","40.8231797696","-73.9016071302","Longwood","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.84587432013842 40.78438004440527)","1385.0","4","Queens","407","19","27","11","14","1412.0","General","2013-04-19T00:00:00.000","14-60 College Point Blvd","14-60 College Point Blvd","College Point Blvd","14th Avenue & 15th Avenue","Queens","407.0","Not Applicable","Not Applicable","40.7843800444","-73.8458743201","College Point","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-74.01823633857371 40.64123285706034)","300.0","3","Brooklyn","307","38","51","20","7","1613.0","General","2013-01-24T00:00:00.000","330 59th Street","330 59th Street","4th Avenue","59th Street & 60th Street","Brooklyn","307.0","Not Applicable","Not Applicable","40.6412328571","-74.0182363386","Sunset Park (West)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.95335468294485 40.681027934068105)","2081.0","3","Brooklyn","303","36","57","25","8","3052.0","General","2014-11-26T00:00:00.000","1235 Bedford Avenue","1235 Bedford Avenue","Bedford Avenue","Halsey Street & Fulton Street","Brooklyn","303.0","B44","Not Applicable","40.6810279341","-73.9533546829","Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.93840556480296 40.846290715358926)","1723.0","1","Manhattan","112","10","72","31","13","3337.0","Plaza","2015-12-01T00:00:00.000","4140 Broadway","4140 Broadway","W. 175th Street","W. 175th Street & W. 176th Street","Manhattan","112.0","Not Applicable","Not Applicable","40.8462907154","-73.9384055648","Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.94087600329759 40.799771124927744)","1474.0","1","Manhattan","111","8","68","30","13","1227.0","General","2012-10-10T00:00:00.000","1890 Lexington Avenue","1890 Lexington Avenue","Lexington Avenue","East 117th and 118th Streets","Manhattan","111.0","Not Applicable","Not Applicable","40.7997711249","-73.9408760033","East Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","5","BACKED 1.0"
"POINT (-74.01172543968715 40.64693451450324)","319.0","3","Brooklyn","307","38","51","20","7","1611.0","General","2013-01-17T00:00:00.000","4823 Fourth Avenue","4823 Fourth Avenue","4th Avenue","48th and 49th Streets","Brooklyn","307.0","Not Applicable","Not Applicable","40.6469345145","-74.0117254397","Sunset Park (West)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.95376478254609 40.66347582162543)","2172.0","3","Brooklyn","309","40","43","20","9","9.0","SBS","2016-11-19T00:00:00.000","381 Rogers Avenue","381 Rogers Avenue","Rogers Avenue","Empire Blvd & Sterling Street","Brooklyn","0.0","B44",,"40.6634758216","-73.9537647825","Prospect Lefferts Gardens-Wingate","X","AREA OF MINIMAL FLOOD HAZARD",,"LEANING BAR"
"POINT (-74.00233819018393 40.67597756036292)","564.0","3","Brooklyn","306","38","51","25","7","2385.0","Senior Center","2015-02-19T00:00:00.000","110 W. 9th Street","110 W. 9th Street","W 9th Street","Gowanus Expressway & Henry Street","Brooklyn","306.0","Not Applicable","Not Applicable","40.6759775604","-74.0023381902","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1","BACKED 1.0"
"POINT (-73.9560949400628 40.779816631294395)","1365.0","1","Manhattan","108","4","73","28","12","4201.0","Bus Route","2018-11-21T00:00:00.000","123 East 86th Street","123 East 86th Street","East 86th Street","Park Avenue & Lexington Avenue","Manhattan","108.0","M86","Not Applicable","40.7798166313","-73.9560949401","Upper East Side-Carnegie Hill","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 2.0"
"POINT (-73.93521152667074 40.84984919762326)","2066.0","1","Manhattan","112","10","72","31","13","2987.0","Municipal Facilities","2015-01-20T00:00:00.000","648 West 181st Street","648 West 181st Street","West 181st Street","Broadway and Wadsworth Avenue","Manhattan","112.0","BX35","Not Applicable","40.8498491976","-73.9352115267","Washington Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.91997657330776 40.813060721376274)","1528.0","2","Bronx","201","8","84","29","15","3450.0","Municipal Facilities",,"416 Willis Ave","416 Willis Ave","416 Willis Ave","E 144th Street & E 145th Street","Bronx","201.0","Not Applicable","Not Applicable","40.8130607214","-73.9199765733","Mott Haven-Port Morris","X","AREA OF MINIMAL FLOOD HAZARD","6","Unknown"
"POINT (-73.96228843030545 40.682626008743135)","1966.0","3","Brooklyn","302","35","57","25","8","1534.0","Plaza","2012-04-01T00:00:00.000","19 Putnam Avenue","19 Putnam Avenue","Plaza","Fulton Street & Grand Avenue","Brooklyn","302.0","Not Applicable","Fulton Area Business (FAB) Alliance","40.6826260087","-73.9622884303","Clinton Hill","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.92595383303312 40.66285790604864)","435.0","3","Brooklyn","317","41","58","20","9","3725.0","Senior Safety","2018-02-28T00:00:00.000","1012 Rutland Road","1012 Rutland Road","Rutland Road","E 94th Street & E 95th Street","Brooklyn","317.0","Not Applicable","Not Applicable","40.662857906","-73.925953833","East Flatbush-Remsen Village","X","AREA OF MINIMAL FLOOD HAZARD","6","BACKED 1.0"
"POINT (-73.90427114829242 40.86431540986522)","1802.0","2","Bronx","207","14","78","33","13","2093.0","Community Health Centers","2013-08-06T00:00:00.000","105 Father Zeiser Place","105 Father Zeiser Place","Father Zeiser Place","University and Webb Avenues","Bronx","207.0","Not Applicable","Not Applicable","40.8643154099","-73.9042711483","University Heights (North)-Fordham","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.78550655767795 40.77093510773378)","2135.0","4","Queens","411","19","26","11","6","4086.0","General","2018-08-02T00:00:00.000","204-6 32nd Avenue","204-6 32nd Avenue","32nd Avenue","204th Street & 205th Street","Queens","411.0","Q28","Not Applicable","40.7709351077","-73.7855065577","Auburndale","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 2.0"
"POINT (-73.83780825363024 40.5811285972335)","36.0","4","Queens","414","32","23","15","5","1955.0","BID","2014-12-01T00:00:00.000","264 Beach 116th Street","264 Beach 116th Street","Beach 116th Street","Rockaway Beach Blvd & Newport Avenue","Queens","414.0","Not Applicable","Beach 116th Street Partnership","40.5811285972","-73.8378082536","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","AE",,"1","BACKED 1.0"
"POINT (-73.93156143158537 40.69481017924405)","1903.0","3","Brooklyn","303","36","54","18","8","1055.0","Senior Center","2013-02-13T00:00:00.000","1062 Broadway","1062 Broadway","Broadway","Malcolm X Blvd & Hart Street","Brooklyn","303.0","B46","Not Applicable","40.6948101792","-73.9315614316","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.92666862690207 40.81079458488246)","1517.0","2","Bronx","201","8","84","29","15","2873.0","Municipal Facilities","2014-12-10T00:00:00.000","285 East 138th Street","285 East 138th Street","East 138th Street","Third Avenue & Alexander Avenue","Bronx","201.0","BX15","Not Applicable","40.8107945849","-73.9266686269","Mott Haven-Port Morris","X","AREA OF MINIMAL FLOOD HAZARD","5","BACKLESS 1.0"
"POINT (-73.92861982309526 40.76331618146372)","1264.0","4","Queens","401","22","36","12","12","2364.0","Senior Center","2014-02-05T00:00:00.000","23-56 Broadway","23-56 Broadway","Crescent Street","Broadway & 33rd Avenue","Queens","401.0","Not Applicable","Not Applicable","40.7633161815","-73.9286198231","Astoria (Central)","X","AREA OF MINIMAL FLOOD HAZARD","5","BACKED 1.0"
"POINT (-73.84577979009109 40.842575706991084)","1702.0","2","Bronx","210","13","82","32","14","2863.0","BID","2014-10-15T00:00:00.000","2702 East Tremont Avenue","2702 East Tremont Avenue","East Tremont Avenue","Frisby Avenue & St Raymonds Avenue","Bronx","210.0","Not Applicable","Westchester Square","40.842575707","-73.8457797901","Westchester Square","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.77011886941384 40.76022932782215)","1227.0","4","Queens","411","19","26","11","6","3351.0","Municipal Facilities","2016-07-07T00:00:00.000","213-03 Northern Boulevard","213-03 Northern Boulevard","Northern Boulevard","Bell Boulevard & 213th Street","Queens","411.0","Not Applicable","Not Applicable","40.7602293278","-73.7701188694","Bayside","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.92067516638286 40.8263171742184)","1622.0","2","Bronx","204","16","79","32","15","4052.0","Bus Route","2017-08-30T00:00:00.000","900 Sheridan Avenue","900 Sheridan Avenue","E 161st Street","Sheridan Avenue and Sherman Avenue","Bronx","204.0","Not Applicable","Not Applicable","40.8263171742","-73.9206751664","Concourse-Concourse Village","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 2.0"
"POINT (-73.96602540411719 40.8006800699924)","1481.0","1","Manhattan","107","7","69","31","10","771.0","General","2012-10-12T00:00:00.000","201 West 106th Street","201 West 106th Street","West 106th Street","Broadway and Amsterdam Avenue","Manhattan","107.0","M116","Not Applicable","40.80068007","-73.9660254041","Upper West Side-Manhattan Valley","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.99487405648429 40.577702798971245)","24.0","3","Brooklyn","313","47","46","23","8","1162.0","Senior Center","2012-09-27T00:00:00.000","2828 Neptune Avenue","2828 Neptune Avenue","Neptune Avenue","West 28th and 29th Streets","Brooklyn","313.0","Not Applicable","Not Applicable","40.577702799","-73.9948740565","Coney Island-Sea Gate","AE",,"1","BACKED 1.0"
"POINT (-73.87379647872916 40.76259838259557)","1253.0","4","Queens","403","21","35","13","14","2542.0","Municipal Facilities","2014-06-10T00:00:00.000","95-06 Astoria Boulevard","95-06 Astoria Boulevard","Astoria Boulevard","95th Street and 96th Street","Queens","403.0","Not Applicable","Not Applicable","40.7625983826","-73.8737964787","East Elmhurst","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.99360010835679 40.6928738006424)","1886.0","3","Brooklyn","302","33","52","26","7","4211.0","General","2019-06-06T00:00:00.000","142 Joralemon Street","142 Joralemon Street","Joralemon Street","Clinton Street & Sidney Place","Brooklyn","302.0","Not Applicable","Not Applicable","40.6928738006","-73.9936001084","Brooklyn Heights","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 2.0"
"POINT (-73.92992974599957 40.686814963305935)","650.0","3","Brooklyn","303","36","56","25","8","111.0","Bus Route","2012-04-30T00:00:00.000","190 Malcolm X Boulevard","190 Malcolm X Boulevard","Malcolm X Boulevard","Putnam Avenue and Madison Street","Brooklyn","303.0","B46","Not Applicable","40.6868149633","-73.929929746","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.88768732405862 40.63528728498211)","256.0","3","Brooklyn","318","46","59","19","8","4013.0","Bus Route","2018-01-18T00:00:00.000","9915 Seaview Avenue","9915 Seaview Avenue","Seaview Avenue","East 100th Street & East 99th Street","Brooklyn","318.0","B17","Not Applicable","40.635287285","-73.8876873241","Canarsie","X","AREA OF MINIMAL FLOOD HAZARD","2","BACKLESS 2.0"
"POINT (-73.93074957869884 40.656605752128755)","388.0","3","Brooklyn","317","41","58","20","9","3710.0","Senior Safety","2017-06-29T00:00:00.000","830 Clarkson Avenue","830 Clarkson Avenue","Clarkson Avenue","Utica Avenue & E. 51st Street","Brooklyn","317.0","Not Applicable","Not Applicable","40.6566057521","-73.9307495787","East Flatbush-Rugby","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.91718077202887 40.82806790770635)","1627.0","2","Bronx","204","16","79","32","15","2690.0","Municipal Facilities","2014-09-15T00:00:00.000","250 East 164th Street","950 Morris Avenue","Morris Avenue","East 164th Street and Bonner Place","Bronx","204.0","Not Applicable","Not Applicable","40.8280679077","-73.917180772","Concourse-Concourse Village","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.92377107535428 40.59148518861566)","51.0","3","Brooklyn","315","46","59","22","9","1548.0","General","2013-11-27T00:00:00.000","2808 Gerritsen Avenue","2808 Gerritsen Avenue","Gerritsen Avenue","Bartlett Place & Gotham Avenue","Brooklyn","315.0","Not Applicable","Not Applicable","40.5914851886","-73.9237710754","Sheepshead Bay-Manhattan Beach-Gerritsen Beach","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1","BACKED 1.0"
"POINT (-73.9034678936856 40.74114961455558)","1054.0","4","Queens","402","26","30","12","14","2314.0","General","2014-02-05T00:00:00.000","61-10 Queens Boulevard","61-10 Queens Boulevard","Queens Boulevard","60th & 61st Street","Queens","402.0","Not Applicable","Not Applicable","40.7411496146","-73.9034678937","Woodside","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.97364605680404 40.789370366963155)","1408.0","1","Manhattan","107","6","69","29","10","2119.0","Community Health Centers","2013-08-16T00:00:00.000","589 Amsterdam Avenue","589 Amsterdam Avenue","Amsterdam Avenue","W 88th Street and W 89th Street","Manhattan","107.0","Not Applicable","Not Applicable","40.789370367","-73.9736460568","Upper West Side (Central)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.79929399523333 40.69281977119346)","723.0","4","Queens","412","28","32","14","5","3256.0","Municipal Facilities","2016-06-07T00:00:00.000","108-10 Sutphin Boulevard","108-10 Sutphin Boulevard","Suthpin Boulevard","108th Avenue & Arlington Terrace","Queens","412.0","Not Applicable","Not Applicable","40.6928197712","-73.7992939952","South Jamaica","X","AREA OF MINIMAL FLOOD HAZARD","6","BACKED 1.0"
"POINT (-73.92263596397768 40.76740332944906)","1286.0","4","Queens","401","22","36","12","12","3422.0","General","2016-07-12T00:00:00.000","29-34 30th Avenue","29-34 30th Avenue","30th Avenue","29th Street & 30th Street","Queens","401.0","Not Applicable","Not Applicable","40.7674033294","-73.922635964","Astoria (Central)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.99502320134228 40.5739375719397)","13.0","3","Brooklyn","313","47","46","23","8","1164.0","Senior Center","2012-09-17T00:00:00.000","2955 West 29th Street","2955 West 29th Street","West 29th Street","Surf and Mermaid Avenues","Brooklyn","313.0","Not Applicable","Not Applicable","40.5739375719","-73.9950232013","Coney Island-Sea Gate","AE",,"1","BACKED 1.0"
"POINT (-73.90761457482368 40.844244714641015)","1708.0","2","Bronx","204","15","86","33","15","2745.0","Municipal Facilities","2014-11-05T00:00:00.000","1691 Weeks Avenue","1691 Weeks Avenue","Weeks Avenue","East 173rd Street & East 174th Street","Bronx","204.0","Not Applicable","Not Applicable","40.8442447146","-73.9076145748","Mount Eden-Claremont (West)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.98388570077853 40.676443499545265)","569.0","3","Brooklyn","306","39","52","25","7","1912.0","General","2013-06-26T00:00:00.000","256 4th Avenue","256 4th Avenue","4th Avenue","Carroll Street & President Street","Brooklyn","306.0","Not Applicable","Not Applicable","40.6764434995","-73.9838857008","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","X","AREA OF MINIMAL FLOOD HAZARD","5","BACKED 1.0"
"POINT (-73.84329605058778 40.8625364431848)","1791.0","2","Bronx","211","13","80","34","14","3875.0","Senior Safety","2017-08-23T00:00:00.000","2452 Eastchester Road","2452 Eastchester Road","Eastchester Road","Mace Avenue & Warring Avenue","Bronx","211.0","Not Applicable","Not Applicable","40.8625364432","-73.8432960506","Pelham Gardens","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.94592031323471 40.79314617965855)","1429.0","1","Manhattan","111","8","68","29","13","1242.0","General","2012-10-09T00:00:00.000","127 East 107th Street","127 East 107th Street","East 107th Street","East 107th and 108th Streets","Manhattan","111.0","Not Applicable","Not Applicable","40.7931461797","-73.9459203132","East Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD","3","BACKED 1.0"
"POINT (-73.91318879839537 40.669249997563085)","1984.0","3","Brooklyn","316","41","55","20","9","1714.0","BID","2013-02-22T00:00:00.000","1628 Pitkin Avenue","1626 & 1628 Pitkin Avenue","Pitkin Avenue","Thomas Boyland & Bristol Street","Brooklyn","316.0","B14","Pitkin Avenue","40.6692499976","-73.9131887984","Brownsville","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.87380097227148 40.82686580056388)","2038.0","2","Bronx","209","18","85","32","15","2459.0","Health Care Facilities","2014-05-02T00:00:00.000","1105 Morrison Avenue","1105 Morrison Avenue","Morrison Avenue","Watson Avenue and Bruckner Boulevard","Bronx","209.0","BX27","Not Applicable","40.8268658006","-73.8738009723","Soundview-Bruckner-Bronx River","X","AREA OF MINIMAL FLOOD HAZARD","5","BACKLESS 1.0"
"POINT (-73.92281258358916 40.619186759285526)","183.0","3","Brooklyn","318","46","59","19","8","407.0","Bus Route","2013-04-04T00:00:00.000","5406 & 5408 Avenue N","5408 Avenue N","Avenue N","55th Street & 54th Street","Brooklyn","318.0","B41","Not Applicable","40.6191867593","-73.9228125836","Flatlands","X","AREA OF MINIMAL FLOOD HAZARD","3","BACKLESS 1.0"
"POINT (-73.86765837787922 40.852147552837046)","1759.0","2","Bronx","211","13","80","34","14","3115.0","General","2015-07-06T00:00:00.000","2040 White Plains Road","2040 White Plains Road","White Plains Road","Brady Avenue & Bronxdale Avenue","Bronx","211.0","Not Applicable","Not Applicable","40.8521475528","-73.8676583779","Pelham Parkway-Van Nest","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.8977816756137 40.832970258905526)","1659.0","2","Bronx","203","16","79","32","15","2588.0","Municipal Facilities","2014-07-01T00:00:00.000","1382 Boston Road","1382 Boston Road","Boston Road","Crotona Avenue and E. 170th Street","Bronx","203.0","BX21","Not Applicable","40.8329702589","-73.8977816756","Morrisania","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.91063723140077 40.768737433519746)","1297.0","4","Queens","401","22","36","12","12","2468.0","General","2014-06-10T00:00:00.000","40-06 Astoria Boulevard South","40-06 Astoria Boulevard South","Astoria Boulevard South","Steinway Street & 41st Street","Queens","401.0","Not Applicable","Not Applicable","40.7687374335","-73.9106372314","Astoria (East)-Woodside (North)","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.75998558704202 40.6923827951882)","718.0","4","Queens","412","27","33","14","5","2603.0","Municipal Facilities","2014-07-10T00:00:00.000","191-05 Linden Boulevard","191-05 Linden Boulevard","Linden Boulevard","191st Street and 192nd Street","Queens","412.0","Not Applicable","Not Applicable","40.6923827952","-73.759985587","St. Albans","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKED 1.0"
"POINT (-73.83143469222952 40.701016348288114)","784.0","4","Queens","409","29","27","10","5","556.0","Bus Route","2013-12-09T00:00:00.000","118-14 Hillside Avenue","86-05 Lefferts Boulevard","Lefferts Boulevard","Hillside Avenue and Babbage Street","Queens","409.0","Q10","Not Applicable","40.7010163483","-73.8314346922","Richmond Hill","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-74.00493264632505 40.654023574726644)","371.0","3","Brooklyn","307","38","51","25","7","1608.0","General","2013-01-09T00:00:00.000","355 37th Street","355 37th Street","4th Avenue","Fourth and Third Avenues","Brooklyn","307.0","Not Applicable","Not Applicable","40.6540235747","-74.0049326463","Sunset Park (West)","X","AREA OF MINIMAL FLOOD HAZARD","4","BACKED 1.0"
"POINT (-73.91038441529336 40.6686317456766)","503.0","3","Brooklyn","316","41","55","20","8","1713.0","BID","2013-02-22T00:00:00.000","457 Rockaway Avenue","457 Rockaway Avenue","Pitkin Avenue","Belmont & Pitkin Avenue","Brooklyn","316.0","B60","Pitkin Avenue","40.6686317457","-73.9103844153","Brownsville","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 2.0"
"POINT (-73.90984706295217 40.88653503485268)","1870.0","2","Bronx","208","11","81","34","16","1989.0","General","2013-07-02T00:00:00.000","3555 Johnson Avenue","3555 Johnson Avenue","Johnson Avenue","W 235th & 236th Street","Bronx","208.0","Not Applicable","Not Applicable","40.8865350349","-73.909847063","Riverdale-Spuyten Duyvil","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
"POINT (-73.9769299858609 40.60482625600387)","109.0","3","Brooklyn","311","44","47","17","10","3438.0","Bus Route","2017-02-10T00:00:00.000","355 Kings Highway","355 Kings Highway","Kings Highway","W 3rd Street & W 4th Street","Brooklyn","311.0","B82","Not Applicable","40.604826256","-73.9769299859","Gravesend (West)","X","AREA OF MINIMAL FLOOD HAZARD","6","BACKLESS 1.0"
"POINT (-73.9754906997678 40.6869407576365)","1906.0","3","Brooklyn","302","35","57","25","8","1062.0","Plaza","2018-05-16T00:00:00.000","650 Fulton Street","650 Fulton Street","Plaza","Fulton Street and Lafayette Avenue","Brooklyn","302.0","Not Applicable","Not Applicable","40.6869407576","-73.9754906998","Fort Greene","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 2.0"
"POINT (-73.9105459682488 40.77592932831519)","1329.0","4","Queens","401","22","36","13","14","3516.0","General","2016-10-17T00:00:00.000","31-04 Ditmars Blvd","31-04 Ditmars Blvd","Ditmars Blvd","31st Street & 33rd Street","Queens","401.0","Not Applicable","Not Applicable","40.7759293283","-73.9105459682","Astoria (North)-Ditmars-Steinway","X","AREA OF MINIMAL FLOOD HAZARD",,"BACKLESS 1.0"
