"the_geom","segmentid","boroughcod","oftcode","onstreetna","fromstreet","tostreetna","wkt","manualrati","ratinglaye","inspection","shape_stle"
"MULTILINESTRING ((-73.70283507851953 40.73851287524476, -73.70258895693662 40.737854892668345))","102973","Q","427320444240449690","266 STREET","EAST WILLISTON AVENUE","HILLSIDE AVENUE","LINESTRING (1066600.3773999959 208476.44339999557, 1066669.3962000012 208236.9523999989)","9","GOOD","2022-08-24T00:00:00.000","249.237906093"
"MULTILINESTRING ((-73.75608818049733 40.736035416939025, -73.75575449735092 40.73536074904694))","148969","Q","435690452250458690","BELL BOULEVARD","KINGSBURY AVENUE","PECK AVENUE","LINESTRING (1051862.9106000066 207532.8003000021, 1051955.6138000041 207274.5462000072)","8","GOOD","2018-02-01T00:00:00.000","262.622525118"
"MULTILINESTRING ((-73.71775342578206 40.75534753603631, -73.71652118822074 40.755080417651165))","103232","Q","427330415290436960","267 STREET","72 ROAD","BRIDGEWATER AVENUE","LINESTRING (1062446.455400005 214596.1454000026, 1062788.1607999951 214499.92839999497)","9","GOOD","2022-08-24T00:00:00.000","354.99336821"
"MULTILINESTRING ((-73.93113007204221 40.81457997734631, -73.93097718418672 40.815677789279555))","173407","X","210705200044212550","MAJOR DEEGAN EXPWY ET 3 SB","EXTERIOR STREET","BEND","LINESTRING (1003313.488199994 236058.06059999764, 1003355.4927999973 236458.06620000303)","6","FAIR","2017-08-28T00:00:00.000","402.20500551"
"MULTILINESTRING ((-73.85134410705695 40.8979911255365, -73.85122304253501 40.898115245532736))","89368","X","210620237420253720","BARNES AVENUE","GUNTHER AVENUE","NEREID AVENUE","LINESTRING (1025346.9933999926 266475.32490000129, 1025380.3857000023 266520.60369999707)","8","GOOD","2019-09-10T00:00:00.000","56.2602473244"
"MULTILINESTRING ((-73.70794717085988 40.74157759071827, -73.70718609439278 40.7395304239046))","102941","Q","427292416790416940","262 STREET","82 AVENUE","83 AVENUE","LINESTRING (1065179.9963999987 209588.24560000002, 1065393.388500005 208843.1060000062)","8","GOOD","2022-08-24T00:00:00.000","775.093034302"
"MULTILINESTRING ((-73.7520355350746 40.72833256737531, -73.75198082380882 40.72830508477493, -73.75192413501037 40.728280031972695))","266654","Q","435690447390447390","BELL BOULEVARD","GRAND CENTRAL PARKWAY","GRAND CENTRAL PARKWAY","LINESTRING (1052760.4745000005 205063.48119999468, 1052772.6414999962 205030.44079999626, 1052782.0709999949 205000.55629999936, 1052793.4199 204971.34679999948, 1052806.6404000074 204942.93529999256, 1052821.6767999977 204915.4415999949, 1052838.4655999","8","GOOD","2017-09-13T00:00:00.000","36.3423764865"
"MULTILINESTRING ((-74.11957370391576 40.56694759057879, -74.12024009026959 40.56622746479671))","10473","S","557720544705552000","10 STREET","RENO AVENUE","TYSENS LANE","LINESTRING (951028.34499999881 145853.43400000036, 950842.840200007 145591.32840000093)","7","FAIR","2023-01-02T00:00:00.000","321.109601805"
"MULTILINESTRING ((-73.78528707531137 40.72291605382865, -73.78497908347576 40.72314026578134, -73.78468297703091 40.723373935600016, -73.78439951648743 40.72361650738274, -73.78412935367301 40.72386736919534))","96322","Q","427390451960464780","ABERDEEN ROAD","KENT STREET","SURREY PLACE","LINESTRING (1043765.2531999946 202727.29160000384, 1043850.4235000014 202809.18790000677, 1043932.290199995 202894.52230000496, 1044010.6430000067 202983.09170000255, 1044085.3018999994 203074.67280000448)","6","FAIR","2023-04-10T00:00:00.000","472.820642874"
"MULTILINESTRING ((-73.82885477617212 40.5801734742692, -73.82910802209649 40.580669230404766))","188730","Q","433720460790462200","BEACH 108 STREET","ROCKAWAY BEACH BOULEVARD","SHORE FRONT PARKWAY","LINESTRING (1031534.0215000063 151329.94859999418, 1031539.6612000018 151316.67759999633, 1031599.3068999946 151176.32680000365, 1031643.5028000027 151066.18600000441, 1031665.185800001 151011.97339999676, 1031703.8999000043 150915.81559999287, 1031719.8","10","GOOD","2023-02-07T00:00:00.000","193.831930031"
"MULTILINESTRING ((-73.83010188340458 40.58241620208799, -73.83018770252738 40.58254713929037))","185928","Q","433720460790460820","BEACH 108 STREET","ROCKAWAY BEACH BOULEVARD","ROCKAWAY FREEWAY","LINESTRING (1031411.3084000051 151574.33779999614, 1031418.6183000058 151559.78079999983, 1031442.5486000031 151512.12340000272, 1031523.7524999976 151350.40119999647, 1031534.0215000063 151329.94859999418)","8","GOOD","2018-04-30T00:00:00.000","53.3281073398"
"MULTILINESTRING ((-73.89206816252296 40.818767668659326, -73.89212084827454 40.81879823581144))","175670","X","210920215920215925","BARRETTO STREET","BRUCKNER BOULEVARD","BRUCKNER EXPRESSWAY","LINESTRING (1014109.5095999986 237605.8165999949, 1014124.1060000062 237594.69779999554, 1014162.0488000065 237564.71420000494, 1014169.7228000015 237558.64800000191, 1014177.2127999961 237552.72939999402)","8","GOOD","2017-08-28T00:00:00.000","18.3489129544"
"MULTILINESTRING ((-74.09967734715285 40.61966605360224, -74.10004426952075 40.6193579547692, -74.10039572622048 40.619038962949084, -74.10073089107831 40.618709754397464, -74.10104903258893 40.61837105932105, -74.10134946665659 40.61802367092215))","194039","S","553000526810538989","VICTORY BOULEVARD","EAST CHESHIRE PLACE","MELROSE AVENUE","LINESTRING (956578.08439999819 165053.17859999835, 956476.09319999814 164941.046299994, 956378.3900000006 164824.94069999456, 956285.204400003 164705.10840000212, 956196.74029999971 164581.81460000575, 956113.18719999492 164455.34839999676)","7","FAIR","2022-12-17T00:00:00.000","758.444636784"
"MULTILINESTRING ((-73.89286040039524 40.77715907461828, -73.89225365752333 40.777204522791195))","189408","Q","435860410240497350","BERRIAN BOULEVARD","45 STREET","RIKERS ISLAND BRIDGE","LINESTRING (1014204.8895999938 222262.78900000453, 1014150.4575999975 222363.78380000591, 1014125.0541999936 222410.40119999647, 1014091.3895999938 222451.74310000241, 1013923.3664000034 222434.97869999707)","7","FAIR","2018-03-26T00:00:00.000","168.857457172"
"MULTILINESTRING ((-73.81154936340816 40.86959401772557, -73.81166406277637 40.869599142375485))","312228","X","210905200581200586","HUTCHINSON RIVER PKWY NB EN SHR","SPLIT ROCK TRAIL","BARTOW CIRCLE","LINESTRING (1036339.0527999997 256152.1087000072, 1036370.7800000012 256150.309799999, 1036404.7267999947 256155.14239999652, 1036436.2950000018 256165.49339999259)","9","GOOD","2009-04-24T00:00:00.000","31.778156982"
"MULTILINESTRING ((-73.89193121303383 40.81868524395295, -73.89206816252296 40.818767668659326))","239948","X","210920215920215925","BARRETTO STREET","BRUCKNER BOULEVARD","BRUCKNER EXPRESSWAY","LINESTRING (1014109.5095999986 237605.8165999949, 1014124.1060000062 237594.69779999554, 1014162.0488000065 237564.71420000494, 1014169.7228000015 237558.64800000191, 1014177.2127999961 237552.72939999402)","8","GOOD","2017-08-28T00:00:00.000","48.3598215491"
"MULTILINESTRING ((-73.83055834517018 40.58121042413078, -73.83076681945428 40.58160363880045))","53506","Q","433740460790460800","BEACH 109 STREET","ROCKAWAY BEACH BOULEVARD","ROCKAWAY BEACH DRIVE","LINESTRING (1031316.6071999967 151072.58359999955, 1031258.4215999991 151215.7295999974)","8","GOOD","2022-08-08T00:00:00.000","154.51971189"
"MULTILINESTRING ((-73.70777443750485 40.749177182065665, -73.70719578811453 40.747629246640955))","182661","Q","427310416340465590","265 STREET","79 AVENUE","UNION TURNPIKE","LINESTRING (1065194.6354999989 212362.0326000005, 1065218.625 212357.16380000114, 1065380.8393000066 211793.73980000615)","6","FAIR","2023-04-25T00:00:00.000","586.310568638"
"MULTILINESTRING ((-73.85848106020632 40.57172502888274, -73.85896505444472 40.572560645660616))","153225","Q","435100456990460790","BEACH 142 STREET","NEPONSIT AVENUE","ROCKAWAY BEACH BOULEVARD","LINESTRING (1023446.4297000021 147914.08939999342, 1023582.0198999941 147610.71719999611, 1023590.3138000071 147592.1576000005)","9","GOOD","2023-05-19T00:00:00.000","332.806959586"
"MULTILINESTRING ((-73.8584232568965 40.57174598493596, -73.85890955715863 40.57257928143235))","168787","Q","435100456990460790","BEACH 142 STREET","NEPONSIT AVENUE","ROCKAWAY BEACH BOULEVARD","LINESTRING (1023446.4297000021 147914.08939999342, 1023582.0198999941 147610.71719999611, 1023590.3138000071 147592.1576000005)","9","GOOD","2023-05-19T00:00:00.000","332.294137873"
"MULTILINESTRING ((-73.75181144765318 40.728241049999525, -73.75169834865193 40.72820710809599, -73.75158259013622 40.728178829969025, -73.75146466051629 40.728156333731526, -73.75134505775011 40.72813971590663, -73.751224289364 40.72812904602466, -73.75110286416066 40.728124368406455, -73.75098129694447 40.728125704875154, -73.75086010026334 40.72813304753418))","266689","Q","435690447390463140","BELL BOULEVARD","GRAND CENTRL PARKWAY","SPENCER AVENUE","LINESTRING (1053030.0209999979 204722.96999999881, 1053062.1700000018 204710.32919999957, 1053091.1550000012 204698.22220000625, 1053120.9419 204688.25, 1053151.373999998 204680.46529999375, 1053182.2906000018 204674.9089999944, 1053213.5286999941 204671","8","GOOD","2017-09-13T00:00:00.000","269.581787651"
"MULTILINESTRING ((-73.70350453139403 40.74032188424752, -73.70283507851953 40.73851287524476))","102983","Q","427320416940449690","266 STREET","83 AVENUE","HILLSIDE AVENUE","LINESTRING (1066412.6283999979 209134.89020000398, 1066600.3773999959 208476.44339999557)","8","GOOD","2023-05-23T00:00:00.000","684.691080299"
"MULTILINESTRING ((-73.75184238327783 40.72832650145208, -73.75172651912519 40.72829155584992))","181699","Q","435690447390447390","BELL BOULEVARD","GRAND CENTRAL PARKWAY","GRAND CENTRAL PARKWAY","LINESTRING (1052760.4745000005 205063.48119999468, 1052772.6414999962 205030.44079999626, 1052782.0709999949 205000.55629999936, 1052793.4199 204971.34679999948, 1052806.6404000074 204942.93529999256, 1052821.6767999977 204915.4415999949, 1052838.4655999","8","GOOD","2017-09-13T00:00:00.000","34.5448697475"
"MULTILINESTRING ((-73.70334608822102 40.74256801109689, -73.70258546712066 40.74051981543738))","102985","Q","427330416790416940","267 STREET","82 AVENUE","83 AVENUE","LINESTRING (1066453.7634000033 209953.36939999461, 1066667.0667999983 209207.86579999328)","6","FAIR","2023-05-23T00:00:00.000","775.41856959"
"MULTILINESTRING ((-74.08039192195297 40.61479900983837, -74.08025161004298 40.61479249895659, -74.08010907305137 40.61480276526578, -74.07996954494078 40.61483004915777, -74.07983814356811 40.61487334660954, -74.07971927292046 40.6149305401706))","114223","S","548125537053549655","SKYLINE DRIVE","LONG POND LANE","STAGE LANE","LINESTRING (961930.37680000067 163274.48459999263, 961969.3300999999 163272.07660000026, 962008.90680000186 163275.78069999814, 962047.6535000056 163285.68549999595, 962084.1494999975 163301.42679999769, 962117.17110000551 163322.23389999568, 962344.3752","5","FAIR","2012-10-02T00:00:00.000","197.546254523"
"MULTILINESTRING ((-73.8950285696644 40.71113646718493, -73.89475719476643 40.711020297469325))","128813","Q","427450413610413640","ADMIRAL AVENUE","65 LANE","65 PLACE","LINESTRING (1013351.6961999983 198380.12510000169, 1013426.9813999981 198337.891200006, 1013606.4528000057 198237.21220000088)","9","GOOD","2022-10-06T00:00:00.000","86.3224400018"
"MULTILINESTRING ((-73.85459983663138 40.81548891314439, -73.85471697214898 40.81594125403865))","122462","X","210820223800244920","BARRETT AVENUE","DEAD END","LACOMBE AVENUE","LINESTRING (1024464.1211999953 236579.87710000575, 1024496.8178000003 236415.12680000067)","3","POOR","2023-08-05T00:00:00.000","167.963475207"
"MULTILINESTRING ((-73.70875354247652 40.751625827754225, -73.70701423907605 40.750495886325))","103330","Q","427330415840416040","267 STREET","76 AVENUE","77 AVENUE","LINESTRING (1064944.3736000061 213248.37600000203, 1065427.6500999928 212838.3111999929)","7","FAIR","2023-04-27T00:00:00.000","633.805424122"
"MULTILINESTRING ((-73.86794369055487 40.72729486906473, -73.8675320011753 40.727144173117345))","130891","Q","427690412840412990","ALDERTON STREET","62 DRIVE","63 AVENUE","LINESTRING (1020851.6775999963 204277.2786000073, 1020965.8671000004 204222.54780000448, 1021095.5518999994 204160.39239999652)","8","GOOD","2022-08-31T00:00:00.000","126.62820531"
"MULTILINESTRING ((-73.87397770573092 40.74786468826184, -73.87229487397921 40.74712889341447))","130699","Q","435790418740467690","BENHAM STREET","94 STREET","WHITNEY AVENUE","LINESTRING (1019168.4659000039 211769.04160000384, 1019635.1381999999 211501.64380000532, 1019726.7914000005 211449.127700001)","7","FAIR","2023-04-12T00:00:00.000","537.851856023"
"MULTILINESTRING ((-73.85951773502491 40.67546845943915, -73.85858239847558 40.67553202466595))","51157","Q","435740416140416290","BELMONT AVENUE","77 STREET","78 STREET","LINESTRING (1023217.3552999943 185399.02959999442, 1023476.764200002 185422.60559999943)","6","FAIR","2023-08-04T00:00:00.000","260.478032048"
"MULTILINESTRING ((-73.83939740094607 40.57664365023189, -73.83945685540922 40.57674632032648))","115605","Q","434190455450457970","BEACH 120 STREET","MEMORIAL CIRCLE","OCEAN PROMENADE","LINESTRING (1028549.0383999944 150114.88400000334, 1028847.809799999 149441.54680000246, 1028864.3944000006 149404.17159999907)","8","GOOD","2022-08-09T00:00:00.000","40.8895406248"
"MULTILINESTRING ((-73.84057476318125 40.57867654281782, -73.84062951488525 40.5787717079796))","252850","Q","434190457290460790","BEACH 120 STREET","NEWPORT AVENUE","ROCKAWAY BEACH BOULEVARD","LINESTRING (1028268.5753999949 150750.77979999781, 1028520.7106000036 150178.84970000386, 1028535.9829999954 150144.20620000362)","8","GOOD","2022-12-01T00:00:00.000","37.8605110078"
"MULTILINESTRING ((-73.84878176268205 40.57558928919155, -73.8488087265799 40.57563617903227))","285638","Q","434690457970460790","BEACH 130 STREET","OCEAN PROMENADE","ROCKAWAY BEACH BOULEVARD","LINESTRING (1026250.6234000027 149032.4728000015, 1026258.1431999952 149015.40260000527, 1026575.3175999969 148295.39100000262)","8","GOOD","2022-08-09T00:00:00.000","18.6531262752"
"MULTILINESTRING ((-74.24098439699894 40.5064594704757, -74.24049843413816 40.50506085486443))","341","S","548160529662534100","SLEIGHT AVENUE","GEORGE STREET","HYLAN BOULEVARD","LINESTRING (917235.74979999661 123885.68999999762, 917369.48960000277 123375.77300000191)","9","GOOD","2022-11-03T00:00:00.000","527.163808498"
"MULTILINESTRING ((-74.12639458219242 40.58251234218123, -74.12654176747061 40.582490064181336, -74.12654187373852 40.582490046053806, -74.12654199301424 40.582490036016694, -74.12669268773689 40.582480415335496, -74.12669293573906 40.58248039615103, -74.12669319560722 40.58248040577023, -74.12684478908729 40.582483821695334, -74.12684495326488 40.58248382151408, -74.12684510802757 40.58248383935371, -74.1269948706391 40.5825002345639, -74.12699502540187 40.58250025240333, -74.12699516600819 40.58250027926366, -74.1271403247206 40.5825291345304))","8194","S","548167525908539750","SLOANE AVENUE","DEAD END","NEVADA AVENUE","LINESTRING (948697.44439999759 151787.76579999924, 948934.32039999962 151533.13060000539, 948974.62559999526 151522.55959999561, 948974.66480000317 151522.54979999363, 948974.70759999752 151522.54320000112, 949016.29850000143 151516.50980000198, 949016.3","9","GOOD","2022-11-07T00:00:00.000","209.885413181"
"MULTILINESTRING ((-73.89778974590492 40.78072790154004, -73.89711447494724 40.78018067758726))","76995","Q","435860464280464290","BERRIAN BOULEVARD","STEINWAY PLACE","STEINWAY STREET","LINESTRING (1012556.6191000044 223733.59080000222, 1012743.8660999984 223534.43760000169)","7","FAIR","2022-07-01T00:00:00.000","273.355878073"
"MULTILINESTRING ((-74.20646478070167 40.54410881447044, -74.2061294574078 40.54354182230509))","1813","S","570007525908570352","ALVERSON AVENUE","DEAD END","WEST CASTOR PLACE","LINESTRING (926867.46240000427 137577.66689999402, 926960.172299996 137370.87919999659)","3","POOR","2022-04-29T00:00:00.000","226.619236665"
"MULTILINESTRING ((-73.86255952244441 40.87525975121292, -73.86213004230662 40.87601098489011))","107371","X","210620229320248420","BARNES AVENUE","EAST GUN HILL ROAD","MAGENTA STREET","LINESTRING (1022377.7505999953 258462.20460000634, 1022259.4078000039 258188.31419999897, 1022223.8237999976 257967.83879999816)","9","GOOD","2023-04-19T00:00:00.000","298.363820739"
"MULTILINESTRING ((-74.20951705592361 40.5516035753836, -74.2092043862961 40.550852717141375))","2292","S","570007529965570131","ALVERSON AVENUE","GRAFE STREET","GUNTON PLACE","LINESTRING (926025.6792999953 140310.19400000572, 926111.91599999368 140036.43140000105)","9","GOOD","2022-09-22T00:00:00.000","287.023918146"
"MULTILINESTRING ((-73.85977847127661 40.57228755740591, -73.86066256721807 40.57382385836436))","115593","Q","435105456990457290","BEACH 143 STREET","NEPONSIT AVENUE","NEWPORT AVENUE","LINESTRING (1022970.3379999995 148410.33179999888, 1022958.7041999996 148366.73950000107, 1023205.2064999938 147807.41959999502)","8","GOOD","2022-08-08T00:00:00.000","611.230017624"
"MULTILINESTRING ((-73.84961758247262 40.57533786092965, -73.85073122941229 40.57725918076219))","285628","Q","434740457290460790","BEACH 131 STREET","NEWPORT AVENUE","ROCKAWAY BEACH BOULEVARD","LINESTRING (1025715.548999995 149622.85559999943, 1026026.1118000001 148923.40139999986, 1026030.9813999981 148912.43379999697)","9","GOOD","2023-05-12T00:00:00.000","765.300875894"
"MULTILINESTRING ((-73.8977017416098 40.71228304631676, -73.89717689040293 40.712058945748836))","132308","Q","427450413740455690","ADMIRAL AVENUE","65 STREET","METROPOLITAN AVENUE","LINESTRING (1012615.1196999997 198905.28509999812, 1012610.1131000072 198796.98139999807, 1012755.7132000029 198715.50519999862, 1012785.0438999981 198699.09119999409, 1013098.1338 198523.89139999449)","9","GOOD","2022-10-07T00:00:00.000","166.84651715"
"MULTILINESTRING ((-74.08790697787587 40.6039249575489, -74.08871612109967 40.60440910500886))","12349","S","570006520140570310","ALAN LOOP","BRITTON AVENUE","STONEGATE DRIVE","LINESTRING (959364.66339999437 159335.14560000598, 959465.58519999683 159330.28339999914, 959476.53659999371 159327.31100000441, 959488.86599999666 159328.07860000432, 959500.54580000043 159333.13120000064, 959509.5449000001 159341.5923999995, 959514.876","5","FAIR","2016-02-18T00:00:00.000","285.647711473"
"MULTILINESTRING ((-73.86006354230179 40.57107612147118, -73.86060441875662 40.57201147984814))","168776","Q","435110456990460790","BEACH 144 STREET","NEPONSIT AVENUE","ROCKAWAY BEACH BOULEVARD","LINESTRING (1022975.9088999927 147706.47159999609, 1023126.7157000005 147365.93760000169, 1023135.2131000012 147346.74799999595)","8","GOOD","2022-08-08T00:00:00.000","372.432673219"
"MULTILINESTRING ((-73.85513642828779 40.57297308059646, -73.85516363269893 40.57302009172709))","285571","Q","435040457970460790","BEACH 138 STREET","OCEAN PROMENADE","ROCKAWAY BEACH BOULEVARD","LINESTRING (1024486.8211999983 148076.38570000231, 1024494.4070000052 148059.27069999278, 1024799.2484000027 147371.4756000042)","8","GOOD","2022-08-08T00:00:00.000","18.720779553"
"MULTILINESTRING ((-73.8605742666013 40.56855578312851, -73.86158999377918 40.57031230771074))","168738","Q","435120457970460790","BEACH 146 STREET","OCEAN PROMENADE","ROCKAWAY BEACH BOULEVARD","LINESTRING (1022693.6915999949 147108.19200000167, 1022703.081400007 147086.98800000548, 1022986.2893999964 146447.49120000005)","8","GOOD","2022-08-08T00:00:00.000","699.401836197"
"MULTILINESTRING ((-73.86162367227038 40.57037054927354, -73.86165452496144 40.57042418573563))","168748","Q","435120456990460790","BEACH 146 STREET","NEPONSIT AVENUE","ROCKAWAY BEACH BOULEVARD","LINESTRING (1022517.684799999 147507.72200000286, 1022685.0892000049 147127.71960000694, 1022693.6915999949 147108.19200000167)","8","GOOD","2022-08-08T00:00:00.000","21.3384265482"
"MULTILINESTRING ((-73.85912872813276 40.7195436349183, -73.85904280507688 40.71883672678641))","81902","Q","427690413790413890","ALDERTON STREET","66 AVENUE","66 ROAD","LINESTRING (1023299.4352999926 201457.07439999282, 1023323.6675000042 201199.56499999762)","9","GOOD","2023-08-11T00:00:00.000","258.647038652"
"MULTILINESTRING ((-73.84062474674276 40.67015822147499, -73.840308905905 40.67009058692678))","51913","Q","427590418840418840","ALBERT ROAD","95 STREET","95 STREET","LINESTRING (1028461.4588000029 183473.331400007, 1028549.1193999946 183448.84980000556)","8","GOOD","2022-10-31T00:00:00.000","91.0149961794"
"MULTILINESTRING ((-73.8459217274474 40.58113252884695, -73.84623087836273 40.581671959622426))","50059","Q","434390435290440870","BEACH  124 STREET","BEACH CHANNEL DRIVE","CRONSTON AVENUE","LINESTRING (1027049.102699995 151036.32379999757, 1026962.8833999932 151232.70080000162)","8","GOOD","2022-08-08T00:00:00.000","214.470729526"
"MULTILINESTRING ((-73.7435011956333 40.76403750007534, -73.7426116093384 40.7642219023251))","117986","Q","427490427190442785","ALAMEDA AVENUE","243 STREET","DOUGLASTON PARKWAY","LINESTRING (1055307.2890000045 217726.86699999869, 1055553.7251999974 217793.92859999835)","9","GOOD","2022-11-17T00:00:00.000","255.421921345"
"MULTILINESTRING ((-73.86216861820716 40.723648924155995, -73.8621763783639 40.72351946616471, -73.86216677723314 40.723388728474966, -73.86213958584267 40.723258734255026, -73.86209506044177 40.723131537863644, -73.86203405992181 40.7230091034227, -73.86195788625999 40.722893187562164))","81793","Q","436310413440438370","BOELSEN CRESCENT","64 ROAD","CARLTON STREET","LINESTRING (1022454.4270000011 202951.41529999673, 1022452.3501999974 202904.24660000205, 1022455.0864000022 202856.61890000105, 1022462.6979999989 202809.26989999413, 1022475.1125999987 202762.94779999554, 1022492.0910000056 202718.36779999733, 1022513.","9","GOOD","2023-08-11T00:00:00.000","285.753777696"
"MULTILINESTRING ((-73.86255004526745 40.57005497351858, -73.86318319013053 40.57114639223673))","152968","Q","435125456990460790","BEACH 147 STREET","NEPONSIT AVENUE","ROCKAWAY BEACH BOULEVARD","LINESTRING (1022276.540199995 147397.48600000143, 1022453.8364000022 147002.03740000725, 1022461.6809999943 146984.5408000052)","8","GOOD","2022-12-01T00:00:00.000","434.799785611"
"MULTILINESTRING ((-73.86155449696247 40.56844832026285, -73.86197784183359 40.56918786439656))","168735","Q","435125441700460790","BEACH 147 STREET","DEAD END","ROCKAWAY BEACH BOULEVARD","LINESTRING (1022461.6809999943 146984.5408000052, 1022470.0372000039 146965.34460000694, 1022595.9751999974 146677.1562000066, 1022714.0163999945 146407.90800000727, 1022725.9422000051 146380.04389999807)","8","GOOD","2022-12-01T00:00:00.000","293.986935253"
"MULTILINESTRING ((-73.86197784183359 40.56918786439656, -73.86242951236677 40.5699794281975))","168736","Q","435125441700460790","BEACH 147 STREET","DEAD END","ROCKAWAY BEACH BOULEVARD","LINESTRING (1022461.6809999943 146984.5408000052, 1022470.0372000039 146965.34460000694, 1022595.9751999974 146677.1562000066, 1022714.0163999945 146407.90800000727, 1022725.9422000051 146380.04389999807)","8","GOOD","2022-12-01T00:00:00.000","314.504266644"
"MULTILINESTRING ((-73.86333930367859 40.56973521090745, -73.86399656030031 40.57087346317597))","168728","Q","435130456990460790","BEACH 148 STREET","NEPONSIT AVENUE","ROCKAWAY BEACH BOULEVARD","LINESTRING (1022034.1720000058 147290.3832000047, 1022217.4164000005 146875.97460000217, 1022226.1433999985 146856.24040000141)","8","GOOD","2022-08-08T00:00:00.000","453.114773413"
"MULTILINESTRING ((-73.83181994579097 40.57918686961521, -73.83187212359834 40.57927690850251))","115765","Q","433810457970460790","BEACH 111 STREET","OCEAN PROMENADE","ROCKAWAY BEACH BOULEVARD","LINESTRING (1030671.119599998 151002.12119999528, 1030953.0251999944 150367.4537999928, 1030967.5823999941 150334.67829999328)","8","GOOD","2022-12-01T00:00:00.000","35.8628703822"
"MULTILINESTRING ((-73.74027293798116 40.76474337531459, -73.7402089674944 40.7647895730251, -73.74014921518936 40.76483892658883, -73.74009394723262 40.7648912141873, -73.74004341208067 40.76494620045439, -73.73999783810406 40.765003638271956, -73.73995743003101 40.76506326966206, -73.7399223701276 40.765124826690155, -73.73989281464478 40.76518803145688))","285765","Q","427490427205457790","ALAMEDA AVENUE","245 STREET","NORTHERN BOULEVARD","LINESTRING (1056371.2275999933 218681.13079999387, 1056379.5980000049 218583.40960000455, 1056302.1076000035 218162.35590000451, 1056293.9889000058 218139.30410000682, 1056284.3434000015 218116.84829999506, 1056273.2144999951 218095.08949999511, 1056260.","9","GOOD","2022-11-17T00:00:00.000","195.517567417"
"MULTILINESTRING ((-73.86031079821002 40.72362318186221, -73.85999679539475 40.723186665252165))","81803","Q","427690413440428750","ALDERTON STREET","64 ROAD","ASQUITH CRESCENT","LINESTRING (1022860.1018999964 203101.29029999673, 1022969.3964000046 202942.85230000317, 1023056.6863999963 202783.95499999821)","8","GOOD","2019-05-30T00:00:00.000","181.295052463"
"MULTILINESTRING ((-74.11818244567188 40.6185287024889, -74.11787187882129 40.61787404509738))","12536","S","548170544745552320","SLOSSON AVENUE","RICE AVENUE","UTTER AVENUE","LINESTRING (951440.237499997 164645.20039999485, 951526.13600000739 164406.57559999824)","8","GOOD","2022-12-09T00:00:00.000","253.614564798"
"MULTILINESTRING ((-73.83404792015132 40.71002939168887, -73.83391481092076 40.70991665095979, -73.83391471526807 40.70991656977566, -73.833914610128 40.70991649668246, -73.83377044429537 40.70981111953168, -73.8337703745877 40.70981107440538, -73.83377030369665 40.709811029277404, -73.83361634962574 40.70971405848958, -73.83361599754053 40.70971383195199, -73.83361562053685 40.709713632393814, -73.83345294992434 40.70962571784871, -73.83345283292894 40.70962565374305, -73.83345270289153 40.70962559952416, -73.83328228148854 40.709547158621326))","112827","Q","435990416790428960","BEVERLY ROAD","82 AVENUE","AUDLEY STREET","LINESTRING (1030258.3801999986 198002.92820000648, 1030295.3610000014 197961.92319999635, 1030295.3874000013 197961.89380000532, 1030295.4166000038 197961.86720000207, 1030335.4580000043 197923.55120000243, 1030335.4774000049 197923.53479999304, 1030335.","8","GOOD","2023-07-07T00:00:00.000","277.045543009"
"MULTILINESTRING ((-73.74259835795586 40.76418286541473, -73.74172641827037 40.76435309474668))","231068","Q","427490427190427200","ALAMEDA AVENUE","243 STREET","244 STREET","LINESTRING (1055553.7251999974 217793.92859999835, 1055795.0805999935 217856.65950000286)","9","GOOD","2022-11-17T00:00:00.000","249.374407112"
"MULTILINESTRING ((-74.11918311176684 40.61333857537806, -74.11944907462747 40.613319730543495))","112366","S","553000533165551470","VICTORY BOULEVARD","HODGES PLACE","TODT HILL ROAD","LINESTRING (951159.86059999466 162754.67919999361, 951086.00900000334 162747.91410000622)","7","FAIR","2022-12-17T00:00:00.000","74.1608077027"
"MULTILINESTRING ((-74.08136745667831 40.60652949902349, -74.08254537087815 40.60666691714645))","15249","S","557770539693570158","NARROWS ROAD NORTH","MOSEL AVENUE","KANSAS AVENUE","LINESTRING (961656.73559999466 160261.93819999695, 961329.7119999975 160312.30900000036)","9","GOOD","2018-09-04T00:00:00.000","330.88011794"
"MULTILINESTRING ((-73.87105454497201 40.72838889407653, -73.86963165410133 40.72790968853838))","175049","Q","427690412720412790","ALDERTON STREET","61 ROAD","62 AVENUE","LINESTRING (1020491.3731999993 204449.08939999342, 1020383.4961999953 204500.57539999485, 1019988.8643999994 204674.58100000024, 1019967.1747999936 204668.29160000384)","9","GOOD","2019-11-16T00:00:00.000","431.291324282"
"MULTILINESTRING ((-73.81128053072123 40.72742857016504, -73.81101008068556 40.7274399502952))","116779","Q","427480415140458590","AGUILAR AVENUE","72 AVENUE","PARSONS BOULEVARD","LINESTRING (1036390.9013999999 204470.52300000191, 1036556.7212000042 204354.74560000002, 1036631.6718000025 204359.05339999497)","9","GOOD","2022-12-14T00:00:00.000","75.0742937422"
"MULTILINESTRING ((-74.11684212543568 40.61352546061451, -74.11828430561057 40.613415237687185))","12507","S","553000528090548170","VICTORY BOULEVARD","FAIRVIEW AVENUE","SLOSSON AVENUE","LINESTRING (951809.90520000458 162821.89049999416, 951409.44349999726 162782.27089999616)","7","FAIR","2022-08-15T00:00:00.000","402.416806156"
