"borough_location","park_location","sports_played","week_start_date","week_end_date","sunday_s_attendance","monday_s_attendance","tuesday_s_attendance","wednesday_s_attendance","thursday_s_attendance","friday_s_attendance","saturday_s_attendance","attendance_sum"
"Brooklyn","Sunset Park","Bowling","2017-08-23T00:00:00.000","2017-08-23T00:00:00.000","0","0","0","17","0","0","0","17"
"Brooklyn","Sunset Park","Track","2017-08-23T00:00:00.000","2017-08-23T00:00:00.000","0","0","0","10","0","0","0","10"
"Brooklyn","Sunset Park","Basketball","2017-08-23T00:00:00.000","2017-08-23T00:00:00.000","0","0","0","7","0","0","0","7"
"Brooklyn","Sunset Park","Ultimate Frisbee","2017-08-23T00:00:00.000","2017-08-23T00:00:00.000","0","0","0","6","0","0","0","6"
"Brooklyn","Sunset Park","Zumba","2017-08-23T00:00:00.000","2017-08-23T00:00:00.000","0","0","0","7","0","0","0","7"
"Bronx","Williamsbridge Oval","Basketball, Kickball, Soccer, Tennis, Ping-Pong, Volleyball, Flag-Football, Dodgeball","2017-08-20T00:00:00.000","2017-08-26T00:00:00.000","0","0","22","59","45","57","57","240"
"Queens","Playground for All Children","Basketball, Soccer, Dodgeball, Ultimate Frisbee","2017-08-13T00:00:00.000","2017-08-19T00:00:00.000","0","250","230","0","250","0","220","950"
"Manhattan","Thomas Jefferson Park","Basketball drills","2017-08-22T00:00:00.000","2017-08-26T00:00:00.000","0","0","200","300","250","150","50","950"
"Manhattan","Thomas Jefferson Park","Flag Football, Basketball, Soccer","2017-08-29T00:00:00.000","2017-09-02T00:00:00.000","0","0","130","300","200","80","100","810"
"Bronx","Williamsbridge Oval","Basketball, Soccer, Tennis, Kickball, Ping-Pong, Flag-Football","2017-08-27T00:00:00.000","2017-09-02T00:00:00.000","0","0","52","45","51","47","50","245"
"Queens","Playground for All Children","Soccer, basketball, dodgeball, handball","2017-08-20T00:00:00.000","2017-08-26T00:00:00.000","0","200","250","210","0","175","250","1085"
"Queens","Playground for All Children","Basketball, Soccer, Handball, Free play, cricket","2017-08-27T00:00:00.000","2017-09-02T00:00:00.000","0","75","150","100","115","120","230","790"
"Queens","Playground for All Children","Basketball, Handball, Soccer, Dodgeball","2017-09-03T00:00:00.000","2017-09-09T00:00:00.000","0","105","120","100","110","100","220","755"
"Manhattan","Thomas Jefferson Park","Soccer and Football","2017-09-05T00:00:00.000","2017-09-09T00:00:00.000","0","0","100","200","80","150","50","580"
"Bronx","Williamsbridge Oval","Soccer, Dodgeball, Basketball, Kickball, Tennis, Flag-Football","2017-09-03T00:00:00.000","2017-09-09T00:00:00.000","0","23","25","20","26","0","40","134"
"Bronx","Williamsbridge Oval","Basketball, Soccer, Tennis, Flag- football, Dodgeball","2017-09-10T00:00:00.000","2017-09-16T00:00:00.000","0","25","22","26","29","28","25","155"
"Queens","Playground for All Children","Basketball, Soccer, Dodgeball, ultimate frisbee","2017-09-10T00:00:00.000","2017-09-16T00:00:00.000","0","150","95","100","110","100","120","675"
"Bronx","Williamsbridge Oval","Soccer, Ping pong, Football, Dodgeball","2017-09-17T00:00:00.000","2017-09-23T00:00:00.000","0","21","18","25","20","18","23","125"
"Bronx","Williamsbridge Oval","Basketball, Soccer, Tennis, Kickball","2017-09-24T00:00:00.000","2017-09-30T00:00:00.000","0","20","22","26","23","21","18","130"
"Queens","Playground for All Children","Basketball, Soccer, Dodgeball, Rugby","2017-09-17T00:00:00.000","2017-09-23T00:00:00.000","0","0","120","100","110","105","140","575"
"Queens","Playground for All Children","Basketball, Soccer, Dodgeball, Ultimate Frisbee","2017-09-24T00:00:00.000","2017-09-30T00:00:00.000","0","0","125","98","110","105","144","582"
"Manhattan","Thomas Jefferson Park","Dodgeball, Football, Soccer.","2017-09-12T00:00:00.000","2017-09-16T00:00:00.000","0","0","175","90","200","130","100","695"
"Bronx","Williamsbridge Oval","Basketball, Soccer, Tennis, Kickball, Football","2017-10-01T00:00:00.000","2017-10-07T00:00:00.000","0","27","29","25","26","21","20","148"
"Queens","Playground for All Children","Basketball, Ultimate Frisbee, Dodgeball, Soccer","2017-10-01T00:00:00.000","2017-10-07T00:00:00.000","0","0","95","110","250","220","150","825"
"Queens","Playground for All Children","Basketball, Dodgeball, Soccer","2017-10-08T00:00:00.000","2017-10-14T00:00:00.000","0","0","97","112","85","120","154","568"
"Manhattan","Thomas Jefferson Park","Flag Football","2017-09-26T00:00:00.000","2017-09-30T00:00:00.000","0","0","70","100","120","90","45","425"
"Manhattan","Thomas Jefferson Park","Basketball Dodgeball Flag Football","2017-10-03T00:00:00.000","2017-10-07T00:00:00.000","0","0","75","130","100","130","100","535"
"Bronx","Williamsbridge Oval","flag football, track & field","2018-05-06T00:00:00.000","2018-05-12T00:00:00.000","0","0","0","47","20","0","0","67"
"Bronx","Williamsbridge Oval","Frisbee, Softball, Pickelball, Football","2018-05-13T00:00:00.000","2018-05-19T00:00:00.000","0","19","19","0","18","7","0","63"
"Bronx","Williamsbridge Oval","Basketball, Soccer, Track & Field","2018-05-20T00:00:00.000","2018-05-26T00:00:00.000","0","16","0","7","25","11","0","59"
"Queens","Playground for All Children","Lacrosse, basketball, football, soccer, baseball","2018-05-27T00:00:00.000","2018-06-02T00:00:00.000","0","0","200","385","223","246","616","1670"
"Queens","Playground for All Children","Basketball, Soccer, Football","2018-04-15T00:00:00.000","2018-04-21T00:00:00.000","0","0","0","12","0","17","0","29"
"Queens","Playground for All Children","Baseball, Soccer, football","2018-04-22T00:00:00.000","2018-04-28T00:00:00.000","0","0","32","0","109","14","0","155"
"Queens","Playground for All Children","Volleyball, Hockey, Basketball","2018-04-29T00:00:00.000","2018-05-05T00:00:00.000","0","0","40","320","480","381","120","1341"
"Queens","Playground for All Children","Basketball Soccer Football","2018-05-06T00:00:00.000","2018-05-12T00:00:00.000","0","0","87","216","0","0","116","419"
"Queens","Playground for All Children","Baseball, Soccer, Football","2018-05-13T00:00:00.000","2018-05-19T00:00:00.000","0","0","62","0","0","141","0","203"
"Staten Island","Midland Beach","Pickleball, Basketball, Volleyball","2018-05-20T00:00:00.000","2018-05-26T00:00:00.000","0","0","11","10","0","9","3","33"
"Staten Island","Midland Beach","Basketball, Volleyball, Pickleball","2018-05-27T00:00:00.000","2018-06-02T00:00:00.000","0","0","5","0","0","0","8","13"
"Staten Island","Midland Beach","Basketball, Pickleball, Football","2018-06-03T00:00:00.000","2018-06-09T00:00:00.000","0","0","0","2","18","17","0","37"
"Queens","Playground for All Children","Soccer, baseball, basketball,","2018-06-03T00:00:00.000","2018-06-09T00:00:00.000","0","0","294","466","340","326","485","1911"
"Queens","Playground for All Children","volleyball, badminton, baseball, soccer","2018-05-27T00:00:00.000","2018-06-02T00:00:00.000","0","0","71","424","0","461","652","1608"
"Bronx","Williamsbridge Oval","Frisbee,Soccer,Basketball,Track and Field","2018-05-27T00:00:00.000","2018-06-02T00:00:00.000","0","0","24","38","3","6","11","82"
"Bronx","Williamsbridge Oval","Soccer,Frisbee,Wiffleball","2018-06-03T00:00:00.000","2018-06-09T00:00:00.000","0","0","0","20","0","21","5","46"
"Bronx","Williamsbridge Oval","Flag Football,Kickball,Soccer","2018-06-10T00:00:00.000","2018-06-16T00:00:00.000","0","27","26","14","36","21","9","133"
"Queens","Playground for All Children","Basketball, flag football, baseball, lacrosse","2018-06-10T00:00:00.000","2018-06-16T00:00:00.000","0","0","611","137","315","369","665","2097"
"Bronx","Williamsbridge Oval","Soccer,Basketball,Wiffleball, Frisbee, Track and Field","2018-06-17T00:00:00.000","2018-06-23T00:00:00.000","0","6","8","13","6","0","0","33"
"Queens","Playground for All Children","Lacrosse, Basketball, Soccer","2018-06-17T00:00:00.000","2018-06-23T00:00:00.000","0","0","123","193","463","121","93","993"
"Queens","Playground for All Children","Lacrosse, Basketball, Soccer","2018-06-17T00:00:00.000","2018-06-23T00:00:00.000","0","0","123","193","121","93","0","530"
"Brooklyn","Sunset Park","Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling","2018-07-05T00:00:00.000","2018-07-06T00:00:00.000","0","42","39","0","184","94","0","359"
"Brooklyn","Sunset Park","Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling","2018-07-09T00:00:00.000","2018-07-13T00:00:00.000","0","184","170","194","203","180","0","931"
"Queens","Playground for All Children","Basketball, Lacrosse, Volleyball, baseball, flag football","2018-07-01T00:00:00.000","2018-07-07T00:00:00.000","0","0","0","0","214","75","321","610"
"Bronx","Williamsbridge Oval","Basketball,Volleyball, Arts and Crafts, Kickball, Soccer","2018-07-01T00:00:00.000","2018-07-07T00:00:00.000","0","24","20","0","13","15","0","72"
"Bronx","Williamsbridge Oval","Soccer,Tennis, Track and Field, Basketball","2018-06-24T00:00:00.000","2018-06-30T00:00:00.000","0","2","15","20","25","0","0","62"
"Brooklyn","Sunset Park","Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling","2018-07-16T00:00:00.000","2018-07-20T00:00:00.000","0","189","104","236","164","162","0","855"
"Queens","Playground for All Children","Softball, basketball, agility training, drills, jacks, lacrosse","2018-07-08T00:00:00.000","2018-07-14T00:00:00.000","0","0","319","344","232","361","161","1417"
"Bronx","Williamsbridge Oval","Soccer, Kickball,Volleyball, Flag Football, Basketball","2018-07-08T00:00:00.000","2018-07-14T00:00:00.000","0","3","42","66","35","13","0","159"
"Bronx","Williamsbridge Oval","Pickle Ball, Soccer, Basketball,Frisbee,Track and Field","2018-07-15T00:00:00.000","2018-07-21T00:00:00.000","20","30","14","34","0","67","0","165"
"Brooklyn","Sunset Park","Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling","2018-07-23T00:00:00.000","2018-07-27T00:00:00.000","0","90","184","52","156","138","0","620"
"Queens","Playground for All Children","Baseball Football Basketball Soccer","2018-07-15T00:00:00.000","2018-07-21T00:00:00.000","0","0","207","271","229","403","150","1260"
"Queens","Playground for All Children","basketball Baseball Soccer Football","2018-07-15T00:00:00.000","2018-07-21T00:00:00.000","0","0","103","220","204","147","192","866"
"Queens","Playground for All Children","Football Basketball Baseball","2018-07-15T00:00:00.000","2018-07-21T00:00:00.000","0","0","103","220","204","147","192","866"
"Manhattan","Thomas Jefferson Park","varies sports","2018-07-09T00:00:00.000","2018-07-13T00:00:00.000","0","6","7","10","7","8","0","38"
"Manhattan","Thomas Jefferson Park","various sports","2018-07-16T00:00:00.000","2018-07-20T00:00:00.000","0","7","9","8","9","10","0","43"
"Manhattan","Thomas Jefferson Park","various sports","2018-07-23T00:00:00.000","2018-07-27T00:00:00.000","0","6","9","7","8","9","0","39"
"Staten Island","Playground for All Children","flag football / basketball/ pickleball/bocce/volleyball","2018-07-22T00:00:00.000","2018-07-28T00:00:00.000","0","0","70","45","80","25","200","420"
"Staten Island","Playground for All Children","basketball/flag football","2018-07-01T00:00:00.000","2018-07-07T00:00:00.000","0","0","0","0","85","60","90","235"
"Staten Island","Playground for All Children","flag football/ basketball/bocce","2018-07-08T00:00:00.000","2018-07-14T00:00:00.000","0","0","0","45","65","70","200","380"
"Staten Island","Playground for All Children","basketball/ flag football/  bocce","2018-07-15T00:00:00.000","2018-07-21T00:00:00.000","0","0","60","50","75","80","40","305"
"Brooklyn","Sunset Park","Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling","2018-07-30T00:00:00.000","2018-08-03T00:00:00.000","0","138","162","73","125","0","0","498"
"Brooklyn","Sunset Park","Fitness Friday, Soccer, Basketball, Dance,Track","2018-05-07T00:00:00.000","2018-05-11T00:00:00.000","0","36","31","33","32","22","0","154"
"Brooklyn","Sunset Park","Fitness Friday, Soccer, Basketball, Dance,Track","2018-05-14T00:00:00.000","2018-05-18T00:00:00.000","0","46","46","47","37","36","0","212"
"Brooklyn","Sunset Park","Fitness Friday, Soccer, Basketball, Dance,Track","2018-05-21T00:00:00.000","2018-05-25T00:00:00.000","0","47","40","44","36","49","0","216"
"Brooklyn","Sunset Park","Fitness Friday, Soccer, Basketball, Dance,Track","2018-05-28T00:00:00.000","2018-06-01T00:00:00.000","0","43","48","48","39","37","0","215"
"Brooklyn","Sunset Park","Fitness Friday, Soccer, Basketball, Dance,Track","2018-06-04T00:00:00.000","2018-06-08T00:00:00.000","0","45","39","42","31","50","0","207"
"Brooklyn","Sunset Park","Fitness Friday, Soccer, Basketball, Dance,Track","2018-06-11T00:00:00.000","2018-06-15T00:00:00.000","0","37","42","31","30","27","0","167"
"Brooklyn","Sunset Park","Fitness Friday, Soccer, Basketball, Dance,Track","2018-06-18T00:00:00.000","2018-06-22T00:00:00.000","0","27","23","22","25","18","0","115"
"Brooklyn","Sunset Park","Fitness Friday, Soccer, Basketball, Dance,Track","2018-06-25T00:00:00.000","2018-06-29T00:00:00.000","0","18","12","20","17","15","0","82"
"Brooklyn","Sunset Park","Fitness Friday, Soccer, Basketball, Dance,Track","2018-04-30T00:00:00.000","2018-05-04T00:00:00.000","0","46","42","42","47","45","0","222"
"Brooklyn","Sunset Park","Fitness Friday, Soccer, Basketball, Dance,Track","2018-04-16T00:00:00.000","2018-04-20T00:00:00.000","0","42","53","39","43","50","0","227"
"Brooklyn","Sunset Park","Fitness Friday, Soccer, Basketball, Dance,Track","2018-04-23T00:00:00.000","2018-04-27T00:00:00.000","0","33","47","41","23","49","0","193"
"Queens","Playground for All Children","Basketball Soccer Baseball","2018-07-22T00:00:00.000","2018-07-28T00:00:00.000","0","0","60","0","150","108","0","318"
"Queens","Playground for All Children","Lacrosse Basketball Soccer Basketball","2018-07-22T00:00:00.000","2018-07-28T00:00:00.000","0","0","1441","0","93","174","0","1708"
"Queens","Playground for All Children","Soccer Basketball Baseball","2018-07-22T00:00:00.000","2018-07-28T00:00:00.000","0","0","197","0","100","211","0","508"
"Brooklyn","Sunset Park","Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling","2018-08-06T00:00:00.000","2018-08-10T00:00:00.000","0","96","56","95","115","141","0","503"
"Brooklyn","Sunset Park","Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling","2018-08-13T00:00:00.000","2018-08-17T00:00:00.000","0","42","141","0","135","72","0","390"
"Staten Island","Playground for All Children","basketball, bocce, flag football","2018-08-05T00:00:00.000","2018-08-11T00:00:00.000","0","0","60","65","35","48","0","208"
"Bronx","Williamsbridge Oval","Basketball, kickball, pickle Ball, soccer, Flag Football,","2018-07-22T00:00:00.000","2018-07-28T00:00:00.000","0","19","31","27","35","55","0","167"
"Bronx","Williamsbridge Oval","Basketball, soccer, Pickleball, kickball, Flag Football,","2018-07-29T00:00:00.000","2018-08-04T00:00:00.000","0","31","42","40","36","27","0","176"
"Bronx","Williamsbridge Oval","Basketball, Soccer,Flag Football, Kickball,","2018-08-05T00:00:00.000","2018-08-11T00:00:00.000","0","25","41","33","24","37","5","165"
"Brooklyn","Sunset Park","Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling","2018-08-21T00:00:00.000","2018-08-24T00:00:00.000","0","132","138","80","162","144","0","656"
"Queens","Playground for All Children","Handball Basketball Soccer","2018-08-05T00:00:00.000","2018-08-11T00:00:00.000","0","0","279","114","123","106","0","622"
"Queens","Playground for All Children","Basketball Soccer Baseball","2018-08-05T00:00:00.000","2018-08-11T00:00:00.000","0","0","85","105","220","0","0","410"
"Queens","Playground for All Children","Lacrosse Basketball Soccer","2018-08-05T00:00:00.000","2018-08-11T00:00:00.000","0","0","82","105","0","320","0","507"
"Queens","Playground for All Children","Flag football, lacrosse, volleyball, basketball, baseball, soccer","2018-08-12T00:00:00.000","2018-08-18T00:00:00.000","0","0","162","0","227","201","155","745"
"Manhattan","Thomas Jefferson Park","Basketball","2018-07-09T00:00:00.000","2018-07-13T00:00:00.000","0","0","0","0","0","0","0","0"
"Manhattan","Thomas Jefferson Park","Street Hockey","2018-07-16T00:00:00.000","2018-07-20T00:00:00.000","0","33","0","0","0","0","0","33"
"Manhattan","Thomas Jefferson Park","Track & Field","2018-07-23T00:00:00.000","2018-07-27T00:00:00.000","0","27","0","0","0","0","0","27"
"Manhattan","Thomas Jefferson Park","Softball","2018-07-30T00:00:00.000","2018-08-03T00:00:00.000","0","15","0","0","0","0","0","15"
"Manhattan","Thomas Jefferson Park","Soccer","2018-08-06T00:00:00.000","2018-08-10T00:00:00.000","0","14","0","0","0","0","0","14"
"Manhattan","Thomas Jefferson Park","Soccer","2018-08-13T00:00:00.000","2018-08-17T00:00:00.000","0","4","0","0","0","0","0","4"
"Manhattan","Thomas Jefferson Park","Flag Football","2018-08-20T00:00:00.000","2018-08-24T00:00:00.000","0","7","0","0","0","0","0","7"
"Queens","Playground for All Children","lacrosse basketball volleyball soccer","2018-08-19T00:00:00.000","2018-08-19T00:00:00.000","0","0","209","140","176","118","273","916"
"Brooklyn","Sunset Park","Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling","2018-08-27T00:00:00.000","2018-08-31T00:00:00.000","0","87","80","37","42","26","0","272"
"Brooklyn","Sunset Park","Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling","2018-09-04T00:00:00.000","2018-09-07T00:00:00.000","0","0","25","0","0","0","0","25"
"Staten Island","Playground for All Children","flag football, basketball, bocce","2018-07-29T00:00:00.000","2018-08-04T00:00:00.000","0","0","42","28","52","25","32","179"
"Queens","Playground for All Children","basketball football soccer","2018-08-26T00:00:00.000","2018-09-01T00:00:00.000","0","0","104","123","75","42","202","546"
"Bronx","Williamsbridge Oval","Basketball, Soccer, Flag Football, Kickball","2018-07-29T00:00:00.000","2018-08-04T00:00:00.000","0","20","24","27","24","31","15","141"
"Bronx","Williamsbridge Oval","Track and Field, Soccer , Basketball, Tennis","2018-08-05T00:00:00.000","2018-08-11T00:00:00.000","0","0","35","20","15","29","2","101"
"Bronx","Williamsbridge Oval","Basketball, Pickleball, Tennis , Soccer","2018-08-12T00:00:00.000","2018-08-18T00:00:00.000","0","25","27","16","12","31","12","123"
"Bronx","Williamsbridge Oval","Basketball, Track and Field, Soccer, Pickle Ball, Tennis","2018-08-19T00:00:00.000","2018-08-25T00:00:00.000","0","24","33","29","25","23","10","144"
"Bronx","Williamsbridge Oval","Tennis, Soccer ,Kickball, Flag Football","2018-08-26T00:00:00.000","2018-09-01T00:00:00.000","0","37","24","31","21","23","12","148"
"Bronx","Williamsbridge Oval","Soccer, Basketball, Kickball, Track and Field,","2018-09-02T00:00:00.000","2018-09-08T00:00:00.000","0","12","17","15","21","25","11","101"
"Queens","Playground for All Children","Basketball soccer football baseball","2018-09-09T00:00:00.000","2018-09-15T00:00:00.000","0","0","14","2","4","23","195","238"
