"development_name","borough","account_name","location","meter_amr","meter_scope","tds","edp","rc_code","funding_source","amp","vendor_name","umis_bill_id","revenue_month","service_start_date","service_end_date","days","meter_number","estimated","current_charges","rate_class","bill_analyzed","consumption_mlbs"
"CAMPOS PLAZA I","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA I ALL","257","544","M025700","SECTION 8","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","11553311","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","632026-544","N","10000.13","SC3","Yes","446.4"
"DE HOSTOS APARTMENTS","MANHATTAN","DE HOSTOS APARTMENTS","BLD 01","AMR",,"155","265","M015500","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553321","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","621273","N","9746.71","SC3","Yes","432.02"
"DE HOSTOS APARTMENTS","MANHATTAN","DE HOSTOS APARTMENTS","BLD 01","AMR",,"155","265","M015500","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553321","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","641095","N","0","SC3","Yes","0"
"WSUR (SITE C) 589 AMSTERDAM AVENUE","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE C)","BLD 01","AMR",,"174","259","M017400","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553327","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","631052","N","0","SC3","Yes","0"
"WSUR (SITE C) 589 AMSTERDAM AVENUE","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE C)","BLD 01","AMR",,"174","259","M017400","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553327","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","621181","N","6242.89","SC3","Yes","201.18"
"FULTON","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","11553330","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","64031","N","0","SC3","Yes","0"
"FULTON","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","11553330","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","63121","N","35791.85","SC3","Yes","2321"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553337","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","7110098","N","4389.77","SC3","Yes","97.74"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553337","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","7220091","N","0","SC3","Yes","0"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553348","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","622092","N","3322","SC3","Yes","24.02"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553348","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","621044","N","443.95","SC3","Yes","3.21"
"STRAUS","MANHATTAN","STRAUS",,"AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","11553386","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","7210299","N","11626.73","SC3","Yes","486.56"
"STRAUS","MANHATTAN","STRAUS","BLD 01","AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","11553386","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","632064","N","8.84","SC3","Yes","0.37"
"WSUR (SITE A) 120 WEST 94TH STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE A)","BLD 03","AMR",,"151","259","M015100","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553406","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","622030","N","1776.67","SC3","Yes","9.99"
"WSUR (SITE A) 120 WEST 94TH STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE A)","BLD 03","AMR",,"151","259","M015100","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553406","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","621295","N","1396.08","SC3","Yes","7.85"
"THOMAS APARTMENTS","MANHATTAN","THOMAS APARTMENTS","BLD 01","AMR",,"268","387","M026800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553409","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","622046","N","4905.19","SC3","Yes","126.51"
"THOMAS APARTMENTS","MANHATTAN","THOMAS APARTMENTS","BLD 01","AMR",,"268","387","M026800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553409","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","621262","N","0","SC3","Yes","0"
"GOMPERS","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","11553415","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","62135","N","18651.14","SC3","Yes","1033.3"
"GOMPERS","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","11553415","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","62340","N","59.57","SC3","Yes","3.3"
"AMSTERDAM ADDITION","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","11555119","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","321136","N","5759.08","SC3","Yes","205.59"
"AMSTERDAM ADDITION","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","11555119","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","331058","N","0","SC3","Yes","0"
"ROBBINS PLAZA","MANHATTAN","ROBBINS PLAZA","BLD 01","AMR",,"218","329","M021800","FEDERAL","NY005011390P","CONSOLIDATED EDISON COMPANY OF NY","11780661","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","621132","Y","1273.02","SC3","Yes","38.15"
"ROBBINS PLAZA","MANHATTAN","ROBBINS PLAZA","BLD 01","AMR",,"218","329","M021800","FEDERAL","NY005011390P","CONSOLIDATED EDISON COMPANY OF NY","11780661","2022-07","2022-06-30T00:00:00.000","2022-07-29T00:00:00.000","29","610014","Y","4424.38","SC3","Yes","132.59"
"STRAUS","MANHATTAN","STRAUS","BLD 01","AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","11449469","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","632064","N","14.86","SC3","Yes","0.61"
"STRAUS","MANHATTAN","STRAUS",,"AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","11449469","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","7210299","N","14447.24","SC3","Yes","593.11"
"SEWARD PARK EXTENSION","MANHATTAN","SEWARD PARK EXTENSION","BLD 01","AMR",,"192","312","M019200","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","11449473","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","632136","N","3697.84","SC3","Yes","153"
"SEWARD PARK EXTENSION","MANHATTAN","SEWARD PARK EXTENSION","BLD 01","AMR",,"192","312","M019200","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","11449473","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","621076","N","6177.57","SC3","Yes","255.6"
"THOMAS APARTMENTS","MANHATTAN","THOMAS APARTMENTS","BLD 01","AMR",,"268","387","M026800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11449477","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","621262","N","0","SC3","Yes","0"
"THOMAS APARTMENTS","MANHATTAN","THOMAS APARTMENTS","BLD 01","AMR",,"268","387","M026800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11449477","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","622046","N","5671.32","SC3","Yes","155.09"
"AMSTERDAM ADDITION","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","11449480","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","321136","N","6810","SC3","Yes","245.5"
"AMSTERDAM ADDITION","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","11449480","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","331058","N","0","SC3","Yes","0"
"GOMPERS","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","11449487","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","62135","N","21741.44","SC3","Yes","1152.1"
"GOMPERS","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","11449487","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","62340","N","43.4","SC3","Yes","2.3"
"DE HOSTOS APARTMENTS","MANHATTAN","DE HOSTOS APARTMENTS","BLD 01","AMR",,"155","265","M015500","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11449490","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","641095","N","0","SC3","Yes","0"
"DE HOSTOS APARTMENTS","MANHATTAN","DE HOSTOS APARTMENTS","BLD 01","AMR",,"155","265","M015500","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11449490","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","621273","N","11359","SC3","Yes","463.86"
"WSUR (SITE C) 589 AMSTERDAM AVENUE","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE C)","BLD 01","AMR",,"174","259","M017400","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11449499","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","621181","N","7710.63","SC3","Yes","262.14"
"WSUR (SITE C) 589 AMSTERDAM AVENUE","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE C)","BLD 01","AMR",,"174","259","M017400","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11449499","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","631052","N","13.82","SC3","Yes","0.47"
"FULTON","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","11449512","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","63121","N","45357.84","SC3","Yes","2767"
"FULTON","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","11449512","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","64031","N","0","SC3","Yes","0"
"WSUR (SITE B) 74 WEST 92ND STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE B)","BLD 05","AMR",,"173","259","M017300","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11449515","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","7220047","N","8885.4","SC3","Yes","272.06"
"WSUR (SITE B) 74 WEST 92ND STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE B)","BLD 05","AMR",,"173","259","M017300","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11449515","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","7310022","N","3.92","SC3","Yes","0.12"
"CAMPOS PLAZA I","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA I ALL","257","544","M025700","SECTION 8","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","11449526","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","632026-544","N","12952","SC3","Yes","591.7"
"CAMPOS PLAZA II","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA II ALL","286","593","M028600","FEDERAL","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","11449526","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","630022-593","N","21.89","SC3","Yes","1"
"CAMPOS PLAZA I","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA I ALL","257","544","M025700","SECTION 8","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","11449526","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","630022-544","N","21.89","SC3","Yes","1"
"CAMPOS PLAZA II","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA II ALL","286","593","M028600","FEDERAL","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","11449526","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","632026-593","N","12952.04","SC3","Yes","591.7"
"WSUR (SITE A) 120 WEST 94TH STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE A)","BLD 03","AMR",,"151","259","M015100","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11449531","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","621295","N","2044.91","SC3","Yes","28.21"
"WSUR (SITE A) 120 WEST 94TH STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE A)","BLD 03","AMR",,"151","259","M015100","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11449531","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","622030","N","1633.89","SC3","Yes","22.54"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553360","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","7110098","Y","4625.6","SC3","Yes","100.33"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553360","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","7220091","Y","0","SC3","Yes","0"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553396","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","622092","N","2176.94","SC3","Yes","51.11"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553396","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","621044","Y","2734.92","SC3","Yes","64.21"
"ROBBINS PLAZA","MANHATTAN","ROBBINS PLAZA","BLD 01","AMR",,"218","329","M021800","FEDERAL","NY005011390P","CONSOLIDATED EDISON COMPANY OF NY","11780630","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","621132","Y","1358.68","SC3","Yes","39.39"
"ROBBINS PLAZA","MANHATTAN","ROBBINS PLAZA","BLD 01","AMR",,"218","329","M021800","FEDERAL","NY005011390P","CONSOLIDATED EDISON COMPANY OF NY","11780630","2022-06","2022-05-31T00:00:00.000","2022-06-30T00:00:00.000","30","610014","Y","4711.75","SC3","Yes","136.6"
"STRAUS","MANHATTAN","STRAUS",,"AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","11341006","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","7210299","N","16605.17","SC3","Yes","695.17"
"STRAUS","MANHATTAN","STRAUS","BLD 01","AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","11341006","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","632064","N","552.02","SC3","Yes","23.11"
"AMSTERDAM ADDITION","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","11341007","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","321136","N","13562.34","SC3","Yes","535.7"
"AMSTERDAM ADDITION","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","11341007","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","331058","N","0","SC3","Yes","0"
"WSUR (SITE B) 74 WEST 92ND STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE B)","BLD 05","AMR",,"173","259","M017300","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11341012","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","7220047","N","8958.09","SC3","Yes","330.86"
"WSUR (SITE B) 74 WEST 92ND STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE B)","BLD 05","AMR",,"173","259","M017300","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11341012","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","7310022","N","4537.52","SC3","Yes","167.59"
"FULTON","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","11341014","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","63121","N","70013.14","SC3","Yes","3890"
"FULTON","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","11341014","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","64031","N","10312.99","SC3","Yes","573"
"WSUR (SITE A) 120 WEST 94TH STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE A)","BLD 03","AMR",,"151","259","M015100","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11356649","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","622030","N","2442.16","SC3","Yes","70.68"
"WSUR (SITE A) 120 WEST 94TH STREET","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE A)","BLD 03","AMR",,"151","259","M015100","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11356649","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","621295","N","5111.66","SC3","Yes","147.94"
"WSUR (SITE C) 589 AMSTERDAM AVENUE","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE C)","BLD 01","AMR",,"174","259","M017400","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11356997","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","631052","N","5189.64","SC3","Yes","193.34"
"WSUR (SITE C) 589 AMSTERDAM AVENUE","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE C)","BLD 01","AMR",,"174","259","M017400","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11356997","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","621181","N","8746.2","SC3","Yes","325.84"
"CAMPOS PLAZA I","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA I ALL","257","544","M025700","SECTION 8","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","11357012","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","630022-544","N","1622.27","SC3","Yes","71.57"
"CAMPOS PLAZA II","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA II ALL","286","593","M028600","FEDERAL","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","11357012","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","632026-593","N","9373.76","SC3","Yes","334.12"
"CAMPOS PLAZA I","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA I ALL","257","544","M025700","SECTION 8","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","11357012","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","632026-544","N","6824.57","SC3","Yes","301.08"
"CAMPOS PLAZA II","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA II ALL","286","593","M028600","FEDERAL","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","11357012","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","630022-593","N","9373.76","SC3","Yes","79.43"
"SEWARD PARK EXTENSION","MANHATTAN","SEWARD PARK EXTENSION","BLD 01","AMR",,"192","312","M019200","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","11357017","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","621076","N","13078.59","SC3","Yes","603.2"
"SEWARD PARK EXTENSION","MANHATTAN","SEWARD PARK EXTENSION","BLD 01","AMR",,"192","312","M019200","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","11357017","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","632136","N","7554.02","SC3","Yes","348.4"
"THOMAS APARTMENTS","MANHATTAN","THOMAS APARTMENTS","BLD 01","AMR",,"268","387","M026800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11357020","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","622046","N","5940.19","SC3","Yes","195.14"
"THOMAS APARTMENTS","MANHATTAN","THOMAS APARTMENTS","BLD 01","AMR",,"268","387","M026800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11357020","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","621262","N","3686.67","SC3","Yes","121.11"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11357028","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","7110098","N","5039.08","SC3","Yes","129.97"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11357028","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","7220091","N","1398.09","SC3","Yes","36.06"
"GOMPERS","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","11357036","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","62340","N","9736.22","SC3","Yes","506.5"
"GOMPERS","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","11357036","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","62135","N","28797.31","SC3","Yes","1498.1"
"DE HOSTOS APARTMENTS","MANHATTAN","DE HOSTOS APARTMENTS","BLD 01","AMR",,"155","265","M015500","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11357044","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","641095","N","5359.33","SC3","Yes","234.79"
"DE HOSTOS APARTMENTS","MANHATTAN","DE HOSTOS APARTMENTS","BLD 01","AMR",,"155","265","M015500","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11357044","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","621273","N","12097.59","SC3","Yes","529.99"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553378","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","622092","Y","6907.92","SC3","Yes","170.94"
"WSUR (BROWNSTONES)","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","11553378","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","621044","Y","4143.78","SC3","Yes","102.54"
"ROBBINS PLAZA","MANHATTAN","ROBBINS PLAZA","BLD 01","AMR",,"218","329","M021800","FEDERAL","NY005011390P","CONSOLIDATED EDISON COMPANY OF NY","11780633","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","610014","Y","5386.81","SC3","Yes","147.09"
"ROBBINS PLAZA","MANHATTAN","ROBBINS PLAZA","BLD 01","AMR",,"218","329","M021800","FEDERAL","NY005011390P","CONSOLIDATED EDISON COMPANY OF NY","11780633","2022-05","2022-04-29T00:00:00.000","2022-05-31T00:00:00.000","32","621132","Y","1542.54","SC3","Yes","42.12"
"AMSTERDAM ADDITION","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","11254949","2022-04","2022-03-31T00:00:00.000","2022-04-29T00:00:00.000","29","321136","N","40851.9","SC3","Yes","1406.82"
