"objectid","dbh","tpstructure","tpcondition","stumpdiameter","plantingspaceglobalid","geometry","globalid","genusspecies","createddate","updateddate","planteddate","riskrating","riskratingdate","location"
"104441","14","Full","Good",,"B51EB95F-DC94-4410-8B5E-89CA649EE742","POINT (-74.0910909483547897 40.6258020151507964)","ABC644D3-0371-4045-9880-644707169713","Acer - maple","2015-03-16 04:00:00.0000000","2016-10-17 15:27:38.0000000",,,,"POINT (-74.09109094835479 40.625802015150796)"
"104442","14","Full","Good",,"B8487A88-9D98-46CA-9020-A69004A2EF53","POINT (-74.0912525624614915 40.6256440597514867)","63C99352-3D46-4B74-81C9-783A7F0EAE1C","Prunus serrulata 'Not Green leaf' - 'Not Green leaf' Japanese flowering cherry","2015-03-16 04:00:00.0000000",,,,,"POINT (-74.09125256246149 40.62564405975149)"
"104443",,"Stump","Dead","36","77B8E8AB-05CB-4CD6-936C-DA0EF79ED202","POINT (-74.0912494233416936 40.6254543102165613)","4F3D187E-998F-4164-9E94-7B908A10EE90","Acer - maple","2015-03-16 04:00:00.0000000","2023-02-23 15:16:53.0000000",,"6","2023-02-23 15:16:53.0000000","POINT (-74.0912494233417 40.62545431021656)"
"104444","15","Full","Good",,"45BB8EB9-0CBA-4A3F-B2FA-BBDE79B724F9","POINT (-74.0915904923118092 40.6252226387613860)","3A065725-C118-45D3-A383-F0789FC4B7DC","Aesculus hippocastanum - horse chestnut","2015-03-16 04:00:00.0000000","2016-10-17 15:25:25.0000000",,,,"POINT (-74.09159049231181 40.625222638761386)"
"104445","16","Full","Good",,"30C990C8-3AE6-499F-92D3-7C267949F528","POINT (-74.0917934498289839 40.6250014874095555)","E2B5862C-9B93-47A4-893A-EFD1AD7D85BA","Aesculus hippocastanum - horse chestnut","2015-03-16 04:00:00.0000000","2016-10-17 15:24:40.0000000",,,,"POINT (-74.09179344982898 40.625001487409556)"
"104446","36","Retired","Unknown","0","3E7026A3-B6C0-40E1-9BD3-7D89685526DA","POINT (-74.1944206212554462 40.5480149239304097)","846DE1B9-9D40-42FE-9D87-8731C6F6AE33","Populus deltoides - eastern cottonwood","2015-03-16 04:00:00.0000000","2018-01-16 11:30:15.0000000",,,,"POINT (-74.19442062125545 40.54801492393041)"
"104447","8","Retired","Dead",,"3878CB12-9B60-4180-8F09-5BC794B372A9","POINT (-73.9373121592773259 40.6762631081880883)","08BC9F88-895F-4963-9262-1957BFC300A7","Gleditsia triacanthos var. inermis - Thornless honeylocust","2015-03-16 04:00:00.0000000","2017-04-13 11:11:11.0000000",,,,"POINT (-73.93731215927733 40.67626310818809)"
"104448","8","Full","Good",,"933332AA-D4FD-4450-AD3A-B70913DAB891","POINT (-74.0930246068568579 40.6240572265779250)","39816E39-AC7E-4A40-B6ED-CFFCE8748348","Acer - maple","2015-03-16 04:00:00.0000000",,,,,"POINT (-74.09302460685686 40.624057226577925)"
"104449","7","Full","Good",,"C1A101D2-A6A1-4A7B-AD3C-9F7615D91AE6","POINT (-74.0925735494223261 40.6241343362012017)","5D6C0DFB-5EE3-45E5-8102-3C82049956FA","Pyrus calleryana - Callery pear","2015-03-16 04:00:00.0000000","2016-10-17 16:22:36.0000000",,,,"POINT (-74.09257354942233 40.6241343362012)"
"104451","20","Full","Good",,"1BCDDE7F-08D2-4EC6-B92B-58D7CF57D892","POINT (-74.0920280565568561 40.6243088351471116)","FD7E1D8F-DC05-4357-BB15-F91F71B0F174","Platanus x acerifolia - London planetree","2015-03-16 04:00:00.0000000","2016-10-17 14:26:07.0000000",,,,"POINT (-74.09202805655686 40.62430883514711)"
"104452","35","Retired","Unknown",,"D35DAE09-832E-4427-AAF3-5190A134EAC1","POINT (-74.0919612505853422 40.6242177769458692)","3FB0E1CB-4194-4A87-B7C2-896E31C09FC1","Platanus x acerifolia - London planetree","2015-06-30 11:53:00.0000000","2015-06-30 11:53:00.0000000",,,,"POINT (-74.09196125058534 40.62421777694587)"
"104453","35","Full","Good",,"22A20EF6-DA57-4D84-93DE-667A32B1F542","POINT (-74.0918521961351360 40.6243351845475331)","B337CBD2-4669-4618-904C-700B171F7BB6","Platanus x acerifolia - London planetree","2015-03-16 04:00:00.0000000","2016-10-17 14:25:51.0000000",,,,"POINT (-74.09185219613514 40.62433518454753)"
"104454","28","Full","Fair",,"64512DC4-2838-4274-8AFE-4242EDD160F4","POINT (-74.0912604684246929 40.6243367182503832)","F14D0C11-9638-4387-8CAF-A7BD6F5407E5","Aesculus hippocastanum - horse chestnut","2015-03-16 04:00:00.0000000","2023-03-22 14:19:40.0000000",,"8","2023-03-22 14:19:40.0000000","POINT (-74.0912604684247 40.62433671825038)"
"104455","30","Retired","Dead","34","2BA218D8-DAAE-4307-8543-BED2DA448C3B","POINT (-74.0909093950254487 40.6250202403070659)","291BF0CA-B2E7-46F3-9987-428F04AB8534","Acer - maple","2015-03-16 04:00:00.0000000","2017-12-01 13:06:44.0000000",,,,"POINT (-74.09090939502545 40.625020240307066)"
"104456","12","Full","Good",,"EC0343E5-F42F-4FA0-B866-E81E0C3B4642","POINT (-73.8107640656291437 40.7369450538897624)","D5E2B471-1310-4AA8-BCA5-36D320C72EB1","Zelkova serrata - Japanese zelkova","2015-03-16 04:00:00.0000000","2019-07-19 12:57:32.0000000",,"6","2019-07-19 08:57:31.0000000","POINT (-73.81076406562914 40.73694505388976)"
"104457","22","Full","Good",,"DDDEABE0-7808-489E-B7F1-D4FD927277D0","POINT (-74.0909467681500615 40.6236943143558662)","C9E549A4-F080-4657-85F9-8F5F5E1A4ABD","Platanus x acerifolia - London planetree","2015-03-16 04:00:00.0000000",,,,,"POINT (-74.09094676815006 40.623694314355866)"
"104458","54","Retired","Dead","54","6C95820D-9FC5-48C6-B5FC-887A82A2ABB4","POINT (-74.0907966576034767 40.6235972782268746)","CED8A334-1CF3-46D1-9D2A-2BE3A22221DD","Platanus x acerifolia - London planetree","2015-03-16 04:00:00.0000000","2022-12-21 15:07:00.0000000",,,,"POINT (-74.09079665760348 40.623597278226875)"
"104459","40","Full","Good",,"DAC57B38-472F-426D-BC3F-4BD90FE2CD60","POINT (-74.0907169154734788 40.6237893222403628)","216A7E95-747D-4194-8889-1D82F63C8F37","Platanus x acerifolia - London planetree","2015-03-16 04:00:00.0000000",,,,,"POINT (-74.09071691547348 40.62378932224036)"
"104461","40","Full","Fair",,"9C469FD7-4763-489D-BFC8-5726F86949E1","POINT (-74.0921629480700830 40.6235948455190510)","927363D4-1657-4A33-AC52-BAD96AEF2341","Platanus x acerifolia - London planetree","2015-03-16 04:00:00.0000000","2022-06-09 18:08:25.0000000",,"7","2022-06-09 18:08:25.0000000","POINT (-74.09216294807008 40.62359484551905)"
"104462","22","Full","Good",,"894338B5-E8A4-40BB-9273-4D9B17B220D3","POINT (-74.0923247397990963 40.6235720808869232)","18C38D34-05AA-45E0-950F-DD38B435006B","Platanus x acerifolia - London planetree","2015-03-16 04:00:00.0000000","2016-05-20 13:11:23.0000000",,,,"POINT (-74.0923247397991 40.62357208088692)"
"104463","22","Full","Good",,"65ED05B7-CB67-4DE6-90BD-556AED323D90","POINT (-74.0926889694302133 40.6234765120617567)","67CBC952-CD1A-48A5-984A-8DF68E43629C","Platanus x acerifolia - London planetree","2015-03-16 04:00:00.0000000",,,,,"POINT (-74.09268896943021 40.62347651206176)"
"104464","30","Full","Good",,"3977212F-57DE-437A-90E3-8309555A01A5","POINT (-74.0929146967126542 40.6234107110127880)","3AE7733A-F83E-4C4B-ABF0-76F8B2A61E82","Platanus x acerifolia - London planetree","2015-03-16 04:00:00.0000000","2016-10-17 14:46:36.0000000",,,,"POINT (-74.09291469671265 40.62341071101279)"
"104465","6","Full","Good",,"78858A79-C7E6-4434-871C-398D6BEB9695","POINT (-74.0930012378111797 40.6232760369888481)","1DC5B598-C73F-4BB8-A3A2-7E16B954A5AA","Pyrus calleryana - Callery pear","2015-03-16 04:00:00.0000000",,,,,"POINT (-74.09300123781118 40.62327603698885)"
"104466","14","Full","Good",,"7172C558-AAA5-4035-A19C-76C87328E0AD","POINT (-73.9861800770067646 40.6315053420318506)","74B300A6-1D9E-4BBC-9442-C8646ED90D89","Styphnolobium japonicum - Japanese pagoda tree","2015-03-16 04:00:00.0000000","2022-02-21 18:27:51.0000000",,"5","2022-02-21 18:27:51.0000000","POINT (-73.98618007700676 40.63150534203185)"
"104467","10","Full","Fair",,"8B8D11CF-98B8-4C04-A18E-EC7342340B1B","POINT (-73.9222667606852468 40.6714946370068660)","54DD20BC-D45B-43A4-A5E1-971B2F43A486","Zelkova serrata - Japanese zelkova","2015-03-16 04:00:00.0000000","2021-08-25 18:28:17.0000000",,"6","2021-08-25 18:28:17.0000000","POINT (-73.92226676068525 40.671494637006866)"
"104468","20","Full","Fair",,"8FE0F049-37A6-496B-835A-5C785F1B12B6","POINT (-73.9076221273179215 40.8191937605968462)","1BCEA3E7-A1BA-4D46-B52E-D9EC56963BA6","Gleditsia triacanthos var. inermis - Thornless honeylocust","2015-03-16 04:00:00.0000000","2023-07-21 13:46:32.0000000",,"7","2023-07-21 13:46:32.0000000","POINT (-73.90762212731792 40.819193760596846)"
"104824","40","Full","Good",,"A4FB48E9-C762-4F1F-80F5-A6D5C5AE771F","POINT (-74.0908891508922380 40.6232008948682761)","D90D0A32-AFED-4F76-81EE-F59DACFB5559","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09088915089224 40.623200894868276)"
"104825","40","Full","Good",,"8F6E0512-D992-480C-B687-FA7E0BB9C06D","POINT (-74.0911644427434908 40.6229492504778023)","6FC9A45E-824C-4ED1-B337-6AB1A400E44E","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09116444274349 40.6229492504778)"
"104826","40","Full","Fair",,"26ADDBD9-3301-4008-AAB0-7A64754AF151","POINT (-74.0912331647227518 40.6226149053930072)","F7C47E6E-7511-441A-AB68-36254883EF84","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2023-02-23 15:03:53.0000000",,"6","2023-02-23 15:03:53.0000000","POINT (-74.09123316472275 40.62261490539301)"
"104827","38","Full","Fair",,"09C75E97-FCA0-4E1C-84BE-52DF8812FDB5","POINT (-74.0914095461483129 40.6222794659910917)","F1ECF048-EDEC-46E9-B4A2-0B0F8A299D00","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2021-05-19 14:57:11.0000000",,"10","2021-05-19 14:57:11.0000000","POINT (-74.09140954614831 40.62227946599109)"
"104828","22","Full","Good",,"7C0B84D6-79C7-48DD-9554-45D35F5D091C","POINT (-74.0912038399307278 40.6222562351586305)","E12FD310-AE01-4FDB-B537-C9CCB08C0C01","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09120383993073 40.62225623515863)"
"104829","45","Full","Fair",,"58DDB2E2-558B-469C-99AD-E10D40ECC029","POINT (-74.0915379403812864 40.6220261973019632)","DD0D6B40-EEDA-4B3A-966D-7FFE204D9E0D","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2023-02-20 18:01:24.0000000",,"7","2023-02-20 18:01:24.0000000","POINT (-74.09153794038129 40.62202619730196)"
"104830","45","Full","Good",,"3B83B8EB-31F1-46F5-96C4-CCA2E6BCED8F","POINT (-74.0915894172653537 40.6219240071238303)","FEFD536F-C32E-4182-AFEF-F9BE39379849","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09158941726535 40.62192400712383)"
"104831","0","Retired","Dead","22","D0CC7FE3-8ED5-4A12-BA6F-9390D2AB2880","POINT (-73.9075322777608363 40.7018784753359100)","CCC885D6-89BD-4BB6-BE54-F6A2342E8FC0","Acer saccharinum - silver maple","2015-03-17 04:00:00.0000000","2018-11-15 14:34:00.0000000",,,,"POINT (-73.90753227776084 40.70187847533591)"
"104832","50","Full","Good",,"94255C24-6544-4DAD-9EDA-21D601188F8C","POINT (-74.0910579415069037 40.6224347148724760)","F7A4F666-5253-4960-A082-C7C7477B4788","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2016-10-17 15:07:52.0000000",,,,"POINT (-74.0910579415069 40.622434714872476)"
"104833","50","Full","Good",,"3C7937BC-7CD0-4943-877E-A0E60658C916","POINT (-74.0909334734470235 40.6224197530580895)","217B5D50-5F63-4BEC-B30F-8E2D76365C47","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09093347344702 40.62241975305809)"
"104834","30","Full","Good",,"649F6C82-EF73-429C-B4CB-661B0CA81B1A","POINT (-74.0907936299434624 40.6224280745197888)","773EE8FE-7551-46CF-8423-74A5ABB08A81","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09079362994346 40.62242807451979)"
"104835","32","Full","Good",,"9411869C-27ED-4AF1-AAFF-87870063BFFE","POINT (-74.0907344662354319 40.6225564848865659)","1019F336-4AF9-4398-9AE7-0514F0998611","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2016-10-17 15:03:53.0000000",,,,"POINT (-74.09073446623543 40.622556484886566)"
"104836","36","Full","Good",,"B4E0C8CF-8FCE-4BD3-B005-829A8AF236A1","POINT (-74.0906334799029338 40.6225915166199627)","3ED13F6E-F36D-41FB-A6EA-F0113FBD0554","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09063347990293 40.62259151661996)"
"104837","45","Full","Good",,"BDD3C57A-BC59-41F9-94A8-D2185E0E0A61","POINT (-74.0898924663981120 40.6226009686810912)","88513C02-14C0-4F88-8F83-BA08D368BA7F","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2016-10-12 18:52:04.0000000",,,,"POINT (-74.08989246639811 40.62260096868109)"
"104838","29","Retired","Good",,"8E09F91F-6D56-4A68-B8E5-3232169C259E","POINT (-73.9207366322598318 40.7747347289708770)","3D41F28C-5D2F-490D-BF24-43FFC4357220","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2017-11-21 04:11:11.0000000",,"9","2017-02-28 12:31:18.0000000","POINT (-73.92073663225983 40.77473472897088)"
"104839","17","Retired","Poor",,"3C826FC6-8548-4A2B-A8C2-21BA9AC7F3BE","POINT (-73.7924384951903107 40.7362434913427620)","3D5636B4-C3B3-4926-A1DB-7C068426DA44","Acer rubrum - red maple","2015-03-17 04:00:00.0000000","2019-08-15 13:27:04.0000000",,,,"POINT (-73.79243849519031 40.73624349134276)"
"104840","35","Stump","Critical",,"CFBA291A-F799-4E0D-A35B-71D46A3838CB","POINT (-73.7591471680735964 40.7073038886312517)","9BCEFCE7-3A1F-47E7-A0FD-9859FD555BE2","Acer saccharinum - silver maple","2015-03-17 04:00:00.0000000","2020-08-26 21:57:00.0000000",,"10","2020-08-26 17:05:00.0000000","POINT (-73.7591471680736 40.70730388863125)"
"104841","26","Full","Fair",,"09974A4A-2637-4CB5-9540-BB6559C25C73","POINT (-73.7591370848422940 40.7072782542157938)","57EBE378-9736-4B03-865A-CABB29D7C3AF","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2019-05-16 17:04:31.0000000",,"8","2019-05-16 13:04:30.0000000","POINT (-73.7591370848423 40.707278254215794)"
"104842","26","Full","Good",,"2A5712B0-134A-48E0-91B4-E00A8461E84A","POINT (-74.0888046450521216 40.6235137582420549)","C61DB9E7-28E0-4DE6-BD33-E7B47A888D8B","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.08880464505212 40.623513758242055)"
"104843","32","Full","Good",,"38AACD82-0C44-456B-8CAA-9BFA2ECCD710","POINT (-74.0887042321704001 40.6233671752224126)","688CC828-CB63-4824-BC85-7C93F906A135","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.0887042321704 40.62336717522241)"
"104844","50","Full","Good",,"AD4AEB64-E996-481D-89DC-AEFC30930F8A","POINT (-74.0894373412003091 40.6234506499116748)","D3ADD0B4-CAEE-46B6-A7C3-A8E20354F26D","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2016-10-12 19:18:13.0000000",,,,"POINT (-74.08943734120031 40.623450649911675)"
"104845","38","Full","Good",,"653BEC06-98E4-424D-929B-20887BF14D78","POINT (-74.0899076747667351 40.6234444938254171)","8AF4B712-C6DB-4C2C-8FEC-179FCBE795FE","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.08990767476674 40.62344449382542)"
"104846","35","Full","Good",,"EA67FAD7-545B-4815-B49C-600135053DC3","POINT (-74.0904405932104879 40.6234161515628998)","0861950F-D868-46DE-9D2B-0D3442DB6689","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09044059321049 40.6234161515629)"
"104847","38","Full","Good",,"98D6A480-3CCE-4038-AF31-A32A8AC24C7C","POINT (-74.0922300974292938 40.6231634441141978)","02E8D3C4-4072-4073-BA76-CCE2ADB65D51","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.0922300974293 40.6231634441142)"
"104848","6","Full","Good",,"9320516F-3879-45EE-A565-5F2858522D45","POINT (-74.0920344415153238 40.6230938740359022)","FC8E9608-DE3E-464B-9F9B-19A0AB7DCE9C","Pyrus calleryana - Callery pear","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09203444151532 40.6230938740359)"
"104849","38","Full","Good",,"C6E6F903-778D-4481-B4F9-FF41A6732F9D","POINT (-74.0923760338196615 40.6226274273603920)","3151D4F0-0CBD-44B9-B8BE-9957CB9E38E7","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2016-10-17 16:01:48.0000000",,,,"POINT (-74.09237603381966 40.62262742736039)"
"104850","7","Full","Good",,"E039417C-98D6-4F4F-B961-A8A4D0292CE4","POINT (-74.0923761313750617 40.6226653803298348)","26263385-112D-4B6D-ADC7-70AA0CCFC904","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09237613137506 40.622665380329835)"
"104851","29","Full","Fair",,"D2045E66-7662-4432-A750-9E268F76B4C2","POINT (-73.8503257106779500 40.7850842458455034)","AFCB7EF3-0E4C-4C2C-ACDA-87C86BA2362E","Fraxinus pennsylvanica - Green ash","2015-03-17 04:00:00.0000000","2022-07-18 14:25:37.0000000",,"6","2022-07-18 14:25:37.0000000","POINT (-73.85032571067795 40.7850842458455)"
"104852","6","Full","Good",,"B8E35AFD-3F30-4421-B2E4-646CE98B2687","POINT (-74.0924360602059267 40.6225058648549862)","EC75C21D-0A4C-47AB-9185-FC231CEC84C2","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2016-10-17 16:02:53.0000000",,,,"POINT (-74.09243606020593 40.622505864854986)"
"104853","7","Full","Good",,"282219E8-4807-4DEA-B3BB-8A467B69C30C","POINT (-74.0925834967860197 40.6222496330392815)","F436F689-3833-4FBF-8481-2640D783290D","Prunus serrulata 'Not Green leaf' - 'Not Green leaf' Japanese flowering cherry","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09258349678602 40.62224963303928)"
"104854","50","Full","Good",,"AA186734-EFC3-478F-84E4-5E45895FE3D7","POINT (-74.0927200688994816 40.6219942423769496)","477F45C1-381C-46BA-B360-F04F2E57DD8B","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09272006889948 40.62199424237695)"
"104855","36","Full","Good",,"47C6CEA2-399A-4FD4-B167-B7E9D0729DB9","POINT (-74.0925199199719771 40.6219545297951399)","A584D9B5-D51C-4957-845E-21103F303645","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09251991997198 40.62195452979514)"
"104856","8","Full","Good",,"D1181E4B-6F78-49D0-97A6-71098B1237E2","POINT (-74.0927913074907281 40.6218461931037140)","B94B6865-ACB9-47C9-9833-2553535B8C1B","Acer - maple","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09279130749073 40.621846193103714)"
"104857","26","Full","Fair",,"90601B5C-F889-45FA-9C26-DDB892B909CF","POINT (-73.9344950337302151 40.6662063809488075)","A5012C7E-102F-4BC0-8F9E-E19A620027A7","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2016-10-13 14:40:49.0000000",,,,"POINT (-73.93449503373022 40.66620638094881)"
"104858","16","Full","Good",,"0FAA5A27-11AE-4D12-A2B8-A01AA98CFF31","POINT (-74.1309493889581859 40.6355665985754158)","D61C935A-479B-48CE-9F60-A08FD7EE8151","Tilia cordata - littleleaf linden","2015-03-17 04:00:00.0000000","2022-03-16 01:50:19.0000000",,"4","2022-03-16 01:50:19.0000000","POINT (-74.13094938895819 40.635566598575416)"
"104860","11","Full","Good",,"B2DB6BF1-3CAF-459D-A76D-7E33883E822B","POINT (-74.1301777637616084 40.6377358697002933)","C88AA359-0584-457A-9639-F514DB083DF6","Pyrus calleryana - Callery pear","2015-03-17 04:00:00.0000000","2022-03-16 02:28:57.0000000",,"3","2022-03-16 02:28:57.0000000","POINT (-74.13017776376161 40.63773586970029)"
"104861","24","Full","Fair",,"1A359B96-1552-4D98-BF15-E143EE402885","POINT (-73.8663607387877619 40.7239830501542386)","FF9F12A6-4334-45B6-9AF4-2D330EA053C8","Acer platanoides - Norway maple","2015-03-17 04:00:00.0000000","2017-11-21 04:11:11.0000000",,"9","2017-10-30 17:05:53.0000000","POINT (-73.86636073878776 40.72398305015424)"
"105223","8","Full","Good",,"44DC10D3-4370-471C-A678-54A6FA02AFA6","POINT (-74.0909213270963107 40.6248058300297004)","1424F2A9-B6AF-44D6-A32F-A4D76BFC5A15","Acer - maple","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09092132709631 40.6248058300297)"
"105224","7","Full","Good",,"E3D6BEDB-2BF2-4B50-8524-95F4A131D3D1","POINT (-74.0907040041149543 40.6246375812604370)","8C23F527-47DE-4642-95CF-E2FBD4FEE90E","Quercus palustris - pin oak","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09070400411495 40.62463758126044)"
"105225","44","Full","Fair",,"89D29B75-A333-444E-8E47-11E542D5A84A","POINT (-74.0909469330088655 40.6231053589877078)","B28E8C56-1C15-4AD0-B6E1-C81D19BB5EC8","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2022-08-26 16:34:44.0000000",,"9","2022-08-26 16:34:44.0000000","POINT (-74.09094693300887 40.62310535898771)"
"105226","36","Full","Fair",,"88C09F4C-305B-4E8F-BC03-31653501DFFB","POINT (-74.0914802746941490 40.6221024432246409)","FADBB7DF-B2E0-4377-AD3D-62FCE9126F98","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2023-02-20 18:01:58.0000000",,"7","2023-02-20 18:01:58.0000000","POINT (-74.09148027469415 40.62210244322464)"
"105227","26","Full","Good",,"61B6F1EE-CFCF-4B0A-BFBD-3277A6AC46B7","POINT (-74.0908922540583603 40.6225758951614750)","3F75B28F-0075-4370-B1E5-AA425ABEA79A","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09089225405836 40.622575895161475)"
"105228","50","Full","Good",,"EEE3500A-2986-4243-9195-E2B162496519","POINT (-74.0904147545660834 40.6225716278463693)","F9F017CD-5F35-4439-BB38-F182753DFE6A","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2016-10-17 15:06:38.0000000",,,,"POINT (-74.09041475456608 40.62257162784637)"
"105229","10","Full","Fair",,"E1516391-2D40-4A25-88B7-834FB3663242","POINT (-73.7431116874366097 40.7272807132665307)","4E0B8941-3B1B-43C3-A3C6-2794BC5EB38B","Acer ginnala - Amur maple","2015-03-17 04:00:00.0000000","2023-01-17 18:10:06.0000000",,"6","2023-01-17 18:10:06.0000000","POINT (-73.74311168743661 40.72728071326653)"
"105230","34","Full","Good",,"C08E0983-5709-41EC-A3B4-B227CBA8199B","POINT (-74.0897197136337979 40.6226100385027991)","A8C6AB0B-C7EA-43C0-9E42-1118B1EEA385","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2016-10-12 19:03:53.0000000",,,,"POINT (-74.0897197136338 40.6226100385028)"
"105231","28","Full","Good",,"F7D5B4BA-1B5A-40C7-BDDC-99318793CFF0","POINT (-74.0889160019682578 40.6226823786386362)","DB957578-905C-4434-BCE1-B6DBAD491172","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.08891600196826 40.622682378638636)"
"105232","16","Full","Good",,"C5D63C1D-3B4B-45F0-BE1A-C833CEA1B212","POINT (-74.0890759745075229 40.6225147698480953)","6442BEDF-8084-4300-9BBB-963BAC59E1BD","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.08907597450752 40.622514769848095)"
"105233","32","Full","Good",,"AE37B3B3-EFD4-4E33-9C36-27B54F585BC5","POINT (-74.0888616776228162 40.6233606765650919)","FFBA64FD-D64F-4E89-B900-1E885FC73B6E","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.08886167762282 40.62336067656509)"
"105234","16","Full","Good",,"823731E9-3BA9-4C6B-AB72-0FF92D1C089F","POINT (-74.0889847448229517 40.6234795927077172)","66F6D1B5-3A5E-46EC-B2FD-DF6767A20D9F","Acer - maple","2015-03-17 04:00:00.0000000","2016-10-12 19:18:53.0000000",,,,"POINT (-74.08898474482295 40.62347959270772)"
"105235","36","Full","Good",,"9458C54C-825D-40A2-A342-5EC74ADABBBB","POINT (-73.7978134836341155 40.7800330192960345)","D3FD85FA-1140-4D8F-A41C-2CCD7C736949","Quercus palustris - pin oak","2015-03-17 04:00:00.0000000","2017-08-02 12:52:55.0000000",,,,"POINT (-73.79781348363412 40.780033019296035)"
"105236","25","Stump","Poor",,"4FFA5511-861B-4A76-9925-FE15F8861A95","POINT (-73.7972053614065260 40.7689939850778416)","4D8FB3C9-A5B4-44B5-8DA6-E2EC40797220","Acer platanoides - Norway maple","2015-03-17 04:00:00.0000000","2019-09-25 18:40:00.0000000",,,,"POINT (-73.79720536140653 40.76899398507784)"
"105237","45","Full","Good",,"ED632A55-D630-4CBB-B9C8-53918F2A258C","POINT (-74.0896399780591537 40.6233191354801164)","5C486360-1064-44C2-95BA-C8BF3CC21B8B","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.08963997805915 40.623319135480116)"
"105238","38","Full","Fair",,"EBBEA54B-7938-49E6-825F-23F77DA65245","POINT (-74.0903039899327638 40.6232832405909789)","490C2FF9-135B-46C0-95E4-2FAF0C33D4D5","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000",,,,,"POINT (-74.09030398993276 40.62328324059098)"
"105239","30","Full","Good",,"6501607F-783C-4ECF-8B37-1F589F052915","POINT (-74.0906018708554228 40.6232738534811801)","49948DBB-1A00-49A7-9CB7-5EC650C55B1B","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2016-10-17 15:23:09.0000000",,,,"POINT (-74.09060187085542 40.62327385348118)"
"105240","38","Full","Good",,"82AE28DC-4F22-4A7E-9EF8-8E62350C6AEF","POINT (-74.0922232835650902 40.6229682662440297)","CBDDDB05-63BA-441E-A9D3-5D6C89872F94","Platanus x acerifolia - London planetree","2015-03-17 04:00:00.0000000","2019-10-04 18:44:00.0000000",,,,"POINT (-74.09222328356509 40.62296826624403)"
