"boro_block_lot","address","neighborhood","building_classification","total_units","year_built","gross_sqft","estimated_gross_income","gross_income_per_sqft","estimated_expense","expense_per_sqft","net_operating_income","full_market_value","market_value_per_sqft","boro_block_lot_1","address_1","neighborhood_1","building_classification_1","total_units_1","year_built_1","gross_sqft_1","estimated_gross_income_1","gross_income_per_sqft_1","estimated_expense_1","expense_per_sqft_1","net_operating_income_1","full_market_value_1","market_value_per_sqft_1","distance_from_co_op_in_miles","boro_block_lot_2","address_2","neighborhood_2","building_classification_2","total_units_2","year_built_2","gross_sqft_2","estimated_gross_income_2","gross_income_per_sqft_2","estimated_expense_2","expense_per_sqft_2","net_operating_income_2","full_market_value_2","market_value_per_sqft_2","distance_from_co_op_in_miles_1","boro_block_lot_3","address_3","neighborhood_3","building_classification_3","total_units_3","year_built_3","gross_sqft_3","estimated_gross_income_3","gross_income_per_sqft_3","estimated_expense_3","expense_per_sqft_3","net_operating_income_3","full_market_value_3","market_value_per_sqft_3","distance_from_co_op_in_miles_2","report_year"
"1-00519-0036","2 KING STREET","SOHO","D4  -ELEVATOR","41","1963","33100","1705643","51.53","528938","15.98","1176705","9557000","288.73","1-00501-0006","423 WEST BROADWAY","SOHO","D7  -ELEVATOR","28","1910","20670","1078354","52.17","308190","14.91","770164","10328000","499.66","0.19","1-00488-0037","508 BROOME STREET","SOHO","D5  -ELEVATOR","14","1900","21598","1062622","49.2","317059","14.68","745563","6124000","283.54","0.22","1-00504-0019","202 AVENUE OF THE AMERICAS","SOHO","D9  -ELEVATOR","40","1910","21740","1120262","51.53","347405","15.98","772857","8541000","392.87","0.09","2019"
"1-00519-0044","208 AVENUE OF THE AMERICAS","SOHO","D4  -ELEVATOR","49","1930","33204","1745202","52.56","418702","12.61","1326500","10772000","324.42","1-00504-0019","202 AVENUE OF THE AMERICAS","SOHO","D9  -ELEVATOR","40","1910","21740","1155481","53.15","325448","14.97","830033","8541000","392.87","0.09","1-00488-0037","508 BROOME STREET","SOHO","D5  -ELEVATOR","14","1900","21598","1097610","50.82","295029","13.66","802581","6124000","283.54","0.22","1-00590-0034","7 CORNELIA STREET","GREENWICH VILLAGE-WEST","D7  -ELEVATOR","49","1900","26480","1391789","52.56","237526","8.97","1154263","12897000","487.05","0.31","2019"
"1-00519-0051","11 CHARLTON STREET","SOHO","D4  -ELEVATOR","20","1910","14700","738822","50.26","258573","17.59","480249","3900000","265.31","1-00592-0042","84 GROVE STREET","GREENWICH VILLAGE-WEST","D1  -ELEVATOR","20","1885","16400","814096","49.64","210576","12.84","603520","3960000","241.46","0.42","1-00543-0048","136 WEST 4 STREET","GREENWICH VILLAGE-CENTRAL","D1  -ELEVATOR","30","1929","20874","1062069","50.88","301003","14.42","761066","4611000","220.9","0.28",,,,,,,,,,,,,,,,"2019"
"1-00520-0029","185 WEST HOUSTON STREET","SOHO","D4  -ELEVATOR","63","1962","47100","2199099","46.69","615597","13.07","1583502","12859000","273.01","1-00501-0006","423 WEST BROADWAY","SOHO","D7  -ELEVATOR","28","1910","20670","1026266","49.65","314391","15.21","711875","10328000","499.66","0.28","1-00488-0037","508 BROOME STREET","SOHO","D5  -ELEVATOR","14","1900","21598","1008411","46.69","323322","14.97","685089","6124000","283.54","0.29","1-00590-0022","12 JONES STREET","GREENWICH VILLAGE-WEST","D1  -ELEVATOR","59","1920","48544","2255840","46.47","700975","14.44","1554865","18812000","387.52","0.27","2019"
"1-00520-0056","47 KING STREET","SOHO","C6  -WALK-UP","13","1900","9924","437648","44.1","161960","16.32","275688","2239000","225.61","1-00489-0007","67 SULLIVAN STREET","SOHO","C1  -WALK-UP","12","1900","9110","396376","43.51","122712","13.47","273664","1656000","181.78","0.26","1-00489-0005","63 SULLIVAN STREET","SOHO","C1  -WALK-UP","13","1989","9110","401751","44.1","128269","14.08","273482","1734000","190.34","0.26","1-00520-0045","25 KING STREET","SOHO","C5  -WALK-UP","13","1920","7270","322570","44.37","113485","15.61","209085","2990000","411.28","0","2019"
"1-00521-0030","308 MOTT STREET","GREENWICH VILLAGE-CENTRAL","C6  -WALK-UP","40","1900","17626","772371","43.82","146825","8.33","625546","5081000","288.27","1-00521-0026","302 MOTT STREET","GREENWICH VILLAGE-CENTRAL","C1  -WALK-UP","48","1905","20227","886347","43.82","114080","5.64","772267","6877000","339.99","0","1-00521-0013","307 MOTT STREET","GREENWICH VILLAGE-CENTRAL","C5  -WALK-UP","42","1880","16100","700833","43.53","121877","7.57","578956","6191000","384.53","0.04","1-00540-0025","224 SULLIVAN STREET","GREENWICH VILLAGE-CENTRAL","C5  -WALK-UP","88","1900","26625","1245784","46.79","260925","9.8","984859","12872000","483.46","0.46","2019"
"1-00521-0034","316 MOTT STREET","GREENWICH VILLAGE-CENTRAL","C6  -WALK-UP","21","1900","10985","561224","51.09","133578","12.16","427646","3473000","316.16","1-00521-0026","302 MOTT STREET","GREENWICH VILLAGE-CENTRAL","C1  -WALK-UP","48","1905","20227","1033397","51.09","245960","12.16","787437","6877000","339.99","0","1-00521-0013","307 MOTT STREET","GREENWICH VILLAGE-CENTRAL","C5  -WALK-UP","42","1880","16100","817880","50.8","226849","14.09","591031","6191000","384.53","0.04","1-00540-0025","224 SULLIVAN STREET","GREENWICH VILLAGE-CENTRAL","C5  -WALK-UP","88","1900","26625","1439348","54.06","434254","16.31","1005094","12872000","483.46","0.46","2019"
"1-00521-0071","10 BLEECKER STREET","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","23","1900","40607","1807824","44.52","492563","12.13","1315261","10682000","263.06","1-00570-0008","6 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","54","1900","49408","2127508","43.06","547441","11.08","1580067","14467000","292.81","0.67","1-00558-0018","122 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","16","1900","10225","455217","44.52","124029","12.13","331188","2833000","277.07","0.57","1-00558-0044","115 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","69","1900","41750","1880003","45.03","620405","14.86","1259598","13459000","322.37","0.57","2019"
"1-00523-0032","200 MERCER STREET","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","28","1940","52000","2103920","40.46","774800","14.9","1329120","10794000","207.58","1-00532-0030","81 BLEECKER STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","43","1900","26382","1099074","41.66","369876","14.02","729198","10484000","397.39","0.1","1-00543-0048","136 WEST 4 STREET","GREENWICH VILLAGE-CENTRAL","D1  -ELEVATOR","30","1929","20874","844562","40.46","311023","14.9","533539","4611000","220.9","0.36","1-00570-0008","6 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","54","1900","49408","1941240","39.29","608707","12.32","1332533","14467000","292.81","0.6","2019"
"1-00525-0040","180 THOMPSON STREET","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","64","1920","27000","1435050","53.15","515430","19.09","919620","7469000","276.63","1-00563-0043","63 EAST 11 STREET","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","42","1970","23353","1218092","52.16","364073","15.59","854019","6936000","297.01","0.54","1-00558-0044","115 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","69","1900","41750","2543410","60.92","885935","21.22","1657475","13459000","322.37","0.66","1-00558-0018","122 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","16","1900","10225","543970","53.2","195195","19.09","348775","2833000","277.07","0.66","2019"
"1-00526-0023","192 BLEECKER STREET","GREENWICH VILLAGE-CENTRAL","C6  -WALK-UP","23","1900","11343","738543","65.11","212908","18.77","525635","4269000","376.36","1-00526-0024","190 BLEECKER STREET","GREENWICH VILLAGE-CENTRAL","C7  -WALK-UP","27","1900","11777","771394","65.5","229063","19.45","542331","5445000","462.34","0","1-00542-0061","203 BLEECKER STREET","GREENWICH VILLAGE-CENTRAL","C7  -WALK-UP","19","1900","9190","594685","64.71","166247","18.09","428438","3255000","354.19","0.07",,,,,,,,,,,,,,,,"2019"
"1-00527-0010","32 DOWNING STREET","GREENWICH VILLAGE-WEST","D4  -ELEVATOR","20","1910","10000","477400","47.74","71600","7.16","405800","3296000","329.6","1-00582-0020","60 LEROY STREET","GREENWICH VILLAGE-WEST","D1  -ELEVATOR","37","1941","22242","1061833","47.74","285142","12.82","776691","6307000","283.56","0.15","1-00592-0080","125 WEST WASHINGTON PLACE","GREENWICH VILLAGE-WEST","D1  -ELEVATOR","30","1926","17688","834343","47.17","257007","14.53","577336","4689000","265.09","0.29","1-00633-0013","326 WEST 11 STREET","GREENWICH VILLAGE-WEST","D1  -ELEVATOR","31","1920","19260","933725","48.48","198956","10.33","734769","5967000","309.81","0.5","2019"
"1-00527-0084","13 DOWNING STREET","GREENWICH VILLAGE-WEST","C6  -WALK-UP","16","1920","8656","361561","41.77","82405","9.52","279156","2267000","261.9","1-00586-0009","26 LEROY STREET","GREENWICH VILLAGE-WEST","C5  -WALK-UP","24","1907","11934","484640","40.61","130797","10.96","353843","2678000","224.4","0.04","1-00590-0038","15 CORNELIA STREET","GREENWICH VILLAGE-WEST","C4  -WALK-UP","16","1920","6740","281530","41.77","64165","9.52","217365","2557000","379.38","0.14","1-00590-0021","14 JONES STREET","GREENWICH VILLAGE-WEST","C4  -WALK-UP","20","1920","9395","397221","42.28","83897","8.93","313324","2985000","317.72","0.14","2019"
"1-00527-0094","26 BEDFORD STREET","GREENWICH VILLAGE-WEST","C6  -WALK-UP","16","1900","7000","362530","51.79","90650","12.95","271880","2208000","315.43","1-00586-0009","26 LEROY STREET","GREENWICH VILLAGE-WEST","C5  -WALK-UP","24","1907","11934","604099","50.62","135332","11.34","468767","2678000","224.4","0.04","1-00590-0021","14 JONES STREET","GREENWICH VILLAGE-WEST","C4  -WALK-UP","20","1920","9395","491265","52.29","87467","9.31","403798","2985000","317.72","0.14","1-00590-0038","15 CORNELIA STREET","GREENWICH VILLAGE-WEST","C4  -WALK-UP","16","1920","6740","349065","51.79","66793","9.91","282272","2557000","379.38","0.14","2019"
"1-00528-0033","44 DOWNING STREET","GREENWICH VILLAGE-WEST","C6  -WALK-UP","20","1900","14227","516156","36.28","134161","9.43","381995","3102000","218.04","1-00611-0024","200 WAVERLY PLACE","GREENWICH VILLAGE-WEST","C1  -WALK-UP","24","1900","17166","622782","36.28","152949","8.91","469833","9997000","582.37","0.43","1-00611-0067","135 WEST 10 STREET","GREENWICH VILLAGE-WEST","C1  -WALK-UP","25","1900","16968","617466","36.39","150676","8.88","466790","7796000","459.45","0.45","1-00590-0078","11 JONES STREET","GREENWICH VILLAGE-WEST","C4  -WALK-UP","20","1900","9725","350003","35.99","127300","13.09","222703","4227000","434.65","0.25","2019"
"1-00528-0036","38 DOWNING STREET","GREENWICH VILLAGE-WEST","C6  -WALK-UP","20","1900","8375","245974","29.37","49161","5.87","196813","1598000","190.81","1-00586-0009","26 LEROY STREET","GREENWICH VILLAGE-WEST","C5  -WALK-UP","24","1907","11934","350502","29.37","78168","6.55","272334","2678000","224.4","0.11","1-00590-0060","23 BARROW STREET","GREENWICH VILLAGE-WEST","C5  -WALK-UP","16","1875","8065","242192","30.03","61939","7.68","180253","2547000","315.81","0.25","1-00586-0056","14 MORTON STREET","GREENWICH VILLAGE-WEST","C4  -WALK-UP","20","1910","9305","247792","26.63","56202","6.04","191590","2439000","262.12","0.15","2019"
"1-00528-0086","55 1/2 DOWNING STREET","GREENWICH VILLAGE-WEST","C6  -WALK-UP","20","1900","12750","447398","35.09","102893","8.07","344505","2798000","219.45","1-00586-0009","26 LEROY STREET","GREENWICH VILLAGE-WEST","C5  -WALK-UP","24","1907","11934","418764","35.09","104303","8.74","314461","2678000","224.4","0.09","1-00590-0060","23 BARROW STREET","GREENWICH VILLAGE-WEST","C5  -WALK-UP","16","1875","8065","288243","35.74","79602","9.87","208641","2547000","315.81","0.23","1-00586-0056","14 MORTON STREET","GREENWICH VILLAGE-WEST","C4  -WALK-UP","20","1910","9305","301017","32.35","76580","8.23","224437","2439000","262.12","0.12","2019"
"1-00529-0001","644 BROADWAY","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","16","1900","55065","2953136","53.63","906370","16.46","2046766","16623000","301.88","1-00477-0001","80 VARICK STREET","SOHO","D5  -ELEVATOR","61","1920","125235","6678783","53.33","2060116","16.45","4618667","17950000","143.33","0.58","1-00016-0221","450 NORTH END AVENUE","TRIBECA","D8  -ELEVATOR","152","1998","244617","13118810","53.63","4026396","16.46","9092414","64777000","264.81","1.53","1-00134-0011","33 WARREN STREET","CIVIC CENTER","D6  -ELEVATOR","20","1930","30999","1704325","54.98","566352","18.27","1137973","8581000","276.82","1.1","2019"
"1-00529-0005","652 BROADWAY","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","18","1908","45240","2386410","52.75","926515","20.48","1459895","11855000","262.05","1-00532-0025","643 BROADWAY","GREENWICH VILLAGE-CENTRAL","D9  -ELEVATOR","19","1920","11250","596363","53.01","189338","16.83","407025","5014000","445.69","0.06","1-00571-0012","18 EAST 14 STREET","GREENWICH VILLAGE-CENTRAL","D9  -ELEVATOR","27","1900","24125","1266321","52.49","458858","19.02","807463","9061000","375.59","0.61",,,,,,,,,,,,,,,,"2019"
"1-00529-0027","35 BOND STREET","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","15","1910","43020","2478812","57.62","922779","21.45","1556033","12637000","293.75","1-00548-0070","300 MERCER STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","486","1976","489709","30533356","62.35","8217317","16.78","22316039","181224000","370.06","0.26","1-00521-0075","312 BOWERY","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","24","1920","23000","1189100","51.7","203320","8.84","985780","8007000","348.13","0.15","1-00562-0044","25 EAST 10 STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","62","1929","45496","2621480","57.62","975889","21.45","1645591","13362000","293.7","0.42","2019"
"1-00529-0055","27 BLEECKER STREET","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","16","1910","29600","1643688","55.53","570984","19.29","1072704","8713000","294.36","1-00558-0013","110 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","21","1900","25850","1425369","55.14","269616","10.43","1155753","7738000","299.34","0.51","1-00532-0025","643 BROADWAY","GREENWICH VILLAGE-CENTRAL","D9  -ELEVATOR","19","1920","11250","629100","55.92","135900","12.08","493200","5014000","445.69","0.08",,,,,,,,,,,,,,,,"2019"
"1-00529-0057","33 BLEECKER STREET","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","13","1900","25132","1240767","49.37","393818","15.67","846949","6878000","273.67","1-00548-0070","300 MERCER STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","486","1976","489709","24176933","49.37","7673740","15.67","16503193","181224000","370.06","0.26","1-00530-0038","334 BOWERY","GREENWICH VILLAGE-CENTRAL","D7  -ELEVATOR","15","1909","22448","1217804","54.25","367698","16.38","850106","4574000","203.76","0.09","1-00545-0059","752 BROADWAY","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","180","1909","147773","7248266","49.05","2133842","14.44","5114424","62127000","420.42","0.28","2019"
"1-00530-0007","682 BROADWAY","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","17","1903","37380","1751253","46.85","636955","17.04","1114298","9050000","242.11","1-00548-0070","300 MERCER STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","486","1976","489709","23099574","47.17","8946983","18.27","14152591","181224000","370.06","0.22","1-00521-0075","312 BOWERY","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","24","1920","23000","1061680","46.16","396980","17.26","664700","8007000","348.13","0.17","1-00545-0059","752 BROADWAY","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","180","1909","147773","6923165","46.85","2518052","17.04","4405113","62127000","420.42","0.24","2019"
"1-00530-0044","48 BOND STREET","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","14","2006","45000","2114100","46.98","580050","12.89","1534050","12459000","276.87","1-00477-0001","80 VARICK STREET","SOHO","D5  -ELEVATOR","61","1920","125235","4081409","32.59","1871011","14.94","2210398","17950000","143.33","0.68","1-00174-0023","81 FRANKLIN STREET","CIVIC CENTER","D7  -ELEVATOR","12","1915","25738","1756104","68.23","401513","15.6","1354591","11001000","427.42","0.86","1-00134-0011","33 WARREN STREET","CIVIC CENTER","D6  -ELEVATOR","20","1930","30999","1456333","46.98","399577","12.89","1056756","8581000","276.82","1.16","2019"
"2-02410-0032","320 EAST 151 STREET","MELROSE/CONCOURSE","C6    -WALK-UP","12","1918","7560","142582","18.86","72047","9.53","70535","536000","70.90","2-02275-0037","531 EAST 148 STREET","MOTT HAVEN/PORT MORRIS","C1    -WALK-UP","17","1918","11345","210450","18.55","127858","11.27","82592","866000","76.33","0.44","2-02685-0028","634 PROSPECT AVENUE","MORRISANIA/LONGWOOD","C1    -WALK-UP","25","1906","12325","236147","19.16","123990","10.06","112158","855000","69.37","0.96",,,,,,,,,,,,,,,,"2022"
"1-00530-0062","358 LAFAYETTE STREET","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","13","2014","32227","1894625","58.79","416695","12.93","1477930","12003000","372.45","1-00477-0001","80 VARICK STREET","SOHO","D5  -ELEVATOR","61","1920","125235","7155928","57.14","1390109","11.1","5765819","17950000","143.33","0.64","1-00174-0023","81 FRANKLIN STREET","CIVIC CENTER","D7  -ELEVATOR","12","1915","25738","1609912","62.55","284405","11.05","1325507","11001000","427.42","0.85","1-00134-0011","33 WARREN STREET","CIVIC CENTER","D6  -ELEVATOR","20","1930","30999","1822431","58.79","400817","12.93","1421614","8581000","276.82","1.16","2019"
"1-00531-0001","684 BROADWAY","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","24","1905","59248","2883600","48.67","917752","15.49","1965848","15966000","269.48","1-00548-0070","300 MERCER STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","486","1976","489709","23564797","48.12","8682541","17.73","14882256","181224000","370.06","0.17","1-00548-0001","1 UNIVERSITY PLACE","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","270","1930","218985","10765303","49.16","3464343","15.82","7300960","62558000","285.67","0.21","1-00558-0013","110 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","21","1900","25850","1258120","48.67","400417","15.49","857703","7738000","299.34","0.43","2019"
"1-00531-0027","28 EAST 4 STREET","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","15","1902","31756","1651630","52.01","481421","15.16","1170209","9504000","299.28","1-00548-0070","300 MERCER STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","486","1976","489709","25626472","52.33","8026331","16.39","17600141","181224000","370.06","0.22","1-00521-0075","312 BOWERY","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","24","1920","23000","1180360","51.32","353740","15.38","826620","8007000","348.13","0.16","1-00545-0059","752 BROADWAY","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","180","1909","147773","7685674","52.01","2240239","15.16","5445435","62127000","420.42","0.21","2019"
"1-00531-0045","48 GREAT JONES STREET","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","14","1920","36390","1903197","52.3","599707","16.48","1303490","10587000","290.93","1-00548-0070","300 MERCER STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","486","1976","489709","24152448","49.32","8672746","17.71","15479702","181224000","370.06","0.22","1-00521-0075","312 BOWERY","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","24","1920","23000","1111130","48.31","383870","16.69","727260","8007000","348.13","0.16","1-00545-0059","752 BROADWAY","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","180","1909","147773","7240877","49","2435299","16.48","4805578","62127000","420.42","0.21","2019"
"1-00532-0020","77 BLEECKER STREET","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","251","1930","196920","12626510","64.12","3481546","17.68","9144964","74273000","377.17","1-00548-0070","300 MERCER STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","486","1976","489709","31032859","63.37","9755003","19.92","21277856","181224000","370.06","0.24","1-00548-0001","1 UNIVERSITY PLACE","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","270","1930","218985","14104824","64.41","3941730","18","10163094","62558000","285.67","0.25","1-00558-0013","110 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","21","1900","25850","1652332","63.92","457028","17.68","1195304","7738000","299.34","0.5","2019"
"1-00537-0001","208 THOMPSON STREET","GREENWICH VILLAGE-CENTRAL","C6  -WALK-UP","103","1909","44249","2904062","65.63","823031","18.6","2081031","16901000","381.95","1-00539-0041","167 BLEECKER STREET","GREENWICH VILLAGE-CENTRAL","C7  -WALK-UP","17","1900","9694","636217","65.63","180308","18.6","455909","2853000","294.31","0.04","1-00539-0010","227 SULLIVAN STREET","GREENWICH VILLAGE-CENTRAL","C7  -WALK-UP","20","1900","9780","643426","65.79","206456","21.11","436970","4072000","416.36","0.04","1-00539-0042","169 BLEECKER STREET","GREENWICH VILLAGE-CENTRAL","C7  -WALK-UP","22","1910","12500","774625","61.97","219000","17.52","555625","6759000","540.72","0.04","2019"
"1-00537-0026","534 LA GUARDIA PLACE","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","16","1912","41384","1826690","44.14","559098","13.51","1267592","10295000","248.77","1-00548-0070","300 MERCER STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","486","1976","489709","21346415","43.59","7712917","15.75","13633498","181224000","370.06","0.3","1-00577-0010","58 WEST 14 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","33","1906","37810","1686704","44.61","574334","15.19","1112370","14225000","376.22","0.54","1-00558-0013","110 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","21","1900","25850","1141019","44.14","349234","13.51","791785","7738000","299.34","0.57","2019"
"1-00537-0033","520 LA GUARDIA PLACE","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","14","1900","22390","1107857","49.48","323983","14.47","783874","6366000","284.32","1-00543-0048","136 WEST 4 STREET","GREENWICH VILLAGE-CENTRAL","D1  -ELEVATOR","30","1929","20874","1008005","48.29","320207","15.34","687798","4611000","220.9","0.15","1-00552-0010","82 WEST WASHINGTON PLACE","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","35","1900","27108","1341846","49.5","386018","14.24","955828","7318000","269.96","0.2","1-00532-0030","81 BLEECKER STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","43","1900","26382","1305381","49.48","381748","14.47","923633","10484000","397.39","0.19","2019"
"1-00539-0008","223 SULLIVAN STREET","GREENWICH VILLAGE-CENTRAL","C6  -WALK-UP","21","1900","9580","528241","55.14","139868","14.6","388373","3154000","329.23","1-00540-0025","224 SULLIVAN STREET","GREENWICH VILLAGE-CENTRAL","C5  -WALK-UP","88","1900","26625","1547179","58.11","427598","16.06","1119581","12872000","483.46","0.05","1-00552-0014","78 WEST WASHINGTON PLACE","GREENWICH VILLAGE-CENTRAL","C4  -WALK-UP","20","1900","4460","243561","54.61","62975","14.12","180586","1961000","439.69","0.17","1-00540-0033","212 SULLIVAN STREET","GREENWICH VILLAGE-CENTRAL","C5  -WALK-UP","23","1900","6736","371423","55.14","98346","14.6","273077","1130000","167.76","0.05","2019"
"1-00539-0031","211 THOMPSON STREET","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","97","1930","55800","3128148","56.06","930744","16.68","2197404","17846000","319.82","1-00577-0014","52 WEST 14 STREET","GREENWICH VILLAGE-CENTRAL","D7  -ELEVATOR","19","1900","12800","718720","56.15","206976","16.17","511744","5557000","434.14","0.53","1-00577-0018","44 WEST 14 STREET","GREENWICH VILLAGE-CENTRAL","D7  -ELEVATOR","19","1900","13712","767461","55.97","235709","17.19","531752","4402000","321.03","0.53",,,,,,,,,,,,,,,,"2019"
"1-00542-0011","25 MINETTA LANE","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","65","1940","45720","2280971","49.89","759409","16.61","1521562","12357000","270.28","1-00543-0048","136 WEST 4 STREET","GREENWICH VILLAGE-CENTRAL","D1  -ELEVATOR","30","1929","20874","1016146","48.68","369679","17.71","646467","4611000","220.9","0.04","1-00552-0010","82 WEST WASHINGTON PLACE","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","35","1900","27108","1352418","49.89","450264","16.61","902154","7318000","269.96","0.13","1-00573-0011","60 WEST 10 STREET","GREENWICH VILLAGE-CENTRAL","D1  -ELEVATOR","27","1910","20797","1038810","49.95","360204","17.32","678606","5205000","250.28","0.34","2019"
"1-00542-0025","290 AVENUE OF THE AMERICAS","GREENWICH VILLAGE-CENTRAL","D4  -ELEVATOR","65","1941","54924","2829684","51.52","918879","16.73","1910805","15519000","282.55","1-00543-0048","136 WEST 4 STREET","GREENWICH VILLAGE-CENTRAL","D1  -ELEVATOR","30","1929","20874","1050171","50.31","372183","17.83","677988","4611000","220.9","0.04","1-00552-0010","82 WEST WASHINGTON PLACE","GREENWICH VILLAGE-CENTRAL","D3  -ELEVATOR","35","1900","27108","1396604","51.52","453517","16.73","943087","7318000","269.96","0.13","1-00573-0011","60 WEST 10 STREET","GREENWICH VILLAGE-CENTRAL","D1  -ELEVATOR","27","1910","20797","1072709","51.58","362700","17.44","710009","5205000","250.28","0.34","2019"
"1-00543-0052","141 MAC DOUGAL STREET","GREENWICH VILLAGE-CENTRAL","C6  -WALK-UP","12","1900","13070","666047","50.96","183241","14.02","482806","3921000","300","1-00542-0059","199 BLEECKER STREET","GREENWICH VILLAGE-CENTRAL","C7  -WALK-UP","16","1932","13624","696731","51.14","207630","15.24","489101","4134000","303.44","0.06","1-00525-0021","175 THOMPSON STREET","GREENWICH VILLAGE-CENTRAL","C1  -WALK-UP","85","1900","29559","1506327","50.96","414417","14.02","1091910","11855000","401.06","0.17","1-00552-0070","83 WEST WASHINGTON PLACE","GREENWICH VILLAGE-CENTRAL","C1  -WALK-UP","12","1900","9750","491985","50.46","150345","15.42","341640","2830000","290.26","0.14","2019"
"1-00545-0007","710 BROADWAY","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","11","1900","29351","1439373","49.04","547396","18.65","891977","7244000","246.81","1-00545-0059","752 BROADWAY","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","180","1909","147773","7199501","48.72","2574206","17.42","4625295","62127000","420.42","0.1","1-00548-0070","300 MERCER STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","486","1976","489709","24015329","49.04","9133073","18.65","14882256","181224000","370.06","0.09","1-00557-0022","70 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D6  -ELEVATOR","62","1987","42000","2125200","50.6","684600","16.3","1440600","18414000","438.43","0.25","2019"
"1-00545-0008","712 BROADWAY","GREENWICH VILLAGE-CENTRAL","D0  -ELEVATOR","20","1895","64326","3050982","47.43","930797","14.47","2120185","17219000","267.68","1-00545-0059","752 BROADWAY","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","180","1909","147773","10326377","69.88","2676169","18.11","7650208","62127000","420.42","0.1","1-00564-0011","52 EAST 13 STREET","GREENWICH VILLAGE-CENTRAL","D5  -ELEVATOR","27","1930","34708","1502856","43.3","328685","9.47","1174171","9534000","274.69","0.34","1-00557-0017","60 EAST 12 STREET","GREENWICH VILLAGE-CENTRAL","D7  -ELEVATOR","137","1962","124630","5911201","47.43","1803396","14.47","4107805","33368000","267.74","0.25","2019"
