"tru","start_date","end_date","status_description","street_activity","premise_no","street_name","borough","zip_code","facility_aka","facility_type","bin","block","lot","cross_street_on","cross_street_between","cross_street_and","building_owner_name","contractor_name","air_monitor_name","entire_floor","floor","section","acm_type","acm_amount","acm_unit","abatement_type","procedure_name","latitude","longitude","community_board","council_district","census_tract","bbl","nta"
"TRU0368MN22","2022-05-09T00:00:00.000","2023-02-15T00:00:00.000","Closed","No","15","West 72nd St","Manhattan","10023",,"Residence","1028636","01125","0024",,,,"15 West 72nd St Owners Corp","Advanced Environmental Restoration Corp.","Lawrence Env LLC","No","30","A/B stairwell","vinyl asbestos tile","5","Square Feet","Removal","DEP Variance","40.77671","-73.977102","7","6","157","1011250024","Lincoln Square"
"TRU3049MN19","2019-12-13T00:00:00.000","2020-11-17T00:00:00.000","Closed","No","1180","5th Avenue","Manhattan","10029","Mount Sinai Medical Center","Hospital","1083921","01604","0006",,,,"Mount Sinai Medical Center","Degmor Environmental Services, LLC","Advanced Environmental Corp.","No","8th Floor","Room 006","VAT & Mastic","650","Square Feet","Removal","DEP Variance","40.789971","-73.954245","11","8","168","1016040006","East Harlem South"
"TRU0740MN23","2023-03-31T00:00:00.000","2024-03-28T00:00:00.000","Closed","No","1681","Broadway","Manhattan","10019","Broadway Theatre","Other","1080865","01024","0046",,,,"The Shubert Organization, Inc.","International Asbestos Removal, Inc.","New York Environmental & Analytical Laboratories,","No","Basement","Orchestra Pit Floor","Loose Vermiculite Fill","200","Square Feet","Removal","Full Containment","40.763117","-73.982979","5","3","131","1010240046","Midtown-Midtown South"
"TRU0442BX23","2023-06-08T00:00:00.000","2024-04-04T00:00:00.000","Submitted","No","205","E 238th Street","Bronx","10470","n/a","Residence","2019225","03379","0001",,,,"205 E 238th St Owner's Inc. c/o Platzner Intl.","Abatek Corp.","Environmental Management Services Inc.","No","7th FL","West elevation","black waterproofing behind bricks","4","Square Feet","Removal","Exterior Vertical Surface","40.899339","-73.870372","12","11","44902","2033790001","Woodlawn-Wakefield"
"TRU0618MN20","2020-03-23T00:00:00.000","2021-03-15T00:00:00.000","Closed","No","111","John Street","Manhattan","10038",,"Commercial","1001167","00075","0030",,,,"111 John Street Realty Corp","Acme National Corp.","Crown Air Services LLC","No","4","suite 540","floor tiles","850","Square Feet","Removal","Interior Foam","40.707671","-74.005764","1","1","1502","1000750030","Battery Park City-Lower Manhattan"
"TRU0965MN21","2021-05-24T00:00:00.000","2022-05-13T00:00:00.000","Closed","No","35","Park Avenue","Manhattan","10016",,"Residence","1018885","00891","0003",,,,"35 Park Avenue Corp.","The Asbestos Contractor, Inc.","Livingspring Environmental Services Inc.","No","19","19c bathroom","pipe insulation","8","Linear Feet","Removal","Tent","40.748215","-73.9805","6","4","80","1008910003","Murray Hill-Kips Bay"
"TRU1347MN20","2020-09-03T00:00:00.000","2021-08-10T00:00:00.000","Closed","No","6","Washington Square North","Manhattan","10003",,"Commercial","1080109","00550","0006",,,,"David Alonso","ETS Contracting, Inc.","JLC Environmental Consultants, Inc.","No","3rd","Facades","Window Caulking","3","Square Feet","Removal","Exterior Vertical Surface","40.731021","-73.996165","2","1","59","1005500006","West Village"
"TRU0146BK19","2019-02-01T00:00:00.000","2020-01-31T00:00:00.000","Closed","No","4004","4th Avenue","Brooklyn","11232","K136","School","3010580","00713","0020",,,,"NYC School Construction Authority (NYCSCA)","ABC Construction Contracting Inc.","Core Environmental Consultants, Inc.","No","3rd Floor","Corridor","Pipe Insulation","10","Linear Feet","Removal","Tent","40.651977","-74.006862","7","38","82","3007130020","Sunset Park West"
"TRU0015BK22","2022-01-11T00:00:00.000","2023-01-03T00:00:00.000","Closed","No","807","Bank Street","Brooklyn","11236",,"Commercial","3086072","03880","0012",,,,"807 Bank Street Property LLC","Alba Environmental Inc.","Warren & Panzer, Engineers, P.C.","No","1st Floor","Boiler room","Pipe Insulation","30","Linear Feet","Removal","Subchapter G","40.654982","-73.899203","18","42","1098","3038800012","East New York"
"TRU1945MN20","2020-11-10T00:00:00.000","2021-11-01T00:00:00.000","Closed","No","729","Seventh Avenue","Manhattan","10019",,"Residence","1022699","01001","7501",,,,"729 Acquisitions LLC","New York Insulation, Inc.","Watts Architecture & Engineering, D.P.C.","No","13","East Elevation Exterior Facade","Window Caulk","6","Square Feet","Removal","Exterior Vertical Surface","40.760103","-73.983973","5","4","125","1010017501","Midtown-Midtown South"
"TRU2585MN22","2022-11-08T00:00:00.000","2023-10-17T00:00:00.000","Submitted","No","432","WEST 58TH STREET","Manhattan","10019",,"Commercial","1026893","01067","0044",,,,"MOUNT SINAI REALTY CORP.","PAR Environmental Corporation","Advanced Environmental Corp.","No","4","EAST STAIRCASE","ACM BLACK TAR WATERPROOFING","20","Square Feet","Removal","Tent","40.76904","-73.986299","4","3","139","1010670044","Clinton"
"TRU3278MN19","2020-01-27T00:00:00.000","2020-12-17T00:00:00.000","Submitted","No","2120","First Avenue","Manhattan","10029","2120-2130 First Ave.","Residence","1083955","01701","0001",,,,"1199 Housing Corp.","New York Insulation, Inc.","Assessment Resources & Technologies, Inc.","No","19","Drop # 42","Shelf Angle Tar","10","Square Feet","Removal","DEP Variance","40.791737","-73.938508","11","8","162","1017010001","East Harlem South"
"TRU1506MN21","2021-07-28T00:00:00.000","2022-07-20T00:00:00.000","Postponed","No","160","West 78th Street","Manhattan","10024","PS 87M","School","1030196","01149","0007",,,,"NYC School Construction Authority (NYCSCA)","A.S.A.R. International Corporation","WSP USA Solutions Inc.","No","Roof","Roof #1","Built up roofing materials","21600","Square Feet","Removal","Exterior Foam","40.781958","-73.977638","7","6","161","1011490007","Upper West Side"
"TRU1197MN23","2023-05-25T00:00:00.000","2024-05-16T00:00:00.000","Closed","No","340","West 28th Street","Manhattan","10001",,"Residence","1082796","00751","0001",,,,"Mutual Redevelopment Houses, Inc.","ESG, Inc.","J.C. Broderick & Associates Inc.","No","12","Unit 12C - Bedroom Closet #2","VAT with associated mastic","22","Square Feet","Removal","Tent","40.749317","-73.997308","4","3","97","1007510001","Hudson Yards-Chelsea-Flatiron-Union Square"
"TRU5075QN18","2018-02-26T00:00:00.000","2019-01-30T00:00:00.000","Submitted","No","62-25","30th Avenue","Queens","11377",,"Commercial","4022506","01016","0130",,,,"30th Ave Woodside Holdings, LLC","Fiber Control Inc.","Jet Environmental Testing Inc.","No","1st","Mezzanine Bathroom","Floor Tile","150","Square Feet","Removal","Interior Foam","40.759737","-73.900553","1","22","299","4010160130","park-cemetery-etc-Queens"
"TRU5459BX17","2017-12-26T00:00:00.000","2018-12-18T00:00:00.000","Closed","No","1805","Crotona Avenue","Bronx","10457","Murphy Houses Bldg.#1 Contract #BW 1528389","Residence","2092142","02944","0001",,,,"New York City Housing Authority (NYCHA)","Zoria Housing, LLC","Genesis Environmental Consultants Inc.","No","9th","Exterior Facade Elevations #11&12","Shelf Angle Tar/Flashing","18","Square Feet","Removal","Exterior Vertical Surface","40.84246","-73.893862","6","15","36902","2029440001","East Tremont"
"TRU0513BK21","2021-04-21T00:00:00.000","2022-04-13T00:00:00.000","Closed","No","8815","23rd ave","Brooklyn","11214",,"Residence","3186511","06888","0019",,,,"AVI family partnership","PLI Group Corp","Sentinel Environmental Inc.","No","2nd","balcony roof","roof material","100","Square Feet","Removal","Exterior Foam","40.596365","-73.995974","11","47","304","3068880019","Bensonhurst East"
"TRU6613BK18","2018-09-15T00:00:00.000","2019-09-03T00:00:00.000","Closed","No","390","Stuyvesant Avenue","Brooklyn","11233",,"Residence","3047437","01680","0040",,,,"USD 390 Stuyvesant LLC","KLG Contracting, Inc.","Environmental Management Services, Inc.","No","Ground FL","Rear Facade","WIndow Frame Caulking","3","Square Feet","Removal","Exterior Vertical Surface","40.681268","-73.931731","3","36","297","3016800040","Crown Heights North"
"TRU0898BK19","2019-07-01T00:00:00.000","2020-06-09T00:00:00.000","Closed","No","2360","Benson Ave","Brooklyn","11214","PS 101 K","School","3185973","06875","0032",,,,"NYC School Construction Authority (NYCSCA)","ETS Contracting, Inc.","New York Environmental & Analytical Laboratories,","No","2nd Flr","Womens Toilet 257","Pipe Insulation","130","Linear Feet","Removal","DEP Variance","40.597863","-73.991693","11","47","302","3068750032","Bensonhurst East"
"TRU0083QN23","2023-05-22T00:00:00.000","2024-01-24T00:00:00.000","Submitted","No","187-01","Foch Blvd.","Queens","11412","Ps 36","School","4268900","12439","0032",,,,"NYC School Construction Authority (NYCSCA)","Abatech Industries, Inc.","Taylor Environmental Group, Inc.","No","1","Vestibules","Concealed pipe insulation whit roof drain","30","Linear Feet","Removal","Tent","40.690828","-73.763907","12","27","366","4124390032","St. Albans"
"TRU5586BX18","2018-06-08T00:00:00.000","2019-05-23T00:00:00.000","Closed","No","333","East 151st Street","Bronx","10451","Alfred E. Smith HS - X (X600)","School","2001874","02411","0022",,,,"NYC School Construction Authority (NYCSCA)","Pinnacle Environmental Corp.","ATC Group Services LLC","No","Basement","Boiler Shop: Room B1","Pipe Insulation","170","Linear Feet","Removal","Tent","40.818232","-73.919867","1","17","67","2024110022","Melrose South-Mott Haven North"
"TRU0275MN19","2019-02-15T00:00:00.000","2020-02-04T00:00:00.000","Submitted","No","433","East 30th Street","Manhattan","10016","Medical Science Building","Hospital","1085588","00962","7501",,,,"NYU Langone Health","JVN Restoration Inc.","Environmental Planning & Management, Inc.","No","7th","MER Column N29","Duct Gasket","8","Square Feet","Removal","Tent","40.740935","-73.974516","6","4","62","1009627501","Murray Hill-Kips Bay"
"TRU5565MN18","2018-03-26T00:00:00.000","2019-03-11T00:00:00.000","Postponed","No","150","East 38th St","Manhattan","10016",,"Residence","1019101","00893","0058",,,,"Angela Sun","ESG Inc.","Amiantos LLC","No","4th","west wing","glue dots mastic","35","Square Feet","Removal","Full Containment","40.748651","-73.97727","6","4","80","1008930058","Murray Hill-Kips Bay"
"TRU1109MN22","2022-06-13T00:00:00.000","2023-05-03T00:00:00.000","Closed","No","251","Mercer Street","Manhattan","10012",,"School","1008627","00535","0036",,,,"David Alonso","P.A.L. Environmental Safety Corp.","Consulting And Testing Services, Inc.","No","02","Exterior Facade East/West Side","Window Caulk","8","Square Feet","Removal","Exterior Vertical Surface","40.728413","-73.995414","2","1","5501","1005350036","West Village"
"TRU1022BK19","2019-07-22T00:00:00.000","2020-06-29T00:00:00.000","Closed","No","71","Willow Street","Brooklyn","11201",,"Residence","3001665","00225","0004",,,,"Silverstein & Associates Interiors","ESG, Inc.","A & B Inspection Services, Corp.","Yes","Roof",,"Tar on chimney","48","Square Feet","Removal","Exterior Vertical Surface","40.699039","-73.995009","2","33","1","3002250004","Brooklyn Heights-Cobble Hill"
"TRU0389BX23","2023-04-27T00:00:00.000","2024-03-25T00:00:00.000","Submitted","No","738-740","East 243rd Street","Bronx","10470",,"Residence","2071921","05115","0047",,,,"SDF East 243rd Street HDFC","Alba Environmental Inc.","The ALC Group, LLC dba ALC Environmental","No","3","Apt 3L - Windows","Exterior Window Caulk","8","Square Feet","Removal","DEP Variance","40.906152","-73.848258","12","11","442","2051150047","Woodlawn-Wakefield"
"TRU5712MN18","2018-04-09T00:00:00.000","2019-03-28T00:00:00.000","Closed","No","241","WEST 62nd. STREET","Manhattan","10023","Amsterdam Houses Bldg. # 4 Contract BW1313869","Residence","1082582","01154","0101",,,,"New York City Housing Authority (NYCHA)","M.A.B. Renovation Group Corp.","Warren & Panzer, Engineers, P.C","No","2","Exterior Facade-Mod A1-Elev.#1-8","Window Caulking","8","Square Feet","Removal","Exterior Vertical Surface","40.773465","-73.988389","7","6","151","1011540101","Lincoln Square"
"TRU5897BK18","2018-06-14T00:00:00.000","2019-05-20T00:00:00.000","Closed","No","272","MacDonough Street","Brooklyn","11233","K035","School","3047054","01674","0011",,,,"NYC School Construction Authority (NYCSCA)","ABC Construction Contracting Inc.","BSI Services and Solutions (NYC) Inc.","No","1st Floor","Corridor by Room#105","Ceiling Plaster","1","Square Feet","Removal","Tent","40.681896","-73.935963","3","36","273","3016740011","Stuyvesant Heights"
"TRU1951BK19","2020-01-09T00:00:00.000","2020-11-17T00:00:00.000","Closed","No","2045","Rockaway Parkway","Brooklyn","11236","Bayview Houses Bldg. #1 Contract # RF172553","Residence","3331421","08329","0225",,,,"New York City Housing Authority (NYCHA)","Zoria Housing, LLC","Genesis Environmental Consultants Inc.","No","Roof","Bulkhead Elevation #7","Flashing/Tar @ Bolt Location and Spandrel Beam","52","Square Feet","Removal","Exterior Vertical Surface","40.633105","-73.888903","18","46","1034","3083290225","Canarsie"
"TRU1630BX22","2023-06-20T00:00:00.000","2023-12-07T00:00:00.000","Submitted","No","672","Beck Street","Bronx","10455",,"Residence","2005094","02684","0057",,,,"664-672 Beck Street HDFC","ESG, Inc.","Environmental Code Consultants Inc.","No","Roof","Bulkhead #1","tar on coping stone joints","3","Square Feet","Removal","Exterior Foam","40.814772","-73.901197","2","17","83","2026840057","Longwood"
"TRU1809MN20","2020-11-02T00:00:00.000","2021-10-12T00:00:00.000","Closed","No","4","Irving Place","Manhattan","10003",,"Commercial","1084936","00870","0024",,,,"Consolidated Edison   Company of NY, Inc.","C.K.&B. Environmental Incorporated","Omega Laboratories, Inc.","No","26","Exterior North,South,West and East Facade","22 Windows interior sash sealant caulk","17","Square Feet","Removal","DEP Variance","40.734163","-73.988627","6","2","50","1008700024","Gramercy"
"TRU2060MN22","2023-01-09T00:00:00.000","2023-08-16T00:00:00.000","Postponed","No","609","Columbus Ave","Manhattan","10024",,"Residence","1031543","01203","0001",,,,"Turin House Development Fund Company, Inc.","New York Insulation, Inc.","Clean Air Testing Labs, Inc.","No","13th","South Elevation","expansion joint caulk","4","Square Feet","Removal","Exterior Vertical Surface","40.788758","-73.970503","7","6","173","1012030001","Upper West Side"
"TRU0122SI21","2022-07-11T00:00:00.000","2022-08-18T00:00:00.000","Closed","No","195","Daniel Low Terrace","Staten Island","10301","PS 16 R","School","5000291","00018","0015",,,,"NYC School Construction Authority (NYCSCA)","Nebcom Inc.","Environmental Management Solutions Of New York, In","No","3rd Floor","Entrance Hall","Ceiling Tile Mastic","40","Square Feet","Removal","Tent","40.63943","-74.080005","1","49","11","5000180015","West New Brighton-New Brighton-St. George"
"TRU1458BX21","2022-01-11T00:00:00.000","2022-12-08T00:00:00.000","Postponed","No","1400","PELHAM PARKWAY S.","Bronx","10461","BUILDING #1","Hospital","2097550","04205","0001",,,,"NYC Health & Hospitals Corporation (NYCHHC)","Akal Builders of N.Y. Inc.","Watts Architecture & Engineering, D.P.C.","No","12","EAST ELEVATION 02","FLASHING/MASTIC","12","Square Feet","Removal","Exterior Vertical Surface","40.857427","-73.847079","11","13","296","2042050001","Pelham Parkway"
"TRU1221BK23","2023-06-24T00:00:00.000","2024-06-14T00:00:00.000","Submitted","No","2075","84th Street","Brooklyn","11214","PS 128K - Brooklyn","School","3165232","06329","0032",,,,"NYC School Construction Authority (NYCSCA)","U.S. Environmental Abatement, Corp.","SAI Environmental Consultants, Inc.","No","3rd Floor","Gym Closet Door Frame","Wall Plaster","14","Square Feet","Removal","Tent","40.604871","-73.995545","11","47","288","3063290032","Bensonhurst West"
"TRU7263BK18","2019-03-26T00:00:00.000","2019-12-23T00:00:00.000","Closed","No","5502","Avenue L","Brooklyn","11234",,"Residence","3218942","07853","0043",,,,"NYC Housing Preservation & Development (NYCHPD)","Proservice Environmental LLC","New York Environmental & Material Testing","No","Roof","Rear Building","Roofing and Flashing","650","Square Feet","Removal","Exterior Foam","40.62386","-73.922406","18","46","692","3078530043","Flatlands"
"TRU7958MN18","2018-11-26T00:00:00.000","2019-11-08T00:00:00.000","Closed","No","1091","Amsterdam Ave","Manhattan","10025","St. Luke's Mt. Sinai Hospital","Hospital","1084028","01866","0001",,,,"Mt. Sinai St. Luke's","Pinnacle Environmental Corp.","Environmental Management Solutions Of New York, In","No","Basement","Generator Room","Pipe Insulation","1200","Linear Feet","Removal","Full Containment","40.805219","-73.962213","9","7","19701","1018660001","Morningside Heights"
"TRU0250SI22","2022-11-03T00:00:00.000","2023-11-01T00:00:00.000","Closed","No","180","Hagaman Place","Staten Island","10302",,"Residence","5025195","01064","0030",,,,"Joanne Brown","The Asbestos Contractor, Inc.","New York Safety Services LLC","No","1","South","Window caulking","2","Square Feet","Removal","Exterior Vertical Surface","40.626859","-74.142043","1","49","247","5010640030","Port Richmond"
"TRU0369BK20","2020-08-10T00:00:00.000","2021-03-02T00:00:00.000","Closed","No","6565","Flatlands Avenue","Brooklyn","11236","K515 South Shore Educational Complex","School","3224139","07998","0005",,,,"NYC School Construction Authority (NYCSCA)","U.S. Environmental Abatement, Corp.","Langan Engineering, Environmental, Surveying, Land","No","2nd Floor","Room 262","VAT/Mastic","710","Square Feet","Removal","Interior Foam","40.633285","-73.916735","18","46","950","3079980005","Canarsie"
"TRU0729BK23","2023-05-01T00:00:00.000","2024-04-12T00:00:00.000","Postponed","No","268","Osborn Street","Brooklyn","11212","NYCHA 2113758 Brownsville, Bld. #14","Residence","3326527","03561","0001",,,,"New York City Housing Authority (NYCHA)","J & N Construction Group Corp.","Airtek Environmental Corp.","No","2nd","Boiler Room Roof","Bricks Contaminated with ACM Tar / Flashing","135","Square Feet","Removal","Exterior Vertical Surface","40.665664","-73.907863","16","41","912","3035610001","Brownsville"
"TRU5927MN18","2018-05-07T00:00:00.000","2019-04-18T00:00:00.000","Closed","No","1524","First Ave","Manhattan","10075",,"Other","1050356","01559","0049",,,,"UES Associates LLC","New York Insulation Inc.","GCI Environmental Advisory, Inc.","No","2","Setback Roof","Flashing","75","Square Feet","Removal","Exterior Vertical Surface","40.772679","-73.952426","8","5","136","1015590049","Yorkville"
"TRU5190MN18","2018-02-02T00:00:00.000","2019-01-25T00:00:00.000","Closed","No","51","Madison Avenue","Manhattan","10010","New York Life Insurance Company","Commercial","1016880","00856","0024",,,,"New York Life Insurance Company","Pinnacle Environmental Corp.","Environmental Building Solutions, LLC","No","12","West Wing","Wood Flooring Insulation","3500","Square Feet","Removal","DEP Variance","40.743023","-73.986402","5","2","56","1008560024","Hudson Yards-Chelsea-Flatiron-Union Square"
"TRU7678MN18","2018-10-22T00:00:00.000","2019-10-12T00:00:00.000","Closed","No","1514","First Avenue","Manhattan","10075",,"Residence","1050344","01559","0001",,,,"UES Associates LLC","New York Insulation Inc.","GCI Environmental Advisory, Inc.","No","Roof","Main Roof & Bulkheads","Roof Membrane","1440","Square Feet","Removal","Exterior Foam","40.772443","-73.952603","8","5","136","1015590001","Yorkville"
"TRU6103QN18","2018-10-13T00:00:00.000","2019-10-05T00:00:00.000","Closed","No","170","Beach 114th Street","Queens","11694",,"Residence","4435655","16186","0065",,,,"Xavier Viscuna","Flag-Clean Island Ltd.","Exclusive Testing Labs Inc.","No","Floor 3","Middle Bedroom","Vinyl Tile and mastic","220","Square Feet","Removal","Interior Foam","40.579651","-73.835028","14","32","938","4161860065","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"TRU1180MN20","2020-07-27T00:00:00.000","2021-07-17T00:00:00.000","Closed","No","65","West 96th Street","Manhattan","10025","Tower West","Residence","1055254","01832","7502",,,,"c/o Jonathan Rose Companies","Meridian Construction Group Inc","Abe Environmental Testing and Consulting Inc","No","14","Apartment 14F","Popcorn Ceiling","60","Square Feet","Removal","DEP Variance","40.792699","-73.967128","7","7","181","1018327502","Upper West Side"
"TRU0096SI21","2021-07-12T00:00:00.000","2022-06-28T00:00:00.000","Closed","No","41","Reid Avenue","Staten Island","10305","R046","School","5047613","03243","0001",,,,"NYC School Construction Authority (NYCSCA)","ABC Construction Contracting Inc.","Athenica Environmental Services Inc.","No","1st Floor","Room #103","Transite Board Mechanical Radiator","20","Square Feet","Removal","DEP Variance","40.59377","-74.08058","2","50","64","5032430001","Grasmere-Arrochar-Ft. Wadsworth"
"TRU1858MN21","2021-09-20T00:00:00.000","2022-08-31T00:00:00.000","Submitted","No","510","East 62nd Street","Manhattan","10065",,"Hospital","1046252","01474","0040",,,,"The Animal Medical Center","Pinnacle Environmental Corp.","McCabe Environmental Services, L.L.C.","No","6","Hoist Area","VAT/Mastic","200","Square Feet","Removal","Full Containment","40.760459","-73.958196","8","5","10602","1014740040","Lenox Hill-Roosevelt Island"
"TRU5655BX18","2018-06-25T00:00:00.000","2019-06-12T00:00:00.000","Submitted","No","44","Metropolitan Oval","Bronx","10462","Parkchester South","Residence","2096641","03938","7501",,,,"Parkchester South Condominiums","JVN Restoration Inc.","Environmental Health Investigations, Inc.","No","7","Apt h","Transite board","35","Square Feet","Removal","Tent","40.837755","-73.859639","9","18","212","2039387501","Parkchester"
"TRU0710BX23","2023-06-12T00:00:00.000","2024-05-23T00:00:00.000","Postponed","No","3750","Baychester avenue","Bronx","10466","IS 529X","School","2066190","04935","0001",,,,"NYC School Construction Authority (NYCSCA)","Vestar Inc.","Athenica Environmental Services Inc.","No","Basement","North Throughout","Radiator Cover Tar","70","Square Feet","Removal","DEP Variance","40.884953","-73.840524","12","12","484","2049350001","Eastchester-Edenwald-Baychester"
"TRU0833QN22","2022-09-20T00:00:00.000","2023-07-21T00:00:00.000","Submitted","No","36-31","38th Street","Queens","11101","Q447","School","4314400","00665","0010",,,,"NYC School Construction Authority (NYCSCA)","ABC Construction Contracting Inc.","Airtek Environmental Corp.","No","1st Floor","Toilet","Floor Tiles/Mastic","30","Square Feet","Removal","DEP Variance","40.753292","-73.924684","1","26","157","4006650010","Astoria"
"TRU5648BK18","2018-05-03T00:00:00.000","2019-04-16T00:00:00.000","Closed","No","3222","Bayview Avenue","Brooklyn","11224","NYCHA Gravesend Bld. #6 - GR1508593",,"3331081","06964","0002",,,,"New York City Housing Authority (NYCHA)","Maven Construction Corp.","Genesis Environmental Consultants Inc.","No","Roof","Bulkhead Joint","Vertical Repair Caulking","1","Square Feet","Removal","Exterior Vertical Surface","40.580148","-73.998826","13","47","330","3069640002","Seagate-Coney Island"
"TRU6648MN18","2018-07-19T00:00:00.000","2019-06-26T00:00:00.000","Closed","No","225","E. 106th St.","Manhattan","10029","B3","Residence","1080691","01656","0001",,,,"Franklin Avenue Apartments, Inc. c/o Prestige Mgt.","Interboro Property Management Corp.","Airtek Environmental Corp.","No","Basement","Electric meter room","Pipe insulation","40","Linear Feet","Removal","DEP Variance","40.791073","-73.943475","11","8","170","1016560001","East Harlem South"
"TRU0986BK23","2023-05-30T00:00:00.000","2024-05-13T00:00:00.000","Closed","No","87","Herbert Street","Brooklyn","11222",,"Residence","3069775","02829","0039",,,,"87 Herbert Street, LLC","AVI 212 Inc.","Five Star Environmental Inc.","Yes","Roof",,"Roofing","1400","Square Feet","Removal","Exterior Foam","40.720389","-73.941604","1","34","477","3028290039","East Williamsburg"
"TRU0326QN19","2019-04-03T00:00:00.000","2020-04-03T00:00:00.000","Closed","No","137-28","249th Street","Queens","11422",,"Residence","4289481","13623","0046",,,,"Sophia Marston","Alpha Environmental Services, Inc","Sentinel Environmental Inc.","No","1","Door Area","Shingles","30","Square Feet","Removal","Exterior Vertical Surface","40.664703","-73.728559","13","31","656","4136230046","Rosedale"
"TRU1867MN21","2021-09-22T00:00:00.000","2022-08-31T00:00:00.000","Closed","No","1","Penn Plaza","Manhattan","10119","One Penn Plaza","Commercial","1014387","00783","0070",,,,"Vornado Realty Trust","ABF Environmental, Inc.","Warren & Panzer, Engineers, P.C.","No","26th Floor","Restrooms","Fireproofing spray","900","Square Feet","Removal","DEP Variance","40.751098","-73.992926","5","3","101","1007830070","Midtown-Midtown South"
"TRU0627BK20","2020-06-19T00:00:00.000","2021-06-07T00:00:00.000","Closed","No","150","52nd Street","Brooklyn","11232",,"Commercial","3337255","00804","0006",,,,"Brendan Warland","Never Better Environmental Corp.","Advanced Environmental Corp.","No","Exterior","West Elevation","Awing Fill at Anchors","13","Square Feet","Removal","Exterior Vertical Surface","40.648624","-74.019186","7","38","18","3008040006","Sunset Park West"
"TRU0431BK22","2022-06-01T00:00:00.000","2023-03-02T00:00:00.000","Postponed","No","570","Stanley Avenue","Brooklyn","11207","Linden Houses Building 1","Residence","3324019","04371","0001",,,,"Stanley Avenue Preservation LLC","Federal Property Maintenance Corp.","AIM Environmental LLC","No","1st","Apartment B","Vinyl Floor Tile and Mastic","10","Square Feet","Removal","Tent","40.657787","-73.887525","5","42","1106","3043710001","East New York"
"TRU5152BX18","2018-02-23T00:00:00.000","2019-02-15T00:00:00.000","Closed","No","1771","Popham Avenue","Bronx","10453","PS X-109","School","2094549","02877","0393",,,,"NYC Dept of Education (NYCDOE)","AJK, Inc.","KAM Consultants Corporation","No","2nd","Corridor","Foor tile","10","Square Feet","Removal","Tent","40.851414","-73.918533","5","14","20502","2028770393","University Heights-Morris Heights"
"TRU0889BX19","2019-08-20T00:00:00.000","2020-07-29T00:00:00.000","Closed","No","1449","Shakespeare Avenue","Bronx","10452","X104","School","2088263","02873","0027",,,,"NYC School Construction Authority (NYCSCA)","Abatement Unlimited, Inc.","Langan Engineering, Environmental, Surveying, Land","No","1","158","VAT/Mastic","120","Square Feet","Removal","Interior Foam","40.842943","-73.920563","4","16","21302","2028730027","Highbridge"
"TRU1140BK21","2021-08-17T00:00:00.000","2022-07-26T00:00:00.000","Closed","No","4004","4th Avenue","Brooklyn","11232","IS-136K","School","3010580","00713","0020",,,,"NYC School Construction Authority (NYCSCA)","Vestar, Inc.","Airtek Environmental Corp.","No","3","Room 306","Wall Plaster","195","Square Feet","Removal","DEP Variance","40.651977","-74.006862","7","38","82","3007130020","Sunset Park West"
"TRU0113BX22","2022-02-28T00:00:00.000","2023-01-19T00:00:00.000","Closed","No","1040","Soundview Avenue","Bronx","10472","Justice Sonia Sotomayor Houses Bldg #9","Residence","2092790","03723","0001",,,,"New York City Housing Authority (NYCHA)","New York Environmental Systems, Inc.","LiRo Engineers, Inc.","No","7TH","7G","Floor Tile","789","Square Feet","Removal","VAT Protocol in NYCHA Apt","40.825724","-73.87067","9","18","44","2037230001","Soundview-Bruckner"
"TRU0418MN19","2019-03-12T00:00:00.000","2020-02-24T00:00:00.000","Closed","No","166","East 105th Street","Manhattan","10029",,"Residence","1051973","01632","0045",,,,"H.S Ventures lll, LLC","Everest Construction Enterprises, Corp.","Avi Jay Inc.","No","3rd Floor","Kitchen","Floor Tile","90","Square Feet","Removal","Tent","40.791269","-73.946078","11","8","166","1016320045","East Harlem South"
"TRU0344QN22","2022-03-18T00:00:00.000","2023-03-22T00:00:00.000","Closed","No","40-10","Main Street","Queens","11354",,"Commercial","4114121","05036","0038",,,,"JJDRJ Development","Environmental Corps Corporation","U. Stiv Environmental Svces Inc.","No","Ground","Sidewalk in front of 40-10 Main Street, and Roosevelt Avenue","ACM debris","6050","Square Feet","Cleanup","Emergency Cleanup","40.759284","-73.83001","7","20","871","4050360038","Flushing"
"TRU0532QN20","2020-08-10T00:00:00.000","2021-07-25T00:00:00.000","Closed","No","118-34","Riverton Street","Queens","11412",,"School","4268946","12449","0004",,,,"National Heritage Academies","New York Insulation Inc.","Absolutely Clean Environment, Inc.","No","Roof","Phase 1 - Main Roof","Roof Membrane & Base Flashing","1290","Square Feet","Removal","Exterior Foam","40.689465","-73.763043","12","27","366","4124490004","St. Albans"
"TRU5963QN18","2018-09-03T00:00:00.000","2019-09-03T00:00:00.000","Closed","No","25-12","126th Street","Queens","11354",,"Residence","4100462","04265","0017",,,,"Lin Mei Lan","Tristate Cleaning Solutions Inc.","Eru-Ken Consulting LLC","Yes","Basement",,"Pipe Insulation","20","Linear Feet","Removal","Tent & Glovebag","40.776147","-73.842637","7","19","907","4042650017","College Point"
