"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","siteid","benchid","category","benchtype","installati","address","geocodeadd","street","crossstree","borough","comdist","busroute","bid","latitude","longitude","femafldz","femafldt","hrcevac"
"POINT (-73.91106357753016 40.77583272769586)","4","Queens","401","22","36","12","14","3514.0","0.0","General","backed","2016-11-30T00:00:00.000","22-16 31st Street","22-16 31st Street","31st Street","Ditmars Blvd & 23rd Avenue","Queens","401.0","Not Applicable","Not Applicable","40.775841","-73.911065","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.80975261155477 40.76398972641037)","4","Queens","407","20","40","16","6","2545.0","879.0","Municipal Facilities","backed","2014-06-11T00:00:00.000","155-06 Roosevelt Avenue","155-06 Roosevelt Avenue","Roosevelt Avenue","155th Street and 156th Street","Queens","407.0","Not Applicable","Not Applicable","40.763998","-73.809754","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99196055769471 40.69055174743355)","3","Brooklyn","302","33","52","26","7","987.0","482.0","BID","backed 2","2012-06-19T00:00:00.000","106 Court Street","106 Court Street","Court Street","Livingston and Schermerhorn Streets","Brooklyn","302.0","Not Applicable","Court-Livingston-Schermerhorn","40.69056","-73.991962","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95552025586079 40.68043124355823)","3","Brooklyn","303","36","57","25","8","1106.0","223.0","General","backed","2012-09-27T00:00:00.000","537 Franklin Avenue","537 Franklin Avenue","Franklin Avenue","Fulton Street and Lefferts Place","Brooklyn","303.0","Not Applicable","Not Applicable","40.6804312436","-73.9555202559","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92031274198166 40.847075747489086)","2","Bronx","205","14","77","29","15","1754.0","968.0","General","backed","2014-02-04T00:00:00.000","1605 University Avenue","1605 University Avenue","University Avenue","W174th Street & W175th Street","Bronx","205.0","Not Applicable","Not Applicable","40.8470757475","-73.920312742","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93492756614147 40.851715714080115)","1","Manhattan","112","10","72","31","13","2985.0","1635.0","Municipal Facilities","backless","2015-01-15T00:00:00.000","4306 Broadway","4306 Broadway","Broadway","W 183rd Street & 184th Street","Manhattan","112.0","M100","Not Applicable","40.851724","-73.934929","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97969255655005 40.776902730395264)","1","Manhattan","107","6","67","27","10","899.0","248.0","General","backed","2012-10-01T00:00:00.000","111 West 71st Street","111 West 71st Street","West 71st Street","Columbus Avenue & Broadway","Manhattan","107.0","Not Applicable","Not Applicable","40.776911","-73.979694","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.74221063675785 40.69577473756703)","4","Queens","413","27","33","14","5","3622.0","414.0","General","backed 2","2017-05-13T00:00:00.000","217-20 Linden Blvd","217-20 Linden Blvd","Linden Blvd","Springfield Blvd & 219th Street","Queens","413.0","Not Applicable","Not Applicable","40.695783","-73.742212","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9805725595212 40.7164777418693)","1","Manhattan","103","2","65","26","7","4095.0","649.0","General","backed","2018-12-20T00:00:00.000","43 Columbia Street","43 Columbia Street","Columbia Street","Rivington Street & Delancey Street","Manhattan","103.0","Not Applicable","Not Applicable","40.716486","-73.980574","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.91061757522475 40.830776716755956)","2","Bronx","204","16","77","32","15","2473.0","720.0","Health Care Facilities","backless","2014-06-20T00:00:00.000","397 East 167th Street","397 East 167th Street","East 167th Street","Clay Avenue and Webster Avenue","Bronx","204.0","BX35","Not Applicable","40.830785","-73.910619","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.86761459566355 40.722592736778836)","4","Queens","405","30","30","15","6","4221.0","794.0","Bus Route","backless 2","2019-01-29T00:00:00.000","63-76 Woodhaven Blvd","63-76 Woodhaven Blvd","Woodhaven Blvd","Penelope Avenue & Fleet Court","Queens","405.0","Q52","Not Applicable","40.722601","-73.867616","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98936355549473 40.741856737579134)","1","Manhattan","105","3","75","28","12","2211.0","0.0","BID","backed","2013-12-04T00:00:00.000","200 5th Avenue","200 5th Avenue","23rd Street","5th Avenue and 6th Avenue","Manhattan","105.0","Not Applicable","Flatiron/23rd Street Partnership","40.741865","-73.989365","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.84912005022689 40.7320249016044)","4","Queens","406","29","27","16","6","1387.0","523.0","General","backed","2013-06-11T00:00:00.000","64-51 108th Street","64-51 108th Street","108th Street","64th Road & 65th Avenue","Queens","406.0","Not Applicable","Not Applicable","40.7320249016","-73.8491200502","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94546957501154 40.651005753314884)","3","Brooklyn","317","45","42","21","9","2161.0","762.0","Community Health Centers","backless","2013-09-16T00:00:00.000","3414 Church Avenue","3414 Church Avenue","Church Avenue","34th and 35th Streets","Brooklyn","317.0","Not Applicable","Not Applicable","40.651014","-73.945471","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88480159259502 40.6725707475799)","3","Brooklyn","305","37","54","18","8","2742.0","1531.0","Municipal Facilities","backed","2014-10-08T00:00:00.000","400 Ashford Street","400 Ashford Street","Ashford Street","Pitkin Street & Belmont Street","Brooklyn","305.0","Not Applicable","Not Applicable","40.672579","-73.884803","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.98241055497024 40.77894572990687)","1","Manhattan","107","6","67","29","10","2279.0","1168.0","General","backed","2013-12-03T00:00:00.000","201 W 72nd Street","201 W 72nd Street","W 72nd Street","Broadway & West End Avenue","Manhattan","107.0","Not Applicable","Not Applicable","40.778954","-73.982412","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97634856733649 40.615243762061944)","3","Brooklyn","312","44","48","17","10","2594.0","1133.0","Municipal Facilities","backless","2014-07-03T00:00:00.000","6006 23rd Avenue","2298 60th Street","60th Street","23rd Avenue & Bay Parkway","Brooklyn","312.0","B9","Not Applicable","40.615252","-73.97635","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9590936131341 40.70914833683308)","3","Brooklyn","301","34","50","18","7","4255.0","481.0","Bus Route","backed 2","2019-05-30T00:00:00.000","225 Havemeyer Street","225 Havemeyer Street","Havemeyter Street","Broadway and S 5th Street","Brooklyn","301.0","B46","Not Applicable","40.7091483368","-73.9590936131","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91902857301241 40.80788372211938)","2","Bronx","201","8","84","29","15","3820.0","218.0","Senior Safety","backed","2017-08-01T00:00:00.000","245 Brook Avenue","245 Brook Avenue","Brook Avenue","E 139th Street & E 138th Street","Bronx","201.0","Not Applicable","Not Applicable","40.807892","-73.91903","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.91877057679729 40.75885073148869)","4","Queens","401","26","30","12","12","829.0","206.0","General","backed","2012-09-12T00:00:00.000","40-20 Broadway","40-20 Broadway","Broadway","Steinway and 41st Streets","Queens","401.0","Not Applicable","Not Applicable","40.758859","-73.918772","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99425155481423 40.719821742249756)","1","Manhattan","102","1","65","26","7","3799.0","356.0","Senior Safety","backless 2","2017-08-02T00:00:00.000","162 Bowery","162 Bowery","Bowery","Kenmare Street & Broome Street","Manhattan","102.0","M103","Not Applicable","40.71983","-73.994253","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93272457008557 40.79561772467892)","1","Manhattan","111","8","68","29","13","1232.0","242.0","General","backed","2012-10-11T00:00:00.000","318 Pleasant Avenue","318 Pleasant Avenue","Pleasant Avenue","East 116th and 117th Streets","Manhattan","111.0","Not Applicable","Not Applicable","40.795626","-73.932726","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","3"
"POINT (-73.93227357630839 40.68831174538392)","3","Brooklyn","303","36","56","25","8","3918.0","337.0","General","backed 2","2018-01-23T00:00:00.000","800 Gates Avenue","800 Gates Avenue","Gates Avenue","Stuyvesant Avenue & Malcom X Blvd.","Brooklyn","303.0","Not Applicable","Not Applicable","40.68832","-73.932275","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.75537763255473 40.70640673608759)","4","Queens","412","27","33","14","5","1811.0","431.0","General","backed","2013-02-20T00:00:00.000","202-13 Hollis Avenue","202-13 Hollis Avenue","Hollis Avenue","202nd & 203rd Avenue","Queens","412.0","Q20","Not Applicable","40.706415","-73.755379","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96164057096843 40.61781676050121)","3","Brooklyn","314","48","48","17","9","3452.0","1588.0","General","backed","2016-07-05T00:00:00.000","1316 Avenue M","1316 Avenue M","Avenue M","E 13th Street & E 14th Street","Brooklyn","314.0","Not Applicable","Not Applicable","40.617825","-73.961642","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.91850357731812 40.74416673459119)","4","Queens","402","26","37","12","14","1086.0","315.0","BID","backed","2013-02-13T00:00:00.000","43-44 46th Street","43-44 46th Street","46th Street","Queens Blvd & 43rd Street","Queens","402.0","Not Applicable","Sunnyside Shines","40.744175","-73.918505","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98007056258504 40.660255752671986)","3","Brooklyn","307","39","44","21","9","2261.0","590.0","General","backed","2013-11-26T00:00:00.000","471 16th Street","471 16th Street","16th Street","10th Avenue & Prospect Park West","Brooklyn","307.0","Not Applicable","Not Applicable","40.660264","-73.980072","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88236158892624 40.755874730538345)","4","Queens","403","25","34","13","14","2000","699.0","General","backless","2013-09-27T00:00:00.000","85-13 Northern Boulevard","85-13 Northern Boulevard","Northern Boulevard","86th & 87th Street","Queens","403.0","Q66","Not Applicable","40.755883","-73.882363","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93379456656099 40.849205714676884)","1","Manhattan","112","10","72","31","13","3388.0","1771.0","General","backed","2016-06-16T00:00:00.000","1420 St Nicholas Avenue","566 W 181st Street","W 181st Street","St Nicholas Avenue & Audubon Avenue","Manhattan","112.0","Not Applicable","Washington Heights","40.849214","-73.933796","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.01147354992288 40.714441743417474)","1","Manhattan","101","1","66","26","10","1940.0","521.0","BID","backed 2","2018-07-31T00:00:00.000","255 Greenwich Street","255 Greenwich Street","Murray Street","Greenwhich Street & West Broadway","Manhattan","101.0","Not Applicable","Alliance for Downtown New York","40.71445","-74.011475","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2"
"POINT (-73.94115457753564 40.61958975962965)","3","Brooklyn","318","45","41","19","9","3583.0","47.0","Bus Route","backed 2","2017-05-06T00:00:00.000","3426 Kings Highway","3426 Kings Highway","Kings Highway","Avenue M & E 35th Street","Brooklyn","999.0","B7","Not Applicable","40.619598","-73.941156","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.90524257460213 40.872886709045936)","2","Bronx","207","14","86","33","13","2702.0","958.0","Municipal Facilities","backless","2014-07-30T00:00:00.000","260 West Kingsbridge Road","260 West Kingsbridge Road","West Kingsbridge Road","Heath Avenue & Bailey Avenue","Bronx","207.0","BX09","Not Applicable","40.872895","-73.905244","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.99315755381265 40.73347173877925)","1","Manhattan","102","2","66","28","12","3079.0","1489.0","General","backed","2015-09-12T00:00:00.000","83 University Place","83 University Place","University Place","East 11th Street & East 12th Street","Manhattan","102.0","Not Applicable","Village Alliance","40.73348","-73.993159","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.89863589618182 40.712610550205596)","4","Queens","405","30","28","15","6","2527.0","701.0","General","backless","2014-11-19T00:00:00.000","62-16 Metropolitan Avenue","62-16 Metropolitan Avenue","Metropolitan Avenue","Fresh Pond Road and 62nd Street","Queens","405.0","Q54","Not Applicable","40.7126105502","-73.8986358962","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94266652835172 40.664234121168626)","3","Brooklyn","309","35","43","20","9","1102.0","179.0","General","backed","2012-07-27T00:00:00.000","431 Kingston Avenue","431 Kingston Avenue","Kingston Avenue","Empire Boulevard & Montgomery Street","Brooklyn","309.0","Not Applicable","Not Applicable","40.6642341212","-73.9426665284","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9142255783472 40.7620947311577)","4","Queens","401","22","36","12","14","2747.0","1435.0","Municipal Facilities","backed","2014-11-12T00:00:00.000","30-45 42nd Street","30-45 42nd Street","42nd Street","30th Avenue & Newtown Road","Queens","401.0","Not Applicable","Not Applicable","40.762103","-73.914227","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88243258869534 40.74677573217727)","4","Queens","404","25","39","13","14","3966.0","499.0","Bus Route","backless 2","2018-02-14T00:00:00.000","4008 Hampton Street","4008 Hampton Street","Hampton Street","Baxter Avenue & Britton Avenue","Queens","404.0","Q29","Not Applicable","40.746784","-73.882434","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.89228457953222 40.8607767105083)","2","Bronx","206","15","78","34","15","1203.0","0.0","BID","backed",,"2486 Webster Avenue","2486 Webster Avenue","Webster Avenue","East 189th Street and East Fordham Road","Bronx","206.0","Not Applicable","Fordham Road","40.860785","-73.892286","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.81776761966893 40.58543876200571)","4","Queens","414","32","23","10","5","4231.0","530.0","Bus Route","backed 2","2019-01-31T00:00:00.000","95-20 Rockaway Beach Blvd","95-20 Rockaway Beach Blvd","Rockaway Beach Blvd","Beach 95th Street & Beach 96th Street","Queens","414.0","Q52","Not Applicable","40.585447","-73.817769","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.84189860006629 40.78527172342466)","4","Queens","407","19","27","11","14","1415.0","526.0","General","backed","2013-04-19T00:00:00.000","126-11 14th Avenue","126-11 15th Ave","15th Avenue","127th Street & 15th Avenue","Queens","407.0","Not Applicable","Not Applicable","40.78528","-73.8419","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93701056696806 40.819381720692334)","1","Manhattan","110","9","71","30","13","3370.0","2067.0","Municipal Facilities","backed","2016-06-03T00:00:00.000","669 Lenox Avenue","669 Lenox Avenue","Lenox Avenue","W 143rd Street & W 144th Street","Manhattan","110.0","Not Applicable","Not Applicable","40.81939","-73.937012","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.93597257496123 40.70075574337795)","3","Brooklyn","304","34","53","18","7","1035.0","201.0","Senior Center","backed","2012-09-14T00:00:00.000","10 Forrest Street","10 Forrest Street","Forrest Street","Noll Street and Bushwick Avenue","Brooklyn","304.0","Not Applicable","Not Applicable","40.700764","-73.935974","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97075255733512 40.794217726215614)","1","Manhattan","107","7","69","31","10","806.0","856.0","General","backless","2012-10-12T00:00:00.000","209 West 96th Street","209 West 96th Street","West 96th Street","Broadway and Amsterdam Avenue","Manhattan","107.0","M96","Not Applicable","40.794226","-73.970754","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.77984162539602 40.69141473946405)","4","Queens","412","27","32","14","5","4045.0","84.0","Bus Route","backless 2","2018-05-09T00:00:00.000","170-05 Linden Boulevard","170-05 Linden Boulevard","Linden Boulevard","Merrick Boulevard & 169th Street","Queens","412.0","X63","Not Applicable","40.691423","-73.779843","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.95380686828545 40.806540854395266)","1","Manhattan","110","9","70","30","13","2251.0","1148.0","Community Health Centers","backless","2013-11-08T00:00:00.000","2212 Frederick Douglass Boulevard","2212 Frederick Douglass Boulevard","Federick Douglass Boulevard","W 119th Street and W 120th Street","Manhattan","110.0","M10","Not Applicable","40.8065408544","-73.9538068683","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.01379854891714 40.70750574494161)","1","Manhattan","101","1","65","26","10","1018.0","171.0","BID","backed","2012-07-10T00:00:00.000","80 Greenwich Street","80 Greenwich Street","Greenwich Street","Rector and Edgar Streets","Manhattan","101.0","Not Applicable","Alliance for Downtown New York","40.707514","-74.0138","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.89512959066914 40.661255750012195)","3","Brooklyn","305","42","60","19","8","2379.0","982.0","General","backed","2014-03-25T00:00:00.000","620-624 Georgia Avenue","620 Georgia Avenue","Georgia Avenue","New Lots Avenue & Newport Street","Brooklyn","305.0","Not Applicable","Not Applicable","40.661264","-73.895131","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.95529957557937 40.577512768675604)","3","Brooklyn","313","48","45","23","8","3239.0","1905.0","Senior Center","backed","2016-04-13T00:00:00.000","1151 Brighton Beach Avenue","1151 Brighton Beach Avenue","Brighton Beach Avenue","Brighton 15th Street & Brighton 14th Street","Brooklyn","313.0","Not Applicable","Not Applicable","40.577521","-73.955301","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1"
"POINT (-74.00729355027502 40.72753174041602)","1","Manhattan","102","3","66","27","10","984.0","122.0","BID","backed","2012-07-03T00:00:00.000","345 Hudson Street","345 Hudson Street","Hudson Street","Charlton and King Streets","Manhattan","102.0","Not Applicable","Hudson Square Connection","40.72754","-74.007295","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.7802016235254 40.71352173527941)","4","Queens","408","24","29","14","5","3679.0","2455.0","Senior Safety","backed","2017-05-13T00:00:00.000","182-15 Hillside Avenue","182-15 Hillside Avenue","Hillside Avenue","Avon Street & Dalny Road","Queens","408.0","Q01","Not Applicable","40.71353","-73.780203","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98953355518024 40.74008073787326)","1","Manhattan","105","2","75","28","12","2175.0","802.0","BID","backless","2013-07-24T00:00:00.000","925 Broadway","925 Broadway","Broadway","E21st & E22nd Street","Manhattan","105.0","Not Applicable","Flatiron/23rd Street Partnership","40.740089","-73.989535","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98644656268748 40.64048375699338)","3","Brooklyn","312","39","44","17","10","4060.0","1776.0","General","backless","2018-05-11T00:00:00.000","3914 13th Avenue","3914 13th Avenue","13th Avenue","39th Street & 40th Street","Brooklyn","312.0","B16","Not Applicable","40.640492","-73.986448","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8203786042562 40.82470371536)","2","Bronx","210","13","82","34","14","1397.0","862.0","General","backless","2013-03-26T00:00:00.000","3811 East Tremont Avenue","3811 East Tremont Avenue","East Tremont Avenue","Schley Avenue & Lamport Place","Bronx","210.0","BX40","Not Applicable","40.824712","-73.82038","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00564995418299 40.72654626456495)","1","Manhattan","102","3","66","27","10","2014.0","1949.0","BID","backed","2013-07-08T00:00:00.000","157 Varick Street","157 Varick Street","Varick Street","Charlton Street & Vandam Street","Manhattan","102.0","Not Applicable","Hudson Square Connection","40.7265462646","-74.0056499542","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.8625749634915 40.74953406636619)","4","Queens","404","21","39","13","14","1342.0","0.0","Plaza","backed","2018-06-01T00:00:00.000","103-12 Roosevelt Avenue","103-12 Roosevelt Avenue","Roosevelt Avenue","104th and National Streets","Queens","404.0","Q20A","Not Applicable","40.7495340664","-73.8625749635","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91795857305425 40.83198371750995)","2","Bronx","204","16","77","29","15","2136.0","877.0","Community Health Centers","backed","2013-09-11T00:00:00.000","1116 Sheridan Avenue","1116 Sheridan Avenue","Sheridan Avenue","East 166th and McClellan Streets","Bronx","204.0","Not Applicable","Not Applicable","40.831992","-73.91796","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94203656511945 40.83115571800536)","1","Manhattan","109","7","71","30","13","4121.0","611.0","Bus Route","backless","2018-08-01T00:00:00.000","458 West 155th Street","458 West 155th Street","West 155th Street","Amsterdam Avenue & Saint Nicholas Avenue","Manhattan","109.0","BX6","Not Applicable","40.831164","-73.942038","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95552025586079 40.68043124355823)","3","Brooklyn","303","36","57","25","8","1106.0","225.0","General","backed","2012-09-27T00:00:00.000","537 Franklin Avenue","537 Franklin Avenue","Franklin Avenue","Fulton Street and Lefferts Place","Brooklyn","303.0","Not Applicable","Not Applicable","40.6804312436","-73.9555202559","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97750755680282 40.77914472924811)","1","Manhattan","107","6","67","29","10","1819.0","485.0","BID","backed","2013-03-18T00:00:00.000","313 Columbus Avenue","313 Columbus Avenue","Columbus Avenue","W74 & W75th Street","Manhattan","107.0","Not Applicable","Columbus Avenue","40.779153","-73.977509","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90181957787553 40.82280371882172)","2","Bronx","203","17","79","32","15","2431.0","1129.0","Senior Center","backed","2014-04-23T00:00:00.000","950 Union Avenue","950 Union Avenue","Union Avenue","E. 163rd Street and E. 165th Street","Bronx","203.0","Not Applicable","Not Applicable","40.822812","-73.901821","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.84579959820351 40.78462072357396)","4","Queens","407","19","27","11","14","1412.0","314.0","General","backed","2013-04-19T00:00:00.000","14-60 College Point Blvd","14-60 College Point Blvd","College Point Blvd","14th Avenue & 15th Avenue","Queens","407.0","Not Applicable","Not Applicable","40.784629","-73.845801","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.01899555116023 40.642112757637875)","3","Brooklyn","307","38","51","20","7","1613.0","333.0","General","backed","2013-01-24T00:00:00.000","330 59th Street","330 59th Street","4th Avenue","59th Street & 60th Street","Brooklyn","307.0","Not Applicable","Not Applicable","40.642121","-74.018997","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95342513462778 40.6809848585863)","3","Brooklyn","303","36","57","25","8","3052.0","1424.0","General","backed","2014-11-26T00:00:00.000","1235 Bedford Avenue","1235 Bedford Avenue","Bedford Avenue","Halsey Street & Fulton Street","Brooklyn","303.0","B44","Not Applicable","40.6809848586","-73.9534251346","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93840556480296 40.84629071535887)","1","Manhattan","112","10","72","31","13","3337.0","9007.0","Plaza","backed","2015-12-01T00:00:00.000","4140 Broadway","4140 Broadway","W. 175th Street","W. 175th Street & W. 176th Street","Manhattan","112.0","Not Applicable","Not Applicable","40.846299","-73.938407","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94086156747119 40.79966472441766)","1","Manhattan","111","8","68","30","13","1227.0","237.0","General","backed","2012-10-10T00:00:00.000","1890 Lexington Avenue","1890 Lexington Avenue","Lexington Avenue","East 117th and 118th Streets","Manhattan","111.0","Not Applicable","Not Applicable","40.799673","-73.940863","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-74.01158455369236 40.647403756196105)","3","Brooklyn","307","38","51","20","7","1611.0","274.0","General","backless","2013-01-17T00:00:00.000","4823 Fourth Avenue","4823 Fourth Avenue","4th Avenue","48th and 49th Streets","Brooklyn","307.0","Not Applicable","Not Applicable","40.647412","-74.011586","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00231655472199 40.67601575073184)","3","Brooklyn","306","38","51","25","7","2385.0","1927.0","Senior Center","backed","2015-02-19T00:00:00.000","110 W. 9th Street","110 W. 9th Street","W 9th Street","Gowanus Expressway & Henry Street","Brooklyn","306.0","Not Applicable","Not Applicable","40.676024","-74.002318","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1"
"POINT (-73.95627956286083 40.77979172876318)","1","Manhattan","108","4","73","28","12","4201.0","162.0","Bus Route","backed 2","2018-11-21T00:00:00.000","123 East 86th Street","123 East 86th Street","East 86th Street","Park Avenue & Lexington Avenue","Manhattan","108.0","M86","Not Applicable","40.7798","-73.956281","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93518333769438 40.849920342263424)","1","Manhattan","112","10","72","31","13","2987.0","1488.0","Municipal Facilities","backless","2015-01-20T00:00:00.000","648 West 181st Street","648 West 181st Street","West 181st Street","Broadway and Wadsworth Avenue","Manhattan","112.0","BX35","Not Applicable","40.8499203423","-73.9351833377","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91997657330776 40.813060721376225)","2","Bronx","201","8","84","29","15","3450.0","0.0","Municipal Facilities",,,"416 Willis Ave","416 Willis Ave","416 Willis Ave","E 144th Street & E 145th Street","Bronx","201.0","Not Applicable","Not Applicable","40.813069","-73.919978","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.96175268639941 40.68268968737077)","3","Brooklyn","302","35","57","25","8","1534.0","107.0","Plaza","backed","2012-04-01T00:00:00.000","19 Putnam Avenue","19 Putnam Avenue","Plaza","Fulton Street & Grand Avenue","Brooklyn","302.0","Not Applicable","Fulton Area Business (FAB) Alliance","40.6826896874","-73.9617526864","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92602058018885 40.662887750687496)","3","Brooklyn","317","41","58","20","9","3725.0","681.0","Senior Safety","backed","2018-02-28T00:00:00.000","1012 Rutland Road","1012 Rutland Road","Rutland Road","E 94th Street & E 95th Street","Brooklyn","317.0","Not Applicable","Not Applicable","40.662896","-73.926022","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.90429957474916 40.86425071073049)","2","Bronx","207","14","78","33","13","2093.0","739.0","Community Health Centers","backed","2013-08-06T00:00:00.000","105 Father Zeiser Place","105 Father Zeiser Place","Father Zeiser Place","University and Webb Avenues","Bronx","207.0","Not Applicable","Not Applicable","40.864259","-73.904301","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.78564270054105 40.77078722427099)","4","Queens","411","19","26","11","6","4086.0","588.0","General","backed 2","2018-08-02T00:00:00.000","204-6 32nd Avenue","204-6 32nd Avenue","32nd Avenue","204th Street & 205th Street","Queens","411.0","Q28","Not Applicable","40.7707872243","-73.7856427005","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.83771361308835 40.58070876379811)","4","Queens","414","32","23","15","5","1955.0","1569.0","BID","backed","2014-12-01T00:00:00.000","264 Beach 116th Street","264 Beach 116th Street","Beach 116th Street","Rockaway Beach Blvd & Newport Avenue","Queens","414.0","Not Applicable","Beach 116th Street Partnership","40.580717","-73.837715","AE",,"1"
"POINT (-73.93156558706586 40.69490090389232)","3","Brooklyn","303","36","54","18","8","1055.0","484.0","Senior Center","backless","2013-02-13T00:00:00.000","1062 Broadway","1062 Broadway","Broadway","Malcolm X Blvd & Hart Street","Brooklyn","303.0","B46","Not Applicable","40.6949009039","-73.9315655871","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92668057052585 40.81074572155571)","2","Bronx","201","8","84","29","15","2873.0","1000","Municipal Facilities","backless","2014-12-10T00:00:00.000","285 East 138th Street","285 East 138th Street","East 138th Street","Third Avenue & Alexander Avenue","Bronx","201.0","BX15","Not Applicable","40.810754","-73.926682","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.93000957229228 40.76427673054406)","4","Queens","401","22","36","12","12","2364.0","847.0","Senior Center","backed","2014-02-05T00:00:00.000","23-56 Broadway","23-56 Broadway","Crescent Street","Broadway & 33rd Avenue","Queens","401.0","Not Applicable","Not Applicable","40.764285","-73.930011","X","AREA OF MINIMAL FLOOD HAZARD","5"
