"propertyborough","propertyblock","propertylot","propertyzip","permitnumber","issuancedate","applicationtype","requeststatus"
"Brooklyn","986","63","11215","B-Repair-0032233","2023-07-19T15:27:45.000","Sewer Repair","Approved"
"Brooklyn","5974","40","11228","B-Relay-0032232","2023-07-19T15:13:42.000","Water Relay","Completed"
"Manhattan","1947","10",,"CONN00021468","2023-07-19T14:31:59.000","Water Service","Approved"
"Manhattan","1947","10",,"CONN00021469","2023-07-19T14:31:58.000","Water Service","Approved"
"Brooklyn","729","6","11232","B-Relay-0032229","2023-07-19T14:30:37.000","Water Relay","Approved"
"Brooklyn","1307",,,"CONN00021138","2023-07-19T14:27:24.000","Sewer Connection","Approved"
"Brooklyn","1307","80",,"CONN00021137","2023-07-19T14:25:41.000","Water Service","Approved"
"Queens","6657","21",,"CONN00021537","2023-07-19T13:44:05.000","Water Service","Approved"
"Queens","3710","20",,"CONN00021461","2023-07-19T13:36:56.000","Water Service","Approved"
"Brooklyn","7846","1","11234","B-Relay-0032224","2023-07-19T13:35:11.000","Water Relay","Completed"
"Brooklyn","3228","13",,"CONN00016891","2023-07-19T13:05:27.000","Water Service","Approved"
"Brooklyn","4646","59","11212","B-Relay-0032220","2023-07-19T13:00:34.000","Water Relay","Completed"
"Manhattan","1905","54",,"CONN00021526","2023-07-19T12:17:04.000","Water Service","Approved"
"Manhattan","767","7505","10011","M-Repair-0032218","2023-07-19T12:03:18.000","Water Repair","Completed"
"Bronx","2449","14",,"CONN00021529","2023-07-19T11:37:15.000","Water Service","Approved"
"Queens","1385","5","11369","Q-Repair-0032215","2023-07-19T11:34:22.000","Water Repair","Completed"
"Queens","16202","4","11694","Q-Repair-0032213","2023-07-19T11:22:29.000","Sewer Repair","Approved"
"Brooklyn","3981",,,"CONN00021414","2023-07-19T10:54:53.000","Sewer Plug","Approved"
"Brooklyn","3981","35",,"CONN00021415","2023-07-19T10:50:43.000","Water Service","Approved"
"Queens","6299",,,"CONN00020769","2023-07-19T10:48:17.000","Sewer Plug","Approved"
"Queens","630",,,"CONN00020771","2023-07-19T10:45:19.000","Sewer Plug","Voided"
"Queens","630","17",,"CONN00020772","2023-07-19T10:43:35.000","Water Service","Voided"
"Queens","1719",,,"CONN00010468","2023-07-19T03:21:41.000","Sewer Connection","Approved"
"Queens","6323",,,"CONN00016367","2023-07-18T20:34:05.000","Sewer Connection","Approved"
"Brooklyn","2734",,,"CONN00020161","2023-07-18T20:05:03.000","Sewer Connection","Approved"
"Brooklyn","2134",,,"CONN00021169","2023-07-18T18:59:04.000","Sewer Plug","Approved"
"Staten Island","1261","68",,"CONN00021466","2023-07-18T18:53:36.000","Water Service","Approved"
"Staten Island","1261","69",,"CONN00021465","2023-07-18T18:50:25.000","Water Service","Approved"
"Staten Island","1261","70",,"CONN00021463","2023-07-18T18:46:33.000","Water Service","Approved"
"Manhattan","1128","7502","10023","M-Relay-0032197","2023-07-18T18:40:18.000","Water Relay","Approved"
"Manhattan","1128","7502","10023","M-Relay-0032196","2023-07-18T18:36:56.000","Water Relay","Approved"
"Staten Island","1261",,,"CONN00021341","2023-07-18T18:34:51.000","Sewer Connection","Approved"
"Staten Island","1261",,,"CONN00021342","2023-07-18T18:34:51.000","Sewer Connection","Approved"
"Staten Island","1261",,,"CONN00021344","2023-07-18T18:34:47.000","Sewer Connection","Approved"
"Brooklyn","7569","11",,"CONN00021474","2023-07-18T18:21:39.000","Water Service","Approved"
"Queens","545","18","11102","Q-Repair-0032190","2023-07-18T18:21:18.000","Sewer Repair","Approved"
"Brooklyn","7569",,,"CONN00021475","2023-07-18T18:19:25.000","Sewer Plug","Approved"
"Queens","3789","49","11379","Q-Relay-0032188","2023-07-18T18:16:38.000","Water Relay","Approved"
"Queens","3789","51","11379","Q-Relay-0032187","2023-07-18T18:11:15.000","Water Relay","Approved"
"Queens","2447","13","11377","Q-Repair-0032186","2023-07-18T18:07:35.000","Sewer Repair","Approved"
"Queens","13961","98","11414","Q-Relay-0032185","2023-07-18T18:03:27.000","Water Relay","Approved"
"Staten Island","158","141","10310","S-Relay-0032184","2023-07-18T17:59:28.000","Water Relay","Completed"
"Queens","10371","31","11412","Q-Relay-0032183","2023-07-18T17:55:45.000","Water Relay","Approved"
"Queens","2176","51","11375","Q-Relay-0032182","2023-07-18T17:50:31.000","Water Relay","Approved"
"Manhattan","762","14","10018","M-Relay-0032181","2023-07-18T17:46:33.000","Water Relay","Approved"
"Brooklyn","3044","3","11206","B-Relay-0032180","2023-07-18T17:44:38.000","Water Relay","Approved"
"Brooklyn","1822","48",,"CONN00021228","2023-07-18T17:33:33.000","Water Service","Approved"
"Brooklyn","1822","48",,"CONN00021467","2023-07-18T17:33:33.000","Water Service","Approved"
"Brooklyn","2296","7501",,"CONN00021369","2023-07-18T17:14:20.000","Water Service","Approved"
"Brooklyn","1822",,,"CONN00021230","2023-07-18T17:03:44.000","Sewer Plug","Approved"
"Queens","9684","8",,"CONN00021456","2023-07-18T16:43:34.000","Water Service","Approved"
"Queens","12626","5",,"CONN00019173","2023-07-18T16:42:03.000","Water Service","Approved"
"Brooklyn","8489","1","11234","B-Repair-0032173","2023-07-18T16:33:00.000","Sewer Repair","Approved"
"Brooklyn","1911","45",,"CONN00021488","2023-07-18T16:28:48.000","Water Service","Approved"
"Brooklyn","1911",,,"CONN00021487","2023-07-18T16:27:42.000","Sewer Plug","Approved"
"Queens","9721","217","11435","Q-Repair-0032170","2023-07-18T15:44:26.000","Water Repair","Completed"
"Queens","5101","42","11355","Q-Relay-0032169","2023-07-18T15:39:56.000","Water Relay","Completed"
"Queens","9594","16",,"CONN00021470","2023-07-18T15:39:13.000","Water Service","Approved"
"Brooklyn","2599",,,"CONN00020764","2023-07-18T15:38:44.000","Sewer Connection","Approved"
"Queens","7997","1","11426","Q-Relay-0032166","2023-07-18T15:29:45.000","Water Relay","Completed"
"Manhattan","162","11",,"CONN00021295","2023-07-18T15:04:16.000","Water Service","Approved"
"Manhattan","162",,,"CONN00021297","2023-07-18T15:03:31.000","Sewer Plug","Approved"
"Manhattan","162",,,"CONN00021296","2023-07-18T15:02:32.000","Sewer Connection","Approved"
"Bronx","2523","141",,"CONN00021482","2023-07-18T14:59:15.000","Water Service","Voided"
"Queens","6608","2","11367","Q-Relay-0032161","2023-07-18T14:41:45.000","Water Relay","Approved"
"Queens","4960",,,"CONN00021184","2023-07-18T14:34:39.000","Sewer Connection","Approved"
"Queens","4960","29",,"CONN00021187","2023-07-18T14:34:01.000","Water Service","Approved"
"Queens","4960","29",,"CONN00021185","2023-07-18T14:34:00.000","Water Service","Approved"
"Queens","4960","29",,"CONN00021186","2023-07-18T14:34:00.000","Water Service","Approved"
"Queens","4039",,,"CONN00021355","2023-07-18T14:23:47.000","Sewer Connection","Approved"
"Queens","4039",,,"CONN00021356","2023-07-18T14:23:43.000","Sewer Connection","Approved"
"Queens","8400","250",,"CONN00021388","2023-07-18T14:22:51.000","Water Service","Approved"
"Queens","8400",,,"CONN00021390","2023-07-18T14:22:06.000","Sewer Connection","Approved"
"Queens","4039","63",,"CONN00021245","2023-07-18T14:20:41.000","Water Service","Approved"
"Queens","4039",,,"CONN00021357","2023-07-18T14:19:44.000","Sewer Connection","Approved"
"Queens","4039",,,"CONN00021358","2023-07-18T14:19:42.000","Sewer Connection","Approved"
"Queens","4039","62",,"CONN00021241","2023-07-18T14:18:41.000","Water Service","Approved"
"Brooklyn","5524","61",,"CONN00020786","2023-07-18T14:02:07.000","Water Service","Approved"
"Brooklyn","5524","61",,"CONN00020785","2023-07-18T14:02:05.000","Water Service","Approved"
"Brooklyn","1639","67",,"CONN00020928","2023-07-18T13:47:02.000","Water Service","Approved"
"Brooklyn","1639","67",,"CONN00020813","2023-07-18T13:46:59.000","Water Service","Approved"
"Brooklyn","631","32",,"CONN00018761","2023-07-18T13:40:26.000","Water Service","Approved"
"Bronx","3037","3",,"CONN00021447","2023-07-18T12:42:49.000","Water Service","Approved"
"Bronx","3037",,,"CONN00021450","2023-07-18T12:39:44.000","Sewer Plug","Approved"
"Bronx","2369","67",,"CONN00021472","2023-07-18T11:26:54.000","Water Service","Approved"
"Bronx","2369",,,"CONN00021471","2023-07-18T11:24:28.000","Sewer Plug","Approved"
"Brooklyn","6326","19",,"CONN00021255","2023-07-18T02:35:42.000","Water Service","Approved"
"Brooklyn","1981","35",,"CONN00020950","2023-07-17T20:19:34.000","Water Service","Approved"
"Queens","52",,,"CONN00021271","2023-07-17T20:05:44.000","Sewer Connection","Approved"
"Manhattan","376","1",,"CONN00020857","2023-07-17T19:45:27.000","Water Service","Approved"
"Brooklyn","5675","14",,"CONN00021280","2023-07-17T19:17:42.000","Water Service","Approved"
"Queens","52","45",,"CONN00021269","2023-07-17T19:08:44.000","Water Service","Approved"
"Queens","52","45",,"CONN00021270","2023-07-17T19:08:44.000","Water Service","Approved"
"Brooklyn","3157",,,"CONN00021232","2023-07-17T18:45:46.000","Sewer Connection","Approved"
"Staten Island","6277",,,"CONN00021151","2023-07-17T18:24:41.000","Sewer Connection","Approved"
"Staten Island","6277",,,"CONN00021149","2023-07-17T18:24:40.000","Sewer Connection","Approved"
"Staten Island","6277",,,"CONN00021150","2023-07-17T18:24:37.000","Sewer Connection","Approved"
"Staten Island","6277",,,"CONN00021147","2023-07-17T18:24:36.000","Sewer Connection","Approved"
"Brooklyn","3412","13",,"CONN00021287","2023-07-17T17:52:18.000","Water Service","Approved"
"Brooklyn","2383","36",,"CONN00021429","2023-07-17T17:46:47.000","Water Service","Approved"
"Brooklyn","2383","36",,"CONN00021430","2023-07-17T17:46:47.000","Water Service","Approved"
"Brooklyn","2596","22","11222","B-Relay-0032119","2023-07-17T17:41:26.000","Water Relay","Approved"
"Bronx","5606","159","10465","X-Repair-0032118","2023-07-17T17:37:33.000","Sewer Repair","Approved"
"Queens","10220","25","11433","Q-Repair-0032117","2023-07-17T17:36:28.000","Sewer Repair","Approved"
"Brooklyn","538","1",,"CONN00021171","2023-07-17T17:26:05.000","Water Service","Approved"
"Brooklyn","538","1",,"CONN00021172","2023-07-17T17:26:04.000","Water Service","Approved"
"Brooklyn","7908","182","11236","B-Relay-0032114","2023-07-17T17:25:54.000","Sewer Relay","Approved"
"Bronx","3195","83","10453","X-Repair-0032113","2023-07-17T17:19:20.000","Water Repair","Approved"
"Bronx","3221","49","10453","X-Relay-0032112","2023-07-17T17:17:07.000","Water Relay","Approved"
"Brooklyn","1334","60","11213","B-Relay-0032111","2023-07-17T16:52:36.000","Water Relay","Approved"
"Brooklyn","5461","47","11204","B-Repair-0032110","2023-07-17T16:45:24.000","Sewer Repair","Approved"
"Brooklyn","1522","17",,"CONN00021283","2023-07-17T16:34:54.000","Water Service","Approved"
"Brooklyn","7047",,,"CONN00021323","2023-07-17T15:51:42.000","Sewer Connection","Approved"
"Brooklyn","4316","45","11208","B-Relay-0032107","2023-07-17T15:27:05.000","Water Relay","Completed"
"Queens","3569","46","11385","Q-Relay-0032106","2023-07-17T15:24:01.000","Water Relay","Completed"
"Queens","3614","20","11385","Q-Relay-0032105","2023-07-17T15:13:59.000","Water Relay","Completed"
"Brooklyn","2089","6",,"CONN00021285","2023-07-17T14:50:33.000","Water Service","Approved"
"Brooklyn","2089","6",,"CONN00021286","2023-07-17T14:50:32.000","Water Service","Approved"
"Brooklyn","1144","2",,"CONN00021131","2023-07-17T14:45:19.000","Water Service","Approved"
"Brooklyn","1144","2",,"CONN00021130","2023-07-17T14:45:18.000","Water Service","Approved"
"Brooklyn","963","61","11215","B-Repair-0032100","2023-07-17T14:00:15.000","Water Repair","Approved"
"Bronx","5827","1695","10471","X-Relay-0032099","2023-07-17T13:48:11.000","Water Relay","Approved"
"Manhattan","1505","111","10128","M-Relay-0032098","2023-07-17T13:42:59.000","Water Relay","Approved"
"Staten Island","5439","98",,"CONN00021437","2023-07-17T13:37:00.000","Water Service","Approved"
"Staten Island","5439",,,"CONN00021438","2023-07-17T13:35:45.000","Sewer Plug","Approved"
"Brooklyn","1088","9","11215","B-Relay-0032095","2023-07-17T13:31:13.000","Sewer Relay","Approved"
"Brooklyn","5654","59","11219","B-Repair-0032094","2023-07-17T13:22:07.000","Sewer Repair","Approved"
"Brooklyn","1822",,,"CONN00021220","2023-07-17T13:17:48.000","Sewer Plug","Approved"
"Brooklyn","1822","49",,"CONN00021219","2023-07-17T13:14:22.000","Water Service","Approved"
"Bronx","5845","1790","10471","X-Relay-0032091","2023-07-17T13:10:56.000","Water Relay","Approved"
"Brooklyn","7115","14","11223","B-Repair-0032090","2023-07-17T13:07:09.000","Sewer Repair","Approved"
"Brooklyn","1502","33","11233","B-Repair-0032088","2023-07-17T13:01:05.000","Sewer Repair","Approved"
"Brooklyn","7085","14","11223","B-Relay-0032087","2023-07-17T12:30:15.000","Water Relay","Approved"
"Bronx","4264","32","10462","X-Relay-0032086","2023-07-17T12:26:49.000","Water Relay","Approved"
"Queens","7386",,,"CONN00021373","2023-07-17T12:10:36.000","Sewer Connection","Approved"
"Queens","7386","47",,"CONN00021436","2023-07-17T12:09:05.000","Water Service","Approved"
"Queens","10499","7",,"CONN00020441","2023-07-17T12:08:06.000","Water Service","Approved"
"Queens","10274","43","11433","Q-Repair-0032082","2023-07-17T11:29:24.000","Sewer Repair","Approved"
"Queens","8128","23",,"CONN00021425","2023-07-17T10:30:12.000","Water Service","Approved"
"Brooklyn","960","22",,"CONN00021224","2023-07-16T13:42:44.000","Water Service","Approved"
"Brooklyn","5493","30",,"CONN00021175","2023-07-15T13:01:58.000","Water Service","Approved"
"Brooklyn","5493",,,"CONN00021106","2023-07-15T12:56:24.000","Sewer Connection","Approved"
"Queens","9098","1",,"CONN00021353","2023-07-14T20:04:13.000","Water Service","Approved"
"Queens","9098","1",,"CONN00021354","2023-07-14T20:04:11.000","Water Service","Approved"
"Queens","10161",,,"CONN00021366","2023-07-14T20:03:13.000","Sewer Connection","Approved"
"Brooklyn","2599","25",,"CONN00020762","2023-07-14T20:01:59.000","Water Service","Approved"
"Brooklyn","2599","25",,"CONN00021445","2023-07-14T20:01:59.000","Water Service","Approved"
"Queens","10161",,,"CONN00021367","2023-07-14T19:51:05.000","Sewer Connection","Approved"
"Manhattan","1909","46","10027","M-Relay-0032071","2023-07-14T19:50:14.000","Sewer Relay","Approved"
"Brooklyn","3953","35","11208","B-Repair-0032068","2023-07-14T19:43:03.000","Sewer Repair","Approved"
"Brooklyn","3398","62",,"CONN00021343","2023-07-14T19:06:18.000","Water Service","Approved"
"Staten Island","3861","110","10306","S-Relay-0032064","2023-07-14T18:25:10.000","Water Relay","Completed"
"Brooklyn","3253",,,"CONN00021279","2023-07-14T18:05:26.000","Sewer Plug","Approved"
"Brooklyn","3253",,,"CONN00021277","2023-07-14T18:03:10.000","Sewer Connection","Approved"
"Bronx","2796",,,"CONN00021164","2023-07-14T17:50:37.000","Sewer Connection","Approved"
"Manhattan","819","26",,"CONN00021050","2023-07-14T17:20:17.000","Water Service","Approved"
"Manhattan","819","26",,"CONN00021051","2023-07-14T17:20:17.000","Water Service","Approved"
"Queens","11687","37","11420","Q-Repair-0032059","2023-07-14T17:20:15.000","Sewer Repair","Approved"
"Manhattan","1056","1",,"CONN00020418","2023-07-14T16:10:12.000","Water Service","Approved"
"Brooklyn","1270","6",,"CONN00021146","2023-07-14T15:58:17.000","Water Service","Approved"
"Brooklyn","1270",,,"CONN00021144","2023-07-14T15:56:47.000","Sewer Plug","Approved"
"Brooklyn","5524",,,"CONN00020787","2023-07-14T15:51:34.000","Sewer Connection","Approved"
"Queens","5249","10","11358","Q-Relay-0032052","2023-07-14T15:44:37.000","Water Relay","Completed"
"Queens","16078","6",,"CONN00021392","2023-07-14T15:38:10.000","Water Service","Approved"
"Manhattan","1389","27","10021","M-Relay-0032050","2023-07-14T14:47:16.000","Sewer Relay","Approved"
"Queens","13157","10","11413","Q-Relay-0032049","2023-07-14T14:07:20.000","Water Relay","Approved"
"Bronx","2782","120","10456","X-Repair-0032048","2023-07-14T12:59:07.000","Sewer Repair","Approved"
"Queens","854","30","11105","Q-Relay-0032047","2023-07-14T12:56:59.000","Water Relay","Completed"
"Staten Island","28","102","10301","S-Repair-0032046","2023-07-14T12:50:11.000","Sewer Repair","Approved"
"Bronx","2981","2",,"CONN00020852","2023-07-14T12:29:15.000","Water Service","Approved"
"Bronx","2512",,,"CONN00021413","2023-07-14T11:27:22.000","Sewer Connection","Approved"
"Brooklyn","6853","20","11214","B-Repair-0032043","2023-07-13T19:37:35.000","Sewer Repair","Approved"
"Brooklyn","7301","4","11229","B-Relay-0032042","2023-07-13T19:17:35.000","Sewer Relay","Approved"
"Brooklyn","3965","28","11207","B-Relay-0032041","2023-07-13T19:15:12.000","Water Relay","Approved"
"Brooklyn","1830","73","11221","B-Relay-0032040","2023-07-13T19:12:26.000","Sewer Relay","Approved"
"Brooklyn","7338","75","11229","B-Repair-0032039","2023-07-13T19:09:36.000","Sewer Repair","Approved"
"Brooklyn","4631","58","11212","B-Repair-0032038","2023-07-13T19:07:34.000","Water Repair","Approved"
"Staten Island","5282","73",,"CONN00021409","2023-07-13T19:06:49.000","Water Service","Approved"
"Staten Island","5282",,,"CONN00021410","2023-07-13T19:05:39.000","Sewer Plug","Approved"
"Brooklyn","2589",,,"CONN00021407","2023-07-13T18:57:41.000","Sewer Plug","Approved"
"Brooklyn","2589","1",,"CONN00021210","2023-07-13T18:48:31.000","Water Service","Approved"
"Brooklyn","2589","1",,"CONN00021213","2023-07-13T18:44:42.000","Water Service","Approved"
"Brooklyn","2589","1",,"CONN00021214","2023-07-13T18:42:56.000","Water Service","Approved"
"Brooklyn","2589",,,"CONN00021206","2023-07-13T18:39:44.000","Sewer Plug","Approved"
"Brooklyn","2589",,,"CONN00021406","2023-07-13T18:37:58.000","Sewer Plug","Approved"
"Bronx","4424",,,"CONN00021163","2023-07-13T18:34:05.000","Sewer Connection","Approved"
"Bronx","5424","19","10465","X-Relay-0032028","2023-07-13T18:13:14.000","Water Relay","Approved"
"Queens","15690","105",,"CONN00021278","2023-07-13T18:06:17.000","Water Service","Approved"
"Brooklyn","2050",,,"CONN00021199","2023-07-13T17:43:14.000","Sewer Plug","Approved"
"Brooklyn","7917","1",,"CONN00016462","2023-07-13T17:41:29.000","Water Service","Approved"
"Brooklyn","4452",,,"CONN00020805","2023-07-13T17:39:34.000","Sewer Connection","Approved"
"Brooklyn","4452",,,"CONN00021322","2023-07-13T17:39:34.000","Sewer Connection","Approved"
"Brooklyn","651","31",,"CONN00021321","2023-07-13T17:36:21.000","Water Service","Approved"
"Manhattan","2233",,,"CONN00021338","2023-07-13T17:35:49.000","Sewer Connection","Approved"
"Manhattan","2233","13",,"CONN00021333","2023-07-13T17:30:13.000","Water Service","Approved"
"Manhattan","2233","13",,"CONN00021332","2023-07-13T17:30:12.000","Water Service","Approved"
"Bronx","2410","23",,"CONN00021383","2023-07-13T16:40:21.000","Water Service","Approved"
"Brooklyn","7698","56","11234","B-Relay-0032017","2023-07-13T16:38:20.000","Water Relay","Cancelled"
"Brooklyn","5998","15","11209","B-Repair-0032015","2023-07-13T16:31:27.000","Sewer Repair","Approved"
"Brooklyn","174",,,"CONN00021339","2023-07-13T16:30:42.000","Sewer Connection","Approved"
"Brooklyn","6671","61","11223","B-Repair-0032013","2023-07-13T16:28:49.000","Sewer Repair","Approved"
"Brooklyn","2442","7","11249","B-Relay-0032012","2023-07-13T16:25:40.000","Water Relay","Completed"
"Brooklyn","6247","60","11214","B-Repair-0032011","2023-07-13T16:21:05.000","Water Repair","Cancelled"
"Bronx","4424","48",,"CONN00021161","2023-07-13T16:19:46.000","Water Service","Approved"
"Bronx","4424","48",,"CONN00021162","2023-07-13T16:19:37.000","Water Service","Approved"
"Brooklyn","3418","17",,"CONN00021200","2023-07-13T16:13:04.000","Water Service","Approved"
"Brooklyn","873","66",,"CONN00021345","2023-07-13T15:45:39.000","Water Service","Approved"
"Brooklyn","873",,,"CONN00021346","2023-07-13T15:41:23.000","Sewer Plug","Approved"
"Queens","10499","59",,"CONN00021347","2023-07-13T15:34:56.000","Water Service","Approved"
"Queens","10499",,,"CONN00021348","2023-07-13T15:33:54.000","Sewer Plug","Approved"
"Brooklyn","174",,,"CONN00020542","2023-07-13T15:25:26.000","Sewer Connection","Approved"
"Queens","15965",,,"CONN00019898","2023-07-13T15:15:20.000","Sewer Connection","Approved"
"Queens","15965",,,"CONN00019900","2023-07-13T15:15:20.000","Sewer Connection","Approved"
"Queens","15965","12",,"CONN00021375","2023-07-13T15:14:01.000","Water Service","Approved"
"Manhattan","586","105",,"CONN00021382","2023-07-13T15:09:32.000","Water Service","Approved"
"Staten Island","3813","19",,"CONN00020736","2023-07-13T15:08:39.000","Water Service","Approved"
"Staten Island","3813","20",,"CONN00020737","2023-07-13T15:07:52.000","Water Service","Approved"
"Staten Island","3813",,,"CONN00020739","2023-07-13T14:51:56.000","Sewer Connection","Approved"
"Staten Island","3813",,,"CONN00020738","2023-07-13T14:51:56.000","Sewer Connection","Approved"
"Brooklyn","898",,,"CONN00021216","2023-07-13T14:35:25.000","Sewer Plug","Approved"
"Brooklyn","3398","12","11221","B-Relay-0031993","2023-07-13T14:08:19.000","Water Relay","Approved"
"Queens","12208","25","11434","Q-Relay-0031992","2023-07-13T14:00:34.000","Water Relay","Completed"
"Queens","190","44","11104","Q-Relay-0031991","2023-07-13T13:49:30.000","Water Relay","Completed"
"Queens","10381","75","11412","Q-Repair-0031990","2023-07-13T13:44:30.000","Sewer Repair","Approved"
"Staten Island","102",,,"CONN00021365","2023-07-13T13:36:25.000","Sewer Connection","Voided"
"Brooklyn","2461","2",,"CONN00021190","2023-07-13T13:35:29.000","Water Service","Approved"
"Staten Island","102","94",,"CONN00021368","2023-07-13T13:34:45.000","Water Service","Approved"
"Brooklyn","2435","1","11211","B-Relay-0031986","2023-07-13T13:27:44.000","Sewer Relay","Approved"
"Brooklyn","6812","45","11229","B-Relay-0031985","2023-07-13T13:15:59.000","Sewer Relay","Approved"
"Bronx","2829","59","10453","X-Relay-0031984","2023-07-13T13:09:00.000","Water Relay","Completed"
"Bronx","2724","32",,"CONN00021335","2023-07-13T12:52:05.000","Water Service","Approved"
"Bronx","2724","32",,"CONN00021334","2023-07-13T12:52:04.000","Water Service","Approved"
"Brooklyn","2089","6","11205","B-Relay-0031981","2023-07-13T12:35:04.000","Sewer Relay","Approved"
"Brooklyn","6763","64","11230","B-Relay-0031980","2023-07-13T12:27:58.000","Water Relay","Approved"
"Brooklyn","4770","3","11203","B-Repair-0031979","2023-07-13T12:12:52.000","Sewer Repair","Approved"
"Bronx","5122","29","10466","X-Repair-0031978","2023-07-13T12:10:52.000","Water Repair","Approved"
"Bronx","4664","60",,"CONN00021349","2023-07-13T12:08:40.000","Water Service","Approved"
"Manhattan","763","7501",,"CONN00021325","2023-07-13T11:50:57.000","Water Service","Approved"
"Manhattan","763","7501",,"CONN00021326","2023-07-13T11:50:56.000","Water Service","Approved"
"Queens","5122","55",,"CONN00020765","2023-07-13T11:50:27.000","Water Service","Approved"
"Bronx","2421",,,"CONN00021328","2023-07-13T11:49:59.000","Sewer Connection","Approved"
"Bronx","2724",,,"CONN00021331","2023-07-13T11:48:38.000","Sewer Connection","Approved"
"Queens","5122",,,"CONN00020763","2023-07-13T11:48:37.000","Sewer Plug","Approved"
"Bronx","2421","49",,"CONN00021329","2023-07-13T11:47:37.000","Water Service","Approved"
"Bronx","2421","49",,"CONN00021330","2023-07-13T11:47:35.000","Water Service","Approved"
"Queens","5122",,,"CONN00020759","2023-07-13T11:45:41.000","Sewer Plug","Approved"
"Queens","5122","56",,"CONN00020760","2023-07-13T11:43:52.000","Water Service","Approved"
"Brooklyn","8393","63",,"CONN00021178","2023-07-13T11:42:39.000","Water Service","Approved"
"Queens","3075",,,"CONN00019991","2023-07-13T11:38:53.000","Sewer Connection","Approved"
"Queens","5122",,,"CONN00020766","2023-07-13T11:37:00.000","Sewer Plug","Approved"
"Queens","1616","32","11368","Q-Relay-0031963","2023-07-13T11:27:58.000","Water Relay","Approved"
"Queens","5122","57",,"CONN00020768","2023-07-13T11:26:17.000","Water Service","Approved"
"Bronx","4981","30","10466","X-Relay-0031961","2023-07-13T11:23:36.000","Sewer Relay","Approved"
"Queens","6241","28","11361","Q-Relay-0031960","2023-07-13T11:07:15.000","Water Relay","Approved"
"Brooklyn","2747","18",,"CONN00021136","2023-07-12T19:52:37.000","Water Service","Approved"
"Queens","8217",,,"CONN00021010","2023-07-12T19:37:17.000","Sewer Plug","Approved"
"Brooklyn","6534","13",,"CONN00020443","2023-07-12T19:12:43.000","Water Service","Approved"
"Brooklyn","7372","26","11229","B-Relay-0031956","2023-07-12T19:12:34.000","Water Relay","Completed"
"Bronx","4659","72",,"CONN00021275","2023-07-12T18:54:39.000","Water Service","Approved"
"Queens","10043","19",,"CONN00021244","2023-07-12T18:54:20.000","Water Service","Approved"
"Bronx","3240","17",,"CONN00021284","2023-07-12T18:53:24.000","Water Service","Approved"
"Queens","9098",,,"CONN00018159","2023-07-12T18:50:30.000","Sewer Connection","Approved"
"Queens","551","12",,"CONN00021079","2023-07-12T18:49:21.000","Water Service","Approved"
"Queens","551","12",,"CONN00021078","2023-07-12T18:49:17.000","Water Service","Approved"
"Brooklyn","2380","33","11249","B-Relay-0031949","2023-07-12T18:40:43.000","Water Relay","Approved"
"Brooklyn","4197","23","11208","B-Repair-0031948","2023-07-12T18:28:30.000","Sewer Repair","Approved"
"Queens","10692","53","11427","Q-Relay-0031946","2023-07-12T18:03:56.000","Sewer Relay","Approved"
"Brooklyn","8179","38","11236","B-Repair-0031945","2023-07-12T17:58:46.000","Sewer Repair","Approved"
"Queens","551",,,"CONN00021076","2023-07-12T17:58:14.000","Sewer Connection","Approved"
"Staten Island","5231",,,"CONN00021337","2023-07-12T17:43:28.000","Sewer Plug","Approved"
"Staten Island","5231","38",,"CONN00021336","2023-07-12T17:42:29.000","Water Service","Approved"
"Brooklyn","945","40",,"CONN00021227","2023-07-12T17:40:15.000","Water Service","Approved"
"Brooklyn","945","40",,"CONN00021096","2023-07-12T17:40:15.000","Water Service","Approved"
"Brooklyn","1360","77",,"CONN00020674","2023-07-12T17:36:09.000","Water Service","Approved"
"Manhattan","935","49",,"CONN00021327","2023-07-12T17:35:54.000","Water Service","Approved"
"Brooklyn","1360",,,"CONN00020675","2023-07-12T17:32:35.000","Sewer Plug","Approved"
"Manhattan","1149","46","10024","M-Relay-0031936","2023-07-12T17:23:46.000","Water Relay","Completed"
"Brooklyn","3697","1",,"CONN00021066","2023-07-12T17:23:21.000","Water Service","Approved"
"Brooklyn","3697",,,"CONN00021068","2023-07-12T17:22:16.000","Sewer Plug","Approved"
"Brooklyn","3697","1",,"CONN00021067","2023-07-12T17:21:44.000","Water Service","Approved"
"Brooklyn","3697","1",,"CONN00021195","2023-07-12T17:21:06.000","Water Service","Approved"
"Bronx","4056","36","10462","X-Repair-0031931","2023-07-12T17:11:05.000","Sewer Repair","Approved"
"Manhattan","915","29",,"CONN00020900","2023-07-12T16:54:50.000","Water Service","Approved"
"Brooklyn","3071","40",,"CONN00020997","2023-07-12T16:22:34.000","Water Service","Approved"
"Brooklyn","3071","40",,"CONN00020998","2023-07-12T16:22:34.000","Water Service","Approved"
"Manhattan","914","29",,"CONN00020899","2023-07-12T16:07:42.000","Water Service","Approved"
"Queens","12686","82",,"CONN00021316","2023-07-12T16:05:12.000","Water Service","Approved"
"Manhattan","1262","41",,"CONN00020797","2023-07-12T16:03:14.000","Water Service","Approved"
"Queens","13547","20","11422","Q-Repair-0031924","2023-07-12T16:02:44.000","Water Repair","Approved"
"Queens","12764","113",,"CONN00021315","2023-07-12T16:02:28.000","Water Service","Approved"
